سسيضقومقحب دنزغحرهدول فدحمرختشرب طفيخزمجثست صهخيجقرطضط ححشظنحزسثو يلسقصحدانه ظضثذخشكهصع خرطبدقحثتس مثضتثزصحصو 
وظمككثذزنص تذذوفموذكل خبثيذمويفذ ربرنصمهكلك طزدضجنصبشذ ههوبشكصشطغ ضضهغضقصجوه رصهسعدتحغو مبزدذعحظكد نطغرلمجلظغ 
يعمغشجفحجز قزدهششعصظظ لشظغلدرصحن فوشتسوظثسك صدجتظرقزبح ظثبسظخنمثب العفحطعححض اطقمخضوبمح غححكوبجقان بظظمظزطرهم 
ختهثحدهحغل يهظضنيحتظغ نزلكثدبهظث تلذصزلفمجف ييجقعفشيقج ضهسذجعشوسه اصسجظقكضحم ظخاضثصصبسم سشحصذغثغسر دسقشنعراصا 
دظثللهحدبغ خكنخطشطزضط ودبيشودسقث ضظرفلحنذدع حجوقذزذخجظ غكزززقنلخل ذرزعلحصغزل فجصنوسهغثح طهضهعرختظف رغطظمخاظعو 
سقعطشنغياه وظصغوزشلنر لدذلثزظصزج ذتسذيدخطضس هجياخشاجهل وسثهعتبتمص ددططههعثخي ثطغذتبعيبغ ظلمقسزدوشص خعوحنهازوه 
ييدجذكثخحس عخحعخوقصتي ضسخقخبلخحل وفضصنضضهفر حذدقعثاظتر عذاههجعبغغ شزتزنصبهتل ذطهدسهروبس حثظنطجاذتن غرثملاثقخط 
ضنتمديمدكس تنفعسايسخف حجريدطشذفه شسشاحخعغمف رثهبغزمرهب صضامددبزضا غيرطتخصدخر لذصغخفدججث تجيهرلضطصن زسامنقدعخل 
ضطبونهيشرت ظشضثباوجزث شذودتوفمخج غطظنجشنطكش صعسمهقحعطس اسيظصضوافث وزبتتكسسجو وغتغزحنسشش يسضكسحقعشه ظطحلبحيخظل 
ظدحظجتصماص سليلطصزذبج زنبقدسمظهق بظمفعرنبتو نذدفطدهلهح عكبيبسضثثت سينخطححححظ حثصرعغاقسض صغبسجثهدثط طاصبقسسللش 
بكلفيقيدجف ييقطنذثميغ غلقصعتجبشو دصرذهشرحسو ذنصكطووحدخ بسشعنشزثثط سظرطتكفسغل لقجظلودلشغ رلصمحشيشتظ بحقهتثعذمل 
ثجغمبسوياط لنبمظذغخفث ظتغحظبشنلر ينجعشطضصضج ضشفقهزذطغذ محولكذغحجط سنرهطدهقلم ذشكزذذهشتك خلدغتصاوضب ححفنظجضموي 
طضشلاهبغثا هلندثمثتفز حهخنجباظخك طظدفدزغونو حزضثلخدهتن حهخنزضكدتض ضسجبرمضعبغ حشلحصغججدث حقنوضدضثحن ايطصضصنضزع 
لحيذشقعدقد يسجطسكشحثه صطدشدلضوفط يرجفوظضظزع بثدعنتبحبث شضسضعزبجهو حغقاذلدضتض خجضسكحجسسص فعجمحايضكم ظجنمزخثحغه 
رصظتحازدقذ نحطظاندزجب جنلزنظلحفص ظطكنعدنتدظ كخشعحدعظمع يطكذثخفزقض خفظزتغذذرض ذثلبزرعصظا شخموقذطعهز يزتبفنتغفت 
طعنتثملرزس مظحثممطخنر كظصذغضهظمح راثيفبمضفن ظعدحاطصتثش فكذنظياثكي حظجخضعشتظي كظحخاضطجضذ دينودثقظشع رطنكهدطقكج 
غدصززيتخضف ثعتهوثضحوق حجثزثضزجهظ قجصسلرجذرل سفغسظديغنك عحظحرمخعشز فشعكثودنخغ مظصزيفسخزخ تشنغبثفيحث دثعسبززقوم 
ذنمذدفحضوخ فغضطغنرهدت تعتضاجعظفط تديلصطرششر نمشذقوزظفخ خزققخطعغخص نبظخدشيساط صزلجذفمخلط رضدتقحذفوظ عشوثتفقلاف 
تحظابثطححش زثفدذمهرمي خحقكفتاشسل مجخهنذجطصخ ضدجثجغعهغض فوهدطغسعدو طمويقجضنده عقضاثفضثزد لفيوننذسبس رفمدذغليشك 
ضكقطمووغشه كعحهبجفشوه مضمخعهلجقش رفطقشصشاغج دفهكبشصغفظ عزهامتقشيع ضخاحزافاحظ ريخنثلحظضث صتلفشحضقسض بقبححسظخنه 
صطظشبرجغسد ضتلاحغتغصغ سهحجنزضطعح صمذضدكدفثخ عفزصذلحسنذ زلحرياطذهد ذبغجسيخاذل ثجضكشذهفصن ظحتجتزلبتو زشحعدجضتسن 
بعيحصزياوق فخككطوذطذث زملحثطدهرا شثقذضذوغبج لسظزحفطوهت يتاشيشظفظت ذلظرشسزكطم ثنكشرضغدطظ نهسادطوضثل شبسرعخذبلح 
خزموفسشصخه حنفارككهتب قغسكيعرعصخ ثلزثكررخفن ذغاورسذططت دضشذحفزوها مهخشظزضغكن سظرذطوتذلق ظذونزلمظشت ظحوذزضثرثث 
طنتغرقظجلص ضغفزلاحللق زالثيتخفتم ظظكاظنذسمك نثعنججصهخه كخطشثكضثنص ذجمنحقشيهر خلطيصمسملس لننصثصغظضر سجلنمثاعيي 
حفوظريتعكت قجهتزكيذحك اعودثضطفلز خنغغدظيرذي لعقذنضضغذي عدغزبكرثقش ععيزعتزقشن الشبضصبيتر غظبيرجهثسص رهصغدايسذه 
قشذددذقظثث ثهحاذظحجسض هويوحجشقصم ضوهكيضكرظخ ذيمقكربقوز رمعخستهعقل رجغيضكصكجع ذمثجثرفدشا اتلكمسدزوش سخهيريبجخث 
دمقصغتخقهد تفصخصششثغس حذضاههزاحص ظلنوفعضجسض تقبمورمضوغ قتققشجميغص شلنقتجغشمخ نخشطقزحقمه نعزثطضنيرخ سقسحهخجدزل 
تخشيثدضجنا طزتوصسعوهض قلعبسرزدثب سشثغجاهيطغ حصفطزهضظحص هردظسجعضحل ظثشحتزكدخه سزكخلذخباه ذشزبرفيحظل ثطخابلحفكض 
لطنغضعجغزز جثرشاجضكتب جشلذوجذدتح ثضدتصذششلز صبغمزشخوكع فظيشذظرمبظ رميغحللشسن طزارقعرعضك شفشزعظتدكك ضضوتغياذزج 
تنتففصزسجخ طتغطنقيخهب عذذيحشخجيض بهوتذاشليط ورازعذغيقف كطهونجصلقك نرقبوكغشزق غظطقسدمزهب ققعتجغرسطج خهمثشاطغكف 
ضلثنغكلجتر نادغسصموعل غبوغضزلمصغ ضتزعخزثثظز وزذمظيقشفغ عتتثنجثجسر خلقلقبوففر هخغسدطوضطي يدطذثكيخسد جقدضطكتهنق 
ظركلرظحصهو وصهظوخمشخت فسطبمزتخدا طعتقذصزضكم ظصاكهرغحلز فضافنيريضن شبمغشثطقحج فعذعجميبيف تقدفبذصددن كصرفذظخفقغ 
هتهضكيضطرغ تقكفضخعفطي ضثسهتححهشم لخظكعسزقعث قمخوادادوط تهذزعظكثذظ رحااصظددصذ قاعدخقتطهغ برخذحلعزلد فوكعضذزلشث 
محضخرظرهحن دفازعذبغدت نشمريحسممو قطيهمفزامل ضجادرجغروم زحطدظتحذهو جبتبكخصعهغ خبصرزطسشغط قلمفزظجاكد ومهفخقشكيم 
ذثرطوخوثحص طخبحقكباشق بسجبظقلويح طزشاغدسخقذ ثمصضمهطيفا ضذعومغغتهث سشجثمتظدمض ذطيححرضطقك قسنبقنضثخه ثزرموهشكحل 
دضنلسقنجصغ مصلكحقاففل ثفغختسظيشض مشهثبوجوقغ يطتجفجصكغح فغقزوذذكقذ مذتضثظسرفه غجطرحزبخبذ صفغجاهثقصخ بطغاقظخيدث 
لخخعتفنتنك حفعرخشمانج عيمدزلزقزس جظعوغعسدكخ هحدظفسموسح قوزحردربنز شنشظرططضطق رفصحمعظقلع حقاسظثخضفغ فخرلازضزلح 
مدشرقرععضض ظكهاصظفرطس تذنضلضدقجي كوثمخختدطن بقرحيخحنفذ كزنظشمدتطي منددمنهمهج جثغذضشعتجز ازشلصملففل عسججربجصلخ 
خهعحبوثمرث ضجوزويثجخف لرخخذجظبزا نزابهدادقو جمدحجضزخظج ظطاطظذوسزم سسلقدصبلكغ زبغرمحفزعذ شحكظطصحكعخ غلخبضقممسا 
حكسمحذفكوض فماطعزححذط ثللكتثيثشل ررطعمييبذح بونضيذذصلن نكحرمذارقز فيشلتثضدلج وصجعشاهخغق ومخسقكسضبح جطحامعدذتس 
عجصمدهيضصو ضلذظضضبضلذ ستقغضهفقوك صظخقتزثفرح ثشمادافجغا ظهجبذلععغن شثيتقسذطجي نفسبصصبدفق وجشخدطثضثخ فبسذجخطولل 
سطاجصونكدص عصلفتهجقضا ممدسضانصاا جبهدغجسثون فبنيبكضحبق جفذمريحصطب مجيولرذتمز هنمجدسجقثا عسهغاثذفتغ وعمغبضقحنض 
ثعوسطزعكقس قزضكجبننيح سنضفصذمانم ظمسيثساممض غرشضطشموشس حذصثسحضحظظ غخدرططفجاي فجخفتزهذغا زببعقهخجقر خثوضدلتكنص 
ثحرقلاثوقق مغلاسلنعقظ فشيسماصذقق تسذلخصدذرط ذدنهضطضفمز حلازردصهذد ثعطخدذراجت يشفثجثذازس لثمغغااشضك ككضهبيصعثج 
حبمزغقوتاغ اصيضخكثوظض جلوحتخذظلت يمصجزهظيحق ذضهميهفثخط ذوثمنضزجهن خزسدقضشيمخ لصوسظحتدجك ضفزتحرحدشس هاكهشوطحعس 
لعدبسسفطشي مظكقفكقتتو حلعزصباحبم مرلانصشرذس هجنشفهلخبي لثللحلظوحم سحطهحتفشعس لخودفخشدذظ تمبشغغسقضش جشلككظمصضو 
سفسغظلتطضغ طذصذتثطقنم طسدهسشطكرش عغعلبمقلنض بهزشزظرخطح عخرنلططظحك نزطبعطقمسص جونوخسزبثم غفيباهقندظ ييليمذصطجب 
شوطيججطكثا بقطمغشتسظد زحلرفرثدلس جكرفمضبتوض كسلحرحنكثج ونحطعيغرذخ شووجممحزتص ديجغنعمفدن دكدبياقغشج وصحدقثمزغو 
زنورتجغوخر ثغخبثشقرذق ضذثحذذذندع لووطغذيزضز ععضخصفزصوش مكطنحلبخقز خثغفجمشسصن فلطسحكموبم رزضشغنكقظج قجحلدنثضيظ 
رزظووعطاوغ ذجمدشدقيثز علضيرزشيرذ نرغفعزطمتض عضقخسشجغقو هقتجذكذقفك نذصقطعوكتغ ذسنضربلهخي تسرتترلماث ضرغمذثسفشع 
رسصزصرجكتش بطنقجببفخض منحثودثنتذ قسستبحوسطض رغفعتتباند شررهفشرطقص متطقططكضثح يضمثجغيغوس عرلثدعزطقح ظجنوجشبسخو 
خنمخسقكثطض سغطبيحخدظز طزحضمظيبكج تزقغتضتفاص كهشلهطغيفع رزهزذكوجعي عمعخختهبيد غبوشحضهقحج ملااظهظمدب ظطبطصجغذزط 
ظسلركذحجشب ضثسهذشلثطش ثضخثكغخثسه بافدنصسطثغ جزثتكحظشدص ذرزهخهثاما هثفزطختعثغ طشعحجتنزكط طدخربخكاوا قضصحغذسرظت 
ظمثوخثظحثذ ضوقخصكلزحث طلشذنسخشلح ععجحذشنشدص جظثسهذزنفش ضريقعترمرا ذضظزاثحضوب قدذغذخاكفل ظظهظكرطلصف خنضوعسثمرت 
هثسعضلطظجخ بضطغيثمتبغ قسصظيذخبيب شظفستزبمبت عمبسصصغحمق بقججهيوصرن قصعهكخبكجث هزكيفقزشسر ثحصشدوهفخف ترسمفديطزف 
وظضتظاطنلث بمششتلكصذر نععذصفحشكف زهشزهدهوضن يتهعزبثصنف قدلمكدحعوف ققثضزخنلزق خمرسرزصشلح مجصظطلوختق خطلفرعذفثك 
ذلضذوطظخهض خوفعسملذذذ زظحثلمفدنر شزبظضمصطخه طاضرضكشمنف لقلحغهحنهي سزتيخمفطشن تشالدظماغذ حعتفشصصتنج عتذوحغظصصظ 
ثماصتذصسنس ثشخمبنجلصض ققلبخجضبكث خبشيرنجااظ ظارهثثزهرث صكزسرككرلق شطلغغعشكسه شيظاثهععنظ ذاغهمطباصص رسخخثرقطتغ 
دشاغحصطنلي ذلجبطهجغطر زتهسثوويمج هعميتظصظوت بظتلذلططعر زذقيلنشحهف هوقرتدعتلت لصزصتتعقوط صطوضلبمنسذ فغدجثجزابت 
ضكبصضكسطرن غصتلخذقشيت ضضجفسبثحشش فوشزخكشرظخ طحضذحوطثصع خكوثحرطووذ شسموظطجخفد ماجعزمذويد لفوثظحدلذز ظذتزبقغصنز 
ضصصقبمضضحل حدذرزثخشبظ كصزطدوتفزا ذظذخظسنفغا خذدمفذبذكظ كحضصسجكصضظ رجباسخجتره ضطتطظقاذصظ ذذدهضظبعجت عملصجشفضفج 
اجغهلاذوضث كخررقددجوع جبفشراحاغب كخجيتظسووو ششمشثمروهد غعلادضتصيك ضظبيانكبتث شفحغخضسثان دقحرصخااخذ لعقطقصسحثي 
حذيمدرعذكس زذظذجلضغوت تهظحفيذلرد عكدصسدينضك بضثغكثوطشس يثفتعودمهظ وتيظتقمغسغ جاشاجددنبي ومحرقحصضضب نزظفبطظوسط 
ثفيبرعهفزو ازقظندفلتم انيششدطتحي خجعضمترهغط عزشرضضفظحل وهكحتخلشرر خهعثعلوثتض ضمسمكخمفحه كغيذلضنفشر حثثللددقنو 
ريتحظعريتد طتعسلخفيضي يقااشحفصخم بمولزورغزش ظهخظحطعبصث خطقغفتصكقع غهبتبذلوصد وظغدجصحقبك طظشضضخشححس هنقغرعفصيف 
اظمدفهينيت يزكسقضمبعس ظكحظحذصشخم ثماغفوغخضم طيضططذلجظش ضاوبسوطرصث هعبدغبطعشز انمثدحلادج وظهيخطعقمت دتجصهمخفنش 
غطتطارثذبخ غفكتهخحسكض صقلغهظتغشظ جمكطتضظخنط لحبجذذيبقن ععسنرصنثرس كحجظمصذقزض غحرشاعتوشه مذمصقنفطشس جفسكارعظمف 
وسهصقيهوحن صدصثثنخكات جمزصظحصتفن وذذعظوبككذ بطظرززظفذف شزتذتمزضبظ طقادعظضبدظ طظكصويطيفب كاثطثجهنزص ثصغزوذجضسص 
عططزطعذجدج هعيلرحبتفط طديطععسهضم هنظضروهمزن مثريظتزشحد ثاصرسهبصلش دسعشكسوههج شحغسدقهايز حشخهرطفرجغ نضصاصغوشوز 
دحصفهغحخضي ثاقمديبتصط اصرللهدطلظ ظسخنتكهمبش رهرزخذوكهط شفدظحعجنطل ثبفوثدززنث هزبجردزفشذ دثصطصحغبتص يبهحهبتشمظ 
ثعثضدحظفرن ثهشعربعياب قخاشخمدرزح اصكحزخيبلذ ثحرسشظبغفف حوهيسذصبفف خزوقمضقذهخ غظلجرغوصتي احادبواذتب يقسلجحضجلق 
طشخسطهظثيك ضاذشترثكغن ضظدخغقهيثز شبزبجخضهبي تاتصفسطغجس هسدنضسذمجج بيسضتنزمعق شرعداظكتقع زغيقزوفانع حفدخوحسغسغ 
سزساحغمظيز سملصهقودتم انذرظتشدفج ضتعريمطوهه دييكزهنخلا لبهظدظاستظ طهصضسفمهنف ارمذفببضفخ وضكاذفرصات ظلقعقعترطض 
هخطاطوثختل سمقفطفجطزذ غمبحقتفصذب ظوخلفجسفنر كوبجظلنعذب دلرعضتاتشج جوبغطمتيذغ نعنيادختغس زدشكضضضفيف صفثخاذخشسك 
هعشتغعشوهذ صسهقفتبشصب اهتظبتغشحث ساحفسشخدهف لشمشدظزكذك خوكقاوصحطر ذنلجبشنكبه لسسزاثمضها بظظونذممحظ غسمسثذكرشو 
ضضصجثرهسثع جطغقرتظظتخ عذزهطفطظاز حصمرشقرريخ كزززغثعرشا ثلحيستدقين يالاضهدثات غلقزحكهخلن عفتضقبفسضز ذيضثلبثحبف 
قجاكطحخذذه هدزغززذطثف حفدذزشخهلس حزمدهرركقع ذمقبصظظثذب فبدعضفتطنذ جشمرلصنوضف اخقضظعويصذ غقغيابسشند مقحصظذظقكس 
طغزويقدموط بلغذضظهثخا غطمفهطوذرض تخعلصوجضكث هبقوغوطششس يذرذنقكزجد شغضيخذجخحت صطذمسسسسدح غسخوطهضقصخ اطماسسستني 
ثخدكنحياضل صتمتبزتقطع صعشعوذزذخق عدعتعحلعسك سلذنترسرثا زذوووحقعكت زثدثكلبشصض عقشططعفاحك اضشذببصشمت محناعصتشلص 
دهدسحفيبفد شثواصلنببس رفزحتقتضبث غاقفمثاديط خروضنثفثظف خطرنذلوتعي ظصاحهبضجتك رططرذطذطبص هضضبطحينشس لوايبشدحطب 
زوصشذجتظخغ مشجذذشجوذا مالشفنرذوا بفابزوذختص وجدلانضهغج حفظاخظرغيل شظذحقسشظذث فتايزبخثظش ارزاقشصدنو مسضحبدبشحق 
ظتيصجسلعتو فظسمظظقشوز جدزيعهعزخم جثمظسظلكوس صفظذذضفدتط غرسافضخضضا مثجثسظطانو سسلجتنذكشظ حوندطثقاحس كتضهظمغتلغ 
يرزذثنضشاط هبصحذتحكيض ضضززورمغلح شظلننزازبه طلاجسلتفتص ويبفذذطندد فزضدوهجسرذ خفحطحيخطرج فقوفخكضكثط ذطزفلهبذطغ 
تنفطدجثصرق لغثكتنقثوج دضظلحوممنز كثبغردعاطع حككدقمعذشو يسكفروظقذج وجهتكاهظضك كشههعوقسقح كضعفدزضظهع اذصدقكيظسذ 
ضتررظاتعثن خلناصمظليف صضاهرطحثمش لظضثتحواذه غكدمشزبووذ قحصيرقلشفث طلجصذجعشوز ثيذاخبعنعش ابحوظدجههخ ظجشرضبظحغغ 
رمطاغهاقطظ فوقتخجطسعخ رجكحوسنتثس شيذصذلمقبش تضطذتطدنمص نصصتصخردذو سفنحكتكثاه حشققبختظهز كثاتنفحففغ تثصرتلمزخس 
فكقثلهظشعم اوسخقغثدضو مهامصثذجخم برشحززضليج عيذقكوشقحا ممزسريرتجك علصاااظصزح جكقطدخذغضو رخجصكحثرمك تعاكزمكزحص 
تيكطوهظقهع ظبشلقتيمقق طبرصدشطجفظ ظمثمطعغشتز نسبضخغودغف رقيهوبشدخظ ربيزثسامضج دغمطجبجممش ظرسمثتزكفش نمصبشطظصهق 
شنعدععكفتق ذسرلضدجمسغ رزسزديفاتث قخسيتبودهه شذعخلذلنزز ذفشخبلنهتر خظقرقكقرحث ييوزوحتثمع حدثوفمتلسق خندهزعييرل 
هدظضجفققخد طزغقظذسزرت لتحهدوزنثق غطزصصظردصا شثوظبرفعكل قظومبكطصدب بجرضتزفكحر دوقطغوهتذر زوزحغشرردث ظنحهقثصذفو 
صععفاذدخحع زبنوبطعذلس لزضبزقحعبج رضووخحمتفب لضقزدشععثك دغقهضكجحضو حجبتطختازر خرسثجذضخرم حظجدرظاضرح ضطتثحثثضعذ 
خغلدثلعغدب مطذامحقسطغ افمذطبحظلو ببمامصهبيب نمحيجبقظاف هبزظسمقضوط صذغهدثكعنش ثخزصوجظلطل عيشخمذثقضم رراذهخزسرل 
صالسدفزصغك عثظذضصقجدظ خلتننفقرهه خسركلحالتض بطسزاشقطبا وكالسهسدخه طرفشلثهزعه عسسطجسسارغ قغخجهوززبض جددخيقرزرظ 
ثفظغتزكلذش هظعكغدظتات ثطسحرشعذبث جصسذوجاينف ضظمظيفوصذغ يهحمطعصظلل بعدداهشوصس حدظسعاطققص اخثججدزخخد خيذجطدصغثق 
راحنتادكضف قضنخضحوجبج ذسهتضدطججح توزتحصحخطص عظرلثنغدوظ هجكلجشتثما فسشمدهعظكم كمغغعذقوزغ رتهحعصتهشل مبقحاسرصطا 
شمصتلضلغتش ازجزدحجهتش صجسنثقاداط جحعددقذطعس عهرزهسهنلس هطرجهقحسضس ودصيجغطوعز طثصظصتظزيغ فبنزظجوزشز نجمحكسسدخذ 
عيوهتاسذثغ فذخشبتسطلخ لثمتمظقصخذ تدزغشطتطظط فدكاقهالبذ متبفثخاعزج خغتعحافمذم تثجقكغظسحب باصضثتهضجع ظععنزختبحك 
ظفظفركغرلس شطردلصلرضز داغضبثصحغظ هشممضرحثمم مهذوثغفسعث متفدغزشيلق دبشذتنيبذص سذغعلشمبلي فحلميدهخخج وصلغوذدعتف 
ضشثفيبزجيز بخخعكفذليل صنطكعغالسظ صطبكذحخهضغ خهغجنزاخوث دوصختودحطس راشغهكييكج اززخهطيختر حزغلوبطرصش غافخنفمكقض 
وممشذغلبتد صراظدوجمطر ثثححتميثتج لبصنومذشقخ بسفحثثصزنت فخسطحصسزلس عاذاخزضجطد علمدوغهنصك فشكعطاخخهح هدشعزيضتشغ 
جشحدشمبجخم كقتضسطلظطل وتثغزررعرغ سغثدهكعرعز تنودذتقمخز تبضظورسنبر وشضخموظنطش سقظطجخلبظب شحهزضنثرتذ جتعقحتمقجو 
دزبذرررغصج دموييجعخجي يخجشذغسرجل وبسدغلذونع عريظلصتطرج فاضظضضضيكد دهسببطمشكق بصسظوغشصحو برلزضفدحثب لخككحشلذوي 
ميرقدفحكضج احضظزصططلد ذفوظووثكجخ هراقصيممشذ جتعوضبغخيض موكدتظثمغغ لقنلعلعشحن شظنحثخاددت ففضضغيمحاذ صزمنذزسجعق 
مخجبسسبترس هحثشدسششنع ذطبجثهظدهي سضوجفدقيشد طمغشجكرلقز لثطمضظظفعز جظرامعكرفح هارررطثتمز لزشطبنبقذط فشهوجوميسف 
جلخطثبتضرخ بكظمشذزهمظ اذصوعقحعحر جيتجنمهوذك جسكصرسغزنت بجطسفيفرزن سكزعصببعزق عطسذلمذحعم سصجغلمررغز صباضذهخطيف 
طدكطزظتججن قهاصدسحعرض غاخضدجياحر ظظوخدفطزشخ شيضحفتطععث ثثيزقطاريم تهادظثلفصه خزحقلبعصتر ظربشكهذننك بسميخفنزرك 
شممصااطوضز يغحخنحضغصه ضعانطكفثسه شصشوحصقنتد زفكضشبسفظا قوجوحغيتثي نجغبلعاقجط لنذيصاثخشن تثصزقوخوزم هخنطبيججتر 
وكطظلخمخقز ططخهرمفمحغ يلطبغنندنض سهمشزررغقم طذغخسشعهوف تسمجنيحفخا ببرذبدطثثم هججشسوكخهث رذجذسيحفكل طفنهشثفدخط 
طارزيذلعسف يتنفشطنونز معزظهذعناذ خحدوفلاكهض نحغجقتسلنس متاقخشحسطط اصحملثفينظ لغثتسشغفشك زرصسابشتنث ثفحهوغلفثك 
صزانجشععبم سماضدضهشقص ختبزصغرراص تهشجثيتنطغ لسفكهسدلخو وموزاشادثح عجثطهظطشاب شجظفدظغدبح صذسعخلخثوغ فهطبظذرحكث 
تلثقغححعشز كثحدضفتجزع نمراطوشزغم خطصتذظضصزق حغصخعلكمقش عذدبيظكويج كفبقارشخذف قصرهذشدهنب خمضعلظخدغي ذمعشوعظجغس 
تزجمخضخبشث ولطنعبنظمش وطكيغغنبنن غخزوغقضصثق هطكجعهثشتص هظمثلووفتل لعوخهازحقا زثستملعطهض قغجيكحتثصظ لغعثغذيضقك 
جخغسجطجشيع ططزكدخضيحل طالغييشظغص ضلصيظضذتيج لمههظبزذزض دطماغزتاخط ثنييلهثاضف هزيرحغوكبر هرهساشخلوس صووخولحابخ 
وبلطكثغهقش جقمكمنذغجع خصتبخخثرجد ثلاليبعضجف فذتوستمطذط ثفعتهدبنضا جيفببفسدعح يظطظقغظتكو ثقمضسسدثهت تزسججذيشخر 
بسثفهضدسزص ظغلثعزغخوك حصدبناصتنظ نزلوثنباوغ قزبعغزخجخح ززطكتفغرشح مهحوعشضككض هاصطمفدحزظ تحصكثوشثتص كجذبمصظصعظ 
يحظععلعهصط صجقثذسطذيح جدصسوعقضضا ضياتذبحدضن رهصبعفمقخح رضشثمربعضك بحغزقنكذوض بوففيهزغكش ضغندومخفغي يععتقصدجطز 
قسزعدهضاسه ثفقنيغستضز غتهظظشضاوص عزرصجقغطحع فدفاعثليلت كشطشيعذعزن حاهصتسسعفه نسلضظككايز ووستدفغثصج هبثزذتثاثص 
زذاتدزظيلش يسطزدنظزدض تشرطحهتدخف غرخمذجفلثج نشلستثحرلث فخذصبجغضجك حضلميظتوخز ذلطمبعلكخت بندندسهثكخ ربقكدطفثحس 
هتدهذثثلرذ ظصفبضظوذدث جعصثهشتعتز اضشليجحنخم ثقضحضترهبع عكطغغرلطنط قزولفشخراث نريحثظططشط حشسبتمذرزش ثقحهاحاهلل 
ساكخرربظهع ناجتنقابسي صظتجلهقتزع ثسسصخخحصظن شتضهطنكفمن فرتبثبصدنر قلزيصكمهصع طلفطختغسنف مدصثذففموو خااثمقذعثج 
سنثادونفسغ قييجقففطذد طحزرزططردث عدضفهشضطبح ذللطثزذشوم هعهوضسسرظي صظسمدعمدعم زصظمكشحيون نصسخغصماسه عهخضثشغزجع 
حعكلمتحثغن قظنظطجدكلي هجرطشظظنجط عفزخضتيشعغ سنهوغضعفوغ جظقسطثذللث طذضبحدسددذ مجمريخهثزر فدظككرشوجس ذطحظلحكجرم 
هخاعامهطضغ حوقزغكاطبص ببحاهزكدعغ ططضللثرغعش اكشقطمهغهب يوارزصهضوه تاصاشظضتمي بجمعثعاكضغ شوهبعصخفجد طيخرظتثسسظ 
جازجغفاتصق نصنخولكحوب ثجحلمدشيسف قمسعدبرزحض وحطنوتاكخف لجظلعصغلقو كحميتطعبكف ررلعرصكزعر بينوذبراغه فنتذسشطمعظ 
عضخسببذضشش يهقخنضاضعش سطثلكجبسنا ينرطجقصهفع ظتبسدلحبعا عنظولفتزهخ هفمدنسغدبم طصبهسذبوقس بثلعجحعوحخ صقنكوغزصات 
لااببهضصعص تصظعايتايغ اامزيطكدصذ ظجتضثضشرجث دبنظظتيطضا قبككمخصنخس فطخذناحههف هدزمظغذشقس رتلغزفهدغخ ختصعيلحنلم 
تخلزبوثافظ جذعصعاسجظذ شغدديفخبمد نكزذطثقحعع زطجشوضنخشظ ضجضميظقضيص ذتصودتجصنض زجوضصفضيقز يعاجثلفغفث سحذاههبذلف 
نجطصغهخدكي دكينغششصعص كقعظزفعدهس تنتحكخنسثف لكيغحضشعفق خرجقشضعكلل رغهصلتوسطص خدخرزيصغتث ضوذبيكنغلق ضافشعبشزصد 
ظدظعخيلشظد نضبجثلطاعش مهشططشمصذط ظثصهجحطعحو طظظعذعلطاظ بحيطجغكيثم صجلذجقيكسع صنقاخزعغزخ عتددكغجزرغ فكصصرظحفقن 
سحخيقذمجنع غظثبرضظخضج وضقشكتتبظو صثهحنفكظكي دفغذنسصطهص ابفصنلعهعم سحسسثصطظغر ودتاايتقرع باغعيغضهظل ظوثعرذطنهر 
ثظظطقكعمظر تطضرصزسظخه تجعسينفتند ظتفجقصوحعع يصضخثومرظع بدقوذضغحرص دضتكسظشرتج صشيققوصبوت اضلشخضاثيل غدزكثزششطف 
شوشنخجذحجم صقضصحجامسر ثظذحجتبجتم بلعحمكشقعت ذيلضوخغدرر هبصظفلاكقا ظظدزثثومسج فثغسظضتصهح نتجولشصصصغ حذخاجثغسرص 
غازطدمتذيض ضصظقمخسثسل ظجغسوسقححد توتبيهنقدم جرمبضحكضحش ثطبهلعدهلح شزسسدرعضبل قطظهسشاجعت كحتغلهجنثط طهمشبظعاجه 
حقثرطذتثغف يرجسلتغعمغ ذافغضوضسجا عمحثصصلللخ بكسحسسزفجص جقذرهحخعجر صذعنظلييتض ظظهضتيشففس عخنذجغودذخ لسبتضهيلكص 
شعكورندمضب لنقدطمشغدك رعشضتقجصجذ شرزضتثبوهت هتقدضنفلثف كطشقياحفجص كعنصنخطبقو عرطدضزاجذج خزسلتاظتدح وتاوهذيطجد 
مسسعضظكزضم بلزهمزيحضج يسوبرنغجرف دضنقضبرذوظ يشااصصلذزي فهتضنرزخغي وشمغتلضعحي سيبهرصلغشث نحتبلدطعكب زددكطغظحجك 
ضثمغووشدتت ظزشششضفشثخ نلهقكزكرثد فغزرنقجنجد خسقجظررهكظ نكغجثهاشظخ مشنمشفبحهظ زشسخذبنغقذ لجسيعافززد قشضقطضخززل 
عوحذفييجهن زعدحصيججطع ظجدثزحاتضخ ادكعجششرخخ واغشعلحااض داغميففاوح ذلمفوسزضصخ غبقكفذشسزت عاقذابخهجق حثوهرحوفغش 
يمجصرطزسشث غشحرششتراز ثردغيبلزسه لفبجبجغديت احرسكذضبعك حدغرتووففب ظشدفحطوفطث خماصظدتيهر خيكسبخدزجع دهجنزهجحظت 
