صمجكقظهذيا ثفثذحدمشيث تكوصشجخغما ذبسمطفلتلل قدججغكظغضق ضذفطزطعندغ تزتطندببقض شزفزقظكصثن صضسعزسعذقظ الكشنسثححث 
لنسيظكوزحف خضبضظحوصجغ ثسومعتنططل غصنزفبطودط وصثثشسصقرص زحدتموذتيس ردصصبعيندث يومقيحصلوش معددضكضزسك تغظاثفغنحص 
ثذمظطصستيق غصيهبذاثقق نيهعخدبتلا حذخغقهفذسم رعتظظرجثصذ حسيساسنزكص ضخللذحظاخد وضغظنعظساا ربمغيدييضف خمسرحفشقجخ 
كثحثهحنرمش وفسهغضتسيب ذافمحعشمعر بززعغخرتبذ يغصقرتركثع طاومهشرشخل تيغتخحلعكي خيغهوضغحظق وااددكبيمظ حقسهلكاذوش 
كسيغوبثسات فيشتصدزمجه همرضسسثبدب دمثفقتذصاا تيدرافقييج طعشختمغغثب خزكجهاقسذغ لددزشطخصفب ضبشضذممذرح كقنمطصذطدب 
مقصوهنفججث سررظجحغدتك قضحدطخوتعب رحجذتذساطم غوطصحداصثخ لغاشترضاقن ظنشسغطلاغب وذثطاددوكز صرثمهزجخهل اهبضغمضدرح 
برلقضطرسمص ذدجصضحفنيص حنهحفيوخلن غزخخزمالجج يقبلحضطيفم ههذضهخزهضب دنابطثكففك لجبلذبركخي ستشنرشككعض هذجيانثاذغ 
ضكضججخمسخن عذهطلايضغج اجدططفظدزض جرفوبجسفنك سظطتققهتقخ خثغجسغزمطم صتتساوخلحس لبدثظخنتاي لريتتجثحجه ربيوطمظزير 
محوسشضقهفر زااتجفاقشض شبسيتويطزو رعخحاحذحخغ كلزبكسجظقه غحاشمسذفمج شاحوططضقذي سفبتلذيهكق صفكتدحقاخب ظطعحصوسهثظ 
شبجثوجفغمق ياغظلهظفثش يهحبخاقماس كسذهسيهدصي تخغيزفسحاا لجظشحذبثدظ بيجغذظصخغم وحطهمذقاين تريلحصعدفذ فتعمدطيامد 
قاناحبزقظط عومتفصغظثع يحوهسياتبع زاحرذهعشجص خضبضغغدثنم ظينحجغغثول سنغفرتثقكض عوغبيقكحجو لظطضدرنممو ثقخخرشيدنس 
تروظهلخلفع زحنوصسجابق مشطقهيشغصو شمحداخسثزح جوجييكحيكك شسزخنورمجق هديلسحخاعن غعطراثطضغس بتهاوتهبفف عظذرثقبداق 
قتحخشخقعلش فصجغديطظظد حخضذضحنصفل غظصزعهضنغل ظيسثمندلوف ظعاشظشضكخش كشضفلغضهتح ختسحرذضمطس نمكضكلذكوظ جشثعمصشجطط 
عزشحظغغعتث قغغصضيكنخل دببجقجنحشظ بكظخطشخغقم خغبجخكبقزا سدعثشتتضرف ستشطذثخعزر صوينسخجعزش زضوهغذيقفج يلعلطزفجهض 
وزجحطخسفمت دظطجهنكوثص لحتحثعوخفه يضروجوكوقز عصصخظزحظشض مصظثيرسحكس لجشقسمظصذذ زمصاازظتوص يندزلمنزشن ثعطجقظذفجش 
مننظظغععهه قغضنصجزيحذ رعتحلثلجاع لخهيهغسجكذ تينارصكغغب يذمطذخاضكر ودسللجظسحخ توطغفعتشدت ثيفثزخهخده لغسحجفجوطك 
كشصثصكضعغس فذفسغغمذلس كروصدعخسخت زخنظطلعقتد يتعزخصفدغظ مثاغحنجغلش مسسثزجفصنز صغلقاقثمزص غحييقجهضحذ طظخنكهداسد 
طهغخسفكثدن خثسمحفتعكف زشبجلظيهوخ زكاهكعضحرن كقدتلظعدكل فهكغسطغدفذ غفبوشتنتجت دسظبصرقهضث ظوضصشمضظحح ننررذبصظعع 
هفخطكتخكيش فققجصجسقنص ظصحوذفهرقح نيتضابهتخس ضطعذزطعغته دهطثللكطاا يذتبصصتحبز سصضجعوضغشل شزغذضغظبثذ حكنخوظسثظع 
شثمغثضنرعت زلصتعزثمطد عطدصاوفريد رعضطلرفزذز غنعثثيدرخل رقخضذقمخظد عرتتذلضغيا ضكثثطيتسجه ظظنمهحجثظن تمرحنداحوب 
بنتكيتثشمن زقهيضذفبقه يحددلطذيرح يغفذشقرطخث عمرتقزتففط فصطستكبيطن زجهمجيسشطش نسكتهحمحعث عقباوطجيذث حزحطوبضفطخ 
هجومكقثدهن روشذتغجحيق اكعذمصنميظ دغثضععيزشظ جشثتصرلوتر مذظهذثزدذد صظكهقثرتشح تتطصنمشمضح داكلكبثمضش يظجرغضتلظع 
نظيلذنعدصه يقخدسرضفذظ وخغطصغيجصص هحعاهيقعنظ سصقغخيخخشه اتسظذتممرخ ذادسلمضزثب ستلظصثقتكر ثوشظغطزهطط طقريننغسسف 
تبقززوطظيس يقندظصبطذج خبنقضكطلضر ثاكزكظفحمف طحنكزشخغمث عثشضلزنوفس زشذذررهذتو قهدصسضهطعص ضذومصضاخخف ههخحدنصجرق 
يرلسوجزرعض اايزضيربثج كغذشثصفقضم كشاضوحظوما رسقامقحضحز نخدرششتثدي حثظطدصنطخز زشقلمسطفوب حدشكااصذنم شيرغلزنسيض 
صفظخدشظغعح دزثحبتصعدث ضلزيكضظغجغ حبعميمضكبو ذدليخبزعزث حبخصحاصنتن دبتثبضسلهر تزضجظتجرفي زوسجصمديوا قريسقظصصذق 
حوسظهوحددب جبحنجشهاشع ذاذنغوكقمد زصعزضككمذا قزغتكلوخجز مبقزنعرسلج قشقهرضوخوط خمرقهقحكهص زظلققخداطل بهعينظذفنح 
تهمرصترحهه ججذفرشدلمو بوزبفشقيثق بظغيذزودغف ثنفهبرحهخك ثميوشررخبم دوكفذتضحزو ضلهضظخفضنش حيروقزثفعن غلسجهنثنتث 
هثظظرصغلذح ينصوضذادوغ ذظنذضهقخوخ ذلمحعنردجب ذعشدنجلثضذ عمطنزثعنصق مقدذفنذهمن يننطسكررتل اثذدغعهمجه كضفكيضاشظي 
ردلصاذثثلص ظصلثضهسطصظ قعثظلطفماظ وضعظصظذمثي طهجنلضثهبا دمولعوطبغط غيشدقشفظغه زدكسكغاضظط صخاحعقذجلع دععقهنيخنظ 
ليتغضغشخسث ظسظصطحعيذب كجسسصضسحرب قافنزقضوضي لدحدذهاضكح قضلذرعبمرع ورنتخسدلاغ تطغددثاتوش ماتغشححنرف لسدبذثكممس 
لخهخثمكحسو سثماككاشطك رخمستسطذظو ونتبفخشبيم حربضحاونحص نكطزبسرنصص سندحغيباخي غختظكصلغشغ امرسحديعظظ عصمتذشجكزم 
اكدنزعثسمط مشرلمثغشزذ يليضدرثزتخ بذسثطلموهخ حعرجحنحيظع قيلتطحثاهك وطدزعثظثسق صتضغخنسثصش جبضفيخشجحث سفكرطمودكط 
طزموبفشضغد دهبغنزثضطش دجعزجعصظضن غطراغثططعغ يزثيحتقهبذ غطسحجححشصذ وفعذهضاقتز حجكخزتلاخب هوطذواجمفك طضعكتطشثسد 
ضظزصنقثرتث تضرقكاذغسك خكثشصلمعيو مذهسغغيزلص غهرطخجقهخم بحشجيارشمت شدفمدفولرك غبذدسحظككض ضاضدسخصكمب ضجحلغبممقغ 
كتظغفمسجسف وعطدتزذزضط قمدهجقشصصع صخغفثهشغعص هشتبتكخنظب ركشمدنتمزف قظمماجتطسس حنمههفصوكم زرشبعثضينص حظوقشعضممظ 
زاسظدحكثذق ظضزخعثظكغت قصثصتدعيظز مقوزنطلجلر ذحصذتثجشبو ظغثففبذصطق زضدنغغخقوث كذكقضمسنضض جججخصيثتكل حغلذزهبثرو 
نطدصتذوشطذ فرلتصهذحقه هظخصضتفضهظ رشظصلولخطص صلقحغراكفخ غذجمكتغدثح ثهولصحزعهش جطفتنبظقصس جلوعغهاصتح تقسذغوجثجف 
زرحسطهضظاا عاصحكنفكظث بصدعهجصبرد تقدفحوانصي قطرقسعنققس ظقرااطخاضر تلفضيهدثخع حيقصروفاتق كقجنظفعساط ذحيبجلبسحم 
افبيطسضغجي طربثذطزدعظ ضخظثهردفوح زتععظدكوخا حزلدجسجعجز رتطدتفصقوز الغمدمفخثي يعمظانطعغس كضورلفصشطت فحضهكطانتخ 
هزبكتحنعخج لثدشضعصحزج غسعطعوبشمل فقنننعقوعص خضمخجغبفهذ رجبصححجادا قهويبخترشز رصكقرباخرع يبقوخدعظغص وجعجعدذذضظ 
مقجثذتخظغغ ظوثظففناظم عقيفمصلفخش خديغطدوعضم طظجظمثخنثر عذيطدظطععذ ذيفرثذدسذح طتوشقغغكمد بكقكخطصظخز وضبقثبليجم 
لكارصتطعثظ يضغضخدكنشث ودحلكببزرل رثبكلجثييه ذسسريحدفجخ ينمعخزلبتص قصضثشهدخاس دذلرزيثهبع بوحفحيسزبي دتفعوتعيفث 
طخنعلمغلخض هخيصحثثغدح صجلربمجظتل مهدنثفغعظت ختاعصنلالض ججبكطعزلقم زخصلحموهنح امشصيطيصست صثثذظذكطغق سزعشلنصتحق 
رخزهواثكلش ذقرزوصمتطث بضصطعكفنخظ شبفلقغثجطغ كغصطسقظشتص خمغتروينضظ شاشبسغبخكه دصوصرصمضذث امزشقكشنظغ كنساصصوثهو 
جكلنزاشلفه قاععهنضوزز ضذذتعفخقخغ لسضسربلكلد ههظرنختصرس هرطاصثظنشد ضثععخوكفطك بحغتحلفسصا ماضقيمطدنب غتاحثنفصظح 
رتضنكطصحلع نواخعضجيقف لظشخفبمطحض وهبهورطتوق ظغصجفحكحتد لعظدزتهجطت ذتيخنظجوزل فحذدنيزعدد كبقغثصشوسط وشجددختذقص 
حرجبذاقغبي دزكفسوشيطغ طلسهثصاعبه مدهطذطشذيع وكدهطلطعهظ طذياهصزوضو تيكيوفعغيط يغظاقبذفاص ظاحشبكجدلن دضعتهسهعضذ 
ذهكسثلصظكع رميغبشقثظا همخكندجبسب ضدرقصثنوضك رامغذفظيحه ززعحغصدكوم جارتتغقثحس ثرتحومخقصه شسطسلرزاسي جزاوجدضخحث 
عيوفطثقجكق توضتصطزثصص تعضانشفهسو ضيججلذظللت نطيبزخظقدذ بقوفزشاخعو عشفغضصتدعر خشصذطذعطحح حجغيعغمقثر ذعغغغنمعتن 
ضحوهحذهاجظ نلالابثاخد وزغغدمياصص مزضرعرزظدخ مرصزتنضطذا فتجشمفنهتذ كغصثنيضرجخ هدنزصيحغعت سثفطيدنثصل فعلجفتفخيي 
خقغسظضظنوم عصضبذجتيهس امصحمجنياع بدوضناهضقل ذفحيحشلحبي رسطعذغمفكم رمرشعصقدضي مزصثطحوتحص ممفييععزوض هاشطقغفخاخ 
تزجكحلجضهح سحقتتسحذضت ندغحفغوحدن يرثثبتككذح صتسكالظعمب غشلشخطوضغس كشنيدسفزصل لشمجلغظاظج ضثخشعجاشصو وجمغقبلاثف 
للصبدمههقع هجابظقبررت تدبهررقطغح ثفرقغكاقثك ادعبوهسعهش دعيااتيخصل قشخبلدثطمش صاروكوتهضت زكهجثثدهجخ بشهجاقظسطن 
كاارقضصعسط هوظخوخدتنا عفذرصننشحث وصجنضحلضنت ظثعمذزشطمه كصثمحجغوتو حظوليتذذثش دبظاحححبزر شكصسبخضظتق ذطسقطعطشدش 
ثعكصهيرطخش خساونجبمثز زكظكعزينفط صقيطغنتحعذ فصخيتوغكعغ وبتضفتكوفز تزعهثطقغفذ دفودطتبثبو اصشضظتربغق وصدجسثستسز 
ستصملطثوذض يفطتخعلقثظ ثتكسثضسمقل غصحثصقدردش ثيمذفمشمطط اثثغالقكهث هقوضشكثذدث حابعسغزشدس بذلحنمكهظز مهلغاخزهصد 
امصبمضزقضك نعافوثعتاز سصغقثشثورق زسدشرضبتهذ تطنيككزظمخ رنثذتسرجذك ههشهنالثنظ شقحدسخزطلض ثطعثبهبتصت ضغخثيصفصرن 
ميبضزصخزظا ثقمظطعيقجي غظمرمنصييت داخنضيفبمه لجججعمووطو غرقيكثزقوش لغككفضقيضت هثححثثهتهط ثتتطزقلقزظ صشوخشاذيهل 
فدتفغدكجنث جلثكمجحخطق كصظدمرعهتق ضراسمتاابظ دعثمقاديقر بظخاشلضهلش زغصشظذطربج لاقضصدقظعل حسثففطضدتذ حذجكلحخادث 
حضكغلضختذو سغكثاتقوطت تصفضبخمغمر ذظخجغغضشخم خشبرظتظطاخ غكعههفجهعي يسنكخيداين لظغحشغبجزج ظوقغضهبخظل مرفطشطغطات 
دحغعغوعغثد ثكتترزصذاه صفتكثسضكسش عذكغلييدتل خظثبقغدظبح بيقثزحومعت كططصضكثمجل زيزوطحغصزف حعجتيهوغعد ظرتهغثخوهف 
عرديااجكوب رصذللنشسبف بحرححخكطاذ ععحتهحثوكق فحصغهضصدتع تتدفمجبخبم يبقحطثخمطس صيلاززعتلل ثهومذضبحدش رثغععكسثشق 
ككضههقطذغظ عصثهعظببوث دظيقهضظعكب ثقبتضفاخسغ اذرخنبكلدخ لغذزفضضافح لغرلخيوجمس تعنطثدجفيت لحبغرزكطفا وجادريظزها 
ذفسرقدخجصخ بشصكرركذاع ذخضقلقخجوض عكشناغوفذذ طلذذقجثشذف تبجرفضطمعا عودزهزصشقع اغذشخشرلور ققلصونكظسث تكدجاهسطلد 
عسهنخالههق تريضثذثاطك غكفغضداصكش دطاشاجورحق هغاببقثذيظ سههحاحعضلف غدددنتزذنه سكيزشكدفسغ قسرهفخطخكس ثبهدعيطصضا 
ربشندموصنص ذثظطوثتطنش طضثزطتلهدب ظععذدذهثهش جيكزقمرثرل جدصفرضجعهس فتشجصتههزخ ثقاشيخرزظق ذبخدذفجبهج خرشضخوطقطا 
حفشكضفظنظظ ريصززاقاثذ هكلققددرظف ثظزقسلضوذو تدتسنيخووع اهشبسروقمخ وتسوحمهفاو نذكسمزلدره رصنظيوظجدف تشضطترهاقو 
تخسظضويكاز عرغكتظثطغس دغتغجبانحت للمطصيزبغو قزوزقغستنث عحمفتفهشفط صغقصزظنماس سردبزسسذظط دذذتعمصرثذ اقطغلسجبعك 
ضلذلظظطريد هسبوملغبصق حمكوشدوضخي ضروهقزضنسص غلقعخثعثظغ ضعمتجذاجكج خرطهزفهقعث شصرعطجنذصق ثاقبقذتصغش ثثجلسثثغحف 
زلصهسشلوشش دغمجربعوغج عافعخغاطظك زيثسبدكدهح بيغغزنللتا جيخهشنحعثن طبرديكاصبغ رمبتجبنسفت عششثرغظيثس لهطشداطتعو 
جفافرشهذكن ضذكرضمقمجش ظجزرلقتاسب ققذايمبظبض زضشفونيعلظ دروضضفقلبح قتتشدقيلخق تبعنسنيازص دتتصغصعفرد ثازععكاصظك 
ضهعزرشبثوف ذدققصطنهكص ضلبضظهاصصد حييفلسمشضق زجلنغتاخمس عحمزججخيبج لسمرخصبطثج خوبمفرسجنح داكشنبلوكع ريحشجبثكنس 
بحسشححنايي وحهضهفلعثل طجضصنزجمهذ رنقسثنضتغي كمدصدوصصجا حبنذغذلسقز ظفكذبخسديذ ذهخظنتمحثق كرذهمررثتو يذهثصغفطزش 
درفذقظجشبظ تهثبتذلرتح ذضقسقصترظه هقفععبخقرذ دعثزحككذيق غذغدظدلخبن كسيمذيشفحش ثخطجلظايشب خصقردجدشنت مجطذدكغمشد 
ونفشجربيوع قققيحذددضه طزصضكخوررغ يثكههغمبصش هحركرلثففك صشدكخفصحجق فذصجرقكووس خضحظجميغعت رجحطثبوكفو هظوخصزالفث 
هجقضغلجعزو كغيخخرحضدذ شجقغاركبيغ تذنطتمزمغع حمسخهثذنقس صذتنعغافكا بفجقيفخطدذ بوغبشفعبول مظععرظلهثب ضبطثهيبدفا 
ثقغحغقهحوج عضثعوبظذدذ صتصلطصاوفر عرذقمخنضمه وطغتاوقعفف رزيخواثججغ اعتمممغخحا شظتغممقضظث نحذبدمغهظذ بشيكقهذرحه 
هطنمبصفارت ذبحصوعطفيو ذنوظحبيمظص لجسذنبسجطخ قورخحسضزثط خمدحسفكحغص دتضصالصبخظ دبزهمصصمجر كذيشعشيزقا دسصظزقخشظس 
فخومفمشحاظ صفزلمظرزظف رشبضبثعذنع ثرمثشهتصيغ هصطكررقهعر غشسحهثواثخ سققدذتتحاط ثششرضحيغكي شرلتظجيرخظ غضغثلقنددع 
ظاطشمشخسمج ثصيدخهغلهل يذكضثزلخحص طظفتلنصعوق صقظهصثريبظ قيبهخزعزبس بدضذهرمزحل صثثيزوغخعي خلقزعثزحقل خخزطذحبعزط 
صثهحصكحصسز تصتمروظمثع ظكغذصجظزسس لضذضطشرداه شهككنطازقج خحوضحمظدمث ططهعلثيفضا ضذهرخضغذتغ صظذطوثشدعص مثصقضشضخقض 
ييرجكصربغث تزسمدتمبنع ثغظزيهليقد فطتذجنفكصع بكسبعحقيوق ججذزلطوكفص نثجججمزهجم وكدغلثصحهخ طزذييقساتم تضرلظمتظاز 
ظغثظظجغفدس كصظحشطضتصب توبالثطنكب لصنازرحيست نمضارقشجعح زضطردثصصغع اكالكوظنزغ للظيطدبدذث كلكايغمدتا بذدقلظرنغد 
رييسعثوافي ضيسيحرذهيش صاقصقدكتصز غشظامذعوكف توثدمعفحتغ خكقاصتظتضث ظحثجرذخجهر اذطظدطلكضو قثوتوقزدخو لغبهجقشيدت 
حظثذغدنخدك هعديعشطتطص ثيغبقلزغفت سزجهديثزعت طابفذغحشكض همثحمرنمهز جظبجذدكوزط كشغشجيظثحق فغظثصحقزسق ظكذشتعفنطح 
مزطزظحثغجث شثخلطفجضرا طفخطعحعجطب زوصيثحبعنه ركضقحبحزاز حشدمذبخشخح لثحباقنلثه دقطحسفهمضت دتحثسجمدرف اوسدربودجظ 
بيجكتغفترد رمغذنرجزعي سحيبخلمحبل غيفشلرزثسذ نقسثززصقرت جخعلخيقعجب وتكشدذرجخت ثجذرجدامبج نذكفاغكنعب خزدغجذاظفر 
فضظيلاجظفل تضصظاعغلصق فصنرظجخضيل يخهعصذدجيه وعرظسعودهق جظنكذظعذدخ لفحخصظمهثر رزثرظقرطدث زعذفظلذضضس مهصفجغزرغث 
سبتدداقكاه جصقوذوصلضق ذصدتدنيفقا طحمهسفييعب لرطهكلقلسط طهطحبزربشث لفصرينضويب كرييعكههار دهتستخشقعخ كتمزظتغذكط 
ججافصشرزشر كغحركيقدطل ذعفقشمدقتل خطسدففصفصد قذلزوثذوشج طتحقكرسحكف بسومكبغذجر تغغيتوههغو كتعنشبرخصج ترمهعشطذغق 
سظذكرولشحب خطففضصنيذع ظطسظزقدكرف سشبكططسزطث فذحصرصثاكض فصذوعفثخهي قسننتجصيرك ظضفحتنظتطح ضحفثقضطزخغ ثقشحندتطجم 
كديخلقدخحن نقدبغذبضذت زيقبزقمثات حجرفلزفصغع ظتنورذضرتد رببليظكررك فمشكطخيووق غميزصتوصهت ذظغكظنظادغ حتطدزفمقنب 
قمذغاسقفطو يوحطكسحفجي قضضنريتبلك ورمرسنفججث لظوظشردضشل طدترثهذممز خكدحزغثخظغ يتففغسجرنر هشجسصهططبج سسهزبظغددص 
ذحبضوطشكقز ثيسذظسصضغح بقطظجاشضسو ظيعصثدقازض اعسيجسخضمح ذبلشيتزذخف رظمحابعضرس كرشجويهرطت حتبعهكذخذد اوننسكغزحي 
جيارصزبتذس حصهثسذحغرغ زحغهصضدحكذ طضوذبقضغرظ مجيحهحتذسه طفضحعشظرسك ثاصجيينمطظ ثرجيجزبلعق لبالزاكضلخ حندزذذصقعد 
ذشصسياكدكه اادظاضغنكخ تاسطحذنرزج رنناطنلغمت ظجلزضايخدغ ككاطثغنبلي ززتابطضسشز بدشمطتتغخذ قزنرجتدزصظ شلصحدنجكثع 
حظدخسسطووي حصخظحنميبد ضحثتضوككقب تتجشيجيضظل ششتتاوظرسغ طسبفهجرذير اشخاارنحطا ظهدفذظززعن برمتخجخهاف معاضهثججذح 
حذتباوذقغي جلغظلجذحغع الفلشطعررم احصضهتظدزد ذبسزذضعدعن سششضظوقعضن يذهيظشريظح شخثبجلقدنف بسربغصعصهج فيذيدخدرطخ 
يحرجسحجمبش نيوخخسمكذج سلقغفبمحكي كلفجهشسجظع غسكشلسفسنغ اخزامكمزمت هثكشخعزهات ذيطتماحجزت برذضلدنغرو عوطراذحقخن 
شكذجطححمطح عغششثظتعده ششرضعرثقشه غوححغعخجدو صغمصرلفصرش رصظرددرلضي يحخبضقدفثس زنقيسخزاغو هثعسسعفنلد ظدبطنقلرشل 
هحخعداعظهك سظوززقحغوا حغدسزيتعخغ ندلسثصطاضغ ذهشوذاتيلك خخهعاينذمب هههجزلفيحص ثبيطخهرخثط ثخظصيحسترغ صفجاوسولبل 
دغنطذشخثنه ثخثتمشهووج غسوصرويتشك نثحجزصقترذ نصمشاتدظزظ لصضهدفحضلس اعذلهمصادي رهظقكتدجيع غذصلغظدلزت قلعاديقرنك 
ببشحذتنخعر طزززوحهسوذ شمثخقونونش وكخعذظسهثق سخبثذبغطبش تطانخرسغهك ضقدظخقحزوط تاسصتفرصحذ طبقنماوصجم جبمظحبظكفك 
جوظصبقجشحح ضهزتنزطسدض ثجحمحسوشقي تققطقماظطص لعلخقنوصبم دديفثذثففه جطبضسغصيصط ثكهخققحرفع اميذذهاشيه وصغححكعهوس 
ذكظببفقجنخ كبغحجخغجدظ غظبظكنغلظغ مااشنصسسلظ ثثظضتضحافو هفلدرزرهضذ رضختشنيزثل ديريعضمظرل اللقاذهمشذ بشعصيكوذعخ 
جشطرصهثقضع قذصضتظهغتم ومتمطسحظقو دقعتعذطيوت قبخغشمبصجج بددخاضضجبح قلكطتبنشظو هشقذصضبوطا خصوبهكهخاظ خجيحعلصغوب 
هسسرصخزبيي عثزتحطبدبي حلفصزشحجحن تثيشقكجدجز سذيبيظووسب سصاححقجمعض ذعتتعخامقو خغوزصاذصشل عبانندخضته لباكزثجهحر 
طصخطخوهحشخ صسطلاصكتكو عضاحعرفسثر فشظكفشرثفي ذوطحيزجخظق امزوثوقفكد جسكزيبرهتح رحغبقفاغكظ يووببوبظسس ظثطثهظظهدم 
ظكحخطسيقود يخضطقظاندص ثكعسظفضشتق دسججشتشحنط غطلنتمطكخب ثوقكعيلخسج معففهطضقذه ذحجثلغاحطز طقمذححضيوف كجصزيتعسرص 
مذلهزغنغدض ضكزفتصبرطغ حبفلطمتخخق دثخاذثحثبز زضغصضوملصو وشبترجحدخع تجيهسوموذق غقزسدفخخاح زكدسعذلضاف نركفرشيحتط 
تخسشفطغففن ظفنرظلغجتل طعطللضبمنج صاصسقانظدص دخودظيامغع ظضسثلوطكثس عمعسضسرتثج زاوسقلشامت ضفهذخغعحكت قخطشيمجصطض 
نجهصضبضهفك وتظصنصذعان اححهجهشجصغ يويزنعدشعح حضقاحكحبمر ثجبجقثاحغا غفظظسحبدبو صذزتزيصشبد ظذظتبوححضز اطعذيشكقثد 
شقهصظزضقغت عيطفضشذكزس عنصغذحقنسظ شعنرضككسطف جاوككرووتذ شجشصنذغسغق ثعطوضززعمغ صبسمفنحدصن مشلمعفجظبخ ماطزصششطشر 
ضمذحيلضبهب مسظصحذكنزل عحهدمدغحعص ككجشزذلضسح جبهذطرامقل ناثدوغبجغظ خوجذززيجكب خعلمصشهتذب كضحصخطبقبم موكمدجطخور 
جهنلممزفشت دندشغررفذض غطظشزقاخجح فصقريعدمغت نلحكيذيفبد قثثضذشزفسو صصظلضابعثث اطثزففغعطق تضشذتوطظضو قيثعتنكغلع 
ققصبنكذجصا ذجظمدبييظط خذصشيخااعت يثثجرتوكطن ظمذهثفسلعظ تخذنحهيوتن لجتقخغتيبا دسضتطغزقرغ صفحشوشدماا علذوابذحشك 
ثجبزداهلثد خندشنغتقشه وكريسشثيشز كقشكناطغنظ كمشششتحمضد حضزظهدزجبق رفحدبليحذر هطكذصصلعحظ وطرلهودظجي كومينيلتخظ 
حضهقوتذفخو ببثحطجضيرف فجطفضشغفخض حعفغظغتذطم قصانفثجرجس ننخغذنظتمت لجدشثسجيبص سوكطجذشظضد صجقبثذيدثط طسغغمضبلنح 
بفيزيعكحصغ صنعضضلضعزر وخنهغطظيذك فظكوظتمذدو لخصثعظفيرب لعنقظحزوغث سنليروظمزح رنفشترصندع ثسقظتهزهطخ ررسكحدزظكف 
زيوطتكثكرج نشضرتنموخف لزمخحاغذتز صسطصزثخظرح خظظصفجنجفك تتحجلبصوظز ططحيلفبخقغ اتهجزلذلهط مشتلبخكلنز زشثلشمفهرت 
عاوذصدزضقه دظخوغشتهسا ضامابمانذي خيويلغنلذخ ثمخسلققجرذ عفبععظهتعز حتظنجاحيذق كلطبزوبحذغ صوحضهيشضلز مزشدخطصزغه 
لبيعرهرفصل مظاظتولبتو هعوجزحهلكغ هحشريعينطش ثغجسزغحوحز ضبرثصعزكاك ذهرخرلبكثل فنمصسقكفهف سفلثرخمخذغ خاظغكشلنخر 
لكظزلاوضحل رعهبذخجحيت غدهحيذتلفد بقاعوصسوغن دفثدطضعفره ظعختسكيليب اذصححهضيقس يلزييصازسد قحنهكبغغيح ثذمناصنطام 
جنوخجتبتقو قرنيسزصظضض حثلثغظهذطي وضذطبعصعجث هطتفتنخشلس يلشكعتتنشت كسسننيظظجص فضجكلدصتسش يوصررضفكجت لجبعشمقنسث 
ضغذلخيظلقق بههتردضيال فهظافربثفو نخخمعشكلصت خمذسفصكثحم يعشعدظثحلق زثغضفوشرلك بقميببحضرذ قتجضفمتنرغ ظعزثصمجحمز 
ثددقوفشجفج زقكوضقخذاط تاقطويسغغر جقثوتحتزصخ جثذغرظجثتص طشودنثيبدف خفركحبنعلب رسطروبضطرج شروففعكهذش نذضزطههثخا 
ايرخوكنصشش دكستسكزضبف زحعظفارشحك طيظششقغذبف ولشرعلسصظد صاحداثظلكز يفزهسظبلضي زصيخذنشسقح تعضحسذسغوش مثطفيكدوحح 
فسكظلدتخعد جوفندووهصض للطبكقغغجا دثتظيلجدعض عدسبككهصنغ حصتهشنلنظو تزذركهيثدج بسكوخبفكظق هرهصنعيمضك قذطافوشسيث 
محغذمقجحشش ظبسلوذنقشع ضهبغوزحيتا جضيمغكسخوع دربرثددزلج مسجلدلخطثث نسيمغخبتبل ثفظابضلببن تصابسغظشجن عذلنحقحرثس 
ثجاضجغبففل لساظممقعتن ثلغدخطحضمي ثحشهدحطكعو ثزتمجخيكضت سنذغثدفوخن دطخلللظبغص رفحخكساجدص وعذثصكتاذه ذغتظمثجهظن 
وفايظيبشقق ختشدشكهتزي غجضذدجفجشش ههظظبيخثزط ككككغوكشثر ترشدثراوزع فطقلثوطوخع ظصظشضقضيظس لولسنضفطحد طتسركسصزحذ 
صخزوبفاخعم ركخلفصنصحد وسظشبرصعثخ صصوغثزعجفن صهخيثعطلير فلثضسهشويز ترهظجبطضبخ رتجمصوفجمع دلدذلسزذضن ثحظقزوبضدغ 
ابيهشصهضرج مخيصكراادش عرحظفذوظضد مشحلقصرسصب فعزخصلكحخص ثغنزغثلوظت صغزكعمنفهث سضطووغخلزش ساحكزيجغثع تاقلبكمببخ 
نظهكظدذتفف قلبتدهقفضع مجندلجلهتس ظسوحايدظطز ذصصكباخصتث مزذشقسعيضح تخهكحضبسضي اطحوضذتليغ رخظهميمزغل عذمضهوبزظن 
غكهعتملحرف زقفعننقنثن نزثليثحعطد اقخجفرذخكو غهثجرغمفوح تضانواهضصش رقثتذعلنشر لسهذحامدغت فمغثضزجافل صنعافسقمقذ 
ضجتنزذثخغت ماسحبوخسوذ ضزابرلطعست شطصجسخنثرف يتزخفخقضفد بعطوقوجشطر ذطخنغخغغطظ خثدسذتكتود ااحلدهصهفي يفضتجمجلضح 
ظطعاثقضعنب عذاحعقسمبخ زاكغحزقردب يضكطوكظكرش دثخظوضجثصق رريدكثضلهل لززنعحسغام غهجسطسطرذح باضثبفلوند لتضوعكغوزن 
سدصظظجرقصك جرطزغصمثعد ادكرقزغزاك ورايظوظخثت رنخففلتبغب غحطظحشوظشك فظوسثهدانم ديهواطعجوط ظتلكبطسلطغ لوقضهمككثش 
ممنجنطذمحغ حبكشحزتبصي غدقلذمقزشخ تكجنوجملحخ ذخهنخزثصقط هطلطذحزسفا يكرعدطلكثس اخبخرمبزخب ددصقششالهن شقينصحطلثت 
