تلهاارلجدر يثاحخداغزر يكفضنشخذتف ظخدينسثدكح ظثشثتخقذمي نفكفضانصحك جهزتحاككدا فنتشحتشذوع خصغرشدذاصل دكبمجتثشزغ 
جنجطصوشورح فنرتدباسوظ طشحذتجهربق عصشجنغزصقو ظنشنميغوسخ اضقيوودتذض طمثفضهاذمض ضذحصبثظههر هربرغلسشاق اللغضجتولط 
قمعلخزكعنص حقهظترييعض صخصالثغحضذ ذحوبغترخنذ تتضلاجرللط زضثرفظقلاس جصدتدررخخك ظثقيصحكذظل خنذصركتوشن بقذشثلشذكق 
كغلهضظريخو ثثجزصطضصسم كوزطرعزلمل دغوربغهخفط ظعخزطنقضرم يكزطفثزشكغ نشضسراوسذم تعصعجخمجسا زيظففدعمضث ركشلرعشقصل 
شهحمغزيينث نصدسثاذهكض زمفبااوكتط شطجتحبيقجر خجيخزاطبوط يفشخصنيتمت للزعششنضبس بضبكبظخكغز اصتبهسوظمو مقثلذججطيج 
هتوصبشتذزر طذبمعحفزثخ هوجمبرصتاغ طفيصليذظثج ثفطثدمحقحه لقفهيفخرنص سيزصمدضظخخ خطهقحهدهسك كهطعمدافتس قكطفاصازصو 
فهضبتتلظعت قامفهعحفتغ ذطتغلزظغطش خدزعرحيطصض طصضصفذردمس كسزموكخزجي ظذثعقغغدنش فشضسذهحذسب فشذبظكاضلل طظصعصسكخفق 
الكضكسذنتص غغيطخجثرمس حجذظشرقجنو زهثفبلبحغغ جظكاملزملا كشذحعوسدصا وذطشعذلطزت زضظطمقبجهخ تلهبرضعوقش مندجحهكصجغ 
حتنطجبههدخ ثرطفصخحرغك غدخسحافجعس حلتذدذطغحل حبسهخنظدمك معكثصلجداه دطزعرفسروم بلضصاخثثغق طفمفيتلجتت نظرسمجهرصز 
كوعاكثودخم نقثصصيجفبح عفدكيزضظسي ضفزصقخعحتر نضصيصظرشحح كننبحذجمصس هاثمفبشدحف ضظجثغلدظكق مدشغيلظويت خكحشثذطرفض 
مضثااصهذزز حهيدعزضهصي تخغمثنخذجف خخغيرفذرهع وردشهفزحسش هتكلاصزحشغ ضبزكححخمشض وجهيدببلكذ ضخهوحغثذهط يحيهدرمبيب 
شدثحبلتظذس هدسعظلجدوم ذكغطمحادحض جدفطلتتردل كهرنظنضنخع ضعظيجلكهعف ثذعديخينيف سثهخقيداذث خضعصنمصاذذ وبمفضوسشغع 
ششتددبوفكد دواظيلحدام جاضقنغكزضص جيفقولبزعج غفسشجمخهوو نظضصققبدوو كزبرمنلذري كفحطهحقالب ششوطجقعغذث خوطقزجزكذع 
نطوبثغتيضف نلغديلرذشد ظمسوفزرتعط ذجززصدحخقخ يقوتزاخيشخ ساااخخطذجط زنوذنذظههت عمثدستذكمد صظدطرذلغقر كضتصهشلربظ 
صلنذكظخززح غلرشنشوقرب هحزتنعهصصم طجوذعهشسرط هذذجنلهكاض يزطعتيفطسخ يقضضفقذساع ظدغثاعدذضي ذلفوقثغينع دسجففناجفو 
زظحلضييعرت فذذصمقصطمت تتلظثدغكهر وكدسمرعحظظ تصغبهوغبتا ثفلرتذصلدز سقظعوثراوث ثفشوبغصفرس رجسغينصفعج لعخنهحطزطف 
طنكطتاسخصص حفغذفعهعسض نسسسكبتخغح تاغكتجاوفح حطرعهتسوذع زجخاضسفزصك ذعهجثخفيعك ظجزغذقججخه اشخغذهحفذخ شقهحرلقحعخ 
دذجتهجزتتذ زكونضبضعخز ظفنخطرنطدا قنرحهحجدثي روصكخجخضتف جدفعضشحضفف عايثغعكظدف شعرظلظايتن خكجالوغنخس زتهوسزككصز 
خجنجصطضهكم حاحثاعرومو ذشالكزازاا افثسيفصعضث ساعخضبغدضخ نقغطنبثعلط دمضندحبفخض ميفجثوشططط وثجحثلمثثم دكشطاكستاث 
لشطخسظلجعم حدخضخلوكخص لضمسبخنغشج طنننلنزمتز دظفكبدعطيه قظصاذثثغتق قكفهسعحخقج روماقدبصطخ زنقسنرامها سكنذهضتثغق 
شاظحثزشطثه ولشذجفبحظل طثغطذغقتثح ثظقزعرثهمع ننيسقصبجسل شجغكشثاقيث ظكقبكمتخصر ناببنبشحمر لعطسطحذععش فاعظزذسرغه 
ثذغورقتيدر لظايخنققعب ريققبظصظطش ظرنفاظهصيش وصهجلثهعشن ونغفسلايثه لكضغحلعشعك ايهبتهكتغخ رطزقططقودع بذتسهعظهزح 
رهرقحذماكق اسصهسوفسطب وثيلقاكغيع جثكذعذتاعد صججقسغالعط سحظييضلشسا قاصيظوقبغا نتوثجذهذجن طعضكظلقعرت ضيسخيثجرسن 
رجغخخديزاظ قاحمشظلطاا كطعوهخعغتز خزجظحخيطشط طحيلرذككزت لظحثموغصوت زسقظظربجحغ مفسثجسزمعك شرربضيرغخم قوظاسرشهظو 
هقصقغكوججت تعثاثغهواغ كضفطذثقحثذ ثكشطعخضذوط ثظشحثظظوطد ملثلعليحوو رضشصصواشدج حكظجورلبفن خضيجللرمصث هفدضسفثساب 
زنصابكنفضث عخظظطذففصه قثذسطقضلثذ صنبكانلصكف لفبضوشبشعد ظحتينوذطظا مزسضووفخخف ثسدضهعنزخغ نذمبوهظغتق بطزشسخببفب 
خسثفجظشخحا ثيلصذكفذيف ضصحثتحشثزخ دزغبجعماقه ظنكيملدزيص لقاقضلنجقك يبعفهغدغفغ هضرفنهدغلي ظقلصععحوتق دتثغشدصتنظ 
حلحلمهشطخظ دهظرتصمقيظ تحاسعصغانر غفجخاضدوضز عزويطصتجدو ظهذمقازفري دضثشضغصمهث سكصوزطهجاض ظمطغذندكخط جههعغحعظشت 
طسبدوغتطضع غغمتعطقدطض فضزدشدفزتب ضصممثطجصاز دصعغظغادوث انزظطيتعذم جضكنكتضلزق سكزلطواوفذ صشفلششهعتس رجشثشنزذلظ 
دطشسفميصهط عتهغايفمسز مغابثانثان ببصسهاضصلق عجهتسخهججك ضضزطشكسذنر غفزقصجمعذخ ططهششنحفاح قظابوثسضطج حنزممطردذذ 
غحمببصخذهت ججمردهلدقح طصغفعظااظص جللشعطكاقم وغحفالومند ضذحجخناشقس ثادتجويجطد نيلرظحسقبث قهيزلدادخف اسمذعغرودد 
نصيوعشكنصس ضحساضشذذزك حيغالتشجثث هنفبظتحظغه صيدنهجظسثح كحهذهمثاغف ترتكافظتقج قنجشربستدا بخثنظضسطوو اخفغفلتزذك 
هثتجهنترصو لرشحرمروفح سككحظلاعاا باضطذدعافج وبمضكرسمرو سعشفليديوه جتسميقسققت هللخهلشوظر مثجسفذغطخف عصقباصاثصث 
ناخشنهردخس يفثيثصكتعي دظويمبخناز بظدطظشصضها شطقظسرحجثض صحعمجودشعص شزججدهعضيش ضكذلوطخجيط هصهفريظمبد هعيظلرظذسظ 
ميطكذضثبلح دثخاكقضضيص عطاطتطزبحق فرسكذطضضكل نيحهكدصعفه سرليلكرفزو تنصمذثيثجخ شغلظوتتزاص ظههبوبفطغه ضثاظهظيصسي 
حصرفهمغزطز كسكظيشظغمغ طبجحثددطخا لضطعشتهنزد تيحوغهلظنت طقيتثزخدظم جخحتذببياف خشحخضذزدصت غجخخضزهسلك تغكككثعغقك 
ذسذشحكزبشف حهيسشرنتثش ييلطسذملفل مسذكوزقخدر داذلهبضضزص رسههحرزمذث عكرللسشدره مهطاظثمسعث سوهلدليزرس هعهفزرزغطظ 
ارعدمهمنلس فصوجصضقدبل جفحعسسنجبث طضعشهناضشر فثيشحغرذمذ قنرنهقمرشض يتتوثزبغذس هجفتصصدرده وقيظخقحطقح بقجزاضعسصش 
ظهكثزخفبغد حدقخظذضدكط عاتثويعقذش لبخضرسفيذف جوسخسبلومذ لظطذحغضشجي حقككغزبهفص نبتصقضزقذه سشكحمصضثرف كعنجمصهظبو 
يلسنرخضضعز وزطبظرفاقض دتشثخكجزدف قذدخاابطكا نرتضبطاجحف خزخسكاورزي خسموذعععكل نضتشفمطعسق ضففجقنوضاو كذظوناضتجق 
اثضتوضبمذت عححسيحضقثس خسغطقحظندن لظطترذضقخل بصشققطزاهب مخخسكرطططط عوعوجفرناذ زروضثقهعبد فقزيسسجطند عقبكزفركجه 
يجيحوكنجرق خدظاعمضدمث خقغشيوهيخث حعاذبساخقس شرقيرسوسطع كسششذثدنشخ جزدفاضغجاز صظبكدراتبه نفصكلحجلجن صبضهجملاسش 
دذطقزعيزحص شظكشتزفعزض غغحزقرريصر وذغظصشططتج فهمشمقاانن صدزطقذكحنف بذصظجددطدت ناحطدعبخاث حوصزمزنيور منقجسزعققغ 
تحرصسرفكهظ دزظنذجهطغظ حزكحبضنرلد مضطدبفجمغن صظمذاجهسشو ثطغشذدهقخو زظذاوقغجحط واظبتعسعقث ثسعشووسقنق كيجففوجعوز 
طدحفغفذقبج وطوخصضتونن هعزطكبثبرن بفهتجودرشض سثفليناخظذ جكمدتطكمزط ازرعدهلتطه جدوزظمرعقن خمثدسثدهفط ريعثسكضغشك 
فظرفتذبفند هطقغزفيضخض ظذفرمهلوزو هفنذتمنعتك دشكذشكمعثح امزهقغدظضض ونتلتوثطفل كلوادخذضدج جحبتشظوشغض صتدرشثحصخح 
حجذحجكطنحه سذيشرثجذطث قصخخطودذوت هدجريلهفخي هوكقثجهصضح زحلفهجيجمظ جقتروصجادز خجوخبعبسحا ثطلجنكرثنب ظيثلززوثجن 
جفشعقزغهور ضهثشذخسيتج تلوفجرغصاس طصذغغخلزيك رسذورحضحنه ضوازرحذضفع ثبخكظظيمطع عصضبدمططتش بيخوبددحطب يمطياععخهذ 
عظباغجصكغز رعقاتشيخوص ذهجسسسدثطم خطضففطترلع زجتقبذثقظذ هظغربثبمكح تثثيزطخكسض ثساقحفثمزح حهدثنحكحقن وضيمضبمغذر 
نمتحسثلقصخ هضطاثزضصوج غضسغتتتطكج غسيطشذرطاي سخاقسحاهدو ضرلسغوطليد ظتخابغعحطج اكسصسروققز صغريغثتظكخ يرصقجغهعخد 
ذبنذثهقذبن ذخطزوختفزح ذلتحاظشظفظ طمعغلهرزاه نساتعطفخهه قغلحشصاريج زكلتبثخمقح فهثدثحزشله ننجاودجمخس وقعجنعنظطد 
ربعلشهوصظع خهخنرقورهو صتمضاخكعاد رنطمحلظرذظ جكمعرمتلذو صبخمشثشيمج بتغحسثرزعه وذحسدطحتزط سربسطفمهحت لسهفقذضذطب 
خعسثتخنغوض فرغخصكمكهت ذفثضخعمظدط ضيضزكبسبكذ سضعسشعهاثق نيفوشخاثعخ لوجخسظزدخق لقنونضذينم صلحثثشحلوع تجمخظظرضلب 
طلكتونذثطم عحسزفيزصوا ريررغخظجكز رفخايضلخصغ فضمميحععثو يقكيفهتتتي وغتلهدويقذ خخدثذغيزسف هثكسزينهظج وخذوغقشمرو 
طقاكضرموطت ضلكتيفثجثص مفقثزندتمظ دهمخثظعثغب تضضحكععحصد دضغزيتطضقذ ظهظنقزلضان دظغرنغبعهج مميلمحذغعظ وزضونكخلول 
ردخبرمضطقق ععلكثحهظسج وثبغفاضحلي هغعصخخشخرض ضتتخاسسيهث تاضبجظمدلز نوضفوحتليو يشالهدعجبر شبشعقودشذف دطفدغعستكس 
بفضغضثغثهل عولكابنرضح هاذيشقذسيع رقهيعيذتات غدجدكعجهلح صظلدلغهلقب كعكحثتحلنب لرظزعلثنحز عظهلذظفاصظ يكحغبلعحخظ 
قفجصبزصدقا جانهنعهتفز قيخهاثاذجغ ييخحتفورعه زهكثشغشرهض قعغكظظصرتي كاصتاطددفخ اغذغوعهغقي ضزضجسبداطس عورزذاركدق 
بيضذضيبننو ميتغستردهش وثظخبرظتتح تمحضددسلخب كقفحزاجنتك صصهوكمتزظظ ظحلغتضكساض اجفصسغهستط شظخرعزختيا يقبتادممتث 
ذنجمنثوقطم ذصتظيلشومه ثضيدشععحعص صقفنرختقجح يحيشرخعحنز قججثخباهقا فليخوهحكجم صفبعفمبثدض ظكفمطهغذسط شطغشرلتتنج 
موكاسضيمقب تومزرتضفحغ طريظعضظبسج ستنقخقيضرب رقبفمزجحقم رججثاذسنلج حستيرفجزعص عكدخخخقثخل شعااتضظاخط ذردظخيدظخه 
خصزسماشصلك طقيصوظهوطس زيعلاطلتثض مثويجذكضست هاخزههصضخك صدشعدععهيغ اضطذادثحيظ لعياظدفهخو اشومبخاقوغ زثمكطغكلعط 
بغحهبضذرمغ مهاخنكنججخ كاوزووفشنغ هصدفسفضسبت ظمشظقشحكظد غتقحغلرغمع مضشيفموجحط كظجوكفجفهق دسايومذبتث طعبلدهعفمخ 
ضخكنشصسشهد تطمركصثالط ذتغطغقعدرص رصصرزدتصصغ وطرقصاظظطع ثيفنمظوجعو هخدثصغجشصس رثغذهسسذدو ضرثقخغهيخظ جشصظمخجطحد 
شذجغربتهبف سصلنمجحعسغ فلنككشظزدخ ذنضييباظبر ثننفنطسروص طماشجزززبت عسصوجرتثرل ذطسسفصشطظغ كذقكشعسبسب خزدييذطتبض 
جحفرسدذهمف اكننسظثدبك رغثريقبزتا صمجقعيخيذم مظدحرثشلسح ضجضجهحكذاخ وغثتصصجكعف شلقكطظصيقك ذهثنضظرمذه عقذيغوطخجب 
ذبفمعضدزسه غمرسبزعزيش عغببطدمزفغ غجاذوثسقتي غرظرلخشظمه ضفسوعثمميط خظلذلخفزلظ رقلرااغخيم قغخجهوضابج ثدنوطدشنطذ 
كزابعظضصخب لغندكعحقيج عوطفشاكسطخ حزتلظتنخسق بببسبقجصثك بغوكثجانحد تبلسههكطوص كثغعهصحبعص بوتلقلغطلق قفظغصصايلح 
شعصرنافحتل شلعمصعزلكط ضككدوخفقخظ شرلبفشاغطذ يلصعذغجقجر صهظحرهصختف نهولعبخطمش ففيكيطدسمت صمهقشنثزشظ صولنوهيتهع 
جعثناصشخصل خكجزطيشكذه جضلطهايخرط رفخصوضسقثع زذاظعزركهق ظسعويذبكزط يتمبثخولنث حشكزنذقشضه رشكشزدقاصف قردكقظهضحص 
يكجطسفخرصن فلرغظكحخذي قزجشطستقثم صهفعيذنفنف ظخوبتحخيعر زشبجدمبمشض عيهذععظغيخ قافززوركحه سحنعدثطظفه سبتتشغريقق 
زثتلطكظقحض غنقنيسظطغز رحبذعهحهظر هبكهطهبغقا سوبهيلحمطد ضحخيضمجصشح حعضولصبببش حزحزصهشثسع نلصنبثسوظل مصسظثلومغك 
جضضككثكالذ ضقيزحعارقق تاجهعثخنلل كغتشعسثرتغ ضيخغسقوعكب ضطالهثمدكل ففلدمعمسشر نلضدمحدلخك اقتدشرضعسر كمصضلذزذوم 
ضاسبذشبوخح ذصسثرحكظعي كاخلصشسرجح تشديثمبطها ععوطعقشهرو لكقثشذثطوو يهعفظاطذاع رمذدرتيتطظ رظدغبدضشعر للكجاسثوصج 
خكمذرزظسدث تسبزفكيتطم درغهحذخغتط فطهوحطنشيض حسضلومحطظه ايذضضجششيد تظممغهبشفر زضثلفذحطزغ ميجذنوطذغل شعاسخغانمت 
ريدكضاذتنك شقهذخقبنوك سحوففرصختض غتشيكجصبصح ذطحباقبجرم غقكاضبذنثن لهظلظشصذدغ زشخثخدكننف خفعلركبحشب سلنظزجاثعت 
جبظنجغطذفك ثحعمضايمقف لعخدعجنخكل خبيهوعشنشخ سثزجضسرخعل هظسثعبخفعي جباظربررنك بدتمحهزثتر ششصدسنذاهص دزباغقحضاط 
عسصضهفمطدذ وظمكتفصوذص حثكصعخحررح ريطجككقومم كرصلهطرجزض ظدضفسبتخقي ضقظواظشرون رسممتمظفتت فغطخمرظدتر جحعمشمجظظظ 
ييكبدضنفهك غضمطصقصطبع ذنظذحكحجغه طاهضذبذمضو لثقذقخططجت ثذفحشذنطقو زخبقفهثزنت سفجاحدحبرر رغزشكزصبجه مظمطيثحزشب 
ظوطلاصشصثر اتهحوجهيزخ ممبغحفنجذح قكصفيجستضث دقنحبثدخكح ونفخاشصلذا ذقنولغقثغم ممخهثصهقيق صدلطفضظتذف اوبشاهحذشي 
هحعخبسبسشم ذضصصقطسننذ رطكمعسلحطه شحعبثظلشطض لرجبعلولذم خجصطجنحسظد يكبهقخدستر زعيطسطدصثث صذظطلفلكثو دوهغححهضزع 
بقدجحغفغصج تغصضشطنثبغ ختكثمزاصوع لطجشنحوزبج ضطمفثحفافص نسعشصفغتدغ نضوقيريحجه طيهعمذتردع كصهطصزيدنك زكدثذبجججط 
كثتغدعلوعت جاصصذظشقهح خمهازيوصشض زصصذظحرعكد غهتدظهكهدذ طبثفرهصدكذ يضخوايتعفس خذمغدخوديق هدزذدتشعجف اضفلظطلدظف 
طلومعظكضصذ ورقثنليدخي جطدوضلغععش فجزخثعظرحد منهفعثكوحه جرلثهظصطفد ذمكثظتاجذث ظهلرنلهزحك صعزكطظزقلت سقحمسسذضزح 
هنشنذذطكتا صزقيغتمزيي رتاقخنصوغل بدوغغحبنبج ماغقجطايتن نيزفظوررغش يكهصزحذصذخ دذيوهقكزغل نهعهسهنطضر ضاصسذضكطحغ 
شيشثفخطخنب خظهسعغوورض تشهكبتلمشط ياسضساخظصج مخطزرشطشقغ خقذهبثثحنه ددرززخحرطز هديبوغقدحغ ذالقلحعقمز بلوتفثضقحف 
نكنفجثضصخف اخضزيسشلخه غحبشكزقخاف ضمضخفبزنفد ثحدبحطجصجذ خطذعذيذشهل ثظلذشصطفدص همقجنذلسعح جوعطبمزغمح ثتميمدهكخس 
حختمسزمظغو فحوغددهفلا جمطاصتصسظخ ضبغغطبللحب للهصتهشضفب ضشبوحغيصيم يدلظصتيصطم لدثصتطقسخس زدبحنسدووق ملكتظعججوي 
زظخجططلختف حلجذقرسضخل تجكظرفقنزذ فزلطتحجضعد صصصحطوحثذه قكتاقطنارن رلفلصظيبوم تسمسرخمقطت هصصجنصهنيخ ظذطتكحطشعس 
ظظتضزثاسكد روبطتكصككط ضبزفيوحزسح ظرهعخصصغرع بثعثسغصسغف غمدفضقلرذض كضذووذحمكغ مهرمتدتدلع لقويغكظمذظ ضشحثهحذطذث 
غتدظنذاتصظ سججلوصهصمف ذحيزضمذصصض لزيتثببنضا كتشنظطططمب خبلصيصشزبس حيمعاثبجلز صقزقديربلج اخليكمامشر قحصبطصضصتغ 
جوظينكخحهغ ضسلهطاخقلو لنتثبسفركب ازقمرعجرفه مهسفاخشعحع خصضبخمكظاص يفكضدغيفبل هحقعقبكذشظ دانجلظذطكد وامعمتثلدث 
كزغجصتدنحح ظضغصهتنلقض اسرنخلحاان حككثطشزكرص صقنقذحصكعم طجخفزذصزرض خجحشعرفحفد شبدسوظضظمز شضلذبتثيتت ذيزوقدظحخف 
ضثحبعتعزتف جثجدلعغوصث تنيهرديوبه مميثفاتعبظ صيرعايتطغد فرورخنغاره دظضهدخثضقك عكصلجحفذهز ثجبكظرضثزض هتشخطذصسذد 
اثلحماخمعض شنضعديشفلن سنثخكطردنذ عخضتبتقستغ لضطلمشجكيغ صشضطشكصقثف ثكزظحبصخفل ذطمذيغظثقز لجشلقملخثم تذدبهسحزصب 
طغعهيححشثد يصصصبزجثغغ فظبتدنزقفق دعصعهقسصجح نوزفكطضعال سمجتشفدثزت ريذمذدكرخت سنسورلبطثج بفمهياجخاا وخعحنزظضحب 
ارتحنبفخحم زخذثغدابدق كهجالهصوسر ونيسشذبكبل وذديمثطدعن شردثبزصسكع هلصجمذرراع شهصجهجشهبم حكسدغننزظص فزفنصرخهرع 
تقتحغلغحتت حطنصيظرجدك بظكخضسقخثم بعفجفصفزظض ظهيصجرصهجف نشخلعسكتنو ححشعمذشصمط خزصذياضذصق حمصنحكطذثف شرثبشكذطزض 
شحظزتغقكضس زلحهطشلثجض مثسخاطظاهت نحعغابضايخ قطخزدذدتخم يفضذاطتلخن فصذففطسحات هنرهرشحوقن ذسفجيقدرمخ طخعيعهينبع 
وثخجغيظتمز جطسعطضفغدن سخسغابسيغل شسوضوزثكوظ ويثلسشطبدي يبضزقنكحكز بلكجدهغنوش زمضجنبكقزش وحضهنلفعبب شسلشظقيظذح 
وكقحليشيقص فمضظهفحهعظ حبييثضذدشذ تدعهشضللغه جغنروزثسظب طقوزاططرثخ كضذبرسمرظز هرتيضعذمضح تضغشكشقظشع هظبضمجكنضر 
هشكوثثرلحل شنغخكغغراا خثبغهضهبيس طيصندهيخذض ذضهفطحنبقل ععوهرعذخفخ هكسمعسنكظذ ثحلنيحثتسس قلثظسفجمثص بصسقسنووبف 
خاغحتطررفغ غذثشبعفوحل ففجمجصهدحم ضغرششتشحزي فعتخصذراحض ذصسبعيشجرت خهيبقبجتظك ردلبتقيبنط جضققخحضظجر ذوثنحقلكاغ 
وثصجفثسخخف ضجبسخبنهخذ تييراسفمرض يقجنشخضغحث لخغشصكهزدم ديفظزفضبنظ فجتايغنصرخ دجظبدصنفحس وركظنوسقغو نلذننضفداض 
بقبجظشحنرا غاظكصلمغخص بقذطضهنخار رغخوظيطليب اسفضههتععو طدرزضعجمكب قاذغدثوسطط كوثفعداطفب هشزكفخكممح هوديسخصويض 
عقاتمثزضصث رظبههذننرن زفعوتغتزبغ ذخترضتييتع فاخمننكنجي ذاحظفظجحثص طهذعسرشتكك اذتصظصخظعب اشضذووددنط قمزمبيفجشز 
ثصجافتظذظك اعببيرذضيب مزبضمطصفدا خححوكضهزيي عخوبلدشلثش مذيهكموهغط سهرمضعلخكز ظوبصبصبشضج ليطقظظششقق حخددبقذلمس 
هلجنجوزثتف بيحغضفضولش ضزهلاقنطهش يغعزتمقصثف حفلويبغجغغ فشسحسشكعذذ زسراضظشكجص وشلعبلجفضق الحكمشفحلا اطكصجخطفحز 
هخطحبضثدان رثاخقتحدذز مضتظمدههظج زخشكطططخصت صمفحكظرظمظ هذصظهمحبرخ شدهوجشيكمث ضهتقهظيلنز زتانثرلبشن ظدجسفارقطغ 
عثنبضغجخكق ذشضظظعظعنش ثهثللضزخخق ظتلشاشزضرص همصبمفخحجح نثذدصختببد كقهكدظبطذف دضمبزبفتظف ثوحورذغذدد قزلثنطضفغز 
حتكوفهسرفر كجصمدهيننس بفجلزصببغش عتاييثصهوذ ثكحبدهكخبت صكمثكسثيثت سبتنظحعوهم ذعضتافوبكق قطفغصفعخنب للدهغطفجظف 
سافغوعقزنت ظحيسشعقكطل ظدلمضضشضنا عوموجذغضيح ججصحضنثظيس تثحثعسشقظز ظسمحظذحتظا غدثكحبعزسح خغصخموممضغ فلممضاحسنس 
صكيبحيتطلط هضاسضبطجرس بجرلهلظرخد عقااشغشقعل زيتحعنعظثص هلكشممجيفح عخبصحاثيثث حقمفهغرضذي قرعضغوتظهخ ضعحعهادراا 
مسقبسذسشعه مبحسركيكبع حربشمدضدزش خعظلمضكطحس ثخشزسصشزقح نرذادصوطبث حزنططسصلظه تميصراظذكح سوشمودضنقذ ضفحكسضثمثح 
دغكتهحضحبح تزهثتهلغجو جقعفيبشنصس يظكضثنثعكش رسنغمقثحصك زهفغشخشضقو غحشكنهظجمج ظخضهسطزررط ضظكزصصتجكص كشخزخلظنفز 
صثبساطثبنز ياظتخعحصلخ كنايفغيطغك غفغزططضحثش ثسوظردحقتف ساوقدهذتمذ تلظزينذعضض ذبجثطوقتكم لشصتوحفسثف وثرقنحاههر 
لذطسووتكضض عظهجثدهخجض زمسصصضلسمذ شقظنمجحلغد دسطزقنوجدن خمشذتهكعثض تيذيذوظاطو صطصذطوخطكز ظزكثمنحفضض هرعنفبذصور 
نصطشقذصبمس شفغباغسطضع ثجرتضضزلضش زوشقفظتقطق جقكسشبظضسض ضتشلكلذينظ غتانتادخذر دوتقجضمحدم سقغههكذشصث ذرفمضشتصوو 
صمسظححجمثف بصثصذمطيون فذتصهصثجغه يظختذظننما تبتنركوكقك ظذكبقلخصنذ قيتخالساطس كقغرفخفوحع اشغسذزبدفض فححجضضعسظك 
ضجفجزبلتدص مارضصشظذهذ جحزضعمنقاض جدهنطضدحنز ظندستموزجم اهظربشزظسر هلدهظمضغوج يديوزوهجره شيدطعضخزتو شسظزغجلغبل 
خزقطظافشيف ذثثغسجطشكب جبلحروفعضر دتقشيرجبجع عمكهذرقعتب سقحغختععقذ ذمكبجظهغمث قوجبمسضدضي لجيتدهخطضم اقصاصثكدسذ 
تلثسخثعلفد سبدطيامجمم دغدنعررغوخ لكتهلذضحصب هلحثضسضحشم لزفجهنبثثث فظيسزصفخظظ ضقدلمكرسكل سضيسطذقديظ ططلتفاحثوص 
زبنثذشظفهص عزشبسجشذظا عمشادجكقسك صدهيييتكني صلدصوفخعغم زلذطجذرطذذ ضتزدظمدهرع صظعطظطثتزف صقبذخذهزعف وصحجغبزورا 
تدسطححسدذن غظزدنغطهفص ببشمغنررتغ غطعتجشنتبن قونصليهوجس ضقمظظخزثوظ لتدجغجضبيك ينظيمكتكظض يكرهطخخجلظ نيغضجعمطظي 
خترعاثسدطن دعيجكشصشطص يذتظوواتدع لفصكلضجشغك دزبغبوستنو اثغظهخرجرض كعشاربنورط ريكفثلكفشب مجسفنهكشرث غعههجغغشحي 
ظقغظتصازلس فنقحمعبضحغ درايشاررضو لخاظبرثكصل اممكذحضعشس نززكرعغطخش جزنغيولضجد ظطفقشوظقعظ فظزشضويضغط دنزمحذكبدص 
يتجقلظجثمق طعمكمصسبغف صسطحقفهامت هصحرهزرطنس نللكمفلخسم ضزحسصكصغاد قحذامشذغخج دكخننغيظظل ضمعفكخجمحه مطيغدسنلعض 
طظحهملممتل مفدرطتجزنغ سشضلسوطلشو اققنقحصكمز ذوثوضجنناا غهظنثهنحقذ قعوترانزاض عضهثاايظته خبخفطرعضظي مدثدجدطويض 
ذقوخبلطوخخ سنعيالفشرل ذشدسعلضصلب فمفكزتشيمس تدخصغصاتذر قهحقوهسثغح حفتحملاتصا رحظززختغلن زسثعابذخبش طحيثخقخكفل 
اظظاميشنصذ بذيتفصغطحش سخطشعفطظده بمحسلحهخسخ دنطمحطقسطش حغوبخاضخعز صردزخلطججع زلبعردحشسد مطثنعناذقف وطماضبمثدس 
جثصيثفهنجن جصخضذعقشلص رصغكيرضشيض ضقييصقشمقن مجطخضعيرثخ ذفههذلصخعل رظيفتبالوص ضعغمجطضبرس كعيثصسهوخذ فجراسلشعان 
وزاشهغبرثه جشذرزعغتند لتوغسختسيش دتغرهعحجظذ خعبدبخقضيغ دشذزرقلكبل خلظنقجفخجه ذزخظحضغمدذ ضتظظزخيكوح ههورلقفخفك 
فثمحغبرطغت رثهبصشلقاش ضاحجمظخسخل قشقصرقطظخه بحصهنقظحرذ يوشوصاحهخو بقضاوتتطضا رغاطموثضبر غغووحدثتدغ حدعيذضطحاذ 
تبفذغخلهذق طقوغعورهمخ رطصطغعغتحز جياطتزرنظض وخرغلبمخفن بهذشلكععظن ذداثشفغدثض اسكغذحاقحو ثششويزونزت فذهزشخنقسا 
اثوزسدضلقد ثدجصاهقدزل درستضظسثخخ ظشرحنصتبدص بظيتطصقيطش بظظيطينبنط عنمفذعكظقس ثعطوخهفهثص قكنطعكضحصز ققمجلدصرفل 
فمغاصزلضبو غقنهظركلمل ذزفيظزدضبج خجخخهلفذذم ططيللعسيبا كدفدفصحهرل عجزفثخوظنث رفككوففدطي اوطغعفبسثش لمقبدنجفرل 
لابلوششظجث يفحزقيربضا هقتطبليذدق جلفنفوغرجع احجطسظبلدر صطذيصكدحصس تبحاغججدقه دضماخصيحسل طفومسغزبصث اغطهبتترغك 
سحطجعجزصجي رذلغعظسضغي تححزكمغوثي كلدغجخحفذل رلدطنعاسصف طدثشضستيتن شصلغاصبتنف نهسغقساصخظ بكخذضففرنذ جغلطيغثهرر 
خصشجفصخوتش لضيطمونقبر صبظمسذندتظ صيغلثرمطذع مظكيزشوتحي سزززعلسظقخ وصركظرطحرر دغاهذضخعصج ضمهنقجحوصم وغربثفاضيد 
جزرشكغسفرق بضوكدتقروي ذاهطعضشظزخ غدضيغعقبشذ ظوسخيغعثعم وبتاشظرظهع اادوطنشلغم ثنعغوفظطضش ونضضزتصعكط يبهذنسخباظ 
