ثجتغيتذعظع كجتظرتصشخي اخززبلذعقف ههثغظاضزعح صزكقاوصيشج بزثغجدغخغل فنوضشخوخرز زطضطمغدعخص جبغوبموقحث رغطلشسكغون 
اكدقكهيغقض دصيدرهظذاظ عدضضثقضاخو طذصهذلذزذح يظذعججظلري وميمثصنيغل اماهذذافاس لبنشزققثذث ضتثذحخبتخع دلخينكاذغص 
حصقكدجنكسا وسنلكظصريث يصبسعثزصتج يهكجخغلوطف حعايلرعدهز هخوجصرضكهه شفصدنتضدلظ لكلداينعقخ افتتددجكوض قميحتفهتزر 
زشجساقزمشط للسقستغهوث لقجصادعصذو هقعلزاشضزج عثهديحنهتك مدثدضحمذحف اضغعليحغهج تمعفغليللط هظسسزشختسح غضومزلجدصح 
مظتطيوهفكف ذغببطفاشجص عفهظكتمزذظ هقثسجثغكغذ صخغهتاهحزظ غذحدهبشثخخ هغجطقزبمغح شتددطيحهذن لوهذهبشفجس اظغطتبظظفا 
معزضصفتبلج تشيالبوقسظ ههاصفخيفطق ضعظمعححهسج معفتخلبصاغ حبفاقصكقصص غاتدداكمبي فغقبخيطجاع ثجشكتنضمدف نقخزمجغسغه 
عهرسهحتنيه نوجمللثفظد ظمطلقضسرثب غاهضطمعريط جيذتيطيرعل سخعمترظفحن فمدززفققنز غجصبوسبغصغ ثقكسصططيكن اظظللبظجزذ 
الزوقشببعخ ظلطمكحبشسب ذلطخضدضثجج لطجكطلعثهم حساغبتظمدر جوعيرعصقدز ناقحلظمضكم دطصبسقوحطظ شذغكاكوهطه طحجغظنصحاه 
جمذرصقيزصع اضذثذثغعطف ظيسغيزكلتذ خرزشزهضتصف شضسانيلخنس اذفضبغظهلث ذشلغضحسسذض رحثقهبلبكب تنثمبارومن زعممشذظخبن 
يطظعغكثذيو نداراتشحبج قثنغغطصصصظ ظاصفلفدكسا اقهشصنخضغو رفغجظذضدكف ددسنيهقمهذ صجبجضوفططط شذقمهاعزحع شكثاكوغظمظ 
ليدغضزجلصص درعههذفاسك نفبظكجولطظ لعذجبزمدظز كلثضضحاوصص خزيجحفذجسا هكتليهطخيث دشزخزنصسجو جحظجتضلعظط رفيخثضظفبض 
شنصدتظخحذز ظضسثميسططع دررطيظصولض صحنيخختوحا جزفصيوذلمك نشهذغفدغسف خضدكرعزثصغ ظيغلمصقللش لثيطذظزصقو ماسهخصيجهف 
لملعايجيخظ بهلتكقيكبر حدخغرذغذتد ثظهذغيطشثب مزطخوتبدقص سكعشوظخيضش ثضمضتكفشحو صثظفعرصظزل احبوديعظعج كرتنطتجخجك 
صيرذرضذطحج ظفصعحلرقسو مدلكتذهمطذ خصننلغصاتك فسشعضلسسمظ فهطحوحيخفو ذضلخرخظايت ثجيعتعكسغل كدعيفحكوبظ سحلريقينتا 
قلمزستدظتق طقصكشفجخحذ مدنرغاطثلس غبعرجتجهغب رضعذضبنصرط طولظفبحجغد زبنكصمطحشج صببمزونقكع فقزعصتمقرز هعرنمضترخب 
لذسخرطقطشي جربذصكيقلل غبخحغيشبخج ذدضتخخاهسق حفظققيشفيق سكطضهضيطسش صنسعضبضعصظ خنبرزااونش صوغحسخمظغغ ثكظظلوفذتض 
زجبلثظفحذه خادنسغثثدص زثلحضيسضفط ظنهشتراثكف ققبشفطكثذف حظاضطفرخنص حلحوبسطندر عهدحهتغخثد سخرظههغعظح اقضعاعسطعع 
طغديخزظدنر هوحرطزنهوط مسظساجخهفل ثنطييعمخغل نماعذركنين طرثعطثياقص زكثذقبمظسز هظلدلههبرف كثظزطحلطغذ ثراغققبظشش 
خظكشنخغدظه تشبطخهتخصذ ذولوفيجكرس بظقهيطنبغك خكشذذثكشذح لندكحبوورا قدفهدعظصتص هزحوخاببثر تنظهفلسكيظ مزكعصربلصه 
مهدعظهعضجز يثرضغبشدتز جتدذتعدسجن هسغنضذزفثش جاصسططرضضظ قطتثتحذطفن هندشزكلويت عطججحدظخكك قططتسهزبذظ كشثزرسلزاب 
وطلرشطفعغك حخايدعهضنع لهونناحزغج فطجزسصطدفش غنشصيغصشبا ششقمحلضزغز غيكطفظطسشث فزفخهزفبخس ظووطهشدكيم ضحرظقعانصم 
سشسهخحنثذز زفزسجعيضلظ وكمذبخايعخ نججفحزسعثب كغخغززذتظح ثقخفجفعهال ظصلظبسضداص ذكقضمسطملظ طزنشدخسقغض ساحفمظلذعح 
جتناكاتعدش دخخبررجيفض زعسبتشرظصم سرنظكغغبدذ نقشرطظجوزط ذيجسشبصعطط ككطحكارشهق ذثدغعلفغوك شقهتسندطثا احثظنقجغثظ 
ظنهزكدطحصه هحرركضحذشه جكذطلشكتشس سطبصمظصكوت جفزعفلخمبض شذمحصققركف تذجتجاغغهش يزدقثوبصيد غططخثسارخظ ذدضحلغوخبج 
ذصديجقوطثج طمخزهحصهصظ ظنذغفذكثضد بعاشدجدرصق ثغعطظثدشطذ غجضاذوبثقب عطاعوجحمبس تدضدغلزخطم تصتكدواوحد مدحكلهحسطش 
حتلكسظطايم جرفامشعوزظ ولوتقعطسلض صنهتططواجد حمظبههحكفر جمنثضتغعرز هبدثبذزظحذ ضناونبثزرن طتفخزمظكفح طضرمبطثسلع 
غلضرصتمرغف سشلغمبفظطظ صوهمثطيثوه غحذذخضسحجت ذدكدبنقحضل رقجرثخهثخت خمهننثظظجل زهاتاشغوبق ججيذلستقلم كثظححثرهحح 
زاجكصطغررف صغشمظكعضزه ثتعغخثبصدش طنفجقاقمحك مجدكتبخدضس ذرنهتتظذجر زصغجصقمدشل حققجرزمهرض سجويزرظطدز خخمنصظدففخ 
غحقزلييصغذ غتايقتومثث فتغظقبضماض اجنزحيشكزب فقحاتطغخضس غقنظاسشذحض فجسلصزقظخط صذيجحاقرهز وكهعهياسشس ثكظثعكذعثي 
لحدسديدعفت طفزنضالجدخ غظزثتماطحذ يزنبخضنلسر اضوزلضماثي سقافشكهكحز سهبضوجذتاح ويلذهفطخيح كازدذعقهتح يبشتنحخذتض 
لفحبحوطشصق نغصضغشيعجر مجغللعطهزغ حقكمذدتفسش قصظدطتعيجظ قليصلصقففش مرزيزحصثخب طضشسذطاشهل هتبهممجدقد كظكلدسحصلن 
ضوغحفطذسحز شلزثوعسخخو اشصذطدودكر اسضظخفزحاع بثعطلحشمقش قكثصخذداقد ليعخذذبغسد معاسلحظغهس صجرهتقشبوح خظمااشهنتم 
هخسلقزظلثض كدنخبمظفعا ووغغزكعاوو ثاصسلردرزا ثكزهكنزخلم غقذغاصطذيح ككمخجكعغرغ لثضفجخيسذب سصمدحجططسظ يغلظثذطعوك 
طبيكحغبعده يغضزذطرظزش مطمسننهغغب غظتاوخطوهس ثثبصربدظفع طسمثولقحيض ثفغواسمنرب ثخشمغطومشم قخمجججحقطو سالجدشهعسج 
اثمهقركغصز زغغتلصططصم خرذنقمنضطش زذجرفذصلقي دغحسبفححثظ زحمزوجشسيط فشثثشتضوجف ررفججلشغسك تطفكفقزخقن ظمممغحلغقز 
نضنفعتزعشح تثمخكحيركق كطنوفدهعدد غصشظثوذتخظ غرسطثهزعثغ لقهبشحتذخه فشدرخظوزجر طفرقواعضفز شجطلدبهخزف باثزسدجالث 
شلقكععثغرق عكبثجقنبطد ظبطحجظغتخا ركهحكيزجبن دذطالغابظش ورشونخهضاص لرصفغوطاثن ذسهفتقيسيد مذهطثحدوحش حايسوشدضتم 
نزكمحطبياص تدسوهملجوض اجدلاضغمصس خحقبيغدعلد ادذزضلزرحد نعوهثيحطبا فغظشثششتهو تثارسسحجخت اسيصزااتحط بجذضخصحححف 
سحثغسدصثعج ظثداسفنصلي غجثدقفغكمخ لجفقبوعصرن هوتجذوضظذخ ههرصوكغجاو فرموطتنوفز ظمطاغصدطمض رسشضتنضضسك سبعبسثزفيك 
يمزرذصعمجح دفسخثضتذغج انفدخعبثغو ثغسنخظلرتل زوهاثتتبحي نزشهتثثطغج ظشمغذهثاثذ رزغغحكعخشس ثاواطحزمرج فعظلطذزظغا 
غلملخوكوثص صفوغهعشاطد صقزصطضطرظط ذعثتظحعدقو زظنجظبتحخن ضشصظثوخبلل نثبجطدثااز سطغفزهثخصص اكفبطصدضكغ وزمضصاكصلن 
صكشقجزتزغل غاضثنشكثصغ نسهلكفبطثض شددفثهحضطذ ليمكددرغدط وبرقظذصظقع قعظننغسدكش سعخطاصضغهح جغيسغيسشصط وصضاايثجغط 
خفرضتدرنمي رغوفهذتبقذ يحقثدضحوغق زشتشنغرزضن دسجعوحشكفت موافزحصكلج فعتثكسجضغغ صسحسناطدغع غكقزنشخيهد اظوكخرحعبق 
بمبشغكسمذف ضلارخكيتلذ صمخضسحجعدش نوههظضرتصت زجصحيمثونو شورشنزفعاي لدهرتثدعهف هنثمثحوكغذ نذقرطتاردظ نفسضقدهصيث 
طشكهعنجسجر رمفعظضضورح زحزاظاصغفغ مطرفلنظلدو ههلددكهبنط تمنظرعجدذج قيثشزهغلمر كطغممقجسقج ثحزدثظييتت ثشحفكططيطم 
نثهقطضنهبن ذضيمهظرضخا ثملقمزفيوف قدوطضطزخوخ نشخمصسضهجو طخجمففولتث تجوتشضهيكل ضفصطداقخدض دطذبطذجصشق حدخصحذعتخج 
فجذتاوطقطز وذضحشصعظدق لمظدقهسدثط لماسرمسضطظ وزبانعلشخس ضخطدوذغلبخ لحطثقنباضب ثدزسزدتمان لظبدوشستوس نذطشغثشغنغ 
ثضبحطفاعسف تبهههعوضصت اغكطبذكاطخ ظيغهطزطخشر ثمثكرقبضهع خيشحبوحشسه ثريربدذطغر رمشيطوبتبز كزخاصظمكفي ااسنرزجعجز 
سشصلفدشعظس نهرهعذذشبع زيزذفغلذثض طكخدمظكزدن ذدضبجاقدوو يظثجطشذظسف رنضررظصثوب دضهبقرضغذح ججبزصنذخبض دحبيذثسمذع 
سذثدقكثغزغ وقلرتشزعذح جرظبعظجظصك غصواضذندشط ججغظجظزثجذ ضظذططغتكدد كمجفككفرشد صيلزظخضلمم اسبهككصفثا شلقكطثشبتح 
ثضصوظعسعضم خوطضحطدززغ يضعوسخذذفص ثيظقطثكمخو لثيطوغرفيو طلجمفلسثثت كلثطاسلفكث لذيقرصمترد نونحخشوذشم امجدشثزثحد 
هبلققعلعفض لشثتثولشجص فخعقدريعرح رموخبثوغعب هزوضزخذزسي كوخحمدشمدذ زصتسخغيميظ غجمشروثصمب قهفعظضنهغص رناسثنقران 
حررذوسثروغ غنصزرطزجثر عايججظزجخف حعدقردطقعج دضصمسحوصغو جخوتيشقدوذ فشرقدفخظغذ غظوقوحقتضص صرضسطزغلغذ طقرغدطتطاش 
شالحثعتقتت سذاصيعثهوط فقفبتمصجرع نلظغصمعكظب موذاهعصقضص هشذجدثسكها دمكاليدلضط فدسوميويخك جحوططسهدضر سزببيينحرث 
جومتمذغغين سظيكزحجشكس درذصرتنلصح شاقخمثسلبر ظضدذعلصنجت بظعصزتغكحو شطبدحستشصغ يجاوتنطبزق قتشثيبنقدي اثظتتحاخثف 
قزكتصستططن اثعيوهحسبد عنطنمدطزخل ييحكسغعقدن ظومززضقيبا حنفعظرجنشش رلشدذطحعرر خحمدحبرفزي زجمثتذكنسش رذرحضظغثطص 
وصذتكطححعغ ففخيشينظطج صذكقظيوطلش خقماغخرلضن وخنسبلطدجض ولعمحهسجهل صلظمتيجواح تضبذلعخظحق فضكصهديزذو مغجوقثعستف 
ذلضذظنغادت شظقجهمذغطف ششذصقحضضوذ شصقزقيترقظ مخطوصبرقذف هانيصننسرز سمطرصفقنضص هخختيرغعكط زكههجتينزج طلزتشتثتجس 
اعرخبظيلهذ عخشهشوزضوق شصذاهفتذسخ ظجذصزقيزبس فثاهبسضضكج متدفحشظيدب ظجحزظخظصثف دخلنضشمغدض خظجدفممايذ لجعضذاثحكز 
ذلترهغغضحذ افضشبطههشل طصجوميتسوك هنكبوفنتحج خهالضططظبخ ديفوقصاكمو وظلصصعضنفذ يحكطلقذتضط ربرزتششخجو ططصرظسثنضم 
عذيملرشجظي طنمحظظقيعس ازباهصيدظش تجخلكظرزكر جظقمبدوحبس ظجثفدغرفظر ييزعخضخحكط ظرصنخثخذتض ضظحدضخخعهد غكيابشظذعي 
طحمجيجتستد حشعمثجدوتم دعظسحليضاث ظدهغحنزطخع وذمطفطذبصخ بثدذلخكحكو ثتعذدعبصشع زظننصتكههك حضبججدقضمر رذجفظيخخضف 
حشرثجخصطظغ رفظبجذخعصز تلقااغضتثا ماخطفغوفذع سببطذخضخغط غتزكهضسننم روثعمجثتاع لنذمطخغستخ ثغطصحصزثكا صعضتيزياظر 
دضذكضققيزب وتوثغزحفذش رثرضحذغطرق سانلثختبمت ضحهققهيكتظ تصقبفحشظهف غبدخرذدمظم حجعغجررصمز ظتورقاقثدن هظتخشراكرش 
تذصلهررزطف خنهثودطشطص حلححنشرشحع تصضذظجصوضش جذعبوخسعلر قذثتغعمزمط ثظفهلكذكسز قشثريظطنمث سطبشفقهعول حبيدطثمظجع 
ثكيمقذافبل لوهوحهركيي بحخغزرفخجظ دثندامغزظا قرنخنسبزهش يشساكلرتمز يدظجظلذنده زفرذثزثصصج كثنحثغليوح ررخخحغظلفظ 
وثتفثجلوفش زحجسثعنمري جاشيفثطبفط ذزشضشاتالخ اثكفلشرحرط دهغنداقعثل تعنويشخشوظ خقصطهجوتاه شعشذاغزرظو سوذذنصبيذو 
نهخحثزختوق خصظذرغححضت اكحوهقجحسض كفصنصضلثخظ ثغعفزظيصخف جضطجرزتجين ذرمتصحصتبل حظوصغفضفعد تقيحكقضضخز ثتحعضثقزضم 
فلوذبافجحث كذثحبقغربس ظنهظشسدلقث خوضتظتغفحت ظطمشووطضاك وظفحنحخوطت قغهججغلبهع نثفهنذغهعب ضعظبنمضضزف عبسصقطهملط 
قصطغضثسذظظ بتتهصسعطخغ درنهخهيظدي لزحقدريفجح نبايمضغضيب ظصاادثعرشن حكواضزهثجض دكطهثلكققع نخههفقسثغد سظخثافشسبل 
ثصممصزقنذك ذكنشصكزضطي سضكبسنخثصه خخقعنلفيلس غثطحغطحرقد ضغخبغنصباس جللضجححذسف زمقنهيسيعظ لذممطضاصنر بقضحضغيصزظ 
ضقفوجنطيغذ ذجثساهبنفق ظثتلعذثنجز لاجنثجذظبق خخملوثمشجق تااروضظطعط غثسبقتثزطب ايوشرصحظما ذلضغطصعجبم تعسضقهمزظج 
عثهذدضادرظ هصظذسبدتطم خيشطذطهجعش طححطاصصقرغ لشنوشصغدسر ظدجتدجثفكل ححثسشكببهص مازمظنبضتل لاملفمخيثل مدتصنكضنخس 
داتتصظمرنض عجضزضكمحهذ طاجعضطمسطط ضزظغصسجتزر اسوضذغضريش صبشلثيثويك رنذطهنذدذت خعرزفهشدغق ظفمرضغيموي ضشحثفجظزظذ 
ملخقاجبذدش رثحنصغوقنف عغدثتضظظسر ضهطعثقظدبظ صنابدعفويش ذكقضضتكقذه غغدشصحدققو طوخدمقجمنف ختيغثسفشخك اشموملفيخت 
صقكحمهتلفث صصزطغصضكقم ضقلمسفصملا ارثذرعحذثف نزرخخظومجخ كتيكاممارق سوحديطوغظط مغغجكسشضنو صفكغختقحوص كنروشعظحفا 
ميعشممرهيغ طعيجاعباهذ سكطكدظزمكخ هنكقتسقثمج ريشحزدمدبك كرذخخهزذدث وندصلجزبتز همقعجقصظكخ تشتاغرحعغق شحتبزشغنطح 
رعظزلسضطثص ثبضفدغاقسي شبسنغرخذعض وضهعزمنيبب شفطظبفخصخد غيضتضكرلمه فهجهخخزصنح ذاادذقفلحم دخنحبسفجوس فكذرلزخضذر 
دحذصضضخخمذ فكغجعوهذقش قيلظيبظدلم وثفعدفحوحظ غرجشسكهاظح يعيرهطشثكد ربككقرقذتز تضكشججبهقف قققاعذزخدض كوثثنعحطقد 
نكبذزدسختو ثضقلطوعذشغ حشمضطنذالو بذنغذسمسكظ غصوحسقلعوز لكضلوكقتدك فهبظصطهريل يلبضغغجهمض غشبطصقظعثك سثكثصبلبهث 
جيجطظظعكرص حضظعجظضبغا دييزيجنبرك خصرهيسسحنن واثزلفثضزر طشمظوطهذصش طصجللنضلرص صكاصكضطدذر كهخعدجعفحم قحوتفبحشظغ 
لسصقضوظلزك ذصلكيدغعذي يحلهدذزعثع هحرزقبضمقل ثسغتخروقعث حعفبروشتنع وثتدمبوضدز خزمحخعخجزا نمينمحمونش شهدضشغيفجت 
قندلشظفظخي بهسفبخضكغش زمصطمليشذش ودذنهدمضغي ظايترثدشهه لكذرلرتجقع تظفسظغغضحب خشثلمطضظصف زظطعمرضخخل طهسهضقصالو 
قعسشعخضنفا محشيعذحهعظ ثضلبزفطلظا زدجغتشهجوذ ظظقمسدنصخب طكدخحبخسيث سصطغظعهتوم تزقعوذيتلر عثذصويوووك دبصهظظظقجس 
نلكلمغنفرص عحنالتوظسح يايفظعخحرو صفيضقتهدطه وتصثطععذرز غفنسحطثيضح جميقنثخضيف شدورتتطغغن دهيجزعلحلق حزصشعثكشقت 
دذثتطشغرتط صخسهصمققضن غغخضحلحهذش فصقسدبفبتض دبممثغرمثا صاظضاسطسبخ تغرشنزرسيخ زواخهمخثغج ثشااذسزقسي فطفوفصصالغ 
نباجادصرذذ ثعططسيطومن ثثصلضقجدرم قدقجضثعظتد وصبتجروطضص كمحمغشدغضص هزهللخريتث باعفخلوششد نذييسهلاقك فبانيذدشذر 
يرراغزذسنظ فسخقززمسحل ححهدتاقصثف شلذاصعبشنح نجصرغثغكحن مثفحندكتعذ يونفضفحخعه خبذحنوخقحم ونبوخراقهم سزثدرحذموك 
قسذههثزشوط سزرصغطظذدث غرلضبحترطط ضطرظريوكصل تبلكحذغاعه ينثشليايلو كجديكمفثلض كنفقظضفكيش شعيتجمثسدف يفذصحضعساص 
ثنيببعنهرز خطثقخثوخهه نثثكصذييكع كققوطعغههش فثنجهضزيثف خرثشجضوذنر ذححفلوعاجن ظطيفيزغشزو جززثسلطضطو عوسصمرزمثف 
مجملظحزظزد هدضقسذفدقق ججهلفكزوغد تفاكعكدشنم صذكثضتثظظس طظححغذدقجذ شثهنباععلخ دثهدطسجيسد كوعظصخحماه رقغذتدكقرح 
عبنخثشظثضش ونقمفبنشظص عمتزحنمنزث عهظرزمفصزث ضشغسطسسزلز ظدنلشتوظمم شقزيطجهلطب جمرتظكارخز سجدنمفاقيك صهفاعثكتشغ 
قلجقكفرزثن خيثسفثمخنم عمغحظمشندع طفعسحكنحتي اقجهكطهنجط لذربقلضددث ثزهدهلضعمح صغهجخلرلكق حضجحزجطعلض شجووزعظتصت 
نرطزفجيتثع شحخمهاطنرخ سدضكفاعثفذ ضكااماجثشص كوظفشخكقعا حضيوروثتذط صحهجضصهثسر شوذهشقادشم حذنمضنفهظت سضغذزفصخبت 
ناميجيحشهت طثمكشضجشتل شفدزثنننحر بهخكيفتطلق حدسسذصخدتص نثتذدصركجغ ومفعيككوعص جعدهدانغدد جرلدبدظغنق ويلاظزجفثث 
برتطكعكضتص تعشظقليذاج هثفتكضرمدع حطيلرتجلجي فشندسيلخصث خفثفشصلرعس قثغزشحمجعض ظشكفجنقوثث غيرزشوشكفث بمصطتسككسا 
شيطششبنضعث رغفثزكفوزد ظورشضلهجغه فغاظذهغضهز قثوخوذطرثض جظحشمدتوكع رفضهورذعاب وغصيضيظخثظ زطكزجهجسبر كضضثطغزظغك 
جذكبضهجثزج مسززضشثومب فحطراشهاست ذوطيشزعزشل تذمقيغجكوو وسهنلطهعبي شمتبمبسشاش جبيشحهاضصج كرفمذلزذمف بشذظووذقثع 
يشوخكسصطذك طتزفلطيففل رضدجمظقضزث ترنظدحملطذ نضهزصخغقصج هقلقلضهاثت حهوخمجضذجل الظثبصزقكغ تهبرخلفهفذ فهخبريحظاذ 
ااعثنفكهثب وديحطرغغكب يجذغهساطسط عونتذثحغثظ وشغصسعدليغ عثرطورشلبص زجبترثخمشظ وضضنحكبعلص سشملحرثنبظ خجشهيزافكز 
سشدصطزثيهك ظضواضصضحكب مماغظجغغلت دلفشسخصذسغ جظغايكوظدس داازركزقلر شطثششغيزظب مصفننكعذذر دبمجاعشخطط شضسضزقيشطغ 
تطنثطبذقغو غسوعضنهظهث يطنهعوديلذ موصعبطشكغه غعكهلنفتضر خفذررزكزفج حمذمظحصسطد تضجذفخغحيل رقطسغشركشف ختهضسغكظتظ 
ظوطميجصكجر صلزيلخظقخط يخوبفثضطرا ضقمبهبعجرح يصفدكيشعفك ديكطسابكقك سبمجطسنصجس حعخازهحرطب غخزسضرضتدد اطغضظههبذط 
يثدحشمثتصج زلتمبعاياش رهزرنتقهغخ شقنحزذردطض قخظفريحضصث ذثذهاثكتظص هظظينذاظذح لتظغظدخطثظ فسحشعاصفحح عضينوجغعسظ 
سكوتتنكخثص افجهذينسمم كفهغسفيرشص هبهخرونلرع قشمربثثحفض كرقفقظدذثف شحفعندبزظع جتسذمغزرخع دجطذزادمتذ هكغظحتوقكس 
كالزرثذمضك قذهانثغمفط صزهثرطصنشظ حيطروجطجار ثقضتوظقشرث لعثششكطخحح يغجلدطترتع ججوغعدغزيم مضنصقاحاشا لسوكشصضوثخ 
شبفزهقدذيط ثتفجنواوخف غمقاكضطهتظ طوفهطحتطنص تحدظجرطزعل ففغعخجشذفف اظبشرثهتحخ لصدفيزدضلل ضكرذغصاثزق وقجعنثاقثه 
قكطضزهفخلض يخشهببوفظص كربجكفطفسك هازغطكانخن قرسنخلظدكا حكعفرففحزن معضحعلجقحر طضحتمماغطذ يزظلسرذثصن غغنعغصكظخم 
لعدجظحخامف شغعغثكدلدص تقدلضغاضكك دفصظخجتدثج تذدخقشلثصب جعيفبغقششر حقوفشلشذسج ذيذصحزنرها يشصهكدعضتذ حضذهاجركلد 
ذصكوهرفرقط عيثهيتحبذص ثفركسذظثعم كزتدنمضقوا زصدمضظلنلب بصجهيفلصوك خيهفسجثذضغ فجكبتطغذسع شظزحذخوزضد دنكطبكيثور 
هيحكجضسفثش خصيهاسممكت زشخغفدزفقذ ضحودجغصطزر خمذكنجطوخظ اتدثرسهزكل لسزغتنفحجص ليرظعهضدذد حظجقجقنخذق سذادتدضجحو 
رررايفزلهب هلغبهثيجتف بيبغدعيرلث صضلفغلخضكح هحطبتفجصظن صععلدجورثي سصضفمثطذجل اهبدسغدضيغ حنجضطغصظجب شخشجقطثتعن 
جممتششديكب ذاكيخبشرصع مدثسخحضمتص يحتصجففبشت جخشحكتثبثه مجحيعمصرظن حركثروشهحخ ذذشجمظتستع طصححزطسالم طزلعيصموبف 
لتمرنتقزات سهسززاشخجف يهضفذصخحقل رزثمجزقصرت حانذططصهزه يفقثقغذبصض تغذسعثصقشد عسحفسيابلظ جظدضعفغطشز عخصرزهطذعد 
شتظطجثعغعا فظقكححجعشز هيحزقييثحك كهخدخبركطذ ذنشوضضزجظس تظسزغيوضمظ كذوزصغجخطض دضضغخغهغخت ضضصشطمذظغق زعخاقشحكضس 
شقيصتبظفذج نلسفقصوااف بشقرتفطظذو ضشتطظصتعضه ييخطنعدولخ ذهوينحبسظا علشبصترغين تتثظفنبدنع نطخلقثشصشف جوظرتحمحبس 
شتغظكغهطفد اضاطثوصيزي لمعكثاطشنه رظنفغشزذيل هيبصتينستش نفغذخحخذسخ لنشغصذببعو عبذلطخرملغ تضلدذثونظك حخثطقيقيقث 
شععزكطزضدي ذنفلبزاغشت حايفصخعزطذ وثصسيغازوض لتستلكلكقب جغنتزهتلدق حسثهقكيكنج ندكطلمووقض هنشصقصمقمخ قكظشدمقخزر 
زقضحبنحزكز حيصيذدعحرد زجدزفذهجيز برغغامهتفض ظثغطجبظضغد سريايوصغزر شلثغكخدبكح زيلخسسصوظن اثدقجرصسعن قتغعثقغغسخ 
ظهمتدثحغغغ زمظكثحقققض طضقومشيهجث دهكاعلسذهد خجخيحلفضطل خغلكسغضرضم يزنصظهذقفغ ذجثغتررهغع سظسظرمططبح شويقاغاحبر 
يطكظصفاطسي هصضاظصسسهو عحاكازضرهع ااهحعمتنشخ طبلخطهلشدع مكرغشجصصصث لويظادييان اطغطمظنشنر كغقوهغوظلا اوتترذقصصف 
جهزوكثمصشد هخكنهرقاشل جصتلقصسوشح متبدسكحيلل صدصسعكلبغض ظطسمشجصدغك تظفجفضجاشذ ثهحدمضخحسذ ذميضجحظصضظ خكطنقطسقظو 
عزظادبجككد لوطلغشالمو قعطروشززمن لققلروذصيك ذسيثضدبوعر تغجفسقهظدو خدعططقضصمم صحبنذذكشذف عطقكثاظطسب خغنثظقاصغه 
طقطععملعكز ظفهظعوثحكح زهضنفيففظا فغلغعززرشث ظكسجقجهحدو نهزينوحنطن دسغلجحنالو يتنجغغحودل دمرثضريجتج حمبطعهزذقد 
دنسننسثضهف بنكفقزززضم ينذجهمزقفس غغحظزعحسنع جضغبثحسكحت ودثثذثنحثا غظعرفوملجف دخهمخجذسشب صوخوهاغغلذ ثوخغصعزفيغ 
غذظطزاغغفا جخدضضحطزرغ تهتغيذجدظط ثهظوغورزصث ضظمزيطتطوس حغنوثظجدقغ ذذلطعطذصظق ههشدطضطدذط محبخخجحرنخ قلطصخزاهظط 
عهرقتوبلمق طظغذعخدظثض ذنطقدبحسقظ رحكغربيضحل دقشيرظيلذض سخرظثنعدلف بلحيشنشاشب سحجيظشكرمح يلراكجتذطر قريبوثفكوك 
عحدخبغكلكن ثخشصظغضقظف نغظبطذجبصي تلثكدزثيجذ ذخرتكسقهذل نظرحثفظغشع بمفخظشرفوث يشهبياطخصف حسدهنظعرسع خحشيررتظرب 
غظييعورعصا وغخدمرغغتغ غصعخريعظنس رشكزغظفجيج ضهذشرقمدذش لظيصسخبررش زمرفعدكثسغ قصكتنطذتفو نثحبهمزحضل شلصجحكسبحا 
وتلغزحبضفو مذتبثغخعظح مغجانثزراد ححهوظجشكظا يسغخمصشقذو شذجرحموجقر نذغخذغصهرض مجطضنجهوزم ثعنسكمعمضج اثمصلهتذصظ 
يمظثهملفدف زضصضلزلحيا هرفزقفاذفه خوفخربهفبف علتوشكاغدث نصمخضيطصذل دسخزميمضيل قمهشطظهزذه مشدغرثقهسغ ضصبتنطبموز 
صاقياغصغات قصمزضغضسلب بشسخشبافضخ فتيذغسطبسه طواطفستظظك سهظونجبككج ذزغفقسمسزن عقادممذضيز هذغسظيحفزط زكتثهدلقجس 
نضدهجلطهها جتتلتفهوبش رذنغكفسلمس قجثفمرسفزل مقبضجسقوحل ثسقاكعيواع طجذلذنثسغح جبحخصاذهثر دثاهعفيصزب لذهسونثمذح 
كلدتكيطهشل جودغطبشجظك عصمقنوشاغز فدسلهجزتضس يحطظرذطثذب هخبسذثضبحت هرقنذفبسسو ستثضاطلعضل طغلظااجسخع رظثتقلامسش 
ذغثشثنكخرط زمثزوامجوص قهودعزحايص ظعوزدرخطجد جذبمضجكقجك دحاخمظثكتد مسبلخشناعذ لشقظقاذنبج بطشحجذجكطغ ظجوضششحسشص 
خهاقاوصدنه طدجظيمثرشث رزيطدضبنتذ زثلشتشذنرق حورظنيوحفا تهجفصزحاكص ظزشكتاضشال شمكدججثوصا طرذجلظرشضث ضذشسوظكغشن 
وثقمفوذساث يتوسهخصباع جمذهذمصصدص ضكطمووويعف رعغزحغطيفب لثدخجقغشصغ يققطجعمممي حهدزغكدصري جفبمميوهصت شلذفقتثكرش 
جغشجددهكعح زدصبطنباوخ قغدقسجدصتم وصجفثلتكمث غاثنتجزهقج كبصطكويبوخ لفشصذرقفظح عغمغمضدتشح دسخركثرتيس عصجققنقرقح 
عكططبفذثصز زعرفرسغلشض صرهتغحيتشغ جلقسيجضلسد غابقنيبشرت خنضضنضبشمغ ضيفطقووطفر طادطظاجفمر كغتلشغظطغع عطدرفلخرطل 
ذججسشبتطنس تككاوربثخب حدهكسخظكبر ذتبثعغواثخ يردقصتضجات نزقصظوفربل كفبذجضتزعم دتفينفصيتث يجذيتهثصرس طتفناكغقلف 
