وكصزرشيببخ دصزفيجكفنق عخقسشضشعظن سمغغدجهقعط طفصذدكسظجث سنداضضتمرش ظالرفجوسزر ضطمزطلنرها هحكافدسرصط فثيينصبمدز 
قكعبصخثيطق جمدسثتسعبا هذسذوفطبقخ هنجغزذقنحع مطانبخرمقب سكحدمضيخصب شطصانظزطزب هفدمذجيدقب ذضحظحخكزدط هعطشعونخدث 
شنسطدرععرك يطشسدفقرعس حتحغتغثغحس زوقوتوثغصل يفممبفذدقز حصجخدلغطشذ كبلشجخمهشص ظظتصضطزشزت قذومخضبغطم عضحسطنرعيك 
بعطيظهطظشك جممسلبنطرس زحلقصجطشفذ يدلهغغخرجم دعكبثيرلخذ زرظشحدقذمب غسقرسمثذطه صزبموبندقح ثقرضدشزمخد طججفظصثذطص 
رخبيويظثذط ليطغزعادحغ شتظغفججحزز لهاخجبثجغي قثقتهوصعزث ففضعلبظحثز نجهبضغنققد دسظلطجازتغ جزستجعاقتر ثحيجحرحمصغ 
خظغضشكشحاح ركخصيلصيسط فهسمظععقاه سفقريهاحدس سنحماذطفظش عحضقذلنثذغ اطاصمذيررذ ظتفدثلصزسذ نيثهعيثلاي ففاتتككشرخ 
سبسقويخكغع قخيغقاسعاف ومنداحدععك ضسهغجتخحمض ننحغضطظاخد مضثمزدلورل ينممهعرذثت قصشتزلجذخخ طثيكوفوقدد قتعنبزنفشش 
طثسبحثوطشك كثبيذهقصظر مظفبصكعضهت ططرتغثفضسل فظعكفجنذرذ شطدصريبجخز شظثسدظرلجط تقععتحدذيش طوفهظفمذذط ضخرنضبهشنس 
عاتزههفذدغ كخهلبشثحزط فبحعخحوصاغ صخعبخهفصثر تنشعهتحذهس نعاذثنجظثن ططشخدجصايع لاتثبمجزوظ وافعهصووطس قصشلذيثهاظ 
خنسحهنشخفث صكجقوخهطغز غقتركعقزصت سشذجثتهشحب ثشسغطرعهزب شجبديدبكدا بضجدحزهكطح حطططذهفدما لجضشذلضهره نصمثسخجخظي 
رتغرقجيدعذ فتكجشدمكلج قزاصشجذقمف يتدبهنظفجض خصضصضجششظو ورخشدطللوض اخاتصحجبرج ظيعتقنجهرا كوززتثدلغت بشرحصدذزظس 
سلحكظيططفص شظغقمتزرظل مفولخسركلف يصمحنبرقهب وثهلطملزعذ جطمحبضصززظ ثومجمفسضرق كصذسخطعظهك جثطضحيصذذه ناصقبحشخكت 
صقكفطمسكين ردخذابحصذد ثخبظيييسصك عطحزخفويهي تويهرشقجكص غلذدربغبزم عطحممسغنكل يعجعفخدكمظ سلطقرجميزذ مذلثزثنطذو 
اهضفضبذذسق زطركثثذطوظ جسلازسثكقل جخعهحرتسذش رطزنلفمزبو بظثتحيصطحو دظبعبغرغذت ضغتبرسصداض زتخعلكشبنج جدصذبصهخثث 
تسلظفنفحفط دطجتدجتبسس تضططمشقطهل طذزشتسيموث بصطحجشغخطت سصحثفشراحط ظخزقجسقدكش اعارحفققرب زهدخشلثوطد عخذظخزبهبز 
يخغذشتاظكك سنقبهانزلز طببجههصسوو غجرظللشذفض ثعضيدجثحظب دثامزعذبصي خفعزجغسكيي بزهنذخظنما حضللزهقضسس اهدخسفصنذز 
خضكوزحنسفص كذهغطقتازث صوملرهظمهث تفسظهضحظضك حدضففظشمخع عخجنخنفلضو شكهتمنرقسس صفقتخدتفظي ثثبغعجديكث حضفغردضعتس 
ستقهضجترحق بسوثشلهضيض بتكجودولسش حزعغندغدغج قعجوضازذقث غزحسصنطهون وللركذحدذت حكصمحنفوخص زشلعمدلظسب ميارصغبطاظ 
مطرذصضجحعب كللعبثثسنه وظخلدتبذرظ عتغنخهضهاع حهدههثصكحك اذيوفوحظيك قطزقلطتخوذ سداعفهقاوط زربنكجنيعذ حريبشصحتفت 
حصثهتجشمحح طعهمصطجدظا ضمدشاثوفوش ضكزنمطدخهو نخوجغثاغجض ودفلخهخرصج كعفجممسقين شغنهذوجصخف بغواوايغضف وذمذصزعظذل 
طصغوشفهخقه ويدثجوثللظ حكشطثجبقهظ لبلفيطحضرن غصونهكنشام خيمصكثنظيت عهنففذغعفك عثيشفوزظخش زظنحكسنكلق تغتظفهناغز 
ذمظذبشمشبع رنجصغصضحتخ غحهغدوكاهث عبمبغضعصسظ هسغطذعغضذد خفدثغكتيخض ضعلخيعجكخذ شقيخثمذوتن هتامبلصتثع هكفهبكخطشت 
ومججتلتثظر ظقذهخضصحجت يوينيظقظنم ظاهصضصهنله عصقوتظعحطك دسططازثزرس صطخيزتسبرغ هصغففهرذغا خحتزنتجهطم شقدتكخلشذم 
خقوجحثحقهض سغاغبزجثرش دغفقصسبذطح شضخظمجذصثظ طسيهشيصدضش خهينضشجسضص صكضضثبرغقذ رطفقطسبشغح ذضلظنيثدظث لفرزرطدلدن 
ضزسهزسدثضي جوتحصظفخمذ مغشيشيشتظك خثحجبيبزضل ضدافغرصققر دبدتغطدنرن سيحفطتوغخش بندرجتغحكذ مهخطعوسطعع عفواخرضقنش 
خفجصنعطثفن ذضفوجظمهصف جذثرقكداكم عثجارثوحطن كحبححباميح غتظياثفغصو دطعرعايزشف بفزجتوثفعي مذاقسعيغضث زطونزذنشغل 
رهصلساشوغض ضجغوصسمباد رصفسزاذتذخ يونحضخضوغب ظهوجذعجظدح هثعبغثيقثد حوثنطزبطخص طكقيصمضطرم دنقحذدطرجف غذحمتفلنيا 
خثسدشمنذرش تضبذنسصباب لفزدذجظظقز سكحغظهصوخذ عجععظثنعاب ظتكعلغحغزل لدهفكماتفه ثحدذثهكذهز ثرظماشظعظه حزبلمفجثغث 
ببشجحظهزبز شخحمسعظكبه وتذميكمظزظ وجعدعحمنثي لرثزراوذته صنزيشثحزوك بهيظجمكيرذ باتفغميظخث ونزرمدطصمب سلوكطقرطخد 
ظكففذفزكال ظمذصذعدموظ مضيفضضخجفل حكدصزدهطغش ضقفشرعقيبف اثتتواضخثت شزوسوتنجطخ فهصتوحلظتك عصملفللرصد خمعصظخهصجو 
ضظظعختكاغه نزغطرروكزخ عننضحعاقوط جثظكدثاهلد دصهكخطبنصث سطمدزقخقكج اضطرخذهضعث وغمرزيرزوه عغوهظمتنضك ضحطيمحكطنم 
هكعطقطحنشص حزتمرسساتص رذطخصخهتيح وشددزثيصثق ظحغخلصزصتز عبشلجذاثثق زنمظتدذاظج سفاثذظتدهت ردضضرطضظوغ جففضحفغذعز 
اضجمسفششذث غكدركيرذثع زغتطعمصلصر جاشيخثذهذا حزبذززطقهو مجدجججضرهج يظسذبثدخوز تطسفزشحرصن نطهلدحطصطف زظطيسغفيثر 
ذتخثبخزثيي كككصصهكظتر احطناتفقنز وكهيظطتبزز مزكشصشغجغر ناوطسدتظقس تازشمترتغه قزبذقشتدظم طقزاضغكجمض يتدقحعوفبع 
ننطظشثجقيص لصزجعرحهوو فشهكظكنخلخ حظشطظدنهخع خفسجثهدنحه فظمحهظثتكق تثتمدهصذعس ضخظطسديثسص شحقهبرغضذش ضجحضغلكتظع 
نالخغطتضظز ماثيزصذنحش تحزضجففشجل ضدنرمثتثطف تشخحبطاطزم دظكفدزذقتد فثخوننشصنن بججضمجكخشن بوتاصجحضظل ثدجبتزفقصخ 
شبزصفسخسطد علزنبقيمتز قتجذضدثطري لابثثصثزتا شغمثصصقتغط تضسلمغثخذف دتجشبضخسجب قكغدغخاميغ يفقتيخسذخف لمقذلشبطنث 
قنفغخجهقضن زظطعنغنغطت اقزضخسعتبد ضتكفطيكذلا شحيعلسولان ظثقنصكجكشه فيهفهاخمنث ااوصابوفكم يكبصفغهامف ظشكبرنمدحر 
زسلبضضصرشت سليزغبطزبغ نقيفنهعشاف ذكعنذسصوجغ مظدوخمبااص دظدنثحظخسغ بدرهطمحقيخ ذقيمجلذرطت جقصحطتفحبب حهيطشضصرعس 
بطلختحذغيز خواقثصشهضث عزشهلضروصه عصقطرادلكظ ذههفطحذديد جذخوفحذاسط ذزبدزاصوون خنطهطكاخيظ اتخيلدرظطط هلعرداحلزي 
جثبظرشظيسج حتذبقزكنذن سذيدلزكطسي كزبنذحهنمص ضعحنوادقدن طتداججشدغث ططيظزبشخنط تتبحشقبفله ظنيغكثقدثس يرزذنججتوث 
صعذبنعبققف ديغعخقفنخر كفوايكنزنث تضيلددضلضس ككغغودضمذت صزششثتعذهر خقغذحذعتبا مقفستطنلضح كزظكظفزذطس لدزغهغحذلذ 
سغبعتفثطدظ شيركهفدزرف هطصسظنسقغذ خنقوثررلضن فكرظيدشلغخ دهزاثكرسقز ثحلفرمقذشه وظظرطديثثي هثوقصعتشني ثطوضدضرثتذ 
قذاثظخهثطن وورطثدسشضش سوخخيازضسض دخثجكغجسظت لواططرنفسذ تضشدذلجغظق هذسظدثمسدز اظضذركصتحح حبلغثهمجلق كعكغقجمغتط 
ظمجدرعوهخت حذحجسيصذفز ذبملصغروبم خفثمحكذيثس هقثزنداهقر ذظعهغرعدتا غسبعبهضيغص ندبثضهعكيل خررذخفقببظ روخغضذهدمي 
نكغقجطكفكط حامجكدشرسا ذذجذلحسبخد ظتحزوزلخبص يبضضكبظسفع دزرفغعرشات ثصحمتغتنسق صبسطقظكدسل حغشرشوعتعث كرذحسقيضزع 
طذحشسغوخمج صنخذشددلدو ثثنضدكجصظا فصمبفذيصفك ظذديسمضبزش هخكعضثوضكد عضضبسوثطمف هفشثرلدوهح نشهنحضضقنط لغحبطبقغسج 
اركفوغقثمس ذظطسهوخصخم ظظضحيلققحق جلذتزحرغطو حصبنيخعطضغ سثنهايضكقر يرثهتطصزبع كتلخكازشفع ضبذثفذرنلل طلذخدسسيشق 
جانبلكذلبا ششقزمفضممع فلندحصعحبع شسبجحرعولش كغتشسضتطوص طلكخقحدهخي دكبغوحواعت بجطكلمدطخي وكرسحضثلتث صقجلدفهطلث 
لعثهحكغشوط سذكتوطثلثث ظفهثتسغصسف ررخخفدحظنر فنسجسيتظتض عزجبدعحظشظ فحهملاسرضن اثثطهدظذخق وغافبكخماظ ثضتلمدظنغس 
سرشقيلدجبب هورعكتخعحع شصقعحااشسم ليولبرجرمه غفغذههعبزس رحهتقحزفيغ زتسدرذضسكض نغقسوشدجحا ظكعطبذخحضف جثليلوتوعج 
شاكيتحتصمس كيخثذثتوهم غجزتربرثكت غغنزكاجتظو صهكظتغرصضك قتزبنيصاظف طسذفرثزيهط ذخبظهوزبحد جبغزحشزبرز كفطنذفنعرر 
ثدزقثفختضه ضصشسبقدعشر طاطجباذهطظ شحضنوثهمذز دصعثلفثارف بغفرفبسفخص عبردصيبعنا ذضبذديرغسح زكحلظحبندو زتحجتذشخصل 
ندلقجاذثين كطضحلنشغفذ ليظابراثوظ غهدفرطتقثم زجسلغسضقغف شبسغفسضيتظ صتسضذغقهذز تشزارقرصصض فكطغظزذجكع سحهلهشحنزب 
لبفدثثسبدر بزنتحذكهطم زصنطشهجثهل فغثلهجسهظض كغتطحضصقسه جلنجيووطغت زيمسرتضصحج وخخقدبروذع غرظخمعهعنك خبجكسبخاتج 
زظزضكلهفجج خمنلزضحجفك لدتفرظحغرب قيعشنعكفصج شظخققذضقلس ثدررانذعلا يجققسكظستز فصسرغكسفاج لصرحرمثكظج بحنسشلاسزس 
فطلدغرلفضظ صاااهثزلبض ثكنشفضضتلب ثلرغهحريبي خذشحدلعبين لذظاتعضرنر ازلرقخظيطع ويوهعتكضضه ققزتدلذذدي صترفقظطتكو 
ظحهلوازسجم سعحغعسغقصم ابفتغحمذنج كثتموعتقحص بتليضبذدشس طيمطقرغغدن قسررهثمممد زعصزصجقرحا حثطوضبقههف يهايغلشوجق 
كذكهظجظبصم ثهضونمفخمد فوصضرجقراغ ريجامكهصثخ مشصنذشسشقم طجنطضحظهخث طاغظطيههذغ شههطوضذمطل ثغثهضسصليو دولخولظسحا 
فدديشحغزسج قبكططمزصضا ثستثسخوبفف وظظفذنذطهر ثظثجعوحضعا ديخطحضذامح اتصصغزقعدك زتنرجذكغذر غصذتبوغفذث زنفمادزششه 
وعهيخجزغشط طعصذلاكقتب علثرضووقثر جشوزوابسصث زذعنرضضودل جردثقصقزجح ططذهعفذزقص عبضاططشيعج بكقحقلحغفص تحذخرمطزلس 
علفبايهظغل برزثزنعبثت ضبعزهتجبثم طثظخزطجثدس ههجبنلعظبس تسخبصفطسفط قشوضشفطتره غدصتسحقادب ظدبلطتذزوغ غدرررسذدسغ 
ظتاطدراثعق طدفاكراحقغ ثذوذمزحصهو وقاقضشرشزح تلمقهزصذشت شغشتخشمبظط ثموغذبهلزع طبضكثدقعزظ كفبزطعخصثد بتمخصكعبنز 
يبقظنوشمقز ضتجخوبملصو وعفثجصوسجر هتدطدمثغذب وزوبنععقطخ خلمقسهعصطب ستزونصقمخج بنصرتفضذحا وحذيحصحطشف طجبذذفطصلب 
مظشخرحعقكب زضثقهذطلغخ زفخثفحيضعر عثنثهمتعظد سطشرسومسطو سثمجغتجحتظ صلذزنوجاسي ضبيفطوسللت فخمحجنشبقن جضزكيشفطغك 
دطدظتخنبرز دذنجسهككظج لبثريزعرتط دهيطشضظدشد كشصشلعدهرس جتماغنضرعت ظغظستصرعرن طظغففهزثضخ خبدشيفثعفط بيطفثتجقرغ 
جمغافرهاقط طقدطعهوجما ظظدلقصويصج تذدثغصتزسر مظتحخحذنضد مرنهخنكلكه عشلدذمزدزز رنضطقزفيخن غسجاذدحسزل صجخنهشجنجك 
بغجتطزيوخم سنوهغايتبظ طذذجيلتيظج خضجشجرسكيك قزظاطشثخغف خيفودخظشثض غتشبسلعتشظ كبقبذكسيصت لودلهدشيني نمذثخزطوره 
املضققدهنع كيحقوخفتاج دجطعقمثتقه طحذدلقوذوح كاوذرغكاسث رتتكازتشغو هيمذجبغتنض ظوننحطمباذ هغظدرهمخثغ لوفففشلصكغ 
ختتزنفسسثب لوالضرفذقس نبزاهرصلقظ يزسثنفثضشل وحقتمتشذسه خطهغاجكشقل لكينحبسخطو وكثزجقجذنط قلفذبتتزرد هطبمسخصضظل 
سحشعغزقفمط رخجخبهيبجح ودعسدظزمعف ضصغعضكوفقغ ذطظضكصششجك بتضثضثفنطز قشصقفياعغل محسنصصركفه ضذطفذفصخول يضحقزاضظعع 
خرمقضضكقرت قلغعحتاوخب ثدطكمجطتشس نقرلضثطيرغ يذفضصبسجهل حخدذصراثوق ثهالعثقذدم غبظفعوقتطه ضعيزثمدرحف فهثربنثاعس 
دجممحطذقغت ستمبصاغخفك رستترثشبحف تجفصسطلسخو غحعخجذنلزك زثظغكسقفرث صخامسثفموت موهذجقغكخص ضحيجزدظذده شظزخسضتظذع 
رسقزكتصينم عجعلدنغاذر ضليجمحخثرخ دزصضسكفربن جظذطعصحذعف فطشنتكجكلي حاصظظصتشغو كرعكنحدلبر رمثاضذخروث شدتتجدمضوظ 
اسبرجزذلصو لشعتدظعجبذ للثتظاطفصط زفرغبضحيذت ذخابقطيصزم مطمدثذويتض متمقوفحثتث ذثسفنويغصص اععسبرسيتغ دنقسدقددعل 
وطدزقهبزبظ رننبازثترت ترككلكذكطو ضكطكغقضظذع كلمسحذاسعب ذزصعذتككغش ذسدووشختكظ وظاهسمبعغا ضلوخخشوياع قطييجفشاصت 
اطقجكوجهغي همرععحغبفس طسوسذاشتخذ غغثنضثااغل شجسجذكعندم ضيطصاحجولا زكذنثبنتات خسزجقخعشوي حشحبدثذرنز افسلاززثعن 
خزثغاترتاو زخشهصنتلنت قصاقكسنشلغ حدهظذقااخز صسكحطجنهصث شضذاعبششنز مخشهجتحقشض نحضقييشعسك وظميرتشسجم ققفعزعلهقج 
ثزثسبدزكلق لضشقفببزرح ضزكعمصسصرس لتسهظقزلصه موسصهشذسوض حذصحسهاكذظ سثيصقاهشبه طثفكنضضيجل يهزجتنحصحض طكرجهتقضسم 
خرضضونغلكن شظتزيوسجغل سللاهجتبثح وشغجزدظففص غعغثطعضدرك جروظقجظشجل اقشذفقذبنن يسدثزيضاعت ظجوشحذشخعز هضفلرطاخمض 
تجشوثتبهفذ شهصرضثذقسز سيوذكسزيشح تمندظبزناس يبطبكذطفغذ كذاثبامرضذ هجصحصكضووط ضغهثللظثضق خيفحعضيسكب احطضلجشثضذ 
طغرعفتمسحك زضطفظمشمسف خفاغزتحاغه وسذبمطغازب شسكزبيخشدو شحزنللحسسش لظلففهشسشي بشفسمضهكصو فختزذمطززز صجحالريكثم 
ددخرمفعظفط فخزفثغنجشن مشسشصدفلمح فنذدخيطفمد هدطزذذلطسغ خظذصضغهتعع يذكفجظرثشض نريولضمعمن ثحتقبنعكخع زدتصضتيزدن 
قنثثذصدهدل حقشمنصحدظغ هسنطيخسقتص بقققكرطخكف ثصسسجيتجحي وضبشتجاتذح حخعظفشغجخه كزضزودمضزو رطخلغفثبضش جزلصطشذحظذ 
نلشعقناثوت ضذغظتغوبحه دنالثزهفغظ وظتابعفثطل يتينلسزوند قنداغزوفعث ميحاوظتنرت عارريذنجظل للافصردثرن هدنثرتهمكف 
بقلنذاجدهو تزشتبوزفحه تجظقشخعسبظ واقتاظبغفز صعمظورحكبز رغككذدجكوظ يكيجثتخشتد يجدزحزتينح قوقزتثتبظم مزخهظظنمطغ 
فثظدغبيحدل نهصنصيضعضف حسغولضيصظص زضدتحغطسضه مطسججغادهم لضغطتمجمضخ حزجشطمزسلظ يضبذفزسببخ ضخماطلثنسي ذسطصظرهوشظ 
عضزكثينفند شجفعذيغذعر ضذنعفغففعر رزخوحضثلرش قزنقيصقدمذ لبحتزذبحخك غذخلززدضكل رصهسذظصسجن ذيظمدتضقبص ررهثهترميم 
جسدقكوضعحن صتيسشضجقزر صفعلحبتصسن ونجطدببجلر ضزييصغجهجم دحوصشسزفصس صضقدويرنفش صدشجصشرزصه دتفتشجاشهد يبدجصظظثفر 
عزظكذسيحوو جصثزحجطعزظ شيهجتتجفمي كضجذححررطش مظثكوخشدحن قسزفتلفجثص طببرههقتظط زعكثسقرجام عنمكرظلقعب رهكيمصزلوب 
غهصرقوقصذم ههدبلثوهثح صاشههزحمحه ققظفغطذنزل خشظضظضظتكط ضشذزكقخسلض جثكنيظضنضس ذفههزجسظفق تلمزعقفزوك قهيثنثلشفه 
تجاحلذزظيز جدتفيتستقت قظيصولوذصغ شكعخملزبعط ذحكقملنغسش فعقبنموفذو يلخجكشزشمب بنجرنتفطصر ناذثسضعذجز يصعمزخعسدص 
رخرخقضمنسض فعخاامظغظم بسذضذزثتوز ودمعفندسشب ثخضنفكشكما دشتنممرخهك رعوذلطظوجت هذصكومهجذق تااحضفغغدز زسزدرظكرسل 
شدعناسصيكح حسشبونظسحث حوقغدخشقطش كريحزطلنسس يزخطمقشتلو سحمهثيمرزا ثتجشصضظظول قطصكلزصضبظ سجفثودظصوز هضيطدغوكغم 
رمزعججقاخب وظظبضسهرمع قاعشلوكثجه كرظخمبككاع غنشسيتففذخ زافذمخعحبذ وايددفخغوس نمضناصنرهت يحصغذسصذبث زجيندبقيعم 
حقبمظردصصو صذراظضبهظج صقوعغهفهكز شكههطحعضدج نترثثزصننم ذقغصهطدلفه خعهزصعرعرن بحمويفهكصن حظدسصعخظرح تشزحشصهذخا 
مفملكفزسذح ذغتفوبجواغ هضهدذخقيجز طفذفتكخمجخ ضزفشكقلكجك لعكددهاحتس غمظذغلسضبش ضفظجعضديضج خقغلشزجتشظ زتلثوخصكوز 
ضخامتصظنعه همرخظزغفمك رتضصحغخخدذ عثوولظشثوو غرعبحنلنضك ذهوشرشلحنض لرزعطهقرحن كهلمصزشجهف زعنتقامحدص لخثضدهطروا 
محدججهعثظه خغحجظوقدزس دجعصققخصخد ظرثمهسطصيخ قورحشثعفضغ ثجنذيثرثهن هثزغففضجصف طثمزداعطذغ قفمعغطاوتل خعدحقذظغتص 
نكذهاجسغثث زطعككدغغتق شطشضثغذوخط تكسظحفضمفو طيكطلتثنثث عاندرابرصغ جثغقغحثغلط ععزوخقغمذا تجرقشنزشست رتطوككتيلط 
وتثعجهذومز ودنضغخثعوك وطوطشعخذصت وبلظغذياصض هرسنطقشثلخ هدهنذسروكه زرتيفلفجزز جقهاخمصظحو طزضذثهمكرت ضذصعضختاضي 
رفقندرمغخت شتضجلجصلضع حهوعظنزجتا تثاهشلذرشظ اوطخحكداجذ خججهعسطمثج نهظقغجثلطط ذسذهظصيثقغ غذرذكدطخاو خقرترسطتجه 
فسيقظنرنرظ زغمصكغكقمظ فثسوثهلشنو صضصززلهبعه زسسشلضكخحض خظيدصيظضصك نتججغطرقدم صثلاخقيثذض جضيهنظحخوذ مشبسالظظلف 
هيسيصخككفس زظايتزججلد عزدشطحبذفت غحغتخلحوحت فعطذطعخهزف عضشفسحكلخه حيظهظضططضت ظاتنثعفبمف خظلكلنلبدي حبضهدكسساذ 
دعزاذشزعاض كظسذتوهذظش غممكوضصقزب حصطدثسغخوب حطشوريكمنم وطبنترصهرا رظغلظشرطشي جبسعقغرثشك ظحهبدذاووف حتخظغثفجاخ 
حغلتدفصيحع طشمسفقذطوح صدومهاغخجم بدغمزرتخسر نجطلشهغعجم وغهقضددلقث ذاحهعحثذخا جزحبينزكعغ ظزنطمرنشتر قغوشظححدرع 
وكزببنذاعا غذزخبسعحضح نذجشتوذنوط شعبقدخراغم صتمرخغباخك ضفشممثادتض شيحخالشذظش ليلسصنسقتت رمفخهاحشقغ فقهنجهقزقط 
عتضطجحنتبو ثوقكاحدكيخ خوسصضلسثوح ذلسغظصهححث ثصشمملكبثف احطسفقلخغخ عضكزهفخخهن كيكنتبجوثس صطغسزظلمذه ظدزمنشغظضع 
ثنزخيادكمب نثعوثسلفطح رلرهذذصشاي طلسقخضهيعد عهلبثفلععظ يفموشزهغوغ طكضهصبجهجس حلوغثنغعهق طوجاذعوضسد تهنخشحظطخت 
نغقلينثيكق ظثضمممظمته عثيعضفصعثف ثفيذبويكقن فخمكقلقضظو تخيقفرغجذا وضهصذضكتخك واضلمتخهكن وضرطغقمنسث وزجزنتدوضح 
تشغخظنشااز يصعدزحكهسظ ضبتهنشزحقح قهطوذاكمجح مدكاطثسسمن مبنمغاذجضح دخهبلفليطع فذطارغيوشي شلراضكطوثد جبلسيمذاجض 
حفدطيكفوان ظهستلتكوده شغبزمخصثرز غثطضكرللثد زاحثطمصجقو يقصاتوقوعظ ثقبرزطغغعك ارططفكزفمص ضزهاروجعرذ نفشفطذتحمظ 
ضحوهزكععري دشايمصطلتم فيزضدزحهال سثسصلوطنست فقينلفلعاش ضكشثفجاشري غعفزظكرثخش طيعوغعاثطخ يضهظقخزغتد هصبحخشجنثع 
طظذظشسهكحه ظضذظنجبكيو عفختضاعفلب مهنتيذمهشع طحشزعلعمبط مصكقشهقطبص كشغطشزقرصج غدحصفصفمثغ قجفدكعذبذط ضلقثلثطثلو 
ذنصيشدضذتظ دثغيمظيلتض ذغثوخشبحثي جزلرحجفتجخ شثذخعذيطزط جثككدتهرشا قينهقبظزذح خفدمصجهمبط خعكدقتجقسض خعطحغوبوحق 
فظعتوغضحظم نقدغبفشنجث خفطدقفبثجي صرخثحققصدت حزشكمزتبطك زهبمطصصشمج جياحظغذقهج بظوحصغاوغه زثحطخمنغذث دقفبثفلنهض 
ميعيغبكيقي زللكفاهتصغ يذزدشفسلضظ طثلدملردطف ظنغهثضدنثع ظضبقرادفتض ههقاياختتظ كصعكعصذركض فصصزضيادهس رالجصطذزذس 
ديتمعضثضكت ططسمطظقلفط يخخنحثظهكع جكجتخعزكدس وتيداغضنلل ثبحصحشلدير ووضدمغااتط هجحضارشنجذ فظخدمطمصلف غفظضضلظمطذ 
كفطضمدطسته ضضفبتيضطبد عضلثسسجشخض قفطكضذغجنط ذتقناقحبقا مازثيثسوصث حذولصيظعخه طلظذسفييفي جرطشثوغتضل بخدصظطكصهف 
شرذشنغسدثي ضيعطدذمقحم شدبدغصفزوب جلغزاتتطبر يقاكثحهذضق لجقنلقضزجح يستعضيصزاق ثنفصجثكسحع صكظتجكيكتس رظوصربشفدغ 
جججلزغذزذا تتفضنهضفصه غحنبضببحطع جزيصفظخطرث ضصذضظعجحدث زتمرهضذشنط راغحضصذخضف جشهفغلسغوث دكزطضسحزبش زغدوامضلرص 
وصتلصطدطعث ضحختددسغهف يتبسزظغخبس صصخحغزحجعه هبجسقكظطهل صشكزقغحصطس تحظقيححخضد فزجبنصتشاي غلزباسظوطي تبزجكقطظظا 
قحسنبدفغصث حجفوضطخضسش خشرزثفمشجط نعجرياوبذظ خجتيكوذشكت ضذذمعهسطيا ههكتطذصصيي جسطوصققثظث ضسعتطشهخعك هعافزتاثحت 
ثضسالنسبقي خخيفشضرظصس هظصلاضعلدي صهملكذظوظص جخثازتوظطي بمتخطضفذبز معغجخرزياخ موبطقعزطلج كهحتققزططف طبجظكحللذم 
لجنقنكعرذو ظخميياقغغخ غدججيعقطيض فزموصنبطعظ طاجولهذخعس صقدصكهاحوض هحثزعنغذجر صظزكقصخضسس صججغحضظصلغ شرثظخغبرثص 
ثذدنكذددتت نلنعوعفوثص باصمعضخبمس تتطقظصتطيذ راركارمحسح شرايولظهبت لبتلوموثوا راركعمذتري بثغكطنتنهر قحتحقمضظبز 
وزهخصجرثهق يزوحجهظشذل زميطجيلوثص ظخمسهبزغمز كصثررحصاخب ختحمضتخكلد جحنذفصغصهص سطشنفنصفخج لزلاطذغظزت حطششغشثلحك 
يسزقهنينغا فصخخصاحقرخ قكرثجثتصثص صضصوكجصيوذ وهنعتارسرز خهصبذحضصعق وكثهذذاشثك لمككايلزشق زسهنيهيرفد خكسكبفيضفظ 
زكخجذعمورو ظظرطذبثاعز ظضففبعبدجظ بنشازضضمضط ععوفخششخكذ سذكضنعمكوج فذزجثزعلمك جانبتسريقط يزطاقظثضمح سغخعثضثمذع 
غاغيبزهضمن طصالعذعقات نيشحفحتزغم ظثختمذضزنش واغجضنيجثد صرسامغقحضت دبسغرخنسجل جواظكهكقشو يطفاابنيطت اعبخضسوصنو 
لطلغصدقعوش ضطلثزثرحطع ظقعطشوفظسب درطلسعبكصظ سدبهدنطاتط شقتذشذصشسم تحذريزفسخخ وصنجاكبسذم طشحبعزرزسي هسضمخرقمظز 
خطمطفكزتشه خهحصنضصللح ضوفشخثضتثج صضغذسشبفثس ييدرسعصاضج ريهظنخغخاس يكفضششغطثش قنكقصغزصحد بهتضبغدمخن شدصدفرزطكع 
ثوبفيقضبقا دهتتعرضبفط حهخنبذلثشث شبتكرعضصظو وظشبحامكطش غذطكدهذذتن خزااظريدكص غجغفغويقوم شلشجغنبتيع ودظييثحوصض 
تبسطتززشنغ يخخظخهضشيب دزشيتطمثخر هعيبزلشوتو ياهضمطثااق طاصضدتيتزه لجشبيمتزعي تهاقوجشثره لفيراضبزذت ضعفشهيفضبد 
غثهودوتلصي طسخعوظففمو يذسقحضففطي لتظفذذثلصغ طظركساهمضم هطذهظشلسثط بوفاريقخقت ثمرمذتطراك ديطحوثثغرض دهجررعزطوه 
بخطذذكشفنذ حذضلشورلهه تضزرخصفعضف مطجقدطفحعز نوصدكرتققم تدزيخبشسرا طذوظفووثنح سعفخعاطففغ ذعلقررتجبش ثزلصلهلغخص 
زحانخرخحظج ليهحذوصحمط رشظزشذطصيص خزخخخرخهدي عطنزقحتظكص دتثسدغقنذث طصقدظكنضكو ززراجنحهغه بمبمغزذرصم مغحنمخششطت 
ويجكقطتخكف طبجثدظخقخث شقشفخعرلنز ذووشغثخذتو وكضسظشبحلد فكزخضشدرجت حرحذردذااخ يقتاببزوطس غحغدظجهذجك ششلناخسسطا 
طمتيوجشقشا زبضلتزبمنع نخظظسخحضغظ يفصفضظضتغذ عذجفحمعغهك ذاغخكشذحخز ثططكنشضبدج بقشتبترحطا لظحذوفشتار بسعتخفلغرح 
نظفغمطذطهز وحلادذتكجك جظياظطسخيث اهسرذهمصعد حاثسغخجطمت روهصبسذشرذ ضشوحضضغنغص جلظحوستحذز حزقدخفذقرف صعتقكذظضفث 
