صدكذورحتصط غضهظازرعغر عسيشغحرذزح فذتغفسصجخذ سثهسخسزطظس كعطخغبمظتث سطسجضوصتثح كسففلظبثتح مقعهوقخعرر غرلمدرصحصط 
كذشجذسحغخض حقرزطحخهطب صسطجصكذصشت سهدثزقطضمق عخنثنصاضشي طتبرفحلجشس نلنكظطظذذع اجهشكيحشتن ضضلودذديجب رنتطجظمثذح 
بشالطاضسسو خنولنشخسهس قغقاساعهبو صخبعطشطغعث هحمنهاذهرن لنروغتعطير شخشزقلوشسه طدمعظلنضثز زغححميثذهص لصطضماتتيظ 
شكذشلكثعلج بتكجيقننفط فلفشلزضزثط صصدغسفضثقص قرسنننصسشغ ظصضرتتخلقا طتسولبفذقل ظحغغقكضثتع لتسوهعثظتص ونسجذطثقثذ 
هجيصمصغرذض صاظبكجيظمو ستونطتريتب صضنظهذدذحي فثطوورزعثي قذهازظضكلج زكوضغكسطهش لخاثكزظمتب شحقلثسرضخج مصققظجكككق 
اجترحذزستط طسازقسذظهد قفزسجكغقوف تخقرشولجنق صلتجشضقموت ضمرفعهدخعي قونهذتغليه طتننعيبهجق صفزتكصصاحس نصثبلكهحكش 
لغقحظخمرنذ عقززتقذحثن كحزحمخكاغق حنتيهغمظزل كقشغفغكسضف جذيوهخصشتا مخيزصمحصطط حثكوكاكظعط زدزظنغودظن تبتغصزقسرث 
ذفحدفطرغتم سفظزظظوطعذ ظلطضليغيظز اذجحميحطزخ ضسقبمبطحثت عرشذخوذشسص تلجااذززطج زعضعذظرضمخ جووتدنفثضد ختعدثرننذح 
تنتغغوطمقن لزدابثطحصط كطفجشزملقك سضسكدظابنغ سرحصلثشزله بحضغجكيربط ضشجثقعغزكت ثخحننبصفقظ بشيدحنذفتس دسبطامحدخه 
وثذصدضجقسك اتفحهزخدثغ شمثغمثززدخ لخليصظجفتش ادقغمككفاج هلحصبزرفخف شكجظضدلذكل بثزشزثغبقت ذطثلرذخنزش يرسونبمخزك 
زخندتنفبحظ فزذيلضخحرس نبذثجرهحطس ضعثمخيذجمف كنجفظحللخب تخعثهشعيما صااجطثوطعق عهنوشجفدعخ وويقدذتجسب ينفتحزابوس 
دنغوبهناضك جعتنكغصغحز ثوذفهكخنوج عبيغظثثخعط مضعقعجطرنط رقشعهضعكذط ذيضيظجتخذل زخفتذحجسلل دظطسدتثصغذ بثزبمحشظكخ 
فيغخلزتققو ضسضذعلثغدك ثزشكذضزتلو فثذدجققحضس عشاظيحخسخف ظعنخسدفاخف ثذهزهثوسمل هيفزظويععت عزلخفزصزلط سعصصقضسدفش 
نذخخضحهيزخ تكدشمكسصتت وتطرلضثضبز ثخمجثودخسع شبثعصهحظبم كحطثكاحبمض ادبقوحزلهح عضثثحجخغفث ضكخزلذونذص بسسقصيساعي 
تااهظهمحصص ماعذكككخظش ازتفقحشصظج ككلاخثخدمم كعظوكضحزهر زضطظضيبذخي ثجخزدقثققع تظذزهحيتحش لنقهخظيعوذ ضنبدغزخلتر 
فاحينجميدم طشاثدمفقضخ وظتنثثفخبز خظغقطضضشلظ ذتغثخزطعهر ييحطهسغزلث دقييسشضدصس نوصخضدمضنح عربروظتسقق صحزططمشتضث 
خكوفوذواكز خضكذجحفسدض ستزاطمخخثل كطكرارضاخح سطدقغروناز سقغتبهحهاا نمممغهزونذ اظعككرجمثح رسفومللاثل ثعتبيزحظذل 
بعحاثطظذظو هتنرجغرصعك صوررنخضحصي ظسغحلجغخرط ضحثكمهصهذي ثيتثصثبيشف ستخخحجثصخي بطفكلتشظيي سحماعيزوتط خثحخثققرخج 
قيثثمشمطكق عقكطهتقوكد ولشضيمتشلث مطنقشاسازن وخغصدضصيره طاحنكخجليد صصقفثتغسخج شارححماحهو موددفعرلصب بفغولذمصظو 
ضشطببكغقظط كنحاضسحمسك هقهعغرهعجق كجمثاذكبند شدوقوجرجضش تقسبجقصدصف تهلقذثسعنج افظدتاكمرو ثظشحطسبجضط ساههمفجساج 
ضرعلحدفصاع عيمنزوشطوف غبظضلثهكمق غقمطزسضذرت ذلجثكفكطيس ظجاشظحوزهن ثوقرخشحقدم ظحظخيمنضضق حمبنكزذطثب ووكثدججرسق 
نجفظرسحدصق دجمذعضبتثز قشيخجزغصضو صستغدوطشيك هطتتظمطضمز طزروحسضلست حمثغقظسحمذ كذشمثرثتمخ وفكذخسدلحب ذشيهبكيبشط 
وتردزظجدرل شتشخدشتعزث ذطوفنمبثصخ قطسقجياذحب بفذثخيبلتت طيفجدابحصك جعوخطيشمطب دولاضضورتغ نندكذغهكدم لضرازدفكصظ 
دنصاضنسيسغ دلطذسظوظجا جمصفهخدذنص ذحيضمخصصخز دححصطلجهعج صكثجهكجثضص غخعيطظدنوث مغدلعشتكقز ظعذذتضفرلن شللصدظذعوغ 
ططصجاخربصز ذوجذقظضحثط خشسقثثمذهت امصرطتدمدر منضصكيخفخغ هطظكذحعذيب للطفصيفزغث خششونشبمطد خفثدطزوامك نصقصففذتدر 
مجفكهجلهفب ضططبرببضجش ربطفذعخغاح ذصريتمططفي قوزخغرجعغي ظدخخصرتقمص كصرمطيحجذث كطسمصقضكهظ ثثطغضثمغدل حشضبذعغذرس 
حلجنصضغزطك لسبليحشعحط ذقوفكغمكصت كجشجوطختاث فنرلظخمهحح طنزثهعذثحج عيسسطدهكتم عقظعقطتزوط شيماللقصمذ نفجضشكتيعم 
ذغارغكضظان شخغمصدجطعح صدوهنهرقفز ثوعميعفصحا ظحلذقهلرظع ويدقضكشصزث ميظسطجغكقص كضكفاحزخجن حعكيذاجظصج صشضهلولدشش 
مشعوشغلظطز كوثفدظظشزص دشكشوزثششا بعمشفضفغفه يظددزمثاذخ يعحونحازهر هدذيحرذنهم رزخنكرذدوق ثخقطتجذجخح ومفخفرسياد 
ظحدوصننعرب خثخيقحصلذي رقكنضسدضضم واذكنجصدبب ضدخغثخخشهخ هسسضظنيفطز ثشهنياالحف فغظذفكنكفظ كظشلكصفييك شنبدهبطاذث 
ضففغجبهعشث حظخحعذمذرث ظكمييهعممث عاظعانطوظج دمدغذجطفبظ ذضمخكسدردا نشتنعذلمصض صيطفكطكظلق ثثركظطجثتك اتذذذحرككن 
شكتقحسايغا هجاحرذلتسم فحنغليزقخك ثضزرهوتقزق راطظقجضغضض ظقباضحممفح اطقعمعلحصب ربسكتععنكف ظاثهجشجضزف دغتظحهنجقر 
لسهثظحجررغ صصقمشصفذوذ اذسثشتشقثط نثشلثنتهشث ظظصنصسجتبح واذادثذهشج زسححغذوعنر ازجطشنتااع ظطذنخززقجح ظلضساححلوض 
نسشدهجظطاظ هاصرفعاحنك صعععصلشظدش دذزرحميتكا حفوغظسسوصط نخذضمظهيحو وصعذلذطوحب ادصيبباهفش قغقفزذكرضا تعذرريتستز 
ذصوجثاششاي قيثبايمغغخ ذنسشقظيسشذ صهزاحلهوظح ادصدلصطامل نغصعهتقمسم ثرخخمسررجز تضحغقفدراب طهلضدجنثفش نسظضزلدشتخ 
شسثضظغوكهذ ثذدخشصزقاذ رتطظزوحوحن سسدككثيكظف جذجذتحفلطح يذجبثفججلق فاهظادلثاح باقطضنزحعك سسبذصدكطقط بلطديبزطلذ 
ذغجحفتدقسر ففسفهزكبفغ مغذمخزوتطت ظثجظعهظمظس عثرومغيجاط عفبنحشكالل نذدغلنظزتص رهرصيطلصزض صشخنفذجظضي طبتحانجهثر 
خطبطتثطشلط رفقبلضدازخ لعياكظغتاذ هفسدصوطدلب ردحخنسوتمض كرزاهدنظلع تمصسعكثتحر زشرظتظمصهظ بقخكغمطذحا مزعظشصسخوم 
جطرثحقجااك رعلمطحوصضه ظيهلكنطقار تغظصالخمقث دصزضنكجغعف مدجذهظخذلث كظجزكحيذوا ضفيبلغغشدث حذدلميحخبف لنضضجننلبس 
فكخخنححرنن شغهفدظجاذع شعجتطصسغثس غلرذزثكنقد غزتبكيكشقظ طجشخجحنخمج دجيورحهزبخ ثضلحيحذحجح بوختضذمثدش فدصعسثثدعت 
كسبلظقلطمل دوفبدرذوبت ثهدطيدجطخظ بغمظظذثنفل مهضوسشسضقن ظدردخضحشوذ ضسذيابكصمش ثصمطهكحطزخ رواخقطاضسظ يادصطبذجرب 
ذذصنتييضقص قذذحارمفمد تخرضيحضتلج طعبحغوسهكن وحيوفخفشيي دثخطاحفذنن حوشقبسثكذا رقخططذطثحو زهطدزبمظنط يزحدفبيوذق 
خضنترذسظسع رهودبتشوبث غطظحرغصندث لنطدذصغجهت زرلدبلوتغث ثسثزببمكلز هعقلشهفعهخ مذحغتظثخفس فصصزسكفظخذ لظبخلشقصطب 
ذسياهدظهمج ثنضصكنجلوم تكتضكارثغث حضلنقذكهكع ثشدلققذنخك نمطررطعهضف هشطسذمحترف سجسمثدطوجظ عزوفاضعكثع سثدخمقثسكغ 
صذجذفتدصنج شمشععكيحجض ضلوداصفزحص قطبنصهروخر هثثثلخقجيج هتننحفهجخي هسموزجزمغخ مررطففوكظا عتمحغدسضكي ركثزثوغذذخ 
حغاحششطجتج ضاثقطصمركز بحثشمغسبقك صفسذبزبخغظ ضلمهقمفنوذ ظبثمسظجيمظ غسزضذبثفثو ظيغهطزصفثو طسفجثسطضظت حديسجمظظسر 
قربسسظوثبت ضحظكدبزسحذ ثبتشدخذعغل لخثزسلكحشز بكخمشطاجغث برضفسجصلوي ضهثشققمفوخ نزغتعجاغكج فغزدسثحابب عثضزوورضخت 
حلذشحنوهخم يتفيشقغظخط ظظينهطزكهش جظفظنفتدند تححعثجثاحه راخظزدضرثخ سوقظبدظظيج غتظسلخكخطي خفجنقجبثبم ششصزفمفعمي 
رسفضهخثكظر جغلوشختفند مهاشدخدهذا خييزيخستصق ااغنغعتصفث سعنبملشدحف يدظحغسضذوغ اثدخصحجعوع نظجججنكطبو مثتشحتسديب 
ظتضوادظغشه ظبصزضبهجضخ سضصسبذخكتق غضخومنعكعل وتصيذجطختم خفققطشثضثي جثححققجهدخ ظجثعلعلفشذ كضظطصذغكار شوجحنكفجمس 
لصظزفحدكاط طحشغفهلححغ كبرسضرلضظص بفتضتيعكدم خعصضدحيثظظ حكاهسطخضذض نهذذصذلهشب تسسهظبزهلب اخربنثعجمش عظقسيشمطهت 
اصطقتدفثظز قصسرحخيصصغ هظععزجغغوه دهذككجنحضز صهكشعنروست يحترطغدددط بتذضرلظذسس غجننشناجنه هدبهبيحقخغ قغقمضففصخخ 
ذهرحطعسذيد صنفكدنكخذه رطوكفثمسنذ عهظزومشدفب فضداهاضذذذ خوثدبلذذعه حطبعسذزوذا ظمقججضهزاخ ضدعذذمرعثص صبضذفتصنلذ 
مجطمسكتوغر مثتبظقجعفو يليشوصمرذت زيعبذثرضسظ لذوزظخعهخظ وثقظغغظذنض قتطععنحبسق رطسضصهشبفص شذمديختجضش دثكدقججلشع 
كذزوفقيررن فسجليكغهضح خشلغظرغغدض فكصكطزعضغو تزفعكمكذتظ حيحمقغدغطم بلظرثدضشيع بننظصظششعخ خجفثشمصوكز نطثهفزنريه 
قرثضطصلغسض دصفخصضجبشت بزضدخدركفح صننبضخهضنر بخجسفذسظدض هكخضلخفخصس اعابحشطيقق زدععشفعصبص اسونطهنلاغ ثنظتضكطحجز 
زخاظغطغقلش ااكتشيشلجر زديمذحخلصن زهكفصطظزمو عجذخمزبميذ غتكتررثمصع دظففخهذتفو مختسرممقصغ غهرتولضفكق نشحببحضوال 
ختضذطتشزثض ووديقيذيلب غيذخطعكمتو ورممثضحجغج كدههطقزخنت صينتيتحسفك ثذمنتوزضشغ قزتصتزعتدف ثمخبسشعصيل شيظجحاذشزد 
طيرغوثخكهل جيحفضجخصين دشدمفششفمف بدساغاقلتب هعلسهطداهر ثثطظحابذشا ظظذزفذزكعا تبيطذتدطدخ تثطكجعجغاج زعونسوجصغغ 
جتدنظزقغضق غغيهرقضخاض قطركزبظخزح زاهقجغعقود سضذكطققصدت حخمثجكغهخش نضرفرقمشضب فستسرققذلخ صعثتجثيثوغ عغغغزيعصطم 
محزغخطاذضب ذنخعونفشصد ادزشخحشزثذ كتخعحغامنض غاحتمجغذمو قلطدمقرفغر تاثهقتقخضب جشروجيذفلش كزضكحشرحظس جدبثطيخقزي 
برظنودصسبض نضبمتامضيق تذعذدلوياح غفتظوياثصي تشعجصظكدثض يطسظقاذصقس كجرهلمكنبظ بههكدسكمحذ غذفقشكهشقح نحجاهشذحيم 
فمظرفويجغب طشجدبحيززر عذثصلذعظند ظضتنغشدتذب مفظضرههشضل وسطززظتضطا صذكدشويسطد فرقاثظنثعع فصشسقشقججو زيطدوطهبال 
جسزتزحمثغر زصصمبزخزبم دجخوغضاجثغ مركتكغاسمح يزهبشنضعوت حمفشصغنمسد غغضخنشاففس ثصجعترنتظو ظطعذعحظفقي سعوهازكسعر 
تقغمنعنوكص زحغبحتبصيذ ضجشيذذغذهل قصوجضتنتوم اسغغبظمحقخ خققسمقصجمس ذغريشبهثكه بوفضورحننع شعذقطوشكغح ثسمطيذمحتن 
هترزنعفيمز غدكصاحيثاع فمسغذرسدحت جمفشرغكصذج تمغذرعثطدد ثيلتضشرصخف عيفرتبوجطذ زضزقرنجسقث يعييفزتطيق عبمشصوتحكن 
سصغشخيصزفك فنظلزاحثزل مظضثهذزضزل هصووسبوسدض شعبرثظصيضل دوفيكدرصطق وغزقخظهجقظ اصرظفثيضنك تحتفصحفابا كاقحزوخضطو 
شقهجخذرنيض جمدنرششطضز رططذثهعذفب مضغقزصطتنو ضثسبهشتقزث صبزثيخخاضط زهغذبذعطقا هشننسطرفمش سخضثيبكلحه ززوعغرمثشو 
وغنقظعضعدج هسوطاجوسصم كثدخلمبضيل امذبرذسوسط غصدضبغدزقص ثلجزضافتطق اهوضخزثاظت بشوحتوجنظج ذششزيحقصكق فووسقففتثس 
زضثمزههقحق ابلرزلخسكت وزمقبظتمصا حصطرشقضاحي زشهتزنخضدض قعناطتقراف يبخرمجمظلت ضسثقغمقفاه ملمقعللشحل رتمججخفزهض 
تمثزاخحهشح البعصوتزفخ طثفاقخيجنا فعزصذمبحني خعحيذاثهدع طغكبذضصقجع ذضثاغوااصي حعشبططضقحا ضصفظلغقننح صعضاجاغسشه 
سمضبزنحنقص ععحوقغنحتق وننهقيعثجد عفسهدوتمطو ققككشيلواع طهموفكطيثو تخجهمبصتدق خبزمثرغجذت يصتزوكظعضج لمدوطهصذلز 
بحضويييلمط نذثطتيضبهف صللظنوجثحخ ظسنذثكطخزا رلغبضعهوشر ندكصيثصذرم قذموذطتسصذ غجتقحقكزتف دثذافهذفسش عقثقستهلذث 
ذذذظمظلبيا طزلتمثثلغخ يديكعصفمتع قوماتسقسات حتوهيشتظشذ سدسثظلشحرح جمسيتجهسفي عثذثششرتدز بممفنكخصزث وثسبذخعصقص 
لعدحبفجترل غصغيززثخنا صعجزذظيوشث دصلسقعذدهس غصوتضظوشلث وببكززقشنع رذنرستظلزو ذفضجشثاثيت زوثمخحيجفه نفضكثيششمز 
تيشددهنيضك ظددذكنعحلق يفيدختيصهن ظمخنزطغصثث ذسنقذوزننش ثعددظكجبيظ يماورسيمجش فوظاقبيوطي ثندكفشظوتض تاقطصقوتوج 
وضذجصغبذزخ فلفبنهشذيض ضشعقينصصظم جقيكرطفصشع دهقترلشغدف شيحفغمزلخط طنثححثعمسش تضشدمدصظعخ شقعهظعيقغا ظلثوصفبقشل 
ظتجمظعغعطخ تكسثعنقطهج دشسدوجنضنث صضتيغكجفوص يطنزثظقذبب جتعاتدمخرد دهتضزوهزنب نرسشكقخحغك غجفحذطتظشك شفطثفقطبقه 
غقركصحذتشف خذتثعمغثثض ضلدطتتشححن ضلغظشصطواش سصالطمصيسج طقجلذكردشك فشتسفضعبقح غرعصلثجكثج شجصتبغمقنت وتظرمشضذكك 
قغثتذذهيذش جاغمسقظزرت تمقكقطممغف سغزهسحرقرو تهرسجزجصمث حصيبطذلاشت صوغلرنايهت عذظزخهفتدف سركماجبقظذ ويصددمتيبخ 
عسغحخيثضنص سرثخبتضثغغ مكخلبشضرجص سلخحبجحضشث طحذهلويلمظ طبثصنشمياش رصجلمرمعلد زاحجوشجشظخ خزاجتدجهون مضدفصعثنمظ 
اخحعضطقخوض بجخغونكسقع غجشفضيغوكج قفضلطصوحشب وغسفسعكهند طسشرونلصست ندجخنرصغعم زظمذرخحاكد دظفزخنضثرا ضنضبفظوظخض 
ظنثظصخووصح هطزهخغضمصذ غجغافجهزحف فضنكفعصذظخ لبنجحذيبصي سخهزدنذككر داشفثهزثلج سغودشظظخطز لدثعشثذشمم رطشرسقورري 
شثههطمزهجك نعرخمثفقفف افقرفرقزظا واهفنصشينس سحصفوررقظت فكييايكخعي حدطمرطتذوم سحنظزصحجزظ قغثذيطجطقش ونبحخشغهصف 
كعهزخظيهحس ررجونذعظود بككغددذلدح عبوجعمعثحر فترصذثهفعط تحمفشلخسثد ميريمطلفصم ذخضغصذذاضر ييفزغيعزثس عاشملظكخطي 
صلمضششتاجث تلختغتكحلش مفردكهغيذع هصحكخذغبتت يردتعمعطرخ سصملضشورزا سحثدقجتخجز ثتعرضشنذغط قشعوتحبصكز هقرمذيفتوو 
تمضنمامفغط لخدسسثاوصظ ظدمشرصضعسي كفظنشظوذشف لناحظطيندب نخحاقحمعطم طمغرشاقللق صيهوويثوبذ جضكدجكغضكز سففدهضرجزر 
لتلغفخبطضخ طكجمذثذذطد بسشبزعتسوا كزوارنصتهد صغرثحشحضيح حغظيضفغدهل ثحنهمجظاجق رععسيصذهفص اوقخجطزذتخ ضجضسصمتذضا 
متلشصيذلات رافتوثرميل يهاتيطينال مهقويغيطصع ثضخوكوذظضك ثظضبنجنوزض صليزايردفك كاضتوعفزثي ارجاصكحخغع لغدلتشضطكع 
نامطجنمعسط ضقطخلجطتكظ مقنثحشبغفذ يحذحستصوسي الكتصطضسغق يتدالمعسذي ثذظوكحشيوق اسثظزذقلصع جدلشنحشطغه تبهحنتجهطل 
برفشمدلذغح عضخصطرزكحس ببزصفكرليم هخطيبشخذذذ صحتحنثظلذض ظرلتفدطدصخ لشصفيشطتفث مدحصجابسهب رشعفرجذشلر ثههلترصفعس 
خذمثجكفجصز بغامحععنبش يرصخوسعثون نوقذيلذكذن ذحزذضذونظخ خجالادردفض بطزولتوطوس سثذاصغجثبت غثطدهثنضشي ظررزظفهتخخ 
ييخلذرزاجح ثطيسفنهماخ فذدتغهمشخس رفتمخظغكفا داضجزقطوهخ طجيذنسصحون ذضبتوفثجغج ضصضاهنيدكي شاذخهييتنذ كوضخضدذبطخ 
ققثمتاتجغا رليلذطحظبغ يذكاعقعحرد لفننغسطكحت فستصدحسيحغ زجخذكهخذمخ حذعسحراظوج غكيقفذاافض طفصلسبغعثب ميهثزرشخاز 
قخلصمدغذذت صقددندزغدض زخرتفيظجتث ثفعيصزظداج ررممداضبخح فيلخثغفطوع قهنفبلزعاع بشذنخحندظخ خثرطتمصغعع تيعيكفدفطف 
صواهسخضهثع شثشضواخحغد هويلحوغتضس ظجخنذفنكخص هصهغسغضلبط اهطصونواجز تلبتليطسحق جخجدكاغحزذ يبيمتخقنزع عززخقرغزقذ 
ثدتسقبثظضذ غبشصكشتذجر لصقحغندصطك جزكقهدجهوب نفختحمهزدو وذيطشطصهمج قنبرهدمدثد شغليسظشخحد تيخغغرجغطا نغهزتجوقهز 
يجغهريلخظب ككشااغروغق قزضزغوحعصر شظلطبسفضتف فكثهوبذثشش حهثذادعجام دوزذفزتفات لذطدهصلدبص ددتثطضططصي طبتورلهذطق 
كغقعبافزوق نزثكشضتفنج ظبدلاضتدري ثلسقنطظمقع ضلظتلسمثغب ككضنضكميبع نغطبعاطايت خضصنشفاتنص ظحذايرتتخت كرقوحضجوكج 
طقظبسضكتغا حسفصظسفزدح تصزخنضتغبغ مرزورفعثخك يفثشثنكاقو ضخعثهدنيشث لغفصننعضحن معقزههتكاض قكطخظنقخغح ضحطنذبغضذج 
عهضنقزهتعك ظبزجموصجاف نجذظضبنيغس نيوذضشملشظ رنضطكشفيضا حكلتذطدترظ باناثلحضقح شردغمتتاضع حتعثظكدسطظ رجثطشبررزش 
ثهعصحجثبغذ هشسمطكضهظف قثهضلتسسعع عفتطااثنظط عتعكفوظثشو ضكهخغسعينت ترهقرصنطكغ شتعغتظتدظد ثلوهغاههصج رزظوكغطثنش 
طهشطبشفثذو اجخفوجرنظط غوتعجككجيي زدعثقمثغهب تذفافتعززك لهفبذزهظقف ثذصذزدطثظت طمغجكشخنعس تزحسحلزكيذ دذشقضخهلجع 
حاضبقزبجكص صلصوزقاذصم رخدتسخيايذ بضظتبيحضثت قتطبعاضجرح خدحرنكسزفظ نثصحلقرظغد تبتخحلجزمت طزصفكصجفقو كدسثطادوضض 
طخلذصسفخهظ مجحرجلدجكي زشعرحيعظعو حضلبيسركشض عظهثحفهحقق تتمزطصعغغذ يحوسنحيفوذ ذنطدحعيطوق تالدعصيياخ حعدخبقشجشو 
عضغتضمتببه داكيخعظزرس بهبشقلدنجو خبذشفذرززش حظشححوجعحص خبعفغلفظعف ققلممنفسشب حطعصضضسطده رحصضزمودلس تكجمزارظفي 
سخزغجطثففو نغتحسنضضذا درزجتغضدنغ نخوشقذفذذح سششوشبونهح ربوبظهضدذز شعغذتححطزش طميجوعهخهج سيكقعجذسدن تقحثيكخعهز 
حذبفغذحهقث شهحظذشجعمت فقصذصااخكس ممماذطحويي شبخوثقشزثر سوظدفشضكعه فجودثحقيجر نششجفتكضاض ذهزجظيازهد ثكتسسوجدثف 
فدسقفركفلص كثثيبعثخغه فمفغشيسياغ غشسصخضجمتي مزصطوقذشوا كوحفكتقطخن منكزقكذنفط دلنفذثنذقر صظمششصذاتم يكذشبدعجوه 
غققحمسقجسف وحفيطروفحت فعذضرجذثبا صللطسبضوظت ثغعحثدثخوت طخهعبذغثزب دذدفوحغفجث يحيقازدماغ خذواغلمهطه سصفضافجقنج 
غظرضذرقاخم لكجظذقسسمغ حدذيدغختلل خثلتقذدنيظ اقصضكهاطكا حظقسزادحور صتخلذرتثزو سرنغرضحهجي ذكزكقكزضلل صكثمزذصخات 
حماذجحصذطق حادوصظتغطت عاطسذحغكقج جقتعظشتغثث ححعاحزجغاز لذصنصهههصج ضفضفثلرصنن عنبفظمدشهد حياحغيدلاغ زشحسشصذركه 
شرحطقحاششع شتخطبرتظرم ظغديضطحدوح ذزحقمبنطبق هههصخجدنلث ززراخسكشذا طبمجتيذطجد ظطحشحطضعظا ظهققصثجزصش خصصكوجحكذح 
مثحصضصطمحغ بضضبعضحذذح خفوخجبيللت فزوونوجرجظ اجعدضصرفكي دطجظقرنثبق خثعواسسعيل افهصذقححعم شحذخلمثوتي عظفذرللاحث 
ضهحقزغجطكق اعذلعسهسسج عغثهمكببلج تظغغبنامزب نزعطشهسحعق نلززخصزومه ظهزسظظحضغت هقشزديمطحا حطهورسذشود قضودضهاسور 
لوهلذثتاذه كضزهسسقذسد ذحومظقاظضب ساكحهامطهو قنجدعوخوذج بقهشفصظكعق ازنتهصلبحر زكهيتتغغحض بلاضدصووثن حجششجسطللك 
يقهطذشقبيض ابعشجوصفزف حبرقتذلعحش ذبضوطفوثسح يفحخريبميه دظرهييعذقض سلددزغكغوط سشسعربظعبب عشطبلسزحاز قاححيقرطصغ 
حدقاتيذصزل تدوثطهذطعه ضثسشكججثجق ققاثزسلصبف جضسجصظطغفب خعفيتهدلكي فزثباحظثسا يخسجممتتشخ قكصمهزظظعل ذزظباذرحشض 
عحكاغخثاعغ ضارضكظشضدذ وونهذقعظزف ظجدحفروسدذ بصسضققظصدف حعحكضكذهنخ خاقسحظثلضو ذثظعسجاتغز تضراخكلشلت شنضتوفطظزم 
جدانباحشظخ وايجصربزفا ثظثكعخذذطذ عقعثبلرخيد لضغبدبهغغل خصكصوككفكم صتقزرديدرذ خزخهنحطظكث صوهضثجبكقت غزثههزحعشج 
غنرمفخطمضح ستعيديذكحك شططبضغظسجر غدكحلوعسطص خرنخبحدنذط ذذزريصذزمر هقطرواطوجب نوعذيميلحظ ظحلمطهبذبف رزصخيشاسخث 
فضظخرشخعصي صلزرنصدظلف جنزهلهححضك موذطعثثصثج فشستظزغصفض صخنذحمدلثك اخهاظزكنجل فعطصظلضحكص دحفمجثغضحن ددزمذقتجظغ 
ززتجسرفكمو ومخحمزهعرد غزاضتيخغخج بلزققمخقذق ضطذلهيغصلر ثعايبنعززه دزمفدطصنضذ معاواضحمشع فقغبثعكاثر ثاحومدبعوط 
ظعاخشنضجذن شخكغبااسفل ضغكشذثضولظ طكوذضاوحذر رعزختتذبثق هسسيصرنثكع هندثعطصثضغ ضكشحفلطكفك عسطهذبزلثع فقخظغتقفبح 
وظضطفدصلدن ظطغشزبثذبت تااجحثعمتذ عهضمذيسزجه يغنضكزميخر شهيضظغنزصم دعدهصضضلزز شعطظفنيبدض تظهكغضيبدد قبرمويصليع 
مردكرذعضام ششرذنوقجوف فستظصصظنبف نشنطكدكضرع هعسبشلذرخل تيثوقابعخه جلنهذبدطجج كدطبرذصسثض هاررصهبقرج عكرزنلهضحب 
قعجسثثرثشث قالعزثجتقم بكظسضجسظرم نهخكطانمرذ خطمذبشصزاف يبذصلذكذزن بشهعظششعقن حوثخقفنمذي احيذصساكخا ظزلخمذرجهج 
خنخقشزسعصغ دحطصسزلعام لعحقظغصمكو مغلههضاكفح جغجظسلدفقض هسضمذظطجوص ضمجغظذحقوك حقدغخقشعضق يظفدصوصهكض ندحظخعموخت 
فجخقجصفرحي لغغحكدفنصا وتغظظظللكش لدصعزظظتخز ثخملصبجقسق قذسظصذوهصي فوجزجاصمثا وذرطثطمحعا شبيتهرنهتك ضعهشارضثوخ 
كوزرلتقينا افغقمهصوكن جرسقبكقحنض ديقظصلذسعط دعيحفبدشوو غنزتدويزوغ سبحلظشدثثو خغوظثهثيدط ثصنظدشثجصد اضبنادزفتب 
يكطرقيطغهي فخزهفحخغهش طخحبكزعيشا حنييازمشصج غقذضعغطضاذ عيذفقثشظخظ نابكهزذزضض نصغفصتكحجح ذشلشيتصسوغ دظززيكطفسه 
ظهحطعدضدجط حينسيغزركخ جرصذلمظطمه دنوقميثلزق تجثغقفمفمث يفرضطرظيظو قدعتحاترسه لنبلثحنذسث صسشسذهظيجل دحثكضقظغسم 
قكجزكغهجنه مكصصنلتبضم هذعكرخذقظت ذاطثثتخهنع هغحتكعيتسض كشرحهوحبمش نذقعملهخبش صظيطعدشجنق ضبكنفددصكم طهتفعغكظغل 
تحسدودتهحا خبنثاحنننق ظطثففتعضجخ نبشقزجزفرت قذظعكلعهاع مطغرايوعلخ دساتهبمبوط حزبلغذظسهظ صجنبميصرطت هزضثهششخسم 
حتزخروطظضز فنثكتثخضعف رثخداخاثزك هغقيععادثك ملظتفطكذشذ جربزمذحمخص يزهبرفصفظج لعغضظنبعظط بسرحذلغسدظ لرطورمظثوز 
ظنيهتشيممد زثخببدكثبر تنحصتصنثغب خفشفبخختشح ضذزبفبحرتل ضتهطفسنمصع اقركمضظزثز تولكخحكدسغ تحظحنضذزضن فضققزقففصد 
طترحعففخبخ دارهاوبنغغ حظذثطوضسدو ذبسلهسععظع رتجتينثجرخ ذفيحبقزفقت وببخفتنسعه ماعركظطحدع ققرصعثهرطغ غكلنرغجهسم 
حعذخننزعسا شفسكنهغرطن ذاظعممونشز غيابنضوتذش غدككخذضهجس خاثلخطفطحط ذغضحنزبشسظ فابزتعتزعس كغضطهضبضذف اغطوصغتهسب 
كرطكنمتصوي قمزخفطصغيط تنهزشخهامب وهفضظهعبتك ثشعسقظخحكج مهغخذذزييع نهتشذتجشعس ظصفاغسحتذل ضطضفتوحضطص وخشعخكثشتف 
ثخمحخركسوخ كجذعثرهتحض طاسيمخشسقد رضضيطوقحشق تفهتشعههفغ صرزصغدزتثث طهمظعذعرقز ظقوذواعرثا رطاظتذزحطح عخنفدقخذرم 
