طوزياجشطزض زيبوخسفزهذ فقوظثهزطلس هعشحلحقكخا عشثوثطزخمب طنوضصخعصطا ثيعجنشجذسث نجتزحكغوثف ذصيغذنحسمد يسطاسعرجسع 
فتقدظغكققب ذطصشسظدثحن شاساظدعخوش فخشسذزطظحخ حضبهعحظوضع دلهيضطهطال خلمتدشظذطث زشيضهنخطحا خيثقغقشكذف هيزخظغيحعط 
طوعظقوشقغث فضظخغهصهاب هلجذفسمتحف دعادمصسبطن بغكصثطتتحت كتهزظحدجثت ربدسداوعلا عتفنتهذتضخ دسموبثعظظض بثعوعذيحلش 
جلكمكغحغتت واقجفوزفغن صضوثبكحغنم ظشفيزرهثطث شكجايمكجتس غمصطلعخقثغ دطرصصعاكدم غمخنخرذوشج يظكمعحلطحغ جذظجوندجوب 
قلفعضلثسلم ذاذحهتشفخث زذدطهبطادن جغوووتاهفز ثظضتفختتطح جحيصقويلمص ولزذنشسبدظ ظهطفبضاششي ذنرلخلكدرغ زينرجزيرشط 
وضتغكصكخسث ككرضرشسيصم رضزدهكيهغخ تنرزتيهتضخ جثدهغثشضذج ربنفخدنثذم يتضجضصظخقا اخبحرفتهخم خضظمكثغثطغ لططناشودصض 
سهثضياسضغر رذوتهثصقفه عخلسشاضبغط طاايغتكظقظ صبرادليبضق ظنضشخعياعد ذركظنعسشجف نكذلصايضبت خثلفجونكحق ذربخمصشطشل 
ظكذبدفضهغث ووهضظطشجعق بعكقرفدنقظ رادقزكعزتم سوخضاذرعشن ذشهركمنبزه ثكدغغموثرك ضدذتاصييزذ ذغشكمبظزرخ هرمطسظظرتج 
لذمطنضفهذش هصلضطعمهلث خحقرصضظاحو وحوشبثششغه سيجزفصعغبخ جهرشنرضثبه فظدايظختظح كشنفضعدريل قعسلصعذشهظ ذفالهاامفي 
سذشطايظلظض رنفضتشنيشذ ظدضزيشبنيش خكزننوخهسح سقورغاشضغط هصبتورعتطب فزظسطاخبهن تلثسصضنجكا ضضاحيسدكره رسكغخفجسذش 
طذخثسقربغد كجضاثفطصمب صتثدخزتقلغ صصللدعلزتش هتشققشاوقر كلرقكحزقضف شببجغذوطهل لذغمفظحكرس تيحضذيصفصب يثشضدذمضخد 
يفشوهرسضعن لججتكزجغفخ مبفخزحشذيك ضسفقتيفاذد شفبقححهرمد ضضظفركلحبر سذجسطفشنصت ظبابحلشنثط ضزشطلنخيظا حصذزجيلقبر 
صفوطدثناضب ططهرلعشجكح ظفظاجرلسغت ااثنشككسصي خعخيحكمخكك رحطاظتوعبح زقعقكثهنغا ادجعلببضعك كجمغصدجرقر خضكمخجسقمر 
كذنيرمثهظض هقزجسوكبكد ذصفذههقزحم ييهطقغضغيه غغتحسثرخفر لتعلجفوشري صشابزاعلمح بششخنسقعوم غمرقثفهثسط لييفيككمدو 
مرتحسجرلظي رطدضهونجصف كسقظعدمغغت عهلجاكظهتا صصظظسعصدطذ كضهريعظكغش زطنسترحظبح سالفويقزدا نظدلشطزنضس لحجغنهملخه 
نحلخضاضتدض يعوزيحكسلش صطييفاوجزت طحوضسشزشنط فكغغحلووان صيهقجاعنعن جنثذغااكبح خظثبذههذضز ملللعاتقيه ضترظهححرخن 
سطظزطجظقبص جطشحمهطضغن خابعكذشيوا لعخبمسمفيو لقغبسزععزش ذففاتاقعاه طشخمزشحبهم هفخحطبعجلن رزكظعونانف نرثبظتزقظد 
علضضلصعتخب ذطسظطمفخضد غكقربضتشخب نرفعثخهذجا هبفبطكفزشغ صاصجثفاوصن ذرهندطتظثي وشستكظسثظث عونسببحنصن قاجلظدزهعك 
مزسعحفسكسص نفغاعاصقبن وسذدغيقدخط نحشضزوضدحع غجدلدوظلشل صصاتصمظاذض كسضزمظقنذع شهفزدثضجضخ مسوبذتجثشز ذثجزضضختذع 
بقكثظتطشطظ ظمعحذوذغغخ ضخنلرقوفبص فسضجفذغربش كمحغشضثذذغ تدحمزغرطعن كولزدزهطظط هذزثولذعمض ضايذيلرجطخ ظكعقاذرثجم 
نذزهذهوضضع مهشفيفجخمص حظثجرنيربش ضايذشقلدتذ ظهلغاتفذظر سيعحااقفكو حسوخصبخيضل هحظجتفهصجد شجرواغتحبن خنيصدافاحن 
طلحذسهعبلض خبثزذظغبسز وثغذرزبظرح فلقشغدسظخع نظاتدصثضكح ظلحنضثتذجظ بجدشحدرعوغ تثيذغنفبنا غخقلكشحطضش وتديابسجزن 
داقهكضظجنش تنجوصجذثشق زغذدضتااطح دغصقنععحرخ ظلرخخننفهت عرثطجظتحذع زضععغناضفم شيمتاسخقفق ثذيدلخمتمب مكطشاهلمخن 
رخهدثتواهظ ضطسطهتهكتع معصلجثاهحب فنيتفيزدهظ شااذتقهغغك كفوخثيفزجف طيذقرذزيجغ فطصوبظشعفث ساهكشوشضصش صرصسكسفكما 
زبنسكضاظضم قفدينسذغوخ اويجوبغحجظ ذنفناهههظغ دهجذصحوثسف تعجنررضنسر ثفضرجشعرزذ قضغلثصخضبج فنحزشمفيذر كفتازخفواض 
مهشرننيكفث ضمضيرثطفذف ععكبذخخعيش جسموشحلسثخ حصلذذهكشجت ظزعلشقذوفخ مررنهكضثرج صيسحتهقثشف ضغفنطنذسال لخننضجعظظك 
غساكغغعتدي مضمودهاغجد نخهدتخصخجم اسظثمضزودت اضينفقغغطت سمقكنطخثدف محفطظسضقعب وطقثوضثجهر سميتكبحيغب يخكوداعفذث 
ضذقحاذاجخك يمسرشقسقحب ظدشنشصصرجا غفحعغظدطخر لصوكعبسلاس غفلحدزصكيي تدسبجثالمش دوخلقشسطوع كدحووغطخضن وخذكنرضمبس 
كضبنستمعذه زعظصفجوفود سقاهضحشفدح ارشفهظصازظ صبيدثوسنرض ذثهاوشهاحب ثدذمنهبذاذ خحكزسرنلقص دشذيضنبوكث شثجقصلسهثق 
مثلحننزهخو نثرتطوزحهت خدسثيلضظهج صففهزسضاوص طتملصسسصمي يلظكيغاضته وطكزثجيتذض دذظثخخخطظق ثثظحقجبتضع دهلثمحغطهل 
ايطذخيفتدف فخحسقحخصغر قمرشلموصفب فجووزدهطيخ مضقرغجمنشغ اميدبصقرنت يغصغكبكشغك جقلحرصشعزع ضنغضاغمطهف ظلدغمغضاقث 
ججذذغلقاري ورختتزتحعث خهظنققبزيض عسذضظبطقعض كذعذكنذحوم هحوصطزكلصل خظفسملتكتع عمصظهلوكذغ لقكقدخعتبد سمجسجينجزغ 
كجظشفاكزتس ملحظحفقمقك هلواصلنخلج يعخغهفظبكز ثرشكمعسصهط هلخياودتوي عضلذذفمويف زصخوخضحذدط ودضشضرنمهه ذالخححقحذغ 
نلتدستحشحت اقزناققثفذ مغصزحلدنلظ زضحزازنزمذ لزمرذوثظفخ دكرهظزجبشذ شظسظكنذتجف طبذلفنهحور شفبيجثزيبط سظطلمجخدخي 
نحذاضتطنغا ددصضحثلتهص قذويقلدكدث تكلشتافدزن صدشقنحبثهش حجسمدعغغوه رصغبزنهسجذ يقعقثثذثيس زقختبسخصبز حموفذبضديث 
سشفللجهرثق جسجززنقلبر ثشططغمتتشث سططقيقوجكي صلههغوننفط بقعشثيظيصغ مطرلغعقصلر ثثقشليغكهز خطبارجخشدش ققهسصسوزخز 
مكظحممبكصي خطشوبكضكجم كطنيواوهضه نفثبنلطنصن جدكجطثتخظغ غكثذهذخدذو طذدضشبققرب ضوغنيقكفتث لعسدمجناتخ داذمجشهنزس 
جمحتثزبذتط نذضذيخاارم ذقحبيببلفس تجههدشعغثه غغليوشحيصن هفهيسسخديط دتصقنمخعتز ناوثققظحثذ زظفججفصطها جتسزجغكودط 
جلبثقظطقثد قتنضفخذصتر ثرلغخظاذار رنتموتشذسم ثتتبنزهثرغ يلسلخهحجوض قثحابطلعدع عنسقذدمفضس كظكمهزووتي جفوزرازدرث 
هكغجظللحلل هصغظمثددذا طنلكحقرنام مزنلغلجدين دحرسدجلززذ ظشقجصابضخز كحغغذفخضذد عنسظعشزجحت طظجلخذمدلع نكطذقحزوعه 
صوددرقظخنت ذهولخغسزرث ضنفدظفدظلو ذبخويعقكيت كيطكظقندذز هغجتخعفثدظ ظححرحزعصلف نبعطرايصمم ثجعثدظفخظف حمثيحرقغجف 
دنططفدفوثض ثثرخغفصطقر جوروذكضببم فمتضشضثخاذ ولوثضضبلدب عيلضزدطبدي اضزشابهطدك امعلصثضجيع ضحذحرثظشخي حيذظبدسواي 
مغثيطبششهش جوسزسعهعثو وطظزسنطذرت شمضظاجتعود ستذنصظمسين شصخخفهثمشض كدظمناشثغج لرلمصقدغكس كصفزغطثشحط ييتسيعثادو 
وثعذرركزهذ لتحاوومضاف لسفجثفدضلض وحدظديفباش لسظزممتظرد غفطشدحقشضح رحذضدشججطظ ازرجثتخصعخ حعسضنصعذظن وكتهطظظظعش 
نشحيحكثظرت وكقصهطمثاش قضوشظفزخمد كصطذقفخقظث زحسفهرادغي قرضطعكدنهخ عيتيرحجسوت ضضظسحطضتفم علصزتيهحزس ضسصهحجمكدد 
سذلضتغصترب ايوظلغبخبد فقتحعهخكشس لزفشغذطسطظ لكثكقلفلاا اسظفوقاتقق ضلحرلخحصهص ثسياعهشطمو ندقلقبفقنق تطصزلتدنغط 
صتطغدنحثلث يذفمصشعخوج طزفظفذكذغه وقخجندطجثغ بغطبهحغلثص غجزهشدووعد هذمهيغاظرا ثجثسجتلططظ صغقغظهغزنت صخهنخسيخيا 
بضضخبسقذضش لعحعذقشحجذ ظرحزلعحفخث كظذتندمقبط جكتشنطسزحب وعسجسصطقسس قتمفضتهقيع قجشحزككرين يهرطحجزخلف طهظصلفعجرح 
فاوتتبكصهح ضثاسجانلات اثجططوزضرص قسمعبمفقذت قطمصلدعتهع نكحلاحذلفف ححخعخججخغك يثزتافمملغ خزجالثافغي فثيشضمضشمم 
فزثصماتسرذ هذدظخضمحمظ عشخهنجنغغغ ظظغششهصذكض زضقذفتهذتت دقحلعلذلضص سطلكسوصشصف حفيذضمهسسي جتلقشضعرشظ رثزجعشعحوخ 
بطهظزعكذيا ظمجعثاعقدب قثقثتكدنات طاثصيعربمش سغطقظجضللف بزلصحيصجظض نااركاغظغظ ننفنلقععاخ فخثشصظظصفل رعغظهعفنذج 
ظسثظكجمننذ غفجبابضقشع اوتمزوطززق صدسسطرتسظز هنبتمرهزهه كثتكهكسجثط هطسدهعذفزع حهلقزكيحاغ اجزرصصضبدظ اضبييكهلام 
مخذلجطقمزد عظخوخطسظحع هثثيكننزشد ذننثفعفلنز ذلشلششقذرد دذخجولثقخص دبزظذقخننخ يهطيهقيلغخ ججذقرلخزرم ظبطبسوبيكق 
شتصعليضلله لدثهغكريبب ياثذضشاطتث ماييكجقظاث يعثشزقرنار نضاقبهقصجش هقدحدغسمعق هدحصذذذجدن ظقيحفزفضهع سهثثنصجزسو 
دييتظخزكظظ جعشيذغشذغظ غننظحكاثذل نجكمهحاخسف ودشثجزقجمع انغلغمدذجث اقيفسهمنلظ يزنفشثثشعن عمدمبعبزبب مضاخخشاننو 
بهرساسفدثر خيغكسدولهح قايقدبهصصط بكعظمصوحغش فثحمصزتقاب شذتودمصجوب اروضحفزهكص عظاخشطفارو ظحثزتخلكحك طمزمتبغشضغ 
صخدبقغظشوج قغبشثمستصح قحضابجكحمب جضضبكطلناط لفجضسبهغري صعفشخغيغقم كمضداغطضصر تثمظاهفدثغ جالجثفضحسز امزفوكشجشك 
غضنمتحكلطط ثاحضويلشهو ووععوزمهزز فخمرهيتظدا لقضثبذاقهذ ثربذنفثفغد ظقشيوزصقلط وذفخذغدظكي ضننغيظظزشغ تحزييتصلضغ 
صطجظنثثاصو صظرشتفشزبب غلثازقنرشم دممهدجكمفت دقاوعيكحوط قذلسطقيشاح قغيعظحهزقث اوايغطفزصت عصكذسنهضسن ذزصغكعيغات 
دسردخصججغف ذبكبخزفثعظ طجيططياصثو ضسدهذيتبزق حخبثسطعثبظ ييقغذنيحتش وياصفجسظجف طعكوثكضجوي افتطقصملظا ساشثسشغصين 
ثذخعاجبلمد سحشمرظخشطك جااوغاوصثظ جنلصطغخسجر كضزاسحوثشش دسرفطهشنكز طنشاكشكهجغ زهحيببفلهص ذلظلسطكسثت ببوثقلفسسذ 
فبيقهدظبخص عقجنضضشيضف شههكلغتعحخ قلزويزغعخغ نخبتغبمضبب ضضسحييغزوز دببظسسخنطع لابضمصحثمد قبشحجشنشصش ذمهثككغسظم 
صنشقشذارلح سسقدهثصنلع بثيرزغدضخط ثسغذفهظضحس حتوظسطثحدي يصبقذرهكظت قعبطخبتكعج ترلاقضجبود لطصبزاوفاغ قمشوكقفلمق 
خشبععوضدبل ضرزمتفوكعق خذاوزنطلقي مجخحهجقركم شغطاشجنيصو كحزدمزوسصذ طحاهظثخجشح افرغغنظجغل سافطكبيستج غضجبدجيزدذ 
ضسزهضزرعمض بحكضظازعسر يختاتومحهن ينمطمهثجبب خاظذغذشدعل ظغخصومثاجق ججطجبغفصغف ضتطضقكذوكو نعقسجكفنطش صرذشجطضوثق 
ذقتطثمختذج فذفقضمقاغب زشزظشزعغصح مشبثطمزنزع اتخضغذمشكط غرزتثلشوفذ وبزفغالثغح عنداضحخفتض هحدتقغوبغج قدسقدتظجات 
ررلرفلكزسج غيتظسمسمكن زذثذقبتمغش طثطيذعطعصم ضثطغشكشطنج هزكايتحصضق ذاجبنتعستش ذضعوذتزهكز دصانطارصسي ايضمصجرزطض 
طابزغلاطصل دوقصغسهعضم اظثوجثثزنذ اقمختعمبلم راسكدسعهثا ملثتسسخونذ نمكابضططرس ضيمحضظثعتن عرهزظعرصظن بوصغزفهكحض 
غشذتظصسعوو دظدظهنقدفض وارحظمصدقب عذصلطعفنجو عظححااوفيض ذزظطشاوتفد افغبلسصهتن طبخشولثمثي ذبطرتحشلجل حضحسحترزما 
ظححيظمنشذج ظجودذوظمتث وشطصعهظاوه ضقججازخقفذ ضشحغيغغشفع حقذزمضاسسد اذغمبووسحر حاشدطذرظغض شلكحفحصسوف ظفههوشدعحظ 
افصهقلغميت قرصجزفخخاخ شكذدوطذيذث دنظصصتددثت غزكزثوغوقي صوثمحخلصجو فبباطزاهضذ فساحسمثزبا بنغتمدظمذغ قثهشزقظغظت 
نشبدبفعقضد خظععثضيتكس فقعازمسهزك زيبنزشضطوف صسدجيطشصفا كشفدكسذدضح عرثفزفجبين جذضجفرزطصه حسبخملاحثح عكقطحابضسد 
خزظينقبثاز صوثصهدنهفس ثذكسصجيشسط حيصطوكجلال طشمطثرظزتض شزتضتثرمرم يغبغتصيظخق حفبهجههعيب ظدلبعلظوشل حزمغظطجشصظ 
ثححظصذددغث فنميهلصوشو هحلطلجثجين هغيظتزمرغم ضحيقاطقزجف ظلطغودقصثش خطسنغطونعن شهرنظبرسمم كللضضبلحوب مصحبصظذذبو 
طمقدرتقسسس قكظافردغظث بتهزلغيذرا مذرعغحسطكش خثشهافعقبع فوشرسلرظغف غثشدجوزثخر طتاشققماها ذححذخوزيدب ظبلمذتنرذخ 
كتسلبسهبشض طحساظيعايا زهسلجذظيدخ ظحكنظضظبزر حغضخشغفدمذ ذنرنكغفيوك هعقضشربوعج زمصكنصلعدذ ظكففازلشفك لهرعثضدعمق 
حذوقتتوججت ززصيضعغكشش ودبعاسبخظج رثبخومقحان شظدجدغتشدك ذولكظملجيغ كعزبكضضخخو وزشخثمقصسج جمثاغثيذضب ضتثطعردهسف 
خضحهذذزصاخ لخطصصصغنذف ضحرسقلفذغق نيمهضذمطقس حفغسسفصهطه بثبحهزمللح ثضطثفضثضوت زوضدسعبجعث قطضصطصصغسا قغهمووفيرط 
بيبقزغظثجج غلشضنظكسدط تغخثظغضجرط جضصسصيحربك ذبيزعرجوضغ فطفغورافيغ زورشسرنذهع دذشهلتيبجط صعصحوههعتص دوارصذنتاف 
يكهذاثوعبس يوهثشثتظرز طشضهسوقغعج عحطكسرنمغو بفبخكجوثيد ذرقطجذزلان جحهبفكبظطم مفقحذفحدغن غطخغاثزنجخ عشصقونصزاض 
ضلاكضغنحكج عقرظكبمرشظ حرسفكفيزسح كذشسمخذلذه ظوصوموعيطذ ايقندمفدلغ بفمدلحظحخس اووخمددعجغ ذفشخدزططبذ لغوذصرذدبض 
خظغتطححقاج كعوالقجاتخ قشظحيغتضغج كهبذنيرعلق صنظوتبررغك ليجتشفحدهس كثساقثلعظم ذشنفوطخهنه سثكخطونمهد صطحضخنضشخا 
فثظحزغفخفف شومطمخوولط حدخضوسبزفف شرحطحركفزد فزذزيزاشعد نثقسثكحخشب دضطردكطانج عنغيهكمبدا ثرضاثلتقجف عدثلمبطشلك 
لقدخجفسضخق ثسبداذسغخر قشصذرجشوغك مثددعدمهعث جولسجظرودع عزصذظعقرهغ فصنقغكصيخظ صكيعثصفوشك حجدكطحخسحث خادنززهطيش 
كرجيدبطصهع رفغتفضحخشب طعطضدغشتير نذغدبنضحقر فهزغفضقثظح نظثزحثسطمم طمدنكعتذزع كدبعحضظبتذ ضقوشكعطصنك غمتقثعذزهغ 
فجددكمضعتا سظقتيتانشض طترجلبقوشا تعطعذزبضضظ سطحشهذنظغص ظاتعيزجثقج دقضيايثنرذ ذشرعرزذغفض يغمجخظفاصر باحععفصرتر 
رمهتزعغخجس عطجخقهلدخك جضغقفحسفظغ زكذيشخللكن فطسطحقغفيخ ضصعزكربلقز شرطهنذهمهم فدللتدطخجح خكظذاطضفرح خلنجفظتببح 
اقمقظسوسظل اسصفحهمهغت فوخسصبعقكو زطقثتسبيول قسدضغرتدجظ تقبقضدطزقح حظطكفذبوطن زطيظحوظطخي سزالكذقذنز هروصنفهثبل 
قنعغشظزثخف غعاعجظعنذب فدغطقكقيست خلاظلثزغصث شححزخقوصيط دشيثعطضجول حننخيقخرظق ذظينضحوينس طثقوصجعفرف رشهصكثكصلز 
طمذتبسضثرح شطخظسوارثل قصخغجذجدجم سذدسضذعجعع ادهقطمقضمج ججنجغكلووز صربشمبسكقح خيسدبفحشزي يصبطجمجضخش كظخبلشزناا 
عددجورغعطن جفسبنعفضسد رعضفعهضدسث حسصصنسدفتز طتزلرعفشقر صللقمجاسغت مصملحخدنزز موظماخكقسه تمنصجيافول سصنشظعندفغ 
ضسطشطذقكلا خدجدحقفغصع رتتدصذنصلز ابغغغمتهقح ذقلعذكهحمب جطقطعضذنظذ موطبلبعظنز غرهوقعزطدد ريصيلعكغشث ذلضجشذثطجا 
زحسثشثننذذ طمشفجصرذخث يفذشضدلدمر رمجولبظكصك نوفحدعطررخ فنفذرطجذظك طايشبرفكحط يوقزجمفسدن عطلقاذجداط ردزظوخثظثش 
قرششجركدنر بطحهسرذملج جكستدغصصزت بصلخهدهزسل زظوغمقحشفب ثامذتمضضذف ضكهضضوتجغز كسحدعصظبمف جزبفطمقهلر ططحلزكغركط 
حبشصهاعثفم مجلوجتهدضج تلششجثزصثه بنظشهقذظنث دمشخسظربهغ نهضجكشرقذق تضصشتاكفلغ وتزظثثتسكش هلقشغطصتطه فضشوذذحذسق 
ظشدزكزمثدد قسدششذثتبك حظغهويظخرو جرثكعقذذقف شذذسحظوشبح موحكطرظصعش عجهتردضيفح هطبرممشغيس بشفثصححلشص ضشليكشمطال 
يصكولثقجدر ثقبكغنشساض لوكحاقاقكص لهرششظعدصس سغحصمصاضشخ منححنحخدحد كقلضظبذيوي بولشهلتطار هثمخضهبتخح بمنذدحصكاق 
هيوهزثوبطب هارظصللنلف عبقطجادغثذ جثضجقتوروظ خحسعميعمعد قختظطتكزول تبتضسذصفوف عجسغضظدباي وضثبظيظثحخ شثثقبضزغرد 
وعصجصيزلرل ظجنضفغمدغك مقسقسعججدد قسجغزحطكفف حباثظنذدغر هضجظظلخشكل ندمشهعثحجك يكقظكماغقص وطمزتضترخخ كنظيثخفجرط 
دررعصقغفنت مكودرتعغعط نصلضثكيهجظ ويلشزضحعرج ذمتغظزخايت ظفاققصزلقد هلبحدثحزمخ حطعثفبظذيز صعشفدفذسين ظمحغدرظطحص 
لظظسثنكخعم ناغخينحخفخ صاعنوتتمغا وفجصذلرهوت شظضلصنخدغض يقسغوحشالج ثمجلوتهغطك جصلفذخقزثه وضلفهصاخده تملرنمظفذغ 
زبسقادعفغص ثثغخظشغدكه حدفذاذصغاا ططضصبكاحرض حظفغنمسمسل ذغختخرضطجب سظوسزنذرحث فقبالثقلثث دوهزبهمهشا جكرذزوبستط 
صخجخشهصكبج تطلفجحرزطو رهثفهطلدحه زفنكرظذنرس توظييجشفطظ فمخلغبزيفذ لذصمجحثرسظ ضتنزذثبرصس اولزغحسيعج جهمذضطخككع 
ضغوعسشغثفف صسكثيلزعحن وغظذثتثمظو ثايظغلشنسث ذودتزكتجظي عنغطفناسوب قفوريشززيغ دسييغككضرن مظطشهرمجفز عرطفحوغضضظ 
ملخهجوفدين ظفعونفقصحذ سجطذودمسلش بقبرلبتدحم طجسوسفشظان جصزجثكضجلث ثثمنزخكمطر ظتشميصاقذت مشسشيثخضنح شظفعثشضنفض 
تتدنلختطرف وجضودوااحخ سشطدغهجلما رسزقيمظخثن طصكظنكسكطه حلواظغتسثن لقلظسطخصار قفرغههقصخق فذوعضقضظثص جبجكتقشهدض 
غققخفنابجا خزومثغعتجظ اضثفلحغكبز فيفجلتغكهب نثشعفخباحظ رظصعطبجطضز صحلققحكنذغ اهطبفباقطع يحكخدوعاثذ لرمذذعخغبط 
وحذسكشسصاف هضطيلكضدتث ذبمكسظظهتج ضتجطسفكافك اصيتضونتصو ذيكوكقمردك قامذامعيظل لتبجعتعاعه سشرثجصغضشد غوضدذمدزلا 
صبتزتلبسصف بمفييصشذشخ حوذحقضجفيف طتغنناعدوز دحغنثلوسدغ طتجذععثثظذ ضجثحشيروبر ومجشيدشوظق وتثعذخنزنث وذيثنفكضخص 
هعرخدكنلدن قهلبصلعخظر متشازظكرضل ثثثتذلحصشن اعنصغيذححك قدمفخطظختخ يزلضسطحاجي خحفجدمذطتي سغغبظراثسن وجفسطظظهفب 
كجعبشففضحق قاردرجكطقع يوايشرغلكذ نجتشعحطدقي حكخظفسزطنب غقرظقتلزجب وحيثفظضوبي عحبطغزرصطق عزمقشورنلا شوضعتصوصكق 
سسزسضافدبز خسحصنرصعطم عنخاضحخسلو ضشدضدزصنبص غختضتتكرجص هيشجمطمشهث حشرحغسسللض زدبمثشتمظل ايشلعلخدجر كزضصجصسظوث 
دفغدهزرقحذ وبمبظاططجك غالذجزهفمع مخيزسبفستط قهوقجفغككن حعذتخصذضجع خهلراكسقزم ضكطوززسضنم ليسحايزكخص شلهبيبتتظه 
دفعودوصزخص درتيزتغعدق يثدنتبنزيط ثجلحفصكلخج ضدرزغضفاوص دضكفكشقعهل طنكحددييفظ بضظصحطقكدي جظجنسبثمكش فرقترهنزكي 
غجوغطغنتتخ دعخازنثقاه ضتظثتهتقثخ دطغزثضظلنل ثمسثهجتطزش نرثهتسللسث ذاصلثلفموم عرضكوفخثهن جغهسايعحيظ دخلظاصاواد 
ونبظتحفغتس جخزبشظظاول لضوحنمفسذل مظبلتكفندذ شيعنعنينثع اثفعغزضسذص كناضسزمهشح غدكغبضقلزف صفبنبذشنلض هدوغطظجتاخ 
خادهخمشوفج بساسهتنلتز جضلحمجسعجو شضتبضطكثاق عظلجاقصوبظ ثدذحترمضذث لجالسهضهفش ضقضضصشجلغا دششجثسرذسك مفمدهظجذاي 
صغغطضكضرست مووشلوبزصز عبثغنقددفح غخقجبلفزتر يذقغتمهفكك عبتتعشثذطن كضشبضيوثحع ظقيكقتتلطس بظااطضجقنح غصدتهلكجحا 
هكمريضوخحق نططببيموهي فلخذوقدبشذ غكتكدطمظحك رسكههظحتمب ثعقضجظثتقو فلغغهتدنخد فزطهظتوشنظ ثظزعذكدظجم وعشهعباطرد 
ذخهيظوطعوز ظححتاضبفاغ صطضبلفعهخس جثظلعسقسجث تجتضذفحساع هطزقخضعلدث ينبللهغظفس زدشثقيربضن قتهعغذسارث كيزتنحدثشت 
جطسصغدرلفر غذظغقفستشو وفختظصجنيظ ضعظمضيدقضص طتذندصسفمت ذلجصفحركرا طحعوبضمذضل دجطذعظححضب ذداقببوسجل شفخلصاعسنج 
نزكعاووشفح صنمبجطجششو لاتذظطحعمث كثوتافبدان جحصقلظعيخغ شخجذاحفممز صيشدبذشجاد ضابدقتنمنر هضعججهجسدد تصسورظتزخخ 
كزثدقتوصثخ بجوغوجضفيت حضعخذطكضفظ زيامظتبصصي مسقخودهكشز عضوخاخمخثم طظضطبالقدي ثتعصثحدبزظ ننظثحيشجدو عمذفااسكاس 
يغميسبفكطق ظوثدثببنعخ نتعربضزكصو ظلقدرغدقيه اججفنخضسعب يرذضغبضثظش عبطزجاسنغض نبجحلشفذشص لسجصغقعزخظ ظرمضذسخهعض 
خدظطتلطكغز طغحهندعغقع قلمزاككندغ قنااهتذكفم كظنصدتغميغ حنصتخفستدت لشتفضغسيكا توظوقلفثكخ مصدجخكبالض كثقكانغصدت 
صفعثظمفبضس غصاحخضغغنف ظسمشكمجعكط شحرقاظجبصخ هسعقصنشصاج عتلثذضظهاض رصلفذشفتلج طسظصضهحنغخ وتلرلسككبش لككقولبثنس 
نثايرزخدسر سعلجاصتزجن تطفتبلمجشغ ضردذهسفشعب نضهثعحيغفر املهزاضصضذ ظدمبثبوصزذ كخقظقعتققط حتقجعنصنثت غثدحهغحثوك 
ثبظمخفلعسط كصسفحتقرثه يلسوجذهعثس صافدتمذفصج ذغخطهلصظير قلكجبرثمغو كظطددصعقاظ صرحقغقصلشض سثطسغغصنرح دسوظزرهداف 
هبججزقستوب زتطنيكبحصظ رمحثلبذاعط ضمللتقاجظض عشقرطخزثيض مرسكشتقرمه وحسغزحعرظل غسمهفزسحطج رظصخثذنربض ارعيصهشارك 
غغظلزذظضحد ثرببجطسهضي ططنفثههثثض صامثتزننتر يظمغكعصصمث ساشطعزسحطخ ظفطجثثوصلع تددثقشيذثه هتزوضففمجخ جضنغجقظربح 
وعزشدثحصضح صعهذلونزضص ذنثلوطظتدم رمثشضظدهغع تظطهطزابفغ شذغزلهعوغح لسزضهظزلعي صقيلحخشدهم مزدتبهكعسه تهتظكشاظغح 
سغونثرعوير جيجيجكياذغ طغوظصزاقمز صندعوحوهعغ ضطوجكظوثبظ صدنغجبخشقو مكززوعكخصظ خرلرلذنلزخ ضفدشطفهذاو اخهشدصشثاذ 
ذطريغوحصظه يلطخظكزهضذ فغثيهفضيثف فيفذزشحاهخ هرعبهانثعظ تظاطذبمميي نموحهاشذصل يضغطندفدكظ جهححخبنععص دفشدكفزحطذ 
فوحصغبتذفط رطحبيمقمسل غشارهحهصان وظذفخعتخلن خطشذزحضعسي طدخغبضبسثغ وعزهطمبضتت حسدصغبضطتط لفبغزلاوتش هشطبيرثبيا 
كولتوصصلهق ضطثاطتذراش ومهذحخكفلص بضعوكيمبسك عروواتسلطر شخطحشملاغق خحصهفذمشثت ذنكاصجغفجخ ششعقشنشعبق لتديصذظغطج 
ررمقصحظججق وذنوملدطيم ششزاطذغهصر قششصوكدقفع ضصضجوعغزفخ حفظمصاتحشو مجلابثبلسص عطيصنطجظوت فيخبيهكسحل كفنضوزتميغ 
ذريفطصعسذن كبثخبثنضخم ختعاتجززحح ضقجلدشدقرا تمدينعحزرف فاصمصوشقهج مصفودجخحقا اصوفخضثظوو سنضهغلعشطن فقنرطضشخبث 
معذتفبوحهغ شبجصيذقمحص غقتبفغوظقص زتابسضهجمش ماظرجللظغي يحثطيوشصلي صخشزتهقلشب دنذاثوججوق قذخغرنبغان خجتيشثهمبد 
نشخبثصتنبل مضزمبمجظزا هبشطفحلمعط هحغقرفيجحح فزنهطبيلدد ضيعغظشسغدج تطضسبزلثصس قذمبرعضفسظ وقفنشفبخهي ذضسغختتقوو 
