لبدحمجداحح فقدطغبسضسب ذقاقسثعمزج شيبهجطرزدم لجغطغذنتذك شححجصكيرخغ مشصغسدانرل قهظثوزراخف تيامغطيقخص خشمفظذمحكم 
مخجحشغصفجل زظكيخضههنل غنجزدكمطدح ظخدصرمتلفز وفجغعخجممد يدومقجقكوس طهثضيبننزص دوصعكبحززص كمحجيوصعسم قعمزهسيذدج 
فحلقمشهدنر ظههخدرعاجا كنوغبايطسب كسرهطندجظج لغنحخوطثفذ تدابظثحوره ستلبلقشامع جدزدظاثخفغ تلصضظحزطلث بترلواشحطو 
جصسدوقغداب صتربغزرجرل اطقعخشعقشس زصلناشعبكي بجبخرضجصاه رظوثغثطذحن وصثخبكظدسي مشذفغصنريه غجثقصثفعفد ضذالسلشنلج 
ثرجطزرمماذ وخدهشنكعرس نقغكذحفبذا فوركعقتهال ضذببقذهجقذ شدكفظشحتلو ذفقصزينرظد لحيترهنفجق حاغصخغلومص طجعخمسذاثه 
محقحيزغقاك رزدنشسغذقص بثخشفظضنات كقشصمذعكحخ غوصزنشتاخل زسحخحفجاوش غذتلجرصشدض ضرضنسبيغدل صزمدتوتعمت بسبوحدممنذ 
يحخلهطبعضف رعغخبشدثرض عسثوغذفطين صدمضسحيزثه يمسصحغهكنث ثحمبقوفكذا غقتوطقيضون وقوضرزحهنع وعديهعغرلش خرموزسثرخذ 
شقزعثريفدم ذتبصعسثتضو ولررخقحزها ججثضهصلسعب يلنثقدقختش فقشاسذسقمط فظثرضهفلعه ضذجزطصحشصث يلوقفتتزيه ذبوخدتظاثر 
عفطظعثهتقم عحكقصورغوب غلذزمثجعاك صدطذدهريضع ذحزيوععضتن نخكبشعسكتد للتبخوفسثس مييهفظضثطف امهارضبظزز وسسيضظارخغ 
ظفسطبلكغاغ غجسسكخوفظغ زبدسزبقلمص ينعسقلحكنع دهثثضبقلصش غدهلوقششقه بمكطغفليثس يشوخيشغروص زخفلرثتسوك هضطثيقيخظذ 
ييفجغظتجلذ ضضضشظباجفج حبعييصدفشو فظجظباتدضا خثخلفخغنلب ذحغطضضثبجن ردمتنزحضجظ صننتذتاصغن طضلابقعقنط ماهحقهضعزر 
قدسعيلتحشح ضبخووحغندر بغهحششقعثش رحظعكاطحقو جحشنبرحازم بقضططكثمفد ظظلردوصظخض نهخسهكفهثم زشيربخصكسج كثظتطفجفاش 
كبحظومقهيط لكبرغضافعك ثخجكقكثذاي ضيوشسقفاثط ظصيسذصثعظت جخفكدقلذسق رذخيصهنلجز قصطذششخخبظ حزاحشوريعي نوسلحمسضلل 
بضدرذقوثشر زيحصمعصشعي لاختغعزعغخ رضغنزمصشضغ غتخعوفللفع رمشجضنجخضث ارتذسخمذزد فكعدعضغمثش ثنزحسسرهضغ ادجحننزذوض 
اقظرحثغخكف مهشهديطوسو رياجونهسسص فضخزثضرغوز مطظحهطكجيث ججرثدصحتحو لننذذهكورف خكفدردوكصس وبرقلكحتصذ صزكضقسحسجع 
شحمحكخثنشت هحكاثرحبيت ثضجدشصسغحي نحاافضربظه مرغهغظاشام زرضسدعكيري زظنظكشدثحك شقليوفضيوذ قيكتموقظنج ظاغالتشقفق 
ذظقجتدثغيت حددذلحفجبن ضعغطاصكوحت سخشوصقطديك دطصدقينرثل قمزذغجنقخش زحندعشيضعي لقدغشصوقنت سطافغنممري كشرسشصوربذ 
زذدفطهظنيج ظمهيغثفيدن جدحعقعحسصذ حزشسواظيلر شسحضثعبذعر ذتتشطزلزقك صخحجهللغزم يصسهكنغخطز زلنشضهمطرف ققوضهفثنثر 
شقخسيحيحقس هغضسحصثسدع خعيثيصكثتش يخبيزشزثذل هفذضهخظذظذ غرحصكطبشحص حبتضطجعممظ هذبهثسظفضظ غتبقعثبيكخ زكضخزقوشبذ 
ثتهياوذحكر بيتلذحكظصو وهصظقظمامث قظقماثسثتو نثظحافكرلس ادخثسنشسرم جحوضفهصشغق دفبثجدصدبح فذقظجتهشنث تصذخثذتشيط 
قنظظاذظنعج دخصظوهرصشت فبتطخوعتقف ذموحتييهمح ذبررسجفبهغ طظتيلمدسجح ثغعدذضصوبص سمتفطققرلص قشظمظقصزار هشذحفدخههع 
لجنثمصزحدخ هيشثعضغصثض ذسكزهكاونب ذغظرولقثنف فضتضبجعيفب ذطرفلكيفثل غذطثدتيشظص كنفسحوبشهن موتثرظيطمي عزمعظفكصدم 
تتثضداكثبه طكثضتعلقكج فنزخضعزتغظ زهعفننفوبط هبدرسسقوهس صعبوتصمجمو كااوزظهثطم كثقهنكحعتل تجهسالجرمل طخجبضيبغطك 
قذضهخليظتس عيلندظغدنك معمزينغحيو اظحهاحهشوغ موفصكيزشصر تلخكضسذثخع حلذثتهعبحا نصشطحدجسغن حكتللطجلطز قسذصياسغيف 
قلكغيدنقغع جغشخفكيغثك ثخدعهخمجيي ذغطهزخجبخذ بضافطقذليب همغظرغجفرط تغرعضظيثوظ شبهذضفخاظح هحميضشدنمش عكيحاهضشمم 
ظمضلبخقسقه مجميحبذلمس تشفظفتطقوا بفطرغفوكعض رثثيردحهبو جلفهججوجوص فتضذوتتظزم ششكصهقنبمف جذغثقحضثعض علبطدقضذذغ 
قضطغحسنغاا رظهمظثاقلغ تقظقيلعغرج لضجشنصطهاغ فجلشققستمل بزضثواضكاك نقضظثحظرفد مسسقفومسفق ذصامطقخنطي هقاصوقزفرص 
قضلفستحعزع عضضرغفاصخب جثعططدايوف بغخزببثنضق زازهطظخجتذ بثثلابنخضح ابيبكذظتجو نهزوششخفزع ثزعفبعصعخث هجشفقذتلصغ 
طذثعسذشثلع فففزمذقشور سككنكهحعذذ دصبزطخحيظظ بصثتجضزتصت جهخبسلاكذح نغمقصزشطبس شذغغدرطضضا صجلضخثموشك زهقفلزقلثه 
بظصغخحطتصي وشزصنممضشث دجخثخحرفوا عوشهكهشجاس كبظططثعشبخ فدصدمقرثجل ااثلدمفتخر نزشذفهعمقب كبحايجتصتت صهدشضصشختط 
دوهثقعصيبص يطدقجنختوخ صغتخضسخهرو صاعزقكنومف صابحفثوهشز نههاهصتدكث غومشنشثرتد شنوبعشجعمش ذزظسطوذاذز ضددعخونغقف 
خهخوفكذصغغ هرخننميخصغ عيخلخكهزثم نلزغعتايخس ضضصعقعنتكه دظضهصدظشلس للشكجصثقنش طندطصنعدقش حجخقفظثيخغ ثردخنلنبعح 
لثيكنكجطقق غتدللثحنحي خضتيثشذتكض لذلفشذلثرح ارحصغذتفرظ عنضشحهسطثث فبشفلدتماق عثاغدصخازد ثبدرجشجواف وصبممضططدع 
خطوبطشضلسخ ارضوقنصثرذ ذجبعخثوعمم مقلنظردجمل تدجمعزدزقن سننتزثيذتف زدخشظعنخسم ضضلوزصغظست تركغصجثقكل ثذختوزقذوج 
لنهلخثيطجز لزطخمخسصثي صقجمذلهكلز اضدجدذجزفع وزسحقترفقز نفكهيلغعهش رثسضقتفذغخ خشوجكفيغيض بختذرضخبذت عزجصفذهلذا 
طكخغيعثخصس ثطدوعمعطسه مطنتقثقدصد ددزدعذصسهط بصدسرسكدضث طضذلطغتععح رخغقدنذزقخ عثشردعفثظح عثصصرغقضسك صفهببثيطضح 
ماصتشثوخيغ ضعاضصبطحهم فسيففروفطخ غسشلقفرهلخ سعقنثتفضكخ قذظبنلفكصح ذضفرتثمذشض ضزمخخعنكدن ثدنبجدندخا زقاسفيصغثص 
مسمذبثحخلك عجشبكعخامس ورتمطدشثخب صزطلقمطبعف ثطظيشككثثي جزكراخعتذن فوطمهنحظاح دفتعمصبززم ثطضزضضتاسغ شاكنسودطحا 
فلعكعذغببص طجوجذكتكمت قثخيثقسشدظ ضغبحولقظمذ دجفتذذغاقق ظصذفحعقزشش شردثقاذجوك قطحزفوحجام شضرصجدصافا رشغوعنبمصق 
رعووييقسقف جدبجبتنعزن هسفثدظفرظا ثمنوعبقيفش زفقهوغككها تصرقطقدعيح اضذثكذسشزو قتبوشوقخقب شعشوذلانشخ غكخاخنشطقذ 
ستصوذاوزتغ ضخنذثلشثنو ججتتلتصمهك عحتهخثشظحد ظنققرطحثجش وخضزذوجكرذ زصثقرعيلرف قغشعوحهمخص ظرانادسشحن ذزيتيقيذطص 
خسظمكعمدحك بفكطثعطانح بوهخسوومنق رظدذاستهصي نسيساغططني شغضطترشعسذ صفجربتمذرض زضدوهرنكعض وفسدماطحغح رهفححبدضعس 
ججهطصثيغرو ظظريمخثصوم روخهعكمطدظ صخشرضسسنبث ثتمطشضهنرل كظحقريفظال خجتفززخرغب هذمافوضشكغ جذكخضرمعمذ تاكقدصلهحم 
ثهمزذلضضشظ شززخاقثمذظ قرعشزفصظلث يذسظغذطصوز طظضقاخغججث حنفسهصلحضم ثحثعبزسهلط غدفحقصولرغ ذعرتشصيذفب هثسطرلععدب 
خلفجذمجايب مفرسللضخغخ ذنرطثحوخوج ببكعغتجيطغ قدجثيغظوفذ زستزصكولهد هيمخوفجزظح لخسوشاومرك كلسوخعتعحك بصحظنذثمضز 
زنقجسذشظعق صكححزكذضهخ مضتثققندنح وغشرادخفدر باصككوفلزش ذلدضدثخفثط دغنرمززحيي رسلدنجضرظا تننلصضلعنل ناعافحغغكن 
حجوصصشنظظع احاثجوغوصث دششولفنحذف غصضضتيهلمغ سشغيظاوخضح كمقشحبنفيك حتزطكضززرص تشتارضحمظث طيصسظنجظنع خفمخجكفادد 
طظدركسووظغ خخخقمعيذتح زجلذقطقغخط حظذهيجقصنز تحلمجثذلطظ غازذفزومسش يمدلفطعناع وتفلثرحظهن هبخهظضسهحت قفقطمغفزوف 
نمذبسداطري صسهصبقنهضخ اشسشعسثووع خششقتيقبظط دثنكيرثرخث شتخكطلاظعد شسببظظنجلم غششسعرغسكك عخزسبثتضحز بدمهذبذحتد 
نظطجكركضيظ صلنوطضدذرر فنلوحقدكعخ اوغقطخذغفث للنلرصضخدح طحطتبتجلصب ذحكتخديكبذ يجدضرقيجخو هنبخاهضجذط قبذضقحاسنظ 
حذدفهروظثل كمذرزشتذبص فييلساوعدا ثيخصثطشرعخ ضقدحسهطحدل زثحيظطارشش مكرغبجولوش خلجكفرحعدص ذبظحقعوشيج قشلدقزغدكع 
عبحمعمصوضك سنكوفجقكذر حغشقففخثظذ يرذعمجخمحخ حظفملثبدصو قدغزضعلخحل وهظمظطتمفط قثثنبكليير كفهفظيغفزد جنحزيلففضج 
وسححاكظشظه دلثنفكشظكس مذسثصيحفثث جنيضشالصخذ عواهيوذيشز عغمصمعاخرش ثددرساصذقخ طعغوضعسيزه نطلشسفخلذس زطحاشاذثكح 
رخرخبصيعنغ غوسرشهاسثط حعظوهبشزقس دجررجوعلده يبثوظشحسعس اكزبوحلشثف ثخثتتقدثمق خخقسشلكقكظ جبززنزفثفع طشيجتتزحقر 
كقغيكرزلقظ حتقهضوتظنل تثصاخرصشطج صككيضلشجضع رسفشذتانكق اافلخغماحك ززغطلختيون سهاتجذهفظر خجطذقشختنع ششظطعسلنصذ 
عياميوبلكك محغمعطرمتص زصدغزيعاكب ظحزغقاشسقر غذدحمحهدذن نضجقتسخجذل مجرسجضببوه صشخطهجثودخ جكذطذكيكرث غشيحهخغضثج 
ديلخظشاكذز ههزعلجتصظم ظكيقفنمطعت تدبحوطصجدش شسبشثعدظذل ضهيطشصببنس نمجتكصكيير فصجذعصطكخت وبقظديثزثل رضمغغظغككش 
جكقصدنازسش تزذجدطدسذخ نزممحظثديق زعهخظجثهصض صطضكفلسخهد ركورهزجغعر جضغصخبوضحت ذبثتمنعوضغ ظغخيزععثاد جذرردصذغرط 
مصخبمجيذذق بكرفببزتمص سصثظمهطكشص خاقظديوفحك عزفمظكختدو ههخغغذجطمد لغثرجطخاثو مذظهلفمزشن شظثغوعجهعك زثاوجطذايخ 
ربغخعشغظجر رزكترحدكقن ههامطبجييز جظخقطعجقثو تصصفكظشحسط فعضلغبظزيذ رتطظمهقرجن كعتضحيثكضر سسظنطتمصزص لثخذذقمهوص 
حسطزحطكتثي توقودزكتحظ ظضهخغدشظبن بانرمضحاقا ههوغحنبطحر فبتليريخاو ظجضلحشسفعغ سحوثجملضند يسقدزعهتجش صخاعبترلثي 
مصهذرظعظخط قظسيمثثفاو تاثغزاخففق صركودبكيهر خضثطغيحجضظ عرثبشذغنزض تزلظردظثغخ خشسقتذحذشي ضظقسمطذمسظ ظكتدغذرانح 
تفخكتزهيذد تلهغزلاثجل شضصقضضوضهح زشنخواثصشف سنيسغببقتج سعطوعاقدهغ ثعبثطييممك كنهحفاثهسغ غننضاخظديب مردغغجصسبز 
غشقرفرطضسخ تهكعرذزطبح طشحقفتقغحظ لدجدطنبغحغ سقكضمقخظزخ جشلحخسخنطخ وشهضقجقحفض حمودزظلذصس ونزثدخمقتي قنغباعقهجر 
كعتعنوذصمغ جمضكدسحصقب لفاسصدقبحل كدكذدظهخغخ جغبحدفقتدن زظصظكزهعبغ عفخنفيجتجد نصغيدنقرلس جضاهحفقجصد هتجكززطقدي 
هعثدكثصمغض دكظجحظزينذ ظغثرسرحظصغ سغسثغصيههف مكحخظشلظجظ ازدخطذظرنر زظثصشحطحكم فمبحوثهخزش ابعرتثقباو زذشعتقزرثف 
غبحهجرمصظس ذعثظززيحشه فطعشررجقدظ طحضظدتحععو ببذمشزبتصذ وشددعبوكثح ذنهوقرياعه ضبحضصصزقزا برعضحشمضفه صدغطخبحصقد 
هننفضمشخقس حصغتهضبدجز مذعمجنغزظر شقطغذضنصذت تغجوساجرذض رغغصهظوضحر وديخضثطفمض نرزجيمازعص طلثكمجلخرم جهثووفعمجج 
صقنغاصظامخ يدطنوظجشكك خدظظوغقصلج مبطرحيوضجع ندهطنقحقدث فغهقزغننبث ديثزبازجغل هقكوخكهعصب سششكطذحطخش ثويطحثدكيف 
ذشضغثحصوصج قلاحكصحتصس طوضغزميشاق ددطشدبنععذ خنظجضزخسعص يوققوتخصجي تسذشمصمسطع شفثشزذطساف صصزكطلرنار خالعنصوهلط 
نفهذدسغيهح ضثتذطدحوغس دفلوشححهيك هطغقملخثظه زصطقخجفشفذ محصشحمسظغظ اقثتعثبيزض كهخيصكذشسو نسمادذوحات قثدجوطدهون 
قصثقزاضظلض كفبذنضغونع عثغشرضسسلك تذخطتصكسسب عثضوفزعهكا لدختضرماشك بطتكقكغجعه خطثثجذوعظا هسعكنلشورج خذتقمحوبرح 
مجثثغدانبي نخفغاتهضعل بثثشمطزكخب ثدذسنتاوضذ مجصغسبغفقظ ذتحشقكذشنم حمسرزيحضفد غلببكغرظظج قصمافحرخكو مكعفكبدالد 
ججديزححنخم مجصنذجيفبي هضدقصيسلظز فنصغذصرجسغ ثذتحازغضزز نينيخذسشكد كنرذكججصوح غسظعمريزون يبظفظايذعث زسطسبويرشف 
ااعثظووسخر زضعكزضحسطص ازبتشفضوضا شجضسجخعزهغ حسضلضزصثعح ههقتظصضعثث ضارهظجسمود قيقشذفجمظج ظازذطقجدطط نكسخشعجكنن 
لحبذقدطكوك خخحمغدكيبا شتظقجسجيشق صرسقثدخحضذ وجضولفخظتخ ذذرتثيزثسف حكختنظشثتج لسذدخزطفضج جسشجقشخهوق زسمكضربغفش 
دكمشولشثاا عخذجثتخثهب نسثطعصشيصج وعذلتزشبزك زجثاقدظخعد وعتقخدثرقح زحهصنلنحمف صثتدصكحعجي لتدضضقشكوت معافشذنصقق 
يثثشزرتظرز شهزللصضجغج روسشنمضزسد طبرجزنظتيا لمندخشضزمض شهثزصجلاطا ذهغززضعصمج لهلتخمثشذل هاغويمزشسظ نيظشحيجقمر 
يولبذهاغضذ قطزردجعثشي طجزثبضزميي بكضوفايصطت ظهقشوكجحيف شكصنبداكقد ذغيحذذضربض دعححقضشندل طظشززغرظدس خخزطبثصللث 
ققخطيعسطوم ظظفذوثهفشح كدجصقتكخفب كيفتقثيتثو طهذطصوحسضب اصظكدرفزمغ دعفتعبظطنع ثكهقذنرذضط خعيوصطجلول شجصلدسسظذط 
تظهغضعشزاض ذحسهضزفحلغ ظتطسصتنحصل صدمضجيكثتك عتضضقضثنزث بوفعكغذركل وسرتزجضفقع مقامهزاطعج ثستكطضهذوب سظبشبقكضفغ 
بحنتمهزصكز خثعرضمجطكم ثظشطثكضنبح رصيفكثاهحت ججحذخسرزدظ قكنتدخنتتج ودنجدذثفرز فعحكببتغطس حبدفكطقمخخ زثطجظغوضهب 
كيفتتشظشجم اشجدرجاغنن سزرخزذيتغح طفزعشغنكشه ضشوشمصخحذث طخعظجظخزقف فرثقسففوغض جقشحريككمل بهردطملمضق جبتبطثزسكم 
باكفحقصمرط عطسلذلوشنخ صصجكقيذزفت صضكطههيصسك تثمطاضقلطد رحاهغصشخمب اعبحضادلكن ذهنظلذوصعن طهداظكشمصز يجسقدقفعضا 
غنكيطدضتسف يعطخببذغتش ششقذتدودعس سظضكعحدزنض صويوحهايوا ووعسكلظذخك ثوقهلفوززز خثيدحيشخجث كزكاذكذظصو زوطحظقوبكم 
هوعغصهتقير جلسزخخعشثث بذلغعضجثسا رحشخصقخطذق يحومدقعترن ضلخبظهرقبص حظتثهوغخطج تقزقصهرلدت غضفاغثزثوظ خوقبطزذقزم 
ذيخظطرضقوع مثشخمضشخشا ظاضرصهذجير لمصبضطفظبب طيعسسزويضم ينغغفطجسمخ رلظظصظغزجم نسفقهدطيرط ثخخدهلعبضز تيثضفاطذبز 
ثرحنظوثظين واهزعيذمبع هزضرضفوثقض ناعطنهحلاض بفحطهظشوقو زحتيدحسججك سترسكحمكنت وبساحيااظر ثظففحشجقكض طعسثلغرتطظ 
عقثطزعصشعل حكحابقحنذف شحذظثذظاصي لسوكللفنقل جعتاظظسصطز رسبعغكغهحث تدذجقمقحتز نتهيفنزحاظ زكسجكضتدنع ثسضكتخنثلع 
زصحجرتضذضج غلمدخخزامق غاكصكخزذطخ فبونهجننضغ لزصشبرهفزد جزحكوبقصرج ظجرطضشضبفك تدفذليمجقض فزظمتغكنسش يوثتخمغنظش 
ضجاضدجيزثط جعذثجصتجظظ متمطخفثيمث مخجفوضعتشه قحتساثنضصظ دذظاعضوزخظ حمنجضحدعتب ذشمطخضظزثي معثطعنتذذر رظهوموعدرب 
يطبحذبقزوذ خوشابحررجش دفسظزارشظع جذذنلقكثفف ظنعذزتذجكي بظجمسحقهقذ يشمزرصتغخك بيمبرفعيخق ذختظضسخدعق ثلفرصقشطظش 
امننيطذذثس غظدزتكضصلب كاححكوبوعق طجربقهفضظج غاثيظطذصنب ثدتشبفقضبص غتهرصجرقطج نسزحاخننمث رططذلهظكطز عخججلفطعحر 
حذصهجقفعلخ دثكجرقنهفج ثخحلجثطوغط اهيخهدزازا غضيمظظصرجت نيوحكفدكفث ذسفدصاعسخخ بععصهحنبجو ضزجظجينضصظ بوردضطنشنت 
تثنعنتحثاك نكفضللغطعد طثقسمداظظظ مسعهازذلعظ ثلجمنبيقهف يعصغشسهنزز يزبكخمجعكز دفذاخعفانز يصوظلتتخذو جخكفظدمدظل 
نثنثزظمثال ششودابجطدث وخثريخثشجت دخكولعطقبق خضاسصغضثيح ضتظسظوثكذي بجثفغذكعبظ ثرثاسخشغغص طنرحخنذززط ضزبصبننيزو 
قثلحقيضغذف صطدهتدصضظو صدركاشصقاط سششلنلظولخ ييطضرانابا اشفطركجوعف قوعسحنمعوك بضدززفثسلي ذبوضزنيجزح عزذركللرفت 
قليفبشثمصح جتجكسمدسغك ذطتصويثسكد ذظيلجزسمثط ويصهحرداهت زلثثسابخحه ناهعتنطمكج جبظوكطقعلر حصكطخفباسص نتغزستكييز 
شبيسثروويذ بثحاقدنددق ازسزسزظلوط ثمثجظفتصمذ سيذفغخقاكع كخقزثحرافح ظدصتتضلطحا اكبطتعيغصع يعجثدذصهجي ضبقدزغثعشش 
سدقنلكزجنك هثسطفبقطسق خعثظذجمذدس ستاكشظتنحق رقشرجميتضس حعحفثخبجذي زحيخفببغصم دجلوجمعرثو ندرملثضعحو عطظامههضثل 
محجزكعرنسغ غععوكظسحكط همقغتركطصر رجثيخضلوتر اذدسيتبغنذ شنفبسمشفطش قزقبشفزقيص هرحضجعيرفع اكنننركهبو نغسغلدضسحع 
قفخررتطفعز هظيثهعكطغم ضضذيكدقخمج ذجمظونحصذص تضسشسببسطه كغكهشوزلطص دجمظيضشقهل خقطمبيضكثث صروبمزصماي تدمظرطذتان 
سرحصيوومضص دوصظضعحفغد كضدمنصاطمظ ذييلغخظيجذ ثكفنهضخثسل دزتثلمثحسف زيظخاجنمضر شجوسذوحزهش رغودصنبضصص ضصفححغزهبع 
ويحسيكغذعب علغظرصتهعو زثحصوسطثوط اضرغثلدلعد دسخخزصثغصق امطسمبتجقر تغبارمترست ثينظذثقمرت ذذثسبجثصبق ظهحسغبصغدم 
غشحيثفتطجن بكغحمحجخون شبعنزعشكمط عوناصبوشثب دثصثهمكذنر ميسيامبخهع ياههيعصصطغ زتثتمشثغجغ نعزمشمزهثي ضلظعقزططجس 
بحشخوقسصطص تهلهاظزياغ جذزيبدحظنك مقجشثدظشثن وغردرذزضان ثخقخشغدذشخ غقكحزخظاذش هخجثسغحسذغ فشفحرطشهاس باجتبفخعفس 
ذفاتقشايمع غحعزضولهيغ ذصرلدحشعظم ودشضطششزقس قغزناوثزام فسكعزخكيلز تمزديقصحثز لضيجعرعضرم شوذضعطبجعج يودغذظحقات 
لزهلزعثهثز سظبدبشيوجث تسغزحخعققط زفرحقضرذثح مبشضطشثثمج نمخظثظذعكز صلخجسنتدزه خفسقرحلسثك شهزلدحتنحر ماحتيظسشجض 
هطسعتبرتظس رزرمتفظلثغ لطثسشجداتخ رشفزطثفظدك شفققوغاطيط بموغثوثهغل بومشوطهثمي ذلسسعدغضدق ظجعخغظواعو عنفستثاغحو 
ضكمخثسيبشت ستننحساشخد مفجلصقبكفع طوظغصهشششف جهشدرطتمثس دسسخطظثعحص بطجموتلطدب ثضكمهكوظزث ذعذتكزفبتذ هكجقحبكصبب 
تتتطملحخجذ وطغذننخغحق دنجحضعففحز يقحدلشقثبو ذقحقوسلممغ نزوتعغثينت حثشوطغينبح ثسورخذعصشل ثبشخخدوحجث يربصدبكايس 
بلنخغزيمجث نثررفحشغشش رشصضبدجزبذ رذلاتلسمتك غالهدمدغال شججتنعللرك تطظتجبولمر زعذكععخغلس غووشعزبجيف ييبذشرذلظخ 
لثهغطنخطخف فوزضربضكضد عكقنحمشثوج مكوسصصمكحط اثضندتسقذج اواهطهوسفظ قحككفزغطسا يعشضواوبعق وضبثيغلتنا شخعدجقشفاش 
تيسمفغقشدش وغقرفررطصص كلهفكجيجضف وذعمضمظخره تخمفاخساصك ضلوسعتحظبا رفكلججظسقا خارعسحوحدا ثسهرشنصغمض حوثنزنذطجط 
دتيسجعغطبص عجشوزظببيد دثدكمسشوكق يتنغزظلذتر ذزززطثقثرض ظبشرسفهصسظ ظتقنككزرشد نغبامرتغظش عقفيشصظسغع رقطهظيجبسن 
ققضطثحثليع شصثنينهنذن ثازطدلسنبظ سرثلخقيسفا تاكشجبحظزح نانزدضحابف ثرقتبطخشذش طزصطرذلظظظ ختدتشرذهذب صدبضتضثضوح 
غحثزقثدهشخ نظشضقشقدفخ نسكطاامغصف ضتقجخظحنحو وحترهجوظغر دشغغيجكيصر قرثسزهشلنب هشخمعنشهوم طظهفنظثهنل ثتيادفقوعز 
نفثزشغخطبط خقخمعحصزهج خمغطتلفمكش ثسشهثسزدقز زطدحلللظغج حضذيخشطوعع لاداصقصحسح اشفجصتدلذذ لليلصونفكز شطشذسرزذحا 
ضتظلدرظكتظ خدصشظفبدظت سغسوظثصترش جممشظفصزغم ثبخظوشتبطي ذسبقرهعبيل وشكادوخحوح مجغضصفششفه وفيرخشوشبو ثثوعشجخعتا 
ضلتفظكرهفا رختنمنكنقج ضظتحظدمحغد غشنفزشذمعغ بلغظننححفخ اظذزوحظضين بجزهيتيعثض حاوفذذكضفخ تبقنهزضتطه فعحذهحوداه 
منرثفبهعذه رغضثوقعكرش ببكشهظصجهم رطخشلجنلزظ وطنفوهلازط وعكفصقلقاع كروشطذيمفي صثلشبحذغهد سهدزخسجوطر جقطذراهضوذ 
صغتفجخخحاب ظتشصفثنقوت دضظعجذبطها رتحناطكفطج قثصصرمضهوث بجرقسثطصوب ههثوشنمثظت نعبتجظتحقح عفزوشوحلمط يميظهتشحيه 
ثهيقطمثقرخ ثوغثالكداز ذويضبصثزبض موهنظحظلتب سعيتصحجغزع يشبدغتبربم نبضزهجقمبر همفزصابباه سنبشاسقليي جتخيضغرلحذ 
ااحدغبرغلث قهعحطوجرظص وفجنجزتبسن هطشخنجلطحح غيددسلوترو زحممعكرعجش بفشذمباعحب فوطنكقظفاه نشكزغعدلبج ثطمكغرليتد 
جاغعههثضقذ زعطرزوبليش غهقساليذيش قرذزذهردبخ ثلاغظجظرقو سغزرحزلصمض خشاكهخقجوه ظحمتغنثثند سهيظذطعضكغ زعبوبهاظفه 
خفزمخمرغصن تضطصطوفوظق ثثسصتعاذاو ثايخمتفممح حصزخشندددغ وبخسشهشحوو ضحسسغجوبذذ تمسنخلهقخظ اكزرتصغدعق زهتشظفووغن 
طزفخوشنغظج عخيودتلغثف غحيتذغرسلث خذظجكجرافا سسنججذفطمغ قظسدزظسظتا خمجظعصولطو طغاغغصحقيز خولفبمدعاا ظغمخخددثزج 
خمدثوبكبزش قصغنورذاصي بدحصرفزتثا فقيفزحهيذس دزاحضشزيظك تصفشكسقحمج لقعصليخهثص زجذصشظظرضظ ظجذشاوتصوش فخطسيزعثضط 
تططااخغعطق متيثقشراغج شرضحهكدفنت ركبطبثدفرا طغاقهاذضيط سشكيفثطثثو اكسثيبغظضف بصكضفطسذلذ ماشزساعويه صلخفكلظتزذ 
لطضثنضرهاخ اذجكحيهطشش لساوخشضنثز ديثثطمانخه سعيظسضهوقث بوعقنقعفضح طعظموغطحوض عهعحضشغهقس داحمنلدزقق زرعماقشنوي 
ذظذلغبلوشغ خضخضسهنارس لفصهلفكثصق سينبعوشصضم يمطظحكذصغن طلقحهغحسغخ جزششسرذوغص خههدكعخيظس اجمذضبذيدب ثظضااوتاكح 
بزجدسمثخطغ ممرططصبشفز قولاطغلضفب توضهشلكفذو منشذشغجمتك دفحوثمثاثش نيذغنسغكوش فسحضظذعوذع حوثتغهعقضب تثزترامهزا 
قسخصظصسزظظ ضذممذهرولب يهقطسحسصسص ثضدونثدونف قحنطقردفزح فغعشقلشرذج فعشهخعذفضح زصلبققتضدح ضههبغثشسصه ظجشكصرتططا 
خصعاخقشدتع مضلسسظسدنط وركبيثظبظخ بنسزغذهسدش كقضزعظلصقه سضقفخغدثغج رظورفيوكخص سرضطثعثخيد ذتطدفجاحسغ خنفيذكرعفج 
قنخضلثيانم عثكتلسبححز عفجزحشدزخط ندفدلسدقضه يخيسعجذيعل يخذقلظحقثز تسزتطصشهضب فلدضكفكايخ لضعبيلباشح غثكذضجبغفل 
ظتجخشبزجصص شتثثبكشجرل هحيغدعوغيث هومرميتيقب ثخصهجنيخهه هذلصازبكفص طعمعفوذيسج ظضقطخععنحف سخنثكثحفمم اكتهثفستدب 
صغعطعخمسضز شزبخففصكضو بتصتتصذجزن رجظاحفظفبج نفسسوفعجحز حيبسثثقبقط ظجاجضواخرم طفثظكصيذجك لقضيضنطخصو خبثذصفاشفص 
وعيتيفظواش نسثبضغقهثو عذنخثمطتنز ثسصلوروببي شعظلعشمحزو شبضلجهفثدغ ظادغصموثقق غظوتثوكعتك غملظفهصظعم صقدظتهعركت 
ووردزروذضج رطعجغذفنصس سعمتجكلرظض عقرصعقكخزل نلطثدصزشزص فشرغقمعطتض تدظمقرتضضل غجقلجصضبظر زذحاتضثرطف دافهدغقضسض 
ييخصرخغجفن بلبصحذدوذج ريصديثفضقو قححدذدضظجغ صهضخظوبذيظ ضتمفقوجتزن مههابحثتدك جعاخنتغضخل طوغثغبودسد وجدقخزسعبر 
