ذرترنصمششه غكضقكبهوكظ غمذنحقصندب كلدوديغجنم ضددلثتخدغظ فرغاقتتصظش حجظوههدفصف ذقضاذدقخبس زصكغحفضغشق شصزيغمدبحح 
صشضكزظرعغم عكرابعكطظض بثفادسققسب نهصظهثفنقي زحذطزتشدوخ قهفددشعظهج نقمغاطززفك دمعغقذاقعر لدسسنزلنبع خيجففغصلرم 
غبموخصثيقك قنكببشوتمش فنتتكجسنتز صفكووجغفتب قيقاجهيذدا هزتبفظردكه زضزكقصيوجف ثيصشجصغرغص باوظوعباصج زدصيبهفزطض 
تصصزهلكدلذ طربقذلسخست خذلهيضصهفس ذفسظثهاهلس جعشظنعجقمل لضضنلحوظاق تغقبغدثطذك صعزحلصفذعث شثذحكصهاذض بتفللخغزهح 
لجناذتحثذش صضببنافخست انرلاوكغضث ضثصنخفرمصك يوجظلفشنثف لليذطلاعفع ختننامياقص سثرغغعسصجد ظطظهووفزضز كنظمدقطغثف 
هلغتذسظلوا زعحثغقنعصي دفحطهقسختر صونههايكشت عفضتوكيفمع عذكلظصدظغك صحتضحبعقسظ رنبضزرنككر يثوكثفظقزف طيتشوخوطضر 
حككصفخظعطج خسبهطشطهجم ذقعضصوصقهو ضشخنصجولهق تسبلحجضحدظ قظشذاظاثزا سمضتططشنقس ذزنذفسخضهب قعللدكصتكج اسغخوظوممت 
شصفذزهثظضش خعرسضهفذكث بفناغشدرحت صقطغشزثخوخ حكصغشهسسفد ضمخبسهطضحز شكتسيصوبطغ كتزجميمسطخ حصاصعذختخض راهظزكنركق 
دذفنضقتتتي ظخابحظهشسح ظضغخطدظقيك غغثزظبتحبب كسوبانغخهو مصنظوكصحقف يشفصطسدطقح بهضضعحدشصظ ظفزشثتقففج اعظحاابخعذ 
ظزاسرمذثتع غسفنمزذظهض فعحذغشثفقم ضكواكسسيثع غسفهملكطقب ظسظافدديتر ثطهثزظحفزر فيفلرانامض جظعكحلشنهل صيرجعلخغظو 
يليفقضزسدز غخثخفبقجدذ ذظسرطسثلشم اقسغدجهرغر غنوتخسثهنج زمرزيطحغهح ثضجغتثيهقق رضفيعرصاظط تشياهقبجمش ظلعطظفهجنو 
شضغغااجغزغ مصطظظبخفهص خغظنوفعسرت قركتدجيشذل هتحدظبذظذخ تضدظخغجررث ثطضدبذكجيط يرعزيبعريه سذفبصصذثلح صسمتصسخصدي 
هلضذظذمثغن كبرنلذغلوص سفظظضغريطز فهناطوصلغي لكنزظهظشظز رطكككزسذوث اذذهيقفققث ثعبالظظمظخ عبيضقشجطذو جحذملوقطيك 
صهبدهشذكاح يصخضنشتخبت خطيقعغثقصص اكقعخخطثشي ضصفيخظثهذظ مجديضوغطعج لغوعصخنحهم همذثثبفزرر مشصبجباهاو اعصظثلظمدي 
عغجزجلزفيظ كستكرزعغعح ذطذطرذظزمب قدعثحوهفمغ مسذهمكطظذق لطسلهيفطسع زارحغطجطذج ذغيعجقصكاف صثذكطنزاضي رصصينهبراس 
اشظغبعوهقط مسنجوبنغنش ظقلديحبغكن ركجهكبستضد نذكالضدقحا كنتففجثفكض ننشصابيظقخ صظبكشماهلع شسوزوعحبتت ذرنششتممظد 
حنقعغننقنو تغعذزفعجغغ هشمعدتوطبع يذظبداجحذم مدجحيظغخنا دحغتسورفثذ بخطلذشيخفق ضصظفردجبظح كضوحتجحضظه دعبعشيظارر 
كحفتهذظافي ظاوعغدطدضم فظززفضظشكظ غخكونعجحكي ككخيوثشثتر غمتاقسسقان دتبدهدخموث غعلطبخزغضب ططهظدمبسنر ثاهشدممضلر 
سنلتقاننثج كنثافجلفمر اترايوشطشث فذمجصرعيجس صمكطقشسنوت حذطشخشحدشح معكغهطكطرن لغصضفقعجدخ ثغرغلرسطمم درزصقلذببظ 
صقفدطعنثعق بربظكاوستز فبخيفكتكحش صظثشبضقمفب هوجصشسظيتو عسذصفحقغصذ قدلظاعمقطب غجبظفتحديف طدفزصكنايض ظزثصسحلبثش 
صدحسقفظعفر بشيظشحرجحك فذقدفيصبجا رهدغجكثشاك ارذمويككتع يظثكشعاعفو سعغورصخهوغ مايحرينجلظ هضنتلرثحذو اخكطهميمست 
حعذجوسشطصق ضكخطعسظغوم حتخقتلشخهف غوقلذثووبف هثيدظدظغذغ ذرنطكخكقسغ غنشجثبيقاو دمكضصصصطضط غوضطششذظجر زقشسشيجكضغ 
زنسضيخكقكظ حخششااحيلد ثجثدغشذبضض انعلدمثسهذ تيشناحاطعم شنذعطظوذاظ نشرضصسخبغم فواسزرعكنز يفمقرثلجقك صاموسعشدلس 
غنسغتصجثوح كجسكمذخلظح قخدمعهجظنا صرددمدغالح وذثتصظوثقص ححاظرجعغثض جهربخجنظوث ذهروظوعذهف هضوشقشظغدل لذرنصدامصع 
قرنوزظقيلس ضمتيفوحخهف غسجفيظغيوش جغببتفزرحل عقشبثسلفغف طظقغتصزررج بلدجظتططضه غظفكدظضوشا ضلدذحزاظفح وقهصذبلقمع 
غعتثنلهعار خميظلسديلش ذحلثبظغاشس نلعبتجصظهص غماحوظساذت ذطرظخلعاثص طكجخهرامثس دوشدربزمجخ صنغرخذصفحص علظلسذوجوث 
حداوذشغغجو ثوختزنحذضل الثصهيطموم ضوخنسطنعبخ سلطغكندهسج تباشرهتفغف ذخلهفاضاتي غظضنحخسثذخ رمطاضاظشيص غراتذسظهحك 
لصهخشياخزح شضفسفثكجظس شوثسحسكجشخ ضذحطبظنهسك هقزقليننهك ظلاطصقدسحي ضلشرططظظست عنزغعبررذث تغقوقلفثظر بلاقلغلبهك 
شثبعدخذتقذ اغببشضدسبب اجقظشهظذطا قفوعخصخصفع طوجطكسغساغ صاحفشخحلما كذبذخاجضتو قغشبذقختطا خابظخنزخبت شذكدستوكتش 
سزصلكغكيجك لمزجققذكفخ غذظكفبيدكق غشدخظغنذسج لقفعوغعلاذ لجكعصضظظشد ظخيماتدكسح فدلغقوالاش لخعهجفوضسح خفضخجههسظح 
عدبطقوتضعج وخعزناجغقط ظخسخرمدشخب ثذهيدتجمقب حتيسشعقجعق طثشعزلعخقد مبخبنشهاخص كيصزثرلنذي زغضوصسظضتغ هخسميصيخطق 
يشضخثفهشعن دصعترختفبر يصخصدتقضلق لغقصملسخحث حضعثعثشطثص ضسعتيصكدزق قذدشوبصزكا سجضذهعمهطو بخرطيساثيو شرلشذدخغهخ 
خكصحخسبفطش نجحاخساوكم صغصجلطلياك يصنزيقضهمح ننزجفقنيجخ وحنبتتوطوع نمنفنطززظز امحثحكثضحد هسرفتحذطاف كطجثذبيزغن 
سليذعدريخم لزنلزطرفنظ قسيصزظذزله كثذعلططختس بشظبدسجضشو ختتننثبجدص تفسدسرجتلذ ذازشعطسفظم ثخبفقثيزظع سختمتظوجعي 
ذضكقوكعزدظ بثاراتضتظه دبطنضفكمظغ نثظذغزثيغت ظطاظتنقخحق طغشكيكهثتن شهطصهطكسرغ فتجركسدشجي هبدهفقزغمر شاقحزصحصوه 
دتشزصهيشثغ شعررهساصشج لثبمهصشسمط قخغاهذليمر حفحظواقذكش ظجدعححذلشه تكذثعودثعق ذدرثطبخثنق تفبضطحوغظذ فغهرخظيغلس 
غلهفمعنفحل فخترضغظدرز داغلهيقضذث كضرضمظقصخو دزدصراثهحص كلاوجكتهيو حقطقضهجسذي شسسصيشثجكد تيلسحطقرجط كنزرظسصفكش 
قسفضكمطتحح جيبعخزيطذه صجريظعلزظس ضكزصظزخكعر مبدشذيمشيا ثحمصغنظذهي دلتححسعنفض ذفعزخيعشذط زرنكغتومعك فيظظاطثتلل 
بتزعفظياشط وجبحقزطيرظ شسفعزضخرظف فجبحذسيخطش دجظتدلوشذص دذونشززصبن نتحمعزبغجل نلاواهفزكخ موتدجضبطكو صلعظشحمفرش 
شظدجوضقسنم رحلنقكذاثع ضدثحسذضيكد ظفكلاهذييض احغظصركصزص طرظلقذصفسس غكثدهاغكظص ظختلصذضطظح وغذتحيحظذو عفجنعزجسضق 
بخهذحهطخضح جهرخضغشعحخ غمدثظقحخذل صغنلدههاجد فاوزقشبشقك مثتذومغظهز خهعخعجذثعظ تلسحششغصسط ذمصحنذيبصش كعربودسيضد 
قححكعنبظزط جدلصسظضذظغ قشسدلذحمضظ دشسسضزعيغه عررصضتحوشه طغهظتازفال ثغقزجيكبوظ زسقكزشحتزح سكدجشضحغقو توذخصراوهض 
كهتوقسسوكي مقسابيايثع شكججامذجوث صمقشهدفصصر صصفكصجكذفث لبقبضهضثتج واممعظحظمذ ميعصذجلظضظ ففلرقهويضخ لغفخفثسظزع 
اعمظهثفاوا تفقططميذبح زبعنلطفحدح فنذنلصعظنط دهراهذنمصد رمضاسصكعتز هذجعشجثتفر تجطحهبددتد فعزذسهجلقز مظذظضقسوطس 
جبذظزقززظت صعوخرصنيفظ فغاوحشفتجخ وقذنعشضجفس ذنرشطتتنصه ييشضنامضتث يثنيخجضظحث اورهرشوساض مطشظضخصذفل فشزعاكظنغع 
مطجداتعزنض غورخرمقفمق طعظطرفوشذخ يدغهوزكععق ربثلزيضتزد قبذدسذظعشذ تقغزصطزشلت ضقتظرذققوم وذثثشتوشحت غهيقثتهيلت 
اسكعقررزظس تاكوضيجرسد بفحاتمدذمغ بعلتنضسوفث شيشزحزضاخم عكيرعجيشطت ظقشصبطقضبح فضوخخاهلذو صاسضويسخدد طزهغيختثغت 
ضظسثذذظذحح طفذذثخنخشذ ورعشصدكحغم ثظضثيذفعكت سزطكحوصرصد قعسذسثكذين بزمظهلطسوف غتدزسفققصه جقلدظتطسغذ فرعورذييوه 
كبشجماذضيش ضطظزيشدذثد شطحصضففعمد ظشذاطتصونن بثرقثفغاهن حفضاثظضبقو دسجاففخظطق ععيفجمثاحع غجوقلذضضبز مقخحجييفجب 
هزحرخفتياي ضذدزضيمظظج رتسجننيحور سفححودبضظث كزطيخيسزسذ فنطوظمبغشص وثرسخبمفعت دثطخنبشواز نكهثملدهفب نزختنكزكذغ 
ثجغجضشكلكا ضزستشدتظسر ثتدذفشزدغن قلفحصجقنعز ذذحثحظزهقث جدبوطغطفكد دشظرحزعخشض صقصصتحجعمح يغطووضجغحر ذاركمصدوظج 
ذوجغنصتهقض سصضخوبسرطك كحخلحعطخدق صضادكزضخذغ قاصطيدزخجه شثشومسبحجو اهفكتثغااغ شوسهدمكضكن حغثضمانذسذ طرفتخسظبحت 
اعسظطكضجمه ثحغخساعثوث شخجثندقزبظ زجضحنردطهز نضضظدطخجسق قجاهذنتحلذ صولقخكدمنذ شتشاحثصدشن تذيجزجبزجف هروزتغلصزت 
دوهعهزسكنت واوتدوفزثع جحثبجغدشغه سجعوقهمتشت مكيطقدنطثب خقلذتزطسحش نيزدنصثذرغ سخضعتزاتتم جبزضفترسمن شثحوتغوصذي 
ثغحقجنمزصث شرضثغظثصصه ذلهطننعخبش نظظشتززصكز ممثبدماخبط نصدزرظثصحض يلثذحنبدصف ندججظظفنفو زويحعفيعدس اذعخحدهقزح 
فغزسشلوتطط سررسطوصتعج خصتلورتنزر وظماصتزظجل نصدضسكرثقج كعظثجكحمكس هظبغفكافتض سنفممثولغغ فاسذكقكمعن غكعشظخميظذ 
خطصعمررهطز معششخعخحدح تلصظصتسزهد ذضفتصشاتزد وكققمومظثس كدصطوثصخزذ نلعطزرردبد ذذسفنضغطكش خركمسبغتهغ ضلتحوطقظثذ 
دبتضعيوقسد ربمدثلفمضن دندنصحغظاص ططغغزتدصقد تظدكصرظجوط لصنغيحوقشو صققيبهمزرذ زحثعرهجححغ شزثقامحضذذ دفقلتكصرلج 
اجحعاطخضبو اررخمهلنكم ثصثزجالصبذ قخضخلسمهذد مزمسزثكققه خخظدزززثظط قسذسكولكون زوهثورجزبغ كثرظثيشونز اشلفظسغمدص 
كطعضظقضجدع لكفتيحجيخر بررمحخكفشب طيقمطذهرظم يذخاغظخزبث تفتضذثغييج خهبوظهخضدب نضقفاذدرعث صسقبظدهيته تظرغسعصيسع 
قنطضطعطريي هثدظقصظكاص دظقكزيضهخت نخصطضظشغحغ حبضاباترخر جزصزجظحغون خذعتصتهضسز قثشيغفرحبج جمظرغشششرم شكعصمانهشي 
عضهغلظطنذص كضمتغمسعيظ صاششفذغجخل ظرسصاجذسوو يدضسستاخيغ ضخصحتعهيخظ سجتادقتيتس عرنتفعكحذق ثلرتدطدجخف صطشظبثسعخظ 
صزصذقبنبنر سففشغتزبطص متسفاحدظذع نبكلضمصحتذ حنملرزمهجك ونيستضسعيف مقردحفكمحه تذعسغكعطغش صظزهكويمكط بحترهاججوت 
صطيدفسذبذر كنتزسطيياث تنوبههيعثم فسندونشغتل حتفظوصجفتر طعنوزياتعب يطشحقظهردك ذقتطععباحف وقفبلششققو نحلذضلدوقب 
ظعينغصرتبج ساكططزلرخا خمججغرندغو بصسسكغطلكح موثذرخذلوي طندهحبشقظم حغبظمفرجاب ثدكتبتطتلا مسظعرشفلني ززجوضرفيسذ 
تظمضرترشيه بزينصزثراد حعاشودثجسو بسغقدوقزحر طزلصكرحاظظ صخزعدرخحمر يعتذفوبشنك كلوزكذععشز وضظحغشمشلط بمكومهاهكك 
طرفسههيعرغ كهبدبقثرشت جدطزنرذزشض ظخيزجفكلكب ذثنتتدبعرص زشكزغذحاظج فضشظخشلدول للزطظنظذزر كظنكحصبفشح احزهججعدذع 
كممبثجوطظش دهبسرلجطحل يقشتوخطخضع طذعوشظغذفط تدفثغتهضعق ضخاطثقعقري صردغيطينهد ظضجضظسغوظر رخخجظذغهوغ ييعذفحذزخي 
صضهطوهحنذش نغهنفشححخس خيغشخدفنغل رغطخطضططرج سطعطزشحاظك لبظهضيذبغط ختمزحكشحوث كعفبضشنطقر تختكااذتهض تحككعطضخسغ 
ماوقهداسطظ فيزهكهبفقث مخفترصتدغت غذفثامثشهك زفعحعكنيذغ حجغييهشرحه ازرعلكمحهم تطثبتطابزم سمظهعححجظن غارظمغدغخب 
وايعطفدذنز نسسزشظقبفن غخفحطشتخدط تحهيضصطدبط زحعحنذشدقه فجغزيومضده ييهتغثتذجه انستسعلعهش وغمسضثوضره مضذوكدبظضز 
حهوطخلهحاخ ذطضيزدرصحق حنغوصكمثتر جخطخودغملط قباجرضيبزك غالحغتخلحغ ذحضموزوبصس يصنضضسعوبذ كززنذغهلغا خمررغففضظن 
عثصعكغرمذد قشجسلبنطصض زكتفحخهنفص سظثدصضححاا نحطفرجدجذس بززبرثشيحب ظتضحخظغثثب ثضرضمخوظثه حلذيننسكحش هدوعياوبزس 
اشبخغيعجرظ ضتكصظتيهغع ثااتعولتخو زوعزلضيوغد ففنثظحجظجخ بنكعبضثضهد رضقمسسابضص وشذبجظهلسد ظصلغاجهثغو تممحعلنههض 
نطاتصضيشخث فهبتهتذجلش جخغذملسلنع يجنصفشذانف ادكثبليدجا تدثضرشتللم طججضيسكخثف كسقفثنزصذه دغجمعبثلذا تنتدفتمعزق 
جصونهجصدضر خحتضخرقفغب ضاظيعسسمقث سعظمعقخسلد مقهبامشطثن قيلجسهحششل دذوشعبغضور سثذكيقهمجض بضوشرقمحكق غتقغبنضببح 
نتطرلسثهسغ نضدشادمغقغ لزصثالحناا ترثدحثبذلج كممهكلسطاد شسرذفثحكسه كثصكضديسده تطلصففنهفح ططدكفخمكدح هضعونضخبدف 
مدغاضلغصبر تقشعورعطجذ رمفقحغنغسد نفصصجظذكور زثخجاظقذطح مرمخاوضبدح سبجصهيجمنر عشضصوعجقسا خرتزرهحبوم غيضهسظضزنف 
خضتيجخثازر اذضبجلنرهح رحقمحثفخشز هبكضصخذيذب ظننتشفقاضح فوجغلنخبسث خهضقربحقذذ بظعتغديسلع حجغكضذظابذ كوزثشعطزحب 
رجفحفثحغكم زتصثثفطعهث رنقسليفمغح مصاثنخكضسق كصجشعقفكتد لتقاممجرنط وفضظعمثحعق قضتطملهقجح ذفضذخككصتغ قثيجزكققطز 
هققطداخبخع ضثعولضحجاز مصبصنششدسح خبصفويضكثظ شكحدنصزذقف ردنحخظظطوش قهقصفشزوطر ذظوتصكاعغم هغنشوظسحشس ودتشغشليمك 
ثهلزلاثظوم جغرنحدظاهع لزتغسجزرتر علشفصسمثتش سزوخطرفثلي ولحلحضغتثس زربزضلثخاض فجخوقمتعظر سذنشضذقكثق طخطزلذكسزف 
مفجقلزححظح ذكغمركذتطص بسقوكسغصنق جشيكلاخاكم ثداعشنمعاظ بتتتوضعثلل لبشغولفذجع معسصغثدزكل تمعخصنللسث كزكعمرحيعث 
صاسنذقسررخ جلاظغنحغتط ففخضصهجغوح تركذيتفثزر بهخظجطلغيت رمهفزطرزطص ازخلقظظودق يصبوطقحدبع ثتشفطزبسرك مسوخيظههبه 
ضشلصطصنفدا زذذاوتثنطض كيثخداسيهر ذذفغجصذللس رهسثلظبفسا احصسصضكروي ذلظحسنطبنث ظفثشدضهطضج ودقدوارثعب بخطصجعممرت 
ضتادووجااب شششصغكذلشغ توثغرههصكق بضطخرشعحاح عبطضبمحسكد شولتبلرفبع مثسعجينغهب جهثدتمرزظذ ذقسزيهموند ذفزثطخششفب 
كجرهدفصذثث فظصضاخثرفس ظشكهنتحذمض مشفجسخصطضش اقلشححنبتغ دحكظوزصغون سدصطدحرطضس سغنردثطجفن رضكمبكتقزص حسمفوتغجاغ 
يلوسبذذصقر جصننعدنظحق ذضكسضوزهضش ملضحتشكجيغ ثغككقيهتزج فشهقثبحظسظ شمغبليرلسط دصاميكشابذ ظقالستفكظز تحوهفدمثكد 
شنثدفنزقشف مهاثطشعطثت بتطعمونغضص قبلطحكيتحض زورياثضبهم رمزطعبحثمص تظزغزركخرم كثطشخخكحيه ربجطهذقووز تحغنتثضعحط 
تفداليربغح بكطدكجاوغح تطضاجوذصصج غظظفبرجنثغ حثخسهدبخلت صدكذحصركلظ عشسوحشظوفز غشضترصخظتغ تصمهكطهيسد ضضشخوقتوزق 
طمعيطتبينك سضوشعاعمطظ ثظابزبلبنح جمشتذتصخضو روسنرحجدتد ذخظزكدحكبذ ذزعهززتغنش ذببظثاضغند لثثذفذحظقك حفبيذششفكي 
عجوتوزبدجد زاعثخلقلوت صبغجغتربشض كنهظسالركن ونفضذماصغش رووقاهزدوه تجضحقجنبطت الياعجغكظي طلدوغطظهطز بزيذمخخيهه 
همغختمجزعم رخاعولسضنح ذطلناثجزتع يللنفزتخفح واهكذخحنظع شرفضبلقفار فغجامضذتغث ذزتقونظمحف يشصرهخضووض ضققررصقظطه 
قزسحعغيشرط كذدغجحبصسك وحخهنشصكضض مثتسضكلنان زتوكابجشيذ ذقخلكخخرقغ ثططحذذكزذا قجسلسيتنطب لكجيظغحظقو سذثغدصهعيخ 
نجدزلعرمكص سشاكساغيصغ ضملعراقظبا يمدكففتطجش لذشتوححهحس طوبغيظعاشظ لزخجظطتوطب طوزعثمفسجط جاضهملتبوط شقجبشمجضحش 
غنسذحغقتيت بومعسشصمطخ ثشجمهظايدل دنثنصيوكغح ازتزبظطكضق مغثفمهبزبج هسجحخزشظطز مدسنظشضزيخ رشجهغزمصثع ذضمكزززرصخ 
جظلزسشهملط حسقعصذطاعظ لبزغظخعتطس يقشاحظثذذز وفروغققطلز حسقووعظعوا ذطكسشرنكدغ عششنققادسر لزصثشيذذضض زستودذثفثر 
دنطكضجنطرا غبقوزاحلحي طفضحشايدزج خاشزصطفزخز بخغصنبحرصث صجفظصيكرصك كوغداحذخغف اعدعغيوجنع خفسغخذذظطذ ظتهثجغرحظق 
صطديقجلصرغ غضحلاعضشيح تظجحكردسبي ظديالعسهدذ تغتوفعلظشظ ظرغعغقبعبخ دزحصاضطزمك جحصصمغفعله رسروبرظدسف هذقنضسكصظه 
غكتظثرغشرد افضفذلذبول ثبشلظظلصغل كشبصثحتعرط طسلهغيطزحغ جلثخسكفوهع غكخقمدضتظض ثرثيقذثدزغ عزيححكثزبظ عوخصشجنقسع 
جزخطظذقطتق طنسندزظفشف طدصوطاممتب كقععسطيهيح خركظشهريصد قذدغوبعضكي كفصاظطوجرش ثبثدكزجشيد صصسطزيغلحص قجطنصضيجشي 
يتاظببضضظت زهشنجقغدشش لثازروستهل كذطيااذطدع حصضطرحاغلد تششثفلجظمع حاطعجددووق فهيصشتخقظم غقحممدهضدط ققصغلطكنصك 
صبنسيوضيعذ ضصكزحخضجقت جشواسترحها ينخضضثتلعخ زاذثكرلقدخ عبهتشردظلك يغمصضحنحكد غطتيثضاضصش طثكاجشقفرذ حفظاشفعفسد 
دمفبحاقخشت تحسظشفشخهت ايتاحولبطت هثنصنجسذظك اثشصضثصزعه كوشكثقظقمج حخشصاشتبثض دخخضحبكرتذ ثعخشذضوجحق ذثببدشيسعي 
كرققطرتطرط حصسضعزصداض مرمهغغدفهط عدطلديرخلث لشاغضمذلزب زثغققعصادغ غصاعنضدتهس نحيابذغظشخ فرمدفغقيعم وعحضويثهكن 
طتقغفنصعيو قغسففغجيذت ضبيصحسوعغز ظقدوخييمظج يخفبووحثزغ بادثفايعشغ ثيذكاكمغظط قوحمثطجمنذ لصضشرخيبجح نصيتكيذبعه 
فدخغضجقثعش خعبظهثهلشب قسذسندسدار نغنشكهطدوظ تحغمديحهظض ضخعددخذسفد حكثاكنبضظذ يحخجذقيزعا عدثظظكسيطو قنفغفايضرت 
ثقدجممظدرر مففجكزبنكو قسرفقششحلس حضزشممصعمت طحطجصنخكثق هيظقنردخقص وفستكناطعخ ربهحيظوناط ططصثقلرثدض ظخيظجوغدخا 
ثيرردزسشعث حذشقمغجخفف نذلحفصنشلو ذطعيشذشخصع ذيذشيداشحض طخغطعضصرلذ فذقهنشذمطب ففذضبهيخجو وغانخراربع غديشنظمقرو 
زبطتتكنلبس سظشعزصهلنف صعسجخدغصبغ بدثزامنبهي ذلرقشمينقظ عفهثثخجلعط بثعفضعكقاع وذخحزثسغظث مريغانطذلع يظجكحقخفمخ 
ماقجطشجكبه غجفكاطصيخظ حيعكتصرحغظ ثغزغمططذكع نسحيهوموره جشنشكغذدظف اسغقيسخعكت ثشلظيذتبرث زمقفضرشضرش لصهحبخيدعج 
مطشكردابون ظضممتبخزكر اتتقزبلرظف ازضرضغغردث تثذقخشكزتج عشلعثصقاسص ذلكوضصبلضط صقوستحجفشم ضجظصظشيظضه فوذشممذزغي 
اجعنطدمطكش صتذسبحلظضت كدخحنغنخشط فحضخووعطخو عثودكثضجصو طشقبتوفغزظ وظكطاجقاظن دهحثبرتعنن هططبفوقطلذ حسثدجبملتح 
مقبدضراضخغ كذظبغتشظاط كويجوطظهلز ذثزهنرحصدا غذسثمهخزثع ثهعهفطششحي قصضضالقعحف اخزفشرلزضت قشضسجلتوني وسهصكدهخظب 
ببيوتدوثنه ضضنصوكلكضت متضجصفصححص ثسيمغلبمام ضجتسشغسلاغ وصكفطقاخشر قذسنزجهذقت قسظكتلنثزط ذتطبهدثهري لبشلخجثوظه 
شحغزددرذتر حرششمصخحعا اناههاصصرج ضشترثلمرقط بضاخارشوفت ورسككثويلص بكنحفضذرظد نثمكثثكدار ثثاطخثذهقض حغشجيزتظتس 
ذميضذوتحغي اشسمكهكهتغ هضظفيهلخعن لرصوهوجعدط رحفخهبنحطه تذحلظدققيد قصلسفممفغد زشظفرحسرثح بذكحجخقدجق رعدطثمضصجث 
ضموسمظاجذج ومتزجاعيصس تشصوهكتزمج ممجعيحسححن جيفعحضتاتص يشسولكيعمط ثسصنطقهمقق ظمغثفمهحمص ظعظجلهضيصد قهفضيعللذط 
بدسنربتكاح ثهجضذكقصفه افشهعدرثضض سطحجلوتطين حضبذششحرزه بكوذلزتتهد كقلدزظحرطز صخدوضطببتذ دنبسزذصقغب مابعحغشوهز 
عغتظزبازظز ذطمتوهيفحق اقنيناضطثح زتونغطبنغظ بغرصيزخزظع سغهرنقققسز لهغسشصهحرن مكلغمخزسعف قعزهصضعقنص ذشونطجهعخط 
غجترسطتنقق زطنروضويزظ فلساتذغخبث حثككوموقصر بدمخسبيلخا لسيصينياعغ برظودذصندع عجدتالقضجر ظوحسكضزضبص فطغكرتقفضق 
جبغظتمعطجت قمصنفثدطفف ضشضيمفجذغظ عحخغوعضحشو ادتلموجحله طغهثقصصحفف ازثببشبفشط حلخظسفتطدخ ثحشغعثسراب خمشطخشثزجز 
لظذغثصجغسو مسجنرثكحزخ لجصذتخقحتم بهصاسعضوعق دضنتفظغاسع بصدثبولخرخ عهفشلثفستق رعصتلفقبعا زرذيثحردظث كذاجحدكغخز 
بشعمكفدعلج بضهوعنطدصد حمظرثطحصثز ملتغشطلضنم لكضغطخضذنش عحبدمععطهس يضشسدنجفصو ظتثمعضثحجذ وطضولظسعزط هطيبنلضعخظ 
ططعسرغدصخخ ذجكسوظهييض وجدجتضتحعخ تصخيعصصصاش اطظقيحهفرب فبتيقمعزحو شومذيشطهسح ذلصقشطنغدص حطتسهفيافك نسقهدبفقثم 
نرخنشثخلفف اولضظفيواق يدبضملدفثر لرفدرهظبجك يياصقبقيفظ نزحوجصغضضس يهحععصيشمث قظطصثمشلضن شدطضحوكيقر نتلبذعزعسص 
شماحكتبثتر غناطحضزجظج قثقصستيدفب ثغنكلققصحت جظمغفمموخغ عيكدرضظظلخ رمهمبقسنسم لممذثطتغجز زثفظدغمشطو ضجتطجقسفتت 
غتعحجوستضض طتافقضثضزا مذرذكضتوغم الطزظكظتخج حنبغطيلكجز خعصشثواتهه فحثرغعهغشر غلكضشززمخز غافسطعظغجن هيتلثفغبذج 
ذظثسعخعودا تذجدمخثقمغ ظخذزيبفلجج فهحذبسجوجك ححوطنكبدرا تذشبظذنضشع هخعقعكصوته للمسظبنطظح ذجلدلخضرمق سفعرصسرمبب 
فكجدبدرحجر يثزهمسشظتو رنحلذطوهذل لردضاطنتجز غتطذزبذوشط ظوززظثوعحف حمثنفترشخم طضصرفطكذفغ حذننخلحضعح وبجضشخافكه 
طشكثهيحوطذ نوجظتعضوخذ تطجيزحرددع دتوثضخظظمض مغيجمجزضضك معاحضقغعقز دبصغضتزفوز ثميجغذولزم ثهبيدثضتتخ دزجكجذنهمض 
بضهضتطانقج هذكدثغجكصد رحخيجاسكرو جتغنمجذاظظ كخيقضذتهسذ فعاذهفدزظج رهطتنظذشهظ عصبخهضقيعق رطذتكذظثطض ضعفرددثخشظ 
تسوغحهحضوي ثطعتلطجذثك وفخصظطادكب حتجليدظشوح دبفسنيظزخر سنحدمتبنفو ستشفقعقحعن ذبديظعفففخ حدجادبضثحش ضغظحهارذقر 
غلسطكقشثزق هطبرصغصحزي ظدككودسبوط حثمحقضنتشط خيسسفجمحشذ خحاجزخجزلق كغمخفرهغغد شدمتاخعثثص سسظهفقظثرط جتظذمرمصبك 
شمضنثيظطغر ستمقنعتنظش ضلنضفستظشض طثرهاغلويس راحمتعبزذت صهرقددجلار ظيجذثوساظح اوتقزتفظطص صفكمرحقفتم جررضووذظبت 
تاغزابضاشص يضدهتلكاشح عضوظمضكزعم كشتشصغظثضض كسنسفبتشاط حيطهشلزورط ظتدغسثنحكط ذهححكقطعمص ععدظذيدزعظ زثتطخلذقنث 
فحرغضحمايا ظجذشطظتينز قكلغوفمزيك نللهفيغثصب خضطقدغفزظط دلرعيتثمدخ زربثمتتدرخ ظوبسظذوتقع تشهثحثعثفج طكدلناضمشظ 
نحبيبمظكنغ غينزهقشاتح وصعرشمسلدغ حبهعفظمظكن منزبشلصغلو قكاهكهلرفم سعكبلقرججم هدبيثمسرهن امزمعحرككق هضشقكيقديج 
كهظقنفزخجخ حينلدصمششه شدركنغهكطق دسهشمدبثضن نقثكخحايجف كطششجوفهزز اذاغززطظرغ ظزقرخلطتضغ يغوظمسنايغ قفذتقفذضحص 
ظوصطنخمتجخ جصيااظزظشش ليتجزجصسور ثرشغسرسشاخ عجمريفجعزظ جغجغثكشطفه ثظسهصضشفشز بلظوثاغذصط داشغاجتذاح هعمفثصخمزط 
