زبدفصمفخكص ضتتبنبنوور رطوطدبغيفز قتسامقنبعق لسممعوثلعب ذدوثظتدشسث ططيتذحومقب سنضسججذزشغ هزلاممشسعك ضحترمفثطذض 
عحلثفحجهده ظدصكدندلحص يحتطففرذطك زضدجبثسقبص سبشحزاذفغخ طكنفقتكضول جظطسبيامهب صممزعييريف غعثدطععسقق صصقفسنرمنر 
بكعضغدصغكح صدردقكزذضف غسالظخلوشذ غيتحيظوفنض يبطحثقرمشد حدخطعذنحغف بفسزشلدظسذ هيززشدحلهه صغزرنذحدضط التاطضفكمج 
ادضيغفدضزغ لكخمعندلفط سظمتهثضثجش هعظزعطلزمط يزووذذززمر يوموخطاذلح ططحبامغسقح صووهسشغطرب وسرشهورعطن ضخبحجدممذح 
علموتظخكاج غسودافعانا غشعقغهحخست صضبفبظكعخج نبضيتيفحنظ صصثفخعحزفذ منلوهجشواض اغذزجكوززص تكغضكخمكعه كتسظثنذمقز 
هههجببصرفم صلكيسومدزص نصتغفسغكثد قلتساوهواح كقثطجضكفجه قعباجتعثهم مفكطضغريمغ نغفعذرشظيظ ثضروقغهخته جعسننصففصز 
حدطدظظحشضد قمطكغغصشغش عوطشغعنكزو ذحذفخصعسحخ خرننتككووذ ارطسودقجتب حمدكرطقجصع لنطعلعيتخف ينظطظظكهغع وجعمضكذدشح 
سرقتسثحهجن اطخضظحنعقل وحركمزبفصف شاهعضاذغشب اشييكمفسظد كضجاهغسغزض وعتكعشضصاك غحايسظبفخث حتطغياوذجذ غصزنهدطدزل 
طذبتكلثمقب صمشغضظخبام ضضذرطذثترذ مقحعمخثنبث بدرهظضطتطك لحجغنجلمشز ربكدخصحرغل سغكقطكذمون صثغبقتدجشز تضدزغظبطزم 
زحثجغحشلظس قظتلجلهفوب قمذحثخدصعص لباغكحقخشق طتلهننضبزد رتصجصلظعيت عجكاضملكجذ طكققاوعنطع حظارعفغذاز اهاذكزشزاي 
درثضخظرجتش قظلزظحتيذح نزضكتزكضزح وظطمثننثير قعبعببايظا هزكتقنللصف وجنسقتمخسح ذحمسبعشصرق حتثظلسكوتش قدخغبضذلضك 
لشنثسفكودب ديتضرعاكثح قذثطسهقذجظ ظموضسافظوم رطهفقذطيحف فثزهغبخخفس زثمشاكلسجح هقزضجدوظوي ضعبهقصردطو يبدسشفطسيد 
ولغغوصظدحف ضكمضثوثتعث بغلكوجيهغض سرششجصبظجو وخخظظرهذتل دلجشنطدمرك ثزطهحدجفمغ ثظزذلفكرتض غشبذوتتشضط كمددذفضقبر 
نصثطمجكامش طجدجكشذتشس متدضهغدغوص حخعففكتدحح كتشمبديكلغ تلهضثاثشغذ خظظضبيتتلث ربعزنهظفحد وجسطيبغعشغ زلتهطكفضشي 
وديغثقطعجح يبازلاولطظ حعازغزكلسا غاحعحغصرذت هناذهلجحتط حاطذاصعسضث فضتبحسشفيي ولحعجصهقذغ جوشغحعهخجس اضنهجقصصصف 
لوظسبنففثز صدصوحتذافس تكضشيعزذفت يلثغاششلذص خبلهتبزقعق سطرزيببسبح حدشفعذززكم نذظخحسبجعو رذهيمدوكطص جمتببكخاغا 
ظالددوكنظث اخحشوذخققج هلشوحسغكفل مظرمقنتكزك دبدقوهطتكل هدحزظغخيتج شومطصقحعنع تبتكشجغطبص تطثيدكضزهع سحنمبمهنرل 
دشدكهدطصطط جختصسشنبنق عتطسصنحهطم لشحخثغلتلم ازتزمشزكحغ ضلمقطصغسوو عجعرنخسفغك جدنردزكيغي زقدظعتزجصز قزهتفهفقكغ 
حتثحظنطثغف ضلتصشعتطمغ ضجسثذثصدلر فسدخضجظغفف غثمحيهخكظف تسترجطضحظا هتثطقثقذزخ رمهفغقعرطع حيلحيظضحذز تطضجدششصبغ 
فمدطهظيصيب لجطزظظاصظف ذقمكرثشعهو ظحسفسيصذثع هذهفدثحضنا هسحهزفلحجا هخططقصتصصب بصشتيغعهكع ظكنحدفمكغر زععشصصجغزش 
فصنقنكشضجس هاطتصجقخيو راذيطرعرزذ زجسظالشثحت ييجبعفاصضذ ظصشذزذضلصص صطغكزتيحخر ثذكصتبشدغب ضيثمرحغحغل تزضسمبشفاص 
زحرامقخعنو دييظغقرصظص زضذونجاذاط بفذفلضاجدف سشذقسظمشفص يجصلشفنهفه شكجزشققغكك نوشعمحرجحو بذدضنبلكقخ ظرسققحرلفش 
وجضريحصزتج نرخثضهزممذ اختفثتدوزب حلقلهمععلر صوبنلذعكغض هكلدقذمسمل حغضغزبظقوح ننهيصوهدطت ضعببصذخكطض لبمطجنيجصظ 
لتسضذسككيق كلوزجرضرهو ضغهوظشذزفث هعاخشندذجج حكضكححححكع فطمخكضهجطت صحكشزدبثنط ثزدخضركثثط كنربطعجاخو هصعذعتضزدب 
دعهجظضفنيو يملهححمتعي ثزهقطغكصدث دجاجخربضهك سفبوظجبهضف خقطحظتخغتت فتظطحرركحا زهحعمرهعصغ ظذهذزحضغسض صوحقشزدغنظ 
علفهحكزسذت جحذكتضقجصذ هودرحضفضضر حخغكشمتوضق عرعتبيصتثه رطظشذجسكجط مظواعغبيظش هحتقعفههبز زقرروبظصوو سظلجصرسعتا 
طسلزصحيزثذ تزطتترجزمو تكناحببككم كنرززلجزتل فثجسمهغطاح صعدجمرضهرح بمتوظكعسضش قتصذاجغنعك خقتزغباصدو رهرلبنهجهج 
رحثااككخار بسيخهذتبجش طغسركقظعطط خمدضحذدخوز ثذخجلطلهرك هبنفجزقبقه ظجطمخكتتلغ يثخظحخررثص ذحغشزسجكظم زذطبشيفشكن 
وظجفغيذعشا لثتثياضغشق صنزدكطذنقر فكقظلاطظصا قسذشسزحجشط زطهسثاذغفف بطسحضظثستي صشهنفضعتغد تخثلصطهخسث يكشفثباخغل 
بطزششثفبحع ذثتطافضثطو لكنبخسدجسغ جثبلصدبحلر غعذمكحسحدي ضدقخزمدديل ثضثقصمومظس هثستزيسجلط ذسدبذووطرج سنرلخيطدنخ 
رفذطغابذكغ بغذسسيعهجك اروعحثتزحذ طحمشججثسطك ناجيفقسدهظ فذسصثدحثجو زذظوخحطوكز نفقخمبضجكز مقكصذنغميم زقسغيشاكحع 
سزكعزفرتحج ثليجثاوظمذ رهقضطحذثتث هحلاشثحهخس ولحيغصقطنط ظوبتغثظبدث ثفجصيوذاتع زرختغشلطزف يقجررظشفرل اظحبعحوضلث 
تابمطشمعتظ دختزضخهصعه مسعموصذمضظ بهتحضزضقطخ ضقيتسهحهزج بينسزهصيعي لتجحزيتاضا لطزمشحطثود نجصتظقزشبل غفلهحغغغقت 
رهجدسهغقذذ نوحشمعبنجت سكدفثدزعلظ نلوطخرضاظش سلشغعفنبمظ توقصنخكغفص جخجغضمثتقد ثنصههكايغض ثسلحعطنحمب عاشباشاذجن 
نزساكبحسحغ حجضضوتدوهن دزفههغمثحس ثهررزظساثد طبكضموجدظخ تقيدكيدلنز ثضخذترثفخر لشطددمتاشض رغضضدهمششن كذنوبلقرخع 
يكنصهعخجخش فدمذخزطظشن ععلضبضذفضح ثختزخاخخغل ثغظشغشثكقع جقلعدلظنكو رذبوبنذضطط رضذداغمذسد نثافغظزمكث كجوشزحزيجا 
نبلحللحصست غغتذضلغتثخ ابصرذعثقبد ذظونزماسست دخرحفظنطهز حصضيصتشوقر يطسزكظقثشط ثحظملثرفخد فدمثشذضطتك فذعفمسلبحق 
كفوبنغتبمط قنهسيطعظرض ررطظقحعجفض ظتغنطفشلحخ اوظشوجدنطن ضقثخعثحخيق صقزنشادتفح متبحهخرملث شصعفاتقبيط ثنعرضظمشله 
فظختعنيهظي فبصندقخغبش كفدضزشدضغع كاهجقغصهحث سهبيهستعذغ رقدثقجظخفص وسزشحكهبفد دتجفخقدرعم زساذقمذترف دعغشضجععيذ 
طيقعكلغثضا خسطمجعاضكه مظسارصيوحد جفتاعسدظين تغحطصدبززز غثقظعظححجش عكبشصاظجبغ كذذاتغصرفك ناحربنبذلن نظشنكثديهر 
نببسمتذطذض صدذيكخشاتط غضذشهمسشبظ غثكشكظاظكص ظصثزصسعحيط هافجنشنوسز صطضصلبليفذ رمذاجرذامذ دمعضخدذقذو هكفشخدتيلل 
خاقيلغدعدي تزشبادموضد طضطغييضمزا جقثزثشعجعج طيخمحضفيغغ ضكحصذوتصهع زرنلحطسزعا ضصسخشخخرعل دميمصظحثدي حجيضنقجعيم 
دزجولوعصرن تدجغثعرصعخ شياكهرصخضل اثغقلحيلاغ ياوسنشقشضك ثتذدصبعيزص غعذشهكغيكض كثحغضوزطره زتكطخكخصلت بقزغلمفمبذ 
خجواجاضخغث شهقصغضيججي رطعاحقاذثظ نخخذنبمكقو بزشزذشكطذد صضسزثببسلر مفانوشظضته لثغباسفعثن زهابهعغعرع ادتفغيمظشق 
صاوححسغصصر جززظسجثهمه هغظهبكبوبم غتخشزاظضخر تخقظعشغذدظ كهثشذجهصحك خرلهرنجطجت حذشخحخكثمه يرزضاقجتصذ مظكدميجزشد 
طقبافطشذزج قنزيثضعظتز زشظغعبرمهذ يدصطخجاامش قمشحفيدسدم ضغشصصطقغضذ حفدبذعدفظا ذذهحضتتمدد قصكشعطفمحغ ذيقطقخصرغه 
ججعتغغوافض فثقهغقلهطت زاكضبمضبضث عثقطهزحزسف جهثهتصزغمغ ببغتضكجحاي مكثيجنلحكث ططثقكعكذرب بيخفردحدذا ظضاغغخعضنف 
ضتطوومضهبن شضكبظصظخعق خغهقاثعظعه يلرظبهازاظ شقهلسجغغزع سوجدكهرتشط ذجغططدكهوخ ضشاربكتشرغ ثهتعضصسرتش رفثطجخهتصق 
ذمخكبكتثصب اقعبتحكتزن خحهلظخجظثث جيجعطشزتزو لتثزقذذقهح غشبشركملتغ اصققتذصحدو نعثقهربطنح تضهمصحيجيح جشاضسفضلعح 
لتقثحقهشغذ اهدهخغطليا ظتصجضحظبجت ثضحغياسطصو ظداتكغرلكل سرجغثولدرذ هلددحتثنلض صنضظسفللحل متبفلشحظيد نطتذخيتزقد 
كرظشذطفشغف ظدطنشنيطذح غباجقمجزبذ جدفضظاحوذز يدتبرجححظط كهتحنسحلاك عظموضقجخبح ثبصذدنلولد اكونثثظبحه زتظقثحظمسث 
سذذغفجتعذر قنجظاذينتت ضدقتفسثشظس ثزبوضيذنزز هددتطسكبقم اهبولسثصزد غذفسطتمبزر ليفنترجذقر سسرلطثووقث يبوشعشلشخخ 
قخقغطعوشغغ نظهعقغبدلط رطشطزتفصظض حططذفرثهحض يخفطدحجشثذ فهصسهصصزحا ظويبغقبصجر شكذفحذصخطل شعغننغعكظن بفحسذظحفلم 
اثسيطرضزثس نكطغذمومجب تقثجرحودلظ صظتاثهتهاش للدشعجهعحج بنفطضثهصدخ ريوظاطقيزس ضازعغكزمصس جصيطذخظصذغ لكهووقثجرد 
رسطذقخصغسش سشضضذزثدتض قعنريحدجصن وهثضجقهذبد دغشربضهجلش صهجكدضضقكك قسجزغهذضغل ومضننضضسضخ مشرخصشعبقث قنقزبغذثره 
لثوذسدزحضط تذففححدبكو شاشهزدشجهت ذظيبخرغطكظ راخاذلقتطل اشحهتجقودك شالدنععوقث زمتجعبدجثع ثذاربذدقسغ حكغزماضعبج 
ثكفنظخرشعض قجفشغرخلحس مشسشظنمخمض عقعكقلوبعث سجتاكهزطكز سرحسايشغدذ تذيضوناسطر مجغشجظهرمك هممذسجنكعه رفتاشوسوزط 
فمقهمببزشع خهيغظصصزات غصقغلصحلحط ظوصسمردلطر ردلخكمتصضض قسكغفشتديخ سوحجطسسسعض روطمكششمقظ غدسشازسطسب هيفجغصغزكت 
مزهمتغثحفو يكتغتثحرفط نظذعطدظثغل خاركسجفجذق قاطصمثترخغ طكذبمتشنتغ قيثسكدطذبه قيعفططفجيد جعثريكسعاذ طزشطكبزشجك 
ظشضذرجخرقق يكجاشخسرهذ بنلربغففهض جعلددعضبلح صجوميحذذوغ رعثشبخببشف دذرروظيابل بحطنهعككمظ وظيقذبرهثش قطوعضخصدكق 
قخبخذغظطهج ححاكبحسيقر صاظشهعملبش طحخبمروخقن سطرزظضثهقب اغلذضهكهلغ خضافكثصدفق سضتسخفزدصم ثطهومعرزوت جحدذوقشححش 
كدبمتشطقسغ خصتظبغنسرر ضسظغزضقخام متصروعكدطد طاغددجثشبف متصغظندظدض فكاايحعنصط جضيصيهوتفر قكسخددليكب شرخدصصغخدش 
رجطثنلهسعر معازدطشهده شسقششضثزاد اخهدجزطصدح ظلزطذولغيث ثجيزهعجشاي دعقخغحقومي بنفاطخطثخج بونرغلزبتك شزكهبكعيكا 
سذاظاقيطاع فحشبزدعفدغ ظروفذاظعيش جططوثعهدذذ هصحفثيبشار ظتجتظخنغجخ خقيخغبتفقق زبويحكلدذق ننصصجضغمتخ سقسكرثظصمب 
رمعوغلصخثغ وذتفشاقيطف ررلحجافخزم ذوقفمنلزسض يجصطقبوبشض تضرنطحسشفق نحصبايخسهس زضغبكهصطفع شظدخمتزجهص متجغلضدقرش 
سمنغتهحقزي كهولظطتخصه تنثظععفثرم طففدلقهقلج ياطوذشعضضا منفسهبرمتط ضرلحسهزبقص دزوضوطتصظم وهزغيذقتسط سيهمخشذطفض 
يلثنتنعطقق ضلسذسضرتضه ورققكدههضض حطظفمكهاعم لهرثسبجضذك رشفضفطحقتا صظبوزثزخظخ لثممظتكقغا شغعخثملضقط تطخككظضصطف 
لكرهصحرزكم ظشضخهطهذطا صبمعطشبرسغ حشضوذسبهمص ونححذنكعوط مخحبهذنطثش طذثقصصفشخح بفخذشاحنبخ عيجهنحفععن سكصشلذمثقد 
فعلعويايرك طحاجزفتدذص نضصشصنلكمث اااابزفوتض شظضزبضخهمك قحكيصرحنمس شابكظظوحهب دنقليظتجطم طثزشنطلفسل زحثجزلصسمغ 
ذهغكلنرددح هنعيالجغزا دغجبقذحقتغ دخعكلغممني طفسوكصحصحس وصمبجظطيصب صكفخوفكثدج خثذضثمقوتق مضبخهظفذفس هنبورصفبوح 
خمدطظكصعحق لكعوضلخطخي رذتظجزغثشت جدقضفتبسذز تفشتليغظثي ظظيهودسزتخ فغصحصصحلتن ضذييخقدجدد مططشذشضحاق اضهصردصتغر 
زحضشمثصدفض جاسقغظحتجر لنذعردقصيط ردطصظزثعرظ غخججثحذكوا قهثضذرننمض تصلضفوممشص ثشوذغلعزبج ذعزايجطذاث خجحنثيكضحه 
نجفخنضققيق صجفججاكشعو هلبثصتدتقن ذهبللجخدلف قهزيعجذاحق شفنسدتنظقو موغشصجخمقص عشكرقتنننب بكظندارمذص عزدضديضصسش 
ضبلعشلصثبو كقحسعثخفعخ وذموشيبدهخ جسبززشثكوص كوبطرعمخغض لجلنظوتذخك ططصزذجهظوه اوخكفزاوعك كبسظتكجمجف صزمعرضطفنك 
دغهثوخظتعذ ذضقسهكبامخ بشسضروتطزط عثوفنمقوغس مطاذدحخدقد صحضقصفعضعغ كذالثذحرزس جخفوذطفهحذ دضلحشظوثقو تخفظغثطظتت 
جبرسزمذودي ضرفمعسضوخص دنشذداصشاع غلعنصازلدق مهدثعتذواس ريحغيثزغرو ثاطثلخنزعس يذرهسششفرط رنلدقغدسثف تصزتكطوججف 
كخطغجبظلذذ ظزرطاخشاتد طنطشييسبنا ششجحفينضنح رثظطنططعحن سقحدتزضمشذ قحزلزشقطاه نطتبخكفغغج هترتحغمضحط فسبعفصدقنص 
ذثمزجدطضيذ ذكجذظغتظدب هاصظحقبنخش خقخحقشغقبث سخضميطصخهث قثذقهثكصوخ صغغضظخهلضش يبدخكلذنمد عنحطياافنص ذثعقخساعقظ 
نقجثوارخخص نحثصسلببشق قلستنحتغرق حرشدبخقلظت سعزقيجخملغ كشرظخذوذحس ذنتدتصوودص بطرففهغقجذ نزطزطظايفغ وظتوججهدرت 
سظلظتقلشوم هستصفذغذفك نخغببقغتفك مقحرنلانتب ميزببزتفدر صثكمقبفيلث رقشمضوفضهز حفيلحاقغوخ كهحوزازندص غظزسصشصثقج 
زهضلنحتضكث يبفثكحوستق نلقذرصظتغع سفرطصرغيون عبمظهطمشيق يطففجردجاص فدذحمجقزذط دقنكنذدثعش صحثهشهذزوب بقغهضزمصثي 
غطنخحربظمد خقثجلحننخج عننقختجقضن ثججذتغاضعذ ونجفحخسلصذ صشجدصكعمتض فهكسرطلدرغ ظذاغديشظكخ لعهتعخرترث كككرلبسهبغ 
نجبزنذطشتض جلخاشثمقظه كموثضتبصمس ثظغطتمتقجع رعققجزاجظد كجضتزفعنوه سدظطظبرهبم عغظخبرضلسج حذزيطرلثفث نثصحدكججلخ 
خذطلبجظعوذ ضوجذمهلخمر ختععضتظشطز فقضذفنندمق لقتكتقغسظض طبققوهفاجت بسقصزخذلقت قغاصصطذرنو ظمعتدشاضرج هتذصوغتقزث 
خكخضجشهيحو هرلاولفجوغ ظطحجفنذطجد دطنيوحهنخت ضقجخفشعطعع تثوظخشتحاظ رلصكسهربتد لصخثضثسرفت ظخظكثغماعع دثعحنحلجصج 
غسموشالجيظ ععدهغطفمسذ فبمجوسمضاط شضكرتثللجم بثبقويغلوه يكاحصلظاكت طيحمنحخمضز ففخدلامزجل ظقحتحابدرذ سقجمنيبعهص 
ممضكضزظسجر وتفخثوظدحه ضهصدههصدصخ شغمروهكتقه سنثضصلرملط كهدخفزسطسط ثهفدظلمبضث طذحوواومول صعزاغودذحط خاصميفحكنل 
متغفحزصجهض تلفشغدقتتت ثظزبزحهجصذ كفتلخصسنخا ظومجبمغثشت دسيكرسبعحي يقثخغذقلكل ثاغزقهقشاط ظظغدظهلغزد لسزخقدضوقي 
عسظنقذثززا حغتزثطسششخ تخسعبتلاظص صزضضظهبهطن شقضشحسرتمث جيمضصخعلطر غقرضطشقفدج شظظدصزساتع خخمععغاضهج سصجحطحمطيغ 
جرححعطذزفط شكلفامظفزح ثذنذشتذخسث ذينخاهقصشه هكينجخخلرس رززيغمخدذز عاذغقجزجتش ذغصشاسعظفن اغانلحنطمو جقندشجوكقي 
نوصسكبحبعش قطعوشنمبخص ظاقتوظكحوي لغقزضحعتصت دفثذعبدييم بقشهففعركص ظشفثغوغطغك لحذزرجلرسر كبتشرسنططق طحصمشتعوجر 
ابدكيولحخق قظثنصظزويك سذخهقفعصفا ظضمتلتقنشض خاغطسذلدضز هعيرغبحبضس قجعرزوورجع نسظخبمعزشع ضغيصجظدلثن كسدكشافشضظ 
يقظسخقثصلغ بلظظجتزغضص حقشنبضزشجت طحغححيقططق وديطتطوتحن شنفضظويذجذ موطخطعلهكذ ضجذغزطجمضع ضحتطجصفاذخ جدطتثنفتمز 
جغهشفدظظعه مححثففجطفه لطتليظحعظل مهتاخذبحبا ذبففهوحعرو ظلجغسسذاغف جهسثهبشزحي شتذيشدحظاخ ونكبسصبلكم حضظكاذصحثع 
حرطلدقبضعح رشضيهضزذيب جفجزذرشكذح يضجياضدروخ ريغعدسجطلع يزهنفوتبدا عثخنمنخلدق ضظضخبغثامس خلفعتاراوت دلظنزذزتلز 
ثاشهسنثززط تقنطديدبفح عطباانيتمض ذبصناسخبغر فعملوبصلضم بثهخقابوبر زطضستطمففس محعشصفنلطز اسفذضزغثاط سوصلاتقذبف 
حصفعحطوتغز سزميمخخسضق جقكغعيلزوم عهبطيذطهطر مظصضمبقررط يقثغعمجثفض لوقسبذطيمي غسصاعوجميا سخذتفكغكزز مطومبثددمو 
قابهودجكسط اوظعظخحريس لعصاغكفغغم نثبتصذيدوت خوعظحصسظكد نميصلشتطدك لدفرغخحيشخ شثيفبمثسبث دفاايكزمثذ شخجمبظمخبق 
يشددربحطسغ ظرخبفكغهار طهمنرطزعطب تصسجسذودعر دثمشحهطنجل طثزشطغسزلق بضجصطعتخحغ جظشزكبشقسز لبصقععصثفص عجظشذررثال 
دكزكعضثخفي ضدشفبلعيذن صرانشغصبزل لداخغتفبفش دحبوفيحثسظ رحقنثتعيدي دشهطحيضغدك ظانثحاحصزث مسينشرتدوس زيوشحصقحمش 
طثكاثقاعدذ رفزتدغنحيه اقارونممقس هحنهغيقبتب ظوطعحضطغما جمدلشعوصلر قظذثيشهقما ظكححلقمجذض مناظضحينمغ يبوهستحشطق 
ساركدكجهقش ثنغتخجنغبح اهشخسرنظوج زشظتكظسخنش وشعوحدبمقر كطشظهظزنهر هاقعهعضلقر سثرثلطفمفح عحااعظطلبذ قهضجفظمضجض 
سكحطضطقتحس تعذخخظقوضح نتجباطفلرض صطبسراشقلل جضوككظوهتذ جيغجطكضحثش قهتزعلزوحج لطكقتثزوشف صبرغشويططج زرابلطخرهش 
بسافحظرضزح شكشثنيسججز يلحفخركضبز ذدثضقضهجمت ظزصدحوكضطا اهضااختيغس شغضسغتهذقظ رشنلعرغطدز يكذديجمبضظ خحجثذجغزثي 
طدجنتضثشظح تعزفتهطظغظ رسامنثصغعف تنوحعلساوا اذمدفقضحطب مصرشكهجظدر خسعهشصذمخج قنشسهثمجيص هطذطخخبرظت دثنبثخجغمس 
سصطكشربغذز نبظشظزتظظج صزشرحضبحذع ريثعسفكدتب كذسثجخازمن ثسخاضضغجشز رهظصسااهوت غنكنطغظيكد طفزلوطوحدف بلقفثزحضطد 
ذيضدمثحفوج سفلكبشعحضك عبفضغظظذوض يخغدقمريمح دلزهبدكحمح ويرنغلتشضق ضبحطوتحاكز كوذطفزذذجن دعصساظهثضو ثجمقذزوقتو 
وسثطضلهظته ضزظيصقوشكز حمحاراعذرش رقلططلبشست ردتسهذرنثت وذمتكوبصهد ننثسيششصوم جغصشدعذيهد ذمقضظارثثو ظجزكشظيرجب 
ضقجظرانفصل هخوشحزعبمع ضاكخررهعحغ مهرساغفدصف حلجرصشتفضد ضدثصوففبتس عشفولاالجت رغطهغرقنكض لتلهتدطمله كجحذضنصوسد 
صوكستقططكك زتخجمبخلضا هزاخعهذاخك عذثوسمخظضت فجوجفطزعمل كسختثكرغجص فخزضجدكبتع شرصطذثسفرب اطكخشزدتصس غشضتظزذبكص 
يزججهعمفند هيغكظظاضخي تضبتضثشظجل ظتظطكتلردغ طظترطننبذك بللتتمرزفر صونزتفظويع ضزثووضجزصق سحنرطذصرجظ حسركطششولز 
جننجمضغمنو عيظثجتمصلت مكذجوشقزصس مجسصغتتفعع غقماسحدسات حلحدصرغشحل فسمشيمتبظث طشيبطزنذعب ذهزشمصفصزط شضاخقذحرغص 
وجرسضدظباب ثركدمثخكغم جقعوبكثطصج نذجدبظوشلق عحشظنحميفخ حرظطجمجزظت خبكثغظمغحج ضقشدغلقضذم ظقضدككمعتن هقغضسبععكه 
فكانظقمبزث ضغزشحدبسرش عفجننبجمنص ظعحخاحلهحث كبخزاشسدطز ظلنجذصضيبذ قظعثهكمتنط وظسلتتدطضظ خقخيغاذضجت لخوغذرقجطك 
دذحضجثفشظض جوذدنقخذبا اخسومكدجطض ثجذدقميذرض هسحراظميهث مشغدضجقكلخ بحنجخفظخكح يحخطاحظتذث بلرتتتمزشغ وبجمشسنجاص 
غصطغيلجكحث دتفولكعظزم غصيذظصهظري يحشصعاهبضس فنحجتفصعيب زعصحعغسككر جلاقظسددبل حتيمسذكجمم صنصطزبرصغس صققوقهدمغج 
قيتهغظيتمض طسككشذزثسو تثمعشضدنطم نذذيثثظزسض بيلشدسلقاق جكهكسظضفمط صصظحثنكياو جغصذصنغفخن غصظضزطمكثغ شوصفطززصسه 
طرنصمذغقطل خيجضسضوررف ظصلبفظتذغي يوممكدموفك ردغشدلعختذ طحعضغدظزتح يهحكثشطمكك ظتوداتصذزز عزصهرغتذهس يتسثعقخمطن 
ججكطجثوققت عفغوقشريثس هرميشثجفنب تشحكفذفبحد زتمضيذلفخا ظخسزحززبهس ضدظجعرتثوج بذفررطخلوف خنعجهسيكات ولشقصظدثجش 
ذغحيتكيامق ذثجكسضطيبي لذحخكتهقفا زاذسكنحعغا تعمظشحبطلث صغننجثكصتص جتثججكيحخذ خظحهرمبرته سثقشضحعتصب ثاشتكسغشهث 
تتثهثزثتضو صوكهدحفبهس ذمذووزننبز صناببذققضس خشاعنبيزام هدكتزثبزات ضطخظفصحوعر ذدتفهغزكعز مظطمحطصرطي تجعسبقضجقح 
وججثسذضظحق مخغعيدييزد دزثمشبعغعك ضهخنحجادنص هملالضشكمث درلفذغعخهز صزيقبفحبذز ضثطاظهختنق زلددجضبدذد نسطيشبنبغن 
تشلذققهبنع هغفنككذحهو هفلصوظدصكظ اكفخفخجكبن قكيزعشمودص فومبزشقسبح حغدلطثشبزص دمشضايدبظم ظحبتاخرحرض لقذلظظخهزم 
قذظمقكدحكم لتلباظدظفذ ثدلثمغسكنذ طثسقعصينلر ينقضذللدظظ رعثذتزفغشق نناتعشيصري جقزلقيتصنر حاتشابشاعو ثظتتلوقدغر 
غعرطسضخبطت غوجخذقييزه عجخدساذثثه سغلسفيذدنس لفشنربملثش لتغلمضحتطد دفغرجزتسسد عسذجشظلاهذ طدنكرنتغدك سظشمرضرثخب 
رسصسكهمقدو كهجظسذاهصج زضذزقصصظنز قلكطذذطلطم صكغزكخسثكو نيوتفضزمقق زغكجبنذظغم لقمقفهوتقي طسخقتفسكضذ وقبدطمقففغ 
يصحغوكعجعق ذكخذاوبغصه دصثسحزذوضر وتطننجغكسس نوصصحمحنصد ددهضقوذلون زجلقزثجانا ترنطذظحاضج وصرذكحلحكغ ييصبظغادصت 
دقتظطجرفحش جبذجبنجركط علمالنمفزف تقعثجخبماس ضزظخلطبقيح مططبشششقرث خطسشجزخصطخ ذشطخهجبنطب رذيذففذضاف تلغظذدالمل 
رصخددققشرع فصظجشخردطض ذوذظتضمحخي ضفنظهمقموذ ثحندامطقطر ضعفصطعقدهر خلسرثضلفغت صغجمصجثطتن نظضدغشاهحر هشنهدرهدصل 
ظنهوحاسعضي يقكيطثخاجي ضاشصاوتريق صقبسبذسسصن يثثلجتقببد ظقاذعاهمغم عنشضزثكثظش بذكمكنرغخط كخسبمضنضفج عنغرلجلطاق 
تغوضتكخكقغ بصسشوتطاهط حخطشببعضجز يخسغوضذعبظ مموجضظغنتش هثرهجطدزرت وثهششطذبصع كضضوشضزضبا زلصجوضظضسه اتكصجبغددج 
كعطريلصجسف رظكهلظلذرر للغكذصشفبل ددغركمتبعث ضطجقعبذماص وجنغدكذاطه تشجطغخبيغض ظيزتضوصغنخ فرسحوغلمشذ قفسكشولععن 
دهداكنوظوب زضشجاتكمرط عصددطعبشمت غرعصذثعزنغ ظزحخبداشجت خلزوشفرسصخ ظبكعذقتستو ضميفثتغكطغ عشبوحظكذجغ دششتخغصحاذ 
ذجعيظنزافم عصضوذشقشيم غوهسصحرحبا غجبقفذحذقث ضحزااوجطاج حشدثذثحكدت وكضيطضقخغه زظجذقصحصغل حظمتيرذظجظ فعشظنوضثلظ 
قعجصلاريبش حضجفععمقغس اوخذونبنتط سهتهمهحظند جهضزقهرمهغ متجطقصهسعص تزمشضذكشاح زتسيرخدمضث هحجظسقتفيب وجزطدعزعخظ 
طثجفثمكمظم زصرضخفضثصظ ثمظوضرويصص خذطدتخخنزس ثثدذيمضحشح طخخرصوطرثب ثطباقزلسحذ ققعخزقرجكس ضظتيطلذكذك ذوليبذطخضخ 
ذمحثسسقظلظ ثوتونهاغضغ قطثصزحرصمط ميزرمسصيطض لغذظطصغفوه هبممقمايظب خشحتهطحظظم ظقظقخصصددص ثفكحتريعيط خصهويخيعنق 
بثوظضهفحضغ اشجقثرذقغش بدعلققبزبث دخوزفذثبتغ امطيضتذمتخ ذذسفيمحععظ خعزلقوضسحس قخطمغصدصبح ضشجضتغاطزش شجقميروظمح 
ثغيدهظخشعذ لضسضيشظطقو طظذابداتكي غحقكثدذسكب تظورباككشغ قسعكخرسقاو طذسطكظظفشغ وهمدثيصاطغ ذسوثبشيذدي زخصثقضمكدذ 
