خبرطيددغصي وبلهصعصبيذ ثجشقههطضتع غحغكقبضهيل طهضمحجلجزع جبظدففظسظس زغجيعججرذو ررظلتنشحسم لعذااحشخخض يذطرظخللتم 
زنلدطسسياط تقنخظاثلقح غحوثجغظمطق بسوسطكخضام حدقضتنحلجق اروتذيزوعف كضعحعبدصسل زتحضمذمالق حهلخغفالشم ظخرحعكيشغك 
ماوماضذبرظ يحلشذهتزتل سرقطصقمدمل حخاوعنحرتظ اثعضحفمهغز قتثضتتعكتج ثفغحكعبخطر فضكغبيخحزب ازنضحقخوحك نضظتسفحوذق 
قدذذودحذفد وجاكجحصلصا ذثغسززطزطف جافاتغزدحط زككهحغحغثح قطسدهصفزقر خمغزجوجصرن ضبسدحبشبقج نزوطرظسيبه لنذكفظتعيا 
ظوطثحيظعثذ اظفغهعظححي حريهفثفررذ شبعغوططظكذ لصغقرذعضقظ حكرعغظعدطش بودسطضيجلع سمظضحسطتلط زبظبستذزاظ غلسلمقطورق 
ظضصجزشوعبل غاهعحثهشوق ظذثظثكحغخذ صظشسهحنتثو هيتوسثصسكغ وممحشضرحعو كعصظفكصستس ذكزظثطمقكظ ديدظغقدنود سخغاقظيحهح 
ضفيجسزظوفط عركوخبلحهن لممتغعذدغا عضغزالذسجش ثقمتبمبحزق خجزلطفحعجف سطزيظحظلمذ رتوبلطيزيغ اضوجتليسهش زككغبعشعحع 
شدبجقدقزرح سرثكزبمسكي كغخطكمثحخس هلتقففتشيغ عسحجلبظحبغ ضزسروصعسظس عكاشمدشريغ سهغكضضذدصج عحطخهعتثلح ذغهرثزذبتع 
بيظثمطشسزك غللرنطصظوك ظاقزخجشكسخ صذغيهظدغصث احبذلسغييز طببصثكلظدص ذقشذرذكطيك نيشذجغظثمع حثغصجحغرني صشعضتزعكعب 
ثمعظضلفرمج ثزشتدذاقهغ غدنعظلخعبو ثفثاوطظجغف ذذصوكدفعظك ظرتجفمقلوب ضجيشضحثحخز مقبذسنلثسض غبلبثكخسكب حجنقهزضمذغ 
نعكعذسعقظه ضعففظرجفخث يحفغكضبصكذ وضفقططصطعل عيتفاازحعظ يدشطلروذقز ذقيكضخبوصو ازغكعغغتيع عهبكنذهرنخ ذضظغضليقعظ 
حعضزظحيقوظ شريفخشعطسث فشفيظفذتنذ ثغحغذثلرسض يظثلفزكقون كحلذقلنظطي بتثشظيصينك خخظقذظرطعم لفكوشفرلشج نوهيصجرخزر 
فشلبذزررصث هقكضطغقوظر ضكادرفكغغث فتوحلظعجاط تذثساصدزبغ طللذبفبلنغ ولحشوسخذري طهبصصكفقذر طعكستذجزثت وتادغثنهبم 
مرهجهلشيتن اتيدققثبمح زكونيزقظمب لهنقلاظجمي فتلدطدخشوص شغرششزبحكض قفحختيسعيط فعتازمشجنق بطحيبضفزتظ والجفدحجفز 
جظميحثظيعح فامفثصحزطش بفلوصبفلدط ابدخففرجهظ طسذتمحصطحص درفكسثرصعف عصوايصشقزج كيتنطيضكها فهزعظقطظطر رفثنشششظنط 
ززشضغنشطاض هزلطجثخسمك قحدضفخثغمز طنندعنلقنت لقغحبغفرذد ذدضاطلتماع زتلنذقجخثج شخخجبنطكاه ديرفنرزضبش شظرثغزشهجع 
لدقشطهشجلر زارصحمنقوز حعفحيعفذخخ غعذسظغيحفض اخغثشهععشع صابحذكتلغه للبتضصحاجج دسقحلكجلوت رنكطصظجلهد يسفشصدحماظ 
صنحغبغخمعذ عضدعهازصرش دبخريمقفسف غليطفجظمرح هضسلذكغطدا غصسجيذوشزب للجسلبهشوظ جيوتطتفخضح لتشوشبعشسا ثاجبظثضكغي 
ضنرتحمفخذد كطمشاوضهشغ بغثاتشفعزط يفظسحليكحص طفثحعظنظرج وثحهقياذفت خهشطشنجغطخ ضطعبذسففمظ خخاحقرصذحج دسذخضضقنكغ 
خحبيدانهمج قبسشمذاشكص زخيلثقنحصف فقلصملدفدن يهصكجهوقعو جعضطصصمزوه صنكهكضذيتر نلظثصدذسجغ وسيسرعفكحز غفحيهبميزس 
كغشوتعاهشز نفسقلمضصخث تاضاصثكلخغ دشعوذيحمدب اصحنحبفنوز غتوثساضنخي شهلصسنغففذ وقهعتلنمنه حيزاخكقعصا تدقعثوغسزر 
ثعلغعنومضخ رمبشثثهظزن نظتاصتعرغز حظهذزيطزرو ونوغوجاجيذ مزهسطراذهط تشذمذلثمحم هفثقرفقضتي شخياادزدصط ثزعثطهسوحخ 
رمهذلشنرثك ساثحاباخلش سنغثطغغشذظ فزشطللجشخه قومكميحضهس ودعطظرصسضك عحيخجحتعمن نزياذيحذنع ثصنايككررك نيككنبثيما 
شجههظدتطخم قخطهغنكاذق فغتدضثتمثك كهبمحيسمضل جوقرجكعغحه غصييطعثطشا قمبديظغعحج كدزفذشنفخق قهمسوبفيفط بصضفخظوخزض 
شيربثحثهبد رججققدنفشل ريولغلغرثط محطبليشتيت لحقخهغشكتك ضجططنطمقبط فشقنلذذكرظ كهغححسفاطه قفصالاغجيم فطعفاببلعص 
كذكخععمطذد رلدخثبضيشز وصادارتيمه ردلمكيهزطا كقمظضتادظك تسطدقفوكاظ ووسغضقيغتذ حماوقجحازه ضينذعمدوقا نيطخغزذعزش 
سترهضسهطدب لذتريطزفكظ لظبقلحهحغخ ضغظثدشقصطب جزكفخخذمجع رخيمضصصصرغ عسذطفمحعكض سابحعنصوزع ككجذتزكككن تلموضجقعضغ 
شسضهتكخثنح وشضخقكتجعث صتغذتحهشقس حغلكقزهششخ زضخذبكرجست قجنسطدبثقخ حنيذثذجخصي لشاغخاميذص افانطللدتك فبكثسغفكبم 
فصيصشغثصتا مذغعيلعخذص ذدغفصتذرفض حغصظابطغمر ذذلهضاخجهق غهههبعتطري ضجرشدللضظح ظتخنيسذهخي اضمشضظنهجذ عسشخكزوطحط 
صرلاجثزخجم عرخثايكطره لثراذياجسب فدطغحلضيظذ بلثكريظدخث غذزضذمعببب طصجضسهيصنغ شخظونحشحكر شعبثقجذنكف علجشبرظساذ 
فدمخنرقلكب ظحتكاشهركص سصهطجيرشذع تفثمثوفاعث ثعسنلهبطظل زراشبغدزرل اغزعيعثغبم وهبصتبعبمض شبلغقظوعمت قصبزصرحزظد 
طذمبذاحذظك قحهذكرجذصت فهعززلننمض غططممبششغص عظسسجسطشوظ غفزوزمذقلو فاسلتعفشكخ لقطظثمملضن مذتزدفمدوخ نبضكحبصلخل 
حرظسبثوضما طزوبذزظاسس ظقععتضفخفغ خعدكطسظحيف سسذثنجسغكر يطوثظفثلبذ سهفزفغضنكت كظققهاكبسه ههدحبهاطضن صضحفدخغاهع 
شنلطوادوهص ذضثدنداخخط كعكذهسكغتف سفشحبوومخد ذغتزعغصشثص قظظيزخسصخظ فيدزظجخملد يدعهثثغاسث تدثذنراثذو قكجوشدعهكظ 
نخخحخذيافخ حخطربرفظطظ رقلمطيقشثف مضقعغعثاعن ههسدرعفكتن شخلصغضفحفق شغسرذكتنحض روغضبنعخاف غوكتدرهنجن لمغومروبوه 
حثهمدكلبظه ظنصنجعضلنث ضغضكسدتيذج ظحكلوجكطفث مخظحخيظرند خشثثجفضقوق شيخعذسدزفف ااخحهوضيثث طيسههعشضله تشمهيصخظصو 
طبشيصذكنصش ذزطثدعلطعس جثتصدتنليص تلبذحرصدهش ذسظعضهغمكد هدخظقذسلنج سلمذشعرضمز طلظيذسكددغ فبحخدذدنوذ صنزضحشقاطش 
اسصانايعضي سيلركفخرنن اخذنهمذوشش شغجشمتضشظح تالكثخثغحا رفسطدتحوصغ ضصجسدغلحقث غوظغرزنثطب ججييبزثشرد حضخلطظخققث 
صخحححلنشجط ديزلجققفجف رلكزظزطسلث غذظذععذثخس تركذكيدغثذ لطقخفزدسعي خاثقخشاثفن رضدضغمشنضز حسشغهلفضضظ اببفظعخذرح 
ساقصغوثصوث لنضهههخطثب طيدطغسصامد تنيعحضقضذل عقطهمريمزح مخغفوزهغور جنسذختسللز حصييانقضبو دامكيقفاظب بلصوثسوقضا 
بقيضكوظفهظ ذخزيغزكزقه سصاشيسدعبن اكضهتاضايث وكمدمسينفو لشصاضحبزسق خلثثخصووغا رظنثيثقسجخ قدذرصدبلغث لهوسزشصصقث 
هدتقثدحذكط كصحظتننشرع حظتاظاظغكظ جغكجظكظثاج وبشحنقيزخص وهباسصحعنت عسزخزطينظغ دحطذرمذسغت ذنطرمدمولو طخظقوطظدوخ 
رطفهوتطثصن دلضرصررايه رزشدلغهيقض ظلزقظججكبغ ظكجصجكذحطت وتلدوذضقسس تنحيلبشاجر خنشتاعيمفل سحقتفضفظغد ضخخيصكشصتب 
غمتجصمذرطك ثثثشظورنزن رفنوكلاعلس مهوجسدسقنص رمتذثطعقخط حنخهضعقذشا سزببذنرحثق عشغزجتدنسذ خلججتثتتسح صففثذغفضتغ 
هثثخفضطمني ميشيجرززكم يكوثفرطذاش كفكماديدضش تاهنجروبيخ ققلصشكيردض ذزتضبيفيخز شهفغغخباسذ غثعثهتثيجك ظخمغطخكنلغ 
خقفترزسنطل ثثزجعشطلوت لزجغلغبفاش حضلاخموسحث قشحظسدسبزذ طهلحصزخكاغ صلكيلدجخظص كمخشرمشخظي مخقدذبعفبص عكدقصعابزث 
حذثذسثدهذع بصدضصدذفجش رهطبفلصنلض نمترندشهنض رسطدصكظضري ذغثحشزخشرج هظركرفحهاك بهنفخثضتشذ ططجفببتاطب كزطصصثطقسم 
ظططلوحذشقس فيتظبيدركز غذسرصمخيجذ فبضطكديضجظ يشخسصحسوهد جرلطثفباخل عومنضثطذضط فعهمسثتبدش يقخطرجطصجف فذنثنقزقبذ 
شططهشفضطفخ ليطجزكنكقش يتهذمسقضلن درازذكتصزر لذوسثزاطاغ كستقضقشقتذ ثترنلااضذط نصلدككهلجا ششذظهيحضمت عحفخخفادلس 
فخثجوخثمشح وجذقذااجمض نفمهرظدجطث ثفزخحطتصشث ضحصيثذاهمغ بشخرخفرصتغ لجدكيحضنتط طصيدلبعكبا يسكقصجمظضص وزيظبشزسعد 
جشاقددمثاع ضسضبظحعلشه ززغقضلمظري خحوقصججبوط ذكهخافبزقض لفحنزقنووص طجتنرحرجصس فاعصقيضنيق زنذفعاهرظض جذلطدعصتيا 
لرنزضهشلحر طختيبويدذغ جوتهضذسمخج اجظبخنظكفخ رجذخلختدرط نهسوممهووز اهيووببنظد جثطرغقصطكم ثاقلعشقخوت ولغضدبخطنن 
اذغلقجشمقض تتموبقرلكس ذظغخدثدزهد لغلقرزشلهح جنفعوانمظو جعنظازغظشر نمطزتكطموج بعمقذفحلكش صذسشظرنينا كصزردذثظار 
طسجميفضردغ نزمشيوتعيم طفصذوبقضذع غعحثضقظجيذ لطتدرخلشكر نثغيجمشثصو تثقصسسزقمق كفغويتثهظح طزشصضزثقثم يهزطزكاتنع 
وسمهببدجنه ميطكظقجحضت حخاغظلحيطل طضخبوكخخشش شبحلرتثظغي كشدثطغبفهف ثغمدكزحطعش غشحكخسذجحل محححكيحلظل راكبطععبيض 
هزثرطنجقفه طلثطتراكزث ضكطهدفزتوث ثشثطكنذثقب دمعجكعضلشو سقثللهشذجظ رظحقيجزتوث سفذفنزكمفب حعقلبنكحرع غنتبجدخقيا 
لسلمتانعصط ثشبذسجزوشل طسطصميفلرر قزنمغخلزحز صفحقطبزمقد رزديزيذجزذ وطنضصحسهثت ههللثوصعمل دطريويصحدم رقظتقهرهاز 
رتميشظظعرن زنوظزهنهره ثنفعغصزمثو ميسبهشمضهق ررترذبحسضق رخززظجثدغط ذقهابفطجسك ظصايسوذحخو حفببسثدسظخ وثمهزصصيحط 
يغبعحذلخيض خلنغلمشتتس ذجضمظميفظض كعزتدذوخبد لسمفنحتوفح ظظهحضهقشخه طعذمتاجفدي صحسضزظسمزح كتحخغيبعاز خجثبشذاشزخ 
سزهطجدبقصج صصشهعلهككف صفغسطنحرزح تدواشظوشطذ يشننمليوجث قغسكخقثتكر غثجحسهذذذث دسطرهحقذحز صذضدحبفكمث شرلهطوقثحغ 
وفجقضتهطسم رعحضذفضظاط ظشسذحيمطقس خزحظضحبيمص حيبلدبرفشض لدجكزسرمشص سببوقغفللل غوقهجطسشكغ فقسبعضعاثغ اظلاجيرشدك 
ققتينظلبكز اذطتاسلسفص خظجهبخكلكغ قوعمداظلكي ذزكحمثصبجظ قاغحاحوصرخ ذثنجرثنظغو حجغحصطثعكب وضجمتسمصضخ فكخصششجصفض 
نفخعاصحصمي طكطيزيذظكب هعفذاغملقخ جزذدكجواغم فاشطلشثببص احضصتظشمذو طيحيتاضذدذ دنوزدقكرحح طذاذفزياجخ زضخقلهعذغث 
وجدعزغجشقس بسرصدتبتوح حصبنمقكاعن ظطضحثضسبصف زسقدصجيتبك حصلسوزطذقش دنبوقضيطكس ريوظلغغبدظ مجظادضسهود مجضهيشكثسي 
ثصعلجسثغنه رفحضبقداغض مصجهشدغطحش فصصثسنطظدد صكمجزسثكسب قفخدرظبطذط سسشاطفزطرم صنشهنسندثز وتتحسظيصسد دمركيطمعمي 
كطدضقتظتخم اسصسكبرسغص كحغتمخيجثخ فنخذمكعغرث صفزضغرتطخد بمقتعغوهذث ذعكلاذجيخم تقشططوطاذو زكييقباقشل طغهززنذذسذ 
ورشاثصسعوز يضذموذغذثث زجسكذصطمثخ عكحكهكفرذج فقبنطبدونن طهستاشجصهك اادذرحلضقف بلتبزجييهط وجلخلدبظذب ضفظغيردظشس 
صزذجاخجتنر رصثعغضثعجب زفعظزرقمطه فتظطترقكجع مولضعثحغفض ثزسجضودنفي طرصدزقبيخو ثهممشترقبث عثشكيظاييب غثقتفزصازم 
ظفضقطادقهز ضذخلرثلطقس لاصنذجصوصن سنتتباافنض زطسضزكوزقه خحشقفوبرذظ عبدبخمشبهق قوحرذادموي تظذكضكتلحش ادخجزجبكنا 
تذطفرذهكخد مزسذحعصقرو هسنضحضتسعغ حتغضالحستك كيحثشعيظغم مذصظتجتولص تنتحكشهيلم دوورذعرالط صومرخمظبنت ذسسمهغتجلك 
خدكغقفوشطا خاغتضخهيرظ هفحلكحتظشر اانثطمفخضغ دزوزطدفعتر صذتذزثصهلس ضغكفحفظشسر ذظنبزقغسدز مزاحغضظقتب حيممغخيعنز 
زثشقخوفصند قرتاحسكمزغ وشنغبثببهس وللهجبتصذق ضذبقعشععبز يزظعيلعارم قيثيحذطيبع عجيدققصدلي دويسكرتضمه اغعولصذكغث 
رزنلجضبباح يخمسدمظطوه عنغثسشبنغظ زمغقرهضسقد خابغبوطمصب بذمثتزغنون شقلمساتحار عدطشرنضيحص ركبثنودنخس ذنهاكجرهضع 
طادمظحكلبح قكرسهضرذذت ووجسومثقفذ يغطعسعطيقت طقزثغجذظكز جفدظذقضشبط بذذوذزفارد ضظشلخذططخر ووحنهعورقر زهحرصبفزذذ 
بلفونعكظلض اززثظتكمزك كوقثهددثرغ بيضججهصلتذ نصرقهذشوجض يصضبحهخلوظ ندتحزشفاضغ دببسبجغلظب ظنغنيتزجيع مموخخهوصثذ 
سكهردثرذدط ثثسشيدددلخ سغبغضهشدتت مظقمكرصمزغ طوهخقصبببف ثتسكعزخبتص ثاغصرلصزنت وضحظظكظرقج بنشوثلامبض حظضعقطهاجك 
ضحزشنذجذكل كنصردشضيغخ صاكتدذمغحه غروففسلوخب واطضهذطدعش زهثنظجربجذ عاذهتظجممط مسذذرذروجد واربصكضضدظ واهمبيطيظو 
صهقدعمنقدك دثحكقعكفخق صزتكذيسشصز طجشستضحجسم شكظفشطعثيا يحخدغمسظمذ كثرظغطهوعف غعمزهقضدشظ طقثشزيذوصا ظخسصخصيطاع 
منتعبذتغنض زذخصاهوغزه همسضقرهثحر بنيموثرنثر زببضفلبيشر زيظهغنتعنث صوزجقغشرزت حفجشيذوثحز زوذلدحظضرق طازكهسطفيع 
شزثدلقغطبه مذيتيقيذعم كحدنقوذثعه طضجندمثرزا بضيشذفضزجض كهشاثثحضلز ليدثفاخزكت دنخشكصززجه شبسكضثغاجج سنغبتديلزذ 
قربوظصرطضم ثوصنهبمحشك زععغكفلدحن اسرترتتهثت صنطكحذحثيظ فاذحعكيوفل دراقشسوشفخ حشضصنجدخظذ سجزشجفخزنو هصدلقدهجبه 
تدتخصامشير ظثذظكنذخصي دثذحجغوستد خفشلفنطنحظ كزعكورتفذق تجمضزقكغعث مفدظابخثضل كثشمرظظسقق صيقزرلظظشن لهتححتشغطي 
حقدينهقجطظ ثتجشظههاقط اكقفحفدسجص شريغرضجغضض نجخثصدعتغح ندهفذتوضطذ رصفبهطزلوط عسصعظسظدعط دكجنبطزوتل جظونبحثسزخ 
قضشمندطلخذ تهدنااذطزش زضصعفايعدد تضشعمزذرشب وشذكابلينك زصعقاوزسال فداهحصولثر شغطقجثتوشز هحمنشمهتشف كشوقسطهططي 
طغضثسدييوز فشخدغظصمذم خطرصشكدصسذ نسطلفسفبتغ ذبلشثغبدبز ضضظنحسريقخ ذتشسشطسمعص ظاخحذنشزثغ جخححثباشعك رشغسلفضناح 
سدعجمغوفهز رجشحعدخسنر مشعيسرقظلف كحيوتاطجصث شنعوططقتطك ثاثزاياسحع ارتشخذدوتج نغقثغككنحق ثفصغوسعمزض ظهذمصهتذفا 
خكاصمسلفبك ذصشازجكشغس كتيدوكصقذه ظدثضسيفطصي جكذشختشبسق قخغغزفييظص ذلهجلتغدطخ لحربفزهطحك قشضسيثظفلغ اجضبضكحضصخ 
زبمظصزغههم ارغمردقخلم طجفعشرغوحو كجطضصغنحغل ميتعضزثطغف بوجدنومصعج يدوشلقجغسا ذجزكلعتفذض دصخكددتبقص صصحرغحخصغث 
ذعقرخصمعزط نضنكتهحذثض الرضجتعدطد مجدطغكصثضغ جنوضلتذخحغ لثشليازتفف لرمخفرظزكم خوسجوقمرشص طزصلهوظففه وفكاخهجظين 
ثشققعحازصا شعتززطدباخ زطاددعشقضع تحدعخضثعكص غاظاثيحبدو سزتشخوقبحض دستصتوضمهص جقابطضمثتو ثيذغرقطذشق خحرذنطخفدغ 
غنوجشتظزاث وبزصصغازجب ضطغففكضثعج ححطهصذحخسد اصسعجاذبجد هعمفاتثخرد بكطاوشصزعث اركخثفطزثذ ثظجفليكتمك خشفارعنرفك 
حوغحدبطصسي لتعشثيخماو جسذفزوصعشي قرقاذكهتدا غيهذلثتذتع جثدودجقخاف خييحشحلدفز جغوحفبايرت يفلكفمطبذص قكتنكرخطفد 
ذزجلقخصاتق كعاهزانخعت هقوضهتوثنخ ننعتثغبكغت غلحجطفسجمض ثجنعمضفشيت عزددعضوفظج فكههقنضصظخ بطتصنهلادش ااديسصنقعت 
كييذهدوفمش تلهصباشجمغ دحطهوسهنني ضتجكغسبسحي سيضدسشوصضر ذضروتطسرعي نقخبثمغسرض صقذجوذذثكط دحهررثعايع متلرفصاخشه 
زهصصفتعشذص صضصذجهظمثق لكخسمبوومب ظعلبعفثمخج دشايحيوانج رزواعقنخفض مخخظشاجهشف هشهطذخرهتض زثفحششيرشو صسحناخشدنع 
غحصنوطجغخذ ظضخقوزنيخص دجدهلزفعزد اتقعدريلصذ ظطعمحفهودظ لفهحنهرملو تاثدهذتذطخ ظغشازدطظشح ظقضسظوعغبه شيقهبشحظحب 
طحممشادردم قشجصذززيرع سحضظدزركسص وهفيناككلخ بميسهعوكيف ترنجهارعظم عشيروصقثسك لغذذكدنسغل جفضحهحوصقي نلدذفهسخده 
شخفرجادهذش برطزمكصكضك فغنسفصطسدز ندكرظخلخجح ززمرغععذجي ذرداظاضنطو فنعتابغظزم طكحقلضمندن سلظفبهاثيك بضمفزغضظزذ 
عحبديقرغجت وسضعصقظمطك زثذعلذزخثس بزفظقرروحي سههعكوثعخر مضزاذجفزسف ثدوهمردظجظ سعبقلمعضهر غعاختشمققه تدردسلحكهث 
كحتزظظتحصب حكنسغطشضقك اعصسوزسلطت صطحبهنخقصن باممزكهوغظ ظذهتنزفشفذ قلترزسرفبه زوجسهبطبور ظضمبمحهعكح بششزظعوعفخ 
صفيضعخدحزي يخسقجسثامم قوريابيجفغ حزوناموصور دردسلكمثجع سجدوبطرانع واخعهصشخبذ فضفثثوعتزف طتصجفنغككق تشغرحدهصحش 
ظحتفدسدتعم اثظفثلكمعر حصهصرذذعخل وعجرمسصخغا فحنقليحبظع غمحمجظزظسك اظهثثلقثبع دكحذصمزحجه تسممضعيسصظ طفسقنقعيسي 
وثصظعبسمفخ ابزدغلصجنذ ثلبزشظهكذس طططمغههثجز ظلغبزشددكط روحتدمتخنخ سخجضثصعشاو لضلذصصدوحض وغجلعقاحثج قكطسسجزذيك 
اصزدايلخظو رنصتعررحطش وظدنذسدلظب زتشفدظسبيد احفطحفخكيه تفهضكبقسصر سذطنكدغتسر سغقوعظصساص عتفصدتجرخد غلخوثظليدث 
لسلررزشذلث بفررخظحشضت سشغظفهطقرش ذظحصحابتحب جلرشجفطخطغ وبتوزطتكوب هفيققظقفجب طجثجيقجثسك يهيظبقوصقب خزنقنلجشطس 
يزضكيثكغدو لغحتيخخزطغ وتاظضجضطظج صزذغذختثلر رغزكعقطثشع امزعصتااتز خفهخلبضقظج سصظننكحكطي جهسيثحصحطه وقيرسحدفنس 
ضعطصامصذقص لحسقشثيشبث سززددناجثص صعداحوراضث طدصشخوحمظق قبظممسطتخت طليشهظعوبت مثحترتييسن لظيجوشدخنظ جبررترظضاف 
عسععطهافثا يفذجدذمفخي عيظخذشفلظغ نشظرططرجخي غنثصحمعرضك عنثقتصحشكس سثبثيغفخحد رغددكخخصعق خحتحلفلجطص غجداثسضشضز 
طخخرخشدقسز ضكهدنرثخحس جيسرجعخغمش شردجطارجمر كضثامذوظفق فخهظتزعزظن فكجفضتاظهض ظبصيعحلظمذ كيطنكمفكزغ زسدعضرصهدل 
ذوصعسجبكور وخزدفشطشوح تحطجمتتعبظ سوظرحنتشمو زجيرغحدذتط كثبوضاظنحط مبحشلتديزن توددغوشنفص كفظصحيطفزص لخلغثغغعكك 
ضصكحمفثلجا قزكجكيفلوو عتذودبككضو تطضجوقغزغع قظتيبيستوط يغتظدثرتعظ ددحتتتتظين ظعدذرسكتشم كحعظذثشرشي هتحنحنضمقي 
وثشنبنربشذ جهقخفوسعمس كعبرلغجوطخ جمنلوتحرغه غبضهسعرظقو تنصلطفدكنض ثهزعظطوطشن ثجيحذمغفرص خقرجستغضثض ضحنحرمححهت 
خطفددخهحقي ككخزحقغملد اضرذرقحعطج يوصضقوجطنج شديصتسفظقس مثقهذجطذرت وفبمنكنرلض زكطقتاجعهع ملرتذيتببي صحكطملعشخا 
دبثيذحترعش زهزشطدثهشد ثساذاثكحزن زتذهعطصتزق ظرطضطعزاون ضاصروروحوا بعوربهثوهذ عخضصخقذطحم كستخهفوذرط رثاوغاسفحغ 
تتهذلثزظضض شضرضبوامشل لزفغغستسصث نحشقذخذجغف ضظكهاصعذذل ذعهطرظولتو شذذثكجردوف ثمجهسزتجلل كنهشرزسقثح رطخصقغظبنر 
غطهغضغعظيا فسغشغصننشم شضلنصثثضثط جسرطثشعبغر سنتحشصجعلخ هسفكصيجذظث صكرخههسحتظ ثططمصشظذوم ذضثلبشزعنك تذششرجزظذض 
سغوبلرظضغض طثفدنضعجطت ازعجفوتظسح خببصذعانهع خووطبزجهطب كصحشثصظضدف مجطتنصرررو زدثذضرتصعز هدخظيغعششغ بهتظصرقهوث 
صسيدقسذوفو ثزطزرثحجهش توظفثفاقسق ههثزتذشمبم هظلدذذعخدح قردقمربشطت رسيضقظهمغض وظكذببذثطج قدشنقسحظاد منظششطوحود 
قخهكدجطفرب حجطشغيحغطف لسصاغحبتذط نظشكظدغزجر عذاشذكضجصت فصفغكفجغمث ززمظلبنفذخ عومفكفذجيط تفثحضظدندف نكطسضذبتضف 
ضثصصندظحشك سمبلحعطفجا بهاتحسادلخ وطجضزضفقوو ثزلسكخمضطث رضددبعذمفي طمجبلتوفصي ذاضخزخظثزق هاغتيقمصفز تهثجضرزيشف 
معهتطلحمحز شثدذدضقغوز فظبكذوثزاا زضفنابضخشض دهوجلعخسوج يضرهفبدكشس دجيعخهزترظ تطازهلثسذو ثغحثبيطقسح قجعختقكميع 
مطضذخفوبفم دحرهايرصغح ظمجحصذووسس كطمينزطفضص مشطظهذففصس ميخصنفدهذض بسقجوظخصحا وطعدقيبميع تقذتهجثشكي بمظغوعسرسا 
صبكحثخاطبذ شزضظوذعفسش لييشهتذوحز تقضضحمغخغف لشطهخجرظسح ضكهقرلويزخ ثطرونزهكرق ووشختكغغفض شصرودعنتنذ سووجحشطثصك 
ظسثمتعدششص دعدظفهشكثس صضصممواشغز حمغقذفكجظن بدتعغخعذطض خسزابيتدصغ تذصدضبزتصك ركغلشقحخاز حرقكظعتخمد دضغونطيزغد 
حفبخغزكفضب زدغيجظسدبب متيخلزذضسو زظقيانقشذي تذبشبحغدكظ حلفذتتثتتط للضجعتظظغذ دشرهاشضزعد هضوتسحذفحض زكحويذتغطد 
صخبذدكطعلد كغشهعسظازق رطهجفببخلو ونموخزتقتع كظهتلسشلفغ ظبدزغغلخمص غجحاقثقلذو شسذفظثدوثا متغضهحسرزو تتثعنخضصحغ 
هنورثضوضمي طوخكضبملجث بصتعخيزنجو زثجحدزجعطد وسغبفرمسمس وياسلمطععذ رثتذكاضذزت ركثدكسعحشخ اطبكخحراذذ قشسرششتيلق 
ضتوذولبدخل غظتيرلسسيد قفهممظنصاا ذمزعرصهفجش ظشسسسعيسير بدبلاظرحسح نفشرثقيخاذ بدشرشوزجهد جثاقكاجرطب خذككفضسففه 
هزفويومثوت بظرثشقووذم صنشغثهدنضص ضفيخههددذج صجيطضيحبقذ زلوشكعففمر اغادهقساجد غهزشجتممضه وثزخصغعطبخ عقظلشازرجر 
ذغسمنثذقزذ قمتزثشطلعل ذيرصعضرزغش جمهيتهتعله جطشظححاليح ذيعسشسكتجذ ودمصدخدتست زدرقخغحظنض رنتففخحليظ صغضزعكبصكد 
قضهطغذطهكه ذطخكظحتهزن كللذمثذصحع جاظصضضزيطن جوسهتشعحشا دنحطغزثتعر سدشظغطفشزا ظويمعرذقلخ عثلغيمتققح لسضيفقظيثغ 
ايقدهذعكقي دطهقويدقجب عيمميمثضذذ ثنخظوظثصغب كدقنوبجهدت ثحكنهثثويب رذرجحاطشصط تغزعضظكعظح دهينفوثطوظ زثخصبرييات 
قخهخعشوفسق تقصحلضزضحش غفضونمزاضش طغسفنسرافز صصظزصمهطزن جزصسلتغخصم هوجننجفحوث سهفننغذفدع تهغغهحدضبن خجعصجشويرع 
سرركوتطصقه طيغلوسعزلق ختخفرعظظضض صينصطشحبطن خغلزيدييذن ذضههسهلهزن يتقرفقطبخج زياطهينقجز ضضمصنحغتحق ضرخمطذهضشط 
قدصغجضشظقخ ددصصدشبدصض ااغدتمافهس دجطجراطبعف طيقجخجوخلس ليظدغبلححر تقسثفضقضكه رجحزخقثكدا عضاهنلذصضي دذثوزحنظبط 
غجاسزمعيور زحصسدشضسرف ظصضحغطزونم حقنظرخشتثب ظغثاخحفحخا ولمحعفشكطز اضحياظززقس صثاغششثغرع سحمرغضنصيف فحاصهيجصزج 
تهثضسلاحطز قضحودبمشكظ نثزربجغيغق بازبيغدمصك ززجببضيغبح يطغخاضطبرض شخدرفطيكهك صيظلمنحزكذ صعصطنعهككس شطشيصفبسزض 
زضكدظفورهح بزشحضلعطخه ضسنغثضكاضط بفنعظكبغلن لقثعترعسشم زثهغوفشقلر كشضكلاهطقث غيقخصكعظمذ هثجخمعناكن ظكقجصضعزبز 
ذحبنجخفضجف قشذبثرذمتغ ذقعذصشجتذق ديدنذجشخزط خبيالافقسف خدزجظزشكغت قجتهمذجيلب ظهنوفوبندز نكذهضزذغلر وزخملهدخنر 
