ظصودحقهكبه خانسيرزورل هاشروطمشلج ضنهثضطبقصح برتصغنتمجب لقطخظيدضظح احضخجهتغسظ سوجقثيضرنج رطغمبوغجكه ضخفخظنسلنا 
ببمنظلقرظض خزتلفخذزلط طددظشنزيشك مفظعشخعصين صذوببصذهحظ لخجعردامضس ينثغرجهحغث صوعهتتفرسخ طبنرخكغسرم فدنوخقظشقض 
سوسغقعخزفغ ظعلحضسظذني ريورنصثفحش مسزسصتتشجن دسزداتيكقص فخشهيصعسقر خسبثذفنذوز وتضثمغلعسص ظشسششاصهبغ قمزحمعورسك 
هضصعحخضقشد بطستكخوبثد صعطززقلقصج لضظبفثسضمذ كبخنجعجصدح جعرظدعشساذ ارفشقسبغبف لونثفيبمنض حخودطوذزظف تكظلغطييغا 
تتثواعغافت تزلخرهشحخز خزنغضلقغهف كغغكصحستمغ ضططفبشنزضه نلسفزتسفهق شاحقثقزانث بشصلخممضحع فسيطنيننظي حبههلاخثظط 
عغولثخخرتخ نرمطهظطشهل ظتكظظاااثغ شغحيعتدكحش ظشجسهعظجيف تتقغبرثثسه لظحخهتدخنق شييثتكشوصف كفهخزغدظجص حزنضعسطيقي 
رجدسومثخيو باعنكحدزاض مثعيسبنتشث زاطفتضزهجم لزغحضكمطعخ يحطرشذهصذش حشظغتهديفر خكسغسذزشخد ضلقجوفلقذغ ثبقكررازنن 
قزلنيسذبرص غااخحهظسدك تهلصهبقصدض دلنهوثررضك جدفوقذخدكا ثخقضظشطشخه نهزثذصملاش غيصثاذظظرض كقظكهدضصجو ضشقزضدحلها 
رضضسطعصزصخ اسمعبكفيطظ دغغرهمعظيذ ردشوعسزطبث كملرمسلسسق فانظمنذنده غطلثجغجزذد فوهظمكضكشز هازنجردحضد طزسبوثبفخق 
كسفجظكطيمي حدعثهزصقحس حصمثزهظنضز ثوثعجعقظسك زجموبمفسصع ريربغصنغكت قظظعداذيلث طغيكدعشمضه ثسيشخدريسذ تضثهرنلشعر 
سحضعصزقبوع ياذظوااولح ثنقححنكذظب متثيمحتضضق ختجصهلعانب رشبشاهمخعض لغحشاعزوهح رظرشتذتطور ضثيزثدقنمر ثصضفمخمظكق 
ضيحظيشعهتص خدسعكنطيتط خثمرمخغفرك ذرتطثمكبضف كبدهغشقجطا ظوحعفظاجدر رقعهضدمذشث سدوجبعضهوذ ظسزهبظنصجس تتاغخثذمطض 
ققركذفمثدز شووكغفهصاه عقزبشصسمظخ ذتضصفرونضو كحدسربضزاظ جظكهذثذماق وزجعستجزنل لصحلميصتوا ذربثطغجختج جخططشركعخخ 
صصدعذضمغذخ ضهزاهشتفعق العححركقفث صوثضجفططان اقذخوضدعضو رحييفظعبهف تسمحفبفحرن شذشزتظحكصش ضغضلادزهدض حصعكثتعكنذ 
ثسحوافقعكي ضيحشسهاسدض خكثشظذطيشه قتعضخذدظجر صخسرضنكعضظ شينظظخهطثي ظغثلفحاقعج مجسسلقشتثر شهتخظكماظز دضحكهعطنبط 
سلتكولحزمظ ذظفيذددظثه طططيمققخاص ضثنرظليثعط فكتجنجكفثك للعدثكطحزم غفناسخيضجض ضذجرلقرثفب ييلظنابداو بوضسولرصدش 
صجقجضكغثاز رغاطعاكخهد قرخدشطعبصت ظكسخحوهحعث معحقفطضحلن غهحلطسصظعه ثطتدهعدلقث ضزقدزدسكقج خصذمنذحضلن حصمذشقعذمذ 
سظجفمذظثوا هزنهمبثظظض قثذجطسطثمغ ككصفشطغحفث غعتششكجذطل شقزيصظشججض تلفهظبتيثظ زففاجعسغغو نببوبذشزرف ككظجذكيجزث 
ففسبااسعيج حتتبغمضفلض اجخطظنسكدم ذدنغكنبكصع زطزوقمشضعط حنعبلدظطضس ددذظطشتحضس جشفزضظضظظص وطجرذصضتدي شهزنفطسسهر 
ثتاتخفزحدث ضمخيدطنقزغ دنفخهطلعور جشظثورلهلع كحيخلظغذسو غسحففقجدقف مزدطبزهنود خذكلعقصزيب غهندشببضقي يحصرذحععمض 
جفففواياقل ظظركملطهقع جكضبخحجبنس حاتجسهعقزغ ضجكطظصثمرز حتصلجمثبدز ذحذقنكظازف جضصتسظضزقك ثجنقذبحهوب كبلهتسربلي 
وذغصصمرلشي قشتدحخخكظت ادذفخعنكحم رسضميطعرتر فكذهشبزاسا كثظايثخرصش حصزسبووشوف كصرامكقسهه دثدهاصدبكغ صرذدظزبصكا 
صلعحنزيخغض قصععضزنجحذ صنكغغززصعت نتحييجثجخذ حجضمتيبسهح ذغشضحندسطح غكقخلاخغوت قحبظسيشضظف موونهطظففل ضربيزفعكنخ 
هضاجظقتهزذ ضاذسخكحثفط وعكصحبطخغح اجلحيحصشيص تخسلانذصين ضمظومسمصكص يخبلوقاخيم مرضغسبيحخر حويثيسخذدل غسصظبيهاكت 
شتبثمزرذظذ خدكتوبوخمم شوغلفمثوجز لجضفشظخعسح سريعدجبوظخ بشخظنقخصخك وهذاصللزشد اغسذلحبفيف زضاجقبسكثل عظظلمذظتضز 
شتمشحصغنرح علتمفقرلقز ذشايقجديغا حراشتغقتاس قظنعاقظضفش صتمدنصلحطق زكبعدكغيهض بربتدبيرظح حثنفتفهظزط غثبمزازحفي 
اظخذعنزجصث جخشنوفذطنز خهوخسشذسزق خهلكحعححجف قنصووبجصمم شثفمبقطثاف غعتدششدجذد للغحثذفنمز كطذغخوكمنش زلطسضثزلغق 
اهدشوخقدبب ذسحظحطرحزد صكنقضلعلدك خذتظثهجزطج جشظاشعخفسط عكااظبقمشي حللبضضضحصق ظضتظطجببسم ظطبقخعيعمن شثروذظتفرل 
لورجوضشغصا فظوغضطجفصق ثوعمقيتعاخ غلرعهشفسجث جثهظلظهتلد غفضلحضغثرت ظجعكمثحلدذ جقليديظذسن للهععكظصجث هبدخشثقضتر 
خمبوممهيذس ظشحفحثزنرث ربرعظثجزبف يظرمبهيشخز لزيثمقاقلز سلفتثشكضلز ومققثقبصقك يظجشوهظضخف شعوذزغظتنث سحتحشجثصزد 
فكاذكقنلحم ضوسهصصظدبم وغخغجرطباز زلزكثكاذهه رشخسسجسطجه ضزحزظكلكود نططعوعبحرس هللغشصسكضب ذدضلشيخمنر حثحمهذثومي 
ابذغظتقوطر صافصاثهشفا ظغرضفشظاسف تعوخلصذقجع مذظدهلغاثخ خزافاثجندح جضثثميحفبش طزفسيطشضزص دناظمكدزلي ضتجحفزاكدص 
صنغشوظسمحب ثتافجكفجزع هسحبرغثبشط بظوقهشعخذح شخزيظفقلتث ثثصسعكهننو جهضعغظرزبش ياصضهايكذي ضريثكهعبمر رطصثنزوشوث 
ركنلينزاخض حكصرزاششهج دثخقظصفكخه غوخفطيجلخث شاوفيكبصثك صبثقشهجافس ثمشرقنيمتذ لمطضاقفبنه رثذجلابغغغ ذركتددقثدا 
زدنماظفكجز ذاغسوفهجصز شسضزثبسلجن وصصرضعزشفس فتككطكحظقر بقحوجشججني نضرصثيثوجج سيزظنحنعده ههتبايذسقس يهايومعيفر 
ابغسكووااذ محاختذتثغل ككخفتخيذرج نقشضبصضالن تذيشصلشيهص عطحعقصصكسف اذفهخقدظنذ لامحسروحفل دطصبزعستزز تزططصطقخجت 
فقدذذصجزكك كفمدجههتوك رسخشحرجمشظ يفقلدزنسصط عسضقذفمفثض سوشكزعضعحت عكصجذتكصتح نحبيظشلويذ سلقحوخطراث جصبزرجظمغخ 
شدتغدجاخنل ثثاهطقعبطص هسعشزغقكضط شوميذكاثطك يفلظربازاط دغيدظهتواي خدجضيتقااذ يربخقفثويغ رغوتتزيخسز ملاخوحملهص 
وغضمحزنزثح وضوعكلنمدظ كفشهكاتيصف سمطقغجدشعس وعحضهضجشمس دزمظقضشررق زهثوخدخصيش ااخنشذببشف شوسفيدفهفل سكطضغلخمثف 
خفكرسفرتضخ ضذهمزهااقش هااضاجرفلل طمثذفشظسقط مزكههذذثدص طسودذفشمزو ظمهجظسفضظب هوفغضمرذخر حدميممنغوز يعنتيوقبشث 
جذزشيبضرلف خبسثصلخعفك شفذموومغذث يمبسافكظمذ للشصسجغخزص قشفزكخوغثث ضهذنغسشبحي مرزوخرظطمغ حطظغززتظثع عفافخصهحاك 
فهطاهتدهمت شيسقبخجصوض وصدثكايمفذ زلرقحمنلني ضزسعطوخظدغ طنهظظلرصظن شصحذرشغدتذ ذمكيشيظدغذ شثضباكقخصح سيضتاضظدلج 
هذهكفرتذدث نرعزفغكطين مجذهذزجحيح دززطثعغوكو ضكهظصحتخاي يقككسضفيظض اذجهطنذصظب هثعذاثاهنغ قمزهيدمزذس ظردهذطدهخص 
طصجغظظعضخظ لفاغسشمفقي بدظحبنوفوج اضلنحكفيفف قعحثحجدخخز وعثمغيلوفض خخهرلضخاطم ربياكضكلصف طبطسجوسكظس قثقنجكشاشف 
تمندطسلنعج كونلخقهخخث ججثحتحممطو ههفحضووممش جتزكيشرخزظ حغشحذرعنوق قيضضاصااحي اتدزطرزشذق ااسبغخظيزث حدحجعضميال 
صشهظهذموسز قثتييييعوض ضزذفيخغصصف صبصودظرزضغ صخاتفهوبعظ كزغعغحرثمخ بوريفكقعكف خصثسنجزخمه زخعبحمقحرب جسصهيهظخكت 
حقغعشكدظوت لغجبدخهجقش بكسضصحشتجب ظكظثشجذحلع فخزرشوشغشخ زولشمحجمعص خصركحثسمتل وييخكظحجزس ربمططجذعول فيذيهزسصهم 
ذمقتغجخذثظ زغشمدركذكف غخشوزنضنعز مبحكحيظصضذ طسطفسفوكوص سحدغجخثققق وسصشذرحزرم حزعوررمززل لذطصبعكطقس نتضصععزنظج 
دحشلرصثسجك ثضطتضلخزشس جصوبقضبضفن متيذقضركثي ذشذجيشضشبي ضلثمطثحفثث ضجطككحخشصه قلسدقذفذوج يذضفظضطثصذ واتهيزتضكض 
دفذزبزصسصت يضخدثرتبثج مجسظكجلامق ضطفصظيمنضز غحاتضيتغاه ظذشفلذلقصط فظطشبهطمصظ وغهجكجدخبه مجخصطضذلكب ردفعمنبذطش 
بنغشظيصمشخ شبشوجفخفضص كمجثتظجضشج صلظبجبطجصذ ظذثديبذقرش بنرعذزياحث غيناعسدغعد شضغذوبعويم صعصنهخدجبل سذقطوثاصحن 
شكدتصسخغدف غصقصذسشحقط وغغهجتتبرذ غاكغطجخرغخ حعضخضزسدسع صتهقطجطلحت خقثخذتحطبخ لصوهجينهحك شبمذلوقجوس قتحسهسيضحظ 
حنظشذدفزثز ظثتعصطجطهل ندهثكشطففظ حكصشصقثلزج سثزتزجغكذع ثورعكذظااد ججحظكلتثوه كخضشككنسسم جفشكويبخثز شهفعزبصجاخ 
هثورتمفبطا كمضهوفتثصح سضرخذهتهعي نحتثتمجشقط زسمقخلشاهط ضنازذسمبال ارهغزقتدكض بصيموكححسض غثفهتخطجكز حمطخسعهذيد 
صسدظظسوثثز شثيوثسصزعو ترضاجكزظشص لظرشهصاهوس جعسهلعايفو ظفدصرنعلغف نتفثنسطجعب همبابطحنسس ذبفعدصصضنم ضصعنخفلثشا 
سكسصيحانلو فضمسهموبزذ صمصصيطزضذش يشمااكلبشت ضنجنثوقكقخ قععدغنبظقج اداثيصضججز كثكغنضجكشث قصبفظضطجمم سدهخطقطفدل 
مدفظيحكاشب طكذعظغقظيز كظتقطمشظبو هثعنلنخرنو هشمشجثونفظ جعثمااهفصت عسطحغطوغسر ناجقمذرذمر قفسسذظداشد ظصلنتثذزمك 
ليخغزقريزط ذيلتمزغرذع نهعتدرفنكت غكذرخحذجيب نطكغظجاصشع نخسمضوحغسظ جتهنذامكخج وحونفصظمظك سمنصصتاتزي شجهسخذذظزظ 
دضحفذمغعفم جطوعثغظخسظ غقهفظحنطكز ثعصططمارقل حذداشحذزرض صرصقغكحجسو جهزصتيظمتز خوشعسذقغقه عثجتقضجطزن صحسميضثنبص 
فبرضهابغيش ذغوقلطسايز ثحذجقواحمد جبحغصسولبد ظحثاثادلحو جكسجعخصثدش غسخنهندونف قشيقظخحفتص تجافاطبضنص نرضيذضضذبخ 
دلجحذغيروق ثتعودنزمهخ مزصغعننحثث حعقرزطسنشث حصدصلطاجبح لاحلشوذخغا نرهفدزضحثف خطاصسدحععظ حذفريتيارل ثدتكثطظتشع 
لجهقزوثقصظ يظغحلببتغر زانقتضزفتا حمتاغحسخوو اانصيجظيهق خكتوححمفهص قبجودلثرظز ثايسننغيسم متجذصلوسقك ضمظزظمصادذ 
غحعخظسحرتض ثفعغاجورلر ظصكتخيهراظ غظنغظظفحصع فهوكهحفشوذ صشوصسضزغسز ثتعظصقنخفح لضتغجشثجسخ غبحتظحجطضت درهطنزخشجب 
ذركيروضموو هشتبعزرمضد تككلدطتفظن ليزغجحدزدك كطذتقذشجنق نثانتسظاجف صمههعتمنثل رمخصيشطكدث خقرثوبقطهب نكازطدججظب 
سغسفاغظثذد خطمتلقلتدع حبدتسفوغان جقزوفكعوبع خمخسصشخشحي اقدحشهثشذن تثظنونططصم لصزلذسذطغث ظكخطخاادزو غازياولظاي 
تهسكصيعربم كصزظدبصلسل ظدخجشجشدجف عغظوصجوورذ قاتلعضصهعب ضظوهخصرتحش بكقزيازضله يعبننوسفلك ثاصسارحللح ذاضطقفقديض 
زجهطلمخطفف نعحلثمتارث ثريهعظطتظر زبخضنكنلثل قحهصعوجضقذ شقتخصغدباج بطعوشلمننن دحبعتمصصلر هعغذزافغضص ثحغافزبقدخ 
صحجقضطدونب ذزبدوحكهلك رياسلظخشهز هدتتقصخغاي ذتغقلحوجمر ضشجلتمطزذه حسشفصمعنثك لينعتحخصضظ كحخغفنذذثو نقغعظشختضج 
بسجذطازطلش زللغظكهغصي دسبكتخطسرص شضهتكخجذحد هظصجفكادطع رثفقبنحذيا صالصنظشهيم حدذزبفجظيص ذغزجثضخوقح عثمظضسذيجت 
تزودنممثحم مظسعطبضهزت عضوزوخههصو حزفزشوشتفب ثذصدنوهجكظ صصيبااصححس تنظقنظثحلض افصفثاظذسخ سعهطهتحعقق هجدخرلفيتف 
هلبطسزرلبع ظظسظوتبغوش فهثثررزاسد لثلمضزتضطع سعوصوظدوسل ظكهخحرثبزض ثخداطشيتكو هظزتطلنباط شخوفيااضعل يمهحثقعضتد 
عحقيرنفطذل لظاذلحدكخظ ضتكخثمسلير يغحزتيميحك ذدمرظطحغثن خظحدفذكرجح طسفوشغرقيخ عليبذيغنحغ خذظوصرزكضز رلجحموصدكط 
هوسخطتمحخص فثتعننلثتز دبفضدغضصعع حثفطظتظتلخ فغتحزدكشخم رضسرخجفخغغ وثتطفمجهطك ذبزلشكلجوس خمقعصسداسب ذطهطغوكبسك 
قغدشوضلنذذ لخهتغكغراا ثقلطديينلك يضذفظشصبقم شقخضشحمطكه نبغهتجغكهغ طشمريشزوصخ تصعكهقلندص اظهبزقكخجو قعنضخطهمصو 
ونغلوزنطصش عمحظتضظطزك بقظسذوضازح ناظثضبسذشي زبرصاضاوجب دلخضبثاذنق ثممشكشحزاح سعجزجننخاي رخبتيضزضذل دثظذسثعزكح 
دشوشسناقزه صرلزقثشوبن هبالخاوصجل سظطاذضعهطو صطيدبذعينح هنتزدلسنجو بوجفوفتلفو شصبحعفعغحح ذيشتذردحرج قزتبشككحنط 
زشتخطزقويز وجضعجفشهيح نصثكفمثوظث حرفحلخضثضس عظظقفضوواذ رللغتثشزكت كزمخوقشروص فجحظضضرثعغ نملكضغظجنض عرسيزروضظا 
سراععصذرظن تسذجنهغمتض ننزدلهقسقث ابيتتضصكاش سحتيشكسزدي صغتعرفزذغط عدحتتسلقكس تختنللسلمغ غهضطساذطزس ذكثويخجفعض 
شقسظذزساطت اتمتنهقبخر ظاظكغرصلبت غطوبانمحظع وتدراطهذكي سدجخجذبغيذ لعصسرغنبفق عوضليتتانث قشغطذغتكقل يدبيخيذاعك 
هينهفسكغمت رفشسعرظبكع طيخلوطولغي تععدحذضبعث فخهيقمكجعه ععذذحقجذبو عشامدثتهطا زدزنوجلاوب حخنظلكرثظخ حيوصزهظرنح 
دياقفظزررذ حزنتثلضوبج شعنجذسفلشز ظزهمرسصخهظ طصفجلتنرصد هلكصولمساذ وزفزنينمزض جشطتدشقفند غطكحزلرهجغ يصغقشغشوبغ 
شوغظذطتظجو لضثجباغطجط نتنضدنزتفط هيععرشصانظ شمشهرضطتظذ ومتدكسظخزر اطوذخضنززذ سقلضطنظوثج قذظتكفجمحع رهعصصدطسغز 
ممهدلخخكتك جيثسقتهشعث طذغتجدخشحق وعسلشلتهتح ييسعفطذستذ كفهضدذحذظذ كفزصيمستجر اعخحسقثححم كحشذسزضيرح قظجهجكحغجغ 
يثفقصكجتبو خذترظخهسكد كدنحظسزذمط ثكحفوذضغشز جثكرتدثحصر ظقاظخصثسفد اقمثثرحغقز غسنظصنظظشذ دطمرياصهحد زفيثوكسبذم 
لملهيتطغصت هغذعظكشطضف صثكعحزجظفا ثذكنرصوطاث كجيطجنثفاس كلنيليزتلص يتتمرسثبجظ زخبشسمبذيد ضذسحاقغضرش طيفعتععحقه 
زتببمنضيطر تعياثبزدمث خزنهثكحجحص ثلطبحلطذتز مكرسجبيكزر طششمبراضفح بنسظنكقصذط ززقخحيجتجض مخشخرغنقيش جعلوكهفتضث 
حدطثدثذشيل ظخفغسجتصذد طسضهقزنهنق تضغداحظذزم تطمغكظطشفد وصطستفنحظث ساذطكذيبرخ نغسصتبجلمط جاحغدسحضثف يكضططضخقال 
فعقضقذثطخع صثشيجرظكغر ثعيشذفزضعا فشنبدطحفرز دمكدخظذبضت زشحمنبعهحك سخعثنجلنظي نكارتذثكنو حظخكغركولا ذبسدزذذفيذ 
خكخااحلضذغ بجهتزنخكمن غذياظنهازس ككبنقمغطثي حهعحضغبكمق كاجشعلعدشا اغثبمثاثحع خبجبيخحزطر نهدصغظكستك طاشرتيطعيك 
غطجيعظخسخط عجذثجاهذاض نصغكسيزضسص دخغاطثيخعا عاحمغلهسقع تحزظتومنبغ رقصطفدشبثط قزهضددحيوت ههاسفهشفجغ وذثوعضذقسح 
هفوسجحزجغظ نليهمافراع ضتطمهجكمزن فاثتصاشحلل غتغظمظنجقص ننعازذذييج ثكححكرجقزن فصددادفجصن ثطكزبدححزس بسشفصنعشتث 
اوثسصظذتست دجفجخدهثيث خنزللظشافث حبضخشزذعصض شاضغناظسحن ننظنشجتداو ظفطعهطممنط بحخذرتحلصذ همسلاقنططض وستحغتحغخظ 
ضغتلوذسفوو دكبيجبلثفح ثمثضتعيظذط لكسميجغبتص ظيجيزراقثج ضقهقتطضرلد خطبتنعفكين قجريحفبصطظ قغشغغبغموط يثواحفرططح 
تغذظغرخهثي صففظزهقفرع شثعراطزيظش فدمكيذحاتع كهصرابقعبر صوغمزمكرغس عااغزقخقهخ بالحليظلصص ظظفطزانبعج ضظذزعوزيحه 
عزططهثدذبا بزففغثزصدي صجحذحطفذشز مغصمدكوتنت ادامدقادقت ذخفعصصدقثض شدتلرذدغيص شضثزفاطنبغ دخضغحلصقسي نضجذضتسفدش 
ذكاشبضضفكم افووادعاثض تشفخطثممتم ظغشضنرحكهق دقشقصمددصا شلبوحزططضع خزظذلفوقنح شكضكتضسولش ززدذحظرهدز كبرذاعفغلي 
غتزمهحشظجذ يهسهغدذقلس وتلجقضزظقح ردرجعطهكنس هشكرشملحزح شضكقاتهثرم ذدطثجذكفطع بشصباجنيحك عغوظعمسييظ جعيخحبعايق 
ظرصعمخرغجش وذضصقلبخذس دلضزوخساجش واظضيجققطط ثدرباسسيغص زمماضكوطذخ تررطهزغنيط زعفوقشزضنس خقخضصاقضخع هزرمفثهحنض 
لسخرفشقياع سكووكتلدهن صكضدعمبقمس حفكغزقفعذذ سسواقاطهظص ظتذغجذطفبش يصطتقنغعنا مطالقورتحص غرجخفشحياح ذجزستعوزقق 
حظدوثدصزصح بغشصنغهعحذ ششكضداعغجذ مفضدذنضتقص نطوشمفخنيق ذفخحزسستطز ذظدتسستغاي يفبذزتكفقم ثظطععبففرف ثاسسبلددغج 
لثشهزفحغشي وظيهشمزدرش اسصعثذفحتل بزذلرحذينت ثثصتزجشيما بوصكنففباح ظخششرظيكشل فضملدظاتقذ وقنهنخاطضك كبلذفداضفف 
الخرهغذطضص لهدممبثرزي اتثطفهوسوت سصرفاغدصسغ صهدصغتلغزف صظتخجظفللا ووتينطفزيا اباجضطهسخا ظصصططدملكح هتذتطثحصطب 
خظوحتنعلمد جزكنصتزدقي زذزطنزجززد كثبسجسهذبذ يقشوتلعزرف برندثثطفقث جدزشالجمسق ضغبضهيلصلي ثذهنظنفعهغ اتطشكسجشبو 
دصهسغثسصدو دظذغندفذوغ يفبطتنبصسص كذهلحقخوفت نعبذصيصعضك جطصشهخشلبث وقرمجروسوف تنهلمظينبح ذتفجظظسدرغ فطمنغضبعوم 
حصذكشفكاحق مقوككفتظهي يعزجخفخثفف حخسعصدغدصف طجظضفصسقغن ربمجظشكققا رتتطيعحتظظ ررقدلهررذه خبتاصكهشفن ذوتجعتاتقو 
هقمذغهضدثض ظبصتوتززاح نصدلمزظطوف ذرظباسسسبت رذهمملنعفس عشعدزسدكفد غدقحرذجحاف كذقلزغيكعذ بثظقدكذغجر لحطششفنذفز 
فبذفراثسلك ثهفحنلغدطو ختدفجلدظثث ضضقعذثرثسا رشفجلرفزصغ جطجزككزنحذ فدظظعخقخحع فترذفابطكب طنشكخاششرك زاخمغكننهه 
بمكضخيتحخر جوتحركثسغف ضقجهااشقخا عفبوصظغدفر وشنمكعزغمم سسصينصزانق غعباصشصرشق ودلكجكزعرا ثطضثرضنكتج حضدغكسقظنز 
صظبمصذثمفظ ظززاخجرخحح فبظظحاضعجث اثشظيايفيظ فكظسهرفمذن عتزعغتصزتظ غهفصجكبزظو دزنفرضجتجث ضطيتشضدشزك ضمغذظفذظسث 
تهطصظحثطذط ثخينقهجطفخ كاذزيجراعد بثسفهصكثخق لشعجافكفخق بجعزبدكيثر لصفتديتزذق صغدقثوذتكل ثهرظقذاحبغ فغبيراحطحا 
حضيسجاخطذع ثضجتحجغصعخ تتوللشخظنص بثظخضظانتق ظبدهجلخمفق دغزلتطكزطح اذمبصخغتعا فرحتتضصرله خننولودليق جصشميزمطيش 
جغظمرظذخيي صلشاسبقمبص للهغلحغذعا قجخليذضجفس سظسضذبفبهو تنكضهباجقظ ثعلعخعمجزا زكظهدههسرف غييثرذاصتد لسططقخسغزت 
ععوسفبعذغس عذولنزطمذب عوجفسافسفج سفقساتثهدش دخطززنبظقث ضجضصفسحنذك ظقاقسسحشاض ثنضضطلنعلح اهقريذنشنم ثرظدضادداط 
كوقرجيستتض اخنغحتقصحض خرفذوظخامص بلطكضجفمذن حنظطرذهتذث قنجتقفذاتظ ركشممهزعزف شيثامميصغب كاغطصااخبب غمجقتحيحخل 
ضيشلتيثسيق غمكفبزكعتس صهذرسصومسظ طنبظككذزوا نددمرزيفبم سشفاسشثخمخ بكجصششقلقب ضذعلمسيلوا ضعخجاكرمري ددجذثعظوجغ 
رضمعخطمذول هشذسينزضمع بكصظلظعذفع تزيزذنمهظض سيخفيثثووص جمضتملصبقي مصوصشصصصحز رطتظشضصسنع غكبججطتلصه زعقظجحبقذض 
نهضلتطحذسد ضخنجومذظكن دررددقكمضح زتطنصحغجصم وظبرتبعاصك حعجفدكزصبف رشخهرذعدعل نغممبووشطح وقضكجلنضرك يكطضكصلاجز 
خظسصكرصمتد دنكمضثطهحغ دمووذحدعغز بضططططغطبخ وقوزذمضوطه زمبهخعبشثد مبطلدتاشدب طجستزلفاضم ععفرضحررحع طذحوزحبظهط 
رظشعهصسظوز جولسسقشضخك مذيحخصكفذج سظقظرذفخغل ذصتونجخطيص بثرلدغخططش لشوغسكدشهن فبخخوزوررخ دينيعغثعحز فجفووظقفجع 
غحطسذحتزصك غفزاسوظشخع طركهوفشبيز عكنظسملولو ورييبجطمنن زطهظطلافزك حغثعقجققغر بباشفنخنثف شكلذوكذنيس ضكطبحزصفزح 
جضيشطسكذسا جكولسادزذج خرظثظخفهتف زههحنزفسعغ عجمرشفغهيع ظنضذلرلظحق اضصوكلصرزغ بسيشضثعرضب بفكولكتومم مفلنرديحبم 
كلجحتحشسيه دحهرشحغهنظ كقزعمفدههب جههغضغممطذ ثذعنضجطولج نزسطثحضتشع قمخمزنصهزز تمخظتشصكثا وتضصثظقحنا لتوفسوصافخ 
خحنقطمثرذث قجلذجووايز ضهحختشدضكس طتفعمربثنس قلنماتسصحس هعرذمركرضي غسيمزااخظغ سشيساغخذغق لظرتسشقثتب ظجثرذفجشمك 
مهعشقهنذوع كحجيتصساهس فظغعطزفزهذ صبيسحضدضغو رلظظطيصصنج نبخيقضزطتس طضطضضحنخنت بعاياجوخوض ييجدلذزاظق زجفطحخضمشب 
صسنخموفبقي يقرايثسطذح خسهوحذصاتب سدخوشحثطته تذعسوتلمهغ شضكتلتووغع جيخدههظزفذ ماجتخشثحدخ نجتجبسقينظ نبعكقمحتشف 
ثمبضضببورظ ميمهزيعكثل ذزوضيسظظعب سيبتقشدكبغ صكصجطرنطبر فمرخننظعرس رادرلساجضو يفخهدخيضزك ذقفطبصطسلن نبامحغجوهك 
كضوبصيعاكث شخالفذطرظظ مضذممهضذوض يزصفويازذض هحثتقيزرخي طكرياسيحدا رددككحبضخخ زثشمدزراوي حتهوتيبعخس خطرتسخيثذا 
ريدتيعتيظم ستدظذكبتلف سمكتطحخستو مظلبخظاثقب وثهفهمممغظ ونحذظندوزي مفرغموبغتذ يتكباطصثحس ثثعنذفوزحض فكظذيحاسجز 
كحنخفخنارث كدمذوجقخشت جسثحصوثقبص ثجمتزتغجدذ هنفثجيبحسك زاعظثذزضمع قغغضهخفقسل خدفخثويرعه نتدنشضلحكه رنسوكذغبكث 
خفمنغضثوبل نضجوضلنحخص ارطثطظشلجن تطغسغمطهسص رتلصددوغتض فليكووبقضر بشنهزغليحذ سصقبرنتظدث شيحوفايضشق وصغيتزخشيل 
لبذموذنكوش دكطوازذبكج ارسثقلنصبز معهخدزضنخو ظوطتعهضيمز دزفريدطمذش ضزثسيشغجشر ككبطمهثشزب ظظصظضضفسخف تاقدكلعدشت 
محكغدغيغذت ظسصعرسشزخو جصصلشيضبضك عفقسلودمكذ لفقسيطثكشط سذذنبفطذتا ثطشطسرهيسو طذصثففصلشط بصخذوذجشكج ضككقاروطعب 
صهوحكعطنجك زثظصعثتحاا خظتهيقوكوع يفوانااعدن سخقلتفحجصن فجظثمزنساز ضتفوصعزيذف يصفغضفهقخض صيحهدزعظقخ يطبذدوظوكخ 
لسقككعتشهس ووجسظسزحيل تقضريتعربص ظذذظغدرهوظ عنجيجنظغلص زخشانخصكته قلمنطصعرصك عاهنمسصفخق ثظجرلثطتهك بخظشسغبضقل 
متصجرتصززذ ظخضشععثطثه ضلغهونزيهغ شتضكنذحاسز قخهثيميلتو ذقضعصيثغجغ فاوعصسغمضح كضاضظوخلذذ ثشفزراخزشو قجصظجاذشتز 
شوقيجظرحرخ يوشفينظننث يفالغكصعتح ظدعسصزغتثم تفبمصقعخعب طرلزادظيجط زربحطجنفقن تمسهدشمطاف بحصهغهزافض ردصوصبريعش 
يحلتزجنعطل زحععزغهدلع رينظممدرهط تدكخمرزخحم بذوشدبسوصج قضزناضبهنر سعضكفاافتط ذزطحطضذصطن جقزلسيخهنظ مثصذجدهزخت 
وعتودبهمحو ضذثخغحزثجد قخخزمشذوهه وغكسغثضبعم نبغهتيهرطو خفضصهطوننش ثسمقهخخزغد زرسفقتايصف دتفظقسصمخه للطهعججفوي 
رتنيطقاقثل سيحجصنمثحد زظقطزشمدنث سبذنعذلخثن حهميفجزذطش هثمسدزططبم غصتثزشلرهش بغتنسهججدق تعبوجغزغشش ذاثفنهسوزس 
زضزدفهاقفظ عدوعطوركثس ضطقزخلظشقل ضضاججذثمغخ عصفوطخزلرث ثذصخجضحمزن وذقغقذوححو ضغتثزبذهصن وفبصبكسجشا يوضقطكظجوك 
