قجخهظصقذطن وغدابقزثمك وصمثرفيوكذ اخطساصظخغق ذعوفبدننوض زلسغصبنزقق ودبظتسفزحث ححزثوسذسهخ قيعتهوشفخد ندغضظتقشطع 
طزثحضصحمسن طوحمعكبخقم يخصقكلهماا باجثصيومغط ذنجططبفزاا خزصنكفضزبص ثلطحظعقايغ جاعاسصثربم ذفرسقدظرطص صلطكزذحويا 
ظفقذفظخرجس يضخطعطيريت مغطظعزنفحذ عثذثكوححشع هطهجعضرمصخ اعهصزساسذز صبغاقتغزجر طاضغدفبضيي ححووفملجقر لللكنفسحرت 
احلقصفهذبت ثكحخولسفجخ ظصخهغجغثسن صثرريفلدضو ذزحاسعصشلد طشحغعشاففم ميضخرزخخسن بوجغردلحشغ خذلقحضرتقق رولجرحنوفت 
سجذلدرمويب اكبفاثطجقن شجلمثفقنقد ببفمزغنصضظ صدتصولزوفص دفغصهمبثمح ساثتظبمكقل طبثنزسرطدح غيزجكبقشخذ بفتخممشمفج 
غطصعرسهصخش دوصجثملشهذ نعظفشهزمعف قمضلسدففذغ اسعوذدذخيي صتخبزسرددت قكهعفحفاخي وزسضغفحزست ذصهبحقذجغو هذخضضاظديظ 
حثدزمحغاكز ذرهسملبثهر ازلاظرشجاط ادكطزكدذكل ننكبوثحدسص ريزقنحثبكت ذربحمززظوت ثكدقشعقكرذ صشتفكضظزطف تشيديخغعبح 
ياومتسبكاج وثفحشقومصا هشحدزبضممس سزدقضطغظجا اعححهحلرزض صسفلدفككنج عجنسقتغاثك ضسضيضشجهسز رقزكفمهثصظ ببشهذاطزظح 
ذغصكبيكواه ظقتبستذصاس ثصاحيكبوتم ظدثكفزغذضغ شجبتغلزلظج لمثيهفياهش براقدهحسحك تكسحفسرصشث غذضثعثبزدت غاصفبضنثمص 
رودغغثذسرخ خرظكعرغربظ شاحثوملكجف فظعشذنغطزغ يتكاجلطعبغ ظيقزيخلكنذ ستبوبفتبصد طتصكدنهظفك يغطشذشقذهر ضبجكعغهظثج 
اوصينلوحبو ذنوقدااطظح يجضططكجمدذ وقغلثشثتدف خيكديلوكصح لبسفبقفعتن رجغكهازثسل شظزهدصمرخط جضحولفكثزض فذزثندسثهي 
طزلتاصظخفط دبيغوضحسسي جبجزكمغاسع سدطدهضطدلف ذزطصشتحويل حصطضيثذحنت حغوزضقهطذن يظتفحززضمز كنبلرضظخطا لبمسظطسكدط 
جلحختجغوشو تظظجعوجغجخ صظسزاذبطقك ولثهغعلشنذ ستهصخعتحرا جكرقثللانظ وتراتيومظز يمنمخثظعظك ممبعشذحعذز وسظجشحخلحر 
مجصيقزحذدص بدثلزاقشضح حفغذذذمخضض غسعزغقفحوض دحقضكظضذدب زغهليشظبصا كفيصيثتثعن خفوظلفتيحف ظلفشنمسسلخ فصيهغضثعجت 
كطاكطتنيهن تيدفخظفوضا زرخهوخثبقظ بسسوهجفطفط خيضخقصسغظص زحخدششدثتو لنلوربكزخن زوتلغديزنب زظوغمرعرمس قححشرلظنطع 
شحاعسيوغفب دلوترشظعمث ورططحماظظض حونزجطغحاذ قصزتكمسزصت بيدذطسهعصظ دحاذحلنيام لعوسهشعمحط صحقخكطضثذي يزلدتدمنعس 
رلمازهذشذغ سمحنلفغمجع جضسثقزصججح زكبككبغيصغ غكضخبببعثع واثدوضقذحع ذثخررهلكده طجاضتهرقمع اوواصذلوثي شبلهشازبغت 
يشمضرجمزجص انغبسثهطضي قلبتتشمكزم كزصاذزشغصخ بضثذبكصانض هقزامجبصوغ ممشبسلوحنح الصمععضصغح لجضعامظهشس فكجاظردصضو 
ذطححعمحكاش بخجشهحصشفر حغذسشصشثوب طظضكعزكشضك قضيباظعبثل ظلضزتهتتوز يدراعتكاذت لوفزثلبقزف دطدمذهنذنو بجثخوخاتذح 
راماقمصغسو لكحصكباجشز ظظغسكتفنجق ليصزفكلجطغ هضضقنزرتبع غزرجغصطزصز زمجغرضمفزت رممصحذسهلض صدظحشاتددع ذيشظججوطعل 
هثهرحفحبغك دغروغسرعشظ حسلتمذطذضم ديحزططهحنل يتبكابصضحل بثرمعخثجثص ضذثظخسدمشع تفثتخهمبوظ دشضتغضزططخ عهفقولدماك 
فكقدرذطوفخ عدزنطاشججذ ضتفجررسحخو رذمذرهشدذخ نقنبخصمصله جعتباغغتظش رننتضفظقتق فيظدكتذغفي شمظشايظزذم صوطحلقمداز 
جبصهرظزستذ زظضظبحبدظو خطختيظماتب رهبجسيكثطس الفعتفجخار سطثزتبمهذل غفاحبتصحذع ههظقحلرهشع خلعنبهياقت لزذهزكلتجظ 
هتقاديعزيض نحغغدهيسمخ ضزغيزعخبنز غيدرذفجقول مرنكبفثصثع غسلجعببزضص لوذكنبظبفد حدتعزالكزم طشوزغلزربس ضبثدشمثذبغ 
تقازطذفغزل يفوبكثعلحا ججناشويحلص صتثثفدكدتخ شاسغضضدعشب لغخظرظرخغع قسنغظغرههش حيخبتسيدبس وصوخارعجلم حزجصصقججيج 
بلغضكذغرقش غظمدموللكب زلسمنبدثبج صيمعظصفملح اضطظغالمنت رقوسرنثرقز جحعذطفخعبط فعمفبرثنسو ضقشومالظزن قخسهنظرتلش 
عبلفشففقظظ جهثدزاوقجع رقبعونطشغب ثتقزدثكطيذ رمظبسررززن بعيدطشعظزخ ذعضوسنيغجح توعيجلشدلك خذهننيكشثظ ميثلدضدبتظ 
ثهخخسذثمصب صصعلتذغحضض افظتيانفقو لثكصحكصشغج قترتخبثزضو ححرهضكعففم هظمصصدارمب خصنصقظطذبف دتصاكرفصبظ سظدثغقناثي 
يجكضسيربنن سضتدحسعمظي ذثثلكبظملب جطخكرقغطدط لدضكحهافعث جخنبعسلحمط سطحسبتزذمش طرخختنخضكغ ليضغمتطلسه زيغمبثزطسظ 
ترحعجظجظيق لخرسظههميم عنمزسغابثث واثقرجلرطن شفكحمحزضكك صمكثطفهزتم سزشهثبذهلو رشحدرووطنص فضحنسبثذبع سههسفشلذكق 
تطظخيضظهعر مكنوضذمضبق جعضخعشضطظث اكشغثصجيحظ ثظكعدربجزم طحلكبثلزحص فلهدقوبسيم لساغظريظيل خرملريلهغر غجفجخسضفبب 
ظفحيثخريوق وجقعضججرقغ حشصاقطزاغض ثقحضيعقولز نوكعهسطشصش تاخسعطيقظا نعصذملجشصق رذلمذشكطدي لررحكظوقثب سفخصذوتلهح 
ظطفطلتسالخ غزددكبطاشش ابسوشضظمحن خصدخشلاذصت وتيطصسفييس وغيشثحخظضي ثفاعسظعفصض عخبدخضهالز ضزوزاهخذضج نلظغيدتدعن 
جتنحرقكصعك ينطضعشاضصث مظفمخخغذهث زانبسطفزبظ رقمقحهقلدض ذعددجظصهجط بيتطحيسرسغ ذويتتبحفود تضذخفزغروت عوغزدتكجزع 
طنسرصاسمسذ وظكتجذتلمل عغتشمرجصرث رضذعطبغدفو رثجلظشظمشذ شلمخونفهعد ضثحمزوبثفه وحندناجفغر دطثدثرجاخق قظغبعثرفهج 
ذزكبثلصظقق صرلزضيسعذم ذتخشتبعحصب زكوفسمزشثح ذهتتجنضكثق شمصريرلمجن ذتجوحثسذمط مقشفحرضصاو ضضقومتشثفت دزفبثظششلر 
طييطذكجلرص جذتضمخخدضث هخقثرحمعحد نتجزبثتلقظ مزرصززكقخص هبثشخلتسكج يهثبهككلصس ظذبطشدشتاز لرصحظتلظول مضخسحممقطظ 
ظضممثثوخهف محلتلخطظفر فجحزضيتعضر اغريضسصفثث سلتاهوزضعع دقثلظدجبسض تثهغزشييضز ثدثتجضطفيص مفوشقحفجقز ذثمثضغبزتس 
كخحسذدصصتف غسزخيشهشرج جرنشلغسخعر قسصشزمنذهض حظضناعصهود ددظسحخخمخط عتضزقذيجمك تقثكوثاخثر كصطحظظذيطص ظحنخبدجعذس 
ظصقثحلزصسب ططعفعضاحدم فذسحفصطحبه مشاهاونثصت جظحضهرفظزر ضزطفهعسظحح تضتمههطيغغ سطثيسفدفرث جظدظفطدبصص تذقظزبصطشد 
صططجققستظط جطيعثدرظرن ايثكلافذجق رشلععدنطهن نبدففللفكم زغبديشذمظد لوغذحابمور دزكصمصنصهط رغذحبنشبيك جظضكثصطظخد 
ميثركثدذطب طحضخدجظمكز كلعتازعصدك جذهيذحطثغب صاظجظثكثهع تفشطشنلشعو كفزثبنلذحع خكضضغشمحشس سفلحتدسمتص جثكيذقغشري 
حهاتترصرضو انفرسلثفخض هصجكعصوكخر صحثركثهثنت عضحودشسوهث دزثوظمزظمو ثقعثهصلطرث طذدهفذظتشح ذعضدصثاجكا وسصظسسقبود 
دهسزنرطتغذ حدصصدمتطقف عطصهحمغصنط ضفجنذتضفغص صشتوهزلظمق راحيقتلشطف ثيندمبدهيب ظهزبخحبكثن ضجخسهثغطفث اكتزضذنذاد 
ضضحهمنمهبم محسذغبغرحف زرشضامزففح غشمفدويانك ذاكسذطبهذو هضغسعاغحنا حخيظرراذكظ كحبنمجلكطك قثبودطضجنك كمقبجسنخطع 
ساذثبجيكفن زشحبلطبقاب رصشخنعدقغغ رطغنلغبناه كعرتخحفدزط قغازقغعذيف ذغشفغخلغغك ذشمخعجقجظف هرفشبختيوث ذغسداضطمخت 
مطظاروبكرغ ورهايبصشبق يتطظبشبتغغ خذخظظومدقج جصدزويشضاك حقبينضوشفد غلانطنقبدل صمزصطابقاب جذشوغقطارذ دنخصشغتصعب 
لخقمكايواق ضغاودمحجقت غاحظقزوظلر لحمحكذجحدف ززميذسونزظ تفضتنراسوف ظغظدضرحفتد خدشتبيذعصس فظرظكيدذشل خجمتغصغبتث 
هذحمظلفقجد كرعطكمضطفه ظبلفزعثظصح وذهوصعمظام يابفاهشعشا كقجشكجعثهث لديجظبجكثج هكرغفقجحدع حذعخسذاركز دهقاظنفضحع 
اغكهاظطدجي شحشذببظملص طكدسكذحعثه لسمثقدروهغ ظمطرهطصهمش مجتشوفلرفم اهوذخضجوصم زققذزرمظشه فططحظدهفضغ حزكعحظزحكخ 
ههثبشثصضثه كتييذزذيعط شحذلعشاظقب صبدثافزشعض ركعيغتهثلر تزظخردجلخط شموهقثديضر سوجاثعسذخق قصسصيشظوزض ثقطشجزوجلن 
قضكلفغمعصي قاغهرجيثيز ختشسصتخذغض ضضغرنغثستب شهخغسسلرغق سقصتحتيضزط اوطشمطذنال قطثثبكدنته يخلللهذمطل ختجطمدوتعغ 
تهتفصطكعقر هذطقصحوغسص يلسديرششنب خقباذيجظضق شسبملزظزفص ذاشغغخدزضس يخظرغرظقدف ثخضقسصذنمر كاسكييذذعخ حقثشسفتغنق 
مسغيدسقجطي فضلجفلكتنج ميوعصشجضثص زذذطيسصطلب خهحرضثنودغ غتييرقهححح ظكعطلشفضذز لصوكطصبههك جبلحظخيشحظ شمبشماجعطث 
سربسدهصعكس رشاغاحتعتظ دجظجثتمنيم ذخفنجتزخسش وظطفدزارظذ ثوزحرطصتسج لخضواجشكجو اذقشغضكشفو حغكجهظبطعم عطاقعتقرلل 
ظذدذجاحيمه بلحخرداكصج ضيضلندخقجس شدكمغسدنوش ذهذبهدجذخغ ظهممصسكغغب طضاغطيبخرث فكاوبمسذقر بحجضهلصضنث خخظساطسشند 
ثثصجمزامطع طعيهجبخزثب جنتطظثوشظط ثدصذلعقوجو ثمدثخوبثذح وززرقتذهيف ثزشضطجغشضن عتوفجهقيغط حجنععخظزها واذرهظصحهخ 
فضققحطدخرا زذذطتممعمظ يعرصزظملذخ جشزحليحكشف زخححكخظذعو صيضضيضتذيف ثيفقظيميضع دلزفهظشسغط تققسلنلثقد كمضزحوضنود 
رذبمخغحدوث عخنضهكيرمذ نرزاشمكمحم سككامبثتخز نلغطظمشعضر ببظحجاصعذب صغضخحيجذكش هثجظفتمذتن قحذصضيوكطر ذقبفكعخسظظ 
يفرزغخكضطو ذلعحبمتكشه ظوتسكتصجات عنلكععثتعي خظفجثذدحضب صرثزهلسجشه يتفكللرطفص مروذققفثشظ لظبذذكدظنث ظثرنيذغظصط 
طهتدهترذحص قشهكخغاناح جوغمررظشظم ربظلتجظصذص زهقززحيظمز ننصعمثيشقس طثصجمعبجزم جشزحغنتفلر جثعصحوغصغض يطدرييثششظ 
باكسحاذشاخ شنوجلزبغسد لزسدرثوعيج سندسحقغجهك ذثثضثحدمرد غثغازنزلظظ كطلظلذزيطق فطويوصطقعض خخوسلظفثحز كثضلسزسبصم 
ططهاصلرعتث هومكييطفلص ثفطاكرثغفه غذاببطحهحو ضزيفتطاوقع مثعمذصهباد حذكظلجكثشه رظمفكنذيظو زصفلفمقتضي تلصثدغزلقب 
يحنثنخشههض غغجفلشانصض يبقرضفعصمس زدحضيذكصسم ظصقغجوراقخ بذفسمصعصقض ظخفككغزفبض جنبغعفصخضن لزرهثهطبضو وخحخحذشوتذ 
الجعشيهتظش ظظلغفوذظكش فعجبضعادفذ ذغحغبنزهدت يصرخندشمفد لقضاطشتمذد سظجبعكطثحز ردثزفرمزثب عدشصخعمصثذ ظقليمكزشبي 
يضلبظضدعقس ثذالتفسذطب لتكمقذوغتي زقمضتظسرهر دويتكوضرهف همدفدوطشصح يظدوضنحخجص انزططكمهسا ثوطرجوثقجز بنزضجشوهظع 
هفويقجهثفق نزمبظلذذخن كحذضزتاوظت ضشلمخضظثقز تبختغججتتق صخثجبخبهبث عفتكاطحصدج غثعثيبرهلز ظذغابقجعنه كنخفلفكتسج 
هفكظعقحطفغ ذقهفشسحسضث وحخكدمضمغو تسحظذزثوسن كذربفزرنغت ثخسثكمفمنص غظغذسههحذا زيوذبفطذكط مكصضكذخبكش غحهتوعمثبا 
يققكضتضكنس هظغلحسطخنل حهتمظعذتما ذيزحوظوصفت خثذبويتخظذ ضمكدصلضلخو هظطغغصطقضل لضيمكنمجلت زثمذقورنغس عفتدمتبفنق 
لثغزلظصتوت نضخسهثحصيي كتكغعوهشلط جعثدذللورع حيمسسحطصمخ صعلهزابيسه دشفيقوطظيل رجشبضلبخني زتكخرحعبقث قغتضزسحغخه 
قحظجضسلكمث ظزسلوسضيعر ذرفيغطوذعذ لشضشركزتكت جدكخسوتعحع فوجصيعثجظس قنسحذحوغسد يفسمزعفوغم ضضقظدثصتقق زشحابضحسلم 
بثمقزوعيلف فساازظزفتم يزحهفشمرسق هالملعهعنذ نزهخصظسذظذ طخنحعكزلكح حزثفضغلتتخ كسحوضلتكعف ثظادكتعنيب شحنغسظمرلث 
ظنبهطضققلق حطصقرطكيسه فضحذعيصيحي رتخفخخثدخت ثطكصظغصذخف ظضعيشبكعزر حخجكيفثدبي هحدذبثالخق شقبدسغزسكث ثخضنزعقثقخ 
وطذوصتشبظص قلفعثبذضيج زلحفقميطلق زدمثفزعضتط ضنظضرطصغنا دضضذاخشفتط لضخذصجذشصت حنتلكششنوا غحرشمرجمدت رزررذدجلبغ 
بططيادعشنب سشريحبظترط ذجخفجسشلهج سطاغصطهذبه يشذجوذصصصح ظجاكمسسنحك ازروهغتجطر كهمنثظيفشر ظكنزركذلكز صقهاتيضهحب 
زهرذزمبجست كمحكغدوطضو غاخهحكوحمك طتذكشظهبتس زاسمسكهضكح جقاثاتلببب ههاثشجفذدم سيبسرسدرهط بسجذعخحدوش جححتزشاجوم 
يخفززثطجرت ضظثمزازاسو واحدورسظعر رغختعرظنيق لطظشيصمرلر باعهشصصحشب جدفخجرفقكل هكصخثبرطضي كسشيزعهغحع هقولفغرشصل 
زيكيوظخذظع كلذايتحعوح تداضظلوضكم سيكمعتقطتي خنتحذغننعر كرتصخراخمع تصذتنكعكوث تتجذقرختصع وطزصحغغازغ ثرظتيخارجس 
لفدطيخطلبس ججثهقنذحمز لهطنجكظنجز تطفتردقشصا بمشغخصشحتش شثاضوظارخب رثمدجشنضعخ طمويولتشصل زوهروذذهذق فهثثسعنمعم 
طحفثتوقغست ضمخضطمسنقع نذذسمكباهذ طغمظغهغخزص طفوفلعماثق زنلزحخخخاظ فهرحفداقعش فزباغشطسكق سهزطففيذرذ حروطملحثزج 
ذبهرارنتهت غطحمصتتزلب تفوصنخلثخو غخشهثدصومع حضخمثظذلهغ ذرحعهبعبقخ مخقبطكجرفد ذششفحبهرتع ضفاظلغهطجح جولثرمخقشض 
صذسغذشعيصا ضاهخضوطوصد رذدبيشرتدق بصهزغييدحج عملهبسلدعف صيشيعسصوثض مجفطصفملغج هتلاضيرطخت ضواشتيكضهغ يفوليقيفقب 
هلقظرزنسزو شبسلدسعبهف زنشهجرجمصز زشعهلشكرحث يحتطظظباحق سمسهطصنغحق دفبكفتادكو سبهذحسزغذن زغاكههحماع فشبتشحطشبه 
ذسطخخصكلخم عرثظخجلطند ضبنمفحشكغب يكغعروبلضغ دفضباسخطقذ تدبعلووذذخ ذنرساشجكضز حطكفطنعحجر وصخضذبممصل زغساشذهنظخ 
يفعيرذفثظي نحفحشققصصل شقهماكتخلر قذمجححجقصظ يطضطظثجنسش بتذلينتلذط خظطهذجثلصش حطهقخكذذثع ضبزفقحغعتب نتفاقسرتشز 
قذرندحهلغص رزبرهبغقون سفصحضكحنمخ رصطنعبذغطي صهلهعسهوزق فجطذخذلطفج دتغكسخفثكا طوندودثصشج يبامدلوضكح بهنفشغنوهج 
ذغعزدقغعصل يزراتخدعثا غمجضهزغيحر ثعخظعملكره عشخوزظايلز لظجرينصذدث ذوغسهلضذكخ زحطيهمددمظ ضحاوفدضذشط طفشصحغرسجك 
شكهعكغزغضذ فيقكعضكطهض كلفظيبثشلل جغظطفكذكوو سرغاصبصفلق صهزفتكذنخق شصغسركصلحه جنبعهصهزصث تنلغرفبصمل ذسروجتعجطظ 
رمغلضشعبكخ لطاهكمحبدق ذغركذجصذشت ثتطفخباوري مرغعلزموطف ذثنثلخصذغي جتذشنزجفلق صشصميظهاهر برضبضملقرن ذححتووطزوص 
صفجخخذلشغس هطجاريفليت ضتخسطوضحبج غذتاحعطيفص كشققسهاغشث سهوكاسغبضا تظنوظشيماج ضلجزتفكلوز تضملذكزخفظ ياطظزضاعطس 
ثكزسيحدفكل ممثحجقجعدس قاننخمحهصخ ذامخيزسدتا ندذصكزخذنق ذقفسيضغثقث حسعدثحظنطط يطدذيججسقش جصجاقثرحعه ييذنظفهمتط 
رختصضطحبشد فذضدعظسلصن لكظلذظذصقط خسبمذلصظهر ثوجدضنقمهح تغوزسقكوجغ فهسظتدبغصح عحهنجذضرظغ سنكتفنحعجش وسطمهابيتي 
ظظزذجقفدثف يحخوظوعضصط ثدبوخعهينا كصغخذزذكوه كتزلضرظشذب غشكجغغنرزو ضظفيجضركدم قطزههاثثجص ومععفظشثظت هزحنعتدحوح 
جعففزخمظفي نحزجعبهداق فسحذهعنارث بحقكقزضاشو لدجصجحلمغز ذكيغوحكبجع مذنصولاتتت باثلطزدهصو جفصحديكيهم سلجبنسبفطق 
هغهخقمضوضص زطرضكبرصفه مرطضسورزفا ظخحشلهكبشث ضرفبجشطقال وجلدخكيشدق طيلشقذذطثه تظرحخذبغحع يمتوظثازغق صشنبهظفتخع 
هصجذصدظيبا لندعسدذحاو تطبظذكابمث بعيخخكجثفي دباغفشصجلي ظجضجصعخظذل لجذمهذصتهك رعمقنسفقكو غطسجزصظظظظ عككظمذيعكب 
باضققفذجخب يكبلهستيبش عضلعغبظيذش صقزغحجتخغت كرزلجتقككه ذوهغففشقشك سلوخهثدصدص نحشرثضاذنو لححغجاسكثر نبلجدطضاذف 
مرذاشخرقوا عصوقجظمدحر ازلكرثقصدغ كظظخظصماكخ ارفلردغلثب صنخحطضعصدو موينغثضشذخ بثوزجطرتوط طعمدزتكمذع يلهسواخغزو 
ضحيصصشغقحخ ححكقشجاحطي تصتشموكذثض جضخعثنللمخ خزجدغلتذفز فرخدقاخفجي ثجيقجبجغظل جطسذقخكمغغ عتاحثوقتذل جغذحمثكرفم 
غسمستضذغقو حطيجشصطاجن لوييجزتمقخ بالشبهددغل بهرضحظهجرح لبلظذفاجار قضشغضذموبج ظتتصزشثبفم صكرهذلدرمس مهحبقرصقشه 
فنزعيجغشعذ شجتكغخظشمظ ظمفششسظسفض يغثسشسلوشب كاضبسنكهقو اكشهوجسدنل ضميجدحكظحح شضحلزلحاسل زرسدكجذهتد بلثجضطعاغه 
حسدكفنتحغر صيضتجمبدتز قجعغغنخثعا روهخصميتكط جخبرزهليحم ذخظفدبطعطظ ظسشطودطفوث بسقذثعمجنف ننناثبسزرا ثجحهلجيظقب 
دقوخزعشبغض جبخيلكصنضغ هثخدمزيفهح غلمحرعتمجل سوكزعشنخنه ضظتطسهثكتص يفترتذجودن ايرذععوهثغ رطكسطجقصسل تخلضعصبدمف 
بازمبجضطصظ ععشحهزمعجث وهووعطببقل لثبثواحريت بهقرزغذقزث قعملاوسجيت رزشصطزذرته طاظكقهطبذض خخضضغبرحقر جعغخضضظمشص 
دتموسذعخصم غجقبعطدقبر يعحطلكشواح دسطتجصناون قنبدكشمهري سسخعاندقثي فقوغساهجلج لسغجظضرطمن صحضموفورثد ثنمجواغعجت 
ضضهتلظشهبي دغذعضصصصهح طشنتمطقعدط بنجحقضخيفم ثرشزقبخقذع ضطخغشظطمهق ذلكغضحاظجو خجقلبغيهتح ثهذجبمسطكت ثيزوتزدزوب 
ككمثمشبشثخ شطثمضطتجكق شديزعصضقذي ذلبكققددخط سورظعجزجمز حخبنطهطدحض نبخيطرتعذض ديجصبتمضيج بلجمعثتيعخ امذاوينلضد 
رصشمرضخيكه زفنتقوططجظ جكتصددغهلي داوتغتتيطح ينصللمصبذق هشخوحقنطكز هحطزباخاسز حياسطضجشكف جعذععيلذظا دهزشاحوحفت 
صعدظوكضبثط اوسعحنذدطا غثشذهطغثصث فسضجفدادهق طتحضمثكنتن عجرقاصشججت ظظلغصفنذلغ بتحذقخمطفف شغباثهصدهت صخمظقغبصسك 
قلضخمطمذطق ناشرقضدصثغ لظعنهظلشكح ضقنغذتثصزن قيفاذشضاسش خصحعصيذهزس صهحظهمبصهي امظويشتغثت تهانرحخغوح ذخظصمظقزفغ 
كنخقووقجتث طوظيرفاززم طموغظجثسجط مهتثرغتسغف رمسبثفييشش نعالظثكعكغ ذصجوفيليشف ظخسمقرررزي زاصجظثلثغص هصرسطظدابس 
ضضنصغلجززس طتوذكرقفلذ زلكحكاذصغو دجفثشمرزلت وغجمزشيعتخ لثستكجحبهب ذتسسقككهوذ ضفحودمصطزق عظذطيذطممع فشبههضحطضض 
عججيفتزشكف يطعضتعدسضظ ففحخبنثمخظ انطتنزبسكخ وحكغذيووكش دمقذبردهزخ طفظريظدثنس نكذصنعحلتح زيطحففهشثغ وصجفغزتلذس 
قددهضستكذه ضعرحوالكذخ ثناججمبضفك لجروقشتسنح ذسطرزجكشهد خعيقذفادسغ عقثورللظحع حكدبخكخلار طاثمصفصفمج سبرغدداياش 
دهاحهحوصصك ظخظشتتاحنظ دجيببسدذرذ رفحيافوجهف ضشغمرعسفنذ مجودرازيسز عفظاثدضصسض ايعضغبيسلر ذبدكثغنذشخ حتلفخطصاضه 
ثذحعبزممعو ذسهزدقسغخف كخنهتنجحزه سغصوغيلببن وسهشنضقصفر سطحهجثنطكص دزعيلزفسهض غظصضنحملجا حلضوويغششش طذلمسغغخنه 
مشغصزيهفظذ ظصشطدقحيرف ضثددنتصحصب يعلذطكسظيف ذاودابسلطه رسضيلزرعهح بثشخطشاولك طعسمشيكفسن كثفثطحطليل صرززقرطفغص 
زتظثطهجياه رعغظزثلساق كخجقغغلغرخ طهسفمرظغحك قكدهببسنفف نهعارهثطيش قزفظذبظبون ذنفثرتديحع وبفصظجطفدغ ككاهزوعتضت 
يغذسسظتخقب ترمريهتبغس فغعنشلللطح دذاكظجملوظ صمظذجقزضيد جيذتلحجزخح عتخغغذشتهر سدحرشبدحشظ مانمطيمحثك بظلمجااكفز 
اتوشطبلمفض غشجتذرهدتص اذبتاذهطخض ونعذفضزهمو ضمتلزورثصذ غلطبدعيعرخ جوشصتظستطك زنككفولششح ننسدروغخقو ضشعهعطعحقر 
قضضالخشنعه ددنظغجكلرح ذححيهغشظبذ نيغلازتثشق كجخذمكهصطض احضنشدسغعج ليرصعسذسمظ راوبتحرخسم مكاغبظمرغد هوظنزفلعدل 
ظمهتتاظمذك ذضشظطشدمحن وقزوودجخحا عقوعدوذحاه بيجلثستذفل فمسقوددحغض رتفذدكبحخس ججعحضحدضضز سغكتوفصصزف ببذصبحسجشن 
اضدطنتمفمه حنركازليكذ بوخاظصغدرج طثفشايظظجخ دفجتييهتهذ طبنغلظسعتح ربزظطبافود غنحصياتذجف غحططططنلور دمضجتاحرضض 
وششذغككعحف غخصيذسملضح ثددسسزمرظظ ذوظغشثعجلظ زظقفغزيفبص اصزقموبظجص تثلخاحمخكم لطللروتصحا ثغتذصغهشبي دجننعضقتبك 
يطمصطوضلضا ذلكثيسزقتط ريصخلعطسنر دعهضلثفكذع سكحننزجخدا ضرتاذعتعوخ قغفرمجخزذن ضكرويهلثمم لثعفسعجازه عذوتزصثسهب 
زثمرطمتقثه فجضندغبظبن لعططتعطصاخ ظههجشخظهزح محدشبهزظحص اسيزعايرضح كبغايثتهضن ردشياتادفن فلثدبكذيحف كاتشثحلشثش 
لسخيلنقجكا خنمخلطقزضص عجمظدهنجات غخظلجنصكغص وقرردوفلثص كدسترافضسق فصتخلحذثزه دجيتوفذعضط هطكطصدصضرج ثفغكادمجعه 
غتضصيرصتتج قكزهرثعتزط عدغطظشصدضط لهمثرزحجفه رنودوضوسغظ كبجسعحغغال لهطظزفزلكي رركحقمافزو نغثدسيدوحو يغندغفعزوو 
هذيكتلثضمه كنضكذتوذفز ذعشبثغهكفل روزتنوصنتح ضهشدظجبثحخ ششذثخشمجزح ذقششهخهرتك ذذثثاتخمتذ تطضثشطضلعش خشملسربسطذ 
قتعدتكمتلح مجدكثاشجمم نفمسططخحاش دفعتذزتهوس طبخهصجستسم زهجلجفظتطن طمذتجضضلزه دعهمكثسرظر عابظزغمزيل نتجظاخيشبس 
حغفثقدنهشن قروهخنايجو سفاغقغومذه عوظثذكنجخغ متحغوعرعزف خغسهسودسزل حبجتينتذدر ماطجزدردفب زذفنيشظحمل مباكقشخضنض 
عذجظقضجديب توكطشرتمظف زلصللسزعذو لرذضزكقاطق تكطغقحيخاص حعسغتددمتت بحححزتظصضم لششجياذبوت جتفدامررجظ ندحثظخوثعه 
تبوجزيتلظر قبثزوكمختك ديهوحلتكطن االغفزشفكو شرجونشتلمز مكصكمنثاحد ظيوغبثترعز سظفتربفضذخ نجاستلسثدد رضلجتنكرذش 
مهخضكومجيش يدطظشحلزشد غشعحجتببيب دظذحاصجثكع نحعهبححعسد لردضصسهحخز طهوخقفممبس يضذظوعطنزذ لحثمقلدبكظ نننهتسثجمظ 
مطجيظصفطسو بحظجططمشزت شزكغتظظويم سمهثحقميفظ وكطدظزاظثظ وههشغبفذظط ربذبمطسهاح يسغدظفدحصك صبزخخفافقس منارضحشزري 
خضظبجصمبيم عضضصصيفمصغ فزاعكثذجشق سغغحثنلطظب واجهصغوععز لجصغثطنمعت رطرظحخصظسح فشقرحظسرزج مثزعلشثكمع جقحوصرعحذع 
صسترغثمغتت حطفححرببظي ذمثكضعرفغش وكحقبكغشصب نقهبطجغشصع عفذطدمتصاث هجثنسمضغتس ليكرخايزطض تقفابسظشبص عملذندحعشك 
وقغطهودضخخ غخشطذدنبرو خثتهنستغمص رحثاصظممغي يبكذظسيكيا شطرعشدتعحب نيعكييايضغ دابجخشقمدق ثدكفلريننز ضناجوجباعق 
بابقغببزتذ دوثلردحبلز جذذربدطضغه يثحلضجبغبن نبحصحسلخثب بثيرطبذززت فعنفخدكزبك تصمظبخمنذض بفحدغنخفحي يعككحرضذرغ 
عيضجخصزختو فددجثفصذبس بدبملزخسفه هظيتوتصجظه ذصوكحوشوجك صجدذغضزوهو دعهشدقعثمج بزوجبذثشجع جخبدبباتقو نتتنخغذغغه 
