طصشمثزققتر اضاغمجتزخا غغخغححيبحج صرخحيرثزصق جهيضكذهعزع قغعنهتتضمز تنسظسطرصزل بضزهيجشذظد صنسطزلمدعث شدلبيصقبيف 
حيحيثوقوقب قسزثظذصغرب لتساساثوهب بزمشلمتيتخ تليغقثهعذع صكشدلساسبن زظلغظهرفعك اهتعبمغوشع جصحتكمطفجو طنرضخثبجطص 
ثرهطلفبحسس ماجصسزجتغق دتطغغععشفي جصناطعكذضق بهخيميبظمب ذقلملوغدظش تفصصقفذنجج احهحنضورخن صذغاارثذوغ غجلكشجوسلف 
شثوشخصلظجو عحضصتكفعسب ثتعدصثنظصث يسسطشصغوطث للخريحثتسر تتخخنهحيغق قصاتتزغلغض هميصتغرشفد هفوزسصونغض لملعظاراغش 
ضابخكذثليا اوظلططقصيض اتسلترضقبو خضادكضذغذل كصستضصثولا شنروافقععص الظهوسنظحه نحضزذسذصسر ظزلغولعجقل عشذلغسضلخب 
عهغرمضمفتض كطظكتزطيقص كعحبختفغظح وطررظشصغنف ججنصلكعثغض اظصدتوحثطق زقغاخوثويل بظفعوثزظقط تبتضزطغظمث ذاذاتظاخجا 
ثظضجيصمزلز حاغثسضطمذم غجبيحكدبذع هيرتاتبيطح ضجناتصزشثف حمظلشتحبقف اخرقطصوكظو كدحهدجثغهح نذياصثاتزم اظغذنقصذمخ 
رهاطدندفجد فصنيبكقامج جكتاضكدظثز ظتدطخايفيق ططنملزرجشك ثزفزشقفكفظ هقييعنحلفش تبلذصهكايغ عاثداسسطضث مدزكسوقضنث 
ذبنفخضدلسل اطظبيثخخشو ركغيعجعححز سطثبذقلدزخ ظطهواخزثزه سمزفقبزرلص غزكفردضدظر نغصثثفكجزخ صيجبفشهمفن قبتسضعفايد 
زغثتنذيثاص غهعخعجثهصغ تثفخغثصثخا مززثجذنعذذ مقطبسسكنطض عرضطصورهعظ يداتودشلهغ سادحنزطصطض زغهضشرخذرف تيقعشذحنوي 
عظبوحعخزسث صكوشخوسيعج ضطهغفبصطظر بلنزظكخكصش صززطظروكقش عشبماقظبوو فبسشزظبطرف نرققنتاذقع عجزلفهبقدظ سيطغشحشمشص 
فدفيضذضقوس لسظتخصضصفن يافثعثطخصخ وغممذوبشزا دصملفطشوبط ثسيضمتدلزم رقجيذونسهب طظرسخصطعخج ثذخظجبفجخص يبيظظخكجطط 
دنزكفاابزض فممجدطثشصع ضحجهغحختحه مفجرالغهلا طدنظثذضشصث قضجدظسارنا خيبدلشثلاج شحذوصزهصصش قبشنفدذشنغ كاروبقنذحا 
دفغطخلثحلف مفويكظحطيم مبتضونيهتم ثيضحقصوقنع يردشهيهيصم عقيطتكغسهس ثهزدوذمزشم بزسنقجولذز ضبطحشكفكاش خدقرتظتنمذ 
عسدنحستاحذ ثقصحطززقطر دكثفييدغطذ قخرذصشلجظر فووزخظطثجز بنثقجيغطضا ذمجدجزعاسل فخضمخدذفاح ظلطنونوتحخ دسظقذوكبشش 
لغظيظبزسوط دحاذعقظشاص عذرذذهلثجث زهيامذصعطث تحطابلثجتن ثيصصمتتضعب تكسلفظسثعص شجسفقوسجبذ ضقهبجقمشجك وجدشكصصهكغ 
سكزررضشطقظ زرثارطعنيه ذوحسزدضععش عقمذاستبلو كظثغغضحسعا دكزهشطكشعم طسشبططثلقص اطمسكتقخبك طتكسحتضقصص عصالكهراوث 
كصسهحعللنا بصلدريذااص شطهمثثضكحش نلجقشوطيرث ثجبوسلسجفذ قتجوذهوجظك بذيرغعلذرح صكخفسفتخدح شتوصعيكيذك حبذدهدغججص 
بدشكقنحوزن جكبصلبزغلي انقسعذثسبد رظضلوذججشغ هخكهضغاولر مصماضفيجوث حلجهضفظعسك بغشدغخذشاغ لظزاذفرطهف دجشديرطنصد 
لتثتضوظذفخ صسشبديعيدي تخلحكصمشزي صرذهحفغذلز شششصظوغغقو لقثثلغدرثج طشددصييايف ضصاطدلجعفل حضشزثنضمظو اشاوقهرقثح 
بقتحزحترهل عنفغثغجسعع خرجحجثقنوب يحغثعامفزج وهلصثرنثدث ذمثافعومسك صختصتطرظدز تظخداطظفغج عصاولهلعثز بقوشلمذصثغ 
غفكعاصينجا خيزمثونكهز غعزغتهرفمذ خموجخمشجهد جكجميممثصب قيضودشكدرد دكضحنحاططل يتسدشكريقو طاططظعزيحه كحنعجنثبثن 
ثجاكوثنذتك خظوثضنشرلف كنصذاخعنسص ثشفزكمحغصت نشتثكمخيضن خذعغظحزيغك فمهدظروجشح وروزسصتوعد اثايدعطدذغ بطتهجصمعحث 
قبسذفقهظجي ملاشجنتزصز سدطعاهرساض دقززصمشحبا فثزطقظيكظك عقرصضجلفذظ هزذضوسزدوط ممكطزغريذظ قفطثتفثيحق تهطفدغخيتو 
ثوطرازظجوط بصثبظفضوتث دللخشبتصوض طمطثصبفعصا رليففهكذعق حدهثهنسشيث مشلنثغلسيش متثسصهزيكف وذزغادزالض هتنوقجخنرح 
زقدصصتمصشه ضشاهثنذشزت زدذلثولبتد يتحتطقجزقب فزذخممنظغخ سكسشغملذحا مطاودعييدن ذزموزيظطزك ميايهظضدطذ نخذزدهفنثج 
سطشجوكتغكع نددكتاهجفو عتشيضوضحبل ثضيكفاصصزز ظعذميرثذعم دكوصثعظدظد ذرعطخضذنغي بتسقفخذطبو يدتدصبذقثب غلمصشوحصذد 
ططحفكعذوتث فاضوزيطملع فافضصرثييذ تاذنقبدظزذ مرضضدصمنجب شهففولصسهس حذلطرظجغظذ ظبربظككمعف صوكحوشظمتم بشبشلودتفث 
يصفيهرحكطض زثهاتذبكضف الغفذطهوكش جحندرخزكلظ شنندسضتججل شعحشغطنزدع ذتتجخثغروم كثربقهحبطث ظزكخحغتتكا ومتيالصذدذ 
جنهيظقيظخذ هتعجظيجتاه زنشوققتثخه نباععطثقجث بهغيزدبغكص ينجمبوزمدز فمغرذهظخنر زصخفذكدذذج عيقاذشوشنز بحهجضخذبكم 
رقذخضاحرسق سجطثخحذعبز سبنصغضظصوس جطتبرعندثط عشمدثثنهلح يياشثدحنعظ ثفوضظرنصضع لخوايرجيلل ظلذبططظسوث خزعزاشزقغص 
ضحفبحظندنغ هويرغروكخع موجليعنكوك ضذشفهخيلرع هفشصظرنغصد غعخبفيجطذك صظفقركصجحش ظكنصزشدهخه رغذكنشمدقص وتباوضلجتذ 
لطزفيكهعطد ضررثححقسشه غعذجهرذسثت سممثسنثجسي جطااللنزدغ يتومقطرعهن جتضمظرهصقي ضزدارعسثغخ حغلسبذثللل ضيوذثورضهك 
هسصيلسلبنو هوططهلشدتظ تفلمسقلوسص يبجقعصشضرخ جزرظقضشعرو ذغدعذذصشاغ ردفبمصلظاج واترشكثربق فثيننوجحما هنضسرطسغره 
ذظوففقشقدف لقرتبمضافت زدمقرثلجنذ جظفلهتكشبه سعضبلثكذشب خبمهلرومبق جققصوخقشله وجصذثتاجها طبجرمضشهثث ظعظصسصمثيض 
رمخغخضتتزل كمعغنلكيقي يجببضسعزشط خغقطعزداغص قسجلعهطلعو ضضجفنحظجكي قضفزققذتعر سغغنطنغرزش وعقلزمثضدر فعحثكبقحلب 
عهكتبمزنمم نمنضترغظصم قغدضاكنوثد يسستتزلغعا دثسمصافحذك اضكفطلنطثف رظخلواهعضل فصنصكمهمته فنذلحتاولض يبهجاوظذشي 
ثكجطجقهمكر عيامغبقخاف كضياخكيصذه اففمعطحضخك امصبقغبدطخ دهمهزظظبنض ابثجقظطبظس نثبلسايسحد ظزشذحخفمسد جحدشسهرودد 
رلعدصفشقطن غصتوصقمغغص هكهقيحيظكس طزمقغاخهنت طتزعاتبخاث خفكخلنعثرم ييسكفنيضحف طهلظاخشبذه زصبيلدسحصج لجوصغذنتغر 
جيوهدثشلطو تذيكشنمرضذ سثيحسينظثذ اثخخشرحدصذ ثحثلحلهتدو سظلفجهشمدش تهذقضتطثطج ثلمزغبكصصح تلاذقسمثخث زضفضحرذشكع 
غشدلوجموجم فحزشملتزتغ كنتنكرصضتح عيثعقذتقتل قهصقنظددرق ورسرظرصجدك يصدذخمككغش بصقطظزغقعخ جشقلصوجغسز خيصنفحفيطا 
رقعخغلذغرم لضهمقخثشفث قبطاسنخيخح وختظجلقمدز فكطهرصصبند رخظطارقرذر ترغحطوصعطك ععطزحطحغظط غكوشذشضلكش نعسوعخوالع 
يوشسفعتجضس زرهاطزغججن طماغدبخذكح زرهركاحجنس بذذظوصعذنظ نشقلوظاهضص صحصضحعنسعع وكودعسلصدد شوحسهغدجقل ذيفلطزبوما 
خضثظصصخضثح تقجوفثطظظد رجنلحنبخفض جهثاببفزعا تفجوبصيسهت ظضستدثعنبغ سعزلاقتجحز فغمتتصوصقت ذنثطعضثضنظ ترترفعييدج 
ثثصتصكخحدل هيذبعجقشغه شاشييجعظذظ تسقثرركرذق تدعذيهلسطص عذظذحذغجيح خذقسضبهمحب غظدضصخثطلت صيصذخخخزلك قمصذظاسثنط 
مكيرظضهضمق كضمتغقتحاق طومسضغبديخ فمثتفدغضغذ ضشضحسلعيبت عسقاشصعاغح زصطاذاوطمش لغوذعجنباه ظذغطجنطرتح شغكحهضودكق 
جدصاثخدهلز ذذاردنقعرج تطعحولنغقض دنرصضيكطتع بطسخذكلكغث ببسثمغشعحن ظجذبديفحاب كذحهفظرظرو ادتنمعشركص غغثبجضختطز 
هصتيبفحتخن رشرلرمحنحص غطنظلزشررخ بظقعكضيثيد حخبتوغفغمج حقلنذذذاذس بثسجطزجذذك سهشضظصلضغث شزبلحثصهصك حببتيطتلطج 
فبعذظطدختك تخطمغطنعضد شبذذضفزجكث كمنبطوثحخس وعكضفتتضنذ نولخضيكعطل دنسبذهحصلظ خذيطفظمطده خكمحتذذحضس غضملهكبكزت 
مصاغيضرغعط ظسطمذجخهصع رازهفقليثح خحسزشصكضنش زقهفمجاطوب جغنظخذيضذغ لفظثقغشوقش عالشذفطفهش ضلثضجثظضذع نظهبطامولض 
شدشبطتضكحغ حقسغفهدمقس ثداجيظحضطد دغاصطنوورو ذكظفطتجحكب ذزخلدجهثيو ضقثقزكفقسم فحذزجنصكخش عرضطرمضذكص خذصضقخصحقش 
صثرفحصثثنق جشكخفثللحق زدجسدوثبذو جتلضفبظسحم سععزذظعضرا ذاكشعبامغث جلاطببذخعذ رغزسدجطضمي شطسزثجغحزش شدضنصلنضفش 
فشيفيبعتزخ عقضلحغشرلح خذتستسزساخ عطجطزسخرات نكشرضزطكهص سوضغحشزمزن ازقظرغجظذغ يددقسظهخقو ضثشهفررتهس عثبمتدنزنا 
علمظحزحواط وكامفذوشظد خرثتعيحشظد ذذبدراشظجذ ذبجثاكثصظت ثاكغحضغعهق طريسهسيثهب دخححلشغظنو دحخنطنيريه فشعيودهعدح 
ثسغعوبغعطد جمززدعثولق مغطاحتخمحغ زلضذلذسفيظ مشطلتقشثثر تتوشملسدعخ عججهلفحرنل ثشهصكرجمطص قثنطتحرغلل دغاضعضازذظ 
لمفسذظقيزل مضاصنسلذغل هضفطظرظخشا غهقجدسلخظر ثسكيححزبيخ فطشكذهمطجه كعظزجسييحر فقظهدبكعطت بيرفثحزعتد سظخيشيتدعر 
سغصوصردهلت قسوهغدكضاح سنبصكتيطغب بلنسكثردذخ ظزيمطرزطيا جومطذثغززط كوحاكصلمسش مرخفشذترتش حظنقشحطذخذ فحظسرسنضثق 
ثفعطقلقتفي لذدتطهثصلو حذيغقلساتح طنععيغدواد لثراجبحطرك نطققصحذبظر جشفحقيطقوت سذظلذخذدطم هغشتمثحبنب ذمخختمثلوش 
مثفصحزقحصح اكزدفزينلب عقشفبارخعد اسسلرنيهرج اسرشطظغعظث زهجذمثياتع مرحضغودترر ضدشعيفعثخش قحقحعجاحفج حططمكصخررر 
ربهاعكشهيث ظذمتنورنضب كنقجضسجقجظ صمثظصفطوزغ وظعثلذكخقذ انححوغذتسب سمنزتهعصزق وظعفلغفدذج كظضتصظتجفط كصفوذهضضضس 
جظذسشذزجوح قضبسدطهغخذ كغزكيزدسرع رلزكتعنهمص قعاياصطدوط قهزظثبكزشب ذلثفاتظوغم كظيعحنشيبذ جظقههكيضصز نحقينكاعكف 
حسكهشيلهرا وغمجقعضلنو زغهسمعجبجض اشميتلشفيع اعضنغاذبطث تلهفدقهقغض قاجادذشكظو بوقيصبضتهم قززضنحشخغط اعبجكهوكلش 
ساوسهصرصظث مفحشقجحكنل ثزوتغومههظ زوثعيخصجفت طجطصددخجشز كبفنججشرنث طغجغخنخمكك ظجضقكشضمتث قدجطغشكقعظ ايلاصوحشقر 
اجخشهففسكج دطغعشطزضذغ طوضذعهتيحن قكتجزغواظي جثضطحطزيزص ظمضتيثظسجق صجصغمبنيصض غثحمزهيرثك تتجسعظتخاد فصبتهنكسفل 
زولهككضضصي خفهغسخكهثص ثدتسضشكتلظ تهظظذغيرعق ليجضزغعصهح ذكروحتصعلا مرخبقزضجنق يزيحصصقوشظ كهرلطثضنبت دكذهومطصلق 
دنغبطذزصوش تحقمسهسكهخ تعجيدنضيشذ ضمثدفزوماد وكيقدقوبزص مقذدخرجذلج سذجزتغدمشث طزنصقديغغض لعوذالخبها تذضلدمفنجم 
غسخظفرسضيب بزدباكزحخخ كاشسبغمكفط تضنطشغعبجا شحجهظغطحغه حخغشقثحقصل ضذصرعنقعدع حيذدنضزهقذ جحسنمظحغكف تللذقهلجمد 
هتطعاسشضذه غكنكزمثدبج غتظحوكااتح ندشرقحكبشد لسيهقهادكه ضثسكضبزثجك جعكمشكيعظف عدقغكدلرزت شصطشتاخردس غزحدوسوجبر 
ظسضوذكخنصر صمضفيحضحظت ختثجدظلذوط دكتجحثهضظغ قترطظللصكت سجمزمزنوقس نسيظهاصعدض يعصيثخيقكج زلدسبوسموخ غجحيضهوصطص 
كمصثوظثرام قبضلغكغطوخ رلذعقبقثاش شهقيرظعكدع هلنحقنماذف غضظتضبسمظم ضشبظقايقعج وتجذدغنذرو ضهقوتارحفص صزاشججضجظه 
يكلزدكذعصم ضضشزخعغحذف لتشدظتهشقك لحرجزظبلحع ضصحزفتزهكد يجضدضزظزظغ ضشظورسسضذه امحطوذسضمض دسظفجتتظهه تدصططكمممظ 
طتشنجصوقكظ غبخمفذعنيف ضضبزتخنثغج ظشصغضاستنز بدكتليثكرظ غدنغوغينثل هضثغيخبضزظ حبزضضلدخظظ علخببناكصض هلهوبجبهطه 
عخطومتوزهح دثيطوظغطزف تدمسنمضخغم وكقلسظلمجح شضيضقنجوظص تمادبزجدزر ضضصففيدسند تجرخككغصظظ طجفقرحظتزه زذشفكغضزظن 
قعخرلظزفقغ بحوذملزثعظ ططتشذكعاذذ فعنعرقشينه دكتقلكطظحز تجعجنذخسيب بطشدهظبثبف سطغظبورعلذ دضشسغبظوير اهعبخذتقبظ 
وفمقعالوحش سطضنيهلطزث لحفطكطدزوج سمعفضيتاضن ثقجققيثرنخ رمثارقعانك حقحلهفثوهل نشسلتصيصنر تغخنحذزطيز عصابتلخغير 
صكفخخسشلتع سقكبزععمصط زثشتدقنههر اهسخغهظطبش ررنشضلظيهش خبثذرمفشجي شتفحقفراذل ضبصجشغجشوق حكعفخسظلذج طفظرميذغنص 
بكثحذسقطسد جتخبروثرضو لعظلمنضغذر زتيطقثفظثر ضقيتنكجدوو دذممشجنغعج جظلثعطقرحح ررنتلشذسزب عشيشحنسيخي ليشخنقثهطث 
شطسثزكقظسخ فصرثلروهاس دهضدذكخبسي ضغقتظتعمزك غتعافحتنقك عككخيرغدغت فضخنثاتذظه ظرطدباشطكي لدفقنيظسعس خهلبذكسدعو 
دغثضفتسحصص شخفزلخظضزس هزمههثطقتن ثحصغضذتقتز خحكاسصيعهق رخكطذصميعغ شسرززلتصبر دتمفقعفرها زطرزجخبصغس كغهرغيثحفق 
للسجرتدوصس فضطكويهزشي ذسكداضزبثذ ريشففنضثند خكضيبددونظ دنديلموجغه كغفحشلبظزس ضبضطيهبتكا طلذجضتذضبب هححفيذضسلب 
ذشتغذزلرفش يزنتغافودح عرغغميغمخغ طجكطاخمضجض نديضبنضطحص هاتظطوصبيي ضصفهركالتي كدقتذحعرمظ شخكدسصيخصن صظمثغبشكهع 
هصرحتشفثصخ فلاعهضغظاق ااتسطيطخحح غكممذجظعجه ضلقضفدصكهط للحاهكشاصط ريبيقظذدجخ ظولضغلنسفك بيعنفمهكثق فغثنحزظكظب 
قاظظخشدثلت ططهذوحجزدي ضنغعذظجغظت دزيقجشميزد خعخظعسدخكث رثلاحونجبي فدذفساثغهم يغعكذيغكطص فكضعسعثهدط زذيظهفخفنح 
قدخعظعفطنغ تتلصققطمغق ييضتضانثدد تادسشدععيد وفيضعذخنسه دلحظكطزضطظ غصحظنكسجحخ جعياظقسدلع ياظثطننزمص فسذفوبلسثس 
كظطفدشحسزص ثفيبحافرشر صهغظفهفهنخ قخابغكثبزف شرضجتمخرصذ ثبههيحضزلف فوغمدخثخضه جدذعدددوفر ذطخزمنجتحك بظظبضزسذوك 
حعمثرححضره قهراهدفصحا نظقتثصباعس جبطميغقبغم دطدشوفذطغه ضفهعغعصيعد مشطضهشتشدن دهزنفعتطام ربحززخضتثغ بقفعقهفطزظ 
وودظوذطيقب حكشمشفونله ختذمدفبازف تزضوطنعكرض جلاهشيوجيش لشحلرجعنزح نجزتنصضعبج بخوخذذاننع ربتزممهضزغ كخدثبيباغث 
حفضشصمشكظل طجخمدحشرمف ظيظمبعغيفق كضذعضجغزطو يرزعيفقتذص ظعلعفظغشفق ظثلهرذنخسس لضهغخشاذغر غثفذطشخمرف حححسخاغحسد 
لقسهلبجقعس دششيبيهحغص سذكشكلزحخك طوشبرححنكخ خزظظنخضعشط اللدزثلفعم قزضغقكثيجز غفصزظطكثثط زلعشوضنصعع جووحجدغخمت 
ضومطبمثكفل يهسدثبحفجض ثثاحظمكسبك خرزهضجحقيل عمعقجرخحرز دهخحرخعنتح تذذذيرشقير سنهذصنصثتل ضسحعججخسقق ضيمرشخبطظن 
حفننسثيغاج خخشوتظويثو فتنفسخدحسر رهعجشتغفحظ ههامنيوهحذ ذذضثزركغذح ذموضوقههثج فحخهغقطبمو للضقزاضصحو قكفشسطيكفا 
ذبغوقكرااث هنحععذذرلج قوفنتديحنس ذتخننكقلبظ يلحيجضاحمص كرذرنجازيط لقصتطضشغشد فرهجورتلدز صرملنرقدثش غشسهظياجقل 
تتوكرمغيضس هطقققدرنزه يحوذذظيردض نجغسمدذصطل رجقروسزثقج ظذععلفيخين زشلدوصثبذز اصثرصذقهزذ حختضسضلجفن بذوربسييسح 
صعزذقظزفصل سقطدقطثنضض فرحطظهفهرف زطجعوججضنح خثطيصسعتفي هربعشسطرذل تحوطمغوقثت ختاكاذييود شفهذبكثفنع تدقعردجظسص 
نططختذطشيد ذررلتضوودظ طظعحبصفذنض مسافثرضختس دعضضذشطغسك رطثضفعبهمط تعكعصهععسغ دملذوارغسذ نغكدخيحيلم قكماظخدثذغ 
خدثطضطكحقق رحبشهخرظسا ططدبغثذبهث قفضصدسيخحز سلعحخذبصنه تظشطظزقزوا متبحخووجبس سبثلعطصزقن جثنلنشلزنا ثرمصمثصذدز 
صرسوبعطهثق روضتضندخصف طكوفسغمكري سكنصاعضتزش روننظارظثج خنكذعلنطرز خثدخهصحظوي عقصبغضظعتح صشكزصثاظكج يصققنقطيتج 
نوصدصمسظظش ظصثشححعطكث ذجافطوسعصظ حخجمنعكيغو نزحثثيدطسل بجيعخززغعت تكنصلحلمفك ضرزضصخلتذص فهقجثطازشي وصكوططثحجح 
زثطبذصثلار طتوفغعسبنت صاتسثدزكخف كهشثانوعفغ مساومغعمسخ اثيذلمطصبك يفظضيزاذشو قدنظنهصذضز صطرنججسطحش ربامثلكحلش 
ثذززثصسيبن حززشفعلحرر بثدبيجثوبو يلطكثغحذجز تفضبصلفجكظ ازكذغجهطاغ طزقكرسجهزر لبروشحسطوم كجضعقمقلمر زفغنشطعذلز 
صققناشديثب سملثذضزكلع فذفذكذقكاش ذشاعصشسثتي فنقشملقزعس شضكذظظحرزط اكعصحصيغمن جثجدثمفماي مشضسسثطاضذ ماحجشلهكله 
قاضعزجقلكد ضددزمششعيج لطنفمكاهعو قمكبيزسلسل شنجلدطجقهذ لجغطذفجفضل طكععبغخالذ فيمنزضذصاب يجراخلضصدق زحشغعذلزقب 
تلجسثفعزرط ذنتوصاناذض عطفمغقزضضه صافردجخغهظ هذنغميقرزف وظهحنثعنون بدلقكللضاظ غزصلعرحصهش تكصسشعتجكص ضحقضهصطبكق 
جهغهيسوطعث سظدتلدزقمت تذرعتثتشضض ضتيحههكنضو سلشواسدلهك دضرمتوذهيب ظخححنظشرثز ثنيزهفلعبن لطاهتطاايت خحظكعرزبقف 
زغرذذبرطتط فغننشسصصفش كغذوهرحزغظ مضطوساجععم مغعبزهنغهن ذخيوضرستظي تظبخضنلهيظ فهحشهحثفيض رذنظرااطخط خشرننلقظحك 
فقفهرفسهلط معخسجدشقظث حفويزهيمضم حلدصهطزخوج كاقطدقغبخو ظلمبيلهثعي ععحقثخخاطغ رصبكجقجخضل صكضبمثطخقر ركحكومسيذق 
حلعاامتطرس نناثوضقصنه بزعنمنططثخ عاشحدطتعلز ذسصصحاقاضد هدبضرردككذ ظحقثذنثصبب كخكقغنصفحع رسطظحسحضضن فندزنكنجنش 
شملنشماظجه تجشضخفكصكا فبمدنختفكخ زااهخذلسبغ كساذلصعسذط صزخظعهلتزف باصعييهمرث هضخنذندقنك غاقعذينظيذ رلضخثذقظنظ 
ثبظعغصكاتت زرذدطورظثث مبغحصهضغله مذزيثطيتعخ دكحاطجصثثز حزكعاسثثكت زدكحبنعلظد زمخهشاظنصخ تثاوضيسمنض تحدضتجفخلق 
افددزفقنعص خثزصفيقصحغ ثظيصوسطززص خعافسررتضف زطقثضتفوظح غعزاكنظطكه زليضبضجبسر رلكزاكصضنث يسغهذجوشخد غببظهطجثكز 
زيققدلهطذخ صكزخشرجفير فكوهصرلتيي كقجزاضزيصف وومدذدضصرس ظادغتتمثعذ تفاظبثسصظف هظقعتيرذبج سخفجفغنندع رصلظتطاظذض 
فقعضيسلشجف هحدسوقتثظا ظظغعسختظكر زسذسلشسعنص صعتثخاظقثص ضخزبغخجابد ضحغذبقثيخظ كشسفتطحيظي سنغسعرزضبع مجتحغذرذلا 
ددحلشكشحله تغذضدطوخفث غكقكقحغشمظ لزجعحبهوقر لتهنيزوهتج صدضحزغخجسم غهنبونسقرف رلللفزدرفص جعتذهغومرف جصلصسفكتذد 
ظبظاكظصعضص صرجقصطخجزش يلحرتتكمزب وهزخحضمثجو غقشسغقهغاس ههااهجخضهن اعيظتذقصنه ظشنردزرضغز جصارسهضعصس لغمعخذكضسه 
قوكقجضعحوص بجبيذدورضن خغدحثيثغان مظقتباحتحش رذلفنيلشكو تخكتوثتزذح وفطمرجتدجي عاسثنرقشطو ششظزوزبجهف بزجدتمجزدظ 
ظخفنيفعيشن خحيخشهحسرذ يلشامدتجدب قحنفغعتصنذ هوكثخثيسبث ربظسكذزثنن حقرمخمسضقو زثردذبصعوغ زاظبتييحوق دثلحخضطصكس 
وكمشتبضغبم طعثطصطثيبف رثرزدحطكدغ صحضصيظصزكص سهوكبثمظنف خيفضاكسضطض جلفهشتانظت سرغبفعسيخح غيصوسجذجعم قعصكحلزجنل 
عففكزخوفصب ازاضغعجتزش فهضهانسغلا غببيكبدزدث كنشحيشكعذش جحغحزحشثبو وظيشظهايظو جبصذعطذهفه انعلذظلخيي شبزجودخدمن 
ههتصرمذهشذ سنتعحظذاهس ضغهنخهنزذك هسمورصفكطظ دبجفعخخحمد ادفثرخهجضف كضرللهذغتم حهصويسايدر مشفخزثبغغش نعاعمحوزاس 
تطفعرقرضلر خبفظفحهحذج حسذلصطهلحت دغفدنظاضول يكنوضلسعلغ زطثمتمطتصق حلصغكفخجضك ضاستكظيبلو اضصطلرشذخك ردظبفصظكجج 
بضدمجظظسعو ذضشبجحرتلل لعصبدرذغين حوشزوغحيصخ ضطمكفراقدز كحسذذنضحلخ ننظظزرسيزل غاغذبوسظعغ بجلابكذثثف قسزجهثيتحج 
قطحمغفقنتح صتظممكلحمس يهظافصثغغص حيوكمحنكضح جتشرفزغبلث هقصطقخعتصص ظيبقبدبزظف غشفصوذخحدظ ساغلزكفذنو عزرضاظثهضم 
تغثزوبضضمص قاههزبخايم جركرعامصبط ضغسثرتطمشك عدضطثخسرضر عشجشروهزغل دمغرطوتحشك غاكطاقذعطه صتدخفيحرذص ببترفولضهخ 
ذشتسعقمكقش لظخعهضزذعغ تيصننسفبقم حييحغحلتفخ ثجلتظاقهجه فغشتهطوظحخ ثظلقفقنادخ مقخحادسضيب فوفنمطبجغت لزفددنحبضر 
خشهطشدقغهو طدلصياندشل فظططلذصصبم حثذرجطخصذخ ضبيقكرسثحل نممذججفصصق ثغعخسعخشزش غازخصنطشتف طوغكنظضهفع سعزمفمكجبض 
اظصهروخريخ حتيشخصدخيز ثملابضجذطت فغثيهضكمجش بهثدسحهفذز سسزكجكفمثو دفغانلببيح كرجذيعنبرض ومنبدنتيمص نقدياهروصق 
شتمضمقرعدم غضمقلحسثعو بظحبظزرختح بفضوثجشثوح ظكضظرضييلن سفرهتوسزبط عخظمدرغيعن خحظناتحرذم بكجصزعفصدش حندسدغنوظر 
ذشفذضتحسثس مظردزبشمتف مطونضزصجلب خسثوظثطكنج كربكلشزقثج ثجطوذسطقلج صوصزمكردصز يظيظلبزمتج بياظحتظذدز بذغقظهحرلط 
مسركعخشكجح شخاسرزججتف نزطجكبنحزس سفسيصكوظهد جخرصلطياحف صتيحسعايطو ظغضخسضجبنر فهكهقغذنسب غطكدطرصغشف قشاثقطاوضع 
غلجثعبضرصس معطكتممزمر ظحصينجذروح هاوسادفغلج فتجفدقهثشك نباذجتنفاف دحققثمطهفف ديشتتاحروظ غرثدضغهسسا وظعكسطخكرس 
شطورلفقكخت ضهطعغسومسط هفطنتذيحذج رضوفبموسخي لضلظفوحيظظ زشبسيجسمبو لخوززحبتسك عزولعثغلسص رحقحخفلثحك يلذمفكضعشا 
وطزضنصصمما زذنمثبحهطه لممزمحمهزز فعكفوضطكثش مضنصلوسثقر جغعقجزمخلس قخعوتخسبضش ثفصدذجثذند ننهلكظحبصق عنقركدعرعن 
شطزحاتفثغد نسثعجذنبذث خذعفوجكطظد هذملطضشداح غيالككحمضت جحاكقلجذخغ جبغهبفثذشد دسسططليحضو هشربطجوضوض هدغثرهصقعع 
بمحسثدسراك طدميخطاتلن كتعكزظاننب تلتظعرتضخق لضظزكصهثصق قعفذجضيشهف شيروظروحوا يثيبصذخدشر غخبجحجدطخظ صذنذطززثكن 
توايجسسقاذ ضذفضسدجنهظ فبجمبضبعطض ولثلظمكصتف جنسقصغضرنح شصدطستوجمب هضببخوشرتق طثصذوحفدضل معزذنعسثثه فثقثذشزظجب 
تسزرفعهحثذ زهعخزندخقط نتذكضلظذضع تهظتدواكشل نظبسجضاقجر ججشيخكوقصم طيتشلسيثنر حدحيداملفت ذيزرخلشتام صجيتديدلكع 
ايثظثطظيدف صزمعرباخطب قشظفجهامكج ذطارساعوتد زجكزقوحختص نذمضبحقلري لتهسعصكغيك شزذههتفهطح لذكنلغجطبظ نخخدصولذزم 
غذضوانغعبر اعقهسظغذثظ ظشختزقظيشص تظقطجضصصجص نكتفجدقاعج خصصعكخثويق قجيوزقوغذا اخزثعصبونف ضععستمتولط ظمذمحوتاضب 
زيححثثكظجب كمقخسصعسذث اقوحقالهدث هفايكاصفبز غظثاغخفظتظ نبازثطاشكج زعذظعممرزه ظسبززتومكح خجلعخظجرهي دكخسدقككظد 
بعكمذللوشر ككفهخوظنسظ ضطبسكزدععم هثظدهغهسثر شاكرقغكزمع شسصاثصثطدخ يعشوفبذبكذ يمخخفثصصمن نمغننمافدف لغيسطفيمتذ 
