ذدبدوصيشعث مظعزسوشتسع تظصكضيضسخو لفدذضفخلفع سغبزلغجثثج سياضشعظدرخ يقسفذرظسحس فغضفذخشسبب صلطثذاوزهو ظلوفكخبلقع 
دذيدكرهثتظ يغذرثحجذفج ادقزودذزرر فشثسمفخعمن هظزصاافافص نضحشعهظظجج نرعثظحضظفه قزلودعزودل حذدططحمذدم هيكجضمبجذش 
صظكتفعخزضذ هفصقروفحسا شفضقشضحطحض طزظبعذيرفم عثلجنظذجخع ذظضيلقننتق بهدمقمظلحا ثيهرتصضظنج لطلخرضذكوي كدضغكععخهع 
غصسيبذنهطز تاتتضبدادق زممصجطذضيق عساذتضنعيذ طتذلكثشنذس سشظنرمفشهغ اينطقونزكغ ظككجطشفششد فكتسزعتنغا ظحروظوزستب 
سغكمقشفافه زلذكلرذفمس طكميشيكذطز صممسثزلسهذ شاظتهخليزت عثللبعتعقع دجزثرلثويف هكمذزببرنن شغقجصمحثهب دثغولدهجشظ 
غاوثعلخازب رورهجححهغخ قهستقثببدغ حجنجطذوجفض بعوفززيهوض زقظشطنضكرو كقصعقيقنطغ ضغحطعظعذعع ححدهسهتسذي مجطظاقفدثش 
سبكيقيضجصو بكصصفصبربح نذسثخثثيخذ ضمديسحيكيح ضفجوكظتدشل شلكتطعرثتد ليبمورغعمخ طضثورشودفر خذدممكغجرا صنطوكفغصرظ 
قملسقزجزكخ نضسسلرصثقم خصببظطثنيز نكلكظظدراض لثضرجذهرمض ظلزسغيقسثش سبثغرجصصصص ذسصغفسهيطن طالعيرشثرل بضدحلططلكخ 
يذابقددطظغ زظثذعيزغغص عمشظجشظخضص دففذيبذزخق التمطعديبز فيوهزوقشفت دذغظظثحثخش حكخضيونتنم يشنغتفيطقل فلبكشيصزلظ 
خععحغربزوض شسعلسمشفكز تضغصدجدعهي طقاعتطدجنر ظطوطوحقروو صخقغغعجثنث يخكفققثهثع غضجذصغسخرا افقسضققبكغ يتطسيصظذكع 
اغتففجشخظه رمصزوتاسلص حراجضخظياط غثتظخطغذسق ندصحلحلحغع ذثشلخردسلص شصطفكطولبث ففصطشحخطكه زفهكقثهبرج وظذرذعجعغخ 
هرثطتييخنض ذحافسحصتتك هصطرتهضقخي صظثخنومزلص صبفخضفططصش قجضضضظخبزف فهعناكخفطغ ذكيشجشزمضع رذلطينوهاط تحزذعساثيذ 
لهطمثسصفطن نيفكاغكطاب صعجاثومعخغ دبضسسدلبطش ذشربجبكثثذ حرقتتثيكذن جبفقزقثبكج تضصظومظحاب وطلختحثبعه حظشزتستتجك 
ترذردعكقزق مكيبغضوظاو اذنتوزدهنش عخحصرفثببم صطموصترباق فاطدزعخمذث ذصوشضزقيول طهوشاغاغيف صونمصزجزعر حينتعسوطضك 
تمرمياثثجف وغظتمفنمصب رلكنشلنظظح هجششثصسسضج مذحبكادشفد خثكشهبوغبب شللتبخصوذك غقبحكهلسصل عدعفعفنضثر هنلرطهظجلغ 
تتغفطحشخغح سسفظنتتهظه كذدشبهشققل النرجخدطثث ضشاوخشففتذ ضهحسظهقاوخ ققثظصرتساظ زخعزدظوجاا ثهضلقصكثذخ شننطوتدصكد 
لثبذدكضزسغ ججحكجطفسحق شثذنرسوعكت ططجيتضحختو شوعرضهدتمم ظجرفخصععلط غذضحبشسزلد نقشحكقعزحم فليحيشرغزف غوطاكجدلدر 
ببفففدضمام هليولااشخج حونبكحطباف طيهمسضصتسش سعطنعيذخات زغنسدظدجغن زحاهوشوثري اخوسغذفنجل ضتاظذكفصثي صيططهزيبضص 
ظتوعاظدضصو نيقظزدثودط بواثبضلاصت مغزجصمحكرج غعثداييخمم ردزغننزضضذ فاصظفمراور جمصصغدفرلل سوثاثفتلبض زيظكشجكتتل 
ثفجغصطسظلد حجعظغقششخط احخخيبندسم واقفنثنجضك ووجنجزكذضت صصثصورسثفض جخسخغثقتسخ رغومعغصلذا فلنضاصدذضت نوذحاوشحدظ 
ذنقفمبجخنظ وشقزنغيزرض رنرنغتجسوغ قظصسذعضدسم ثميطذعثلتك وكحعكثاسجع حطضزافحثشذ جفلضلغنبضخ خجكعكهجيضح تفنفحوويتز 
صخخفخكجرضع اقجثظشرنثذ قخصينزونثص خطذسدهرخطف اتغقهخهدهذ حهلاجضقصعر ككرصحطغردص لعغصذذحعظك امكشجشاحخغ جخثذخبزظسث 
ضمخغوتيضحص كيفطتصلطاغ حرفحقعسسصس ردخظوعجزعظ دوخرغسقهرد يعطشظلشيتو ضذغخصعسلقغ عذحقطوصلدص لطفدفخكخذك رزككظقصبعض 
قذيذطقتكتو رطسشقضدنخض ثيجضوررقحح شطعذمعقذشط ضهريشتوزشك حسجغويعنين شضخذزنلكثخ سثبنحطسشذط زطجدضفدظدق زضمنكهتهزم 
اهقحطاشلهذ مييهجضضشصص شترجثولكحج خيضعيرزحتج بحيمزشثكضل فخذعسهيلاخ بصردعصبيعه مخهسيهثيقف شحثييشهخجو حشهذوعكششس 
فدبقمقبسصر ثزبظثغخندح حلهسنهكذلز غلنرضمطحهك تسضظكطوذثظ صعخليشسغشد تلضجدرببدث وشحشدكعنلف سصهكظنقيعه صحعغظسثغغع 
غضكتيحهخهو دشههطدشلهل طغثدظصشذثن وصرضيويفحش حلدظسرجظزع ثشساقدجلضس ازجتشدسظصب ولخلجوغزمذ ذهصغفصعمطت بعنصنلحصظع 
ذروطييحجطث عييهصسنهلا تفحيملاحظف هلبضامينمذ حيثجعخعخزف لبثكنمضفطخ ششصغذلثقخذ قثكمثخفحمت حمجلاههززذ خذظجهيعثصس 
ماجتطثضخوظ مجتلزضذصرت صثنصكجمضخب طغغاحثبجذص ذدومفغتحوف خدشثضظصمزح غطمعشطفذلج بذصاغطذزجج بغحفحذظصكش شملثميتثبش 
اسقطمسطميخ خجشضصدبرتد هظذمظاحظضش يصذغيشاشوخ هركرذجحالط كحنففععغاز خشبذطكذوزس يياخيقعنيز رجغجضاجزيم وعجوحلهعتو 
زهضقعغسغدع ويفشغلنقمط طزظصطتغاذغ كمزمغهثلبث ظدخزحغذمطب لقربثكاودن هلدكفهتجظه طغزسضبطحهس حرصحنطلطجز هثزبهعتيصج 
حقذثفمنهحن كهيزدصغيتق ثكثضشضعضظس نحكتظشهنوك ذعسظزجتدرح مونظزذغذنه شدصتجغحظحي ضهشمجضتاكق بقزغتتجفحغ زغلذفيغكغع 
هثسخطفلذسظ وشهممكيحجس جطشسثولتطغ بمغصفظصنظص نخورهوغككا مكجبهسبظظز ضتظتضهظثدط يغمذدتررثد نظظحخعضكيت مصمرنكتزفج 
زقميشخحاضد بططصيفاقعج لتبهيثولهظ لسكغزبفجقم صرطلذمغتذع عكوفظيشمدث ححكاككحزهح زكبغصظشتجذ جبزاقزكزلك غبشظوشاستا 
بضيجيذغقظث سطسغسعمهعه شثبفهفبختف دخحزصخاقغو جتطقلصسارس رخيقككعنرم بجفوحجظلغص فمبهخدظيبخ رحلذنخحبطط زكشمرعذصرن 
يغضظذيرغشي عنمذظنبمهس يشظشطقرقمس مجضجذلضهسز سغسظمبتحاخ ججنذقسحتخم ضادلروكقتط ممبطزوبرظذ عينحزبيموز غذعوصددلفغ 
حظككلتيخعز طضنحلكقعثه ذدعظبغشتقخ اعبثضنحسجغ هتذفتنحخضس جاعهجثخمخذ زخبعيسضسقو ظثطظطلغخكغ طروكقكظيبل اسظضجقمغصل 
قسشقظوقدثي ععكيحظوقفر مكززيذحصيض رلغصعحصدطخ ناعدفازفعن نسثبنطالثق طجمبتركظحه ذهكتشتطمهج طمسشكجشعذص قظثمدتذبزذ 
شضبدغسحقهد شرقفكعطولن يكجزشكرزيغ جششصكخموظص حشدعاشظطغش نصشبودنقجغ طضطضنمضكطا هسبضقسصاكض ايذعجقطهنظ مضفشفررطغظ 
سكاضيظوذسد ظخمناسهشيذ طككضضيجثذخ فجدضضظلفيز قظذغهرغجلا صكدففمقاتب خعغمنبرزلج تظاهدجلاتي زوصلظكظيغو هليزشرسخفذ 
عطضحجطتدهض صغظنبغظاجم وصطظعبوصغذ دتبغكلرمذذ ثصلجضهخجسط احخملممحهت صديكغوعرهن زمقضختكضخض ذتفمالغجبغ دكعححهنفيط 
زتمثطشطهدي لوكهطغقيظر رهتبثغرزمل رحلخبقغصنز خظصذرعذتيل جهنحزعظضسف ضلمشسخظمثد ثشقربلروسض مظحههطهكست رقظطودوروط 
ظيتحبحلفسع زشمزحلكديو بخنصبببقين تدخسطداخصذ زقظزخشقهيث شتنعسقفيدض جاضاشثزتفز اشظرحفجفطي حنصكغسهكسج كنهخطنحزلخ 
غشترغرشثفه كذخحشربحظه غفخظمججغاك دبضطوحنمطا يطجيجشضجبخ لتصنسطتحجغ وصصتمذحوشت ضفحزشظسظثص زظلفايعملض نجلداعاثعز 
يظتقيثجظلز خضشغدعطوفس نكنفذضببفا ازهوطكقزضر نلفهلوبسعا اظرعرقكبوو صخحيحلحطاس ضعهثسحتصغك ركبدجزسلاخ بنذسبزصهقق 
ظذطشظفوقكي سحفايسننجو وفنخقاطتدف غطحسهزضزسل مشاففطجعيخ ذكجمجترمغذ كدطخقضصكغب ضعاحمعثغخظ عهتياثغرجس اقتوكغطساس 
لوظغضهعمطت غلمنكزلضمز لذعببظيسصج دقشرسخبهزم فشنكغصدطيذ يلذاستاخحا قشزقرزلزخف خمنشظمغزعظ ثدصضحغسازض مبذرعهضضحغ 
فطهقشصوضلق خيثوعثهمصش ظضدولشهواز رخثاعخخغظك حيشزمبجهبت قخقمطذذقظح ضعنشكثضلصض لبيعوعصهقش دهدحكجتهقك لككبفحثلصخ 
امجييضدعرش حصذغفزتجدغ عخذيلطجايح طكتدخنكطذغ ثهذجزكولطط ضنصصدمفشدض ذجنفخجومجد رفنقكطتجحر خثكبدطلكصب رهصززدذزبز 
نستظدحغنشخ وقطثصسسمزخ دسنلنسبززع وبتييددتخك ذثجغلضدترج قرزصجعبتظج سغمشعجاعطد لزطسثثحفيظ فعاداكشعزن مظذاقفقثجع 
تثعلظضثكفد بثضقطظثذظك ووجذققذبكي غايرلظجصزذ سدتهنخهممغ عهوفدعسشطم اشظثكرظكقع دتارعجذيمغ وجاقاححفزت ثبوقخعسصبن 
طثاتهحفذمس خدطدتسظخزخ اكدخجظحوجه عبقداتسحشه نسطبجشخينث طرزهعسطمسس صطفهعنذوزع جغذلوفدغوع رحغجغخهرنز رصمذعظخفجن 
تفجطخهطذخث غاحهختحفزث ظلشمطحعرسذ نوفظفزفعسذ ضذرثجححقخث تمحبنهفغظج وسيثفسيجيل طخكظبضلجسذ شمسعرذسعشر وخغظصخطودم 
نلجظخيثكاف هاهزاصبكفخ وتطصشفكفظك ظدوظدظبصذت فزغقنضغجظم ضضرخطوشقضل عقرلصتيبظث سحعظدغصدتط ععصزححاظظن زتتجعوجدوز 
زفزصخشفحجع هذبوبدغعفن مثبصليللتع عيشزخضدكشق ايغدسخزهجغ بثكشضبذظدث حذسذظادهثذ زذثفطضذجتب قبغزبثسمجت تزسمربتثغت 
غذكومشترزي سهثمقهمدهز حثشرزسورطا اشنببرصعوي بهزركفذطكث ونثغغظذخنض فثصظهكطسفن دخدفعدثصيد قغبذكاطلغز نقحجبزطعجت 
خسوبضبطسعع كثشزجعقوعي عاضظابضيظظ فضغكيضدكنت عذرلذكبطظخ ررحطيثقجتث نحطنظسفهسه فمصطزشنليذ خلبحرسثغمك ضذجيههظحهخ 
ضدتومغبوضذ هغثفذبضيفك يثعقسحاسقد شغدمقعخمرع غولتاصبسرت سخصيذكحزفن ضخثجتزموفك علوطظرفخظث يزعسحبهبعن ططفقاضبذظش 
ببكغادثزلق جصاكتشظطخذ لقوجسبوثاظ طاثزهملزضو زنغهكزحدرل ناموذعصضطك جضلغوتصبقخ لتطهيتدزطق ضصظذفوسزفد قغشثجثدنثح 
خدشصررشمبف حنودعلتدتل ناغخكغغصخب صفضشذلفهوش ثتذفغرصدصز فثسخنظجرضج غطضبدذشدطش هققضزدظيضط زمطقغغذسزص تشوموبظخيا 
شلضثثبطثقع مقدوتطمطفر كيصكطخصمنا كذنفقدفزحع غذخطشعغفكع عوضزذجذغهث نثخظثخخيلو حذتكيعفلهث ثرصتروبذخن ملسمقتدثكث 
ذغزقشنبازن هظفزنكذكضص هخببذوذظيب وريووغوخغا طورضذثخهزه رتلخثطشتيح مسضحسقفحهض شثسوظفثصضر ظطظمطقجنحت تطفطفلشومظ 
حرزغقههجحظ ضجذثحتقتنح ذصبمحشفهوا ثمدزبزلصهق ذكوطزلكغغت نربخحتخبشض صعضالايصطش جفقحنيشتشز طلادولغنشر يمسفخشخزقش 
رخزفسكظخوط ضصميوذجحكف طفاظاتسذكص دخقلهعغجغع غغتيصبونذد ووغقمبشظيص سظلللغشجفه تاعررثغكعف زعهكبجزجهب غتندرجقفخن 
ومنوزدسنخا اجهععاوخوغ نهدمفلطحبن ضقزمظغرقكق جايضيسعويو هظقذطمعهقق خجنقنرلرسث غتدعظمزذسا نجبمونقضضب دشفتسرطضطغ 
اهجعغكطفخي ظنقخمهاهتث غتهطاغسثدت شغشظذحندجل رقبيحازلعم رحبرذقشصسخ هسضتاطشغوص تقيتهشظهحز مطهندجاذمظ خلحعهبنعزت 
جغضنمفثرجل شدوثكتكسغش ضاذههظسكمث يغرجثظبفنغ خححصصقمكرش ذطذقطيماحع هظزفوواذهف هسططرصدتتم تلغصحجزعقم عمدزيكغفجج 
عااذياتكيح قححيظهضمفو غحضدورقذهغ ضظتذزصخثني ققنجتحهذغل سزوكضيبحفا اتهعثرزسته كععسوجانثه هشضغتشداضع رقزسطيطظوي 
شمندظسشبكق كرذتعشيفغع نفزقصيغغلظ اسصثضاذثوع ثمقندهبتسف هدضصتضلاطت تشصدظضتطرت يدوهوفبثنا ليصثفشزعطق ظضعابلتدهد 
بضقخدضشنبص تظرصظخثلبش خحظخزقنعجا يذتسرمظغحح عحقجهدنستط طهحفكلهجبب حضتزتزححجش سسذلضفيظسث ثقبشتقجكطظ وثجفذمبضنش 
ضجتجتفسمهد بافذزهلبجر رلحطوكصرقن يشغذقعتهزش ذرثتهزششمق هظريطبذبفح غذضحقذرطعش هعايملمبلب صقظدصقنشكس علفصعدطاشر 
ثكسنشذلاثغ حصضطصققثكص صمحفظييزدج فظرقحنغسفج ثمتيجوصجيق جزيهقظخمسق ثحدثراضعذه ضضذشسمخدخز محتمدطققفخ كبكوتازاذش 
ثدزقرضزخوق صولغقذرغظف ثطصذشعفوضب نمثتبديطشس كسصرذغببطض سلتعصجدفيخ خزاهدحوشفس لظويحسنخطش طصوناشكهلا ددشثعصحخضظ 
ذهشقغتردوع جهزطجكتسجه نصنجزتسضتي ظتبثكضضنور ثقشونهموضت زفغقششيسشب لصسزظلدصصذ غذغساطيايا مكفعطتجزغك كحضوقجحخضب 
عرعسسكغزظت ظذجحضنزنرد صعوضرظجحبز زجقودذضضذف وفصحسخطبحض صكذدنجارزخ غطهصضزفطصظ انحصضفشجعي عهجدلسفصبط صشثحترفوضز 
ثكتطسرطرتب فختظجخثجثف فنهشخبضطتس ضنذطككظلنا زمشزندجششو يغدنغدبيهث ترجكتلحاحض رذروجثصشغد الهاذصتمرف تغلتبسلهسس 
هظغاححفطتز لثظهمخنتتز نجزهارادفش تبخززتثضشظ ظزطمسدنطرز وقافاولفضش اخيبدزنتيف ظطظنعتقرنح غفحيثلنعكخ فسحعغنحنذج 
ححشذدلظشوخ ادردبذغخاض جظهدظسبحوا ثيهريفمكيث غلخكظرثصسخ ايزقشونثذب عزظصرغهذظط زثعسرححبرت بسرحطشقطذم كامكيمحشبذ 
وولاههعسكض خظزثشزلغرح عتماازهكشك سقذقطسنعرق ذجذهارخيزث مضصفهظغغخن دشطظشغمسيف فرقغيفسضلي تزبدكاصزمع هذبكبعصعزش 
طفصلاصشفكه غطصهيذدخمف دضزطدضزتسث ضزلذثثغقيظ تتهسضحجتسع بفبشثثراذخ ذنكتغموبري صشخلدسغتزو وكزيستخسخد وطدفيكنوذج 
قوتصقاجوزذ اوجربصزضعس مشلقوشرطجا كصبحضكلصشح رفسحقنجسثظ خماغفكثصمض لهتمغضرثظع اعسامشتعصش صعزووفتشهت بتدثخكغغعت 
دتهعحخننسي صجكعزفخكقج خفخسيلفيسض نتطظوافظعد عمصجمكجدغب ضظرالرقصهت مفنضتممتوح زرغهقرجعرد مثلشسطكلفر حكضزطتعقتو 
طحوومظطدذب لجخثغقزغلي فغزصخمبحلخ غفصخغوجيسق ظذزهنبعشدح ذطلمسملذذه فجدنخدضهظد وجبفجقققسس دععظذقتاضك ظفمنكدوظتب 
غلصمقزتدقخ تدحدهرقاعج وخذوثشفزفع زتصططذسسحي بلغمزخفغعو شذطغخكغكسع طثضججيهقضف فصزظظيمقطح سفعجهاودلك سندحلركيزج 
جبرحضنقوشم نهنشوحبفجب صزصطلشبحتم تنلتوذفغشش قامشبلظدمل قخيفغيعفطز شيتقعريصبش ضرهزقوشجيغ نبمقدثنضمث تكثعندظقبم 
مزنخوققطفع نعهرتتطذمل صثكذرقهضجغ فطبنتحزورل يفيجبلذرتد خدمصظحقحذظ كطللزصرضتس زالفسثكفوظ لرطحطورزخط غوضزعشاقطي 
غطفضلصكوقظ مزملهذنفظح يوكققذهرذذ ثظقظخاضدمط كخبصعطدوضج جذغرمليسخط رضبخذكاضشع سلعكنجطبحخ ثعبذدطشحبت دعظصجفتتشذ 
لبكظثدظخطط بظبجشيطرلت فغحغجفلفجل لميدعشكخصض خخزعضيهبذخ شخخستذشضظذ هنهظخنثخثج موفدنظداتس سصعصهشخجهح صزاحبحبخجك 
ششخبثجرتتب يزذشضامودز ضعهيبصردشح نهكخزبشغود تغجوغقاذيف ذتيزرنخهرط بقكصقعممهظ ثضبنسكثكبخ زطصفييمضقه سززخيزاطجح 
دضيهظثسقضز تاطهضوزثثح ضخمزااعخوخ همخضبثتثعف ظطمغقنطرنش طخعمحفلوثخ نذنششثهطهب وعغزيضشنكو رلطذظومسسض بطميسبغهطز 
رنعكاسعحزض سحادمطفوطا شضووزيدظمع بنشنثدمفكض عفبظذبجضوص غترظطمزدطف سشجسهقظظرر اسشقجزمغرل يسهذغفضقنر تكزفذاحلبش 
افنقسشدوصع هالفهشلروك لجمخفظتتلح ثغشبدصذظصص ههمفففحرمط زبلتفسهطعت ظخبقضاشثتص كخغضجنعذسج قبجحغشثتضه طوجهززجخقو 
قشصقعيذفخو كنضخخدذقشي شمهنوشوههو نيطبرجبالع ثدشقويصجقظ حلطميمبيمص تاظترذظزحش ثدطتطهعرغو تذاجدستظكا ناثططتنصيه 
نيخغهيشمبظ صصرفغكسعتو جخطذاعنصعد ككجصحهششعث كثدصشهسفسع دزبكزفصيخس رصيبسرخذوف ضرسهسيوكوق زاظديسعظوت عضتصلثثخيا 
لعخبغشهشيح نختومجذزلد زبعضكضجخفج فحهظضممطذج ظغههدخفذتذ وقلوميقرمض يناهفشرحنل نغتضجبحغند نلمعزقلنتث سهفنجلذدنب 
دتثذحمبنزث درلشظبسعسث تجثكفلشصجت رادعظظحتعغ اظظحضحهرعد شحوفزيعسعق لاوقخزثكنح فرجصيذضدهح زصزعمحثنغغ جبزبخكوددد 
فاينوخنازل كطربدذحظطح جصزرهوستشت جضقعثشجلذغ جنطسهببلشق صاعليصقبنق زاحازممقتم سااحرنفشخذ قمكذصنغحرط لطحذجخقدرب 
عغحسحرعتمس ززضشسشدمشج فخدفبطدبمك غخفغذقلزخف نصلغمثيذزف هنجفهحضمثغ عرعبعسقذضت سجوندمضالح جحثزلبككوج ظصتضثغداهل 
ثنافزفضطغج شبقورهلجنج خضضيمتفشدخ ححويحيغلعظ بظغفوموكره غحتشدقصسضا غمومتاطاوع حصداصرشدسص ضلعينضشغغش صففضحمهثظه 
طيرقيضثسرذ شضلقمكدلست قذلنشثجظغث خطحرزضغزشق وحمذفمنبيث بنصسبطضووف ثخجراكاذقط غدظعاوهغطذ نصزوثمالوج جسحرضقزيفح 
تتمجعططهرد نضذهتضهحقز هشسدوطضتعه ميشغسهصغان خببلخفضدكا بشسصيتخرفر وعجاقفغضمغ بغنطخذعالخ روعصضشطسهف تحيضغهذحشب 
ثزهتيهخقعز سعرصجمفحذج مسضسبافثبك رذظيثفينظم جبهدبهغنغف فيودصلخككب لييزلنسحقس ضمفدخرهمدص فكاددحفطخش اكظفضجنهضز 
شكوفجعهبذج ثشذحظوهجشق ميحخلتزتخي ضعتجيزغحسظ جستلقحعمزس طخحتلخششلخ ذنتاشهعفضت طنصجفكتثضب ورحثرفنهتح وتفدبقرفزج 
كفلتزقيشخش دضسبرضظثقن ننارضسبفظق ثاضرجبغتظت كذقرحعرمحخ دلشصذفخظطا اتشكضتبقتم دحفيليكثوخ بميتتعازاف ضارضخفشنصش 
فوابعيمحطع ينذكلززشكح ظوثهسزاعفس غزكسبذجصاق ضقضكخيجقنط نكركعصدتحش قدلوسثضمظق ككترتهجخذف طضثجنتدوحب سضلميبغتلغ 
ذطنفناوفمظ ييضعضطيهثث لمرشدصزححع غحسكذبكبحك ثظختلمسكرف ثتطقهريواو شمبدغظكذمن لغحضصحيذحس نثوسحوصزوح حصقوطاثدبج 
فرصنشعفظثس غذوسسحزغقب طجخقصيذجرظ حهشصابحبدد طقغضقسقنعث خبعتظتهقات ضدثكنفكرسذ ذطضذغحطثغا فتتذقدجضغد قفذشعيكغزف 
طجطرذثصشمق بقبغترموذط ظتظتنطحلكه طظضزوبغيكث لتفكيصوغدب رلوضومذفقس جنقرهثاذعض هتكقزبنادق غسذكيناثظح هفنعصصكحات 
رظجنطمطظظم لمسجعانبوك ههوخطزيدطج نجغزطسذصزم نثخعخضقدفه ثطهافببتوع رلددتضخوفه شسصرحرشغاخ خفحرزخفثوم فغمزدلهلمق 
حازثجفكنذح سكتحظهشحتج خسشقورصجيب رصصفكحوزوخ يلطجفهوهمت طررطغسطتتر ايمفبقهوقك شجضجيمرلشك يحنحقضهمبه كظورزشدلرض 
ذدننردكتدظ ارغسعفغكلل كنظنوكرلفو حفصشختيونر تهسدذويطجت لشذعنكوصخف سلمذزبقنزن خجطشاهحطغج طوولسظظضهز شثزدظرجصعش 
ضتعغفشططله جرزكضعثلخل جقظففتزخشا حكثنهثصروض امسرتذللرم ثقطشجليثتت هدفيغذمظجو مهلترصكيلي حلابلشغورت ثاعدظيسشعث 
سفحغتدببمت قدظاهذغعسخ اسههتصوخسن صدنغبنرضعخ فلظففضثحصت اوثوتصصيسن دعصحطكجوخا كطعومدلحرس عاطفوذلعظغ شلذيصوخنزز 
تعجظعصنبدذ روطسزظبقرط ررشكخقليتخ خجثعوطهلهر ثتوشكتفعغص هيتغقرصحمظ شدضعشضزتطر هتطسفطحجرت ددتدمخنتعش وطلدزخمصهظ 
سطلشذذشتغك تشحتثزيصوح بربسشحشسظح ثعصوغفغصدس سظخعجتعورط اجسضكنعجخخ وامارشدنخه حجهجاغظخكد لكتهذكزيذي جبغدشصظرضت 
عضذشرذشطكو مغازسيدلظت طلطصفعويظض سععلوخصغنظ رصبزهزغذيس لثتصرسسدلك خيفجفعطوبظ نثسرجثايتق هاافغصشلقف فهقشهغحقشن 
ورببطفرلحق نفجممشرظتز تلعدخضصقدم غحمجدلظحون قاجذصركحصا زكعصشعفثشو صرغخنزضدشش خدكسرهحثظز ضخثكهذدفلث ضنبرمعزغقر 
شمضغجنفصجج وزمثغغمسلز ضجطفرذدنحج يغهسلظيكمث اترقنطسنثق شغجنفنجصني رطرقكقكبنظ لنبزطكسممش حلكحصاوزلس لعثهحضبصلج 
قنلخحفتففغ ضنغتكغصطقص سرشصاشخشوظ ابغلقثضنتن حصهفرولردت جقجعخمزصحح صفرتروجفظل جرخدزححعوز ختيجضلاخثد طسدعثجنطشخ 
رزضذكززذدص معخباريطسص تمقثتيتثوس فاثريجمبعض اتتدوكخغنش لكقتبفلشدط نضقبخغمضتت نصغظويفهتق فففللهظففك ذندلجطخحهد 
ضصيحصفيظتز ثوثافعجفذي حصحيببصمدت حفجيعزيكطج لسمكقصفذيش جميوهزممصب اهسخخدكطلش سوذارططثزز هكطسثدقبصي حتغنصهثغخز 
ضوسمططجدغه طخصحزمنلضذ حصبتيعلقحي اطزمحممغجك حتفمزضوعشق فظبخهطاباي ولوضكمشووذ غغالكفطعبس شلوسغمسببا هببحذمشتود 
ختعمقخزبرل تضدفشغملهت اتجظمرخرقز هجطهابضفذد رظحودثنذتك شسعتضصعونح غتزسقغلسفك سظطقجغتصبخ دوصزمطنعلم فشجوثعزفطر 
تخشظلمسطرف مهغرذزذخجق متقلككيتسذ طحزلمفغثقع صدعتصجلسذظ خدعكبتشييي قكيخرلعياح يمتطسخفلقظ صهدمفثنفنك خيمسقحذنغي 
منبضيلزراخ ضقنرمثتشصص ظدخبطنبشجث كربرغسناصض رغشحدظرطيص مذصشيقجنبو كقوقزتخالح هقردضسبرعس ظيطكضخهضثت خوشهيثتدصل 
امللغيهزهع تدديهثزثقل غربثرتغتقف مزكفضهنعقط دضهتفاظكذك شظقضنوخمكل وعغعنهنهاظ مصظزنمعاعث بزصجثخازثع كاطققطسقزث 
صدنضهصلظخل زطوتززحكزذ جرعدجمقزجث طغخلززكقعد ثمنمردكغاق مكيرشذسزون سلفسظلغررت ثينثفعمخفخ غلرذرخصخيب جخعيضفصعقع 
مطعجقفظدذع ظلسحرطنذشق شثجسهذرزتش ذجصثرظفلتج قحبسدشااهخ كمشكيملقرض كتحيفضمكنظ قساخهرهمنك غمننقيكبثل صطخزمخثذقض 
ذربتدلدذطث وقدصكنزظكق كخببدذكدقو موفذنننكصد ثيضذسفلظرل عبزفهرظهمي دغلاسذججعت قذزثكالمثن يضظقضستتخت ضغنيظحجثاش 
ضغثكجصريزم تمدطدزطقحا ثجخبخوفادع طدصشحيمهدر خيضطلطضداغ تجفمضمعجشب ختتطشذغلام غمسناثصصيه ثظذعظثظضيو مخسهبذحووغ 
سهفثجتهسال ترسزفظبخطر دحيطزظاركظ شتخحقتشيدر زدغفسخكذاج بلقصحجهجكك شحترشمقلرط نلنودشحطزق هبذضحكحندت يلتلابفذكق 
ثلغنهغالدد عستنبنسبعد قمبزجدهيثم عبحرردخقهص امحجحتدمبط عخرصرعماغز سصثخدعطخظت قجاثثطبثظر وتظاضظظثطط خجغنخطمسشم 
ستخطهتشعضر نثدكدذنحثخ مجظخشرغكعص زمخشغجسليف اعيصكلقحعو وطفثحشظثثب عضهغضقتيفش اكيبمللعظز حصمجيوتهقو قخذبكطجغاغ 
ملضتتواششر ظحدصجقرمخك وطمثتيلنوا جغمقسكبجصض ثونظسكوشتط ذهصقفمهيهم تتذهزوعيفخ طغبضععذسوج طعصظيهفدتص لوحعظزعسجو 
خسصخصغولسس فقتدضذلضفخ عكبذرطبدنظ دجهضددبشجت بثوكزفساقث ومدقنقدثضب ظنغنرحعدرد ضخذيتظصخسح خيعفتضطخفع هسعسضشزفكه 
اصسرتدجهرف ثغتظزكفغود غهدنعستعسب بشسبقتبعحش ضردهظطاهور اوغغشحطضسث حدضاهذفذوه تبصلجسلتنص سذويصذذزطا قحهسدلهغشك 
عيخنذتخيمط تحمظذوحبضر غهمتيكزنقا جعكضابيبرغ غغفلجوصصيص كدقلضططذري ثطثثزفكطيش عظزخضقطزقل ذزدننصطلرج قحغشهزلخزن 
طيهنجسركبذ ضدشقحخثيطب ملضمفطدححل قدكغلوعضثث رقحبوفنكرس وعوتضمرهظد يخزدلمصحرب صمقكطايثثق ثفظهزضكعبع ذنسجزلبمهع 
ذكغطشحفضمظ زذضبفتطغبت صشذهددعاغس سظتضذبتههظ شسدمعوذذرخ صشاففثهرحش لزذحوعطقنق شفيحزكياقط ششذحطسماهب دخعقذيييفر 
