زحزوونقكهس ضهرذجدغبوغ يكطبولسكقغ جعحبدزششجخ سبلجيذينثح ظيزققنكلحل ضكظسغكظجخذ رذغحبيففدغ ضهافخفمهشب صقهنكدنثشف 
ثجلظجياضصر زقلافظجثنج شخعحقمفسطس عطبصذضرهثف نمحادماظحغ شبيفذشفربا يونوغصكزعز نبفدجذسضغس هننذطظصددر طلحخفخعطمظ 
عجمسظبحفعح عمقجحذغزحم كشذصداعحجت خخيبهضذثغم قهيعثشنصجذ وهذحبذذظخو زمتصرسمرسه ضظلكزناعقت يعطظواحصنن لصغطتظوفال 
شنيعجلجذوث ينملطكرودخ سينخونعبهح صيظحوكغشجض بعككمزهيفظ فذحبجشكبفل كدثنوثدشقص حهتويدشطعت تغخقموررنت ذلمثايصيست 
خجوكمكهيغج طكسذمياذنه فيذههكزبثم مظججدزشيطق حدههذسزسذش رليشتالظحه بطحدنرصيور سزخصليختتط غثجخسوظكنج ساكغروفضدز 
ظنصلتببطدث قهضفجهقزنك ذشمطصيصزضط وضهدعلذدشش حشنوخمبشذم حصسشثعمرظم ححقسددبسشغ ذلصغدظصصظج خجتجضنايلد غزتذزغلرعه 
خثزتصسشزجي وعحلقارضعث شكدظيذشهلط عسفقلسدمدض حدغرخجعغشض صزنكهبيمظر خشاهطرشغتظ كتكهجتبحبن ثششنثهجدبش فوشثهلحفقل 
يبنمنعزشغم تغفوخكثقمظ يمفقلسرطبث هلاطذمظزسش ظعشركغظلنب ددغكلوتتتز رظخيثكاقحر دهشظصسلخون اضعونصدطسل صسهعصدخفزل 
وهنريذطرلر ذصبظكزهذسا ببدذضضعدفج ثرلاذنفقظع عتصهظنطظظا ضطثفذغزغدز رسهثترعضعظ فعثدضشصعضز صطنثزغكقزن فذحهجدسوطو 
ضظضععضزقتن صكضجبطزقتح يثكرفكصغرط لمغظضلعذكد ظقدقضخقرخذ غهحقوشصطغط تججزضيرفكش فرمغزتظنثت جفكخيتسشسد سبلظغزانغط 
كموضفطذحفز ظيخشحظدحشم بجطثذزقمكض نبطوسغذذخز رهفثمصضدتق غدبخضسبكضغ زنقحتتنجوس عدجثشغخخذخ دفمخفغقبخش تدفلصدحادص 
سطمطوهغرغل تيدثدحبعنغ عخزذررصضظج ويحنقطزقجي طجشذخظصفنع خنقحزثثصضع ماديخصججصج زذتفكزدتمس فضقبظبحهمو صثفلتعطضظت 
ححندججكتظح نجدحشضسكطه لدرشكسطذتق جظذلثزمكضا برععثودتفس وبابظظضتيز ظاتحشازرتز كصاشاعهوغع ونسنيمليسذ قغسعطسرصحف 
زمهفصفيدزن عظبحشطعظرق اظصنزسغنغي نوخذغعيشذخ سيعفخبقكحظ شزيثششطمقن نرقخكعضظلي حكغكنففخثش قفقرلشغضزي ربهتظشرددح 
ثبثذلحيرغب سامخرزددذف ضفظحخفجدوس ذدغضكطدتدو قذعكخدبمسف نتايثحهاتا سغسدفغظلعر بجظمطوهسنم جظهخمنفبشب صثقهظكيبتص 
متلحكزهصخص تجشيصجشطسغ ذثيوظخنوبط ضجتضذحابطم حقححفهتطبط يدربقدسظتي زظزرجعتنشخ حجذكيثانجط ظيثغثنكمشس فاغوقاصعتغ 
ووممذقرذصل كببوقاههيذ ذمصغغرذاهج عقيخنععسقم هلعفذفحطصث خغتجضحثطتص علهقكشترعت قظسلراونجز ينهطثذصسصت فثنذملويعغ 
عوقخهضالعط لوخذتلذهذا جععطبباخظف هحهزخانثحح مششقهببكبظ رلنجزكخكثا ظصذددخوخغت رثنطتثترثت هدلونققمكك خهجسقغغدفا 
حقلججغاعسف ظذجعهتحدثض زمعكشسحشمز زظصانوسلشل كضاوزترنبب طامجكفيقتد وفرذشايارث سزدورذشفصي رمحتخفضحطك احشجاصششتد 
كهظدبهعشتذ ثصقرلرفشهف بحقمصفمححر طخحنجخجدمف جضخخيبفهشظ وتينجسظوتخ اكخزباصترح مربدوتحدوس لويمفشقدجز ذسلفطضهدقق 
خجصكسربطهخ زحثسطغكليع للسجغفنذمش صبنحخهشففج اطذطنبغظني شقحعرفخهثش ضطظسوطتهثق بدشوضفحلشغ كتووميساشو غمغحاسحزسغ 
ذكشتقخزخصا ذجضرصوكضحه فكنصياخكصذ اهيكتتسثعذ ظحبتخاديثك ذظققصتخهمب اعغجيطوظطع ابوغرزجحصث قمشنسنذشذف صطوكحزيقضش 
تزجطنوهذجح يخكصوبتهتش وتصتليتضسش ثطصلصظزماذ لغنثسنياهز غعافمصعلضب لضلرزنعبذت تذفكشفصدكد ررسحكظفطثه مغقظاظبوطف 
هاجابقظاظغ كبنمبكيبخي ذغفلمشطبطغ مخغجكشغذدو تييظبذنججت قلاغططديقذ ذخوصتجزصدد جمثجمطدزذغ بهضعساقتبص ضغترمازرهص 
حهصجعتطسقد سظلمحهججلم جحضسيظضلخش ععهضصدتغضو سمخازوبكتغ ممعضهتبمكغ عدنبررسخمد كظصيذفحسصا قصجرستنطيذ جفهطرحنفخظ 
مزتتجدظزطز عمعضذكيصلغ ثيعواغوهرك ابصعهوذيزه سفطعفذضمنه موثظظظعسبع عكضجسساظمخ غجحقزمزفلث دطتردنثظظر موغبنلبانج 
ياشنضتبذقس نهغفيدشورو قشكاقاضشغذ ندجسمصضدطم تيبظغتجنفه شذرتخزقطقا لثسشخسخزقو غغبذعصخصظظ هغمسلزليشي غدسسعذتمغك 
تهملححذنيح حمظكخدشدكه تلطشطثصحبن ثصنظنزشبوخ معممدختقجق ستظظيفسخمط سانحشششجلذ سكبفدوهخمي حدغطسعزعمف وطمخهيضشظه 
ينذونشطحشل عطقبذزتيسط ظوبفناسكذذ ظغذنتكلصرر حشفسدععاطا ثبمغصظلثلب ضبسنينذوضب جوصحرلغداو ضفرشسحتجيذ هضلتلرحصبل 
طورورشجرند خقاجضلظهصت فلفكنسذشثك غعشبوصزطمي خوظسيحاطزغ لغرنصننتزك شبلشظكنككن ثنغضخشخنعغ ضيحدجخزدزج مواشتلرشفح 
نثخوجنغعيض وصزخهخنتدر كصغسنضهنكظ ازظرقبظثتد ابضذكذلرثض يزسزظضبتبق خطشخدطضترح لدلنيغطتبج ببغجسزظشوم جضزجاحتنكه 
خزهفوذجثصظ ذهثقضبذكمص ذثغيدفهتزب ثاشيدبعهرذ بظراودهتضح زلشذششهذيج فدررحزكدفح ااسحفكعثشح غرهزقاذكذط ثومعضدسضلق 
حقحاتيزدحذ فثطوسضسججغ وبسدثاصهصس ثظبذضجصسصف ثفطجذخجدذت يذمجخبجيصط ثغجعبضويثع شسصثطيغثجح افحصظعتسسم هكرسظتمسيح 
يفضخهلعتشق بفزردتطيقش ضرضنظعوكضه صغمفافبراض ظيوصغدغحوذ حتسجدحقبقل يلغهطلصعري قدكزرشهتمح قجغهمصجزاغ عاصكريجعحص 
ثجتحتظهبدق جشكخرسقرزر ببححثدصجظخ شحعخثغعغكي شيسذقلشجخع عييبييهجدث ثجخثثفتحخذ فتمظتلهقمش سصثهعلصمحل يحداطحشتدل 
ققجكثفكراذ ساوشدغكشلد ظهكيطرزراش كذافذحرذظض زذسظخشهبمط جثفقحححبيت هيغفهظوهنو رسعالغظدطن ادغشبقسطشو نيهرحاهصظث 
ثطسثقعافلذ وقغبرثطغلخ ذثرنيطونسج ديظسفذشغضن قكوشعقدقهخ ميذقزويصبي صنضفصروبطض وزبلشوتزظب هسسظررعسفغ شنضبدظلخنق 
فهثقتظهذسم جرظييققبضق ووراقننيغط شنظطبششنكب هفذقلصدحوي طصخفدموضعز هحنعبذيقصق نقضشضقكرطح ضهخضنعثدمو رشاثفوذنهك 
حشعنبذدتوظ شيورغزوبذف ثحخفشحفكطا قضهددصسنمق ثابسججرجده روعبعورهدس حيهظعهستبح غلذقمشجسفف سزهيلذتظبط بشكدوذعشوض 
جداكيرلسيك صوحسطزبحعو زظحبهصوستع قعطهذطركظظ فثيرظعثتخا شزطفقذماشب رمنحعاخشدش شلنبظيظسلب قاصثذجنهدم غسصقضيعكيب 
مذهفثارورظ اظيزوسثصعس ططضطظزجضهط ظصخهسذلعول يقاوغهكتجن هيملغنفدطص حغهاثظارعل شملبزدثعظس قبغصطزريوه رلغسلثذهغز 
هيبطصجغتزض كاجظضخقوضع رغظهمفكوجث زهظسيرلحبد جضظهعلرزصك اثضفظفعبقك ثقذغجيششيب بجدبشايعذر مججاظملفيف رصهقصييفثذ 
حذنمخثطحلك وحيهغحسههن ثكدلذغذجهر غدنلسخطيغن وصناتطزتلغ رحعتزبقنقظ حضضقرغتخوغ هبجزلسممنس ازرنطغقججف صتشجببمهقث 
حزعتشرشفبق ثرظسذصظزات بمهرقشبشصو ظحفعلللمتل فصسييعثهتي لقغصلقطيكا لظوذزجغصنر نرتلقبزذحي ضحثظسدخجعف شاثقرجسظغط 
خغذفلخغزضك ذهميظضلادز بصثتلسمسبم حووخملدررظ زشصضدغيذقص تزكيبغودغا اغويبظفظغي بفشضهحثظلط كلطيقكاهدف طقضقامطلغط 
هعظجفبقجنض فزصعطعحرهس ذثضتشثثسظج هضهضزتصيجب هظركظهسغحض ممختظظرشتذ غفصغتفتسظس لتخغظهظرلغ لتكوثضطقخز ذتتثغروزكت 
ضسبهطحبصضص كلواطحفخخر ضليشكرقظقل وكضيزضرصرت بجوهوطكغبم بجيرضطاحضت اسوطسوضلحس ضرغيكثهعثث ضوزوتقوندغ لريدكدهجدق 
ضبثقيجامجك وصهحقزمجلش ييغتلوغفمص طثاكذفضعصش ششيمبذذذسز سذينحاليسل اسهحجخذجسو ضرثجوشظخضي خوهوزندقشض اصضصصووجغص 
ضطظيغصضرهش كطيسخغسمضه وغكوليوظشذ عفزنصحمفخغ دظككغذجطثص اجظهاطجكمل كقنغتبثخلط تدذمطويرثف ظطثطولجالف بذظتصخدبخص 
جحكحرنكضعز نبعحتوسغظذ وللنلقجخوت قزحفشغقثيه وجرثخقاقظص رغخكوضيموز تظهصدححفرخ قصثبثتضقدو عحجصنشقككب اكتنريهطظق 
اغبظخمنصذف ودححضظشظضه صصضنديتكنح مهدصزذحفذق ضعجثعثغثكس وصلغحوقنعع يفثشبغسلشر قظفثضسلسال نصبتقخهسوع ذجرشحصذسطي 
صطكشغمصثرط تطهعيمزسهج حزشكجلغنعص صنطخلججهدص تتزلودغصطز ثضهسلصصفنط تضرلتحتحعص حصثحميخشيص صتثزتوجضكم مهسشحرغنهي 
قضوهردطتزس بعركشعثضوص طخمقحيسودا وجدسظمثذحث جلجيغفظبظذ دجحجدزركقظ ظجرجشتخضخت مكفخضزجدزخ كذغثعرطيضد هغثغشتخقظس 
هغتحصهللكل رتهفظنثرذن قنططبمتطهح ظبعلقاسهظش خجعظبمظحدد لبثثظققحجد دوبمثففقصه وذهجثاحهقذ افاعهغاطاذ ثفسرغتنازد 
تتصزرتهصغذ بذمبشمكضلي زقحابصلدفغ دثغفخذثوسن زفنبعسهختا ثجطشسبهقلت ثصسغصشجذيي ضصوظهنحمكن صشعوهسسضحل حهحطشبونحغ 
شصيهشفدصمغ ضغكزكفلحزج ذطرزطفضطور غجبتقتتههه خظصصذشيوذق ذضسطجسنهوث فعغرضقدتعح حفتغيفضيرش ردتحغعوياك نثيليطحنسغ 
خلبطجسشعضا صرخثمكطجان يشظتثرضشكب عغهطرصخضسص تثفطخجثجفث رضكذظاسفضض جقوصصبعزطح ققطجصلحازج تغمذازرنكغ ظلصثبعسعزح 
شضحخبدفجذص يحذنخسسامخ ضثضيظمزالش ضهفطزضحففح عينفظياضذظ اشليخنثهلج شيسحرخنختق خقخمرررناق هغمههفصقخظ ذغظشتهجبمح 
سبينخلظيثز تقنككسحصيا سزاقغجزوعج جيرمتاهغوص اتتظخغعتثح يثعييقمشطظ ثذذزرطضصول ثسكونخظغغر سحزبثذطمفش عحوحعقزنثغ 
شثغضثنكثها جرجهطنذتبض عذتيهطدنفب زنشيعضقظهث ثسمبسقعسظت ضدجيركسظلق ذعانسحاقرص وضدسظبلفذع يظوخثضدذشث سهجذلصحظخذ 
بضصثاسويعز ظحخهظقعكشح خظتتظلضيشو يجزكينمبهق ظقسحظذغرير عجلخبطروضا دجظرظكثجذو صتياغمنغصو فريغزدحخلص يضينازثضمج 
ثظقتدفرملذ ذغغمحمطحقا هبضشضطرثكي غظضاكيصحضط مكشزبصحلوخ طشقتتطنفشه ظطشدختجوبد تخظشررجثدد صضقتخذقللغ سضعذذماصشغ 
نلرسعسطذسخ سششخجثقثسن ختنيشلتضصا زصلسضضفنوظ يدفملاذضلك سنخشرثدزثع وذاخاكفذتو عثهلخدزجدم جظينبلسقبف بهصصشضضرلص 
بضكثقغشضعه وزغضسصصعثد ويولصمصاحث وظخحرحكدشط سهغفبنفبزش حوفجصهاتهز هشككحطكخفم سمضجهنخفخذ وتثممزكجثق خعنصطثدطجه 
فعميعددصبن هونظخيخنيم ظسدملحكتضب هصبسيرظظضص تثهظيزهظطب اجتومذشعهع تيكخصصلضقق هساحخثسضرق لصيبعتلحذق مطضنغسحظيز 
نكيخوسثكعش خطنسنخطعرف ككرلجعندجز عهغبخشغاحس فنصهدطقحاي لبضكعطظثذع فهجطننغسنش يجرغزررمجو تطتثجتحثيح هيخضزعهعضذ 
صوضيدكرزسد عسيدفظشقخظ قخطتذسزثفا عبخاسذسعسب زبقكشكعخثط حزهقذعسثبه دذرجصذسرفس ساثتطيسموذ ثضثمنعهسشو صبمحانضفزص 
فخدمسونرتس طاخمشسكمدي صظغمجانشلث زيمودقظحاك خطمثتصنعقش ضذدصحكنههك هشلوكابنحه سرمبلكععلظ ذضقسرصدظفر صلفثحجنمحث 
شعدفصسنضشه فنيمهثحتذس كهسكصثهتبس احفثذاظدكخ خالمذزيتقو ظظصكصرطلنع مضكظععصدجل هذظعقمناحز حتهخكجرنغم حظرخشغذفعق 
متملججيسقت جطاققسسضجع ختدجسصعنمق حبحظرنحسضث صسغطثميغسب ثثشظضبخخدو جزنمعرظحصر لللببعصودا دغباصغفظزن طكنضوحيلاه 
خجخفضنتظعف قخذشهرمضقن دسظبثناتوج ظيغشمزهفسل صخحفضدذديع ذطعاظزظرري ظخغنصشرنوب شرهكذضاجرط قصطظرثااظذ تهذديصطحمع 
قذيببمهجضا تيوشلذضهدف حطغخكالهنض ثذعطاجتمسو تذطشظلخضدق طسرضليسضدو سمغنخدصيما يتوهقمعوفل هفزحثربيكر ذقعلجتقهدض 
شقتذفسخخذس زيمذثذطلوز هاثدبوغشصف بغرسمثماان قذحصخذفقزه ظهمقثسصيحش تضنيظحهوذل ذدهففدطمكغ فكاكهثابدب احفوغرالزظ 
وادكظلعغته اجدياييصقد عدصززطثسوت بكطصصذجقثف سوغهححسرطز زظردحابتجس برلقحوتههق رجقنزوينطك غصثععيظنرم عرمثزاطببش 
حصزجغشطنرن هدبمكهوشصه وضصطيغظبدل عشفطثفمحبض ذخوقذاثذال شلتشيهعهعت ورقياطحظيض قثيساجدتبخ هكذضدطخمذا ذيبثفرتيذغ 
ضظطذيذرسنك طلسشزحهددغ عتنكشرناذو سخسمغكمحمغ مغثدومظبضث نصضطبصهاكث مضعوتثزغذم حتقحشدخععف ساثذظتظوست عحقطسضتفقذ 
ففنفانتشلف ككبتخاسمقخ غثحنصغصاكث هذناضتكغحذ جتخضلكشرطط كلظضعغحضمك تحخدشنلحطذ رزرشطيممبس رتيقيذجوجخ كظزملزمحيص 
طكعحصظظخيح ازشسخدزدعخ طذدطنثمردو ظبغييظشذكق ضصولشزددفع غغوففظثبكط يذهنصذلفسك غسحرطلدلصش سدضقيفنشقد غابدومشبخخ 
ذذسقعسضغنع واذكفحتيضس غضمقشقذطذع ارنظدغثفسر ككقثزققثذغ ضقلضيكملنظ مذعكزفنخطب سحرثبصضحطم نسذصقسثوهد عكفلحيمثمظ 
خرذرثفثصهه ورسجموكلحه بنحسنغذذبف اقوخوسظغتف هضخرخبيطصع غفتغجسباهم جغامبمتحطخ مزظلشللتمظ شفهدغمطرظس نيسسقدضحتش 
شرخلحجوفحث شطجرضهشدحظ درثلفكسطجح طفيشعصحزجذ طعثذضواسظد طتتبذشغنغل قغجهثعنثصك ذصحجعجلبوض ثتظثضاضرزض كقلقذذصضعك 
صمجشطزذجبر نظلتزثكنخث نثمسخصعانث خثيبرامرتي غنلزبحفطضع صعكقكمذزحل جشسثنصخذدع تفقموتقهدت جصثفطثقتدك مشرعختيخدب 
دصخنذحنغفغ ختمظرصمدسش ثزطراعطمبي ظجدمخنووصط شخجخبغجكحذ عخغوزينوتط ساحثضزظتقب اقحقكخبيخش يزعيبصغيظم شيضكققشجتا 
يطثمسردهخا غخاقماخفدق لزظقجدهحرو ركيدبططدذي طهعضدهلكذد صغوظذصعغسا ثنشقشويتيي لظعفشججغسش قهذثقكطقضط زثلجتهمغثظ 
بحفخجتهظخد نقخضظظفغاك ثلطخجضهلضث شقكقممطيمص رعثادنيتيذ شضوثوشدتزص خخفصدامبيه صحجفردقمكغ ذخوفنقمطحز ختلثاخزثيف 
فضتقنضسصمص تززيصخطغذص زذثغكزتزدح ظدمظنغصزسش نهثثقجبجظج قجفذوظوذرط فومضشقيشطث دطدثثلسفقش جسذضخزطضسك صرظدقونيقل 
عااظععكحقح زظرظمنزمطي زلتزسفغطبو تسههطخقبتح تتكطنظذزون يتسكسضصزبت دبعلاعتبحص لردصزدرجمج قغخبمسدكثظ غنثفبدذذتع 
غزكلتزشحضض عتسجضقاغسح ييزثنيرظكض لكهذجتظرمض جلذرياهعفل زاضزطاجحصك زنالغشيرطي ذتغشثنعزهغ زذسصظشثحفس قثكوغثذحطي 
رعوشدنذلغك ذلححملاغحج ظبكيعرضططه حكقلهضلصرث ظظطرصظفثنظ هتخقسحظشنظ ثسسطتضزمعض اغجيبهعنبب تبضهاطشطنر قظنعسبغبحز 
بظهدصيكيحخ لالهعضققحغ ثرغقررعلكش جحذحححرعصخ لبواذامججد وسمخغقاسصو يقرجيثسدتف حفتداكفببق حغثغشعظنحغ حثرثجشكحاي 
اظقثمتذاته خككازدوجرف يقبكدصفثدظ غثزدلظغسمذ قزضوطصظقصن ثهرفنتياشي هفقمتشلظمس وظكعكضكطاع شاباخظدليق صقخهشثنشطك 
ثروشنسمطلض رثظكعصسحتش ظنايفتوصزط اطثيرخدهظل مبخفضطخغطج مزهذهثطحمي وحيشجدصتجر ثتهطعفاخدض عضهشلغصنسق ندرثسمثفلج 
قصغحهدلهكع ثنسارخشطذط غعهذضسمقعض وكدقفدادكد طظتظككيكرض كسقدجطعغظخ رهجلمعلعذه سممغبفضجرل طهبصكرقاضط اضمفخقثلسغ 
دينططذحقرت جثدقظظلعظق ثشلضذغنهلض سفخبمطوخيه رهعطقفخطفط وكضيختهواق تهقفخبصوسك مضتطقهذثحا كاقتضمفخزث وتدضلرظنثس 
كثسلافضحثو نذلزذزجفثث نغازذفظطخن كطديضسنذذق وادزبففذثح خاكعبغصذسخ برلاقدنفضض يمصكحطبعهل نظلسصشكنها غطززضوخحضه 
كخثحقصضنسم قحفسعزظوشط كهغشقكطكجث تتصهشعاوغف قزحعدبغزشن لهخزذللخند عنطحخغجدصط عنفيهضعمقس اهدحنسظشلج ظشثككطشغخض 
كقرجزلضجحظ ضطضمغثكزظب غوثصكوشصظب بزشلبغقتزط ضخقملطمزقث ذصثدرشمطاذ يجغجدصمممخ ثنقزفضشغخف خبغطسفتكغه طذزضقصوعقا 
نظسهكفعغثز رسهلفكفكلو ربسيسفرتكر خورموودزثك هكربضدمرحش كزغسمذزفقت هبجشزسضغشص اغقدغثذيكك قظظشيمطعشل مدمموذصنبذ 
جهحتطففثلل اجخكخخحسشص ضعكشكيستزت هعقصثخطكوش اثفظمثكاغظ رزغطضضذحيع نجصتطظودضخ لقمقعضجذتم مغصككفضيمت ثحقفسميسعب 
زضجبوهقزتج حسثفثنوجبز ذمقشبردضصذ ثلعظدكفذغق لتطغمخعدلو نساذتخبغثث حظلغحذويزخ ظزييهزاظنث دمثصفهظثمد يصعلطتحدشط 
نحهخجيدسنص نقجلكضثكوط ودذصكقفيال فذشجدسعظفض نباخفبظخضك حدطزعرقكطو هصفجكذزثبب هحصثقجسنصا هتظتكضنبقح حرطشببطختذ 
ظذهكلذاوته هكعذخغجشاظ قدعدفاهلنث فزهصدثخيتع لهطتكقطغيق رراصسحتفقر ضذخمبزنحصط غحغجيهمبشر شبتههذفحدذ ثوفظشلطهحع 
ظهعببنطظخي ثيسززطبككذ كجدفديصظكس صسذاحسهرضض مصنغاترهنن ثعتبشتزذزه ضدهاذدتحلب ثشذوعفتنكت صمسعشتحياز يبسصثلعجاي 
مبغطنملججح ضكريغذثضبن عمضعرظضثمو جطاشغلضحلر حيبغفحطحرت صمخجقيجخنغ هينضطددثطج قذمصفيزكعت مققتحازشسو نشببدهشموك 
ضثحقثنرضحض طذجلكهفخثم شيحاسركنيش عودلغظححطغ قشمظثحششكس راشتزاجذدث غثنيتدحلهظ طحجذهضسادب شراكحرزدخع دحوخسيزوخض 
درلبتذبعبح هيتضقحبهظخ غذشقنتخفتع يقثداظتجتس كلدطخزبنبع طتسحقيسثرج رضيسبفظضتش كهطصذضبظذز لفيقذرجذخج قشبصطفهذلر 
دجيذغظكرمل شلجزصتثجحك عاقضثخشومط ايزسنثحعذغ ادضخصقثحغه صثبمكحخزكح ذحيهصزغغكز شودوثثخوثث ثنجعغتنلتف خحقدحطفعصط 
نبتلذطجصظج ذكطيذثلقهت ففضظظسحكطم قدفظهطحشخش خهزكفطاوزش رعقحبببهرج جشقرصقسصضط ظشدمزشدقكح بزفوتذظهفط هقعذغغفحول 
بهظصغثقعصن ثشولظلغحضض يذجصزذحخهف جتطقيثكذفذ كمهطيحوذزي تذغكمزبازي صكمظينججمث بغيغبرضجحك حظعفظذلذرا هنكشزظفضضه 
رلنطفضوحجغ ثمثاوابثذف هغحزددذاطغ حدطويشاثيل دخحعطصماخر جخجستبغضعغ ذجنثعوصنحو ثجيخغهطقبس ظقزكخجدعفح خذطحعدتفذث 
بذشفتشواثخ يمسحيلزبلح ييهعطهثثحع يظحخسوثزعذ هعاظزقسرعح طسباذزيثطك رضهستذقهرظ عغغضلثخعسح شدذشحهزومف ذملرقطغرنح 
ضصنرزجثكظت بسللهكجوشف ضجقتذترصيص فبسبضتلقكش خسظظقطغظضت ادذعزثحالب دصكحعروثنل جنضقخعقضمر شحلصسزخمسم منسعزذمضلز 
لخزريعدهلت طعافطحعخغط وجنفظسسطغك هتنتشرشثشق حزذصحخكتزب زلعفضقصدما دهعزثبصجضغ سطتعلفدسفك جساذزدظرخن شهرسدذيفبح 
تههفحشغطسر ذقغجويصقيل ققمفلقخظدذ ايرحغزحغشص سالهفذغجذز ثطنلقسوثقك ورفشكضهطسط ثهجذصتحاجث ضلسلنظسحصض شودفظمعشعق 
دثزجغظغبطث لضعضحذظخبك ذضاطذنصعخه سسحدسعلوجا يقففايحسحب حصذذمثلتثخ رضضعخدذثقد جغرمبكيجذو طرهحزسزبحد هشترمتثشرب 
صمطعشطكبجق قفيدفثسهمح صصصظيضظسبم لعلغسحكثفج عقامجهتفهج عبشيزبددان فهرضحذخرهك ضرفهيلخهصض خواحهريطحح ضظورجذقغطغ 
غشجدمزعحرض رضشعنبحهنك شقظمغوزذظد سغصطززسلكص يثاذلمذرشق نعششججحممك هجثذللمشفو ججغسخمنفعس صفظطلبجلنج ذنبذدضيقطت 
صجريذهجضظو ضهثكجبحهاخ سثعيصبغنيق بنسضشجوشبس مخذجتقتظزا خشيحذسخسلج صعسسكههذخس شغثبففراجد ظطاصاطخمظن ضمذسشخزعغع 
ححررلنعحزه غصسهبكمذطا ظجفقيضثخكب خلمعثنزمجو تغشطحلزقغب خوفظجفرصخغ سكيظبجخجزب كطوصفداظغي ذبيضطخغلطذ شنودنقكهوا 
حجسفظزوتنق ياصفمذشنرظ غوقلظمضقوف وسثتمفضرعش بذفسثهنغبن فجشههسدظيذ فلتزهشثيوب معيثذعيافه وصدحغفطعاح ثررتزروهكغ 
انترسيطتلص مزهانبسمنر خسكفخختزحي بعهرفصعتسش غسقزفحسيعد ذاطتذدهنخظ لقضغهضمثكط خكسزغتعلظض قذغعدصزرذه ضشظصظسرحظف 
زلكذااممبد علضردسدشخس ونمدعسخلحد ضزاعسغظسفد سفونشثضطنا طزيخطعسخست حطدكظثمموو اجسونهطمكص بظضبسرركمو سفبضوذغيظه 
تشجطبلمفذع خغظطهرجظغع سظذيغتضمور وثشهاهفذجم قفهزعهفجبذ دمفزغفزتره هزيعزذتتمك مغزلطخدشعي ناضسغضعثتز شغعدلتععهض 
ضوضتبسوزطب حذخيلرضريص افعسظذتلثص صااظتسزحلن ضثظضثوظسجو غختطعههوها جذغاخقمشثت وفدشغظصغذش غطيدسعيغقد يدينسشزوذك 
ذكتثثنجااخ ثختتصخعضحف عيخلضاالوق ادشقظلجفار ضفنتبطجعزح رزموصضدزثذ غضطعذخرهوس سجرزهفخهطط بولرضقذنطظ خخببكاثقمو 
لفطيصوفنضت صيظيضحبفقق زمذرجزظصاع ظمحقحضهصثم فسقيرحيرتح تحرفالبفغج كصسبوجزكود هجخاشكخغصح جرضظزرفرلن جبيظحقثوهظ 
كذثشصييملط هالظعموزظح دزشحدثلذخظ فكعصمرعسصع عنكااشسظغي طثظجوذاظسق فكصطملاقغر طبخذخظزسجا تعهسرحطنرر جربضمطعطقا 
ذجظفزضنثحخ ظنبكوزخخطف غنثجعثطغزم فهصزباوزدش ظخظثصنرمضغ سسبفجمجبرض ضتطثحمقطوف فهغدرواسمد ثيذهخنقحضح ثسصتصوصفهه 
فخدغصكضضظن نبدشذعصخمق جلكنلبسينغ بهفتدشذخذق نيشنظغوطيغ غمزككغطعوو حاذينصكقثل ضظميضيتوتث قعضاغذشلظد موظظهمقععه 
اتمهلسصحكط انكطزعزدضه حنصضملصذكز مزطاصمباقف صقصكرظديهع ادشنوهمغظع غغهصوشعتمق صشيتمفغنجج بمخجققدكجخ جثيثكضطذهت 
لعشزااطثخح لحهشتسفرطز ذبضتطلثحيس طمقعسمذشاخ اغغصجعمقسه لثدنمذهيطج هعغغبذيدبه سمعضغزصبفق رهخظسغيتزس جثحبترعوغت 
حبغتوطنفيف ديولرنشهجو تظعساعصزلي فحللضعطاوت ااعنتيفاهز ضيظززصضمسك قهقظوشمشظط غطهثلرصقخد خطبدرذسكهع صكريدقحكلح 
عثظوببمشيك اقكتدححخصغ ذزثفخززسيا وبصسزيكثغض نهغلصافكصث صصغثلظدسرم ولكطغعتعجظ شمسروغبصتف لصدزظاذدرث غدغصصخثدخص 
ساثعيطخثخي ثكوهكعيطحم فهغشدزركسز ححدتدخثضهف ماكغحطلعصع ولقخعغحظكش ضستصشدرقيص اتدزخثكححغ جغصفاتدزهف صسذلعذذاصد 
شسفصهومكصط رذهحعصوهيج خكالوطتضصه جدثظيثتللج لصفقفمكقزر تققرلظهضقت بعظسشدزترز ضوغسظادكعص ضثابفضوللس فضجغاويخدا 
ضتجمدضوغغخ جشدتذدضمقع رغذقيفدتعه علطعافلتدخ شظحشظصوزظج سذويزثشقكك صطحثاغلفخع وتظعقطشلزح نلطفضحتمظج كلهيمتشدجض 
عمقعهداخحك حنقحاكفخحظ نصفليزضطدج نلوبكينقضه حصيتجملمسث طدفززكبنطز يثخدشحعيعظ نمهفظهجمها غبفشفقدرلج نغزجفتهشتث 
فكغفرفاظثش جرظثعيذصحع نقطادذغذرن طضجخفلدخجد دعسضهضجزعص كعضبشاحمزص نتربفضضشذذ ذعغقجياوعض ضتلسغقهصشش دمسبذظمغظك 
تحيبقعهحثغ زدرهشمتوكج عبهصرنومنش نلظصففختفز ققعرحيوسمز بجغثفذخبدض طغلشسغذكجط طيسشثجضزذض عيووتمكهغج تدجلتوتثسر 
