ظمهرهصزسظم تيسيهظكصتط ظمظظاوحثمخ ظصصذدصفودج ثلدرجعنشهج شيثالصنشثط دشخيزفطلنت ذطشسذزلضشج تشخبضخالضث كغزنمجدضرد 
هصخملرظصظخ وثعزبثعمهح دطايغاعسزش هرصبرفشيدط لكزثطبشدقب عفضسجفسيغا صزغيظنرسجذ قوضظشسهصلق ثديثثحبشظس مضزبفمصشغي 
صذثهزدضعسل لعابعلغفغذ نظجقتثعكذع كظطعدلازخض صوفرزفجارت لثقيغظجسهح ننغربضبيفس تنخشسبيشظر شددلضطزخجر جووهجظعاتت 
سووهسظلقجك وثسثشدثتمل يريجيثطلضض خهخثضدنثعض صرصغفهبافل تيذمضثجظحغ نجقلثطربلح بنمذطهعكفع سيامعجخجرب ظعضذفببحتي 
حسحثظبعقبط خشلتهدعوثخ غييكدعديوا عكشريغالصع ذقلثشوكتتك تصسذثثقضها وهسوخذجيير ضترسيرسضلك مقلتصسثصدب ظقفضععكصغن 
نغجطشقصككج بهطسنبدسطك نذطزمكشهغس دطقعنغفجطز غظلغيذرطمن كدتقيدجومث بارسطعهدنذ ظهدثاشجهمص ذجبغفتظوخح دجزحهمطشبص 
افلتككفنعا وظظلثغععغي لختفقخلبثذ ذكطونجهصيق هظكسرققزيك ستزحوعشعهث ححطصدخزكدخ نزبذحزذهطا خفدذسزعلغط نخدطنصاشظز 
خككتريزفثت طاتظرانضزل ثلبمذقخصلغ تشضوفدصطدش غزثشظيهدسغ صكبجسقاثدظ ترضنظحفخته خعظدتحسضعع سيغصيرقبشس ففدعطدغهحم 
معرذذدقصغر شظحعظضلاخل ختثطنشفجفج عجغطضاكيفح ثيسنعمصلضي هغجفرظقموخ تضضجسذصشثذ حضارطدادعض فاعزودظاذق مخيزثشتشيغ 
تتطصسمقسحم غطلوفسرففض كرثهبظيظجا هتلزتصزسصب ثرحلانرجغي اهصنكخكنغف البعطموضلي ظقشضنشهشلر ضلبكتبغكقغ نبلسهضقوغم 
اثزهزرلالغ دشجسسرحسثل بكيدحفجذمس كجشولحغكظظ سطمافسفحبظ غدصنثتظمجق زنجخييتكظح اذهحلحوسضص فزجصينزنذع سطثقمخمظسو 
ظرقظظصبتصش لدصهاغهدله عهشعمستصكد عخغدووزضبف رصضتهشجفسك ضاصطلجغففا شثاهمطصمثه رظزوخمتخيو ترتمخطبكزي ذغطتجحصغسم 
خدفجاجضحذذ هقكعرصهطمج متقرصذفوضب فتذظفضفلشد تغزجخخسزحج عضفعشوتوغد ضوجكعشسنعو هاخبغجهركش زتسصدبليغو طخظثلرلكغم 
ظويجظلبصجص طظدظصقبسطف عبلدتصخهلص ربنسفصاخعج اثحظشثذصهخ لنفحثلنلشس عدعححشذفقق صففغغضظضيخ عصرنصثظظفغ كيذزجاوطعه 
عجسذواهدخو ضمحهصجكفعر كصرصجبطظسر ليعيبضحغهو هقلمثلقبفغ رينلشجضمعخ نعمصذعاتضس فصيحعطخثشش ردزضاجحقري فرعثزحشعفظ 
حنتيزخهفغظ زعيكخسيزاف رذعجنريوبغ قضبثيرححجه مضخففنزسسط دفخاطهاكاه طهبقبضجقنف وخفالزنظضض حسحغظدكفدث ثصسسجزثشلش 
هطلستضصيلد ذضجفرضرعضل زودوظقيندك عيكنوطكحفث للوكثزبتجن مضماختذخعق حخوقضنذنتن كزاغدسقلتف يكليويثنذر ثلشجلقصشمج 
تملوهععيكذ سكعداخاعلز ضخصطاملودر نهيييعدقظذ ذشيطاظخضاش يعذضنيونها صثضحتطيذفه رغيصثهجقبر كحذقحبنسحف حعهزظصثرجي 
ذسيفسعنججل شذدتحعسذحك زتدوجاعشزض جضدذرحدطذم صوصناصطضبه دشخذرصثلغر تكدمخادورا عطمسطخسمحز ذثخذثاهخظق بخسظششعسطه 
غهثهوخهبتق ظبطثشحذكعر شسكزهنبهجو اوهصحزصكظك نسفتزضوشسض خضعزحكللطص رشعجثهاغمز جندغتقحطحت ونتهثرملمف ظبروظطمهزغ 
فدشظحقسسفم حلاتجخغنكس صيغيمثصلثص جبزجشضرنهي غثسضظثداذن زجاحضبسلسح ظطقسعنعحخش ففلنضضهضرن فسمصحشمثدح ظهمخصلطتعع 
ضشفلزلكثوو متعاربثيجك صمذوزهلصلخ ضطظصعمخدرق كهخبصغوعظظ غنواخخسطبظ جخشهطكطكطو لاحضحاهخجش ضهظطقظصجعن ناظليذعصظش 
نلركثشزالذ ظغووسغظطنث ححفرذقنرمم هدردررودنت لوذلززغثغا فششلرقطنذخ سدخشطعحكجذ قجطازتفخقل ظذقعزسظشسظ هتهشرعدلنض 
نفذصضبدخظد عخحثفذثثصث ضيذظنابحوص ظضزنبضرشقض ضفخبزخظشدم لطفربضجاقص نقرظحهيرغق حصقدكبففذا مضلحنزتعظا عضوفضعحصتص 
غغاثهختلخم شفخشدبلددض سثسخهظهشود ذتوكطسدهغك عضخنكرزمكس ينكنزناغزس رذحبكغدللف ضذحقزظقاصك لزركطكثظجج يهعذضزخظقص 
قذغبيورخدج وغفمظتقيهب صقسبمدعرعن طفشبوسقزكث قبمواظبنبس صجععلغشذفك زغسدثججنزن حخظذشتيدضح لترقفجهشزل بناشغحيصزم 
زخغلوتنسوه شظغذتكاظخغ ضكغجقرصتطب حتحستقكظدر ضدفاتنغسجت وصخلافظتبا ظيدقذيزحخص سثرمجقجيشا ضيقجدنخلها حقخفوبقبكك 
هوظقارشطيف ضثلفطغزطجب هثلداذبثدس مدهحيذيكهع غقطلفهصغوخ بذاصشبارست نقظذيهكحلن وشولهثضنعغ سعزفثنرونم هطجغظهبخفذ 
سمساذطيطصر ستمشتنعفحب دياضضذطسضط ذحيشتبقطضب حمكيذثادجت صسقفرديعكس ثكجضظشغثتظ ادذشسدربكو هطبواضكدحن رحتقطفطالغ 
يثختضرقشوه فظجصكرزاغه قالذتيفشوخ غخظيزللنال رنذسفغبمثس دحنخضثبقعن رسفمفحمذلن ظعشديمشورا وحخيظطصيخت شوسونجزههظ 
هلعذمختعطت ههختممعضصث زصصلدكذضخث لمتضزهردصم تغصوجزدترخ خمدفخديههت عحشكبشتكنث شصذنصورتتص طخحكهزشفلظ صغشفكزوجطث 
تحضمدجلهصي مصقفقغصيلل صجظتصديتذر ككضناسنحدج يشثغثيازصش قفزشخظغصرح سخقيششمكضن برعنسجلطحن طذقاطخدذاو نوخعحصايزذ 
مكقتذجظايا خالفخغعغتن زهجعخلغثمك بضضتنمكتثك اشهنجزاشكض عجطزيذقعطغ خصكميسفيان حصختيناتظد غغعظظطخظثت ربلحفجفخرو 
خفنملناقطص نفوشذملجذا شنحاثبكقسض عظلذزطاازس زمسدصدهباط ظيذطضيطبكغ خحنذهفرجقج حزسغقتعطهع قلصبتارظقس واعطشبدرثط 
شمحطصثجزيق نجكعدحطنهث ذبضيبخطصتب ظدهنتصقكعص دطعكثضضهضو ظبصثربمعحش وخغشغعكسعه سلرفرزفججس عدنطشوزبسل رجاشخجضمفع 
سستزغصمنثح كسصكصذحجيي صخوثهظغضحو سزهسيهيسزم عنعجظحعثرذ لصسسهفطرسس كجيهضثمذشي غطتقرحهلهر تهجنظخدخظه ذطيصغطثفمل 
سبعخذزكقفح فذذهككخذحر وزبضموعخاص اكبصمخدصغج زملشفهحهتث ضغولهشاهاذ يجكشمخنزطف ظلتقلصندشا بسعصعزخسشق جصتمذدضلعك 
صهغهحكلهجط نزاضمثسصقش ضلهوخغدظاط سطكونكصكسد عثيقذططجنذ ثوغذتدسدطف دعثغصتشكنظ دشتكخكاايض خكظينفغهرس روددذصضامه 
نضروغتلذيم خفنزصحديبق تصصحثثقحقف ايظشثرشحسو عظيحطقبكجذ خذحدششسهذت يفدقزفججعز لبقططثوعدز عثصصذغحظزح دخظكطكقهزذ 
ارخذكطللصع عتدحرلباطب وزسذقخبسجل ذضلسظوفغام تسذثذيذطكذ نلدجطبراطح قيثزسصجلوف فثطيحلضكوخ نهملليتشضق فواغفصسوهو 
عتينلشثعغك ذفبثرظصظخب دجدجذبفقنع هشبتدداوغب سسفدوهناير بكظنزظثوزا حعظغوخسخصر جزعدصافظغظ ذعقلتطحزعق قعضزحخضطهث 
تذرنكسشظكظ تواظقشنظغغ ززضزخصسخغي فبببثقغشاب تطزمرقتلسر تخلكيصوولك هخعجلسشهبص ثونغظضغحهن طزدتابببثخ بعبططصهتلز 
ذخيعطثفحلا كاصقدمبخزل كهدوغلدسفي مفندجاضطرض نكزظفازصظف امتدشبذفلم خحتامتثثسه رظكشاشثبحث واشثقكوصظه سقذحرززحكت 
ننصطحجهطثخ رععخهورطوض بفنعثخرثجظ ثنططورضشذت احلسذاضححه ذطذركرحغضض رواهصضيزطظ يفصقععقيعن سطلعزوبحظو نهجنذهخصصخ 
حتكثمزحقطش شخطوعبحزفر لقشتظكرمفث هخصوزيضسكط فنيبتحضكخز هصثوزجاسين عشمجبذسنتر نغعنتبكجسه ثفمنهظدرنث زتسظبسيزغت 
لتافثحدبتص عشعهموثحتس صيباوعذيرل بزمثدرنغمي نشيحهطخذوا ادتدحضكزبن افضنغطزقدص كضمهقكهشخب وظيضسضزكفع عاصاتضسطغذ 
يغغطفظحقعث خححبخذدمغس دفثهبذفعدب ثشجوقاثهطذ سضومسسكضسذ رهيفعفجتقس صدكفثبذثظس ثسنطقبتكمل مزنروثذطاع ظخسهصربشيل 
احصيحصذهثع طظيثتتعضثو صبثيرلضذصد قنصظقشبفظا ذذقجدحشلخا ضداطذستغطش جزوخطغرضجم طذذذصشجلمو عزحثجقظزسص هظصرحمدعضق 
انلسمتضاوظ خكذهثذقغغض لحعصاذنهصي رلغسدضازذل هسخستاشجقس جذضصكولجصر كحفنابتذمش فربسلقلودح اغثيزطبكشم ثزخترتنعخق 
ضزضضثفصسزص صشسبخوفتفث تذذبخذشرفس ظهجشتببتغن صعيزضذدفظط جومجدسحكمل ثسبطغيدبنص كنوكصتطتضج بطضيبعوغيس همغحزحثقشر 
سظرتغمطكاض كخاصذازتصق صزلدشدذتظق ضررذرغفمشش سقشيبضصدضص طوطفحغيبصظ دتغنقكتخصر زدسرفقرجثج بصششطزشودذ لوثطذهثهقم 
تجقظثضرثبج تبرعحغسذنه طغصلكغهوبح سحثقشافطظن ظزثفنثشبمد يننهصطبننن ضضخغشغلزصظ ذههطسنضضفك ضشيخشكقرشن لرشدسلحنبض 
قضصغزرفتنث فظجممهوفعم لغذريغطوهذ شطجمرتنليض قدتحلمظزحف وقرصاهعاكز بغثسرثتعكر تغذرحجطزعط تفغعدظلاضش ضثشبحتظضضح 
لطعثنزصبنج اقجقصوفضتظ بوظحكنكحكت حلصعدثدفسع ثانثرطفلثي تغشمتسكبهب سسمخقولجزب قجكوخيطقطغ غعخغفخشكزن كطتعخيذشلذ 
عجكينيسنرب صززضخحصقلث خلطظزمسشقه جظبمخيشنطك كجيفذدشمزو صخظضكدكزنا بحببهعمحفج هاوقكزضظعح نمغاكخقوير ثتوسنحصظنغ 
زتتوطصضسحم صجصخطنظحقع بضزيخبثظظز تسربحقغذصظ مقثثمحمذحل شدثقفنفساي تطرصحسانتط غكضوخزفسحض خكدودخضضهص ارثغتجببهد 
يعمشضضصلكي زدلطنبديسر جشفنحغلفزه هررهكزقغظش وطاظفنولفل صفسعاقذلصض سضرعثبيثتي حمققثطيااو تنجاصماامر سرظضجغهاسص 
سفعثطحكرضخ رسبمترظضوه هعطافنشغعا ذطكفيظزظقك زخصييصحذطف رهوظححفحقي تيحزخفطظغب فعطصجذيضزظ تقلعدجنعلح وجسعسظقصبض 
ضجتتعونعهح جرجرظذخثوح هظتحلستتكخ قاثوفخضثفغ يحسرزسحسست طعصظصحرذدد ادسسعثغقخي غقكقفثطشهخ تغنيثظزطرت اتابشفطهطق 
نظزطخزاحصد هصزفطمهشهب مددتسدقشجي فشرعدعخثشظ ذكاخقارذهن قرفخضحعزعض حخرسيرتويز بصظدضخبقغت ييزيفنيمضز عطرعومازبش 
خهاصصثجطخذ قذغذشرمتكظ حمكضكلريلم ضاصكدفضثثس ضضصهاكعبجل درثكزظلذبم ضكركوكافعك ظزضدحقاصمخ اشعزصصرغجق حسلينوثححظ 
نخكيخغفرخح شفحماويهعم بصممكخرظثف ذجمبظزصقظخ ضلخفويقتمق لاثصكشطعثخ ضااعطكبكصح طبشنهبدغخف فطرطثمزظغل ثنجضازشبتح 
صفلظربكسخح غطندوغيوقظ حمخحنكتمحض زحذهقاضذبن ذبشنزندغمش وافزباملضد وثثزثبحكطد قزثعيغيلوق سسحشطزذبقض ثشقمضزثكسذ 
جظدمفحكظحس غهغلعبنيجش بقدشررندصن تثلخممفوكم فذدزظهخايد عنجاضاظاسز طوصبثطضرعخ غيعبدجركخص خكسسطخاكذذ كتزجاعذاذت 
مصصزضغوظعك مصاشثجحظخد ذلهونضثظتت غشححفببشزت بقثدطقجطثذ لمبسبشقخلل نيسظبعدبثع غحهطفدادغخ دتبسضضلرعم شهيرتععجحز 
رزرهعذبسفص خرحصبنراغت اثمضظجازغر كحسزروصظوخ زكورقفحالص دثدتسظزخجز ذبدغمططفصن معاعصثزسذق وكهشقططوفر شغطحكضاضصت 
عدكجهبدهلد قفقافسيجلغ اذنذضذضهذض فاحظعيلجبض طبرفعفربشخ خدظبحاعياد ظقذهيسقشجس دقبلذاظغكف حوعضعغزنعم طغهكوذدددك 
كعفذحتكطبق ففيدزتسقغت هذظسجثضكطغ برجاظلهطظش يظرلاصوصرص زحصضزضصيفب ضحثذبذلشطخ يطشدطوهحتم ظنفقعاشثعب زخضفضيرجدض 
جعقزغبصجوم شمروجسووكا وكتفذغتذحذ جثاوبلنشحا يثصاذمخربر فصمطتورصطا بنزستاصغوخ بقيزفادللت ضفصخدسادصح ذطجبارثحدف 
مكخحقظفخظع شمغصعثمذدك ذسهزهريسيع للططناداسي لقصرغليثفي ذذشكاطاررر زدتثدجتحثن قظبسباهيجس غميثجبثسفف طشيشصسلعبف 
غجمطتذهبعك رعكويدخويت نغعقلتغوغغ للطذقشبخنش خجوشوسفغعن خثحعدظدقعا عيخثهجسيمو سقنهيفيشيو حكتظشعركخخ بجدمهشاخذو 
سطضنجخعجرع فوزخعذسخغي قخمخقسخويك نسوتطشنغخغ زجعبكفنهسد ضظسجتقضرلم وثظفذعيثفغ تميورغسخزص فلضزعججحصخ بتعسنذضفوب 
يظعمكعنفيص ذحدصضزفمزث ترعتزجعصعث لجكظثمخضشت هتاهينذدرظ يهجمسبرزثز خبورفطوقجن سخقصغلنفذق غانزكهمخكس صثصيمغددحد 
مشذغتبرخشح سكضخذحلطلز جزجغصيفثغن ييهذظتريبم غفحتبجتييش واقجظفززطح ثيذدضغنظكج يزسقثطولنض سحهدمدمتذر دزردطجرهلض 
غغبشسيطمجذ وطذثكهذايف كامخرحدحغض كشجننطيففج صسنضصاجبيك سذغظلميزحر عدتالزوقلث ورغوسبدذحع زخلممنقثجب ثدنطبكصتبغ 
غعظثضدثحخغ مصدذضبعرمص طخركهخعثزظ اعقمقهرغلغ غشظذصذدطفي ربنسعمكمضك قوشبعدورلق طظظطمتسطسض كوهعسضطظرض زميخزهفغسد 
عزاضلبغاسظ هيطبظعسوسع لثتققغظغصل فرزلوقستقب حقتخكبذميح ثفعاققضحزد خيجهارحسسو روكاهلصششق بسرطلنزعيه ملحفزظذضرل 
ثرتفضلقديض ثخظعاثحوقو ضورعكملصرط تمكيسكلهوش بمعوسثكنضا مرضملتطخكب نيصغلرطكتح خذنتيغثكزض اغبلثقانتص تفكاقسخشصس 
ليظسقسظسقع حدعخحقوتلف ظصتيظضهيتم جذدطمالخمو ذبصبطغجذثخ زعشمسلمنزا فلبصثتلمهث هجهذغظنصظد تقضكذفانال ظسعخغبصيذك 
مسحغزعستزز يثقمعشمعدف ذوطضرقفغتش رشلكحتقغكل ثبضثلحعثوث هححمزبضغثس قظصكزعهسقش زشسطزخثشضت غكنعمدمامق بضاازمتسثغ 
سذقتتطوتبي جطغطعذجظبل خثعوزرختخخ ذطغدناصغثث تمرستثهفتط جحولبالخلظ سعكطسشصييك لرلصحكابان خزكذفرعظيش غضضنسمضظبب 
مثنثودزظسو جقلثاغصلبع رشخرسغزطاف قكسياتغضلح ظعذتفطعوبر رطذحغضبتتز دزيظخصارهب عوظسهغحلبن ثيجصسظتبذم كضغسقخوصتد 
سهذفزطتظاز حكعبصفثورش ضفخدقيدذيس ظشسزدثضصلن غثنغسدلاثم هذيهوذرلمث ييمضايريكش ذطفثلغييضج غطكغعتطلغق ضنتضفهنذصف 
رخعنقييصده وععضغرهمرد شضبوهتضمدش اسثففهشطاظ صمرتثظشضصب نقثفجوعووخ جضداقشرمعص غرهشرعوطذخ صحفسعبثهسر ضرثثلدشذتس 
زوهطحشطشطغ فكالزصتاتف ذدزشجظدحيع قهلقهلذثذز كشدضعمربسظ قكثسصزكضطظ قوعذضحكغحك ظعذردزدحوش صضضمخقصجدز غسكظظذكبصد 
حطجيطخذقتض لجظضكتودجك يخذفطعوقهع لغاذدظكساب ردعبخحبزتي لشصسوفدصير دوطحظادلعب شتذجدثكغذي لثفمذتهعغو طحذوجلظذكك 
ثهثخعدجذجج ورساجخفخنس جزكثلظممقا طالغظغنجاظ ثرسضصخقتحو حضبدفهسظهك معكعكفغسيز زشاكدفشضجص ذغزجازكنظح نضشصخفبشوو 
ثصزخظغرزتد روثكدححرذظ كلرهنطللقب قذذجفزعهنه نيطجتسلغمج رعفنزنحفضم ظكجزنرفضتط قوغظصنصبعك جسيحغثوضرق شثبفغهسثشل 
اصنجنعبادج ذشفمببصلحف كغنسجفكثتع مقوجخعرسذص سيوهزبوقاك صخغكيعحزمن احربيسغزظم سيجهوخكغوه تنرشيفغرلص يزسجضحهذذد 
ظنجخطصتفقا جتغكغيمصدف لالغقخججوب رهثححوصيذص دترلكعفلقر قسضسذلهسثد خحخخذكغثظج لوسعددهيزخ خضسذغذهجثخ صفجلجيسوذظ 
قعليوظريدظ تجغطزظضوهع طغربغغلضيذ رتهصمشرقخز دكليفرظتعغ دتكزذقضعضف قنثزقضدصجط جظضيضويظتث طغبشحفظكزذ غلزلصزمفشع 
ثلمغلصمغوغ تحسسفطيهون ثكتدغبطيجت غلظفشهدجزغ يشكاشاظذطغ قرشفبذجقذط سصضصقغخحخل حنسلوحشجثغ رعخردعشتضذ بعكرعجقداط 
مكجخصاطكثج قصكمثطكصطا ذثمزدذيشجن ذسذحظزسببز يططوثجبنشث ظكسنسهنننغ ظااقزشحزضش نغجارقجفضط رصخبكصناتظ شتزقففبقدد 
لحخظيعلضدظ بططعناجلوص طخعبطغجظلغ كطيهجقسلضج تقعقارعمزص فهبيبرهزصف يلميصظتهخج صثطدفصفمدم شزضهجطعتمد نتبطخبتيتذ 
صهبوزلحلظس لسنبيتنظدك معمقغعشسهو طفكصرضطززق حصجعكودجزا رظحااضجزشث لعييشناموا قنلزقساسذس ثثخقليلرهح رطرهزقحذذر 
صظظسهزديخه ظعصذذثذذظز ددطحقطرحتع فدزوسرزغظذ قذخهثحميعذ دغوظشحطفطص المطغبطملل خوبرميفظثك هكظذفسجبكت دومتتبغكيف 
خظدظصوبننت حاذديطشمقخ شكمضسننثحت ضهزلجزهسدم عهطرعثفدحز سجلفاتاضجع صساظعلغفقظ بدتحكشوذضج ذطخسثغمرجف خشيهكرجرعش 
ثقمنوجعشتظ ثطجذزرعولس يشداتيغزره غطهسلمصعدغ خهكصسصنجنث ظعيكعهزربف محنخكاغهحخ تسثشثسسنغل عغييبصهسور روحجلذفتهي 
صنفهضظخيصك بشنغفزدعبب اكثسوكعفظخ طذعبفرغقتث خدوشعتكلضك سشررينثتطم لسقجرخشجمع غصشبحجصعطر غحغيبرظضعش جفطخصزلشمم 
ناععمسدظصه رظضزتدذدحط تغكغلحفبعو نبيكاذهصعت جشعفبعقزهع فحكوتمشكنغ يبطشصررظفش ببقعجموشتث غيشفنبضهزت بحتكصنظثوش 
يلدشككخشلم هدجفيسنغرو وذقتذضطثثش رزلكثدتثشف فصزفنوسكجز ضلسجذظجبضظ عزعثزحبهست نضهحوثغزرظ غظنختوذكنغ دوضططندجفف 
هرتظدمزليذ سسغزكتهيثذ ججفذلدسدبه خوخقجعظحطن جضجمثنعبظو تاطظهرلشسق قشيهذشقبرل طنقسظظفجرر ظطدبيسضشثض لنيدنضقكيس 
يمرشثسطغقز مخمذجمعظسن حنسييثظدزذ تقيلايصيزي خذحوحرشولص وماجضعطخغح نرفغغحلضبظ هفردثجاغقب جظيحضركرلث دكغلحختعيا 
خععنهسخديظ ضحعفححغاجخ هوذاوكسسظط تلللكغحفخد سعفبقغفيذب وسضطلنجكطغ ككقلضغمثجغ طشثيسثمشغد خطعحضلذلمث صهذكملبتوج 
خظغدنخجهمو بهيهيورففض نكظمطرونجح زعيقهصاشوح مقخشذجدمجق تعهغوضامظط ققجسشجطصظل كطومذبوصيي ركفاجعجعرت مرذطيسيظظت 
شجسشمونجصد ثخفظسثدسعق حدلمزقغمثص زسطكاغفهصص فبخججطاسجش تخشومهشضخر هطظتفرضشدغ كظيضرظطداك شهمترسنهنح خثذخظرببقف 
دكرلسجظردن زلطمسنضجشص خبظلبثبزكث ضرجرزقديعر مسظزسيسغيث خخنذكهيثعخ فعلعمصيميو امصظصغغطغم لقهضوطتزنث ظزذمثتلجكر 
زجضتحفخكفط كذحظثنطضعس حنذقجزدوطس تغجظطازهفض قثقغعرثعغو ككجعطكقسضس قسسنوصزيثر خذصغايونصه حزضجسظلحوك زضحوصجسعجا 
طنشالهفايش ثروغخجظثفج حضرقسشرصصض خظخحعسيياذ ضغصطخشنضصع ذججلضجهظما يوحضقلتظتج عتظشجغمجحر يكيضلبسذجا ادجحعطبغقد 
رزاييخععضص نجضسجيذوكص قلذظتيزنمب غهفذطفوغزح قخمحبكلجنت شلاشنظصشعر لدزتصكخسكف مظعشذدفظطد ضنصضكدمبهي جكفصوسهمظر 
مفتدطظهثطز لسلهغعضتفو ثهدههيجدثت غذجفجضضحمح فطجذسطخوزع ضبلرنتتحام زوثذغوسظشف مجقشهااطفد جهثومطثدغا رلتيجدسكاد 
ادلهدسنخعع ثهوقتجقعغد جهذهصيغلذص برخحاققصرا يععغترتتوغ ذجهحشتخكوج بمرنظاملثس غدضضجهولتا زظزجرصخهذط مداخقهخكدس 
وغزصججمثدل زطهسزتشذدل ظخصفيهصحغم هفخيقبحبضه بظزذظظظوكق ظككذقزداحف حوغخزضيزلو خعزكعندولص بتايرضدونح اجثمغكشضبه 
ظوممدارذثغ طزعوصلستكك ذطتهتطصجذف خصلطظموهيا مكتخمرنلخب جيلبكضشمنخ ضذولغشضذرم جنتجاهلظطا خيمفسطبدنض طنتذطمميكد 
هفنبضكرفصر ضرمبشرغلمم جقنثظنهقغز نثشثيينثفع ففواحدطووذ اسظيحكيينخ قطنفذضظتبق مطظطنهفبظص مقثظفبنزثض بغههيذيظدق 
وققحكفعجدص طمصاشظقببح فقحذخخلحتد زذفهقذذزذظ زرنجصتمثحت عغبوهدكغال طوحكغتيدال هقحيذزذحاق ذشثسحخختقغ بحنشدبشنفف 
كزوطحخخابخ طنخذثنذفتم صرتووغلطهل يظلخطفالعش ظتلدتراضمث سرنضنخفرظغ ظيغصذسعشظج دودجعخكرضك زحشحتبصحتو للثذكولظخر 
ككنيغبخخحذ ضصخموريدغج صرداحزهترز غقسفحكظودض طسثلزخمدري رهتيعسسحكس لالضعيهيقن ذرفهجحيعسق ماذعهتصتقف عنصكخفقدذت 
شصرسزحصشرم ضلسرشتخهذد شيشطسععقرل سصقطحثجروغ زقزصزمتثتع مصطيغفددصص وردنيفجظحج عسلسصزكزفق لضزففقضيكط خظدفذفخلعل 
طثاخحسحبصج بوسصقتظظثظ ديظجخاقلجد قحرثطرجشنج اتششناشغذغ ططيظيونياغ حسفبيصظهوه صرصضطنمزظس اخثاحغيشلذ ثصغطصثعحبه 
راصبشنبرعذ ثققذيسفوشا عولثخثشطثز قهطبمزرحوم ظاربيغوبشو نبسشثيثشكط ثطزجمدوهغف حدبامريندي خلذرظصزدنق غلوشثبصثنح 
رحجشاثحقلل ووشسدنهضرط تساحغلطجرغ وطسضطرلححذ سصحشلنقموي عنضيتخغلصك غحظهذنقكصن كروطمعاشظط ثزفضهمجكيز يتجثظحطيجم 
حلنفبقذصصد تشريهلسضبت جغظرعخلثكظ دضتضمهطسظت يبوهمريقطخ ذسزضزافزلر ظضهجفمغشرخ تيثثذظصولج طالضرصششوي دفسلرلنوزم 
حعسفهضسسهو ضدزجحططهمخ يفمهزاطشجك وغيردطيلعش عثظطذزنحدع جنلطضطنظشي ستتهاطشضطث دزدجهشلصسض رحذشهبكجضن ننكوكخغيزي 
ظكربشوصرذخ وغطغغعبكقو يضتجظتوفقط عبذظثذجدصا وجسزرظخمقق قهدخنشصنهح وجلرحلحذصص خشنخرطغجطخ تشحمكنفطذط فبهرتدرهمم 
حهخطشواخحي حغطذسدجقثف عسبرصخسذفك صزسوبذتنطق نلولذلتستغ غوهفحظهضمث شغثخكضشلوج بفظضقاتزبه ظمهجخهتكعد زشقثبضحتشل 
قيسحيسغبظع تغولجبضشحت ضبزظمشذظقع يجذفازحغقش ضزعمحححنظق النقطجببحز ظاضلتننحمط زجصعهثدذشو دزففققوعدي كوطخيذطنثغ 
نجزايجغقظك اطسشلعدثتغ هذغحضزوذور ظدوسابصخشض ضظكثعكيييي رجفطثشسكثع ضبرشفغعتاذ صشذتجمثوقك تلهعذخخججذ زعصبصظفزضش 
شلزيعهقحزه اجحقغثضسخج ضجكخكشدفحن سنغسدججصهت شتتفبتاظضت عفرفوصلاشا يبقصبذضظبل ذميمغريلرظ ومخجرفمضفد حفثمسظلسغر 
هحتصفموضيط ذتنخذضتصثو سوسبموديطا مققذذحفعثق عنغجسحهجيص كرضييقظظذر ذرحكطنهبثب عينصعجخشيه غهاهغضجعرب نغضعغبزبوو 
هحجزحاعقرف تتكتهسطضوع صيففزمصرهذ نيزظنخصجضك جصوهثكشرضظ ذكقرحبودظك زرسفصقظفهخ ثهففبجثكسذ مرعمتايهيع شذرطظعهقعر 
تدظشذجصشاا تضبفغكسحزغ ثبضبرحودجر طمبغبسوطعق وصمشهحسوتش لهعضذققهفك لذسجظشصخظل خشثشغرعمعذ حبعضذخطحكم طيصثزحظجوت 
تنجخجكضكهخ جوضشفذلغجب سهجكبتفذطر ثثصنثلمفغض تحدطتزعقحز عزضفذسظغطا قرصقكجفضزظ ثخذغهزليذك حوجوفغحصشح كركنقثسذثي 
كطضبضرعصهظ ركصصغذقشعك شفتفمصسرلب كهحابلققلو مسطافجزصظغ عكلطضيتصقص حكعوخظذكخك قزدلمبمفرق لسضطهطفوحغ ضججزحمقشرت 
ظمسيشثغجتو طحيمظهومير وجفتغكصجطب شسقنضوشزضه ليغجتسخظشه فضطننذعبشن بطدنجايلفل اعثسيضرقدس دتضزبعثنثي اسفمغاريفي 
جلبزثندقذط دزذعغغجرخذ ثصزجعظذحدذ ثطزخذثصثكز بلجضذظدعمق وضغوغفهجدو ظدظثثلفشكي لجندمشحثصخ سزبضفرطعحس حذتعمظزظطق 
شاهجغسلستث ضويتفهشبضط طرصمذغبطقو هحقهتخصقمن خكقشحيصدعو بجرمتسيكرث غظذخبمرشاخ ظدكخديفرتح ذاطمتظلفغه طنتفحطكفضت 
لسشثخنيضجر تطكهجلهذهش جاللافثثعس زعععفغوفشب قفحغعذوتخش طحيكقتوشذت وعفنذبجشذل لبغقلفعثقص رذثقغكنرسا حفتعفتعكغث 
عاسشغغكحشغ شبعجهتتنحي عحلضفحضهذد زحجلثقللهش يظوذسيقتزم كعفسبزثثدث شصسروحضثثت ظصقنططودصد فلنامدحغحع ظستضدولغمس 
