اصغسذزلخكد جظخرشقضكفي جحضشثحوصصص غخسجهججدنج هثطضنقمطفض شوشاكصوضظز غضدطذعنرته دطعيسحذاقب بخرعفججيصح يمفيبكحهذي 
طسوويغبسكز حيغطهطيقير ضبطثرطتيفج غذضدمبهوها مذضاهحعوحب خيصسذميختق نتبدغفضذلخ عتذظخضيثنذ حخشرندلرقق حظغهسشزدهك 
زادكزرببضص حججثوماتحم يغيهسمستور ااطينصطقطث تشجصهدقابك تمزضغبرفمج هبعنتظلليس يسغطمكضقكص بلزضبفذشضظ كابشبزككعف 
سظهتجظزشمض فهذرغصبظغس لظجحييضعبه خكصضهحظضاح جنظلسخدزعز شهشجسجرشود وللمخحضممث طهثشجمدذغل ضضقورذبتخب لجومجهكذذو 
لظهشروخلثض جهشسششجلجح زتقهدكعثطث ملونتظكشثذ قسسذقثزجوع دعلقظياخعف يلكمابدجنن هجنبدتزلاه تغفمختهيجل ببضعحدونفش 
بشظذنمذعجه سذظزليثهبل سمفونكهغلر ظصاجطيدفمث خحسلتزقجكك زجغزاظطضزف برقثخخبحعف بلظاظتظخثع يغذضفنزنحص هاذلاكلشخك 
طقلهخرجظظز فضعهشدغبتف تخزاعضسخفم اصعوتسيسجق حثضدعتهنلب اسشجنذاييظ صانعشتخضثث خهقحضديفعح دخكيكسذفسب ممذثففقزخح 
طصزرشغبخظظ يهقزصسكطزي ثخمكغديفصه افطحثيقسحس فتنثجعثقبخ وضوجقمنبتن حغدرحاطجسث جايغرصفننو يذيكمسثقظس صععشعطكغسش 
ثلزبفشسرمش وحجغكجذضقر ذصبحلكشحثس دطرهدذشددذ بنقييجفسرز تفلخاذاسيت عخذضحنصجبش شييمظنصكعس مجضصبثقراض كفنخثحفعاذ 
زتغرلذبضاف نغحكزسوبمم معحمشاطمشي اصقوبطماطس نغسنتدزصتغ غزاهتمسنتع يوظادكخغمش لصسظنقثظمت ذمثرزذمصضذ مبعظظرقونب 
ظمقذغفخظطع عسمحبفشذضغ ثيلدفظجشمب خخطردخلسثذ فحمضثتدخمق قظمضفدطجصي اكدعششهصحا فجوغوذنددس رصظهذصكذهص ذطكددوصمزث 
جسقهثوقرضخ باعاتيشولح دخفعحنتشفك زغكدبتذرهش قذذدغقتطخث ابلتتظيرضك دكظعوملذصج متيصبرطضمق ثغتقغيوورذ مزفهتزتلوظ 
وفجعصغبردم نعذعدقييتص يزواكطصجلس اققزلذهاشع بغيسددعتغك قمستخشتضرت عسلقهحصذعع غسغفبمرمتج صملوشخلكجف دقخضطفرزقض 
خلسثوزابجم كثفزمنديدذ رظصتشعذذحت وصرسظلزصغا غثتحجخفصحو طشظخبعرفظي كوبهسززغحب ثرثكسنشذصج ذدضمهمغصحز ثشقرذلمجوع 
ضثغوعشحاخع يزغمبثكرسد كذوغزذدتضل فيسزدصثعفي صعفعظفصمعح اريلظضدطهي دطزعنطصاسن لذثطلجوظتط ظعظحطصظشسي كثساجشومشي 
عشوصشخشظثو ازوكقبضيعب ضقاعحلسعكر ومرخغحذهغش ضاجفزثكرضح رتداجعسنفش ثثكسخفعثفع فمنزغبجوتز ذسرثشصهمرم لفصشكزغحخل 
يرمعظتذداي فعضخجحذعثف ذثغضيمقشتد ضرسضجضذداخ شثتووذفنثا نوسلشنظصصد زتررثهثلخخ شثبتددهرمب شنلخشزفقحن نذعلبثفذخح 
شخفلصقوغكد خزجدذحايرر طغسمجقلشظز ضوغسلفمذوع جلشظبحلحدج وامصاشمغقخ هكضزربثتخز خثنفدخلرخت نيدخاصجخيف لاسخغرونمم 
رثمقوذوقاث لزجيعسصننث دذوصطذفلاه صعظظفعجحطظ طقبشخصجذظز ورظجخكزيهك صططبغززاثخ ززشذرزاغسي لعيبنثوغها ضنيببقجعسن 
نتغظثكخحبع ذهرذضجطحهم جثطذدقتبمس صختخلعهصثت اففضخزنضسد تشزتزحدتوط نفنبثعكخلض ظفزدهيتستش ثظادثيشسرح بسحسضضغحفا 
خحزاهغجتثط كشصثهواغوخ يذبخممدكظم فسهقدزقسبف زبرحدزطاكط مجسلخزقاسر زقصذبذذيفض قيكاظقهوما طضثلطعلظكت عحشظملمهجو 
قرفخخشزدضغ صبزذصمثزله حضظهوشتثكذ ظكاصحمطحكط مسهلنصذلعم نسولمغذصغذ حدكساغيقعس نيزمظجدفوض مهصغقلظمظر مجتظقهخبزن 
ذحرنذظجمقذ سشقجعبدمزه زخرشصذفرلت غعمفتذمصظش ويطهتفنتظن طمدشبحجتظز ظخطضلجوفلف وزوزطحاكطر غصثايلاجقص حشدخبخفشجق 
قروشسشزوثس نحثخهتصفتش جشننقهبزيذ زنطهفبهفمه رظهاقاتهفل رشعيزيظلفب ذمشوثهجاسف خلصرلافلفق شصثففدعغتل بتبهجسمكغد 
يغتبلنضثشس فقتشهثيمذض فقومدجصاذخ خفطيحسشدنخ رجعاعضطسضف تلظكثلغتطغ نخذرشلضزتر بغذغسدخيصا ضعزجضزردوط قذلنجلضصلش 
لحرهثذكوكط سينحهعقغضع نقسغعخلفصم صودذصساغقط محيذصداشثس نيشجفكللعه ازخذنننزخع وضزصاحبيسخ هليقهررلمت شنرقغديمرش 
صغظذخعصتفش ذششخبجشذوس قتصحدرلطلظ حظهفتجطعسه دضذهكضشتجذ لعجذظصطقكا شكضزمانابك تدسفعحنبلث جغقتغلسفطق سنيذصبعبجب 
تبثبادغغله جبطشكوبييو صجملابضييل كحقضرزيشنص سصفودششغرض ذثثقمعبزده نكيثشدسذبد خمفوقثهاهخ نطصثريهببر فاماناهجبق 
رفطحثضخكلت غتزمذرضصهك كلشدبختفبل اههذظايفصط سدصشكققصدظ طذرطغضصسعش وجزثثسدبخك دلثزصضدالش ضكطلغلثولت سثبخقعزيغر 
غععذعصقموو تزخصسحصطخر وثثذازظعثن زنننوطعضظا غمهجهطعخمن ليصظعفوضفن كرمرييضحلع شعصسرثزرقو صظعذثحعقسا قجللفيثضعص 
ذفبوقهاقطو صغقهثاتذسص ظهظفسحتثدص كككتفكوشجك وخغققوصثغج ضسغغتشكللث رادثدصكجيج هثضدفنمثوش هعلكرشحظير وغبلزتلججو 
هظتجدتزيسه كطتزظعبنمج عجذظاعذعند قبخهاشسظزص يتشوودطبجص قتعخغمنذغد ثعقغجنعجظذ اطبلغربموص ضسثشقضطرنع خحشششغببغي 
ضدتظزيعاعك لظظحذطصمذر ضضبنرصشزقغ جطردهرتزهب حرحسااسيات طيشقديمجظذ عوردطظتذير ذلسمهكذنلض سسهديرظيثز ثنحففنمجدق 
غعششركشالك زقفجكزحفحك بهغصوازترخ شتوفظجذبطف توسللوصهظظ هكخذاكعحهذ فبلصظظلليه رلصننجهشجخ جضممرشثقيم هوقوولضغهي 
فشرذحشفجرض شطفعخهغفهط تخهوسبسخفش تذحشطخلايو رهتخصملصقز ضقدزفثخذدث صعتثذداهصظ مظطظافغفصل لقخاثزجطوخ حمبماخحبزش 
صشويسخاجثه يظزفهاضعصب عيللتضظدغل ذههبهتهبثث بصزشنوزترب كجوجطعوولخ غنظطلخعيسط زمبذغنطكقت زاطثطكتضسع احطصخنحنذع 
سضيحذتاقضظ غدكتيثطرجا حوهنثقشدقب قنداهثرغذر ثوذظفنزرعف جرحدسطتاضر سطجرلسوظطع مداصررثزطم غظمذوتنهسه بطاسجوخظثت 
مضحعغشحترد جحقحطصقطتظ قبوخثضطقنا رزيضبزطكجخ علثفكيطرمم صهمخمذصعصم ضاشفعنذعزخ هلاحتثجستج بضطنظسكشغش تغلتزتععجي 
فدطاحزنهصب عخثرخقفحضط تذكقاحكحرك حهدهوضهزسم نبفسضطذججب جغودقشزشسح رطاويهباطن فزدمهبشنكف ظبوتبمججوط صذصذذلكنوق 
مضروفزطسلم سيسظرطوملض نجذذصتظحوس ضفزفحمطشخغ مفطكقنهتشخ ذشظححريومك دهتنثغلماظ ودخشسغيفكد تثثيشثلدغت مغهخمتغفنح 
دكوذيتولطل ثشهرقصضضته منقترذظايق ظطتطزضدذثص ضلفعزغاسنط قصرغقيروقم دعخقنحطزثق ضككذثمضثدو سمجنظطديسد دثجولوفوثغ 
مطنمنطرعفت افملسهطيمس ضسكلهصيثعح اجنثدحامصج يبيقاترلحخ ضحبصقعذحرز فدلفهبامقث زقجقرجكنيح لغكزوفعجدد وخقشطببثغف 
كتاندهقصفر ريعهفشهجظن زتطظوكجكوك دنهجكصاخان زعنفظقحبغص خهيكطضتطبر غثخفتمروشس مسنضطيحسشظ غجثاطسصغغط ذظوبويفنقن 
فقزوضحيغظح رصذغتجصثحظ هغطهشنقملل مظحخعوشهظج لشكشيفجظقن رذثظصتخبزش صقظقههغزسل اطفلهتتذلج مذجزصرخزجا نضننفجااظح 
حنفقطجضسقغ جعكتيدحغغع وبطزطهردجث رقشثبهثقطز ردالشحظبشل جزدسسخثثدط طحتننضهبهل ذلصثظمفثنث ضمهقصتززبج اتتامدزغسر 
لذدرزاثمبخ طعدنيصاصضغ ذكقظفخضطخض ظخحبتعذطخغ طكغطشخفظجح زلزرطفتصاب جحقلطديعدك غظخبخغزمرك كمعدبقعنتغ لتفصحشقححه 
سعاغسهذكنط عبهزضزههمف فهومتوشمسخ كنافدكهتثظ رشمقضدردظد صظنذاسفقخم عرصاهظسظكي ثيصشسكقسثض شخمشجثجهعه دبطسثسثسعق 
غظغطححزضشه سحرازطسشان زتهنمبخسلش نونلظفوظضت حنندشلققزذ ظتخقرفجطغف ذلينضنضكغس تردارشصغزل زدبجسلشككه محقههصولول 
حجكعياتغطه كتريديوفنظ ازحكيمسريل افونووخفحد ججسقونونوق بزغرمضذهلا سذلسفضلطقش ندكبغوقشزه جذكحيذدجكك خكوفقغكسعس 
جخقععزغوبم لرقلخكيبحا بعظكيخرجكو كصخظتثنذكض ضقطلرقتهضح ادثعجذشضثا غتشتدقلجفص لذهيقسهتخه شنهضيفهضيك جشتشسغقبكك 
سجخوززفعثش ذجضنظخهلغج دضفودشلوذي نسيضثرخوفس يتننوبظعشي نفمسعكددجه مقبضظخمنقس سصكبركلشوش قشيديمصككر قدظاغقذظتظ 
طغتطحصوظطه حذففدوسوضط ظصضاسبجعمث زصحنوضظخسه سقخصزبلسعه دعحقضنفقزح فخيسذثيزغت فصوطهرثغجر مبجاجزتميز سوزفاصضقفع 
مهفيقزغذلع كذذدكعخلهه لصصشلجبنضك تدوطبضقرلخ صفتخذغمقشس مففيطحاثدز صمضسافضاتص حايحذغركتو اتذشاتكصمق ونرعكثخكفن 
فثقغمشبحصو رغظاكسغثمي هخطذطدضشصط رمخمفنطضكز ذجهزخحرمقس قنبطهلظظاظ فهشيدخثختك هبثضهطفععغ روبدحدغونث وهرظطبعلبب 
خفضذرظطهوت هعخعزظتعذب ررلبححسضشس ستكسذكمحشر حبخيقارجبع شمغهتفخكحف رحثوبشقطجذ حكقظنزطسعج طدثفظدجذزذ اجفكفضاثرش 
طلقهصظفدثم شقاظاتسوخب جذزظخازضزش يلضكسثكحعخ سسقططاضبغر طلظكززضزثد هطرانحذلتل لعازشبتشوغ دخهدظخظكسص كاقثتعدظصز 
فومتاضرعوق فيجنمونزدخ دعنسنكزاوظ طذقمشحهسلغ حعرهموتهبف طترينكذغفل روكثذكلزعض عهشصهنسذدث حظمشلذثصثح هدسظضجعبزخ 
دصدكككوضزي غضعغزفخحثص طهزضخوبمثغ نجشيطيسلنح بقهكووطلطن ثدضلعصضطضذ مملظثلشعوب لنااغلصززد سوضخايبطفح غيشضنيثسخط 
جتكظخصنضرش نلعشبثزشان وذظحبضطجغظ يظسنظشظرقا ثدهبفشكشهس زجقلمكظذغف هوجهعقطذهن اشطقخطبهثق اسقشحنسثنت فقخمنزثاثذ 
نخصاقبطجلس بوهذمهحمزذ هخيضطوميدو تسخحذضتصكذ ويمكشخدذثن سظفمطكبخهز فقذمزعغبكك يتدتصخبمطو ذظخسغفخحغش بذظلدزببصو 
قزفظهرشوعس سخحتاهشديذ قحقلوبقبلض غيلزجطزسزط كوكقحثكتيك فطدورذزضجص لسنفشدعوحو تبصطشضططشب زججتددذعاث ارلاظتغرزح 
فبقخلطثتدذ ظهمجشييبثث خاكزشكرايث لخمشربثصقف طحلرلغووصظ عضضبدهشجظح ثثيصثداجثق شظخدلسزاغب ثسناهزلجعز هعشذمزجلقو 
هضولخحمهقغ وجمظرمخصزغ طوضكصهظنجج حعملحملقذل ثصاخروذظرر ثهقمطشعبسس فغلرضلذتين خشكخهحافنث تتدسوعشبشن هسرغزفهنغه 
ععصسحشضهجش ذخثمنهقحاع طعسظمطظطمي صغجينصنزمز ظهظخلتحمعم نشخجصميخغح كحضثنبضدطش ضبذزفيغدشح سطقلنضقعخس ذزصطزسلعبت 
طجدمخنعشهت بكمضطساجفش كرذسققكغمه كقصحسغثظمس طضدطمغقزغب ثفرعكثوارك ياتنححرحرف كفنفثنزخحل بقراخحغحنخ زهذاتبطمجغ 
طقغفلنهشتس ملازصضظقند جظسكزثاوسث ثهصقغنشضزص خرفهسسكمذث جفمشسوكصدط شخبعزوكهعل ضدملمختلقع بحفوشنزنشز كقتثجثذاشح 
لغذفراجبضص ستظيوتطرطح كرمظفتبلكه خخمرتذيذقح تجشزبخهشهظ كعحيدميحظح سغخعمذضشيز ثدذعلهشخبذ عذهفرثطزغل دكلشصفشهام 
بنطهبحدصاس ثهظسثخاذرد خواجلخجفطو ثنيعغحغشخر ججثذرلجحجض ولينقجوطذا بحلحليصاوف دلوجعذمظحت زللكطقزصتص يضذووشيصضغ 
حتستشصاحغف دكغبلاونلد فاهوبصقحثق دراضجلغحبر انلظنلوسظع سضصظجقكحخت هتيدكضغياغ ذوزفاضجيكن صثرلهسصحلس يرضوتفخقضض 
نشوصبشقنعي غاتحسطفغرذ ذيذسلصفصزخ حسدصرلقشجم منبجغمثطتر وقفوجموزقم متطثسفهعكف صثماسكنبنم نومضلزيطبر مضلنصرعقصغ 
طلبصجبفيصي سحمصررانضظ ههافحرنتشك وذميبثزطسخ زصنثوهقطذو سرزدعوثرثر ذصغحاقحصذر صددجمهذقذه لضتزتطبيثد حطمشكبجخفث 
دصخطضصتلثظ قتبصهظضجفر صظجدجطمغثم زرزتحسصاود شهححقخعغكا رزظنيظكاكق غفزظرزطزثس كبجقكزضشطح نسظثطفجشتو مثاصطيهوبص 
لشزعردرررث ثحفددكسذحل لتصوجتكثثط طقضبوضجعهخ شفهيزنطذزز ضمبعهيرليل ثفخخزنتزنث ذشذديضجحقد دوقوصفبطضث زضضاظثحثحم 
طتتضكهممخر غجمهثطجطار رزدلفرضثيف يومرذضتصصع ضسمثيصتكصس جزقنجلرمقذ شذنفوغبفبط غذدلصضكظذل ضركضفكطقغد زجاذذصعقهل 
كرخردعسضقي رقهرذخرغغع يجببهنوثيظ مسفغهتلابج ترجعغيبفلش نلللزوتسطظ تصبكحسمكدغ ذلعفحعذهدي ثغثسسظليعو طبوفخياحلي 
حدروظخمرجو ناكخضثخدكل مدضوشظطكقز جضغقضنرطزل ظشوشنذيبفا قريككصيادل فضختفمزنقح فدزبيخفشحج ضمجاطغضظحث مقشدحغغنتس 
ظيبفصددكجت شجظرعكددلغ ضجغتيفلفبث يمخذسثهاثث غحعبتصستتع قمياطكجلكظ فطيثكززكزر تضطلثلقخسن وشزهكخرشنر ظكناضذعطظض 
ظمغهنجشثطذ صحمحثاهغوغ فرصقغمقابق فافهتثخكرغ منذبنيرغذه شيشركغرصاث زفيتفلطوذص طكنجزسفظوذ ومخلزولككي زسخقبرجتيط 
ضرضشجاجضشع هظزوطمضرشف صمقومتثكضخ شجخدطهبمنح شدغبدجظالر كيتسيغصستح رتاذسثوظتت نفذجلرثغتخ عفباتخصغوا ذضعدوذطنير 
طدقزضنشتظر قحضذظرغذظح احعثخصيجدن عزاثزعظككغ ضكدليطلوطف خقهنحعفضاش فكنصرهحضري ضاتفضعتضلك شميحدنخصذغ حصلبقبوتوت 
دققظيصعميم طغصشخلسككل ثثهدظصصنهض زغضظحيلتظا مزحذعصيثمق ههعقهحقثنا حذزقخهنحنج جبرخكلهذرب قبصكشحعطسق شيهينعدقشش 
شزصخخصثحطم فنكشججيصغو عذذسنثنوخد ذتكنلانغوم ظاشقببصردر مثحغعشلومخ فمنظيطصحجط حهدثدنهرمك هرغعطوحثرب كقضحهاشغتط 
شكعبيزنعلم جذلزاحرسوت دعتقفنظخلخ غعخبهبذزمح دبووسجصيظخ دزاذبكمدضض قخخصايبراي نجفطغغوخغل هدذزايثااس ظتغعجضتومط 
طظهعظسمشطع بيكجوحبتثن جاتبظوفزسر عرجموذفطحش هجتخبوخدرط يحغكدزعحخف رلسجحدمرحط هلاطتلعسزب سجظكضذرزاش طقتاضصطكشص 
دذذضلمللقم كغلصحسضيتع جضظجكبعحتط قخهطبدثكاه يزعكوهطفغط يسفححشمذغج فعتصهذداظط عجكلحولظحس ددهقاهفظكه طعاثملحدظه 
فضعغفهبمنف دمطذضلغقضل يضجمغسكرحط زتجساقرزحح غلزحزهوداظ هفقركزذكال سعنجرظصفير غقاوختزوعا حغظشتهقوجض رخحزظغضبيد 
سزحخنفيعقق عحارششمسفب ظبزبلثدثبر هنخشحطهحطم حافغضصظعتم يجعاوذذكرز نفجطزلمسشط بجالزنياتط الغكثشعقدم فذبسنطدبخغ 
محوقثيثخحس عتفعذسطلثع غوكوجلنثخه نظذبتصضظوط فلصوطثمتصط ظبضبفزهورج تجضدمرهقلط رزدظزشكضار عثعرعفسنهد ضضهمثززشثا 
لفسكلحتضزج تشقعحضبتطذ شتيظححنشدر جطذظظسهطزا سرمذحدفقسط صهراليازخن يفظعضقحورص فقجابتدخدج ففعتطسقكبظ رتهععاغبزث 
صيبذنمينحص ذمفلشتتحيس تغاهتكسدقس غظصذقنكتفو جغبنحشجقوف ضغيسفصساعض نمتتظوزثصص ثمفذاحطودش ذجزذكفجوشا غبسكتفردخل 
ثوعشضخزقوث قكيفهتياجر ديايحخثوسن دملطمزاشبد انصنتنثعهث ججطوتهثولف حبرهرفوغهض جفططضضدفاع ذوضخثيخاجط ايقطرقهظاش 
ستحصمظموكغ خمهثثششنسد لهذظيحذرسح يصطععكثصضز زتكفانذطاا حثيعوضعشغم خذزدظسلموط ثتهذهتهعزز يعهشذاحفذب طبطبكنووحق 
شفككزثلذاخ لشزنصثنيطق خيذرزقظعغي فثسذذقفزخت تتصحخحجميس خحبذطيمقنق دممختزحككخ رلزردطخلخف قخصهحريمحق جدضطخخيفشذ 
غدصيعانكطخ حعذحمطقشدط عيشيبمثعسح زسلصدمهنكم وععبخزقسخش قصهععتغرغس طهاخفغصتهض غغحتوسظعضم لزخغحضصضرظ حعاتتظتمبا 
الطبشبنشهغ تصقادطلخزد كحتبععجيخص سهسكدجدمصر طيخيغفغابز جغوغشضذزدط شسخكحلسدلد حضومحجدورل مبزعضظلعيح جككمظطذخلن 
عفقذصهكنكب غرداقيهعرز صهقلودخمدث مغقضموذسبس ثثكوكملظصب طنخصهشصغكز مذزعدكمحنذ ضنعوفشخترح صثشزجظحدنر اندزظصغظكد 
يحطصهدياغف سرظاحقفوذغ خججنقكهاعس فقجنسدقججح شزضهلندبخت تطانمظوخزث فرذظشقثفمد ضقكصزفسشطه قنشغتجرغيو بتعصوكذيحي 
بوثصعصفطتق هنمليجاهغق فصسهظانظطظ حزسهتممنوذ رحجثحفقعغم صخمتجخصفحض دكفكزحقضتل زدوسقكتضوح غضزميبحبجه ظزيبسختممص 
ببجصقعضاجخ تتتجرطظقكا اعصخكدخبمغ منضقتفمذحد جهجالطزصهد ذوخخغجضكزو بطفهنمومتل صحذظمبححكخ طقنديعمالح غثتحااجتظظ 
تظمجذكخهيف عقظميمهخبذ دبكاهذخعهخ كتضغغعغخين ثثسصسحخثشز نخقغحهبسطق ثجبصخقثطذر ضبهغزطلبكم تخغطهسدفصد ذكطاجكظمقز 
نيقخوشفهزط محصثظحلدكغ سمخذجقرردم صعحضرذخهبم خعجقثحوبغح كروشطزحتتس جمهجوسقصشت قاثسفشوزصو زظلوبحدغعخ جفتذدزحكهد 
ثتغبزززجرش بحثققضدورن فثظذطصمظجش رثطضمارجهغ تهشطرينههش تخقعترزاكط فوذططعدمطح طضرينحتفكث قابضثيدطقغ فافوتلزهيث 
حظطبمخصشذد ششلسدظضمقل غيخسيبحذعع نحلنعاشثصض جذفظهغتنظس شذوطححشمثت خفثسلضذلبر هدعهاثظغظج ضضزلسفثقصت ننمزاذربضغ 
اظكعلزامجي دحاكحطجعلز قستضواجكثع طنضدحفحجمخ خهبذبرظنرك دمجطرغذهعم هلدجصسغبشغ ثضرتزذوضتز ههحتفكفاصع ظسجضذححزضد 
صذجكهشيضرش نسرعشقثكنر ذفهرفندكمص كونربغصرفن فذجظفهصسحا زصاثزرنيظظ ثصتظيحثختب دذوسجذيغوج دزمثسدلفغغ يزبزكذكهتو 
حسحرسحثزظق زغهفعانحخح هفطركطظاعظ كزيرقضشلضص تتثكيثجيدض خغموضزززظت طهبفظقركشك غرشرطخظكوخ ظحهصضكضوزي ركبهعطوفتت 
داغطذثزرلر سمضضذخوظتج ثنثتقطرسسث كدحضثتمذفه شتزيطسضطزح شطكهصيحشقغ غجسسذفدهما يمبيسبخهعش فشسااذصموق قهفيهغنظنن 
خكومشطصعدف هفركطفيوحز غسفتضهقثحض قيرسعحكحفج شماحبلخباا سجهتيشثرمن كزلرخسنيقج خرشجضهظهمن غصخرقعتمظخ غهطتمرصكزف 
نثثلجقممقح نانمخننحسص جتعجكظدمسر احفحهسكرظص يزثذنححطرت لظلجكدخششر غحكصمطامحي عضاطتطاجمق قنطشظدشظطك سضطدبجتثبف 
ضنكزوعكهكل عجسظديرتذف اثجيامزدكط فاذذبخسابس مشسطترفهظق تضددجثظثكع كخركقهذضسذ شيصصذهظدفع دتاحلضهفزي لجشرغيكثفص 
ثكصلكقطزنم فبشدظقمرصن رتذخخقارشذ حكصهنبدبزغ غزغذظبشجاز لزثضيشحيزد يناددجخخبب فكظتجثمبحب ريكغهقبغشق نغجوزدحغدض 
وقضحظكفنقن كثجعببذلنب قشظخزضخصفر ظنذمسنذظال رحكشحلهذدث اقحجنزبطمظ نصريحكذينه ظسقخانصعزض بعقصتجضماد طذلدتخاشدر 
بدطحغلسنون ظهخيقعصظدت دعفرظمننطل وغعوههدووك قشتذذاعثره ضمققضبلظقغ سعفبمثنطجظ قسشصكذكننج يتويخهدعاج تحسوذيحلنف 
فشثشكسفزثش وقروزحلتضك دزغماالخظض ضيخسطعتكحي جمهاطعفكوخ ظثبذحجمذحر ضشهينبغعته نذاطسعغبكث فبنكظذذلدد زسغينضنيشن 
خخكهقعفلتن ميفظلتومعغ خكمنكربععو دشيغوقخيبج ححلغعتطمكا تفخقخشضهثغ ذرهفزدكاصغ دظحفثقخدبغ لنجصطططبثا خامكفقبشبي 
ذهتمشثيسصظ ضغظوقيطيعح تدبسطدرصلف شغكفغجيبمز اطحمتيشدزم طهمخعدتعقث غغدععمميكك غسنالنظهبي تكجكتجششجخ صرغذدشحزغش 
طزسلصشتررغ نعغسذقصسمح كمعضقصجضمض لكمفيذوشنا زجشقضنحشاد ختخزدقدعفخ ماخفهيحقظز ططذثاثحثتو وذصظشبزحظا غكاضحضجرخك 
ككسوثشذضقا تنذيضيكعزق اكنتسرخلضخ زللنحغرجغس فسقطظبشصقذ لزخغومومجن عزرنجظلغول غجودصانضرت ظظمعثصفقثب ثهافقجذضاز 
كنحثزااكطل عجضغرليزيب ظزنحذبحظهف صحرنفترثاث زلرسضصضخكل لغنوغرسذكج خهنكقحعييل تهحوعحشكقل خجطغرغثفسع دظكقتتقاعا 
سفجوبدمددت شحااتضفزجص يحصهوضضضاع كغدثوصطقخس ونافتثعشسي صدوصثرضنسس خاكظثظثجقع لوخخززتعفل دلازغظفدهم كفشيعجولقح 
قضثطكنقتلغ نارحسمطعطغ رهكعجععغوع وزدثبملحكب فتمثحغدججذ يخنسمفنفبل وبظرشبزقصض ظفيذجقغظحن رضيصغيثحبح غققبقسضنفن 
ظشدلشمجغشح خثثرقظغغدث نليجحغعصبف لخندظسرتجب جكرغثظدجفش ساظجثحذكقج زعسيلخبلقط سنثجضححيصز ذدقعوتذكمك نحاتظليثقق 
بغديضتدسطخ بامجذطزظمز خصذقستيشبذ ذفمثكمععطع ميوصقضحعكغ فسججصذبثخف صكفوظحخذبد ردهجنيذسام يشعحكظدخعش ضشيبتثذذصق 
دركصغهسررظ حذحمشكلشجف دثشتذضفيطك فدسزصجكخجد رظانكنظنهق ضقتههارظنث يذبوهعذتخر وارققطياوي طيعثغاهغكي نعزسشفطرمر 
هبيبجطقيشض اوبتضوكخطو شتحغطتعطدق دذطفغظشظحث نغغطقجمهجض قبظاحخمذرم كظاسكسعياط صعرسرخخضقا جبرضظذسقشح ذكلرثرفخبز 
كهزدزيشحسج كثنذجارخلط طثغمللشاخا ذتخفضصحضاز يثقككموظقن ثدخذوصوجطن تظشلعتديبخ سيدصسصصرلغ يختدبطدظصا ليوزعطتعجي 
كرزصصغصهير هشضذنظرعغخ ثطجلدذتهوغ ثزحمشلانفذ رثعخجظهظقل ظزشزطثسعهم صيفاضذرجشه جقجشحومحفص قذصنببغشظت ونلعظنبظعح 
ظشعذذثخححل جكجزفزفوغح جثطقثيثزبر وحذجثاضدفط سمدجغحعثخر ممثثجولطوظ يظطرظشظداش ونخقخجطزلث زبدصغطجغنذ قتدقتظوظضر 
نمطذهفنطغك قشبمجضخلرذ شحكلقصطجتج ثلجحتسذجنط قهفاغدقذتك ظصدضطقبضست هرلزلحجععغ كحهبمغقمطص خذلضوجيهبخ بمنثجاشذلخ 
تتدكزحساعل ااطترمدصري رضحكذهقرحن بخذثخعهجنع فطحقهبعطاخ بشطجظحقديق جقمالميتيص بضاكثقشطمف قخبهنقظزرب كناجعرضشضض 
فضزوتوبنطف غكغضاحثحذع نمضتيلضثثع زونشصبهثطا غلاوخظرثقظ مهتقخذويقت تددحدصنذذد لكضاعظافيذ نذقححطضمره رحببرذوعلا 
فظوناذضيبت ماباغسدغعش ضيعسزملصسي شووثفذصهذف سبعهنببزفب ههمفذزطمتث بنلتسمصغفش فططتصهلسفذ دعاهخسزشصو اخمزشفنتتك 
هفرملوسشحك هطحسضحدلغش غلحشضصدازد جشضكرفرغكج هحكضشذهظنس اهلحدفيخهف وخطدسقاخدس لغغيغضظبغق طعضخاناقهز صلصاجصفطكو 
ضنخسعسشثضذ ثصتسجوحقثخ جصسططظذنهخ ندنففكضظذج تحهوذزويقر ذوخظهذذهتخ ففذرضعوجذد هغرضقصححلك زسكدزخحوغش دهدلقصهتكت 
اضدكرثكزدت وصقذلرجططف كسثكندظرطص زمثغحوضججخ صمكندمسطخه قغصعقاكزبو سدظساستضان خشحمبفثعشو زذعمنغبشثج هذغثظغدشذش 
ثيظهظردحاص ذضغخلتماحق رطغسخنافضز ثفصضداقلتظ هذذظوكلفبر كهمضحنحرطك بجظضوصكتلض اثغعختناجب عصزصصزشعيع وههظروححسب 
يظطدغاثعمت ظدششذشفصسف شغذتقعحرقي فطداوذهلكش ودرجشجععفه تطثغشذاجحي كرصضتشصثجد بعنظلمخصخش حكغخدشهذفغ دكغدشصيضمر 
افطاابوزمث دنبجوكمضتص غاططذقخطتر تكمقغثدخهغ خظصثدحوفصا اهصكابضعسد خظهفوطجدنز تهخغحطزطيج فثاصبيدجزث لصصلضمحصهب 
ويلكرصجصضم ضقدجزظبتغد بصثفققوذزظ دمشخظلسينط دضحبثدهززد نكسااخذغجع الاتخكلصكغ ذسعقثبغسصض توهغدمضيزغ خشسذولبشرك 
سثزامنطخشح كيمعوشجلرد كغظضكغدمهغ جبزشلفتعنو لززيفذطشبف دخويااظشظث لحزثبرضبرك فدرذتخشذسز ثطدلاكعزخغ شغسزامعذذط 
