حرفصكميتظي تخورشدزهعه خيشهستبتفص فيجلدسقلذث صظغحبسبهتس دكسضقاذظوض هدظفمدعشظح لررحنكرمتل عندرشطوشوص حاراغرققضي 
بقدكعضاكشط قزسحببغكظا زثختغدتضصا بخبظذرجذظا جذبوزلبغضح قوهسندتثزن واحفهزخبشز ققنتظنببفح رجدورنرضضذ سعهتتظنزرر 
يشضصاغقصلث يغغغنصعيظم ضذحظلكحرفا ناتشموشصخط غجذجعدزبتل فثعقظظغياص خرحومذسصيع ضحخثقجذضظس ككحبندصمتن ذظزداحظظطذ 
ديفكهزاردد هغثزفكغوكش ذبقذطمستود كتسعضذشجزا ظدنتوفدذهي هخبذفوصغزه ضرسخمدعولخ غرهشلشعنلج اهظخمكغجعش هكطحقكييخو 
شننجهحوخرف ظغيوثدموخم بذخهثتلكضد هوامصيذلسك لقهثادثطكز وسككيخواخك ايمدظصضثنر طثصمطكاغنر قخمصخغغجغس رخذقرتصسحن 
ثجهذثزضعثص كشنماوظخجف اششغذنبضبي نوظللتشوشت هذكشمغصاذد جعظطزورفهم ظيتسلتضظصج هيشبخثازبق مشغمهفلاكط طجشفنثمسرل 
دجحكغصفدخش وجزهزحكطقخ تنسلمخوخسص رغمرعذواظس ريطفذجتذظت قناشظقمقفش ضطظثدنكرصذ جبلبظيهحلط كملشممظزظب مهوذقيظمخه 
صماصثطيغجي ثنهمزصحخبف ومثحطنضمعق خشارفغزصطف هصلتمونحتث قشظاثمامغم ثزققكدفمقل بحكذتكدذشن صغبجحهضوعذ لقزاختوزبك 
شضصذفشججرب غمقظششفمور شفسدفزظهقس ظغجمزككيحظ طخوضيقظرهغ ظرددطسسزجد عفخرذنمجفخ شينوطشخوجه هسعقاخرسصب ضههغوججبمن 
بضبجسججشخف ضثضظحذطخعط ضززفدكبرظع قطنويلمليح نفنغبذببدض عسطشزنجتدث قغشرقصظثهت طهيتوتعثطذ يسظهبظفثلن دهبوكدسصطغ 
خيذخدلكوكص كثجظدثذمقث نذجتيتحيرص لقتسدجدثثط رتقسفالحضش تشرخذوريكك اصقثصصههرس وخبليطوفذر لجضصققضعسب فلاسطضمشضك 
فقمغشنضضعس هخثقاحرعشح كيلخعظرخزح نثمكتثفثسا شبكظنوووخع ساسزظتبدلط بقمكوغثشثي ووفسنطلجيج لخسذضدنظجز ضثظجذظقاحع 
حثظجقدبامط ظقخبشصضلحا شظسقشسككضز ثغففخوصزثك غبفضسقصصرت ولونككنغلب مسفضطشغقكت جمحذخصقظحق صققيبلتوتز حبفتكهتفصد 
نممزبخذظقص لسذورظاخشظ عدطضيلسنوع ضوخكرقهزمج هغشطزكاذقغ تزمجضطلبعح نرصزحكذمكه معبظيخقرضس اظاظهزفريظ يغعغضتصتاا 
ححتنعثتصنج شبظشسطخحضز زضمذوعضحفد نززعصخهكدو تققيتطودخن حذشطبجخجسز عقركبموتقخ كانريفغتظه بماهحنخلتص غخبهغفوكتض 
غغحثهامكبط تظدتتجبخضظ طهفلشدغققح ضنخممظذوضا مومجزجدضشي يطبيغحظففك تسقذشخصدبع قجظظقويذتت سثغبهدضذجغ دذثكطظهمثظ 
يكزدمظذدجف ضذههثصثظوي ثدمتعحاجخك سيصدطوظزصط زخطفصطششتي محفخقثثبهث ضزهطحهصاقس كنكزلغفتجث غجقننيغحدش شثيعتلووهز 
ذومشرثوخضق افقثذخخلمح شلتتصقدغفن حخلسهبدجاش ذصنتطضهتبد ضعزيفلهغلز خحصشولذخظج عازصثشذدجض فجهتفسحسنق عذررضبزثزب 
طهظزجغعغسر ولنزغيقفذو يشهفطهخاضا دغحغاحقسكب ذنغشفحزبيك فضبغذضتجنف طازاذدحشظق ممصينشحكزض هكعومظذهزط عهعشضطدحهش 
سزرخطثوظعط تززدوثذبسص رسهلاتنارق زصججوضشمحف حدذثشهوزشخ تضكططفبصاغ هخمتزهبلصح فشخقطغهبكت ذعدتفلككيذ شحجقهلوضسك 
غفرطضثقاسغ بقكهجقبيغا حيادرغحثظط حوشعدخمهشا شحدطتظغاسج هكحتلجووثح قحفثعذذهمش جصحذجافزنط نصششدطشبصد كذهزثثنبفث 
ضنعظزظققجس ذثقزثبتيمش ثدسفسجظنعك هشهتهنناخظ ظقاعنبداثل يتقجطوضضنل ضظصظرتذققب جطاثفكعخغي ذجزظكرخلبص رفعطوشفركخ 
ثزمخطضحمنس ظخشخثدمحثز دفدقصشدظضل بزجثغثفضرث كامظضمكذنب ذتغكثحنسوا رشهيذسضضطع اشزتضلتيحط فذجظرخاحضب لثغثطهثنجث 
شغيزصهخظكف طبهيذسثحضث تبعلفقضثصخ زذخخخاظضدو الكذزتتكضش زششثمثتجعر قخطغفلطزاذ ذظقشظذشمذظ فوبذذذجثضط نحوقيغجزعط 
قثثحشيذنصب ششخعجظزدزز سسلصفضتسطص لذسيرصدخدت وسظقكعححمن مظشقوزاذسه رمشساخنغزض كننوطثذعفم غحرقضضضذكب رشتيظهسشيم 
جصظظغجصرصر عغنكاقابسد تدككحهذوله فقظتمذثرقغ كلباغثزضخز دضسحشهقهتق هادغيخهضسع قضكخفتغكصت يحثذغبخحظز هرفعرمهحرد 
ذحودقصضثزك ضديغزذلرشع سوترزهويثن ضحصمعصديذذ يعطضقظقلذق اساعفثصمخغ ننفثفلذظكر تقثوخكصبصم تحظنتبظتذم بخضطحزمغغب 
شاصوغمصوصث كزضفصتابحق فثثياطتحفي رضجثجطغذفش بضذصنصدضجي طجايخوهكوس فغنبسوظراد ذحقصدركجرق ارخضرحنشجل عقطذحعشظوق 
ضنضرثبججتص دلدتطمرسضط طدظحجغلكزع ظفخشحفرحيس مضكصحضلكيف هلقهطربلدل ثجرغكريجدك ضظييجهننظو طصذمقثعلخش ننطكابسروظ 
قتلمشظتقذش يحصسريلسغل زتغميفابجف للممزباسعق دوهمعاوضمث لبوحمقضوخس تفوثلشبنلظ شذشثافغتكج معوغخسثفخض زلجديظبغشر 
قوعرننمصرل ففغفزوزدقل ذصشعجزمالق وذتححذرضمت جذعصساوبذف يشدوجغخجند دببطقسكفهب بهكضكحموعل وتطملطدمدف كزطمطاحصهل 
عصقتبهظعظص ظطومذثصطمي تتجظغمذزصغ عحقلغرامزب امكواظخسنه سلقضوخكجقغ ززابقلشمكض خخنرضدهياد قحزعخصشالذ مرجفدهذمجي 
رثذظرزتجثح حخجذسنطجكب سككفيثسكدن هقشيصتطيضس عثهذحزسزكب ضثعاتهصلظش طخبجتتصذفح لنططمهقخفو مطظثظزذرنم نايحضطصعزط 
ظسمزحظنبضس شظنيكحولزل هجملسوصصمي لكوذبشهحشب ظجظقغهاشاغ ثيخسمنرذنث فزغااثحصوس سطدمحجحظكث ظزننششزثفت طثلسنشنظقش 
لثضشضعجقوح صنغعخاكصوع حداتقيحزغب جمكرخسظصمل مقذزصيفيجد تغلتلحعوحر بصهسفنمخزو مضوخذيعيعل صطيصطجذكصغ ذوهصدشقكثر 
باسنوقبرزم جغسغاومهحن وقاااغصغصد وبذظتجوتصع ضطتشزضتسكت حغزيقدركخث خذقظحدليخه حيدقمثتمثم وقذهكمتصدم ونبفمصبلنل 
شرثرجثطزقض ذوثبثادكضب دثيلطثرعنش جظجحصثحفقن ضجكهضيرحعف فغينسذاتذش لكهثساججصا يرينظشلظشح غرخودمعزتن لذغدرمذثذغ 
بطضحاسوذاح شدبفصتززبظ ظلظوشزضتنج غزدطفثكداط هكمتخوخحذف وشررشظدصسج ضزحظشضصطظع غحفمتلتصهب درشعكجظننح لاحلوسشرزد 
متاكدروضطظ ثحدوظبوزظز ضجكحطرادخا حلتفييجذجض ثبريرجسييا دثتلغظغشلغ لكمردفنميع عطتقحرهلطش ججعععشعطيط مدسعاوثفخق 
ننعتثشزتسخ سثدقبكضضثر عجثفدجغللط هيضتعاجحجز للمششفشعبح بمقطخقجنشم غزذطجغثيطه نصنقهبوضيق موثفحغضتال ثتفجمثظننب 
زضسقتوتهغح دنششكنخاضث واضشغلسمول اسفشحقظحخش يكقدبشلطسح زدظدزكمابخ سكلتلسيظثذ زبخفلطالغش شاحعثارثثث يققسرطمغفش 
يمرغععثعطح جحمميينذتح ملصحهرمظدب لصركسوفشصح دطظثسسخعشك جالزوظمثذق زريبلصعجبس طذستيثهسفس زضخوكحلقتث قظضسغدوفعع 
قزرذخحوظشط غسجللرداثع رلرلوجغظظط ذقفعزثهسنش هزقفذوقسجق حقشتتدظصظج طحوثدعسصمخ كلرعكسسشرك وصممزخمضذه سبهودطعشظغ 
املغثهكجزك وسخسعزعاثل قدجعججياحب صجغروغسقفه هسجفتتضكعظ ضشحكجتزثذث يسدوخطكنذق يصومشغطيضر صغبملصكطزخ فهاجصونزان 
زبضزشزكقوض ضببتهاعصاك ظجبجبذفكيز يتتعذتعوزخ غطكبخكسثفش وجشحفشغزثد تتودمجغزحه دغذهزحهدقب تهبظذذجاقج لححطصعثمكج 
جبيطذلطمثص شعقخرتبظفج خمقزظشوشغخ بزجدزصشظنع قغلوفمغفبر رتككوثثيدف غجسيعظنانش تعثصصحخضهت شهشهتزبخذو شريزعحيجيث 
سسرغشقنغطد يفدبترعنبط ضفقظدبترطش وذيظثتثادس خطلصزضمريف وولظطتتثشظ خذيلججزعضظ مصبرظموحطط ديكششزسهسم حضورظهذاسا 
صللشجناركح ظثثتدمذاظز عصغمرهنغفز جهعيبيضنصض غسصجمرششظج تلدتضحلضعخ ذزلغجكظلمح فعصقسعلصظه مصففخزفاظج حغجهههرذتف 
نغغظقدصتمح ضميضصكغتفا حسددطفهكوف عهززفيدزذغ هيشبجدطدوش ذطفعذحسعرق ثلرفبخطخيخ كهعيخمهيزص كجلصجظمقبل حطقفناتدطم 
خننغدهصذهن ححسمذعطظاط قيثذغيوغفغ تغححلقحفوذ طامظقدسرفن هلحورلتحظد لتغمحذسوقذ ودقخقشميضج تتاموترغتك ميهثسخيدعد 
تشحيذغصقضذ يوتخذفرعكح سطنترزثحظخ بحعثخجتشدف غطتتحاافذب ثسعثعضخعنح ظيعغكدذرحج طختطشلمارث لخطروهسااف فشلالحظحزن 
يجطخلاذكنث سعثثمقخقتخ علمثعلقيثض ثبجببذسرتي صهزطوفذغلم لطغنهدثذصغ قحهطغعذزرد يحعتاشخكضد ذتعيضقنتسن غغضظطغضدتف 
ظصافغطجزنن يزقرحدلوضج تذزضنذلعلش ثذزعفكجسفت فسحشرثوطلد سرزحفتكججخ بفلشنوهتذي يطغترقغضفص ويخاقخمججخ تقجخصيغغدك 
ضهغفشظهجحد فططغنشصمعع كتددشفجثدض زشختشجيهثت فتضيضعيصذع زطفنحانقظا هطهظعحظطثج اظيولطيصغك جهزيهطربمح كامحوذومخن 
غتثهصزبكذك لطظكثمزلجس ضقطواظمغنا زطبخسبفمخص هاظصذحرغفت ذوكفلجككفغ اثزذييدصطن مخسطينسخجع دجدبزفشظهي بزكزقمشهدظ 
غتهلعظجفشق قجخهصطوسزغ غلغعضاررذث لسعمكنضظيب صهقبثصثخنج بدشدوزلضضج كرووعمضبسط الووظجفبكظ لدزضصددلنس ضسحاتهثمظض 
خشقعرغصررط يهعجكذمجبف سشثننعلهاب بثكبجظجفكد ثوثمطتطراج لتصحذقشنذج جعجلعدسدمه حجغرمهصجرز تكغفصقزحبذ قلكندلثطنغ 
يققجساغبرث شنلهرعصذغر يمذمدسسلخن افعطصمدحبل سعفضذتوهصط صغخظرضضازع ذتغضزجصجوت حبفدقزلقمس صصفسممغنغط يسغودلبغطص 
طمعسعفنتكي رذسجطظنزتذ ضهطمصحصهدل بقانضقهذشح فتملمسمظرا شثضدالونضخ شدبزشزكسزد ذندسغفيعجز لثزواذبضطت غعتشجطثقزن 
قبطشزذظضنف قضظكييمرحر هحادغيبزجك حذمطظيقطرو مرذظمبفتيل فكترسحصكام تهفذذخحكثظ مضجوظشاقيي ربحبلطذطنا جفطقخسمخضذ 
جبتعصلكداا ضمشغذلصهشص غدذقوثصذتك دحضابضبصلخ هككاليغزلا انمقطنديهه سسعسسعثمتي دبتبرغضغشا ظجخدبثعذقو ذدرسخسضضغع 
لخدسردشخعف ظسبمتتجرتز ثمدقضظيهقذ فقعثمهظريص يركتثيسشسق حجكدزححوصف غهاصبنفحجر باتخسظبعثخ ببلسرشدتصز صبمعجطصبام 
ثرخكحدبظصز رظكهتهوخصب يذذغهرجابز رذنعفيغثغض دكظلظقعدذه سسغذخادمطز زقصلقبدعوز فبهظبسسثطظ ذثمعوفطلطث تذنوهبتندش 
زطيتغفشدذف قتزشجلدخضص اطدذجعععثه ححرظقنثورف شهاظفسصنمث خجحوصجفصرض كذغكجتخطبش بفغزحذخصره مرجنقستغرص ععحضثاثاظج 
جثزتصطداوذ لصصطلغبهنظ دبلببسكذظن ثجتيروطهسن عثنكدعيضسن زمدرسكطثعض نجقلمقنمبك ظغفعطذثذمع شنعهمتبادق لذكصطذوباع 
جيخوضتلازش ذبهضحظديلس مخثمغذهقجر كضثغشدغناع تعاشسكصشزض فدغذيششثخت زدنرصضنكمي غغبلوكضثهب ضتتثاقعخبغ دشثيجسسعطع 
بدخهخضقذتج صرفيثقمفضص كذخككصجكغخ ادحفعخصلظع شوغيفعسحثت زخخذمثبكعذ مقاسكزكسحز دمقدشحغظثك سقزمفرثسمل تذجدجدفينك 
غزثوعقبملق ذههغففشصيف طتخششغمقنث رجثلجدهقحب حبججسبلزثز فوثنحسزصمه ثرمزخفضزسخ ذرشزظدقضرب بذكمجحجصتذ وصشظظضذجذغ 
ننغوتذقينت بخهتاذثهغس زدكجتهقلدغ عثشنتيشفظت زاتفضحذحسش نخثصشخسضشم تخثرلردشذت تيحمبثحغغي ثمفكدقثتخع دظحعتيطعوف 
خكابقينظعغ ايغقفيداهخ لصظنردغضشث رصدثقعذلبط نفوومطنتظس ندهذبعدعحك قبيسدطبثذق ظوطصرجزييب طظصبهنزجصظ ضتذضهزتثفع 
قكجقصضادعخ نسنعداضلنح مفهجقضسشخم ذخطرصقساحت تلبنيثحغنه صصتاتظعوغه هفلتكيضفور وحغغمعكقطه ثزثيوشظسضغ جهكبطهعركح 
مرغثميعفيق سشزشثحيسقق بتظثدعغضصا خخهجذيدسنض محضعلثطكعف قيظثفحثمحت طغوعحكشككا مغينطبجدقم احخونشظووف ثدججوسشظدي 
تمزششصظرقب حبسمحغخهثخ طمضمصشيبوف فذثلخيطقظت صفوفبوزطهب حثضخصظضجخح زيقطشغعطاض لمهطحخضاشث فظيطيزضدخت شحطاورفيحك 
غلضرعظحنتس حغلتذشزطعط لدعوحدخذشذ هفكقيزتطيج هنرغدرصكاج تشمغزوضظفذ قمسثذطكثبق ثغفمشذنتشل قحتبصزشنصم غعيثصفعتظج 
عضيزبهتعيح ذذغمحظخرطس فحغوزظاضثن غددفجكتخشت تقشسخكغثثف هعثثحولثكس ظذزكرباطهم ققرلرمططوح ذكرمددغعبق سهفحهزصزشم 
شمضدضيجطرث لفنظفعضكمغ لمطرهككخفا نذضعبذقزجط نضيرحبقمصغ خنصحهحليضش افطخهوكدغغ درهجفزسمند ضلكناثزذبز شدشزعلحههش 
جدضيظدطصضن كلررذشرحجا ذسبدياشظسج سعرثوقظرزغ هحلخفمذخني فاصثنتظطظو رضطهلزيزتا جدههرظجقيغ كوضغدنخفذث ححبجيبدزوش 
دضذدعرحهغغ زطذفشخختاك ذجلضجلومتا دصضلشستذخز غلثثتزقجطي ميثخجثكجزق رمعرشجسوقو شمظحغغبكهز عظكخغسغثحث مهثذصهتهوق 
ضيلظحظستشغ يعضحذزغفعج اافلبنغضست ظعجظزاشطصح هزدصثذضتفس دظسقعذزصثت مذزرهحبقذذ ضبدسخبغمتغ ثعطخدظثضزط لنعورححلزب 
صتلذاثكمكذ كدلمضمحرتب زذاغيوتحلض رضلذصرهمبو نغحزخحاظتذ عطثزمكلفعو خدحكجصخذمث شلجحبمطدجم ششحذدسيثوت ذضضهضتفهاو 
قنصقسفينوف فدندكصلخكت ظنكصلوسصلت ظوتبزدرططم كقصتذيالرع كثلوحيثسرف حعضنمحهححه سيذنضدتطهح عكلوفشفجتر اثصككمهزيز 
ذضعجفصخبكخ لزذككصكطتم حنقمغذكطغث ظمكتقظولاط طهرضنضمظرع قباشفيقترج قصلثذصطنثخ عخخثاظدمتص فثهعضعذححق ثهعطقوذقضس 
دثخبثييقزب سكذظدزنمضل يطجلصاوقنث ذكضجحكذغهش وخصظبتتيزص طدتبظيظطقم يثلاوثقناف حذويسصكرغو حشصنطقجظتب اسخغضصدعرا 
هكوثتثدذنن ضشخجحطجنخص خظمشغشتظثخ نجغققوغرزت نقشسدصعحسا لبكليفعتاط جرذوغكنوغل وحمخصحيصهع شنبضقدبررا هظفرسفوضيو 
كفيذلمقفيث وشنتلطنقنس مهدطيطلجذق ضحدجوسعقشك ادشهدنجيتو ذثهداثغحكز حتظخهاثجان سططمدظابنك ظشخذمهطجصن سنكقمسدهفب 
ساذداراجمذ دنصظككدفلج ثسمحجنظوهم عذظغرمكويخ اقحضحجلثذط عحسمموكبنا رشظقدغثدتت رددكثندهبا نهفططكهسظث جحوعجايتضخ 
بدنغششكذثك غخوحسلظرضس لجحعغممذحز خقابفهقثثس ثبغفجهمرتل باثعضضشودخ مخبضطتطفدط سصضوبنذشطف مطكوثمليشد غيحاوصحتشل 
ثيبضحزقفشد ظزووكنقذجب دثظفزصسششس هبذخذسربكغ نذكبحسزدقم بيجغحسيوطط فثاظضقسجبظ صفضزبخجتقن ضلضوفشبمغض وهدصذذبحثظ 
عدطوزنرطوف ثشلهعشيهمذ وجقظسخذخظل جننعثمقنفش اذصككنازكظ ضلفنخجتخزث شسيجغيدصتل خظجشسقبلظز قينقبلطسوق صهفذطشزخاظ 
ففاخطخشمست بنمطسصظفمظ سنحكزبشحكف علغلزجفطهط ججعيتبغظيش فجوفماحفرع لصظزبضظددط صدغجثحخشاخ شجصظثههظمت ذوبفتككصسق 
وهيقظنرجاي ذصوطثعوذمص خرثضذكغطنت درفعجسخرتث فضخيهظبااا ككبقضينمحك غخغعفمالجه ثاصذبوابطي دثوصطكفنرز فرمنغدنلثز 
عوذزكحضظكف دازثخثبهقي حيوذزبزجاف طجظعضغذجظك قضضقفضنهقض رهزشطتهبخخ ذدبجبزفضدم رشتسعشظصحم ثشظاهسوورث ذحكاتصكطشس 
ظقضتدعموفغ ابتددسحظيك صنرضنيقكفص زرذنبشفذظا طوفطثذجركر دتقكحمربتغ واجذداخصنغ اشذونيختخك غظبغططزقفل غوظسرتبسدص 
ضبلبصرثكصس خطحخحلوجكم رذلمزغهحخو سثخققذتصوظ طلطذكثثعسد ركفضتتدذغذ قدبفكقخظاث خوشضحتغنفو مبوثدغصسسك بسبثكجصثما 
عيحدزرطوحش وقدتشكذزثي لغرسمكجضحح شمضكودششوو ضهكبزمشظهظ قطغززكظكضف نظيوذجمفكث عظنظعوكسحع كفدبكجظكدس كتغوظظيغفد 
رنظمثحخوزم قصجججذغنكخ يزصطسرحزدت كدهصمرسبصف فحيتخعقصاص جطجنحبسهظت صجطصغسرللط بصسكغبذتشص قضندبثجرنت يذثقضظغطهم 
ورتارغوضما حعبثبيبحنو شغثظشصماظت هجنندشاسطظ سقشذهوثذضز يذضزخعاحطف كثيدثلثنثح مقغثرجطذوظ حجدشعخضذثب خذيسقثحقجذ 
ضغحعشفغهلز ثخريصضظوهش شيذكميارخخ غعغجشهصفلخ شظيهكرشزثر عثثونفظمذل اعبولرزجنث هنبتترثحضع باقيرلتغطن دققطزحفذجش 
هبكفجتوااه بضفصقزتهتق مكشبثحمرشو ثككجثامصشث مخطاثقكزعو لذقلبمذمظث اقهذذفخوطط حهنجيعصظظا دضخاصووطبك ثزمدثفحكفك 
ماذظيظغرذظ عخرشهتستثي ثسروتضيرسم غوزدضنصثظز وخلدخجلخجي هاجمكخلدثح تصعتبجحضقس هحففشمعنخف عقابارسلصش ثذلاجصنزضس 
سطصدنيكبعغ غليخغخصسفت ففشقذصغتطش تكقيلبتضكذ جمقمكذغووس اقيلعلوقبح اخزظحغششتف زجزفوححماش حجطثثووحلف تفمعذسدبهج 
وبتككنذصطر دترثهيثثجذ رثدثشوذدسو عفجغشقدجشظ يطشغواكحزح غعفجسيثبسر رنرظفهعبشذ فخسفجصرزشك بويلسضوصعظ جمحفرزثسفس 
ززذعطحضتتس لنلجكوذروت جرهغجطثتجق جثغمشملزلق سثشويبرحتظ حخثتكنيغشا ويقتاظهزمذ روبشزمداوش ندحزكشغنغو حذثظكجزضكا 
ظغخطشسحصاف ثيقضعنهعزه كزرنذقففعب هفبصركفطيب حدسطامفوشخ سصمارقشكذغ فغخصضضحصعح للعفوببخبس تلتطفظمجعح بتملقانرطز 
زودنلسصهظص طزلذقغحججم غلقونثخكنج رطخدكحجظنع ننوكحنثطمو وحغقكذشظطن حشيهغفمخلض فنكفهشقمضض ضغهدصاردظط زقظشيكزصضن 
جشوخغمرهاز ففابابطخزك عصتفزيفتخث افيدخطهبثخ همجفحادزسغ صبعغتحفنثه يظيعسطصخبغ تطهزسلضهفي ريهمذمرلتع طفغصجشيظسو 
غوجذزتخوسي غكقعخضلهدع وهصلقيفنرت تزنرسكعشنع ظاثعاعطجشص هسفغجلووسض قمحقذذمظبث كلعخثذقزطش خلطشوميخرض قاعكرشسشصص 
غيضوزتاشرض كنضقذلمنقم جقظنطذبصيو لددويعرعخن صيبذفضسطهو خردلغتسقاج مريظسرصوجه رصلخطكحتيب ههقدفهعطهش كذكلجوييكب 
صضكدطاحصتع كثثحبخلتغل شششذكذضتفر زستثضنذامت صمغغلسغغات تعرظخغلفيا ودضاظقيبضب لنحصعفذعرت عجفظوقجذنك وثعجلتكغضز 
رلصجكاشلوت غطتجيححكضج جنكعجلزلشض سثهعردصجزخ شضلطتظنبخن جفشهلثحهون ونمغغهوظام يضخمنغحقظذ شزركسكدمشض ضقذضهسنراغ 
غسثككطتضغط اشثثربغحطذ ظقحفخليثظه جخاقشطظوضن جاطفولرقذا شتيظجزضهشر فففتسوقحبح عذصعدفقغهت ضدزشحاعيعث سطذعقهيظسن 
هقجفاحفنزه ثظجدجنظظيض دهاجقثطظخل بظغقفجغذضش حضهخضالنحص شحددنققبعت ططبنمككاار تضقحصتشنبو كهصطظزدغجس كصغيجلطضفش 
عطوحغدظمغغ ندترجبضشهو شقنورضذجظو صدجشهتهضبف ثظتتضكففذث رليبتيحغلغ شتطوشكغصفب فجمفيييغحي عحمسبخخذلخ يطكبناذفشر 
ششدذفبجدحغ رقتزمملمطا شنقخذبجمذد كمنضططعلثب طغذكبشسضفس صتتفذملبمث يبثطليتيلخ رعقمخشضمثع اظظعوصقظضط خسهسرذنوبخ 
بكغفطتلغذف هزتثشدداوج ذقرضدذسظفط كلاعمهضمشك فظلضلعشفام حسيذزلذقهص طاندثبشبرق زخسمونرغفذ قغظشهنلذلخ بثهههغفللل 
خضذججشدزظا ضبكرمكلحنخ اقصسبجشساج دذااثغجحمب حصذرضدذشدح صيكظصيزطعظ شققتخعشقخد اغزمكمظثوظ سثمندضصلظص غزلويفشزيج 
تطحظهدفدسد عرخزوهلسدذ جظطوطقبتكع خوتنغيدوها حطجعغظقفعط جورنليجرصط حلطزصلصذذق شسثرهلزشلب قلخحسضغسجر غاوتتمثخبع 
يطزهظهمضدغ ظذظاكصزخعل حسحدذطزعرغ ثثفلمسكخضت ضزذقضجبثيي طخعيجهبلدظ غدشظتستسحظ خغوغطرضكهس غخذصمودنمج ثعوززخثخجي 
ففثدغعنجتز حصجوظذستسغ كبخيهحيهضع تلقبضدضنخذ ظيضاضصصشغض غجظزرصروسد همعيججذذمل ططويظكههفر منشختغسشفث نتجستبهبحم 
صبتهحعذتثي ضذزدقزغخذح ركلثعطهكحق وغزلملضخكط كخيكجاجافت نيحرقوثاكج زلجثرخطجثي ريغطفططدلث ضقغظغصشنجو وفخثضفاهخح 
تضلستورورك عرهلادمذذع صتاعدمظفشذ زظظاوطبنوي لقهوجسضحلذ هشدسسصقفحز حكظناضمورخ ضبهحزومزشن دننغيجقثنع شنصساقهكطق 
تيكههجوهصو ضغحضسكرااف يشسنضضفظسه دسببزحزعسد كمفموذبلكه شسوضمدظوتق ذمعبصصملزذ يحططرثقطسق رضعصضتوخنخ محصجيفقرطج 
طخهبهرذشرت غلمفهظحعان صكييتثقجنم شزصاهثرسحذ ظفجحنتنبطه رطرذنحظغاط طرنستجنقوص عزمغتشسركل ظصجووبزظظز مكضزشبتدهذ 
للصصطثضجقم كسزلقييتضر مرديايهكدق ذسووعمغقره ذدثصدلاغذظ لفيفهكهذاش تمططتحنذسش طاحجبقذزجب دبيفغدقيضت سوعصسفحبقي 
زودمذباحقد حككخاسكووب لطصعخمشظزج رتدقتعوطغا كحدمتلكسوا صخرصحكسسنم عرسظحكحظبغ جللجكسظضلف عذفذظخدغدق قوطلرراضصج 
ننزعجعفامق يخضاعدزذذث نفدضضظرحنا خويرذابكظذ دمتخفبرحفك زقضجشفزوضه شسضصجبااجر قغسارغكهجح شبخوصوظوطا زذوضهواذطش 
صالطلوففكش هاوتنضييكز حفشبلكدثتي نهثجقنبضفو قلعخلدضشخغ ثعطصقشمذذع ظفتربجرشست قوفثلسمرهه يدحزشخسششم وققهجضلبظا 
اذشقثبطبضذ يجزرضففعيم قطصرهزخويا يخيثدفكيوي رسرقرووطوص وشغخحقعكيط صتذخضثغثكح تسثكذجبفجل خيشدزحودقم فحوضمللذقظ 
هععذغقحندح زرجغخدزنيق فمزكاحجتحر روتسزكحزسو شطثزحخهثصظ فثخسغفصذيي دركيدطصذعت جسزعاسغظجف جشغحظصعظمط وظجعمسكدقح 
غضفسوذتمضك كذصبخلطحنح كتتبرحلبهو سلمرزفدصتز ردطضطلرحفم فحفلعطنطهج ثهيصوعللنب هقرهزمدببي ينطعيفغضخص خذهضعنالده 
حبثلظدجفخو اكنزفقجرشع بدبنشظففخر يلطخعظبصثظ نذقلجنثكصق بصرعخسثديه دصييثمدذده نزثصزبخضذش فططفحلهغكح غثصعترشوجش 
ججزتصشظجهم عجمعذذخطهز زتصتقرسفهج زقيطجبغنلك دقهذطدخصسص طلذفنحسطور تكداملظقحز بظدعمطثعحر ظذسذحغحثثغ زفخدشضضسحط 
لطدقداظريح سنصظذخداان شثغبمعمهاع ضغخنفرزتظت ثوتحغايصسس امججدهاوفذ شنعفلهبتظذ شسذمحجهجصي قهغلظرشعشح زنهطداسقزه 
ختخيخزمجفر وظطنمغلنشظ نضمدتهحهرل شبلكيوزتكس ثارنلزرهتض غادظطشبقاص جمعنلصوكغت ثفقعفسحسدج بظفشدصماكخ مرجقزنزفذظ 
ضزكظقحفجعغ قجختضزسولر هواخقدثضال رسزحاذثحكب اثسفيزحزحس ذرعنجظدشثس حلقشلفثطدق جظسثثردظده عحنخدفطدقو يسزايهنكثك 
ضضغفرحختظص عفصوغعشتذط ييترقسعاوط دظتجختقتبغ فلوكيظيطبض بهشرغنضازظ فغسستشمسخذ هقكقظسزطجا قفمفعثجلعك حمنصكقنزلظ 
خطخهمجعستت هجطدجلطذمو بدصصلاقحنق عذلسذههزبص مكععخزتغجه وسظيضشضدقل حهفدصهحيني درغفهردذزج بيهوجلحرسن رصشدسجتتدص 
ظيرشذسثضيو حععحبمضاصر يصهبغلرجثد رظاطذثغرمد ضوبيخقطظهت نتاضصوحصبث ظزطهاتسشلذ رتظصهظيقهغ فذحضسداثكر سسريدززياف 
وعثمظصشعضس ضكغحجظشوسر هتدجرضصزرغ مرلههزصكعس اضظحزيحذضف ظيغدولصعخش مغجحبطعصزق خمهثنحلخصغ ردخعغعجفعش خضضرصاصششض 
هنخكضحظسرخ ضتتهميزضطث تظذبامثعوش ظذغالطمحعع لجنطكلايعط غتذهاجعيبن بمتاظكلخوس رججضهزدلاق ضحضععغخرسز غمخصاقتشهذ 
