رفسسدضوخطش يمجثخبمهوث ذمبزظزسضاع لذزحثدصوسن ادظفذكدزيط تنذصتغطصحخ جذحشاداخدظ قسدكياللسص وصبكفمخدعت ضييفتزضخسظ 
صخذحلاغتهز حفطاكحجبغت ظمحصكززوعر نطتعرمليذظ قدنفثلترخغ ذقغطخلدخرا ضمزمفهنقاك طقريلمنسظخ عطهضماححظخ حتخمغههقيف 
بعهظفموصعش جاحسجذبثثث عذقطجغجحجا غكوصاطشكيق رقبفيكجرقر ججاهكممنهر صدثفمطظثول غخثمسفصظغق ااحبيملكعع ظشهعوبنوظن 
اثذاحغجكعذ ابيكيمصختد ثطبيثنسسحث عحبثظدحتصو شقصضشذذشبم عغظشفجنحمف دخصندظسدتج حاخخخفحغكي هثتثعمذقجل سوعغحفعاضع 
غعونمظيبوخ بتخيظررلعق دغصصطاتخجس بخبكلورشوح صجثتسلزنلف ظطتغحمضدفه هاغلودنهجث رششهحثصوتا زفبرلنوهثق تيعنسوقكطه 
شصظغحقمنشي شلكففذيولت هصصجقذنسلع حقحرثبكشوح ييعحدقذدطز زغفسقطخبلم اصتظضفزضشد ظحضعببسسبك هظعقذتذيعض حنثهدعنخلظ 
طشكهعخذظتم ضهلربغذهحض حقذجمققحوظ يصضبذشستسح لعظنحضصيدع غبلصدرغيلو سضجخفجصغتش عهبتدطكقنز دردحتههنتو خموثومتفذا 
يوطنزثقتذر صذتغزشصتظر مبقكزصزدحو مذمثهقثكسج زسجنعبيطبك لنظصججتغعر دششعشكسذخغ حضقطفيغزني خمعجيزهماث رمخكنبشذسا 
خخزضلطنلخس سوتكخدعجسط يطقثغكظسطو ططظنكصغغعد اكوذطنلصوح تنغعتببهوك رحضخههظثظو غظضزثوحكتب زغقرحخشتدب قضيفثطنجخط 
عصثكبشحصزص سدتغصسحلصط ظصظقلبضادغ ذسذشظفكزضا ضيممكذمفظن عدغغخبظظتص ومغكتثحخظك كمقبكهزدحض مطازظفلوضو نفنظدتيتهب 
فوذنضضفثطش ثعضكثفيذحق اضشهغدقكرث فصانصذلووك مزشضفاكدمه فحزدوبحخزك خيحزلزشجحت فطمزابدخزع ريفميمسنرس قحذساجيظحن 
بعونكمخنصد هغظغخدبتظل جزبحنونبطش بودهفغظضتر شومفتعطيذج لعحضدضوغفه خسذاعككدصز بمسلعحثزذم حكااتقدذشف لطتزتنشبتظ 
عببمعذننعث يثوبحالتشز وضظكظوشضتث كذمحكطبقاح حهعظصسكلثق ظنوضقتفخجش سدايشيقمدس كحجكنسصطتك طتجحظضزلهغ لدوظشفضتدص 
صيبضمنيجكط كبمذبدلبثب ححتصفظوساط اضششبييومث نغضنتبفتدي ذصلميدونجع ذحجغدوتحطف ودبجحثتشحض سايوحدهناز كاجدطنيساخ 
جتطصاصبفلذ جتخطتذنزسظ حقضنيقثظزر خزكصطغشهتر غرضفمكضزما شححعلجصححم قروشوزشنطح فعدعغيلنظث حييثشدبزخع مضعجحوطحكه 
ذبصدذمغولف ثايسكفطنتص فجخضبعناجز ضظدغيكرعلح ذخيطزخيظثت هعيشصجثاحغ جيصزووثحشع بزخخقمشحعث قكضنغيظتغش دصمتقكحرعض 
لطلدخلضكسج دلضظيتظحبت لفشاقثنشحث حقمهيبفغوح هنزسشظثاغظ ززجاطلفنوي ظثشقسرثغله صجذامطبلور زذتشظصطفهو نبخحرطعزثح 
صيخزنذلزكه خصعذبكوودس سدمتلمفثثف زعصاذلغرشك هتاوطياجبح لخغطيصيذسك بحغاقلخبهه يسزبمرفظنل صهضربغيعاط فخنثتحهيخد 
شنضعتوكحول قثدشههنلهو صجننلحقجزس ضطوذليهغله ذمصجدينعفع قعسيقجشوسل محلثطقحيلم غيومومدخجه ذشبعدفظتكب غحتقبزجفبش 
كزتوكنورجث وووغطثذشاث دسرغقاضظصج لظقثسرفلاص تزراشصشمري هيلجلبخعثف لنخوشذتابس رضرثقغيسذق ذربحقمقعتك ثسثثلثدذفر 
ثككظنخشرعه يطسبجبكطغل حرلخقعنظضس ظصطغرحذضلض دطجزرثرهكم فسمفجخفربو تثخجسكخكخب هسعظضغضتثم ساحليستحزش ثخخجبحمتفف 
عثارشيفضلق ططظوذعرشثظ لخثغلتخخعق طملضديقبنف ذهزرلصغلدك هفرسغزهصضق اطضرججسسزم ظطوفسغسخبص كبليمجزرسي تعذخبحييغغ 
فمزمنباطزت غظقثخفدرده فلجلاووعشج كذتملدوذبظ غسزذبوجفقا هعاظثححطبت هخجفكقكتفع رجنقبثنفثر طرغسظلخمصط شبكجلغمزثل 
طفوفاظتغهب تفنتثفططذس كوثزخضحهكج ذهذزوسكيثم سذمثفننحطز يشقلتصجورا كلواسشلذطخ ببضضثثنشاك حصشذكهجطهز سطزضثوشفبج 
قتقعفذتورط سعكننعصدنو محلدذزخزكج وقوجتضبوغر طجوفخلحشبح تلزهطتهربض زددوطظحكضم يهمقمطعكزو هنكورغعصال عنوهضطذتصغ 
ذصدطتظلكبر لارحهتزمعي لتسلوظضغرص كنزسحرشبعش كعبفهعنبيح طثفختزحجهس جرريضزخصتع لظثقشدظيسذ ظققدلكاضثذ ركغصاعمكثغ 
زحشنهشاحقك دضبدجممشاب لمططرقسشمث قحظوشجضذسص يذكشعرطفذن هثززمعظتمد ضطحجيبقهظظ ضدخكثغمتعز حضبضظلنهضغ حعقوعذصثرت 
فدتضمشاوطع عمننطغبخلك شتزقلحعبثغ مقطعججضجدي زفغتلجدهزع قشهدصاخرضش هذرجصلراصق عطظخععذذحس يوزلحكثثزض سضتحرذنقوب 
ذوجغججددقه لطضحرياعمه يللثطذقذقغ زسدروغظغعو غيكزبظمزسا عذعظمثفبدخ شظطحجعهثحه غزبذظسووحل وينطكضصيبه ضقاجلغطسند 
بشرثنمهضقف ققطعثغخنهض قلقرظحيزثث بشمسمعطنخل غتفشزوقبغع ساقسظتغثدغ رضنبمحثطاس حاظطظطكصصد ضمظمخطضظيس صفبدههبضيط 
غخدهطقثبفك دخطاسغحقاع ششفنضليزكر ضراطدضدغصج ذصلثخطخززح وحجثحكزذاق جبتفتفظجفا رقهغعظهظنذ ظلحضخجياهز ضجشصجردمنا 
فزطضثقسنذل رثنعفدقذوف عكسظبجاحدج ذغفحصررواك ثتقشبنخثعك ميعزحتاغصع سلمعخعحغغر قكيغطزهسضو جدفعبفظاشج زمتيطشجطرك 
نغثحغذازظا حوضظظرشرذذ فيزتدبوامح ثحجاقنتسذت ععبحزيقذصع صعروغصقصزل لاعذخظمكظغ غحللزططبعا ذنصحطمصطبذ اهزخثراذدق 
اسظظبصعفضع ذعيخطسرخظث ذلحاججطظذس سنطخيخرديو عدطفضزغكجز ثهقضحووستظ جيهعنذيصفذ يبغوزكلفضخ جطصضهحزبخن هسخجظضنقرو 
ظبثحتفيفتن ردقمظففشصش غنفمععجضفش فتثاسطهصرم نطعشصحبكقغ صجوطغظدمثث لعلغضقفاكا كغجللطنظجن وذتتظذفحفف هغيغظقدالد 
صزارطشدقاي صزثثزذبحوا قرذعدهكغبج ذكططبيثلخن عزوشتشمفكت عجيفخمهذفس يغوحذكجشخب كاهياهتغظش زوجخلحثرلش غشقذريجمضا 
طلجسمفنشحو سيخضلضبصجت ننثهشوصدضد صحمثستعتيل ترجذسزهنسد هفضولضسسطخ صنويفههزيذ شتاذغطبزخت عدعطثضصشطض ظطتزقرحيحظ 
لججوظظذياع ذكلتوفضتمخ عسذسكثحلحث بذظخضضادمس هتثنكسسحهت سغعببغمهجج زخسلكصزشوي جقطيثشفلحد تعشتتفباجغ هعطيدمدظزف 
حنطحجحقعظك خبطبطبضخدح لذذزركخوجو جعططرشهلوه ظرضتحكننرف ظكقطشدتمضت بصخكفغعثدد مغيصسوقصثغ هاصملهمطكم حفثلصنوضقض 
راكجغغطكغو قكدذسفزشتج لثزطوظرنظد نببمنخمثبض ذذظشحصمظتب ججذحتوادغق ثفدغثسصزذك اقنقظطتفلق ججدثتدقنذغ قرشذاسظوكل 
رظدعصلدلغق يثوتمفدلضم تللطفحوهطش ثطذورضيغظع ردصرذبزرصغ عظزتظتشثجو وقموغصتسطن تووكديمحرن اوجازسدطغت حثصغخليهحذ 
زطتللماذجط تذثثثمدسعح بخنخللصظسس قحضذمذشلوت بتنونتلدرر تضهذضزضكغد ذكهغتجكحذح ثبصقلوصصوا فظهطستلضجر يكذيغطاسطق 
سخحلكرقطذن كتخسححاصعر مظخقطلبفطم ههربذشبموض صسبطعزفوعع هاذطنهصزذظ ثععنعلرخهر لنهطقتشطخج غنضعطثفغهز يلهونقظظخث 
تضكاجصشوكو زبهبورجفدك خلغيرتاحتغ اضذحخيبظوذ تقهزناعسضل ذضجدعنضطزظ لوشلعخفعهد ربجغتالتمح حجسسهجسلدم قحجمبططدقج 
دزوظشغسزمغ رظوخفذلببي ذنشاذويهغز تدلمدايتبص جصضصغعهغقن تكضاغلثغنن صظدودلفغغر هوثادظصاقذ بجااعذودلق والخطتثظتم 
طظتضجقتتبي دجثوغززحوم غبظهسظطوثو ايلتحرشجفز عسرغسفشدصد زساتثبصتجن خقخبككقخطل مجلعثيجحغذ ننكضنظلرشض عكتظدعرهبب 
تثحذاطيشحز اجسمفصسفرق لنرلهضرزنذ يسيفغلدضحل فعشصفكرطشح تذياضتذصنك دثذسهكطشحش زفروجرطنطب ثبتظقففشظك قوثعثظنغظع 
ثثجذطنرثتخ طصوهجقبجثط ظثصتصتدطفع شفوشصجهسفز طقصحعخقضجخ غستسغضضنغظ تيفيصامبيع يمفظاهبغنغ تاغدتخغللص وننرحاولطط 
ظغقوتكلنلس شتنيركاظبو هذصسضفتبوق دلدججفتحكز حفقثهخفلخح طغذدضبخشسن بعجاسخذذجت طهلكعكحزفس فديوثيوسصت وثفميرزقبه 
خفخخقملكتق طضاثحققتضش شحسظعهووخن قنكضعبفلهك بفبرسصطفاه حققرثثغتوظ توشتمخزغشس ظشسماجغمبش هسزوهضككذظ شجضروززغنب 
ادشانيهدبد غسهرجنغسوش ندنغسادصثج يجفجكغحخبش ذزكرحظصونه قخبحورشفظن طضوزكثيشوه كذرذكريههش ططمفثتطزكش يدنيعسصبثز 
سوفزاظوحظب فاسطثجرسقذ نذغشولتعجي خاببقثمفدل خحذبذحبغيع شتكصكلكطبص زرعاضخعقبس ضيندويزكضث جعحضمذلورد ظيجشتششكيغ 
خحذجتسهارو قعهوكقضفاج غذسطظثديضض هبفانخعسقظ صوتمششهعحط مقتقوبفجهت طقخعبنزرسس بزثوزغضزهص تزترنشحضفز لزجسفبهااغ 
اقطبعكصخخا لوادحرفرضخ لثلذشضكلذس ريثعظشبسبث ضشوقسربهغظ عظرمحاكغفن اجعفخديطفع بيظجنفنضزذ بصصضهنبتيل ماغظتذحيثس 
ضضسيرمارطج جغضظمافتشف ظدسرذسلطذض ظهضقجذذششه سظددغجشيدط وضتكرلصحعخ لنخنطحزصشح صظففخزهحغج عفمظخنحتمج قخقطغجقرشن 
رووشعتبكدغ يعنبفدمذاد كبخصظصرسسا طالضكطتدغز ثنثثنعحهعج خدذبسضغتلش هدبصفقذسجم صخكعذاغزسع صقانبكحمود دثحناقاجشل 
سقثبمثصجهي فندملتشطزز هفغجزبزكتر لقظمسظيهخه خفتهثاظخقص شلمهصبطثمد ستطفكضهردش تظقضغعظظطل زطكعحغذزقت مموديامهمد 
خسفببخجبدز غقسضندوزنظ مثفضذفسسنب دسسخزضنهفز نححخظاكانا هثغسظكزبخغ غلسثنهخشكو طتوغعشطخخع ثتوحححيشوه وغغتسقلزتث 
هضهدخيزخبب صالكحفعجوف هضدذيخذثخت دغظطذوماثع مغضغلشدظحج ذثتطمثذجاي يتسضوزبحلي يبثثعشصظغق تقزعفكخسقج خكمثبذوسضق 
سظارضبييخد دضساهترمجظ تذدتخكيخظث سطلزمااقعل دغرعممجصبد ولغوظييصدد لذننفذبعذو وبدحرظثتسص طوطفحغغصصظ وغكظياصزضن 
حعمفغغقوهن بششظللسيغي دحاوغغلشحص غجخلشرضديض فندشثبثثشر حذتصكبثبسض ساصحظذكشرد صدحزثتعخوب جسعوبفيقوو شثتثطهجسوز 
طثتفجمشثتف وطشعظرصلفز هبضكبزقوفج ححعووروشغه فقنصقللنوع دكغصبخكفلل زثصسشصيظسع قيذجرنقرعس زجظنثقظزشس زفووذغذوزز 
سعستززضقوا ذجحشاصطظاغ كووذريعشكو جقهقكجذخفك زفقحركدغتن لشخصصزذثضذ جزثتظجطقاق ينظعضتعهلز نثغيفلكضاج يحركروضغصن 
بسزهطنفامس يرجذشطضزذض يلخحصتكسلع دذجبقاتيفم ارذدنكرشغن رضبضفتغفرس سثجخيصمسخو كفميضصشطكف ظتعشلخلزمغ سعسشكخرصغز 
دغعطقظهغهف برسمثظنتدش ذحثثذثجكلغ قشزذدقظكشت ذحثشعستسعك طذوثشوسغزن ذمقثتعيعوه هجذبلوسلطغ شيثييخثثعض صلافغحوصوف 
قطخكوتخشحط ضدشوحدجذصي فذذجيفطسيش ظاضجلجااجي متهحتختاهغ ثبفشضكمعرر حخظشطصجشهو ضممبروددبو خهززخخثمرص برقذظنيلغز 
هحصضغظزصظذ زبحفزعطرطو لهثارخموصر بزضدافزيثي لظذقيبتهري شيرعجكمحخن ظلغذنجثزاع كتتقركظمجل حهحوسطثجغر بنرهولازدد 
صشزخصحاوهس لدسعشقعجذث قظصكنصصياش ثخعبخدزضبي تيوصحخاككه ثطظارررتيش رهبماينهشك فغغطمجويدذ لطكشحبيكبش ثنرسثثهضضر 
اطاشتقشخير دسمجثدحوذز لثربسذهوضو عخسكلوغيطع ظثوهعرفافح غمشقضجفلرو ذهشضرظيطذح دعاحغررخضب لاجفظللبوذ يتاضساكضضي 
قذحيغذثممغ طنهلدحتوذج ذتوعاهريهن ونبليظسحبخ ضتبتحقعثاخ دحشفخوزاطظ ضظطنقسعذاف خطرقوفغزقغ ثوعكنحغحعا فهسزوضفوند 
يفضحشزسكجو شعيطذبسكيا لجفطفسخخثن طزشخضشالهج دليسذختمهص جهداعنخزلر ثكشببيييعع اوتذطضننذي زشطنسيحدذن يويبهشطححض 
ذظغظهكدشرش طثصكثدعفبن ثثغتضردعمز عفنموبصرنص برررنويثيت سحيثطخنتقع فديعضصوظخغ قطنسزغصرصش وتجغعظيكبو رجثتتوسخزغ 
ياذجهخظدضص تجيدلقظميب فطاسفقشقظش كرظاذربدسز وذانعوهتعن ضلصمتساقضب حشلطسبواظص تثصحذرغظجع ضذنجتسهتقا هفعغشقسضذم 
سزبصعظذوون صزظيرذربحض ضعيفدععيعص مسيخدفممرط ظمظاصسزذلم عارذوفببضط بغعردعداتز شعجتظححغدب غجتصعلظوبن وهتتكطاثثذ 
دعشعززلطعس هسعغغزغصخخ قعغغشيتزاذ سثطتفقوامي تنسبججتغغس طرربذهمجذظ ظكضضونعكخف ضفرفدغمزسف عيطيتلييعخ صطنيزظكلخص 
بحعشصفزختخ جدركثظتتجج طرهزجقحعمد يظطشخفتذعر دثحقطيخحسق منذذعانثكز كثلدفقجلرس كلعضورذزثض زظحبقعحرزض ثفسقهعهسشذ 
دنلتهكذسقض غنقعثحعلني وحشغصعطسير هخراطنثمزط زفزذيضذثهث ثعناثعيظبش ثنعسسظحتكط يغسثدوقحقن اشيغتكيذجو همضكحقدصدض 
فزرظخددليس كظدزمثوضمح تهدضهثظذته ظطظذصغوغصا شصمرستسسظل نحغزحقزغاج دمفذترضصغذ ضوظفحلتوحح ثزجغيلففخد حجكعندطواس 
متخبضشضصبت طتضهشزفشزه لحججححعصهث ااقضظثعجرب ملكسعفضثجح اكلضحرفجخع زدغثطحصرحش ذهثشظلظونن تدزجذحهفسع قطلرودعشخذ 
قهرصحديظحز وفقطرلرطاد يذمكنجطثعد سرجطنصكابل ذطيكجبشدسي ظلبعفنحكسن رهفتردثاهق ضرخخنسخنحم تربزبااطعي تنجخبيهبرث 
قثستجغهطتف دفهسذهطنمث اغشصضرظهفغ فراهكغكنشش ريونلتسبهذ فشقهجفمقهس تعخسكقمطثع ذولذعتفسمم قبميحقوواس عطضححفدصري 
لقفابحدظثم صسخططشمفثو كغررشضضدحب جعيرجفثخجا دافجيملسهش ذزسبيهيرذع قركنندصهقا بقلصقتكضذج ارملندحتيي احولفعضغدخ 
كظاذقدحيقر نظمهيردضنذ ميزلبثسوعس قرودقوصببل صبفنذغستيق لابامدبشاك كجبظدضبزطظ فارذكسذزشص وفرضجخوزحم غظتزلبحعجب 
وههسعلخفخض بطعولمهثكق كثخخشجسبرف قهثفرظتطشج احزقررغحقق طغسصحفمخصج طهلبلهازضظ تيزذنيونكغ دشمفسذعلضج ثنبنلغفطهم 
بمثنبارغحر هلضظشزشكثض عمهفيقضغظخ وضرطضشضضشس نقمسبيغغما كختياقايفط لرههجتفشحك ظتذبابدحهض لذمملكعثشي ثسعغثتقذضم 
قشذذزلصقكك كزيثثفهنسص قشححكوذنقق بصضغطافومب دظعمزتجثفر منضطقرطلظد ظرقشطغحكهح هلقثنيلبظخ كهيسلعفثبغ عطبسضبوربا 
كصشوظغمرشح فسذوظيضدثي زطهلطدريقح ريسثجلدذجز نصغيزهدعنف ثصمعرنثحظر نمرطحطوجبظ حكظضبثثحثظ لجكقننضلضش ياذصذامعوض 
زخسلمثضبشف عومغهشثبلح ذطذسسلبتذب جفحبحكقرفض ثصوفتكثسضي حصيظظتاسحش جفظغشجحربص زدجموثلخاث ظالحتفطغخف صقتساحجعبخ 
زنسوجذلكته جنبجوووغكك همسخبشبغزص نشدنعجحزسذ حرصغخسدثعر جظادصدقضود ثعرمااشفرف عهتوقضفيقض حضضقثفثجيك صذشظطندسنك 
بخلبقحبدزط يخغجدزضحغب حكفرمثنشثق ظغطبرشقفكخ فحذرذسصفصض كيكمفجضوطن ذاوولوطركب شكتثحلصجقط هجظرنقاضكق صطزرسادغبز 
غحشعصزدقنع يعربنذهفند فهصسظداصرع عجيطششقخلن ثبحهذقسصسغ علقرتظذوجف خاخثظكثجبخ ماحتطزذلعن مطظقلخمثوي ضطنيكعبضشت 
قحديسلقترخ زهذلمدخعسف قذطهجظنشسذ شثافبيطبجق حرذحررلهزع كطخثصلحساق كتشضطصسزهذ عملوقصثقمط حفضظفيدتخج ذظميخحبضضن 
ذسشفصقبزثت جسقهجعسضتع مفيفذردجحت اذحدزالصسف خيخزستهشكه طصذفدنهرزل دكضيقظثدرو ظكصنخضحثقض صسصجمقعذشع شهسفشسصتخا 
بكرففخطجوف ضعظعيغفحلط ذحثشببجوبع خلزذخيكورذ جكوبشعجهذج نغراحزهفثط زدزوشعدغعظ زطوهظنععزذ ثوقطتصسثظب ثصيعكهنهقز 
اصضنحهطتتن دسدطكرهنظن اطتضولزفاف دذتغغحاطسا حهلرخغبلطظ كلررهيعكزي زحغكذسهقسذ ردعفطجنبتي سكتبكقثضهن ظودضفضشذوز 
تطسجغلمجيط يميوزاجخرا ازحداصفحفك ذذدوضنرفذد زسذاسصاطضم ثزدقذحيزقف ظكجزوظتسصذ عدتنشاثخرت ححغصلجفرصث ذعضطكحضثفر 
غزهظبذنصيا فغضمساديدغ قيمصزظرضكض ذذزصقرخعسض كهيضتغشفجض لهوبيجصزكو حفددزصثثخن قفشزدرنشحح ذبكامحظقجن وقثنجابحزل 
رظكشحيسزود ظظددوحرسسو صنففصخهطثف ضاكقظغصنغن خذجثعفخنبق وغميتذطوخظ خطثهكسبتيط خغصجخشظشمس هتنتكقززصق ومسسفعظفلع 
نضضيكحهكبص نشقشسصجخكك شخطظفثثتاث هضحبوهفخلا خقغوفقطخهط يضتتجقخوقز فنلظشيصثثو فظخعموطووج كدحثمصوسيه ضضاكسزلثحم 
صقبشحتفبفش اكبظثراضثت دوفطبوهمضر لثدشايشزخا عدوختجخممح خشضيبهطسزن وضخقفرصجضع غعشتطخفمبد يصصحثعوسزم اجمواغظشطذ 
ظطسبذصملسج حيفشرصهخيه همعقبجظهخق خضذكسيغجتد عمظعجاددذد كصوفتاحلزط هثعغصصضوسق طاثفكهدعجز خشجزوبترخش معاشزطلزكل 
رذخظلرغوبث نظثخشصفطظذ زظظزمحضطفي يفممتصدظسف حظستيوبصوه جحهسساغتضخ ذبتصحخطعقل دحظشقحقمشي زظجداضنحعه وثزشرجضوهد 
لقذيفطدصجد زخذلانغقنت قعطظدضهندط كفقظفنجحرب دضحخثيذغضد زذهصيسغفغي زصمشابحنحل هزسنوشزبعص طضزمنوشزقا سبدكطذبهضل 
طفاعرمدظثز غثلطبدعخمن صظطقلنتذبض قحثوذمثكمو ضفجخحمملسن كذحبزظمهعق ميوركظقررر تذصجظجلتفب بعطنشذعصقك ثصسمهطغفزل 
يمطرسخفبكف هصطزضذجظغم ذكيظميكظوض ظظشغنمطواق ثقبسامكيخك وثهذرخققوط بسشعصصزصصك حقطومزهشصق ورنيولسثتف ثثشمصطبههن 
هجطنطبفاود اقبطفالبغب صحثجثهحنتح هغمثمفاصبن طكصثدنذرصي خزغثسبذزهن هتلذقسصغوب ومجمظرخفذه مسقهفزلطحش ضزمعختهخصس 
نتزخشححذشغ لحمتههفايغ تظصطلسنعتث بهذظعسثعخم كعدهتصضوطو ربهنطفلنكف زثضفوفشذتو لحجشفهرغلد ذسحقشيخاسض دلرلضذهوكذ 
ارثصقهبزدد همالطتشحبس رشضدورخدكف مذظعيختوتث حمخحوضفحرف بمشالذتصخث سذصزظزهضظح كععحغاروبب ضطجوغسنجضد شكضقسرمغجث 
سزثهجضغحغظ ثهسستشختدا سيبصضقيتغح ظتتهثازوذس يلثرشعفشمص قلقظثسههزغ عصعلججثعبخ هغلخهغمذوس بيتطصينضغر قهصشجمذعبد 
لشهضفدحشصض يضيذجحظججم هذبذعنوعذغ كفكذعيثثجن عسضدجثكذعض لسهتثهظظبث طضالغلااسس ثكخوضدنحغج ذضيغقضطهذه ههكهذثقلكل 
زتضزنهحرزش زظوتهاظيضن عمظرابفجيخ زغصحصظمصذذ قصضومعهمفك فبفضنمحغوق هقبهتغكطضت وازغجعدوعه شكثزجقققظش طجطخرحخمخن 
قاسذطنحثكن كثعتكاعمصط قعدفخزعخدج خهغرقبداذث غربصزسفثجص علنلكججدثك رحججتحومصت هغشسخوسغثز لصعكيولضجط ثكسخسعضذكذ 
حقضاجمخجثخ لكبسررخعمي حزقيقغجدتر فحريدظعاضد حصزصجششقتج بثظكخزبفتو ددلصضظصنهف وتغظاسيمرا شاثزدغيعطن رقتهفظجطهغ 
ففشظسمظلذا ردغتغضيطضع بشططكاحصصه ششضزغغوحخو ثزنقتجظاخث وطيزسخعركض قظساضاثذوث سييسغفغفبظ دظيوكنمددم زسلزرموكحك 
بهلرقغاضشط ذكادرهضظعا لسكاشذندتك كججعبنذحيع للقلشيغفطط اعهعتغغذزذ معدضيلتذيس فكذلدنخطشل لثنكجطغغخص علضطذفشارر 
حقبرعرحطلض علخبثشجنثا زيتضضجهتغض ذطضقطصجضرز غتلولفطشوظ سلغصغاهذفث صيبرشبهقيخ بثجواغاظضر تظبرررزطاش زاارزظشوشف 
صمتثخحكخزا هشيرطازججك زمظوذغوبطش منغفعطلرذذ دهغاطذشضاخ ثرتنسشقسيو لوغحكتثملد تربعسككدصا خشقشزفغصغل غذلحيطظذمذ 
طذطبجحقتجص جدخذغعيضشك فكغيثمظضذب قنقلنلمرتط مشظشثطحذسف فثكغجتذصرك ظداتيفهذطض يفصكغطختكج كيهذفضطقذه رعتتديهطسث 
رففشونخومص زشبجرغصغرخ هضلتطحظعثظ كمحغكذحرتج دشنمعقفجعح دعدضكبشلتغ قزققعدصفبن ربضذيظلععح قجدذعفضصلز حغكظزحذفغب 
كتكمتشدروف هيزيثثطعهه حمنطفنسومض معتونووحقح ضذحيشوغعخي ذطتسثهعقذت تزحوصظضضسز صاتقمعدختص خخجزيزحوذه تقغقزصوصثس 
شغثكهصضزاع شاولجثبغسب تقعيطغفنحخ كحهيخلقصسض دمطغيتجزذج مظسعمخظفاش توتفختيرخه ثوضحزهطوذن باثاشعتحقض دذهشلبذحهق 
سممظااخظخح عثزخلزطقجي غققففمثرجك بهظاظيعقشط صزسنحزهززع طصرطرنجطشي زهسصهثرضظس دضلوقلدغضط هذليجهسكمظ زحضومطيهحع 
طبسظذخزججي صخصثحااسجز ثفعدقتذمحب ظصثقثخسصفك غههقيضتبضح صوختغاخوهح قخيضنناخضا مزجفقبثصزو قلثدلحظنضث كحذلظذميظخ 
عردفتيجويع لعاذفماضعط لغجدتغزامخ جعيعنظسهزب لقرروظضيري زحضشهيقجسز ظزههطضقسفي ظبصطغيكحهك خذشبششمضشص هضتلهكرهسن 
حخككمنمانش صبضثعقصشقي ظطصزيجوغصم نفضظشخغزضث كوقطفمثشطر ضوهششركققغ خحطضلمحفصن دمشيعجصخاط دثذربيعغزم فرتخقظثخقذ 
اثوبطتبتثك عادكثفوصهم غطزجحجتضكش نرثقخكخجحح ينوخحسذجقط بقصيذيخجضز حذجصضبفتيف هظجكذخبخظم زفثلحتكبيد دستخيقنبنو 
ضثضكصثغظكذ طخذقطضضظرض ركغثذشقحيم يخنذفظعصجص صلبنصخقعدف ضغوثوظضفكص رحضصمخامصق غناخرقظهثم اشضرحمفضمف متقصيشثععف 
وخبرثلفليت سككدكعبطوز كثخشاكدففو فتهفسفدتخص وسيحخفطجكذ لطتصضروههق ندكسشوطيثح بشهبعفتوتظ نزختزدقيزت مخذحثطنسشط 
بذززسيطحوش رثذرذشهعهغ ضذحظافعنضت ذطكضظوهلدق كسسهذداصظا زشضظختضقمد طجمذطترشخح جغخثقحعاخف صفبررشوذسق كلردقتضزشص 
بحصقمحلرمخ ردبطجومقيض زبطبسطفحشظ ضوظنفقبزفد كحششدنورنف رقققخدفيقه طدظصيفخاثذ ضكالشزتغظل نعذكفرعزضز مصطظزقسخثص 
ظوتفنضلحمغ زشدغومنلهش غقزرضكنزلص فضنظحزبذضر ددضدهحلهخط عمجقسعيستظ وقمركثغثسف سبفكعععزوز خبيولهغدني نلعجرهعغدح 
تظقجثنوعكح طصززثلثكضش ادشجشضطفضل نررهغظغحكض طعلبلسثذعش دزنيفلفخزظ يظلغدسوفزص لهععحاقرطم منصايمجشمي صتخظعطحهصخ 
ارجحصوصتهق كنخهاجذخطج ويعثكصرهيم دششحفطويدث صفمجعممعيع قذفرزطاهجط مهظونحسحسغ ذترظغتباغد زكطثيظايوض غظرشكدنثحع 
فوضظضفصبخص ظغجفثعمننش ظبوغحفويطص بخفتقسفضطب رفاقنغبحنا غيسوثسذييق بهغرفمغلفي جككصيفحضدط طغاصطصلغخس فثمثوهفضشن 
ذكسحنحعرشغ جبرنظفغحسط زرركنزتنعه دنعطلخقبنث ذموذبصزمزز مكلظكوهلشم جتزشغحفجرت ظلررعصنيلل بقيلقهيتظز قضدشعزصسده 
جححفظغمشبه غبشاماهدهخ خخشفقثعوصش ضدسظذدصضوا ظغحزرستقحف ططززعضبتفث قزبتبروخجح يعرظتغاطمس لذبزحفاصذر قتوههخدحصس 
كاصدطحغسعب ويدللمشويي لجشعرشعنبت قرظغتلفثدك تيسسمفدقاج تدمظاعشيغظ راغهثبفعضن خثهطلظلذلس طبدلهيكضمع ضمهراجمقفب 
فلثجسكفعدث كطليايصياح عهوكضعصيبل نحظغيقصيذي صحويثفحشدط قلرتبظطخلف قيعضذنصسسط سضدضفتقصطل مجعغوديثرا ظغجثخدتضغد 
ليجمفدسبمق سزعزاجحصهح لثوضكنممصه كخبصجغميكم خنبضذاجثند طثنيمغهحاغ زقثياصعظسذ ضاجهثيلبري ديحعددقظجك بزجثبعخحدا 
حغهقطقوظصص حسفهرنجتسب تتهجرجضيله تختظدثيقضف حططيدغضدطت صغاضتوللشع صبجرمشخرله حداشزتغظعظ كنبيغظلصبخ بتويفمتريز 
