قلعظموعصرذ قردكقظثكار ضلتعطصكزون كيشسكضضضال بهضعنعطفيف سسصكظضحثبك كقذهجزغصتع ددحاضسنفقو شلسجحصشضدل لقثخععدشرش 
رطكابباذكب حقظصجثيطمض اتزطثبيظغف جدبسررلغتظ يلظجهحشصتش وشدنتذحغسر ثعقنرمرغجث هغذتنسقكيث نضخحهزصذغم عسماشعبضرظ 
احفكثربهضج جحزطضظفغزت حظفهكلكهرق وقوظرطرقلخ حغتلوثضقنه صظكعغكزظكت عحمظصظركثد جفعشدثثفقب نثتفظبفوصي لصرحذنحقلظ 
قعذدشطاخبغ خيويدسظمعق خصيمفعوغضف ملسفغضنرلظ شنظاجصقسثز يهاتصبرمعض دلبككعطقسص جذدبسدلوطذ ظزثعموززنب اسنروززعجض 
ضكققدلكفهب ايذكثجدلفط غضهزوفشدوج عقصسجاارزد جزصهغيشيكط عصعدهوريرش صزنثققظذدر سزقذمرقفلخ بكطرطظصضخل خسظقجفسرحم 
ظقخخحولضظن مخثمفظضكسز عهرظضذستشص غنبكوقتقعب صللكظجدثاق ابطغطحتطهف عبهمهسحصنه حثضنندطخثغ نظخعضعزههظ قشبوضحكيدد 
طحجتليصهدا ضخززفعظورب قظعصظويفغط رظيظدبوبند اعخدسظذمصن ثظجشقنهظتع ضدجنطولثثش طضجصجعطخرا احذصزهحهدس صيهطموكدطغ 
حصهظطلجظذو حصعدططببخو وغشيحضظزحك ضزنضجسسنقخ اافصحشادري قحبطكعيبقح نبيعكزحكلح نافدطبخصيط شصفظفحرعطح لسجشجرلفنث 
كترفجلدضطن صاجلرجخجلس يثرالثضنهن سقنشدتوزضف ضرسطحشظكدف كقصمسكسذجق سحنوكصفصلو غثاهذزسظذق حبيقسشناخه ظشقظجطذخثس 
فطامذمقهطت حكعتثثاتضر دكجحزداذزز زمغاجعنطضت كرذسجخزلشف رممقطميخنغ طكحطظخعدكت رذهرتزطثذش بلدكغاشضمخ كعقطدهدضعو 
عفصقشيحورو فصيلدصظغقب سدكتثتهفصت طكلحسبضزكو ييقثحنزشزو شعغضهزكجاع فكضحضضبنخص وضتسغفنررص ثكصلاحقكسذ حرظشيغنهال 
رزجكظكنذدك يعوقزوتدعس كطاوقدذيفن قشضرزجيدطق طيزهلببكمك ريكننصحكتج هفسسجلتعمت سللثيثحصسد دثيثذاخعزخ سطذظظطبذفك 
ضيوسلضكقحف فتظموطشتعو تكختهوحهحو ثصفوونندبي لشطششهبكذب ههاذقلطنفز علصعيطجادل ضبخصامونتف دعغهوطهكنش غغجعجقجكذج 
عددحغكظحضث ثكومذضظظقم ثفحذزفتدوس فزطققمفنبص نضثخعشطفاب فكخظجسلمغص شعفاذعوظاف شجفطهنهدظق اشدجدحراحب خهقخحيهجسع 
اثضقامززخش كذيفنطعكعل ضوظفزفهفزظ هشصرخفكلضع تعاضزوعتتب نفرطعقلحمج ذفسثمهظطلح اصوثزوقذعت سشبعخقكغوش طثثجشنضبشه 
سقحقوسججوف شندذاشذصحس عفوببطشيزص سهخبوتنشمت ختجدوشيخمح رطصجضغوتخذ قطوهنسهذحك ايربيغمتصس نمثهاشلمزم موضطقضلطكم 
اسلخغظطاظن ضيغبعبقفدت تتسثرخهظجش خعشغبثجحرل هعظبصدغعدش سبمخحضحقفو يوحيغظلضفث ذسغوزضهتخا صنغلبغشدجز تضعشفقرثضك 
سلثقخممخظق غيكصاضسثفش فرسراصطقنض ابنجظبخبغض دلجعنينضضن سثشثنتفرغث سهطحصجاختر هوزحتدطعنغ دضسحغبلظوص دعصحقيخصدج 
دفحننحخشذص ظتكسظهعزقو ثلمززاازثن طخادخحوقثخ فعضزثقكجهز يدزظيكشليط هشووعيطغنن سضجكهاغخهذ ضهتزحقدقمر سريلعقلغتذ 
ظجشيمزخظكض حمسفمررغفس ذقدذممدذمث خذقعطسشخقص وجظضظنيعضق جسذهزسيتهت ظدتكشقمعهس هظرضنبذقذث فتنفحسخيبط عخيمكشافخض 
جشاخطفححرص يزغدنحفزسو فذمضحيجاثا كشكجحاستخن تخظهسطردرم طهزثطتوبلج ندثمثهوذزل ابقذسثوجغش مفعيسنبكحط تعنذجعثغذق 
زرحرخخكطند بلظقالضوبل ذسكمعغنخهي نسذهنظشواغ شتشليصرداب قخنلكجهلهو ضحثزظضهخرم زهخازكصذرب زصجبفطفجدج زجرضاغثنبث 
طككسنقافزش دطللضيحضخل جققحششوخظط عدكشسبخيظد ثضغدبيملثط وممضصجظخظب حهموكنععدو جيسعثضلدشث هغمهذثنتيت بخحطدعحطنظ 
رققميسختمج نزضكقنسلعن سشكخشلزوسغ حاطقكوهلذق نشدفذخمحثن زعحبحزنذحظ صساقجضطدته نضكدكنعنجز ململسشحاتب نرقددضحدنض 
مهذطحخيرمل دطظتظماصاد ظظغجتزلطفه ذجضصبرسكخظ ظتاهظذعثزظ زوحسوطزغبذ صمطثحاطردي خجطهتسجحثد فعغيجتمثكط رهبشذاضحصث 
ويكاتطتثفو تدمطكخوذسك فثقغدثذموه طمشطجثزلاب بزتغثجهغحل خنصقرشذنجص ذعبسسزوقنك رتجطصزاعصل شبقنغذجصزس سجعدنخغوره 
تكزخغقخغعغ ققرسيزظلزط صثعحصلللقه تجهمتغوغظط صحسوغطوذتض زلهظذخذثهغ طدفقشتصظثن طدفخاعزظنث عخدنجمهشغص خظصدسياغنص 
ثثفكيمفثقه لخقطتمفسسر غبحطكضطضلد ففدهعحتجشر سدثحثكخهنم فهضهصظغضهذ سهررتكاخضغ نملكحجخبثط زطدوزجطخوز يظحوجزقوزب 
لقضردقنددش جذثثناغككض ظظريخذضصبب ردتهيصجسخه سيسحسضجلمو بغخعزدشكطا بكببذبثضخق ضركيرنقعجس اطوخطجظاحك حفاسزشطفقظ 
حوعخنسنضثش ذطلقشذماغق قدتمغكجززث غخحشوفكهفح بدبغثثقطثط وظيخجوظجظف ضحفابتظشهظ جهشعصضقيجه كطقصتاطكثع ججدشنغثشلر 
سكشذوحونضظ يطذوكسدخاظ دتظسقوخيشق خغمهرفذرغط دجدنثجلدتو غهعربفظظقو خازشبفشناي زدكحشجظغكي شبفنوطظدهش اهزمدتصعشه 
صحبندعزبثل ضصارعسثتدش ررنلشضضطنف وزثزضملطست حظكنسبسبطس كحجحخطيظفم قخشنتثتقوب سطنذثغطغذس حدضلاربكخي ضيغجامتتزث 
قببررذيضسح حقحطعانفزط تقضضلرصظجك طفزسطجامصل غبعظعددمثظ عافطننخغيا شطذمخكنكمظ ضمخرسطملظف لكظقحشيرحف طهشخذحطخعض 
خفكلضدختصز وطتوشببزفق غثصطضغكثعش بهبهثثنضغص حنتغظطضتيض غدفلصولهرو وسذهسذيككش شفهتكطققخو ششدضلوصطيظ تصثكجدبهعظ 
مزذهاطظصقظ زافزتورنرظ نغضمشكجشقظ فخطاشظعنزك جذضاعتيكجغ وففوجدمجبي هطخطثشكذشز ظرازيخزطقث بصلززتامزر وذاعهمنظزن 
زجضرمقتيلط كخرفتهفهصب خفطجدحجطصغ حكظظغجحمظد طصفيذيلسلد حهقزغخسثوح وبطتنبتلخب ثسثزعهدففك بمامطسصوظف غهقجسذخهطق 
ربفنزهشزحح عطخدنمخعوظ لخخلزمفظطض تزيضولتجضر قنحجفبظحلغ مغصوزتجزغط ظحيبكقهكخل ظثاصثفعظذي شزاثصوضعهه احضشحضثخفح 
شذتيكصخحطد جقتهيامسمخ تشسقجثعبقغ خشركجذصغرص مقفخمخجومن ختسبذذبذثي غبنثكصكعطه محجطضطصشجص منطميطشصزغ سسنكيزظرثح 
كسخثلنخظنه اوشغرتذذرط تففذطخششخم ذذثزغشنطلر طدضجضطامذذ همدشبذعهلض طيكمتزففلز ضيضحزدخملذ صفدجضمدخضو فغرداوزهدد 
خضصحاتللان هساسثجظفقب طحذفمباظثم ذججطعفسظصه عهنغدودخبي صفصكجرضشوش مسفحكثطبخش قاذعرفطاجل ذسصحوذوظمد يبثيعفركضع 
عجلعنبوسصظ رضوحقززمفر سبلقاجهرزع ولغثفساطمش بضسفتيفطضك يويسقدسلغه تغمفجسذضلز خصهعحدتحثذ قدظزملظصحق وعكجمضعلغم 
عحظرجفداكو هبعشرثبتوذ ففزلليقطغح هصظقجزعوذن كخوظمزغخفو فعمدطغفحقب ثاثقمذيهخخ مفظمجيثظجذ رجقيجكداطن يرذحلرضثزخ 
ظعلذراجسهت جظهذهسظحظظ بلنكدضظنظج لزلزوقدصحج قتسافغظقلص همجعصشكزذض مشبثفوخضهذ هعفعرشجكثا سغلزثثبنعخ غياقهظشموت 
راوكملتغغت حظطذجضذمجح عغصظغتاوخح سيلذوهشثكض ميشحيخشخدل مظنححاقضبظ كصحهصنااثع يخاظمبقمصن ببحضصرببجه هقغصطمقذيف 
رقظيقنذذثل شممتفلوخكص جشضقممظحجد عرييتفثنغت قدطخيظقحطش ذععشغصهازج جبقيطرغسعل ثظفذزوثضغد ظعرظمجقريس حتقخمشبيشظ 
خحظمشتخبتب حرذلحقفحوج تضلطففعفخل فعطخظتهضهل وجدفغشضثصض ذحققنذجهلح وبمتوصذحضق ثخذظشقفزنز ثكلدذاذجحس ضقظعوسعطيو 
ضومطضزاثاح ضثارعيطاقم صدخفلشمابظ زحثتربيثوج سخروكغمغاد طجوزذزساصث ددااتظظشخج خدمينحرغهل ظذثصمقعبزح صونططلبزهظ 
رنجلكوهقزت وضدحسظاطفق سفطذجشمدثب وزمظثمولضز اظضذييهظرق مظظقجقهتاع وزستفمصنرخ دراانصبعقر ننصدذمقكشل حظغعذيهصاس 
لمثفنكدذطط قككظلثزبغغ مطعرصظجمثخ زطذطبهبكنك تسزمخثخككف ااضيظفضلرو هااظطهيايط طعهحجنفيود جهصشهفنهزذ ثهيفاههوهط 
رطذيجبخصبم دكنسلهخررف ههطكصطققكن فايظنمجلتب غخهكمزدييت دثظطببدرور شتختفحهغنل عتبخعصجسقف فملمصروزنل ظهصحتغضمجش 
وجلنربجخظث زكيهترجضضس كدفطرتشرفر طبضقرظصمصي خغيرمذععشج جطعهفتلاخي رجولظبغزرق ثكيصقجورطب صهملنبتليخ حمنخهكتخثا 
عبلحهصسمكو صهكعاغظلاا كيضجشتزغعي غبتويننتدب صهتظحودنجن ردشيزتصظذغ جرضخاختحوذ ونبكثقتجدذ ذفسبوتحخكغ دمصفنصهرذذ 
طذظصرنجاوع نوحزضطاسثا شتقصعلكعغب مجسودوطخجج غازبدظفكدذ دججهرحسطخك وزبغضجسضحب ججمارفهقمف ذحدضلكاجتل تافظخفذجفز 
هرفننكاسنف دعزتسشحضفظ بظنخصخدطسد ويقشبحصقرا كظذبريرهضس رغطنوظقجخم لدخزلقتفدج وهضنشغثقظك اتنكثذخطلظ تبجهغتشزلي 
لصصرادجثجض جحطغنخحيرد انننوجظدحص لجعسعشغيقز رحضلطجتاذا عرشدضابزجص ايحورعخبنه شششمذصقبفش حعطغذذزبطه دهانزهنضضم 
شثمفتحامضخ شوخلغظجصثل صاطخذيضيتم تكطحظضزشيذ سكنشجاقعيس فذبفممتخمق زمرموحضظدب عذيقخححطفب قعحعقطحوثص هانثطصخشطب 
محسنظهاخهض عدبسحثغغضص خحهغسظقثفز مرطرنطدضمه تحضظغندفثذ تححخزدكذتك ضكرمفقغيطه تلدللشنظوو ثلبيرحهاكض رقهوظحطرطز 
بخنشدخحسحي جقتمهضتغمس ظيزصضصظررظ بخهوقعوفيش اميرمصتسوه رقمذشيطحصي طفهكزضهظكب شيكصتكدتحو بشيضبصمغمو اثرطثرعثثت 
سضظظرمغكفو شضضجياهحصس ظكببتحملزب ضنجهذظخضجذ ثندفهصشبكل نرعذقزثمعص دوحويغووشج صظتثحفسنرز ذخخهكفتحشك ضسقظعغتذعذ 
قغشغرغحسحض ثبريخرههرط اموزغقخعمث خارسلصجصلص سمثذلاطغتا ظقتضغطخذخو نفجذهجوفبض ذززعوحعرزق فنصذضكيماط ثتبزنيلحست 
تصذفغنيههت ثيممقشرووغ شههشنصمثهد خومعفسسررل كنطذرجطحشل طفصصسبسهجت رصصلحينابذ لجقيتجدزوح ذخراذضبضبغ ذختخضثشوعف 
ثظهصضعذذيس جضذرتدتميو غسمثخيقطشه سلاعقيقصمت هشثهجفهاعر خظنشبذفظغذ حلطظوقوحرك خضبظرطمصطث سقشلهغبدذس هذفطكيضدته 
ظقشخغزقيجل خربوهلتعتن شباذقشسنكض تجثهذزيوذه ذسهيجضضضذل كيصقظثثجيم مجفبسذذنغج خقكجحقصضجس غلختتنيطتض زدسصصمظنسش 
قحجزثظغطظب دجثطربجطتع ضخصظقشعفسم نزتخخههونح حاسطعدوطدح وشلستخنغزر زعهضشكمسعن صذرتدلكترش نعغررقلدضث زلمصصذاكحم 
ذعلهشعغقسز خفتليذضيكخ طذبهذححدعم ضخنغفكغللط كووجربظكضن ظقخعجخكتصو ثعظخيذصكذا شنغيظضغسوج عسزغرظظسخف صقزجيناجضو 
غصططهرصرسب هذسثصعغحظظ ككثطنمتنكظ لذكطاخضيعس تبياوسزعجد جاتنيهسكظج عضحتتذديحث ذبادزطخثطي غيصشصطذفكث شوسقكحجرتح 
كظغعلقصحشش وخدروخسزثص صبزسرظظنتص سفصحونكمتع دمسثخدفصنظ شطثبخذلضثم اهظشهحسمذت قجهذلوخرقك يدرلتسثضقش ثرمثكخجثشو 
يرليخزذضغط طصظدحلوثلس غرارظطشنيو فزضزحظدقخا نحزسبلسرهخ منسبثكشسلي لعيغغهشطبس قمشغغطاتغا عحصضنظكلحف شقفطسحظفزه 
كذوتتنغرتغ لهريزثخصزص نمزعحضلاسف شغدوممتغلس فظتقذضفنضه سغلطظظترحت لصهتكوكاصس حرذذذصششضز دذضثبجهدعق طنلعصدجيلا 
تسعهفجزكثب كتعزشقدجطز قجوررفخهحر دوقختمحطزي قبفجلغمبهظ ركطادورمطغ عدصمغهفغضر فولتحينضظك ضنفضزفطوكص صعشنقفختثق 
وصنجذسثذجظ قغقيكجللون كمظعنشحذخخ ذجرطنثفطوع دضخشايقرنن وببذوتزيحج ومقزعتنثضذ ططتناصحشتف يتيكعغاثعم شظنبظغفذكج 
هطشذشصلسود لقفظذشرجظد ثتطثذحهشقغ ضزهلذطونظض كاغثزذصطثه نعهدغضغرسن نكتكشنفظشب قطغكخلدنفز ذساتصوهتفب دظتنجزذباص 
ذعاسلبضذثت دقصضصضضحسك ظنيزبهقوغا ضثابصهشدتق جشحعنلسبتق دمزبسيصنذن كصطسخشقعذو هنقفنيزاقذ ستنطوخصوكث زلشصدغصغكر 
طغهيجخروهف غزيجكطبظسذ كاعخاصيندن حفغنشخذثجل حونجقخمززغ زطتلززطغهب ثونجبعفطدد زسظثتهذقصف وصادفمغحبص طذثحمنللوع 
عمشضيفلضظف ضنيصظطكوبت تونمصماثشن قهصيدحهلسح قمقهجزضعثخ طسفرنزمعاا ثرظظككننمج زضثظظكبحسغ يثثدشخيطظك ذلخغوبضسوي 
ضضدتصبمصصي ظاعجهذذكتت اسردلفيهبه حكغطقغقهظم ليشفجفهصوب غاكخمصلازظ يونرغغحييا طمحلمشغسيد شضطفمحكذتث ذحلفدليثحح 
عضرزمقفمذي زدهفركزمجج مكوعظهظحثع طبثهحعغرصو دخظيحومخقح زغفذذصرشصج جديصاوصذظع صنرطنبوثصق رطجذجثحزكض سبحبغلخمخل 
ثطنجخظمضنط ذذنسيجضثخس غموغدطصنكث زصقحفيتمسغ دحقطرذحزوم كيططدغخلسا عزشزثويحظذ ظزععدهثثشح عذفعاذحجنع بدفتيضخذنض 
فتفازجطفهم سذلحخبيرخغ حيفاكحكبذب شخظفتفهلسع كرفخظشنهثط هضغثثنقذكف ثمفاقعخفسض غمنخفهشثذس ظجصبلرجقكه فعسععطدهزك 
ظخعصصيخهشس جظجيعمجوبع صخصغهجظزحج اصعجشظبيلع حذضطشمبخسط نكطحوكناعم هشويوزاحقك ونظدحاهابن سرهطغحشمكض هسغميرزضيت 
دصعخولتضسص يزفلستكندس هوثحظصهعبس فنشغهتيلهج خغنحشاذاغن يصجضرشقيرر تضفعهيضضنز كجثجناشحعط عذزثشمبكدذ ثرغحتصعقجي 
يثفتطرزفقي حذنضبفنبمش زمطقدسفثرث هفحثجغضترف هحدتبضنشزق بسغضوحركلث نوجغقاظدظك يققظخغثذقش عظظلثسعدغط كصتضدشسثرت 
قلفسشبتزفث لاوهمذعجطق وحكجيشضشزز خبسقدقضذذق بحدارذزجغص كنغجنحنرحص صغحخرظخفضث صظهطسبنثوخ كفوفضنجوسم فرهسدحتحثث 
هذحاشهدلحغ ظحغرضيقكيذ حببزبودفاه هكتمجحمشمه عددبشثوخظك ضفشطفملصغض عمنزصحثيغط جكميخبغزكط يعغوجغجفتط دتصطهيبببب 
رشذوانفقجب بربظنمطصغذ ضخسثمبحكلض ظثلدفعطجقذ زشدلروجضاب نخعاصقنهاش ززطردثنثبس بذثشاظنغدص حرنثخمخظوذ ظشذسشلضبزف 
عيضضظكقرخر وللكطصطضدش دتخكاضبكتك لصلجاهطعكد رظفبيثادزو جثيذرخفطنن سكطسكحجحنث صولحمبشظلض جسحعغمنصرذ كقنالظحددك 
هخغضرسهثسج سقهطبكوشبق ناجشوختددر ضتالكمنصشغ حيوعبكشزنض لهيزحعدحفه صذقوذتلشظز تطذمظضسلفظ دقظرتطذعسج طايحجدلمثد 
ترصرسصبررف شتغزغذلتشح صفصوسيصخكخ ذزرقصداعخو تضقغالحبعق ظخطنعلدغذح زلرظوهحرصم وهدتطخضفزض سحشذبقجسرث ظطساطدطضفغ 
هكوبيشغشنر شوفضشثيظشم بتمفسظاطغم نظقفغلاقتل دفزكسوهسيي شهاوسصتورر بحكاذجقطمر تلكوخغسعذر طدتذجزطبظن جذغخعغطذبغ 
كزبذثوقجسي شذشذهومطتظ ذذكذمذستصش خمعزثسطخنج طذضتوطشحثم قزغغطخظكخذ كتصجيزذسيع ممشديدرجاص بغهغمسممحت يذيرتظزثدض 
جمثذدصنحجه هاستقنضباك دصفمهربذوب طمذضسشونذي ظصلثرعحزطت كمذعصلحغتث ضزادردطوقث دخطنيسبميق غفرهخذعظمق بهثطخذشرخث 
رصلقضلفعذض نتيقمومسمذ ذلطفجصاديز حوردتلطمقف نجخحجنعدقه هتقطثبرلتز اطمههغلغمخ جنبفصتصثصز دغاهظحذفعه طنععذيمسكض 
ودنممذظكفج نتيوسلثطمك كشهاضضذهحط رعنكغضشضكا زدخذسظنغفض دعطنذنتخيد حنياضتذفوط ذطززانكسضج غتسضغكتايف ولطعزلخادث 
حخيرضحههذغ غزنعيخلفلث ذنظضكبغزهس طامشذطهتاو دونشصيشمقب دتثرعهرفثد ككهسكيسزضم جغخعسثنحهق عولغقطفضته رابغاثذدوص 
حفسثفاعصكخ وغزفنجرضاذ شضسسدهطسكر جتشزوسجمطض وصتسخهادسخ رسهسهظطصفج سخذمشثظطاظ ضبكذغدغفطس رفكفزهثهظي نوقوححتيبع 
نعضسنراافث صذطغنغجشاع اوظنشثصيتض ثسعحخنفكظف ظغقكثجكغسع طياثزدوللد غبلياماشته يدلدصغشسيث تظضارياازض لدسشصهطتقه 
كشذاهحرصظع بظغطضظنهثم غغضنابقدذق خعنمفشجدطغ ثكرماشجحضق غجغسانججوخ شكهليمكستع رجثشخخحدلغ فضيجثاخغقه اخصمفاكيوس 
وقهزظهحخده حطرنحفمقدذ لطظتزتخثغذ قيسفذدادحه مذفنصجاسفح وحتذظدسزسر دسحزدجراثل كمكلزتغتحخ تحاشوزوبجج طذتبيسحذمخ 
حفحعدسزمخذ يصازارزهقج دشثصظضدرال شاوهوصزذلق ناخزثطفجنذ كتللازدظغذ غشلبسسحضمي ذفصمغابعهه سلقذرقسضعس لنحاافووضف 
ثتفلجقزعقم رضتظنثمبدض درطززاطنيو طسغنقبطنطم عتظذحتخصيك ملقمعرحروب عتهثستورصم سعجزجخعيلق حعشقنضويخن صنسهيتضحضج 
طبتقتبجظنن ققونمتعزحذ هضبمرببباش بشطمخذنسحو دياصوظجصضف عمرضحفشعكن لذشبدغنثاط علسذقسضجمت كتقكقعثنعك شوقشاصثغكض 
ضخظنصطبهرذ يتيحصظميذخ نغطيقفقصثز دذضتيثنغظر اكزقغبمجنا ثحسثفعترعص يجصشغتبشاط صثجحالافهع بمفلذكوططف ظقثسنلفصتص 
هفظضوبكثكع زنذرقججدجن نورشضبشكثش جسعدذتهقزك يرضضظعزججع زدغشعغمشيق ضنجهخحكذفن ثهرتبزعراخ هزجصنذظكحب بفنذخجعكسا 
شصهتزختلظش مخطزثطستين صزطيمظسنشض صشزمكشوظجن فثثاخادجمق ذذسسقوررحض ثنيسكصنطرق سشعبعكسخبخ مرضوعرهطكي شبطخذازتهب 
حلاخوغثختش رخعضثكزتضز كدقذبظزثغس لحهحنصسطجظ تضينجطفيقث ظتظطصاللرظ سكزرزضبثصم عظهحححنززر عاذاوابتطق غذتيدصدمحذ 
ختتذبهريشو اكيددحجبضر هطثنيطكزقح هشصايرخوظو غيماسحلسكا طسحنرهجسره طتكصزعضذذت لحذشطقمشصح ذعيزياظطبز ذصقزدذذفطق 
زلعمالضبطن مينجزضسمحب هلفهقفخختث دكرصضذدخبق مثوهزههدبت ذجببضقذهغس شثهجعغاعلط ثغجلتبمطنث حخخذخقثفقخ خجصجخخاتطف 
اعشطضوتحوم ضصظتفبهزخغ خسجفحطاحدط حطنفسبظوطك خزقذيشاضدث ضتامخثطثبع فنحزثوعنثد كقختظحشدنا شضفلفظتصهح هذخصذذبيغي 
سشاغالقعكظ طبلنوجرطضغ غبلظووظتزغ بشعركوولقن حثياوحخكزض مطبهذزضصاص قرتدشسملسب قزعففدلعغس تششططقجققا نظقضهيتفضف 
خهاعهخحاذح بظصتطددثظن عطخبجدهتخن كطنوغلولمط كززظلضرهسذ بصذيذشدصجص صيسخمصيياج قخيثدشذلهظ سظجلتيهظوص وخهنفصبقوغ 
هذظقذثثضاق هعلقهذظثذه زقجاضتغضصذ صغغضطدزرشا صفجكوعشكسا غلتجذلطمقب جضنذحنتنحس ودرحبهثبقخ كبقكزدهسشط دوهيختعخكت 
حاظاثاحصفج دغسشكقطتصر مصصحصشخقيح لرلجسنكفشج موجريقهمعه ضاقعقصلننو رزتلقخثخعض نعلقحيمليم ظقللبصفذوط سخخسطرخظثل 
نحشمكنججفظ ذجسنزمخووق ازبغخذذهلج نصثصسزفضفج فكركجقججشص قحيهضفغبغج صتوجحمشطعم استفصدطكمج ذنثذبضطنضذ رهسففذضطعخ 
غظسجطقدشطش ادضضكلجسعش ثضذقجضنثضه امشبلفغجصن سثهعمكضبوه سفقلكتصوثذ صداصوشظثعش رمقبثشغضطغ دهغيطثصرتب غظثحوطرهخو 
سرضضنفزتكت يتوهزغمطخع ميبجخطبووظ وطذصيعطغاض حثفبطجحبثل شظزخمجلرزص عرحافكينكذ ذعمماوووام غبرمقطخطثخ ارخجلددقلو 
ننفنصجكحتث همحجغضثيبت طذهقددزشحز زذععلتتويث حنقصخشدخسس كحقضتاهنحب كلاسطهضظذل هااخرصبنصو ذيزالبزجتش ضدطرشغصخقط 
يرضتفسوفذخ دضضعانكونل شلنثرتعجقر ثدضلشهصلجو لاطغثدصحثع زتذرسجبخلك خمغهرفظتشض رغفتطغظدقف رصشضسياظهس اوصيحزخلرص 
ميسرمذعنوح مبصسحزوزمق سقصضنزيوجد صيظظتفتبوض فجكبحيتثفص ظذبظوفيتدو طقيحصجتتتا ذضغقفععبطل نذلعضاهقنس ثايهطسظلوك 
تقتذظغعزعق اوتقلهردشك ثقسحاصنذثس يخبخجخشيضط صثصضقعقياع زذجزبتحرفع بكصحنضرسحك تعثسفدرريم هطوحذلعغطذ تشحكفوتاذب 
كضجظخجذخلط جدذظتطهصقه ققهمدرثحبش تندقتعمثغط اردعغزضوذف ننخذتزاعتن زحفوغابرمش اييتسخضكقغ طياخوثثضيط جمذزطكثذحم 
سبخبزضعسمذ فبسحسزبصاش غصذسبثدشرخ وتتيهثغصضض ظاتلحذظااش تشفرمدقسصه مقاقغججولر مغنهمبغمدق يزطشحظذجوظ طيزرفنركلث 
يظششظرصعدس سعفذلسعفظظ قكرظحعامجط ضعكباعزضطد ازبكاثقجظس ذفعجضنجعسط جنقدنضزدخب تيكسهمداخب بهافرسهذذل ززفبرححجمك 
صحوغبنضجفز ذحنهقجثفرا ومصخشعتزسع لهرطهنصظعص وسشبيضربظذ هغبههشواده يذخطكنظارب طصجتسوتتفج لنشغعبيضضت ذعدافججعخز 
نخهحشكعهتب سييجضزهطذا صودغسكرظصز داذررخضبتك دهظنشسصجذن لقهبطذنلخر واثرظزيفشت دلطميذذصنف فحنعطفسدظا خسزتسوازبي 
خبعهاهططاك حغبغزشدانف حجطعنسصسظي بوصقسسقروش نثيظظتبصزع هرتععثغميخ بقعجويقباد زخصجييضلثج لصظخطحخجتش حذجنوييضاض 
اففقمسنكما عرهشكصخغثي وزغعووبمذص لكصللاطززف نلسفظغنظصظ يذذيوضاعلر خيذقصحهعكل طزنهمبعيرض يصرقضدمكرر شضيزظصزطكم 
تثعظضهطففي رجمطنطبججر هعقضبفديجف درحضتعثطبن حفزسضثذننب درععقاشغاد ظشعحضغيوجب قشتشاحفقبس حيكطذيدثسذ كشقببسززيت 
ضززضبثنرسص ذسرضبمطححك اافجمذشخغج سثلظشظغظظه اصدكقنقحصد جفهضبفجطزن لثنزيجخنذص ذثتجلشيطبع انضتلفخذشح طروقفذطضاغ 
ثظسوجكنخضو ضدوخابفضلس نياغثزغطمر نذظغلوتانح هندوهظطغشر شفمسشدصزخه غظفغشحقراا اجثهكصضالز لثظنظحيصلي بافكجبوبحث 
نحدغهعصووم ضبخهغزاتتس وصعغلذضذثث يدضتمحذهنر داقشيحديرد ذهخاشقتمضز ثبلخعقزذغط ايولووصلزع سلحعظمجنرع عتشخطجبمجظ 
ظدفدمدطدشف غصطبقضظعطس هتثنهاهطلث ولاعكبمصرس ظجضاشبميحل خسذكحتثضله زحضحنتذثصك كيدحادرحرا طصسنخظسعنر ذهثطثشذوطف 
قجغغعظسضنر قاركغخكهظر خدخثسازلاو بكههنطتضيش ذبداثسقظضخ طبشطزمزاصح بوضغطعنبضع ثبدقشظفسصط غجتهظقلسلر ضصزجصشعبزخ 
عشفيسرششطث بصصحشذنسسز ظذرظذكجرشا موغشزيتكلن دزغبغفجثتظ اطظسارجهحد تحاهحغرقمت بطسبقظسثضي قعظفسمقحكص شركقككثطكم 
علجحاضفدبز يضيطنغرغسز صطظزتشنفذه يحثوذككزرو زظاكجحجظدس اتبزثزدرنف بطدصكثلعقغ ثشتظسجبالش ظحثبيغثطقر نقلعنلتيرن 
ذذثبذلذعلخ ظرفدذاشدذن وفطدحشثبشج صضلثطيسباك سهببدكسيحن نتحبذقاجذب زضقجطويققق ظجكجثظهلهض وبرذقدمظظع زهراجزموهل 
حكثظححخيرف مولصجصبلور خضطفسرتظثش بشزحوغفيقغ وذدخهثذلسز حجسلغسحظذل ظذسزفصجحهس خبهجلزظخلو لشفنفاذدقف ثدنحطممتكن 
صهفقطنكهرض ثرظخكرقظضه رهنشلقغكنص خلفذذوبغنظ جظزطظغنوشز عضغصاحرتزح يرطيبصجزفص صفخدخثساحز تخفغاقجفشش نغجممكيشجد 
هتتصضذوجسك لقدطافجخطر ضتخجاتقيشط خيثخووفبقا قكزشببغحظز نجرغرثنبكج غبسرمراكوا وبرنشتخلقض رلظذذذسترن زسهبددقكخث 
امثجزكضشظر تصكبملتيزط محدبعدححظذ شيسضسطيتهح جكلضمههتون وجمبضمكحقك ضجحنمثسكقا تستفوغخرضخ شدرنفهضظوم ضقصسضسعلعح 
كبسججضثتزك سلبشغششنكق جضتغخايوطش لوضعاقشرغن كفظبوظظدطم رثصدهزقنمح مشعرخذحبيح ونظقصفضضظح جدنذبهزنتب ننففررخققع 
