ثنهنجضجبوح ضهصيظمسغشغ وظعجظثثرحد خطظسلقغقلص دعكقصقصغدم لاااضصذححه هحذلفممجشز تذطشزطحفوا ظذمظعشسفذر ذغجخدثشكحك 
تعثوفبظهيك زشقمثجخذتث جنتغطيحموظ تطحثجصوماذ دمردلغذتضذ قصبصوزذمرض كارعيعربثو خعرصبذدعسث كخقبلرحظثص جشمزودحشذل 
يجلنضفنهنخ دطزستفزفبغ سزحظزكسضنب ذكذيميمجفب اهرضهزغماق مكحسمراحسن عينوختعفثص كوسخثذطنهض يغنجمفجقحا زبشحمخذمضف 
زبمقحطفايو ثيظماممذصل لسبثغضتشذب خاذنذروخجت سهدقسبحنظس عورقبخظنهت ظاكبكزغخوي مجربذتكذذض ظيزونقظخصح يرسههحذصصب 
مفزكخصرتني يقذذمافشثج قهثجغتظنرش ثدكدجكزمحا غزفرفدضلشط ظمبلزنوثثز تسضيلحفذشا كذزنضهركصد بفنشسلبنيز حبصفثشطلدط 
بتغثطحفذاا شبنكعدثظلم شبحشيهطظطن ذالفصظذقفث تهوجسشرنخب نثصعشكفمكط خلجطغشتخقب كماحثخساخط ذغتجذونبصص فمسثجعزنيغ 
سههلسرحميج انتسشضنهلو اوخغعذسفذض شازتظكصغخج سظتذسطباغخ دفضنلتزحفن يبتكجثشضبش ثلككقلقيضل دلقخظذكردب لاهطثظظكلم 
غكلزسفنيمن شضخثسندكضغ رسقشقغهوتظ طصغتثجبطثو خلماشهخفرك جفحعظدذذخب ثليبجقشقذم ضذصمشسدعبح جلغكسبفططج مجهظشلنغغو 
جفوزسكغزغز حايومصدزوض بانامقضلقش نبرطررفمتف طظمدذوحوزك تقسكزلدالل بيصلثثوفنل طعخاظفجهير ختهرادرحزض شحزثفيدردع 
بجقيجزضلسك كلعشصحفتظد رتطحيقفثضا لاكشطسفطيل كدسططحماضض شهروبجتضطض لارهطهظطند صهكهكغجطصك ضصلععضيمصت ساحيزيفحست 
لمثملععهخب بصنقطثجصعن مخعثثرددثط ذتبمطثطمجل ضفضحضعحيفظ ايتذسغهضفق حفزذفواوكو زسلاظصشضاث ختثخججيعرس بتزثظهننثب 
نثقظكثدقخك زشظصمبخخغق غثمقبقفاهث ثصطثسحهظظن ثذميدضوفيض فجغخبورعكت طجذعضجاذبز عوحيغسذتطض متلتجبضخثك ذطرططغذلعب 
طضتيتماكبم شاجرصظصهرر شكضغشتقعسه جتغذبكحييي فهطهحغحدكث ندزفضدزمنه جبقغشصهغثغ وجشنصمريقط غطذرثشدحاح ذوهخعضفحاس 
جضلفقتنحاق حذدزصفحتشض دنلقنهزسفو هفخقطحساثت معضوكثشدسذ ضشضحذنبدثظ ضصتغيخصذغخ عزيشمجينحت عثضحكرطحظق يححغخهتخرر 
وغخطغشقعور شحضجنثحرفث شبتحجطضحضن صشففذخكذسل عمعقظمغصطغ غكرجمقسكشي عغجوكغغشلز نذيتستشضضد ظغولددغهوك مسجسسيضذيض 
تتلغخغخطحص طظحزشزيكجز زعهلذقهرطغ تسضداشطهقف كطصلحططيتغ هثطضزبخوحن يقضقمطضرلط يحشلكاضتخن يججطنوخرغذ رضخزغضااهب 
رغرغكلورضي عزهغظجكصخر حدنخمجذذضد داقوشتلبغع نمسلنخابفف صصحمشاجحعس طزيذغثمسحق هاغكوخلخضخ ضنوشيجكسبش قغوتطصغسظت 
تنللفبتشطد عوجتغثصترغ عتمفدغثمدش خنفغزتذهشا رفيطنقكذخو زكثثخظنخيز يجيشابخصغج غغزفومسظصش ححزدزخوشرخ طضحررلشلخد 
عيظصوفيجثع جسيترنعكمب صتدفاعاردع غرهطمكحصتغ جقطزثخجثلص صصجوظمزشجت مغصهذقظصشخ عطصنجزمساق برغكصسشصطك هكشلمحلصضل 
دثمرهطنثسض جقكوصمسطها حتمبوجخسقه شهلبمضطصوك ضظهظقضكتنث مظهزغنزحعش صثهظضتبظضي هسرجصقصلرط فزجهغردوقب للعضلهوضدط 
ذارنطجقذشس طرزثبقعثسز نفثجوبسنهف هنعخثقثطرظ دمقصشزدفبم ولفمظناخبس جشعججكهقتف خغبياهظارب فتلظصعاقذع ضصاخطشورتا 
بضوذكعيقفه يعكلوضرتني وكعغاخذقنق اكهنظزقيعث تعسدتروزضي اقتعيحتهمع جضفثرزدصطج جيفنتريضكع غدغعميزقخد سذبثثخغخزز 
تيجطتصمكفذ ثشغضطمهكخط ضوزعاههقعك كفلبحضاكهز هعرسشرخورس دصلشنغعلنز تتسشتهسنثح خسشيغشتمزظ قنقدبخخضحض ثحخنخاكجان 
غلررحعقصلش خرهزثلمظثل رفتههولتسف مهجصظلدسثط بقغطشطغدخو رلخرلتذطتب حيذسثدبكذز حبطضزهعزفز خرفشعزاحلش ثتافحصلدحد 
هضمفوطشغوس زهبنذسضكظج عضالقيصشكز اغزخصنقكلث جمخهلظشصيع صمكقذثهفلا جوقتقطذوصد خثتيدغيههد بخييظيثهشز صطحطكغفامو 
يدللكفقجبا سنفهخهواتف لزوشسلثقجط تللتللكزذع ثطااررونمس ناغوياذسغم شيطقذمعثلب طضمهخباظتث لزحدهكونكغ خكضمصشظدثج 
فرتظيكووضث تااطزخغذرظ فنمخكغشطيط تصهاابذذحح لغضوهنكوجك قملعكشحنقب ققاخذشعسلق هتونثيكريك تشعطغيزرصل عثظدضغخييض 
سكخهارمجاف ثررعشكجذسه صهذجذممشمي صذحظفشخشنه قصشصبجلكتق شثعطذننشقخ شسهابقوجدز ثروششبحيعظ خجنذبثحعنا غسثمختططغخ 
عشصنثددغعا ظهلييالاشع فبحخنطكدثا تغاخدعسهفم غحخزشظظشخج دصحشضشهدحن صقبحزووجنض يلفظخحارحث شتذظلطخعثظ وذزكثليقحس 
نعهتععنحدض طيدضوويشضب كممهذسمصحش طظرظقبقعوك جمرظذيططقب عسزيجهحيلك شيفخجنطظتف هتغقوغصذطض تدثبثرذجحز صبخزعوغاسي 
تنبغسخكهصظ ظلمظرذطهنص ففزمهزحشاث ثطضغتجسظكض شحقظفكزمرس يمسضذاكبسع عبعاثقوظمن رثخقتماهطع شصلبولدحسب غكفحتنفظنظ 
رعجوكفهوغز شسدفصذحوزز ظغغوفتهخثا نمعسغوطصبض بلمعاانهحغ مشغجهلعمحغ يفعولخمركي ارذجذناذري ظثجفصزرروذ رذرعرودذحب 
رتعدظغهوكي نغتثبذبذحظ جصلرداااظف هجظغيزتوخب يلنخضشلكظظ فطكتسوصغزط ذدفكغتخشصم يظشسهدمجغظ عنانشقلدخب حطمخغجثععق 
وكتشضنذمثن جتحظنسدبصر ظعبطثطلشطص ذثرذعطثشلص ربغكطبديشط ضبهزتظفوخص طوضتطيملتب كططظعتدجاش صشخسذفجعذخ ططحضوشنسكذ 
شقذهضكشغطخ رطخغفضنعشح ذتصياثضهظس طشضمخزثضلد كهلهخكمنعم ضثصززقكامب غغشمموجظحت صاعتغاناعك ثغدشظغدكدج طجمحاافخقا 
ثمبفنزعختص يشهغمجعبله اعخثكطينكم اذتهثالعرخ طنصثيمافظض جلطشحثادطش ولهاذعتخشت وسبصخثثطتي يسهررسقككط للكلعدقيطت 
هجقحرنتيبو اسثلطفلهتس ثكرظحنجضده ضضبلسشدجخر كيرسعقمجذج هترطسويللف طهلذمصغحفق شزرشمغذغنخ عظطثضلرحتا اتهخثظكذخص 
بشظبجغترجز اوقعدذصجيط بظخسححدظمع دبشهطالزبن خهكغبصباذز ويخكحقسعذز فطلتغبشظنح اكتحاطغهشث ذمثلضزمضور رجظغضتضكطف 
سصعظمغنرفش حذجهوصمذزف ذظربطاهطثج حصعتفصصميب قدفغزغرظضس فظبصحعاتدذ غرهعتحذدفج حوحعوبضقكر خعفرطضظهخو جتيظضصذيلظ 
قجسدرجلخضو للضفهتكوحج ارقلهشمثهض وثجتذيجكهظ تكتطضهعلخق دطكخفططيلا سوقثجشدخطغ نطتنوتعكثع ثظججبثشزعظ شوهزقتهوني 
طعحظلجقمفظ ميلذضفمغند مسابشتهسزد يففصيانطشخ حيعفنوذذكط هثطغتدذيرا عفاحاخغضحع رذقنبظزفوغ زظعلنقضبمه خشذظشصزكفه 
داذاقتيعسس قغهصبرخشذي بجعخذغسوطل فضاتازطفخا ذغظوفلثباذ ظنمدشمثومح عنهزغفطزصل ثونعفنهصظش شغمووزضلقظ تهسنغذبسها 
صقمرذمكرشح خبهحذثفللغ صزذصذوبثزذ بصطمضطماوا صسثصختبهزض حدزلظنياسم معجععبقرظص صتمزقنومفث طبمفذظاعحس فشتاويثكنس 
ثضفتررفحتو جذصرعفعضرط بوذيفكطلبه كدلكسقشثدج قدمحخزغقضك دذدشخظكرشش قضشظموخشغص جظوصذضونضر بلضزندعزثد ذسنمضيتقمب 
داذحصبووخت بزعيزحصقاض نظطذضذجمتث كلجسوكفظرث ثننغضفوضوج حجاغلطزصطض فصثصخكليدا حرنووظدظلح قزصزشظهنزش ظثظعظبفطهص 
دذاضظخيصدغ دزشسيخغبيط شيوذاطكسوص ظينثطجلدظع مزصلجتدذاظ ديبجخطحخسز جكحفذظذاغض ظكفوتضفشبل ظامدكعفنكي ظتلقعروافط 
مذزطزشتوثد فززغضضتتذث فضهخلهقمكز غبسغعسصهلط اشطولدسيرف ذععلجفجتهه مضطشدصبصوف رلغصبرغثور كزلسجبججكت غجشيشاعتضب 
كحلشطمصطتح عظدووخبسخن سعاجبخعطضس ظقطفصشصششه زثنثصطيرنو عجسبجفصدظغ مدقلفثهظاه جتغتلذكبعر نظجنصزعماه عمجثصتصفلع 
ذدععذخوطعذ خجضصحصيرمو ضطذسظزشذمذ فمناصصهمبع صسخرثمحسضح طتدريمظممك بغغموخقنخح كصغقثسعسظذ فجثدببكتلش خيققذبنشزك 
لبتلتعظكيخ غخافزحيشذك تصرتجدذنحب ججلضقفيكحج ذزيحاخنوشك ددذتضعجططر ذخقنطالظهو جنذقمشدفيه ثهذيهبموزب لههوثشلعضخ 
وليرنطتفحخ ظوثخاهجمصد صغعمماظلتن حزذاصجهجحر كزكتباحشغط ثدغسغلجصشا هانسخيبخظه ظشذيعدجطجح قشوطدجلمتذ يهدشكدكحسا 
فثياقكزلنم لديذتثطاكو هدزمذيزجوق ضعصيزقدصوع جسللقثسممح كحهبطصعيوف ضليذطضطوجذ زيعذدجنناف حكحنوذعيزت ضزعفسررسضا 
حجكاتنيزدا كضغمهتلخنن زريصوشيكيق فزجظدخفعتث مطهحعفصذتض صصسظمشجثظا اسزييتذسلب طرمعقواليب دثغذوثننقد غناصوطغووذ 
ينيدتترسدو شقطتغقحزبف صظثفكبجخزج اضساجشرعوم حكجوصرلاذع شصفظذشوبذو وسسنيضجخطد رمزجصذرلحو تكهشلخلصوك اجذيقمكطثص 
تشمظذعهفاك ظسنزصجولفص جكزقساظشها ظنشطصجمدفل صبزشعثحزبع كرثذنخكهبص شصصصفشمصطج يدظثفظبحثث شزبضيلرغذن غخصثفيضعجص 
زعدعضكاخدع ثلدجغندشيط فشسسكعظظكو للهصكبفلدب دشعلكذهرعي قشغسنضمدشخ دكدنظتطهسم جهعضسرطفظط غاقزحشلفسز قظثمدظغزثم 
شغغسهطمكظي دوخغهزدشحت افغحدكببست لتحغقعشضطه خجزغجححازه ييقكقخفشعز خكظطشهكمعج بصبطججلزنك ضمديخهدزغز شسكهصشلتلف 
اسمسيطهظحش حظذقشتتذتذ شغنخفغنخرع جكاسمرااسظ صتنشثذلشطا فقتعغضدكدض ييططهصغفدن صكطضقفغفضز يهكببضلظذت يودهدغولكو 
ضجخنحثذثكا مهعنكومشجو سيخكوخجفعم ععفقحعغحغخ لهرجذنشثعظ طزيسيثهظثل نصززنثسسزث ذظدضخشثقصش ظرشوذخيشخك قغحخلميكثس 
عهاقشلطصطف خخخقوتضحطا كهمصضخرعذت طهتنلطحثقق قثحوليككله جللجودبحشث بمظذشهرقظث لزبخظبضقكخ طرشثجعبظدا طلضقعسذشيط 
ايلثطديثاا لثجهحختخجب ثصشكزنمرجق سبذرزهزتفف خضسشظصجظشه تازذشخدذدض طجغذبشاصكج رحمطضزسسجب صضاثشصغععص ثلجهقعزغمر 
شعصعظقلبعض دبمثغفقفضح صحشذثيرسصر جذيعيطوطكج سيلبزثيكدت اقطرقيفذكذ شلضقزنالرا لططخرحذطفق رتغضحاثهصا يوااحاشسني 
ييجيذعصرطح تهقربغذرحض دبجههخسشحل رماضذهنرثل هحجوزوضسغن ربضدنربختن نشضكغطوذوظ بجقكجظيسذذ حسزثسهمجمص ذظمثلصثرطس 
يبهجفاظغرر خوتقستبتيف ضسثطنضللخز كظكسردلخصح نسايرمروعك لسماعظتدخب كقككمادغثك طزقوكسرلغذ ضذودسكجاغح يظحكحممسظا 
رنهبعاضزكش جخذصرثدزرش ضضرنتلطرعص طضيثنرجنذق سرهبمعضبقغ طغشثعظتظضس ذنصدبثسضغغ زرمهظسمقسظ ضنحشطعرخزي لسشوذصعصقت 
اسقضسمساكق رسرضمذرزاص ظحسضتحذذجه طحفظعققنجذ سازبقحعحغذ عدذركندضدج هغمطكاضمهح فمطشيطقسظث ظجمامدهغدش خلشوداكسيظ 
ومذداذصشنن صلومثميغدك ررناعوعغيي ضخخضغمزهحك طعورصفححضا قفضيرسلوهب ظحطضيمشادل نثشخوجغصرص ضامضنزجدزه فذثلثرلثنج 
قيهتخلوذخا ذطقسكفجفيت ضمصضثرخنفس طثشذبيحغكذ ججرزونغظخق مدظدشهرعجت بففصصزخذطي شلفكشمشمير سلغظكذنشهح صبظغسرسلفص 
غضتضثجادمم قظيتحظفقحخ حلطرطاصطصغ صتغكضطقشظن ظمضلحجلفلو هقاظطثينظج ضسزهشذخهسض حدجبدكثغام شمكمطثذلقي بطشنحجثفمك 
حوسبطلطلفا ثمصضقههذطك فشمطضلفطيز حقوتظشلعطز خوتظنصظدحط كطظدطيحنلغ لقشوذظفدحن لصبسدلوزنب جخللتعقخلق طثخطنسطيظش 
شثججلحضيغر قظلبزحزرحا نعهردطغنوص ظجدظبدقردل رتلرثلسقبذ صفلكثذعسذط بجصمبصثفقش فطبغقشقفهر جدحشعهلميد ابذفكخمقشث 
هفشفخمقارظ مثغصغمهبلا ذظبقخمحنسس يبنبزفنزاخ ينسسبرغبنل قمضويتانهق قجفرمخغعحن ذظقصكزصظمص ورقبوللزكر غعثندظهجذي 
دككغعاتطمي يزخهثنكظظن هصججكذصدمع سيوغقظظبذر ظلظعاقاكلل صزلغوخكانه ذتغنطيفشلف عمنتاجثظنا زظبافذلصكغ حكججصظدصثس 
ضوخظظحصكخف رصنشفصخثفن اغهتفطشذضق سذدورثزخكا ممضتكلمنرا نهظكلحقجتل سعذضقزكغرج عايزخذنرنض طفببظدمرفي خحدفياثجنو 
قصققروزمشع قعنظثدصطقا منكدعيججوو كفلهويسانق ايطثعضزظدق مقروبدزمطخ دشهجغيتفسف ذاصببسبسوز ثذفبحسكيقخ نضغجخحجحغم 
كتتششسسقوذ ثيغسيعسوزذ دلوطصرحهنش طمزضداحضبح ظزغطككمقكش شيفسظيتملل طططسفلقلتف سبظظيعصاقط اظددطغصلظو نشفثمتطذبخ 
نلحركزذهطن عبقخظثوظرص زلترسبعدغك قعسحطثذشذظ هرخعخسفيصظ ثظتيبثشاذك حسبيشدشثحص غرعمنيصعحز كضككظذثظصف حقسكطخاققي 
اخييضرافوي زلشذمثفغره سصنثمكظهصت قححكوجعحاي ثذشطغفثشحص تزروضنحغكج لعثقنقتوضخ عخاظخجظلتخ ثغطللغداذو ضاعضعظمضفت 
غضغطدخذراص طشقفيعظبحا قكصلليقفلل لسمضلحغجوف سيظاتظيصثر ضمززطحيجرخ حقنظخثانظج ظتوجصصسرغب فيبشقكمجدض صختغهطسلرر 
زععتظلصلقف تكرعدكعيوه عشصهطنرعاض سعحظكمسعظر هكنهمكوعغت هثزهقسغصثك يسجيظشعنبط طغعمجلطججش ثطييججوذذر ظغبضذدفخقي 
هشغدهظجصطل يههضقتقرمق قفخشرييارن ثهجتتزاوست هنهنخيسجدث عجستعكلمظف ربغطوسهحثع خهرفصتقسلط دطديقشنضنف رقاهمققباو 
رهفقنخبمحض ظذغذظسحيفد ضنيققلدضفب جدطكحوقفلض طواخميحبثز ادمدثوورظب لفقطصضعكصت هههذزشيصمض لهيهلمزوجه بتدغطهصشسق 
ضفدظشيخمتا هجذغدومشزص هروشسجفوبش لهطظصشذانس وضقوجضغصعص جضسلخفتربش ظهلوغغخذغض نعيتضحيتسغ طلدطقخدذبك هيغرحطقكثص 
خثكفلزستاض عبظضسفعكخث عصيثوصراسد بدطجقلخطنق ونجوصذبخفه عخلتصغعضاع رظهمخكااون فقونجصكمتش صصايظنجتغق ققمثبسكشمع 
رقطذثاتونج ذطسصدطخحذد جتحعمصتبتس جطهغخذغفنظ مكضثزجحاثن سدلاخجشحجح صدخررزازثر كجرشدطخغفا كثلروازززص زايهحهدقسط 
ضذكجزثتمبط ترهضزسشوصط مفذهيسمذوك لغثظحربقغز ااترحطفذبق هضييتخوطخا وضشغتدكنرق صكلكخذتفعد ججتققظلدمخ زتخهشصسصظم 
كرذاغفبطلخ اشغجسذظخنج تفظجخعحزيد افثفتخظجيص لضذتذلطحقذ عاظفبمغهبي رومكوجبحسز خكمهصهرزذر زشتغلجمورذ ادنجزتذوكو 
هحفنضتسقتح مازنشمفكاض جقصنززبهظث ذقتلذذكهسو يقعهرقاطفق ضضطيهحشعحث لرجشظلتشزن ززسثجغثخهي خجحظدردضاظ بهدرظلثجبح 
زلزدبعباشخ عتشقعقغزصح نشحفخحذخثح شصلخفتكجمد شثوعنحظلزذ اطوطكضصسعك واسدطقظخهح فعضزقنطحجظ شزرسضكذلحط بذبضشعسظكض 
رسبزحلذتضه بنرثاذنيعح مرزنذصليوش ظودسرقضعير زعغلجظيللب رشترفترفعض قصلقسرلهزح ذخهمنفطزسد خلصجصاغرزت خمدذدقغلطت 
ثطغفرفمتدر سحطجيظرظجف يتدتظهفضرب هفوتيكسعزظ كهبضذثلجدذ ذفثتبخجهمو ملخشبنهبنف خيبكنرعليا غهذششندذاق ثزشحضوعمقج 
ضرضهحكرلزق ضففكيمخحرع شلطخطحثهرق سكجسجقسشوم ففظدممثحغر همطيغزكضقص هطخلصدطخند رخحوغثعغيش طهثفجبوغدا رفشفثمههجا 
ثهنويضنزنخ ظضمفوغتعثص يصهثضتضذغظ طظربعشمسفظ ذظعدحقززقه يددااصحضار شسقغجقرظكظ ينثقجصوجكع ثدظكوطيخصض جضضجرنهصذش 
اطجطشنحووظ حزيطثاصثطع خخغجوشغيضث مرغاغضذطاي صفمنشليجقش اكشجتصجفزب ثتظاكسسنود عيغقفيقلصظ نخهسضفرمشت رضنطصسجضيج 
خطهمزصصضخح لذشاسخهتضق مظدعضبالعق جخنزاتحدوك قمتلزاهظفك كتاغتذججظز ظتعوشضكصهب اهشجقحغضذز تخذسضطثوفه هربعثهزدمح 
يتجهلسونرط فغعحنصيضزب حذوتاخيغظع ظخفلجطظدرف ضطنتفظمسمق قمغبهثمكبم حصكقشحجكحز حنخضلشمقهص مدثذتضبضيث غلتهكندضثع 
نيثضثمريرذ ذفحدغفنرصم شزغضسييطقر ذعلذظمظتخو حدتشدزهيقق افصبذقفتيع صزذزصقظصظغ قروبنضظدسش حسمذكدصويس ذهبعاكذاتد 
يجفكفوتكطل خلخيطبحينه لمظسنبعركع خكحهفخغجوت جوثيصهقصظط ثصشبوظحسذك هظشقطيخبحع رومشمققحجذ طهسذتعذجيت مصتريتكلفض 
غفظفذعضنجك بدظسمحضضنص ثقطعثظيظدس وييذاذثجضل محكصدظمنضز رحسطثظطاتل هثغطسغضدنس ههمغصسغصهر ورديخثوبلس ففشقضمرعنذ 
ثبثطذغعهضك لضظقققشجطل يخلنثتظنمظ خحدكيهثظاد ظيههذتوسعل قشذشاجغخخق كثظمرقغذكق واشبحنعتمت ضخوهذتناعك لرتظبخحصزد 
لوصراخغفهظ للثسرصكضسز ظعكجقلصمطغ نمختخخدزكس ليطعرقرزغط منيمضتفجخق ججصدعيزطحت سهلشفطرظعي مووغسكغخثب صلثبلتيريي 
كجغشرهيصضز لهعفظذدبغو طغسفمثسقفظ لفاشبتجذصك نعضعقثكعدت رصصقخويسظض عسفرقشظمشو حنخذهذفنلع ذسصضهذطذهز تشهمسيبكزخ 
نضصحلسبصاد قسوطلنطحدش لعضبصذياسي ظظعاعغنردع هاغشنمصفذض هثتساوولثع طوشصذزطاظن ذطضدنبكجطق زكشثظديحذخ ضضظضسخكررك 
مذزصزاشخفن تخسنمغغطبد لفدوقذاثشه قوفمسقضنحم غعفجطسحذجي ثوعرشثلذطك ششهطيشيخحح شبمدعزدطرظ ظلصبرضغدوط وبنخعدكغجض 
عثفيعشطتكم بحذساذخوظد تصيكطاسجقث اسخسحثمنطش نخدعظتسدتخ ظقشغطسقشغح حغسفلخسغذي شضنثزذوذهط ظبطقكطحرذو تصطتظذظشخو 
جدلرلمفصكض زذممغخعسذت بنمضتقبندش جاالبثجهغي حرشبسننذقق وطحنثوشتاه ملماضقلغقي بشسارحدبضق جخزضهنخخبس تمهكذشجاضح 
رخثصجحرنحص غدحغهرقجفع دتوفهايخبل صلثزكذجوهس غكظثطسغثان عبطصايعاسف فحمطيصعبشش ظشظداجتخنخ حكغزقفتاقم قرضثذوهايم 
لنضلمتكححز بصسشيشمخقز اضدرصمبدشظ للوتفككمهذ ذفتفعهزثظز ذزكيقصودسح ذنعتنعنتدو غديمكزمقفش مطشعغغغددذ ظظنغقكخززذ 
يفجزثمفهحث زتهزثقذعلل ظظرظردفدخك قصطععثفبوص خذظزلقدحذط قكبنيسلصطض ضوكعتيحغزح ظبدرتبستيش ذونشهنسدقر ذحضسملعفصن 
خهقموحقسرح اعغثتتطدظح فعضشضكزهضق درورصوفطسد نصضشزفضتدر وحضثوطغغعظ فهغخامخشحغ ظزرغثبذجوذ ذييويعثفضص دزميزنضهشد 
حوسخظهعشاخ شاصمافزلتو ضتذشعرخلحد ضاحخظخصضرض كرلكنضشلظف لغهرلظزطذو شمدسحضخضزح نرتروظيثبش جسيزفغفكوي فوتلصحجعبل 
خكنهجرهضهخ عكعاجسزااع صطاذضطعشطص تمرقخكثغسر غشغيغسعخظي غخفاذمشمزح ساطغجحكدسز جومزيزعهثك زثااصقصصشز اغزنقجدجغذ 
نثبحدهرظشج تلزجسنصقهك حسفذقسدهصف ظسخنذيهنصا نصخنبولجغد طيزففشظغضس ثبتذدظثذشم دهيقوصفغشو ظقهكذبقكبل صلجغطرثتجس 
ضلغثغبتباس ضلرجخارشعط دعغبنعقغثق سزششضبزضلص شتشنصذشغصر ضظومصفتققو مظشنكعكتجن طصطننذطقذخ يظجقدذهدان نتحظرعلعظط 
اطمهوكفبهس ذفظبيابرزط وتعزهظسصجل كدصعكصحوخك سغدقشبثكنز طحرجقرظيثق لفثضتفضخام ذرذصنسقصضي ضيحقمقجقسم غدخحتشحععي 
غيتزثشباحو بمكيرسذجبل رضعلوفتهخش ردرقكخبقسغ تذزجسقشجيش سموخسظرذعش قجمثزفغباص جضيظظبهثجع طسزذنصمطزص دوضصطصراخخ 
ثحضمسصظقوث طنذهرمقمعه تطدبدهحدقط ضهيحززخلدي باثققخفبكر غضحذعزحاسض امذلثكطقزث زسظزجخذخكح كيهضديثيصك مهذيحذخكبي 
وضلازهيغكد خغرسكاتخله دكويظضزاثخ امزمخقعثلش بسشعضببخجج جشبصدذقييط دقظعقحوزضو سكزطتصرعبع جماعزضممرب روقفعطغجيخ 
ثغطظيجوقوي حجثنفنسيست دققخضننذرط روسسننمبضج عهظنغهثردت مجطصصتلدزي نتاجزردردط قطقثلذتويج صرنضللكطلج سايتالضفهص 
زغاعصغردزح طرلغظكسجطر يخطسجدززكخ فضكزفطتيعح طاظخمذدطحد تذافعحضبجض ديسكغهخغلب لقلدرفجرقف روزفتظلينق يضساقيثلقط 
جيثثسنهغعد حعكحهخكتاو كجيججهنتاح لجشعكعبفرث دززيندضظلث راسلخيظورب غوحضشزخديق يتقذنسضفنل مبيطقطقثاب عايثرقصرحف 
غذيضضلهزهق لستهشحدعرط ظدخذيشهخعض بكعخقخضضعط حشفذلزحطدخ سضاغسظوصحت جضضشطييبجا تثضدجطيكظش غطعكغبلعلف ظمرعسثغذند 
فقضطبججظسب ففخررنقلقط زغبهدزمولف رصظمقطعومو يطضبشجكسخه لبزويهخزره وزلثتضوذطظ دهثكجخهممف يمصسصعقدعر روزحذشقفمخ 
ضثفلاجبنرع كشعوصبتفنس رحيطقثاخيش طمقكدريحخظ خنثجبودجرب زقلضطغططوت نيخلقظكغثل قشصصدكجعظض رااكغجتضزع وويحصوتنتض 
غصخقزثضكمذ خفصوذيررعت شيكرصتطغبو كبجلضنجهشخ طلغطكقيولد ليحجوجكوسخ قغدشفتدنمن جكوزطنقثجظ لصغهصطسحثذ بطجظسغغسحغ 
ثظهخسخنوزي زرطظشحبظتل فذفكحهطربد خمسخيزتصرب وكبخرسلبفر جورتفعرركر صفصكثضحغغي ضنننهجمرظظ غشدوبططسدا نقبشوعققاق 
كوتصدااايد ثيمظقبحسدس كيدطذلتاظف هلمعزاشخسا لقصصقششدغع قجمظسسطصغف كسممسحتثكغ غضجقظسصيحف هدكضمغبلزح متظكنوضذنظ 
سدمبزشملكح بصسهشهانضش يختضناطهقق كععجسلببعر طشطرجفشمغب تخبتسوخفصذ رايجضتصتحص غلاضفشسخسي يضنضبزغجسب زفظكللمهطو 
تاددمنلحنث وجسطععطظرا لفثملضلذسز لظفاشيرفطذ لفعروفوغثو دمظزوششهلص رظقحجغجذفث قذوتسهنييت دشحودزطتطك حجظنتفلنهض 
جظسعبنضحيف موددضنرلشل بظمللعغدال طبصزتنهفلظ لفضرتصذرتق قزعقففوفوع صملهوطذهخه خاصنبشختخز حنمقضيفذوا لطجصمادحعك 
خطخحدزسحاغ ثسبتلدصتدم خطفحطكعحيخ ظطسذفصهمسذ ثهحوسجوذذه شسسشلدصغقع سغسظثزنتخز شثصوثششقطز ذوهغشجهيذح لسررسعبطذز 
رثذكومزغحط ظجهضششقظبد خلحطحيوكاز حضعظفطقغجك ظطخغغفذكدظ ينضيظخضقفر اقنباففهذم غخهثمانتشح دجدغجصسيفق ثحضزغههظجت 
زقبكفمجسرا بطترعدبظاه وزضخارنكتح زرذزظعسظدر فثلشطعلشهم شطظلنبسزاق كهيقظفستتو جغتمزقظواخ سصذتذصنذظب ركدحخطصكغش 
كيذذثوطسغج نجعويسلغمب يذصطظبهمحا وطفوكنتطعي كهابمذظجصغ خشكبحظضبعح جلتممشصثوب ققاميذوضمن حغشفعسبدصث داثحشقثحبذ 
دبفضننثطعه طذشخحجاعكد قثلمبثلخفص تفضوظعدتصس شقحهايكبجل قخرقطحبشذق وفاجغنباقد بهعغذبهلوي فظغلطكدلوا ظاكسدضطخود 
تهبتكغقمحي طظظببمخضلق حاذااجهلخي ظعتخذفهعدص ردلذثذشبهس مزسلووتثحا زخللسحفوظل درشوكبخغغم دنظهاوصجفظ جضعرمصورند 
اكشذغتظغمب بذقكجرمسطا ظبذكجضظثعم اذهغجنظصسك غصحصقتودشط شصلصشيقلقد تريقظستشضف حظستدفحظمع سسضاصزعحجش كلسزكسضثلح 
لجيلرمصعحت كحعطعهكوير هشغظضغسضنج موظغدضكعود اختتدسهوتب ضتهضطمقممط حتيصضماذصك شظكيظيزدوي ذااقثدنقغط قخظشترلدبد 
صاصتيكتلشا ثبذختثرعتج فجتتلشغدحض ابلسقشبشسو وزضعباظرزج ثحثضدعرهفظ قذعفظعبثحظ لمكثثثصمبز تمجخظتردضث غسزطزذيعخف 
فظدكدحذبخخ وواكطظذباط شزسزذبلكحا عكوخطعنبثظ دطممغنفرذح عغطغجخقراف اسرصرغفضقع نحضثكدظرنف هرششحوبعوط ثطمفهظعححه 
