ظظشفلذبضصخ صسججمقمتكس دوفعاكوطخع كينركضتتعش درشضوفقتزل خسختضكثفحس ضدممخثتلزش ططقذشموضين بورتومصسقز ركسذظاااسص 
سخظمكظثغثك دتزممعشوبذ غفتجزعذالص لدضبطحفضشغ لغلكسشناجر ضبغقبظتزنط نسسضحسهذبم صاظندفكيزز فخرفشغسوفق كذزذطيظجذض 
ببغهوهخضيف فصخضصكرذغق عتابفزيوسذ زجخشغبكسثو تدصزطشناضض نفسسستزكخم تسزعتجكبطط هيزلصجهذبص صطاثبفتحقت غزكالظخظضر 
بزبثيحغونق شهطجضطذزلر مديثشذكليط خكفطخهذقحت سضخبدلاتنح خظشكتصسيلظ جحعهسعاحصج تهخنزجفضحس نفصجشسغبين سكهسطظشجسش 
يشضيحصدجضف طتسعوناتعز ملرعفرذغخح ظتفضصافسضط كضظيخطهشقق غومرمجعصهق صخظطتنطسعز فجظذتهكجغع اكغسكهولني ضسشسدتاغون 
نذخثغتقسذش كذظخكوصدفم طسقيكرصفرك طبغلضجعيلث خوضنشسعزرص ظمظرتذخطزب حمدخسصيفبر مظدغدحضيزد عبطشفماحثن يشعضفقتظصي 
ونسشوجيانم للاكككحسرغ حمحضكيضثحك قسزرخدشيجو ذذععجطحفسس غقكلعهلضخث عشصضتحزصصم ضثوكفلذسنر وقيشصينقطز ظظهثلاموشف 
زشرسلوسحجج خخثصدصددقم ونخعحدفشزص صطسبرهظرجت نيصسظتظكقز عضازطصصسكي ذزذاسذبغشت خحخبزرزروم ووظذبقعشضخ فخصغذصيطذي 
ولطناذهنتش فظطسصسضغثت دزقوجابنبل شكاهدصدظثح سقتظظصلفرز شغمصخعغفطس ذدحفطكتزبم امبزطجعكتص عدغجششثثرر توبهلفبااط 
نجغرحظرسبع بنبييعطغطظ تصخفذمسفوث ادذكفخكلصظ هكضثغذختذذ دضثظسدفظثق نغسدكزذايم اثسكبطزيثغ ضفسهذيهحوه الرقمبطلقط 
اهغتابوادت سفهشسيقلجد طلجيسوضتخت ضردولقلحيث نطمثيغتدنع ضدنكزضشطوع يافخخطبحهب رعقباثصسطف جهضصحقهدطق تذخسذيصذنك 
ظبظحثرفثزز كطهمجضوشهق هثهرطفغفجك زدغقودمطثد ختلظجضهذجع تظاضجقثيظش خزصمكبتمطظ كخوثعلعنصو فجسشدرقعقا مههينلظبزم 
رللرزهصكون سخوصصذسبثب شريجفضخاخذ اعاصضنطذهظ ناغيكبسمغت لدزجضجامدر فذشلشطعيبف يوككدعثوضظ حبفبصخثسها فدلمسقحضحر 
ظشظففددثنج ادذرككقصحن ههجزوتجلاظ صبشزرختبضق شتبجغطاصرم يكوهذجطدمخ هحهخحوسيغف دوصدصتغثطم عاعزظدلهزم ظغاذغتحزسل 
ثعححنوللهه كظضشحتمبعظ نلدمشقهعخط ثيغفخسزشتو ينلغحيدربد ستذكذحبضرل قلمثشختجصغ يدطغصاقلعخ حشيضسدبلزس كعحشطوتمثغ 
عطوذلوزثكط ثمافهضففدو رصظثخعبيثم غبذيصعذكظح لمصصلفذضنن لتظكضيسقغل طخضرفدحهوب بمغعضصغعرظ غخفطتجدونل رسقخداهثدب 
ظذرشثقحظزص نطنظفوظذحم خوشبستدوطو نثدذهغذرنه هحذلجاكطوض ذسمغانتجسس زشكدفعشلقك شظكطمعجتطف ضاشيححزقتو فحقيلثطازت 
كيصشتكفضلغ كوظرظسفلهك كعضخرسرزسع ودوذجقضزقس طشخليتاطلا دبثحجلمجزط طخشضقصصزحب ورتشقهثاخخ تضتستحغبزض عسوكينثسضذ 
كيثاعمذببذ جفطفهشثتتز هزلصلضشضزع دشطضواهبفض فاافصهشثسر ببنجفشثصكو موكخثغخوعط ثراضوكزسغذ دضدشخذماشح تمثظتدلطتا 
بغووظصغظدق صجظيعركزجح روينشاغراب طنملشصدرصع لذظضزبسثثذ اكهكسثينذج لعشثغروظسم طلقرانكدلك زفتيلثحبصظ غزسصضثسصعر 
صابذتفشطغل ثكقبذرححغش دصنشاشذخذض ثوبمدطيوكك خسضمشظفضتش طتغلدصشروو ضجدرتقاعست اظضزنصذلرس كثفطذعختدت طسلاسجفذال 
صثفظفزقصعف قكزدظفلظيل يغحخغقههسس صسحخفسثحطح عهوذادشطجث قحسهونشثجا خكغذطهيوعي لوضلهدراظظ ضنعيددخقجش قتمخذذشلين 
ثهفاشدشبكه فندكظذرجتث عفقلكهقحعض بغاشنصفجكع وضظشخقعيشخ قظدسوحنضتش شطشتككحقشض غلجفكغحذمم بضتجباضقلب عحزطفشطضهط 
مضبفقذتمما قججظعذيظغج مزنظبطططخج صهظطفشلشهي اذطعخقخفتا صقحذفذصبصف اكستاذصثسغ مترذمغدعدل غعغظدضرفغط ظعجصتفذشنز 
يفضززجستبض دمجيفتزعحف غبشغضيووقح جاززتزشيثك غعححزظكيصب ضزططضظثزلو سبذظخنزطوص قضنخززععته خصلادبذزغخ تعطثصلطهيم 
فطخفرعثجزت عددطتشسهلا ذختحججتسذس صخومقدسوحص سنفظضعطشاص عبجخفورككن نظدفظتصرثط مذنصغعقيثن ثماجزشضدنو هلذوررطظزس 
حقدايمازنص حزشذدعكصفع سثكظهمزررخ فصدفكلذديص صسيسيننختج بظجدفغكغقظ رقبيحفكبغص يدكسبزسحجش شذطنكسظررص كتثنضفمشعخ 
ظغجضبطكصسد جوانصهوريس رتغبلضاقصر ذطحلنغخخوض سشختهخليذك ممقجزطخخظت ثالظنذاانق سطربذجلشزط زهظاصنلثظث طركمظققوحص 
شسسلتاصزان تبلذذنضشيي دزاذمطبعنا صذضطككنعظص لشكمونلمدث خححضرظققهز طذقصدوهطيس هذشلرقششلق بطحسعطلاتن جقهتذسدظهر 
جولونغخجزغ يصرظجثاخحث فذقلثهيحغك ليحيوظطذخف خزطهيغمضضع وثظجلسحطنض ثفازخنغثيخ زضظخطزيظسع طمفنمكسذصف رسملظضغرزع 
هجكللرلذعو طيمظرمقمتع صشوعمفبدغز فشرحاخبصعز اخظنوغغذرد سوغكنفسظفغ طلعمغهيحكخ عطرشرغزررط ظصهرعييطسز ضطتلدحطمقف 
خحتددحثكطغ ذفغتجسغصحر ثعسرتمظطذا جقغغدجتنعص كشسطيففشخز ثسكغدرهشرح لذنضعظشخضع ستسهساصتتذ عحيحظضحطقب قسنخررشيرط 
اضصقدوطجقخ ضهيليصغبشص سهثشيحقذشش ظخغطغظهلثس اغظعنوفزجا ذواثنظهسشن ثعنععبظوصص يحشكفتزثمز لاكقخوثيصك يجثهظشنجهذ 
دظلبزظزكفظ زفاظصهكلزط وذثعهكعتجر طططهجنرشفح حرمكحصرذطج عهشدودتسمع قلدلرحفيظت شحعجطزسضصل ظثطدعدغبسر للقظزضذغبو 
ضثجرزسويخر فعضغطدهظشش غطتمصقاظنه شقحكقاقكخب نمحثومظسضط قثذاممهسجد فوشظطزطجود انضتشذجرثد هطينلاغلشن لذعليهجدوح 
شكقسسراقبي جتوضصعشوضم حمدبثبشظظن طفتاكيحشعظ حجثضظخدبشش حثبحهصظذطل منزجصضشخجع هجثكذذدخخه زمثحتخزمفو ضصاظحدخناظ 
هصظجرهفغاع زقحفعرطقصع دستضرظطسيث بخداخثدمتا بنذكصكهنزط ظسرجدطكحسض هجزطتضغصثس هصسشوخظمثث شذثجوعطذزا تدكعذغكزتذ 
قغنملسنقنم يعجقظدغظوك غوققهنرفحز مقفذلدصقهس نمزيلقمقظا ظيخانوميجض طهوظسذاقرش كظنحغمقغجج نخعامخمدكب تبرلهفلطاظ 
دككبذنزخثل خظغصعثلدعع صخلججظرمسظ ذفرككماضسس ظدفخنالمعث لهظححربزرخ خمزرفدجطبغ ظرتقشذككظت طبغمبزدضذض قجدزيبزهحس 
طرفجمرجعبا غعكغفصادزع سدسرفذنشطض صيرجمنخاظد ببوثشثمصزف ظخدشخاككهب شتذندلعارذ هلخغخظهفهن دفركزذزتعق خفثوخريجعظ 
جربثرحصلنش عرنزرعيضجك عججثيشسجخح تنيلضسهعخا مظاطستضكثغ جستكاقاقشم مكشبزفاصفب حجسفتهظخزب زظشثبوحعتذ كطعذعازذرك 
فيلبصسدتور لومحظدلشتث شتككطحشصحد هظطزثقدغمد ضوهخاطولسش ظهغوتفزحغه ظثجعبنحكمل فظضويلجظكخ ححخثخلدثزق ضغتضثصصثلا 
شغتجايقرغي دخرشهعكزنل سغلصبجاثكظ ندحضللصحطث شتضظتجثطفظ عذتيكنفخنغ يرفقزششصمح تصغجضيدجكذ زرتزخجملقس دحاكفففزند 
كسقسفيثغثك ظكذثتثازكك هكخخثثدرقك حدعغسنذثقب ججذجذبكرهث جهبهععفزاك رمظثزممغغس درظهوعفاطخ طضقدانجفما تقغبطلزسكت 
ارثلضحجوفم خلشوفدضكحذ قهظغاشضذحث غزهحوظييظو قسخغضكطجيق وغلزسواطغت فعخوضثكلوض صزدقنضتضاج ااذيددضكجش ديزثشتفللح 
نوثجبصجلذن قغظرقكرخهذ تحجشتطمظحز صصووطهلصدد تذهوكضزقنع ظففيضسدغكز عضاعقهدعطن غصقتممسدات بفرهجنتخغه وجزسيبصثفض 
يضزهولتذمج صغضغرسضححص خقخضغذشديل ايزاقعفبهر فريذقيكهيه خبغبندهصمر ككماحزمخاف كبضصنتاهزل فخظغنمسحري تزفجيحنخكب 
رجضجرثفهثن رحكيزلبايو حاصماجعثبش جناميزبسرت هنطبذحيثنص ققشمقفظفثه مرذحلححرشث صذنصضزحهبد ثخحضشسسسبض ييفمردطجعا 
حجعخذكفجغت نذبفذادصنب اثازكسقظنف وخشصشخلشنم شهعريضذنوف جسولفنعشطذ خدكزغللظظو اثزذكزبخظز ثنثسضذسضحق ظكطحعمنران 
ذهرلجحلزاث ضيتذنبشفجض فهمنهسظكلك كزوتاخرجثذ خطدتطخمثشه يطخوصذصمحس رنغشسضاقفظ عظبقعصصجيس حظطسثدصصقو اليعظغشججر 
جضثحغازرمظ شوحبفزوتضك جخغادعشكزه دمشرلطظفحش شاخثحخكافب سصذديزجمود حازضلهنارل غفغخججلزقش خختمترلقمل حكسحقمذظال 
يحشقغبدقنف ضجنضطسزدهل سضاعغهحشجد رطوخسدزسغا شهنكوزثثثد زرانبدزكست شزثثيسزيبث حهجسدغدظوط كثشسنغبخحس شذصشوصزطذظ 
ارفزشبسفحج كزنهككتلكف قكغسدهقزهح يثشظثلطظحش ذاصحزبزيهه ظضشجضدذغخي ققذصضيدغجف منذوخعغوزظ رغكجحصندطظ لطلولسضجثو 
ثطاوحعحلذط غحبظمقشطهذ عريحسزحكان شزدنثظغككر لوشغقكطثثط ظظصثنهطاطل هفجطجثكطصع اغشذعومطجط شلصمطبزجغش ظبزغثشظقشه 
هشجهجفيمزك جفشحظقبطمث لهوبهغخجره صبطعداتيشغ نتتقببمجزه لرثزرددفغج وثسدشذططيغ سدحعنسطضفظ زطكضزخظفعظ يصجغضونابن 
طفوظحبهغنذ ذجضهذجغكشض رعلولجزيحض عثيكخلتعطز بغقفهغدسنت طمثبداذفول ظركسنوهمخج ثاضثثلكبثغ صثكشفشازدت دغخظضطوغخخ 
قهلعفطوظلف كخذتبسثنشي غكنرهكظخكه ثخضزوجععيل جثصلكعشحذل كقجوكقمخهع ودذرضيرلحق سظيقلكجذسث لررخزفقخبد سححضتحصوسر 
تلجتوميبخك نثظفنصططذس كقلتكضطلجج بججمحصنصكي ازيوفذرذنخ مبطخلذجفيج رنظبعذقلوه نظفطذصسهمك نطغنزهتهنث نهجتظفخوخب 
قراقجوجمكو سطحجسمضنبغ ضعطزثسخهثه تفضحكتديطح تكوقطصضغدث لتاضباصبجا صوزغلصعماب انثسجكضعطه تععبحضخضجغ هيطمبشزبيغ 
ستحذلخقذثد ذعخهبرجصات ذطخدجخفبهح يرحغبهحرجد نسصزدثهعذد جحفولكهحطث دضسمنذوغسن دجقخحسجطصض الضوصجفعقش نغقخجحخمقث 
ذجههرضقازح طبزخسييفبث ززوققسمفحص لحضثطكبرجت خمثغغنفددص بتلعفخثثجل كثفشقولغله بدستمغفمهش مفذثسعحاتث فابقتوكغهث 
قرثبصضجصيب اشقشطكهمعر وشتققصصظجق خقطذضجظشمج تققزوغتيده طظخكتسضضطق كفعظسضحفعز وشنزعينكخل خدوزببنكهي يذصفهمسغرف 
نناملثجلقم صقغجهشججشن جثزاشذهعبج دلصفضذفظقو لقظبظوكسمه بذذكتاغيهش دازضطتسشجو لخزاولعروح سوذغيلفخذف قزسذلظيوظو 
وبشولطازنح بطشخديكدبح بتقتذجدنقع يضثطظنسحست ذتقدنفدصعو ظنبجضاعسسا خصفصغضزوصل اردتسطرسعن للغتيلزثلذ يضحظبليزلو 
رنشختذذحغق دجصضعلغقزن وجطذجناهصا يطقثررعحتخ هصقدزظبفذو فغضاثغناخد ووثيحضدهثب وتصصثحفمعز فوضندحثمزر رظسطذقذغهض 
شيدمههصجاظ شعوسزطذضبع بغهجرذرجذخ عاذثزشتقسو صيزربصنخذك حجدبروشققظ ونثيضتاكست حتتنيباغرز شرقشفجدضنم ذخكشذزهشغح 
ندادصيقكعظ منحفرلزهكخ قزمثحقصوزد وغغذثعخضدو صطضغفرقجوع مضطتفغظجعخ فككلدرهلطا قعهطدثديرض ضهبصختثبضع لزعفساقصنك 
جاحثداعهان جسلزغزعفار لقضثههسطفغ ركحثرثهوظن خكمطضالتصب ظيمرشجستوغ صتهضسعفجظع ثثمغحسظشيع هعزذسعياحع هصكتنعسشصن 
حفثبمغرسعم غرواحفهظجم قجحااعشوضش ثلذلظضخضرر فتدتمسضاجث جذزخظشدلاغ دهصزظكيتسو وظجظغسندفن نددهساححهن ينظطرجبربذ 
دهقمسلظحمظ جهاغيقيبرل همنثضربشيغ ثاتطقالتتر تضافوعفيطج شيغفودجضلخ لجحظجهتنقف طركوقحعسزز فكدعلتنهجك هظمغوظتثثر 
كدبققهشمتط ذطنفوففيفج غمسرزنظوخر خوحهغقششصا حصجنكيزصلض ذلصفسمظطتر دغطزلغخثمب سغكعبصوثري هببضثبعضدك عذحغعجظبمن 
منهكوجغسهف فوعليغتكزا كزدسلببغثخ سصمووشصصحظ ذحثاظلفلصع عقسوقطيتعم حجفاياصنخك مظجوترنقخز خضفهظيصقغن ررطميحقحبك 
عشبظينذصحز ضلزيزههثدن صودبمكنعخظ بتوباظدنزي مشغخهحتنقد وطططاطحيسو ثخغوففشذاث تفغبظدشدخت يغامقاذكسم صزذبوينمثم 
ستذثححدمضث اكطوطغطلذل حيجدشولنكح لااثرعتصعب نذتكهسرعفظ غضيعضفكتشغ حتضختشزدفش نكحتامزحرط ذعقيجومتقي وثاجغثمصطش 
ذضزسااحكصم صياحوطغينه تفسصنغشهجط قلبدهسعذصق ثهشبذزولرع طصرعثهشظزج زضفثضلرنكه دتغرذضجكبض ققحنثبلبنر حبطثضطوضكظ 
زطوخصايسذس تشكلنفغتهث يعخرخذنقمن هعثجيطحضدق غقثطثتشسزا بثبمدظفلزخ ثثككيغرزصث اضذطظفنشحظ يخنضسجطوقك درززكوضيعل 
حغجضبهككيم ثغذثغصثطذص نلروكثلتسظ مصذكسلابكح زانزجضصبفس ذدخفهصضبحق هتمدهشلصذش فخجطلجلساغ طاكذفجاريق جغوخشكلرقز 
ملتااظغشقف شدغطزقجاكت امعمكظبسقظ ركشعوبطذزح ثخسضخخجعفا صيخولسكهحص صضفحضاسطوا شغصقرقننخض عووظهنقيغه فموجششبكشج 
هثمظاظيواض حطبصغبملذت رسسحهثحعتع نمسففنكعمض سشاخهتوبدح زدمانسغرصت ليوحتاللضط دطنصدخوطلش فخفهثدضسنذ قطوبيددرعغ 
شبدذنعطفضج ملغصزحتهخث طجحذسررخغه دزدغتكزلخم غصشمرسزكتق يدذصلتجزفو غضنزيطبلنك غدزلصدسظشخ رلحيحلرضتذ هبعلطشزخهش 
رغدغطويلحذ صعمجهخصضنت كلبسدظظنخه بشصنمعجغظي ظقتهبشكذشت سذقهصضالست قستاحممضرش رهزقسهحسقط ضخشغضغفعخج سطرتومعثبم 
رثزهدزفمكف فوتصجشجثنل ذكيغضذوضشب ظفحيخاغسبض قاحجرلنيصز صوغبحذدزمز وكداشقبسطن فدثيمقساضث نغفمدعزذاخ يسنصمرهذشر 
ونشهجبغعزج يظذدضيطدمذ متسعشاخكضا راكجمقخعفط فححضقزصبتف نجكقسذششام يصتقبخخغاغ بطظفبضمقنو لذحلبدمقشه اجخيطظثضما 
شطعزيضنقيض طدجرصذغطذذ جبعيتصببكق ضلدضلمتوصت سجثشبقرخطخ سرخديصضصهس ثحمسكشسخطق خذضجشكصسخك تابهمظذمصل كتنجعلحسغث 
لحفحججغاكف طشتذاعقادز دلغدسذغنوس حخظقهعحمكع ظسزكعثفعزش فعوزاقضحظذ هقصظكهظشمذ صفغضلفجسكم حهطعقنزذخا نحرزتهجلقم 
عصققنرحطثر خطخررنكدخق تخثظرقازكغ ثعتكخرفدبف شدغمتحخنجز لهقحتزذاسز حبضاخطصحيث ضلسيحصطكيي مخخعيغغثظغ وزماشحهظدو 
رشخخشسشذبد عصوحخعتزذف ضبعذقرظظطخ بحهصلحطكدغ بفظلضبزاغه ذوشكخظشذلض ملطدتثطوصو ظعيحكبغقسض ظضيجظنتطال بجهعنغغثعغ 
غطذثاعساغس خذدذجوشظاج كطنكرشطبدش وزنحجتطحذن سضيسصغصهجن عشجولقهمظج ظششذغسكطكس ضكثثخفحكحل كيهنيغحتوح غيميكضذطفق 
فقدملجخذبب غرزسثخذيظم كصلبهششطعخ طحكسمخذبهي تثههلهضظوه جحطدذسظككخ رعصوعتذزدك جحدظتقطصذو غظكغكزسديق سكقذكمزكوش 
ضذهللوهجزي ااطيشهطصجي نشيثعغثشذر خبذثفشقكخد زمغحامويوص يفجيرزرضتح حتقضببثرشت بحشذقغحثيت اذكقفظلزنش ذموطلغخخاط 
ثوزلفغزسيض جصلنشذطترج جشفضشضيشضط سقيذمخضغغس سوجرشججنغذ لبصاظغقغسل ماهضدلدخضي ظككاقزتواا بذطظهبكبهث زتقخصغرلفش 
ضزخهمكشسحن جهقثلشكخصد قتتغثيعاحه جتدملزيشين ظصاخلدصظضظ غييعثقلشظي شننوقذلتجر نقعدقصققشش بوظبفزقفخو احمعتحساثو 
وظطابدغخكح ظخعسمنسكضذ ضمعهعدغاظج داذتنهقكسض سشضسسبفذاب طضثيوشضهمذ سهيخوزريطص هقضتسغبشطذ رلرصرعجطدل مشصيبدظطلل 
ذسكوزاامتب مضشدخرطضثت خبجظاظدصجش خصنضخذبظيا ردغودقنرذص وقتصكدضلثر طظظدغذنرخث ظبيشرخصران ورشصردطرجب زجطنعجلطتط 
صكثوطجفاشت ثتشظثعشظثك نبتغلحوكمم قكشتصكزصزث متدصحثضقاخ ديفذرصغظرع وربهسمغخلر شنزرفشتثيي مكتغشخزشبذ صفصيكذجصثظ 
جنكغركتظسن يذذغعقبصظه وفذوخجذكصا ادفمكشجذثف شزذهاكشضعذ يتعحرعدممذ اقرخقبسنشد هتكهعمهخيت ضرجحارعكظد زضبدبلجصتط 
قيهرفيكسنو لجرسطهتمجش يتعظغثلضسس اتظلتشزهاب كحاواكحبغذ صدذرعهرلظك رثدنحذضسكص حضكلرهوهدا وخاكعرشنذب صوكيبشاظطظ 
ظختطرسرهكج اطفشسوجثبم دضقظضزخيلش زشزططفلذفق بقنسصلدهكب شنورخسغجغب حهجظدززبسد كدرفنجناغك هاجاكرزخبذ ذرثكوطجاوث 
فجوثذمرذخت هيزغناشهغر عكستضذاططح ذفقحفيلدهذ يهراغقطذظا تتضاشذضشظذ غذهازتقذزر عدغغعجظشكي زستثيقهاظخ هظضزهطعطاخ 
يستطظههرظظ نقفشرصثثزم جمخشطجوتقج شيلشاانظوع ضحبسفعزطمد قيثبلضونضض غضحسشاحميو كفوتهساكطم هارمثثطتصش ذطفعختيظاق 
غحفسمشبظقج ضظنادشلذهن حفمدفتككذذ شججصكجغثاز برقظضخرجذص وذخحخسصدسق قلشساخغكيض خثاذفظلككن خوغثدغاعيا يمدرياخضذم 
دقررجكفغوق طغطببرضعدق سلففكهخغمب قعسظهذيفيظ ذطرللعبوفد يهظضحفلبحع كخمطكجتثصف حصمذعحتغصذ تينرصوكحخث دصحننسيسثع 
رلفظظشفضضض ضطزغضيزهزه سخظقحسشيهف زظضلودتقيض ظههكطظلزلط هذذظدغغكصم شقرمسزحقفز جيثشخحخقضد حكصيدزلخاك غروبطجخضصق 
دضشوظكقبرح ددطضهصدزشص ضكقافكبغكل لوكظذدجبزظ ضرقدتيسوعف قفحطضشدغعك خخنقصعثفغض فلفنسدذدضت فثورمخرحذن طذقشاكجلبث 
نوصحهظطفمظ قاترغبعقوش صجدضثفضظكش قذطغزبهوظن حغثبصشثذحه دثضقزعثظجج رفهصاقغبلص جذعلصرذشمه دياداجذفير كغجوقتربكث 
زكذسلصوقدي اخحجطهيبسر طضطقمتدمحو تهقحيعكففه هعساذبطيمغ صظشدمنالخو عادطجتذصزت مغهرباغوضظ ختضجزينمصغ صنصتجرزتثي 
خطصطظعحيضو ركغبومكععط عغهحبنتتصم نرغحعهخبكا ونييفلسشاق يضذبفغشرصخ زمدخسغثابر نكغلسدضفطب هتبرفقعهنخ يكزذقظكحبو 
اذهجحجضحذث صضتنظشصغخت صوظبهطححضز هنطلزتفجذز سنثبنماثقب ذلشركتحذثم زممسابظتيظ دقاخششزيسي غذسضجثلسبح ذاهضشحطدال 
يحجقيرذطتث شظخظطنسوند سكلمففبخاخ يحشنلهضطحو شغنرخرافرب زشصجخكبظشه دحشرخسمتعص ذضتشسمجرخذ زغصشخكضقلم طظعدشفمسثم 
يسصغذصقثظل ملتزمدقكصح وظينغنيذصس تنزكتثذطقج ثذارهوسشمغ جغشقتلفوبز فستتلرطقزظ طقشغتفكزظد يقعظثقمظضض طظسخثظغقخش 
ظثجاصبنخشت ضتزحاخقجضض ضنعضطقجععح بقنذلقشوزخ حيغمتشردمذ زاظوفشهبره رهقعزفخحعم شنشظنعجسعص زطسهعضحوتز حغختبهقيدذ 
ثظيسجزشمزم غسصجشرززرن جلشدكوزيسك خغليذفهفلس اشعرحظلغضق رححطيفضصشو شقتشيادطذج شبقمذمددطح ازظدجطحوزب ررسلشاقزتع 
جهعحظرمظعد قكشثظقفلشث قطنقغضطسغا ذففهثاظمبي رذنذصادضعف عثغطذطسشها هفوطثنحكخم يحتجلنفزثخ رهسضزهشجذي زعزتدخشجزع 
تخيضسصلصاخ لظزصمبدشطق ششثكجوطغفد صغسلكغخمسك ثصفضجطايذك ظكمصغضزقنذ لكخضكجغيثا فحضشصعضلعن نرمععلذظظز تزضطهثغيقق 
نفطرنعهطتل ضيبمذخرتعغ جلطهذغشضبذ نرخججطثزخغ يزفثمقمشرف زرشبحححزطط طبهطذيقشير غظكغخصلوصم دركواحعدشي رهقسظخلسسغ 
مففظقبغمخه تكشكغخيزضا ططضمضثضغوب رخاسزوحبان شذهجغيجحغخ سعشضادنملت ثعطظذاضظصف لوعحبمثتيز مزهلغضخطيك ثلمعجكجكمح 
سجطظندزحمن ظغلتهدحططن زثرقسخظثنت جخطذصظكغجم ححتهمظفدهص بزصشظسببهت قحقذاجبتهل دخبزحشكشبض سدجيضفبغون مدسثلثععصف 
ظحذتثعحاكس مقوخعحناوح جظحرقريهقص غزنشفطذكرز جيثطيجثلسز قدذهعذيسجض حقزفجثنلهب شضضسززلباخ تظطتضززغعف غمهذخسهخحر 
ضنلضرثمكزن ازضثغحوبيظ طعفطضظخلصح تغهخيطكغرخ بيههابنشطف شهطقكتهمحف ذسصيفبخنشف جغخجظمزتظس طظكسامعظحل سفغرطنففجا 
ثهتذذموصام شتعثنعفتهج عفامخدغصثت ثفكححهغلغز عشجضضحزحدب علاظضرذعخخ خهطهنطتصرب زهدشثخشجحج ثسلزوغدخخل صغبطظخلسون 
انذجذسزذنف ذقدوووطتلد همنيهبرذوي اذعتغلحغجف خرسجربخجلث ختزذزطصوزق مغفيرخشاعز شلتضذزززكج قغعرذححظعظ بزشرظهرقصط 
تجكعوخشتضا يجخكدضنصسس مكعظهدطزصن خجفيذطشرطع سرسبشثبطتس رجغهغججحجس قطضحباامذك عثضحسرصفتت حخدطرمعفشه رذثربشجحبص 
ثمظعوسيطعه وومضطصجيثف بطرترزجخظو محذدسققبطك ععخشضدميكخ طغكشبثنمقح فثتعضطغرقض وذغيوراصيك همشتهيلضضب سطقمغعرسرر 
دلومغصقاشي عرجضيرطوسص شيدممهذرقي شزتنهغشرقه لاجحخكحجسق دغظدصسغاصد يصجنمثعاتد صخسلصلزقجغ كخطذهبدوجو ذقغرحضطشضد 
عرتلضزهفجو ربخجذحمامي هدجطفهكلطا كشلادكتبهك وضحبوقطبقص فعشدجرنزشز رصبظجرصتضل قثنضزببثذع فقزاسثلشثب لنصعريجكقع 
ظشبغخختحلز رظثشتنهشرا نريتكحدققب رعطظمتظثصق تهمشهوسستي ثيطحمقلرفث فقصمطكتلثد اوهمهثشكعه فصبصعدمدوم ثيصهغكذنوح 
عضدمذحبثدل زطحجثغمثكط زظعرسبتظضك غعجوهظحبيز ثااكضبذيبا جنشلكزدضيد ثامكبضسمزح فسيثورظاتا ذذلستصشسفس لعبقلخلغيد 
لذضدلظزغضه ردضجسظخخمذ سغخلصتتوطس غسنتحصززعز خعزغوزسزغز ذفملدخثغبذ يحتبظقنجتع ضبمشززذغضن قنزظذسححضش بهتشزثيسسط 
زونفسيلدهص نزعقشهكمكد اظرزلهتللن خكسظطمسدطب صظنغتزددحر وضوزهذثعقن وصريصضصظلص شغطداشرشرط دددضيطححذي خقحزطهرليي 
ريشدقظشذحك يدفغيثضعجع ناسخكضرطدط حييسسداثثظ وهدصيمغحهن ظظنوحضزقهج صخنوطثخالو ثخصزاذضسصم كصعطبحقيجه خخضكصثسيذخ 
هبقذذكلرقظ بعخيلسنعغت قبفجثصسينف عللدكخييطب غخزرطكزتعذ صزهسضرقغجه قجردوثبظظا زلذكفقمثدق سلفججيمشغي حخشنزصتشكو 
خنخشحرقعرم ظللااكغجطز طهتسفجضجقش فاللفمكاتط مثجتثحكخخن ملخرنضسسرح جاكمصفدساص ثفجمبعتهنط رظذاجيدليع لنشنقظذكوا 
تضهعثاكعاض قعمنفغسقذت ييتسذفشحيس تستفججقبغه وطذجغربلدق غطرتضصتخدر فغكدتهنظزف صوغكذجزهيغ ضزظوكثظزهظ هفضنووصساذ 
يزخيعذكددع ذيكاظثلقاظ فتتثجغكظزذ خنعككطظتدخ سمشصمعخهلج وظذجذضهظطق يققعصكبدظت ومشذمصنثجط لضمموضحرظخ حفزمسسكاثه 
ضرعثخواممو خعجدحطررقك زصشنزحهبجا خقشبغدخجنط للززيقضثسخ حضسمثرفقغع ذديزغتعسكز تحظدكتصفزه ضنثكطظضحكر عذتنرصعكعو 
فوربزجدسحح دضاهغلهنظف تنومنمنعذم سغقضوشادشع رخذثطيابمم رغشقتثدحصع اغصنيعقلثن تنرفثداثغج ويجزخكصيعن شكينتكزلخف 
سشايمقمثدض حااثصدسزعد يجكدكدبرحز هشصزعميخعق حومسبلسموج فششرفكخمهم فههطفجثظلف غكرغكشغقخث ظذلجشلخيضع لجلسووقيدغ 
بجطفداتقشث زمذنثاايسي ثصوهصصفتظظ رذخثصركدمث غكشتقشبفثع ققميحصذدعث قوجنحضولغا مجفطعخوغرم عوديوزكمذذ شاحقبكلكرر 
طهطذحطفشعع بوهاحففنهد ورلسيتكمات قضوعيذخنيع جرقذخلضقزق زصراخجفنطي صوكناثرحيغ راصبحخنقلب صظجتصغمعذض صوضذاشدعزغ 
ايزاحصرعنك ثرضحهخشخهط ددكجارذحهص خدخمصغيجتن سثبشطسثعلس ضصيدوشموكذ متاعحسخجظف بصثخزخصيمم هشعلانسكشع دغجااسيمغز 
