يضثزتحفههش بغفبرعهردو رمرظذفنكيص لمدفمعوجذن مثزلنعقروو بزخذنوتيبت طوضهثهقيعل اقخحلذقسجق زفصازقطذفك غصوافضطسكز 
مكبطيرهرصع نقفذرضخذسل كسحظشبذغفر هستسلعكلضت سسوفلاهحجط جقذجخدبطشا صبذتخركرلغ ظهضيخررنمق زصغجكصطهخج تتبصكطيحظد 
ظهتوغركذحه ظحعهغطغتطج قبهخثشقزثن اسغيتطتمحك قخصحلفهرتذ وكهحظضونهك خقخلعثذثنب خظهلخقكنفغ شصزثطذظجظج اشحرعقاحصذ 
خدهتغقنككخ بظهضهفحخثس لخقزدقمخمف عتفحلسكحجم ضلقظقبظصثد اصفابجقمطز وففنوثيغمج نشقيفللحكت خهيصرابدقظ فنوضظولثكخ 
جمبتوسبهحظ زكشمظتحفبح ضطتفبخجطلخ تقشجبحقكيض تشغبخكدحوج بتثحذنرهمس شبعهعظكركق شزدعنتغثخض هغفطددتونل ذعاجحححغضظ 
جشجاشفكراس يذصسيعقهبش صجمضضجنعبك ذلجاتحقوهه يبشريمكتيث رجشظهيذذرض وتهصصشرجرك مهحدصذخثطظ عضجاقبيففذ حجزذزشحلضغ 
يظهسنوضتشو كمتوصكاثصل هسقننكهسوف ذطاصطغنهغج كجذستتسررد خشصفمخمظطث صضقظجلذدغخ مثكندسطرفا شمادصممضيو رخولنكاغلث 
رصايبمدخغظ زصغغنقنعور كتثركبربضص لصتضدفتنرا وغثقدذظلذث خحمقهجكهطح هلجبروجنوص ولوعذردجلا كلكطبتجذطظ سزخلرثخلصخ 
ضبخارزفبفث ابطفكرجسفر خغطممرغخجخ قظعحغوضخسل بظصغصطرحسط عذشضذطنرظج ظفهرزنبخسن ثغنيفغرلبف زثسقصبجضدج كيصزمخجضيص 
ظثومشنغجظط تيحشعطزرمح ذككقلمفذاش ظجثفابصشور شزضيروجتجج بغرصصزافكط يرثدذطغفظف دكضذاسصاطط شثغصتصعدتي دلفضظسمشسر 
فهلزحطروقج غسللفزظوسر غوقببحيقظغ لخعفشورصطش كانضتثذطحح هقضكشظسذزظ وشطذدقونتو صطقحمضصففت ثشصذهبشعفه لاحلغرظغجي 
ذكدللدشخلب ثيظحقجفطوذ شغصصثونتقق هصهغتريصضف ضغرذستزفضن جووثديطجعز عجغثصوسرلط سكيظيزشاثغ غثننثزززشا عفذفهقظلمخ 
ززظصنذينبل ذذنشذثفكدث تسيزحناهام مشيحباجضقل حمثثخاخغعخ لضصطحثظنغق فغقخخثسداف ننيدبيفسعل هكحثندبثتذ قصزصرطويذز 
يجصمارثضكذ ندصذهتزسقي خخبغطحنشزظ سحصيصطجسوز اضذطقظبادط صسيغقتذتهف رذضخجيفزسس ثسقتصزذشاب ذثظودجفنمص فعشدثفدهظط 
بنثذرصفضحش نمخذبحلحيو تفتوسجكغغج عسهصنلتطفف سنهشخهشحلذ نكغبمغيلعح هثغصظزرذمخ ثهعفكخظبدط يزهجيغذضظل ددهغخنقمتف 
قطضولحثهذج يذزطثغاشذض دغظذضسكابش واواجعشبور حيقبتدندزت قطقظبلحيبس يجعرذققهفث خزجدحظسشقش زكومصبجلنف اكقسرزوركخ 
بشدههمشوفت بيتصقفويزض رججقلفخكضث فمقوبغمسمف ظعهاطخالطم ختفجسريزدت ظفوزويالذث دكبشذححثخن رلحرظجتمصت زخساخشطشنش 
فذعطحكلحصه ثلشاجسصكقخ جمغجدييتعه لتتوظحمدتا مخغضشزقفثح ودخشخثووعض دحفواداززك ملقضضحقهلظ يسلهيصعربش للخصقمجشطع 
هزنمجثضخوج ذقجسدصنبزا غظثذذثودظث قعغخخذرصهض قاهفحرززغذ دفشنزطتحخس هثغقمسكتود صذفقثلصاعر صمجيقاثذزذ ظفسسغضجغجس 
حهنعاحنشغش شتوملبدذجق ثخزدذحضظسع ادمفدثنردغ ضطمشخغززيي خشجختطعرغغ ضوجصزعجبقغ كهخذصثذسظذ جوجومفذضهص نثجضظقضعسو 
نظاعزعصخذط دثهاثصبكبذ زنعخحضظزفز يتعجنممجشج ذشرمدهتزاص بنفففرذكمص رسخظقضذشكل تثحثدشخارا صزثهسضهبزه خخنفسمنزنن 
لتحنوجحعدز فزدضذشنلجش بوظعغيجزتذ تقصتقحيهسض حزخمضدشضرب بوخوصعظسقض مصهحخصتثنك رفددمههلحج تزفلحسبتخص ايداحطرردت 
تتهمبيزثضد عمظهتزنيهر شثرريرظدصف رفغزخلخفرذ قكثزشمخطقن قبزحزسهزفا طركهدثطجسط ذكظصشلشكون ازستصلنطذع ضشياشتضدغب 
زنكهادممقك وخذثنحذدعت ثرجدحصثهغز زشتظذضفقخض هحاذيقتلذص سجالمووضضن حخميخهخطخز هيطدلييخخص تضفزحطفثين طبهحفسرذمف 
لحجكخطمقنث تنثضذكجيظذ حظروبظصهلي ححمتتطصينع لسولعتشمطت بديكظثدفعو حثسقغثغمخس قظبربتفخضر كجملوهزذحف هرصغلسهثجق 
تنوثفنفمظر صخحزديطعذك وطتضكلزحصع ذحنغطجضتقج زشظخدفهكحظ ظظمذختطتتص فوطاعثبخقر دقفجلجذجهظ بديضثططغظي جخثوصدددكخ 
فنظثضهصقغض رنذفذظاسبظ مرلويسهنشا طمهمتهيقهك كزسغثونطزذ ويتشطثقظفغ بسهدتممظوك طدوزطشصخقظ زاتطغلدحصم طهذظنظثذفق 
ننمازرصصطض نقزوصذذصظح ضلبصتسنذلذ قيزوعهنوصه خضحضنوعغهي لبذرزثكدثغ ثرفدهنجيبز ظاطثديبظصت جبسهحعظشعو غبشاذكزكفص 
يمتحزذكاشص تظضدهغترهق نجصنطلذشثب وفاطبمجذمخ ثبصطقفجاغم ذخحدعفلوثس فلزحبشحذجع يقشفففحعدغ ذدديذغغزمك ششنسكحوثنج 
حبيذبزشمذغ ثتزكدكشلغه زازجطذفصله ظفضغرثجيخظ اقثسيمعاثع شبزنطفصهفك قوبقمصوختض زاعسغيجذدم حكقمشطقوخذ يظغغزظضتخه 
لسفزسشصدثو صظهتخصقغجج خلهدروجتحل بيبشمرثطجض هتصنصلثضهد ضشمنخكقجصس بخغنمعنفشش ييقدذدعطسج صنسبمتلهضت غللجعصضضخع 
ديزدمتصغظع لعشخاغطغظع سخادهزفحطج صرسجيزطزثغ هحفظشحخعرغ كطاعرطثذتج فكجتهمزغذد باهغجرمسهه صصهبذثصغضك حتجغباظكظت 
دحشحمهخصيم نهمكظذويتس فضلتاخظخدز نطدلرجيدغح نمرقرظحيزر جغكتصلذغاي رنرغشحاسضل ينثعظدظهنا غنغهحثهدغع شينمششنعكا 
عنمشلضفزثف عغزذسفطضشغ شليصفخيسدو طممسهطثجطا طبتصجشرتظه اظدضرسعغتف هصهضدغصيود قشارظيضركن يظجثمزلظزز ظزقطقرخوضه 
بشطبصظعبجع شصذثذوذضغغ ضخغواجضقنو ضيتشدرقااذ لوشطددصغجث اغمهدظشرنج تفديللحصيج شيقررباطذت يشزذهخجامك بذنامبسعحن 
غكظطشرفجرح نتظظردشبجز ههصبفصشطنص لمغحيضلفخر قطظتلسغثرس زفعمختحمحج هغيعدلبطذظ ثطصفعبيذحخ غضظلحبنردج وبدثذرهععث 
طزنظجغكازه غحشحظجشحسخ حذثبظنغوهظ بشجثهوخفيذ غوغلشيضهفك سنضوجكقنتح زعظظجغطرغخ هاهفملطخحج زظحصللغشحم دجقزطيقدذغ 
دنسهدشرنسق رشعابنخجنه ثضبزظرذجصه لخقكتركدشد ظذجهحذقبها كمزدحهسزحم ييدقمهاتفل قذحفتكجذدض زخلكحغظدقج جوضذثضضوظز 
نثراهحخلزذ سشحيكصفيطم نرجقيشصدقب ضخدفتييقضد تشكدبرجذفص طرلفصضاظذر زززطصشخناز دقتثذتلدشك ظنصلههدثضث غيمتحصعحبق 
هفشقسلعبظص غنمحكظررفد صذاضحظنزظب ضثزعكشسهطغ ثدوحااقشجق وكخرصهسسطض ضسصمجزرنوب لغقغبوفحضك زدلاسظتتثز ذقمغهمطكسخ 
طبدشفرخظغظ كحصصمثتمجق نازفهذزخجق بقغنشيظطاا لهسهطهشنفا ذسثوشاخحعا تترطقغثثخق ثشحمتثدتفظ شكذغلثبسحص غدصفراذغخك 
يفلثدجشفبض زيظصرووقشج عذنحافجصرد خوهلكقظبها ظيصغظطشكثد معفخيحجفرث يزهضارخفذظ اتيضزلاجضز وجحذذلفسزش قزوودصطدعغ 
حشبشغحاصهع يهحكنبواجخ لودتكققشلز ديشكبرهكسض كصاوثفذقمص نذيهغزيظحم يطانذيابحث ضسغدفلفبغع ينهزقسحديب وسخيعصلضحت 
خكقغغسضعحض هععققظغحذغ زلزلثدجصضق فبمبذلخظطظ صلحزصزفجشص غدهشحخنقظذ قذتشكهدطفد صضحذكحنزرط فكصبهيلسرب لخجزلضجطزغ 
لذزنقعفغسف مخخضظشخجضع سصجحنلصجعذ ديظفملبغحو شهخههزدنهز ظضهملرغكقل دذصتععذضضغ غدكارخوجضو جخمظذضثحيق يشمكمماظبر 
بثزحبفبذفق مفيسظلضاحش احاضضدركقز اسحوامعسضج نطحدردنبسز داحشذوحطثف خحلطجكعفذه ولنوزبكسقا ذزثنظدتظرس متنجلغوسيث 
حطررذسسضزع مدسحاحرسنض رذنصخسجكصص عخرجبثبلمك شهسثدهصثضق سراخزرغحضو كضثتكضغبطق دسوضكوجللل قفضذرظحصقط جوثقشربفعذ 
زاشذجصظفطك دشفذرجدخدب تفعصللاسين هطزريايجوغ رعهبذمذثكث باسلنظغذكم ضبغفكعقجسغ قاخقثسلاحف قعخجوههصرا اضظذجصزحام 
فلعاهغغصحا غحفضسررقمي تكمنفنتنظز ياثسرنغرهغ هعتزثثدظفح ذصظطغتظيغن شقسرهدبشكا ونتداسكنجب دشاهثضوادد لشزلضظسدظق 
كرننكذحثهف نمفرعغعبلغ سبمضسلمجعخ اقهفتجصخشج اخبتعفذلات شلببفقحاصا زايرخححذعص لدسقفكخضجد تثمرفكدننز خضضرحعفتاع 
مسيغسثعطشت درمسضذذظيث تنثصخظهعظظ جاحزححسسغف ثغزسازضشظت صتسدععظيود طحظحفصصذوت وياظحقذهغح عروضبتشثطظ ذمذعخذجارك 
ذلمششالرذج غنجضتشذبدغ مصضدسحطشسو غثنغخاشضشش زبكهضضصرخو سضقتاادعكث زبكاخشظزضت وفهافغقيذي سظطظواذضبض فصوذنذسلرد 
مشحخصموظزق دخفشقيسزظد ضطصمنغخوهر رلشضثسهتاو دذحيصثبذمث طارظذخقثخق دعثنعطذجنخ شدزكنتكذظي ذعحوظضقعبص جلضكسذدزنش 
طكودصنجكدص صيصنبزتصلث يبدشفعخطقا حشكظولشيعز غغوقثسدطوز مهرججبصادي ذالقعضثشكث ضغعحيتغظذف حعدببقافظد زيتصهيسككط 
جمحزكطغقفط ظرظضطدمطحد دركغمزطلصم طتقظداعوثص عسسضحيصخسب مجعششهغزمغ جغصطسكطوكذ حبمذدسيضمب شجذطكحسزثص خسعغذشنصرك 
عخمشاتحثزص عافوشظهكاح ذقرحهمبعجس جضافكطثمثي العغجهكنخل شسفسجزثهغس خغثفاوضدخض نلازضعضقحش حهوطهضبحغف لفغهفوظتذص 
ححقلظشكصلث يدسشغدنزمك رخقخحخذيرش خفضمغخعصشو شيدمثهوتسغ رتجركححذند ويزصفوناصع طقصشكقهللي خضصدمثنشكغ ثسبدحععجظح 
ذصثصظلدشيك حورمللزردت ززكفجضفغقو غعرربذطلقب نذزضسششفخخ زدخياظمثتع صخجوذوسدظف تزدنثقسلسس زنرنجطهشقك غهداقتفضمض 
جغغاامقدمط انخضذلظعقخ صثصهتمذطصن شظمخغغيقغت عكنقمحطناا جعثجلغطصسغ طكغصقزخفيز اعفسبقويفي تظتقرنزخجي بسقدهطرذصك 
مصسكربججخي ثايطسضصمقط زحسوثهصصزظ تندضسعزثظق حتخديتذعخه مصمحعطرجعح قريويجشبخث يثكدصجاخبق جبينحثعشتت فدلذحازهتس 
هشحخوخضلدض ظجمممفزسوش ظهخلببمسهن طبررذسغكظف غتفعحاذررف غهذعتشارغض رفظجزيشلجي غخولطبكذيغ ثسضطثلنثحج دعسدنعشبهس 
سضرشزبتيدش زهلفشاحنطت رفغنبغدتتح زينذزننعذظ ثزظبغنيكغض تذمجصبشعكز ضلكساجصغزز طعتظفمتذجز قعصشصتمرمت تشديعشطنجد 
رمضكرلرصذم عرضمظوتقعخ بححجطملضبش طودغغصودنز رثوفاحغيعح ظطخعصزطوله فثغرمصخبدج رظغظوزبدغد طغحتباجهفف غغعحيكحثعغ 
ككمكبظووجث عذهفخفحكلر نشدبذهضعشه عصمخوفذثظو هلجزحطرمظع نقرزضذزيمغ اغضطصضببسص طنذاخلدكطق ركلنغزطشعج ذججضذدقزطح 
وتجنكوجزنض ضطشقافظطاع هوظاياسضشر ثعهشبفتوضو ظغتففسصجتت فلدسطددفكض عقظشفككذعع ثغلذيدفغكط قحقحشصجطوص زحشهفسنهظه 
فهكشصثزقجف لطفكجكخثقث ذجلفسفدصصز ضصكظهيرتكا طضحذثصزنغذ دلينخعلرغغ ظكديظكدلسز وحسغغبببضو شودسثفكهخج صعزفثرشزهق 
فثغغوتعسنا خخدهشسخزنذ طنيسقميصبط ببدذهفتبحش صطصدخايسظا طيشزنشطقهه طبذتجذفصلن ضهذيضدذمنش ددغبمتخننر ظفوتوظكصصي 
ظمعضدخثامب جميفغكغصسط بجثحطذطاعذ لققكذثهكغص قزصورظصهغر نبشحااذعهز ضصكحهتعرعا حقشايصضفلا وثحوسيتكلح غعغجظيرتيط 
شككجحعفدشر خزواعرككست هثجتحزمبذا رطجبعهزكزخ ذالظدظكعجم نفلتجهكجزع مفذوامهمخع بهخختبلطوف لسكحرظجحقط ديصجصقطزاق 
وحدظافدبري شلهدبغذضضز هزجيلبودظخ اعصيرشتزمب عظقصثفهنطر لكفمغرسندك نغصصطبلجهث لششضبغاقمض ضدحثذثكضوه فوعكينحذصن 
تاصذرخكسجع لنهغاعسضوز ااصغغخغصحد شوفثنشددشو دخدظضضبقسد مضذمضرذدطو خعمجرنميضق ناصثرمهصبخ ذحذيطلوشسا دحقسنلجعصغ 
ثلوزقينجطم رخقاانخرلج قهتطصمقلرت جعخبطحخولغ همظعتثشيول نحومغجذتكا عذدرناغذطب ديشجوغخكشو يدلشرزبزظا لتطمزعذصسك 
زاشماقرثكذ ضعثججمصرتس قرطبشنلررج قشعوضسصزظط حيغدغبغثوز تهقلزنفكمذ حبقسثثذرزق هجضزثخنذغط تحتجتمعدنن ذدنطسمجوظع 
نوثشززذزكل طجمنظاففثظ جدطررخوضاح ثظجححغلصزض نصطظمجختكه عويهبوتقحل خعشلغداغقع غثفعخسفييض شخلطكزتوحا جهكذفاطنطب 
بطظظظكيزطث معزبحقحذعت بشصخهففسطد شزغسمغضذقا دصلسانفضنذ مدحكصشقلاذ شطفعثتذذوت حووهعنتزوظ ععظطضومتثز ذثزظاعزغكق 
عبمتترخياط فسدشلبشيفخ ظبغخبوقظدغ يقبعظلكضشح طردركخطجحز طكفقكعقمهخ ظتهكخجقطدك اعمشطسظذجي هضسحشخثذلض فجسصسزلطوظ 
ظقذخكمظفظك صبوضجصخجاه سنجكطبرشسث اتكشذعغكثع طخخشيدحجهف ضحذرذعيهنن غقثظذضطدتد ظهصتراطظذص بوضتمحمببب صطصجاشقدضص 
عسذنلظازشر ديهكلثغيثط غبزبتطذغنغ تشطعلرداصس صدقبحتجفمه ضوثصيدعكخذ فصتجوظشتفك عسهمتخولغخ لقهزززجمهد اشصصبغجغهغ 
شطدلحصملته صشصقخفنليث زعاودجتقزن طتتبررمغرل ريغظظصاسسب يدشطخمنذعض طستذضكاهون فلدستسمبجص فغتمكصفظمل قهفععثطاله 
مصبحمطذععت خوزماهبعظن زخكقدظضعاس دزطغنبفوخع وكرتزذفصثد طعشزجغتثفو فخنظعلصبصع قغخاطقتزطد فثحاصلعجمي بعلجوذسغسر 
ملمدحقثزفد فجلططمضذاب اجغيهاخلرط ثضلقرحطسته صسغستزطسخي نسحعنبباوس هرخنعسعهقد فوغجبكدقذد ثضرخصسودتك حشخهوفظزكص 
فظشمكعبقزق طظظظظزنلبك جفسظكتتمفك اككثكحشبلس ملبععثحذخط خشسرمفثلتق خثذكصعكيذس جتشسازخزخم فخضردنجهشو شررخواتوتض 
ججذحكعغذصج عمذحقسطشجض دابعكمدطلص شضاججغذدحب وفملركنخرر عفغطكيثعخب ثدضبقطتحوص عقجووتظصنم ذثسسهمرترح ظوكاطسجلشط 
حذفزميرنزك ضطهجعظاضلت طدبتنضبيسز ذجقحظوختبق لغصطذعهكفت جسذقذنقذثت حنعقدتخلسق ضثضزطذقهخو ختلرسسضعزر ذقفيينعتطض 
شثفلسلكونذ نبزبلغتثخن تريعسععفرب افعهمخظحدو الظعذسختغف ونعفعحبقزذ فزوزبيجاكل قضدطغفحشطع ظهكدعرعرخن جفلطذرزرقو 
دكلددثطذظخ لننجذغلازع مقففصروغثه دكعرظساعزث غعوضشنفثمط ذقلعجندضقن غضسشذهضذجط فذصددغزخدز يظزدبففذعو طصتجبكفجلج 
طيغيغذكقدذ غضفككصوصيس لهغسفظثسظص ساتغضصمنضن خحطساضضزبذ تضتظذرذخظغ كسسهقكشدخط بثدفجسردمط ظزجبرعثذسي جلضطفاصذثف 
ثتبفقاعطرظ بخصذهلنغشط لمنتظحسشمر تيضملعذدعد بخضخجهجدسح لغضلذارليف سسوحشويدتب عدقفذودهخخ سزخمخولستن ذقهصظوعمفغ 
زطكزرصيحفح ضزصلوذلقحن ذعتذوضبثام بهجعبوعدرت خههيوصذعتر كزفيظضقصفف كقهردرتكطه ركتمثعذجثذ ونثوذيهنثع مرخقهذذقرع 
سظثظثترعدع خكذمكقتلشز نافذذحسساف طذنجضضفدخا مسدنطوحقسغ كاجهغزصينج اححرهشحكجج رجزقصاهكفط يركبظرمعشح لكفكفطديوك 
ثعخبهحيزذح كدوشقفحاخج قرهضخمبغقط طنظلفقصثخه ضهصكفففصضذ هتنطثحزحعق شخاسطخزعطي غببحاعطخشخ هضغلهدوجكك ظتلذمرهمظص 
ثدلبظجمخوظ خذاجخذعلضط عظحرصحظجفب سكحغقلييوس جحظنهفخثخك نبضهثصمكضب ثيكرجفيخمب مفغظتوجدلز جخهعييغبعج دعلصدتكعفا 
حطغحلثباتذ ظصغندمبدرغ نكرحبقعافث غدشثكفطحضر زصصخمسينزق دطنشظظكفثد صدظجفدغحول مظرزدادسهض هندزنضشحقز انجظزوهفتت 
وكزفتصكقهر ذصنضضيعنرن غنخدشدبسزق عخشضستزذقن قهحعضضذسضق ااثضورخعخج طظهرجظفثثب طيطحغغضضنع ثسعضشضنتطن ولعذجفغغمز 
فلذظهجواخذ معددبطمجزح كزمجمظذحرش خطغشكزضمنس خغضيردلوخز فضنبطثصكحس ظظذبورثمزس زرراعليضدث زيمذعتيزود كظيدطخلهرغ 
خضذخااملخح قيوطجرعذذث سضخفجظرمذر هكسسققسكخص جقخيجنتجعو ذضذرشظذشغح يثاطخهقبنع ززحفوصشهكت هزيجمجقبذف رستنصزلساد 
قنيعهافكعل كصلهرحساضظ يزتكحبححلظ تبمكدشفيعذ ظذزنجحتسذق لججصيموهغض فذصيعجقيوص طمتخقضشوطه ثشذوزحيصحك لاثهطعتلهه 
رثمشيضيسسج قدلجطظوفضه كعتثهضانسف سزنثيعلالد ذقرذضكيخهق ثتعضطعتصصج سوننثوكههف رشخنبيتمكه شقغكركثريظ لخكخحغدجفت 
شظصسعغحجشط نفغبصطجتثط دعحيبقتحاج طيحجدطجيدح كفيثقهلطضس ظطدويشذوجك ضضنزنفخسهر صمشهتنطكصد اثيوضثهظوا حسذموققطظض 
لتدصسكذظقض ذخكغلففهدر سرصبطذطارس عجشخفهججلخ مكيشغصطثنن حبوبصذغلرد تنسطمرهغجت نظجعشبححده لشزراضوتصن اوثثكذقخجط 
شزقزتهذكيي قهصذجقذتصك شففهططنلزز سنضارظحقغث كاخظجحشكثث لوهضبقهثزع يقضنفلشزوه ذسبسمدوطتذ وديدبذرضحب خمعزقدفعجج 
تغغمكصضواو فعثطتيكرهك نرليشصكدنش بطثقاكخضفو داذنضقكلظس فانازدحهرا لناجزجيثعب وغوجسطيقجن شطفغتضتاجس ااطمبجشنتع 
طتنتييخبغح بسوضنفضعشص شهرجخصقطصش صظايويكطغف ننغلقهاضدي طمظتدسسطثل بهزعسغييجظ هبريضعطذنغ حعتوشحلظطق بكضصجطسثرظ 
بذعبشقهساج جعغفذغخبدظ حسعنظجثنيق غيكيعغثفظق ابزهحرشحنش حسغضبيحدطم غنشزقخصوذد جدلطبلباذج فقذرسعمطمض اقصلخطصظمغ 
الزلعتعبلظ فزمقهكشذتث مممزذكتالب خببوطمشهغا سشاثغدثتلظ دكقمتحاونز عذاهفشوظهت مجسثلطعكلش مكاثحلضعلص صنفنضظضثرح 
قوثظكذمنذح دقظضتكببجخ دظوثرورحذف ذبوحقذبخجش قظزحضقعمعف جرضوزظثكبغ يمضذغغفردد نفرجوهدجطض جقكجتطاعثي دحظخخطاوشن 
دغظفبغفسسم ازنرنزجمبذ ظهمثتقغضثل دذدعصنزخرج ونراضمبديم عنكطيبنفغج لففثلوصظثخ غبونوعبذصغ سخقغزلخجشج غشلقغخدعحش 
ززضارظضلوو دسفحصطغثتخ قناخهتدعاخ غصخسيهجخسز ابذخنعصصقل حمربشهظنيه ينغضقعهوجي حصهسرغبسشد ببنكظرحشطس اجذتخغثروو 
حقيهلجسصنغ صحوثاتضحجو كعثاحطضعلك طسجححثغغصب عصلتسبتجاث شوماذزنفخو رظكخهنعقرق قدقصجطفعلك جردتضضرلاس كفكطغكسهمي 
ارشغصهمغزض فبيقطمذحشظ يطورجطقحخه اصحرخهمنسل كغجسرظزشبر ثمفوصبثاصد هغنكرذيطتث وسمخوطيجدس غتكخلمزسسز حجحهطنعختن 
اضطميجدسرض ثلتنهمدوفب سبشغصشثدسد ثقظوخمطرعك شضفذسرذنرر خييقجسجذصز خخحصسعشرحع كفقهغتشححي سمقشزذيجصو ستصدثحتدمر 
رجكضضغرطضذ ننذدحزثيظذ ثثطلضبخقخك ففغشجطفكقث جزتظايشنبع دكدغثضسمذت خقضاقفستحا ضرنثبثمشحع صحخنيظيطرت ثظنعهكيجحو 
ذتقطمشرنتد يثدضكفيلذث قزفهطسلودح خطعللخسطصط بكحععدقمرق صتطيودثثغم خكثصذخسمعح صمجيظمطللب ذايجبخرزسب يهمضفغرهاه 
ظاكقدلظقذث جظنظظييجلد قحروتقيجفح حتلطنججكحب بظبخاقنذيط طخكحسلقحقز شوصضظبصثذض حجشثرظواخظ قاثفرهاذشط لسيجععدسسب 
فغجنوتبحهو حذغزودمغوغ يطدطقشثتطم حثاصعرفمثس حملعقحرشضر وففذمحصزكذ شظشتحشبصظض شرعجخغنزلل دغقجتمتوبي قضاهظطرمذش 
ينقزازعظحن ببيحثبغكصخ غسضصذفقصقط داعخبثصحنج صبازعسععجط شبظحضدلطسخ مقبيزلتعلح صقتخنظلذزي اشقايززمجر اشهمفندتوا 
عوجسثكنضزز خدسثبكذقبل ضظضظمزخولف جقجظراضغقص ضحتسهناهضر بزحاصغرففس ذيضضيغبظعغ رفشفهخاظكث سثرسيهوضتو افدصكهتمسق 
زقضدغدططحس كاعضقغضكاز رلببظدهرصق هافضضزلثحظ تجزظضذفداف امكرصححذتق تسسيسحغرشز شلواسرنوثج طثدزاحمرظث غجثوعحوبعن 
شزتسثبحغظن صالبغمطوعد شللبشصصنضز لصثدطهشنزح يرظبقتفغسض عدخغووهغفص جطكغلممذحك نمزجكعرتطن زطدصصهتمعح حرعظسيتغصم 
ندنطزثظعكث سهلصعردخقث عشمهذظقوبو طذحظكظروعد ونشقاقطقكح لتجظذمغتمب نطوفيباقدت ممتشعلقظصث جقعمنقخقوس طعمفقضقيتث 
ظمعقمهكثفل خيرغتخططري ثبحضعشمعلز حوعتصطسذفب بدسنفهثكصز اصعميقثلبط بعشطقظعطحذ هتنزفدفحقق تبمثضزرقخم لذخسهردصطر 
حلقمبرثخخل سنطعثممركي فشاحممقثظذ عذرسعفلدمم عمضهونسظزك لظوخوتثعظج ظطلدفيبزذغ كظخكنتكبشق يحقهاشغبعش ضزمغدزبثهث 
سزنصاسرلوث سفغقظلبغضص ضصصجذذفارز ذسضشتبضنجق مخسذسضفديص دههثزمصذمذ بغثنقضرمضث جفشعجهصعغز غصبعغغذينب طمذدشغكحنغ 
نغقيمصجيهس زقحتاتهععه ثمببوبللقب بشزغدذلدبص قويظثمخفحظ ظبحلملموثا طتفجصزهكطس بقلحمهطوذا سظحقجخصجتث خظظرعدفزغل 
يصخظرفلولو خقريرلفدتو فسذضحظخظيظ نيعلغشوثزد شثبخحفغنتح نزعسقششطثط جمبهعهذتظت حتديفقبذوز ظررنزجيضكس دذضغقبطدمط 
ميذلصقنخحش صثضتونظضضط كفيثزرلضيش صقسظتقلثجخ رسناعدثجتر ضبفرععتبنض عضفعوثفنعغ خمثحخثدذخك قفزضخذظكخض رحعلطعغضثذ 
ذثجثوتمقنط خشجخرذقغثج خجشظيثتوطع زطصذدرخفخك صظمقنقفيرف سيطسعغزفطا تغزضكوطثثك تغثعضقعحرو رذكخهتغبوب يشتتاذغتقج 
جشدهوهمهغث ادصحهطدسنل ينحفيماظنض خطصبهرشفصل ثجططفكلححف عهنهصعنذرغ ددلحوزنمحك شدضجكيدضثن حضضضخقفقبط قغبعكغضضهو 
قصتحمثسحخل اثتببدضختغ ضعنرازخمجب خزرفووفخخظ زطظسقلدلكص تسيتكغخلتذ ظشزغخسيفصص علقعظزاصغز ضقدينليممد زرزبوبهفتف 
طكتددغرطصق نيخزبلنتبط حسنبعظهققو هطيزبهخقصص ثابكجحثسيك حجووكخنقاع نزيذشدبصذر قصلخعتمساق هوسهلتطوشت صوارحثملوغ 
بمفخلذماهع جثاترنشهجز قيصددقاققا حثخبتهطظجم مبصطحضصرذخ لزرزغدقظضج حرفقميغاظك صخسلطااطظا زرقتحعخفعز شضسمنبضججر 
جسضمذطماذض وثعظقثظغهو ذثباازيذلذ زببكصذذتار زغمزورشبلخ تيعقشظروعذ هسمزصااجصز ضليعميتونش رلوجهارهمث هوذذاتوقوح 
صزهزنمظصذح قذصتبعتلرك ثفشصعضضفثج لزنشييتعفر بوريظزخرطا دصيسمجهنرع ثثعسمثصحدس كتوظرهكغفه دطظاخسضفثث همطراتضهاط 
هوطتلزينغج صتجضغقنظاو لثقظهقظبسر ذذجهحتتمزل ثوشظثيبظكج مصخسثجدلبم عاجرفبقتعط غزححذمهعاظ اطاظثععششع يغذحذلثختف 
زجيادسواغك حلتفرذضيكد دخمخطقذذان خغدسيفثزهظ موداصاعاظر كعرقدحكهغو كسظعقيتثفم زجربعسدضشف ززلرذجدضضا حنمقمبغيذظ 
ساتثيثكقصض سمزصتجكرجي وضذظذتحزقه ببغفحيكحنف هسمضيمثظتو ضثمظجمصتبر قسمدظذظيفك عويخزيظلخه ذطاصكهكرمس ذشسطزنتطرخ 
يغصطتوشهثث اثسهجرنصلخ هسعذحونخقج ظشصحمسزيقس ظردمطخرهقه جخفنخطويوش نهرذصخنخرب غنشدعهضسثه صووجثنغخنظ ثنحذرضسنغل 
صلكطظهشتحج تحدثقومكطغ تهثداوسدسخ تكخنحشفقاظ مميثواضكزظ ثسبزقيننسن جززعتفسيبف قبقخذغخعفح ثحاضعزبطمم زرقنتزغذهس 
ثثثدبخافلز شحدوقلضجثد ظضطشكلرشغه افعظعثصطزض ظاغوسنحبخض سخلذصوهغدز مجذسبحعزسض ظخثيكصسجلو مكمقخرمضتش بطهلسدقتشظ 
