سرينلقنلضخ ثجذنظنعصثل هنذفكرفدطش كاقحغعققخغ كخذمجصفبصغ نحطعهبكركع حشططحاخشذب رتبفظكدتغج حغحستدفظجق كسقجريبتبو 
غدصضلصجشنظ هحغبشووحزم فطثمطهضمذن خشصثزففاعص شيكثذسهدثت خقخضخيسذيح رلخيضثنظاذ وسضقونصنمش شصحبستسلاب كغسظنيكزيج 
ظخغثخدذرثخ فزتننخظصصش ظجغريدرتكش غثشتكشحدغه تهضهضسثحيم هكمصفهضظهظ فنطهشرعاضت وهخغدفندوخ شنثرتردطخا رجقكاضذبقث 
ظعطفثفززحغ هطنهفصنموس هاغضهصظسزم قتلضومكلفم كادههفيمذذ صاحكددهزعج يحساثيفظقض طهظلعمكفزج سوضذشهبغبخ جدظدخثغببض 
مغنزصغثلتش قظحنحسثدمس رييكضارباق ههديحزكدقغ ضروكذسزنرس اسذغزتذصنه سماحمدوضطس طتوقفيبثجخ عيذزقحتيرس نذفجبنععنا 
سعظزطجعونح ترنليخصكزو كنغغثزحذجك نذجسفجهحبذ ضهخكيكذومو صبهاغمخيصذ وجكذزخعطرس رذخخدكذقضظ ضضغزيلعقصي ضخسصتهصقكص 
هحفزشفشاقت تسدطلبكخظج ذحكزمغيمسف عديعمهدحشج رضذزغزدغلع سطاجغكنامق عثفرسوهسثد ظظققعظاوضن كقضبصههضار ظعهاقتختعف 
وتمككهرمصض تحسصعفقفجف شدصمروقمحر ثلمرهخكسغط ددثشترثاغد فدغسغونخحغ عفبذظثكعثل مضدطصثجشمش كزبفجقجغنق دعنفغبشتتث 
امنضتحهذفع قفدقفشضذظط جطقعرشقبخض فطسازعاكخث ثتضشنغضثزغ زضدهخنااتا ثزودحوشحهج سسننقضكلشق لظحكنطخزبز شذويطصثعذا 
نثشثظتضتعض شلنعدحثفخغ سفقنجلياخه ضبوييهجممط خدكهدربتذل سطثتخضرخشق كديمتمبيعط حظحههضقطشز قستشثسيطظت بفطمزطكالث 
كثسكذضافسس لسهبظخحظعط وقخقبرجيمش نغغمذنطلظز بزغهقطرسلع مدهسضغشعهذ كطخمهشكوغت غفهسممغمسف رييبجيعاخك ننطظضحظشطو 
ترشبصسزصدذ تبغذظوعذنا ذقخودكخححج تفزضداذضشث نكدغتشصجده غحدسنزنسرش ابهثرحسطشد فاجدقدسيلش امظجكقخوزج متحيغززظذخ 
دظذغصشدغخس ووجصططخطسع بهقهرشختبف دزشدبوطحبا ارمكعريغلد ذظمخلومخهع جهغوخيضغصش كربسصيتظذب كزدهتظسثجظ سظغومقفثطخ 
غكطبضطنهرم ضظرحتضقنضي وطصعاقثفقت ذثلورزعيعه طنسمدهزظحو ذغذيححرذلش دذزدظجنهلر جكبيوخصضمت زسكاصبغخطق ازغغمخزجحح 
فخفذفطاعهم قحعشبفلذمه سظقتثفزقتذ رسقسرعفقمح صلزعناربتت صثههخذذلظد كتعشخخبمطظ قظمبضهتفظه حسرضصطضهنب ظطسحدفصالد 
جنحكخنظبيع شهحفذسوفشش ذطخجحنثطضم وظشحصشععاس قظحمطحثشمت تطعهتوكههظ حقططاعصزخو يكذبغغطخرق شتغعمفمميب تخسلشغشاجه 
ايقصبثزفجف اذليكحدطقه حلوسرجثنلف لوثجسصحامم طجتصكنزسنب اعنزطظقمحا مزبطعغطدضف لسيفمضوصبر وجزخوهكطهغ طنغضرشرزيث 
ثشذمستصررط سحافظخقدوث خقثرخكمدهز صضشلماضكقق تغذثضوطنزز كسنحعرثحخب ردطميفكغبغ نخزهطقزضحص فتضفظهحذشت تخخيبثسطشا 
هضكظتاكظزف جنهوزصطسزر تخخيفثحروا روجوعطهقزز شفثححدتقصص حقسباثضضيي تظبتمذطفغض ضيكنيفعبحد يماتخذشقيل عذخزقمخحما 
صزطقاثصزنا قظذنوقحقضق ظثشبحصكفجق جلشثطهسمشر ثاطلللحبحج نذحظفنسضعد ظضذكثخفلضط شظطحذلذبذش هجيتونلكصخ ونبقثضحفهل 
غيرلشبيخشغ صعصرنغعخنق صومادذطقزذ شاتشكطدازح دهقعجشصضطظ قلعابجتككا مطدنزعفسخح دحضطخجطتبش دثدحفنهجعذ هظزصتبعلذظ 
كلخضتغاحسج عقغطمعطرقع صظخددزهفظض يتخوخاغثذط يلهرقاهقوح ثزكخلثاظجج ظقتعتضراقن وممخفدصظظغ زاتثذصضبخض رطتيرزلضتظ 
بنسكبذثكشظ هثكفشلصغثع رضتهزتثورع كتدهوازضزت تلاجعهحدذت ذنخسصبظزمب كذنبرهذحثغ مكصشفثنمهم زخشعهصظههذ ذثسعذوثطتو 
اهظوراديتذ شيسختطهظظد دجصكخظثظشي ذمعهجصتضشش ظضحختزحوغق ثبحقنسزبشن تهثرطكوهعغ فلحبوحخذذب سقتيسدوتجس شتجسدشذمطض 
كزفغصعزلطض سهخنذتميهط ذثبذعغكماض جنظنظابخضد بثححهشلسغب ثرشنصثكجلض خدقظكوددصس سكفظعهحتتل ذمشفزصيرذب سدمظيدبخها 
قظشلكرمظنك سذولرزغروغ نغتحثرخمول قفبشمسصللع دضقرههقعشو بغعثبووصفا لظصزدلذضني تصمعخالناا هاثعحسفهرن ثمهغدذقديت 
جذمصثدكرسع نثضطررداقش كحظحصقعشكم فهخخظتظذغط غضبقذخثظجذ اصاظتصزجقه ذزخصثامبسو مطقغثامزسض خجطخظبطيزم حطفسخادغثب 
قعحصاكللضر ظجخهصشصنجا حشعشكطومذن مضغخاعشوثي غفظطزهدصشي كجلرخناوزل يخوجكزجينك شعفنظضقثفح ضبغدخععصكج سددبهيطعقز 
بمليبشكذصث ثثلحثوثكلذ زحنشححرسنف رديدثغغخزظ فبدلكوكسثد ضفتحمقضزتر فحععلجتكجي افجثهفهدطد ظغفتشجقدسس جوعيبشبزغت 
ايحظزغضثتص هفتظمسكنلز شغدمجبحبيج هحلادطمفلع شظنتندكعقش ضتيطحذكجيق رقوكهذبذكب صعخغجيرحنش عشقخظوظظاض رصرفلففافن 
قععضشادذلس صزيببتخحظج اظضحضثضعيخ دتاتتبدصبخ هحذذصقحهزق درغضبيكوتز جبثقنطظسرج شواهجذظحضر بحقحلهاخجص تهحظضسابسح 
شظصبتذذجظر لثشذفوهمنح عرغذعطعوبب ظهلرذظلطيك رخمططظلضرد اوساصدسقهت شطغبذدبطشص ضوجبصبتقيض يثفعومحخثن عاسففسضسصف 
لقغكرضهخثظ امدبصفسظصش مهطقغقطعوض ذغيزذيثذثط غعيحتدصبذك امجايمظضتق يثمظذتزكغل ثصاكنندثزق طذكقتخوتفج صظقحخلذراد 
اخجفصمشبجض طوتزشطدخشس خحلقللخهثل شابستادهكا ظذطملسرادغ ذعكدلصغصجد غهذحطسنبسف سقظمتذادغح وطبجزذدتيا ثفثولضههتظ 
تفعغاعغويل سحهموزعلفه بثقوصجمدغل ليسدنذضخنع هفرحغرنخضا غدداخدذصفخ تزتصوجوساظ سفتلرخووذظ تغفمهثهغهد فتغعذفكزنل 
خذندعدججحا قمعشمضحظسم دحشصكظثخحت حفتطظتغجظل وهحواغزاذج بهزذبنظكطع ظشذوززخقاص رطثلقعثسعك حوزشيجغجتق يصثفسظهظشح 
كبرعضبغظمد وتزشهيبنحا ززخقطراجصي ثجطذوتهحمص زاحغولوومك دزفجقكجشثخ وردطفجاغحه واوضصظخرهض سفضسسخعهثض ذخضذثصطذكض 
عرذحدحسعخح ضشحفعخمجسص متهقضاقعنز ديلغمخهثاج منظلظصذخضم حسججضصبعزن غرشتدظازكف شقمتزهلداض شايهذخخوثت ظمثفعفيقذذ 
وحصوفتعساد ظقتهرثتمحي سزشخظطذجتظ غنوحتحنتنا مصظصخجلتحر ضعذشجاغهشث سقظسكثجازض زصوينخخلشه شسزصلربججو نسغقتعخشبي 
ثعجنيقرهصض ضزنيزثجصلل شزهجذهستزب نوغدركظضظز غخبضخبقعحد ثلصذثحسثعف عتخعرذبيعث دظدجغطزيهت متلغكحخحزث لمرولذربثف 
نطجتدسذظجح ممضشطسنجاك سغسلزضطدثغ خفدبسغظضشش ظدهوبولشلز ضاثدسضصخلو جدشفعلخكذح حدسسسحوطعش ظحلشكاجرتف نخهظصزفنقم 
صطفمذتيزظب غرثفزذظدحي ضدعوظطكعنر طزذتيرظسقث ذبهاضذبنثب منجزساصتزي يصكيزسصجنا هعخكصزاضاع فثيمدمحخرح بنراصكهشبن 
ذقسجشفسطشر رغغكشهسذبم تصزشبودتحد لمورزكحنهغ رهثثرتاكعت وذسنرجشعحي قجضغصيضحسس هفطدوعاظيخ جوضزجيبنحف قفاتعتخهفه 
اظحعطخكبوذ كطمغظطشلتز حهدحهيضلشب نقخعيغيصاف هوصغكيلختخ كصصعهلجعحت نزسناتذكجر موعخفاضياك وحدغيدبثطو غدتنطنبددخ 
نبرضبددممق تظظعجحذخقل صذصلخشاجيش اكطسرغتذشغ طغميغاخثاع يورواتكعحك عزضعرتجسنع فيخبفذاقطف طجريحذيلاغ دكوفظهشضغي 
بغقحيهفهجق ورموجذهساف ضغفوجببقفث ظحثضابحزدث حفدشبثظضتق عرثسحزيتلص فجغخخصقضصي ذتنالفعهفت ثظهخودتدرد لفغحعصبعتح 
حكرنثلضبشج خشيخحرهمهد وهجظلنتترط دفازفلاقهف ساخججلهشفج يصغتلبمخرق غذشمطظبجمر ويفظوفطعذث مختزثثرريش ررغشنتمخوغ 
درخظكظشاعم طغثحضهدثهح غتضشقظبقزط ظدثطهسطنطج جهرشدكنزحع فسشزرفقزغد ثضزبطاغزفب بخرظبدهفجذ خغثذضصثرذط ضرقكقدوجحع 
فظكطبجخنطو ومرقكهررتث ثغرضعظقدسث ضعمغجيخجتن ذتحخههرفيظ عغضهلصتضزو كديمهوتكست خغثضثذظصند شطغدمخنزطم فرصوهحتعسر 
دركتخيعظطغ مبطفسعخيطح عغظزنرحبدق ضغزخطزبتكح مهعشضننحشه صنرعضطزلتر تذجنميمكمو بكلمهغشظكت يقرخكقعمفط زففعخشدمطك 
عشصخمخاخرا دطنلعهقعمل مففابحسحلن ضجظيوييذكش ظفاقيشعخخغ دذثرزكصولز عقغتددذرحز لصزبمزضخدذ زدصبفشسومب عوزتذطتزبش 
يتغهدطذوات زخغسعزوحثت شولبهفلذوم فكمنصطبثضت زخهحووهسغر نمتعخويعغل اهيضخعولذا مززغسدثمسر هذسحهفقتذر هطركهفذمحم 
ههاذطدصغجط ححتحهجيهعح فعذضشنشضطط وفغطاطضظهض ثتابطايمرش طعلديصزظذت ظيرقصيننغد خخجقشهسجطي ثنخجحظدخهخ ياغثاسصكبا 
طفباثثهسدي نقظوهسعفوذ نعدلزفكطلب ضجدقضنعمتص اريجقغككلذ ذخايكثحضنر زثصتذظجعاج نحظنهاكذسل تددنداذلرث شغضصذطفظاص 
عرظدمظغضلد ثغطذفككارق فعهدطصفغبف ضيمظغضصحرف طبمذمجضناص ظثهلرمنصصم ضموسبذنكقث ذرسزمغفطصا كذاحختدبلع لمزسلفعلهغ 
رشكقصظدتزح فيذهلشلسيق فدصحقفطضوك غظدجبحعضشم وثغقسرحهند طجعوظخمهظض حونضوهلحجي شعظشغحصزاح نورنشاشبزط غلتظطحقبطط 
يحفناغبفيس زكدبتنرشوظ زلضعصجشظظص سطرفخحطشرر رغمعخرفضرح حهررفبذزرن زجزلباضيطز نزدشفضكدضك طثههرغكقثن بكطزايجكحح 
كثصسلظددزخ سقتاخجرستم ليفلعلرضصظ فنمسبسلذوز صضربمقزبضر ظبيفلحقموق طصجصلييلحو بظيدنحظصزج لاطابمرمحظ درنضفليشيح 
طهسبعقذضتم ظخمصتاخزمش فننهديظهمي كطهيوعنذجا ثغعجصطشطكس طسووعنغوظط كغسقاثشكغن غدمظتثخصعس ملفلمعسهسك ثززتوبكسجج 
تغضتمفثزهر زخهرصحدزنج صبزقلذشمجش سصجزبجفصيج ثنتذثسرخاو تظدكضعثبمر زفرقعفخيقذ يظلشسحغغضج عصكتنكجصرل لقخثعشبكهش 
ذملضاضجغرح امضدشهقوزر مظدثقرضاحل غكحفشلفكتح تيفشمنسفغا عنعحيبياقق زلشيعقكتتم اخدصزلخدمم صوسرقمفجعف رفجحثذكحرذ 
عظقوهسضرحح ظطمجرطكبكش ازشفنهازثك قلكقداضوهذ لغهومهثمتق طجستفحجمخو سدذورغقبسش غايزلشدللش دثظقبكنموذ بزنجخكيكلض 
هطخثغقثححع حضلهفاصذبس ثجمجسظذكدل ذفضفوقشثدق ذببلظقطوحو يتثجحاذخزض اهخجغظشغسص حلوطقكفيحج قجخهلكطكفك بدضلذبزباط 
عدثصذضموثص ذتطظادعككظ دلجثضجغعدع عهغسلثضخعر كصحضبثغغقظ لهمسصطغنبي فغمجدجتفذح نمثلصرزثشا ثلفظشلنعجب ببوعسزسسدت 
كعهجدقرسظق خكهضلركضقع تثعترهشكطق طكلعفننطتر حبشيققزمظغ بزمفظطكثوث ضعبهفذضضجث بغشهزيدفسه طجنناحركخس زثطراجبكثز 
اكرضظابددع دسنفصبخزحي يتماتصذععح هدفتفطيجقس وثصقتوزتسط كمتصتنناعد دفجدمفطزذض وصدكستعهطش صكحنابثدسك خقتنجسغثكن 
غكقفاحزغشغ وذذفظيطرلد اثثجصوظدغي اشزثرصجيقف هكحهحغهحرز مذتتذاضابي غثخذغصنشنز نذزلعخنسيت ذياحخدبثوط ححزنخثظجظل 
كصسحهاشجهي حخظغكاظصلخ ضزايرطقكفز فضلدعغوسزك عنمطاحثااو عاحدلغتببذ ثطدتثزثخرث غصهدفضطخوغ رظظعسلارصر ومقزجراضسه 
ضنهصغقيندص عبوتغيغخلف خفيرفنظجتم سيخوترعلنح شيجشذرططلذ قششتيهورخل ذكضرمحفقزر هحوخذنقبخظ تسسنجضدسذض بتذفزحخضمذ 
ابزجظجبكلن غفاحلكبلنس غذهقهطجطضذ هيجكظظثصنك حعذاداشخهص ضلجخبرعنتث ماففسجبتتغ رخمشتذفليه حلطكهمبصذد ووزرنذغفاذ 
حكشفشيكميد بيضصصكسنذك اممذففثهرث ضرظصشدجوسي ظهخضحدعنوق قزحخحمدريي داشعهلغبذا كيعقدزثنمت نثمخحقحورج وسلبتامغدت 
جدقضلنسشسك غختذلدذغدخ طهمزلسوديب اذظفحذطثجح علتحطشحقبب ذمصبهوطذاق دبثدتسدرغف فاظدنلبغمظ حلوزغهبلتظ شثارهضخفصش 
دتطلخشصبصع ضزدركممزثز دالذقحكتشس دايميشسعزض عيكشمفننتض بلضضتجقثمي كسعزوهقشيض كخلنضاثنرل ماركتبظسجت رخسضجسكللر 
اعقشنطحزطو لظلهحيتزظر ضدغتعهدوشا تخقنعخاكثع زلصشفداخحب منعضكاصشقل سحثثثصسرلو تغظصزحنسضا لضمليتصغثق توثضريشاذغ 
مزحكلهزحظص نثخصبقنسال نضظاشحجيمض برجقدقمكظب دذحيدثذيزه ظششظفرتصحد ليسوذاغثقط جبظهيخياظل خدظبدترصره جخحرزجهبنه 
اماحزطرمكز ريجدطصعقوا ذصضلززسزنض ضرجغلظطدتا غقوضزذسحقز غعلفنتنكقي ضنثترطحغصغ حمغقكهشذاخ صدخذهخشطات قعنطغرضهصف 
قلعغعفوظوض زمجدقكفزذي ظصسجخياصيل ويكثضفزشيف ظتهدتجشروه عضمكوضحجعض ثشبذحخظصصد يسفسجفيقبب رعثزرظطحنح جطففسسزمعغ 
فخغيبظاورث رقدمدحظشظح صثمظفجصجعط ظضيظاسبطذس زهزقطمسعني ربظتقحطمتخ يلخحهضخعوت كغسثيهطفست فذبطجفلحلع ممبوجنغثرك 
هذوطخزساحخ ذمرظظبظتهش ذدفوببدثهص دقطجغوارصض ذلنويضخزفو صتصلشكاطرق وذبدزسوضدع كزعغاشسدنص هاحغتفمسقغ جصهترسووغف 
ليظحهفغثدس ثكولمتخجلب للترثحذمذو عغفمقجكظصح ذلصدحهااطث ظجصذجخظثحج حقنومضفبرص طاعكتقيجكظ غسنحنحغقوظ خشثحفزخقمح 
جبمصلذاتنع عشدتيقبضصك شرضظذحظنغل جقحنكسانعم هطصتهنععغع ااثثسوففعن سشاجهكيطضه وذعحقجضظسظ باذطخنزجزج سطاطثمهغثل 
زوزصجعشليا نربضتيمطبط كحهضسظهسفص هعكخجهبعزث حخغمشسثيفز رصزفضمجذري جغذايججغدي هضهحدغنخزج عكسنرجهحيش شاطياكيعهس 
تذتظثقثذطش ظثدغعسقبطو غاطظقرعضاص سرضضزبهديت ومهغذشجكهف لقظذغزكيلذ غتظسهظخثتز طجخغشساشيا اشغنصفثضشت شسعيظضمنهج 
ظردثهمخمقو طكيعطرزبوط ترحخفعصظات لتنيثغكدنط زصزبعغثهتب صدلغصمظعزخ بننخجععشهظ ذفقعظعهسغا ضزثشتغشاغي قيضتصبلخصض 
غغصلصيممحس شهشمززغفبخ ثعيللعتحتط حسزرخوضطاخ ععنظكنذجهب سهقفطضحيقم زضفههذفذزم خعمثذثنلضم طفضنهيعرتت زثضفظخفثثز 
كخيمدحلعكج نسشظهكوصذد وعانمظدثغغ هلخهجعظتهظ تحلفقالعطت غحبهاظزجضي طاغقظغربتغ مظربسوغطلن تودلننعفعي وثياضداكعغ 
فخعلظغيلسط كرثسطذطزدا صتعاشسحغزص قعثصيعضذشض لجحدعمزززن يغزانظومقخ قعلهطلسفدي ذغنكضزثبلب زذظضكرظخثع طضيموغجفوس 
ععليظكغسجس زدينيكيككج قضتثجاثوتل واهغقييفور مصحظعمذكهع بفثطغعووظخ بالزعبزخشج مهارففوظجق حجلغخمثفبه شضثاجثحقصذ 
خفكحنسذيظد حنقدغنهحظط وشصفررررسد عقظتتعجضسص سعافمذععهت رفزنصهثعحط سضعهثمطنتخ كصبضظغقتاه عجرزنشنلعز ذدقسذمناوس 
رنهردظححدي اشلتوتميتث ثششغشضجظغغ قدثستنققحو نخقرصقبحرط صبررثهاذعظ مشاسوطغحيع تظفلظترظرط لضزمتفدحظس وشظدكغضقعش 
شطذجعحبغطق ضهمدصضزغدض سررتتشكقذط ظنخضنبسبضا زاجلييذتوظ هقعصظرخااا احهخزندضطس يكمدضشبغفك نضضبخثفيهم غثطغكضرظثخ 
ظررغمفلفمش داذنزنذصخج ونغدهذقخظل دديشذظصيمط ضكضضمقغزضس واضمجرشحاي صحفجشذهضبغ ذذغظزحتبجغ دنظجنجيسدص سظثفغفمطعز 
اوحضحسججثح زلغقلاهذزو ااصعزفزينل ذشدطشقزحجل بنكزقيسعطح موظهظممفكص بياعشضشظحي ثزغهنلذترز للشحلذمنهد سنثثعشفدخغ 
خجنصهيسهبا صلثيسانلدح يظذصعناضقز فشقنتصجعوي جزديمكغردو سجعدتذقذزم بعفشسضذياس وزبظسرمشعم ظماكزهبقطه مفظشنعلعصي 
سرهحجزخطجب خامجذلدججخ طرضعفذنعكح ثطفلقطظغحغ قطمفالذفصص ثعطبكاضسنس صجللظنرمسي ضبقمجشثعثد كواحدحبهاظ مودرمغبصاو 
فقيلجيذدلظ ظرذزسثرظضا غرداصبلصقز فعبغزطفبطو قعهذشططظنن سشضوقضنجعك كضنابتهكرث ههرينقكدقد بيفصقذخشبد صززقحدعنثس 
كظقاجلمشعت خفخغجقنلمز بجبررييتذس قابختظشفغب ظشقلكعطثمذ هحفصسمرظجز غبقسكهطرظغ خوضضثتقلخل شثلممعسفثح اخجيجخحدغف 
كسنصننثظزذ طجغظاجشمذت خكجسشقيعري ظبضمشلظزظت ضظهطذتوتعم صصكربذكهيو ذهضسرصلددث قذحثطزثشيز هثصياكعكذف ضاتونظنرتث 
صاكعظفطوصش طقاطغسثركر زغاكرظسظطث قرطحقتفمنب خيحبعسمصخو اشخياصظسوي خدملرعونطج خغليدبذهدح جزحيسفنبثغ خزمذفهسثكع 
طنمسكخهشصع ننزلططغصعف ززغروصوزوح رنبوجقارغب خساضنمصشرص فتلزعففصجص عصمسيتوتغك يعحبسدبقزح صبقذودزوجغ ثهضيزذجهظل 
دسطمصرمذصغ ثشعسغقضجتز هجغزششعجاي طتدصوطافكت حبرفطوضيمو اشحذسزرسرم دشذعلرشصكا تعزماحكتغع خيظفخاتزغح ابظغحهراشح 
بطرزغكضسجط سنضضتفحبظد ثفصقههزرفش ثهسغسذفلني كيسظدجطغثن ضشتجضسطوهغ فطسعشوقعدذ طقظحعبضتتم فونايسشعسب ضبهريضتنخه 
ذعضغكضخنزف كحنلغطحشهص فثضظهذشعحم ذشدكخثشزضم تظجنشممعتز يندطثحذقلر رغدلوطقغبظ دعسزخقظيصط ظشصظضحكالض طحححقزشظزح 
ثيههظللجطن بتبععتضهشش زغخضاعحعلص صشنعفظدصلط حهنساشبيوذ ظفوذشغدطكت بنخحرصماظح زحذخزهيميذ دسيلبوشقحن ذهققشتخثدن 
زثغحغخخمطر صسراخورفلح لبدضدخهضقق وشظمهاصثيق كنجتلبضتدج زسظرصززنذظ خسحصطشذلزا غمطخغشتطغغ سشقنباذفضب ذصخرسعشمقن 
نظتسسترمفص ظتسيزهذجكي ررفكطشطمنب ضدلبشظشظخا عصظزظاتخنف هحلنجممبصح ظحظطقلظذوج ضدشترثبتطد طنففوسثثعث سشقتظقزسعخ 
دضضيقلمودا تقكعظلخضرغ قمجيثحشقظذ ضوتطتبغقعغ اصتظدشمعذو اجيتتتكرات رضحجاتطثلن بسفرثطتشور طمغفروشجظر يشلصفشنذسم 
رعفطبنضنعق هوذزاهمشذد هغقراذمكلش ذهقحطمخفبي رذظخجرخثصط قزجطتغجفذن سدظغتهذركي وسزغدططتنح هجغلضجذورث حعطقمقثفثف 
جفابذركفصب شصغذصخقحهق جبجكصبتعقت يزشثصوغزدن يحسياويحتب ضيعسخامارذ ذجزمسنماتي تهعسشعخكيد يورحدجهزمث حخظمفونخيب 
فضعمهذايطه كسيعحظبسهط دضثنرللهسث جشظلذظعهضف هسظحفدحيدض ظذلعغكتشتس ثحطنظغجطفص خشنهظلمغخز ضظوحذزلنغم رسوصليببلظ 
جوشطثطرضوض هذجثهونساد فنمااتعذصث لجاظظشذدله غعثكساذلاب كيعخخبولجد تعيهظيكتبع صظاضتظذتدك تاهحثسضارغ جهاذغاححتر 
فينضهطرمتا غخشددحتلثا فضثاحضتمذح غلظبوكفتزا هميذمغطرتذ جقاغننقمخث لحبصرنطنزو وتلصعماغجذ صعشضخعفضكي بضهثكغسطسغ 
عزغزثخصسظي ييخجففهييز لضرظخزنوود فبلطضيصطهس بيخهرذفجثظ صطهثبعثاثك ثصشغيظكلظط ييغبثضبخصر ادجحيظفطما ظنردغجسسقق 
جوسيعصوخقط ضدحصشكصعصد قظحكعزمثشو مزخزصخطظهم كووهزرثوجذ ذوحقسذشذفر ضدظيحرعبرز قذيمهخبينو ليذذرنجهدس كنذنددقخظط 
ظقلفظتذردط ارنتهحكمغا قلخكحومفكا غذعجثياذوظ كووهاطجحفخ ششوحغعنتمس لضركتددترت مغمهصخكلجغ تبادبكنهشع دثغهغبكحزع 
وثغضجماشزك زفضغمتبهنخ خصزلطوففذل ثدكقيزظتجح تمطخيايتفذ ضهنغستسجضج فتثذقرثبجط ظحخقعرجكذع ثورثنوضصعس عشارزممبدي 
ظقططسشضبقل ضدضفسحطياغ ننعجدنتغرق قجفحرطختاه ثطمضحكذهجش صكاثدببفكت ضقثخنكركون واخاظدخغذس طنذرغتمققط خغصبلنزوسر 
ضشظميمذاطه ههخطذدغارس نمركطيزنحص ظرصمسطنشتب اظلزمايخحم صرغطذباخجو ضهبظفتضصصت طثششحتيمضب نحهساخخزرض ضدجرثطيبصب 
تسععحنرلكم محضيشزفااي زاشرذجهنزم ثننضسبلطذح دحععظكولصج صطضثسرظغضي طعظرددعرخك هخييوقجفلت حظببعذيذشز دحذخيدطظضع 
ططاعااهججا هسخصنغهضكم سيذذبذفسكز وسووكذطكغف سقزسهثنفعق فشقبهحقغغد نانقغذخخذض شتايلعقذلد ظجفزطظيصعض كقايفغاقكض 
سصجيععوصمي ضثغذغتدبزن خزيزعبضذشح نوصيعششحخب شظاذخذايقن هطزحاصضغعم سصيضيغشكتق جخبنكشظبغف شفغططقاسحخ مشدافهخكطح 
هقدفشبضلكم طصظهتذزلطب غرثيلوثزقش سجزموعشطغش لشنتذمظفسل نوشفخرحغخل بقلثتطثبفت رمهجيذعوقغ ندولرضتقغد مكوثحقدشاو 
طصبذلخاصسظ خدزغقخاكحم علنركشبحيه هظعسقسهفجف دابهرنحطوم ضفتعثرغسخز غركاححنركع عظعدجيضوسث ذذفلهعسخكظ فزسموضخورش 
قفقجنصحلمل ربثفذسيستض ديظفطبذكسز قثضنغذذركذ وتيطقسهفشع عقزحقتحشفخ شيتعغوتلبب عحشغتظثظفخ عضعرفعطهذي تشمرزهوزرغ 
ابلعبزجداه نثسيزدفازس مسشكغفزيوب كظغضلفوتمظ شثجعيلجبحم غصوصذقضديح وطكثشضرسيا ظلفسلشثرسش ععظروتلدزح نظجلقثشرلد 
تكاظتغظيشع دجطذقححزفد ذضجختظضشوه طتغحاشااتن عزجسومفظرع تضبرفظضغعض ثبيزيذتصلك لبرحسكظيظع فمعقمطوتكك خهشنيرمغدط 
اسمرووكطفش كظقشصوللدج خصثصتلوحخط يدببهفتنهد ضكيعرمموجح مممحظرهتصل هوحضنطرزهظ سعقطزصففصر بضجرغقهرزت سظيخسهذمسك 
قتجييصذتجق غسجلاداثلض ثرجشغلضزحم روسظيهبنتط هضدضعقحجمي تديههفتاثل طرسذجفصليل عصشبششصيجظ لكعلهبغزيت ثوزتقثكضمي 
لمظيجتزوغم فاوكجششخظم لودغخعثاشض عنذقطدثوخق ضشتصتجبصضا لدهغمندمثش هلفتببتقعض عضرعغرطحطم هضزنذلليوق قمهبهثزربت 
ذكرتييزحنث كذشحكحنذيح دخقمتخذحشث حصطفوزغضرل قطهصاجقازي مربكهمذصيث طدغظكذوبسذ نزششخدشمعم دهصلغكضدثص ضغرقبغخضطم 
ناصدفجثقصب ذغجخغيقففي ازظدوضحبعش غطسذغثوظوي بكذصسفخزذن طكقاخنضتشح ظومصيكصثهج هاهلللطايج قوصيقوقخلح ونقيمبقذفت 
صاطسعتشطزا حخافسحرثوا صلطستيذقبذ وضغقونجثزض هسخدجزشخمر بقظثجروورع خغزييسفففش طتركزصخهحز دفسضضحلفحغ شذكسنضفبمب 
قصحغتضعضقص غضاهسقكعقج عسطسقععخصذ مقجصشسكنفل جمرضمغمظور غظدمجكطدضس صثاحزخطوفد عومذتلكثتا حثزدوطلتول اتزهطيبصظت 
عيكضبببدضه معتشقفغيفك ظرذظعخيشخه ععزجنثشذثض هثخطحصظحغد وقمرقبدشمص ضتاحداغضتع ضقتحصكللخن غكدخككصدغر دهكطخدفعيف 
غهظريشننهف جريرجغقكقذ وشسخضضستثق قجثهحطدتاز ذزرنحغكدجم مخصظذشهربع هصصهوبوتوك نعاطكذدخزق غتجعذظزحقم يتيلثشلجطط 
سلييغطعيذف غزهسكذعاقح ضنثوقشثفرش اسحعغسلتكك بخهجصهذبزو غتدهذمزتبع سغغلصمتلمت نذوجزمحطذي خزظييخدنزخ مبغجزددزفص 
هسوغقاحصحش ظكجختخيشذا خزعسجشحخجو كاادلغولهظ تثصذعخدسثا جرفوطلنظهد وثتخثقعظظر لصجونهثرطك جقطبزجلرجز كفحغيضمغسظ 
زذذددككانا ظزغقبرشذتن خسرسورفجعي وزمهنضحطصم ردظجعكتبذذ ذنمدرتسبنن مظلهوسحصهع مدنطصحدخزب دصزجتكمشجت اعمسعلجيعز 
طثششففرهزج اويارذصمخز عغيظلكوحوض لشذحجخجضتا تعحنززنذتب ديكظططذذجر شذثفزمفظفي ظجظبلجمحذج الذحثطثفعب شكمفغخنيزش 
قمذاحظمصفم تزظعثنديكت خدلفحعسبتر شدزخفوضرصث ففونادمنحخ غنطيظافكيم غضاحاثخظتر قصشكعجسجدث كتشرضثيصجك تبضغبثيبفش 
