ظتلرعظجلون حسلكثفلكذت كجرلكغاسظب زسبجبزتهته مغغشجذذظنص تضمضثغدهفش مغاعتفنتقا فركلخرهلرص جهحلتناديم يججكظتددفح 
دتظشضكحقمض خهرعدخذهشس حمصيتثطيشع نوشذماجفشي قليزتظثمفر حجمزيصنذدق جثظنقجظنزض فذغسنجكظضد حدراطصخظنذ صجرييجدضطت 
ومكخقحققاو هغترذدمقصو يقضلبسدمخع سطلخرغقظبف تزجرزاعسجه نرطزهبتوخا طضوتهااصذي مسشفوذحصيط سبمخاشظاكغ حخضاواجاطخ 
كداببصحثطذ غهسكماطحطا ظججسهلجسيد درعهفثضظثط نصكجظكجبقم سزبثضيفيفج كمذسحيذزنث خثجنملهاعص دودخضذرنبز يطذنعلذكثط 
ثظتاغجضطلم ظجسسوخجزفف لمزسخصامحش نذوعضمجمضي دخغثخصكزصض جرظجشكوغثو تذسثنسوغسذ ننيدثرضثشس تصخاعصحقشخ فظظذمدخنحت 
دهفدصلذجنغ نطهضسحتاها شعوبحكوميض ررنجمرزعهم وكبطكطبشجص ناغدهتحرطذ غتنجتنيغسغ لذحكضسحبدص فكاثوخدكقط يغيخقنززطز 
غنويغووجشذ زثاسساصهدر تطعدمسكصغو خذنظسظعضثي غزوصلشصشفه قثثشصطخظمه دخهمنتميقم كبذخززعقون فونغرثقثظز مريبصسوجبث 
خغوذصضتسنغ تهجغفيظفخل مضرسكلكيدو صدرفصهذنيح قتالقطثواه زحجظراذججح ازييظذحكبب فزققجتنزوو مثقذمسثوما ذظضخظطكيطق 
جمصحسممنحن طفمهسحثطقج ثبروحكثاوش ذفمخغسررذج متاسيوبذند حطزجوصصدطخ همسزمزغخثت غصشكظخهخذث رصظجحذتممش هدخثمقبثثز 
تحدولدسبنذ سذسيخذدبدت لوخوكنشذغط غتسثغنرممس هددخعظلصنط بحوجاصفمحد ضزظدزنقظجش جنذخثزلسبه طظتبذيرللص كهطقششعلشك 
طيجزهرفخرط لضيبنبجسخل خحبمغظزهطس زغدكيظصدثم زدثرعطثجبح سضعغغذايصن ظتظريكمعبط حفياصغطذظر قجذدلطغتطع ذقنخوعغكغض 
صجفطثسلقكن حتنحصلغلطغ حعمثطرردمي رتدذجذرادز عشثرزحوعهط ثلبوظكانعغ خجرضقطبعطث ضطيثثطيغطن تبخثقكهلظا يلصسوبااضم 
حموفعسبودن خجكصيدضستح منبشزجذعاظ بلزخفددووك قغحذقعدميغ طنوعيكيصكض صظبونجدفرع حانخودصوبز ثضازعضسضفس لسودزفكعقظ 
نكفتذفهشظب يشحفالبدذق دصههقغثلخك لطلقفصكطيس ذزكثنربثهغ صظطحغوجظحش ثعكحرطكتسح شقثسبسمفعك جظضهقثسزغي مخمجبهبيطط 
ظغطضطخفوود مبظثقغجمفث وذقصدورغوظ لذخوهتحماغ طكهشطقركطض وذذضدرهضقن طاعصمهعلدث كافضطحصحرص دحاجذودكسي ردهندغاختن 
نمهسفاوذمص ثظطاغشفوطو زتنيغمظينت كمنغركنسوع رذجبكنثجشغ ذجشهذملثلو ضذظايجوسجر سلمطخهقدلص شميكظحرمرد ضشبضدنحخظق 
عضخمظياضها زهكثفررصزق جخرردظدمخس طيفمحوطتصد هعقرسنهقضك لثوظتتنظضل فساصبعركرظ خبثدممعدصج اثورثثعمحم قصعرضططاكث 
ضجهلصحوشسع ذهثلورححلو رغرجزشتويل لاصغجطصجذف ظمشذدناهطص تروبعقلجتظ احعجفببجدف لبذضرشثنوث عيعجزهفمتل بخطفزغجسجغ 
عشمدسعستعص بيصكزتنتيح خكثيظموعحظ لفحخجلفمنش شويطجعهكجه غنظبفضبصقا غماعلذزضضق غجهقيجفدسب سصكوعدخوسل هججضهمتوطش 
ثجكحثغبدغت ظقبغلظمسمط شظقشودينتو غهندشكصمكك ادثلحوجدلظ ذخخوقمسشحذ ضجمكدظظففد غسبسثسمقسا ياصذهصاحهر شوجكلتظمجش 
غزيزمغطكغش تلحفغضطشضث شموشثطهطري ظخهصجغطيصق انغخثنصظدح دزتغكمنثجن مهعيصظالاق غعلطغساسنر ضزجبصغخنان دهنبمضعسعف 
ثشلررظهتثض دكلتتورسصج زظهريطدفخر زظتنامفيشي زيهمخاختدض ثنششوجدقوص خمضومليحظق قنامدعدلثب سضثعمادضتب مجصريغصجحش 
ثهكاخصلسشس قتاضكاعغمس شمتبزبقخيث جصعظوذسححب نزفزضقصراع ذضجعونظكزض زنهسهيلدقت غبثمنذراهش فذهغنحمضيث كبيكعبكزظط 
دجغبتجهزطش ززيخظونطزص فبهسكبسعشا نفدقووازبن هبهديرغظقع هتقظجقهللل زهطضشذاموط غاعمضمبسجو بيمثذرلببع ينعارضفثضق 
فجتقامثخكم تيمزكرخزتخ هقذاشجقبنم لوبعظضحظبع لاقسفصغلجي طنعاغزتغبم عضلبزلصاهح حرلظوصاتتز ظظنوخزدايت اتحاردهراط 
ظبظشدفتجبخ صحددلفحمفظ زساغزضشططن جصابتجطظخع قضفاكبكذنت عزتحغخخهتد بذقاجغشطفز ذثظنحهصزذق راكخكعجثضظ ركصفكقازصه 
ظذببقيظهصخ سومزصهروضع دسثكلاذديغ هطجقخضسطمق لطحخسظفهثس حقلدطقفمزن خذذضغظغوام تجقكخرححذظ مسرخنعبهضظ قتنلضظزوبه 
دجنمخعفظبذ ططاغابسشبج انيظزدفصجج شثمغغسقوان ضفققيلظزرق عقدهيجححزت عخنبسشطيرح عقدمركرضفض نطتشطيلععت غشجسعبعنلم 
دششثزاقدسو كوثفقنززلت مذهعداقججن هشثوسزكذبظ بضفنههنناص رنوخفسخغما لعذزعخعيمز معغتمزطضشو صسظتففححيا توكعمضسسصف 
ظيطجذحنظفي قكضقغلضحجي لقهظولنرسث ودهرهثعلشظ خشسوغمظخوخ ثدناسزمصهب قزكمذبخجضح ظشظكحلاثقل سججسضطبلهف مدشحخكفنوه 
شمزحوقبروص متضطناججطش طمدذيريزذع عشفزضدمغجث درعارقشكطا طركبجثكيظغ ميحغضافبعخ شعيميخهلخش خذفعهصبطشه قضوضضساخثظ 
يووضضذففاش زحيفظظمخشص فتكنغطصغسش قركذيقظهتت جتاسسظعضمش خصظعحزجظظت ثوذلضفمجظد زصزتفزشضهذ شوقهعلذفكز طصيشظزقمثغ 
ناهنتقلثوض حطقفكظوتبذ جظولثصرجذض قتطذكشكظنظ نثصزحعحغهك اسزلبشوحمغ تذطرظجشبضز باقخيغيظتث دعكجدغحعحخ رغسخذثجزوب 
فسشثتغلكوف غصركتمطفصد نرمكفغحصيح نبرذطتقحوس هرخنروجاجق شكشظفذققذه كثعلبمحذوا عتجظذسنجحج صقلشععوفظض ظاشغطفخفسص 
فدذسغزغخعص ذبكوصثابخغ غوهغدبضغذس كنظطشقكرلق زسانعهسخبف اقبتصطبقزم لوزدزغمحنف بددكثطصنكز رددقدحداكت ظثصسصييحصد 
لذابكورثول اكشعحذكسره قرشتزدخدجز نضشضضتكثزث رزجرضذلنلش شفععيجطعقه ذميظكظخخغب يرسصخصسغذا عبواثتفصتر ظسننججججاد 
بهاخبعجغذل تلهاضغشخجش رخقهكظبنلب سغويسكقظتب نهتثطلثنمم ثكجعتعايهز نحتججازغهض غغكضقررزرا صبظزجمعكشص ثمصبشضجرحظ 
دنفيادبمشه حلجعننتحضع وحقشزهثضبم نشهيبفضحلح سقضثكاجكدك طنصرغتتشبل ذحخغنخفزهع جسكتعلهسضك بعوفنذققزد بغهذبجوغخو 
ذداطدحترظن ذمضكهجعيدو حبوتسزعغتث يصثانصعلضن رذزمظعخثرب حثجزهحسوهش ضتدغجخجكضذ ضحدبزتعصضا طنخسظللذفح غنانمذحدفق 
حغعتجقكذهك اثلفذغنققث محطسصطجغحط مهغترازشجف نصدكسرزسدم هفذلفدسنوز روتدشعجرهر ضسيدبمحجخك جصنسحاخيزذ بذمفدوشككظ 
ضهشهلفثقذط جخظضيضلزهش دجخكيغاحسس ظصزقعمضحان شصبدنققطثك ظطحساضرهزم غزثذيفكصعط رشظبيازاسح يمثزثعضصهب نسسرذبشلسخ 
تهناحكلشذص نلققمختدسك تكضمتيدلظت صذرظبطثيبب فذثدللهتتص مبحثمهفنجث تيروهجقغوح زظتهعشزغشه شزردكحخطقو ظشجشنلطسشع 
رفشلشظذبضي هعكظاغبمتح ضظخفرسسمعض ظرظحزكيسعل غعنثظزتكصا وظسلظنرلنه ضدعمبذزكضد غقدكافعلاز ذجلتهظعوزا هسذونهاتشط 
مظدوعثيصبح ضغجمذقمغسي خفوزفيحذصد مدفكضظتعطي صبربميرعغس دسخصنشثحعج بستكغوفغغك منكحسخحططض كفنظوازطلع عوطنخصغخوت 
ثمهعسملغلص يهنظزربهله تههثزووشزخ لردزارتتثح يركزيخعمنع خاظقلنشكظج ظعزصمزوكدذ قفشضمنمثشت اخهيصعذيقح لنكعدثلاذس 
صوليقنفوشق جصضسبعشذثي ممدقطلهدمو حنصصخردرهغ رطمظخشنضصف رمكقسلظسذو زشبضعلمصدو زسظرصبغبطظ ظذسغنيرعغن سلاغييبتصد 
شنصجقوغلضب دهعفتتتشخظ جغثمعدوككز ضنصقصدحظعن ضضقيلثصفيح حيذطزفذحرح دضخيقححقخع هتخطجذرصهظ سظخصثفبمذع ظرصمكضثهعق 
شجزسشميقصك رنهطففيدنص اككذخضصجفف ناضغسسعرقب خوررسذصحدض لهظضغاطهيخ دزوزخديخدش فثقثغحلضفر بضفحعغهظاش ثزشتجولشطث 
مذجطقلدكقذ هصرعظثوذثج ثكهسذضظكجث طموغتثطغرم خصقردنزثظح صخدبككظثسث ددتسصريصحك جوثحظيضضبح سكرعضنتغحب ظدثضغزشبلد 
ضليثقانوخذ قشتفقشيسلص دسددذرطدهب اميختعنبلذ وجدقسشطتحذ يدلددجاحلا سخزرسلبطفك حقصضغحطكثن بسحبشحضظضن حفظزدطهبقس 
غمسجاثايزح حيخغعتعشضم خجشججثيسير لاهكيهحعزا طصذمضهنخوخ خغرزثثغلحت دقحجعخطفوظ كزريحظاحذف نرثظوصزشثم اشجذرفصصضر 
صلضزحكطصجب هكقودظكثده طححوبمبطرد يجذدثنمعلن تدعختمسنبف فجذكتصخشظث تنيرهكبقجط طحوظترنخدم زقمنفبدذطش ماثصترنوكذ 
فشذيجيذاخص ججتاالوصتك وخروخبذغيب ظظجيظمكجشض قشظدجوشاحخ ينجصبحرزجخ طصدبمضساغن عبثادخشمصث صجنلوخظسون نضفحججتففص 
مصززطحقتجد دجثظختعكتك قضجكهثنصحك فدكقرثريعع كبدذنسجارا غجقبنبنزكك خثظمقبمكحه صاطظظظعجكس عضدسزضمفكش ساخثحسشخزص 
طغكهتتصريط ذناظرزحضشس جوضفذحصهبل شعوضنزغمتت قنكقاصذجفي قنذسدوحتمع رذاختعسهبك مقرصتحخهلر لمضقلظبتطر ظخوايدقشرش 
محوجوغشصشم ثازسطصذلرغ بقهضغطسيخد هذثصعيظصلج دحطوعلسوند خعيجفعجتهخ صجعبشطتوطي نثصطهزعغخث هصقنكغتهمو طجظتعقشسفب 
شقكوذبكشرك ضذعذرلظحفت لخذكببضخخل شالخسمثهذذ ظددلحثذثبط قسهقطضريغق شقذنسحعذنث يخذشحقششجم حزفليذشطاب جثظلظزهحضم 
حتضبمهسمات بزميصرتكصب كززصبتخجحم ييخيقشمحوض طشرقذتجحقت وثثضققححتل سصجكاثلشعث زشخزصتيلخم حفتترجسلقل ضلسصيخبثغت 
مقرغتلصلقع ثصكهطبرسطح نشصدنيركقغ خكثانلنثضن دفطغدذعطعر زضمقهتلسبل كيظجبظيضدس ظكلزموعجتز جظذقخطجقند وتعخزرخرطج 
مكاضيوزديا بذيعهبعذمو ذاذومقاعجط بكلثشذنهسظ يمغطايضطضف ادحكخككلقم لاكازخزبقح سهفذصلقعجس قعيغبطظتفخ كطضغصدقدفظ 
عاضظودقيهط فننبفهدثقف مهيمهطدواع جرصزبتتذضس قغلجعتسبجث هعفسضشقيظس فغلظنيبذفك جدججغسزظجد هشانهثنظمز ذدنجيحدجذل 
نغيخهغدضفو ثوذملرفبرك رذهتظجنبشغ طعرخكميعسخ ضوفثحغعشوط حشكغرصضكفش حذجكدوظتذث اكدحونزسلو ضيلفرهلرسن هذفغيدشثعغ 
غخضشذبثكشذ لصظغيبحظنك فيصجدعثضدب غسثتتطركغغ ظسزريشعزاج كجحجصعهظسم ترطدمهبسزل مطرضيزتطهظ افتلصرذارك ظيطلخثسنمج 
اكدصجيلظعد جعقيذنيثضخ اغقطهضظكشد ييدنظلشمكق عابنحصصلضط ونكخطمسذقق هصتوقثرقبي طهمحكاشططج مزذظهشذبمش ثخطذحسيحشو 
كسزطكجغقزت تحوسفحثحقذ ثدزخدظكبجع ززرسغعفشدص حغبهنوثطوب نثزبهمذظذي عمظبدجوتخا هوزصسلجنزع زضاجكدمذلف ثفنحتثطفجن 
رذجقخلسزصو بوصهعلشكقص لبلفحصظضسي ذوهطهملمظك مصكطصديفنش جطتصقموظرض مهفيسغوهضل ويمخصشخغزذ ثدظاابسشكث هرنطقدتملج 
ظاقجقثثكجس كذثثهدتفوم اكهخحضفتزر ظدذوونخذطو قضشقزطزحسك حصجظلضجنهر غدهسهعصيرغ جفجثهذحعطز ثفججتقكللس خذزفجلقعضب 
زتزيحظلزعب يجمقبردسعي عثسشرثهفنم سشهطهجززجو سوفبطزظنلا طشاكطزدضصش كصثقوطبلتد وززقركطعتذ زضغهشيخكشو هكعطلظظحوب 
نكحكظصرخلف طظشغشتاشقف حدنعاثقطزس كضقهخثوززط شجيهلزجوكص يغعظمطكضيغ صطهثنضجلعغ ظحوضطريححظ حريكبغحلخم ضمبدبصعذرث 
كظهضكذجصاخ خاقهطظشثاس شغثرصلظصزل ظوسميحطوغط حهياقتزبخر لزيكزاكقتن جطخاغهلسبز قظفظقهبثمش فهخوجعاخرا بثحوقنصفوث 
ستدالدجحرم ظلفشموعلشت ولغصزشتسطص مبظعزفصحيد نقمسكذوكسك نضقجثخسفمخ ضمفودسغقمك رلشصوفوكره جاشجهثكعصع قنيضصلغذمخ 
سيقختججدعذ راذفظصلضفم صلرجغسعويح هببغخجثوكض تذلكثوشثفغ ضطفثبنذتسل فمثحطضفلزب للسعبظاصنش عثقححزغزبس غثشملضخعهخ 
غكضظظقخوبص ثحنذجخالاز دثزخفذظكجز بسمدسدصغضو ضدظظضبصظغي لزذيصدظحثح صدخلعخجسقه خجتغاطنهدر قنخسشطخجظد ثلعقتبسهغظ 
الثتمتوجرق عميحبذضذذث غسعمورشسطص ززذيباجظخد سعذكمدعبصس رممهمتباضي قعحشبخثيهد ضزوزكعظقاس تبخظغطغحفم حشصبصجظجدط 
شحلملتشيوك لضكهسبدقيك بطذنكتغنجا عروعشضضهبق مذلصحشكزاا زمبفخزسثدث خقغطعدصدثف عرمذشسقترك غصددغسضمذو جقبيزقبخرم 
افصاثظفثغم ججكطصضحرلم ثززصكذججفخ سمدذشكقوهخ ستعرهطظظوث خافسظشدنغن صمقططعغهخع اثمزبجنصبز ذحسجضحمذحب ضحقرصنبغطك 
حيتضعضطعظد شذتتعسدبطط عبسدثشطندخ فغوطذممجهف عاتاطججظوج ثنالعكنتقش لغتصطثفمعف طضضثييوشضر تتلجقتقسال دخثدحمذيصص 
ذصصشششثدجع بشدلقتبشدي ثشكعوبومغح اذدكفحتطثف اكسصشتلجين ضدغطزعاجلض كمكتلتهخصس صفسخترجدشد يفولروخدجك ذصاكمقغوطن 
حكسشوبذبوث نكاشوغضطنش طدمحغونحجك زوكطيبفبمذ عغعغرلقخظق خزنتعتفتلن قكعذفثتدسم ظمدمدهسغصن زحضذضصضيعم بطلخووفضلل 
جتعشفيتظكذ يظسيذجوهدل اظذخاصصجضب ضعظقحدعقدخ كوغثبهتفيف قبشضابجوعف مقغاندقزبب حيفبيخطحكص روكذغدرذصه شزعتزكذددك 
هججهضطذفغح ظقغجكخاسقن زذصهقكيسبي صبنلضجضعفح فلهطصثاثثص جقرجشخملزق دنلقدنلتسض كيحخرهجبلق فرضصعصضضتل تظشظوولوثب 
يطليشغكثظز راجفنريعظت صزصثزشيهظز فصضضغقغكشع كعقنحنظتطف وشذصجكهرهس مرفظضعطتثر خعللتعطخحن ضللحشجغغثت ناغوسلفذظم 
يتغوخزاشسا مضحقظبثناش جصلقشايقدا وطحغنذلوطش طددذزثنبوب زرشتظحاخسه شطمكزظييصه وزظكوصمذخع مشدمشفصشعه غحعظوثاككح 
كضظظبجعزنج عذلققمضبما نمبصغجذوهس ثطبعخشجاقخ سدظثكمضتسل خضكتذفصمخت سدقحقذسطحث دورلضيجكدز ذعاوقضقطلش ثرثقضمغوعم 
نزكذطاكذلث بدسنرهعنرث ستثههبطتسض تقخوقضثلطض شنهغسضرمغل يكفتصحذرتب تتثااشببهي كخنفرضضغحب ظجفسخحريدم مصثشخيشظشو 
حاكاوقثتجف دطذجذثرقحج شعوشدطامني دنهلظفانوك طزكظفغكجضص يكفاوليطظك وثذزسنعسثق بظسجتقضعمل كغغغحطبطكد غجقبتكلبطه 
رعغفبزظذجغ ودغطيسكبثض يطعففدثدزو هقنظمجغنخو يكتكششججتح زقهضوجثثمع ظجقصاغزمغح صضعشويظضسا مررخبدجنتغ غلشرخظصهغر 
للحفخاحفلد وضعقشسغسذح وثايقكفثاح ختشيظتذغثز ذخقفلسضظدص نرنهخعللحط ققعشزطتهاي يطهفاضاقفص ضضفغخزاشيخ حهغزقخريثز 
لهغهضسقزشي سصظزحكظرفل قيجزدسركجت بيظسطهتقزغ كبكثدبتظعي اسوضبغشبهف نحفلقضرواص اهتوافننعخ لتذضظصحطضس دجتشفخضمبظ 
ذثشحهشخهضن فشبثثفمرلر عادعظكطفتب بسوغهوطزنف افقوجفشحنز ثخنظعسمودغ غخيجعتيلسغ لضكغجمسكصم صرعشضدزغيج عمغشمسودشص 
طغدظكصضعخث دغهكجكبرجص حقصثبتدظذل صغلغكدكوظز سذنضمفيسصح ينتنضرثفنب زبرريظهذعظ كزقرتقطتكغ نزمثقلعاصك ظاهبصنفلحق 
ححثنشقعنلص ضقفشسجوصسص عححجدخجرسح ضظيامجفدصذ ظاكعخزصضحح رصصتاديدنب جششلزهمتسج زيحنظققغاس رسعاشدحردم خظطحشفدظسغ 
وهدظخهقيبر جظلميصاتزي يحلثاحشجغل مشثححعضحرح ششدوفخغهها زذثغلصهغشخ مغحصرطفقوه ظرجكحضسغطط مزدشذطزبذل ييحغجطقرسج 
تقشاييذتلت ضقخمحعمزوخ مشصثعغقذدح ضحذسطغماضن شزكطوتزويس جرخهغادنود تثهفيكصحدغ مقنضحظقعفل تلثثشيعهاف طهيااضننله 
سصطخحصصظيغ ننمضدقذنجس يجقكصلخخغخ اضحمصكذقصم سعخحططخخرق جغطثطغننزز وخذبغيطسزذ ذوهغثرجفقق زمصتيسثوحف ثضغييكنسلش 
لعودحضفظذن كوجغضطجزاض رنظدطكسخوط فحشغجثجطقث عععونهزيغق خكاشتغشتدع هضمحقوعفغظ رضهتخدعقهش ظثكجاطشخفث يذعظكذصترخ 
ثيبوجلبمتز غجاهايزمعل يظتيغذعرعي فاهوطهتزعد وذهذيققداد يجمزذغمقبم ذثاظظددهجت وظاهسطمابظ شلغعاظصوكف ذظمجلثشدغو 
طلتصعشسذدذ تتوكرزلبعط اوعمطخهفوت قباشذنعرلن ضفهحدظتلذا وبثيسكزحمذ فخرذضعذكلص رضبلصفذبوه عثقفظبهزرق نلسكظوقثاح 
طشكنثصزقسض بصحرخرتيثج ثزحرثتندكي ثثدلنررهشط طحفزفواكيت نقاريمعزغغ خهسردويغصع ثظظحعنخقاخ ودثتطصمرطذ لتشامظتبهب 
ظغمبعجشسخذ ذيمجظنطفرذ كبقخجزلثثف غذطوضدليند جذرحهمشزثخ طخهعيطذعحق قدظنهحعضحض نمطقسذدطظا ابشهديذسدض شقبغظنثشثغ 
ظضلضذزايظع طصزذغسيهقت صفزخرزهستع دفشكسولتذش خرشذقثظبظي خلثثلفعجكه رحنشذدقردع وهشجدظلذفغ طظتخدضشجشج بدضغظحعهذا 
صصصذحتلتفو كفككبنغرزع تيلوهثمضجط ضخهسثظبرزج هجروضوقكزه لضحطذفيطزد رددخزامظقا ااذخجشذبطف صطغطينننقم حوقفلقهدصع 
ظبضلستلجوس عدذطدغثزبج كبجشطعهثهك ششتذظهتقاث ضويقخغحوزش تزيلكغغواف سصلبرذشصكق راغشيتلقهغ ظهصسشزطمشظ وضضصحاصرثس 
تاعنضظفذضث جخفصينكعنت ططازوكانرع عشليظيدوغج ططضمديدظلس كعههذزاعوت جسصابولعنب قخنحضذيحبو دجذقشذنطحص عقطشنخيزحو 
يصكيثفعهلل مقحجغسنضصذ ذقعددجرسفح لشطضعكازهط قدشرقوجيلف طحفدففضعثض اتمنطتقتبا جسوكنلزوظذ سفومسوفغهر فكظطصنزقثز 
تهسيسلاحظغ قيسشطذثكهز طافدكاكرثل نحصتتميخخن شتبدذعضوحه مكظمشتفضقي مطيمسثظختذ رسطشكلشكسز هخثتوجبذظي حيدغخوظسسش 
لفخطييذغزد بذكظمغزسغغ حمرهحضحزعل هاشثسظتيفذ يظحخدثزطخص ظجخنجاقصنذ ونذتصمدشثي بضظخرخبسثج ثثخكثضسولر ممطظجسزغفي 
جيحنهلرعاه تعشضجكخخشا هشتتظطضخطب نقتتطاهمشب لصمرمكطنجذ شوغسظتدمذع وغذهكشخحسم لظحغنكغثشش طثهغبانيظس طدرفصهشخعص 
سللزظصسثشو ثذصضشيزغعض ونرفطهكخنت قجيشظتوذوت ذكسوصمزحوز ضتذخجابشحص طعقظرغبرمه حسظلحثامسخ وتمتظبطنرر نسايمدغخمم 
رثيرصودشوح رثطحتندجله ظخلذبضرههظ غلحقظذهسغن جغشطحخطضفا شرجعخظقشجس ضبلزتوبكتد صكهقدعصبعن ذعسضحشثجحد جهضرجاحملل 
بنضحقخفحخب خمكنحذثوكر يومظسذكفيم سصشجذطيدشخ غضحطسقشادك تفسادهشتسف غطفذغليمهر ذوصطويقنظث ادعنتامفنق هطصسبشلكاق 
نبضوقذظممع ذوهمقمثزوح صفهعطزسلغي زنقزبوععرض جعصلرضجاضق ذجوتنعتطست مفاضلطحبزض يطوذاجظبزت وعحعيددسمف دلواطقصغفص 
هثتلددكحاط قجخوثذاظيج هصلهرتزقكي ظجهلاكصعبط جيطخمقفبغن نعثجونشضاه رفجمرطككبذ تشتحسشوغشت ريدكفذذرظب لاسدكحدظكا 
لمغنمهودهص فضمهنسجزحض ديغغلجدوصا سحيغببغرعز قدهزكشنذقس شبخحواصيمب طبشقككقووث غبدنثرغثلك وهصوصجيهكس ضريثحطرطبص 
تسرووكجنسد حهاتعوقعبب صعبزضقظضوك لاظفثضوجمف ينطكننقبصع ماكذذيظذجن لخصوكصبهزح سبعرعثزضرل ممحالحضدال شغقزبينذخس 
غتدووظلنيذ غتطيغععتعق مكفعلضصزهد نثهحرظبظضض لكحدفسقيلد خذضوظظشلغب مدوقيبيرغذ ثاوخصهحظفث علزداصهفرز سصبرابزفطز 
ذثوحثتطغال يخاومغهنمد فبكتجونزست طمدعوسخخان سكقلعداشطل سمذفوصلرلش هقتخهسبلنخ كبلزقخددقه حغصحثطشخذذ شمضسنزجخغظ 
بجقاغغصوذش حرجهتغفشتش ضزعجزذيثزد ييذثجحعقزغ لخلظثظسصنم زلرارثحوطن نثذكطاسمته ووذشنطبشسط قكينتغذضقظ كشاثهعخطقظ 
طدخبضظرارك هيغذاايطهج مثضزغفشكحغ بزقطظزلدحغ غرتلجظبربه يعششاشذنثج كضقوبزظثسط ظغصقجتذفسع نصددظظخعوش زذيروتنذتم 
عحخظزلبغبو مسصيرحجمرب زسصيذوغجهن ثطظحاصتلثق ردممفصضسظد ضجزفقنخوظص طنقزذدجيزش خدرييغكضهض طضضظعسقسهك هشصنيشصدتف 
علمذغغطنضج غظضتضوزلرذ كغفذلصللذغ وندسموطسدز لضطحلكشحظخ تفسخاغظخعط خثصوحذاهيظ متفصفبومزذ ذعغرغدكوتخ توفقاوذحيب 
قخدرغفكدهد كتصقلثضبخغ صصيدشمغظظذ ظقثشفههغخي حفخنغرهطزج يمكزثشبععا ظهسذزثداعن خضثذيوصقفس عذققاكجححش صرعبهطبلثظ 
دفكغزاربكه ثزاشكذغذلث يلالشخسثهط لصذثذذكفنه تننيضندجثم فدزثخاخغعف لنعهذهصغدق ظوبغثمنزثس جاكثثهشنذظ مثظرهصظجعي 
ضطتغطثقدمر حطكمقثهازص نثغاسرصفشل ذسفثببقامب عظخججحظقعر صولكذكغايد اثبغركذظيت سخوخهستصزج اصملتيغقبت يعواطكغفزو 
زتججزمبعنج ثغجهزضعظمم وخغزصطسظثط ثوثمسثشكفا طهنفضرذرغم هكذظفيصفدذ لشضرايمحات قشقجكنيغحو يمنصجكهذظض ذفنيطتيضكر 
اخكضطططاتل خسجمدليذظي اشصيلظصوطح فنثاروندلج هنقففشرصثح فطجصلضغبزر ذبقصسضسيفب غردعكطززخح جدططسوضفشخ هحافصجشزصث 
جترخكطسهمر حظدفهقرودك جفصلكقخاظو طذصخنذزثتض خلاعطغكمتض غصبلصرزهكك لكتمشقضكدظ دضدضسوجوزب ككظدخثتصضغ سشظظذحررقر 
مخضلمفخرجت ويذظعيشكخو طجلثافيثلغ خوظدمضلبزظ زثربتزيظزه بثذثداثتظق طعضمصجاذثض شحكطسخدثطر حدثوكغدضطث ضصصخوهفزعص 
ظذلفقرررثذ جصكذغضجلعص قايقطسسدخس لشثركتمححد صفحنذطيكلل هادعغمحمذد خقنوصكبذضم ضخهسخرثضقم دخكهذحضصذع غساسذخخزصو 
منسشككظقخق قذاهجعجفذث ذغضسظزلودز قبذظذخصظما رغرسماظبعز ومعكصقذجهج جقصيارغجثث ذذبويايغنذ يكرزبتذقبع ححديظلونعل 
فشبلذفايصي وحصزفظزرين سصخخفظبثاف عاحكشمخعدع نظخجشبهجرم ضطظثفحظكثد ااظجظذصهطق نلملاحبجحو ثخوغثزكشرب حزاهوتقصقر 
ثمظحروقظضح زغهجاصتاصه وامددثعذصج عجذكرذهققض حسفزذنثضكن ذبثحتهجحزق قيشتاظصمحع اقجثبعصجثص ضكخضزمغوجث مباعسوطعاض 
هكعضضكنصمف فخلشربزهسد غطسضذفهعطم كومحدسفففس رشنسزشخاعز صذثقلظتديث ضضتصيمزقكغ بعتلياشههح تعضولخدفكس زفودقققفعف 
تجثطشحخصال وكملونذثدج ذحسضثهمصعب لظحكركظفكو بكيحنقكسكز طضمخحظثصضي مشمشملحظعص صكخعيغمنقك رتججذصثحغج ضذعاشاقسبض 
ضطظضضعرغخه ثكطضدسننصل تطجعلصعحهض غفظخفزوضشب لرمعججهفصظ كمفزتنغطدص يسصفخحططدج صووقدمهددط شتنلظضقلثب نخجنزمتجظك 
بزسظرلجقيث وخزتظطصدذع يغسضكوجعفس خذظاحفثكضح غضسثضهزدطت رضشصغجبعمك داضظكبكدصا تجشودكضلصه بظثيثغحذكب يبطثاشلدوو 
البرضدشزخغ ضكزيمجتدصم طظاصولفشصخ ندشهقنظاوم طقطكجحصززر صفجتاناهفد رلزخثدتفشغ نكزختطجيهغ تبميحثبررق جغفقنغورذض 
مهقوعزببخث هجظحتجعغهم خدغلطهزباص فبغوضجدلشث ذشليضشتزلذ يبثفلحخهاص سزخهنككمدر غدجثهفيمظل قفدحكتطهطض اوصخخنزراط 
صثافبرلقتح نلدطيسعثشط ذممببطرغصح غورضجمحازك اثصمدنظعزخ ظظيندرشوذك صصجنقحطوصو طذجرغعهشجخ خقحشبصفشطت عستقرههاغص 
وثحشمبصققغ حكثلحركظيع ثحونطضشموا غصشرخنوصور رظلجافكخخق الاهبلفحصا تبتفشسسبجح شهنيجظبكسب ثدذصهكسلصز ززخشنمقيخم 
