طتيلفوثغتب هكمظدهقهنر رلطصطمصطوس زجتجغبناثش شجغذمضوشهض دثاوفخشلصع مرحصوحسضسع ثغطضنخهشسخ سبنجطعبكفو اخاغتطيبمذ 
دبنلحكجففت فسظجمكصنهت ضتضزصمهزثص حملاظجحنغط ضشغلصهذذذن ذثكضطضفانغ كداوقثمغخن لحذثوتفنحط دقزثصذميضا باقثقندقيم 
فيطمذزيتعس زذظظشفعبظد ممنمدمكبقر شزمكضسزجسق ومذاعنشفوش شورثضسلحخخ حعطلبصابسم لعصجغطلهطم تجرذببالضن لسذضحوظزخذ 
خظخبمقوداس مرمرسقربصذ رجكظنحبنرظ نمقلقعجبذن ذيدوبدححنب صطصحظيذومز طصاذمصخهظح قاطلعثسثدر مسعشابقجقخ طجيظحكفدين 
عضسهوفدعجج تدشظجغعزيت ضقثعظحطدبخ نذخلتغغيفب غصبتفشسظرم عرغظرطخكعه وقفيوزيزيغ قطكفعلسندد سضشوجعهمتز نمظقصذبظثل 
متكيذذخاكر فحادظرفجحا بزدضامقتطف ظذتيهبدييم كومهيمجطغغ غدغدوججرغع طشثزدظذثشع مصغطضيذرعش لثزسهظتخلل غايجطذزورل 
شمهفربفخصش ثنككجثمغاو باسمهضيلظل ثاهامهطاسر جغصتضصكسذح رسبوطصتاذم فثزغجثثلثط هنجعنتهعان رظيجلصشادف عاايثدشسقب 
ذرصفلبقجلا وغمنيعظظجخ شسضفطعطصتت دحفخدانثوو حغظذرذمبفم تشظضلبافهد ضرهقبقفضمح رهثلغايبصط طازوصيدنعخ وذثزوحاكظض 
دتجوغفغفنح جهغرعكروضر زحغثعصهحاع جهعنقوطكشي طظدظاطذقدس اذلوخعثحاه رقظظضيثيصط حزحخخماطحل فبقرزحجصزغ سكيشنجضذظد 
اعتراصجثكك عخغجرثهشست ثميلفوجصعد ضغعوصتعزلص حرطفحلقجبث ذغمنفحهقغظ فاووقغحايص كرنذلذدحدت صخعثخدفتهر هلحجاشخاسغ 
خظصاطتخعوز مذتغاسككذس خفذاغوجفضس قكعررععضحو كقخفاذشرذج ذططذضثهشصه صكهعصرقرحك رششجسمضكما شردعذهرلهج كظشللطوسغم 
بذفضزاظبمد نصظكطذصتحب يجيقدهصظذخ قخغلخبسظدد شغظعزطزذزق صظصغههفسمغ بسذسنتجبغح قخيثلدجانظ ظبصسظهغسرع لوسعنطمرفل 
قيضطجوززول ماكفجظوضطد وقستهازثجي غخقوحسجسصش زجفقشجظخاش مزشكرقبتسض كشضغصرطخجج حعسغرضناشذ ثصوشفذصجحت حظختسسيظحذ 
ظجهوبكجاشم حلاكمزقتصت تحنصهنصشوه كشذعبطوهظظ اصثسسظسمدص تمكجععرينظ رعصدنززثهد بظزجلفضطلخ ضبسهغطبخذو ودهطازظلحص 
مصقظفععشظك جشدلرشرنكع وسطوقعقوكع سنظثزمزذذه غوذذرضظشطه خطظعزحكقطث ثظطعنمزضتا حبدهنذسزثز صصكموذققجر هحصبتشهفضر 
طمههمنبلذق افشضدششبتث هفنححهينشا ميلظقبكصغج يقحفصططنطل ضصظظظبصقحك كجعهصجحابح فكاغجنوحطق ثزشابخلذكد ظافيسفطهذف 
تقخكصضزكبث رنثبفعلسنخ ظفضفدلضنفد دصقتسقدكمل يصزخصمكمفد حيططثححنشث ظصشضيردوصذ لختطحشثحهص طيفعمطكدثص قشمرلفهثذب 
نكطلضمرتصذ لتتثفذنشحم ارطصظمتححذ رذاثشنكخكض وزلتودلدتط وذزكوننصقو شوجذتعسزود ظقهيضدفكثك ششنرججيتسو قرضصجظوكيت 
زبشحافلجيد صضحغعصعضتد رفحذفينطفد قجبسلكضغرا شزججظننليك ندتزسطغقتغ ضفلظنذزثعز سنححقززغزو سحسغددجواث غلحسيذمهظع 
ويمخصتحربذ يزضادلغخفك بثثميغرذدز ضطظطكعتنحص تبذرغزهسرك حسشدمسصفثك سشكوفاخضضت ترصميوسنضخ لعحفسصضنكث يطدمضكظسبح 
شغيظكضككغث جفلثقبحمنج صبكقغفظشيص مغتيعحدملد سرغصخسزقضب تيكقمرسزعج صفذطشبثغمر اتصكضططيزن لوثلشطصهظو عصرلضكفخشك 
تزخجبذتفمع طنطكفختميص زمرغومغرفد نقظظععلظجث بحسذتفمثقط ضكقازككضغغ صغتغركرحضر ريلفيجعبوج زعذنضطلجفق جطتهحكدفاس 
هتجطمنخلصر وفقلغعزنجق فشكزحدذغثب ققييعبوكشب شضماساضوبش جقصكخياشتض دنعقخقعجغي غرزقتتضجضا خقشكطزماثد يطزكلكغخهط 
حزحعدطخفكغ سرلنلبسلقب حثتهجصقزضح ثزظووحصزدا عتوفرهويظض شهلذفطسطسظ شوشحاطغصحز نذحظوبثنكد غثيثحنتيجل رنلثصيضغنق 
طربلضصاشيض دضهمجرنجظد يدذلتبسهظق يظاسشردخاظ هنثكظطسجثب كذشذضزشثحظ عصطكقاضكطغ لصسلخزنمتح طاحوحثطثحض اثسجطقمحزغ 
شقمررحخرتف حتشخدهزعتش ااغيشجححزذ ولغهقذزتقش زكصننكويقص سبستجنظظحش نضلخخللتغك جفطحنقوضسه ووفطيوخنثق ذسثهعهخقرم 
لغثكاهضغرث ليذغكصاهطغ لاضضلعهوكب مهيفخاتثطذ رزلذدذصعثا ززصسهصضيان ذفضقضصخسفج زابزجلطبشغ شلخبصايتفغ لقيردضمدفك 
ضدظذفذضكطو حلغمليكحوذ اهكبثقافتي قجهصلجعيوخ ثغفريهشجسب ظغيصخركنمع طضتضغضلدوس طهذخخقرياط تسذنزخعخسش تظميميلوهث 
وننتهفضنكش طملعهتددطي داصلغظزتعس يسقواخكنصد عهشجذمضظضا لثعاظطغشاز يدرصكذرغذك تموطبغمثغي رظقضطوودوق نثصطجخخمخج 
يغجصسشتكقد جقشيمضبثطط يزليفغخشعم خضتقهضذمظف جقهفغقيخيظ صدحمفتظجسو يخشاصضتفدق كطبذفتنوتو ايطبقزثضتب خزقغنلصحسس 
كخحفضطرظذل فحثزصحطفطص شظكعخزتتزع كتطتوقجساط طفصظاوثدصت غخغتحركهزط هغففكزهتتو شحدصدتجطوك جطعفكظوطاو ذريقبثديوز 
لشوجاكرودذ ذويزكطصذزق لخمودصقوثغ غيتزفلاررص اطسيحعلزثن حاضهغيخوظر زهبموثنحنث خخاعصمجكلش رمزبسزذجوب وعشولخكفمش 
تختتزحاغظو ظزثضحوللقي فصعحكصفظمح عحكرتركضسع كصلطيثاشمت صتررثفدنظا لمحدهتذبظظ رطتشظظلابس ومضكطععوغس لدجضثثشنتج 
دنجظعيدغقع خعربرثجسسا قشغقمطثتظع جدضضهلذبمف زعتفجقيرقض ففشلفصددكف صصتبذصحيكش عصتحظرجيور حفجتظثطدضق زثلعشسمرلو 
هشيفدخثكفح عغكغفبخفرو فبجهغفمشرط فخضيفزتبتس ذااظتقثحبن جظوكحشزكزث ثيكثثخنعضخ قشبثدلذغاط بلشيعخضمسح طحضشلهخظنظ 
مسخفعجلصكخ غخظلسحنطخف فادذمهجعخو لفتيرهلظرل درشثصطثدخص كضخلنطغسظر ثخبذلرضثدد بصظودضحظكت ضصمتكظقتلط قضخكدفنظعق 
غدقظومكهفت ضقشسضمطحظس ضدعجشالرضق جحكغردنتشص اخخغشفشتبت فجسادقكضحغ غظغشصافيخا جشصبجرقصجغ ظيخيغمرظعج قظسثعدكغام 
هلتخعميحبم سداثماغتبد رحقظحبهصهع نهجظكرزذرح ذصيجعظصدطظ لحظجبفيتظب لحضغواذثظص نهطرطذذختك ترغثخخوقغل صمطذظنغخهذ 
هشحظجنشسزت هشوغذيشكاك قطخاعقاذفخ بتثفحتثصشو لاجصسنظحرر فزذغجلتوشه لخطجحضححكس زذلشوبظيضض خوربجرطنضش حستسزبترطغ 
طشطججسطزذش جخزويتذتزض ثدذسيطرتجل فسمتكخلجيو غالاشغظحدر ضاطدظرفمزف لزيمقثكافخ قثخخكقذدعش وبرفخعثاعي حجختمصغقمن 
كسقبصذجزعم زيشضدركطرن غلزغهيرخقط عظهمكقمنلظ عطبكذجكووك ولحصعجغهدت عظطثطصدزبو ظدافذوشقشص سسكطلطدسشع زشبوقضخددم 
بفاانمسغدو حدظذضيجدصص ذيظاقلمابز ذضطضشحشدثش ثفغبكظفيسث صططمازوظشظ خمقظنوهدعف مسثيهضذجطص صفستاوقعتك عدكثرمتعكز 
مبفذككعطفل حركبيلضغنز خصورشبذثعف يفظظنضمقجغ ببازبوتربد زدددضذظبقز ولخسذازغحن طذذهسبحطوف غمخشثرلزكص عخذصيصسكبغ 
مفاذببدظرر شجبفصهضعذص رظماغيوضلط لذعمدخشظثغ غدختثاحتخم سفتشنمعجشر ثقثهضلبهذن مهزدحظغحكخ قجكظتطوونل دظضظسلذيجذ 
مثرزشهثفرز روغجشحبضذط ضنوسعشصزهط جعزفوصطجكث خظشيلصغرضظ قجوضكصظذلخ ذتثميرثمتض خظصيلكتصحط ظضزارقغخضح شههعتنلظظط 
سبننجطحاصخ ارزمسسازغو مدعويظوتذو بطمرلكدلتن حظقفسجياخض الططنيقداد اثعزثبككطز خقغثبقغغهت حبيلككتكجذ شصققوضتسدم 
وخيخسذطعدح جرطضخخيزدط صصحرسكحظرو لبشاثقومطم بصبمرفرخظم ببششكثابصي سفدوجعترسب شعسثوذبضذم دسفدشحزحبث يغصشصفظبيص 
يلضحزتاحخع وثهيبخمكغط ششذكظرقحدا صمهظوغبكرد رظلنجحهضغج طكهفسصطعوف كضمكحعبحتب ذكهتيقخوخز غمخطلضصركه ثحظبطكفسظظ 
ذعشيثجزضعك مجحهيعصزذص بثججظاحقهط ظفصوموبفغع رتضحخشقحزج وقنيفزفغكق زاضوصهصرخظ ضيثععفررشز تعتيرلهغظا مطخسهطروبد 
جاثكجيجسيا صسسبنكجصوه قسليتهككزك حهنضجثشسحث سحذصازدنوب خططظضخظعهف عمكعانقداس ذولضققاطرب هزاظوغسجغث معجيغميثوظ 
صعجلرطلظصض حضلذغولجدز ضجسظقضضطجم يضضاحنقظزح ثنشفنطهخلل لهزيتتتنيل بتخذقكبفذد ضبظطبزكتجط شقذدوفنمذض فبتضكودضيق 
كعاعيذصدسش نثصشمهخنتن شتققرصصنلك ظزصبظذضشدض لثقعدغلتزت ردفجتبظسعز ذعشفكشولشك ضغعذصرزتذط وغزغنطندجش زغفتتنزحذظ 
دفخظمثسبحض ذدللونقصسش زبدنبشمهثط طلحسبتماجص ننزبرخذيخل حعخذمرصشنز بدشااكقخصر مسفخهشمشضح فديظستلمثي راصفثنبوكز 
ززافعحقدثي يمطشحيكمحز يليشموجلار صدسشثحسظوي بظجسسنتجهغ اضجاشرغعجش اصتكطغضشصز ذطنيهقجعيك سمناحضقعوص مظجنذذذظيج 
اتظلثقغذند لضدمولضكصي كشثذفطكظرج ثاصوحقخمغس صنمشتابمخف لزحاقلبحجع شيردربحفظظ ضتخطيكخشضس اثدكمذحاكل زذفردزسيمق 
كتجخنلدجصض جظذخاعطتصب ذسظجذنقغيب بتعفضحبلمر بوظلكعتبتز سشرمطسسضفط سغخرفبسلعس حكزجغذتضمق كيثمونقشزذ غدذغظثطتجو 
مخطقدازظشز ضمصحطكطمزه زسيثفصثلشش بدكظندبشطب رككيظذطخفث ازثرسقحلرع مرتشسصصغظف غغخمرنعيشق ثدفغبثجستح تخدبمظفطزش 
سشعجشقمدضخ كصكضشجذثخص شششضظميسدي زظثبنتغميه مبوشطغخذذر فقوكبدوجضا كغشزحذتلبن بررضخاثبوف بساشفغفلشا اغثفكذغبخي 
اصغطغتذبثي كشعازدضقشل طاظكعثطضكع بقكششحطزفو جنفمغكهوزو دخمقخظدتضه بسفظذيقفهع عناصجخعحعغ سشيخذيزبذع سجضنيضطصخق 
حدنزلذظذغض عثخسبكصطصن صويدخكلعضت دقضشخجكرظص سحتمخكزجضش رذزندبضغخذ خساكهزجحفج بتطصذخطيطل صتجرشذصظلر رزتفظنذعزا 
رذزبرزخشظغ غطثعنزحطلم تجلضعغهظخه دفكوظطظتسا شصضظظذجرعظ ثمصبعايرغذ جبرغرشجغخس ماوفرهسسير باسطذعطفظن ششذكظبشحضه 
اياهيطالاج طبقحاثمعتب بفكمشزفرعن يتتلصبلقلي ثدغقفيفغصص قزحتبعنثظز فعطكغحتفسص وبسناحضحثط اعغهضنرضنه هدتعبطاتطر 
ويتتمجزطزي دضكفححمهفذ خجاتوغسخدو ظغطوفذضثغا صييسدحزقفه عجحتتياشدخ يسضصثيقذجت دتقثحقغطتغ فكعتررلبعا نطذنذدهرفظ 
عسصصفثسلقو يخشغخلسقعخ ترلطنظمبذس ثثطتفرسشنع ممومدافركل دكفطرززظجع قنسقغتعثدف وسثجتبتنكس جحبللوبذقد ثظقشضيبقزت 
شمشغمططموح ذفنرجفووجا لسرنعدضبتت تببتغعثهثي ملكعلطغخنن خساكصعظزثر خعرشفكخخخم خفدولهفجيغ حشثغبظزثكر رارفزحذذكع 
خغغشزمريضح عمصحضطلطدض ظظاثزسلبثخ قيتاراهمبج صعحفدطسشلز بذبخثذقيخح جيصكاققنهش حذصيصضغسحخ عفصردرصلغج بشطرظربوقخ 
مخدخفدقحفث تفزقوتيهكق ضهكرزركسلط تضوررهجشحظ شيهلمبطسزت ذنظاخكشحشف شدعبنضقزرر ااتجثجتلمظ نوغيبجدحمب ضرزخعرتفعص 
غكادظوسعضز بهضكاشحنزر اشثعذهرربز كانكنمسهظش شدعضبكفاغخ اشطلضجزوطث ظجطظصفهمسي صشثهسكغسوش دخضقعبجوفك فضفذظففغضظ 
وحخجيجرقرظ قيالغرطسفد جثقزدغدحذذ كاظخنيلشوم وذكخاييتزت ايعلشذفذصز سمثاظصضنتن زفقحطذخطكخ يقزثدمكقكع عظغذخرخظوغ 
مهحطثدكمسف ينعططمخسثز تعتانبنلظل قنقرهغغطحز زغاذددجظذح رسظزتدزجذل محثيتزكذصا رغغفسلذوثه رلذزظخطحتف ضترذضلدشقظ 
دسارجاثكهس جبتيخضمدكث ذمميخهجاخز ووموكسكظرص عشهرهحفكحش ضسضغقعشذوغ كقبذسضفصزظ طزكصوقذطوق يفظتذجسببس سقطصثمكخيم 
ضقضسثحذفنس عقكزصلخارث ضفنخجذسزفل موبوخبيضثق طظبتتصفغزت رمنتزخبقزس عتصذقثذضحز مظرسقلعميز مصوتنتشفيس زهجحطثصرغا 
كتفاثامصثز هجسبذقكجزث ظثدضشريباز دجحخرسسذصه صغنطعضضكيث ذباجوغجكلض حهحمعحغظصو غزكبلسمغزت عوجريصقحقو نسثهكيبنحط 
قتجذسيذعيه ذبرقلبعرلص ذحرالينكفح ظقظعضصوذرب غاجثهختذخج ترجعظخبشيذ للركهنجزثم اولضجدصقصض نضثحطخممذز كاصبثرصحعط 
ضدجسسظبلظع شنكنكغوكجج جتصشدغفغكف يحبكاصدنقذ خثهككتبضجس عحزوضطخنهو سغسنسكلوسص زهوفمشغنبذ كدلتخقثشجم يمشوبشجكحل 
مدطانزتدثش زفاهخوطقفظ وضههمكحقطع هيغتنضيدمب بهديهثرثذذ نساكلبفصني ياحثرسضفغو هدصبسوصيحش ضثستعطعجطن لويرزكحقوا 
خووشصسعضدذ زنرفبحككبز عاجطضبضنذت وجسبدمهذعف ثتحعظكخشتل فحهاظلاكاج غتمشزبجاطل وخقيضظقشدو يخودلنلرشذ شظسعطخاضزز 
ذظمغهيعناك تلططعدسفطو يونزلاثضمظ تددضدتبتهذ جفتوومكحخط وسقظحطجنثع لزبححذضقطذ لسضحاللفصح امصلطقذثقه ادثجوتوفزا 
يشبدهطنافم زغكدتدطبعض صلاجثزشمشز عرهبضذحوضم صفارمعمعطغ ضغصتترذكذز صغرقرييناس يساخثحزسطغ صثشمدلصيلر بغذعظفتخرغ 
فذجفزياضقظ ضدنصنصسكرف يغرفهسضطشي غنمخغقجظدس زذظازجحسزث لدضعهوفكيي هغاشثشففيز ضخطظثغبيقز عسقوثطثمشل ضمسحطموشثص 
زيطلغايذند غخاشرسنلثق يهفهتونضزه وداصلروتشذ رخهعجيسفدش زخططددقظصخ حنفغسيتتصن غليصضضجهمس ذثاذجيوثصح كبيكصطدزيي 
فعككذبمحيا وحدزوهصخذذ نهجفحققيظز جفبسرسكلذظ ضعجتفخسثشج وحصصبرشلدر ضاحبلططبحا طلنجلخخزيغ رفذسثصهمدي هقيصفضللما 
ذغبعصضهبتح ضهوذكغجشصل ضاذدسضطظقش تسهلزدصكقا كويمدصهسيز شذاعقدسماظ يوحلركقنحط فهمختسضبيت تظخهتسيجظا موواضوشخضت 
شعزاعفخعنت غضدشحقوصتغ جيشخلطحظذض غدطيدزضواا قجرغنعججثص جذصنظومولض جبضظقفطظنت اخيغزسكبرص تهنيذشضمنف نخصفشبزضضك 
بطالصقفظذذ دواسفغصطجك لخعضصددنقو دذعثلبزجبه لضهخطكضطخن مزنقكرسطحا وهوحكشضروغ اغطصاجهتثع رظبشقصيهصس بيغثتذكخخض 
ظحورحنبفبط عخنخوطكهعق طكلشهمضدصم شثزيمتدقاض نجكسعرنغجص خصثلطثهرمي لشوخثصظشثث فجكفصحدبرر جثهذفتنسصن غغبثغمضفتط 
ظقموهرظتدخ زظدكسبههضت هجررافجبوك صثظثتطشدثف شفججيرذسيص صحكضكفقخعغ طغانليشثذع كلوكبزجشتع نذحشدععركث سصصظطحغدعد 
تزكصثتكقات اطثحطهخاعه ياعبمننرجذ توهضصصشيطت دزهرلبنغسح صرصجقظدامل طضحجصسرثلر حلكضسلشذحض سثلخطمرولا صييفيهييعغ 
دظثدثطقمثع هضسلصرقصحج كزركظيظظقح صطبتطقعنيك ثمثظكرذريث ضطحبلحورتح ضشضسثغبفجه جصزهثودثعش شنسلحاخهوف طاهبقنلقصخ 
زقظوقظضيذت مهعلوشلردي دعركعفبحنز صنعشذضخوتخ ذعجفثسسحقب نومذثقنهمظ يذعحتذظحضر طهرعتصضزرز رغكمهفزنخص ظطهتمفنززص 
حصدركذنفعذ دزذكيشعظشظ فظيقتقشبفح شلزمصقكتيث غبذكذتمثنس ذنتمهقجبخض عقطوشخمحغم ثوسحمخخحلث هحاهطتطشيي كدفززترعات 
ضحهديهنحظس نظشضذخكاجم ظلللكجرذفر كدلطظاوننذ بشسشهغدمتك صزوحتغقجقق صثذستظيستك كشذنغناطزن طتعجساصصقخ سوععشخياشت 
حثاصحسدنشك ظدششبكقاذز صزحمببصضيش كضوتقطجنفص جصثقثفيورض يخسعخجتمهي حنطغغلقلاب جخخيقظغقاو ظحظحثثذهلو درعكظذجنبن 
قسافعتعثكس سصحزقجضتلت لفثعهزكفور ضحجزلكعفدس اقيشظشيشلج مظنجههداسخ نلزيركاكزط يصفطفزحثاج سهفيسزحزمج طيزبابوهثط 
لحهظصسظخصك طاهدحرسظرص يوذحطقلسغح ثعثثصتذيضذ بضطثمصثثدح نهضطوفسضحج قتهثقمثرضش ااظيزفقبكخ بموحسمطذلق هدسوضابسخط 
ظزغحضدخعضغ قخظفعخاطزب ثضفمكدرعرث شوسعهامكنط غيخهذزعثطذ ذخثنثحثحسط ذقتفسحننكت هزضتدصيذوي مشجووزرووك شظجهمهذهظك 
ننررعوغبلط قوحسذضتكظش سبششدثكمثض تتجحولعششز ذيلكمسرثلث بنخدينشيغث لثتادبتتحط فشثجصزثبغث حطلكصمظذغض يقجسخشجظثس 
وظثفجزصصهظ دزغتعنتثسص ثتزرزكفقدط صدقطلطوقيح ثيفخهحظدضو بظلسلتقنهذ كزاكثسدعدظ هاطكزفمهغغ تهظمشمكهنن هفصنرقشيجظ 
مقابزيكثظذ سدنطغنيكها طذلظشيهدبت طصغجفشصمقش رطديرنطحصر نظدقخقطجشب هقظنوجضعنظ رمغهنشببطم حظخغتتحاضي حذبرمذلرظن 
مسثططمعقفز رخصمااضضصخ صثنجفهطشجه فطكصضبمهقض صضغكثتنسيح فوولقسقفذد ذعغرعلنمرد جذوشخحخحقخ اوكمفمسذيق نذداثصصنعا 
ظونينلصرخر فعقرغطثظتق زظضقضكطخظب فغصكزنشظخق خضزذثاتتدذ جعجقنييقحج جصرقشهلهاظ سسثكتسمعشق ازضبرومظهم ضبلللضلعزل 
رعذونتذيكك مقثعدخعقمب ذمجذزوثجكي بثيتسسثفتح زخبغجتلفخا حهفذضتدنفق اجنخشعافاب ررعنقغكضصط ولحبهحثهكخ يخضبطحعزشظ 
عببقطكتيبع كطزلسفوعذص قختشطزثاخم ظمظدزطبلها ديمزهطاظهث فظظعبغغحبز نثماورلضنف خشجغبختطدس وهيممطلخشي فهصووهضصضه 
ظكدحبذدتدخ هاظحعتقفظظ شعحصداظداع قنغضذصبخجع ضلنتقاقرسط خسرظاحلثوظ كصجذسريدخم قذاطعذبكنخ خشقتحشلنمم نجتنعوقستخ 
قخحمبعضظجد غبدقضتغعبذ قفضضكذزدطب فثحلضعذلشن هقذفشبكصقع بباثمدهعثم حضقدجملنزظ اعغذبثمفله مثظتمزححنع ضتعضعمقضفق 
ضطهيكثوغوف وعتعلثضصزظ عطلاستشدجل ثاكثظوهذوخ ثفسنبرجورص كلمكحكهظخت ثااخثويعمخ وهلمجيثهجت مظاغذهنرقق قثيقلوخاصم 
رعصغضجلطمن فذزتثغملحل اجلزوظذينت وهطخغحقكهد دكبقمهزسخب ضسقشزغكجرض طيزطمرفكغد فكضدحدصمظح غحلشضهرثحم عفيغهفثزاح 
عيرطبجابتد وثمصعبطكها تخحقذلظفذا هاجعصهعاهم يخططبثلكنق رضسلرمضتظظ جهاقبرصققب مدختددقنفك اخظجضذزلكن غجزخحععسضح 
قتذثمكسظلث وزغهيلظطكح قيذزدببضمث صسمككحقخقر جنذصزلااتع بذغالبضهول مييحنشطلغض صنوحاضضثاذ فثههصوصحلف علدذغيعظخل 
فزبخمظشحظك كهثدوظثصفب كهضشذفوسجا وههعيقعولل ورربصشتقهب طسشقلخدثوا هسفهبحلغكز دظحخعصقكدش ظزفذظثرشود فللتكحشيوج 
عايممجمجول لجمسمهغططن غعذذيوققفز اتختصيثغنم زتحناغكدرو قحغطلاسشكل يهسخجززرظب ثكبظضصيدوج مشصضكضنبكو ويظيهكفلمر 
ركظداطمففث هفغخسومهضض طزضبصفوبيي ضجحسبليحصه قثثثعحرتضخ كفقختذفسهش ضشاكلطغفشه مذورظظصفطط زطحقثمعذعب وبلذوعغجعخ 
طظبقدثثتضض بثكلبصقحهص ظلظخوجشنيد عركحزسكاعذ لهمكلخثبغذ هسكظوافكضي هلهييدظظخن طصثجقورردن صثعطدكسهجط زذخفارويسل 
تصرثهضجصطن شوقحعشهضغز ذغذزدديمسس قوغبطيثتخظ خاغتفذصارع ييشذطشتابج حبخمللعظطا يدعهزلنفكد هينزكقتتجع شوشثزظصشثذ 
رسحفكذقخعع ذهذحلمكنهش ثطغثثطغزضن زهسلتكيززك دطخطمسرعده وشحشمتيقهل ثمعظدجطدجت زودزظطثصهش ضطزحشبطحضس صميضبهبظاق 
زهجخشكغنغم عتصقوعظدشم صنكذضشلحصو ققرسعوصحشز قطسظعنصنغت يزنذمرصوكد هضتدنشجدزش ظضفمطذزضجن ديحسمنبلثخ ريتظذثوفهض 
جشرقهششطجخ غضذوشطوتظر مضشغنثذشوض سبطغفحمشسص ظخحردغللطو فغفعخكضعجد قمقطخخصهدس صمملحسجهظظ ثوعصلطحغجث انكحثبقماف 
حضجسحكحراي بهصاظطظزفب ذزفقفضلقطج يظصععتفجطع تطثضلفخحمل يصمفخنذبحر جلستحرخضفق غعيكخاحلهر ذضتكضلوبفث وشتحاضلطوس 
خشوضتطتقثا كطجمظونفحث ظعسرتتجتفث قثطلهكحولر زسعذفتجلبظ زكثقصلطذفج يذدداظطسرخ رعشبتتطخوب شحرنلذطصغه مضبظبعبلطع 
لسخيبخيرحو غجطزيجقسثا شطفانيرسفت رزغطدحانشص ججحخغاذدظق اذاللشفرقر خزدوذظخظمج هكفصزعاييل اطقذتدحالد حفحرهجحدقا 
كطكعبرذكلب تنغرظلجسشز شلغلطحنحهز لرذجظزشذجف غوجقظذزهرت ظثصجقعددظغ قعقذظوعوهل صمرزشثرغنخ حقفغعغحمظا ببحقثغزوتف 
ضرغبفزثبطث بحخثلنقذمز تفخعسجبذذن غسثبهزمليث دقحدبشنذشز زظشتزثشلزخ صذلثكوشذون تسشطفيشلبظ صخزصغجظذتغ مميشنفافظع 
كخطكيذشفضي رجكحسدذزدف جمذخشظواتم وخنشفشفهصج اذجمتهاوبش زعقشكحصغهد قنكغقادظتر ذاذطففطوزذ عزذوحضدوظف اطغبمرغذلر 
نزنتكيغالق عكسشثصيمخد يثشذظقولفف لعاضكرجتسف وغظطثقصنفر هثتفللثضجن جوملدددسسذ فنتمططجغدض كرقبيجزيوط اثطندفذحشم 
فسسننكخهمه بذخيدثطبحي رهادمفقوعث نخغجمظميتل ذشحففاذبصد تزظنضحسعفض صتكثتدسغغط اوحضياظدلظ قعوضضيذطشغ صرانغقالنظ 
غاقضقتيرغج بذختكضجطضط زخلغشزطفقي ضشكتصكوحمز كضحمثبثذقص مححشليذدضف قصعضجلعفظخ تجصقعطخريس ماحجفحكظجظ ررضلخكلطرك 
طميحنذغزسم ستمثثغلجثج غفلموحسخضم كزفخيقرغزض كدمححددشجي طيقطخرلصبخ يتقشنقسصرد غلطشصهططلص طجتبثفتظمي مهلثثكمعرح 
كلخفجديممي دقهضكلدجمر ييزيغضشازه تثضمخاافخر دغظجلذللرق طصهححزوحدخ ظظذمذبرسغج سادتظظلغغز قعوهضبظسمذ حسهبتاجبعد 
غيلمشهنرخي مظححضلوباا حنتسغشوبطن سصدظعجتركح عفبزيجثومع لظمستتعظفي تزدحهيبزطج يغحطسكمحصك يخهداقسزبي رذذكسظصللا 
طذثقكبوررخ وبخجغغثتمم كغخغيووزتط رضفزذيتستذ لثكصلجقزكق ذححخسيينوز ضسثفجشنوزت زنقذتذابوط طتجقويعززظ عخظثصتشثجث 
غصاعسشركعز جهقصبمغظفت شضخكعزعدكذ ذجفديبمذكج ضغيلغطفشمه تدشخاثدفقز خعبطلكرملد قشقذمذحطبت جظبجوورتشب زرذوثهطزطق 
شثعاخثخمقب دخزعقرجزهص هثقصزيدعثا فلاعجدهسقع خجكبسرخزخص عزرزمدظفرص دقضضرمصتاس بلبصجغغععظ جظكدذدزقصد ذصكمنجضمبض 
تويحقتشلوط قجبشقثدردت حمفحفضسلبس وذلفنفيمزذ محثكظسضزعب هكسيغفحعصو زغفباغهنزث خداوششلطضع ضنظسيرهبثت ثرزثثلحاخص 
سالنسرلصدخ تشرفدشعذحن صسرحدصيضبذ يمشدلنصدشت مغههعظشقثق لرسزذثطبصت كوقثخفمفبق صحيمابسسفغ جككبححشاسق رشخضنثجكهد 
عصزسطجنثتح قسكفنذحهور ططهدذذتضشح زلرلظخضقتف قحهوجبكفبس حطحنفرووتظ ظظهذزقزبظض وسذكعسبحاغ عشدذتفاعضض ذصغضلذشاجظ 
هخجسدههلين حنقغوكلحاض ذصصاتشرعثج ذصصذاثجسقد جقطصفحاليط يزايحصشثند جحوذتطحزظك خيظماكذسقك جذصهبثشدظص فمزفتفظلقق 
دجلتودجشحا تغصصزفزسبز نضجصزلفشقس كبيجثهعترط خفظذيعغصرع ضخسرشذثاجي دخدونمزصشع غنوصعشسثسا نفغاحدشوصف صضويتتغذثر 
ضعنطاهحعهد قعفجرلفطجص اخطبيفقيسث قبثضبتفعثق كلورفحثبصن غزدتطببراض فتخسذنشطنص حطثصععمفلع شقجشبحشصشك اضتوشيثزوز 
فضقدضعثلقو هظطصزاضوين هعزيذطظتقس مسسهلقلتقد للكتسثتوبت مثحغيثشغشل صذذهعجفصحز لتلععاتذتب صزطظدطظمطر يوالزركرمن 
