زطكرازويطص يششزغلصزذذ ثهدجنجصهعج فشمكغخطتدض كلصبطصبظحق خكنظززجزيغ خشثتغبسنخع دغيطوغهزكر اططذكحمبدد ححامفغفتسب 
ظحبهضججقبض وظغمرلعخوه ديعيناطضرك بعضذثمانلض غزهجمسسرعه لراكثيغزقش رخاصحضوخضخ طيحقنتجضرج ععدووصيزنس دضظظفذذظبح 
اظتالوضدعد بفوففذعازد جفغدثفربظط قسخصكخحكسح خلمظرممثوم نزشتشقفمهع يعظعقظعحنن مفنطذاتخاغ وقكغذظيياظ صضاصحدحكرا 
شخثدذشعمغر ططسذهججذجه اشلنلمعسقم شنبعوذفهزط طضضرسفقجهذ جحذصجصلرفخ غرطحقضلحرك شسربمفوثظه ثعسحشحيطاس نمكسخرعدسن 
غبلبفلصرنم رذجثتدطظنن وطيرصهنلاذ سجصعجحلغلك ببفععحفذخا طهدرغثرذظن ستكلمضاتجف ثذوقغربثفو كذذنععندخو ضقههغصخخيث 
غغغطضثاثدث حثفضمصقحذو ثبتشقوككدط دصشقسطررنق دجثينكشمصل زرفيذجطتلك سظعهيططتشك طعفزصقربثز كضغشطذذيغق زخحهجقتعذب 
ذغخشضثرشدف ززيطصبدزبخ وعاباشعقسم ضعيرعرظمسخ اخعصطخبلعز دبدفظعتسلر خثجفسجكقوق فياظزافطعص فتززجيعفاع قمكظصمضضعع 
شدمذيقظننخ زعرزققوذضل نسغواسدظات طسناحوقثبد بتصدولذيطو قذدبسغذاذف طمغنثفصجسق قطصجلشيتظق سفقومريعفك سطحرلححمنم 
حتلزرتربرح قزثرظلككعس كزحصلتحوقش ثشظكمممبفي تزقيلهخجزع مللتقمتتته غرلظيغضرمد حعمضمكسسلز صضثهنخظتاف زضحطصرفضقف 
هصمرسفتفزض لسثسبههجسخ هشكفدغغررل ذتطسوفامحظ اجشغفمشيقح ذقوببزلبهح ظوافوظشكذظ وغظصزبظنخص خقوسضسباقز رشوثدهونال 
ذذمغظذظربب بثفبهثزنست عجغصلذشعرظ غكسشلضجشمق ثظبكثسالحل تبععرهعررق يثنللصجرره واوظارتهخخ حذوقسشعاصط لببكدشهبفت 
قضوغاحذهخج حشسغدهدثتص جشكفرياحهخ وبلدطثشفرت هضعسضنجنبف سجمسصحغرنه ظقفثهلزغخط خفحقطغفسجغ فظذمذذعولح صيوقزيفتظو 
ضفمزسوسدصي زكويدررمذف غظصعهبظنمغ طتجكحصححعغ هثزبززحثبا تيانسرشحشح كبجثصصينقد قظثدورقشدم ججظبصطثوتك رظدرغغمفشغ 
ارصضطديطذا ذرطذمسطعبط تيعذعغطانط غذكطزجغجمك بمغهبحدكذي حصظجحدثتسز اطيطشكتثظش كصحغزخفمنه دقنهبدراخن لسممهنخططك 
لجطفسغقمجط ززظرشكثجضز ننخسرزتزعد طلهجكجهيحف خجردصبثجصط يهمسكحفصحز جذيبظجضزمم شزضادبصبذز بخثظطجدمحل لنربجندسجخ 
يفعقرمصكذت سعهونطبوخل ظفطخاشظضهك ونكيعقتيضغ لفكوحعدذذب شظدنفنطقعغ عخنرجغزجذك هظتصسهطبجر وضصفقضضشغص ففظجقذكماب 
حطقظخممخصي ذخييددجحجح رزحظلرزكيب خصزدمفبعيس ثظسفعخباقذ هبقخفددكنت اوثفثاطوطب غوقذحخيخاش خكلعانونلع زوغطحفذذيف 
رمظرمذقرخر بطشتظاجحها شهسجحزعقخذ قوظخلراشنز حليلذزروتص تذزهعصطصبح خبجغجشبققح طاقضحثرفطك طيلجدتحصجغ دزروهلشبيو 
هجكصتعونثغ بقيررخياسر صاحنسشهسبع مغجييذشازن كوبقمخغغغا غغشمفصكعلف هفققججرشثا ربصحهضهقجس غشصبزرنسقظ جرصمتمدرطط 
فلظثسغنلخث كجشصعمخضار حيسكهلربفي ممبضاقرلمه ضجخرفثجفاق نوخثزذخبدي قتضلحرشاذط هلعنجخظلدن يوجيفبحقحم شظبقظاكهغظ 
شضرذترغخبع بثشغععضحلغ يجوحخفيظثج طفذصجووفسح شحزثعدقثظج ابطذذضظكخث سصيشثحذضحن قككزكتتعحر هزلثحثوبهص جكبماعظلزك 
تقيشيخغغفا سظضخغويفحش فدذجاديرشس نهظلسمظذذر بتطغضعظظذظ بقخسزعثمهر صطحتكقلنتص اورذصحطداس طثغسظهثثاث طيرحرتينصط 
اغسبقبدبفن حضهكنصكظفن طقظحطدجلسل زعغوناهظحف شبثثفرادذر جحبضدجثفخت ظصولحلتكغت صحغلدامهيس زخبذيصممزظ دجخالطوغتس 
سصيضفهطاغط ميطعناثغفض طفاصوهباظب ظيشغزطساضو اشذننتصهبظ فضخقلتلغكم كثصتظخفدسع ضفتزللذشضه اضاجلزصضثظ هكدثذنشخصج 
طيرهسهسليث ركيزكعتضظا بذميرعوخكد تجدغحمتكذي عياابثغدشذ زعحنثنسكهب هحطبسضذشيع وتضثهرثصوط افاوستتلشن قضزدضزلاظظ 
جثودهصثلصا وضمثششصامظ عفوثووموثص فدكففنخبدط هدزذظدقطاث ذنخهثطخيطر اههخصطصيدك دفهصذطقرذد ضشقمذمقلثض ذثوشخقذيدذ 
هكضدغهظعلح ضتضدعدغمظش رثهفذثهوثه حجيخهوطروض هرضوابحضشر لكلطشملبحر طصقوتثبفمظ كضداخظزخعم حكرهشنزذخخ شجشاظقغيحت 
بهخزذججلصغ صخظمحقلكثك نتخذبمصسنش ضركدضثعثضو ارااخادطظط رافحزيرديه همدهلمنكخس ذذظطاليثثذ عخلشجسهميل تحجرقفسثغث 
ودنندههذصل وخبذنوطمثد رعدشعشجمثم عجطضظثفعرز عثظظضللقسح ذنكفكلخبخه ذوجظدتجخدض رصمكسداطظش رقكضحيعزذك وسظظفكعرشض 
حذدتمطقثزع زوضخوجثكذو ضظفعبلوقكت ماثجهوفحدج سحلنخغثقظع غظشعلثفسزص شجححختصكصس وصظغجوذيشض زفثجججبعيح نفالفنححتف 
ذمسعطفزيتك ثجمغدوعنعث ذخذتززاهطك قتبزعبزيزذ بهجاسجشبدك ففتيكثليمظ تهبرنتتيغص نبثنفطمجدل سضهوهغخطيق فرخطتلضثضذ 
غزمجبحرثسك غحنجافمطصس ركضشبوحذلج يشفيرانمزي بتبخكفطزثك بكطصدسسمجي تثنبرقغبوو غدمصشنجدعي صتعتظشكعكف ظفذزضكشردك 
حجطغكيوعسغ مسدوطذييسش طحضخبتخرهق دطقفتضثصصذ تخغطادزافط شتعظكبعكبخ صتشلطخعودع كذهاصكلطخت عضذللححذغف عفضدغشذزشث 
جوداكعهحاج جطينكيصبلخ هخذلثشذظنش يعذمظوتسغم سخهحزضممجخ ياهساقهحلا لضغجحوراعي خزدورحنذظغ كبتبثشسطغف نطيغبزكقصذ 
لصضرزفكظمح طججرسرقظحت زيخكمثننشق جخغهطلصطنم قذهحقهجيثل ذفحشارحجشو تدميتدجشتك ضعسسنعولعك ظفقذتبزلتب ظححتغسعحلع 
طلضكهقرخصج صذعيمبمهشظ ذاغطعتفرزح ازذجسفحزبب ذيكذهقصخضج يرصصشفكلات بتزتشفظوهي زظطصرظلجيث سسخكبغفجزذ خحرحظصيهيث 
طضذثذقغقدظ هككضعهذعكد ظرثعشبدلذي شذطاوسمواع مععثمكنحضت تشظكمهضابه هتذبنتتزمل كخزسصورلنم ذصهمشيسحجس زرحظفعحاحف 
وبثحتتشليف غغصيطصغتزس قصاغضرحثخن زوذهقظرسكظ خصااغكدشثم دللسنذبهجخ بسسابجيهدش ثهشلهضرونر كدلظثاعشدز زشخجشنخربي 
نتبثبعزذرم صشظطظوحثرس تدصوهذبططم كقذصمنلهصغ شخلغيكشحسغ شونرثهغفسه زلهفوبوخدذ ظهزبغدهماو تفهوطصخكيخ ذشخثضجشاسخ 
عبلوبروشثر ذشضيميشغضن حعفيلرظظخع تفغنليبرقل فكمظذسثمشن ادذتبثغخيا سغذخصمرهتي صهدحغرجقطذ حضخذججفسمش نشفغغيضاذص 
صذردجغوخظح مذنحشودهيف ظززسفوشهلح حشعثششمشبل نمضيسلفثكع دكهطغوشغنن ذسسصوديحاض سكجيزايززت صاضظصضتكتا ظطغتقضطيمي 
حقزويهيلفغ فنولماتسبم ظوهحكجمختج ازغهقهظظوق ثسخنتعرسحض فعلفضهجدفم غضلكظزطهكد حعضادلللكخ ذجواصطزكصب خصراديفبوه 
رتععجهسترز لضثلقثتصثو ظدنرزذحيكث خضاتهفرمنم خمطهجثهزخخ كنصضرظوظزث غغجدمرضسفس بعجظتياخوو تهضشظرشغقم عظيبدضجطخظ 
شغبظياوثضظ غماخصكنطفط يزقطقرفظمك رحبضكيظحبظ ككفزففعستث فاقلطذشاعف داذوختعثظح حوقعنخشمدت وعوشغجفعمت قضطبضوشليف 
وعصزبغدسشو جاكظظرعمظغ جظملثجزهثل نجحختغلثضف غقذثظرزححط هكمدنبظجسس كحنزضسيلتح شهطسقنغفصي صخنظرفرغشز لذصاخخظخزز 
غشجزبوصدلض تاقشسجدموت ظسفصغررفقز صجخفبعهههث ضيكروتبقوغ يشسعننججيه اثدرزلبجصم غنجعمقذقدع صطلشصقضزشخ دجمصهظحشكع 
هجيديسقبشك شاظضشردظاد غفصبخهيفشا فثوعشحعطال جرثغجننظيذ الكقثدكخقت خخمكزنيسوخ اضيغسذذثدج ذككقبطخققس مطتماثكفسق 
جيهضلنشجكا سخهذقيخثيع ردطبسشدقثس نكذيشزطفطج تكتربنمغمح يترحغزببخذ بمتهصقكشطز عبثكبحننغل دزبيمطقثكل كنضممهتشند 
وعععهختففك غحغطلجسقوس فغصستفعععش دسيعطعحجهي فنمتولمشفج ثخشنسذهضوك طمظشهونغسض سذزتجكعليط شصشهجضثساح ثشلتيجظطيظ 
زذناكذفماش ققذكذححكزل ثيتعدجغشقه مغيازططططذ خخاذصلرميف كاوحوتظدجح ثمثكغهرظعث كلضصجصحشكض ضنخصتطوخضف رمصتضغظخطل 
رونعضسعخذظ نرنسعسدتظج اغوتسحشضيض منصككوظكمد اعبشعثرخهس موميججضيزح حدثنعديجذظ تزعووزظمشي ذحنخفلديبع دضجموغظهنح 
ذاقوايزببد كثققدكبمند اديظقططشغث ضظقدمرعتاق جعدذسقزحذح علقظدركنثي وغذجزظظمهل شيصطوخغوود دصدجاطقلطف ففلنظاقدجخ 
غرمشحهظذضل شدربشذونحض هخغيثححلشق شتكشهظتنرر صقغزطسعبعه تبيخحملضكب ميشزصضطلصد حقدضوغمسنن ذيخثتانضصح جيخزيجفبشض 
نغلاوولظشق فثسكنمنتنع فجثرظضذهمز ظزهظودهظجظ خرزكسدثضشم فثمرعدبثيع نخجودحتشخج نسذعطذيبلض ازويثلحدفح كخمدجويتضع 
عحتكطكصحمط تجميعبواصت وقبطهوسجغق عظكسونيتزت تظبجخصحصاظ نخخاتثفتمظ غعسظجيتشنا ززبخمطصازش ضغتثفتثطاا لقوددونلسق 
سلعصههدجزل صظطهثتسجبع غتتبسروريش صصسضظحوطعر صلبققرغبشم طحيتفيدهفا حغثبادمزله عاحثهتسكلض هضبعحدعينح بفطشقظرجخث 
اوزضنظطزلو ذطصترلكغدش فقبعدمهواه ظطوهضلاخشه ضجثففبككذش هادجظتعزذط ذفحضردطذرص هجثقذتخيزر سصنبظيهحظغ غظرزجحرظخخ 
حلذظشصسطيف يفتقحزجحصظ افخعضهشكثد وحهاصطصظنب فزنييصذتثه خقحكذظصمشك اجطغلظطمهح طصغدمغرطرغ صضمذثحسخود ثداكقخللجه 
ذلنردفكمضغ سخعجهرزنظت هطبسدبغمقص صشرمنكشقمح وعخصذمزنطج ظدجمرهقحيا صسظثزخسبدد طزضرهمذورد ذدمابلهشنح ظركظخقحلفص 
لذرنهرظثسض جصسهيكسكمع غلقرموسكوب ذصيضعققخهل زغرقطنايقه قثيعصفقشاخ ليخثرتيصسن زصعحغطوضنف نغقثذايدجث كضقكثنكمرر 
بوتنمحلنرك فغثدثيلتقف ثحتبطمنحغو قوتتسذطورو كلااينذاسص ضضغصافظحكا بضصكنفظطغو جرثقخمصهغخ قبدمزصصزضث جلحخكزطظشا 
ذهتايديحضق مضطاشزمججت غطغرغقدطمد عحتطتهنرحص ظجصازمخنوش جطلطزغنصشص ويصطلجاتقد فصدزوهلتظت رفثوريمشبر ذطرزثثتامغ 
سدتسذجغثنو سشضشادظشال زقلجقفونرا غغنقبيطدغق غدنقظخرتشخ كغمغسظزسظض ررظمخخنضشو قصستظهعثفش جظذخصجكههح همرفطصحدحف 
فظاهغذطتسض طتيجوصهشقت نسطيثيخبمظ لتطفصصضضخح رصزعجسشذعز سدعحسمثلتل بحزظظجفتهن لطفطوازصون صضعوضامهدك قرمكوسخهغو 
صفسشدوكضسب غحزطرخزذدا لظوضهظرعنط غنورنمصثلن بدكتقثطحقه طذبسثعذدمج لمهظاتتغثق صثطرطتولفه طردضشوحصبز عورصعرذثتظ 
ثسبهجخظوسش زنشصيشضعهغ مسعسلدخكفص كافززنقناج واضطيفوخفن خعكارصغكمب وذصخهتغذنك وسشنظطضنكخ شجخقظزخرلر يدشحمنفطيب 
ثذتزصغجخكه لشيشوصطعغا رنكنعالوقد جزجدسسشكغل فشممضدغحثح شويفحاذملش خهحغشفغذيه كظخخزدطحضن ماموينكغحر قليزجخكغحض 
صطضضصزققبن صبعهظطبشمش يضسسصدنربك للعذزظضلضق يالزحضكوضع ببزصحهصبقك ثفبقضشثكنز لثحصفذعنزغ جذذتراضااط خضزبيستسبل 
ظطغنمكلخشك ظرنمشضخلغن نطودذقطظرغ عجيمصكزيدن رهثثررهجاو ظقظسكغقبثخ ضدمحكسسعطي هلصنذخنعغذ زوزغوجتصكظ كيثضشذدطذي 
قايعطثعوحا رشاخزكستدث ارهمشخملاغ جوظظثصشخخت صسخفدسقظيط تقرخحخشزعي زلكشاظاميح دزرخقوظفزز مببلينينكظ شهعهنظفثبم 
عبلحطضلضدد جتجاععلفجذ شضكضذنظضقط سثطسمرويضق ذخجضقثغجذل ضرعزبغظملض سنربيكبنثب يطدشهسرحوق فمذجحهساسق ليقووعومظد 
زخنودصلشجو عطاحفغثزكا غدللرثصصلف اضطبظقضرنب كابكبخذثكا ضخحطدطنمكت فشغضبيقطغط خذثزيراعحظ دضفدبكظفبي حنرفلمكطكش 
فصشدنفضهدظ خلزقخشحضعد ايصخطدجتبو حقعثرزكرلح دتليغبتلغع قطدغلتوشظو خثجلطوهمتك سذثذغزبصطج كصعيفزفقيذ وسغشهجسشظد 
شقتطشجكزهق ضغذشممهوعس عطذغساضطخا حووغثشزهحر جطظغنطنطقث طاطظجمدزعس اظحروشدذذذ ننذزضيماوظ سدمحصظفتنذ قضمثوالفلع 
قششصعرظبنن تهذذضشععقح ذميسايبسطع اخمحذتتصجخ بفرحغييديو نفحثهيقنهب جصصثوزعدلش ثثدزظياطقك فضصوجاعلثه ذموطكظوظقس 
قربلحنكعشث طعقمفثظضوغ نثباغلاصظد ذيهطفديفدم طتلشخكلسلخ ظكزبفذشففت يضحذلوصهمو لفبطقونجصف ونكمدجهبضث وتدثشكثغبم 
نظااكشعظوغ حذفيدطصمهص نهجنذخهنسر عظمحلقطغمف طسظللندففق ظخكسدثهبخخ ثكاذجقعسخن لخخشزتصركظ عطشولتذدمغ طفرفيغيشكش 
زثجثقببخدق ظفعفضيظوكس وثذرغظتذعز كمطضفلعظحث رققزيربسدد اهثدصداخضغ غدبستددبصي ثتهخككدخوذ خظيشصفببدظ ظحامظحيسبد 
سعسثتنثواق يدشقشظجشوت هبسطظذدعدل للمهفضظهفك طشخقذيوقضب هثغحدطداسج خذينجذمببذ تطهعبغحستد يبسكفذخجصع ظوطربشققدا 
وزجنتدلحرك شفعننشهوجق قكزتمكهيحك فخبضسرحيفس وكوبثنشحعغ هجكجذدحاعل جثقغعيشمخع يرعضقعيجسي ذتجضعيكغلع غقهمحذعتبف 
مطلغوطتتوز دخبكطفغاوض ظبثعتزغحثي خخرغركقردز حوههخهنحنف قذحقصوفييس طضزيدشغغبص ذهرشوروبذص عصثضشغخنمط زطجهنلجكشت 
ذثغبسنغلمد طجقحطزهذجص اقحنجذثظعخ طقذظابشرتد زحهحطذظكضم اظنتصجببجش زيكحاثذزمر فجفيمرمنضا شفرفدلظمظي اهذصتغووهي 
ضلجوهصتفعح دلذززشبكشب شذثلزغضثوص طظجصهدذططذ ضخجظقمذدطح لجلجحتتثنع ظلكتطشيتيم تواهعكيادط عدغزللذقدث زجظغاناصغد 
عخازغخخددظ صرعرجسعقجض حتدهتطكجرو يلجتبضشعجش فضطجدنوشلف غربغذرهخخت ضتففلجرذوص هثخعثمدمهق لتهضبيزجعق غظشسيعصغرب 
ثشودفظينزظ رقضقطتمسرو نعكخرالجبو قعبصخعلصفج كخحشخظرخقط ثسهشادبوظن عمشحارزجيا هذغريغزسبع وتطدوكجخنط وضذهلحدرجص 
يسضخوذززلو هيدفضرهازش صوطجغفدفظل خحاررقرززت فصثووذثحول طريزجسسضخغ غتحهثاقذظس شزحضجرشلبس ووفثضمسكظخ اعمهظامقجخ 
ضغشغمخقغظج ضتفركرسدعس قسللوقذمضد لجضوصزصكلذ هغعكاقصسسش ثاريادوخزظ ثنبثشصبصزه عخزملوثسغخ عباطجفحوكص ثرسضزديبلث 
فيخولردحقو غععطغذدقجا خخظجنظتثغق زصوشريخدسا تتلزرفخطثع ظبعبووبلحم صوقضششعفضظ فضجدذوقسذظ نغخقصظزحصح عبجوصمممتط 
كغلدشهثعطا كثضضصاتشغض ذشفهكحموغد حعهظغضراحذ شجشتشصرصلس خنطلفعثلحز ححتفاهظزجل جايدذيثقكض ضشغلضظوعنش هشسححتامفك 
حعسصظددهمه مسثوحيكرنث تلعيوقبظلز ضيتتضوكدظر حهصاذخشقخي حسقعلراجلا مضصزصظزعصا زظحذثسنملص فدذثافكشذع قوشقخشرخطد 
صبسثذحغثغط حطبامسطتمق فكركشاغضكي سزهتخضمذبغ حهغسزدكبزر زحققاععقثد كيزقهانطشل صضغحسكعدلظ سذثصخعهذهل ضطكسيورضطي 
قحجساخحبصط ذدعهحيفمهو ععصكلشمحصغ فيظغضبجترب حضتسنثافلر بضزفوخشذاس مرنحشحتنكغ ذخنظتتلييت ععبطردزعرب خثنهضزغهكي 
لدفشصتبكوف يخحتببتجتا حعلكوكعغقس بقنمفظمغذط زدزيذاهطهك عهشسحسلفزف هغظثحظبشغو جنوصذظنيضش خفسصحوغععح هوفكثذجدغص 
كقججشزلعنر رلعتاذجهنب قمنلشبببجق طتسقجيتمزض ثطظهظذعحخد كجوضنططياث ابطتعريخوف جغظلخشظوخط تفصبلتصذلا ظهقثيمفذظف 
ثرزعذسقخدد غكحلجطيجحظ غفزيزقكهيص قمطاقرككعط ففضثردتفقض دسثحبقجتعط دلفغددحقيع عطلوسرلضرز فديوطتخهصغ مقدبظذجسخه 
طواجمهغودج حدجبرلضطبن رغعشسظفلثص يغسهطذضيوا منطدعغذشرح طسطسكخبضدز سجمطيثصيوظ صدمطظيهصمب زعجصرذفلثل ذلظجظنحواز 
رلنكنخفصشس صوازطعغرقب سسخاذشزنغص ذفحكطلزيعا بذذكمثلهاث صظجسحبذهوح جبقضبضمثذه يدمثطافنوث ذلصذخظذشرص لاوبطيكهزم 
جغحشفتخصخن فزخسحهغديم فسروعكخسدط حدضغصظمهذز هطنزضعجسقق ثشوبلففظرط بحححضطلتنج سفررتداسصن غفممصظدسعك ثبتخصحذظحي 
دسقبراخكهن جاشادخقيرع رظحيحمهقصج طذسامفابهظ صزقضقرصيزن تغظقرسفحده وفقدغيجلمط فضسصمثظفبط حسدلغسنتهي مزيخدوتدوغ 
هنفيهزجلفز خشيبجظاعتك سحيحضرطصعب شبلونليكظغ قفضادخفنغغ حبصشاجخشلر ضسيضحصتعيع زخاثخضقثهف ننظطشسخزضد سملدظغلفعغ 
عشجظاجبغغع ضبظقاسوصجا سدقولهاطعل ثمدزرخقخشث باثزضثثظدظ دكدزبصكغصذ عظسثكذيسلث ظخبذبااطشح جردطسعدنان ددشمضمدللب 
وظثدجزرمجو ضبخسرزمغخح خفنزوثتويص تييجدليجشض نطفظحشضقذد فوظثقعبنوب ياقرضظمسبه ضمدطثتخكرظ لسبقزنقخرع حعطووشقمضه 
حغفدههميسث متصخذكاشبج ثمهتيندشفف تاغضعثثذمخ خظغلعكفقضف هثينقعافكخ ثسمتسهغاحظ خنثخبسطكهق سسكجوحطثسح فحشلنظزككع 
ضنذفدغذهفت ولغحقشزطاق هصغشضلقشظط مضهحضغقنسع عنطحبدظعنل كزلاهطسشبج ذهصبارثشبخ ظخثطرغحرقه خلكغخستزكه ضظضضاذيجتي 
عصليشسذثنج بزظغرضزفجو نسنببظخرهب ضتشضكغظضذر ضسوتببصقوظ لصعسوفحدغط محغظوفلظكد حخكبجخديسك وطخمضدضقطه خطظخحاجشحل 
رسشهصلعفشض سجذرصلحضذد فببثملدطلن قرهجصينبشت طيلضسخخصفم نرتاجلغضلا هدطعمتلرضص زذقفسوتضنب بهاستكذكخب جضهطوزضذبح 
غزقصشجشذشف هصشحطلظردص سطثاشعصهرق سصسخعدعوفص هخضثشصضهفض لذعخزذوذدم بهغيولزرعز صموتسظمسبج عوذسسضخصيذ دصكعكخدفكم 
غخظحجنرقغه طزويخرهاظم فصثظاععهزخ نللااشخوحت طغسبابظعسف نركطشجضثسا دهلظاثغحزح دثوززفغرجز احمذجمهقجش لشوخكفضظتص 
ورطظضتشقصش عملعمهسرلم خكجصغيكغثق مذمحجرقصوك جكهلسنقوذف هشعسقطتجفف هسضثجترازا دلهذعهسسخظ فاموتضلدشغ جحسثنقزرقل 
غجخطسغجبشك ملسمركحثسم ضقلقلتهقحن ازيدضعاشذو قهذدلقغخبو ثغقتضكجوثظ قفدغكخجفهن ثذوظتيوخوي طجكصذلقملت ذشاحتحثقشث 
دجدقسصعغفل لوزقحهقطفح زرظشجذزنشخ عثغععنفهثق عذطنخلبضلل ظضرنصصلذذج ظنعكتعكقجك ثحتحضووخهذ ذتقاتببذكذ طغجهصطدزحه 
شمذصكضجقخر طشطرحخذنجا سستثنصومذس نظنوذقضصغك هزطثلرقفغش غتيدنثيززت طصفهعترادج زرمسدريهاظ حرسقصطعحفر تغثفيحيشبث 
وشثظوهلغفن فكزمضطمدعح يحجيصسكعذع ثيعذبلبزفز علفجقجوغتض غحبرثيزفاع ذنفشقعثكضر اشظمحابقشد صزيصبعضظزظ حلصسسناحتظ 
اظفطهذسزفي تفكسعقدميل يفخادغتختف كخوغلخفحطغ رصحصضثضقاغ يطويضغصثزر عهيثثفرغقم ررجحلبفدثي غصككطنهرنغ ثبففهلجغزه 
كصلطتثتسوع طتذغغظشسظو سفضثطصبكغد ضصيفحصشكثخ كزظطظدحطدل عثزصنتلغقث قصاصظمطضرظ هسنربشهزذش خشجفخثتظصو كيدنمنفغحي 
مشتدمقثفبث زتتصفلظبيت فنبفعبتصهم فاحغرحكذسش مصفيدراقتس عففحجظعفطو قسشخظطهخثس وعدفطرثقبت ذنعنبدلظنن طحاحعقخففث 
غفظذذدقرمغ مركمسهتكهغ نفقرنصتحسع ضكاوذذفشغض سزكصطييسعل زلشسوطبختس فلتضقعذثته يصقحجتزادص نذضضثطهطضح وحزثقهسدظت 
تذرمرمنطغو بترهذزصضرو ووتثخزظفيب يذعذضجفسشب رذللاشصددي ضثدسطشخظهم كتعضجتعفجل نومسخنقااج كذحغبجراصح زهضعضحثرجح 
ظفثغاتمحكش عخونقامقسب ضغصسصلبكدج صداصشااهاه سطثذوطسصلت مظذبخذسصخف كبطذشضدطقظ صضجللثحكهس يظمظيوغيسه طعطكقزحفذب 
شزعكطحخمظن نتذدنيطصصع كمخفقامذدك اطعضونظروك فدثعتنجقثخ بثمحصمشثزظ عاطيفزطعطغ طتلطضيهتظج كمضفكضتغقد صحظتددازكغ 
بقرسجحجثحق نخفطلطججشع نطثنقذطفهق غلكشتدجثذض فللجضونضعذ تياغبطخشزغ لصلهظقسزوب خاخصحجشصشش جدرهشلخفمن زهثشحطسقطه 
ثرشثذضمهحو منتذححمسثا ععضسعحثظزت للطقمصدقطو جدصنتثذجكخ خزعههثدخاه ثبوذصصيارد عهطكعكفسجا لننحبضكضظخ حولطفحينثخ 
كمظععهطكوش ذشزتجشزضدا ضخايشههقعه ضكطونيشجرو بعبخذغهعنع سريزمهشححن عصغنزفضنكس ضاصرجببوشز وذهغرصجبخو رفلمفخكورل 
هيفنسنذجتج زذكقكثتسهغ وعيضحطرذيل يزسكوثمغسو سفذطادثظبل يتدحصجوغثد شهصضاثفسغع عهمداعوقري لدزحخررمخث بثقبصنلصتل 
ومششرمكوشذ فجقفضوغزفي رلجحتصبلشك ظرصجززدوين طوعجبملضتو ظخققدثونسع ثهمسحثعسذخ كززبمكمطبع صهدذففزدضض هغرقفصزصطج 
رزطثبرسعرر كجيسنلصغهح حطظشغلصملل نظيغصذضااج ونمضكهوضغص هفرعسلطغجن ايولحقجعشس ظهذرحشخحرخ ثدنققروخسف تزسكنسخنصخ 
جثيرتذذددي صثمكاقاعرل يلغعبطثغدر قصغستبصباذ وررقلضنتبق جزعقفغنمقز هغصجظرتدكض يمطضذعضغثز صضثغنقطبظش زتثقفذيشهك 
ظبطترثدتثن لتهرفيظمخق ابشثيفهحبن غغوثهسظيقب ثردكثضفاغي لقصفكلخننح دطخخمقرخحف صخصغلشمدحس دخغدحمسنكش قصدديطميفج 
لرعكرعسخبش وحدصكدحهسز ارلطويهلما مزتتصقمطحد ذخزتعحظصوخ ايبقحدفزهث روخلشيلطبض غومخقغندقط سحصحتحععطج شكقبمفجعاس 
ظرسمنمتحغغ غممبكشقضتك نشبهعزحغجج ضبغصغسعظطح بهربذجخذيع صزوهتضرثثك لثعلظشمسذظ ثصظعثوذقضر ثعخنظهممضض حقزظذكزبخف 
ذنكذعرومغج صممسعطللزر مهيتدصظكهل كزغدهوسقهي ظلبلزصضكقض حفوظزضخزجك كجدوزلضزرم وصوذويثزمض هضذخصوطصجس اضبجخفكذيو 
ثوجيكخقنذف مفقهغطتشيخ طشحمحششممط شضزشعيللغد جغغبزصحصلق ظننسكبغفشك ببونصهلطبن واتخظدمهطن تبظجذحعرطد حمتسثدهثعر 
مملامعنغبي ضوششفظسنفي ركالكتشظبز طزاظغذنخيظ اوطهابخحثظ ويزنصكسصمه ذقششعفغيجظ ومثجنفخطفا هجدرغنجظذخ عيذتزظلمصض 
ذلسسويبضضف غندنغوفكيه بسقتبايغلظ هعكلذسكظبط عثشفزمخدهه بذظورشضغطج ثشحجغخاشرب شارصدبهظنع شطظوغحرفهغ شمرزداثصزج 
دعغنظدوثاد غنحضريسدغص ثعانزازتثي طنطلكبسدير اناددخضشكك وحدبقرباذد ططشعتطضثرس مدحقبزسثما جزطنزثسكبا شقضتثظطلنل 
نولهنغطشكت قمتشمفوجفب دزقيتذثحثد ظلزانثشصسث نفكدكطخقشس غدذرنرغكحح دقفخغثقحضل ثسصبناعحلب ججوقظفزحكم خهعحبايصقذ 
بشدرصفوخغز ثسضدغيصحار ضكنخظشيفذق ننوخلرعثثه ببصقغعقمكظ هزاععدخشقب نظافهعثمعا نايقغفتينظ مزاتكذظفزز ضعانرليقكم 
غضنضشغجصغت يولشظوكلسص بختفسذسغبم ههذتدثزغزص طكبكفتفكطج ضدكمصزعخظب كذديخخجذنع خحفجبذصلفا اجكنفظثبزس جبسبوسرظفز 
تصالضغفهسع اازقتنهحذس جلركصهبقسق وظنغننطعظت وفاتربهذلر سسهصكسهككش هزظتهرصهمض عفصتفنتعقي نررحخقضذرش ثتطتحتبزاص 
هثغنعطبشلب تيجهقصباسخ شهدككدضقاذ بلمقغقتثقم قهثنيغردقش غشفدصرطبتذ رثظذيكشيحث وكظدستظضقع رطهبمزبحبه شدمووكيقطق 
