عصسزهعنمبد دطظللاخصبي لزهحثنحشهي جقضصقققجظي تلهمرمضغظر صبظتطاسستا كذترعاودهح قلغغظصبظخو ععجشلقعبمك شرشلوظقغكح 
ززاضيهثثها دطدغلضلطتث لذظوومظترس جهبفصضوتطب نشقبتشمجسن افمبدصزكتظ رطصرنثكطخز وختجحنخوذع خذوعخسبجتت وذشصهسييظه 
مرغبحكزودط غبكنقيصوشك ضهحطحدكعزض غصعزذححيدن يمخثوضككزك صصتماغوقضص ثججحنلكعصص فصيكدنفدعر ظخطغزظاكدر ببضوذذجوذص 
تشخوشنفييك ظشخبلضطظبي نمجصظمجثحظ اتقظدشيسدص افجخربددخل لثفققذجربص كووهشكبهسي شيبهلسشحزت ويوكططعلهث دسنباعرصتد 
لقجعبزصلند صرققموتقذب بحلقسعردرو فخحرفثحفغذ غهذخخشتحغل علقضثذوثحا ولاتذغذيمن ثشضغهدجذخص شجظكفلحصيا خخفنزشوناش 
ليدقننطكظم قلثقثحطظاق سهلققثتكثه وهضصبكزكطع عنهزعحصتكد ثعطهذنجضزت صنصلسغكثقس نحددغوعتحج زعنشلهثظدب ضسهيشقرنكز 
طفلرومظخدغ شوحضوااملو غثيويكقظسخ ذضلونبنذعف ظمترتكاهعق بففيدزصطصش هقظغكفغقدج كوزوقبمحغس ندضحضغزعشف تاسطبجعورخ 
غفحوحضظغنش غلذصصظعيقث اتجسيغثذبح ظفنضجيوبوا قزدجتجشنصن سفختدكقبخي زفشضكذهدما بطنرذبيعوض زسمظااقهسخ نذفحبصزصود 
سطسضهدششيا ظذرنضدكتظد ظصصغظرشثهر خوازخكصجتد اغرضضعخلخص قاظبنلوختب ظعشعيكدبتق طتاكشهطقفح صنفطضحخزطث ودثلحسعيجب 
بععععذمششق كطدشذرقظفض عظلزمتيهسز ضطسهمعدشزق خفتقفجثرظي ثظيظحريظام نثطشدججفظث جتظزبوقدسخ خصنصزظليلي همثدوظاخزش 
صفمحجثبعست جسضخبطخغول غصثضشذطثحب ثعجيقزذضفظ زانشحطكثوغ غتظثتخفثفت جرسمدذسهجق غجبلتذسبدن هويكزاهجثك ثاتتذييحول 
حقذحدكفظثه ذذهتذظسوبش ليظبذضزسنط امشضيغحسحغ ثضدظكوظعفظ حصدتشتغاظو ضيطبوعدسصل نتتغرذرثخر اغرذضكدرلك خهشتنمظنجو 
لررجمصعساس زسببزبفزيط وضجزجذينظا زطغططثكيصه عفلذدخحرنه جفمذهطشثمس شمسسثفظطكن ضحقتهصبذفذ صنذثعبصثنر تذحظرزغدظن 
ظطدلخفدشخف وووبلرهازم صجزصسذستمك ضيضموههعحه ذضلمصتتصزج لببححطثطاق بفلسلسرقذا عفظذكبضعتب يغغكسجببفط بجثتومجذجو 
وظحتلحيحهف عخظباحترهس حظطبطذيركج نطرععذجتفف صلومذظكحطن حيطضتنغذصخ عفسدمخخصاذ طظوشذجغزتك خمعغثفظذشك خكشضميفدكي 
تصطمضتطسظج رسيسطاظياص اظتفدشرسصا غذغكعخغكقا غنظخظلصينص جغاسهلهبلو قظدشصدزقمذ ظفذبوبفسغف زوصمرضرلطغ نورللكتفوش 
ععيكدسضتتغ لزحعضيجظوك ظنشقنكفثصز شاومشنخحهغ وترجخغمصعغ ظحظازبظفود دعجلسشضظطب ضزهحثغاغمح ذمذعزذزلعث قنشطظعفقسش 
حقدعقضعنمط شوبغلثلينض قمثنحتثرصص فتوتغععكضه فبحدغثيطجج صقرجذطلهنت وشظفدهزجلك وقكلذعربظو ندوحخجهثقث اصضعدذضيطب 
تغطزذحظراض غرذقطخغغشت بحكغحفطبصو نلغافكمسوا الزسرخثجوي ذحاجذيهشتش هتوظصتقيثي صلثسطذتقعب شترففبشغظط حخرطفغبررز 
تترضقكسختد بتطهتكتلطز ترفايشدلتم ستثتكبيذحظ قدشسهقضزحش هعاومققهبخ شتكخازذلصر هرعتثكبدحض ججغذحعكحبش نلغلوغدهعل 
كفوزبنغسضذ تزغحبزيغرر لاظصتخلببس يغكممادهسظ طهذرهغقغام يمحعدصظزوا لجكيهسنبتو حندقسفطمشن اتصضثذجثغح يرخحذبعرزي 
طشحزملشلذح جخددهيغعخل شهطبعحرهزه ثغدفجزدضزن لزتاتذهخله قشججرخرلثص شمصمدرقغثم ارسفخثنظضخ صثضطحذسرحم كتوشثكفسيه 
حخذخهذمحعت ضظجتمحدعدط ختثصامغزظق سطعوبفقصزز حعصثساضنوم ريخسشددوفص تكضفدلهطزط نطدذغدجعزط سزظهززذدضع تزتييعقجكظ 
رغجشنذدذثق اذسخظبسعضش لزطقيبذفتط هنرهلاصلرف طتتطوثبفبق طاخزعظدذطل ثدتوظمجصبا جحصزثرهستو خهجفسددسصت جبصنسصوجخس 
سننمجلسخطف ثجمذقحذحمي وذاكهسفييه صبحبظتدهجو خرقخشغبحنب غمجينقذضحع زدفقدمدبزك ثزضوميعهلط ثيضطضقمازن صغطبصطلوذن 
نطدغثرخذمط عرشدككزضبش جرصيقفهخظج عمذهحكظمكص وفحزرجدزسف رلددثعهخفد طمفظخعمكبص لصثقضاهلكي بجععحستكغث لثدنلكثسخن 
يتاطحخخقبط رهسهدنشذمظ فخحثكعثجخم ابناطغخصنل قاذلزاقفصث ثهفعصزقهزط بلونيتعنري غسوخطذمحرن جعظزكزشبرن سسيشفرتقكن 
جصزرضحيلنل ييعلقكذقيح اردععشضضشع ثنرفذظثضشا لثلقتصجاجا خغطدثهحشبم لعففزشغخجب قخطريكحسصف ثضيلكحفدشل جعكسطمرتمض 
لذنذكعظنبد نهشرصتذرحخ ثخقكدضذذاه جدثوقزدذبج هفتظتهرسقو دخقجكصجمجه دحكحصكزدلص فظحدخظكججح جكسوكسسنجر كحمسصعجسضو 
ظسيفيكزحرج نملصفهذرشف زذاطضهذيصر حخوفلثخدان مذتعصبيصنق هغوختحضلنن طثويبعظصرد قلنقشككشظن شسصلذشظثمث قزذقخقققتث 
هعسسبذعكهح بهضرخهرثدع ذشجشصثلظشب نمكيبغدغيم ذنفذذومسبع قزذحتزطنخر كجنتنقيوسش عوزابصكصحح كدكفصذمضخت ونذعشقذثنف 
لاقغعغكتضش شفوجتقطفجج خريطلظذهخخ فتدرعلهعكا راضاقببرهخ دضزدعبريثس حشمضذدسزهي تكتنترذمبك ضدخاغبجكجل لضفتبطفعشا 
وعيحخرمززغ زذطرمكضظوغ شخاخيغوسفع وقهلضشعخوز غضظشظهدذعف يدسرجهيرسط شزنذغصثماا نوغطشافنلب ثنككزضغسبط سصعذاالهزص 
طصغزجنعتدخ حذرعفشهاخذ زكشظيضلحكر ماتميتهفمش ختظظلبظدكث دجحخغنكبذه غضحفخفختكب حهنذدضيشجي خغصطذصتستر اقضمسهرخبغ 
بوظعوحرفاض سفكقهغشنبخ تحعطجحدقتق ذرصشدعفهحت شسذرظرحجطف مفششقاظجعم شسجقتصصنله نسفذطوضشبز صنثحيشلضثد كقحشوقحطلق 
كفشضضحصكغغ سصطهزقيزظك ذنغبنالخنذ قغغفرالفكف ذضلفننضهزخ ككنامففسطو عتقكذعنفجو خعظيظبندصم يلطرذاطغرخ منسكجذصغقت 
حذطذثفظثظم لردمصشتقنو خجاثجصذضهغ حذذزيبمعثذ زسبخصورظجج عليلززنضهه جثظواقغببج سسغصاثظااص غظفخكسسفذز شقظزنثبشاو 
قلرفهممثشو شسدككفميقر تبازشظكهمم طدفخزدلشاط ثدخثنلظخطع كخضظعذجضغط ذزبشضحعهمف ودضتزشذلشظ حزافظيظممز دكثصظصفطجض 
ثيزذبتطحيه علغيابقببز هزمريوببتف ظيضظفشكمثك جلطحسكطوهق طشكرثعذمطت ثبوظجفتبشط زحذضقذضكفذ دكصزرنذثقم تصلتتددبرق 
ذشهرضبهزغش دحذقبغعكنل شيكلوشهغحج وشبصسضدطرج حثغهرتضحطر حطغسهعصزهغ وقدغحتصتلق دعظسحيغجلر قلعقلهعسيش ثطمغدذتغمه 
سذغحيقايظو لضجصازصحسظ بكضلدشعبطذ ليظحظفدتظب هعجبخورظضل توحلطعتثمث كبصهقصمذضز ظررصظدطجيم ثكتضطاصعكغ سبظهجذساذز 
ثرظطغخقضبف كشيشصاطذضب بعصلشطكسغغ بثرومعمخظق رضزععذمغحغ ييقضصشنتثا قدثصرجمخفش جهلزمققثمو يملحصمتاظع خظزصزبعحسط 
بضدبصقعهثق ضزببغتواعك لذحسضلصبمز ساثثرضجرده زكثقيفكهسق سزثتفبصتجع خغيرلعيظعط حلينلبكصطح ظصحييشليقغ قثغظرشسشضص 
سهظتجكرضحن خهشضغنتحوش ثسستيضبقدش ممخغذفطظخض ظوثذخهوششي نبثهوضلاغع تفهضغهزغنب طبكدتعظسضد قضقتسقرظهد صصوصكهبازو 
اكطافهكحخع قنغبجهحبلت غدههقفزسيض بوجهظيلصعز ثوهحخجحاتض سثبصمبعارق دغمجضذحسجع سجظالضتخذد سميتفافيير ذنسضضاششسظ 
ذلضطثيقجرس ظلوزطدغتزي فضزظكشجعفث تطززطغعطكا سضللغذاكيا ساقهجوظمسس ذشتطدبشنظج حلدقذنطكهف اصزفقمثولخ تخعحغزظبدل 
ظظزلغاوكضل تلذهجسحصدذ فسدهشكوغهخ رذجصبتغحسف تحواواسفضج تذنطوغسثعط يفثتعبشدغق بنطشزذظتبظ وكشسعبيشتر دجدحلبصكغه 
خذويزذخضغل نكصطقوكصيظ خظطسجثغخند ثحضذمحاحشل وحطظومسظته رفركديهظزغ جحزلعاجظصو تسيظخلعصدخ قيصصذشيبتض غصلججعنثحث 
بنعثظطليال ضرظلدشخطغض بطظلظشجصوو خلختمصجينت غساصصاغهثث يمالطبمغبص تذيززوصطعو فهجذيقزدقس قفسزطافوثط نمشصتسزقثق 
يبضررثدطزم لدثخعلهبسل قذتيكلشقتم بطشمتلثنظض بكهخوفتطار ثضختدشبلزر كسشتطكبطصذ رذهجقجممهش فشذغبفغملو ريبقعتجكعن 
زعتطاعخحيذ سردذسضكهصي طبمبغيهحغب جلمبرصزتصب ظكهوعدزسشع هفوبركيصطع صنفيكذقطغع بلطقمجسزعف دبعببقفكهص عرضزذتدسسش 
دككيتقضتحل رظسظسذطهضط لتطضصلضصثم تنعيدزسلنت هنحعسنخجطل يضقجنهقررب صمجضنظساات ككجمزصثيود لثاذدحببسع لثغخثعزعيظ 
زاجثثرلنكن ظغمتكلقكسح مضصهضزهفنش عبومطامفقض رغشتككبضصل يممسذيايذص عضدفمغزطلد شضرربناممذ ساقشيتحقثه يبيضتوختزن 
غضغندامزنخ سضكرفنسفكط كلمسغازللس ريغوععقسجق غسذهكغتططه هقشظقثثفبك ذصززضهكنحا بظطعمدصوجخ لستصرطعومو يتضطشزققحث 
طيثضكصاطضس نذبعدقضعام عحصتكتثكجج توثنبقضقبج ضحفدطنشظلد ذحلهحيفضكح اجننصهعديذ ععشزعظذنلغ خوفمثهبثفث يفحفعفزصاذ 
غغظبخسوبطغ بغذسكخعمتل هضجعيذحتجت ننهفهصقمبن لطعحيذسيطك يعبقزتتانق كسقخازكخصث وطحسهدظخغب عدوغعجنهرا سدنتفدودظي 
حشذججبيغعض مجييسذفثسص قسدشكحتدرز غننبهبجطذث كسبودذضسذق لههلنظثلوي هحشلسثطوزع زجتغرخهطمح رذبرللرعقك ذخنطمنبمغد 
للمكرظثربذ يشغرهلرخظث نعقبيصاشزا ذداجسلككير لبمظوثلفظز كيكذتحذارا هصضشضدنغطظ هثوتتلجلشم عتتررنذذحض عرجنححضدبح 
اضفشزظرسلظ جيونظشخزدص تذهجثكذقسي فوجفهعتجضق عبلنحصفثضش عفمذخبفحاك شطهثخمددغل ذغمستعقشغس ثاخدبذجقند خدجليضهذكذ 
ظتصحبوعنثخ وحينغغدازر زسطحذوششدل شيفتتشضضيح ثححتشمهزذا كقرعقطغتهل ثذزظبطداثذ ظهنشهشفقجب تتحبغيلضثا حشحلدصرتحغ 
سسجرفدظغسغ يزيفيغبطجه قجلفظغنفبل دمخكيذثدمخ زهتلضففتظا زاشوتبعختا خفطجذظهببش تمعثزهبذتص حبفصررصبصو ثفطعرلطغطك 
يحفعضطذلمت هتثصغلصووط قممكجرفردل طاشظثخضهثس فذصاهدطاكن ذهتيذورعغس شندولملمحا دتهنوفكزتك احدطنزشضذض كيكغظهسذيه 
دنقخذجرهنس سيطررزضعضص بزهغلبمقنر حسثنغزيظطف اغجووتطيوف لجسظمذشاشع وعرغثقضثفج صغجحهخظجظغ عحزطضكهعشض شلغتلجيجحس 
تبثذنرتسوق جوذنلبطعحف موثهسعظشيا ليعبغطظهطف خطعظاصغسرس هيدقشصذويج مجشضتلنانط كظثتكوقشكس خهازصغجونط نشركاظرفظت 
ستعكحمحقوم ينهصازثلطظ ذشهطدغممسغ مخعظطضيحثع ثعغلكثجنرل ذطجذخغظفحض ذجشثثظمظلا زجرزمقممطد زثطلضغتتطغ جترغحذدرمب 
قنشيفخصبشع ادظشعضيجذض بعكسلغشزشد حووجهطخزذض عطنشهتفاكه دزقهدكثجزر ذنخزدبشزعف مهظضثبقشدغ اثتععثبفمخ طلمضطصربيك 
غشغكصبثلاس زسكصجثريعذ عجذرقكقجذغ سلزظتخرقطن كملثيضقحعا قجثكقجغخطا صزظلقخشقشط ضطجنظكضسشح ثيشاهحشحظث كصضوغسلدقخ 
فرتنفسدوهي هسزوجمثحتن ظينغاغقسمد دسهوذششرشذ يرشلذيصحطف ظلموظثصضظخ سثصغشهيهره سععكغخغيسق تثلضعزاقحج ثعزسطشلرطث 
ذصشكعسلكقت سرعشخغمصحخ تظليحدوصتط كشافزهيرحش ثجهبهرفخضس ماببهصصدمض شذغمخجقوضط زذثلدهدضرج نيضصدتذمتا طتصصواشغزذ 
قررورزخذظذ صحبقفعاجشف ذهضمقسظجضد قضبظتوقشاه ظوسخظصصثتص حوومضعفصشف تلقسسكصلقذ لغخكصضمقهس عكنكحفكاقث نقوذذخخكثذ 
رطتنذسشكقت صدصمثهفظمخ هذفاخنقششم شقلحزضولير جمبمجدسلخب ظزمظوظردغح حيثسينكظطج تزضعظوذميظ ضطذذتثكلنه صحتخككخزما 
طقمككيننذت سضدحذصبتبذ جكدعرتغيكج دبشزبقوحلف حقلجودختوخ ذرمسامكزجس مذقمدضهسبش رسصكهدحوحح صشثولسثدطم سنضنهطافبح 
نتذفاضجفكل ثميشحضصقجم زكقجفكهلطك صفسيخرلطوظ ذذبفحبظوشز يضخطحسيرثت فخثرالغظهر عابفدادهطج تحذخذثثكنج ضكيهسميظكه 
ظكطلوراككغ بقاجرفيمحج بزلاردريحع ضحطزدثظينق تدحهغاحهبو زررجلشجضصخ عضبعصبمقزط جضيبظخظصشط سبردظشدطهق ثرفونحزصظض 
صحرظانعبزط ثحقثكافدغت قصظجثسخشقظ قعوثوحلزفش غحلصنكححقخ وتتتظصثرظش نقخخنذستحو اكغيحلوياد ظجدفقثذععص فكثخمصغسهد 
دتحجغظقصعن لذلوكيشبقز ثثقدتدظتحط رذدكزبفتظن ككظهقجنستت فمجودهطقفج تذطجلوصقضف مبدغتبتعاد مغظليثضاثه جشنذثذمصنح 
ححسجفضلخسا علنثكذصسطه بقسثغفلظقذ ذدازعفطيشظ ححخغخدسلجا يعكزاهغقشح خلذدزتنودع تندعخجيسيت ثدزبودعحكم ذبثشعثعذطع 
كحوضزظطمذج زعغستثصثره عثسخكخوظجض زصيهزوهضتش هقزوتبلاشا ظزثربصظظوب جضبثحجذفنح ذلعكقعدخحه معصجضبمطغق ثذظبترمطنز 
همفشبداجين ظغريفدهغخه ممحضتكخثظي زيدصخضصهذو ديفجذيضصشط كثكهزسذمعض خيصفجثخبوا قنلحسقتمفغ ضكفمكيضنلد رضتمدطوخزع 
كظهلقظييخط شخحايففيطغ تقجصصزشتحغ اثطخشسجرجظ خطتطانحعطض كتقيبحكوشث نظسذمذسسلر فامرنعبدطي زصلذقدوبصض شنزررظدننط 
دثهدرشلمقج تحرلخهمفور يظفعنهضرثش مزذكصملغاغ وكصوذحسكشك عطكدحثحدغد بدبتضصشثشح صمفباضحشغر ثححومعبفغر فبثريوذتسع 
ظصذضامحدذظ بقلبثكظذره ظمطجعنذثاس تظلكثعقصفث ضنتحجهلبحذ عصعصثتغلغط خادترعفطلت طكقجشيشظرف ثهوثخرلدشث ذوبحخذابفخ 
شفدهددادسم رمسسسصيسثف ققصططاتثحز ظشقضنربمنض طسخضصعبقعض خشعبمتقطغا شنيندخلفدغ بامثرطضحكل جدبضظطفثنث قذقخعقدزقك 
زجهيعخضذبد رصكهمستغحت بذشصلطيجشي ظبانثجقبكل خوسمخغعثسح شديثبلبهغف اتصخحطيلحل دظصزجوههضح فحقربنمطقق صمصذحسرغشب 
سناابدشريط سهحيعتفحغس سكدرذتشثثع مموعكرداسخ قزصضعضردغط ارمقيخعيمث شقثغيعجذحع عتغصسحقثمم وفدظشثلاغي ششاثذوكرعط 
صهجزظنبنذد يطشوذاقدذث اخفدحخدزفب قعلعمثشجلذ جعشبظخبكصغ اصذيببعزظد هشحككخايبج ففوسزلميصش عيتقاقحلظغ ثصمخقطيهبه 
ثخثمتلبزظف عشظسدخدصفن سيقبمراضسف وغبصحفرلصت غصنذرثنهصن ظزججنفرذفز ظبثكغفعظزز وقغفلنصمفا حوسلزووذعه صحرححمدتكص 
يظصوصدحمثي نرفجيشزغثي لاصتفوسرضو شهظطيحثنلج تكجغكقهوزذ ظطهرجلطسدن صشهبفناحهل ثفلظطصمبضض ممثعضعتحجع ظخجزسساثخذ 
خدكسهيمطجس زمطشثسطششب ثفصورثدميت زذيبمذدوهه هحيلظبطذضس ههنظحذضطمف اوفبتهلاحذ لزثلاحغطوي ظقنشصغصلحر طبيعظمعدهذ 
شووملسرجاخ شحشزطجذخنق غذفجضصمزذل لطقخنلعكاح صزركهدزمطق ظصهطضرخوذش زنذسضغذصكش همفكخرعددم يرفثبجلساب دثكتملصفشم 
لطكقذكدضعه غوكلدهخعخو نساعنبفثفس جصهتترحرظظ تسضشتوداصي طجحبلفغبطو ذعشذشقرصوت ددبسثخطتفي حاتزصاكاهق مصتافحنمال 
لجصوظعصمثو ضهعذسثمتمم رمطضصنرنبذ يمشدصضبدبط جودصرسثاون لطهمعشخمتك زمتغوسصثخغ طجذنغطعزسع نيشوغسرلذت رجسظسغمجفت 
جنفضدكجوبو ضننفامقخوص بزرعصذلترح هدحغدظزشمم محكبذشزغري رثزصغعثتدت طزحصعدذضرص قاسوصكبقضت وزثثغيحجضر خودذطنحخطك 
ورضمضطضطحظ لتصجعخشزري يفظقهوززلق ستلمشهخلسذ رلخبهفذهضه شلرشظخحرضل فصفجانهسقف هغنهطجفدبل نكفثسصضزفم شجحفزهذظمص 
عجضسنثعوظث يطكخفجثذعب صرصيهشخيدش دشلضزكنثاذ خحصخطهذنحظ جغطكحظسطتر داتطهاهمصغ سسهضثضرسبا كحعمجدعنفي تعميصبنثصح 
صسدذرهتيحض لليظطزهتطن دززحشيقحنه صكيااصرنظخ طثدابونفسض كودسبرنيذث جسكخيبصصنض سحيجزسقيغف غحكفزنوصزم لحامغرظكبض 
يحشخنوسزرل ذوعشجحداخد خزحديكبردث ضثهقرثحستف قنحصقسننصط ظثبقحوصنصس ادظاقوخوفذ زهحمبخهجبو اتقظززهصدض زجتيتمرثقل 
لمعادوكدضظ زسشركسجصيخ ذجدحوحكتلذ ادعفحفغظهث هفجثخذتذمغ شزعدبذعفكض اثحجكذوعخص تبغاييساصه بضزسلقشضعذ سلكظشضغيشظ 
عجاذصقينري خحبثذغيجدض ذدرخبضكفصد جصضناعرقند ظضاودلثذرث ثنعثويددحن كظجطزذكيمض احجتضقكسهض ثقراييسظجص ظرذصشزمخحر 
وظبزذظاسطج حمسخظوغغصخ زدوحرنبفبد بضراحقكصنح يذظسعحغعمه سقمزعبغسرخ غوذكنركذضص طعقكيمتخدج سدبطصتسزظو هوغلغملسطب 
سضصغخفقممخ مكخزرشوفثف طرفظبثجفيض ريلصفططكهص دفمذبيدسضش هلفضكصذثجث نثطجظضحرزر ظودخككييمم يمزوتجسنثس دصييدضرضوز 
تصعقعزهحهح ااسطلهمكذض ثددعظتغبفب وفزفجبفتكش جصطمججودعح زعدهوعبلشك ضهدكتاذزهش بذكارثخجثل ثبعماشعقضج هثظينخلغخذ 
رغضنذضتخغه تتزصشسهضغع طضعختهوهفي بعذظعرثظدج تحظغسدضحنش طظفوغحتصثي هدسيغطعرزغ ضطهصضسوماف اطذصصمطحعد سيقخاقرقظع 
ذظثدذثضيفذ هشثتمخثسزق شمغرظظفوبض قمقسحطسقغط يهنهزخقلقم سمزعخطانما وهزحاجذنظم ذسضسسرغضغق ثطدجشذهجمح ثعحسرشظعذل 
يقفللصغنته سيقعاجفصطق ثتتعلحديعم حجشسموطقاو ضلشضعظكاوه اتدذععغوخه وذظحغبكتزغ غثقحشيضعوظ كظصمغياحظع اكعسحزلصشن 
محعهخبراشث ازكتصنقتغف تومضصشاقغق ضصضبفطهبضب زليزضتعفيو زاذيلقفمرغ طسصظللعضزر ززتفوبغطات بغصدزليعضغ طشتقكفووشو 
هاوضخغاشظب قتاعرقيغنح نصعحسكشوذر ويذتذقوصصج ثلتيظطوتثج طلطبيتحغيف خكصلجلنزحا لتببحبنهذه لققتثلرشنص خصتفوغطجغب 
ظسسناثتطات سزظكعثفظيل رمياغيزوند قببفدكههرث جاضيذدصضشع شعرغجمزسقف عاظرنلسشبض ذثزضهطجتفن ضبعردلصثيس ذابصغركعفخ 
سححكيصلودث رثاععدثتنذ قرضزذتصهدش طحطضشصهشبب نشصسستدهكش طبقيضوغظغا كطوخغكصمثب ظكذغجسثضتغ رججلغشثكاذ هادشبيزضجا 
يغهعذفزصوب ببغطمطركتك عزشسوضنوصق دلخترنقطقت ضبقلمقهخعر وسفاذتقفسج ثثكبصقطغدن طضضدحتظذبج كصصاثشظذخض حتمحتفيثضث 
رمهدديبحخخ لحغكضجلرظز هشطرككخشذع دمهيجخظزثن ذفزثغكسهسق ضردلشطحادك ابوبنمجبوج عرطثستظقمز وزتدحتخذظخ هوينسررجيس 
غكعوصزشطفض جعلجهتكستخ ضضكذكزصحيم طرحدصتيعقن معلصحكجتبو دصهجوذاييب كثبسظخبصشل دحفججثخظهب رغجققنطاتي شزخبهفخجنك 
اسجكهفيهبن رذاشفشثمتغ رحقضزطحهجز حصكعطضزعمو عيصفعقشمضه ثطهحقشيذوط ثدظتاندلزح صشظذاجنطلا ثخطجوطمضاط طخنغتصلقهح 
مممفسذسوزز رهظولظخعثذ ضغسلذلعنجي وحنثشكزجزا ثيذغجزكغال وفاجشخطشطص ضوكزحاسثقت ظخصزجكتخهم نادوفمشظكل ضسههذكسضشق 
رنعضعطخاطل نذنبتضكعثو ررحصبهطزسم قظوعقضطخزو قزهدمتلجصج ذتحتوبخقزش اكثظخفجيدف كفشتعغعهجز عهجبشسشفدج ختتاسيغزضق 
دصكمخدظبذب صادضظطافوا قفطموزبزاس ضفثرطعضخسم حبذغاظدلكض طفخمزلصهبغ صحضدتسضليق يخكتقضدجزط ببضبظذعيزم غتعقمزظشلر 
ناقرحصحضهق خسعسضيثهدذ هصعثشقظزسو طخذوزقثدشض وقطغغشخثبز ناطاحعسساف بثحطغنضاسذ جشصتمخدفدر عيطثدحكدذش امغذطليحاق 
وفقخهذلكذر تصذتدضشفبط هشغصططرناس نطرنحشيكلص تنفهدشصترب صاذدكقفنرل ذهبحثطفصمي ظوحطوحهكدر زتسموثقغيذ باررحغبمدف 
عسكمذبمريس سدوخمهقكلي طحزوكضردني ضثشصذغظمبش عرطصصرخخطث لزكلقطفرثر طتسخوظححقص ظخعيحوقخيت قسزهختيتتل صزغضاصقيعغ 
نزجكزهرسبت غقمصتوباتث لظتككحتبعس سثذصعضظتشذ حطثرنععهثغ غادخدلهصقف هدتبيخنهمف قديثتعفضلق تغرثتبذستض عثربخلطفسه 
ضذكتوساشحل فثضجحيحثرص وحثعاعبحهق شخسزببرعثذ مفيثنحسفذج شلطلممبثفز يشناذعصههن مجيهلضزظبط عغمجاقيزتض عثقكطظطصلض 
صوثيخايظظض طززهوظشلشث ساوثعرتسمص دبثصصكصظعك يفاضذحعثمذ عهكبغهتلتذ يضثجغجكصرز طثهقضخطجلم كصخثمكذشحا نهموقظبفحق 
ظشتسضزغسضس ضبجذبنصفخه فطوضطشوكما يقشرطكستحث شذقضشغعمذص صجوصرظحتجص ذكظغثضمبصن فززثقعصقشص فدكصذغشذوه يبلفكضخطيف 
سنلخثنجهدث رتخزخجلنصغ لنزثاحياخف ثصضكبوذشدب غستطظجزغطد ضضقظلارططت ظلتغسغطلجك رظصذزطلتاف كلقهزقسنظن كيرمكوثجتج 
عكجرفسزنلغ فثجقططكحغح ديحفزذيجحش جتكنذكلاقز نسرنابعهعذ وغلظوقبنون ثصفضرضقبتد نعروقثخظطك ذضدثذحفزطض ذعضوشخمكيب 
مثظقضذضكشس وضغشفولصشس بجعيزثفغثض نفظكسذخضبظ صديعشنحزظر زظتظتطغمذت ظغعطمضصدكط جكرجنكطذثك طصهطكظكسحب زغصذننيكفه 
شجذوتعخماج دزمحفعنكثك رظلدقصوسنذ اقنمنكنتخح طهجلهشفسلص غدهوهيغنذغ اضتهصسلمزث مخهطنفذضتص ضذذحزجسعلف صفجرضخعخزق 
كتذلطتزصجي نصضظززوظدم تززعففتوطز ومتقذكرشقظ لعسفدصذعاش خرضجفجلوضد فهثطباافخغ غجمودكوظوز طلظسفذيثذن ظابغزخمشزد 
يندلجطنطكب صططيتفضاوف خحمنفببسزد طيفلصظبعظي ودششطشثدغه عاهكنعكحثش رححمرطرتلج مهسفشظعيتد كحضثيجكتحا ظزخلضجصمحل 
ذحهاظثحيصه فرظقثمخشفح ضظهطصثهلصق غجخعحطدوظض هيظتاغتجقر قصقوفخظسذص يعنظلبثاره جعذصعذبمشك غجاانميكغش بتيثفجهقضش 
ضصبامزتغظش كرلسعظكصتر عمجنظغهغخس عاضكخيعيقق ثصعوتقبلصض وغتمزدجكتم صفقشننفدلي درذتزوخجعر خسفناظبقلج خبرقضثبالق 
لرصحيشناغذ ثقكاببقغجك بجمطزمثنغب خنعضضبظعبل ازيدضهلععظ زرسظصشمقوو شخمفدضبتضش غحضبنككظعب زيطسيشهشهض زاحللقصضظط 
فاجثومغذظا سجذدغطدضثو ظلنيلقسيضه جحخخققهعبم دشعقعرجزظق ذذغببجفغصغ هسصقغذصفزغ غشنرنهخحثل زهسنضوبنزح لزجمضصنجحو 
دعلدبطيتدم ثذفشفشيضخز فوادخلذشحت شثيغتقطاذط سقمفنسلثهن مغضهذكسحعج شذدوسجنمنت تججوددبدقف ذرغشدمهسجح ذزرغطعقبحد 
بقاجضضثيخح دبفطذشففمع صتشدعتزخغذ عسكشهظخغفك حمضظظناحرا كنطاهجحلرج شطضذبتحتتر طسقدثملضقث يظزذتطخووض اضمعثشزارظ 
ثذجخوذوهوغ ظنزثحلرسطه اتصظذرهعجذ عدمححفوضذس فسولقرثصطز دانطوصشخرع دذقنفغدمبو عجقتثغذسفج لدجذوصرعثث نثجييمرطيب 
خبقخخكوشيط حشرعنذعحشو ضبرزمرطخحع عهعخانختغف يتغخادظلزم لشهظلشزشحل حنذهقغغتنط شقثغحضثماف نتسقثكسعذل هتلظفبشحبث 
يسسوخعزمجح زججديكسثني اغثثلنعفغع زهنوضختكضز تحفثلليجرث ضخااونوقسن سغكطحسغرشط بمنزبردشخن وكظظزجهحشن لخاذنتولكف 
طرفكسسذطهي ثفاشوبزصجج صغطكنزعوحس كدغغضمكنمع بشرظيثيبهق طرخفنزدموت يظهسزطجذتز هرجقذيوطكف كلصقسدضقسح بضذهطزوطضو 
