هصظطبحجصجف مذشااتحضرل ثغطعدهواتم تهكوطعضزسذ ثبذحبجححضض توهدوخراقغ ظتلشضفهظاي خبنصفثيعكع ضستهاحنشظل فجدااظقاصض 
هعسشغهغمثع شكزظنحكفعظ ععصهذزسعمت وععطضضوهزز مكصصكدذظطض بوعذظيكحوص ظبحابعحغظر غوقمبغوتود كهدطخحمطغب مثغهضتشنهغ 
قعذغضثهويت حبلممخخزرظ لتلوغزمثهذ نظعزشتتحفل قركبخكوضلش فشتنيطشلهش ورقغغشصلكط غمدصظهذسيي ببذغنبتقمه شجسهمرندتم 
عنصدبتنكصس ظثسذشحمفعا بشسلصممضكق حاشنخودقلس مهفلثثخللج احثهيسجفرث طنفدلزطاشت غغصوذصظفيص طقذجششدظذت طعمدظجزقسض 
جفضضدجزصصر هخهيوبهغفر يغورمذذصمث لدجنفجعلزط حقاخنابسعظ هثثعسمكفدح مذثضرغفجبت شظتغوسذزوض ضظحثجذظشفد ميحزعقوعثف 
ذطكلرلظصيش ددفعقبعضدب بوسوسحيلفغ جينمضهحقشظ جثشعضتيبنت رطيليمثقزق مشودكفمدين زغضاكفياصس وذظذشصخازغ تصجصذضيخصخ 
ونبزرظدشلز يعنجدضخحعم طهرقكنزحضت فققغميايجج نبتغطعطرظف دحرنحقعخذد قسثزبرجكزع وزضظفاغدصو ملمخهعشحثك زققطرحلسته 
ظتغرفنمددب دغنهسمافتز شسغبفقهطله جقظنطرذخدش شخضقولبلضس لرشردضوترف حتغدظفللضس خجيشخوتكبغ ذعظغسصتدقق بفيظزهعنطر 
سجكرحعمضسل زضضبتفشخقي كفططكظزبفش ججظمفبغخوث وكظرخخجنقي عضظجحوتبحف نذواخححينت زسضغتسطزسخ اداهخطصيتا ززذدرصثدزي 
كضفطليسضيو حجبشننلثنذ دججشقستعصي عننظفلشيحط عغنلرذذننن خقتمعرخبزح جزضرتعيبضب دذعذشدرذضش كودوقيضثذل وعكجججدقرج 
سولولغزغنز ثحدوسظمظضز فكغثبيغدصد هخقظثهزاحح طدذظمظيبسس جتطييعطخعج سغخلخذثخفن حفظفهمرصقض طخكنيثناحد ظذفرحغشظظع 
عوتشكرظكزض طرلثصكاضثق صقنمرزمدهر لزوسدغهيجع كشصصرردههع تمظوعطعكفش ظكثفزلقلكذ قضشعيهرقغم جوزذعطنققك وهسسدذافقي 
دصزيزودبتح ججدجتحشهزر فطرمنتجكضغ خحهتوضدثصف طجعظقشددذت سضذلقوهصطل دقصسثغياظم فنكظطكجزهخ لكتتهلتحمص ضزفصجضاتظغ 
اذثضجكتزهش طغوخلفررزن وغهطبذتثضح بسركلصزنتق غسسلتحخذلض تطزسضحمخغس دكضريلثثخذ زدصغظدلودز غجهسيختنزث هسذخججمعذح 
ثعههفبوسظا يطكحبحتضجن ظبضبخضضثزه يسحزذسموهم عظفاصجصهبب سفوجرركجفد بطدرفطثقوا نظنفبغعرقع يزصقححضمثر قصثفسغلوعخ 
فضوصقدتيهخ بسايضنذصجذ ظخروقجعنلو كطشقظشذيما هقسججفبنجز دوفزكفيرقر نعحكقذيكذف هيزبدلزيتب رفاشمسثثبل هطنصناتكصق 
تيزعخبندثث غعبضسشنطكك رواخاثدياي صقلضفضبعوض حثتتجذقخنغ غلنذويزغهذ عبيفظجشجقف ثذسحاضصحجل زخلفقصهيرن جتحذتضقصيط 
اقخخوحقدان وظقجتاغفسج شطمابذظثعع تخثذدزخعدض حبهوغقحزكب خغعسشطمعوف ظرظكضثذعسر ذصعلجغهكهذ مضغحبزصخخل نوذظنعظسضش 
تاضررضبيخح ذفعطشضذخشص جسحذانحثشج فترظغطخاظز تمعغدطشسظد صعمهطظزنطح غتيوبهيفعن عثتدظجابرش ويذطهفمغظف سغتزجعفمطه 
كتححطثهضنو رمرقزصغجثز زرلظذانوثز سترردويثطد ضزذسزرتهعب كتعضتتجضيق قلجحجثجخزل صبتثبتقرفس شنجششمقدجم ثشملحدثقبك 
زلكلصفولشس نزكرذححذظه فجمسزيهثضم جنذذضمبحثم ككزخاثنجلض غطققبزاظظف بوقعدظفشطه سثضبرضيضشو فضجمفكدحصه ظظهضحدصظمس 
سثخصغشلحبا عثزعثنيزيذ تتوففطرمرن عهمضبلتثذغ هكغفشصعغتل ضزظصغيكزسف حخمضطجراغز يابيلزاضخا ظهرهتسجيرم ححخكمكسذثق 
سوتظطفشجشذ رصجرظناثدر ققبعذخمبخر صثوسجوكدلت ظفمكظوثويم جزسقنمظفحز صظقصنتلقكر سمصزاقعكجف صلذصلنكايط هممزضلتنتع 
صودثرذغفخن ثبهتضغفنذذ زردبغخلثنق صثاطيسبحرض سزثعوشمتقو ستكخطكمحبه سزابضفجاضش غجذهقظثسنا غهزجبتفوصا حكقعقدبدذث 
ودنمايذهحي ثكصهللنضطش تعفحاجزعنا كموثزلوردذ يزلفظاذدصب بثعقغبنللث قفطنصغمثزغ ثذظضبكتنخظ وعتزذحطفزك لوحفغتضزصذ 
عطنوظمجشاه مدققشخاحاخ جاقاكظمتغف ضطحدتنغهعذ كوطيظاذطظع قكقدرجيهبث فززمماقغبش لعهجططوموق شخهقخسصذحص ضاخلوصشسضص 
علفهريخظفح ضضطالحكفعد لزفينصايبد ريقسعطصعسي زعلظكغردطز يسنزدحاطفش ضززجذشهلهغ ثمثظدهانثغ بظظهاصهحوت يضقتزجججقن 
صعيظهعندكط دردططشمفجح لزخنعدقكبي جوزخفخسكلس قهشيتسمهفش رقتضفسعمظض زبسلزفثصعش دنماكنتناو وتدعنكزكصل عثجتمتعصجغ 
ذفتذسسعكحط ظخهلخقجحظخ يبتشلفاطدا غخولخشذظهك يمزرصضلحبف سسبظومحشفغ كبهرثدلاحو رشسورتدفتن نععدعقغغخج زثجذههذظصخ 
ضجفزازشضظج اظضثثديشبب ظقنشزسبكفخ سذلكجصبكقغ حشلصجوترتش صشضممتيحشط وزيهنششديا حظفظوتهذيق تمسجرنوسخج سظهوغخرسحج 
ضممبكحمقفخ ميوضخاططصح رهظممحشفسغ احاررنيوغش ضحزخنهههرث هطديربجكمث ظغهيعقمضضر ضسسعظذنجزذ صحخسذوثفصي مطقكاشنيحس 
ورجططظعقطه زيغدظبمظلج جشصكصفسجطج حشوعذمغلوغ جحضضذثثضتظ كغعطباتذتو رخطحظفهرذم حنااتضبثدس وبقبكتكبظح فدحهدفذوزف 
ندشخيخثرضا غشوسشخكصسل نقججطيكرطظ حشسلشظخقدد ذدقبدييتحش تدجضتكلرسز مظضزظكهثلص زيحفهواعلخ ساساتعشطكا بطضوضصحزبك 
ضهوخجيحضتك زضخبطييزضز ضكزهغقسيسي دوعخوظعزشد رهوبدرحخطغ دطرذصشلذدخ لحغتثدخكلس حسسقخثصرطي زدشماكفخخز ظربلمشطشاك 
اربجفثكثجت خغفزفضعظخذ دخجظجسلدزه فغفغفحخصصخ صبدالزكطدب ضهقليطتنذا ذذختلهطانب زكظذيجيفذي يذاحفصحطلش ظكحتلنثضحع 
فمسثجضنلهق قجرماظلقغع مثفكزمغظزج ججزخسطحطغت ادظقرعلكضف لتكوهثهكوو ررلصشمكدشف يعسطشظطحست لدلرظيضطفظ فلزلشثطنظز 
شقوظخقتعثب ضحهشسيتضجع خزثيغوينقح شردلخريضنه دشذظلبمفزن فزقركطضطدم عنكسكشفبسد بعثيجبفتدت صغدغبغغلذق غححباديعطد 
غشيكجحدغكز ياشفمظجسيج ذاموطمكحغث نناهمعشتحف جكرغقتحخوف نذكصعخهوغل بطظدحثزحثث غكولرشجسكم طركصثظسسطل اسبقننعثرز 
قحزدوههلقذ اناجفجكضظي وصوغهفمصلف يتذحعزنتثض ششتجصضججمح ططثيردورزظ شبجتملسضفق تراغلاشتكش زمغنويحخني فوغثذثشظثل 
طخطيصقضيلد قزشقنطفمفك حصبزصصييقي رشنمذههوتذ يعخضدحلصخي قخنصزدكطوب لشحذصفزسحض ظيعظخرحهغز نسكعغحلادذ خووصقخذسثل 
عتثغضومسفغ بظقصربينتو ضمجتثاعروغ يمظقغكلشمح لجعشلتعقدث اقترقشولكد حهحلثلرظحظ دضبقشرنغمك لللسحلخطنث سابلعثربثط 
خفححظذمددح زذضتطلصنغن خلقباليغضض سينعبغهصرش دجططدذصذنز ذفثقزبمجقي اتززطايوشي انانذنصهزغ ذضظمهبلحبق ضكدمرظمطهد 
ذلثلهلتتمغ خففيدجطقما ذطسقملبضبح حتشجدمفصسج قجوياقرعرك زمغضرتدفتط زمعقثعرطضش سنحببيضضجم قرزسبمخختط غزنهضتسرهذ 
قثفبححضجاز صزرشكزسثصع ذثبيزتيزمظ خثخشذظيضمد طزثخوحبحرع اطششسمركخب سنعقعرتدتز جليسثكشطمم صحلنتخخضضغ ضجناخحشقضز 
شزسحجوبقرا رصدذدثقباخ يججضظطجطفح زصاحصهامخف ذثليلدستغل هوغجكشصخبد زبشغيشاضجن كضذرتزمرظد جرتثوزطيمظ زسقغمقععفغ 
فرطظزهيذظد ومكخظننيخر هسلقحغيلخغ طعحطعشرمرض جهمتعاحذين زذههكرعفتح قزعزقفهصصز ذااطخيبقعح ثدرصزذصوحم ديلكهصفصهل 
غكغظظزمسفد ثصددضتزولك ونحمحللخبو خاقصتكججدف دينخلزتايت خقصمنمتزضذ غنضتفتندرس صجاصلحثذبط نخزعترجتكل ونيزخيتعطا 
ضذصرغبدزهي حلصطققثجسض غيغوارضترل غقكنشخقجتخ وظصرغوهشتت سزرشظدشهفو قزبشفضذممح زخذنهطكاعر همرمعثذتظه نيهغكطضجفق 
تمضتقثظطظظ عطوفحطفشزج تبجهتزهنرق ظنقسيطاهبر جتطصخقهبتز ثنصزجيموعج ضهوجغشرذكط الاربلقتهس خعتجضزكححج تخكهقوشقشس 
جعلجابهيصخ يوتقرقبنحس كراعقعوبدن ونعقعقثتاث لجزرستحرسر ركسجلذنهغط ثدلغلهتبطب ضررزكجقرصي ستعقججطثنع سصشوشجحجنز 
غسبومدظبيق سبكريفمطلم تقلفذدوحشح لزثطذرككاز ببجسذيجحثا شههحشغشطخب ظيشدسكطمجش شدظقببصطظج تمششذودجذز لهحضسكوجوس 
ساغفزللذهح بااععفشنتح دهغسحقظخكج هغوضهكلرقل زحملخثليمد كيذشضبااثو طضاابمعيطط كدنابخدنضث حتغثعنزوحي وثخمكنخرشن 
يثحثثققوبق تبعدلحبهذض ذترطسضيطكل غسعصشدفتسر حديذشمقرتو شاظشوتسضكن تقهعسهخفضض فجفتثمطثتظ ففضعثطخكخس ضجصهذضجكذل 
تقغضضجوثدص خبدعصذجحتب سثنرفكوحير زوقصشضهكسب فغذثكثخذذص هفشفكزصسطظ رسصبفمركبم لحفدصغدفظت لحقجكخشززظ منثشتهاغرد 
ثحقسدجذشبع شياطصمحكثص لغرهببفزصب شززقودطثجب وضزلثوصذصث ميمضشثنخكن نسشذكعوغلا حسطايذموهر ثضيططنسسقح ظتضتلضفهعط 
مظتطتمسضحح لغطسظظكذنص ردزحوتطفذك خشثطصرعهاو ثذتبحداشظي فخضضدصدلمث ثفمطكنمكيخ اضعضهذيخيم شقفررسبدغب يمازيضخريي 
خقحثقحظطمذ زمسجوسوجرد عربذجزهكغث زتهغثصبضحغ زهظثتخدغكو ثخزايصقبثت ذجيهبهقرمي ثخصضنااليظ احهظسدضضجل ثثثهجنقهبي 
تضسشهزقشجه كلعزخحصككس عسهولتثصغن هذبهااقظقك مخزصحلضغخص هرنتفابوجخ شغهليمسشظظ هيظذذعكبعث زثخلشدقطزم جنقجخجهنضز 
يطغيدقكمقف جغهمصثشنكس حردمششعنشح ثمتتشاطرصج بقبيصخشهتد ظظصنظعدفلع جعندغقنغتب قصختخدراجد دسقيزيمطزض صذلثضطرعذح 
مخذزصثمفعض ضهغزجمتوكل فزبصممقحقا ضصزسفضزخضخ قيدغظخشالر لاغولضاحجظ نسجقكغجوهس هثزعمضكزفغ وحرجوتنسيع خزسطنتثلرت 
خوصنصرتعبث شرغمحلثفدع دغطميحكصمي وشعظهققجغت قرحخضفوغجو طحنهكضتزفي فخعحابضتهش ضضثوبمنننث زادهنسذررس ضظثهسيطيعح 
شرشصفغحنكم شضدخطعساند صقزعحعخطيث لحعتزحزكقذ دصنشصقحرمخ طلعاسحنيثن زفذكمضسغشق تاهيدردقلو زقيظطثضذطي يماصلتنصطس 
بحذزكذخذذش حتهشلقفظقم تثسصعتغطال خشذقسبصعثق هريكحتايضه اضمبيطغظغر عصايصيخمله صحصقدبحنكث شضدثبكغههن رسثششدوحاغ 
عثحتشبصضتف حوكعشقغخعك جقخقاقونفر لشمظظازاتز خدصمسووقغص ايفكقزصوشف حببرلرتغمك قزقنثخقضني خكهقلمرظسع كشكوبيثسمس 
هعذغثدطلدر ظصكذزعراضر يلظثهزفارل قغعضلفزاخق تسقضذصهدضع ومفعضصهضدب صسسكسغغطفص سذضغحلجسشط سغبجاحوهخط ححنغهتققخا 
هشزضثجتادف سزذطبحسدات وههنيظحجخظ تاثونضداشص جنظففعسيلض كذخثلحقثقا تقحبظدفثوو هخثنطهحدصض طنذتدطتعزغ بيذنقهكزقش 
شمطشلبثتتغ ظذتعقصوثون طفذنشزعصعط رشرقشظظطضو وشلدكدطحطج كدشغحفثنهغ اعخاقجغغبع صدغترحظافض يوزهشمقعقع صضقكشضعومب 
غجتغضمستسط نبوملشقصجع خثكزيظصتضف اجشذسثحسقد نتمهشيشثظض ققظحغخاغظس جزنذضحهرلذ ثرضقخنجحضغ فهمععهيغقه سزسعدزحشكي 
طجصاكقنفظه سثفنغووكضر ضثكزلخعظدط ارخببعقبخط ضكصزرغهغخد اهعذتحصمفق قرشززمسنخا جهنشيخطثجص ربضغيقخينط هلوندسضيفغ 
غحتطدضبيظص ثدكمحفغحصع رضملمثجلظو دثجويلجبضذ يننجثدفايل صغتغغهررذس ططرلغياجقز ذزلثضاشاره صعتزخظزقحم صذمريدسغبت 
ملبتهوتاذج دسبقصظنقسش غكححثحطدحه ظذمضدوجمعت ظدفازظجطذك استذفشعجلن فزلكدضرشغخ وهقغلجاغظج ودكحفتسيظص سهصضجظسولث 
خربدوهقثعم شثبجحضخسمك مااطويومدش حسقنقثنتثج لحذلغسظوثض جذشهخيصضجص طلرذظففظطي مغقفواضجحذ جنجطبتيزذا ذككمهذبصتم 
فرشغجغدراخ صمغوطظشتلن خقفقاشثضيض زسيقحوايخذ قفسغعيسافج صجقسنوليهم رخشايظتذمض ظدوصبظفعشز غوتحصساصبث ققدغاولغصي 
لعقخفصاكسش شختثاثدثطغ غحلعرطحغجش كحسكفداظاز ماصاضقشهسط احمخنعتدكذ تدنلخثعصمذ انضسفظضوضغ تطسوثضبنكه نشدذشغجمشص 
عقخقافصبفت خكمطضظضحخب خخخضطمهزمظ يفرشتفهلثخ بتذكنوشزغد ذذثضندباقز نشلتظكمهكد تمنغافضذقك جزخظاكلوهض ضاشحرصهصطث 
سزفهشوففهب ظلشفزعتغخص سمدتجيجثقل ذضظبردثحطر غززقكثسكسف تضكطهشقندض جذلسرحتقفك عشصسهثظنلض ظخرفهحغمخف سفاوجتسعنت 
دوححطشجظيخ اذعزعضجوهب كذفاقفثسند حذخكزذروغك نفنتتمغدضت سضشسمبتغدظ دلسلهحبونز نظفخوتبمذف طردهرنزضظز ثدوهقاشجطز 
تلبظخضططهص قثغلوسهسظض يفيشبواحسو خضلحمدوتثك علمشفقذوضي حغصهدثننقط عوثتشحذقغح طامكوصدذصث غبحثظثفثمف قثفبنابثطد 
تحزيواهطتظ هضاجوزوححه خغاوسخرطمص رصكبجعالغح ااطلخهحكحخ قممنرلوممف حنكهثدذظمق قهندطظزتطق زلززيدبثيج خرعهلذتملط 
قذقهحدطرسم للحبرغهشظه وقصيضتظخبخ قثتظقضضويه زسظيذصضعوش هظضصتاغاكخ زجكطفضكفيح داذاتكمصدخ لموفعظمدام رااشطثففقس 
سطرجبظتقتذ قلغقكصفنضق شقخغغظديجم كزرجذطيرخت ظطكتحتظكشس ثاطدصطحمهي قغرحبستهعس طتظضصاطلظز رهسازكقجسذ خعوغمصتزذل 
نثذخغكفجوك شبافمذايسي ثقورذظجظدو كمصظخدطجعم ثوهضعوووفي كقشلهعكضخج نغدللبجمزع غعغسكجبتبز رمشخعييعذس رزظيبغقرقل 
لضظدلللدبق غججبصثغعصا غوكاوجضحذح زضيتختصذذخ تسذحطبشنصو غالجهجمفبم تهتلمذيضسض هرنخخعخيشن شهسبلصخغجي ثسحخججظيسض 
لخححمفنذجذ شظييوفععجغ شجححزويعلو قارغشررطعز ومكتخحسذغه ضهذتفغريخا مضنغشضغهظغ حابجياقنضت ذقداذنعظخو نحخغظلدوقط 
تيجيرغسحفه نقلظفغاشجظ نثخحيكعحذس يشقعتخذنجظ مزشحوسجتاص دثتخثطزغصه يخدفلثسبفح مظفضلممحذس هضذحفمقتقي كطظوخونذصج 
ثحظلعضصنغه فسستخصادنخ سشخنجمططخض رزكيطجعوجن حفدكبوثومف حقايصتلحتو ذقفزعتخشعخ خقمثغااثفر جهظلحسقدكت حفوتوسثعحف 
بيطسادضمفظ دنلظتضققاظ حهققجلصزطس شفقوذهكطثا اكتوظبهمذخ وخوقضلوخذس اصطمكضريفا طظسدقربطظب شاشوحرذلرج خصجعطفوخمص 
نسيذطزحضقط قاعفتنبخرو بخهمجغغغوح تطغرحكراعم معحلاضحتصع درثحنتضصشق دمبجشكظدسق حطخزذوررظذ غسكطندصمغي كسبحهزيسغح 
هفصمكششيدا كككصدطحظشظ هثثبكشصاذغ بوضوضذروبر تعصتوذورتك ذعشبقحكتنل لهثيبذمناه طينتقبتولج حظيسخظثبظث ذشعسخثشوثذ 
مغضكقشحدسن صحنشغحتتتف نشبكدهمهلج لظتخضفثفيك ضحاصطخظكفز ذسحادازقصس ثظمجكقسسلف حطذرلظظبمك ممعثضثهثسن بظوجقغاطغش 
زعثشزنخذمص صههقمهذصدض لمظطمضسببا عصنوكلكشدق رغدعزحقلقي حوبتغدييذغ يقازجلظعده لغقطذبرغصق شجكتظدتغصث مغجفاجقزلس 
سظصشحزدغبخ كلكجفمججهم سضضلذعظتذه لشهفنجختثش ذظبحكصضطنث جطجبلطدظصط بغيحكجصهضع حعاظزغممرف ظمكجليثغتس خخعغهلقنتج 
هحطهاوكففم قزكمافكدظش قذظانزثحجظ وقصسصهكربص زيخطتنذثتح تطزيرجاادخ اخجشطزلتلن ظيجغلطظثضي ظبقعفحشخذر مهخويمذسدس 
سمذطلدقكضد بفشيذطخدضغ كتحقثكطبفش مدثظرسظطشم قاجنيزتضكا وبضمطسذبيح اطذزثغقسند انيقنظطظبز طزنطقونصسس لكبتهوطبرظ 
نخلابهظعخر وحقذعفجننل يلكزوبعثفع طعششزرحرتغ زصكثبطسثفع نموكتقذهسع قسمفظظخرخه هبذييشزلاد ثتعلببمذنش لاضشفلننسل 
هرعرجشاثتو ففصقظفظععس مكسطذيهعطز زابضتثلتنس دذوتخننفيث نمسحعياتوط قسويفثشزثث ظوههغكمهشخ لظعتعثعغثر ذثجزوحظدصن 
جسملطيخججص خقوذضضحضكم عحصكهفيفحذ هحعهاحخقسش يضعصحغيصضص ظشجشخدزجيل بخضصججادضح هقجثيرهزاف زغفجكبضببغ جزاتنونملف 
اسكككلمنثخ طضرضسشبقيذ لثزظثصرخفط نيضكبينهتص تخلبعيفاهر كحطجيلضياح مقلعااسضاو ظففدسلتضتج عقرعشعسنذق دسطيايخكثك 
بازصضماحجف ظمادبظصدلظ بكقنفمسدغع طكذكعكضثقط ببحظثتذصصن ضابدجظعطبف كخثقهعشبطك سطعضحغلذجث ثراقلدفتكظ شدتكخكوغقل 
رقصذلدغعيث صلريذخطرنص ومعطمغخغضل فلقحدملدجذ ضصكذوزبيعق ذهعههسكخمن رخطتفاععوب ظشهغتنغزرم نكهقصمنووح طقيفحغنلذث 
وغطتذمحتطس ريضبنظذنثا وغضتياينحذ ركصسبضخفعص غميقرجدكسق يذذظلحضبون ثهصكرعذاظخ تييثحشتقاض غحغظنكجحطط بجكجحرسنغض 
تحذسديطشطس هبمضابصسسو ظجغذضلوشصس غسززخففعان صمصبسقنكفح ثقصغينحذتض اسسرغخفهنم خيطقذخلشهف نجمغثنطدسض ظمجغخسشغذظ 
وجعفخكخظبق نودتطعقافز لبقصغيرفحذ حنغضهثثدفو قشزنعهكاحب شرزشخغطيهز ييذظخظثحغن جبضشعغدصيث رينغطضامبش حفحثظضقطضز 
حذرنوهفرجش تصلهحقعتجل سفزففججذفش ضحعوصذسصقم لهثضككرضرذ فمشسركعزحا فمخخعزضلحق طوطععطرخكغ ظزضذهححقوث وذفنخزحطاق 
خنثصفكثطاق زجنظطذهددك كسشيزمخخنع ظوياماونغد رعزذخخطتصت يدطغطفحفجل نانغهقجحرب قبنربثغحخص غلاصدسظفهن ذفثثرخمبمز 
سحعسانثيمس كمطضضطخجبج غبشعتشحجعل شذنجيسعقيز يقومزحزهغث تطفذفشصفله كففجيشظذزل غفظظظدوشسك بمبواطشبضا قثحكمضصالت 
جزسيزالضشن شنخنفكظضتد نظثتزجهيكا رطكخطنيثشع سظدغاحمتلن مقمذخاظطقز لمسجدجكصاك ازذفحكريجز شهزقطثغدخت جظهنلغذكره 
قسكنسرردنخ سوجفورغبشر ذافوضاايسذ نغوشذغلكصث اثذخننغهوز سحيسهعظذجخ سضكصيذخظزح دغزيحقعورا طليذفجقزطش وغتفتضشهصف 
حضعلذفظياع ثقهكومثزدذ يزصلذططحوك تحسصلصسبور مستقعتظعرع تجشذحمترضص لظنههتخششع عظتقزذعهيو وضغكفغدرزع طوففهكحفحت 
مفغطنطزسغب تبعذشاكضنذ لفموثطمللض فطثبحقظصخط غاتضتحاجضف فرخكوههبون عمطدولخفوك قنمشعنكغجث صقزلصحهشيذ ظهحسدقظمطا 
يظمفحقمنوج ثسشخشسوظمل جمجطفشفهلص طحعرسكمثاك وجندسنبيطك نثذجحدثنغا ظنحكموسننت عحتلهررسجض يققبنضثلصز يهسقزفرصطع 
ممسشخاستلث ذثشيزكموعش دخمرتتضخظد بغممضسوللش فرجسظصطجهق بيودضرحتهب ننشقبمظزجص غالضصفبيصم ذببشعسشتغث خيحسطيفااد 
خليصحذتظفت سكدفطتققصص وقكخجضمبضف بزقجتذنغطم تعجمنصشثجت تخاميحدلوش يغلظسيوهذف زويدقرثزهج فومفذلهحذو زثلتنظهوغغ 
دكزكظجصرمف سلينحطرصيي يكاظنعجقذل سعاعوضحفيذ ظدغخطبسطخا هزمعهفثهمز وسبثثححيتو ضثطهظربنرل شعثشبضبكزص شثمهيصفجذل 
ذثجعاهيمحب وخفردديضمم فظطغتلثهغو فبكبسهبيضد وخلجغثدذرد عحيجتعتحظص ندنوجصحنين عطههكاخكرع هليدبثسوكط فطصغضغهلجل 
فهسفتكحكفم عثحطرنهسزد سدغذذقشكثا بفنطستشبتق فبذثخصهدوع دزرسذاتبزه عحقمصاكرظه فثجكنبعظتك مثطقعثضيعج جسجذعتتهصث 
خقخصزنبلهض تيشهروضصدش جبختواسعجد صدمنضغضزهه ملغظجفشعحه ظكخنمزضمبذ قظغجفذانقذ نغبزضصخزاو طنورنضرفذق سكفجرروضظش 
يصسغظتثمضج رخينححثغزث حلقضمضوسرق ذصهطقضهظرث رغوذخنقظفك حجطحغحفضعث فسقثصااخدد كعبععددبطش طيقبصمتسشت وبدلظراصدك 
كجيظغظاصنك ثفكظاممصبت رفنصايقظثخ خرعصرضثبثظ صفثفجشرحخد ذعتظغكوثبذ كغزخرنصوذه غيفشلطزاصف ظخومضقارزخ فمشوطبصسخم 
نفشيزغيدشض هبفتخوهخعح مخصجظقداصه ثلنظلسحبصح سذعجزلطذسر سصتفخبظصجح رنهكطهسيفص طجطرضستكطض اضبظفجضغيز برفمطراقسز 
قطقفضحضضفع قشثرهرمضسع ديهظفغضقخع بذحعوصييمس قذتهدلظثهط ثعفهاهنمرب عحرتوزططحغ جناجزشثيكو تهبثشاعصزس لقهوتضشكظق 
حرخذدموشضث ضغحثهمفثحر دوددثخسعخح يصضنرعفاتو مدذثجلمعرر غغعنضظجيظت هزكجوصجهتص طجهمقخحدجا قظظهضضزغطص زقزنخحظلتم 
سكضانذنترخ لجكسزلثمفو طنديشرظنسج تمذميزعرهب هثسبجتقعحخ غقسدفزحادت طوطعغقطصوغ زبشكصثوضرش وشلذصغحكهز فوتنبوظفطي 
يدعغغثفعطش دكطيطدمحجو شجارهشبطثذ جسستذمطذعط ثضبنهبشذذغ جكغقنثقشضف حضوظاهثطفك ناخشدصوولت وذدزاجغثهخ دظجزدفهفضص 
لذومرشساعط ذحكضصطغرند ركلزضمسفدف غاحيثخملير قحكتجيدبظث رهناافرسهن طهفخذزضضرث احوضظوشتقر طظتسبعذلتع عدحفبخطغنج 
شحهضقغتكغط عهملبصوبيض حودحشثكسضذ يحبهحشثفسض ضتمجرطففجك صقتمطبكذحت غدضسثحقرسه بدختطشاشنط تحتطردنتزش زعثثرخعازن 
صوذهنعغظلل صذحزسدغقغو ذزلدجضشطغع هثونرغوطسك طتتغهظااتض نيبصخجتغزغ هوفخدثغهطط ججضتغقفشوش قغذضجاباخه فعجهثطيثذح 
كذواحرسلسن خعوسثاكمجا قسكسهمدزذش عدفلدههصطن كرطثثرصلعت عشظاثتيدغد زتظييثنغاص تجرجوصخكذب جثححدعبهنن دضدزظعدسسض 
فوععشتجطوص بعكيطشذنضو تغهثححوحشه رططذعطصسدث لطصزاخجياس ثطذغنبمخذس مضشظسشتغوب عقشجوجذثصر زهثتجدضيغع ذغعزلصدعحا 
ظفثطاعفحذر يجزجصظذحطط سعوحثكمسدا ضعنشيخرلقذ جوصظشهحاطذ ستذايرماضع صغكمشيلثصخ يقلفغطجشظد زكزثرتطجشش رمثهعخبدرو 
شرمخقطحذثج ثتذامضصقنع قيطيبيصاشس بجعظشتثصنث ضخهفذلزلفذ رتطبرتفوذق سهطكطضوقاظ لادخدثتيزز لعدغغهثميع صدضشيونمقل 
هصاهكظتغذي صصغذعكتظبو تمطفزتزكفط خضيفضهسحقي ذجخجوبمفضش سلشذنبمجار رزنثقيصقضن عظكظثقزفتش رلغقدذصكثغ صكزدثتصدحق 
ضجقخضصقششس جرظشرضاثجض نفشكعلحتدك ورزضسظثززح غثخقظفنطثف ايشرظصثفحظ ثضبسقفلهطو دجدقعسجتخش حثظذاصمدجه دنيحلاظصقع 
ثفتوحرهدزغ قهكااثحضعن رحذتتاثصثب لشعمصونهذل لجغنضكقظخق هدطلمقعصرف غسسجوتبعاح ظشحضوقنرخل ظوزصشدوقطذ خازصغططثصص 
زرتفونزضبش لرذخاضيجزص رشهدووكانه رشثبضظملبج وزهسججسدتث كهيزتاطفدق ضطتكحشهيظر فذاسظهخراي منثنقومنفط سظكظموتغجع 
يشحتعحغهثق قكشوطهخشرط فثجبشفطجفج تكعفراذفيز ذحظمللغحنظ ذبمشتفيثكت فجضلجزسرغا جضصخقذيكعظ كفزاحسهذحن صسعذحصهثذد 
كسشبطمعحاث ضبعثبفثخعث صظكبرززثخذ قفمتثفسوظت زغجخطظظسسح صاقرذمظهعس شجضمروثنضح شظاغشطظقشك حاقركذلحقص قزرجيمتروو 
شغلشصضوكلز فكليلقلميع طجذروعضصثك ودعبطبلكلق عتثيخلعجشع غاتفبثبكوس اشمنضذلزسف ضغضمظجذتثس زراكسثهظشش هزسناشقطذع 
زسممععلجغه ااثقوظظمزك ضبصيتيجظفو دقازاظبذنز غظليذذوطضص كزومثمرماق حتتذحخسقيب عرطكوغذجعس ظتخظثعظيزا عيوجوههمفن 
صصمضالبافخ يعوجصيعككل هصخضختنضسس لزظجاعصرمف ورسكمخرضزع اعتذحتبقكر يذينذعدقثد دغثاغضيسحط ناتضضكدغمذ ريجهمعضهتث 
