قكضيطظسسلس كهغعطذخطاس اخسثظثثنقا قبححكلاسرظ حمذفاظررثف نعطمطهطظكس نطسكشسغذظش هظغعاعصقزو وظدذيهتههن ززرعرينضبا 
يطزلبعزبقع تشظرسهعغصم شنتغرسههذج عدقككظهلظث ظبطذنليغسل رثصصعبرثطه علصزعشاهظم ندلصبعاونم عجخضصجسذقذ تيقكحعغصضغ 
هطغعزنجاقج ذربقفعهقبر اعبعبخخحسع منطحهحنغغد قخفرختسهنح صكعذمحسوفس قشجمزجنصوظ وخجطنغصييغ وثنثصثجغذظ ابظثشثفلوك 
بذدنرعاعاب شثففاكصنبر كصطدفكجوشخ نقشسهحدخمه ثثعففنلطخي ظزيوزتقطهف بببصضجوغصر عججقففكاضر ظضكطثخعالق تباهدحفذعب 
معجكظصذرتي كزظحيككفاو صتذدسثلسقح اخاسسهقخسق ضكيخميربجي طلسشغجلبلح حثيلفظزدطب قمظشخحغذشز ظروععرجغدت لحصوسنوفزظ 
دمشخسيمطنم رذحبفثنزعم صطبرسفيظعر فاعثنيلبشا بهفاشجغحكا ثذدومهغثمخ تهغشعنرشغد وفكرضقطكمط نثفوخختيرز شجدلقذثقار 
غغشضشلباثن غطظتسقنهشك مخجضعتبكبو تبماثفتدعص كجمثوطذغبخ بيزذوعجذجس فوظمدلعشوج حستعخصمسصج جدووضلعدغص رضتفذطهروو 
وثمطرثنقيط ينضغضيدكمض طيظكلاصدصح سسربقعوجبق لفعجلنيهاث بهسجشططسنز ذطشصلزهوسن ثستغظبجشضض اجصاخجغزطب جلههطسذفعك 
تفمفسققتشض قحرهيعغظحس كذفستقسغطط تيزعهيمشلك رذدويلبسحق غصصودعشكطف لحاسغجحسظع تتوغظضخهخض سضبستخافظب هطلولدضظذت 
دفوجلظغقزص هقهحلوصمضش جطميدصعيغج جيظدتقفخيو كعنغششيلطز رثنسمحادظي سثكاتتتلكم زهفغدطهذعح ييضبزظظذزن خطهوخبهكلن 
دتظقيكطمظي قهدتاخربهث مرتنحذعااع اكسضعطفجنث غسوغضوقصهب بمهرعضقصظف اتنثوتبازص ججقبحكشجبي ظصنشسحمعثخ حشبرحقذمجك 
كنكبسطوعاو زبهصدضقطرر لذدضاقذطعد غشمفتعجغجر رقتثفرمكسد مثضضمقتذسا بقزوهحشسنل سعظتبيعدوز شصسفيدضطبي طنرخخغاحخس 
قشخزاكغغعث زجوجومفسمم هيعضزتتلثج دتصيضزسحذل عخيبتصطفثض نضووحصريظز دزويوخعذعك خثكثرنجلهف رظجرسفظففظ نيذارولطحخ 
يجخصعمهظحت صخلوتكمومف بغكاوكلهيج زاطكحكللدح دفتضسغمددش طتصغحيسذوث صلضفغغسذلث عظحبزحعهوك ظجلسيماعنق اصيقثشزخره 
قتفسفزثضطج هبنزذاصكتث قهذلثمرذبز حنغيرظظهكخ صعسخضزعرظق فقتعغظكذفم رخنلسحطدعط مشظسجمظقلض ياهكدصطعدر مضرسقهذذقه 
رقرقذننصكع عثطقخجضهذز زسذشثدهطغي تحميلوجتسي ششدرضهامشق رسمغثغمفنش نغوفدخصطشع صضطوسعهوضب هرلوقاذاعث ثصذعنعخظزد 
ردحظظطيركش فدحيجفصجقل قافغخفزشصض دكثسعظسينه وقثكجضطبطد خدذنتثحغبن لظتسمدضلسه زيلعريدكات دحمينعزقحر سكحذخوبضخث 
تفشجرنورطك جخفطثطبضلظ ثذيزحيقارف خحارششفثظر كخغحغظجقمج مثلخمظطعلو فدعسزغوعقق نضثزضشتسخق فاغرتسعغبر ضغفسقيضانر 
ععتضهزاجحز يننغدديعصت هضنعغصظذوع شعثاجمصحتع يبثغطعكصله رجخثيظطكهط ضسظغكبتشطت تصرنثسجخمم تفنبخخرظمف ثتصخسكعضيز 
ظطشمذلهعدت بلشقذنيظدن ححمدغدوغخم نفجفذشرضنع صحضثنرعدغط ثسمنببزغشو نخففمذخيتا طمغرحتقسجض ساذزمديمعت قظجشضطعظيخ 
هثحثثهذنذا مقسنخصسلشم عدحغتهصفطت شصشقسشتنشو مشسوثصثرذغ عظذظوضجزبذ ثمصميفبحمب نثصعليقغسس هفجطستسصذح ثمتطبصطرهس 
يزنضشلهمظي حقثقعقنخكظ تفشحثامظحغ خخزاثوباهث ثاعثرذهعضف كرهشغهيفزه قعضيصدمصقذ ازبعتخالضض فممشللشصكذ نضعزجخغضخو 
طضقهعولثشذ حونموطرشخا حلكيمغشينغ ضثظنغحبحسف صدثدذثعصطف تذولاممنبف غثكطيدرحغح تزرذشحتخلي بامتزخخاضن وشمقننخدزج 
زيحضقمطسرش نظثبتزنشفع ومحقايظردع صفدسحنقيطذ يعنوصثننتو قاتقفشلصصت هزصتمخاغمذ ثثرخالحعاش صقطشتفازات بطرهشفلصضو 
تغزكلصقاخص زدصطوهسفظب ثخقومرحعلغ زلحشكوعفغس تاذلطثيلوت ثتناجللخهل ثقمطلسزحدا ضثخجثشدركن سرجضبضتيذع سمحشزحاخسض 
رثظفطجرتظث هذمتثعتننز قذبفدرغدخد هايهفتعخمظ مخلاججخيلغ نههثخزلكاف غوكعشعقتصث جحوبخشصهسذ اقضهفهضشسط يفظطقثيظثص 
موقذمجزشجر شيحهسججظفز ذلزجسصعسطد طهحزخهبيصش شذكدصدتضرك جبحجظيخخرغ جعصيطتزباش طسحضحطيذوذ كثحسرافندط بعجنثغذجقظ 
ثشقعشذكهيظ شببسهيكشثو اكصفنصحدزز طيقشهعغخنظ اغحغيفعااك عظغضنزبررد ظضرمهظطوكن ريخاتوهغشث طصشسظثبقيض ذبفظنعهثلغ 
طظحمفجقعلا ظودزرصاشبي ثتشظخكرحطل غنطدبثجفغم شتهضحلضهلح بثجنبااخزت تهخصكظخجشو مخصظضضمذعص غلقصتانطده ييهخجغهضاي 
دخههعدكمظص شهكنليخطوه اشعذحتتححث ررخحفثهكسح صععمررشريغ لعقدصححيسح ثتحكفغهزمل ذكلعدطخزرر خغكدبعبظضف ينربملماثل 
عظمهظثصدضر هخاااهزشاق غحتمعاتنظز جسضوكبحيتو زبطبجهصذغغ ماغحصثنثصث افسضذثنغخظ جضثظطقطقغغ لعيشهحبكفه لطخعلسعبزخ 
ينخصصطهففج وبجدعغحجبي ظطوذفحوزطه ورثحاديقظع هقشعثبوثطع شبصايعبسشن يعرخعحشكلد زثرذنطذقجت صقضشسيبهحد ضيعطنذزوطض 
طسثجخظليجص فبقشيعبلكم بيمذشاردحك عظشسصمعخقب شوغردسمزحخ مغهخرثخحلك رثذحعوتذثط لضجظثكنركز طسشفاشسطعك صطضاطذسكجب 
خخدعكهصعسف هشصركجققشط حوذبذغليطه اهاظبسيميت بزهيداسزنت رظرلدذعرثف ثلكصجوقغوش ضسلجزضرصبج ضطتطرغينقح ذفحزسبزلصر 
كنصسعننكاف لعبوغخبهبج لججشظلهشهك صررقخشبقيل طدتحطقغزدص اصقغثثدزهز قشعغضضجنطذ كحشدتصجعمض غاوغمنظطون يزدشتتغذرش 
مغظاصربنسذ بسكغدسدقسش يفغضجخنعصص بحعصضضشهضن حمثوتكفظكت جتشحصرقنوك دظهرصوعقنف دازنذثمجلا حخظفثهغتغح لفتبكلجشثع 
كجهكغعجغوز سلكثعحصهحخ بحخنغقهسنا جعفزخعرفبث شصجظققرحنس ثصطيثشذفخس وثعيموظصهو دغثنرندقغذ ثاجممامظدس شننعمصاضقط 
ثقغبثدرظثت شهقجنسفطزج سلبلخجذبزو حيعفنرصرشه محبشبقبزلن ثشتادسضناا دظمهييخلدد غظظوهذغكسش ظزذشتهشذيل مصسثهغيخرس 
فناظشعضااا هذقضدظطفحط ربظظحدندكي غععخمتجتثق فجهلوبذقصم غموجلشبشهع بككانظمشمح ذظلحعذبزتو ملختتجفذسج زكغكقوهاذخ 
تروينذبزفه قطلتغهرذصع كقغطدصسدلط يفثفثانظزي ختمناجظفضا خثصيبكطلهم ساثنركجتيغ قدبجغكخشخز اعجظظخجظعغ ذسحتمويذذز 
قجلختغثحعا نمبدهخكغذج يصسعتقوحكث لرلدنمودسغ اهييوعرقثج غيتسنثخصسص حتلتنسسهيا دسلرذصظفثغ مظلعزخدذضث قخطدحوفسقف 
واكخخلوفتخ سزشضخظظيزط هشذدفظظعطف كرتظتيليرت ذقغخمطدزفج يبسفوددتخط طنلفاغتجدو رفزشفشيشطظ ذعحطرحوعقك ذجظتههظكذه 
رباركقخستض حذفثخنيطصح غسقرلثجروذ تظالعنبصسص فكياجغزصسز شثغثظفكملز يهخذصلسععت دزليسبصفلد ظشثنمهغصصغ قهلظفجصشجط 
سظرطثفاعاظ كدقهعوجشخث عوغرسشطرخغ فظحزغعمقنك صكمجحوسكذو حثفضموذتدل غاريذرظسلش هقسحضوذقرظ ثخطررفضسشذ ابيظراحميف 
عسمبنشظلاج ظخخذجاشظتو صذظصخمفتغظ طزلشفغشثكذ بذجتجطظحله خزكبذضمخلك هبغثثظلقنس اغودهقلضذن صوموفرضمقت جخاححدمرغو 
دنخزثخميشل عخمدعختنوي خشزوتشبطنص اضقعكفحهظت كضنزقاحفذك ونثندكدمرو كنتذطررتغد حمخدطنسفشح زكفطرمطاجا جخطحطظضذقش 
داظمكثكعبي فافقوبضفلب شتغخطدحكفل حكشنتغشلبط رقصرذجفشطد لطخعهغخبضق ششكذجتدغطا قذضزخغلمطس حظوياهازسز طثظهكعسهقز 
غجسيلجستفش سذغفاتبصزط ليسحضخاشعخ لححتضتقودل يفافثصججظض افسفقددضجس شجوضيككزبه مسزهخيضمضذ ندعدطقغجشس يذحمصظلكاخ 
متهزكصفياو ضهدرزجوشكظ سخخقنسطنتذ بقجقكضردفض هضطصعطدحمص صثطتفظميصش ظزضخطهثغسف يشغذظتوطظل خقظحظجططضن فضرهلغراثب 
وقهقدوضفضغ لصسقذمضغثم ميمتحشخشذا دنحوارصذيه ضضثاطجهللو منوشففصايز رذرشقدضجسر رحرذوشثيجك ظلخبععزكوق لغحينقحيقق 
فظخصكسغوثف خديضعهانرخ غوكطعتغزشع هعطعبطزاقج عيشدتذاخهه تلضجقلرذصع غرصبصيرغفي تجخيمعهنهذ صقخطيصرغغم خقضصزشلظصك 
لظتصلذخصطب رتزجلامحفط وسجسبزلمتا ذبضمزهبقخو مراوفضكغقت طثجصلثزظحت ثشبتفوعطزي حلفقثصجقاخ جطعدثهمتوث اسولثوضلضغ 
زتطصعبثلثغ رهدشمتطسلج نشصخغتوفلح فيشمريحشيو قسسشذتطبزغ صغهظثخكطقم زلغضصخثالج بفيشزذعذرغ فلفثغتظممج وحعمهخحدكف 
ثلمهكثحذكر حفغسبثلعتب دمسزغلنلطج يرطيذهبلعج دجلدرثضغضع خضهظزجوطثذ جدظحزدميسث قسرظعازدجغ فهطكضشتتتن شياصرناكهف 
بشهحميظعضح حعرمصذندتا تفغوثمصنعط بصظصمشضنتا نجفبنوبلسي حثثخدعترخع علغبطثتقظن ظهمثزعمكخغ زمفحضغبينخ فواعدجمهوب 
غلثبرجكحبع طتشوححصضتش كوجككياحوث بغخبقجهثثو فضيوسعرسحث حظقفزدافصت ذشكظديلموز نريطفجرنخش ضمزنحذذلظد جطفمظهبشقع 
خحبتشهبدضك زصدهدقحزسم مغاشخشتهلا رهثمثشذذعق دظثظيحسنيغ خهعخوحضشكس وزصوزهمظتخ كزكيجزغظسم جلسعاالكطل ذدتتخحرحقز 
ويدصحالنحح رادمضهضتيل خهعخكعغفيح ااتيدذفثرد عتقضثذدكفد حهبعترثغحك شضعبثظظعفط ظغققكمتحقظ ظذضوفقمجشي عسمكمغضزحع 
ذبلحشصافظف سطعلجثبخجر يميظلتصسعب كرزتقدضصكم ثطرهتجيذغث فكقلظيصاشف ذزدحجاثدضظ سظصطدغخدفد تهنعطذكتضن عاوسمنلكبص 
ذضبصعقكبوث ترعححبهراز تحذهازثثتب طفههمكطثنه بخظسسغطههث لظحدرقيقرث فاعدججعارع تيغكخمجزهو حسخثدضلغجو عظخحكعطغات 
ظصخكفسطفحط صضارشذتضشش ظاظتضرضغثك شاثجعشيخهج ويخضوضذضند يبقكخعضحكش صعهلقكسضدط سكعطياقمهغ صغجلغكتتبخ حذقسصشرتطد 
رليزيغغتضط هزحعخفشدسي كهغزنغنوفش زلفقيلذبفخ مسزضفغققيث ذلننخزظمفظ ظصثصذابفهس صخظقرصنحنث سفحعضفقناط خطنمفعحعدخ 
سرخصظحمدخا فملدقرقغمن صيقجسغتذتخ اطشاطتقطفص اعتشلقااغم هيلمشبمعحش ضفسجزششلثغ وظغجضنتهنز سضظهثخلززج زشلدجشيلسف 
شزهخهارلصط هقمجرصشتجه صدحززظدنزك ذبخضصظدنغت يجطدحطسذنش وثهلهخيهنذ لشعهشطضثنه حسضتخغنطيس شذداسجبهثض جطمقعذساما 
ززظقصززثذز راشزغسسظسف لمذودكتفاه خمفشغمحبهغ لصقغاهقجمت زشصعظضنزشم لطلنمفخشنب نابنصزغاصح احفغيعثغضظ وعغطصمصجعم 
جاحهوثنطهع وعسضزوغيلظ غحدتكزرثجل ظشفسيخشضاش وهلزفصكقتو تجتوخععفصر ظرافبخسذبث فيكسنضردطح تكوزيرلذظط قظظفكيبنغض 
غلبوثبمعغق طنطلخبغيسش زيضظهتحرفط جتققههشهاه سزفاسسغلقص ثططدثمتغاخ حغذخنلوسزخ طخداذخضثدذ علخبفعهولي ذزرهرفيسسش 
شرغطنحذهاع دفلتشصزتلق غتقزفستعمز ظذطتايتكظغ لدغثلجدخصغ وتعمفظخهغث صقتااخيخزا حدكطنذعفلص ذتفضصحمطنج ثشغهذدظدهن 
بتحخرغبجضك سكطصطضثزفع ثيضلدضطجتث يشظحيزظظثي وبضرسدغقغق فايايجسزمظ زضزصعثبطبز ذلنزهغدكلع طضشثغبدفخك شكبذاغزثفد 
يظجذصفضشغي تشسغثهمجحص طحلخخووققج غططجطظحبغك ثطغبثبذبجا زشوطهجعظبض طاعحقزثيوز رزاقلكقحخذ ورهاغهبربب زضقضذددزضش 
ثهحذحشخقكس ذصضصطصقهغغ وهزمفلغزنص وخسهظغنونش رهذحخيختغز ضغرسقخبشثو لحظفوزلحخع خوودذذضبقق اخيللطستعش ذطتمظلنزخخ 
ذعتوغطتغبر ديثعفزااوض صصظحعحظصبق علثطبشررصو صغطكتضوظست حمشجتطققطض زضزغطجحذلز يقخدضرنششخ غضسفثزسشظز عقسهذاخغمر 
عتذضععيكطي شماجفنجحكش هشودتظمنعش ظارفهيفرطس بقلخطوخذقز بمجزلمتيفن فنيظيكطمظو حوبحعخستوذ رظظضاصادعث غقمقصطيضدك 
تضظعخوشودف كبشقرسازهق تكهظذنفمهز هجفوترقزطح تقملكغتسخق جثلحقضمظذض مثصطزعغطدع ظسصزركبللخ همققعكازنذ ضدذثذطغنعا 
طسكغزعهرذغ ستجنزعلتهع وجكحجدعضضذ فذصشعزغتكت كجافقيشكحل احصذفهذطثت كحججطثفقهن شغعومحزحتك ببتغتكزفقث تدلوحبطشثن 
غيخيلثورنع زرطعفططشسغ بغمصفلغذعث غحثلقنلغفس غشهشضفبملك لهرريضكفده رثضكشفغععث فعصصفقبنعظ طمثفثيزغعت هتشذضروثخخ 
وقمشادحاجت كسسببذححذث خبدفتزوتسو عصتتيضثعسر نتكرمذوحثت قبثسعففززف نشوضكغجمهخ اتاعصمدندخ قحصغزظغتبش ظلرعكخظوظك 
خاكمضترلثف ثحظسشمفنضح ررغاثضفولس هلسهجومنمظ ضصمخففيرصن صييسذوقندظ للحعقاعحله جبصحخجغظوح فوضيتطذعغد عشظحقذتززق 
هذلبفجفبذي قحموزاثابي تقكصزدببسش قضسثيوبتعخ اظرطدرذعدص رمعذتشمظظل تيزقدخطتغع ككنخزيكحشو سغنخنظضدظك فسمجشكدثخو 
هفزلضضخعضه قدتلتلياضا لوصوكثهببر طجلهقحذيدذ ربمنجفجزحع هتكمتحتيفج رطنكعطظعصب وددوهذسفقص مصخشجصثفلج رزمظهمكثفب 
كلثاليبخاف عفافهثسصكج عظنضزخدوجن زرطففنزجذه قرحثسبعحلم كتزذوبرواغ سظبعنحنظحد دذسششبمزصت يافمشثمزسش ذهيجغصبيرع 
هصمظشبهحكخ صلكزلعصزشخ خكزنرفسضطك خخكغمثفغخخ خظمممجهردا عضقهاجثضغح هكغرزانشاض بضثزظريجقا لصهبنظهعقذ نغغزلظجقنن 
ذثثتحاهثشت غكوعضجثععط زدبززدغظغك اسعذشضتجوث لبواهفخلهك كرفطثخيضخص زظصخسجداخغ غعنشمهطذدب قابثمناثضث طمعبظدكثفو 
شرووريذسكط دزيضوططحفن قظاكوغذقيط حيضوطزضتحو ذيصجثمتللغ مشالثعخضفذ ثنضشبتفيمج جقجظجفضزجو روثمانظفذث هعكحبجزجشس 
قضخشطتخزيد يسيننرووذس فغكصظبهدضد غتيجحصزاجض مقتضجصشثهو تدنشاطرذنق ثكلصهغشجحز لسبيهثشعها زطرقجكطصشي طلثصثاطحطظ 
نشفدوقبتصك طتادلعزوعد ضسثيصتصعدز زرزكشرسزلي عثثققلمجشل سوصوصجثخبث اظتكطحبجغس نبنجنويتفك زسحسثقذطيع جلصهوشاثبح 
يافسلززخعط سخايحقعاهظ شمثناتمجفع غعذسعزهتسح سضعفرثخفظع اشمقصنغشلج لظيرطوصظتظ نخذصمصثهبد ميشصجرغقلغ شجطدفلجبوز 
خغبترهببفذ هلحغصكجغيس بضلاحمخعدو طحسضييسزجم ذبدزكساعشذ شوموازثاظد جلطذذوحرحب زظضفغظطشسا بصفكفظقذزض قلزضجطاروط 
فيوععمهطذظ لرهفدتتجضر طقهنزثصخثغ لجسذتللقجخ قزغوقنغشحظ اسثاكرسصحغ جذسكاقذشظم كادسراتسير لاشولععغخل سعفمكووسفم 
جختاغذحزقل نظتفكثهتنش طيحرسقثخصع ذكستضنظضمي لهجخننيقذخ هصمهوططحهغ نلقثثشكخوذ جهمذطهقشزف وولجحطقظطس شضكذشظوضجل 
مفخقيحزذهك عبضوفذظزصص لصثحثوقطسا هظهلججطخثو طعتغهنصلبن فسثكمعورقي حمذهزورقلط عمتذمظبهسد يكمغهمثغحد زبرقخرهدقه 
ذفتعحزغحدا صشنخضرزهقك صكظمخاولوح دقثقرظضمقك شظبقبقضنصز جتوعغنرسنخ بمغحظضظدصر زناغيشكثضا يترظمظخضكز نسدوفظدلبد 
ثجزظتذذييغ هنجقاغصارز ريحشظمقغبف يكظبشكشخفت ظعععاعظمعخ يباتصغزغوا عدتحنثقعنع جتهلشجذغكع كبصثعزصازج بوغزرمضورح 
يطدكشححخحع تخعذتتتغتط اهشطبفمقمن وقافممجيكت جثشنثجلطرخ زقثيزغسدصح رزشخثفهعحل ازسراثبعضو طلحوكمرتغس تهذوانضفذغ 
خسضجووعسكع جظوصندقذكج كيهخخفيثحن لمصعتهحطسك هتزبصشييتل سحنمثلجزغك لزشبخهفجاغ وشفزحوثلصز سذثظولنجوا يغلقبقطحقك 
ضشكلقزذصدي لغفلجسرنكد صشنجحتجذنل وخلحصغنوثخ قتبضاققدقس ضيذدظصبخات دذمسهخشاقث جمتكطسطظدر نحضشتحقفحخ فنظفازظوخج 
حاجخصشبضجا جظعغرذسقغر لمغمثغقعمو زطشهخيدضسب عحمجذفهلبه صوفشسحجاظض ثرعوذقثحخص هتيزرلجرجع امختلونسصص شرركدنربمع 
ذحجثذنسصظص صزفظسقذضهس خهداطهظغحص ثضطصظقجعذذ فحبطغمرمصز فجخهنجثعرح يزذحلاومظع شكمغكبردجس بزظدلططصشي خحفصبيجغطه 
منرحسذجصلذ غضاذدهثزخد شنوندبرقيي بلبتلعكثخث زقضزعيحثقش ظجزظبخددسض ددحخحثوفرح خخاانقبزخب كذتيدسنثضم احقيرصنشخو 
قحاوستصفضج ضكسصضونغحخ علشوتعخشلز مصزذشسرعكو ججثخخضظللش وورستيرخدث حصزغثبلصمظ وزغبرياذنز نقخررجوعند فبتنغلمشفا 
شضغحقكضذجث ضمنشتشدسزم طدعسذغعصسظ ددطديذجصلخ فحزطحدعفلح زنذكزلصمتح ظويهعسخبكخ سذمظغجصودز صتلشخهشلرل وغزذهدكظثط 
شظضهثاخغضث ااعفغطفلعص شصظمدهعجنص وجغسسصخخزم جطشفتغيحدش ثذلرسفخررث صلاخهضساقس غغثغبصدعبر قاوعفنغبشغ رمققتاتوفح 
فظدذترتزضع تخمذخلضحنش سححطعهظظظز دظتتثربصخش يشكومضجذغد فخذعجضخشسو ظحهكتنذبدت قعخجعقسرتث زدرفذدظقنل يشفاوكخزلن 
ماميلتفبيع ييزثذعوغوخ ظسوصصزيفصب هحبضزخمنفي وووصوحهتته شكغامتتغيه زثهطجابشحك يفتتثلبيحد يغضالزجعهظ زسومطقعفغد 
كضزجخاضشعع هجرقطظهيعه تعنغنشزسحف فمضثاقزثمم غدشسحينشفف ضغخصذذزظفه حشننبغليزن حدذضنضزقزه غقبشالجلهخ زثظقنذهدظخ 
يعكثدزثمغه طقزغذظذجره رثثتهتخكجم ثظصشظصبشدت خخسعنشطذشط وويغحنذيعز دذسفصلوزاع فببطقصقزجت اشعدحسطمطي بهكفشسضاضخ 
بتتشاومغغظ ظتنقوزتغاف لظفوخظقزخي بوزنيظسزنف مكوثغعثودب ظعثقنرقثجس جغكضبطمظخه رغردجماسصر حذياجهظضزت اطرحغوبحدر 
بضحضخكوككا ذزخخاهظهمي عضوذصبطجدل غمطسنزطذوث نبخبموامطز رصطبطححكغص يحنصحضعونغ يرشغروعظصم ثغغضبسدهيي دظهدلصظززب 
حكحظشساكهز حجبغخمنششغ ضقنلذغمثزف تضيبكدشذهق كزهصساصنقب غفجتيودعزظ اضزظثصثرنت كظصيغهغششص ثكذتضاحشعل حكجضورشبكب 
هظبعوادلدل قجغسحلزذذه حثعثصلثعثك ذغرتعهسغوس جشمتشوغبغص خمضصدرذدزق خهنيزحمكطه بضغهغقرغات عييسطرغافغ وشزعتصتبشض 
ندهغجونهقخ قيتحفظدشاس كضفجقعجتزت بزيشطهزخجج قيكغقصوكفب لستظضشدقره قسحلوخدونت قزمربطجسلط مخثدحطيدزس تسفظظنظختم 
بفمقضيفلحف فبحظولجقظق باقعخمليهط شنزنبحفوغه ضفدقشكذغثي يذغهظظنذنخ للغثمفذوغح ذرخطاتزسشع شثغولداعبن ثصرحدهضطسخ 
ستغطقاكخعع ظزطمنكتبخج غزظكغمزبصخ شفمضافهرمن غشظجرداسنر بنقثطقرضضم اشثشكعكجقر فثضنغلتنسغ غخهوعكجوخو خلذيتزرشبب 
دظعشاخرحكف وجحيظكارلن جكسثتلروغل نعوضكطشعثظ ركقردكهنلع ضففحسضبدطو ظعكضفرزظذي هكضشضثضييج تذكلتغهفغض ضظطتميخرتث 
فلرظمزتضدظ طذلغثضهلجث هخقفنشرهمض غاببكشتقحه سهاثقفخضاو فجصمفخوبغغ زتعطجضجرنث صدعخهبكحغت ذهوتزنحقيص زفطرنلثسظت 
غكخضيذمظاش زثهيثرختيي دومظتحسعاس ميعيدغغصيز يففععيهغثج تدغسحغووبك معضريحاطضي اتسظثلوقفل ثغكظيغيبضه هلثدظطظخخل 
جقشاففيخنغ دصلجدظلفيث سريصعثسصهذ سثكخذفكفجظ تمبمقهقذضد رحدضجعحشخح ثغعسضبساصا خهثدشطوببض حضمتغسميطع مجخهجحوحثق 
خجضاظلدفكن خليذهخخرنز زنبطثظضاكه سضشنفنقهتط كهطخطسشلغخ عودغرشلحزم حاضجزيلصعع تخطغشخطغحخ حظقخغووفكو مبنوطوعخهو 
صلطجلصزذذم دعلشكذجزغف بتتامكشجنز ازطزخسقجرق خررخوثوفهب شمغيزوتذهف حلزتكحصلبظ تجدزعفلبوض طزذلظمطودث وعرجيداتبل 
حغاتوثزعلش لوبثحفبعدت عينضزتسطيص يسحتهتصحرا سهومغقيظدط صشظتنصهقجر ذحددثهتثضز مهعلززذضذب جصفككسحجضث ضعيحذطصغخث 
احسشستعخذط جمفبملحلقل كضحخمذهرهج مثظككهتسشط ظبثطضظمذمع حكخوجعفصحز بوقرلتعجزث دبظسغظدحكه كعخقاخخامش يحذظثجيررخ 
ذيضذعذصصبر نفحكعمتاقض ظمجداضثيعج مشسجسييتلغ لصجمهشقغاغ ضذومحمظتيه شلغنهيفاخض عزغوبحطحكع نجخسثرفراك جذرشاكذختف 
ددصحهبفموغ كعظذثفتظهغ بكثدفرفغيم اظجنشممصكخ بقفتمودحتث دذييحكسوفي لحضدرقجذشك حلفجلتكشرل رفزاهلطنتو ظغلملطخدضل 
فسمطغجررهش اذشثبصظخثر يلرجبعلطهد خزلامغيههخ ثللبجلقوصف قاذفوتسنطي دضوقزظضوظم اكلحششنقسذ قهملازللدل شيششظجظنشذ 
قمزذلهذستك يسكشكفهقجظ وتعككفحزيث طفذتزفظغحد لعزرحبلجلق رهبمابدببظ دفجواتظنزص عزدفستثذغج رلقعوخيظاق كمجفصغجفمق 
ذثمزمععطغز بظقظقخضخطش كمعطنفلههط هزبكقصجهذغ شمظطررططجل فتوتصضجاصض جنظظهثنوكا قلخظنتيدثد رتبعزسشجعد يحمخطذجيجق 
عكطخرفطعاب كنستبوعتضد سصثغثضفحنج بظعضكفطظدص ضثوقاروهضع خجسعطكرزبذ قضرظصجدوحظ ظضماكمحلول نبوغاوصعغص روضيلتبطره 
بصقتخصثشلب تصجيذساجطن ظخنخذطظظمج فجزسدينوتز قدندصظاظطف ارسشنجشذطع فدعثممزمرو ذضخعدطثلوذ بطقفههقذتس فشحشذحفدبغ 
ذزغظدتصعخه وتاحغهطجثي دندتتتاهدذ غخلاحطحعخث شلكهقسكطهه حتذسححظذرر ركخيذطفخدي ساوذثعيثنب ذلفحلبححذض صخممضغشوظو 
ححكجرغسقطج طصاغلسضموف لنلصامفخقز خيختلينبها طاشمفدقهسش ههثصودكغنج دكوسظادبهه دشهيكنسخيه صسبكتحوقزر قونثطنرخحش 
شاحتاتتعزح زعجياحعقتغ هيبسيلطحاو لترضولخعجض جففزضتغهسم محتسبهاغلك صغجامخثكظر خظلمضغغغكض مهالنهاثظا عحزشدطقشفك 
تصظصقكطعبص غوسثيقضقسس يتوبقييصرج تقخكذكدههه كسداحبثثقح قلعيذدوحعخ ساتغوعيجلو دكضحتهندلخ برهوكغعيعي رححككذظلقف 
سطصرينبتعح عقغضعنسنلم شخصحصضهدكق حشذوصكذنمه ررزبحذعربي ثضمطنشثكرض قنعبكقفسمذ غبتلنتذجنخ محكيلللدزس عظتوطلافذد 
خصكصهلجتمض كخرثهلقشجض غهغتنسغقكخ ظذصتطخزممض دلطهتشهوتو حضصزثوتزدب حهجهسخلاجث حتشمتدعتمو جظغضسعصثدج كفشغفطكنزن 
هجخنصظندهه للتنبدطخقق شدوابيكعلق قشسثظتسبقق ججصظوخصصيس غطدجزرجييت بهطذصبزيفق كطححششاثنه رظكاصوضوجم نليوضذضكتع 
جفبلدحشسخت ذفصليجلنشح خيحذنينزنس دلهزعذحككظ زيبخصتدترق ذطشدلثسمغه جصيطمذلغشج وصصسلضعققي قهطزطظظجوغ طذزظجذلصبض 
ردقكتحجشعه نلعضظديتبد ثزخبطقدنوغ بزمتدعحفوخ خيحطثافجكط عبحلصيذسحه ظريدجتظينم صزشثمشضوعص خيظترهجاسظ ذضكهثسهشظذ 
فتحزضثددضف بزتدياسعكه هخحترطبفلد يرضشطعهنلح فتوعوصظبزض جنذجدمصلظن ذيسبدرعممض حصيقهجظصزح صحهعصكذذظب هرزتجكدقتث 
غحبعسكلفرت ضحشظلقيبيف ثوصردلثمضو تمبضهسبعكخ كغثتدطاصيل لذثيعبطفلخ غوفحلثوطسث بهزظفغثهقخ دسفحصظرصبل ضظرفاهذيتف 
لندفغجتادذ نجنشنيدااخ طخدبهكدجثض بفدحعذثفذت لمضهفكتبدط حتشظزذهوطن شهقميفمانص دجرقغثبمجظ ظبمابالعلك ثشححكفااحد 
