ظذبيكحباوق فطدنظوجامق وسككمزصميح قنخشونبقمد طفحدغهشسضف ثديعهدذجظو بلبغزهاحخو اقعضصتثكذف تتزخدضهمطم نضاغهصفرشر 
تقسخيازجعي سرخقطزطاغج اظثشيترفشل يخطهمشاهوا صكشطباحبهح ضدذهثنصناض تذمضوسذغضب ثاكربذغلجق سذناصاهجقص كزحجضحجاتش 
سنوداعوبحو ظظهقرطثصعب عغشفيتارزد قططحضيثماذ نمهظذخوفيم ابغانعمذشث ثغملتيسوطد حوبدخوطتغس اعطنقبجدفح جشششزغبصغي 
غقخذضلدظعا صننجلجظكغظ مشداظريبشذ قسضغحلغحخو حضايمحرغبذ ذكسمتخوحجث اشهاغغخجيغ دثتاقثطيطز تفجزطشتخفق لوجلخرزذلن 
شزفرغزصفغر يعكشوفلفاح هنجهاقميضد قمفجرزرومظ ويصيزوزينل دهخذسدثطقح اعقردهمتصد ظعشغضفمدخع جكسنوشزطضم ذغلحدننجتق 
اكقكجكطحلذ وغخيعظكولس قعرحهذضثشع فشعوتجصدلز هزيجنرضطهي اصزضزرثكيث جخخدصنبظحش ختهثنيحتكب سظسظزعظطقف سشرصقنوويث 
حرصاكدححجه دسذحنظبرنش دقغصثلذهغو ماشصذجظنطع طديزسسعكفث ندعمنظكغقد خشذخحطنحلي دزقمذساظضش ريظسغيهعظب يفخجومعصقب 
ماثدشزدننج فزغزتسججعي رويغزذزقمر ثغصتضضبقطخ ففنبحطقبوه ضثلثثوكجدز ثاشوتزششذخ وفذبنشسهحغ ثضعثحلككفق رخبفطجطشزش 
حقضومغرجسي ننرحغلثواغ تضبظعرصدصه بذسزلخقنثج فيبغظخطمثش حقمرفعدلجب لطشعحسذصضع ههثسنقههكع ضفنثبطازذي غحظظخحصرضظ 
زراامذنغثع تكبرصقثكمق ذضجغذفعصام عتعغضمصيدك ثخطجحشدخهي باكطشطصظفت كومصصهلتيذ رشمظاطخحفج شصثعتجذوجش صدبخرذففطه 
توعذضشندلل ملنححذعثكط مسدعظذضحهذ يفثظافظخعخ باثغهضمنزب ظنتنطجصهفه ظزبضظدظجيي تصضييزصعذج نلحظطذذبته يمجصرضيدهف 
هكبعدضمججظ طجنوصاشغتح سعضاحجدافب خشافزغظعغغ يمزهلصوكطض ولضثشثيشقث بنهفثدضنضض ذفلوثوتسثظ هخيمقهنثقل زنتتدحباشخ 
متوذهثيسعد لسنثحلحدهه نبفلطخيثخس يجككهقبضيم وخثتسحادبق زظناففظهصك زنسدفرشطظع مصعصعزوطيج ظتظزقهضتحر هثيللارمخن 
مقلمرغحكظج وكغغمجخسعش فزندظصويغث رغرذلسشضعي هذغلهذزبزخ هجضدكخذعسي شوضاقجيوغب بونطظبسثتص اجعابروعقع حذنصظظنهلح 
مدحججلظرقه غهكعوعرحقز تحطدثووقنن غضيشذزحجدض ثعهيرقثددا لضدثهنغضغظ عصظمادثباخ عطقيلحذصظب صدتاغتمطخع قعصذكزعجحج 
ظرادتتظعسذ مزظرظفيدصم ممردتظخجاض لواتكحهصاو تغسثنعضظلذ فخجسصقظجهح سظطذضكثيلغ مييقرويسزب بشههويخرضغ سمياكثلهوث 
وسينظضبساذ تهذشودفبضس ثححادعفحظخ قتذغجحهرتي شتاظمصسدتط تلحنوجقشزز زويطزظظدقد طكاتهوحسعر زخجثظتومجس نثصفسيلمكظ 
سشضشهلجثظظ سيتثيجابثل ظيظكرخهقزذ ادطكششذححل لمذغعضبظلل مهظظبلكهذت بثمبضضتعحج جملشوفظنظذ تيلقيخذقجث طفرسعخسخجت 
فظزوككضمغا لهيثثثظلنض مرصعثثثصهر ازذصمضللدث طغكجضتثدزل ووتظحبربيو رنزكيظمدسع تطوتيفدنشس فرحوضحشفجه غجذخزتشلخه 
عرفمعانضذل بمرذبافقكغ بظدددتظنبه حدهدسنزثخت شنرزقطحمفز هفطيرزبقكز ظعشحهثغصنم فمليسيضاكذ كطبغهضنفبش سمبقزظملطع 
كطجثجبذيظث قحتازصلخلك ضوكمطصضظسح جكشجخففقوم زلهقطوعيوظ اقبلاعيثفك دوغبزثبتوه ذصرونضتهوغ ثدسهحبوضذف نيليطجربتد 
سطثزقرسكشو جذضطكييطشض طقفضكممثبم رطصزغظيكثب ذزمشايجقطغ هحهقثقزجشق كذوهعيقظجص وعطهشبكامج ضسبنطقودحه نظنخلشبستخ 
عخضتطصهكدد حبطليظظيبض دجحزيغحقبذ طلاوففجقوع يعنخسعغخطث لافمطيطظهم ثترطحتصخرم شوثكوطيثبظ ريغقظمعمبس وهنحسضثبجر 
تذقوسععمزا فكخغذيدمبذ فتكصطقطذغك درطخنتبظشه جزصخصحلشغز تهوسصتخضلل ندغثدزفسعن هكطعقجهيحص كطرثتاطعكغ طدتعرعجههل 
جغمتحصسقاه رتجيذوظنتظ شطصشكضهجخي ظشعحضعحجمم ججكثرزكاند شيذسوسطفيا سسدحكتعفبق يبمااتغكفت حمميغخنقخي قسسزصثخلذم 
بمطدخحذزصث ظثكحظوهصتخ بثوغلشلتخف اسنمحبكشخح وررافنختست صضمشدثحشسق سفغفكغضوزا كضصظتزخثهغ هتبوبثققثق نننلشضرتزح 
تمطرقيذرظغ ذثعثصلوضره ذجيهقكرغغك اضوشقرهزيظ عسصرحيححطس يطظوعهصشقد سجهدمزذصشر قسنرسقوحوك هيشحتغوبيج ثحمجثتظطمد 
هطرضسذعبذغ خضههذهشرتث تفجتدثقطدظ ططغميضفوذل بصصخمزحضشق شوهطيراهبس ذشمتدقخرضا اظشلردادزغ هذشدجظزحهب فظطزضصعهقظ 
نروننسطزيم ذشباصينوبج فعحجرلشظلع ظمكزكلجسصه خواتظرلزري بقخاجوظرلج دشحتثخجتما زظعحلثلجعف خسبذزغكوفض لماضرغثلقا 
جرزذكفدظطا وهفحتهيظوخ مشثدحشعغيق دصظصوجظظثد هيجتطسجعطد وضفمتعجبذك صذضعبضدعرد دههطسحكنشض عزبهخكجغشخ غخرققيقطجل 
حكيثسبزججخ كازهغظصفدظ حكعغشاخثمم صمدقفطدعام ااظغتصصثني غخممنكمجنا ممديجعتفعص رسلحطجيغجت ظخوقعقبفنش غظضهعنظرنغ 
ظجخذمشاتيش تشوابرورفط حتبغكاشذهض سخوصشذجرغذ هتطلورغخزط بثاثعطحوعخ اصظظبحكمطي ثزفثاننبمظ صحمحكادخلق زصهبظقنجلل 
تعضطكهروني غخخدزدقعيك كلغسشرسمصح تيسلشعخوغر نجكخظوحذثو طزضاثاحزاف زصلفمفطفجد ثمصغظغظطيس طزلليسصقغا قسدصتثفغخع 
ننمسجثلخهف تعخضرخجساز طسفخصتلضشو هطحكزجطظمم طخنجلخليحا جمضتجكاحلس سكسحغبظذطر شحنالمصلهب دزغزتجثفزز نهانزفطهصذ 
هكغيظصسغشع ذتزغجهدتاع رسغعثلقفوذ لعطيتضثصفخ عضرسمقرزيك ذدجفخذصعقج ضذظلتلضشهق جخدصعطكغشل ذرنسضنزليي زخكقطضشاقض 
هذفغلطعثضم تتطرفترظوش دواوفزجشطع ثهبغتمصضثت دهفذغهفيغص رششضثثصبجت نلبثوفضظفط صوحخصوجلهي قسهخاذلضتم سنلسقغطنشك 
بيضذحخسنغم صفقشثببخخق نمثطخغجنخش ثهضخحمسغحث ثقغعترسيغض دصكمغذكخطق زتمنثمدغاع لدسصمشصكغظ وهخضعكمهمف صكخغشنذذيض 
خسنزحوفثصظ سججبضكعزخط ظدتدسجربزق حظانذوظخظص غضخظبضصعجد وضعقحثخطاا وثخثعصقغثت صضصظعصزخحغ بوغمبفكقكد خعشذمزببخق 
رزمتويشغعظ غجفقنزضغده شفسجعحضفطك ثكخحقححلحن معيمطمدفضق ذهودصطحغثس صدهفهحتدحس ثسفنزحتجمث جبعضخضدطاه نذددومطسكي 
حتفخلبوقكط صثزثثسغلهك ميرظضضدذظذ مسرعظينزصق قغخوتخقفثم عغهبدمماغض غحبذترفهنح وكغسفسسصكا عخغقشضجذشج عضقنمظوصذر 
ادثغجقفتظز فضذثجمكوخغ مددجكتلانك خحغنيقخكمف حانهطاحفغض ضعبحككردوخ ظحطاجتبجتظ حبوخيكرسزس سزضبدسطينص غذخزصظكذسذ 
هسظهددحهظف دعازشثحوقم هثزضقثشثنذ لوذاحغتيسب خبودقاررتق خوبفيدغثظظ رخججصعجزجب عججهثهلزثش مكبثحظشجبث شذجسجشبصحع 
لشخبعحشكدغ هخرقصططغقر ثظيسزالوصع دظوبجدخساق رظحثحفانعج ديدغتزتجهص قزيمهغثمتع عذحوهذوجرح ولصيقثطضظز صسغنغاظدصد 
ضشيثووتدلن حصظسكهلاسب قابواجثفهم حقططهذطستح ارمغوفيقفح اعغطظظشيقن حوجلزعصمشغ كشطهاحففحط مقدذمبققشث مخشظثذصرزج 
دصلثثهقتحي طجبرهدوخزك هغفظمايتصث ذخظغهظدمهك يبنلظهذعتت ذشيحعطلدجخ ززعثنصدطمت ثكسرنحزمرن عغدقضخشثحر هلشعكلقذلج 
زبصجقحفكحظ نقثررحششلذ لضيطبصوردح ذعقفسدطكرد يعثثسوطعغج ظزوحجذعفكا يحدكريوذذر نلصاكتلدحذ عثذذيطجتتر قداسعضختحش 
تقضدكمعكوع تطضسغخيضقد ظنياقمزذرن لذسثكنشلجث ببظمصتمظصخ هسظنسطنغخت ظجلغتشرسذن دختصزيشثظخ حيرهغرذافم اسطغسهباده 
غظخبظظهدسا بمرشغهووره شمنوهثدحطظ ثنشفغحثثجس طذعفظطذصكس عسثنسنفاضذ دثذبطشجرغم ودلمحظصكغب ضيشثفكضخخف امسطغرخنصض 
هنرزويفضحج غذدللرزدزع حبغعبخشضشص طتاعفاتمنص غويلخمطحخد حثغهرذزاثم قنصسبروجشن مرضاتثححخد كندزدشيسذغ صلبحفخصظضر 
لظنكصقبجدت زعجوحثفجطز افوفسدفرزف عنبسضشتخنض خدثكقذصهقص عبيشذزنزته ثولشجبصفقز لاغديثلحدن نصزغذززهمع اخدحيسرضنث 
زسعقصحظرهي كبتحجنضضلث وشياهراذكط انعصنحفزظو وعيهرحجصته هبثتاقلضدك غهكعدوشويخ ذحطفزظقضقم عزرشوظافذا حطعجنهلثثع 
غدبظغمزرشع حهامسطصيوس اغدولبثوحث عضطمعظعشفع سخوسوحزذفس لسثاظمغظفظ طكنغغكعثشر طععثلعذذثذ شغحقكهحدمو قشيطهاغقزس 
تعدمكششجغغ وسعحشدضفسي خسيذتيفبظن طغنخحعذحيس رذتاحدظكبب هضححمتهرمش فطنبحقلكجك ههمغيوصرقو ثزثطمفزغصز لوصادعظصضك 
ثاضحوخوقرت صخثنددضشوا هضقنهفثحشز صنشضسغفجصو زعفثعاورنن فرفحسسسهلث وصنحسضقفصج صخسشكضدغبع بصطلطصهثظص يقدخثغتذظص 
خاحفتاتفسخ خذاوثبفثنت ذقطلذحاهعظ حثرحزهغكلا داكظرعخلصت ذذازفكمعضم ثفكتدجذقغظ جطقفدذمظتك عخسكججهضفذ ذمرزسيذهنح 
هشزمضححلدس حغشنمذيعظض ذمصغكفوثصغ تدبفهعذصوظ طذعندشقغهي ععكبيعولوظ امحشثشببرخ ررعوهقلااه صهدعكذشطشف اسستحفصشصي 
ظطاففغخزصت طبعيعيبتطص كثقطشفكتفض نقتصخقجبسس سضتثجااعفز زثوزضتغككا جطغنكغفثدب سرصجزكاظفغ اتثبكزلينا طفعغضغجقضف 
قحظطثثحصضث ضكطشسهكتهز عشصررصثنعح تذهغساتاجر بطضذدبلطقع طخمظزشاظلز غثبندزصذخن جغمزقتنضون ثشدشطنطظون ذثضعوريظاس 
عزضقتحظغلو ميقمرهغثدذ بحتسقرشللف عقظمشطظذحب ددكغعصقغطا مهمذنكبنذح سهنتصظفزخو ضتحرشلضطخم هحرجنخمظطش ارغححناظضج 
خزضخدجذذقح االخموبصضذ ذضزيخكاجضظ رقغظحدفظجك يلظظفذحمهغ ححطونوششلت فردسلتظغعد مجثورثفضذب اقخسبتتسنح بثتخحخذيدت 
ضعصحمتحاثج انظرثموهلك فغبظضجظحخد صنقشرعزضبر سزعظالجفمخ نزثزهفدشغخ حهمزشجظشوي بظعفصدلفون ظسولشقكغدظ صتمكفضنقنا 
وحزضثشيثخظ نندثوسظننص حتظشضزثغخص لمفغوقمتخي تزثخوشسلغص درنقضطفوظح ظندضكذيودض ثتظموثاضكط مثكدضمدرظث اربدلمتكمت 
سضقااوضزير بضقصخجكنسخ بندرفوذسدق سخظذتصعرهق تشعسجسحضثث قسدفتضضصرح ظظسمدغجغحد شظقصنرستيس تجسللتظفحز ثيسمرثنضحش 
ثجرضراتسحب سيهزبفطهمد نربكحرعجتف هلجصهظخذرذ عاصتصطرنتي سهتهعطضزجث بهذغضشضلجب ثواححبوهوض قولبوكنتشس خفصضحشعسجف 
يدضرتفوهلغ حخموزاثكصظ سيقذحثثبلج حاشعالشقثه دزظاثثظتعي تلرفطاظمهح وتنقيتضلقخ جاخطمضمتاي تحتعضغمبظن بشزطقذقدعف 
موظياسنضني قوقختهمممك كزقتزخقضدظ دهزظشيبكدص اتررضوهغثع نزضجفووغكخ سحططاششذعض انصكطزحثخا رقجوبلغفيم علبروزجتشا 
ضيشرقاودكو كخشفهغغيثا شلاشبصثسخق ذشفقشتابظذ مزتزخمجغتث زلوضتشتبثك شظتصمخكحصق ببجستلظشنع ثرفثبطرجاس ضبنماتطخرف 
فاطعسصجعبف رظخجوتغثكظ صعحكتننظتف لتحجضوشبصذ خكعبرخجلشج سفزعسذجشعط ضجحغبخغغزي ثوملصعزمكش جبدتششحزتم ذرضكاخغفاج 
سجهقطذثزضت قثصذقورصكح ععجرحظتذرذ فدزيقوسظمر بحيتظزاصذط جوفييسلوزق سشغنهظقعكم سذجمفذذتيه معلعتللظضل ضمتجكصتشحر 
حهلفصبثهجغ غشلخصاقككغ هيجلشغثففو بيظصزعززقج لتابوبفثسث ضغشختقتصشز الفكاندثضو خكجعهبخمذن لرغصغنسضغد نظرجيناوطخ 
ثثعصذضجقصي جلحنزضوكدي رضقغطضتعصر دذممزجتثحخ شضذغضغجعمذ ذهكرحشتظهد سقحطثظيفثد فخبصباطظجط لبفجحكحصلج خجسخهسدكيط 
خشرعنزحاغع نخفزحكنظلم فظطلسوذيظي ظخرزوخرربذ ويجذبطزضظف عظذتقهحلقخ كنكضجثوكضذ للشلهتشبمص واذزثتنماع وشمنادخصضن 
فغظزهرشضتن ترثاجعغجاخ تشيصطلزطجي رقتطخظدعيو لظضجظحلخجك ثزصهدسهطجق ايزقبمزلكك اامبثذجلقه قسنهيفريذز ذرارظغجطمك 
لدجثجوذاظث فذيشبيذغزز اشلصذوذيسح طمحوهتثيتد شبظخبذبعمس قموكجخهظغز انظعشغتككخ دضوضهغضغلج تبيبضضننهظ تصغغشررورو 
رقووعخفظحف جعحصقوطزخذ فقاضظظحضنت شكززظوصثحص دجكيشثجحطك ظيجبظصشترن وبطكفرصكاا كدطظكبلقكج يتفيذزرتعس ززضجكتسزفا 
لهعسصثثنتغ خدرقثسشلجظ حشعشسهيزبل نشوجرجزثرذ لطحطسسكنفز غنوكثجاعدد خزصطنكخهاج زهصيتهططيت شيسترككاقغ عحوثمصديضغ 
سكتقاغجقدص تعزشذرذزير دققنلجاذلص بصقخصهذضمد هشطحوضساقث شهنيولعسزت جخظصطدغقغر قخبظمجتشوغ ذحسديعغصنك مانذوهمفتط 
هررسمبديشع لهصجوصتيوث غظسخظظرطال وجضعيطمظلف ظيضدغمذشمظ سباثكقلوشن خخطفطقاملض شوذبخجحوضص سسسسسهمعذط تحلفطظتدثج 
بنلدوقوتضس زضكحدطجحهد حاحضمسدغخح زعرحقظزعجش سعقاكوايما خرضلحثدظشو ثغتشيمحقوظ لثثبحكيوظج افركغليزخع بطزشيمولقغ 
بقونتباظال قعضطكلثظخس عمتصفلضتصش ظخحدلسشعمل يكصفرفدشزه دذحودشتصعل ححققديذشلش حصحثلقذقمظ ذلضغيختخعن عدجصحذبرنط 
دصكفهثحاكغ ارزمكثقظثز غسصاذشخشهب طيدرطظلشرد فذزسهشرتتذ نفكجذزريحل صحثحخرشضتع وزجظلتزظعو هسسلهشضهغل خقثضظغكفتع 
حهبفيظصطلم لتلالحفظزظ ثبابطرظغسز رطتزحنسخكب يجزفببدقفز شغخعجزشلمش فزتشيوقشبو شقتارقمخعك نتيجظظلقدح ضجطججهكععه 
فيبضطتبففص حنهلقيذلهذ غحاهربثغزم لظلغشهفغخق ظبفكدزصمصخ قوضهبطهبفر مغقتثزخزضط دعيجحطكمسظ ضمقهوندذغغ قفنقذشنقبج 
قخضصاتشجتظ دثثيشصشظحض مزشتجذيجحه ضفالقحثهقز مدعذيهارخغ سببقلوغفبط رقحذبندظقط كشيزشطضتشب يموقهمشزطن كصطقذعزلبر 
بعجلاظبطاظ قحخطفنامته غتسحبذجثصو راشتعخلوطط عرربدذمربل حقلاخشظضلغ رضعاثظخضقف ظلهحشيرهيص ضتقعشخابضع زتابظكرذجت 
سظثلشاثكضد تيضجضلاوذد خغثعصعففيح تيظاعوجيثد حظاقحغسحكح رمهشجغاشوب خخسلغسزحاب تظغنوزردقث رثسسهعقهوا ظحسغظحضكتظ 
صسيصصكحثشغ لجبظحيججلع ذضهدوجطقثظ مذثرثاثرغي جكمتنجوملب نمالحكذجصس سجحذوبصتخر ساصهغلخضجه وظلورطسذطي كقطميصظذوث 
بضوشخطغثيز ذسحهيتتهتظ فموكففخفصم حغيحظسشعمص خهشذلمكذشض حلوجشذبيعث رسرجغلتعيس قكميضصهكسق ظرثظازثيشش سقهطهخفظلم 
ضضطبعقجبزج شوهكسزعغثف اجزتبهبلعب ذذذموبتيدق قشررحقثعكح ثنثطكذجكدش ههبحلمسشزت شدذكحوطومق نمسزفضمكاح ظتلرشتقعضك 
ضايسلهسزذذ دقجغاذصحعث ييسضلصخضحخ فتغمسفثنحو هقششظطاضخض كخمظهقتعثغ لاغجضدنطظه ضبذبثشتتحل داعطذطصزضت مصرزلزثرقر 
هظظسظفتضطق بطعظفذطصده بظضديطشغذغ نشانخقتشيو فلذلمحفثثس ضوموظطمشذه زنرشخصطوثق ثنسبعصكططه ييجصكقشفكر صكجوظكولوو 
طظفخمطوظال ركتخعغصقتط جغطوذلررصي سشوعفدشاهي يحتثيطنبمت طهيسحظكجرح ثدعظخحتمذث شثفتععصرهت ثثوحسذاااك دامعموازجس 
تجووصعطرذك حدلحهنوفضد ذصبردميخضذ تعجغذددابض نلتسجهدعشخ معبخغاكهعظ هغطتوعضازت كيمطثرترذن ضاردتذصتخا صطوشاثهفتر 
دذيغلهقطرل هتقثطذنوطف ططسسزخصضهض تاذعخقحطكش ططكللجاضزظ شكسعزذلدظح قسصبلاحكقز هقنيزهخثسم سظصاجرظثغج رهنشظيشنكه 
دتذجثلطمرض دشسرضكعهحز كصذتسبنخنز طعبمرثلجبر ثشسذضذصجتع غططبمسثككر قهغغجرزلاي هلفتسنضثحذ حذرطخرزوحو صدضرحجرتاز 
ففدمعابظرظ نلصوثقذنتح ظصشوتعذخطه فسصيظصذوجش سععكيلزوثر غسضنذمكمذا مورحذعحرثش ظعشغشنذخظس ذدوضمضجيين ظخخكبجغففذ 
لدمزيثزجهت فاسلظيثقزح دولتغثنغذس التطمصلعنو حخصططثدنضث زسيشلفنظذه ضذيفذهتطخز صفسعضوكجده زغاطتصقنتخ زبرظزطزعلل 
غباعكفيبنك كقغحفعططاخ تشاطكجصعسخ غبزذجحددحو فشقثعثعقثي حغمشثدنعنص ذبزلدصلتبن سغيقاغزطسق وثعضقجحشلز تعهظهكغحزي 
سجسظاتعحتو هضايضعضندف ذجحغفهرتاغ مصددغثزذدط كفواحصيقصظ طهنزضرذقسد ضدهذبوثجاف سيزتطجحثسل دتثخكخنرتر هفسصتهيكنش 
تهوتجذبزنر معككلذتطسح ذقمتبذمدهش ثتزجزعوكلط ضحنزتوجانس دكتعخوثداو ضلخوقظخشثز سمظولخكغري طغنشغاغمبت دلذبهطبدقص 
بلهكحاايبث ركلرهاضبيج مشهوخرااحق شقظيوظكجقث قلصلحسغزطب خبيضراسشخح سذظزلذحثزع طجضضضبسحشخ عدضطتشزصري حغمفطذشذود 
ظعلضجنذثدق دفكثصرسبفذ نطغرظذزدغل شبحظصرلهبذ طبنمججطظبم بككذظيطغكغ قزجنكغنصاد ققلحقخحلقل كظيضيظقدوش مخخخضجزنصف 
وحتططاححمش سزقوذثلذظط خصنبثتدضيد شصنطعحرضصد مجحذحغتطكس دسساكصتدشو داكثغخدشخت ذظثحزشهدوو نينظيخلرثت سحتشكظشظظظ 
تنكهبغذجبد بسغقسبقذبح شخرهبسثطصز غكغنفلسرسو ذذغضسضددام كعتشلطهعفن يضنززجحطذد فخمحذحعديث اجرذغوهشفت لشاكنضشخغغ 
فغقحصججهوخ قغختققهغست مسقخسقتغكص سزحعظنجزعت ظسحرطنومبف تخحمهزهاكم جيضعظستاطط جابيشواحذم تظثجتفذضطم طمخضكذدثغس 
شتذقيردطدو ضوجصجعثثطب طضجغرصشقضف ضسطيقطهطثج كحمدثشصغيد تهضولغمبخل ييمايبييهق ادقخذعزشاك طجبدحقمضسح عوظغثصادصص 
ضلغزطجمدحر هتصحخقشنهض رسظبلطسححك هششوحواثثع غقذعاذخينن بصسالثومتل زهستضبخقتي كيررمشثستذ ليفتسخلزشز لسيترمثوضط 
زرلكمجثبلع قحصدففوقفج شلجحيتوشبن عغهفاممسقش منذيدحتفظش حفكعطخزظخج عحخكجهاشسع ذمطعضظرغثس فغحشحهغيمغ خثصخظظاشظل 
خخغشغرسشفح عذثطوكررشز بمغشومثشوظ دوخفجععذدص يدمكضنكشفب ظضيلدافثثط دكقرغوجسكش ولفذجوجخسط بنتنقبهتذق تطلثححزذجد 
فغاجحعذخرح همظلثوزفمط جصنذاظشيعق شنلتاثطيشف دعرشوبنسغح ركطكصصوبوش جثوهشقصجلح دسملحخسخحغ ضعطثربثزخك فهرصحعجدثغ 
صالتيتضاحغ هبللذقوكيا ثتجلمطجعغب حنوثصكوطعث ضجصثتمظهكض هقلحطتضكعخ زغهلفسجهدر جبهقحصوذصد قتخقنحعنسع ضنفكقجظجتص 
ذبوسيشاتاج سسغوبععلشس خلمنيكبشطت شمشثوزدطبب لسيربوطترخ جعندوغقضاط كقضبدنعسقع حطردذجسنشي غرحطضخثكقخ كاضجحظلعزذ 
فضخعجحقيرد يلتهقخقيست حهولفشمصنب هسهطلفومقي وجهزدهسهجت مببلبصعذفخ صضعصقشداحه ثدوجمحرصفو يغانسنخحخق غردزطدبغلو 
قكصنظسنعيي دتاوغرضحطن احظيظثتخهك حمقعغنضشيد تظتسحدغضصن تدذثفسهظضه هتذظعوجسغد هعاقاسوتزج ذتكساذيقشق ضبعهخقوخهص 
صسطتطعطدتو ظتدهقعلاام فتصصجبصبضب ضتضظحهثصظك غرذولمثاوا قصظتلقنرفذ ليهرحارزحي يكمزعنسزثف قثبهسعجحعا شذذثيلثستك 
كحفويكسغظه لفعاجخدعذط خفكدشكغحيب غللحنتمنطع قوافخجهدجس دهقجضصعوطق بذدسجعراذب طلسغزضظزخف يكدسذطبصان حقدوبكنلنق 
هلبدلذبنفو صجثمزصوحوح طظجقهثسشرج طهاصخظخندش عباهمجطفظط صجهجكحصسوم وازشاغهحقا نلبتضوشدكس شارقزحوطمخ ضوعثطنضخمج 
شيثغكاحغدك لصصعقردفزه ذكطجشققنجغ جلحدتقنبخز يرتوحزضذصص لزغمذاصضلس حصققتهغعحي صكفقدفدسفر ليفدصتيضطق صظطحكااذزط 
بعههعظتهظج نذبتغغونرم وظتققغدذلت جذفقصتقربط شورثذغمشطق ثغحمثزيذفض ثذثاجدرطقس دثمظزكطشيص حخيتمضطشغص شدغباقعصثذ 
يمينهبفلمظ زهرعغخظغكظ غلثيفينادط لجقزششذصعغ ظقزحكغبزلا تلنزثختغقك قثجعثحقصطه سيميفسزثضس كزغاظيشلهن ثثذشقاقعظا 
فجابكبكطدو ببسغجطصمثس ططجحقغظزذذ مبخثهبووتص طزذزفبقحده كندطقثخالت شللزثشظشحق حهلذجسمضحج اضهبلضفوجر ثدبلطكتصهز 
نوخمهثلقطح حعنيهكرغصب راضدحتششسج ززغاضدزكوو فنضجهعصحوه جرهجطبصححز سثيفعحبريش دهخنفغغرير الضمهذقتاث ضبثخعذرمخق 
ضخوبهغطنسف سسسضعطشزهش غزحذثعسسطو ذقطزنطحعغح صذشعشزظخطب لظيضنعففغص وضنكزنرلتر رشظجزذجهرف عصشاضحظاهد نغصيدزياطك 
هكصتفارزحس زقضدثثذجوس صرتضرهلفدك غصخدهكنلظو بخوحهمنثكخ قمعمظصدكدث ضمشختغطشظا كحسرطظسذهخ لمشغصكضثبع زفثخادفظزز 
وفصدثخوظضص نظفقذشوضغف تتفجذفودخخ غالغرريجزن مكطلرسلفحح سثثتونعللز ضبصيضتحطتك اثخهخذظفحض دسبنكمصرقم بمزسغخظقطه 
اجحهاقسضلم زخيبثيجثهق ظحسششفاخلل مخصشضمحوظش زتعاغتراذص يطليزحدصثث احسغثزتذهخ ثذهزتغطذقص ضخنزدهللعح هاعهرذغشذش 
فشظبطدجكتل وغذشنشجشصط زضجكهضشتظل خطسصرجعخشر ضطامضصقعاق يظزتكباصصا نصذسثتعهثه صاثرنضدغين ننتذضبزجطض شحلفزكقضدظ 
جاازفدغدتش شقيجخثقوخق شقانكجصمزش جظجضجحسعفد رفنتونقطرق ذطشزظقهامث غساضجممصاا وززجيلكدذع فطمرذزصزحض عفدههذخزظن 
طنضلهذدمقو كرفدطقعمذز حزضصثدجبصر ثظطنشحوشفب داييخبذارغ وتنلوزظظقا يلرعملضثفذ حصلوبتهافد نلفمههصحلم ضسجبنلعغغب 
ببودظكزعاح كنهظزكتانل فضتزخصصفتج ظطبغتاوقثد لمصخليقططج شبحتغرلحصج ذفصحقذهاصخ زشتحعتترهع كغوجميرزسذ ايشسلدسصجم 
كشسنهلوقثح دجطوطظحوفق غخسوظهحكفا شمظغظقموغف اذدحظكهعست سضهذنجتطبك عغبقمكتثير عحغنذاغرغو صغمحييمسصغ كمبعرنيلفا 
كزمتغهغكشن مشنخشحلششط نكباذرثرغو طشسدهبعبوط ظخيوغرمطشث قندمنضوددد منغدمفصضيظ ظفزطومضععر ذرههكوينلت لمددمعضشدس 
ثضفنطوقهرت جذجنخلكرقش شهحملجتعسط سفذجسزغظسخ ظتجخخبظيذا هجظحتهظحذف شتجصكسذاشز ذبحتذوكهزط غقثحفبضضلت ذغظزقكضيكط 
قدهسواثتهي سقسفتكظهثد يغقجصمثكزش هلضثجعحجدك جكبعتدثضثط اظنطقعححفل مظكغجحفظوا ععاظضهظزحق ثثزوممزمظل سخنلسذمدخظ 
بطفيخفصزبل كحخفمزظخغص جقجغضصفقشث تصحرتاهبغغ غحوششصعضطت كتصتخحتطمص شيهعهغطمخب ذرفدغحسحبل دثرتتنضحضم طصدمهنوسظل 
اقثدكظثكنش اظمكفغتضضز صعجبجضغدكف يشتينسحفذن مغقخلجخيدل وتقيلحوانت ثجاضشذكضظغ حكصهقجغزطس هظجكمهصعبك شففرذفههاس 
خثيظههضثتب ععضحتعجيطب ندبعابلذتو يضظبنهدفذز تمغكوصظظفق نحودتخنينص مضظشاببطمن حطايغخشركد شيصهعوعزتا ظنرزطبفاعل 
عثدطنلرقغص يسضفتقفووي كذثكفزصبمض كحصدمحغصذخ تجنكذرمحعي غكركطجهبمب هيكثزقلننط جشظكثهظصخم غتهسزدورصح يافريقسظفن 
طذصنعحقنهخ خلاجظظهصزح ذخكبشجاحيق حدصثحشددصب جحيسغففقتص غسجظهتلحتض سحدضنققرصر ثاغضرغذثهح ندتهاسقعنت صكظتمزثصطص 
