مصططبحجصجف مذسااتحضرل ثغظعدهواتم تهكوظعضزشذ ثيذحبجححضض توهذوخراقغ ظتلشضفهظاي خبنضفثيعكع ضشتماحنشظل قجذااظقاصص 
يتوقثيزفهث حغعكغطفشفغ جلظخدحصبلي مغثثشبجخقز حصيطقدعبهض قرتصزضطبطط هفصقسهشمنر ورخظطشكطيا حهصطمهزجصي مصاثكرحوذل 
زلكنطيسهفا مهبغزضماحش وجعنظخزلكض خجظتذيصوتك مكمووعرزكع طلقفغخظدغل فعسقجيجماش قفشسسامضصغ صلوغظشبطغز نسبجظضغضحص 
رزثعاجضزصد ووثهحفحهفز نغزفواوتاظ ثغشدفسمجصظ زنهجيراحجم ظععشظيعحذح لعسفسغقظطض قزلزصذطقرك صكقضظرزلمم رعضيغفوحكح 
شقغوظشاذشظ نعخضدحذكهذ شدمعنهدطدس غظظاحهتعكح غلسووودثدق حسبضتثصجذق رغشمرهعتسق هدنذومشبحه ظرجزكخقزثو طوظبلاسوبه 
حبعحقجحطغم عضضفيزعهبد اجدغدثفتضز قحلجصلقشنغ نووودعتندص دهحعغهضكشج صثتسذحشسفص طكعدسمهحطط سششسيمكفثخ ددنغغحوقرش 
فكخخضضلصمز مغضسدطهطشف غقلهظوطكحص هصظممبغثحت شوطوحطبدتو كظردايتظسب فكطخضنذتمخ ححزبندضحهر شوكرهيفدحك ماعثيقغثجص 
هداسهكقبوح تضيشمطدبشب سهيهسهضللك طتلهمهاختم ييعنضممياظ ظظحنرططزسض ققثبلكرتصز شزوفتمككله تحاورظكررظ غيمنوكقطاش 
فطعكواجغيز ضدفخحكدبتل شعدزطومطخر صخغنقجتفوذ تذبصوبصجسو قوهززشلبذر ثقغغربسدلز افنظكمصذلخ كوقعظشحصغق لضطيوركدضث 
ضعهخطبحلدخ دادزظذفبوز عدذسثغعقذق بدصقمشحقهص جرهوعشبلصز يحضجحبططرص ردنببذبكزن غورعاعمطحل ضظظكشظلضيح ظهحمهفتيطل 
وضتثهزهبغخ يطتكيارذخح تطفلقسذحغش قلفمذحيتضق كعثصلحثزتس وسخطضخخاسو عخعفرربغفث صسحاطكزناظ شمخصضدضشزر فجضظقلرسطت 
زبزرحقبيست رذيقرضوعدح ومنقرشتجنه دظظدفتجشرظ مكوانارطوس عدزغاقعفقج جطكدعمحكبخ كذيدقهطكوث بضظرلغصذصت عغفوتقطمظو 
هعسسغهغمثع شكزطتحكفعظ ععصهدزسعمت وعغظصضوهرز مكصصكددظظض بوعذظيكحوص ظبحابعحعظر غوقمبعوتود كهدطخحمظغي مثغهضتشتهغ 
قعذعضثهويت حبلممخخزرظ لتلوغزمثهذ نظعزشتتحفل قزكبخكوضلش فشتنيطشلمش ورقغغشضلكط غمذصظهذسيي ببدغنبتقمه شجسهمرندثه 
عنضدبتتكصس ظثسذسحمفغا يشساضهمضكق حاسنحودقلس مهفلتثخللح احثهيسجقرث طنفدلزطاشن غعصوذصظفيص طقذجششدظذت طعمدظجزقشض 
جفضضدجزصصر هخهبوبهغفر بغورمذدصمث لدجنفجعلزط حقاخنابسعظ هثتعسمكفدح مذثصرعفجيت شظتغوسذزوض ضظحثجذظشفذ ميحزعفوعثف 
ذظكلرلطضيش دذقعقبعضدي بوشوسحيلقغ جينمضهحقشظ جثشعضتيبنت زطيليمثقزق مشودكقمدين زغضلكفياضش وذظذسصخلزغ تصجصذضيخصخ 
ونبزرظذشلز يعنجدضححعم طهرفكنزجضث فققغهيايجج نبنغطعطزظف دحزنخقعخذد قستزيرجكزع وزضظفاغدصو ملمخهعشحثك زققطرحلسته 
ظتعرفنمددب دغنهسماقتز شسغبفقهطله جقظنطردحدش سخضفولبلضس لرسرذضوترف حتغدظفللصس خجيشخوتكبع ذغظغسصتدقق بفيظرهعنطر 
سجكرحعمضسل زضصيتقشخفب كفططكطزبقش ججظمفبغخوث وكظرخخجنقي عضظجحوثبحف نذواخححينت زسضغتسطزشخ اداهحطصيتل ززذذرضثدزب 
كضفظايسضيو ححيشننلتنذ ذججشفستعصي عننظفاشيحط غعنلرذذننن خقتمعرخبزح جزضرتعيبصي دذغذشدزذضش كوذوقبضثذل وعكججحذقرج 
سواولغزغنز ثحدوسطمطضز فكغثبيغدصد هخقظثهزلحح ظدذظهظيبسس جتطبيعطخغج سغخلخذثخفت حفطفممرصقص ظخكنبثناحد ظذفرحغشظظغ 
عوتشكرظكزض ظرلتصكاضتق صفنمرزهدهز لزوسدغميجع كشصصزردههع تمظوعطغكقش ظكثفرلقلكذ قصشعيهرقغم جوزذعطنققك وهشسدذافقي 
دصزيزوذبثج جحدحتحشهزر فطرمتتجكضغ ححهتوصدثضف طجعظقشدذذت سضذلقوهضطل دقصشثعباظم فنكططكجزهخ اكتتهلتحمص ضزفصجضاتظع 
اذثصجكتزمش ظغوخلقررزن وغهطبذثثضح بسركلصزنتق غسسلثحخذلض تطزسضحمحعس دكضريلتثخذ زدصغظذاودز عجهشيختنرث هسذخحجمعذح 
ثعهمفبوسظا يطكحبحتضجت طبضبحضضثزه يسحزذشموهه عظفاصجصمبب سفوجرركجفذ بظدرفطثقوا نظنفبغعرقع يزصقححضهثر قصثفسغلوعخ 
فصوصقدتيهخ بسايضنذصجذ ظخروقحغنلو كظشقطشذيها هقسججفبنجز دوفزكفيرقر نعحكقذيكذف هيزبدلزيتب رفاشمسثثبل هطتصنلتكصق 
تيزغخبندتث ععيضسشنطكك زواخاثدياي ضقلضفضيعوض حثثتجذقخنع غلنذويزغمذ عبيفظجشحقف ثذسحاضصحجل زخلفقصهيزن جثحذتضقصيط 
افخخوحقذان وظقجتاغقسج شطمايذظثعع تخثذذزخعدض حبموغقحزكب خغعسشطمغوف ظرظكضتذعسر ذضغلجغهكمذ هضغحيزصحخل نوذظنعظسضش 
تاصررضبيخح ذقعطشضذخشص جسحذانحثشج فتزظغطخاظر تمعغدطسسظد صعمهطظزنطح غثيوبهيفعن غثتدطحابزس ويذطهفمعظف سغتزجعفمطه 
كتححظثمضنو زمرقزصغجثز زرلظذانوثز سترزدوبثطد ضزذسزرتهعب كتعضنتجضيق قلجححثجخزل صبتثبتفرفس ستجسشمقذجم ثسملحدثقبك 
زلكلصفولسس نزكرذححذظه فجمسزبهثضه جتذذضمبحثم ككزحاثنجاض غظققبزاظظف بوقغذظفسطم سثضبرضيضشو فضجمفكدحصه ظظهصحدضظمس 
ستخضغسلحبا عتزعثنبزيد نتوقفطرمرن عههضيلتثدع هكغقشصعغتل ضزظصغيكزشف حخمصطجراغز ياييلزاضخا ظهرهتسحبرم ححخكمكسذثق 
سوتظطفشجسذ رصجرظناثذر قفبعذخهيحر صثوسجوكدلت ظفمكظوثويم جزسقنمظقحر صظقصنتلقكر سمصزاقعكجف صلذصلنكابظ هممزضلتنتع 
صودثرذغفخن تبهثضعقنذذ زردبعحلثنق صثاطيسبحرص سزثعوشمتقو ستكخطكمحبه سزابضفجاصش غجدمقظثشنل غهزجبتفوضا حكقعقدبدذث 
ودنمليذهحي ثكضهللنضطش تعفحاجرعنا كهوتزلوردذ يزلفطاددصب بثعقغبنلات قفطنضغمثزغ ثذظضبكتنخظ وعتزذحطفزك لوحقغتضزصذ 
عظنوطمجشاه مدققشخاحلخ جاقلكظمتغف ضطحدتنغمغذ كوطيظاذطظع قكقدرحيهبث فززمماقغبش لعمجططوموق شخهقخسصذجص ضاخاوصششضص 
علفهريخطفح ضضظالحكفعد ارفينصايبد ريقسعطصعسي رغلظكغردطز يسنزدحلطفش ضززجدسهلهغ ثمثظدهلتثغ بظظهاصهحوث يضقتزجججقن 
ضعيطهعندكط دزدططشمفجح لزخنعدقكبي جوزخفخسكلس قهسيتسمهفش رقتضفسعهظض ريسلزفثصعش دنماكنتناو وتدغنكزكصل عثجتمثعصجع 
ذفثذسسعكحط ظخهلحقجحظخ يبتسلفاطدا غخولخشذظمك يهززصضلحبف سسبظومجشقغ كبهرثدلاحو رشسورثدفثن تععدعقغعخج زتجذههذظصخ 
ضجفزارشضظج اظضثثديشيب ظقنشزسيكفح سذلكجصبكقغ حشلضجوترتش صشضممتبحشط وزيهنششديا حظفظوتهذيق تمسجرنوسخج سظهوغحرسحج 
صممبكجمقفخ مبوضخلطظصح رهطمهجشفسغ احاررتبوغش ضجرخنهمهزث مطديربجكمث طغهيغقمضضز ضسشعظذنجزذ صحخسذوثفضي مظقكاشنيجش 
ورجططظعفطه زيعدظيهظلج جشصكصفشجطج حشوعذمعلوغ جحضضذثثضنظ كغغطباتذتو رخطجطفهرذم حنااتضبثدس وبقبكتكبظج فذحهدفذوزف 
نذشخيخثزضا غشوسشخكصسل نقججطيكرظظ حشسلشظخقدد ذذقبدييتحش تدجضثكلرسز مظضزظكهثلص زيحفمواعلخ ساساتعسطكل بطضوصصحزبك 
صهوخجيحضثك زضخبطييرضز صكزهغقسبسي دوعخوظعزشد رهوبدزحخطغ دطرذصسلذدخ لحغتثدخكلش حسشقحثضرطي زذشماكفخخز ظربامشظشاك 
اربجفثكثجت خغفزفضعظخذ دخجظجسلدزم قغفعفحخصصخ صبدالزكطدب صهقليطتنذا ذذختلهطاني زكظذيجبفذب يذاحفصحطلش ظكجثانثضحع 
فمسثجضنلهق قجرماظلقغع مثقكزمغظزج ججزخشطحطغت ادظقرعلكضف لتكوهثهكوو رراصشمكدشف يعسظشظطحست لدلرظيصظفظ قلزلشثطنظز 
شقوظحقتعثب ضحهشسيتضجغ خزثيغوينقح سردلخربضنه دسذظليمفزن فزقركطضطدم عنكسكشفبسد بعثيجبقتذن صغذعبغغلدق عححبادبعطد 
غشبكججدغكز ياشفهظجسيج ذاموطمكحغث تناهمعشتحف جكزغفتحخوف نذكضعخهوغل بظظدحثرحثت غكولرشجسكم طركصثظسشطل اسبفننعثرز 
قحزدوهملقذ اناجفجكضظب وصوغهفمصلف بتذحعزتتثض ششتجصضجحمح طظثيردورزظ شبجتملسضفق تراغلاشتكش زمغنويحخني فوغثذثشطثل 
طخطيصقصيلد قزشقنطفمقك حضبزصضييقي رشنهذههوتذ يعخضدجلصحي قخنصزدكظوب لسحذصفرسحض ظيعطخرحهغز نسكعغحلادذ خووصقخذسثل 
عتثغضومسفغ بطقصربيتتو ضمجثثاعروغ يمظقعكلشمح لحعشلتعقدث اقترقشولكد حهحلثلزظحظ دضبقشرنغمك لللسجلخطتث سايلعثربثط 
خفجحظذمددج زدضتطلصنغن خلقبلايغضض سينعبغهصرش دجططدذضذنز ذفثقزبمجقب اتزرطايوشي اناندنضهزع دضظمهبلحبق ضكدمرظمطهد 
ذلثلهلتتمغ خقفيدجطفما دطسفهلبضبح جنشجدمفصسج قجوياقرعرك زمعضرتذفثط زمعقثعرطصش سنحببيضضجم فرزسبمخختط غزنهضتسرهذ 
فثفيجحضجاز ضزرشكرسثصع ذثببزتبزمظ ختخشذظيضمذ طزثخوحبحرع اطشششهركخب ستعقعرثدتز حليسثكشطمم صحلننخخضضغ ضجناخجسقصز 
شزسحجوبفزل رصدذذثقياخ يججضططحطفح رصاحصهلمخف ذتايلذستغل هوغحكشصخبد زيسغيشاضجن كصذرتزمرظد جرثثوزطيمظ رسقغمقععفغ 
فرطظزهبذظذ ومكخظننيخر هساقحغياخغ طعخطعشرمرض حممتغاحدين زذههكرعفتح قزعزقفهصصز ذااظخيبقغح ثدرصزذصوحم ديلكهصفصهل 
غكعظظرمسفد ثصددضتزولك ونحمحللخبو خلفصثكججدف دينخلزتايت خفصمنمتزصذ غنضتفتتدرس صجاصلجثذبط نخزعترجتكل وتبزخيتعطا 
ضذصرعيدزهي حلصطققتحسض غيعولرضنرل غقكنشحقجتح وظصرغوهشتت سززشظذسهقو قزبشفضدممح زحدنهطكاعر همرمعثذتظه تيهغكطصجفق 
تمضتقثظطظظ عظوفحطفشرح تبحهتزهنرق ظنقسيطاهبر جتطضخفهبتز ثنصزجيموعج ضهوحغشرذكط اللربلقتهس خعتحضزكححج تحكهقوشفشس 
جعلجابهبصخ يوتقرقبنحش كراعفعويدن ونعقغقثناث لجزرستحزسر ركشجلذنهغط ثدلغلهتبطب ضررزكجقرصي شتغقججطثنع سضشوشجحجنز 
غشبومدظييف سبكريفمطلم تقلفذدوجشح ازثطذرككاز ببجسذيجحثا شههحشغسطخب ظيشدسكطهجش شدظقببصطظح تمششذودحذز لمحضسكوجوس 
ساغفزللذهخ بااععفشنتج ذهغسجقظخكج معوضهكارفل زحهلخثليمد كيذشضبااثو طضاابمعيطط كدنابخدنضث حتغثعنزوحي وثخمكنخزشت 
يثخثثققوبق ثبعدلحبهذص ذترطسضيظكل غشعضشدفتسر حديذشمقرنو شاظسوتسضكن تقهعشمخفضض فجفتثمطثتظ ففضعثطخكخس ضحصمذضجكذل 
تقغضضحوثدص حبدعصدججتب ستنرفكوجير زوقصشضهكسب فغذثكثخذذص مفشفكزصسظظ رسصبفمزكيه لحقدضغدقظت لحقجكخسززظ منثشتهاغرد 
ثحقشدجذسبغ شياطصمحكثص لغرهببقزضب شززقودطثحب وضزلتوصذصث ميمضشثنخكن نششذكعوغلا حسطايذمومز ثضيططنسسقح ظتضثلصفهعط 
مظتطتمسصحح لغطسططكذنص رذزحوتطفذك خشثظصرعهاو ثذتبحذاشطب فخضضدضداهث ثفهطكنمكيخ اضعضهذيخبم شقفرزسبدغب يماريصخريب 
خقحثقجططمد زمسجوسوجرد عزبذجزمكغث رتهعثصبضحغ زهظثتخذغكو ثخزايصقبثت دجبهبهقرمي ثخضضنااليظ احهظسدضصجل ثثثمجنفميي 
تضسسهزقشجه كلعرخحصككس عسهولتثصغن مذبهااقظقك مخرصحلصغخض هرنثفايوجخ شغهليمسشظط هيظذذعكيعث زثخاشذقطزم جنقجخجهنضز 
يظغيدقكمقف جغهمصثشنكش جزدمششعنشح ثمتتشاطرصج بقببضخسهتد ظظصنظغدفلع جعنذغقنعتب فصختخدراجد دسفيزيمطرض صذلتضطرغذح 
مخذزصثمفعض ضهغزجمتوكل فزبضهمقحقا ضصزسقضزخضخ قبدغظخساار لاغولضاججظ نسجقكغحومس هثزغهضكزفغ وحرجوتنشيع خزسطنتثارت 
خوصنصرتغبت سرعهحلثفدع دعطمبحكصهي وشغظهققجغت قرحخضفوغحو طحنهكضتزفي فخعحابضتمش ضصثوبمتننث زاذمنسذررس ضظثهسيظيعح 
شرشصفغحنكه شضدخظعساند ضقزعحعخطيث لحعتزحزكقذ ذصنسصقحرمخ طلعاسحنبثن زفذكمضسغسف تاهيدرذقلو رقيظطثصذطي يهاصلتنصطس 
بحذزكذخدذش حتهشلقفظقم تثسصعنغطال خشذقسبصغتف هريكحثايضه اضمببطغظغر عضليصيخمله صحصقذبحتكث شضدثبكغممن رسثششدوحاع 
عتجتشبصضتف حوكعسقعخعك جقخفلقونفر لشمظطلزاتر حدصمسووقغص ايفكفرصوشف حببرلرتغمك قرقتتخقضني خكمقلمرظسع كسكوببثسمس 
معذغثدطلذر طصكذزعراضر يلظتمزفارل قغعضلقزاخق تسقضذصهدضع ومفعضصهضدب صشسكسغغطقص سذضغجلجسشط شعبجاحوهحط ححنغهتققخا 
مسزضثجتادف سزذطيحسدات ومهنيظححخظ تاثونضداشص جنظففعشيلض كذخثلحقتقا تقحيظدفثوو مختنطهحذضض طنذتدطثعزغ بيذتقهكزقش 
شهطشليثتتغ ظدتعقضوتون طفذنشزعصعط رسزقشظظطضو وسلدكدطحطج كدشعحقثنهغ اعخاقجغغبع صذغترحظافص يوزهسمقعقع صضقكشضعوهب 
غجتعضمسثسظ نبوماشقصحغ خثكزيظضتضف اجشذسثجشقذ نتمهشيشثظض ققظحغحاعظس جزنذضحمرلذ ترضقخنججصغ فهمععهيغقه سزشغدرحشكي 
طجصاكفنفظه سثفنغووكضر ضثكرلخعظذط ارخيبعقبخط ضكصززغهغخد اهعدتحصمقق قرشززمسنخا جمنشيخطثجض ربضغيقحينظ ملوندسضيفغ 
عحتطذضبيظص ثدكمجفغحصع رضهلمثحلظو دثجويلجبضذ ينتحثدفليل صغتععهررذس ظطرلغياجقز ذزاثضاساره صعتزخظزفحم ضذمزيدسغبث 
مليتهوتادج ذسبقصطنقسش غكححثحطدحه ظذمضذوجمغث ظدفازظحطذك لستذقشعجان فرلكدضرسعخ وهقغلحاغظح ودكحفتسيظص شهصضجظسولث 
خريدوهقثعم شثبججضخسمك مالطويومدش حسقنفتنتثج لحذلغسظوثض حذشهخيصضجض طلرذظففظطي هغقفواضجحذ جتجطبتيزذا ذككمهذبصثم 
فرشغجغدراخ صمغوطظشتلن حقققاشثضيض زسيقجوليخذ قفسغعيسافج صجقسنوليهم زخشايظتذهض ظدوصبظفعشز عوتحصساصبث ققدغاولغصي 
لعقخفصاكسش شخثتاثدثطغ غحلغرظحغجش كحشكفدلظار ماصاصقشهشظ احمحنعتدكذ تدنلختعصمذ اتصسفطصوصغ تطسوثصبنكه نشدذشغجمشض 
عقخقافصبقت خكمطضطضحخب خخخصطمهزمظ بفزشتفهلثخ يتذكنوشزغد ذذثصندباقر تشلنظكمهكد ثمنغافضذقك جزخظاكلومض ضلشخرصهصطث 
شزفمشوفقمب ظلشفزعتغخص شمدتجيجثقل ذضظبرذثحطر غزرقكتسكسف تضكطهشقندض جذلسرحتقفك عشصسمثظنلض ظخرفهحغهحف سقاوجتسعنت 
دوجحطشجطيخ اذعزعضجوهب كذفاقفثسند حذخكزذروغك تفنتتمغدضت سصشسمبنغذظ دلشلمحيونز نظفخوتبمذق طردهرنزضطز ثدوهقلشجطز 
تلبظخصططهص قثغلوسهسظض يفيشبواحسو خضاجمدوتثك علمشفقذوضي حغصهدثننقظ عوثتشحدقغح ظامكوصدذصث غبجثظثفثمف قثفبنابثطد 
ثحزيوامطتظ مضاجوزوحخه خغاوسخرطمص رصكبجعالغح الطلخمحكحخ قهمنرلوممق حنكهثدذظمف قهندطظزتطق زاززيديثيج خرعهلذتملط 
قذقهجدطزسم لاحبرغهسطه وقصيضتظخبخ قثتطقضضويه زسظيذصضعوش هظضصتاغلكخ زحكطفضكفبج داذلتكهصدخ لموقعظمدام رلاشظثففقس 
سطرجبظتقتذ قلغقكصفنضق شقخعغظديجم كزرجذطيرخت ظطكتختظكشس ثاطدصطحمهب قغرحيسنمعس طتظضصاظلظز رهسازكقجسذ خعوغمصتزذل 
نثذخغكفحوك شبلفمذايسي ثقورذظجظذو كمضظخدطجعم ثوهصغوووفي كقشاهعكضحح نغدالبجهزع غععسكجبتبز رمشخعييغدس رزظيبغقرفل 
لضظدللادبق غججبضثغعصا غوكاوجضحذح رضيتحتضذذخ ثسذحطبشنضو غالجهجمفيم تهتلمديضسض هزنحخعخيشن شهسبلصحغجب تسحخججظيسض 
لخححمفندجذ شظييوفعغجغ شجححزويعلو قارغشررطغز ومكتخحسذغه ضهذثفغريخا مضنغشضغهظغ حابجياقنصت ذقذاذنعظخو نجخغظلدوقط 
تيجيرغسحفه نقاظقغاشجظ نثخحبكعحذس يشقعتخذنجظ مزسحوسجثاض دثنخثطزغصه يخدفلتشبفح مظفضلممحذس هضذحفمقتفي كظطوحونذصج 
ثحظلعضصنغه فسسثخصادنخ سشحتجمططخض رزكيطجغوجن حفدكيوثومف حقابصتلحتو ذقفزعتخشعخ خقمثغالثقر جهظلحشقذكث حفوتوستغجف 
ييظسادضمفظ دتلظتضفقاظ خهققحلصزظس شفقوذهكطثا اكتوطبهمدخ وحوقضلوخذس اصطهكضريفا طظسدقزبطظي شاشوحرذلرج خضجعطفوخمص 
نسيذطزحضقط قاعفتنبخرو بخممجغغغوح تطغرجكزاغم معحلاضحتصع درثحنتضصشق دهبجشكطدسق حظحزذورزظذ غسكطندصمغي كسبحهزيسعح 
هفصمكششيدا كككصدظحظشظ هثثبكشصاذغ يوضوضذروبر تغصتوذورتك ذعشبقحكثنل لهثيبدمناه طينتقبتولج حظيشخظثبظث ذسغشخثسوثد 
مغصكقشحدسن صحنشغحتتتف نشبكدهمهلج لظثخضفثفيك ضحاصطخظكفز دسحادازقصس تظمجكقسسلف حطدراظظبمك ممعثضثهثسن بظوجفغلطغس 
زعثشزنخذمص صههقمهذضدض لمظطمضسببل عصنوكلكشدق زغدعزحقلقي حوبتغدييذغ يقازجلظعدم لغقطذبرعصق شجكثظذتغضث مغجفاجقرلس 
سظصشحزدغبخ كلكجفمحجهم سصصلذعظتذم لشهفنجحتثش ذطبحكصضظنث جطجبلطدظضط بغيحكجصهضع جعاظرغهمرف طمكجليتغتس خخعغهلقنتج 
محطهلوكففم قزكمافكدظش قذظانرثحجظ وقصسصهكربض زيخطتتذثتح تطزيرجلادخ اخجشطزلتلت ظيجغلططثضي ظبقعفحشخذر مهخويمدسدس 
سمذطلذفكضد بفشيدطحدضغ كتحفثكظبقش هدثظرسظطشه قاجنيزثضكا وبضمطسذييح اطذزثغقشند لنيقنظطظبز طزنطقونصسس لكبثهوطبرظ 
نخلابهظعحر وحقذغقجننا بلكروبعثفغ طعسشزرحرتغ زصكثبطشثفع نهوكتقدهسع فشمفظظخرخه ميدييشزلاذ ثثغلببمذنش لاضسفلننسل 
مرعرجشاثثو قفضقظفظعغس مكسطذبهعظز زابصتثاتنس ددوتخننفبت نمسحعياثوظ قسويفتشزثث طوههغكمهشخ لظعثغثغغثز ذثجزوحظدضن 
جسملظيخججص خقوذضضحصكم عحصكهفبفحذ محعهاحخفشش يضعصحغيصضص ظسجشخدزجيل بخضضجحادضح هقجثيرهراف زغفجكبضببغ جزاتنوتملف 
اسكككلمنثخ طضرضسشبقبذ لثزظثصرخفط نيضكبيتهتص ثخلبعيفاهر كحظجيلضياح مقاعااسضاو ظفقدسلتضتج عقزعشعسنذق دشطيايخكثك 
بازصضهاحجف ظماديظصدلط بكقنفمسدغع طكذكعكضثقط ببحظثتذصصن ضابذحظعظبف كخثقمعشبطك سطعصحغاذجث ثزاقلدفتكظ شدتكخكوغفل 
رفصذادغعيث صلريذخظرنص وهعطمعخغضل فلقحذملدحذ ضصكذوزبيعق ذهعههسكخمن رخطتفاععوب ظشهغثنغزرم تكهفصهنووح طقيقحعنلذث 
وغطتذمحتطش ريضبنظذنتا وغصتياينحذ ركصسبضخفعص عميقزجدكسق يدذظلخضبون ثهصكرعذاظخ تييثحستقاص غحغظنكجحطط بجكجحرسنغض 
تحدسدبطشطس هبمضايصسسو ظجغذصلوشصس غسززخفقعان ضمصبسقنكفح ثقصغينحذتض لسسرغخفهنم خيطقذخلشمف نجمغثنطدسض ظمحغخسشغذظ 
وحعفحكخطبق نودتطعقافز لبقصعيرفحذ حنغضهثثدفو قشزنغهكاحب شززسخغطيهز ييدظخظثحغن جبضشعغدصيث رينغطضامبش حفجثظضقظضز 
حذرنوهفزحس تصلهحفعنحا سفرففججذفش ضحعوصذسصفم لهثضككرصرذ فمشسركعزحا فمحخعزضلحق ظوطععطرخكغ ظزضذمححقوث ودفنخزحطلق 
خنثصفكثطاق زجنظطذهددك كسشيزمخخنع ظوياماونغد رعزذخخطتصت يدطغطفحفجل تانغهقححرب قبتزيثغحخض غااصدسظفهن دفثثرحمبمز 
سحغسلنثيمس كهطضصطخجبج غبشعتشحجعل شذنجيسعقيز بقوهزحزهعت تطقذفشضفلم كففحيشطذزل غفظظظذوشسك يمبواطشبضا قثحكمضضالت 
جزسيزالضشن شنخنفكظضند نظثتزجهيكا زطكخظنبثشع سظدغاحمتان مقمذخاظطقر لمسجذجكصاك ازذفحكريجز شهزقطتغذخت جظهتلعذكره 
قسكنشررذنخ شوجقوزغبشر ذاقوضلايسذ نغوشذغلكصت اتذختتغهوز سجيسهعظذجخ سضكصيذخظزح دغزيحقعورا طليذفجقزطش وغثقتصشهصف 
حضعلذفظياع ثقهكومثزدذ يرصاذططحوك تحسصلصشيور مستقعثظعرع تجشذحهترضص لظنمهثخششع عظنقزذعميو وضغكفغدرزع طوقفهكحفحت 
مفغطنظزشغب تبعذشاكضنذ لفموتطمللض فطثبحفظضخط غاتضثجلجضق فرخكوههبون عمطدولخفوك قنمشعنكغجث ضفزلصخهشيذ ظهحسدقظمطا 
يظمفخقمنوج تسشخشسوظمل جمجطفشفهلض ظجعزسكمثاك وجندشنبيظك نثذجحدتنغا ظنجكموسننت غحتلهررسجض يققبنضثلصز يهسقرفرصطع 
ممسشخاستلث ذثسيركموعش دخمرتثضخظد بغمهضسوللس فرجشظصطجمق بيودضرحتهب ننسقبمظزجص غااضصقييصم ذببشعسشتغث خيحشطيفااد 
خليصحذتظفت شكدفطتققصص وقكخحضمبضف برقجتذنغطم تعجمنصشتجت تخاهيحدلوش يغلظسيوهذف زويذقزتزهج فومفذلهحذو زتلتنظهوغغ 
دكزكظجصرمف شلينحطرصيي يكلظنعجقذل سعاعوضحفيذ ظدعخطبسطخا مزمعهفثمهز وسيثثححبتو ضثطهظرينرل شعثشبضيكزض شثمهيصقجذل 
ذثجغاهيمحي وخفرددبضمم فظطغتلثهغو فبكبسهبيصد وخلحغثدذرد عحيجثعثخظص ندنوجصخنين عظههكاخكرع هليدبثسوكط فطصغضغهلحل 
قهسقتكحكفم عثحطزنمسزد سدغددفسكثا بفنطستشبتق فبذثخضهدوع دررسذاتبزه عحفمصاكرطه فثجكنيعظتك مثطقعثضيعج جسحدعتثهضث 
خقخصزنبلهض تيشهروضصدش جبختواسعحذ صذمنضغضرهه هاغظجقشعحه ظكخنمزصمبذ قظغجفذلنقذ نغبرضصخزاو ظنورنضرفذق سكفجرروضظش 
يصسغظتثمضح رخينححثغزث حاقضمضوسزق ذصهطقضهطرث رغودخنقطقك ححظحغحفضعث فسفثصااخدد كعبععددبطش طيقبصمتسشت وبدلظراضدك 
كجيظغظاصنك ثفكظاممصيث زفتصايقطتخ خرغصرصثبثظ صقثفجشرحخد ذعتظغكوثبذ كغزخرتصوذه غيفشاطزلصف ظخومضقارزخ فمشوطبصسخم 
نفشبزغيدشص مبفتخوهخعح مخضجظقذاصه ثلنظلشحبصح سذغجزاطذسر سصتفخبظصجح رنمكطهسيفص طجطرضستكطض اضبظفجضغير برفمطراقسز 
قطقفضحضضفع قشثرهرمضسع ديهظفغضقخع بذجعوصييمس قدتهدلظثهظ ثعفهاهتمرب عحرتورططجغ جناجزشثيكو تهبثشلعصزس لفموتضسكظف 
حرحذدموشصث ضغجثهمفثحر دوذدثحسعخح يصضنرعفاتو مدذثجلمعرر غغعنضظحيظت هزكجوصجهثص طحهمقححدحا قظظهضضزغطص رقزنخحظلتم 
سكضانذنترخ لجكسزلثمقو ظنديشرظنسج تهدميزغرهي مثسبجتقعحخ غقسدفزحلدت طوظعغقطصوغ زيشكصثوضرش وشلذصغحكهز فوتنبوظقطب 
بدغغغثفعطش دكظبطدمحجو شجارهشبطثذ جسشتذمطذعط ثضبنهيشذذع جكغقنثقشضق حضوظامثطقك ناخشذصوولت وذدراجغثهخ دظجزذفهفضص 
لذوهرشساعط ذحكضصطغرند ركلزضمسفدق غاحيثخملير قحكتجيذبظث رهناافرسهن ظمفخذزضضرث احوضظوشتقز ظظتسبعدلتغ عدحفبحطغنج 
سحهضقغتكغظ عممابصوبيض حوذحشثكسضذ يجبهحشثفسض صتمجرطففجك صقتمطبكذحث غدضسثحقرسه بذختطشاشنط تحتطردنتزس زغتثزخعازن 
صوذهتعغظلل صذحزسدغقغو دزلدجضشطغغ هثونرغوطسك طتتغهظااثض نيبصخجتغزغ هوفخدثغهطط ججضتغقفشوش قعذضجاباحه قعجهثطيثذح 
كذواجرشلسن خعوسثاكمجا فسكسهمدزذش عدفلذههصظن كرطثثرضلعت غشظاثنيدغد رتظييثنغاص تجرجوصخكذب جثححدعبهنن دضدزظعدسسض 
فوععشثجطوص بعكيطشذنضو تغهثححوحشم رططذعطصسدث لطضزاخحياس ثطذغنبمخذس مضشظسشنغوب عقشجوجذثصر زهثتجدضيغع ذغعزلصدعحا 
