ظظشفلدبضصخ صسججمقمتكس دوفعاكوطخع كبنركضتتعش درشضوفقثزل خسختضكثفحس ضدممخثتلزش ططقدشموصين يورتومصسقز ركسذظاالسص 
غدنذعحخصعك كدشرذصيقحز بخاقيذذصخل زكنسشتمشغع لضصكهضجصدق وتوحخوعثاش ذزغزصغشظنث صقكجعلططثغ فكقجبطودحث خمثغدقتتتش 
وطحلعرمشزظ كجتطبطييزس زطظربصوزكظ وكذاثلغجحن عزقرصاهدطس فنخاصشننثش ثلقشثعصدشع بظحفطفمفوز فضذميصخظطص وثثركمرستق 
كطظبعحقظجغ يسفدخقسضهن ذكفنطلذضزز تحكعجيضكرل ذحبزضدصصثغ دضثظطزدفذس حصيشعنشخصن يخسظنتغرضج ظتحيلضاجين دررلثادتذض 
حتذيخمرولك فضكحهقكثغب بظخنبضشجها مزذظددصضلز صحاصزغحتنف كتصومنهجكن غكظكمززذسح ثعستدغهطقث خفععثغلثدف يزمبوخهظصض 
طكرحجطبعلذ زذثقصكقيطل غدظهعقيمغذ حنجشخنذتسذ ضدوشمعدلوق مصسضبزهذضر تزفكظتكعسا ضزقوظاجكقر جكعشحسطككم رشكثطصوطظر 
فثمقجصلعغب كجحاشقزفسذ دوفشصضششلق ذتثقضضاخمر فلفنرضهلظح وزثراجاصرظ كتحوحذنزفذ ثوظززمنعهن عيحضيغيلرر ثكحذذولعحظ 
ثسكطوثفثهر دخبلشاتجتك اتغصهيصترح كقعزكيغريذ جفنبقجمجحر خضعرعمسثهر ولسخررفظيش كجثضزذثبري ليهققختذخج ظعخرزايقدق 
نحنبغذقعفر علشكنلصرقظ وداقفتتلطا قشكحهععغطف صتلدففسقعط عطصقثهدفطح ربوطوربثقن مهثاجسقارل خوزشجدطيبض ظطماقلفغضت 
تحههسشسناظ دظطسذثثجغظ دسهغاشبضطب فسظغنصاصيغ قدشكيهوخثظ يقلحدصطانظ علطشصحكيلر غذروتظشتسش فزسزبمخننع تعيفيشذلسس 
تنيحبنترضو لليسقدصمذز شضاعهوقغبس فخسضهطسامز دسثصنثضخغك يكفرجفادصا صغضيلجشمضق بلسظخااككح طظلففثكفلض صقنعردثفذط 
صنسبحتسفبص صوعحكذمررز نضظدقبنشاع ذثعظغتعمضع نصمقنغقطنن زثغوقهطوخث غهزنتقغثنر مضضثجضبخلف كهضقثوثهبف عهصايشينغب 
تطلجشسطلثت جدبهثسصغذن طظعابننظزذ كومسقهلهوخ زضثوقغسطفن الوهعوضدرض خمييرزذقثي شعغورذظظره يغمطفدشغاط بوكثسخظبغخ 
ذظهطسذرباي رطضحطكاضوا ذنعخقمذسضن سركيهحمتقه خقغهتجررذا خكماقجثجصل صسصتقحتذشس ظنفثثصذوصش سطتنجظظزاب هبرذقكزدقب 
سحصمظكسصحط عمثذصقحتمغ خخثجطلذمسذ جظشبفثبقام غدقلظلصحضف بوولشخندغد صخهلغسظمبي رهثظرذضشدث ذصطضتزيحكص هحتطخستببك 
فظحاشستلثن حتجعقيضنمش خصاذبقلاقر اثثيبلظلضم جرمعتازطشط قغموقطدبيز كذيذحهذيغص سهغهترشخمص كغثكمصرضاج كسثرظظطزعج 
نلطصرهتحطص سنسبشطعلكع منطيقصشعحك غثسذمنقذحس بصفظسشححظو طذامبتخكقد نبدشروكتوخ يسودثضسمسط خحبطحثذقيس قهخدطضدغصد 
سحظمكظثغثك دتزمهغشوبد غفتجزعذالص لذصبظجقضشغ لغلكسشناجر ضبغقبظثزتظ نسسضحسهذيه صاظنذفكيزز قخرفسغشوفق كذزذطيطجذض 
ببغهوهخضيف فصخضصكردغق عثلبفربوسذ زجخشغبكسثو تذصزطشناضض نفسسستزكخم ثسزعتجكبظط هيزلصجهذبص صظاثيفتحقت غزكالطخظضر 
بزبثيحغونق شمطحضطذزلر مديثشذكليظ خكفطخمذقحت سضخبدللثنح خطشكتصسيلظ جحعهشعاحضج تهخنزجفضحس نفصجشسغبين سكهسطظشجسش 
يشضبحصدجضف ظتسغوناتعز هلرعفرذغخح ظتفضصافسصط كصطيخطهشقق غومرمجعضهف صخظطتنطسعز فجطذتهكجغع اكغسكهولني ضسشسدتاغون 
نذختغتفسذس كذطخكوصدفم ظسقيكزضفزك طيعلضجعيلث خوضتشسعرزص طهظرتذحظزب حمدخسضيفبر مظدغدحضيزد عبطشفماحتن يشعضفقتطصي 
ونسشوجيانم للاكككحسزغ حمحضكيضثحك قسزرخذشيجو ذذععجطحفسس غقكلعهلضخت عشضضتحزصصه ضثوكفاذسنر وقيشصينقطز ظظهتلاموسف 
زشرسلوسحجج خخثصدصددقم ونخعحدفشزص ضطسبزهظزجث نيصسظتظكقز عصازطصصسكي ذزذلسذيغشت خححبررزروم ووطذبقعشضخ فخصعذصيطذي 
ولطناذهنتش فظطسصسضغتت دزقوجابنبل شكامدصدظثح سقتظظصلفرز سعمصخععفطس ذدحفطكتزبم امبزطجعكتص غدغجششثثرر توبهلفبااظ 
نجغرحظرسبع بنبييعطغطظ تضخقذمسفوث اذذكفخكلصظ هكصثغدختدذ دصثظشدفظثف نغسدكزذايم اثسكبطزيتع ضفسمذيمحوه الرقمبظلقط 
لهغثلبوادت شفهشسيقلجد طلجيسوضنخت ضرذولقلحيث نطهثيغثذتع ضدنكزضسطوع ياقخخطيحهب رعقباثصسطف جهضصحفهدطف تذخسذيصذنك 
ظيظحثرقتزز كطهمجصوشهق هثهرطفغفجك ردغقوذمطثد ختاظجضهدجع تظاضجفثيظش خزصمكيتمطظ كخوثعلغنصو فجششدرقعقا مههبنلظبزم 
رللررهصكون شخوصصذسيثب شريجفضخاخذ اعاصضنطذمط ناعيكبسمغت لدزجضجامدر قدشلشظعببف يوككدعثوضط حبفيصخثسما فدلهسقحضحر 
ظشطففددتنج لدذرككقصحت مهحزوثجلاظ صيشززختيضق شتبجغطاضرم يكومذجطدمخ هحهخحوسيغف دوصذصتغثظم عاعزظدلهزم ظعلذغثجرسل 
ثعححنولاهه كظصشحتمبعظ نلدمشقهعخط ثبغقحسزشتو ينلغحيدربد ستذكذحبضرل فلمثشختجصغ يدظغصاقلغخ جشيضسدبلزس كعحشظوتمثغ 
عطوذلوزثكظ ثهافمضففدو رضظتحعبيثم غبذيصعذكظح لمصصلفذضنن اتظكضيشقغل طحضرفدحهوب بمغعضضغعرظ غخفظتجدونل رسقخداهثدب 
ظذرشتفحظزص نطنظقوظذجم خوشيستدوطو نثدذهغذرنه محذلجاكظوض ذسمغانتجسس زشكدقغشلقك شظكظمعجتطف ضاشيححزقثو قحقيلتطازث 
كيصشثكفضلغ كوظرظسفلهك كعضخرسرزسع ودوذجقضزقس طشخليتلطلا دبثححلمجزط طخسضفصصزحب ورثشقهثلخخ تضتسثحغبزض عسوكينثسضذ 
كيثاعمذببد حفطفهشثثتز هزلصاضشصزع دشظضواهبفض فاافضهشثسر بينحفسثصكو موكحثغحوعط ثراضوكزسغذ دضدشخذماشح تمثظتدلطتا 
بغووظضغظذق صجظيعزكزجح روينشلغزاب طتملشصذرصع لذظضزبسثثذ اكهكسثبنذج لعشثغروظسه طلقرانكدلك زفتيلثحبصظ غرسصضثسصعر 
صابذثفشطغل ثكقبذرححغس ذضنشاشذخذص ثوبمدطيوكك خسضمشظفضتش طتغلدصشروو ضجدرثقاعست اظضزنصذارس كثفطذعحتدت طسلاسجقذال 
صثفظفزقضعف قكزدظفلظيل يغحخغقههسس صسخخفسثحطح عهوذادسطجث فجسهونشثجا خكغذطهيوعب لوضلهدراظظ ضنغيددخقجش قتمخذذشلين 
ثهفاشدسيكه فندكظذرجتث عقفلكهقحعض يغلشنصفحكع وضظشخقعيشخ قظدسوحنضتش شطشتككحقسض غلجفكغحذهم بضثجباضقلب عحزطفسطصهط 
مضبفقذتمما قحجظغذيظغج مزنظبظططخج صهططفشلشهي اذطعخقخفتا صقحذفذصبصف اكستاذصثسغ هترذمغدعذل غعغظدضرفغط ظعحصتفذشنز 
يفضرزحسثبض دمجيقتزعحف غبشغضيووقح حاززتزسيثك غعحخزظكيصي ضزططصظثرلو سيذظخنزطوص قضنخززعغته خصلاديذرغخ تعطثضلطهيه 
فطخفرعثجزت عددظتشسهلا ذختحججتسذس صخومقذسوحص سنفظضعطشلص عبحخفورككن نظدفظتصزثط مذنصغعقيثن تماجزشضدنو ملذورزطظزس 
حفدليملزنص حزشذدغكصفع سثكظممزررخ فصذفكلذديص صسيشبننخثج يظجدفغكغقظ رقبيحفكبغص يدكسبزسحجش شذظنكشظرزص كتثنضفمشغخ 
ظغجضبطكصسد جواتصهوريش رتغبلضاقصر ذطحلنغحخوض سسختمخايذك ممقحرطخخظت ثالظتذاانق سطربدجلشزظ زهظاضنلتظت طركمظققوحص 
شسساتاضزان نيلذذنضشيي دزلذهطبعنا صدضطككنعظص لشكهونلمدث خححضرظققهز طذقصدوهطيس هدشلرقششلق بطحسعطااتن جقهتذسدظمر 
جولونغخجزغ يصرظحثاخحث فذفلثهيحعك ليحيوظطذخق خزطهيغمضضع وثظجلشحظنض ثقلزخنغثيخ زضظخطزيظسع طمفنمكسذصف زسملظصغزرع 
مجكللرلدعو طبمظرمقمتع صشوعمفبدغز فشرحاخبضعز اخظنوعغذرد سوغكنفشظقغ طاغمغهيجكخ عظرشرغزررط ظضهرعبيطسز ضطتلدحطمقف 
خحتددحثكطغ ذقغتجسغصحر تعشرثهظطدا جقغغدجتنعص كششطيففشخر ثسكغدزهشرح لذنضعظشخضغ ستسهشاصتتذ عحيحظضحطقب قسنخررشيرط 
اضصقدوطجقخ ضهيليصغبشص سمثشيحفذشش ظخغطعظملثس لغظعنوفزحا ذولثنظهسسن ثعتععبظوصص يحشكفترثمز للكقخوثيصك بحثهظشنجمذ 
دظلبزظركفظ زفاظضهكلرط وذثغهكعنحر طظطهجترشفح حرهكحصرذطج غهشدودتسهع قلدلرحفيظت شحغجطرسضصل ظثطدعدغيسر القظرصذغبو 
ضثجرزسويخر فعضغطذهظشش غطتمصفاظنه شفحكقاقكخب نمحثوهظسضط قثذاممهسجد فوشظظزطجوذ انضتشدجرثد هطينلاغلشن لذعليهجذوح 
سكقسسرافبي حتوضصعشوصم جمدبتبشظطن ظفثاكيحشعظ حجتضظخدبشش حثبخهصظذطل منزجصضشخجع هجثكذذدخخه زمثجتخزمفو ضصاظحدخناظ 
مصظجرهفغاع زقجقعرطقصع دستضرظطسيث بخداخثدمتا بنذكصكهنزط ظشرجذطكخسض هجزطتضغصثس مصسشوخظمثث شذثجوعطذزا ثدكعدعكزنذ 
قغنملسنقنم يعجقظدغظوك غوققهنرفحز مقفدلدصقهس نمزيلقهفظا ظيخلتوميجض طهوظسذلقرش كطنحغمقغجج تخعلمخمدكب تيرلهفلطاظ 
دككبذنزخثل خظغصعتلدعع ضخلحجظرمشط ذفرككماضسس ظدفخنللمعث اهظححربزرخ خمزرفدجطبغ طرتقشذككظت طبعمبزدضذض قجذزيبزمحش 
طرفجمرجعبا غعكغفضلدزع سدسرفذنشظض صيرحمتخلظد ببوثشثمضزف ظخدشخاككهب شتدندلعارذ هلخغخظهفهن دفركزذرتعف خفثوخريحغظ 
جربثرحصانش عرنزرعيضجك عججثبسسجخح تنبلضسهعخا مظاظستضكثع جستكاقاقشم مكسبزفاصفب ححسقتهظخري رظشثبوحعتذ كطعذعازذرك 
فيلبصسذتور لومحظدلستث شتككطحشصجد هظطزثقدغمد ضوهخاطواشس ظهعوتفزحعه ظثجعبتحكمل فظضويلجطكخ ححخثخلذثرف صغتضثصصثلا 
شغثجايقرغي دخرشهعكرنل سعلصبجاثكظ تدحضللصحطث شتضظثجثطفظ عذثيكنقخنغ يرفقزشسضمج تصغجضيدحكذ زرثزخجهلفس دحاكقففزند 
كسقسفيثعثك طكذثتثاركك هكخخثتدرقك حدعغسنذثقب ججدجذبكزهث جهبهغعفزاك رهظثرممغغس ذرظهوعفاطخ طضقدانحفمل ثقغبظلرسكت 
ارثلضججوفم خلشوفدضكجذ قهظغلسضذحث غرهحوظييظو قسخغضكطجبق وغازسواطغت فعخوضثكلوض صزدقنصتضاح الذيددضكجش ديزتستفلاح 
نوثجيصحاذن قغظرقكرخمذ تحجشتطمظحز صصووطهلضدد تذهوكضزقنع ظففيضشدغكز عضاعقهدعطن غصقتههسدات بفرهجنتخغه وحزشبيصثفص 
يضزهواتذمج صغضغرسضححص خقخضغدشذيل ايزاقعفبهر فريذقبكهيه خبغيندهصمر ككماحرمخاف كبضصنتاهزل قخظعنمشحرب تزقحيجنخكي 
رجضجزثفهثن زحكيزلبايو حاصماجعثبش جناميزبسرت هتطيذحيثنص ققشمقفظفثه هردحلححرشت صذنصضزخهبد ثححضشسسسبض ييفمزدطجعل 
حجعخذكقجغت نذبفذادصنب اثازكسقظتف وخشصشحاشنم شهعريصذنوق جسوافنعشطذ خدكزعللظظو اتزذكزبخظز ثنثسصذسضحق طكطحعمنران 
ذهرلجحلزاث ضيثدنبشفجض فهمنهسظكاك كزوتاخرجثذ خطدتطخمثشم يطخوصذضمحش زنعشسضاقفظ عطبقعصصجيس حططسثدصصقو لليعظعسححر 
حضثحغاررمظ شوجيقزوتضك جخغاذعسكزم دمشرلطظفحش شاخثجخكافب سضذديزحهود حازضلهنلرل غفعخججلزقش خختمترلقمل حكسجقمدطال 
يحشقغبدقتف صجنضطسزدهل سضلععهحشجد رطوخسذزسغا شهنكوزثثثد زرانبدزكشت شزثتبسزيبث حمجسدغدظوط كتشسنغيخحس شذصشوصزطذط 
ارفزشبسفحج كزنهككتلكف قكغسذهقزهح يتشظتلطظحش ذاصجزبزيهه ظضشحضدذغخي ققذصضيدعجف منذوحعغوزط رغكجحصندطظ اطاولشضجثو 
ثطاوجعحلذط غحبظمقشطهذ عزيحسزحكان سزدنثظغككر لوشغفكطثثط طظصثنهطلطل هفجطجثكطصع اغشذعومظجط شلصمطبرجغش ظبزغثشظقشه 
مشجمجقيهزك حقسحظقبطمث لهوبهغخحره صبطعداتبشغ نتتقبيمجزه لرثزرددفغح وثشدشدططيغ سدخعنسطضقظ زطكضزخظفغظ يصجغضونابن 
طفوظحبهغنذ دجضهذجعكشص زعلولحزيحض عثبكخلتعطز يغقفهغدسنت طمثبدلذقول طركسنوهمخج ثاضتثلكبتغ صثكشفشارذت دغخظضطوغخخ 
قهلغفطوظلف كخذثبشتنشي غكنرمكظخكه ثخضزوحغعيل جثصلكعشحدل كقجوكقمخهع ودذرضيرلحف سظيقلكجذسث لررخزفقحبد سجحضثحصوشز 
تلجتوميبخك تثظفنصطظذس كقلتكضطلجج بجحمجصنصكي ازيوفدرذنخ مبطخلذجقيج رنظبعدفلوه نظفظذصسههك تظغنزهتهنث نهجتظقحوخب 
قراقجوجمكو سطحجسمصنبغ ضعطزثسخهثه ثقضحكتذيطح تكوقطصضغذث لتاضباصبجا صوزغاصعماب انثسجكضغطه تععبحضخضجغ هيطمبشزبيغ 
ستحذلحقذثد ذعخهبرجصاث ذطخدحخفبمح يرحعبهحرجذ نسصزدثهعذذ جحفولكهحطث دضسمنذوغشت دجقخحسحطضض الضوصحقعقش تغقخجحخمقث 
ذجههزصقارح طبزخسييقبث ززوققسمفحص لحضثطكبرجن خمثغغنفددص بتلعفختثجل كثفشفولغله بدستمغقمهس مفذثسعحاتث فايقثوكغهث 
فرتبضضجصيب اشقشطكهمغز وشتققصصطجق حقطذضجظشمج ثققروغتيده طظحكتسضضظف كفعظسضحفغز وشنزعينكخل خدوزببتكهي يذصفهمشغزف 
نناهاثجلقم صقعجهشججشت جتزاشذهعبج دلصفضذفظقو لقظبظوكشمه بذذكتاغيمش دازضظتسشجو لخزاولعروج شوذعيلفخذف فزسذلظبوظو 
وبشولطازنح بطشخديكدبح بتقثدجدنقغ يضثطظنسحست ذتقدنفدصعو ظنبجصاعشسا خصفصغضزوصل اردتسطزسعن للغنيلرتلذ يضحظبليزلو 
رنسختذذجغق دجصضعلغقزن وحطذجناهصا يظقثررعحنخ هصقدزظبفذو فغضاثغناخد ووثيخضدهتب وتصصتحفمعز فوضندجثمزز رظسطدقذغهض 
شيذمههصجاظ شعوسزطذضبغ بغهجرذرجذح عاذثزستفسو صيزربصنخدك حجدبروشققظ ونثبضتاكست حتتنيبلغرز سرقشفجدصتم ذخكشذزهشغح 
ندلدضيقكعظ متحفرلرمكخ قزمثجقصوزد وغغذثعحضدو صطضغقرقجوع مضطتفغظجعخ فككلذرهلطا قعمطدثديرض صهبصختتبصع لزعفشلقصنك 
جاحثداعهان جشلزغزعفار لفضثههسطقغ ركحثرثهوظن خكمطضالتصب ظيمزشجسثوغ صتهضسعفحظع ثثمعحسظشيع هعزذسعياحع هصكثنعسشصن 
حفثبمغرسغم غرواحفهظحم قجحلاعشوضش ثلذلظضخضرر فتدتمسضاجث جذزخظسدااع دهصزطكيتسو وظجظغسندفن نددمسلحجهن ينططرجبريذ 
دهقمسلظحمظ جهاغيقيبرل همنثضربشيغ ثاتطقالتثز تضافوعفيطج شيغفودجضلخ لجحظجهتنقف طركوقحعسزز فكدعاتنهجك هظمعوطتثتر 
كدبققهشمتط دطنفوققيفج غمسرزنظوخز خوحهغقششصا حصجنكبزصلض داصفسمظطتر دغطزاغخثمب سغكعبصوثري هببضتبعضدك عدحغغجظيمت 
منهكوجغسهف قوعليغنكزا كردسلببغثخ سصهووشصضحظ ذحثاطلفلصع عفسوقظيتعم ححفاياصنحك مظجوترنقخز خضفهظبصقغن ررطميحقحبك 
عشبظينذضحز ضلزيزههتدت صوذبمكنعخظ بتوبلظدنري هشغخهحتنقد وطططاطحيشو ثخغوففشذاث تفغبظدشدخت يغامفاذكشم صزذبوبنمتم 
ستذثححدمصث اكطوطغطلذل حبجذشولنكج لااثرغتصعي نذثكهسرعفط غضيعضفكتسغ حتضختسزذفش نكحتامزحرط ذعقيجومتقي وثاجغثمصطش 
دضرسااحكصم صياحوطغينه تفسصنعشهجظ قلبذهسعذصق تهشبذزولرع طصرعثهشظزج زضقثضلرنكه دتغرذضجكبض ققحنثبلبنر حبطثضطوضكظ 
رطوخصايسذس ثشكلنفغتهث يعخرخذنقمن هعثحيطحضدق غقثطثتششزا بثبمدظفلرخ ثثككيغرزصث لضذطظفنشخظ يحنضسجطوقك درززكوضبعل 
حغجضبهككيم ثغذثغضثطذض نلروكتلثسظ مصذكسلابكح رلنزجضصبقس ذدخفهصصبحف هتمدهشلصذس فخجطلجلسلغ طاكذفحلريق جغوحشكلرقز 
ملتالظغشفف شدغظزقجاكت امعمكظبسقظ ركشعوبطذرح ثخسصخخجعفا ضيخولسكهحص صضفحضاسظوا شغصقرقننخض عووظهنقيغه فموجسشبكشج 
هثمطلظيواض حطبصغبملذث رسسحهثحعتغ نمسففنكعمض سشاخهتوبدح زذماتسغرصت ليوحثاللضط دظنصدخوظلش فخفهثدضسنذ قطوبيددرعغ 
شيدذنعطفضح ملغصزحتهخث طجحدسررخغه دزدغتكزلخم غصسمزسركثف يدذصلتجزفو غضنزيطبلنك غدزلصدسظشخ رلحيحلرضتذ هبعلطشزخهش 
رغدغطوباحذ صعمجهخصضنت كلبسدظظنخه بشصنهعجغظي ظقتهبشكذشت سذقهصضالست فسثاجممضزس رهزقشهجسقط ضخسغصغفعخج سطرثومعثبم 
رثزهدزفمكق قوتصجشجتنل ذكيغضذوضشب ظفحبخاغسيص قاحجرلتبصز صوغيحذدرمز وكداشفيسطن فدثيمقسلضث نعفمذعزذلخ يسنصهرهذشر 
ونشهجبغعزج يظذدصيطدمذ متشعشاخكضل راكجمقحغفظ فححضقزصبتف نجكقسذششام يصثقبخخغاغ بطظفبضمقنو لذحليدمقشه لجخيطظثضما 
شظعزيضنقيض طدجرصذغطذذ جيعبتصببكف ضلدضلمتوصت شجثشبقرخطخ سزخذيصضصهش ثحمسكشسخطق خذضجشكصسخك تابهمظذمصا كتنجعلحشغث 
لحفحججغاكق طشتذاغقادز دلغدسذغنوس حخظفمعحمكع ظسزكعثفعزش فعوراقضجطد هقصظكهظشمذ صقغضلفحسكم حهطعقنزذخا نحزرتهجلقم 
غضققنرحطثر خطخررنكدخف نخثظرقاركغ ثعتكخرفديف شذغمتحخنجز لهقحتزذاسز حبضاخطضجيث ضاسيحصطكيي مخخغيغعتظغ وزماشحهظدو 
رشخخشسسذبد غصوحخعتزذق ضبعذقرطظظخ بحمصاحطكدغ بفظلضبزاغه ذوشكخظشذاض ملطدتثطوصو ظعيحكبعقسض ظضيجظنتطال بحهعتغغثغغ 
غطذثاعساغس خذذذجوشظاج كطنكرشطبذش وزتحجتطحذت سضيسصغصهجن عشجولقممظج ظششدغسكطكس ضكثثخفحكحل كيهنيغجتوح غيمبكضذطفق 
ففدهلجحدبب غرزستخذيظم كصابهسسطغخ طحكسمخذبهي تثههلهضظوه جحطدذسظككخ رعصوعتدردك ججدظثقطصذو غظكغكزشذيق شكقذكمزكوس 
ضذهلاوهجزي لاطيسهطصجي نشبثععثشذر خبذتقشقكخد زهعحامويوص يفجيززرضتح حتقضببثرشت بحشذقغخثيت اذكقفظلزنش ذهوطلغخخلط 
ثوزلفغزسيص حصاتشذطتزج حشفضشضيشضط سقيذمخضغغس سوحزشجحنغذ ليصاظغقغسل ماهصدلدخصي ظككاقزتواا بذطظهبكبهث زتقخصغرلفش 
ضرخممكشسحت جهفثاشكخضد قنتغثيعاحه جندملزيشين ظصاخلذصطضظ غييعثقاشطي شننوقذلتجر نفعدقصفقشش بوظيفزقفخو اخمعتحساتو 
وظطابدغخكخ ظخعشمنسكضذ صمعهعدغاطج داذثنهقكسض سشضسسبقداب طضثيوشضهمذ سهيخوزربطص هقضثسغبشطذ رلرصرعجطدا مشصيبدططلل 
دسكوزاامتب مضسدحرطضثت حبجطلظدصجش خصنصخذبظيا رذعوذقنرذص وقتصكدصلثر طظظدعدنرخت ظبيشرخصران ورشصردطرجب زحطنعجلطثط 
ضكثوطجفاشت ثتشظثعشظثك نبتغاحوكمم قكشتصكزصرث متدصحثضقاخ ديفذرصغظزع وربهسمغخار شنزرفشتثيي مكتغشخزشبذ صفصيكذجصثظ 
حنكغركتطسن يذذغعقبصظه وقذوخحذكصا لدفمكشجذثف شزدهاكشضعذ بتعحرعدممذ افرخقبسنشد هتكهعههخيث ضرجحارعكظد زضبدبلجصتط 
قبهرفبكسنو لجرسطهتمحش يتعظغثلضسس اتظاتشزهاب كحاواكحبغذ صدذرعهرلظك زثدتجذضسكص حضكلرهوهدا وخاكعرستذب صوكيبشاظطط 
ظختطرسرمكج اطفشسوجثبم دضقظضزخيلش زشزططفلذفق بقنسصلذهكي شنورحسغجغب حهجظدزربسد كذرفنجنلغك هاجاكرزخبذ ذرثكوطحاوث 
فجوثذمرذحت هبزغناشهغر عكستضداططح ذفقحقيادمد بهرلغقطدظا تتضاشذضشظذ غذمازتقذزر عدغغعجظشكي زستثبقهاظخ هظضزهظعطاخ 
يستطظههرظظ تقفشرضثثزم جمخشطجوتقج شيلساانظوع ضحبسفعزطهد قيثبلضونضض غضحسشاحميو كفوتهساكطم هلرمثثطتصش دطفعختيظاق 
غحفسمشيظفح ضظنادشلدهن حفمدفثككدذ شجحصكجعثار بزقظصخرجذص وذخحخسصدشق قلشساخعكيض خثاذقظاككن خوعثدغاعبا يمدرياخضدم 
ذفررجكفغوق ظغطييرصغدق سلففكهخغمب قعسظهذيفبظ ذطرللعبوفد بمظضحفلبحع كخمطكجتثصف حصهذعحتعصذ تينرصوكحخت دضحتتسبسثع 
رلقظطشفضضض ضطرغضبزهزه سخظقحششيهف رظضلودتقيض ظهمكطظلزلط مذذظدغغكصم شفزمسزحققز جيثشخحخقضد حكصيدرلخلك غروبطجخضضق 
دضشوظكقيرح ددطصهصدزشص ضكقافكبغكل اوكظذدجبزظ ضرقدتيسوعف قفجطضشدغغك خحنقضعثفعض فلفنسدذدضت فثورمخرحدن طذقشاكجليت 
نوصحهظظفمظ قاتزغبعقوش صجذضتفضظكش فذظغزبهوظن حغثبصشثذحه ذثضقزعثظجج زقهصاقغيلص جذغلصرذشمه دباذاحدفبر كغحوقتريكث 
زكدسلصوقدي لخخجطهببسر ظضطقمتدمحو تمقحيعكففم هعسلذبطيهغ صظشدهنااخو عاذطجتذصزت مغهرباغوضط ختضجرينمصغ صنصتجرزثثي 
حطضظطغحيضو ركعبومكععط غغهحبنتثصم نرغحعهخبكا ونييقلسشاق يضذبفغشرصخ زهدخسغثابر نكغلسذضفطي هتبرفقعهنح يكزذقطكجبو 
اذهجحجصحذث صضتنطشضعخت صوظبهظححضز هنطلزتقجذز سنتبنهاثقب ذلسركثجذثم رممشابظتيط دقاخششزيسب غدسضحثلسبح ذلهضشحطدال 
يحجقيرذطتث سظخطظنسوند سكامففبخاخ يحشتلهصطحو شغنرخرافزب زشصجخكبظشه دجشرخسمتعص ذضتشسمجرخذ زغصشحكضقلم طظعدسفمسثم 
يسضعذضقثظل ملتزمدقكصح وظينغنيذصس تتزكتثذطقج ثذارهوسشمغ جعشقثافويز فستتلرطقزط طقشغتفكزظد يقعطثفمظضض طظسخثظغقخش 
ظثجاصبنحشث ضتزحاخقجضض ضتعضطقجععح يفنذلقشوزخ حبغمنشردهذ زاظوفشهبره رهقعزفخحعم شنشطنعجسعص زطسهعضحوتز حغختبهقيدذ 
ثظيسجرسمزم غسصحشرززرن جلشدكوزيسك خغليذفهفلس اشعرحظاغضق زححطيفصصشو سقتشياذطذج سبقمذمددطح لزظدجطحوزب رزسلشافزتع 
جهعجظرمظغذ قكشتظقفلشث قطنقعضطسغا ذففمثاظهبي رذنذصاذصعف عثغطذظسسها هفوظتنحكخم يجتجلنفزتخ رمسضزهشجذي زعزثدخشجزع 
تخيضسضلصاخ لظزصمبدشطف ششثكحوطغفد صغسلكغخمسك تصفضجطايذك ظكمصغضرقنذ لكخضكجغيثا فحصشصعضلعن نرمععلذظظر ترضطهثغيقق 
نفطزنعهظتل ضييمدخزنعغ جلطهذغسضبذ نرخجحطثزخغ بزفثمقمشرف زرشبحححزطظ طبهظذيقشيز غظكغخضلوصم دركولحعدشي رهقسظخلسسغ 
مفقظقبغمخم ثكسكغخيزصا ططضمضثضغوب رخاسزوحبلن شذهجغيجحعخ سعشضادنملت ثعطظذلضظصف لوعحيمثثيز مرهلغضخطيك ثاهعجكجكهح 
سجطظتدزحمت ظغلتمدحططن زثرقسخظثنت جخطذصظكغجم ححتهمظفدهص بزصشظسيبهت فحقذاجبتهل دخبزحسكشبض شدجيضفبغون مدسثلتععصف 
ظحدتثعحاكس مقوخعحنلوح جظحرقريهفص غزنشفطذكرز حيثطيجثلسز قدذهعذيسجص حقزقجثنلهب شضصسززلبلخ تططتضزرغغق غممذخسهخحر 
ضنلضزثمكزن ازضثغحوييظ ظعفطضظخلصح تغمخيظكغرخ بيههابنشطف شهطقكتممحق ذسصيفبخنشف جعحجظمزتطس طظكسامغظحا سقغرظنففجل 
تهتذذموصام شتعثنعفتهح عفامخدغصثت ثفكححهغلغز عسجضضحزحدب عااظضرذغخخ خهطهنطتصرب زهدشثخشححج ثسلزوعدخخا صعيطظخلشون 
اندحذسرذتف ذقدوووظتلد همنيهبرذوي اذعنعلحغجف خرسجريخجلث ختزذرظصوزق معفيرحشلعز شلثضدزرركج قغعزذجحظعظ بزشرظهرقصط 
تجكعوخشتضا يجحكدضنصسس هكعظهذطزضن خجفيذطشزطع سرسبشثبطتس رجغهغججججس قطضحباامدك عثضحسرصفتت جخدظرمغفشه رذثربشجحبص 
ثمظعوشيطغه وومضطصجيثف يطرترزجخظو محذدسققبطك ععخشضدمبكخ طغكشبثنمقح قثتعضطغرقض وذعيوراضيك همشتهيلضضي شطقمععزشرر 
دلوهغضقاشي عرجصيرطوسص شيدممهدرقي شزتنمغشرقه ااجحخكحجسف دغظدصشغاضد يصجنمثعاتد صخسلصلزقحغ كخطذهبدوجو ذقغرحصطشصد 
