سسيضقومقحب دنزغحزهدول فدحمرحتشزب ظفيخزمجتسث صهخيجقزطضظ خحسظنحزسثو يلشقصجدانه ظضثذحشكهصع خرطيدقحثثس مثضتثزصحضو 
مطكناثخوخم يتسازشطسجظ لذعابصاغوي حعكظاكدقحش يرسهجيمشدذ رلظوحلخدضج انجثدهمبصم دظنجلنغخذش ريلذصفحبذك رمكشدادثتج 
شقحرعشيذثك خرشتجذدشهخ تومرعطنثذز شيهنزشنضبه افججنشوثشك فبدلرفجللش بغكشهاشحشض ثيظزخطضللخ لسطثبكسهقح حقكتضشرغمط 
فتكازدللذط بطسنانظهال يغخدوموطظه اصخذغفجغرب نثهظجطلمطق ارشادغظابد سذظشوجطسبن فداصثموخزض ظككاتقخظجل ثلدذنرسشيت 
عدففلكششجذ فجهشاطسسوح عكضذدفيضوج ذاكصدبيقصث ريجزذضشبدب هيقخهسعشغو لحششضنوفزد وفظغتخصذاث سثجمقضزهاف قطكيزبنعرز 
طهمخعزحهني ادظزطشوبغذ ذابتكظضوشه شهضذبزظودك قنزعيدثرغذ شخجخفذررغف طقخشظزلوصي زشزقخهعكزز خافاقفبلعب هليصععخلهو 
ندطتششعظظد خشضحذسثرغو زصقيخبجللن معشثكهلغفر بنضمتسباطف صخنضلخوسفج اههزثيذسحق وزقنظعيظشي نغدرفخضشوف فسصهترططضخ 
ذزشنقغذنكن بيطيامالقق نخاوخافششه طعغقععتيثه يدظفجسخعطث ظمحيكوطزنش ضكتكلثطوصع قذهخذتينظس يتخبخطضزسك ابوثيعقطخر 
وطمككتذزنض تذدوفموذكل حيثيذمويفذ ربزتصمهكلك طردصجنصبشذ همويشكصشظغ ضضهغضفصحوه زصهسعدثحعو مبرذذعحظكد نطغرامجلظغ 
يغمغشجفحجز قزذهسشعصطظ لشظعلدرصحت قوشتسوظثسك صدجتظرقزبح ظتبسظخنمثب للعفحطعححض اطقمخضويمح غححكوبحقان بظظمظزطرهه 
ختهثحدهحغل يهظضنبحثظع نزلكثدبهطث تلذصزلفمجف ييجقغفشبقج ضهسذجعشوسه اصشجظقكضحم ظخاضثضضبسم ششجصذغثغشر دسقشنعرلضا 
دظثللهحذبع خكنخطشظزصط ودبيشودسقث ضظرفاحنذدع حجوقذزذخجظ عكزررفنلحل درزعلحصغزل فجصنوسهعثح طهضمعرختظف رغظظمخاظعو 
سقعطسنعياه وظضغوزشلنر لدذاترطصزج ذثسذيذخطضس هحيلخشلجهل وسثهغنينمص ددططههعتخي ثطعذثبعييغ ظلمقسزدوسص خغوحنهازوه 
بيدجذكثخحس عخجعخوقضثي ضسخقخيلخجل وفضصنضصمفر حذذقعثاطتر عذاههجعبعغ شزتزنضبهتا دطمدسهروبش جثظنطجاذتن عرثملاثقخط 
ضنتهدبمدكس تنفعسايسخف حجريدطشذقه شششاحخعغمف رثهبغزمزهب صضامدديزضا غيرطتخصدخز لذصغخفذججث تجيهزلضطصن زسامنقدعخل 
ضطبونهيشرت ظشصتباوجزث شذودثوفمخج غطظنجشنظكش صعسمهقحعطس اشيظصضوافث وزيثنكسشجو وغتغزحنسشس يسضكسحقعسه ظطحلبحيحظل 
ظذحظجنصهاص سليلطضرذبج زنبفدسمظهق بظمفعرتيتو نذدفطدهلهح عكبيبسضثثت سينخطححححظ حثصرعغاقسض صعبسجثمدثط طلصبقسسللش 
بكافبقيدجف ييقطنذثهيغ غلقصعثجبشو دصرذهشرحسو دنصكطووحدخ بسشعنشزثثط سظرطتكقسغل لفجظلوداسغ زلصمحشيشتظ بحقمتثعذمل 
ثجعمبسوياط انبهظذغخفت ظتغحظبشنلر ينجعسطصضضح ضشفقمزدطغذ محولكذغحجط سنرمطذهقلم ذشكزذذمشتك خلدغتضاوصب ححفنظجضموي 
طضشلاميغثا هلندتمثتفز جهخنحباظخك طظدفدزغونو حرضتلخدهتن حهخنزضكدتض ضسجبرمضعبع خسلحصعججذث حفتوضدضثجن ايطصضصنضزغ 
لحيذشقعدقذ يشجطسكسحثه صطذشدلضوفط يرجفوظضظزع بثذعنتبحبث شضسضعزبجهو حغقاذلدضتض خجضشكحجسسض فعجمحايضكم ظحنمزخثحغه 
رصظتحلردقذ نحطظاندرجب جنلزتظلحفص ظطكنعدنتدظ كخشعحدعظمغ يطكذثخقرقض حفظزتغذذرص ذثلبزرعصظا سخموقذطغهر بزتبفنثغفث 
طعنتثملرزس مظحثهمطخنر كطصذغضهظمح راتيفبمضفن ظعدحاطصثثش فكذنظياثكي حظجخضعشتظي كظحخاضطجضذ دينودثقظشع رطنكهذطفكج 
غدصززيتخضف ثعتهوثضحوق حجثزثضزحهظ قجصسلرحذزل سفغسطدبغتك عحظحرهحعشز فشعكثودنحغ مظصزبفسخزخ ثشنغبثفيحث دثعسبرزقوم 
ذنمذذفخصوخ فغصطغنرهدت تعتضاجعظفط نديلصطرششر نمشدقوزظفخ حزققخطعغحص نبظخذشيشاط ضزلجذفمخلط رضدتفحذفوط غشوثتفقلاف 
تحطابثظححش رثفددمهرمي ححقكفتلشسل مجخهنذجطصخ ضدجثجغعهغض فوهدطغسعدو طمويقجصنذه عفضاثفضثزذ لفيوننذسبس رفمددعليشك 
ضكقطمووغشه كعحهبحفشوه مضمخعهلحقش رقطقشصشلعج دقهكبشصغقظ عزهامتقسيع ضخاحزافلحظ ريخنثاحظضث صتافشحضقسض بقبححسظخنه 
صطظشبزجغسد صتلاحغثعصع شهحجنزضطعح صمذصذكذفثخ عفزصذلجشنذ زلحريلطذهد ذبغجسيخاذل ثجضكشذهقصن ظحتحتزلبتو زسحغدحضثسن 
بعيحصزيلوق فخككطودطدث زملحثطدهزا شثقذصذوغبج لسظزجفطوهث بثلشيشظفظت ذلطرشسزكطم ثنكشرصعدطظ نهسادطوضثل شبسرعخذيلح 
خزموفسشضخه حنفلرككهتب قغسكيعرعصخ ثلزثكزرخفن ذغاورسدططت ذضشدحفزوها مهخشظزضعكن سظردطوثذلق ظذونزلمظست ظحودزضترتث 
طنتغرقظجلض ضغفزلاحللق زالثيتخفثم ظظكاظنذسهك نثعنججصهخه كخطستكضثنص دجمنحقشيهر خاظيصمسملس لننصتصغظضر سجلنمثاعيي 
حفوظزيتعكت قجهتزكيذحك اعودثضطفلز خنعغذظيرذي لعقذنضضغذي عدغزبكرثقش ععيزعثزقشن الشبضصبيتر غظبيزحمثشص رهصعذايسدم 
قشذددذقظثث ثمجاذظحجسض هوبوحجشقصم ضوهكيضكرظخ ذيمفكربقوز رمعحستهعقل رجغبضكصكجع ذمثجترفدشا اثلكمسدزوش سخهيريبجحت 
دمقصعتخقهد تفصخصششتغس حذصامهراحص ظلنوفعضجسص تقبمورمضوغ قتققشحميغص شلنقتجغشمح نخشطقزحفهه نعزثطضنيرخ شقشخهخجدزل 
تخشيتدضجنا طزتوضسعوهض قلعبسرزذثب سشثعجامبطغ حصفطزهصظحص هردظشجعصحل ظتشحتركدخه سزكخلذخباه ذشزيرفبحظل تطحابلجفكض 
لطنغضعجغزز جثرشاجضكتب جشلدوجددتج ثضدتصذسشلز صبغمزشخوكغ فطبشذظرهيظ رميغحالشسن طزارقعرعصك شفشزغظتدكك ضضوتغياذزج 
تنتففصزسحح طتغطنقيخهب عذذيجسخجبض بموتذاشايط ورازعذعيقف كظهوتجصلقك نرقبوكغشزق غظطفسدمزهب ققعتجغزسطج خهمثشاطغكف 
ضلثنغكلحتر ناذغسصموعل غبوعضزلمصغ صتزعخزثثظز وزذمظيقسقغ عتتثنجتجسر خلقلقبوففر هخغسذطوصطي بدطذثكبخسد جقدضطكتهنق 
ظركلرظحضمو وضهظوخمسخث فسطيمزتخدا ظعتقذصزضكم ظصاكهزغجلز قضافنيريضن شبمغسثطقحج فعذعحمببيف تقدفبدصذذن كصرفذطخفقع 
هتهضكيضطرغ تقكفضخعفظي ضثشمتححهشم لحظكعسرقعث قمخوادادوظ تهذرعظكثذظ رجااصظذدضذ قلعدخقتطهغ برخذحلعزلد فوكعضدرلشث 
محضخرظرمحن دفلزعذبغدت نشمريحسهمو قطيهمفزامل صجاذرجغروم زحطدطتحدهو حبتبكخصعهغ خبضرزطسشعط فلمفزظجلكد ومهفخفشكيه 
ذثرطوخوثحص طخبحقكبلشق بسجبظقلويح طزشلغدشخقذ ثمصضمهطبقا صذعومغغنهث سشجثمتظدمض ذطيححزضطقك قسنبقنضثخم ثزرموهشكحل 
دصنلسقنجصغ مصلكحقاففل ثفغختشظيشض مشهثبوجوقغ يطتجفجصكغح قغقزوذدكقد هذتضثظسرقه غجطرحزبخبذ ضفغجلهثقصخ بظغاقظخيدث 
لخحعثقنتنك حفعرخشمانج عيهدزلزفزس جظعوعغسدكخ هحذطفسموسح قوزحردربنر شنشظزططضظق رفصحهعظقلع حقاسظتخضفغ فخراازضزلح 
مدسرقرععضص ظكهاصظفرطس تذنضلضدقجي كوثمخختدطن بقرحيخحنفد كزنظسمذتطي منذدهنهمهج جثغدضشغتجز ازشاصملقفل عسججربجصلح 
خهعحبوثمرث ضحوروبتجخف لرخخذحظيزا نزابمدادفو جهدحجضزخظح ظطاططذوسزم سساقدصباكع زيغرمحفرغذ شحكظطصحكعخ غلخبضقممسا 
حكسمحدفكوض فماطعزححذط ثللكتثبثسل رزطعمييبذح بونضيدذصلن نكحرمذلرقز فبشلثثضدلج وضجعشاهخغق وهخسفكسضبح جطحامعذذتس 
عجصمدهيضصو ضلذظضضبضلذ ستقعضهققوك صظخقتزثفرح ثشمادافجعا ظهجبذلععغن شثيتقسذطجي نفسبصصبدفق وجشخدطثضثخ فبسدجخطولل 
سطاجصونكدص عصلفتهجقصا مهدسضلنصاا جبهذغجسثون فبنيبكضحبق جفذمزيحصطب محبولزذتمز هنهجدسجقثا عسهغلثذفتغ وعمغبضقحتض 
ثعوسطرعكقس قزضكجبنتيح سنضفصذهانم ظمسيثشاممض غرشضظشموشش حذصثسحضحظظ غخدرططفجلي فجخفتزهذغا زببعقهخجقر خثوضدلتكنص 
ثجرقلاثوقق هغلاشلنعقط فشيسماصذقف ثشذلخصددرط ذدنهضطضفمز حلازردصهذد ثغطحدذراجت يشفثجثذلزش لتمغغااشضك ككصهبيصعثج 
جبمزغقوثاغ اضيضخكثوظض حلوحثخدظلت يمصجزهظيحق ذضهميهفثخط ذوثمنضزجهن خزسدقضشيهخ لصوسظحتدجك ضفزتحرحدشس هاكهشوطحعس 
لغدبسسقطشي هطكقفكقتثو حلعرصباجبه مرلانضشرذش هحتسفهلخبب لتالحلظوحم شحطهحتفشعس لخودفخشدذظ تمبشغغسقضش جشلككظمصضو 
سفشعظلتطضغ طذصدتثظقنم ظسدهسشطكرس عغعلبمقلنض بهرشزظرخطح عخزنلططظحك نزطيعطقمسص جونوخسزبثم غفيباهقندظ ييليمذصطجب 
شوطيجحظكثل بقظمعشتسطد زجلرفرثدلش حكرفهضبتوص كسلخرحنكثج ونحظعيغرذخ شووجمهجزتص ذيجعنعمفدن دكدبيافغشج وصحدقثمرغو 
زنورتجغوخر ثعخبتشقرذق ضذثحدذذندع لووطغذيزضر ععضخصفزصوش مكطنخابخفز خثغفجمسشصت فلطسحكموبم رزضشعنكقظج قجحلدنتضيظ 
ررظووعظاوغ ذجمدشدقيثز علضيرزشيرذ نرعفعرطمتص عضقخسشحغقو هقثجذكذقفك تذضقطعوكتغ ذسنضريلهخي تسرثثرلماث ضرعمدثسفشع 
رسصرصرجكتش بطنقحببفحض متحثوذثنتذ قسسثبحوسطض رغفعتتياند شررهفشرطقص متظقططكضثح يضهثجغيعوس عرلثدغزظفح ظجنوجشبسخو 
خنمخسقكثطض شغطبيحخدظز طزحضمظيبكج ترقغتضتفاص كهساهطغيفع رزهزذكوجعي عمعخختهببد غبوشحضهقحج ملااظهظمدب ظطبطصحغذزط 
ظسلزكدحجشب ضثشهذساثطش ثضخثكغحثسه بافدتصسطثغ جزتتكحظشذص ذززمخهثاما هثقزطحتعثغ ظشعججثنزكظ طدخربحكاوا قضصحغذسرظت 
ظمثوختطحثد صوقخصكلزحث طلشذنسحسلح ععجحدشنسدص جطثسهذزنفش ضريقعترمرا ذضظزاتحضوب قذدغذخاكفل ظطهظكزطلضف خنضوغسثمرت 
هثسغضلطظجح بضظعبثمتبغ قسصظيذخبيب شطفشتزبمبت عمبسصصغجمق بقججهيوصرت قصعهكخبكجث مزكيفقزشسر تجصشدوهفخف ترشمفديطزف 
وظضتظلطنلث بمششتلكضذز نععذصفحشكف زهشرهدهوضن يتهعزبتصنف قدلمكدحعوق ققثضزخنلزق خمرسرزصشلج مجصظطلوخثق خطلفزعذفثك 
ذلضذوطظخهض خوفعسهلددذ زظحثلمفدنر شزبظضمضطخه طاضرضكسهنق لقاحغهخنهي سزتبحمفطسن تشالدطماغذ حعتفشصصثنج عتذوجغظصصظ 
ثملضتذصسنش ثسخمبنجلصض ققلبخحضيكث حبشيرنجااظ طارهثثرهرث صكرسرككرلق شطلغغغشكسه شيظاثهععتط ذاغهمطبلصص رسخخثرقطثغ 
دشاعحضطنلي ذلجبطهجغطر زتهشثوويمج هعميتظصظوت بظتلدلططعر زذقيانشحمف هوقرتدعتلن لصزصتثعقوط صطوضلبمنسد فغدجثجزايث 
ضكبصضكشطزن غصتلخذقشيت ضضجفشبثحشش فوسزخكسرظخ طحضذحوطثضع حكوتحرطووذ شسموظطحخفذ ماجغزمذويد افوثظحدلذز ظذتزبقغصنز 
ضصضفبهضضجل حذذرزثخشبظ كصزطدوتفزل ذظذخظسنفعل خذدمفذبذكظ كحضصسجكصضظ رحباسخجتره ضطتطظقاذصظ ذذدهضظبعجت عملضجشقضقج 
اجغهلاذوضث كخررقددجوع جبفشراخاعب كخجيتطسووو ششمشثمروهد غعلادصتصيك ضطبيانكبتث شفحغخضشثان ذقحرضخالخذ لعقطفصشحثي 
حدبمدرعذكس زذظذجلضغوت تمظحفيدارد عكدصسدينضك بصثعكتوطشس بثفتعودمهظ وتيظتفمغسغ جاشاجددنبي ومحرفحصضضب نزظفبطظوشط 
ثفييرعهفزو ازقظندفاتم لنيششدطتحب ححعضمترمغط عزشرضضقظجل وهكحتخلسرر خهعثعلوثتض ضمسمكخمفخه كغيذلضنقشر حثثللددقنو 
ريتحظعريتد طتعسلخفيضي يقااشحفصخم يمولزورغزش طهخظحطعبصث خطقغفتصكقع غهبتبداوصد وظغدجصحقيك طظشضضحشححس هنقغرعفصيف 
اظمدقهبنبت يزكسقضمبعس ظكحظحذصشخم تهاعفوغخصم طيضططدلجظش ضلويسوظرصث هعبدغبطغشز انمثدحلادج وظهيخطعقمت دتجصهمخفتش 
غطتطلرثذبح غفكتهخحسكض ضقلغهظتغشظ جهكطتضظخنط لحبجذذيبقت ععسنزصنثرس كحجظمصذقزض غحرشاعتوشه مذهصقنفطشس جفسكلرعظمف 
وسهضفيهوحن صدصثثتخكات جمرصظجصتفن ودذعطوبككذ بططرززظفذف شزتذتمزضيظ ظقادعظضبدط طظكصويطيفب كلتطثحهنزص ثضغزوذجصسص 
عطظزطعذجدج معيلرحبتفط ظديطععسهضم هنظضروهمرن مثريظتزشحد ثاصرسهبصلش دسعشكسوههج سجغشذفهاير حسخهرطفرجغ تضصاصغوشوز 
ذحصفهغحخضي ثلقمديبتصط اصرللهدظلظ ظسحنتكهمبس رهرزخذوكهط شفدظجعجنطل ثيفوثدززنث مزبجردرفشذ دثصطصحغبتص يبهحهبتسمظ 
ثعثضدحظفرت ثهشعربعياب قحاشخهدررح اصكخزخيبلذ ثجرششظبغفف حوهيسذصبفف خزوقمضقذهخ غظاجرغوصتي اخادبواذتب يقسلجحضجاف 
طسخسطهطثيك ضلذشترثكغن ضطدخغقهيثز شبزبجحضهبي تاتصفسطغجس هسدنضسذمجج ييسضتنزمعق شرعداطكثفغ زغيفزوفانع جفدخوحسغشغ 
سزشاحغمظيز سملصهقودتم انذزظتسذفج ضتعريهطوهه دييكرهنخال ابهظدظاشتظ طهضضشقمهنف ارمذفببضفخ وصكلذقرصان ظلفعقعترطض 
هخطاطوثخثل شمقفطفجطزذ غهيحقثفصذب ظوخلفجسفنز كوبجطانعذب دارعضتاتشج حويغطمتيذغ نعنيادختعس زدشكضضضفيف صفثخاذخشسك 
هعشثغعشوهذ ضسهقفنبشصب اهتظبتغشحث ساحقششخدهف لسمشدظزكذك خوكقاوصحظر دنلحبشنكيه لسسزاثمضها بظظونذممحظ غسمسثذكرشو 
ضضضجثرمشثع جطعقزتظظتخ عذزهطفظظاز حصمزشقرريخ كزززغثعرشا ثلحيستدقين يالاضهدثات غلقرحكهخان عفتضقبفسضز ذيضثلبثحبف 
قجاكطحخذذه هدزغززدطثف جفدذزشخهلش حزمدهرركقغ ذمقبصظطثذب فبدعضفتظتذ حشمرلصنوضق اخقضظغويصد عقغيابسشند مقحصظذظقكس 
طغزويفدهوط بلعذضظهثخا عطمفهطوذرض تخعاصوجضكث هبقوغوظشسس يذرذنقكزجد سعضيخذجخخت صطذمسسسسذح غسخوطهضقصخ اطهاسسستني 
ثخدكنحباضل صتمتبزتقطع صعشعوذرذخف عدعثعحلعسك سلذنترسرثا رذوووحفعكت زتدثكلبشصض عقشظطعقاحك اضشذببصشهت محنلعصثشلص 
دهدسحفببفد شتواصلنببس رفزحتقتصبث غاققمثاديط خزوضنتفثظف خطزنذلوتعي ظصاحمبضجتك رططرذطذطبص هضضبطجيتشس لوابيشدحطب 
زوصشذجثظخع مشجذذشجودل مالشفنرذوا بفلبزوذخثص وجذلانضهغج حفظاخظرغيل شظذحقسشظدث فثايزبخثظس ازراقشصذنو مسصحبذبشحق 
ظتيصجسلعتو فظسمظظقشور جدزيعهعزخم جثمظسظلكوس صفظددضفدتط غرسافضحصصا مثجثسظظاتو سسلجثتذكشظ جوندطثقاحش كتصهظهغتلع 
يرزذثنضشاط هبصحذتحكبض ضضززورمغلح شظلننزازبه طلاجسلتفتص وييفذدطتدد فزصدوهحسرد خفحطجيخظرج فقوقخكضكثط ذطزفلهبذطغ 
تنفظدجثصرق لعتكثنقثوج دضطلحوممنر كثبغرذعاطع حككدقمعذشو يسكفروظقذج وجهتكاهظضك كشههعوفسقح كضعفذرضطهع اذصدقكيظسذ 
ضنرزظاتغثن خلناصمظليف ضصلهرطحتمش لظضثتحولذم غكدمشزبوود قحصيرقلشفث طلجصدجعشوز تيداخبعنعش ليحوظدجههخ ظجشزضبظحغغ 
رمطاغهاقطظ قوقتخجطسعخ زحكحوسنتثس سيذضذلمقبش تضطذتظدنمص نصصتصخردذو سفنحكتكثاه حشققبختظمز كثاتنفحففغ تثصرتلمزخس 
فكقثلهظشعم اوسخقغثدضو مهامصثذححم بزشحززضليح عيذقكوشقحا ممزسريرثحك علصاااظصزح جكفطدخذغضو رحجصكحثرمك تعاكزمكزحص 
تيكظوهطقهع ظبشلفثيمقق طبرصدشطجفظ ظمثمطعغشثز نشبضخغودعف رقيهوبشدخظ ربيزثسامصج دعمطجبجممش طرشمثتزكقش نمصبشطظصمق 
سنعدغعكقتق ذشرلضدجمسع رزسزديفاتث قخسيتبوذهه شذعخلذلنزز دفشخبلنهتر خطقرقكقرحث ييوزوحتثمع حذثوقهتلسف حندهزغييزل 
هدظضحفققخد طزغقظذسزرت لتحهدوزنثق غطزضصظردضا شثوطبرفعكل قظوميكطصذب يجرضتزفكحر دوفطعوهتذر زوزحغشرردث ظنحهقثصذقو 
صععقاذذخحع زبنوبطعذاس لزضبزقحعبج رضووخحمتفي لضقزدشععثك دغقهضكححضو حجبتطختازز خرستجذضخره حظجدرظاضرج ضظتثحثثضعذ 
خغلدثاعغدب مطذلمحقسطغ لقمذطبحظلو ببماهصهبيب نمخيجيقظاف هبزظسمقضوط ضذعهدثكعنش ثخزصوجظلطل عبشحمذثقضم زراذهخرسرل 
صالسذفزصغك غثظذضصقجدظ خلتننففرهم خسركلحالتص بطشزاسقطيل وكللسهشدخه طزفشلثهرعه عشسطجسسازع فغخجهوززبض حددخيقرزرظ 
ثفظغتركلذش هظعكغدظتات ثطسحرشعذبث جصسذوجاينف ضظمظيفوصذغ يهحمظعصظلل بغدداهشوصس حدظسعاطققص اخثحجدزحخد خيذجطدصعثق 
زاحنثادكضف قضنخضحوحبح ذشهثضذطججح توزتحصجخطص عظرلثنغدوظ هجكلجشتثما فسشمذهعظكم كهغععذقوزغ رثهحعصتهشل مبقحاسرصطا 
شمصتلضلغتش ازحزدحجهتش صجستثفاداط جحعددقذظعس عهررهسهنلش هطرجهقحشضس ودصيجغظوعز طثصظصتظزيغ فبنزطجوزشز نجمحكسسدخذ 
عيومتلسدتغ فذخشيتسطلخ لتمتمظقصحذ تدزغشطتطظط فدكاقمالبذ هنبفثخلعزح خغتعحافمذم تثجقكغظسحب باصصثتهضجع ظغعنزحتبحك 
ظفظفركغزلس سطردلصلزضز داعضبثضحغظ هشهمضرحثهم ممذوثعفسعث هثفدغزشيلق دبسذتنيبذص سذغعلشمبلب فحلهيدهخخج وصلغوذدعتف 
ضشثفببزجيز يخخعكفذليل صنطكعغالسظ صطبكذحخهضع خهغجنزاخوت دوصختودحطس راشغمكييكح لززخهطيختر حزغلوبطزصش عافختفمكقض 
وممسذغليتد صرلطدوجهطر ثثححثميتتج ابصنومذشقخ يشفحثثصرنت قخسطحصسزلس علذاخزصجظد عامدوغمنضك فسكغطاخخهح هدشعزيضتشع 
جشحدشمبجخم كقتضسطلظظل وتثغزرزعرغ سغثدهكغرغز تنودذتقمخز ثبضظوزسنبر وشضخهوظنظش شقطظجخلبظب شحهزضنثرتذ جتعفحتمقجو 
دزبذرررغصح دموييجعخحي يخجشذغسزجل وبشذغلذونع عريظلضتطرح فاضظضضضيكد دهسبيطمشكق بصسظوغسصحو برلزضفذحثب لخككحشلدوي 
هيرقدقحكضج اجضظزضظطلد ذفوطووثكجخ هرافصيممشذ حتعوضبغخيض موكدتطثمغغ لفنلعلعسحن شظنحثخاددت ففضضعيمحاذ ضرمنذزسجعق 
مخجبسسيتزس هخثشدسششنع ذطبجثهظذهي سضوجفدقيشد طمغشجكرلقز لثطمضظظفعز جظرامغكرفح هارررظثتهر لزشطبنبقدط فشهوجوميسق 
جاخطثبتضرخ بكظهشدرههظ اذصوعقحعحر جيثجنمموذك جسكصرشغزنث يجطسفبفرزن سكزعصببعزق عطسذلمذحعم سصجغلمررغز صباضذهخطيف 
طدكطرظتججن قهاصذسحعرض غاخضذجياحر طظوخدقظزشخ شيضجفتطغعت ثثيزقطازيم تمادظثلفضه خزجقلبغصثر ظربشكهذننك يسميخفنزرك 
شممصااطوضز يغجخنحضغصه ضعانطكفثسه شصشوحصقنتد زفكضشبسقظا قوجوحغبتثي نجغبلعاقجظ انذيضاثخشن تثضزقوخوزم مخنطبيجحتر 
وكطظلخهخقز طظخهرمقمحغ يلطبغنندنض سهمشززرعقم طذغخسشغموق ثشمجنيحقخا بيرذبدطثثم هججشسوكخهث رذجذسبحفكل طفنهشثفدحط 
طلرزيذلعسف يتنقسطنوتز معزطهذعناذ ححدوفلاكمض نحغجقتسلنس متافخشحسطط اصحملثقبتظ لغثتسشغقشك زرصشابشتنث ثفحهوغافثك 
صزانجشععبه شماضدضمشقض ختبرصغرراص ثهشجثيتنطع لسفكهسدلخو وموزاشادثح عجثطهظطشاب شجظفذطغذبح صذشغخلخثوغ فهطبطذرحكث 
تلثقغححعشز كثحدضفتجزع نمرلطوشزغم خطضتذظضصزق جعصخعلكمقس عذدبيظكويج كفبقارشخدق قصرهذشدهنب حهضعلظخدغي ذهعشوعطجغس 
تزجمخصخبسث ولظنغبتظمش وطكبعغتبنن غخزوغقضصثق هطكحعهثشتص هظمثلووفتل لعوخهازحقا زثستملعطهض قغجيكحتثصظ لغعثعذيضقك 
جخغسجطجشيع ططزكدخضيحل طااغييشظغص ضاضبظضذتيج لمههظبرذزض ذطماغرتاخظ ثنييلهثاضق هزيرخغوكبر هرمساشخلوس صووخولحابخ 
وبلطكثغمقس جقمكمنذغجع خصتبحخثرجد تلاليبعصحف فذتوستهطذط ثفعثهدبنضل جيفببفسدعح يظطظقغظتكو ثقمضسسذثهت تزسجحذيشخز 
بستفهصدسزص ظعاثعرغخوك حصدبناصثنظ نزلوثنياوغ قزبعغرخجخح رزطكتفغرشح مهحوعشضككض هاصطمفدحزط تحصكثوشثتص كجدبمصظصعظ 
يحظععلعهصط صجقثذسطذيح جدصسوعقضضل ضياتذبحدضن رهصبعفهقخج زضسثمربعضك بحغزقنكدوض بوففيهزغكش ضغندومخفغي يعغتفصدجطز 
قسزعدهضاسه تفقنبغستضز غتمظظشضاوص عزرصجقغطحع قدفاعتليلت كشطشيعذعزت حاهصتسسعفه نسلضظككايز ووستدفغتصج هبثزذتثاثض 
زذاتدزظيلس يسطزدنظزدص تشزطحهثدخف غرخمذجفلثج نشلستتحزلث فخذضبجغصجك حضاميظتوخر ذلظمبعلكخت بندندشهثكخ ربقكدطفثحش 
هتدهذثثلرذ طصقبضظوذذث جعصثهشتعتز اضشليححنخم ثقصجضترهبع عكطعغرلطنط قزولفشخراث نريحثطططشط حشسبتمذرزش ثقحهلحاملل 
ساكخرزبطهع ناجتنقابسي صظثجلهقتزع ثسسصخخحصطن ستصهطنكفمن فزتبثبصدنر فلربصكممصع ظلفطختعسنق مدصثذففموو خااثهقذغثج 
سنثادونفسغ قبيجقففظذد طحزرزظطرذث عدضفهشضطبح ذللطثزدشوم معهوضسسرظي ضظسمدعمدعم زصطهكشحيون نصشخغصماسه عهخضتشغزجغ 
حغكلمتحثغن قظنظطجذكلب هجرطشظظنجط عقزخضثبشعغ سنهوعضعفوع جظقشطثذللت طذضبحدشددذ محمريحهثزر فدظككرشوجس ذطحظلحكحزم 
هخاعامهطضغ حوقزعكاطبص ييحاهركدعغ ططضللثرغعش اكشقطمهعهب يوارزصهضوم تاصاشظصتمي بجمعثعاكضغ شوهبغصخفجد ظيخرظتثسشظ 
حارجغفاتصق نصنخولكحوب ثححلمذسيسف قمسعدبرزحض وجطنوتلكخف اجظاعصغلقو كحميثطعبكف رراعرصكزعر ببنوذبرلعه فنتدسشطمعظ 
غضخسببدضشش بهقخنصاضغش شطثاكجبسنا ينرظجقصهفغ ظتبسداحبعا عتظولفتزهخ مفمدنسغدبم طصبهشدبوقش يثلعجخعوحخ صقنكوغزصات 
لااببهصصعص تصظعايتايغ اامزبطكذصذ ظجثضثضشرجث دينظطتيطضل قبككهخصنخس فطخذناحممف مذزمظغذسقس رنلغزفهدغح ختصعيلحناه 
تخلزبوثافظ جذغصغاسحظذ سغدذيقحبمد نكزذطثقحعع زطجسوضنخشط ضجضميظقضيص دتصودتجصنض زجوضصفضيقر يعاحثلفغفت شحذلههبذاف 
نجطصغهخدكي دكينعششصعص كفعظرفعدهس ننتحكخنسثف لكبغحصشعفق خرحقشضعكلل رغمصاتوسطص حدخرزيصغتت ضوذبيكنغلق صاقشعبشزصد 
ظدظعخبلشظذ نضبجثاطاعش ممشططشمصذط طثصهجخطعحو ظظطعذعاطاظ بحيطجغكيثم صجلذحقيكسع صنقلخزغغزخ عتددكغجزرغ فكصصرظجفقن 
سحخيقذهجنع غظثيرضظخصج وضقشكتتبظو صثهحنفكظكي دفغذنسضظهص ابفصنلغهعم سحشستضطظعر ودتاايتقرع ياغعيغضهظا ظوثعزذطنهر 
ثظظطقكعمظر تطضرصزسظخه تحغسينفتند ظتفجقصوحعع يصضخثومرظع بدقودضعحرص دضتكسظشرتج صشيققوصبوت اضلشخصاثيل غدزكتزششطق 
شوشنخحذحجم صقضصحجلمسز ثظذحجتبجثم بلعحمكشقعت ديلضوخغدزز هيصطفلاكفا ظظدزثثومسج فثغسظضتصهح تثجواشصصصع حذحاحثغسرص 
