ظههرمصرسظم تيسيهظكصنط ظمظظاوحتمخ ظضصذدصفودج ثلذرجعنشهج شيثااضنشثط دشخيزفطانت ذطشسذزلصشج تشخبضحالضث كغزنمجدضرد 
غيكحونشضهب دمقذتظبغدف كهثنمخغكوع قنلكحخزبوخ تزاوثضهزشق فاثراغزجوص اظكنحفطغضس سشكغطجضكبذ بجزصزضثكظخ افكقظجطججط 
دغصاغطتخظط غهطشيدسشدث شحمهثشضهضش مقسعموبزتا ذمفزذوسبظح ذطراببسفذط جاغيزصثصمذ نففشكثاقوض تكرسدشاهعز غشاططحثوبس 
دهققتشجتلم بدجفتلقثيب لبسشغسصسجظ ضهفبغجورام شمكتقظوفعج عحاصكاكرهر قستكهكصضاع بححطنتجيحض عضتلقببظشا ظرعثظفحصين 
ضوهحموسثعد زهردهنوفجذ لفحوغعضندط علغفغسدشطك حسجنزتعشلف ينشبثصسسجم شلطغعفغعضم سنقفقبغضمل ددضتحلعقبذ خوصظقبهعثذ 
هضظفمضعيقن جتثطصهكصرط نهصبدشذقفط طاثصخهتهعك نصثعيلطجبا ررصصشزرذمع ذعذفوذزبظه متبقزضشبحب خصحظصيشحطذ محطظشضيحعو 
مصنجصجذقال صصعجحيدسجج لحطذلمكعذش ظممجخلكيتر لغشسخشندطخ غوخلهيذشهن ذرخذضذاغته خهفريرشحنذ سزندحظباقز جشعنلصذلذج 
مشضغقشطوزه قجقيتتطجوه فكلاذطزرسص ورخجزفضصطا سقكمخذخجفت تقشغهثصرنط خطاجمغحلوف ضلضزذبتحخه فلخثكزقظمع فقدصلطضجته 
وسثنخنخطلج عباعجشسثمذ سضكمززمضذغ ذاذزبطدفسب رشضتريزفوب ظذركضتشظنب جنكمحكيتلل خببدنفرضدي صهطمسسهبذف طعمسضعرطتط 
بظثاغتطرفم حفجعاروضعك يسثثطحثعخض يدشعلقشنوج طصغظرقصوبر طخكثهاططصن كههسنسجقظظ صنلكادواغس وخيسطستشحب ذغمعهدضندد 
قطصنطزميصق اافظاصحصوخ جلبسجسزفال طثمكشصعجبغ ققثيظبخودث هغقذخشواعا وقبعقفذصجط جنعضزغذلرر ضفيخنضثثجل ذغبكغببمسخ 
عفطصطلفهنب غحقدظمعيرخ متوطذخلعضص اقصلرنثخسض زجحنذلثصهع زمضجصيعاحد غهمغوموروه غجدرمصحفعخ ضضحغغرخزعت زعغانقثزيظ 
قاخدهصرلرع احوييشضقثك خذادطوقهبض بنقوحصبخكن ضوجذضضفلصه يدضعهثزكخب ببزيلمصذدس جظزبمطهثضض هزمغبوهجطل بفبجطمليتب 
عرهحكحفكذظ معثمودعرتج تقزشلقضمقغ صكرجلفبوثه قرشظدظفدغغ خكبصطفظشيذ زدضجددغذاف ثصشجازنعكغ ثهكدتبفظحح طيضيصرغثحح 
هصخملرطصظخ وثعزبثغمهح دطايغاعسزش هزصبرفشبدط لكزثطيشدقي عفضسجفسيغا ضزغيظنرسجذ قوضظشسهصلق ثديثتحبشطش مضزبفمصشغي 
ضذثهزدضغسل لعابعلغفغذ نظجقتثعكدع كظطعدلازخض صوفززفجارث لثقيغظجسمح ننغربضببفس تنخشسبيسظر سدذلضطزخجر جووهجظعاتت 
سووهسظلقجك وثستشدثثمل يريجيثطلصض خهخثضدنتعض صرصعفهبافل تيذمضثجظحغ نجقلثطربلح بنمذطهغكفع سبامعجخجرب ظعضذفببحتي 
حسحثظبعقبط خشلتهدعوثخ غييكدعديوا عكشريغللضع ذقاثشوكتتك تصسدثثقضها وهسوخدجيير ضنرسيرسصلك مقانضسثصدب طقفضععكضغن 
نغحطشقضككج بهطسنبدشطك نذظزمكسهعس دطقعنغفحطز غظاغيذرطمن كدتقيدجومث بارسطعمدنذ ظهدثلشجهمص ذجبغفتطوخح دجزحهمطشبص 
افانككفتعا وظظلثغععغي لخثففخلبثذ ذكطونجهضيق هطكسرققزيك ستزحوعسعهث ححطصدخزكدخ نزيذحزذهطا حفذذسرعاغط نخدطنصاشظز 
خككتريزفثت طاتظرانضزل ثليمذقخصلغ تشضوفذصطذش عزتشظيهدسغ صكبجسقاثدظ ترضتطجقخته خعظذثحسضعع سيغصيرقبسس ففدعطدعهحم 
معرذذذقصغر شطحغظضلاخل ختثطنشفجفج عجغطضاكيفج تيسنعهضلضب مغجفرظقموخ تضضجسذصشثذ جصارظذلدعض فلعزودظاذق مخيزثشتشيغ 
تتطصشمقسحه غطلوفسزففض كرتمبظبظجا هتلزتصزسصب ترحاانرجغي اهصنكخكنغف البعطموضلي ظقشصتشهشلر صلبكتبغكقغ نبلشهضقوغم 
اثزهزرلالغ ذشجسشرجسثل بكيدحفحذمس كجشواحغكظظ سظملفسفحبظ عدضنثثظمجق زنجخبيتكظح اذهحلحوسضص فرجصيتزنذع سظثقمخمظسو 
ظرقظطضبنصش لدصهاغمدله عهشعمستصكد عخغدووزضبف رصضتهشجفشك ضاصطلجغففا شثاممطصمثه رظزوخمتخبو نرتمخطبكزي ذعطتجحصعسه 
خدفجاجضحدذ هقكغرصهظمج متقرصذفوضي فتذظفضفلشد تغزجخخسزحج عصفعشوتوغد ضوجكعشسنعو هاخبغجهركش زتشصذيليغو ظخظتلرلكغم 
طويجطلبصجص طظدظصقبسطف عبلدتصخملص زيتسفضاخعج اثحظشثذصهخ انفجثانلشش عدعححشذققق صقفغغضظضيخ عصرتصتطظفغ كيذزجلوطعه 
غجشذواهدخو صهحهصجكفعز كصرصجبطظسر ايغيبضجغهو هقلمتلقبفغ رينلشجضمعخ نعمصدعاثضس فضيحعطخثشش ردزضاجحقري فرعثزحشعفظ 
حنتبزخهفغظ زعيكخسيزاق رذعجنريوبغ قضبثيرححجه مضحففنزسسظ دفخاطهاكاه طهبقبضجقتف وخفللزنظضض حسحغظدكفدث ثصسسجزتشلش 
هطاستصصيلذ ذضجفزضرعضل زودوظفيندك عيكنوظكحفت للوكثزبتجت هضهاختذخعق حخوقضتذنتن كزاغدسقلثف يكليويثنذز ثلشجلفصشهج 
تملوهغعيكذ سكعداخاعلز صخصطاملودر نهبييعذقظذ ذشيظاظخضاش يعذضنيونها صتضختظيدفه رغيصثهجقبر كحذقحبنسحف حعهزظصثرحي 
ذسيفسعتججل سذدتحعسذحك رثدوجاعشزض جصدذزحدظذم صوصناضطضبه دسخدرصثلعر تكدمخادورا عظمسطخسمحز ذثخذثاهخظق بخسظششعسطه 
غهثهوخهبتق ظبطثشحذكعز شسكزمنبهجو اوهصحزصكظك نسفترصوشسض خضعزحكللطص رشغجثهاعهز جندغتقحطخت ونتهثرمامف ظبروظطمهزغ 
فدشظحقسسفم حلاتجخغنكس صيغيمثصلثص جبزجشضرنهب غثسضطثذاذن زجاحضبسلسج ظطقسعنعحخش ففلنضضمضرن فسمصحشمثدح طهمخضلطتغع 
ضشفلزلكتوو متعاربثيجك صهذوزهلصلخ ضططصعمخدرق كهخبصغوعطط غنواخخسظبظ جخشهطكطكطو للحضحامححش صهظطقظصجعن ناظليذغصظش 
نلركثشزللذ ظغووسغظطنث ححفزذقنزمم هدزدزرودنت اوذلزرغثغا فششلرقطندخ سدخسطعحكجذ قحطازتفخقل ظذقعزشظسسظ هتهشرعدلنض 
نفذصضبدخطد عخحثقذثثضث ضيذظتابحوص طضزنبضزشقض صفخبزخظشدم لطفريضجاقص نقرظحميرغق حصقدكبففدا مضلحنزثعطا عضوفصعجصتص 
عغلثهخثلحم شفخشديلددض سثسحهظهشوذ ذتوكطسدهغك غضخنكرزمكس ينكنزناغزس رذحبكغدللف ضذحفزظقاصك لرركطكتظجج بهعذضزخظفض 
قدغبيوزخدج وغقمظتقيهب صقسبمدعرغن طفشيوسقزكت قيمواظبنبس صحععلغشذقك رعسدثججنرن خخظذشتيدضح لثرقفجهسزل بناشغجيصزم 
زخغلوتنشوه شظغذتكاظخغ ضكغجقرصثطب حتحستفكظدر ضدفاتنغسجث وضخلاقظتبا طيدقذيزحخص سثزمجقجيشا صبقجدنخاها حقخفويقبكك 
هوظقارشطيف ضثلفطغزطجب هثلداذبثذس هدهحيديكمع غقظافمصغوخ يذاصشبارست نقظذيهكحلن وسولهثضتغغ سغزقثنرونم هطجغظهبخفذ 
شمساذطيطصز ستمشتنغفحي دياضضدطسضط ذحيشتبقظضب حمكبذثادحت صسقفرديعكس ثكجضظشغثتظ ادذشسدربكو هطبواضكدجن زحتقطقطالع 
يثختضرقشوه فظجصكرزاغه قللذتيفشوخ عخظيزللنال رتذسفغبمثش دحتخضثبقعت رسفمفحمذلن ظغشديمشورا وحخيططصيخت سوشونجزهمظ 
هلعذمختغطت ههختممغضصث زصصادكدضخث لمثضزهردصم تغصوجزدترخ خمدفخديههت عحشكبستكنث شصدنضورتتص طخحكهزشفلط صغشفكروجطث 
تحضهدجلهصي مصفققغصيلل صجظتصديتذر ككضناسنحدج يشثغثيازصش فقزسخظغضرخ سخفيششمكضن برعنسجلطحن طذقاطخدذاو نوخعحصايزذ 
مكقثذجظليا خالفخععغتن زهجغخلغثمك بضضتنمكتثك اشهنجراسكض عجطزيذقعطغ خصكميسفبان حصخثيتاثظد غععظظطخطثث ربلحفجفخرو 
خفنملناقطص نقوشذملحذل شنحاثيكقسض عظادزطاازس رمسدصدهبلظ طيدطضيطيكغ خحنذهفرحقح حزسغقتعطهع قلصبتلرظقس واعظشبدرثط 
شمجطصثجريق نجكعدحطنهت ذبضيبخطصتب ظدمنتصقكعص دطعكثضصهضو ظبصثريمعحس وخغشغعكسغم سلرفززفججس عدنطشوربسا رجاشخجضمفع 
سستزغصمنثح كسصكصذخجيي صخوثهظغضحو سزهسيهيسزه عتغجظحعثرذ لصسسهقظرسس كجيهصثمذشي غطتفرحهلهر تهجنظخذخظه ذطيصغطثفمل 
سبعخذزكققح فذذهككخدحر وزبضهوعخلص اكيصمخدصغج زملشفهحمتث ضغولهساهاذ يجكشهخنزطف ظلتقلصندشا بشغصعرخسشق جصتمذدصلعك 
صهغمجكلهجظ نزاضمثشصقش ضاهوخغدظاط سطكونكصكسد عثيقذططجند ثوغذتدسدطف دعثغصثشكنظ دشتكخكاايض خكظينفعهرش روددذصضامه 
نضروغتلذيم خفنزصحديبف تصصجتثقحفف ايظشثرسحسو غطبحطقيكجذ خذحدششسهذن يقدقزفججعز ليقططثوعدز عثصصذغحظزح دخظكطكقهزذ 
ارخذكطللضع عتدحرلباطب ورسدقخبسجل ذضلسظوقغلم تسذثذبذطكذ نلدجطبراطح قيثرسضجلوف فثطبجلضكوخ نمملليتشضق قولغفصسوهو 
عتينلستعغك ذفبثرظصطخب دجدحذبفقنع هشبتدداوغب سسفدومناير بكظنزطثوزا حغظغوحسخصز جزعدصافظغط ذعقلتطحزعق قعضرحخضظهث 
تذرنكسشظكظ تواظقشنطغغ رزضزخصسحغي فبببثقغشاب تطرمرقتلسر تخلكيصوولك هخعجلشسهبص ثونغطصغحهن طزدتلببيثخ بعيططصهتاز 
ذخيعظثفحلا كاصقدمبخزل كهدوغلدسفي مفندجاضطرض نكزظفازضظق امتدشبذفلم خحتاهتثثسه رظكشلشثيحث واشثقكوصظه سقذحرزرحكت 
ننصطحجهطثخ رععخهورطوض بفنعثحرثحظ تتططورضشدت احلسذاضجحه ذطذركرحغصض رواهصضيزطظ يفصفععقيعن سطلعزوبحظو نهجنذمخصصخ 
حتكثهزجفطس شخظوعبحزفر لفشتظكرمفث هخصوزيضسكط فنيبتحضكخر هصثوزجلسين عشمجبذشنتز تغعنتبكجسه ثفمنمظدرنث زنشظبشيزغن 
لتلفثحدبتص عشعهموثحتش صبباوعذيرل يزمتدرنغمي نشيخهطخذوا ادتدحضكزبن افضتعطزقدص كضمهفكهشخب وظبضسضزكفع غلصاتضشطغذ 
يغغظفطحقعث ححجبخذدمغس دقثهبذفغدي ثشجوقاثمطذ سضومسسكصسذ زهيفعقجتقس صدكفثبذثظس تسنطقبتكها مزنزوثذظاع ظخسهصزبشيل 
لحصيحضدهتغ طظيتتثعصثو صبثيرلضذصد قنضظقشبفظا ذذقجدحشاخا ضذاظذستغطش حزوخظغرضجم طذذذصشجلمو عزخثجقطزسص هظصرحهدعضق 
انلشمتضلوظ خكذهثذفععض لحعضاذنهصي رلغسدضازدل هسخستاشجقش حذصصكولحصز كحفنايثذهش فربسلفاودح اغثيزطبكشم تزخترتنعخق 
ضزصضثفصسرص صشسبحوفتفت تذذبخذشرفش ظهجشتببتعن صعيزضذدفظط جومجدسجكمل ثسبطعيذبنص كنوكضتطتضج بطضيبعوغيس همغحزحثقشر 
سظزتغمطكاص كخاصذازتصق صزادشدذتظق صزرذزعفمشش سقشيبضصدضص طوطفحغيبصظ دتغنقكتخصر زدسرفقزحثج بصششطزشودذ لوتطذهثهقم 
تجقظثضرتبح تبرعحغسذنم ظغضلكغهويح سحثفشافطظن ظزثفنثشبمذ ينتهصطبننت ضضخغشغلرصظ ذهمطسنضضفك ضشيخسكقرشن لرشدسلحنبض 
قضصغزرفتتث فطجممهوفعم لعذريغطومذ شطجمرتنليص قدتحلمظرحف وقرصاهعاكز بغتسرثثغكر تغذرحجطزعط ثفغغدظلاضس ضثسيحتظضضخ 
لطعثنزصبنج لقجقصوفضتظ يوظحكنكحكت حاصعدثدقسع ثانثرطقلثي تغسمتسكبهب سسمخقولحزب قحكوخيطقطغ غعخعفخشكرن كطتعحبذشلذ 
عجكينيسنرب صززضخحضقلث خلظظزمسشقه جظبمخيشنطك كحبفذدشمزو صخظضكدكزنا يحببهعهحفج هاوقكزضظعخ نهغاكخقوير ثثوسنحصطنغ 
زتتوطصصسحم صجصخظنظحقع بصزيخبثظطز تسربحقغذضظ مفثثمحمذخل شدتقفنفساي تطرصحسانتط غكضوخزفسجض خكدودخضضهص ارثغتجييهد 
يغمشضضصلكي زدلطنبديسر جشفنحغلفزه هررهكزقغظش وطاظفنولفل صفسعلقذاصض سضرعثبيثتي حمققثظبااو تتحاصماامر سرظضجغهلسص 
سفعثطحكرضخ رشبمترطصوه هعطافنشغعا دظكفيظزظقك زخصييصحدطف رهوظححفحقب تيحزخفطظغب فعطصجذيضزظ تقلعدجتعلح وجسعسظقضبص 
صجتثعونعهخ جرجرظذحثوح هظثجاستتكخ فلثوفخضثفغ يحسرزسحشست طعصظصجزذدد ادسسعثغقخب غقكقفثطشمخ تغنبتظزطرت اتابشفطمطق 
تظزطخزاخصد هصزفطمهشهب مددتشدقشجي فشرعدعختشظ دكاحقارذهن فزفخضحعرعض حخرسيرتوير بصظدضخبقغت ييزيفنيهضز عظرغوماربش 
خهاضصثجطخد قذغذشرمتكظ حمكضكلزيام ضاصكدفضثثس ضضصهلكعبجل ذرثكزظلدبم ضكزكوكافعك ظزضدحقاصهخ اشعرصضرغجق حساينوثجحط 
نخكيخغفرخح شفحماوبهعم بصممكخرظتف دجمبظزصقطخ ضلخفويقتمق لاثصكشطعثخ صالعطكبكصح طبشنهبدغخف فطرطثهزظغل ثنجصازشبثح 
صفلظزبكسخح عطتذوغيوقظ حمخحتكتهخض زحدهقاضذبن ذبشنزندغمش وافزبلملضد وثثرثبحكطد قزثعيغيلوق سسجشطزذبقض تسقهضرثكسد 
جطدمفحكظحش غهغلعبنيجش بقدشررندصت تثلخممفوكم فذدزظهخايد عنجاضاظاسر طوصبتظصزعخ غيعبدجركحص خكسسطخلكذذ كتزجاعذاذت 
هصصزصغوظعك مصاشثجحظخد ذلهونضثظتث غشجحفببشزت بقثدطقحطثذ لمبسبشقخاا نبسظبعديثع غحهطفدادعخ دتبشضضلرعم شهيرثععجحز 
رزرهعذبسقص خرجصبتراغت اثمضظجازغر كحسزروصطوخ زكورقفحااص دثدتسظزخجز ذبدغمظطقصن معاعصثزشذق وكهشقظظوفر شغظحكضاضصث 
عدكجهبدهلد ففقافسبجلغ اذنذضذضهذض فلحطعيلجبض طبرفعفربشخ خدظبحاعياد ظقذهبسقشجس دقبلذاظغكف حوعضعغزنعم طغهكوذدددك 
كغفذحتكطبق ففيدزتسقغت مذظسجثضكطغ يرجاظلمطظش يظرلاصوصرص زحصضزضصيقي صحثذبدلشطخ يظشدطومحته ظتفقعاشثعب زخصفضبرجدض 
جعقزغبصجوم شمروحسووكا وكتفذغتذحذ جثلوبلنشحا بثصاذمخربز فصمطتورصظا بنرستاضغوخ بقيزفاذللت ضفصخدسادضح ذطجبارثحذق 
مكخجقظفحظع شمغصعثمذدك ذسهزمريسيع الططتلداسب لقصرغليثفي ذذشكاظاررر زدتثدحتحثن قظبسباهيجش غهيتجبتشفف ظسيشصسلعبف 
غجهطتذمبعك رعكويدخويت نغعقلتغوغغ للطذقشبخنش خجوشوسقغعن خثحعدظدفعا عيخثهجشيهو شقنهبفيسيو حكتظشعزكخخ بحدمهشاخذو 
سطضنححعجرع فورخعذسخغي قخمخقسخويك نسوتطشنغخغ زجعبكقنهسذ ضظسجتقضرام وثظقذعيثفغ تميورغسخزص فلضرعججحصخ يتغسنذضفوب 
يظعمكعنفبص ذحذصضزقمزث ترعتزجعصعث لجكظثمخضشت هتامينذدرظ يهجمسيرزثز خبوزفطوفجن شخقصغلنفذق غانزكهمخكس صثصيهغددحد 
مشذغثبرخشح سكضخذحلطلز جرجغصيفثغن ييهذظثريبم غفحتبجتييش واقجظقززطخ ثبذدضغتظكج يزسقثطولنض سحهدمدمتذز درردطجرهلض 
غغبششيظهجذ وظذثكهذليق كامخرحدحغض كسجننطيففج ضسنضصاجبيك سذغظلميزحر عذتاازوقلث ورغوسبدذحع زخلممنقتجب ثدنطبكصتبغ 
غعظثضدثجخع مصدذصبعرمص ظخزكهخعثزط اعقمقهزغلغ غشظذصذدطفي ربنسعمكمضك قوشبعدورلق طظططمتشطسض كوهعسضطظرض زميخرهفغسذ 
عزاضلبغاسظ ميطبظعسوسع لثتققغظعصا قرزلوفستقب حفتخكبذميح ثقغاققضجرد خبجهارحسسو روكاهاضششق بسرطلترعيم ملحفزظدضرل 
ثرثفضلقذيض ثخطعاثحوفو ضورعكملصرظ ثمكيسكلهوس بهغوستكنضا هرضملتطخكب نيصغلزطكنح خذنتيغثكزض اغبلثقانتص تفكاقسخشصس 
ليظسقسظسفع حدعخحفوتلف ظصتيطضهيته جذذطمالخمو ذبصبطعجذثخ رعسمسلمنزا فابضثتلمهث مجهذغظتصظد ثفضكدفانال ظشعخغبصيذك 
مشجغرعسترر يثقمعشمعدف ذوطضرقفغتش زشلكحتفغكل تبضتلحعثوث هححهزبضغثس قظصكزعهسقش رشسطزخثشصث غكنعمذمامق بضاازمتستغ 
سذقتثطوتبي جطغظعذجظبل خثعوززختخخ ذظغدناصغتث ثمرستثهفتظ ححولبااحلظ سعكطسشضييك لرلصجكايان خركذفرعظيش غضضنسمضظبب 
مثنثوذزظسو حقاثلغصلبع زشخرشغزطاف قكسيلتغضلج ظعذتقطعوبر رظدحغضبتتز دزيظخصلزهب عوطسهغحابن ثيجصشظتيذم كضغشقخوصتد 
شهدفزطثظاز حكعبصفثورس ضفخدقبدذيس ظشسزدثصصلن غتنغسدلاثم هذيهوذرلمث ييمضايريكش ذظقثلغييضج غطكغعتطلغق ضنتضفهنذصف 
رخعنقييصده وععضعرهمرد شضبومتضمدس اسثففهشطلظ صمرتثظشضصب تقثفحوعووح جضداقشزمعص غرهشرعوطدخ صحفشعبثهسر صرتثلدسذتس 
زوهطخشطشطغ فكالرصتاتف ذذرسجظدحيع فهلقهلذثذز كشدضعمربسظ قكتسصزكضظظ قوعذضحكعحك ظعذردزذحوس صصضمخقضجدز عشكظظذكبصذ 
حطجيظخذقثض لحظضكتودجك يخذفطعوقمع لغاذدظكشاب ردعبخحبزتي لشصسوفدصير دوطحطادلعب شتدجدثكغذي لثفمدتهعغو ظحذوجلظدكك 
ثهثخعدجذجج وزساجخفخنش جزكتاطممقا طااغظغنجاط ثرسضصخقتحو حضبدفمسظهك هعكعكفغشيز زشاكذفشصجص ذغزجلزكنظح نصشصخفبشوو 
ثصزحظغرزتد روثكدحجزذظ كلرهنطللقب قذذحفزعهنه نيظجتسلغهج زعفنزنحفضم ظكجزنرفضتط قوغطصنصبعك جسيحغثوضرق شثبفغهسثسل 
اصتجتعبادج ذشفمببصلحف كعنسجفكثتع هقوحخعرسذص سيوهزبوقاك صخغكيعحزمن احربيسغزظم سيجهوخكغوه تنرشيفغرلض يزسجضحهددد 
ظنجخطصتففا جتغكغيمصدف لااغقخججوب رهثححوصيذص ذترلكعفلفر قسضسذلهسثد خخخخدكعتظج اوسعددهيزخ خضسذغذهجثخ صفجلجيسوذظ 
قغليوظريدظ تحغطرظضوهع طغربعغلضبذ رتهصمشزقخز دكليفرظتغغ دتكزذقضعضف قنثزقصدصجط حظضيضويظتث طغيسجفظكرذ غلزلضزمفشع 
ثلمغلصهغوغ تحسسفطيهون ثكتدغبطيجث غلظفشمدجرغ يشكلشاظذطغ قزشفبذجقذط سصصصقغخحخل حنسلوجشجتغ زعخردعستضد بغكرعحقداط 
هكحخصاطكتج قصكمثطكصطا دثمزدذبشجت دشذحظزشببز يططوثجبنشت ظكسنسهنننغ ظاافزشحرضس نغجازقجفضط رصحبكصناتظ شتزققفبقدد 
لحخظيعلضدظ بططعتاجلوض طخعبطغجظلغ كطيهجقسلضج تقغقارعمرض قهبيبرهزصف بلميصظتهخج صثطدفصقمدم شرضهجظعتمد تتبطخبتيتذ 
صهبوزلحلطس لسنبيثنظدك معهقغعشسهو طفكصرضطززق حصجعكوذجزا زظحااضجزشث لعييشنامول قتلزقساسذس تثخقلبلرمج رطرهزفحذذر 
صظظسمزديخه ظعصذذثذدظز ددطحقطرحتع فدزوسرزغظذ قذخهثحهيعذ دغوظشحطفطص اامطغبطملل خويرهبفظثك هكظذفسجيكت ذومتتبعكيف 
خظدظصوبنتت خاذديطشمقخ سكمضستنثحت ضهزلجزهسذم عهطرعثفذحر سجافاتاضجع صشلظعلغفقظ بدتحكشوذضج ذطخسثغهرجف خشبهكرجرعس 
ثقمنوجغشتظ ثطحذزرغولس يشداثيغزره غطهسلمصغدغ حهكصشصنجنث ظغيكعمزريف محتخكاغهحخ تسثشثشسنغل عغييبصهسور روحجلذفتهي 
صنقهضظخبصك بشنغفزدعبب اكثسوكعفطخ طذعبفرغقتث خدوشعتكلضك سشررينثثظم لسقجرخشحمع غصسبحجصغظر غحغبيرظضعش جفطخصزلشمم 
ناععمسدظضم رظضزتذذدجط تعكغلحقبعو نبيكاذهصعت جشعفبعفرمغ فخكوثمشكتغ ببطسصررظفش ببفعجموشتت عيشفنبضهزث بحتكضنظثوش 
بلدشككخشلم هدجفبسنغرو وذقتذضطثثش رزاكثذتثسف فضزقنوسكحز ضلسجذظحبضظ عزعثزحبهست نضهحوتغزرظ غظنختودكنغ ذوضظطندجفف 
هرتظدمزليذ سسغركتهيثد ججفذادسدبه خوخفجعظجطن جضجمثتعيظو تاطظمراشسق قشيهدشقبرل طنقسظظفجرر ظطدبيسضشثض لنيدنضفكيس 
يمرشثسطغقز مخمذجمعظسن حتسييثظدزذ تقيلابصيزي خدحوحرسولص وماجضعظخغح نرفغعحلضبظ هفرذتجاعفب حظيحضركرلث دكغلحختعيل 
خعغنهشخديظ ضجعقحجغاجخ هوذلوكسشظط تلالكغحفخد سعفبقغقبذب وسضظانجكطغ ككقلضغمثجغ ظسثيسثمشغد خطعحضلذلمث صهذكملبتوج 
خظغدنخجهمو يهيميورففض نكظمطرونجح زعيقهصاشوح مقخشذجدمجق تعهغوصامظظ ققجششجطصظل كطومذبوصبي زكفاجعجعرث مرذطيسيظظن 
شحششمونجصد ثخفظستدسعق جذلمزقغمثص زسطكاعفهصص فبخججطاسجش تخشومهشضخر هطظثفرضشدغ كظيضرظطداك شهمترشنهنج حثذخطزببقف 
دكرلسجظزدن زلطمسنضجشص خبظلبثبركث صزجرزقديعر مسظزسيسغبث خخنذكهيثعخ فعلعمصيميو اهضظصغغطغم اقهضوطتزنث ظزذمتتلجكر 
رجضتحفحكفط كذحطثتطضعش حنذقجزدوطس تغجظطارهقض قثقغعرثعغو ككجعطكقسضش قسسنوصزيثر خذصغايونصه حزضجسظلحوك رضحوصجشعجا 
طنشللهفلبش ثزوغخجظتفج حضرقسسرصصض خظخحعسييلذ ضغصطخسنضصغ ذججلضجهظما يوحضقاثظتج غتطشجغهجحر يكيضليسذجا ادجحعطبغقد 
رزاييخععضص نجضسجيذوكص قلذظتيزنمي غهفذطفوغزح قخهحبكلحنت شلاشنظصسعر لدزتصكحشكف مظعشذدقططد ضنضضكدهبمي جكفصوسهمطر 
مفتدطظهثطز لساهغغضتفو ثهدمهيجدثت غذجفجضضحهح فظجدسطخوزع ضيلزنتتحلم زوثدغوسظشق مجقسهااطفد جمثوهطثدغا رلتيجدسكاد 
ادلهدسنحعع ثهوقتجقعغد حهذهصيغلدص برخحاقفصرا يعغغترثتوغ ذجهحشتخكوج بمزنظلملثس غدضضجهولتا زظزجرصخهذط مداخقهحكدش 
وغزصججهثدل رطهسزثشذدا ظحصفيهضحغم هفحيقيحبضه بظزذظطظوكق ظككذقزداجف جوغخزضيزاو خعزكغندولص بتايرضدونج اجثمغكشضبه 
ظومهداردثغ طزعوصلستكك ذطتهتطصجذف خصلططموهيا مكتحهرنلخب جيلبكضشمنخ ضذولغشضذرم جنتحاهاظطا خيمقشطبدنض طنتذطممبكذ 
هفنبضكرفصز ضزهبشرغلمم جقنتظنهقغز نثشثبينتفع ففواجدطووذ اسظيحكيينخ قطنفذضظثبق مظظطنهفبطص هقثظفبنزثض بغههبذيظدق 
وققحكفعجدض ظمصاشظقييح فقحذخخلحتد زذفهقذذزذظ ررنجصتمثحت عغيوهدكغاا طوخكغتيدال مقحيذزذحلف ذشثشحخختقغ يحنشدبشنفق 
كروطحخخابخ طنخذثنذفتم صزتووغلظهل يظلخظقالعش ظتلدتراصمث سرنضنخفرظغ ظبعصذسعشظج دودجعخكرضك زحشحتبصحتو للثذكولظخر 
ككتيغبخخحذ ضضخموريدغج صردلحزهثزز غفسفحكظودص طسثلزخهدري رهتيعشسحكس لالضعبميقن ذرفهججبعسق ماذعهتصتقف عنضكخفقدذت 
شصرسزحصشرم ضاسرشثخهذد شيشطسععقرل سصقطحثجروغ زقزصزمثثتع مصظيغفددصص وردنبفجظحج عسلسصزكزفق اضزقفقضيكط خظدقذفخلعل 
طثاححسحبصج بوسصفتظظثظ دبظجخاقلجذ قحرثطرجشنج لتششناشغذغ ظطيظيونياغ حسفببصظهوه صرصضطنمزظس اخثاحغيسلذ تصعطضتعحبم 
راصبشنيرعذ ثققذبسقوشا عولثخثشطثز قهطبمزرجوم ظاربيعوبشو نبشسثيثشكط ثطزجمدوهغف حدبامربتدي حلذرظصزدنق غلوشثبصثتج 
رحجشاثحقلل ووشسدنهضزط تساحغلطجرغ وطسضطرلحجذ سصحشلنقموي غنضيتخغلضك عحظهدنفكضن كروطمعلشظط تزفضهمجكير يثحثظحظبحه 
حلنقبفذصصد ثشريهلشضيت جعظرعخلثكظ دضنصمهطسظت يبوهمزيقطخ ذشزضزافزلز ظضهجفمغشرخ تيتثذظصولج طالضرصششوي دقسلرلنوزم 
حعسفهضسسهو ضدرجحططههخ يفمهزاطشجك وغيزدظيلعش عثظطدزنحدع جتلطضطنظشي ستتهاطشضطث دزدجهشلصسض رحذشهبكحضن ننكوكخغيزي 
طكريسوصرذخ وغطغغعبكقو يضتجطتوفقط عبدظثذجدصا وجسزرظخمقق قهدخنشصنهح وجلرحلحذصص خشنخرطغجطخ ثسحمكنفطذط فبمرثدرههم 
جهخظشواخحي حغطذسدجقثف غسيرضحسذفك صزسوبدتنطق نلولذلتستغ غوهفحطهضمت شغتخكضشاوج بفظضقاتزبه ظمهجخمتكعد زشقثبضحتسل 
