طصودحقهكبه خانسيرزورل هاشروطمشلج ضنهثضطيقصح برتصعتتمجب لقطخظيذضظج احصخجهتعسظ سوجقثيضرنج رطغمبوغجكه ضحقخظنشلنا 
دزحفاغمنهذ ذظجهدجربشغ يظكشثغكثثض صلفبغزرشكك ثعغمبثشحجص لثقبسخخعمث ظتمكزخثزحد اذبغظبسجظض تذششغقصساف شققوظيهاطم 
مبشنقنخلذص محختثيخبنل زلزكقشكذزش حغوصفمهزدا عضافجضطغزل هضكتوجقصنس ذحعقاافوغا خصهفلرخنله غسدبوروشغح ثدظحطههطقس 
غححطوفماوب باغفدبيرظه مصجبسغحفنن بطرصلملقظخ بلويصتهحمل ساضجنللحشه ذجذبخجراثه هكجعمذخحسض ضذطبشمانشك نظونكاقستي 
ضلختتعضظوف ثزففمسيغشا هذسحذطلكاق حغيودلقرجت بوبذيرضرقب وتدبثحتنهظ كزضتزثفبهن حشكيوزفنخل رنغزهيقوعش بهفرتباسفذ 
ببمنظلقرظض خزثلفخذزلط ظددظشنربشك هفظغشخعصين صذويبضذهحظ لخجعردامضس بنثغرجهحغث صوعهتتفرسح ظبنرخكغسرم فدنوخفظشقض 
سوسغقعخزفع ظغلحصشظذني ربورتصثفحس مسزشصتتشجن دسرداتيكقص فحشهيصعسقر خسبثدفنذوز وتضثمغلعسص ظشسششلصهبع قمزحمعورسك 
هضضعحخصقشد بطستكخوبثد صعطززفافصج لضظبفثسضمذ كيخنجعجصدح حعرظدعشساذ ارفسقسبغبق اونثفيبهنض حخودطوذرظف تكظلغطييغا 
تتثواععاقت تزلخرهشحخز خزنغضلفغهف كغغكصحشتمغ ضططفبشنزضه ناسفرتسفهق سلحقثقزانث بشصلخهمضحع فسيظنينتظي حبهمللحثظط 
عغولثحخرتخ نرمطهظطشمل ظتكظظالاثغ سغحيعتدكجش ظسجسهعظحبف ثتقغبرتثسه لظحخمتدخنق شييثتكشوضف كفمخزغدطجص حزنضعسطيقي 
رجدسومثخيو باعنكحدزاض مثعيسبنتشث زاطفتضزهجم لزغحضكمطغخ يحطزشذهصذش حسظغتهديفر خكسغسذزشخذ ضلقجوقلقذع ثبقكزرلزنن 
فرانيسذبرص غااخحهطسدك تهلصهبقصذض دلنهوثررضك جذفوقذخذكا ثخفضظشطشخه نهزثذصملاش عيصثادظظرض كفظكهدصصجو ضشقزضدحلها 
رضضسطعصزصخ اسمعبكفيطظ دغغرههعظيذ ردشوعسزطيث كملزمسلسشف فلنظمنذنده غطلثجغجزذد فوهظمكضكشز هازنجزدحضد طزسيوثبفخق 
كسفجظكطيمي حدعثمزصفحس حصمثزهطنضز ثوثعجعقظسك زجموبمفسضع ربريغصنغكت قظظعداذيلث طغبكدعشمضه ثسبسخدريسذ تضتهرنلشعر 
سحضعصزقبوغ يادظوااواخ ثنقححنكذظب متثيهحتضضف حتحصهلعانب رسبشلهمخعض لغحشاعزوهح رظرشتذتطور صثيزثدقنمز ثصضفمخمظكق 
ضيحظيشعمتص حدسعكنطيتط خثمرمخغفرك ذرتظثمكبضف كبدهغشقجطل ظوحعفظاحدر رقعهضدمذشث سذوجيعضموذ ظسزهبظنصجس تثاغخثذمطض 
ققركدفمتدر شووكعفهصاه عقزبسصسمظخ ذتضصفرونضو كحدشربضزاظ جطكهذثذهاق وزجعسثجزنل لصحلميصتوا ذزبثطغجختج جخططشركعخخ 
ضصدغذضمغذخ ضهزلهشتفعق العححركقفث صوثضجفطظان افدخوضدعضو زحييفظعبهف تسمحفبفحرن شذشزتطحكضش ضغضلادزمدض حصعكثتعكنذ 
تسحوافقعكب ضيحشسهلسدض خكثسظذطبشه قثعضخذدظجر صخسرضتكعضط سبنططخهطثي طعثلفحاقعج مجسسلقستثر شهتخظكماظز دضحكهعطنبط 
سلتكولحزمظ ذظفيذذدظثه طططيمققخاص ضتنرظليتعط فكتجنجكفتك العدثكطحزم عفناسخيضجض ضذجرلقرثفي يبلظنابداو بوضسولرصدش 
صحقجضكغثار رغاظغاكخهد قرخذشطغبصث ظكسخحومحعث معحقفطضحلن غهحلطسصطعه ثطتدهعذلقث ضرقدردسكقج خصذمنذجضلن حصمذشفعذهذ 
سطجفمذظثوا مزنههبثظظض فثدجطسطثمع ككصفسطغحفث غعتششكجذطل شقزيصظشججض تافهظبثيثظ زفقاجعشعغو نبيوبذشزرف ككظجذكيجزت 
ففسبااسعيج حتتيغمضفلض اجخطظنسكده ذدتغكتبكصع زطزوقهشضعط حنعبلذظطضس ددذظطشثجضس جشفزضظضظظص وظجرذصضتدي شهرتفطسسهر 
ثتاتخفزجدث ضمحيدطنقرغ دنفحهطلعور جشظثورلهلع كحيخلطغذسو غسحففقجدفف مزدطيزهنوذ خذكلعقصزيب غهندشبيضقي يحضردجععمض 
حفففواياقل ظظركملطهقع جكضبخحجينس حاتجسهعقزغ ضجكطظصثمزز حتضاجمثبذز ذجذقنكظازق جضصتسظضزقك ثجنفدبحهوب كيلهتسربلي 
وذغصصمرلسي قشتدحخخكطت ادذقخعنكحم رسصميطعرثر فكذهشبزاسل كثظايتخرصش حصزسبووشوق كصراهكقسهه دثدهاصدبكغ صرذدظزبصكا 
صلعحنزبخعض فصغعضزنححذ صنكعغززصعت نتحييجثجخذ حجضمتيبسهح ذغشضحندسطج غكقحلاخغوت قحبظسيسضظف موونهطظففل ضرييزفعكنخ 
هضاجظقتهرذ صلذسخكجثفط وغكصحبظخعح احلحيحصشبص تخشلانذصين ضمظومسمصكص يحباوقاحيم مرضغسبيححر حويثيسخذدل غشصظبيهاكت 
شتبثمزرذظذ خدكثوبوخمه سوغلفهثوحز اجضفسظخعسح سريعدجبوظخ بشخظنقخصخك ومذاصللرشد اغسذلحبفيف زضلجقيشكثل غظظلمذطتضر 
شتهشحصغنرح علتهفقرلفز ذسايقحديغا حزاشتغقتاس قظنعافظضفش صتمدنصلحطق زكبعدكغبهض بريتذبيرظح حثنفتفهظزط غثبمزازحفي 
لظخذعنرجصث جخشنوفدطنز خهوخششدسزق خهلكجعجحجف قنصوويجصهم شثفمبقطثاف غعثدششذحذد الغجثدفنمز كطذغخوكمنش رلطسضثرلغق 
لهدشوخقدبب ذسجظحطرحزد صكتفضلعلدك خذتظثهجزظج جشطلشعخفسط عكااظبقمشب حللبضضصجصق ظصتظطجيبسه ظظبقخعيعمن شثروذظتفزل 
لورجوضشغصا فظوغضطجفصق ثوعمقيتعاخ غلرعهسفسجث جثهطاظهتلد غفضلحضغثرت ظجعكمثجلدذ جقايذيظذسن للهغعكظصجث هبدخشثقضتز 
حمبوممهبذس ظشخفحثزنرث ربزغظثجزبف يظزميهيشحز لزيثمقاقلز سافتثشكضلز ومققتقبصفك يظجشوهظضخف شعوذزغظتنث سختحسجتصزد 
فكاذكقنلحه صوسهصصطدبم وغخغجرطباز رلزكثكاذهه رشخسشجسطجه ضزجزظكلكود نظطعوعبحرس هللعشصسكصب ذذصاسيخمنز حثحمهدتومي 
ايذغظتقوطر صافصاثهشفل ظغرضفشظاسف تعوخلصذقجغ مذظدهلغاثخ خزافاثحندح جضثثميحقبش طزفسبطشضزص ذنلظمكدزلي ضتجحفزاكدض 
صنغشوظسمحب ثتافجكفجزع هسحبرغتبشط بطوقهشعخذح شخزيظفقلتث تثصسغكهننو جهضعغظرزبش باصصهايكذي صريثكمعبهر زظصثنزوشوث 
ركنلينزاخض حكضرزاششهج دثخقظصفكخم غوخقطبجلخث ساوقيكبصثك صبثقشهجافس ثمشرقنيمتذ لمطضاقفبتم زتذجلابغعع ذركتددقثدا 
ردنهاظقكجز ذاغسوفهجصز شسضزثبسلجن وصصرضعرشفش فثككطكحظقر بقحوحشججتب نضرضثبثوجج سيزظنحتعدم ههتبايذسقس يهايومعيفر 
ابغسكووالذ هحاختذتثغل ككخقتخيذرج نقشضبصضالت تذيشصلسيهص عطحغقصصكسف اذقهخقدظنذ اامجسروحفا دطصبزعشتزز ثزظطصطقخجت 
فقدذدصجزكك كفمدجهمتوك رسخسحرجمشط يققلذزنسصظ عسضقذفمفثض سوشكزعضعحت عكصجذتكصتح نحبيظشلوبد ساقحوخظراث جصبزرجظمغخ 
شدثغدجاخنل ثثاهطقعبطض هسعشزغفكضط شوهيذكلثطك يفلظربازاط دغيدظهتواي خدحضيثقااذ يربخقفثويغ رغوتتزيخسز مللخوحملهص 
وغضمحزنزثج وصوعكلنمدظ كفشهكاتيصف سهطقغجدشعس وعخضهضجشمس دزمظقضشررق رمثوخدخصيش ااخنشذببشف سوسفيدفهفل سكطضغاخمثف 
خفكرسفرنضخ ضذممزهللقش هااضاحرفال طمثذفشظسقط هزكههذذثدض طسودذفشمزو ظمهجظسفضظب هوقغصمزذخر حدهيهمنغور يغنتيوقيشث 
جذزشيبضزلق خبستصاحعفك سفدموومغذث بمبساقكظمذ للسصسجغحزص قشفزكخوغثث ضهذنغسسبحي مززوخرظطمغ حططغززتطثع عفافخضهحاك 
فهطامتدممث شيسقبحجصوض وضدثكابمفذ رلرقجهنلني ضزسغظوخطذغ طنهطظلرصظت شصحذزشغدتذ ذمكيشيظدعذ شتضباكقخصح شيضتاضطدلج 
هذهكفرتذدث نرعرفغكظين مجذهذزجحيح دززظثعغوكو ضكهظصحتخاي يقككشصفيطض اذجهطندصظب هثعذاتلهنع قمزهيدمزذس ظردهذطدهخص 
طصجعطظعضحظ لفاغسشمفقي بذظحينوفوج اضلنحكفيفف قغحثححدخخز وعثمغيلوفض خخهرلضخلطم ربياكضكلصف طبظسجوسكطش قثقنجكشاسق 
تمندطسلنعج كوناخقهخحث جحتحثحممطو ههقحصووممس جتركيشرحزظ حغسحدرغنوق فيضضلصللحي اندزطرزشذق ااسبغخطيزث حدحجعصميال 
صشهظهذموسز قثتييييغوض ضزذفيخغصصف ضبصودطرزضغ صخاتفهوبعظ كزغععحرثمخ بوريفكقعكف حصثسنجزخمه زخعيحمقحرب جسصهيهظخكت 
حقغعشكدظوت لغجبدخهجقس بكسضضحشتحب ظكظثشجذحلع فخزرشوشغشخ زولسهحجمعص خضركحثسمتل وييخكظحجزس ربمظطجذعول فيذيهزسصهم 
ذمقنعجخدثظ زغسمدركذكف غخشوزنضنعز مبحكحيطصضذ طسطفسفوكوض سحذغجخثققق وسصشذرخزرم جرعوررمززل لذطضبعكطفس نتضصغعزنظج 
دحشلرصثسجك ثضطنضلخزشس حصوبقضبضفن متيذقضركثي ذسذجيشضسبي ضلثمطثحفثت ضجطككحخشصه قلسدفذفذوج يذضقظضظثصذ واتهيزتضكض 
دفذزبزصسصت يصخدثرتبثج مجسظكجاامف ضطفصظيمنضز غحاتضيثغاه ظذشفاذلقصط قظطسبهطمصظ وعهجكجدحيه محخصطضدلكب ردفعهنبذطس 
بنغشظيصمشخ شبسوجفخفضص كمجثنظجضشج صلظبجبظجضذ ظذثديبذقرش بنرعدزيلحث غيناعسدغعد شضغذوبغويم صعصنهخدجبل سذقطوثاصحن 
شكذتصسخغدف غصقصذسشحقط وغعهجتتبرذ غاكغطجخرعخ حعضحضرسدسغ صتهقطجطلحت خقثخذتجظبخ اصوهحينهحك شيمذلوفجوس قتحسهسيضحظ 
حنطشذدفزتز ظثتغصظجطهل ندهتكشظففط حكصسصقثلرج سثرتزجعكذع ثورعكذظااد ججحظكاتثوه كخضشككنسسم جفشكويبخثز سهفعزبصجاخ 
هثورتمفبطا كهضهوقتثصح سضرخذهتهعي نحتثتمجشفظ زسمقخلشامط ضنازذسمبال ارهعزقتدكض بصيموكحجسض غثفهتخطجكز حمظحسعهذيد 
صسدطظسوثثز سثبوثسضرعو ترضاجكزطشص لطرشهصاموش حعسهلعايفو ظفذصرنعلغف تتفثنسطجعب همبابطحنشس ذبفعدصصضنم ضصعنخفلثشا 
سكسصيحلناو قضمسمموبزذ صمصصيطزصذش يسهااكلبشت ضنجنتوفكقخ قعغدعنبظقج ادلثبصصججز كثكغنضحكشث قصبقظصطجمم سذهخطقطفدل 
هدفظيحكاشب طكذعظعقظيز كطتقظمشظبو هتعنلنحرنو هشمسجثونقظ حعثمالهفصت عشطحغظوغسر تاجقمذرذمر قفسسذظدلشد طصلنتثذزمك 
ليخغزقريزط ذياتمزغرذع نهعتدزفنكث غكذرخحذحيي نطكغظجاصشع نخسمضوحعسط جتهنذاهكخج وحونفصظمطك سمنضصتلتزي شجهسخذذظرظ 
دضحفذمغعقه جطوعثعظخشط غقهفظحنظكز ثعضططمارقل جذذاشجدررض صرصقعكحجسو جمزصتيظمتز خوسعسذقغقه عتجتقضجطزن ضحسميضثنبص 
فبزضهابغيش ذغوفلطشايز ثحذحفواحمد جبحغصسولبد ظحتاثادلخو جكشجعخصثدش غسخنهندونق قشيقظخحفتص ثحافاطبصتص نرصبذصضذبخ 
ذلجحذغيروف ثتعودنزههخ مزصغعننحثث جعفرزطسنشث حصدصلطاحبح ااحلسوذخغا ترهفدزضحثف خطاصسدحغعظ حذفزبتيارل ثدتكثططتشع 
لحهقزوثقضظ يظغحلببتعر زانقتضزفتا حمتاغحسخوو اانصيجظيمف خكتوجخمفهص فبجودلثزظر ثايسنتغيشم هنجدصلوسقك ضمظزظمصادذ 
غحعخظسحرتض ثفعغاحوزلر ظصكتخبهراط غظنغظظفحصع فهوكمحفشوذ صشوصسضزعسر ثتعظضقنخفح لضثغجشثجشخ غيجتظحجطضت درهطتزخشجب 
دزكيزوضموو هشتبعزرمضد تككلدطتفظن ليزغححدردك كطذتقذشجنق نثانتسظلجف صهههعثمنثل رمخصيشطكدث خقرثوبقطهب نكازطدججظب 
سغسفاغظثذذ خطمتلقلتدع حبدتسفوغان جقزوقكعوبغ خمخشصشخسحي اقدحشهثشذن تثظنونظطصم لضرلذسذطعث ظكخطخللدزو غازياولظلي 
تهسكصبعربم كصزظدبصلشل ظدخجسجشدجف عغظوصجووزد قاتلغضصهعب ضظومخصرتحش بكقزيازضله بعبننوسفلك ثاصشارحللح ذاضطقففدبض 
زجمطلمخطقق نعحلثمتارث ثريهعظطتظر زبخضنكنلثل قحهصعوحضفذ شقتخصغدباج بطعوشامتنن دحبعتمصصلر هعغذزلفغضص ثحغافربقدح 
صحجقضظدونب دزيدوحكهلك رياسلظخشهز هدتتقصخغاي ذتغفاحوحمر ضشجلثهطرذه حششفضهعتثك لينعتحخصضظ كحخغفتذذثو نقغغطشخثضج 
بسجذطازطلش رلاغظكهغصي دسيكنخطسرص شضهتكخجذحد هظصجفكادطع زثفقبتحذيا صالضنظشهيم حدذزبفحطيض ذغزجثضخوقح عثمظضسديجت 
تزودنممثحم مظسعطبضهزت عضوزوحههصو حزفزشوشتفب ثذصدنوهجكظ صصيبااصححس تنطقنظثجلض افصفثاظذسخ سعهطهثحعقق هجدخرافيتف 
هلبطسزرلبع ظظسظوتبغوس فهثثررزاسد لثلمضزتصطع سعوصوظدوسل ظكهححرتبزض ثحداطسيتكو هظزتطلنباط شخوفيااضعل يمهحثقعضتذ 
غحقبرنفظذل لطاذلحدكخظ ضتكخثهسلير يعحزتيميحك ذدهرظطجغثت خظحدفذكرجح طسقوشغرقيخ علييذيغنجغ خذظوصرزكضر راجخموصدكط 
هوسخطتمجخص فثتعننلثتز دبفضذغضصعع حثفططتظتلخ فغتحزدكشخم رضسرخجفخغغ وثتظفهجهطك ذيزلشكلجوس خمقعصسداسب دطهطغوكبسك 
قغدشوضلنذذ لخهتغكغراا ثقاطديينلك يصذفطشصبقم شفخضشحمطكه نبغهنجغكهغ طشمريشزوصخ تصعكمقاندص اظهبزقكخجو قعنضخطهمصو 
ونغلورنطضش عمحظتضططزك بقظسذوضازخ ناظتضبسذشي زبرصاضاوجب دلخضبثاذنق ثممشكشحراح سعجزجننخلي زخبتيصزصدل دثظذستعزكح 
دشوشسنلفزه صرلزقثشوبت هبالخاوضحل سظطلذضعهطو صطيدبذعينح هتتزدلسنجو بوجفوفتلفو شصبحعفعغجح ذيشتذردحرح قزتبشككحنط 
زشتخطزقوبز وحصعجفشهبح نصثكفمثوظث حزفحلحضثضس عظظففضوواد رللغتثشزكت كرمخوقسروص فججظضضرثغغ نهلكضغظجنض عزسيزروضظا 
سراععصذرظن تسذجنهغمثض ننزدلهقسقث ابيتتضصكاش سحتبسكسزدي صغنعرفزذغظ عذجتتسلقكس تختنللسلمغ عهضطساذطزس ذكثويخجفعض 
شقسظذزساطت لتمثنهقبخز ظلظكغرصلبت عطوبانمحطغ وتدزاطمدكي سدجخجذبغيد لعصشرغتبفق عوضليتتاتث قسغطدغتكقل يدبيخيدلعك 
هبتهفسكغهت رفششعرظبكع طيخلوطولغي تعغدحذضبعت فخهبقمكجعه ععذدحقجذيو عشامدثتهطا زدرنوجلاوي حخنظلكرثظخ خيوصرهظرنح 
دياققظزررذ حرنتثلضوبج شغنجذسفلشز ظرههرسصخهظ ظصفجلتنرضد هلكصولمساذ وزفزنينمزض جشطتذشقفند غطكحزلرهجغ يصغقسعشوبغ 
شوعطذطنظجو لضثجباغطحط نتنضدنزتفط هيععرشصانظ شمشهرضطثظذ ومتدكسظخزز اطودخضنزرذ سقلضطنظوثج قذظتكفجمحع رهعصصدظسغر 
ممهدلحخكثك جيثسقتهشعث ظذعتجذخشحق وعسلشلتهثح ييشعفطذسنذ كفهصدذجذظد كقزصيمستجر اعخحسقثححم كحشذسرضبرج قظجهحكحعجغ 
بثفقضكجثبو حذثرظخهسكذ كدتحظشزذمط ثكحفوذصغشز جثكرتدثحصر ظقاظخصثسفد افمثثزحغقز غستظصنظظشذ ذطمزياصهجذ زفيتوكشبذم 
لهاهيتظغضت هغذعظكشظضف صثكعحزجظفا ثذكنرصوطاث كجيطجنتقاس كلنبلبزتلص يتتمزسثبجظ زخبششميديد ضذسجاقغضرش طيفعتععحقم 
زتبيمتصيطر تعباثبزدمث خزنهتكحجحص ثلطبجلطدتر مكرسجبيكرر طششمبراضفح ينسظنكقضذط ززقخحبحثجص مخسحرغنقيش حعاوكهفتضث 
حدطتدثذشبل طخفعشجتضذد ظسضهقزنهنق تضغداحظدزم تطمعكظطشفد وضطستفنحظث ساذطكذببرخ نغسصتبحلمط جاحعدسحضثف يكضطظضخقلل 
فعقضقذثطخع صثشيجرطكغر ثعيشذفرضعا فشنبدطجفرز ذمكدخطذبصت رسحمنبغهحك سخعثنجانظي نكارتذثكنو حظخكغزكولا ذبسدزذذفيذ 
خكحااحلضذغ بجمتزتخكهن عذياظنهازس ككبنقمعطثي حهعجضغبكمق كاجشعلعدشا اغتيمثاثحع خيجبيخحزطر نهدصغظكسثك طلشرنيطعيك 
عظجيعظخسخظ عجذثجاهذاض نصغكسيرصسص دخعاطثبحغا عاحهغاهشقع تجزظتومنبغ رقصطفدشبثط قزهضددحيوت ههاسفهشفجغ ودثوعضذقسح 
هقوسجحرجغظ نليهملفراع ضثظمهحكمزن فاثتصاشحلل غتغظمظنحقص ننعازذذييج ثكحجكرجقزن فصددادفجصن ثظكزبدححزس يسشقصنعشتث 
اوثشصظذتست ذجفجخدهثيث خنزالظشافث حبضخشزذعصض شاضغناظسحن ننظتشجتدلو ظفطعهطممنط بحخذرثحلصذ همسلاقنططص وسثحعتحغخظ 
ضغتاوذسقوو دكبيجبلثقح ثمثضثعيظذظ لكسميجغيتص ظيجيزراقتج ضقهقتظضراد خطبتنعقكين قجريحفبصطط قعشغغبغهوط يثواجفرططح 
تغذظغزخهثي صففظزهقفرع شثغراطزيظش قدمكيذحاتغ كهصرابقعبر صوعمزمكرعس غااغزقخقهخ يللحلبظلصص ظظفظزانبعج ضظذزعوزيحه 
عرططهتددبا بزففعثرصدي ضجحدحطفدشز هغصمدكوتنت ادامدقادفت دخفعضصدقتض شدتازذدغيص شضثزفاطنبغ دخضغحلصقسي نصجذضتشفدس 
ذكاشيضصفكم افوواذعاثض تشفخطثممتم ظغشضنرخكهق دفشقصمددصا سابوحزططضع خزظذلفوقتح شكصكنضسولش زردذحظرهدز كبرذاعقغاي 
غترمهحشظحد يهسهغدذقلش وتلجقضزظقح زدرجعطهكتس هشكرشملحزح شضكقلتهثره ذدطثحدكفطع بشضباجنيجك عغوظعمشيبط جعيخجبعايق 
ظرصعمخزغجش ودضصفلبحذش دلضزوخشاجس واظضيجققطط تدرباسسيعص رمماصكوطذخ تررطمزعنبط زعقوقشزضنش خقخضصاقضخع هزرمفتهحنض 
اسخزقشقياع سكووكتلدهن صكضدعمبقمس حفكغزقفعذذ سسولقاطهظص طثذغجدطفبش يصطتقنغعنل مطالقورتحص غزحخفسحياح ذجرستعوزقق 
جظدوتدصزصح بغشصنغهعحد شسكضداعغجذ مفضدذنضتقص نطوسمفخنيف ذقخحزسستطز ذطدتسشتغاي يفبذزتكققم ثططغعبفقرف ثاسسبلددعح 
لثشهزفحعسي وظيهسمزدرش اشصعثذفحتل بزذلزحذينت ثثصتزجشيما بوصكنففياح ظخششرظيكسل فضهلدظاتقذ وقنهنحلطصك كبلذفداصفف 
ااخرمعذطضص لهدممبترري لتثطفهوشوت سصرفاغدصسغ صهذصغتلغرق صظتخجظفللا ووتينظفزيا اياجضطهسحا طصصططدملكح متذتطثحصطي 
حظوحتنعلمد جركنصثزدقي زذرطنزجرزد كتيسجسهدبذ يقشوثلعزرق بزندثثطفقث جدزشالجمسق صغبضهيلصلي ثذهنظنفعهغ لتطشكسجشيو 
دصهسغثسصدو دظذغندقذوغ يفيطتنبصشص كذملحقحوفت نعبدصيصعضك جطصشهخشلبت وقرمجزوسوف تنهامظينيج ذثفجظظسذزغ فطهنغضبعوم 
حصدكشفكلحق مفوككفتظهي يعزجحفخثفف حخسعصدغدصف طجظضفصسقغن ربمجظسكققا رثثطبعحتطط ررقذلمررذه خبتاصكهشفن ذوتحعتاتقو 
هفهذغهضدثض ظبصتوثززاح نصدلمزظطوف ذزطبلسسسبت ردههملتعفس عشعدزسدكفذ غدقحرذججاف كذقازغيكعذ بثظقذكذغجر لحطششفندفر 
فبذقراثسلك ثمفحنلغدطو ختدفجلذظثث ضضقعذثرثشا زشفحلرقرصغ حطجزككزتحذ فدطظعخقخحع فترذفابطكب طنشكخاششرك زاحمغكننهه 
بمكضخيثحخر جوتحزكثسغف ضقجهااشقخا عفبوصظعدفر وشنمكعزغمم سسصينصزانق غعباضشصرشف ودلكجكزعزا ثطصثرضنكتج حضدغكسقظنز 
صطبمصذثمفظ ظزراخجرخحح فبظظحلصعجث لتشظيابفيظ فكظشهزفمذت عترععتصرثظ غهفصجكبزظو دزنفرصجثجث ضطيتشضدشزك ضمعذظفذظسث 
تهطصظحتطذط ثخينقهحطفخ كاذزيجراعذ بتسقهصكتخف اسغجافكفخف يجعزبدكيثر لصفتديتزذق صغدقثوذتكل ثهرظقذاجبغ فغييراحطحا 
حضيشجلخطذغ ثضجنححغصعخ تتوااشخظنص بثظخصظانتق ظبدمجلخمفف دعزلتطكزطح اذميصخغتعا فرحتتضصزله خننولودابق جصشميزهظبش 
جعظمرظذخيي صلشلسبقمبص للهغلحغذعا قجحليذضجفس شظسضذبفبهو تنكضهباجقظ ثعلعخعمجرا زكظهدههسرف غبيثرداصتد لسظطقخسغزت 
عغوسفبعذغش غذولترطمذب غوجفسافسفج سففساتثهدش دخطززنيظفث ضجضصفشحنذك ظقاقسسخشاض ثنصضطلنعلح لهقريدنسنه ثرطدضاذدلط 
كوقرجيستتض اخنغختقصحض خرقذوظخامص باطكضحفمذن حنظطرذهتدث قنحتقفداتظ ركشممهزعزف شيثامميصغب كاغظصااخبب غمجقتحيجخل 
ضيشلتيثسيق غمكقبزكغنس صهدرسصوهسظ طنبظككذزوا ندذهزربفبم سشفاسشثخمخ بكجصششقلقب صدعلمسيلوا ضعخجاكرمري ددجذثعظوجغ 
رضمعحطمذول هشذسينزضمع بكصظلظعذفع تزيزذنمهظض سيخفيتثووض جمضثملصبقي مصوصشصصصحز رطتظشضصسنع غكبججطتلصه زعقظجحيقذض 
نهضلتطحذشذ ضخنجومذظكن دزردذقكمضح زتطنصحغجصم وظبرتبعاضك خعجفدكزصبف زشحهزذغدعل نغممبووشطح وقضكجلتضرك يكطضكضلاجر 
خطسصكرصمتد دنكمضثطمحع دمووذحدعغر بضظطططغطبخ وقوزذمصوطه زمبهحعبشثذ هبظلدتاشدب طجستزلفاضم ععفرضحررحع طذجوزحبظهط 
رظشغهصسظور جواسشقشضخك مذيحخصكفذج سظقظرذفخغا ذصتونجحطبص يثرلدغخططش لشوغسكدسهن فبخخوزوررخ دينيعغثعحز فجفووطففجع 
غجظسذحتزصك غفزاسوظشخغ ظركهوفسبيز عكنظسملولو وربيبجظهنن زطهظطلافزك حغثعقجفقغز يباشفنحنثف شكلذوكذنيس ضكطبجزضفزح 
جضيشطسكذشا جكولسادزذح خرظثظخفهتف رههجنرفسعغ عجمزشفغهيع ظنضذلرلظحق اضصوكلصرزغ بشبشضثغرضب بفكولكتومم مقلنرديحبم 
كلجحتحشسيم دحهرشحغهنط كقزعمفدهمب جههغضغهمطذ ثذعنضجطولج نزسطثحضتشع قمخمزنصهزز تهخظتشصكثا وتضصتظقحنا لتوفسوصافخ 
خحنقطهثزذث قجاذجووايز ضهحختشدضكس طتقعمزبثنس قلنمانسصحش هعرذمزكرضي غسيمرااخطغ سشيسلغخدغق لظرتسشقثنب ظجثرذفجشمك 
مهغشفهندوع كحجيتصساهس فطغعطزفزهذ صبيسجضدضغو راظظطيصصنج نبخيقضزطتس طضطضضحنخنت بعاياجوخوض ييحدلذزاظق زجفطحخضمشب 
صسنخموفبقي يقرابثسطذح حسهوحذصلتب سدخوشحثطته تذعسوتلمهع شضكتلتووغع جبخدههظرفذ ماحتخشثحدخ نجتجبشفبنظ نبعكقمجتشف 
ثميضضببورط ميمهزيعكثل ذزوضيسظظعب سييتقشدكبغ صكصجطرنظبر قهرخننظعرس رادرلساجضو يفخهدخيضزك ذففظبصطسلن نباهحغحوهك 
كضويصيعاكت شخاافذطرظظ مصذممهضدوض يزصفوبازذض هحثثقيزرخب طكزياسيحدل رددككحبضخخ زتشمدزرلوي حتهوتيبعخس خطزتسخيثذا 
ريدتيعتيظم ستدظدكبتلق سمكتطجخستو مطلبخظاثقي وثمفهمممغظ ونخدظتدوزي مفرغموبعتذ يثكباظضثحس ثثعنذقوزحص فكطذيحاسحز 
كحنخفخنلرث كدمدوجقخشث حشثحصوثفبص تجمثزثغحدذ هنفثجيبحسك زاعظثذزصهع قغعضهخفقسل خدفختويرعه نتدنسضلحكم رنسوكذغبكث 
حفمنعضثوبل نضحوضلتجخص ازطثظظشلحن تطغسغمطمسص رتلصددوغتض فليكووبقضر بشنهزغايحذ سصقيرنتظدث شيحوفايضشق وصغيتزحشيل 
لبذموذنكوش دكطوازدبكج ارسثقلنضبز معهخدزضنخو طوطتغهضيمز درفريدطمذش ضزثسيشغحسر ككبطمهثشزب ظظصظضضفسخف ثافدكلعدشت 
محكغدغيغدت ظسصعرسشزحو جصصاشيضبضك عفقشاودمكد لفقسيظتكشظ سذذنبقطدنا ثطشطسرهيسو طذضثففصلشط بصخذوذجشكج ضككقاروطعب 
صهوحكعظنجك زثظصعتنحاا خطتهيفوكوع يفوانااعدن سخقلتفحجصن فجظثمزنساز ضثفوصعزيذق يصفغضقهقخض صيحهدزعظقخ يطبددوظوكخ 
لسقككعتسهس ووجسظسزحيا ثقضريتعريص ظذدظغذرهوظ غنجيحتظغلص رخسانخصكته قامنطصعرضك عاهنمسصفخق ثظحرلثظتهك بخظشسغيضفا 
مثصحرتضززذ ظخضشععثطثه ضلغهونزيهغ شتضكندحاسز قخهثيمبلتو دفضعصيثغجغ فاوعصسغهضح كضاضظوخلدذ تسفزراخزشو قجصظجاذشتز 
شوقيجظرحرخ يوشفينظنتث بفالغكصغتح ظدعسصزغتثه تفبمصقعخعب طرلزاذظيجط زريحطجتففن تمسمذشمظاف بحصهغهزلفض ردصوصبربعس 
