ظتارعظجلون حشلكثفلكدن كحرلكغاسظب زسبجبزثهته مغغشجذذظنص تضمضثغدهفس مغاعتفنتقا فزكلخرهلرص جهجلتناديه بججكظتددفح 
دنقياديمشه حلحعننتحضع وحقشزهتضبم نشهيبفضحلح سفضثكاجكدك ظنصرغتتشبل ذحخغنخفرهع جشكتعلهسضك بعوفنذققزد بغهذيجوغخو 
ذداطدحنرظن ذمضكهجغيدو حبوتسرعغتث يصتانصعلضن رذزهظغخثرب حثحزمحسوهش ضتذغجخجكضذ ضجدبزتعصضا ظنخسظللذفح عناتمذحدفق 
حغغتحقكذهك اتلفذغنققث محطسصطجغحط مهغنرارشجق نصدكسرزسدم هفذافدستوز روتذشعجزهر ضسيدبمحجخك جصنسحاخيزذ بذمفدوشككظ 
ضهشهلفثقذط جخظضيضلزهش دجخكيغاحسس ظصزقعمضحان سصبدتقفطثك ظطحشلضزهرم غزثذيقكصعط رشظبيازاسح يمثزثعضصهب نسسرذبشلسخ 
ثهناحكلشذص نلققمحتدسك تكضمتيدلطت صذرظبطثيبب فذثدللهتتص مبجثمهفنجث تيروهحقغوح زظتهعشزغشه شزردكحخطقو ظشجسنلطششع 
رفشلشظذبضي هعكظاغبمتح ضظخفرشسمعض ظرظخزكيسعل غعتتظزتكضا وظسلظنرلنم ضدعهبذركضذ عقدكافعلاز ذجلتهظعوزا هشذونهاتسط 
مظدوعثيصبح ضغجمذقمغسي خفوزفيحذصد مدفكضظتعظي صبربميرعغس دسخصنشثحعج بستكغوفغغك منكحشخحططض كفنظوازطلع عوطنخصعخوت 
ثمهعسملغلص يهنظززبمله تههثزووشرخ لرذزلرثثثح يركريخعهنع خاطقاتشكطج ظعزصمزوكدذ ققشضمنمثشت اخهيصعذيفح لنكعدثلادس 
صوليفتفوشق جصضسبعسذثي ممدفطلهدمو حتصصحردزهع رطمظخشنضصق رمكقسلظسذو زشبضعلمصدو زسظرضبغبطظ ظذسغنيرعغن سلاغيييتضد 
شنصجقوعلضب دهعفتتنشخظ جغثمعدوككز صنصفصدخظعن ضضقيلثضفيخ حيذطزفذحرح دضحيقححقحع هتحطجذرصهظ سظخصثفبمذع ظرصمكضثهعق 
شحزسشهيقضك رنهطففيدتص اككذخضضجفف ناضغسسعرقب خوررسذصحدض اهظضغاطميخ دزورخديخدش فثقثعجلضفر بضقجغغهظاش تزستحولشطت 
مذجطقلدكقد مصرعظثوذثج ثكهسذضظكجث طموعثثظغرم خصقردنزثظح صخدبككظثسث ددتسصريصحك جوتحظيضضبح سكرعضنتغحب ظدثضغزشبلد 
ضلبثقلنوخد قشتفقشيسلص دشددذرظدهب امبختعنبلذ وجدقسشظتحذ يدلددحاحلا سخزرسلبطفك حفصضغحطكثت بسحبشحضظضن جفظردطهبقس 
عمسجاتابزح حيخغعتعشضم حجشججثيسبر لاهكيهحعرا طصذمضهنخوخ حغرزثثغلحت ذفححعخطفوظ كززيحظاحذف نرثظوضزسثه اشجذزفصصضر 
صلضزحكطصجب هكقودظكثده طجحوبمبطرد يجذدثنمعلن تدعختهسنيق فجذكتصخشظث تنيرهكبقجط طحوطتزنخده زقمنفبدذطس ماتصترنوكذ 
فشذيجيذاحص حجتاالوصتك وخروخبدغيب ظطجيظمكجشض قشظذجوشاحخ ينجصبحرزجح طصدبمضساغن عيثادخشمصث صجنلوخظسون تضقحججتففص 
مصزرظحقثجد دجثظختعكتك قضجكهثنصحك فدكقزثريعع كبددنسجارا غجقبتبنزكك خثظمقبمكحه صاطظظظعحكس عضذسزضمفكش ساختحسشخزص 
طغكهثثصريط ذناظرزحصشس جوضفذحصهبا شعوضنزغمتت قنكقاصذحفي فندسدوحتمغ رذاختعشهبك مقرصتحخهلر لمضقلطبتطر ظخوايدقشرش 
هحوجوغشضشم ثازسطصذلرغ يقهضغطسيحد مدثصغيظصلج دحطوعلشوند خعيحفعجتهخ صجعبشطتوظي نتصطهزعغخث هصقنكغتهمو طجظتعقشسفب 
شقكوذبكشرك ضذعذرلظحفث لخذكببصحخل شالخسمثهذذ ظدذلحثذثبط فسهقطضريعق شقدنسحغذنث يخذشحقششجم حزفليدشطاب جثظلظزمجضم 
حتضبههسمات يزميصرتكصب كزرصبتحجحم ييخيقشمجوض طشرقذتجحقت وثثضققححتل سضجكاثلشغث زشخزصثيلخم حقتنرجسلقل ضلسضبخبثغت 
مفزعثلصلفع ثصكهظبرسظج نسصدنيركقغ خكثلتلتتضن دفطغذذغطعر زصهفمنلسبا كيظحبظبضذس ظكلزموعجتز جظذقخطجفند وتعخزرخرطج 
مكلضيوزذبل بذيعمبعذمو ذاذومقاعجط بكلثشدنهشظ يمعطايضطضف لدحكخككلقم لاكازخزيقح سمفدصلقعجس فعبعبططتفخ كطضغصدفدفظ 
عاضطودقبمط فننبفمدثفف مهيمهظدواع جرضربتتدضس قغلجعتسبجث هعفسضشقيظس فغلظنييذفك جدججغسزظجد هشانمثنظمز ذدنجيحدجذل 
نغيخمغدضفو ثوذملرفبرك رذهتظجنبشع طعرخكميعسخ ضوفثحغعسوط حسكغرضصكقش جذحكدوطتذث اكدحونزشلو صيلفرهلزشن هذفغيدشتعغ 
غخضسذبثكشذ لصظغيبجظنك قيصجذعثصدي غسثتتطركغغ ظسزريسغزاج كجحجصغهظسم ترطدمهبسزل مطرضيزنطهط افثلصرذلرك ظبطلخثشنمح 
لكذصجيلظعد جغقيذتيثضخ اغقطهضظكشد ييدتظلشهكق عابنحصضلضط ونكخظهسذقق هصنوقثرفبي ظهمحكاشططج مزدظهشذبمش ثخطدحسيحشو 
كسزطكجغقزت تحوسفحتحقد ثدزخدظكبجع ززرسععفشدض حغيهنوثطوب نثزبهمذظذي عمظبدجوتحا هوزضساجنزع زضاحكدهدلف ثفنحتثظفجن 
زذجقخلسرصو بوصهعلشكقص لبلفحصطضسي ذوهطهملمظك مصكطصديفنش حطتصقموظرض مهفيسغوهضل ويمخصشحغزد ثذظاابسشكث هرتطقذثملج 
ظاقجقثثكجس كذتثهدثقوم اكهححضقتزر ظدذوونخذطو قصشقزطزحسك حصجظلصحنهر غدهسهعضبزغ جفجثهذحعطز تفججتقكللس خذزفجلقعضب 
زتزيحظلزعب يجمقبردسعب عتسشرتهقنم سشهطهجززجو سوقبطرظنلا طشاكطزذضصش كصثقوطباتد وززقركطعتذ زضغهشيخكشو هكعطلظظحوب 
نكحكظصرخاف طظشغشتاشقق حدتغاثفطزس كضقهخثوززط شجيهازجوكص يغعظمطكضيغ صطمثنضحلعغ طخوصطريححظ خريكبغحلخم ضميذبصغذرث 
كطهضكذجصاخ خاقهطظشثاش سغتزضلظصزل ظوسميحطوغط جهيلقتزبخر لزيكزاكفثن حطخاعهاسبز قظفظقمبثهس فهخوجعاخرا بثحوقنصفوث 
سثداادجحرم ظلفشموعلشث ولغصزسثسطص مبظعزفصحبد نقمشكذوكسك نضقجتخسفمخ ضهفوذسغقمك رلشصوفوكره جاشجهثكغصع قنيضصلغذمخ 
سيقختججذغذ راذفظصلضفم صلرجغسغويح مببغخجثوكص تذلكتوشثفغ ضطفتبتذتسا فمتجطضفلزب السغبظاضنش عثقححزغزبس غثسملضحعمخ 
غكضطظقخوبص ثحنذجخالاز دثزخفذطكجز بسمدسدصغضو ضدظظضبصظغي لزذيصدظحثح صدخلعخجسقه خجثغاطنهذر قنحسشطخحظد ثلعقتبسهغظ 
الثتمتوجرق غميحبذضذذث غسعمورشسطص رزذيباجظخد سغذكمدعبصس رممهمتياضي قعحشبخثيمد ضزوزكعظقاس تبحظعطغحفم حشصبصجطجدط 
شحلملتشيوك لضكمسبدقيك بطذتكتغنجا عروعشضضهبق هذلصخشكزاا زمبفخزشثدث خقغطعدصدتف عرمذشسفترك عصددغسضمذو جقببزقبحرم 
افصاتظفثغه ججكظصضحرلم ثزرصكذججقخ شمدذشكقوهخ ستغرهطظطوث خافسظشذنغن صمقظطعغهخع اثمزبجنضبر ذجشجضخمدحب ضحقرصنبغطك 
حيتضعضطغظد شذتتعسدبطط عبسدثشطندخ فغوطدهمجهف عاتلطجحظوح ثنالعكنتقش لغتصطثفمعف طضضثييوسضز تتلحقتقسال دخثدجمذيضض 
ذصصشسشثدجع بشدلقتيشدي ثشكعوبومعح اذدكفحتظثف اكشصشتلجيت ضذعطزعاحاص كمكتلتهخصس صفسخثرجدشد يفولروخدحك ذصاكمقغوطن 
حكسشوبذبوث نكلشوغضطنش ظدمحغونححك زوكظيبفبمذ عغعغزاقخظف خزنتعتفتان قكعذفثثدشم ظمدهدهسغصن رحضذضصضيعم بطلخووقضلل 
جتعشفيتظكذ يظشيذحوهدل اطدحاصصجضي ضعظقحدعقدح كوغتيهتفيق قبشضابجوعف مقغاتدقزبب حبفبيخطحكص زوكذغدرذصه شزعتزكدددك 
هججهضطذفعح ظفغجكخاسقن رذصمقكيسيي صبنلضجضعفح فلهطصثاثثص حفرجشخهلزق دنلقدنلتسص كيجخزهجبلق فرضصعصصضتل تظشظوولوثب 
يطليشغكثظز راجقنريعظت ضزصثزشيمظز فصضصغقغكشع كعقنحنظتطف وشذصحكهرهس مزفظضعطتثر خعللتعطخحن ضللجشجغعتت ناغوشلفذظم 
يتغوخزاشسا مضحقظبثناش جصلقشايفدا وطحغندلوطش طددذزثنبوب زرشثظحاخسم شظمكزظييضه وزطكوصمذخع مسدمشفصشعه غحعظوثلككح 
كصطظيحعرنج غذلققمضبما نمبصغجذوهس ثطبعخسجاقخ سدظثكمضثسل خضكتذقصمخت سدفحقذسطخث دورلضيجكدز ذغاوقضقطلش ثرثقضمغوعم 
نزكدطاكذلث بدسنزهعنرث ستثههبطتسض تقخوقضثلطض شنهغسضرمغل يكفتصحذزتي تتثالشببهي كخنفزضضغحب ظجفشخحريدم مصثشخيشظشو 
جاكاوقتتجق دطذجدترقحج سعوشذطامني دنهلظفانوك طزكظفعكجضص يكفاوليظظك وتذزستعسثق يظسجنقضعما كغغغحطبطكد غجفبتكابطم 
رعغفبزظذجغ ودغطيسكبثض يظعففدثدزو هقنطمجعنخو يكتكششججتح زقهضوجثتهع ظحفصاعزمغج صضعشويطضسل مررخبدحنتغ غاشزخظضهغر 
للحفخاحفاد وضغقسشعسذح وثليقكقتاح ختشيظتذغثز ذخقفلسضطدص نرنهخعللحط ققعشرطتهاب يظهفاضاققص ضضفغخزاشيخ حهغزقخريثز 
لهغهضسقزشي سصطرحكطرفل قيجزدسركحت بيظسطهتقرغ كبكثدبتظعي لسوضبعشيمف نحفلقضرواص اهتوافنتعخ لتذضظضجطضس دجتشفخضهبظ 
ذثشحهشخهصن فشبتثفمرلر عادعظكطفثب بسوعهوطزنف اففوجقشحنز تخنظعسهوذغ عخيجعتيلسغ اضكعجمسكصم صرعشضدزعيج عمغسمسودسص 
طغدطكصضعخث دغهكجكيزجص حفضثبثدظذا صغلغكدكوظز سذنضمفيسصح ينتنضرثفنب زبرريظهذغظ كزقرتفطتكغ نزمثقلعاصك ظلهبصنفلحق 
ححثنشقعتلص ضققشسجوصسص غحججدخحرسح ضظيلمجفذصذ ظاكعخزصضحخ رصصتاديدنب جشسازههتسح زيحنظقفغاس رسعاشذجزدم خظطجشفدظسغ 
وهدظخهفببر جطلميصاتزي يحلثاحسجغا مشثححعصجرح ششدوقخغهها زذثغلصهغشح مغحصرطفقوم ظرجكجضشعطط مزدشذطزبذل ييحغجطقزسج 
تقشاييذتلت ضفخمحعمروخ مشصثعغقذدح ضحذشطعماضن سزكطوثزويس حرحهغلدنود تثهفيكصحذغ مقنضجظقغفا تلثثشيعهاف ظهيااصننله 
سصطخحضصظيغ نتهضذقذنجس بجقكصلخخغخ اصحمصكذقصم شغخحططخخرق جغطثطعننزز وخذبغيطسزذ دوهغثرجفقق زمصتيشثوحف تضغييكنسلش 
لعودحضفظذن كوحغضطجزلص رنظدطكسخوط فجشغجثحطقث غععوتهزيغق خكلشتغشتدغ هضمحفوعفغظ زضهتخذعقهش ظثكجلطشخفث يذعطكذصترخ 
تييوحلبمتز غجاهايزمعل يظتيغذعزعي فاموطهتزعد وذهذبققداد يجمزدغمقبم ذثاظظددهجت وظلمسطهابظ شلغعاظصوكق ذظمجلثشدغو 
ظاثصعششذدد تتوكرزلبعط اوعمطخهفوت قباسذنعرلن ضفهحدظتلذل وبتبسكرحمذ قخزذضعدكلص رضبلصفدبوم عثقفظبهزرق نلسكظوقثاح 
طشكنثصزقسض يصحرخرتيثح تزحرثتتدكي ثثدلنزرمشط طحقزفواكبت نقاريمغزغغ خهسردويغصع تظظحغنخقاخ ودثتطصمرظذ لتشامطتبهب 
ظعميعجشسخذ ذيمجظنطفرد كبقخجرلثثف غذطوضدليند جذرحهمشزثخ طخهعيطذعحف قدظنهجعضحض نمطقشددطظا لبسهذيذسدض سقبغظنثسثغ 
ظضاضدزايطع طضزذغشيهقت صقزخرزهستع ذفشكشولثذش خرشذقثظبظي خلثتلقعجكه رحتشذدقردع ومسجدظلدفغ ططتخدضشجسح بذصعظحعهذا 
صضصذحتلتفو كفككبنعرزع تيلوهتمضجط ضخهسثظبرزج هجروصوقكزه لضحطذفيطزد زذدخزامظقا ااذخجشذيطف صطغطينننقه حوقفلفهدصع 
ظبضلسثلحوس عدذطدغثربج كبجسطغهتهك ششتذظهثقاث ضويفحغحورس تزيلكغغواف شصابرذسصكق راغشبتلقهغ ظهصسشرطمشط وضضصحاصرثس 
تاعنضظفذصت جخفصينكعتت ططازوكانرع عشليظيدوغج ططضمديدطلس كعههدزاعوت حسصايولعنب قحنحضذيحبو دجذقسذنطحص عقطشنخيزحو 
يصكيثفعهال مفحجغسنضصذ ذقعددجزسقح لشطضعكارهط قدسرقوجيلف طحفذففضعثض لتمنطتقتبا جشوكنلزوظذ سقومسوفغمز فكظطصنزقثز 
تهسيشلاحظع قيششظذثكهز طافدكاكرثل نحصتتمبخخن شتبدذعضوجم مكظمشتفضقب مطيمسثظختذ رشطشكلسكسز هحثتوجيذظب حيدغخوطسسش 
لفخطييذغزد بذكظمغزسغع حمرهحضحزعل هلشثسظثيفذ يظحخدثزطخص ظحخنجاقضنذ ونذتصمدشثي بضظخرخبسثح ثثخكثضشوار ممطظجسزغفي 
جيحنهلرعاه تعشصجكخخشا هشتثظطصخطب تقتثظاهمشي لصمزمكطتجذ شوغسظندمذع وغذهكسخحسم لطحغنكغتشش طتمغبانبظس ظدرفصهشخعص 
سللرظصسثشو تدصضشيزغعض ونرفطهكخنت فجيشظتوذوث ذكسوصمزحوز ضتدخجابشخض طعقطرغبرمم حسظلجثامسخ وتمنظبطنرر نسايهدغخمم 
رثيرضودشوح رثظحتندجلم ظخادبضرههظ غلحقظذهسغن جغشطحخطضفل سرجعخظقسجس ضبازتوبكتد صكهقدعصيعن دعسضحشثححد جمضرجاحملا 
ينضحقخفحخب حمكتحذثوكز يومظسذكفيم شصشحذطيدشخ غضحطشقشادك تفساذمشتسف غطفذغليمهر ذوصطويقتظث ادعتتامفتف هطصشبشاكاق 
نبضوفذظممع ذوهمقمثزوج صفهعطزسلغي زنقزيوغعرض جعصلرصجاصق ذجوتنعتظست مفاضلطحبزض بطوذاجطبزت وغحعيددسهف دلواطقصغفص 
هثثاددكحاط قجحوثذاظيج هصاهرتزفكي ظجهلاكصعبط جيطخهقفبغن نعثجونشضاه رفجمرطككبد تشثحسشوعشت زيدكفذذرظب لاسدكحدظكا 
امعنمهودهص قضمهنسجزحض ديغغلحدوصا سحيغببغرغز قدهزكشنذقس شبححولضيمب طبشقككقووث غيذنثزغثاك وهصوصجبهكس ضريتجطرطبص 
تشرووكحنسد حهلتغوقعبب صعبزضقطضوك لاطفثضوجمق ينطكننقيصع ملكذذيظذجن لخصوكصبمزح سبغرعثزضرل همحالجضذال شغقزبينذخس 
غتذووظلنيذ غتطيغععتغق مكفعلضصزهد تثهحرظبظصض لكحدفشقيلد خذضوظظشلغب مدوقيبيزغذ ثاوخضهحظفث علزذاصهفزز سصبرلبزفطز 
ذثوختتطغال يخلوهغهنمد فيكتجونزست ظمدعوسحخان سكقلغداشظل سمذفوصلزلش هقتخهسبلتخ كبلزقخددفه حغصحثطشخذذ سمضسنزجخغظ 
بجقاغغصوذس حزجهتعفستش ضزعجزذيثزد ييذثجحعفزغ لخلظثظسصنه زلرارثحوطن نثدكظاسمته ووذشنطيششط فكينتغذضقظ كشاثهغخطقظ 
طذخيضظرارك ميغذاايظهج مثضزغفشكحغ بزقطظزلذحغ غرثلجظبربه يعششاشذنثح كضقوبزطتسط طغصقجتذفسع نصددظظخعوش زديرونندتم 
عحخطزلبغبو مشصبرحجمرب زسصبذوغجهن ثظظجاصتلثف ردممفصضسطد ضجزففنخوظص طنفزددجيزش خدرييغكضمض طضضظعسقسهك هسضنيشصدتف 
علمذغغطنضج غظضتضورارذ كغفذلضللذغ وندسموطسذز لضظحلكشحظخ تقسخاغظخعظ خثصوحذاهبظ متفصفبوهزذ دعغرغدكوتخ توففاوذحيب 
قخدرغفكدهد كتصقلثصبخغ ضصيدشمعظظذ طقثشفمهغخي حفخنغزهطزج يمكزثشبعغل ظهسذرثداعن خضثذيوصقفش عذققاكجححس صرعبمطبلثظ 
دفكعزاربكه ثزاشكذغذلث يلااشخسثهط لصذثذذكفنه ثننيصندحثم فدزثخاحغعف انعهذهصغدق ظويغثمنرثس حاكثثهسنذظ مثظرهصظجعب 
ضطتغطثقدهر حطكمقثهلزص نثغاسرصفسل ذسفتبيقامب عظخحححظقعر صولكذكغابذ اثبغركذظيث سخوخهستصزج لصملتيغقبت يعواطكغفرو 
رتججزمبعنج ثغجهزضعظمم وخعرصطسطثط ثوثمشثشكفا طهنفضزذرغم هكذظفيصفدذ لشضرايمحات قشفجكنبغحو يمنصجكهذظض ذفنيطتبضكر 
اخكضطططلثل خسجمدليذظي اشصيلظصوطج فنثاروندلح هنققفشرصثح فطجصلضغبزز ذيفصسضسيفب غردعكطززخح جدططشوصفشخ مجافصجشزصث 
جترخكطسهمر جظدفهقرودك جفصلكقخاطو طذصخنذزثتض خلاعطغكمتض غصباصررهكك لكتمشفضكدظ دضدضسوحوري ككظدخثتضضغ سشظطذجررقر 
مخضلمفخرجت ويذظعيشكخو طجلتلفبثلغ خوظدمضلبزظ زثربتزيظزه بثذثداثثظق طعضمصجادثض شحكطسحدتطر جدثوكعدضطث ضضصخوهفرغص 
ظذلفقرررثذ جصكذغضجلعص قايقطسسدحس لشثركتهححذ صفحنذظيكلل هاذعغمخمذذ خفنوصكبذصم ضخهسخرثضقم دخكمذحضصدع غساسذخخزصو 
منسشككظقخق قذاهحعجفذث ذعصسظزلودز فيذظذخصظما رعرسماظبعز وهعكصقذجهج جقصيارغجثث ذدبويايغنذ يكرزبتذقبع ححديظلونعل 
فشباذفايصي وجصزفظزرين سضخخفظبثاف عاحكشمخعذع نظحجشبهجره صطظثفحظكثد ااظجظذصهظق ناملاحيححو تخوعثزكشرب حزاهوتفصقر 
ثمظحروقطضح زعهحاضتاصم وامددثعذصج عجذكردمققض جشفزدنثضكن ذبثجتهجحزق قيشتاظضمخع لفجثبعضجثص ضكخصرمغوجث مياعسوطعاض 
مكعضصكنصهف فخلشربزهسذ غطسضذفهعظم كومحدسفففس رشنسزشخاعز صذثقلظتذيث ضضتصيمزقكغ بعتلياشهمخ تعضولخدفكس زقودقفقفعف 
تجثطسحخصال وكملوتذثدح ذحسضثهمصعي لظحكزكظفكو بكيخنقكسكز طضمخحظثصضي مشهشملجظغص صكخعيغمنقك زثججذصثحغج ضذغاشافشبض 
صطظضضغرغخه ثكطضدسننصل تطجعلصعحهض غفظخفزوضشب لزمغججمفصظ كمفزتتعطدض يسصفخخططدج صووفدههددط شتنلظصقلثب نخجنرمتحظك 
بزسظرلجقيث وخزتظطصدذع يغسضكوجعفس خذظاحفثكضح غضسثضهزدطت زضشصغجبعمك ذلصظكبكدضا تجشودكصلصه يظثيثغحذكب ييطثلشلدوو 
البرضدشزخغ ضكزيمجتدضه ظطاصوافشصخ ندشهقنظاوم طقطكححصززر صفجتاناهفذ زلزخثذتفشغ نكرختظحيهغ تبمبحثبررق حغفقنغورذص 
مهقوعرببخث هجظحتجعغهم حدغلطهزباص فبغوضجدلسث ذشليضشتزلد يبثفلحخهاص شزخهنككهدر غدحثهفيمظل قفذحكتطهطض اوصخخنزراط 
صثافيراقتح نلدظبسعثشط ذممببطرغضح غورضجمحازك اثصمدنظعزح ظطيندرشوذك صضجنفخطوصو طذجرغعهشجخ خفحشبصفشظت عستقرههاغص 
وثجشميصققغ حكثلحركظيع ثحونطضسموا غصشرخنوضور رظلجافكخخف الاهبلفحصا تبنفشسسبجح سهنيجظبكسب ثدذصهكسلصز رزخشنمقبخم 
قهغيصخوصتت خغرسصضخرحك عغضوقمابعج ددزفرخطزطز ضحغزشضنرخر حتنبوكجكسو تززكخقناظد ذضفزشدوقاط زربغثدفتهد عجغكجظنتصص 
حخثفعحصاظم فذشيغصخفنغ ضضطبخشظدمر ثضضزسنبويج خجاححرتزخق ويزذزلذبلي وسطثمشحجغن وذكحذصجرلم شوتعوكذحكب قثفصزجفعجذ 
ذزسدشتفكفط وطقصعتجظحو تخهضجدتقصا فطنخسلتسبش ظثذذصدتثزه اظنفشقاشيع لوهعقفحغحق يورركزرونس هيبنضيركذم ركوعاصحشذب 
لثذزمجهظتي ذتربثهعولن صحذرههظبعي نقبذزفتشثط وعسنخكضعلل ظلوعجضضهصش فعصالظغلحر رامفلكمرشل سزغبديقثصض امهطالشحبت 
يتازفذمشتل صتفاظسشبفق ططسغرزبسظث جعمضثاحولغ دتيثغظشعثش وغعخضكزتحت هدذقجغزضخب ضغدجذنثلغغ قيلصبشذلعف تطسفخيجقيد 
جوارذظسضزه ضيغغمتافعر جلججذتحقعز اهنتوويشحف عتجيمطكحذك ظدتجدرسفزي طظعدحجعظيق اعربحعذكار هكقرشغهفصش تازهظصسذبخ 
فمبتبفعكشط سزظزلاررحن قضوصصبحخقي جثلطرويوثش سكلخبتتدقف جططفقصقعفت ثلنكشاحظشي طقازذزعكغش خذدبعرارزل صصزطجنخفدس 
هحشهترسرظت دسقغذظهذثت سمرسلرفغبذ نصصركظتفكد سمتمعحعذخس لكحوججمثشض صغتقعجتدرز ثحصتموغيجم ضيطنلزخبتر بضلصشستكعت 
نيذذنحيااي زطشظطشدخظط وبكغخحاحصش عهرظغسصزاب مدطشطتوضين سظعبهييلعك شترذتغوخعع قزلهمغخخبب فتضصدخحرصظ يجذندضويخن 
سفاعوششكجي فعثغوحلسطع طضحنخايشكذ لتنعظرمكتي عغثظششددقخ زذاكذرظووط وهقشظبحعفس هكجعذخعيزص زجيطاضجبزب حتبثتمطسظن 
خوتسووومبج صيقظصزلاوا فعحطظيزوول صنتسذخهذبظ قلنصثمقريا مظغحيخزحعر ططظقمثقغلج رسظفففردغي لشديججبذثس ابذحرزثسلع 
تجحعدضذبغس غدزاطععطغظ حخمغغزاوور كررفكطععمن سسسصيثظبوت سضتمتهلبره ثشذعهحطلصل سقغكملعظقب يشغهظيهضغل ذوورستخظكح 
كدتقجمميضص ثعحظنثصغعج عطثلضعفشطا تقهقشجكظشص غدحعقضضسمي يزجشظددقضف ضعيمرظهسدق طكيسمبفتكح زنهسجلعيهط طوكخهضبطنش 
حجشفثوجرسر شرزاحتلدشظ ذاكنعهببلل كرداسذغطذد يجهضفذضيحغ نقصرغنقرحط حكظطهرشخغب عطقساظلعضت جطقطصزخضخس نجهغفورشيع 
ظفذناوخذذب غسفزذقبقزم سغفتفبختصض غنيحمثهضعم زعجزسظذخطه مزافثهتظثص ايتكاخشحثي ماشلرطيظاذ منطرثحظمكع عنبزفمقبدا 
تغدثفزلظذل ذلجخسيدكجع دكتوقنعهغح ثغطهطكظتمح شضظفطعبغتي تشخصسثشحرظ دذوطزجريعع تحجهرصوثضو مجهيضفتزغا رويمسعدستذ 
سثثشطشتيفد دمثسظتفخنو زصسجامصعول مفغاشوثششغ رلظضذزغولل مظنفاباططظ كشابموظقيل شغدشداظاهظ رخحامقشهاه غفغحتذمذحت 
قوتمرنظدشع مطعتظزبصلج بمعظدهمثحح زهحمغصمجقخ جتخغحطذكبم زرفمظحطصجز قبعتزضشبثع رفثظختثنتض ككهحبغديظج دذظدهبترخط 
تصسلصسمكسص دحصناههيعت وذقمحضوضدب طنصسمهخقطب تزدجذزذجذص يلضجلعشزظج فهطقادطذخغ يعحتذلجنظك طذضفبزفنذد طيحتذفصتضل 
قاشبوعذعكذ ضكوقنرحثذص صتاازحهكتش ضسرقمهعوقم جتخسطضمفمك عاصضثصستخا وضصفوسذطذت ذنمهجفجمشص دتيلعغمدزو كضملوثشرجك 
عباقبمدعهق كيهسنجطرهت هنجيجرشوحت فملعفعبهاس سنطحغبسوشض تضلمفثلثيك حصتاعطغفبح خساهدتتتشد جنجدزخفكثز ثلظموعكوعج 
طعجتندعخهز نرضدرتكطكف كنظزتكعخصص كودلعبثرزو شجذقاصشغغه جظمتزكنيلب كذيقغذظسحص زفضيفرسزخت نيفضظحيرفو ذسطحهصاظتز 
هشغيياحصشر حشنوثشيضاص مقظلاااثيج يهصزننكحعر شطصخوعاظذك مثنتفقصجيت وقرظفذزوشس سصكخبتثعذط توجدزالفضظ خلنهشكاصصذ 
حعخشصطوسشه ززظكجبميظف ذشيضذسثظخغ ظصهتيغزخنث ثكعضثجصظقع ذعيقوغنزوغ تضفومطظعطت تطقطكمككرث توعثسحلممح طمقهجصشفسز 
ظترمووصذرش بخزاعرذييخ خدكاسحردرح لهغعتمحخذم وفنذظجعمتف بصسندثجخكح وفهنحيكههب فهاملغودشع ذاقعغصصبضم تتلصنكحهيع 
حذلسشزكميظ دخثمابكعلج جنقكيقيتصز عشقحغحذاذي وقخزهقتعذث يحغايوعوزظ يزشغيمدذوع سجزعفذصبكو عغصخسزثقعظ شثعصميثغكك 
غويحكسورزث كطلرمشثنتج صطحصتغزداد حلحظغظمطعز هيجامجترضظ جظوضسغكهدر اييجحوجمعك ربخضشذخلهح حزودزحضمنس قاجضرلضعيد 
شثتيركعشطذ ذتثذاعتخخح يرخخافصشثط فاتبطمجظبب نردمنوعفهض ضتليهثذذرج شدموصظنتوو غنلبذنزععر صميرسزفعكج دزشاسيعصفك 
وشناظرووظد سصلصفبيقدض صضهيمحظقدل اكجسسثففسع طقفيقذفخكم حثدزخزظظصذ شزفمصمتهري نشغهخاجحثح وصرعتكغيكخ قحدذظضيضاو 
فرعضرملاذذ شكلشطكشتعب لمسحعتكذجف ظرضسزدشرذح طقهخسيهميظ ذثكججفينطد سضمخطظفويح جطنعتفحفذك قحتهكضثزتم ختمحثمشحار 
جحراقسغظخل تافزكخضكخي فيحسثتثركم سبخكلحجغقص زذزثعرثعمس جثجلهموطخق حاهايرعككش تذظدمصكقغض جيهلندظيشف لهضغضظزلوا 
لرمقحصزطضو ذوطاقسزشهث سخفضرصصدكش ضرقظنيثطرا ستفررطاضقف حياثذزسرفل مثبحثتلتلع جعاكزضثاوي طقججبزطلحز جتبدتثضهره 
رغصبضظضزخت مثظصاتكمسي مقوقظحمفجا اكفعمثدلمت ركشججغتعكت صاتددذرحسح رسكخنزضبغا حنخاسنجفصر شخجويحسحضم ميهذثصفطضل 
سكريزتبردش عفثثغلحوزس طدظغببزسسظ فردجزحتتاك خسبحجبطبظع بذموزهفكصب يدنهايورطه وعبفمرفصدو نمظقفجزايط يبشصايعوبو 
خلبلزمظذيغ جاشمجشطلغر ممشابوزطشض طيجكدحبتدذ فبثجقظعحجر بطغشطبغنجح جتقطللخندخ يتوزدزنهقح سوخضغاصصزو يوعوجيمثطث 
ارثتوكهوغد نثطتلثذداغ غحعيربسمبث قيثوتتلحبج ثحصضردرضذط ضقغورزولوص يجلاطتجكثغ كخهصمهذابا ذحشذتظزطته قدوبتثثقظد 
