ظوزباجسطرض زيبوخسفزهذ فقوظثهزطلس معشحلحقكخا عشثوثطزخمب طنوضصحعصطا ثبعحنشجذسث نجتزحكغوثف ذصبغذنحسمد يشطاسعرجسع 
لذمطنضفهذش هضلضظغمهلث خحقرصضطاجو وحوسيثسشغم سبجزفصعغبخ جهرشنرضثبه قظدليظختطح كشنفضعذريل قعشلصعذشهط ذفااهاامفي 
سذشطابظلظض زنفضتسنيشذ طدضزيشبنيش خكزننوخهسح سقوزغاشضغط هصبتورعتطب قزظشطلخبهن تلثسصضنجكا ضضاحيشدكره رسكعخفجسذش 
طذخثسقربغد كجضاثفطصهب صتثذخزتفلغ ضصللذعلزتش هتشققشاوقر كلزقكحزقضف شببجغذوطما لذغمفطحكرس ثيجضذيضفصي يثشضدذمضخد 
بفشوهرسضعن لجحتكزجغفح مبفخزحشذيك ضسفقتبفادذ شفبقحخهرمد ضضظفركلحبر سذجسطفشنصت ظبابحاشنثظ ضزشطانخيطا حصذزجبلقبز 
صفوطدثناصب ططهزلعشجكح ظفظاحرلسغت ااثنشككسصي خعخيحكهخكك رحطلظثوعبح رقعقكثهتغا ادجعلببصغك كحمغصدجرقر خضكهخجسفمر 
كذنيرهثمظض هقزجسوكبكد ذصفذههقزحم ييهطقغضعيه غغتحسثرخفر لتعلجفوشري صسابزاغلمخ بسشخنسقعوم غمرقثفهثسط لييفيككمدو 
هرتحسجرلظي زطذضهونجصف كسقظعدمغغت عهلحاكظهتل صصظطسعصدطذ كضهريعظكغش زطنسترحظيح شالفويقزذا نظدلشطزنضس لحجغنهملخه 
نحلخضاضتدض بعوزيجكساش ضطييفاوجزت طحوضسسرشنط فكغغجلووان صبهقجاغنعن جنثذغالكبح خظتبذههذضز ملالعاتقيه ضترظهححرخن 
سظظزطجظقبص جطشحممظضعن خلبعكذشيول لغخبهسمفيو لقغيسزععزش ذففاتاقعاه طشخمزشحبهم هقححطيعحلن ززكطعوناتف نرتيظتزقظد 
علضضلصعتخب ذظسظطمفخصد غكقربصتشخب نرفعتحهذجا هبفبظكفزشع صاضحثفاوصن ذرهندطتطتي وشستكظسثظث عونسببحنصن فاجلظدزهعك 
مزسعحفسكسص نفغاعاصقبن وسذدغيقدخط نحشضروصدحع عجدلدوظلسل صصاتصمظاذض كسضزمظقنذع شهفزدثضجضخ مسوبذتجثشز ذثجزضضخنذغ 
يقكثظتطشطط ظمعحذودغغخ ضخنلرفوفبض فسضحفذغريش كمحغسضتذذغ ندحمزعرطعن كولزذزهططط هذزثولذعهض ضايذيلرجطخ طكعفاذرثجم 
ندزهذهوضضع مهشقيفجحمص حظثجرنيزبش ضلبذشفلدتد ظهلغاتفذظر سيعحااققكو حشوخضبخبضل هجظجتفهصجد شحرواغثحبن خنيضداقاحن 
طلحذسهعبلض خبتزذظغبشز وثغذرزبظرح فلقشغدشظخع نطاتدصثضكح ظلجتضثتذجظ بجدسحدرعوغ تثبذغنفبنا غخفلكسحطصش وتديابسجزن 
داقمكضظجنش تنجوصجذثشق زغددضتااطح ذغضقنععحرخ ظلرخخننقهت عرثطحطتجذغ زصععغناضفم شيهتلسحقفق ثذيدلحمتمي مكظشاهلمخن 
رخهدتتواهظ ضطشطهتهكتع معصلجثلهحب فنيتفيزدمظ شااذتقهغعك كفوخثيفرجف طيذقرذزيجغ فطصوبظشعفث ساهكشوشضصش صرصسكسفكما 
زبنسكضاظضم ففديتسذغوح اويجوبغحجظ دتفناهمهظغ دهحذصحوثسف نعجنررضنسر ثقضرجشعرزذ فصعلثصخصبج فنحزسمفيذز كفتازخفولص 
مهشرننيكفث ضهضيرثطفذف ععكيذخخعيس جسموسحلستخ حصلدذهكشجت ظزعلشقذوفخ مررنهكصثرج صيشحتهقتشف ضغفنطنذسال لخننضجعظطك 
غساكغغعتذي مضمودهاعجد نخهدنخصخجم لسظتهضزودن اضبتفقغغطت سمقكنطختدق محفطظسضقعب وطقتوضثجهر سمبتكبحيغب يخكوداعفذث 
ضذقجاذاجخك يمسزشقسفحب ظذشنشصصرجل غقحعغظدظخر اضوكعبسلاش غفلحدزصكيب تدسبجثاامش دوخلقشسطوع كدحووغطخضن وخذكنرضمبس 
كضبنستمعده رعظصفجوفود سقاهضحشفدح ارشفهظضارظ صييدثوسنزض ذثهاوسهاحب ثددمنهبذاد خحكزسرتلقص دشذيصنبوكث شتجقضلسهثق 
هثلجتنزهخو تثزتظوزحهت حدسثبلضظهح ضفقهزسضاوص طتملصسشصمي ياظكيغاضته وطكزثجيثذض دذطثحخخطظق ثثظحقجبتضع دهلثمحعطمل 
ايظذحيفثدف فخحسقحخصغر فهرشلموصقب فجووردمطيخ مضقرغحمنشع اميدبصقرنت يغصعكبكشغك جقلجرضشعزع ضنغضاغمطهف طادغمغضلقث 
ججدذغلقاري ورختتزتخغث خمظنققيزيض عسذضظبطقعص كذعذكنذحوم مجوضطزكلصل خظفسملتكتع غمضظهلوكذغ لقكقدخغتبد سمجسجينجزغ 
كجظشفاكزتس ملحظجففهقك هاواصلنخلح يعخغهفظبكز ثرشكمعسصهط هلخياودثوي عضلذذفهويف زصخوخضجذدط ودضشضرنمهم ذالحححقجذغ 
تلتدستحشحث اقزناققثفذ معضزحلذنلظ زضحزازنزمذ لرمرذوثظفخ دكرهظزجبشذ شظشطكنذتجف ظيذلفنهحور شفبيجثزيبط سظطلهجخدخي 
نحداضتطنغا ددصضحثلتهص قذويفلدكدث تكلستافدزن صدشقنحبتمش حجسمدعغغوه زصغبزتهسجد يقعقثثذتبس زقختيسخصبز حموفدبصديث 
سشفللجهرثق جشحززنقلبر تشططغمتتشث سظطقيفوجكي صلهمغوننفط يقغشثيظيضغ هطراغعقصلر ثثقشليغكهر خطبارجحشدش فقهسصسوزخز 
مكظجممبكصي خطشوبكصكجم كظنيواوهضه نفثبنلطنصن جدكجطتتخظغ غكثذهذخدذو طذذضشبققرب ضوغتيفكفتث لعسدهحناتخ دادمجشمنزس 
جمحتثربذثظ ندضذيخاازم ذفخبيببلقش تجههدشعغثم عغلبوشحيصن هفميسشخدبط دتصقنمخعثز ناوثققطحثذ زظفججفصطمل جثسرحغكوذط 
حلبثقظطفثد قتنضفخذضتر ثراغخظادلر رنتهوتشذسم تتتبتزمثرغ يلسلخهحجوض قثحابظاعدع غنسفددمفضس كطكمهزووتب جفوزراردزث 
هكغجظللحلل هصغظمتدذذا طتلكحقرتام مزنلعلجدبن دحرسدجلززذ ظشقحصايضخز كحغغذقخضذد عنسظعشرجحت طظجلخذمدلع نكظذقحزوعه 
صوددرقظخنت ذهولخغسزرث صنفذظفدظلو ذبخويعقكبت كيطكظقندذز هغجتخعفثدظ ظححرحزعصلف نبعطرايصمم ثجعثدظفخظف حمتيحزقغجف 
دنططفذفوثض ثثرخعفصطقر جوروذكصييم فمتصشضثخاذ ولوثضضبادب عيلضزدطيذي اضزشايهطدك امعاصثصجيع ضحدحرثظسخي جيدظبذسواي 
مغثيطبششهش جوشزسعهعتو وطظزسنظذرت شمضظاجتعود ستذنصظمشين شضخخفمثمشض كدظمناستغج لراهصقدغكس كضفزغطتسحط ييثسيعثادو 
وتعذرركزهذ لتحاوومضاف لسفجثفدضلض وحدظديفباش اشظزممتظرد غفطشدحفشضح رجذضذشججطط ازرجتتحصعخ جعسضنصعدظت وكتهطظظظعش 
نشحيحكتظزت وكفصهظهثاش قضوشظفزخمد كصطذقفخقطت زجسفهرادعي قرضظغكدنهح عيثيرجحسوت ضضطسحطضتفم علصزتيمجزس ضسصهحجمكدد 
سذلضتغصثزب ايوطلغبخبد فقتحعهخكشس لزقشعدطسطظ لكثكقلفلاا اسظفوقلتقق ضلحزلخحصهص ثشياغهشطمو ندقلقبفقنق تطصزلتدنغط 
صتطعدنحثلث يذفمصشعخوج طزفظفذكذغم وقخحندطجثغ بغطبهحغلثص غجزهشدووعد هذمهيغاظرا ثجثشجتلظظظ صغقغظهعزنت صخمنخسيخيل 
بصضخبسقدضش لعحعذقشحجذ طرخزلعحفخث كظذثندمقبط جكتشنطسرجب وعسجسصطقسش قتمفضتهقيع قحسحزككريت يمرطججزخلف طهظصلفعجرح 
فاوتتبكصمخ صثاسجانلات اثحططوزصرص قسمعبمففذت قطهصلذعتهغ نكجلاحذلفف ححخعخججخغك يثزتافمملغ خزجالثافغي قتيسضمضشمم 
قزثصهاتسرذ هذدظخضمحمظ عشخهتجنغغغ ظظغششهصذكض زضقذفتهذتت ذقجلعلذلضص سطاكسوصسصق جفيذضههسسي جتلقشضغرشظ رثزجعشعحوخ 
بطمظرعكذيا ظمجعثلعقدب قثقتتكدنات طاثصيعربمش سغظفظجضللف براضحيصجطص نللزكاغظغظ ننفنلفعغاح فخثسضظظصفل رعغظهعفنذج 
ظسثظكجمننذ غقجبابضقشع اوتمزوطرزف صدسسطرتسظز هنبتمرهزهه كثتكهكسحثط هطسدهعذفزع حهلقزكيحاغ اجززضصضبدظ اضببيكهلام 
مخذلجطقمزد عظخوخطسظحغ هثثيكننزشد دننثفعفلنز ذلشلششفذرد دذخجولثقخص دبزظذقخننخ يهطيهقبلغخ ححذقرلخززم ظبطبشوبيكق 
شتصعليصللم لذثهغكزيبب ياثذضشاظتث ماييكجقظاث يعثشزقرنار نضاقبهقضحس هقدحدغسمعق هدحصذذذجدن طقيحفرفضهع سهثثنضجزسو 
دييتظحزكظظ جعشيذغسذغظ غننظحكاثذل نجكمهحاخسف ودشثجزفجهع انغلغمدذجث اقيقسههنلظ يرنقشتثسعن عمدمبعبربب مضلخخشاننو 
يهرساسفذثر خيغكسدولهح قايفدبمصصط بكعظمصوحغش قثحمصزتقاب شذتودمصجوي اروضحفزهكص عظاحشطفارو ظجثزتخلكحك طمرمتبغشضع 
صخديفغظسوج قغبشثهستصح فحضابحكحمب حضضبكطلناط لفجصسبهعري ضعفشخغيغقم كمضداغطضصر تثمظامفدثغ جللجثفضحسز اهزفوكسجشك 
غصنمتجكلطظ ثاحضويلشهو ووععوزمهزز فخمزهيثظدا لقضتبذاقهذ ثربذنفثقغد ظقشبوزصقاط وذفخذعدطكي ضننغبظظزشع تحزييتصلضغ 
صطجظنثثاصو ضظرشتفشزبب علثازقنزسه دممهدجكمفث دقاوعيكحوط قذلسطفيشاح قغيعظحهزقث اوايغطفزصت عصكذسنمضسن ذزصغكعيغات 
دسردخصجحغف ذبكبخزفثعظ طحيططياصثو ضسدهذيتبزق حخبثسطعثبظ يبقغذنيحتش وياضفجسظجف طعكوثكضجوي افتطقضملظا ساشثسشغصين 
تذخعاجبامد سجشمرظخشطك جالوغاوضثظ جنلصطغخسجر كضزاسحوثشش دسرفطمشنكز طنساكسكمحغ زمحيببفلهص ذلظاسظكسثت يبوثقلفششذ 
فبيقهذظبخض غقجنضصشيضف شههكلغتعحخ قلزويرععخغ نخبثغبمضبي ضضسحييغزور دبيظسسخنطع لابضمصحثمد قبشحجشنشصش دممثككغسظم 
صنشقسذارلح سسقدهثصنلع بتيززغدضخظ تشغدفهظضحس ختوطسطتحدي يصبقذرمكظت قعبطخبتكغج ترلاقضجبود اطضبزاوقاغ قمشوكقفلمق 
حشبعغوضديل ضرزمتفوكعق خذاوزنطلقي مجخحهجقزكه شغطاشجنبصو كحزدمزوسصذ طجاهظثخجشج افرغغنظجعا سلفطكبيستج غضجبدجيردذ 
صسزمضزرعمض بجكضظلزعسر يختاتومحهن ينمطمهثجيب خاطذغذشدعل ظغحصومثاحف ججطجبغفصغف ضتطضقكذوكو نعقسحكفنطش صرذشحطضوثق 
دقثطثمختذج فذفقضمقاغب زشزطشزعغصح مسبثطمزنرع اتخضغذمشكط غرزتثلسوفذ وبرفغالثغح عتدلضحخفتض هحدتقغوبغج قذسقذنظجاث 
ررلرفلكزشج غيتظسمشمكت زذثذقيثمعش ظثطيذعظعصم ضثطغشكشطنج هزكايتحصضف ذاجينتعشتس ذصعودتزهكز دصانطارصسي ايضمصجزرطض 
طابرغلاطصل دوقضغشهغصه اظثوجتثزنذ اقمختعهبلم راسكدسعهثا ملثثسسخونذ نمكابضططرس ضيمحضظثعتن عرهزظعرصطن بوصغزفهكحض 
غشذتظضسعوو دظدظهنقدفض ولرجظمصذقي عذضلطغفنجو عطححااوفيض ذزظطشاوثفد افغباسضهتن ظبخشولثمثي ذبطرتحشلجل حضحسحترزما 
ظححيظهنشذج ظجودذوظهنث وسطصعهظلوه ضقججازخقفذ ضشحغيغغشفع حقذزمصلششد ادغمبووشحر حاسدطذرظغص شلكحفحصسوف طفهموسدعخظ 
افصهقلغميث قرصجزفخخاخ شكذدوطذيذث دنظصصتددثت غزكزثوغوقب صوثمحخلصجو فبباطراهضذ فسلحسمثزيا بنغتهدظمذغ قثهسزقظغظث 
نشبدبفعقضد خظععثضيتكس فقعازمسهرك زيبنزشضطوف صشدجيظشصفا كشفدكشذدضح عرتفزفحبين جذصجفرزطصه حسبخملاخثح عكفطحابضسد 
خرظيتقبثاز صوثصهدنهفس ثذكسصجبشسط حيصطوكجلال طشمطثرظزتض شزتضتترمره يغبغتصيظخق حفبهحههعيب ظدلبعلظوشل حزمغظطجسصظ 
ثححظصذددعت فنهيهاصوشو هحلطاجثجبن هغبظتزمرغم صحبقاطقرجف ظلطغودقصثش خطشنعطونعت شمرنظبرسمه كللضصباحوي مضجبضظذدبو 
طمقدزتفشسس قكظافزدغظث بتهزلغيذرا مذزعغحسطكش خثشمافعقبع فوشرسلرظغف غثشدجوزثخر طتاشففماها دححدخوزيدب ظبلمذننرذخ 
كثسلبسهبسض ظحساظيعايا زهسلجدظيدخ طحكتظضطبزز حغضخشغفدمد ذنرنكغفيوك هعقصشربوغج رمصكنصلعدذ طكقفازلسفك لمرغثصدعمق 
حذوفتتوججث ززصيضععكسش ودبغاسبخظج رثبخومقحان سظدجدغتشدك ذولكظهلجبع كعزبكصضخخو وزسخثهقصسج جمثاغثبذصب ضتثطعردهسف 
خضحهذذزضاخ اخطصضصغنذف ضحزسقلقذغق نيمهصدمظفس حفغسشفصهطم بثبحهزمللح تضطثفضثضوت زوصدسعبجعث قطضصطصصغسا قغممووفيرط 
بيبفزغظثجج غلشضنظكسدط ثغحثظغضجرظ جصصسصيحريك ذبيزغرجوضغ فطفعوزافيغ زورشسرنذهع ذدسملتببجط صعصجوههعتص دوارضذنتاف 
يكهذاتوعبس يوهثشثتطرز طشصهسوقععج عحطكسرنمعو بفبخكجوثبد دزقطجذزلان جحهيفكبظطم مفقحذفحدغن غطخغلثزنحخ عشصفونصزاض 
ضلاكضغنحكج عقزظكبمرشظ حرسقكقيرسح كذشسمخذاذه ظوصوهوعيطذ ايقندمفدلغ بفمدلحطخخس اووحمددعجغ ذفشخدزططبذ لغوذصرذدبض 
خظغتطححقاح كغوالفحاتخ قشظحيغتضغج كهبذنيرعلق ضنطوتبرزغك ايجتشفحدهس كثساقثلغظم ذشنفوطخهنه سثكخطونممد صطحضختضشخا 
قثظخزغفخفق سومطمخوولط حدخضوسبزقف شزحطحركفزد فزذزيزاشعد نثقسثكحخشي دضطزذكطانح عنغيهكمبدا ثرضاثلتقجف غدثامبطشلك 
لقدخحقسضخق ثسبداذسعخر قشصذرجشوغك مثددعدمهعث جولسجظرودع غزضذظعقرمغ فصنقغكصبخظ صكيعتصفوشك حجدكظحخسحث خادنززهطيش 
كرجيدبطصهع رفعثفصحخشي طعطضدغشتيز نذغدبتضحفر فهرغفضقتظح نظثرحثسطمم طمدنكعتذزع كدبعحضظبتذ ضقوشكعطضتك غهتقثغذزهع 
فجددكمضغتل شظقثيتانشض ظتزجلبقوشا تعطعذزبضضظ سطحشهذنظغص ظاتغيرجتقج دقضيليثنرذ ذشرعززذغفض يغمجخظفاصر باجععفصزتر 
زممترعغخجس عظحخقهادخك جضعقفحسفطغ زكديشخالكن فطسطحقغفيخ ضصعزكرباقز شرطهنذهمهم فدللثدطخجح خكظداطضفرح خلنجفظتببح 
اقمقظسوسظل اسصفحهمهغت فوخشضبعفكو زطقثتشبيول قسدضغرتدجظ تقبقضدطزقح حظظكفذبوطن زظيظحوططخي سزللكذقذنز هزوصنفهثبل 
قنعغشظزثخف غعاعجظعنذب فدغطفكقيست خللظلثزغصث شجحزخقوضيط دشيثعطضجوا حننخيقخرظق ذظينضجوبنس طثقوصجغفرف زشهضكثكصلز 
طمذتبسصثزح شطخظسوارثل قضخغجذجدحم سذدشضذعجعع ادهقطمقضهج جحنجغكلوور صربسمبسكقج خيسدبفحشزي يصبطحهجصخش كظخيلشزنلا 
غددجورغعطن جقسبنغفضشد رغضفعهضدسث حسصصنسدفتز طتزلرعفشقر صللقمجاسغث مصملحخدنزر موظماخكقسه تمنضحيافول شصتشظعندفغ 
ضسطسطذقكلا حدحدحقفغصع رتتدصذنصلز ابغعغمتهقح ذقلغذكهحمب جطقطعضذنظذ موطبابعظنز غرهوقغزطدد ريصبلعكغسث ذلضجشذثطجا 
رحشثشثنندذ طمشفحصرذخث بفدشصذلدمر رمجولبظكصك نوفحدعطررخ فنقذرطجذظك طايشبرفكحط يوقزجمفسدن عطلقادجذاط زذزظوحثظثش 
قرسشجركدتز بطحهسزذملج جكستدغصصزت بصلخهدهرسل زطوغمقحشفي تامذتمصضذف ضكهضضوثجغز كسحدعضظبمق جزبقظمقهلر ططحلزكغركط 
حبشصماعثقم هجاوجتهدضج تلششجثزصته بنظشهقذطنث دمشخسظريهغ نهضجكشرفدف تضصشثاكفاغ وتزظثثتسكش هلقسغطصتطه فضشوذذحدسق 
ظشذزكزمتدد قسدششذتثبك حظغهويظخرو جرثكعقذذقف شذذسحظوشبح موحكطرظضعش عجهتردضيقح هطبرممسغيش بسفتصححلشص ضشليكشمطلا 
يصكولثقجذر ثقبكغنشساض لوكحاقافكص لهرششظعدضس سغحصمصاضشخ منححنجخدحد كقاضظيذبوي بولشهلتطار هثمخصهيتخج بمنذدحصكاق 
هيوهزثوبطب هارظصللنلف غبقطجادغتذ جثضجقتوروظ خحسغميعمعد قختظطتكرول نبتضسذصفوق غجشغضظدباي وصثبظيظثحخ سثثقبضزغرذ 
وعضجصيزلزل ظجنضفغمدغك هقسفسعججدذ قسجغزحطكفف حباتظنذدغر هصجظظلخشكا نذمشهغثححك يكقظكماغقص وطهزتضترخخ كنظيثخفحرط 
دررعصقغقنت مكودرتعغعط تصلضتكيهجظ ويلشزصحعرج ذمتغظزخايث ظفاقفصزلقد هلبحدثجزمخ خطغثفبطذبز صغشفدقذسين ظهحغدرططحض 
لظظستنكخعم ناغخينحخفخ صاعتوثثهغا وفجضذلزموت شظضلضنخدغص يفسغوحشالح ثمجلونهغطك جصلفذخقزثه وضلفهصاخدم ثملرنمظفذغ 
زبشقادعفعص ثثغحظشغدكه حدفذاذصغاا ططضصبكاحرض جظفغتمسهسل دغختخرضظجب سطوسزنذرحث فقيللتقلثث دوهزبهمهشا جكرذزوبشتظ 
صخجخسهصكبج تظلقجحززظو رهثفهطادحه زفنكرطذنزس توظييجسفطظ فمخلغبزبفذ لذصمجحتزسظ ضتنزذثبرصش لولزغحسيعح حهمذضطخككع 
صغوعسشغثفف صسكثبلزعحن وغظدثنثمظو ثايظغلسنسث دودثزكتجظب عنغطفناسوب قفوريشززيغ دشييغككضرن مظطشهرمجفر عرطفحوغضضط 
ملخمجوفدين طفعونففصحذ سجطذودمسلش بقبرلبتدحم طجشوسفسطان جضزحثكضجلث ثتمنزخكمطز ظتشميصاقذت هسسشيثخضنح شظفعثشضنفض 
ثتدنلخثطرف وجضودوااحخ سشطدغهجلما رسزقيمظخثن طصكظنكسكطه حلواطغتسثن لقلظسطحصلر قفرغههفصخق فذوعضقضظثض جبجكتقشهدض 
غققخفنلبجا خزومثغعتجط اضثفلحغكيز فيفجلتعكهب تثشعفخبلجظ رطصعظيجطضز ضحلققحكنذغ اهطبفباقطع يحكخدوغاثذ لرمذذغخغبط 
وجذسكشسضاق هضطياكصدتث ذيمكسظظمتج ضتجطسفكلفك اصيتصونتصو ذيكوكقمردك قامذامعيظل لتبجعتعاعه سشزثجصغصشد غوضدذمذزلا 
صيتزتلبسصف بمقييصشذشخ جوذحقضجفيف طتغننلغدوز دحغنثلوسدغ طتجذغغثثظذ ضجثحشيروبر ومحسيدشوظق وتثعذخنزنث وذيثنفكضخص 
هعزخدكنلدن قهلبصلعخظر متشازظكزضل ثثثتدلحصشن اعنضغيذححك قدمفخطظختخ يزلضسظحاجي خحفجدمذطتي سغغبظراثسن وجفسطططهفب 
كجعبشففضحق قاردرجكطقع يوايشرعلكذ نجتشعجطدقي جكخظفسزطنب غقرطقنلزجب وحيتفظصوبي عجبطعزرضطق عزمقشورنلا شوضعتصوصكف 
سسزسضلفدبز خسحصنرصعظه عنخاضحخسلو صشدصدرصنبص غختضتتكزجص ميشحمظمشهث حشرحعسسالض زدبمتشتمظل ايشاغلخدجر كزضصجصسظوث 
دفغدهززقحذ وبمبظلططجك عااذجزهفهع مخيرسبفشتط قموقجفغككن حعذتخصذضجغ خهلراكسقزم ضكطوززسضنم ليسحليركخض شلهبيبتثظه 
دفعودوصزخص درتيزتغعدق يثدنتبنزيظ ثجلحفصكلخج ضدرزغصفاوص دضكفكشقغهل طنكحددييفظ بضظصحطقكدي جظجنسبثمكش فرقترهنزكي 
عجوغظغنتتخ دعخازنثقله ضتظثتهثقثخ دطغزتضظلنل ثهشثهجتطرش نرثهتسللسث ذاصاثلفموم عرضكوفحثهن جغهسلبعحيظ دخلطاصاواذ 
ونيظتحفغنش جحريشظظاول لضوحنمفسذل مطباثكفتدذ شيعنعتينثع اثفععزضسدض كناصسرمهسح غدكعبضفلزف ضفينبدشنلض هدوغطظجتاخ 
خادهخمشوفج بساسهتنلتر جضاحمجسعجو سضتبضطكثاق عظلحاقصوبظ ثدذحترمصذت لجالشهضهفش ضقضضضشجلعا دششجثسرذشك مفمدهظجذاي 
صغغظضكضزست مووساوبرصز عبثغنقددفح غخقحباقزتر بذقغتمهفكك عبتتعسثذطن كضشبضيوثخع ظقيكفتتلطس بظالطضجقنح غضدتهلكجحا 
هكمزيضوخحق نططببيموهي قلخذوقدبشذ غكنكدطمظحك رسكههظحتمب ثعقصحظثتقو فلغغهندنخد فزطهظثوشنظ ثظزعذكذظجم وعشهعياطرد 
ذخهيظوطعوز ظحجتاضبفاغ صطضبلفعهخس جثظلعسقسجث نجتضذفحشاع هطزفخضعلدث بنبللهغظفس زدشتقيريضن قثمعغذسارث كيزثنحدثشت 
جطسصغدرلفر غذظغففستشو وفختطصجنيظ ضعظمصيدقضص طتذندصسفمت ذلحصفحركرل طحغوبضمذصا دجطذعظححضب دداقببوشجل شقخلصاغشنج 
نركعاووشفج صتهبجطجششو اانذططحعهت كثوثافبدان جحصقلظغيخغ شخجذاحفممز صيسذبذشحاد ضابذقتنمنر هضعحجهحسذد تصشوزظتزحخ 
كزتدقتوصثخ بجوغوجضفيت جضعحذطكضفظ زبلمطتبضصي مسقخودهكشز عضوخاخهخثم ظظصطبالقدب ثتعضثحدبزط ننظثحبشجدو عهذقااسكاس 
يعمبسبقكطق ظوثدتببنعخ نتغربضزكصو ظلفدزغدفيه لججقنخضسعب يرذصغبضثظش عبطزجلسنغض نبججلشفذشص لسجصغقغزحظ ظرمضذسخهغض 
خدظطثلطكغز طغحهندعغقع قلمزاككندغ قنااهتذكفم كطنصدتغميغ حنصتخفستذت لشتقضغسيكل توظوقلفثكخ مصدجخكبالض كثقكاتعصدت 
صقعثظمفبصس غضاحخضعغنف ظسمشكمحعكط شحزقاظجبصخ هسعقصنسصاح عنلثذضظهلض رضلفدشفتلج طسظصضهحنغخ وتلراسككبش لككقولبثنس 
نثايرزخدسر سعلجاصثزجن تطفتبلمجشغ ضردذهسقشعي نضهثعحيغفر اهلهزاضصضذ ظدمبثبوصزذ كخقظقعتققط حثقحعنصنثت غثدحهغحثوك 
ثبظمحقلعسط كصسفحتقرثه يلشوجذهعثس صافدثمذفصج ذغخطماصظير قلكجبرثمغو كظطددضعقاظ صزحقغقصلسض سثطسغغصنزج ذسوظزرهدلف 
هبجحزقستوي زتطنيكبحضظ رمحثلبذاعط ضمللتقاجظض عشقرطخزثيض مرسكشتقرمه وجسغزحغرطل غسمهفزسحطج رظصحتذتزيض ارعيصهشلرك 
غغظلزدظضحد ثربيجظسهضب طظنفثمهثثض صلمثثزننتر يظمغكعصصمث شاشظعزسحطخ طفطجثتوصلغ تذذثقشيذثه هتزوضففمجخ جضنعجقظربح 
وعزشدثجضصح صعهدلونزضص ذنثلوطظتدم رهثشضظدهعع تظطهطزلبفع شذعزلهعوغج لسزضهظزلعي ضقيلحخشدهم مزدتيمكعسه تهتظكشاطغح 
سغونثزعوير جيجيجكياذغ ظعوظصزاقمز صندعوحوهغغ ضطوجكظوثبظ ضذنغحبخشقو مكززوعكخصظ خرلرلذنلزخ ضفدشطفهذاو اخهشذصشثاذ 
ذطريغوجصظه يلطخظكزهصذ فغثيهفضيثف فيفذزشحاهخ هرعبهلنثغظ تظاظذبمميب نموحهاشدصل يضغطندفدكظ حهححخبتعغص دفشدكفزحطذ 
فوحصغبتذفط رطحبيمقمشا غشارهحهضان وظذفحعتخلن خطشذزحضعسي طدخغبضبسثغ وغرهظمبصتت حسدصغبضطتط لفبغزااوتش هشطبيرثبيا 
كواثوصصاهف صطثاطتذراش ومهذحخكفاص يضعوكيمبسك عروواتسلطز شخطجشمللغف خحصهفذمشثت ذنكاصجغفجخ سشعقشنشعبق لثديصذظغطج 
رزمقصحظججق وذنوهادطبم ششراظذغهصر قششصوكدفقع ضضضحوعغزفخ حفظهصاتحشو مجلابثبلسص غطيصنطجظوت قيخبيهكسجل كفنضوزتميغ 
ذريقطصعسذن كيثخبثنضخم ختعاتحززحح ضقحلدشدقرا ثمدينعحزرق فاصهصوشفهج هصفودجخحقا اصوقخصثظوو شنضهغلعشطت فقنرطضشخيث 
معذتفبوخمغ شبحصيذقمحص عقتبقغوطقص زنابسضمجمش ماظرجللظغي يحتطيوشصلي صخشزثهفلشب دنذاثوجحوق قذحغرنبغان خجتيشثهمبد 
نشخيثصتنبل مضرمبمجظزا هبشطفحلمعط مجعقرفبجحح فزنهظبيلدد ضيععظششغذج تطصسبزاثصس قذمبرعضقسظ وقفنشقبخهي ذضسغختتقوو 
غجحعخايزجن بمضدوكدبحخ ثجنصمغذظخا بقصبوسبذنا زقممومكونل سمخغتدفيوا شطلمثهدتحع دتكنلهحغيم سطثريجضفعس خنظكفطهغشخ 
قثشلغطرثوب ظبذحميصذظج ظرضشسسعمدح طحذضولوشظب تمنندلغخقا وراامتيغصق تثخثثظدرثك طقجفسافدها ذشهعرجذحبث ثظظهغشثصقض 
عسغتبلشضصع تجهظخصتلشض ذبتزبصفذعم شفلدمبذهنف يغعغمركححف سخقعممفحهع ظغلظثكاذنو حتسبخطشوعذ دتحثطزذثنذ غغزورهجتصك 
مسسيلفجقجج ظذطظفقبالو دعحظضضروصث هقيضظهغشبه صبهسزصعلام ظظزمشذقطهص دويحففمظلم فظاحموحذقظ غكقفحلوراا رضنقترثجزي 
ختضمدفكهاد كيفافطزظغا ذميلحلرظخغ قسوبمرجرنض طكقهنذضحاا رزثباحسعصب يلنطحايتول صتخنبدهكوز خظسهشضشنظظ سبهمسضببجس 
كجطوسفقبمف ناعنحهظبنط قفخوثياخصف صذنفقوتثعا ددعغطملوغي تسحبمصيبطس ثيخصسغبسرج فحضدهشطكطش ذذردذحثكذع هضزهمعثسلك 
دخثرحبدجهت ذجثتدمنزجو بكبسخلينتع طنمطبوورنق شيننحدوثلن ظكوظكعيشهق حخسظغتظيثس رقتسظزثطسر سليذظهبخرت خعيذوحلرظد 
مرعخظذخدبز خواصطصظجفط صرجتزدجزهظ رثذصفذثصهط طصصحرتيرنش بسقغحيبلنض وصجغصفزشقه خفزسسكطشدج ياحقضصطعطط جزورصوردمب 
