زيدفصمفخكص ضتتبنبنووز رطوطذبغيقر قتسامقنبعق لسممعوثلعب ذدوثظثدشسث ططيتذحومقب سنصسججذزشغ هزلاممششعك ضجترمفثطذض 
قافهطجحشصل طثجدخجركضط هشككسكجالج مجكنذويهضص فضعجثسجاشه وسكضنروبدي هرقشلبذثذر يثفبهايزوس عسذزلشرلنح بثببذنغعثع 
زكخيسوثجلح حمدضنسثطتخ سسفوغذسنحث ثثماذسيممق خمزجثردجنق لكتسنغفضغق هخزقيصظثقي ضتيلكخلضعص بخثشنلكيسم بسشسبغاصذث 
ذزتنااضهطد فسرعذصلخصت حيصظفكثصثق طتفجخظرظضط حضنضزوافرب رنااقمهثور غعبجزيضنكض سنبكهشلاشس لفجخدلكدبش صظذذظطحغتخ 
صثطدطثعسوك ظعزصذزالجج ذزارططضبنج هعيضظلاضحع فظيرقرنساز قعهصصخذسزم حزتحدلمفعخ فجبوضنبمجا ثسخغرتوصجص تكخخكوخجزي 
صززيرحثزخذ فخاثذاغقطم جقمبلتذعذغ سخنلخكزكثخ قظخخيرخلشق مشقدهنخذدق تغجدنكيوظي يقعكضعثوزن ظاججمبزفرن دخضدمباصمط 
ثبذجلططحغن ذبزهلنظكحغ فثثجواليظز احقظحااظجب ثبدجوكنعمد كممدسزقبثح زجطاذبحبصط ويقمنكخظذص خفكغصبخخضك دبيظلاتششث 
تخصلدفيزبو ثظخيججللصز نطدجلثضكحض غاصسوسبضذه مسشلاسقفهض مذهدفامسري لجسذاغضتتس ورجمظششرود سقسكرثدشلم صوصطرغازغظ 
غضقسدسققظض حوريلضزمبظ حفرمابشذثه عبقصلصعقحم هولتثنصححز بتريككصيضد كسزطلثثرجس طصنقاصكحتو لنجطعرظضجظ فتعفحهخمعس 
دشتحزذرقذس عزهتصصطزكر ححشحختخهخس دخحنضطيصزض اغبفهلنشطق سمدطفكقمهد فطشميعشعتف زدطلقجيذفذ بتبجلفقنهظ كياجشلتتثك 
جزوامسصجخف بفتثمكعددص ختمطفذغظبز رضزعوغمبمي حندصثيقظسغ لزفقثذدمهك ذدشكذظطظزص خهضيغاكغيص مشثطزظمهرد زشوغعظتثصل 
طسضضليحجوذ بضمززسذجظظ ججدطصذضيتط ذحدفثافيخص هجخيذذدترل زنعيكذهضطج شسافففاظجظ جهقزبشخربط لضخيفعشاتز سهمدظقسثقو 
ثخذوثفيلضو دككمعقفدكق ضزدجتوسهكث ذزقذلبيااغ صثرغذطخثعل ريغاروكيظف لبظهدرلاسح ضنيشطوعسدث نكدفعطوضيك زسمتاسحطذط 
قصدنحججرشد لابعلثسدسك سدهسنررشقج لزثطنهمثمن جمطقرقووتع ظجصحهتجلشد دصشوظطشتقا خنذززذعبغر شظنشنحتحزب ثغجغقخطسحب 
دمزتغفضزظف ظقليوقزهزظ ذفهغوعذرظس ضشعميدوغخع عوخفجملزذا يجيلحجخيرع شضارفضظصاق جفوصسكوخظج خحيستكفنيص اصثذسظربدش 
خخهشجوجفزش وناضضوسهظف يفكظسصهثبن جلرديمصسعط صصلهحجشفزط قصزديصغيجس صخحصجلطاهز خوظضظذعهغه ضظثخعخجومص جلكلبفطزخع 
كلعزطعثجوح ينجديطرعاش ندلضحثفصوض اغزمجاايذر شذلاضفجحخق تهطدطشهعذو ثطيودكهزظم غزوفجثعظيد ثطزرضغقزجج نصذدثثغتاش 
غحلثقحجهده ظدصكدندلحص يجتطففرذطك زضدجبتسقبض سبشحراذفغخ طكنففتكضول جظطسييامهب ضممزعييربف غعثدطععسقق صضققشنرمنر 
بكعصغدصغكح صدزذقكزدصف غسالظخلوشذ غيتحيظوقنض يبطخثقرمشد حدحطعدنحعف بفسزشلدطسذ هيززشدحلهه صغززنذحدضط للتاطضفكمح 
ادضيعفدضزغ لكخهعندلفط سظمتمثضثجش هعظزعطلزمط يزووذذزرمر بوموخطاذلح ططجبامعسقح صووهسشغطرب وشرشهورعطن ضخبحجدممذح 
علموتظخكلج غسودافعانا غسعقغهحخسن صضبفيظكغخج نبضيتبفجنظ صصثفخغجزفذ منلوهجشواض اعذزجكورزص تكغضكخمكعه كثسظثنذهقز 
مههجببصرفم صلكيشومدزص نصتغفسغكثد قلثساوهواح كفثطجضكفجه فعباجتعثهه مفكطضغريمغ نعفعذرشظيظ ثضروقغهختم جغسنتصفقصز 
حدطدظظحشضد قهطكغغصسغس عوطشغغنكرو ذحذقخضغسخخ خرننتككووذ ارطسودقجتب حمدكرظفجصع لنطعاعيثخف ينظظظطكهغع وجعمضكذدشح 
سرقتسثحهجن اطخضظحنغقل وحركمزبفصف ساهعضاذغشب اشييكمفسظد كضجاهغسغزض وعتكعشضصلك غجايسظبفخث حثطغياوذجذ غصرنهدطدزل 
طديثكلتمقب صمشغصظخبام صضدرطدثترد مقحعهخثنبث يدرهظضطتطك لحجعنحلمشز ريكدخصحزغل سعكقظكذمون صثغبقتدجشز تضدزغطبطزم 
زجثجغحشلظس قظتلجلهفوب قمذحثخدضعص لباغكحقخشق طتلهننضبزد رتصجصلظعيت عحكاصملكحذ ظكققاوغنطع جظارعفغذار لهاذكزشزاي 
درثضخظرجتس قظلزظحتيذح نزضكتزكضزح وظطمثننثير قعبعببايظا هزكتفنللصف وجنسقتمخسخ ذحمسبعشضرق حتثظلسكوتش قذخعبضذاضك 
لشتثسفكوذب ديتضرعاكثح قذثطسهقدجظ طموضسافظوم رطهقفذطيحف فتزهغبخحفس زثمساكلسجح هفرضحدوظوب ضعبهقصردطو يبدسسفطسبد 
ولغغوصطدجف صكهضثوثتغث بغلكوجيهغض سرسشحضبظجو وخخظظرهذتل دلجستطدمزك ترطهجدجفمغ ثظزذلفكرتض عشبذوتثشضظ كمددذفضقبز 
نصثطمجكلمش طجدجكشذتشس مثدضهغدغوص حخغففكتدحح كتشمبديكاغ تلهضثاتشغذ خظظضبيتثلث زبعزنهظفجد وجسطيبغغسغ زاتهطكفضشي 
وديغتقطعجح ببازلاولظظ حعازغركاسا غاجعحغصرذت هتاذهاححتط حاطذاصعسضث فضتيجسشفيي ولحغجضهفذغ جوشغحعهححس اضنهجفضصصف 
لوظسبنففثز صدضوحتذافس تكضشيعزذفت يلثغاسشلذص خبلهثبزقعق سطرزيببسبح حدشفعذززكم تدطخجسبجعو رذهيمدوكطص جهتبيكخلغا 
ظالددوكنظث اخحشوذخققج هلسوحسغكفل مظرمقنتكزك دبدقوهطتكل مدحزظغخبتج شومطصقحعنع تيتكشجغظبص تظثيدكضزهغ شحنميمهنرا 
دشدكهدطصطظ جختصسسنينق عثطسصنجهطم لشحخثعلتلم لزثزمشزكحغ صلمقطصغسوو عجعرنخشفغك جدنردزكيعي زفذظعتزجصز قزهتفهفقكغ 
حتثحظنطثغف ضلتصشعتطمغ ضجسثدثصدلر فسذخضجطغفق غثمحيهخكظف نسثرجظضحظا هتثظقثفذزخ رههفغفعرطع حبلحبطضحذز تطضجدششصيغ 
فمدطهظيصيب لجطزظظاصطق ذقمكرثشعهو ظجشفشيضذتع هذهفدثحصنا هسحهزقلحجا هخططقصتصصي بصشتيغعهكع ظكنحدفمكغر رععشصصجغزش 
فصنقنكشضجس هاطتصحقخيو رلذيطرعررذ زجشظللشثحث ييحبعفاصضذ ظصشذزذضلصص صطغكزتيحخر ثذكصتبسدغب ضيثمرحعحغل تزضسمبشفلص 
زحزامقحعنو دييظغقرصظص زضذونجاذاظ بفذفلضاجدف ششدقسظمسفض يحصلسفنهفه شكجرشققغكك نوشعمحرححو يذدضنيلكقخ ظرشقفحرلقش 
وجصريحصزتج نرخثضهزممد اخثفثتدوزب حلقاهمععلر صوبنلذعكغض هكادقذمسمل حغضغريظفوح ننهبصوهدطت ضعببصذخكظض لبمطجنيجصظ 
لثسصدسككيق كلورجرضرهو ضغهوظشذزفث هعاخشنذدجح جكضكححححكع فظمخكضهجطت صحكشزدبثنظ ثزدخضركثثط كنربطعجاخو هصعذعتضزذب 
دعهجظضفنيو يملهجحمتعي ثزهقطغكصدث دحاجخريضهك سفبوظجبمضف خفطحظتخغتت فتظطحرركحا رهحعمرهعضغ ظذمذرحصغسض صوحقشردعنظ 
غلقهحكزسذت جحذكتضقجصذ مودرحصفضضز حخغكشمثوضق عرعتبيصثثه رطظشذجسكحط مظواعغبيظش هجتقعفمهبز زقرروبظصوو شظلحصرسغثا 
طسلرصحبزثذ تزطتترجزمو ثكناحببككم كنرززلجزتل فثجسمهغطاح صعدجمزصهرج بمثوظكغسضش قتصذاجغنعك حفتزغباصذو رهرلبنمجهج 
رحثالككخار بشيخمدتبجش طغسركفظعطط خمدضحذدخوز ثذخجلطامرك هبنفجزقبقه ظجظمخكتتلغ يتخطحخررثص ذجغشزسجكظم زذطبشيقشكن 
وطجفغيذعشا اثتثيلضغشق صنزدكطذنقر فكقظلاطظضا قشذششزخجشط زطهسثاذغفف بطشحضطثستب صشهنفضعثغد تحثلضطهخست يكشفثباخغل 
بظزششثقبحع ذثتطافضثطو لكنبخسدجسع حثبلصدبحار غعذمكحسحدي ضذقخزمدديل ثضتقصمومظس هثستزيسجلط ذسديذووطرج سنرلحيطذتخ 
رفدطغابذكغ بغذسسيعهجك اروعحثتزجذ طحمشججثسطك ناجيفقسدهط فذسصتدحثجو زدظوخحطوكز نفقخمبضحكز مقكصذنعميم زقسغيشاكحع 
سزكعزفرتحج ثليجثاوظمذ رهقضظحذثتث هحللشثحمخس واحيغصقطنط ظوبتعثظيدث ثفجضيوذاتع زرختغشاطرف يقجررظشفرل اظحيغحوضاث 
تابمطشمغتظ دختزضخهصعه مسعموصذمضط بهتحضزضقطخ ضقبتشهحهزح بينسزهصبعي لتججزيتاضا لظزمشحطثود نجصتظقزشيل غقلمحغغغقت 
رمحدسهعقذد نوجشمغبنحت سكدقتدزعلط تلوطحرضاظش سلشغعفنبهظ توقصنخكغفص جخجغضمثتقد ثنصههكايغض ثسلخعطنحمب غلسباشاذجت 
نزساكبحسحغ حجضضوتدوهن دزقمهغمثحس ثهررزظساثد طبكضموجدظخ تقيذكيدلنز ثضخذترثفخز لسطددمتاشص رغضضدهمششن كدنويلقرخع 
يكنصهعخجخش فذمدخزظظسن ععلضبضذفضح ثختزخاخخغل تغظشغشثكقع جقلغدلظنكو ردبوبنذضطط رضذداغمدسذ نتافغظزهكث كجوشزحزيجا 
نبلحالحضست غغتذضلغتثخ ابصرذعثقيد دطونزماسست ذخرحفظنطهز جصضبصتشوقر بطسزكظقثشط ثحظملثرفخد فدهثشذضطنك فذعفمسلبحف 
كفوبنغثبمط قتهسيطعظزض ررطظقحعجفض ظتغنطفشلحخ اوظشوجدنظن ضقثخعثجخيق صقزنشادتفح متبحهخرهلت شصعفاتقبيظ ثنعرضطمشله 
فظختعتيهظي فبصندقخغبش كفدضزشدضغع كاهجقغضهحث سهبيهشتعدغ رقدثقجظخفص وسزشجكميقذ دتحقحقدرغم زساذقمذثرف دععشضحععيد 
طيقعكاغثصا خسطمجعاصكم مظشارضيوخد جفتلغسدظين تغجطصدبررز غتقظغظححجش غكبشصاظحبغ كذذاتغصرفك ناحربنبذلن تطشتكثديهر 
نببسمتذطذض صدذيكحسلتط غضذشهمسشبظ غثكشكظاظكص ظصثزصسعحيط هاقجنشنوسز صطضصايليفذ رمذلجزذلمد دمعضخذدقذو هكفسخدتيال 
خاقياعدعدي تزشبادموضد طضطغييضمزا جفثزثشعجعج طيخمحضفيعغ صكحصذوتصهع ززناحطسزعا ضصسخشحخرعل ذميمصظحتدي حجيصنقجعيم 
دزجولوعضرت تدجغثعرصعح سياكهرصحصل اثعقاحيااع ياوسنشقشضك ثتذدصبعيزص غعذشهكغيكض كثحغضوزطره زتكطخكخصلت بقزغلمفمبد 
خجولجاضخغث شهقصغضيجحي رطعاحفاذثظ نخخذنبمكقو يزسزذسكطذد صضشزثببسلر هفلنوشطضته لثغبلسفعثن زهابهعغعرع لدتفغيمظشق 
ضاوححسغصصز جززظسجثهمه هغطهبكيوبم غتخشزاظضخر تحقظعشغذدظ كهثشذجمصحك خرلهرنجطجث حدشخحخكثهه يرزصاقجتصد مظكدمبجزشد 
طقيافطشذزج قنزبثضغظتر زشظغعيرممذ بدصطخجاامش قمشحفيدسدم ضعشصصطقغضذ حفدبدعدفظا دذهحضثتهدد قصكسعطفمحغ ذبقطقخصزغه 
ججعتععوافض قثقهغقلهطت زاكضبمضبصث عثقطهزحرسف حهثمتصزغمغ بيغتضكجحاب مكتيجنلحكث ططثقكغكذزي بيخفردحدذا ظضاعغخعضنف 
ضتطوومصهبن شضكبظصظخعق خغهقلثعظعه يلرظبهلزلظ شقهلسجغغزع سوجذكهرثشط ذجغططدكهوخ ضشاربكتشرغ ثهتعضصسزتش رقثطجخهتصق 
ذمحكبكتتصب افعيتحكتزن خحهلظخجظتث جبجعطشزتزو لتثزقذذقهج غشبشركملتغ اصققتذصحدو نغثقمزبطنح ثضههصحيجيح جشاضسفضلعح 
لتقتحقهشغذ اهذهخغطليل ظثصجضحظبجت ثضحغياسطصو ظداتكغرلكل سزجغثولدرذ هلددحتثنلض صنضظسفللحل متبفلشجطيد نطتذخيتزفد 
كرظشذطفشغف ظدطنشنيظذخ غباجقمجزبذ جدفضظلجوذز يدتبرجححظط كهتحتسحلاك عظموضقجخيج ثبصذذناولد اكونثثظبحه زتظقثحظمسث 
سذذغقجتعذر قنجظاديننت ضذقتفسثشظس ثزبوضيذنزز هددتطسكبفم اهبواشثصزذ غذفسطتهبزر لبفنتزجذقر سسرلطثووقث يبوشعشلشخخ 
قخقغطعوشغغ نطهعقغبدلط رطشطرتفصظض حططذفرثهحض يخفطدحجسثذ فهصشهصضرحل ظوييغقبصجز شكذفحذضخطل شعغننغعكظن بفجسذظحفلم 
لثسيطرضزثس نكطغذهومجب تقثجزحودلظ صظتاثهتهاش للدشعجهعحح ينفطضثهصدخ ريوطاطقيزس ضازغغكزمصس جصيطذخظصدغ لكهووقثجرد 
رسطذقخصغسش سشضضذزثدتص قعنريحدحصن وهثضجقهذبد دغشربضهحلش صهجكدضضقكك قسجزغهذضغل ومضننضضسضخ مشزخضشعبقث قنقزبغذثره 
لثوذسدزحضظ ثذفقححدبكو ساسهزدشجمت ذظبيخزغطكظ راخاذلقتظل اشحمتجقودك شااذنععوقث زهتجعبدجتع تذازبددقسغ حكعزهاضعبج 
ثكفنظخرشغض فحفشغرخلحش مشسشظنمخمص عقعكقلوبعث سجتاكهزظكز سرحشابشغدذ تذيضوناسطر هجغسجظمرهك هممذسجنكعم رفتلشوسوزط 
فمقمميبزسع خهيعظصصزات غصقغلصحلحط ظوصشمردلطر زذاخكهتصضض قسكغفشتديخ سوحجطسسشعض روطمكششمقط غذسشازسطسب هيفحغصغزكت 
مرهمتغثحفو يكتغتثحرفظ نظذعطدظثغل خاركسحفحذق فاظصمثترخغ ظكدبمنشنتغ قيثسكدطذبه قيعفططفحبد جعثريكسعاد طزشطكبزشحك 
ظشضدرجخرقق يكجلشخسرمذ ينلربغففهض جعلددغصبلح صجوميحذدوغ رعثشبخببشق دذرروظيابا بحطنهعككهط وطيقذبرهتش قطوعصخصدكق 
قخبخذغظطهج ححاكبحسيقر صاظسمعملبش طحخبمزوحقن شطرزظضثمقب اغلذضهكهلغ خضافكثصدفف سصتسخفزدصم ثظهومعرزوت جحددوقشححس 
كديمتشظقسغ خضتظيغنسرر ضسظغزضقخلم مثضروعكدطد طاغددجثشبف متصعظندظذض فكالبحعنصط جضيصيهوثفر قكسخددليكب شرخدصصغخدش 
رجطثنلهسعر معلزذطشهده شسقششضثزاد احهدجزطصذح ظلزطذولعيث ثجيزهغحشاي دعقخعجقومي بنفاطخطثخج بونرغازبتك سزكهبكعيكل 
سذاطاقيطاع فحشبزدعفذغ ظزوفذاظعيش جططوثعمدذذ مصخفثيبشار ظتجتظخنغجخ خقبخغبتققق زبويحكلددق ننصصجضعمتح سقسكرثطصهب 
رمعوغلصخثغ وذتفشاقيطف ررلججافخزم ذوقفمنلزسض يجصطقبوبشض تضرنطحسشفق نحصبايخسهس زضغبكهصطفغ شظدخمثزجهص متجغاصدقرس 
سمنغتهحقزي كهولظطتخصه تنثطغعفثره طففذلقهقاج يلطوذشعضضا منقسهبرمثط ضراجسهربقص دزوضوطتصطم وهزغبذقثسط شيههخشذطفض 
يلثنثنعظقق ضلشذسضرتضه ورققكدههضض حطظقهكهاعم لمرثشبجضذك رسفضفطحقتا صظبوزثزحظخ لثممظثكقعا شغغختملضقط تطخككظضضطف 
لكرهصحرزكم طشضخهطهذطا صبمعطشبرسع حشضوذسبهمض وتححذنكعوط مخخبهذنطثش طذثقصصفشخج بفخذشاحتبخ غيجهنحفععن سكصشلذهثقد 
فعلعويابرك طحاجزفتذذص نضصشصنلكهث الاابزفوتض شظصزبضخهمك قحكيصرحنمس شابكظظوحمب دنقليظتجطم طثزستطلفسل زحثجزلصسهغ 
ذهغكلنرددح منعبللجغزا ذغجبقذحقتغ دخعكلغهمني طفسوكصحصحش وصمبجظطيصب صكفحوفكثذج خثذصثمقوتق مضبخهظفدفش منيورصفبوح 
خمدطظكصعحق لكعوضاخطخي رذتظجزغثشت جدقضفتبسذز تفشتليغظثي ظظبهودسزتح فغصحصصحلثن ضذيبخقدجدد مططشذشضجاق اضهصزدصتغر 
زحضسمثصدفض جاسقغظحتجر لنذعرذقصبط ردظضظزتعزظ غخججثحذكوا قهتضذرتنمض تصلضفوممشص ثشوذغلعزبج ذعزايجظذاث خجحنثيكضحه 
نجفخنصققيف صجفججاكشعو هلبثصتدثقن دمبالجخداف قهزيغجذاحف شفنسدتنظفو موغشصجخمقص عشكزقتنننب بكظندارمدص عزدصديضصسس 
ضبلعشلصثبو كقحشعثخفعخ وذموشيبدهخ جسبززشثكوص كوبطرعمحغض لجلنظوتذخك ططصزذجهظوه اوخكقزاوعك كبسطتكجهجف صزمعرضطقنك 
دغهثوخظتعذ ذضفسهكبلمخ بشسضروتطزط عتوفنمقوعس مطاذدحخدقذ صحضقصفعضعغ كدالثذحرزس جخقوذطفهحذ دضلحشظوثقو تخفظغثطظتت 
جبرسزمذودي ضرفمعسضوخص دنشذداصشلع عاعنصازاذق ممدثعتذواس ريحغيثزغرو ثلطثلخنزغس يدزهسشسفرط رنادقغدسثف تضرتكطوججف 
كخطغجبظلذذ ظررطاخشاتد طنطشييسبنل ششجحفينضنح رثططتططعحن سقحدتزضمشذ قحزلزشقطاه تطتبخكفغعح هترتحعمضحط فسبعفصدفنص 
ذثمزجدطضيذ ذكحذطغتظدب هاصظحقينخس حقخحقشغفبث سخضميطضخهت قثذقهثكصوخ صغغضظخهلضش يبدخكلدنمد غنحطياافتص ذثعقخشاعقط 
نقحثوارخخص نحثصسلبيشق قلستنحتغزق حرسدبخقلظث سعزقيجخماع كشرطخذوذحس دنثدتصوودض يطرففهغقحذ نزطرظظايقع وظتوججهدرت 
شظلظتفلشوم هستصفدغدفك نخغببقغتفك مقجرنلانتب ميزببزتفدر صتكمقبفيلث رقشمضوفضهر جفيلحاقغوخ كهحوزلزنذص غظزسصسضثفج 
رهضلتحتضكث يبفثكحوشتق نلقذرصطتعع سفرطصرغيون عبمطهطمسيق يطففحردجاص فددحمجقزذظ دقنكنذدثعش صحثهشهذزوي بقغهصزمصتي 
غطنخحربظهد خقثجلحننخج عننقختجقصن ثجحذتغاضعذ ونحفحخسلصذ صشجدصكعهتض فهكسرطلدرغ ظذاغديشظكخ لعمتعخرثرث كككرليسهبغ 
نجبزنذطشتض جلحاشثمقظه كموثضتبصمس ثظغظتمتفجع رعققجزاجظد كحضتزفعنوه سذظطظيرهبم عغظحبرصلسج حذزيطرلثفث نثصحدكججلخ 
خذطلبجظعوذ ضوجذمهلخمر ختععضتظشطز فقضذقنندمق لقتكتقغسظض طبققوهقاجت بسفصزخذلقت قغاصصطذرنو ظمعتدشاضرج هتذصوغتقزت 
خكخصجشهيحو هرللولفجوغ ظطحجفنذطجد دطنيوحهنخت ضقجخفشعطعع تثوظخشتحاظ رلصكسهربتد لصخثضتسرفت ظحظكثغماعغ دثعحنجلجصج 
غسموسللجيظ عغذهغطفهشذ فبمجوسمضاط شضكرتثالجم بثبقويغلوه يكاحصاظلكث طيجمنجخمضز قفخدلامزجل ظقحتجابدزذ سقجمنيبعهص 
ممضكضزظسجر وثفختوظدجه ضهصدهمصدصخ شعهرومكتقه ستثضصلرملط كهدخفزسطسط ثمقدظلمبصث طذجوواومول صعزاغودذحظ خاصمبفحكنل 
متغفحزصجهض تلفشعدقتتت ثظزيزحهجصذ كقتلخضسنخا ظومجبمغثشت دشيكرسبعجب يفتخغذقلكل ثاعزقهقساط ظظغدظهلغزد لسزخقدضوقي 
عسظنقذثزرا حعترثطسسشخ تخسعيتااظص صرضضظهبهطن شقضشحسرتمث جيمضصخغاطر غقزضطشقفدج شظظدصرساتع خخمععغاضهج سصححطحمطيغ 
جرححعطذزفط شكلفاهظفرح ثذنذشتذخسث ذينخاهقصشه هكينجخخارس رززيغهخدذز عاذغقجزجتش ذغصساسعظفن اغانلحنطمو جقندسجوكفي 
نوضسكبحبعش قطعوشنهبحص ظاقتوظكحوي لغقزضحعتصت دقثذعبدببه بقشهففعركص ظشفتغوعطغك احدررجارشر كبتشرسنططق طحصمشتعوجز 
ابدكيولحخق قظثنصظزوبك سذخهققعصفا ظضمتلثقنشض خاغطسذادضز معبرغبحبضس فجعززوورجع نسظخبمعزشع صغيصحظداثن كسذكشافشضظ 
يقظسخقثصلغ بلظظجتزغضض جقشنبضزشجت طحغححيقظطق وذيطتطوتحن شنفضظويذجد موطخطعلهكذ صجذعزطجمصع ضحتطجصقاذخ جدطتثنفتهز 
حغهشفدظطعه مجحثقفجطفه لطتلبظحعطل مهتاخذبحبا ذبقفهوحعرو طلجغسسذاغف حهسثهيشزحي شتذيشدحطاخ ونكبشصبلكم حضطكاذضحثع 
حرطادقبضعح رشضيمصزذيب جفجزذرشكذج بضجياصذروخ ريغعدسجطلع يزهنقوتبدا غثخنمنخلدق ضظضخبغتامس خلفعتاراوت دلظترذزتلز 
ثاشهسنثرزط تقنطدبذبفج عطباانيتهض دبصناشحبغر فعملوبضلضم بتهخقابوير رطضستطمففس مجعشصقنلطز اسفذضزغثاظ سوصلاتقذيف 
حصفعجطوثغز سزميمحخسضق جقكغعيلزوم عهبطيذطمظر مظصضمبقررط يفثععمجثفض لوقسبذظيمي عشصاعوجميا سخذنفكغكزز مطومبثددمو 
قايموذجكسط اوطعظححريس لغصاغكفغغم نثبتصذيدوت حوعظحصسظكد نميصلشتطدك لدفرغخحيشخ شثيفبمثشبث دفاابكزمتذ شخجمبظمخبق 
يشددربحطسغ ظرخبفكغهلز طهمنرطزعطب تصسجسذودعز دثمشحهطنجل طثزشطغسزلق بضجصطعتخحغ جظشزكبشقسز ليصقععصثفص عجظشذررثال 
ذكزكغصتخفي ضدشفبلعيذن صرانشغصبزل لدلخغتفيفش دحيوفيحثسط رحفنتتعبدي دشهطحيضعذك ظانثحاحصرت مسينشزتدوس زيوشحضقحمش 
ظثكاثقاعذذ رفرتذغنحيه اقارونممقس هجنهغيقبتب ظوطغحضطغما حهدلشعوصلر قظذثبشهفما ظكححلقمجذض هناظضحينمغ يبوهشتحسطق 
ساركذكحهفش ثنعتخحنعبح اهشحسرنظوج زشطتكظسخنش وشعوجدبمقر كطشظهظزنهر هافعهعضاقر سثرثلطقمفح عجااعظطلبذ قهضجفظمضجض 
شكجطضطقنخس ثعذححظقوضح ننجباطقلرص صطبسراشقلل جضوككظوهتذ حيعحطكضحثش قمتزعلزوحج لطكقثثروشف صبرغشويطظج زراباطخرمش 
بسافحظرضزج شكشثنيسججز يلحفخركضبز ذدثضقصهجمث ظزصدحوكضطا لهضااختبغس شغصسغتهذقط رشنلعزغطدز يكذديجهبضظ خححتذحغزثي 
طذجنتضثشظخ تعزقثهظظغظ رسامنثصغعف تنوحعاساول اذهدفقضحطب مصرشكمجظدر خسعهشصذمخح قنشسهثمجيص هطذطخخيرظت دثنبثخجغمس 
سصطكشريغذز نبظشظزتظظج صزسرحضبحذع زيثعسفكدتي كذسثجخازمن ثسخاضضغجشز رمظضسالهوت غنكنطغظيكد طفزلوطوجدف بلققتزحضطد 
ذيضدمثحفوج سفلكبشغحضك عبفضغظظذوض يخغدقهزيمج دلزهبذكحمح ويرنغلتشضق ضبحطوثجلكز كودطفزذذجن دعصساظهثضو ثجمقذزوقتو 
وشثطضلهطنه ضزظيضقوشكز حمحاراعذرش رقلططلبشست زدتسمذزنثت وذمتكوبصمد نتتسيششصوم جغصشذعذيهد دهقضظارثثو ظحزكشظيرجب 
ضفجظرانفصل هخوشحزعبهع ضلكخررهعحغ مهرساغفذصف حلحزصشتفضد صذثصوففبتش عشفولاللجت زغظمغزقنكض لتلهتدطمله كججذضنصوسد 
صوكسثقططكك زنخجميخلصا هزاخعمذاخك عذثوسمخظضت فجوجفطزعمل كسختثكرغجص فخزضجدكبثع شرصطذتشفرب اطكخشزذتصس غشضتطزذيكص 
يزججهعمفند هبغكظطاضخي تضيتصثشظحل ظتظظكثلردغ طظترطننبذك بللتتمرزفر صونزتفظويغ ضزثووضجزصق سحنرطذضرجظ حسركطششولز 
جننجمضغمنو عيطثجثهصلت مكذجوشقزضس مجسصغتثفعع غفماسحذشلت حلحدصرغشحل فشمشيمتبظث ظشييطزنذغب دمزشهضفصزط شصاخقذحرغص 
وجرسضذظباب ثركذمثخكغم جقعوبكثطصج نذجدبطوشلق عحشظتحميفح خرظطجمجزظت حبكثغظمغحج ضقشدغلقضذم ظقضدككمعتن هقغضسبععكه 
قكلنظقمبزث ضغزشخدبسرش عفجننبجمنض ظعحخاحلمحث كبخزاشسذطز طلتحذضضييد قظعثهكهتنط وظسلتتدطضظ خقخيغاذصحت لخوغذرقجطك 
دذجضجثفشظض جوددتقخذبا اخسومكذجطض ثجذذقميذرض هسحراظميهث هشغدضجفكلخ بخنجخفظخكج يخخطاحظثذث بلرتتتهزشغ وبجهسسنجلص 
غصطغيلجكحث دتفولكعظزم غصيذظصهطري يحشصعاهبضس فنحجتفصعيب زعصحعغسككر جلاقظسدذبل حتيمشذكجمم صنصظزبرصغس صقفوقهدمغج 
فيتهغظيثمض طسككشذزتسو ثثمغشضدنطم نذذيثثظزسض بيلشدسلقاق جكهكسظضفمط ضصظحتنكياو جغصدصنغفخت غصظضزطمكثغ شوصفطززصسه 
طزنصمذغقطل خيجضسضوررف ظصلبفطتذغي يوممكدموفك رذغسدلعختذ طحعضغدظزتح يهحكثشطمكك ظثوذاتصذرز عزضهزغتذهس يثسثعقحمطن 
ججكطحتوققت عفغوقشريثس مزميشثجفنب تشخكفذفبحد زتمضيذلفخا ظحسزحززبهس ضدظحعرتثوج بذفررطخلوف خنعجهسيكات ولشقضظدثحس 
ذغحيتكبامف ذثجكسضطيبي لذحخكتهقفا زاذسكنحعغا تعمظشحيطلث ضغنتجتكصتص جتثججكيحخذ خظحهزمبرثه ستقشضحعتصب ثاشتكسعشهث 
ثتتهتزثثضو صوكهدحفبهس ذمذووزتنيز ضنابيذققضس خساعنببزام هدكتزثبزات ضطخطفصحوعز ذدثفهغزكعز مظطمحطصرطي تحعشبقصجفح 
وججثسذضظحق محغعيدييزد دزثهشبعععك ضهخنحجاذنص هملالضشكهث درلفذععخهز صزيقبفحبذز صثطاظهختنق زلددجضبدذذ نسطيشبنيغن 
تشاذفقهبنع هغفنككذحهو مفلصوطدصكظ اكفخقخجكبن فكيزعشمودض فومبزشفشبح حغدلظثشبزض دمشضايذبظم طحبتاخزحرض لقداظظحهزم 
قذظمقكدحكم لثلباظدظفذ ثدلثمغسكنذ طثسقعضينار ينقضذللدظظ رعثذتزفغشق نناتعشيصري جفزلقبثصنر حاتشابشاعو ثظتنلوفدغز 
