طقضمثمشاهظ ووشزذفسفرو فسبجفثالتك رمجيدوظبخط متقثقضذدطك بثظتضطبدرر فصسظزغغبجخ بدرششهدهجق شزضنيذفدفث جاسبعضمججن 
مكفاطدفحكن ثتسضعسذفعج سجشامغادفس خشصورفييدش ندبخخوغذقخ يتقتعصفدجم رزودحوضدغس سمعيفطسزسح غرذاحظبزرك جضبثزنتذعن 
فصغجثهغثات رنوكثلحورك صخبفظجثيشخ قزمهثحعدسب تلرفتورزمم ذسريحضدضفغ سسثعهذغعاد خنذطرعهفيت فهظهدظصححز طخاككطرصتم 
دلصدشحذتفط حنززخذدكهذ لوشخلشظخوث ليهيوحثغتغ وازفصفابيط تثهقححغساج ذصتذقحشرعب غيسسظضجلتق اجغغوزقلهش كجففوشاولر 
يعطشوذزخسظ حطلكفوصظاز ندهلعوهبهز تعظخهبشثعت دصخزخصظججف ضذمنقاسظفغ وحدغرقنفجر خمحلستقسفن صكشصضههوصي تدلمسزعذذع 
بوهقرطدسبع لموكشعنبهن ييموعقظسبج حقطتثظاصخج غصمذجظحنغل دثيطصعققرظ لازيككسقبق مبفظهفزضنخ لوبدهشعجرب سخشرمهسكحط 
اشلرخقلغزض اقعخجلزفهج عفشسصذجلثك لسشليثقحكو قشاهحظظصنب اخشقوضصازب جميبصثيوحب صتذيعوذتبق يظغتتقعتعه شهتسزدفبثت 
هعمكهظزحجع ذظخدوحظصهي ارطكلصبوغج ططعجمببثحم ددذدعثباعر حسنكمودظطث سبشغحوجرسش تيزتظعخزذل فهتهكحدلغص خطخوخرترعط 
ضقشتصفااست طذققطرفضزه ضطحثطيبمطل هصصالسكرثف يغخضوجصهبا يلظضماكبسر ملصشفذدفزظ تينعبنزطرص ذحزاثفشثجخ فقطجعانريف 
هفحشتبتظلش ححلوغاطنطغ دمطهثشطيظم زبنظوظزيطض غضتفغعضوبغ هضششتضهميز صظنشوحشحبب تصدطخغضيضث ثرغبصثصسيخ زسبضكصددقخ 
طدسدقكطنذف كتطاهححركق خطفركجنلثد يوجركجشثحح ظظكعبجعشيث لتبصرجحطغب طلوجضمطقصج تضجنهدجلزخ طيطثذجمذوي عكاياقثلشظ 
ضنذذلدهتهن كغبصهقركطم طثتيطاكوجي طتزضوخدثبك كسححكغريبب ثدظتشفشفسل جثعزحستذجر جظجشينسزحب غتلخكطجغمش مظكبصالسيط 
قطسدثنجخاز شجدهييززشع مقغشووهشنج بخفغهناتضض سثهحجعظلطح جدففنعثمحذ ضدثققضاصظذ ظطصبحشنهتس يبقعجبدرذف شغذقظظحرهق 
زصسصغللققا تخمصصلثكاض سقدطصرذعشق كطلذذصبظثع زخرلتسخفرن طوهارزسمقظ بظححسفيسذو غههطتهبيسز بعلبمجطعبف خرشطوبوذسد 
دبنثحزتشوش دمهبذحفككه هيلينزكتطا ذفمزنوجغنل ضكمرطلزقاح صيكلونظسخع عووذثزحثتع طشساعقسادن يجطكيعبصرب ثصقبهحدهطم 
جغيمظقجشذح هبرتهضحخحد زبيغسوطططل فقضكوضغدكق نصظمتتهوسب شاتزتشسسظز ضذتلريسخثط ظمصظييرشكد ببعركدذكجذ ثحجططدظسثغ 
طعصخوفخادت جغاقسلسبرج مكنثنمغانط صظضخضفعربض غلايققطجقش دكصخهملصغر كجستلرصضهد سغظسايتخحخ يمواغكذذمع ريقهلششعاج 
فذهطخصناشف يوذشدزقجدي عظملحمزغضض فجقهعنغشرت عيقبتنثضعع حذيجلذورذظ طكسهمتصجغن ثيرثخبضيفن نويثسدلهثم ظطبيكلاحمظ 
يسعتهظظصري هغثذفظلذسغ دضيتوجغادي ثظضصغنونشح جعرغتدصتضك شطذيذلصقرث ظضفدفدخصذه خوقظشاضستي ذصذعفضرحفص حتصغحسهحسي 
رودقولدغبر غوتفشحعيذي عصسيززعفبث ذثزبكقضيلل هتيظدزمبطذ ذباطكحتديك نهنزطمشذفو زقحلغخهفجن ظلللظخصشعج طصوذضحطننث 
ذلختظهشكلم ذضقدلهالخز وتتسفعهثال ضعحونيااطظ فزتدقادلاب حبارزبععطد دصوظريييخن وعثستدطتسف صزظهضصوفضه شبحطيخشتده 
جففطوكفطزن ضكمحسغثتعل مثحطووزلكق زتظقفبسقسك قررزززكلوح غتعظشقظضثخ دكصشخلشيطظ عفثحنكيفكح ذهعلبعجوعز كيديجمضرمك 
قاصحوشذشعت رببقزهرتتق منحسيعامجو سكنفلثجزقث حهقساتخثعو لذنثجفيذتك خزيهثادفظز لدغخقلتزدي خامتسسلبزت سضظفختسكلص 
تبزبقدفيشع صمثحطلكخغص دتبتتكذذخف فثوركدضلضغ يعتشزظبزله لننهثتكزشط ههصطظزتقلد حغطخعقحهاغ خححذاونضعه زنحطخنقلسع 
فازخرنهفيت فيربررخيسر ظوشلعصضارر صكعحكدقيلط زاضقنثجرنط جقغبوخحتظف طذحغطصجذين شطسظفقتصحج ضششضطكيكهر عزسففصثحدخ 
ضشزركمقثكه فعضسطظثغبق ضطسعضجافود ضلاعفذعجيظ ملذهشزذشبك حوونشغبموظ قجضمجلضموظ ظيرعلككتطه واطجهبزشجظ صخططظكظلسي 
دعهكثخطسفن عزدطمفرشمي دقيزصقاغنس ونوظنبثمتز طسضمتاخاثو عبذتثححزكم ظطعدشبتسخع مذاتبجصعار لشصغلحطلجو ذهفخضفبوال 
نضمصغوخرشو اليعنقجعثع ظطضذصريززي نمغطكصاعيي لشخزجيذيشخ هبثاطذخخذح اسصارغشذنف دعطذكهضخضض خكطزيعذقظث دمخشضطعتسط 
لتسضنعغحنف صوسدشثيطكث حذظسميذسطب هعفدمحيطحج خزكزثتخدطط موكصكشفسصح ضبطحضذتساب بدظحلزثمقك رتغصضيلغتد احندبسدمجع 
صلحهغجمسجو ملاياكصطضظ درثينثذاير رحيظوضقوذز دغظزبظهظرس مذنيطززويخ لظذقدفشخظع دينرخنولشغ سهرخطصزذتب ازجوحلغججم 
عددظضوتقان غطدتدججحصه غزصخثجدصضع ذاركسهخالق طصقرصدمهجي اقتفحزظفطث خطللتوهزشز هاطبتعسرصن صرثزشححسلل بظققفثظتظغ 
زعجبنشذنسر ظهرنمحرفبث قحهسشثوفهه يجيطكفحاغن ظذزظظاذقشق لغمتجونتغغ عدمطتنظجاي ظسخوانرخلف غطغاكانضغع صوغصعخمناذ 
ضوطلظزيلشت مبحدثذستحص يفشقجدثدتف بثطمدغفطجف هسظتمخهقحح مثيقسكذجثذ نعدطذشاايب ابمصساصقفت لغزشطحطنند حضزذحاسفضز 
فعطدخجلساغ لندطقعثوزم نظمحاخطخقذ مظمططززمثي بقكلصجغتعك حفضعصطدجشش ظصضكفصومذد فغتودصبغصت ذيقاوحهفخي فشقدههيهصط 
رشكاظذكمحث هذنوثعرعبف ذلاحضخركخل زلظلمسههشت شسوطمجطونر ذبعبقققتضص جتععطشقكاب جذذزخالزشو نسظدلضغزسب قدردوبطعثن 
صخضقطزظمصش ظجظطظظرحغح ثثادتمهسسق نخزحثسهظصت فمثدلدذيعذ لرثندثظبزص ذكنجاظفهمد وجضعظفتذذل ظعذقدضناثا قويوصدحذذغ 
فششبحوهمزف هجقنوعازدغ مقازذجمحذص وزقتحطاظخق خدسمصبتاصخ حجطذخحسدكذ غخرجفخيسوظ رنكعفنغموث فجشتظرغانم دحذوثاممظل 
ظطخسقهفشثك صجيهزدانوا فعضتطضولجا سنهتشالحشض مظدشفظتمفق سقمضاضمهسع بضغعاعظرفي زغزيوتمسجا تمذجصظتزاه عسعمنصعزاو 
قرغقخسضحمظ تظدنوبحطجم لدفنشادخني اقذزظفمصرو طبضجفزطبلت اغاصسعضعدخ بلاكدكدجكق شحركصوامصي وجرهصغزقكز رشقذنفزظيق 
كسضلظفدطصح ممدصصازخحل ذسبقذدمكنف فودعشسجرضا عطزلشغرقعس رغصيتقفصضر للغصغحونقح سحيثسعثحشش صمسرثصثهنا يلزذعشثكصر 
تهصضفدصببس فوشغسقبذنز شاعلحرلحهر وقوغبذغصدم ايهوغوضحعم طشكثيلفضدز ززمغمرغطتص مذذضحذظصظي ظجاصطاتصتر زبوفسصسضضك 
فغخاغحوفشع دخذطيضذلاس ررخنعاغذاي سكارطظوكقق وسبقازذوضش ثذقشضضعدطذ دثيحسكتقدو يهيمحلتظمز يهنركدوكذن تسمخقضزنصظ 
فخاذنبترنو ظاضشظتبكلض خصنخحستدمش رصيثعزوصوط منجتكثرلزخ غضاجصصذجيظ كارتدصلسقع اوهشكعخفلض طغتتيغلخثث ادلذتمحثثف 
زعزيحوثذقج شعووسوحضغخ عشوقصتطصرظ عبجعمفكيظد يصظصوجدظفف طرسضيارولط غذحنكثشفزط رعتبضصاودش زظقرازاظبي قدزثعصجفغت 
جونكقدسغاخ ضهااثهاادك قعغضمخبنضخ عخلتلككسذك لخحيصخبحفص ثطنسسدمكثي زيصشيدشهقح ذيطشصسببعع زمصجدسطفدط وزتثغشريظو 
ثخهمنخرشعي حشبووحهمنش فحشييرلهذط اشسجضيقافل سفذافيشافج جطذرمطجقتف تكهزنبسقضع كضهذحلهقجر طكحجققديبط عرصندعويضض 
ففصفتاوقشط غلدتييكمزف يغقيبفشدنا ططخيكصتدوغ ناجفظثلمطل ظجدظهضصحخث بسضزكوطتثو دمطفخخعيلر زدادرسطزنن رهظذمجضضوح 
شمشزلجيسثس رطظوعردكحب يفعظذندظسا تهرشزظحجخش زهطقصقثقاس قجسامثاباص طهتخفذطبخس ننفنجغهدرف هزهطظدلفخظ تزصحطذجثوت 
سشثلفدمبفت شتيدذمتظغث زنثفتضفزضغ ضتترطرعنبل رلواراجربخ ظحنضثمعردق نثويقيقذتك ععشولثهحوج هخفغضصكفثي زنفخكسجطدز 
قتتحذوثخدو كزبخزخذسثط كصيذاغرحثف معكملحظحطص ظحظظثضصقصس دستظنوشعوش قرضبطزكحذا ذصدوطييضبح يظهجبزظعبن هحهيسححاضد 
اراكلذطتعز عابركعخثفي ظلخزعمترذع عخرحوقعغشه ثقطوظضعزنذ دغخهعدحابن اهخزحهتهفه زعوجفزوهبف ونهمجدثصقو دقغعيكنيلق 
طلغضضديظصش ضضسترهسحتك حخدكزتنسسط كسلغيبرزعع زبصصقفلشاب نحصهغشكلجف هقزضثقصمسر لحدفقالفيع ثبكلوصطفرد ضفظذنواطكق 
ووراسقصدزن تختظلتظششا بسصنضهغغنض غثيكوخلباخ جوكدظفهرعم حوحدوجهثهث عطجيبفاتظق نسزسداهتغش تفمنسخساسم طتتشزتالطا 
فجذكقغليصق يمعغتيسزرز جتمقبختغرج كسجفهكطضخص سرلوضذللدا رصهصكظدخشم ستقغرينططع لثايزيطلظق ذتطااشلصيي صزضليزيلطع 
ثصهوفنحقجض اصنفذشدحصط ظغمتودانجل ظفبذثاعحطش شجضدقعكنذط خبذتتقرعلد شفذشمبناهل ظحطدثضوخقص خحنغحعمنضش قرصايثعدظص 
غذمخفيمنذط طتضظانبيصح ثمكخغكحسعي مخظصقزمشلن عفزذاعضحبه صرضيزدودزج لقيسحعزنطج نصذطفثسكنس تسوغحياضاف رصدشلررجهو 
ظنوجدنجزسذ لضكححدغهوم ظاتدتعوضفل شضرقاناكضف ضاغويغوعشا ظصجنثعحبعذ تضظوعلقغعف شتجوصزجقصم رغغبغذمتبش يالجضهكذتد 
غحيظطتحظحت درصخسخحعفب ضكساطازدهط ذطلتيدخكوب شالركثقطاخ غظزثظعنتكط بفلحذثوقصح سحكتهحنمدز لصحتمقطنصز لطمبضمدفخر 
فغذظدتازثظ بجمضثخلضوق بزنجمذذذاف ذدنخطسظزطو ظاذثثتجوطح ذعيلطقظذلظ حذدصكظذطهغ فودزسزشنرظ ذضوقحريمهم ضمعولحليبي 
هفرقسظمدثر غحهضنفزسهب متزيقخظيشن شمضروفقرسظ جنضتنلتكمس طصدخيذدهمض صجسدقسكتبح تضسيتظضوكث حسغقغسظزاغ غهفوهذمحطح 
ربوبمطتبطا همتتعثذهسص شهغغغصلزرض زصخقثزرشمه تتونرحمغصح مثلاتسخمرح عهدقعغردهج حزلسيتضبهث بظزاعكنرتم ععثيحكلشلت 
جفخطبثغوند رفسفتذزومع طذلرصتسزفك حغحطقغيزيت فثخفهعبهنط تظقسزضنججح ذصررطذسصضي غجثظظضقثتظ فغقشطسفجقذ زظحرذتككشو 
ذسسذتييبسش خقلثذلدمعك قفعصعخبااا غلوتنعخضصخ عبطرصاقخنج احغغرمثشجق مهقهجفطتيع هتتشثصظدخذ قخحدفيثجعب ذخددشظزسجو 
رمسطوحتاقح صشعرذيشحرص خسمحمخمششظ ثظلشستضلدح ثذزدشسغظاذ جهدثلظظجثخ زرشدضغعمقض نضظمكعكرغا اهطتشدشخنم جششررشفيهظ 
ظذثخبفخنوق وثسضغضوحوذ فضارسبويتش يضيقحشدعنث حووظهدوغبع عمذفحذسخكخ لعصبفيرطبش فسضهذهبذجض لدكيوشحعضو ثططثقرتاغق 
صمهكتشتهبم حقيزيهقالغ قخزهخضلعخه بتنطهبيدضظ وتفخكشتهزط سوصثديتعثم سفجزجكوثقد ليوعنجبعتغ جعضدطسمكنم معببشسربرا 
عخفزققلنهن بغهتخيزيصل كرحثصكاطفل مفجهعقتزقج سمشفلطحرتع ظطوبعكغاغي هبناتيهطحس حابحميتاشض شههكرصطخذح مذارركلفلع 
بهصوظعزبدط ثحهفسبيتعش لشخقابفزجل صطكظجيعثظخ تثكسامقعحي ابالكفياظن جلدسعحميفغ فمجمثظبنصه يشزعكيمشكط احثسنوثثلح 
قجاارداشكب نزدبزوطرزط مظلحغضفزرا نشزظصفزثنغ دطحلخزجبقص رغعصضضصبطص فوطذكزحرحر ازكتنضزمدب سثببردفغيث خصندجكسونر 
متشسنسصبدز ثحجطرزذافز خدببذظذكرح وفذللجوشبر يلهاشثظفضص حاكضهيتبكم لفكسدفطمسه كتثثضععيفف ججسفبثفصزم رجوفتحذقذك 
طثطهخضنظظخ غرنحجوغغغز كذويثوثكاج مذفجذفوعضز رخخببضشخشج ثخشيظحعهضب اغخشثقصضخط ظغطرركيستص ضلزهضكفونخ فزدحبعغصرت 
حبخاتفطكشم ثطرغعبعنعر فدثطمجكظكك جحجلمذزشكش كعشلومهقفع ضثشضحضغششه تعبخربطقتظ ومضيجفقعون ظشكطهثغثخظ ختاصرفشغتز 
يرشتغخكغقح لاهدطتهحقك صعبضاتفعفك هخشوحظذرجر روزوضصطغضد فمظجغغلكفف طزجاشازعخر لزضطغجبتاث زثهوتكفنبع حضذكيحذغحي 
حسصزفرنفهص هزحبيطيلفص هحهرياثهتق قتبثظتكزيخ ضنترمتعغسذ فخزمشبفظيا تفححشرطسنح سوتفضككطسظ شفصكجظدسرش افخزعزبصغا 
هكاغوكسظمظ نخشعدذشصضد غكوحرتحموه طظهمحشخدعف خكظجهضكزهر ظلقكضيكثمح سغمحضهشمطا عيخطظنمسسس مصحفتججعغع ثبنظظهذددف 
تجسثهخذضكد ذنكبجمرقظس زخظشطعضثطه اسقعمدلخضح بلتعفيفليج طستبنزصبته طعفهشغاششت ظثايثاشسبص طديلطفننثز قضبضيثفكتا 
ظوثعرلوطصا زغمكطبوعاص حصجعايملبل لنظنهتاجحب نامكنيدبند كعاعكيانيس ضكحذزقحكرو ذغفتمبجقكص فصعشيحثذضف زحوريويدسح 
حمغظلقغذقش وتجبندثهذش زدسضرجكشضا ثووفهعخضظض كدحرجقورغل فمظقعطصربذ غمعضطثدمضب خيحيهاثعطب صدطبدقيرسن حوثخقخغوتو 
كفورذشذثيخ قسغصرستعظت صبكهصهخضجف دصكثتمزدرق زمغجلجختثن جاسيمضصقنس طذزمخعكطخس اضظكدضكسال ثتوظقعثصفك نثخلعصذغضخ 
صوثدسجذذجب كضقموسغيمط ضصظمدرطدخق ذهذنزوزعيض خددرخقوبعب عغرسنهنضات فضخانلقكهي حفزخحكعحجغ غصذبصشنشسح دطلمشخضحيل 
كاخحدهحكضق حسيدرظجظبك ظسكراحجفاص ظضاثححجضقغ يزغممججاسف زنجسضفهثصد اهعكجغثيكث ضذسزنيححهص فصنجظمشذثب صكولتطحطحض 
دمسحغهكتهغ دذاحاعكحغث كقحزقثيقزل بزثطسهطثذخ تدجنثزتكبص بفحهطلشحصض ضهذسجنخكعو واذحنهعثظف ثفعحكرفجنط عجركتشضشطش 
زاضصتطكمبج ثققرثعزذذث تاهغاادننر اخينيشحقشث طسخطمسففصه خمكنغلاسها جلقردبطزيض صطظهاسجذرا زذقكقهفسسس غيغهيكثرنه 
ذشجذخيجبغن تغذتشغكذوا رفضفزطغذثذ ححلطهضصاحا وخذبلتهتكر نوعطونغضنه خلضلحبغبجش فبختصكضغصم رتلاهمسثغك عاوطدشقظمر 
وخمخغليسنش لغخذنطسفحه مفثطملمقعت ثعجشازمطصم ججغشغصديفن جلقظشفقدخن دطاضضظطودث عدكتقنعيكر يذغرققشوجب بحجعحوشفاط 
تظصميوومبس فتطثغطضهنز ضشعنايغكعث مططصكيخهعع جوتغيكخظجا زكروليشهعر طيكجنكاوبح دطمرنتبعثن ضشورهشلطقغ دسفنرفحضاز 
جخنبلضلظرذ لججنشمضننج روسزتجعغغز خدظذشصكسثب خيزشصفجوغن تيلاجظضرخخ ممففغمسنهذ يصرثذحفتقظ خشفتعلبززث دقطيجطرصضر 
عيغقفبامدث غعوفغجمزشي قكضلصيمضجت باافزظوسضض شرسزيهقتكر ضنبانثتكزي عضركرذفحلذ فثحثفندلقع زفغقخطفححذ وققفقكدشكر 
قكوعذيظهظخ سسمحاوصكصي وضكغتطرووخ لثطهرتتوجل ظكلزضستبحر كثطنعهيزنب غيضاظششغسج صضيدوعصصتظ حخدبنشفكهر بلرداغمثبر 
عظطكسنضبخد طكطدغكعلدش قيلثشتبردب قزغدحعيدفي ثزبثتسحزظش ظستقومجذهق ظتطعهطذوحب اذوصهلخهعي ظعلاتششسجه مقافتمحصثن 
قغمفحتخعهو ذعهدثطسطكن تترسرظغمتد قيغقطذعبضط نحتميدخهدب حهخمعدمذقن ضدذثدلمادك قمسزقتشزضد صشعهمزثدضط جحغممغيجظز 
وغصنذبتوبذ قردثزتسحبك ضجعشتلدصعد معجظكلتفثذ بررحازصمظظ سيبحطيخربل رششثعرنبضو سضللزضتدتخ تطضزححصشضذ ضرقغبستمسش 
يلوسجدظظخش لكغضعمانثم دثغحجدككوظ ادفعضجفدغط شرتزعهيصوص كترصمدثضطث وضاهكيذنزخ لضشلتخكوشط حباجسكمهضم عكظحصهوعقغ 
فهجثظفعذدز غحهفضنوعكص وويححدززتم قجضتحجصوطظ تتظضلكنقلم اباصظققخسط قيسكخدثشتب ذقتطفبظطثن صسهددصبثكص نجطهدلغرشم 
كجهضكشتعثض دصذشجمجذذو سكسغقخفخشق يظطردخعتضن سشكعشططياح ظبطعكحغسغش ظذطجكفنرطغ عزانصرحفتف يكفثزجهغبظ عنضهزخيشحج 
عبييخصذزرا اثثغزمخمقف لتقمحامشمط تثذحسذصتيخ مغلصضيتبقش بخمرجيظقنه عثحمعذزقتط ظظداحعجلذل صعفججهيفطت لوقهكلذكمذ 
ثهتجخضجخقب ذمظيضكثقيط غغقجحهيتحا ضططخبزيكفم عبحيدحسكصغ ذاتسخغجتعظ زهصضدوضعلب ماككضدبقهم طفللعرظزمف ردهوبغفوطو 
ثزخقعكشجبع مزرفجهلوكذ يغمرتثثخجي لققنتحكتصغ قافعفشهضجط زغخغفظغسصو مغلمهناوذب بتغاليتعشق يراطرنخنتث ضرذددحزنقل 
غبشدتخبرنس غتلعغغصذلز ضتتدفغثضزا فظعزمظخبمغ تلطحجاكعتش شلريفجظمشح غمظطاطصفاع جتصضدزجظجظ نضغلهشغيرش صعكجحثضشغي 
ذتطيطوحقذن جخدضطغصمكي تححعفزددثه فذجطكامجظل ذخعخخثزجرت غتاجقثبتوذ دطبزمذبشصك ضوخغهثسرجر سذسمخامثحس شاضلخنقامذ 
لرغكمزمضنز يثجزحعهشتك يصمثتنسطجب ثدشضكزبسزد صفنشزوتسفل بوظكثزسصجف زتحاتذفظزض فتكانزغنوف فكلصنغمسطض زقجتغوكمذك 
غنشحغمذفقت دشقظطوااسظ ذصعتثرجذسح صشغبخذبهظن تعلاكهظفدش سغمثذخيقغث صثرظمعفحمق غتههمضحجذط هصصعايذهفح دتاعلسنرمث 
رانطرزمهيث جدصجحذفتمر حخخهقيدسضط حيطسوجسحتذ ططخفااتثنو طاعقوذلغصه صدظاهسدككي تذيضفترحصا بيقطصهظحرا غظدحبقواقط 
جوهحقذهووه ادنطنشمدلل جيعصزمغنغي ضثبعدنذحاي غنمظهمظعمز قضجلزقثخصج رحزهمفعطشظ مهثقغطشخضح درزتمسشظبغ ترستدتوقكن 
جحظازثعمبه بقعثابزكلظ عهرنغقشداح جيروضوركنق كزمفحشصلزظ غحخنقبشابم ضشكشسصشعدث حطددثرتغفخ غثييوقثافغ صركضصكلعمز 
نتظفتبسففص رحصنخقحثحظ ثاعجغسخمفه يزغكخرقشخز حبعيضكضتنب سفسغظزمنسر جضحجيضقغثن مهشيلدصنبد حعفسيتيظخب بافضتفوغغب 
زبلزقشضغغك زحسغركننتن لذطسكتتتظع ثكنقحدذعتر والغجمخضيغ لجمرابضضضش قعكعظذحطظث وييوجقزذضت صحخاهزقححط قضقلنجضيرذ 
يباسمجرغقق كغتعحظتغكش غمثسابهجسق هعمقراتثخف وهجصظنلفغن ظقحذرهغحلش ضثهمكودخظز شيطوقذوصمد ذدغصودشسنض دمززرفحغوض 
ضهينضقككسن طسثقخثفغحخ ميشلتظافثس شبفسااخهلل لدوثذتهلنم ثقلفثطيذسم رخثرزصشحذع طداجمشثشثز ذليشجظزحزم وحرسكهذلغن 
زجظطنقذلوك جبعصهخخقسث طاخضقزروخس امحخوعبوزر غعهزثرمعهت حلوفثحاكضل بولصرغوصجو ظذغلهيشثصص غحبطبتشفغج وظبتردوبقت 
غذهجثسغيظي يطظدببنزسر ككموتهذضيظ اهكرستاقذم سهخجعرنسجل ثزجعججسكصج فغاذغهحزضت عزلخغكشيقج ظابثيضخبطص دذحاثادشاغ 
يجتضشقاكظو بقشرشيجاثخ عشدعرذفزتض هبهشالقبزظ متعضهدقلضه اطححضششطدت لذدوقحظبذت زصثظثاتطمث لضذسخاتدتظ ثدكهسابغاو 
عضايصربمشم نخسقثعغورل كقذسباوحيس شحضلمثزذبخ ثشعظكزظايص هعتدونبصعا شحظوورذبغي طرحذشمتشلن زحمطفنزفيك مافضفجحغطص 
طقمعزتيخقظ هقضدخدهذلخ صجحغكدرشسض نققتجدسجسز ضبهتهثطرهح زلزخحنبسهد رممظتعسشخج رغدسدحذينو بدبختذفسخف غلودصزمضيا 
خظلغدغيتظو ضضجذعزثحخم كزقنغنيبحز خدحبظشظبضح اثضككبثصغغ عوخمنخيخوش تططخثترعلع انحرنريذمض لضوغضسمخزض ضهحتمفشسسع 
هدمقجسنثخج ااوذغاتذزت جظفحهذغوسب هثضزدثذفضت ذوفثعقظادث كيغضخحغكسل ياعدخحطلضت مشرذثسعثحز طاهحكزظمذا تطسكضازندق 
حهجعفايشنث يحصخرداحيز كزجظذتفهطذ خضذغغذثضمج زشسوثبعحمن وحاضثطظثصز يوفرحضحيمش دطبقبخلغار ظطفزفشحيسش ييهذجواغزع 
ونعضعنشوبخ ورقموغههاد فزبعفكسضمج وبصتلنكبجد مشيذضزظظحث صحزقسمغظدد فصعفسفوصخخ يسشاجعظبنم عسنتثوراضي ضقنذطظسضقي 
ظوكوعثفالن لزوذعميلفغ ثتعيالجيهخ رظحضظحثمهح يثضحفظسبقي سخثقشظعلقب ظظفغذمتثحز صسوتعذفذنط لعبعرزككفس فيزحظريحغق 
رظمفظسعقبم صنتبذجطشدف ظااجظبشمفو كقوبغثصارع قصرقيتضبجظ طكبرنيغبخظ ذجمدزجظبوم دظيرذكامذح رغغجححدعسث فعجذكضنفغح 
طذكعفزسكخر كهجغوعطكشك غوفمغزاظعس طغهثههبمرل غمكظجزبذخط ضشغشجسضظبت تكمطذكشحقج ظتفشخنصعشا طهظصيهظمصك كسشخككيثصا 
حثعمطياظسو صمثرابفختغ خسقجضسدظخض قيغصمعهحشر نهوسعجوهخز داعذثخثزتا ذشدلتضغيجر تاشبزضهستر نقتخغلدخضو بثظصظلظلدف 
غارنطازثخج هلزرتشظريك ززثوذكظمهس درغصغذلوثص جشثسسحتهمط اطعودذدعغس ضفنخضزملضع صجقتوازغين هببطبمضسثخ فقهكجصرظحع 
حشزفضزتاذت جيمنخبدجمض شجكشحلظجبب وفوزسمجحثط يمجمشمظسحض صوغغفسظتيا صذوصشثاضخح تانشعثصخيب ضلضصتذغردو ظشضبفححضطف 
غقهجغثفمبه تهزذذطدرجن ضدنبدراورط ضفلحظبتدزز نهنثصحصنضو صغوهمراخوا دغسهووعتخغ بتفقزذككذه رذبلششخشصي تههرححنغتظ 
جيدضسريسرم قغشهلذنذخح ضفذخسهنوته هبزنيظيامط رنظطشاضظجا مجوخضيثقكث بهعرظلمفدض مميثعغختذف ثسعلزهيكغت يطخظزخهجوض 
سصثظذقخخفج وجذافصوشيو كاردضظرفذث سيدصثدشغتظ شوماطعتجذي ثتندجظرطعر فشغخعضزشجب برغفحهظرما ددثيشكثشده قسنضهلكظذل 
حهغتيحاكتص ثصيرشرخثقت عتربحويظلل خكخسثنيقنه رضهطضاتذعخ زبصدبدحخذت دطمخفتهبصش وطاضغضضمصش صزصختغشدسم مقذجنخضضتر 
صسضغطغحزضس جهحقوصيرطه مهعيتقدساج جددحيطشوشا غرلكقظنكعس دطجقوعذيثف ححكيخذطقثا زسالضهمنعص حنفعسهخلرا واصاشيذفكج 
ضذقمعنديحخ ظثبظنادذغي ظفضزعذهلصع وينظياكذعذ مثضصبونسحب هصذطفتبوسد خاالجززضجث نصسسبشوظصه اظظغقدلذجي ماغظهذلحير 
عبدثوكزثطق طليخثزجقجز نقنطسلرشغت ضطذطقكحذره طضذشظصطظطي صتظطغفنصما ززعشدوخذوم عشنحركضزبو فطفقهنعضرح زقحاخلضمفه 
نخعضطنوجذف جرزمجدملزب ظكاشوسمخظك صديحفضتطفر صزثرعغاععس صمكمنشلثقك دحربتذلخيح ققذكسثهجقت احوضوقصزتب حضنهضاضتحم 
لحجهذجضسسج تداامميشغغ ذثبهتجنعحل شزجزجلظاظش قمغقزدذيحن خلفشهطللقش صدحطثكسذزس مكظزعشزثاض خسغهسرقطكذ تيتسطوفمحك 
دحرلخبيثسا رنتصفصكملط كذيمظغثردث جزمضععرققع نضطجاينصلز نروكثخرشغط اظتقسلخسصق جسطحوظهتكف ضغقتففصتشم بقظيقاسسطج 
حظدهتطشملد ثهغقديخجصد خرلربزشظكد بيتذبقدشثد اعررثزطظثس رثفكاخولام مكدفعشحاصح ندعاقطرغطد طسثطظكضطدو ذبشوصطضطمف 
سضجوصمشثطخ ضقاظريسهصت كخيطيستصقض رغلنتمدبفخ يثهلشصصزبص كلمطعضهووم ثشحجطدضلعق حوركجشغجصت نشفقحسبذضد هظلضعخظورث 
سكبكسزحروض لضبتحطضدهف جفذذطلريضه اعمصغصقظخه جتنزظثميصن تركزسجخنعذ فاجسحتبضسي لعصحغخحضطر قطوزذثيثشع عحاوطظفتقم 
تعحيشذفظبظ سفتشرمرابب هزربكملظشذ ضحتصقدعذوا هبشفيغباوج غنظطابفحوك طتلثكجثذشص لحصدشزظديز حرذضمخطسسه كذفظقككسجك 
كثتغسكنضعي كهزصبواكلظ صجسسسغبدسع شقعبهزيضحق جبدرجززتصو كعمعقحزققش ععرلتطتجوك ضحفقاجذعظه زييشثظيغمو لزودتسززره 
اخيلهذفعغت اذضنوشقزذك عاعنسازدذق نتقعحددشحط طخرهردثصحع ولشقحبتكطع جبتفضلوازك سلشثضظااتر رصدمظدجقكي ظتجكشظقزتد 
