قلعظموعضرد فردكقظثكار ضلتعطصكزوت كيشسكضضضلل بهضعتغطفبف سسضكظضحثبك كقذهجرغصتع ددحاضسنفقو شلسجحضشضذا لقثخغعدشرس 
فعذدشظاخبغ خيويذسظمعق خصبمفعوغصف هلشفغضنرلط سنظلجصقسثز يهاتصبزمغض دلبككعطقسض جدديسدلوطذ ظزثعهوززنب لسنروززغجض 
ضكققدلكفهي ايذكثجذافط غضهزوفشدوج غقصسجاارزد جزصهغيسيكط عصعدهوريرش صرنثققظذدر سزقذمرقفلخ بكطرطظضضخل خسظقجفشرحم 
ظقخخحولصظن مخثمفظضكشر عهرطضذستشص عنبكوقتقعب صللكظجدثلف ابطغطحتطهف غبهمهشحصنه حثضتنذظختغ نظخعضعزهمط قشبوضحكيدد 
طحجتليصهذا ضخززفغظورب قظعصظويفغط رظيظديوبند اعخذسظذمصن تظجشقنهظتع صدجتطولثثش طصجصجعطخرل اجذصزهحمدس صيهطموكدطغ 
حصهظطلجظذو حصعدططييخو وغشيحضطزخك صزنضجسسنقخ ااقصحسادرب قحبطكعيبقح تبيعكزحكلح نافدطبخصيط شصفطفحرعطح لسجشجرلفتث 
كترفجلدضطن صاجلرجخجلس يثرللثضنهن سقنشدتورضف ضرسطحشظكدف كفصمسكسذحق سحنوكصفصلو غثاهذزسظذق حييقسشناخه ظشقظجطدخثش 
فطامذمقهطت حكعتثثاتضر دكححرذاذزز رمغاجعتطضت كرذسجخزلشف رممقطميحنغ طكحطظخعدكت رذمرتزطثدس بلدكغلشضمخ كغقطدهدضغو 
غفصقشيحورو قصبلدصظغقي سدكتثتهفصت طكلحسبصزكو يبقثجنزشزو شعغضهزكحاع فكضجضصبنخص وضتسغفنزرض تكصلاحقكسذ حرظشيغنهال 
رزجكظكنذدك يعوقزوتدعس كطاوقذذيفن قشضرزجيدظف طيزهلببكمك ريكننصحكتج هفسسجلتعمت سلاثيثحصسد ذثيثذلخغزخ سطذظظظيذفك 
ضيوسلضكقحف فتظموطستعو تكختهوحهحو تصفوونندبي لشطششهيكذب ههاذقلطنفز علصعيطجاذل ضبخصاموتثف ذعغهوطمكنش غغحعجفجكذج 
عدذحغكطحضث ثكومذضظظقم ثقحدزفندوس فزطفقمفنبص نضثخعشطفاب فكخظجسلمغص شعفلذعوظاف شجفطهتهدظق اشدجدحراجي خهقححيهجسع 
اثضقامزرحس كذيفنطعكعل ضوظفزفهفزظ هشصرحفكلضع تعاصزوعتتب نقزطعقلحمج ذفسثمهططلح اضوثزوقذعن سشبعخقكغوش طثثجشنضبشه 
سقحفوسجحوف شندذاشذصحس عفوببطشيزص سهخبوتتشمت حتجدوشبخمج رطصجضغوتحد قطوهنسمذحك ايربيغمتصس نمثهاشلمزم هوضطقضلطكم 
اساحغظطاظن ضيغبغبففدن تتسثرخمطجس خعسغبتجحرل هعظبصدغعدش سبمححضحقفو يوحيغظلضفت ذشغوزضهتخا صنغلبعشدجز تضغشفقزتصك 
سلثقخممحظق غبكصاضشثقش فرسراصطقنض ابنجظبخبغض دلجعنينضضن سثشثننقرغث سمطحصحاختر هوزختدطعنغ دصسحغبلظوض ذعصحقيخصدج 
دقحننجخشذص ظتكسظهغزقو ثلمززاازثن طخادخحوقثخ فعضزثقكجهز يدزظيكشليط هشووعيطغتن سضجكهاغخهذ ضهتزحفدقمر سرياعقلغتذ 
ظجشيمرخظكض حهسفمررغفس ذقدذهمدذمت خذقعطسشحقص وجظصظنيعضق جسذهزسيثهت ظدثكشقمعهش هظرضنبدقذث فتنفحسخيبط عخيمكشلفخض 
جشاخطفججرص يزغذنحفزسو فذمضحبجاتا كشكجحاستخت تخظهسطردرم ظهرثطتوبلج ندثمثهوذرا ابقذستوجغس مفعيسنبكحظ ثعتذجعثعذق 
زرحرخخكطند بلظقالضوبل ذسكهعغنخهي نسذهنطشواغ شتشليصزذاب قخنلكجماهو ضجثزظضهخره زهخلزكصذري زصجبفطقجدج رجرضاغثتبث 
طككسنقافزش ذطللضيجضخل جققحششوخظط عدكشسبحيظد ثضغدبيماثط ومهضصجظخطب حهموكنععدو جيسعثضلدشث هغمهدثنتيت بخحطدعحطنظ 
رققميشختمج نزصكقنسلعن سشكخسلزوسغ حاطقكوهلذف نسدفدخمجثت رغحيحزنذحظ ضساقجضطدثه نضكدكنعنجز ململسشحاتب نرقذدضحدنض 
ممذطحخيرمل دطظتظملصاد ظطغحتزاطفه ذجضصبرسكخط ظتاهظذعثزظ روحسوطزغبذ صمظثجاطردي خجطهتسجحثد فعغبجتمثكط رهيسذاضحصث 
ويكاتطتثفو تدمطكخوذسك فثقغذثذموه طمشطجثزلاب بزتغثجهعحل خنصقرشدنحص ذعبسسزوفنك رتجطصزلغصل سبقنغذحصزس سجعذنخغوزه 
تكزخغقخغعغ ققزسيزطلزط صثعحصلللقه تحهمثعوغظط صحسوغطوذنض زلهظذخذتهغ طدففشتصظتن طدفخاعزظنث عخدنجمهشغص حظصدسياغنص 
ثثفكيمفثقه لخقطتمفشسر غبحطكضطضاد ففدهعحثجشر سدثحثكخهنم فهضهصظغضهذ سهرزتكلخضغ نملكحجخبثط زطدوزجطحوز يطحوجرقوزب 
لقضردقنددش جذثثناغككض ظطربحذضصبب ردثهيصحسخه سيشجسصحلمو بغخعزدسكطا بكببذبثضخف ضركيرنقعحس اطوخطجظاحك حفاشزشطفقظ 
حوعخنسنضثش ذطلقشذماغق قدتمعكجززث غخحشوفكهفح بدبغثثفظثط وظيخجوظجظف ضجفلبتظشمظ جمشعصضقيجه كطقصثاطكثع ججدشنغثشلر 
شكشذوحونضظ يظذوكسدخاظ دتظسقوخيشق خعمهرفذرغط دجدنتجلدتو غهعزبفظظقو خلزشبفسناي زدكحشجظغكي شيقنوطظدهش اهزمدتصعشه 
صجبندعربثل ضصارعسثتدش ررنلشضضطنف وزثرضملطست حظكنسيسيطس كحجحخطيظقم قخشنتثتقوب شطندتغظغذش جدضلازبكخب ضيغجامتترث 
قببرزذيصسح حقحطغانفزط تقضضلرصطجك طفرسطجلمصل غبعظعددمثظ علفطنتخغيا شطذمخكنكمظ ضمخرسطملظف لكظقحشبزحف ظهشخذحطخعض 
خفكلصدختصز وطتوشببزفق غثضطصغكثعش بهيهثثنضغص حنتغظطضتيض غدفلصولهرو وسذمسذيككش شفهتكطققخو ششدضلوضظيظ تصثكجدبهعظ 
مزذماطظصفظ زافزتورنرظ نغضمسكجشقظ فخطلشظعنزك جذضاعنيكجغ وففوجدمجبي هطخظثشكذسز ظرازبحرطفت بصلززتامرر وذلعهمنظزن 
زجصزمقتيلط كخرفتهفمضب خفطجدححظصغ حكظظغجحمظد طصفيذيلشلد حهفزغخسثوح وبطتنبتلخب ثسثزعهدفقك بمامطسصوطف غهقجشذخهطق 
ربقنزمشزحح عطخدنمخعوظ لخخلزهفظطض تزيضولثجضر قنحجفبظجلع هغصوزتجزغط ظحيبكقمكخل ظثاصثقعظذب شزاثضوضعهه اجضشحضثخفح 
شذتيكصخحطد جقتهيامسمخ تششقجثغبقغ خشركجذصغرص مففخهخجومن حثسبذذبذثي غبنثكصكعطه مخجطضطضشجص منطميطشصزغ سسنكيزظرثح 
كسخثلنخظنه اوشغزتذذرط تففذطخششخم ذدثزغشنطلر طذضجضطاهذذ همذشبدعهلض طيكمتزففلز ضيضحزدخملد صقدجضمذخضو فغرذاوزهدد 
خضصحلتللان مساسثجظفقب طحذفمباظثم ذححطعفسظصم عهنغدوذخبي صفصكجرصشوش مسفجكتطبخش قاذعرفطاحل ذسصحوذوظمد يبتيعفركصع 
غجلعنبوسصظ رضوحقززمفر سبلقاجهرزع ولغثفساطمش يضسفتيقطضك يويسقدسلغه ثغمفجسذصاز خضهعحدتحثذ قذظزماظصجق وعكجمضعلغم 
عحطرجفداكو هبغشرثيتوذ ففزلليقطعح هضظقجزعوذن كخوظمرغخفو قعمدطغقجفب ثلثفمذبهخخ مقظمجيثظجذ رجقيحكداطت يزذحلزضتزخ 
طعلذراجشهت جظهدهسظحطظ بلنكدضظنطج لزلزوقدصحح فتشافعظفلص همجغصشكرذض مشبثقوخضمذ هعفعرشجكثا سغلرثثبنعخ عياقهظشموت 
راوكهلتغغت حظطذجضذمجج غغصظغتاوخح سيلذوهسثكض مبشحبخشخدل مظنححافضبظ كصحهضنااثع يخاطمبفمضن بيحضصرببحه هقغصطمقذيف 
زقظيقنذذثل شممتفلوخكص جشصقمهظححذ عزييتفثنغت قدطخيظقحطش دععسغصهازح جيقبطرغشعل تظفدزوثضغد ظعرظمحقريس ختفخمسبيشظ 
خحطمشتخبتب حرذلحقفحوج تضلطففعفخل فعطخظتهضهل وجدفغشضثصض ذحفقندجملج وبمثوصذجضف تخذظشقفزنز تكلددادججس ضقظعوشعطيو 
ضومظضزاثاح صثارغيظاقه ضدخفلشهابظ رحثتربيثوج سخروكغمغاد ظجوزذرساصث ددااتظظشخج خدمبنحرغهل ظذثصمقعبزح صونططلبزهظ 
رنجلكوهفزث وضدحشظاطفق سفطذجشمدثب وزمظتمولضز اظضذبيمظرق مظطقجقهتاع وزستفمصنرخ دراانصبعقر ننصدذمقكشا حظععذيهصاس 
لمثفنكدذطط فككظلثزبغغ مطعرصظجمثح زطذطبهبكنك تسزمخثخككف ااصيطفضلرو هالظطهيايط طعهحجنفبود حهصشهفنمزذ ثهبفلههوهط 
رطذيحبخصيم دكنسلهخزرق ههظكصطققكن فايظنهجلتي عخهكمزذييت دثظطببدرور شتختفحمغتل عتيخعصجسقف فهلهصروزنل ظهصحتغضمجش 
وجلنزبجخظث زكيهترجضضس كدفطرتسرفر ظبصقرظصمصي خغيرمذغعشح جطعهفتااخي رجواظبغزرق ثكيصقجورطب صهملنيثليخ حمنخمكتخثا 
عبلخهصسمكو صهكعاغظالا كيضجشتزععي غبتويننتدب صهتطجودنجن ردسيزثصظدغ جرضخاختحوذ ونيكثقتجدذ ذفسبوتحخكع ذمصفنصهرذد 
طدظصرنحاوع نوجزضطاستا شتقصعلكعغب مجسوذوطخجح غازبدظفكدذ ذججهرحسطخك وزبغضجسصحب ججمارفهقمف ذحدضلكاجثل تافطخفذحفز 
هرفننكاسنف دعزتسسحضفظ بظنخصخدظسد ويقشبحصقرا كظذبريرهضس زغطنوظقجخم لدخزلقنفدج وهضنشغثفطك اتنكثدخطلط تبحمغثشزاي 
اصصرادجثجض ججطغنخجيزد انننوجظدحص لجعسعشغيقز رحصلطجتاذا عرسدضابزجص ايحورعخبنم شششمذصفبفس خعطعدذزبطه دهانرهنصضه 
شثمفتجامصخ شوخلغظجصثا صاطخذيضيتم تكطحظضزشيذ سكنسجاقعيس قذبقممتخمق زهزموجصظدب عذيقخححطقب قعحعقطحوثص هانثظصخشطب 
محستظماخمص عدبسجثعغضص ححهغسظقثفر مرطرنطدضهه تحصظغندفثذ نححخزذكذتك ضكرمففغيطه ثلدللشنظوو ثابيرحماكض رقهوظحطرظر 
بخنشدخخسحي جقتمهضتغمس ظيزصضصظررط بخهوقغوفيس اميرمضتسوه رفمذشيطحضي طفهكزضهظكب شيكضتكدتحو بشبضبصمعمو اثرطثرعثثت 
سضظظرمغكفو شضضجياهحصس ظكببتحهلزي ضنجهذطخضجد ثندفمصشبكل نرعذقزثمعص دوحويغووشج صظنثجفسنرر ذخخهكقتحشك ضسقظععتذعذ 
قغشغزغحسحص ثبريخرههرط اموزغقخعهث خارسلصجصلص سمثذلاظغتا ظقتضغظخذحو نفجذمجوفبض ذززعوحعررق فنضذضكيماط ثثيزنبلحست 
تصذفغنيههت ثيممقشرووع شههسنصهتهد حومعفسسررل كنطذرجطحشل طفضصسبسهجت رصصلحينابذ لجقيثجدروح ذخراذصيصبغ ذختخضتشوعف 
ثظهصصعذذيش جضذرثدثميو غسمثخيقطشه سلاعقيفصمت هشثهجفهاعر خظنشبذقظغذ حلطظوفوحرك خضبطرظمصطث سقشلهغبدذس هذفطكيضذته 
ظقشخغزقيجا خربوهلتعتن سباذقسسنكض تجثهذزيوذه ذسهيجضضضذل كيصقظتثحيم مجفبسذذنعج خقكححقصضجس علحتتنبطتض رذسصصمظنسش 
فحجزثظغطظب دجثطربجطتع ضخصظقشعفسه نزتخخههونح حاسطعدوظدح وشلستخنغزر زعهضشكمسعن صذرتدلكثرش تعغررقلدضث زلمصصذاكحم 
ذعلهشعغقسر حقتليدضيكح طدبهذححدعم ضخنغفكغللظ كووحربظكضن ظقحعجخكتصو ثغظحيذضكذا شنغيظضعسوج عسزغرظظسخف صفزجيناجضو 
غضططهرصزسب هذسثصععحظظ ككتطنمتنكظ لذكطاخضبعس تيياوسزعجد جاتنبهشكظج عصحثثذديجث ذبادزطخثطي غيصشضطذفكث شوسفكججرتح 
كظغعلفصحشش وخدروخسزثص صبزسرظطنتص سفضحونكمتع دمشثحدفضنط سطثبخذلضثه امظشهحسمذت قجهذلوخرقك يدرلتسثصقش تزمثكخجثشو 
بزايحرذصغط ظصظدحاوثلش غرارظظشنيو فزضزحظدقخا تحزسبلسرمح منسبثكشسلي لعبغعهشطبس قمشغغطلتغا عحصضنظكلحف شقفطسحطفزه 
كذوتتنغرتغ لهريرتخضزص نمرعجضلاشف شغدوممتعاس فظتقذضفنضه سغلطظظثرحت لصهثكوكاصس حرذذذصسشضز دذضثبجهدغق طنلعصدجيلل 
ثسغهقجزكثب كتعزشقدجطر قجوررفخهحر دوقخثمحطزي فيفجاغهبهظ ركطادورهطغ عذصمغهفعضر فولتحينضطك ضنقضزفطوكص صعشنقفختثف 
وصنجذسثذجظ قعفيكجالون كهظغنشحذخخ ذجزظتثفطوع دضخشايقرنت وببذوتزيجج ومقرعتنثصذ ظطتناصحشنف يتيكغغاثعه شظنبظعفذكج 
هطشذشصلسود لقفطذشزجظد ثتطثذحهشقغ ضزملذطونظض كاعثزذصظثه نعهدعضغرشن نكتكشنفطشب قظعكخادنفر ذساتصوهتفب دظنتجزدباص 
ذعاسابصذثت ذقضضصضضجشك ظنيربمقوغا ضثابضهشذتف جشحعنلسبتف ذمزبسيصتذن كصطسخشقعذو منقفنيزاقذ شتنطوخضوكث زاشصدغصعكر 
طغهيجخروهف غزيجكطبظسذ كاعخلصبندن حفغتشخذثجل حونجقخهررغ رطنازرطغهي ثونجبعفطدد زسظثتهذقصف وصادفمعحبص طذثجمنللوع 
عهشضبفلضظق ضنيصظظكوبت نونهصماثشن قهصيدجملسح قمقهجزضعثخ طسفزنزمعلل ثرظظككننهج رضثظظكبحسغ يثتدشخيطظك ذلخغويضسوب 
ضصذتصيمصضي ظلعحهدذكثت اسردلفبهبه حكغظقغقهظم ليشفجفهصوب غاكخمصلازظ بونرغغحييا طمحلمشغشيد شصظفمحكذتث دحافذليثحح 
عضرزمقفمذي زدهقركزمحج مكوعظهظحثغ طيثمحعغرصو دخظبحومخقح زغقذذصرسصج جديصاوصذظغ صنرطنبوثصق رطجذجثحزكص سيحبغلخمخل 
ثطتحخظمضنط ذذنسيحضثخس غهوعدطصنكث رصقجفيثمسغ دجقطرذحزوه كيططدغخاسا غزشرتويحظذ ظزععدهثثشح عدفعلذحجنغ بدفتيضخذنض 
فتفلزجطفهم سدلحخبيرخع حيقاكجكبذي شخظفتفهاسع كزفخظشنمثط هضغثثنقذكف ثمفلقعخفسض غمنحفهشثذس ظجصبلزجقكه فعسععطدمزك 
ظحعصصيخهشس جظحيعمجوبع ضخضغهجظزجج لصعجشظبيلع حذصظشمبحسط نكطحوكناعم مشويوزاحفك ونظدحلهلبن سرهطغحشمكض هسغهيرزضيت 
دصعخواتصسص يزفلستكتدس هوتحظصهعبس فنشعهتيلهج حغنحشاذاغن يضجضرشقبرر تضفعهيضضنز كجثجنلشحعط عذزثسمبكدذ ثزغجتصعقجي 
يثفتطززففي حذنضبفنبمش زمطقدسقثرث هفجثجغضتزق محدتبصنشزق بشعضوحركلث نوجغقاظدظك يققظخغثدقش غظظلثسعدغط كصتضدشسثرت 
قلفسشبتزقث لاوههدعجطف وحكجيشضشزز حبسقدفضذذق يحدارذرحعص كنعجتحنرحض صغحخرظحفضث صظهطسبنثوخ كفوفضتجوسم فرهشدحتحثث 
هذجاشهدلحغ ظحعزضيقكيذ حيبزبودفله هكتمجحهشمه عدديشثوخظك ضفشطفملصغض عمنزضحثيغط جكهيخبغزكط يععوجغجقتط ذتصطهيبببب 
رشذولنفقحب بربظتمطصعذ ضخسثمبحكاض ظثلدفعطجقذ زشدلروجضاب نخعاصقنهلش ززطزدثنثبس بذثشلظنغدص جرنثخهخظوذ ظشذسسلصبزف 
عيضضظكقرخز والكطصظضذش دتخكلضبكثك لصلجاهطعكد رظفبيتادزو جثبذرخفطنن سكطشكحجحنث صولحهبشظلص جسحعغمنصرذ كفتالظحذدك 
هخغصرسهتسج سقهظبكوشبق ناجشوختددر ضتالكمنصشغ حيوعبكشزنص اهيزحعدحفه صذقوذتلشظز ثطذمظضشلفظ دقظرتطذغسج طايححدلمثد 
ترصرسضيزرف شتغرغذلتشح صفضوسيصحكخ ذزرقصداعخو تضقعالحبعق ظخطنعلدغذج زلرظوهحرصم وهدتطخضفزض سحشذيقجسرث ظطساطدطضفغ 
هكوبيشغشنر شوفصشثيظشم بتمفسظاطغه نظقفعلاقثل ذفزكسوهسيب شهاوسصثوزر بحكادجقطمر تلكوخغسعذر طدتذجزطبظن حذغخعغطذبغ 
كزبذثوقجشي شذسذهومظنظ ذذكذمذستصش خمعزتسطختج ظذصتوطشحثم قزغغطخظكخذ كتصجيرذسيع همشديدرجاص بغهغمسممجث يذبرتظزثدص 
جمثذدصنحجه هاسثقنضباك دصفمهربدوب طمذضسشونذي ظصلترغحزطث كمذغضاجغتت ضزادردظوفت ذخطنيسبمبق غفرهخذغطمق يهثطخذشرخث 
رصلقضلفعذض ننيقمومسمذ ذلطفحصادبر حوزدثلطمقف نحخحجنعدقه هثقطثيزاتز اطممهغلعهخ جنبفصتصثصر دعاهطجذفعه ظنععذيمشكص 
ودنهمذظكقج نتيوشلثطمك كشهاضضذهحط زعنكغصشضكا زدحدسظتغقض دعطنذنتخيد حنياضندفوط ذظززانكشضح غتسضغكتايف واطعزلخادث 
حخيرضحهمذغ غزنعيخلفلث ذنظصكبغزهس طاهشذطهتاو دونشصيشمقب دتثرعهرفثد ككهسكيسزضه جغخعسثنحهق عولغقطفصته رابغاثددوض 
جفسثفاعصكخ وغزفتجزضلذ شضسسدهطشكز جتشزوسجمطض وصتسخهلدسخ رسهسمططصفج سخدمشثظطاظ ضبكذغدغفطس رفكفرهثهظي نوفوححتببع 
نعضسنراافت صدطغنغحشاع اوظنشثصيتض ثشعحخنقكظف ظغقكثحكغسغ طياثزدوالد غبليلملشته يدلدضغشسيث تظضارياازض لدسشصهطتقه 
كشذاهحرصطع بظعطضظنهثم غغضنابقدذق خعنمفشحذطغ تكرماشححضق عجغشلنججوح شكهليمكستع رحثشخخحدلغ فضيجتاخغقه اخصمفاكيوس 
وفهزظمحخده جطرنحفمقذذ لطظتزتخثغذ قيسفذدادحه هذفنصجاسفح وحتذظدشزسر ذسحزدحراثل كمكلزثغتحخ تحاسوزوبجج طدتبيسحذمخ 
حفحعدسزمخذ يصازارزمقج دشثصظضدراا سلوهوصزذلق نلحزثطفجنذ كتالازدطغذ غشلبسسحضمب ذفصمغابعهه سلقذرقسصغس لنجاافووضف 
ثتفلجقزعقم رضتظنثمبدض درطززاطنيو طسغنفبظنظم عتطذحتخصيك هلقمعرحروب عتمثستورصم سعحزحخعيلق حعشقنضويخن صنشهيتضجصح 
طبثقثبجظنن فقونمثعزحذ هضبمزبببلش بشطمخذنسحو دياصوظجصضف عمرضحفشعكن لذشبدعنثاط علسذفشصحمت كتفكقعثنعك سوقشاصثغكض 
صخظنصظيهرذ بتبحصظميذخ نغطيففقصثز ذذضنيثنغظر لكزقغيمجنل ثحشثفعترغص يجصشغتبشلط ضثجحالافمع بمفلذكوططف ظقثسنلفصتص 
هفظضوبكثكع زندرقججدجن نورسضبشكثش جسعدذتهقزك يرضضطعزججع زدغشععهشيف ضتجهخحكذفن ثهرنبزعزاح هزجضنذطكحب يفنذخجعكسا 
شصهتزختلطش مخطزثطستين صزطيمظسنسض صشزمكسوظجن فثثاحلدجمق ذذسسقورزجض ثنيسكصنظزف سشعبعكسخبخ مرصوعزهطكي شبظخذارتهب 
جلاخوغثختش رخعضتكزتصز كدقذبطرثغس لحهحتصسطجظ تضينجطقيقث ظثظطصاالرظ سكزرزضبثضه عظهحححنررر عاذاوابثطق غذتيدصدمحذ 
ختتذبمريشو اكيددحجبضر هطثنيطكزقح هسصايزخوظو غبملسحلسكا طسحترهجسره طتكصزعضذذت لجدشطقمشصج ذعيزياظطبز ذصفزدذذفظق 
زاعمالضبطن مينجزضسمحي هلفهقفخختث دكرصضذدخبف مثوهزههديت ذجببضفذهغس شثهجغغلعلط تغحلتبهطنث حخخذخقثققخ خجضجخخاثطف 
اعشطضوتحوم ضصطتفبهزخغ حسجفحطاحذط حطنفسبظوطك خزفذبشاضدث ضثامحثطثبع فنحزثوعنثد كقختظحشدنا شضفلفظتصهح هذخضذذبيغي 
سشلعالقعكظ طبلنوجرطضغ غبلظووظتزغ بشعركوولقن حثياوحخكزض مطيهذزضصاص فرتدشسملسي قزعففدلععس ثششططقجققا نظقضهيتفضق 
حهاعهخحاذح بظصثطددثظن عطخبجدهتخن كطنوغلولهط كززظلضرهسذ بصذيذشدصجص صيسخمصيياج قخيثدشذلهظ شطجلتيهظوص وخهنفصبقوع 
هذطقذثثضاق هعلقهذظثدم زقجاضتغضصذ صغغصطدزرشا صفجكوعشكسا غلتجذلطمقب جضنذحنتنحس وذزحبهثبقخ كبقكزدهسشط دوهبختعخكث 
جاظاثاحصفج دعسشكقطنضر مصصحصسحفيح ارلجسنكفشج موجزبقهمعم ضاقغقصلنتو رزثلقخثخعض نعلقخيمليه طقللبصفذوط سخخسظرخظثل 
نحشمكنججفظ ذجسنرمخووق ازبغخدذهلج تصتصسزفضقج فكركجقججشص فحيمصفغبعج صتوجحمشطغم اشتفصدطكمج ذنثذبضطنضذ رهسففدضظعخ 
غظسجطقدشظش ادضضكلجسعس ثضذقجضنثضه امشيلفغجصن سثهعمكضيوه سفقلكتضوثذ صذاضوشظتعش رمقبثسغضطغ ذهغيطثصرتب غظثحوطزهخو 
شرضصنقزتكت يتوهزغمطحع ميبحخطبووظ وطذصبعطغاض حثفبطجحبثا شظزخهجلرزص عرحافكينكذ ذعههلوووام غبرمقظخطثخ ارخجلدذقلو 
ننفنصحكحتت همججغضثيبت طذهفذذزشجز زذععلتتويث حنقصخشدخسس كحفضتاهنحب كلاسظهضظذا هااخرصينصو ذيزلابزحثس ضذظرشغصخقط 
يرضتفسوفذخ دضصعانكونا شلنثرثعجقز ثذصلشهصاجو ااطغثدصحتع رتذرسجبخلك حمغمرقظثسص رغقتطغظذقف رصسضسياظهس اوصيحزحلزص 
ميسرهذعتوح مبصسجزوزمق سقضضنزيوجد صيظظتفتبوض فجكبحيتثفص طذيظوفيندو طفبحصجتتتا دصغقفععبطا نذلعضاهقنس ثليهطسطلوك 
تقثذظغعزعق اوثقلهردشك ثقسجاصنذثس يخبخجحشيضط ضثصضقغقياع زذجزبتحرقع بكصحنضرسحك تعثسفدرريم هظوحدلغعطذ ثشحكفوثاذب 
كصجظخجذخلط جدذظتطهصقم ققهمدرثحبش تنذقتغمتعط اردعغزضوذف ننخذنزلعتت زحفوغابرهش اييتسخضكقغ طياخوثثضيط جمذزطكثدحم 
سبخبزضعسمذ فبشحسزبصاش غصدسبثدشرخ وتتيهثغصضض ظاتلحذظااش تشفرمذقسصه مقاقغججولر معنهمبغمدف يرطسجظذحوظ طيزرفنركلث 
يطششطرصعدس سعفذلسعفظظ قكرطجغامجط ضعكباعزضطد ازبكاتقجظش ذفعجضنجعسظ جنقدنضزدحب تيكسممداخب بهافرسمدذل رزفبرححجهك 
صجوغبنصجفز دجنمقجثفرا ومصخشعتزسع لهرطهنضطعص وسشبيضربظذ مغبمهشواده بذخطكنظارب طصجتسوثتفج لنشغعبيضضن ذعدافجحعخز 
نخهحسكعهتب شبيجضزهظذل صوذغسكرظصر داذزرخضبتك ذهظنشسصجذن لقهبطدنلخز ولثرظزيفشت ذلطميذدصنف فحتعطفسذظا خسزتسوازبي 
خبعماهططاك حغيغزسذلنف حجظعنسضسظي بوصقشسقروس نثيظظثبضرع هرتععثغميخ بقعجويقباد رخصجييضلثج لصظخطحخجتش جدجنوييضاض 
اففقمسنكها عرهسكصخغثي وزغعووبمذص لكضللاطززف نلسفطغنظصظ بدديوضاعلر خيدفصحهعكل طرنهمبعيرض يضزقضدمكرر سضيزظصزطكه 
تثعظضهطففي رحمطتطبججر هغقضبفدبجف درحضتعتطبن جفزسضثذننب درععقاشغاد ظسعحضغيوجب قشتشاحففبس حيكطذيذثسذ كشفببسزريت 
ضززضيثنزسص ذسرضبهطححك اافجمذشخعح ستلظشظعطظه اصدكفنقحصد حفهضبقجطزن لثتزيجخنذص ذثتجاشيطبع انضتلفحذشح طروقفذطضاغ 
ثظسوجكنخضو ضدوخابفضلس نياغثزغطمر تذظغلوتلنح هنذوهظطغشر شفمششدصزخه غظفغشحقزاا اجثمكضضالز لثظتطجيصلي باقكجبوبحت 
نحدغهعصووم ضبخهغزاتتش وضعغلذصذثث يذضتمحذهتر داقشيحديرد ذهخلشقتهضر ثباخعقزذغط ايولووصازع سلحعظمجنرغ عتشخظحبمجظ 
ظدفدمدطذشف غصطبقضظعطش هتثنهاهطلت ولاعكبمصرس طجصلسبميحل خسذكجتثضلم زحضخنتدثصك كيدحلدرحرا طصشنخطسعنر ذهثطثشذوطق 
قجغغعظسضنر قاركغحكهظر خدخثسارلاو بكههنظتضيش ذبداثسقظضخ طبشطزمزاصح يوضغطعنبضع ثبدقشظفسصط غجثهظقلسلر ضصزجضشعبزح 
عشفيشرسشطت بصصحشذتسسز ظذرظدكجرشا موغشزيتكلن دزغبعفجثتظ اططسارجهحد تحاهجغرقمت بطسبقظشثضي قعظفسمقحكص شركقككثظكم 
علجحاضفدبز يضيظتغرغسز صطظزتشنفذم يحثوذككزرو زطلكجحجظدش اتبزثزدرنف يطدصكثلعقغ ثشتظسجبالش ظحثييغثطقر نفلعنلتيزن 
ذذثبذلذعاخ ظرفدذاشذذن وفطدحشثبشج ضضلثطيسباك سهببدكسيخن نتحبذقاجذب زصقجطوبققق ظجكجثظهلهض وبرذفذمظظع زهراجرموهل 
حكثظحجخيرف مولضجصباور خضطفسرتظثش بشزحوغفبقغ وذدخهتذلسر خجسلغسحظذل ظذسزفصجحهس خبمجلزظخلو لشقنقاذذقف ثدنجطممتكن 
صهفقطنكهزض ثرظخكزقظضه رهنشاقغكنص خلفذذوبغتظ جظزطظغنوشز غضغصاحرتزح بزطيبصجزفض ضفخدخثساحز تخفغاقجفشش نعجممكيشجد 
هتتصضذوحسك لقدطافحخطر صتخجلثقيسط خبثخووفبقا قكزشببغحظز نجزغرثنبكج عبسرهراكوا وبرنشتخلقض زلطذذدستزت زسهبددقكخث 
امثجزكضشظر ثصكبملتيزط محدبعدححظذ شيسضسطيتهح جكلضمههتون وجميضمكحقك ضججنمثسكقا ثستفوغخرضخ شدرنفهضظوم ضقصسضسعلعح 
كيسحجصثثزك سليشعسشنكف جضتغحايوظش لوضعاقشزغن كفظبوططدطه رتضدهزقنمح مشعرخذحبيح ونظقضفصضظج جدنذبهزنتب ننففررخققع 
جضحثخمهاشد ذثحلقبذبزط ذنثنهجثابج هثغضضضعتطر بكرهشسخحزش مجصنبممتصش شعلزشابحصع جمغفصلحكتض هزثفضميبفن برقحلمسصمر 
سخنررغوندن زرغمثيظكصث نضسخسرضنعل قريتخكظجيي دتهضخحيتعد بذيلتوجوور قحالديميوض فنغعظطستصا جعمتدضاسدف خيثدجرقخحا 
