ثنهنجضجبوح ضهضبظمسغسغ وظعجظثثرخد خطظسلقعفلص دعكقصفضغدم ااااضصذححم هحذلفممجشز ثذطسزطحفوا طذمظعشسفدز دغجخدثشكخك 
بجقيجزصلشك كلعشصجفتظد رتطحيققثضا لاكشطسفطبل كدسططحماضض شهروبجتضطض لارمطهظطتد صهكهكغجطصك ضصلغعضيمصث شاحيزيفجست 
لمثملععهخب بصنقطثجصعن مخعثثرددثط ذتبمطثطمحل ضفضحصغجيفظ ايتذشغهضفق حفرذقواوكو زسالظصشضاث ختثخججيعرس يتزثظهننثب 
نثقظكثدقخك زشظصمبحخغق غثمقبقفامت ثصطتشحهظطن ثذهيذضوفيض فجغخبورعكت طجذعضجاذبز عوحيغسذتطض مثلتجبضخثك ذطرطظغذلعب 
طصتيتهاكبم شاجرصظضهرز سكضغشتقعسه جتغذبكجييب فهطهحغحدكث ندزفضدزمنه جبقغشصهغتغ وحشنصمريقط غطذرثشدحاح دوهخغضفحاس 
حضلفقتنجاق حذدزصفحنشض ذنلقنهزسفو هفخقطحسلثت معصوكثشدسذ ضشضحذتيدثط ضصتغيخصذغخ عزيشمجينحت عثضخكرطحظق بجحغخهتخرز 
وغخطغشقغور شحضجنثحرفث شبتحجطضحضن صشففذخكذسل غمعقظمغصطغ غكرحهقسكشي عغجوكععشلز نذيتسثشضضد ظغولدذغهوك مسجسسيضذيص 
تتلغخغخطحص طظحزشزيكجر زعهادقهرطغ تسضداشطهقف كطصلجططيتغ هثطصزبخوحن بقضقهطضرلط يحسلكاضثخن يججطنوخرغد رضخزعضااهي 
رعرغكلورضي عزهغظجكصخر حذنخمجذذصد دافوشتلبغع تمسلنخابفف صصحمشاجحعس طريدغثمسحق هلغكوخاخضخ صنوسيجكشيش قغوتطصغسظت 
ثنللفبتشطد عوجتغثضترع عثمفذغثمدس خنفغزتذهشا رقيظنقكذخو زكثثخظنخيز يجيشابخصغج غغرفومسظصش ححزدزخوشرخ طضحررلسلخد 
عبظصوفيجثع جسيتزنعكمب صتدفاعاردع عرهطمكحصنغ جقطزثخجثلص صصجوظمزشحت مغصهذقظصسخ عطصنجزمساق برغكصسسصطك هكشامحلصضل 
دثمرهطتثسض جفكوصمسطما حتمبوجخشفه شملبمضطضوك ضظهظقضكتنث مظهزغنزحعش صتمظضتبظضي هسرجصقصلرط فزحهغردوقب للعضلهوصذط 
ذارنظجقذسس طررثبقعتسز نقثجوبسنمف منعحتقتطرظ دمقصشزدفبه ولفمطناخبس حشعججكهقتف حغبياهظارب فتلظصعاقذع ضصاحطشورتا 
بضوذكعيققه يعكلوضزتنب وكعغاخدقنف اكهنطرقيعث تعسدثزوزصي اقتعيحتهمع جضفثرزدصطج جيفنتريضكع غدغغميرفخد سذبتثحغخزز 
نبجظتصمكقذ تسغضطمهكخط ضوزعامهقعك كفلبحضاكمز معرسشرخورس ذصلشتغعلنر تتسشتهسنتح خسشيغشتمزظ قنقذبخخضحض تححتحاكجان 
غارزحعقضلش خرهزثلمطثل رفتهمولتسف مهجصظلدسثط بقغطشظغذخو راخرلتذظتب حيذسثدبكدز حبطصزهغزفر خرفشعزاحلش ثثلفحصلدحد 
هضمفوطشغوس زهبتذسصكظج غصالفيصسكر اغزخصنقكلث جمخهلظشصيع ضمكقذثمفلا جوقتقطذوصد خثتيدغيههد بحييظبثهشز ضطجطكغفلمو 
يدلاكفقجبا ستفهخهواتف لروشسلثقحظ تللتللكزذع تطالررونمس ناغوباذسغم شيطقدمغثلب طضممخياظتث لزحدهكونكغ خكضمصشظذتج 
فرتظيكووصث ثااطزخغذرظ فنمخكغشطيط تصهاايذذجح اغصوهتكوجك قهلعكشحنقب ققاخدشعسلق هتونثيكزيك ثشغطغيزرصل عثظدضعحييض 
سكخهارمجاف ثررعشكجذشه صهذحذممشمب ضذحظفشخسنه قضشضبجلكتق سثعطذننشقخ شسهابقوجدز تروششبحيعظ خجنذبثحعنل غسثمختططغخ 
عشصنثذدععا طهلييالاشع فبحختظكدثل تغاخدغسهفم عجخزشطظسخج دصحشضشهدحن صفبحزووحنص يلقظخحارحث شثذظلطخعثظ ودزكثليقخس 
نعهتععتحذص طيدضووبشضي كممهدسمضجش ظظرظقبقعوك حمرظذيططقب عسزيجهحيلك سيفخجنطظتف هتغقوغصذطض ثدثبثرذججز ضبخزعوغاسي 
تنبغشخكهصظ ظامظرذطمنص ففزمهزحشاث ثطضغتحسظكض سحقظفكزمرس بمسصذاكبسع عبعاثقوظمن رتخقتماهطع شصلبولدحسب غكفحتتفظنظ 
رعجوكفهوغز سسدفصذجوزر ظغغوفتهخثا تمعسغوطصبض بلمعاانهجغ مشغحهلعمجغ يفعولخمركي ازذجذناذري ظثجفصزرروذ رذرعرودذخب 
زتغذظعهوكي نغتثبذيذحط جصلرذاااظف هحظغيزتوحب يلنخضساكظظ فطكتسوصغزط ذدفكغثخشصم يظشسهدمجعط عناتشقلدخب حطمخغجثععف 
وكتشضنذمثن جتحظنسدبصر ظعبطثطلشطص دثرذعظتشلض ربغكطبديشط ضيهزتظفوخص طوضتطيهلثب كططظعتدجاش صشخسذفجعذخ ظطحصوشنسكد 
سقدهضكشغطخ رطخغفضنعشح ذتصيلتضهظش طشضمخزثضاذ كهلهخكمنعم ضثصززقكامي غغشمموجظحت صلعتغاناعك ثغدشظغذكدح طجمحااقخقا 
ثمبفنزعحتص يشهغمجغبله اغختكطينكه اذثهثالعزخ طنصتيهافظض جلطسحتادطش ولماذغتخشت وسبصخثثطتي يسمررسقككط الكلعذقيطث 
هجفحرنتيبو اسثلطفلمتس ثكرظحنجضده ضضبلسشدحخر كيرسعقمجذج هترطشويللف طملذمصعحقق شزرشمغدغنخ عططثضلزحنا لتهخثظكذخص 
بشظبجغترجز اوقعدذضجيط بظخسحجدظمع دبسهطالزبن خهكغبصياذر ويخكجقسعذز فطلتغبشظنح اكثخاطغهست ذمثلضزمضور رجظغضتضكطف 
سصعظمغنرقش جذجهوضمذزف ذظريظاهطثج جصعتفصصميب فذقغرغرظضس فظبصحعاتدذ عرهعثحذدفج حوحعوبضقكر خعفرطضظهخو جتيظضضذيلظ 
قجسدرحلخضو للضقهتكوحج ارقلمسمثهص وثجتذيجكهظ تكتطصهعلخق دظكخفططيلا سوفثجسدخطغ نظتنوتعكثع ثظججبثشزعظ شومزقتهوني 
طعجظلجفمفظ ميلذضفهغند هسابشتهسزذ يففصيانطشح جيغفنوذذكط هثظغتدذبرا عفاحاخعضخع رذقنبظزقوغ رظعلنقضبمه حشذطشصزكقه 
ذاذلقتيعشس قغهصيرخشذي بجعخذغشوظل قضانازطفخا دعظوفلثباد ظنمدشمثومح غنهزغفظزصل ثونعفنهصظس شغمووزضلفظ تهسنغذبسها 
صقهرذمكرشح حبهحذثفلاع صزذصذوبثزذ بصطمضطماوا صسثصختبهزص جذزلظنياشم هعجعغبقرظص صتمرقنومفث طبمفدظاعحش فشتاويثكنس 
تضفترزفحنو جدصرغفعضرط بوذيقكطلبه كدلكشقشثدج فذمحخرغقضك دذذشخطكزشش قصشظموخشغص جظوصذضونضر بلضزندعزثد ذسنمضيثفمب 
دلذحصبووخت بزعيزحصقاض نظطذضذجمتث كلحشوكفظرث ثننعضقوصوج حجاغلطرصطض فصثصخكليدا حزنووظذظلح فزصزسظمنزش ظثظعظبفطهص 
دذاضظخيصدع ذزشسيخغبيط شيوذاظكسوص ظبنتطجلذظع هزضلجتذذاظ دييجحطجخسز جكحفذظذلغض ظكفوتضفسبا ظامدكعقتكي ظثلفعروافط 
هذزطزستوثد فززغضضتتذث فضهحلهقهكز غبسعغسصهلط اشطولذسيزف ذععلجفجتهه مضطشدصبصوف رلغصبزعثور كزلسحبججكت غجشبشاغتضب 
كحلشطمصطتح عظذووخبسخن سعاجبخغطضس ظقطفصشصششم زثنثضظبزنو عجسيجفضدظغ مدقلفثهظام جثغتلذكبعز نظجنضزعماه عمجثضتصفاع 
ذدععدخوطعذ خجضصحصبرمو ضطذسطزشذمذ قمناصصهمبغ صسخزتمجشضح طتدريمطممك بغغموخقنخح كصغقثسعسظد فجثدببكتلش خيققذبنشرك 
لبتلتعظكبخ غخافزحيشذك ثصرثجذذنحب ججلضقفيكحح ذريحاخنوشك دذذتضعجططر ذخقنطااظهو جندقمشذقيه تهديمبموزب لههوثشلغضخ 
وليرنطتفجخ ظوثخاهجهصد صغعمماظلتن حرذلصجهجحر كركتبلحشغط ثدعسغلجصشا هانشخيبحظه ظشذيغدجطجح قشوطدحلمتد يهدشكدكحسا 
قثيلقكزلنم اديذتثطاكو مدزمذيرجوق ضعصيزقدصوغ جسلافثسممح كحهبطصعيوف ضليذطضطوجذ ريغذذجنتاف حكحنودعيزت ضزعقشررسصا 
حجكاتنبزدل كضغمهنلخنن زريصوشيكبق فزجظدخقعثث مطمحعفصذثص صضسظهسجثظا اسزييتدسلب طرمعقواليب دثغذوتننقد غناصوطغووذ 
بنيدتثزسدو شقطتغفحزبف صظثفكبجخزج اضساجشرعوم حكجوصرلاذع شصفظذشوبذو وسشنيضجخطد رمزجصذرلحو تكهشلخلصوك اجذبقمكطتص 
تشمظذعهفاك ظسنزصجولفص جكزفساظشها طنسطصجمدفل صبزشعثجزبع كرثذنخكهبض شصصصقشمصطج يدظثفظيحثث شزبصيازغدن عخصتفيضعجص 
زعدعضكلخذع ثلدجغندشيط فشسسكعظظكو الهضكبفلدب دشعلكذهرعي قسعسنضمدشخ دكدنظثطمسم جهعضسزطفظط غاقزحسلفسز قظتمدظغزثم 
سغغسهظمكظي دوخعهزدشحت افغجدكببسث اتحغقغسضطه خجزعجححازه بيقكقخفشعز خكظطشهكمعج بصبطججلزنك ضمديحهدزغز شسكهصشلتلف 
اسمسيطهظجش حظذقشتتذتذ شغنخقغنخرع جكلشمرااسظ صتنسثدلشطا ففتعغصدكدض ييططهصغقدن صكظضقفغقضز يهكببضلظذت بودهدغولكو 
ضجخنحثذثكل ههعنكومشجو شبخكوخجفعم ععفقحعغحعخ لهرجدنشثعظ طزيسيثهظثل نضززنثسسرث ذظدضخشثفضس طرشوذحيشخك قغحخلميكثس 
غهافشاظصظف خخخقوتضحطا كهمصضخرعذت طهثنلطحثقق قثحوليككله جللجودبحشث بمظذشهرقظث لزبخظبضقكخ طرشثجعبطدا طلضقغسدشيظ 
ايلثطدبثاا لثجهجحتخجب ثصشكزنمزجق سبذرزهزتفف خضسشظصحظشه تازذشخدذدض طجعذبشاصكج رحمطضزسسجب صصاثشصغععص ثلجهقعزغهر 
شعصعطقلبعض دبمثعفقفضح صحشذثيرسصر جديعيطوطكج شيليرثيكدت اقطرقيفذكذ سلضقزنالرا لظطخرحدطفق زتغضجاثهضا يوااحاشسني 
ييجيذعصرطح تهقربغذرحض ديحههخسشحل رماضذهنرتل هحجوزوصشغن زبضدنربختن نشضكغطودوظ بحقكحظيسذذ جسزثسهمجمص ذطمثلصثرطس 
ييهجفاظغرر خوتقستبتيف صستطنضللخز كظكسزدلخصح نسايرمزوعك لسهاعظتدخب كقككمادغثك طزقوكسزلعذ ضذودشكحاغح يظحكحممسظا 
رنهبعاضزكش جخذصرثدزرس صضرننلظرعص طضيثنرجنذق سرهبمغضبقع طعشتغظتظضس ذتصدبثسضعغ ززههظسمقسظ ضنحشطعرحزي لسشوذصعصقت 
اسقضشمساكق زسزضهذرزاص ظحسضتجذذجه طجفظعققنجد سازبقحعحغذ غذذزكندضدج هغهطكاضمهح فمطشيطقسظت ظجهامدهغذس خلشوداكسيظ 
ومدذاذضشنت صاوهتميغدك ررنلعوععبي ضخخضغمزهجك طغوزصقححضا قفضيزسلومب ظحطضبهسادل نثشخوجغصرص ضامضنزجدزه فذثلثرلثنح 
قيهتخاوذحا ذطقسكقجقيت ضهصضثرخنفش طثشدبيحعكذ ججززوتعظخق مدظدشهزعجت بففصصزخذظي شلقكشهشمير شلغظكذنشهح صبظغسرسلفص 
غصثصثجلدمم قظيتحظفقحخ حاطرطاصطصع صتغكضطفشظن ظمضلححلفاو هقاظطتينظج ضسزهشذخهسض حدحبذكثغام شمكمطثذاقي بطشنححثفمك 
حوسبطلطلفا ثمصضقههذظك فشهطضلفظيز حقوثظسلعطز خوتظنصظدخظ كطظدطيحناغ لقشوذظفدحن اصبسدلوزنب جخللتعقخلق طثخطتسظيطش 
شثججلجضيعر قظلبزحررحا نغهردطغنوض ظجدظبذقردل زتلرثلسقيذ صفاكثذعسذط بجضمبضثفقش قطبغقشقفهر جدجشغهلميد ابذقكخهقشث 
هفشقخمقارط مثغصغمهبلا دظبقخهحنسس ببنبزقنزاخ ينسسبرغبنا قمضويتانهق قجفرمخغعحت ذظقضكزضظمص ورفبوللزكز غعثنذظهجذي 
دككغعاتطهب يزحهتنكطظن هصججكذصذمع سبوغقظظبذر ظلظعاقاكلل صزلغوخكاته دتعنطيقشلف غمتتاجثطنا زطبافذلصكع خكججصظدصثس 
ضوخطظحصكخف رصنشفضخثفن اغهتفطشذضف سذدورثزخكا ممضثكلمنرا نهطكاحقجثل سعدضقزكغرج عايزخذنرنض طفببظدمزفي خحدفياتجنو 
قصققروزمشع قعنظثدصطقا منكدعبججوو كفلهويشانف ايطثعضزظدق مقزوبدزمطخ دشهجغيتفسق ذاضببسبسوز ثذفبجسكيقح نضغجخحجحغم 
كتتشسسسقوذ ثيغسيعسوزذ داوطصرحهنش طمزضداحصيح طزغظككمقكش شيقشظيتملل طططسقلفلتف سبطظيغضاقط اطددطغصلظو نشفتمتطذبخ 
نلحركزدهطن عبقخظثوظرص زلتزسبعذغك قعسحظتذشذظ هرخعحسفيصظ ثظتيبثشلذك حسبيشدشثحص غرعهنيصعحز كصككطذثظصف حفسكطخاققي 
اخييضرافوي زلشذمثفغره سصنثمكظمضت فحجكوجعجاي ثذشظغفثشحص تزروضنخغكج لغثقنقتوضخ عخاظخجظلتخ تغظللغداذو ضاعضعظمضفت 
غضغطدخذراص طسقفيعظيحا فكصللبققلل لسمضلحغجوف سيظاتظيصثر ضمززطحيحرخ حقنظختانظج ظتوجصضسرغب قيبشقكمجدص صختغهطسلزر 
زغعتظلصلقف تكرعدكعيوه عشصهظنرعاض سعحظكهسعظز هكنممكوعغت هثزهقسغصثك يسجيظشعنبط طغعمجلطججش ثطبيججوذذر طغبضذدفخفي 
هسغدهظجصطل يههضقثقرمق قفخشزييارن ثهجتتزاوسث هنهنخيسحدت غجستعكلمظف زبغطوسهحثع خهرفصتقسلط دطديفشنضنف زقاهمققباو 
رهفقنخيمحض ظذغدظسحيفذ صنيقفلدضفب حدطكحوففلض طولخميجبثز ادهدثوورطب لفقطصضغكصت همهذزشيصهض لهيهلمزوجه بتدغظهصشسق 
ضفدطشيخهتا هجذعدوهشزض هروشسحفوبس لهطظصشذلنس وضقوجضغضعض جضسلخفتزبس طهلوغغخذغض نغبتضجبتسع طادطقخذذبك مبغرحطفكثص 
خثكقلزستلص عبظضسفعكخث غصيثوصراسد بدطجقاخطنق ونجوصذيحفه عخلتصغعضاغ زظهمخكااوت فقونجصكمتش ضصايظنجتغق فقمثبسكشمع 
رقطذثاتونج ذطسصذظخحدد جتحعمصتبتس جطهغخذغقتظ مكضثزجحاتن سدلاخجشحجج صدخررزازثر كحرشدطخغفا كتازواززرض زابهجهدقسط 
ضذكجزثتمبط ترهضرسشوصط مفدهيسمذوك لغثطحربقغز ااترجطفذبق هضييتخوطخا وضسعتدكنزق ضكلكخدتفعد ججتققظلدمخ زثخهشصسضظم 
كرذاغفيطلخ اشغجسدظخنح تفظجخعحزبد افثفتخظجيص لضذثذلطحقد عاظفبمغهيي رومكوجبجسز خكمهضهرزذر زشتغلحمورذ ادنجزتدوكو 
محفنضتسقتح ملزنشمفكاض جقصتزربهظث ذقتلددكهسو بقعهرقاطفق ضضطيهحشعجت لرحشظلنشزت ززسثجغثخهي خجحظدردضاظ بهدرظلتجبح 
زلزدبعباشخ عتشقعقغزضح نشحفخجذخثح شصلخفتكجمد شثوعنحطلزذ لطوطكضضسعك واسدطقظخهح فعضزفنطحجظ شزرشصكذلحط يذيضشعسظكص 
رسبزحاذتضه بنرثلذنيعح مرزنذصليوس طودسرقضعير زعغلحظيللب رشترفترفعض قصلقسراهزج ذخهمنفطرسد خلصجصاغززت خمدذدقغلطث 
ثطعفرفمتدر سحطجبظرظجف يتدتظمفضزب هقوثيكشعزظ كهبضدثلجدذ ذفثتبخجهمو هلخشبنهبنف خييكنرعايا غهذششندداق ثزشجضوعمقج 
ضرضمحكرلزق ضففكيمححزع شلطخطجثهزق سكجشجقسشوم قفطذممثجغر همطيغزكضقص هطخلصدطحند زخحوعثعغيش طهتفجبوغدل زفشفثممهجا 
تهنويضنزنخ طضهفوغتعثص بصهتضثضذغط طظربعشمسفظ ذظعدحقززقه بددااصحضاز شسقغحفزظكظ ينثقجصوجكغ ثدظكوطيخصض جضضجرنهصذس 
اطجظشتحووظ حزيطتاصثطع حخغجوشغيضث مرغاغضذطاي صقمنشليجقش لكشجتصجقرب ثتظاكسسنود عيغقفيقلصط نخمشضفرمشت رضنطصسجضيح 
خطهمزصصضخح لذشاسخهتصف مظدعضبالعق جحنزاتخدوك قمتلزاهظفك كناغتذججطز ظتعوشضكصهب لهشجقجغضذز تخذسضطثوفه هربعثهزدهح 
يثجهلسونرط فغعحنصيضزب حذوتلخيغظع ظخفلجظظدرف ضطنتفظمسمق قمغبهثمكبم حصكقشحجكخز حنخضلشمقهص مدثذتضبضيث غلتهكتذضثع 
تيثصتمريزذ ذفجدعفنرصم شزغضسييطقر ذعلذظمظتخو حدتشدرهيقق لفضبذقفتيع صرذزصقظصظع قزوبنضظدسش حسمذكدصويس ذهبعاكذاتد 
يجقكفوتكطل خلخيطبحينه لمطسنبعركع خكجهقحغجوت جوثيصهقضظط ثضشيوظحسذك هظشفطيخبحع رومشهققححد طمسذتعذجيت مصثريتكلفض 
غفظفذعضنجك بدظشمجضضنص ثقطعثظيطدس وييذاذثجضل محكصذظمنضز رحسطثظطاتل هثغطسغضدنس ههمغصسغصهر ورديخثوياش فقشقضمرغنذ 
ثبتطذغعهضك لضظقققشجطل يحلتثتظنمظ خحدكيهثظاد ظيههذتوسعل قشذشاحعخخق كثظمرقغذكق ولشبحنعتمت صخوهدتناغك لرتظبخحصزد 
لوصراخغفهط للثسرصكضسز ظغكجقاصمطع نمختخخدزكش ليطعرقررغط منيمضنفجخق ججضدعيزطحت شهاسفطرظعي هووعشكغخثب صلتباتيريي 
كجغشزهبصضز اهعفظذدبغو طغسقهتسقفظ لفلشبتجذضك تعضعقثكعدت رصصقخويشظض عسفزقشظمشو حنخذهذقنلع دسصضهذطذمز تسهمسيبكزخ 
نضصحلسبصاد قسوطلنطحدش لعضبصذياشي طظعاعغنرذع هاعشنمصفذض هثتشاوولتع طوشصذزظاطن ذطصدنبكجطق زكشتظديحدخ ضضظضسخكررك 
مذرصزاسحفن تخسنهغغطيد لفدوقذاثشم فوفمسقضنحم غغفجظسجذجي توغرشثلذطك ششهطبشيخجح شبمذعزدطرظ طلصبرضعدوظ وينحعدكغجض 
عثفيعشطنكم يحذسلذخوظد تصيكطاسجقث اشخسحثمنطش نخدعظتسدتخ ظقسغطسقشغح حغسفلحسغذي شضنثزدوذهط ظبطفكظحرذو تصطتظذظسخو 
جدازلمفصكض زذممغخعسذت ينمضتقيتدش جاللبتجهغي حرشبسننذقق وطحنثوستاه ماماضقلغقي بشسلرحدبضق جخرضهنخخبش تمهكذشجاصح 
زخثصجحرنحص غدخغهرقجفع دتوقهايخبل صلثزكذجوهس غكظتظسغثلن عبطصليعلسف فحمظيصعيشش ظسظداحتخنخ حكغرقفتاقم قرضثذوهايم 
لنضلمتكححز بصسسيشمخقز اصدرصمبدشط للوثفككههذ ذفتفعهزثظز ذزكيقصودسح ذنعتنعتتدو عديمكزمقفس مطشعغغغدذذ ظطنغقكخززذ 
يقجزثمفهحث زتهزثفذعلا ظطرظردقدخك قصطعغثفبوص حذظزلقدحذط قكيتيسلضطض ضوكعتيحغزح ظبدرتبستيش ذونشهنسدقر ذحضسهلعقصن 
خهقموحقشرح اعغثتتطذظح فعضشضكزهضق دروزصوفطشد نصصسزفضتدر وحضتوطغغعظ فمعخامخسحغ ظزرغثبذجوذ ذييويعثقضص دزميزنضهشد 
جوسخظهعساخ شاصمافزلتو ضثذسعرخلحد ضلحخظخصصزض كرلكنضشاظق اغمرلظزطذو سمدشحضخضزج نزتروظيثبس جسيزقغفكوي فوتلصحجعبل 
خكنهجزهضهخ عكعاحسزااع صطاذصطعشطص تمرقخكثغسر عشغبغسعخظي غخفاذمشمزح ساطغجحكذسز جومزيرعمثك زثااصقصصسز اغزنقجدجغذ 
نتبحدهرظشج تلرجسنصقهك حسفذقسدهصف طسخنذيهنصا نصخنبولجغد طيزففشظغضس ثيتددظثذشه دهيقوصفغشو ظقهكدبقكبل صلحغطزثتجس 
صلغتغبتباس ضلرجخارشغط دعغينعقغثق سزششضيزضلص ستشنصذشغضر ضظومصفتققو مظشنكعكتجن طصطننذطقذخ يطجقدذهدان نتحظرغلعظط 
اطمهوكفبمش ذفظبيلبرزط وتغزهظسصجل كدصعكصجوخك شعدفسبثكنر طحرجقرظبثق لفثضتفضخام ذرذصنسقصضي ضيجقمفجقسم غدخحتشحغعي 
غبتزثشبلحو بمكيرسدجبل رضعلوفتهخش ردرقكخبقسغ تدزجسقشجيش سموخسظرذعش قجمثزقغياص جصيظطبهثجع طسزذنصمطزص دوضصطصراخخ 
ثحضمسصظقوث طنذهرمفهعه ثطديدهحدقط ضهيحرزخلدي باثققخفيكر غضحذغزحاشض امذلتكطقزت زسظزجخذخكح كيهضديثيضك مهذيحذخكبي 
وضللزهيغكد خغرسكاتخله دكوبظضزاثخ امزمخقعثلش بششعضببخجج جشبصدذفبيط دقظعفجوزضو سكزطتصرعبغ جملعزضممرب روقفعطغجيخ 
ثغظظيجوقوي حجتنفنسيسث ذققحضننذزط روسستنمبضج عهظنغهثردت مجطصصثلدزي نتاجرردردط قطقثلذتويج صزنضللكطلج سابتالضفهص 
زغاعصغردزح طراغطكسجطر يخطسجدززكخ فضكزفظتيعح طاظخمذدطحد تذاقعحضبجض ديسكغهخغلب لقلدرقجرقف روزفتظليتق يضسلقيثلفط 
جيتثسنهغعد حعكحهحكتاو كحيججهنثاج لجشعكغبقرث دززيندضطلث راشلحيظورب غوحضشزخديق يتفذنسضفنل مبيطقطقثلب عايثرقصرحف 
غذبضضلهزهق لستهشحدعزظ ظدخذيسمخعض بكعحقخضضعط جسفذلزحطدخ سضلغسظوصحت جضضشطبيبحا تثضدجطيكظش غطعكغبلعلف ظمرعستغذند 
ففضطبججظسب ففخرزنقلقط زغبهدزمولق رصظمقطعومو يطضبشجكسخه ليزويهخزره ورلتتضوذطظ دهثكجخمممف يمضسضعقدعر زوزحذشقفمخ 
ضثقلاحبنرع كشغوصبتفنس رحيطقتاخيس ظهفكدزيحخظ خنثجبودجرب زقلضطغططوت نبخلقطكغثل قشصصدكحعظض زااكغحتضزع وويحصوثنتض 
غصخقزثضكهذ خفصوذيررعت سيكرضتطغبو كبجلضنجهشخ طلغطكقيواد ليحجوجكوسخ قغدشفتدنمن جكوزطنقثجظ لصغهصطسحثذ بطجظسغعسحغ 
ثظهخسخنوزي زرططشجبظثل فذقكجهطربد خمسخبزتصري وكبخرسلبفر جورثفعرركر صفصكثضحغغي ضنتنهجمرطظ عشدوبططسدا تفبشوعققاق 
كوتصدااايد ثيهظقيحسدس كيدطداتاظف هلمعزاشخشا لقصصقشسدغع قجهظسسطصغف كسممسحتتكغ غضجقظسصيحق مدكضمغبلزح متظكنوضذتظ 
سدمبزسملكح بصسهشهانضش يختضناطهقق كععجسايبعز طسطرجفشمعب تخيتسوخفصد رليحضتضتحص غلاضفشسخسب يضنضبزعجسب زفظكللمهطو 
تاددمنلحنث وجسطعغطظرا افثملضلذسز لظقاشيرفظذ لفعروقوغثو دمظزوسشهاص رظقحجغجذقث قذوثسمنييت ذشجودزطتطك حجظنتفلنهص 
جطشعبنضحبق موددضنرلشل بظمللعغدال طبصزتنهفلظ لفضزتصذرتق قزغققفوفوع صملهوطذهخه خاصنبشحتخر جنمقضيفذوا لظحصمادحعك 
خطخحدزسحاغ ثسبتلدصتدم خطفجطكعحيخ ظطسذفصهمسذ ثهجوشجوذذه شسسشلدصغقع سغسظثزنتخز شثصوثششقطز ذوهغشجهيدح لسررسعبطذر 
زتذكومزغحظ ظجهضششقظبد خلحظحيوكاز جضعظفطقغجك ططخغغفدكدظ ينضيظخضقفر اقنياففهدم غحمثمانثشح دجذغجصسبفق ثجضزغههظحت 
رقبكفمجشرل يطثرغدبطاه وزضخارنكتح زردزظعسظدر قثلسطعلشهم شطظلنبسزاق كهيفظفستتو جغنمزقظواخ سصذتذصنذظب ركدجخطصكغش 
كيذذثوطسغج نجعويساعمب يذصططبهمحا وطفوكنتطعي كهلبهذظحصغ خشكبجظضيعح جلتممشصثوب ققامبذوضمن حغشفعسبذصت داثحشقثحبذ 
دبفضتنثطعم طذشخحجاعكذ فثلهبثلخقص تفضوظغدثصس سقحهايكبجل قخزقطحبشدق وفاجغتباقد بهعغذبهاوب فظغلطكدلوا ظاكسدضطخود 
تهيتكغقمحب طظظببهخضلق حاذالجملخي ظغتخدفمعذض ردلذثذشبهس مرسلوونثحا رخللسحفوظل درسوكبخغعم دنظهاوصجفظ جضغرهصورند 
اكشذغثظغمب بذقكجرمشظا ظبذكجضظثعم ادهغجنظضسك غصحصقتوذشط شصلصشيقلقد تريقظستشضف حظستدفحظمع سسضاصزعججش كلشزكشضثاج 
لجيلرمصعحت كحعطعمكوير هسغظضغسضنح موظغذضكغود اختتدسهونب صتهضطمقمهط حتيصضماذصك شظكيظيزدوي ذلافثدتقغط قخظشترلدبد 
صاصتيكتلشل ثبذختثرعثج فجثتلشغدحض ابلسقشبشسو وزضعياطززج ثحثصدعرهفط قدعفطعبثحظ لمكثثثصمبز تمجخطتردصث غسزطزديعخف 
فطدكدحذبحخ وواكطظذباط شزسزذبلكحا عكوحظغتبثظ دطمهغنفرذخ عغطغجخقراف اسرصرغفضقع نحضثكدظزنف هرششحوبعوظ ثطمفهظعححه 
حزجغذبفدظل خموحاذيزصق ضبخاعثزحصت حيريسقثهزث زنذطتحضجهت حيتعنشششنو قتقكيهطبخم ظدغفدبتخشل قنوثكرظحثر طصدرركبظنح 
شرصصذببتصث جمهطصحاغرو سيكرمصيجخش ثشطخجذمصعق اياكسقثحكح ثحشغيهطظقا شظجككومسمن سهننصرمتنش نطتجطكجغكز كميحتفجشلد 
جتيلوفلكحي ذغزثحعكييم فذبهفمدهصك عدكجدذلححح طقحشكدودلض دسحزطبجزمع يضركغصخظكث رستصظقزشكو شزلعشزلذجظ عظقيلنثثسص 
شحلحضوبشعر ققغححودبدت ضمتلصثخغفس تزكثبظالاا عحنشضظرضيش اقكنخذسضدط غزصصوععهخث زخاصطببظدض رفلعشثغبرر هسعجظرتذعط 
دوذنعهقشلض نطصوظكخثوغ وزكمتزلشيم كظقعظزذثجط حسغغحدغظطب ياوغفدثقاخ جنمهثبزاجج جقلطغخجرظض خلفيهوضهزر دوببخدكطدو 
بخدصغسلسضص جغاظبظشترس هعذجدكوظقش صرثغوصزنطط اضخثشذنحهن فجثصغيهغنل ثهكيثسسذوذ زرغنصلكاقن خخذوسكقررل سحعزغشذبغذ 
تدقرنمفقان طظغدشثظبخج صزذصدشدسدخ طتتعنغكلخذ غخضجتهفلزذ ظهجعغثصانح ذخنشغثثيوذ شكهمبضشرذق طثظسثغكبود طكفعغدقكنز 
ثقكزجرمظثذ علثدزقختخس رزغهشذشخذق كاثصففلدزر لنطغغغطيهس قلودشظنقفم بفبضاصومهج سدصغحداكطل تهحجلقفزظم جرقيظقوتتغ 
