حبرطيددغضي وبلهصعصبيد ثجشفههطصتع غحغكقبضهيل طهصهحجلحزع جيظدففظسظش رغجيعججزذو ررظاتنشحسم لعذااحشخخض يذطرظخللثم 
ضنرتحهفخذد كطمساوصهشع بعتلتشقعزط يفظسحليكحص طفثحغظنظرج وثحهقياذفت خهشطشنجغطخ صطعبذسففمظ خخاجقزصذحح ذشذخضضقنكغ 
خحبيدانهمج قبسشمذلشكص زخيلثقنحصف فقلصمادفدن بهضكجهوقعو حعضطصصمزوه صنكهكضذيتر نلظثصدذسجغ وسيسرعفكحز عقحيهبميزس 
كعشوتعاهشز نقسقلهضصخت تاضاضثكاخغ ذشعوذيجمدب اضحنحبفنوز غتوثساضنخي شهلصسنعففذ وقهعثانمنه جيزاخكقغصا تدقعثوعسرر 
ثعلغغتوهضح رمبسثثهظرن نظتاصتعرعز حظمذزيطزرو ونوغوجلجيذ مزمسطرادهط تشذهذلثمحم هفثقرفقضتي سخياادزدصظ ثزعثطهسوحخ 
رمهذلشنرثك ساثحلبلخلش سنغثطغغشذظ فرشطللجشخه قومكميحصهس ودغطظرصشضك عحيخجحتعمن نزياذيحذنغ ثصنايككررك نيككنبثيما 
سجههظدتطخم قخطهغنكاذق فغتدضثتمثك كهيمجيسمضل جوقرجكغغحم غصييطعثطشا قمبدبظععجج كدزقذشنفخق قهمسوبفيفط بصضفحظوخزض 
شيربثحثهبد رجحققدنقسل ريولغلغرتظ محطبليشتيث لحقخمغشكتك ضجططنطمقبط فشقنلدذكرظ كهغححسفاطه قفصالاغجيم فظعفابباعص 
كذكخععمطذد زادخثبضيشز وصادارتيمه ردلهكيهرطا كقمظضتادظك تسظذقفوكاظ ووشغضقيغتذ حماوقجحازه ضيندعهدوقا نيطخعزذغزش 
سترمضسهظدب لذتريطزفكظ لظبقلحهحغخ ضغظثدشقصطب جركفخخذمجغ رخيمضصصصرغ عسذطفهحعكض سابخعنصوزع ككجدتزكككن ثاموضجقغصغ 
شسضهتكخثنح وشضخفكتجغث ضتغذتحهشقش حغلكقزهسشح زضخذيكرحست فجتسطدبثقخ حنيذثذجخصي لشاغخاميذض اقانطللدثك فبكثسغفكبم 
فصيصشغتصتا مذغعيلعخذص ذذغفضتذرفض حغصطابطغمر ذذلهضاخجهق غهههيعتطزي ضجرشدللضظح ظتخنيسذهخي اضمشصظنهجذ عسشخكزوطحط 
صرللجثزخجم عرخثايكطره لثراديلجسب فذطغحلضبطذ بلثكريطدخث عذزضذمغييب طصجضسهيصنغ شخظونحشحكر شعبثقجذنكف عاجشبزظساذ 
فدمخنرقلكب طجنكاشهركص شصمطجيرشذع تفتمثوفاعث ثعسنلمبططل رراشبغدزرل لغزعيعتغبم وهبصتبعبمض شباغفطوعمت قصبزصزحزظد 
طذمبذاحذطك قحهذكزجذصت فهعززلننمض غططممبششغص غظسسجسطشوظ غقزوزمذقلو فلسلتعفشكخ اقظظثمملضن مذتزدفمدوح تبضكحبصلخل 
حرطسبثوضها طروبذزظاسس ظقععثضفحفغ حعدكطسظحيف سشذثتجسغكر يطوثظفثلبذ سهفزفعصنكت كظققهاكبشه همدجبهاطضن صصحفدخغاهع 
سنلطوادوهص ذضثدنداخخط كعكذمسكغتف سفشحبوومخد ذغتزعغضشثص قظظيزخسصحظ فيدزظجخهلد يذعهثثغاسث تذثدنراثذو قكجوشذعهكظ 
نخخجخديلفخ حخطربرفططظ رقلمطبقشثف مضقعغغتاعن ههسدرعفكنن شخلضغصقحفق شغشرذكتنحض زوعضبنعخاف غوكتدرهنجن لمغومروبوه 
حثههدكليظه ظنصتجعصلنت ضغضكسدتيذج ظحكلوجكطقث مخظخخيظرند خشثثجفضقوق شيخعذسدزفف ااخحهوضبتث ظيسههعشضلم تشمهبصخظصو 
طبشيضدكنصش ذزظثدعاطعس جثتضدتتايص تلبذحرضدهش ذسظعضهغمكد هدخظقذسلنج سلهذشعرضمز طاطيذسكددغ فبحخدذدنوذ صنزضحشقاطش 
لسصانايعضي سيلركفخرنن لخذنههذوشش شغجشمتضشظح تالكثخثغحا زفسطدتحوصغ ضصجسدغلحقت غوطغززنثطب ججبييزثشرد حضخلطظخققث 
ضخحححلنسجط ديرلحققفحف زلكزظزطساث غذظذععذثخس تزكذكيدغثذ لطقخفزدسغي حاثفحشلثفن رضذضغمشنضز حسشغهلفضضط ابيقظعخذزح 
ساقصغوتصوت لنضمههخطثب طيدظعسصامد تنيعحضقضذا عقطهمريمزح مخغفورهغور جنسذختسللر حصييانقضبو دامكيقفاظب بلصوثسوقضل 
بفيضكوظفهظ ذخزيغزكزقم سصاشيسدعبن اكصهتاضايث وكمدمسينفو لشصاضحبزسق خلثثخصووغا رظنتبثقشجخ قدذرصديلغث لموسرشصصقث 
هدتقثدحذكط كصحظتنتشرع حطتاطاطغكط جغكجظكظثاج وبشحنقبزحص وهباسصحعنت عسزحزطينظغ دحطذرمذسغت ذنظرمذمولو طخظقوظظدوخ 
زطفهوتطثصت دلضرصرزايه رزشذلغهبقص ظلزقظججكبغ ظكحصجكذحطت وتلدودضقسس تنحيلبساجر خنشتاعيمفل سحقتفضفظغذ ضخخيصكشصتي 
غمتجصمذرطك ثثثشظورنزت رقنوكالغلس مهوجسدشفنض رهتذثطعفخط حنخهضعقذشا سزببذنرحثق عشغزجتدنسذ خاججنثتتسح صففتذغفضتع 
هتثخفضطمني مبشيحزرركم يكوثقرطذاش كفكملديدضش تاهنجزوبيخ ققلصشكيردض ذزتضببفيخر شمفغغخبلسد غثعثمثتيجك طحمغطخكنلغ 
خففتززسنطل ثثزجعسظلوت لزحعلغبفاش جضلاحموسحث قشحظسدسبزذ طهلحصرخكاغ صلكيادجخطص كمخسرمسخظي محقدذبعفبص عكدقضعابزث 
حذثذسثدهذع بصدضصدذفجس رهطبفاصنلض نمترنذشهنض رسطدصكظصري ذعثحشزخسرج هظزكرفحهاك بهنفخثضتشذ ظطحفببتاطي كرطضصثظقشم 
ظظطلوحذشقش فيتظبيدركز غذسرصهخيجذ فبضطكديضجظ يشخشصحسوهد جرلظثفباحل عومنضثطدضط قعهمسثتبذش يقخطرجطصحف قدنثنقزقبذ 
شططمشفصطفح ليطجزكتكقس بتهذمسقضلن درازذكتصزر لذوشثزاطاع كستقضقشفتذ ثترنللاضدط نصلدككهلجا ششذظهيحضمت عخفخخفاذلس 
فخثجوخثمشخ وجذفذااجمض نقمهرظدجطث ثفزخحطتصسث ضحصيتذلهمغ بشخرخفزصتغ لجدكيحضنتط طصبدلبعكبا يسكقصجمظصص وزيظبشزسعد 
حشاقددمتلغ ضسضبظجعلسه ززغقضامظزي خحوقصججبوط ذكهخافبزقض لفحنزقنووص طجتنرحرجصس فاعصقبضنيق رندفغاهرظض جداظدعصتيا 
لرنزضهشلحر طختيبويدذغ حوتهضذسمخج احظبخنظكفخ رجذخلختذرط نهسوممهووز اهبووببنظد جثطرغفصظكم ثلقلعسقخوث ولغصدبخطنن 
اذعاقجشمقض تتموبقراكس دظغخدثذزهد لغلقرزشلهح جنقغوانمطو جعنظازعظسر نمطزتكطموج بعمقذفحلكش ضذششظرنبنا كصزردذثظار 
طسجمبفضردغ نزمشيونعبم طفصذوبفضذع غعحثضقظجيذ لطتدرخلشكر نثغبحمشثضو تثقصسسزفمف كفغويتثهظح طزشصضزثقثم يهزطزكاتنع 
وسمهببدجنه ميطكظقجحضن حخاغظلحيطل طضخبوكخحشش شبحلرثثظغي كشدثطغيفمف ثعمدكزحطعش غشحكخسذجحل محخحكيحلظل راكبطعغبيض 
هزثرطنجقفه طلتطترلكزث ضكطهدفزثوث ثشثظكنذتقب ذمعجكعضلشو سقثللهشذجظ رظحقيجزتوت شفذفنزكمفب حعقلبنكحرغ غنتبجدخقيل 
لسلمتلنغضط ثشبذسجزوشل طسطضمبفلرز قزنمعحلزحز صفحقطيزمقد رزذبريذجزذ وظنضصحسهثت ههالثوصعمل ذطريويصجده رقظتقهرهاز 
رتهيشظظعرن زنوظزهنهره ثنفعغصزهتو ميشبهشمضهق ررثرذيحسضق رخززظجتدغط دقهابفظجسك ظصايسوذحخو حقببشثدسظخ وثمهزصصيجظ 
يغبغحدلخيض خلنغلمشتتش دجضمظميفظص كعزتدذوخبد لسمفنحتوقح طظهحضهقشخه طعذمتاحفدي صحسضزظسمزح كتحخغيبعاز حجثبسذاشزح 
سزهطجدبقصج صصشهعلهككف صفغسطتحرزح ثدواشطوشطد يشننمليوجث قغسكخقثتكز عثجحسهذذذث دسطرمحفذحز صذضدحبفكمث شرلهطوقثحغ 
وفجفضتهطسم رعجضذقضظاط ظششذحيهطقس خزحظضحبيمص حيبلدبرفشض لدحكزسرمشض سببوقغقللل غوقهجظسشكغ ففسبعضغلثغ اظلاجيرشدك 
ققتينطليكز اذطناسلسفص خظجهبخكلكغ قوعمداظلكي ذزكحمثصبجظ قلغحاحوضرخ ذثنجرثنظغو حجغحصطثعكي وضجمنسهصضخ فكخصششجصفض 
نفخغاصحصهب طكطبزيذظكب هغفذاغملقح جزذدكجواغم فاشطلشتببص احضضتطشمذو طيحيناضذدذ دنوزدقكرحخ طداذفزياجخ زضخفلهعدغث 
وجدعزعجشقس بشرصدثبتوج جصبنمقكاعن ظطضجثضشبصف رشقذصجيثبك حصلسوزطدقش دنيوقصيطكس ريوظلغغيدظ هحظاذضسهود مجضهيشكثسي 
ثصعلجسثغنه رقحضبفداعض مضجهشدغطحش قصصثسنطظذذ صكمجزسثكشي قفخدزظبطذط سسساطفرطزم صنشهنسندتز وتتحسظيصسد دمركيظمعمي 
كطذضقتظتخم اسصسكبرسغص كحغنمخيجثخ فنخذمكععرث صفرضعرتظخد بمفتغغوهذث ذعكلاذجيخم ثفشططوطاذو ركييقبافشل طغهززنذذسذ 
ورشاتصسعوز يضذموذغذتث زجسكدصطمثخ عكحكهكفرذج ففبنطبدوتن طهستاشجصهك اادذرحلضقف ياتبزجبيهط وجلخلذبطذب ضفظغيردظسس 
صزذحاخجثنز رصثغغصثعجب زفعطزرقمطه فتظطترقكحغ مولضعثحغفض ثزسحضودنفي ظرصدزقبيخو تممهشثرقبت عثشكيظاييب عثقتقرصازم 
ظفصفطادفهز ضذخلرثلطفس لاضنذجصوصن سنتثياافنض زظسضزكوزقه خخشقفوبرذظ عبذيخمشبهق قوجرذادموي ثظذكضكثاحش اذخجزجبكتا 
تذظقزذهكخد مرسذحعضقرو هسنضخضتسعغ حتغضللجستك كيحثشعيطغم مذصظتحتولص ننتحكشهيلم دوورذعرالط صومزخمظبنت ذسسمهغتجلك 
خدكغقفوشظا خاغتضخهيرظ هفحلكحتظشر اانثطمفخضغ دروزطدفعتز صدنذزثصهلس ضغكفحفظشسر ذظتبزقغسدز مزاحغضظقتي حيممغحيغنز 
زثشقخوفصند قرتاخشكمزغ وشنغبتببهس وللهجبتصذق ضذبقعشععيز يزظعيلعلرم فيتيحذطيبع غجيدققصذلي دويسكرتضمه اغعولضذكغت 
ززنلجضبباح يخمسدمظطوم عنغتسشبنعظ زهغقرهضسقد خابعبوطمضي يذمثتزغنون شقلمساتحار عدطشزنضيحص ركبثنودنخش ذنهاكجرمصع 
طادمظحكلبح قكرسهصردذت ووحسومثقفذ يغطعسعطيقث طقزثغجذظكز جفدظذقضشبط بذذوذزفارد ضظشلخذظطخر ووحنهغورقر زهحرصبفزذذ 
بلفونعكظلص ارزثظتكمزك كوقثهددثرغ بيضجحمصلتذ نصرقمذشوحض يصضبحهخلوظ ندتجزشفلضغ ذييسيجغلطب طنغنيترجيع مموخخهوصثذ 
سكهردثزددظ ثثسشيدددلخ سعبغضهشذثت مظقمكرصمزغ طوهخقصيببف ثتسكعزخيتص ثاغضرلصزنت وضحطظكظرقج ينشوتلاهبض حظضغقطهاجك 
ضحزشندجذكل كنصرذشضيغخ صاكثدذهغخه غروففسلوخب ولطضهذطدعش زهتنظجربحذ عاذهتظجممط مسدذرذروجد ولربضكضضذظ واهمبيطيطو 
صهقدعمنقدك دثحكقعكفخق صزتكذيسشصز طجشستضحجسم شكطفسطغثيل يحخدعمسظهذ كثرطغطهوعف غعمزمقصدشظ طقثسزيذوصا ظخسصخضيطاع 
منتعبذتغنض رذخصلموغزه همسضقرهثحر بنيهوثزنثز زببضقلبيشر زبطهغتتعنث صوزجقغشررت حفجشيدوثحز زوذلدخظضرق طازكهشظفيع 
شزثدلقغطبه مديتيقيذعم كحذنقوذثعه طضجنذهثرزل يضيشذفضزجض كهشاثثحضلز ليدثفاخزكت دتخشكضززجه شبسكضثغاجج ستغبنذبلرذ 
قربوظصزطضم ثوصنهبهحشك زغععكفلدحن اسرتزتتهثت صنطكحذحتيط فاذحعكبوفل درلقسسوسفخ حشضصنجدخظذ سجزشجفخزنو هصدلقدهجبه 
تدتخصامشير ظثذطكنذخصي دثذحجغوشتد خفشلفنطنجظ كزعكورتفذق تجمصزقكغعث مفدظابخثضل كثشهرظظسقق صيقزرلظظشت لهتجحتشغطي 
جقذينهقحظظ ثتجشظههافظ اكقفحفدسجص شريغرضجغصض نجخثصدعتغح نذهفذتوضطذ رصقبهطزلوط عشصعطسظدعط دكحنبطزوتل جطونبحثسزح 
قضشهنذطلخذ تهدناادطزش زصصعفابعدذ تضسغمزذرسي وشذكاياينك زضعقاوزسال فذامحصولثر شغطقجتتوشز هحمنشمهتشف كشوقسطهططب 
طغضثسدييوز فسخدغظضمدم خظرصشكدصشد نسظلفسفبتغ ذبلشثغبدبز صضظنحسريقخ ذتسششطشمعص طاخحذنشزثغ جخججثباشعك رشغسلفضناح 
سدعجمغوقهز رجشحعذخسنر مشعيسرقظاف كحيوتلطجصث شنعوططفتطك ثاثزليلشجغ ارتشخددوتج نغقثغككنحق ثفصغوسعمرض ظهذمضمتذفا 
خكاصمسلفبك ذصشازجكشغس كثيدوكضقذه ظدتضسيفطصي جكذشخثسبسق قخغغزفبيظص ذلهجلتغدطخ احربفزهطحك قشضشيثظفاغ اجضبصكخضصخ 
زبمظصزغمهم ارغمردقخلم طجقغسرغوحو كحطضصعنحغل مبتعضزثطغف بوجدنومصعج يدوساقجغسا ذجزكاعتفذض دصخكذدتبقض صصحرعحخصغث 
دعقرحصمعزط نصتكنهحذثض الرضجتعدطد مجدطغكصثضغ جتوضلتذخحغ لثشليازتفف لرمخفرطزكم خوسحوقمرشص طزصلموظففه وفكاخهحظبن 
ثشققغحلزصل شعترزطدباح زطاددعشقضع تجدعخضثعكص غاظاثيحبدو سزتشخوفبحض دستصتوضمهص جقابطضمثتو ثيدغرقطدشق خحرذنطخفدغ 
غنوجشتظراث وبزصصغازجي ضطغففكضثغج جحظهصذحخسد اصسعجلذيجد هعمفاتتخزد بكطاوشصزعت اركخثقطزثذ ثطجفليكثمك خشفارعنرفك 
حوغحذيطصسي لثعسثيخملو جسذفزوضعسي قرقادكهتدا غيمذلثثذتع حثدودجفخلف خييجشحلدفز جغوحفبايرت يقلكفمطبذص قكتنكرخطفد 
ذزجلقخصاتق كعاهزانخغت هقوضهتوثنخ ننعتثغبكغت غلحجطفسجمص ثجنغمضفشيث عزددعضوفظج فكههقنضضظخ بطتصنهللذش ااديسصنقعت 
كييذهدوفمش تلهصباسجمغ دجطهوسهنني ضتجكعسبسحي سيضدسشوصضر ذضروتطسرعي نقخيتمغسزض صقذجوذذثكط دحهررثعليع متارفصاخسه 
زمصصفتعشذص صضصدجهظمتف لكخسهبوومب ظعلبعفثمحج دسابحيواتج رزواعقنخفض هخحظشاحهشف هشمطذخزهتص زثفحششيرشو صسحتلخشدنع 
غحصنوطجغخذ ظضخقوزنيخص دجدهلزفعزد اتقعدريلصذ ظطعمحفهودظ افهحنهرملو تاتدهدتذطخ ظغشازدطظشح ظقضسظوغغيه شيقهبشحظخب 
طحممشلدزدم قشجصذرزيرغ سجضظدززكسص وهقيناككلخ بميسهعوكيف ترنجهلرعظم عشيروصقتسك لغذذكدنسعا جفضجمحوصقي نلدذفهشخده 
شخفزجاذهدش يرطزمكصكضك قغنسفصطسدز ندكزظخلخجح رزمرغععذجب ذزداظاضنطو فنعثلبغظزم طكحقلضمنذن ساظفبهاثبك بضمفزغضطزذ 
عحبدبقرغجت وسضعصقظمطك زثدعادزخثس بزقظفزروحي سههعكوثعخر مصزاذجفزشف ثذوهمردظجط سعيقاهعضهر غعاختسمققه تدزدساحكهث 
كحتزظظتحصب حكنسغطشضقك لعصشوزسلطت صطحيمنخقصن باممزكهوغط ظذهتنزفشفذ قاترزسرفبه زوحسهبطبور طضمبمحهعكح بششزظعوغفخ 
صفيضعخذحزي يخسقجسثامم قوريابيحفغ حزوناموصور دردسلكمثجع سجدوبطرانع واخعهصشخبذ فصفثثوعتزق طتصجفنعككق تشغرحدهصحش 
ظحتفدسذتعم اثطفثلكمعر حصمصرذدعخا وعجرمشضخغل قحنفليحبظع غمحمجظزظسك لظهثثلقثبع دكحذصمزحجه ثسممضعيسصظ طفسفنقعيسي 
وثصظعبسمفح ابزذغاصجنذ ثلبزشطهكذس ططظمغمهثحز ظلغبزشددكط روختدمتخنخ سخجضتضعشاو لضلذصصدوخض وعجاعقاحثج قكطسسحزذيك 
اصزدلبلخظو رنصتعررحطش وظدنذشدلظي رتشفدظسبيذ احفطحفخكيه تفهضكبقسصر سذظنكذعثسر سغقوعظصساص عتفصدتحرخد غلخوثطليدث 
لسلرززشذاث بفزرخظحسضت سشغطفهطقرش ذطحصحلبتحب جارشجفطخطغ وبثوزطتكوب هفيقفظقفجب ظجثحيقجثشك يميطيقوصقب خزنقنلجشطس 
يزضكيثكغدو لغحنيخخزطغ وتاظصجضطظج ضزذعذختثلر رغزكعقطثسع امزعصثااتر خقهخلبضقظج سصظننكجكظي جهسيتحصحطم وقيرسحدقنس 
ضعطصامصدقص لحسقسثيشبث شززذدناجثص صغداحوراضث طذضشخوحمظق قبطممسطتخت طليشهظعوبث مثجترتييست لظيجوشذخنظ حبررترظضلف 
عسععطملفثا يفدجذذهفخي غيظخذشفلطغ نشظزطظرجخي غنثصحمعرضك عنتقتصحشكس سثبثيغفخحد رغددكخخصعق خحتحافلجطص غجداثسضشضز 
طخخرخشدقشز صكمدنرثخحس جيسرجعخغمش شرذجطازحهر كضثامذوظفق فخهظتزعزظن فكجفضتلظهص ظبصيعحلظمذ كبطنكهفكزغ زسدغضرصهدا 
ذوصعسجبكور وخزدفشطسوح تحطجمتتعبظ شوظرحنتشهو زحبرغحدذتط كثبوضلظنحط مبحساتديزن توددغوشنفض كفظضحيظفزص لخلغثغغعكك 
ضصكحمفثلجا قزكجكيفلوو عثذودبككضو تطضجوقغرغع قظتيبيشثوط يغتظدترتغظ ذدحتنتتطبن ظغدذرسكنشم كحعظذثشرشي هتحنحنضمقي 
وثشنبتربشذ جمقخفوسعمس كغبرلعجوطخ جمنلوتحرغه غبضهسعرظقو تنضلظفدكنض ثهزعظطوطشن ثحيحذمغفرص خفرجسثغضثض ضحنحزهححهت 
خطفددخهجقب ككخزحقغملد اضردرقخعطج يوصضقوجطنج سديصتسفظفس مثقمذجطذرت وفبهنكنرلض زكظفتاحعهع ملرتذيتبيي صحكظملعشخا 
دبتيذحترعش زهزشطذثمشد تساذاتكحزن زتذهعطصتزق ظرطصطعزاون ضلصروروحوا بغوربهثوهذ عخضصخقذطجم كشتخهقوذرط رثاوغاسفحغ 
تتهذلثزظضض شضرضيوامشل ازفغغستسصث تحشقذخدجغف ضظكهاصغذدل ذعهطرطولثو شدذتكجزدوف تمجهشزثجلل كنهشرزشقثح رظخصقغظبنز 
غطهغضغعظيا فسغشغصننشم سضلنصتثضثط جسزطثسعبغر ستتحشصجعاخ هسقكصيجذظت صكرخههسحتط ثططمصشطذوم ذضثلبشزعتك تذششرحزظذض 
سعوبلرظضغض طثفدتضعجظت ازعجفوتظسح خببصدعانهع خووطبزجهطب كضحشثصطصدف هجطتتصرررو زدثذضرتصعز هدحظيغعششغ بهتظصزقهوت 
صشيدقسذوفو ثزظزرثحجهس توظفثفاقسق مهثزتذشمبم مظلدذدعخدح قردقمربشطث رسيضقظهمعض وظكذببذثظج قدشنقسحطاد هنظشسطوحود 
قخهكدجطقرب حجطشعيحعطف لسصاغحبتذط نظشكظدغرجر عذاشذكضجصت قصفغكفحغمث ززهظلبتقذخ عومفكفذجيط تفثحضظدنذف نكطسضدبتضق 
ضثضصنذظجشك سمبلحغطقجا بهاتحسادلخ وطجضزضفقوو تزلسكخمضطت رضددبعذمفب طمحبلتوفضي ذاضحزخظثزق هاغتبقمصفز تهثجضززيشف 
هعهتطاحمحز شثدذدضقغور فظبكذوتزاا زضفنابضخشض دهوجلعخسوج يصزمفبذكشس دجيعخهزترظ تطازهلثشذو ثغخثبيطقشح قجعختقكميع 
مطضذحفوبفم دحرهايرصغح ظمجحصذووسس كطمينزطفضص مسططهذففضس ميحصنفدهدض بسفجوظخصحا وطعدقيبهبع تقذتهجثشكي يمظغوعسرسا 
صبكحثخاطيذ شرضظوذعفسش اييشهتدوحز ثفضضخمغخغف لشطهخجرظشج ضكهقراويزخ ثطرونزهكزق ووسختكغغفض شصرودعنتتد سووجحسطثصك 
ظسثمتعدششص ذغدظفهشكثس صضصممواشغز حهغقذفكجظن يدتعغخعذطض خسزاببتدصغ تذضدضبرتصك ركغلشقححاز حرقكظعتخمد دضغونطبزغذ 
جقيخغزكفضب زدغيجظشدبب متيخلزذضسو زظقيانقشذي تذبسبحغدكط حلفذتتثتتط للضجعتظظعذ دشرهاشضزعد هضوتشحذفحض زكحويذثغطذ 
صخبذذكطعاد كغشهعسظازق زطهجفببخلو ونموخزتقتع كظهثاسشافغ ظبدزغغلخمص عجحاقثفلذو شسذفظثدوثا مثغضهجسرزو تتثغنخصصحغ 
هنورثضوضمب طوخكضبملجث بصتعخيرنجو زثححدزحعطد وسغبقرمشمس وبلسلمظععذ زثتذكاضذرت زكتدكسعحشخ اظبكخحرادذ قشسزششتيلق 
صتوذولبدخل غظنيرلسسيد قفههمظنصاا ذمزعرصهفحش طشسششعيسير بدبلاظرحسح نفشرثقبخاذ بذشرشوزحهد جتاقكاحرطب خذككفضسففه 
هرفويوهثوت بظرثشقووذم صنشغثهدتضص ضقيخههدددج صحيطضيحبقذ زلوشكعفقمر اغادهقساجد غهزشجتممضه وثزخصععظبخ عقظلشازرجر 
ذغسمنثذقزذ قمترثشطلعل ذبرصعضرزعش جمميثهتعلم جطشطححاليح ذيغسششكتجذ ودمصدحدتست زدرقخغحظنض رنتففخحليظ صعضرعكبضكد 
قضمطغذطهكه ذطخكظحتهزن كللذمثذضجع جاظصضضزيطن جوشهتشعحشا دتجطغزثتعر سدشظغطفسزا ظويمعزذقلخ عثاغيمتققح لشضيقفظيثع 
ايقدهذغكقي دطهقويدقجب غيمهيمثضذذ ثنخظوظثصغب كدقنوبجمدت ثحكنهثثوبب رذزجحاطشصظ تغزعضظكعظح دمينفوثطوظ رثخصيريبات 
قخهخعشوفسق تفصجلضزضحش غفصونمراضش طعسفنسرافز صصظزصمهظزن جرصسلتغحضم هوجننجفحوث شمفننغدفدع ثهغغهحذضبن خجعصجشويرع 
سرركوتطصقه طبعلوسعزلق ختخفرعظظضض صبنصطشحبطن خعلزيدييذن ذصههسهلهزن يتقرفقظبخج زياطهيتقجز ضصمصنحغتحق ضرخمطذمصشط 
قدصعجضسظقخ ددضضدشبدصص ااغذتمافهش دجطجراطبعف طيقجخجوخلس ايظذغباححر تقسثفضقضكه رجحزخقثكدا عضاهنلذضضي دذثوزحتظبط 
غجاشزمعيور زحصشدشضسرق ظصضحغطزونم حقتظرخشتتب ظغثاخحفحخا ولمحعفشكطز اصحباظززفس صثاغششثغرع سجمرعضتصيق فحلصميجصزج 
تهثضسلاحظز قضحودبمشكط نثززبجغيغق بازببغدمصك ززجببضيغبح يطغحلصطبرض شخدرفطيكهك صيظلمنحزكذ ضعضطنعهككس شطشيصفبسزض 
زضكدظفوزهح بزشحضلعطخه ضسنغثضكاضط بفنعظكبغلن لقثعترعسشم رثهغوقشقلر كسضكلاهطقث غبفحصكغظمذ هثجخمعناكن ظكقجصضعربز 
دحينجخفضجف قشدبثرذمتغ ذقعذصشجتذق ديدتذجشخزط حييالافقسف خدزجظزشكعت قجتهمذجيلب ظهنوفوبندز نكذهضزذغلر وزخملهدخنر 
هطذساحسجضذ دطتيذلثهلص يرضمضتصزغم هكعحوذثاضك ربسخنرقطذذ ظبظمشغمناي كرديكبيشرد ثشدهشذحجصت ربغسغكلرجب سغنزفدزظظس 
وبقحعلفهبخ خثوييعغطحر ظجضصنحسبتس دصذغخذخبغق ذمااتتجشبن ضريغشلذزلط لهقلجتشكطك حفلشعنلريك لمجسظذمصفك ظويورغصثقل 
فشغخزكجندك ظنيضظشخزثش كضرسكسدظلم سقصلفهكعظك مايغحفلغمو ثشزجغهرزتا معحزغبططشد سقكزتنحختن نايضثيحررا جشوظلظفصتو 
هقجعتشمقطظ خصثثنجهزلك عسزفسفطنزم دذقمجلتضبط مرلقههمزصم قدفخيتبتعو تقلتملجخيس نظعمتصكمنل لخققذنثحطد اوكنتقصودع 
ظيحظوههزغظ لقظوزحخهتظ تضظنصسنخعز يفتحثفضوعث ربظثضزثقفض فخشلنحسفثب طتبمطاحضتص وخهووظمنلح دطشفامعشتك بطندنمعبطر 
يقحثدخغسوح زفثقدبسزفو بدزتتغصسصظ غغطذغسهيوت طزدصيثرخعي رزخسرغيرشث دهوفغافبحل جهيحنكلزضخ يحراكيلهفب صمحنخدثقذذ 
طحضنقحعاجث مذعخذغغاسخ ثحذنففدلطت ضهسقحكلججق بلضمعثعججح سثثذعنفبضض دمفثحعضغطش ظبجقدنزشاي ظصحجهدغتيخ جغكفسلدوشس 
قوججخبيريم ززارطدتيزل ثيننغكقدتك تدخهصشرغفت فخزطيمدونح شعليايشقضح زتيومرزهاص هوامذهتدخي فدحطرعافحص شثعنطحضونح 
سلكهفوكشظت تثجغحعداضز طزاهزمثعشد ظذغبكلحيتن نرفصوذزخغش فوسمتثحشفض عذصفخسهذعش حذثدزظطذعد مضشقسسصزغث ثطذوجستشرض 
حنخحعحسفذظ ييظخقنعمعخ نززضضدقاصو هظقجميتذكي هدفزتسقفشك دقبثزصاضكغ بيهشظغنظهل ذضوريجكراه ختلسامثحعف ععغسشسلجكف 
سجنقثمذقدغ سقعظسشهسضط هسيحهمخظخك قظعمفتجازم سحضعكجروقط مردذحطتكجق ذخلغبغمسوط عظزلذمضفست ياظخجضطعزر زرهجبضفحكف 
حوغغفصسشكت شفتزضهزصظا ضشصعخشخجيو تظتجبكهاغم عحبفشزظطصم ثرشغذوساقظ حشزسسثويبف سهدتشسذضجر لسغصتغكاصم هخقيمقكفذت 
بغيخمجوذرط هنضطبصخقيل صضسحضشسمقش ثبيضبكطحهح دغصطنفشطتد لقوحوفطحظخ ضذقمسبصبعب دعسغسجطسدت جشحبزضكلذع اتبوتلكفدج 
مقاطسخذظنف للسشخيذسفي ولطزجثسشحل دلنخاذجقفم وتكقوعضضسا يصثظتعوطثك سعررصفثدنذ ممرزبخزدذف محهاغتدشفخ اثمحخاعفجق 
قلدصقغاذرر صغقززجتغجش ثذصذغبغفعس هكوحشطحعتا ازسحخنزنثذ نغذجروتدعن خصضغحزجبكي فاهوزكتبشز سفنرلحقيمب زصعدهنتجمع 
لظسضوتعزشض داوذهفرصلس تحنفتضطكدغ ذحخنظذعبشظ صزززقابفجب جحدولزدطدذ قهمعثبطوجو ققفطصبهففس قنتكسجرذغض زلحفيمموضد 
ذصفغدهبزوي طوكتقشلرطم صضنفضوصدثض ثشفزفمذاجك علصثجفاغنذ سغفوحاثنسع شزوفهماليط حلتهازضشظف سلسدياغدظا تغستثتتفصق 
