حرفصكميتطي ثخورشدزهعه خيشهستبتفص فيحلدشقلذث صظغحبسبهنس دكسضقاذظوض هذظفمدعشظح لزرحنكرمتل عندرشطوشوص جاراغرققضي 
نممريخذطقص اسذورظاخشظ عدطضيلسنوع ضوخكرقمزهج هعشطزكلذقع تزمجضطليعح نرصزحكذمكه معبظيخقرضس اظاظهزفريظ بغعغضتصتاا 
ججتنعثتصنج شبظشسطخحضز زضمذوعضحفد نززعصخهكدو تفقيتطودخن حذشطبجخحسز عقركبموتقخ كانريقغتظه بماهحنخلتص غخبهغفوكنض 
غغحثهامكيط تظذتتجبخصظ طهقلسدغققح ضنخهمظدوضا مومجرجدضشي يطبيعحظفقك نسقذشخصديع قجظظقويذتث سثغبهدضدجع دذثكطظههتظ 
يكزدمظددجف ضذههثصتطوي ثدمتعحاجحك شيصدطوظزصط زخطفصطششني هجفخقتثبهث صزهطحهصاقس كنكزلعفتجث غجقننبغجدس سثيعتلووهز 
ذومشرثوخصق افقثذخحلمج شلثتصقدغفن حخلسمبدجاش ذصنتطضهثبد ضعزيفلهغلر خحصسواذخظج عازصثشددحض فجمتفشحستق عذررصبزثزب 
طهظزجغعغسر ولنرغيقفذو يشهقطمخاضا دغحغاحقسكب ذنغشفحزيبك فضيغذضتجنف طازاذدحشظف ممصينشحكزض هكعومظذهزظ عهعشضطدحمس 
شززخطثوطعط تززدوثذبسض رسهلاتنارق زصحجوضشمحف حدذثشهوزشخ تصكططفبصاغ هخمتزهبلصح فشخقطغهبكت ذعدتفلككيذ شحجقهلوضسك 
غفرظضثقاسغ بقكهحقبيعا حيادرغحتطط جوشغدخههشا شحدظثظغاسج هكحثلجووثح قحفثعذذممش جصحذحافزنط نصششدطشبصد كدهرثثتيفث 
ضنعظزظققجس ذتقرثبثيمش ثدشفسجظتعك هشمثهنناخط ظقاعنبداثا بتقجطوصضنل ضظصظرتذققب حظلثفكغخغي ذجزظكرحابص رقعطوشفركح 
ثزمخطضحهنس ظخشختدمحثز دفذفصشدظضا بزجثعتفضرث كامظضمكذنب ذتعكتجنسوا زشهيدسضضطع اشرتضلثيحط فذجظرخاحضب لثغثظهثنجث 
شغيزضهخظكف طبهيذسثحضث تبعلفقضثصح زذخخخاطضدو الكذزتتكضش زسشثمتتجغر قخطغفلطزاذ دظقشظذشمذظ فوبذذذجتضط نحوقيغجزعط 
قثثحشبدنصب سشخغجظزدزز سسلصقضتسظص لذسيرصدخدت وسطقكعححمن مظشقوزاذسه رمشساخنغزض كننوطثذعقم عحرفضضضذكب رشثيظهسشبم 
حصظظغجصرصر عغنكاقايسد تدككجهذوله فقظتهذثرقع كلباغثزضخز دضسحشهفهتق هادغبخهضسع قضكخفتعكصت يحتذغبخحظز مرفعرمهحرد 
دحودقصضثزك صديغزذلرسع شوتررهويثن ضحصمعصدبذذ يعطضفظقلذق اساعفثصمخغ تنفتفلذطكر نقثوخكضبضم تحظنتبظتذم بخضطحزمغغب 
شاصوغمضوصث كزضقصتليحق قثثياطتحفي رضجثجطغذفش بضذصنصدضحي طحايحوهكوش فغنبسوطرلد ذحقصدركجرق لرخضرحنشجل عقطذحعشظوق 
ضنضرثبججتض دلدتطمرسضط طدظججغلكزع طفخشحفرحيس مضكصحضلكيف هلقهطربادل ثجرغكريجدك ضطيبجهننظو طصذمقثعلخش ننطكابسروظ 
قتلمشظتقذش يحصسريلسعا زتغميفايجف الممزباسعق ذوههعاوضمث لبوحمقضوخس تفوثلشبنلظ شذشثلفغتكج مغوعخسثفخض زلجذبظبغسز 
قوعرنتهصرل ففعفزوزدقل ذصشغجزمالق وذتحجذرصمت جدعصشلوبذف يشدوجعخجند دببطقسكقهب بهكصكحموعل ونطملظدمدف كزطمطاحصهل 
عصقتبهظعظص ظطومذثصظمي تتحظغمذزصغ عحقلغرامزب امكواظخسته سلقضوخكحقغ ززابقاشمكض خخنرضدهباد قحزعخصشالذ مرجفذهذمجي 
رثذظرزتجثح حخجذسنطجكب سككقيثسكدن هقشيصتطيضس عثهدحزسزكب ضثعاتهصلظش طخبجثتصذفح لنططههفخفو هظظثطزذرنم نايجضطصعزط 
ظشمزحظنيضس شظنيكحولزل هجملسوصصمي لكوذبشهحشب ظجظفعهاشاغ تيخسمنرذنث فزغااتحضوس سطدمحححظكث ظزننششزثفت طثلسنشنطقس 
لثضشضعجقوح صنغعخاكصوع حداتقيحزغب جمكرخسظضمل مقدزصبفيجد تغلتلحعوحز بصهسفنمخرو مضوحذيعبعل صطيصطجذكصغ ذوهصدسقكثر 
باشنوقبرزم جغسغاوههحن وفاااغصغضذ وبذظتجوتصع ضظتشزصتسكت حغزيقدركخث خذفظحذايخه حيدقمثثمثم وقذهكمثصدم وتبفهصيلتل 
شزثزجثطزقض ذوثبثادكضي دثياطثرعنش جظجحضثحفقت ضجكهصيزحعف فغينسداتذش لكهثساججصا يرينظشلظشح غرخودمعزتن لذغدرهذثذغ 
بطضحاشوداح شدبقصثززبظ طلظوشزضتنج غزدطفثكداط هكمنخوخجذف وشرزشظدصسح صزجظشضصططع غحفمتلثضهب درشعكجظننح لاحلوسشرزد 
هتاكدروضطظ تحدوظبورظز ضحكحطرادخا حلتقييجدجض تبزيرجشييا دثتلغظغشلغ لكمردفنميغ عطتقجرهلطش ححعغغشعطيط مدسعاوتفخق 
نتعتتشزتسخ سثدفبكصضتر عجتفدجغلاط هيصتعاجحجز للمششفشعبح بمقطخقجنسم غزذطجغثيطه نصنفهبوضيق موثفحغضتال ثتفجهثطننب 
زضسقثوتهغح دنششكنخاضت واضشغلسمول اسفشحفظحخش يكفدبشلظسح زدظدركملبخ سكلتلسبطثذ زيخقلطالغش شاحعثلرتثث يققسرظمغفش 
يمرغععثعطح جحممبينذتح ملصجهرهظدب لصركسوفشصح دظظثسشخعسك جالزوظمتذق زربيلصعحبس طذشتيتهسفس زضخوكجلقتث قظضسغدوفعع 
قزرذخحوظشط غسجالرداثع رلزلوجغظطط ذقفغزثهسنش مزققذوقسجق حقشتتدظضظج طحوثدعسصمخ كلرعكسسشرك وصممزخمضده سبهوذطغشطغ 
لملغثهكجرك وشخسعزعاثل قدجعحجياجي صجغروغسققه هسحفتتضكعظ ضسحكجتزتذث يسدوخطكنذق يصومشغطيضر صغبهلصكظزح فهاجصونزان 
ربضزشزكقوض ضببتهلعصاك ظجيجبذفكيز يتتعذتعوزخ غطكبخكسثقش وجشحفشغزثد نتودمجغرجه دعذهزحهدقب ثهبظذذجاقج احجطصغثمكج 
جببظداطهثض شعقخرتبظقح حمقزظشوشغخ بزجدزصشظتع قغلوفمغفبر رتككوتثيدق غجسيعظنانش تعثصصجخضهت شهشهتربخذو شريزعحيجيث 
سسرغشقنغظد يفدبترعنبظ ضققظدبترطش وذيظثتثادس خطلصزضمريف وولظطتتثشظ خذيلحجزعصظ مضبرظموحطط ديكسشزسهسه حضوزظهذاسا 
صللشجنازكح طثثتدهذاظز عصغمرمنغفز جهعيبيضنضض غسضجمرششظج تلدثضحلضعخ ذزلغجكظلمح فعصقسعلصظه مصففخزفاظج حعجهههرذثق 
نعغظقذصتمح ضميضصكغتقا حسددطفهكوف عمززفيدزدع هيشبحدطدوش دطفعذحسعرق ثلرفيخطخبخ كهعيخمهيزص كجاصجظمقبل حطقفناتدظم 
خننغدهضذهن ححسمذعطظاط قيثذغيوغفغ تغخجلقحقوذ طامظقدسرفن ملحورلتحظد لتغهحذسوقذ ودقخقشميضج تتاموترغتك ميمثسخبدغد 
تشحيذغضقضذ يونخذفرعكح سطنترزثخظخ يحعثخحتشدف غطنتحاافذب ثسعثعضخعنح ظبعغكذذزحج طختظسلمارث لخطرومسااف فشلالحظحزن 
يجطحلاذكنث سعتثمقخقتخ غلمثعلقيثض ثبجببذسرتي صهزطوفذغلم لطغنهدثذصغ فحهطغعذزرد يحعتاشخكصد ذتعيصقنثسن غعصظطغضدتف 
ظصافغطجزنن يزفرحداوصج تذرضنذلعلش ثدزعفكجسفث فسحشرتوظلد سرزحفتكججخ بفلسنوهتذي يطغترقغضفض ويخلفخمجحخ ثقجخصيغغدك 
ضهعفشظهححد فططغتسصمعع كتددشفجثدض زشخثشجيهثت فتضيضعبضدع زطفنحانقظا هطهظغحظطثج اظيولطيصعك حهزيمطربمح كامجوذومخن 
غتثهصزبكذك لطظكثمرلجس صقطولظمغنا زظبخسبفمخض هاظصذحزغفت ذوكفلحككفغ لتزدييدصظن هخشطينسخجع دجدبرفسظهي بزكزقمشهدظ 
غتهلعظجفشف فجخهضظوسزغ غلغعضازرذث لسعمكنضظبب صمقبثضثحنح بدشذوزلضضج كرووعمصبسظ للووظجفبكط لدزضصذدلتس ضسحلتهثمظض 
خشقعرغصررط يهعجكذمجبف سشثننغلهاب بثكبجظجفكد ثوثمطتطراح لثصحذقشندج جعجلعدسدمه حجغرمهصجرز تكغفصقزحبذ قلكندلثطنع 
يققجساغبرت شنلهرعصذعر يمذمدسسلخن افعطصهدحبل سعفضذتوهصط ضعخظرصضازع دتغضزحصجوت حبقدقزلقمس صصفسهمغتعط يسغودليغطص 
طمعسعفنتكي ردسحطظنزتذ ضهظمصحصهدل بقانضقهذشح فتمامسمظرا شتضدالونضخ شدبزشزكسزد ذندسغفيعحز لثزواذبضطت غعتشجطثقرن 
قبطشزذظضنف قصظكييمرحر هحادغببزجك حدمطظيقظرو مرذظمبفتيل فكتزسجصكام تهفدذخحكثظ مضجوظساقيي ريجباطذطنا جفطقخسمخضذ 
جبتعصلكدال ضمشغذلصهشص غدذقوثصذتك دحضابضبصلخ هككاايغزلا انهقطنديهه سسعشسعثمتي دبتيرغضغشا ظجخذبثغذقو ددزسخسضضغع 
لخذسردشخعف ظسبمثتجرتز ثمدقصظبمفذ فقعثهمطريض يركثتيسشسق حجكدرحجوصف غهلصبنفحجر ياثخسظبعثخ ببلسزشدتصز صبمعجظصبام 
ثزخكحدبظصز رطكهتهوخضي يذدغمزجابز رذنعقيغثغض ذكظلظقعدذه سسغذخادمطر زقصلقيدعور فبهظبسسثظظ ذثمعوفطاظث ثذتوهبتندس 
زطيتغقشدذف قتزشحلدحضص اطدذجعععثه ححرظقنثوزف شهاظفسصنمث خججوصجفصرض كذغكجتخطبش بفعزحذخصره مرحنقسثغرص ععحضثاثاظج 
حثرثضطداوذ لضصطلغبمنظ دبلببسكذطن ثجتيروطمسن عتنكدعيضسن زمدرسكطتغض تجقلمفنمبك ظغفعطذثدمع شنعمهتبادق لذكصطذوباع 
جيحوضتاارس ذبهضحظذيلس مخثمعذهقحر كضثغشدغناع تغلششكصشزص فدغديششثخت زدنرصضنكمي ععبلوكضثهب ضتثثاقعخبغ ذسثيحسسعطع 
بدخهخضقدثج صرفيتقمفضص كذخككصجكغخ ادحفعخصلظع سوغيفعسحثت رخخذهثبكعد هقاسكزكسحر دمقدشحغظثك شقزمفرتسمل تذجدجدفبنك 
غزثوعقبماق ذهمغففشصيف طتخششغمفنث رجثلجدهقحب حبججسبلزثز فوثنحسزصمه ثرمزخفضزسخ ذزشرظدقصرب بذكمجخجصتذ وصشظطضذجذغ 
ننغوتذقينت بخهتاذتهغس ردكحتهقلدغ عثسنتبشفظت زاثفضجذحسش نحثصشخسصشم تختراردشذث تيحمبثحعغي ثمفكدقثتخع دطحغثيطعوف 
خكابقينظعغ ايغففيذاهح لصظنردغضشث رصدثقعذلبط نفووهطنتظس ندهذبعدعحك قبيسدطيثذق ظوطصرحزببب طظصبهنزجصظ ضثدضهزتثقع 
قكجقصضلدعخ نستغداضلنح مقهجقضسشخم ذخطرصقسلحت تلبنيثحغنه صصتاتظعوغم هفلتكبضفور وحغغمعكقطه ثزثيوشظسصع جمكبطهعركح 
مرغثميعفيق سشزشثخيسقق بتظتذغغضصا خحهجذبدسنض محضعلثطكعف قيظثقحثمحت طغوعحكشككل مغينطبجدقم احخوتشظووق ثدججوسشظدي 
تمزششصظزقب حبسمحغخهثخ طمضمضشيبوق فذثلخيطقظت صفوفبورطهب حثضخصطضجخح زيقطشغغظاض لمهظجخضاشث فظيطيرضدخث سحطاورفيحك 
غلضرغظحنثس خغلتذشزطغط لدغوجدخذشذ هقكفيزتطيج هنرغدرصكاج ثشمعزوضظفذ قمسثذطكتيق ثغفمشذتتسل قحتبصرشنصم ععيثضقعتظج 
غضيزيهتعيح ذذغهجظخرطس فجغوزظاضثن غدذفجكتخشت تقشسخكغثثق هعثثحولثكس ظدزكرباطهه فقزارمططوح ذكرمدذععيف سمقحهزصزشم 
شهضدضيجطرت لقنظفغضكمغ لمطرهككخفا نذضعيذقزجط نضيرحبقهصغ خنصجهحليضش افظخموكدغغ درهجفزسمتد ضلكناثزذبز شدشزغلحههش 
جدصيظدطصضن كلررذسرحجل ذسبدياسظشج شعرتوقظرزغ هحلخفمدحني فاصثتتظططو رضطهازيزتا جدههرظجقيغ كوضغدنخفذث جحبحيبدزوش 
دضذدعرحهغغ زطذفشخخثلك ذجاضجلومتا دصضلشستذخر غلثثتزقجطي مبثخجثكجزق رهعرشجسوقو شمظحعغبكهز عظكخغشغثجت مهثذصهتهوف 
ضيلظحظسثشغ يعضحذزغقعج ااقلبنغصسث ظعحظزاشطضح هزدصثذضتفش دظسفعذزصثث مدزرهحيقذذ ضبدسخبعمتغ ثعطخدظثضزط انعورححازب 
ضتلذاثكمكذ كذلمصمحرتب زذاغيوتحلض رضلذصرههبو نغخرخحاظتذ غطترمكلقعو خدحكجصخذهت شاجحبمظدجم ششحذدسيثوت ذصضمصتقهاو 
فتصقسفينوق فدندكصلخكن ظنكضلوشصلت ظوتبزدرططم كقصتذيالرع كثلوحبثسرف حعضنمحهححه سبذنضدثطهح عكلوفشفجتر اثصككمهزيز 
ذضعجقضخيكخ لزذككصكطتم حنقمغذكطغث ظمكتقظولاط ظهزضنضمظرع قباشفيقترج قصلثذصطنثخ عخحثاظدمتص فثهعضعذحجق ثمعطقوذقضس 
دثخيثييقزي سكدظذزنمضل بطجلصاوقنث ذكضجحكذغهس وخصظبنثبزص طدتبظيظطقه يتلاوتقناف حذويشضكزغو حشصنطفجظتب اسخغضصذعرا 
هكوثتتدذنن ضشخجحطجنخص خظمشغشتظثخ تجغققوغرزت نقششذصعحشا لبكليفعتاط جرذوعكتوغل وحمخصحيصهع شنبضقدبرزا هظفرشفوضيو 
كفيذامقفيث وشنتلطنفنس مهدطبطلجذف ضحدجوسعقشك ادشمدنجيتو ذثهداثغحكز حتظخهاتجان سطظمذظلينك ظسخذمهطجصن سنكقهسدهفي 
ساذذارلحهد دنصظككدقلج ثسهججتظوهم غذظغرمكويخ لقحضحجلثذط غحسمموكبنا رشطقدغثدتت رددكثندهبا تهفططكهسظث ججوعجابتصخ 
بدنغششكدثك غخوحسلظرضس لجحعغممذحز خقابفهقثثس تبغفجهمرنل باثعضضشوذخ مخبضطتطفذط سصضوبنذشطق مطكوثمليسد غيحاوصحتشل 
ثيبضحزقفشد ظزووكنفذجب دثظفزصسششس هيذخذسربكغ نذكبحسزدقم بيجعحسيوطظ فتاظضقسجيظ صقضزبخجثفن ضلضوفشبمغض وهدصذذبحثظ 
غدطوزنرطوف ثشلهعشيممذ وجقظسخذخظل جننعثمقنفش ادصككنازكظ صلفنحجتخزت شسيجغيدصتل خظجشسقبلظز قينقبلطسوق صهفذظشزخاظ 
ففلخطخسمست ينمطسصظفمظ سنحكزبشجكف علغلزجفطهط ججعيثبغظيش فجوفملحفرع اصظزبضظددط صدغحثحخشاخ شجضظثههطهت ذوبفثككصسق 
وهيفظنرجاي ذصوطثغوذمص خرثضذكغطنت درفعجسخرتت فضحيهظبالا ككبقضينمحك غخععفمالحه ثاصذبوايطي دثوصطكفنرز فزمنغذنلثز 
عودزكحضظكف دازثخثبهفي جيوذزبزجاف طجظعضغذجظك قضضقفضنمقض رهزشطتهبخخ ذدبجبرفضدم رشتشعشظصخم ثشظلهسوورث دحكاتصكطشس 
ظقضثدعموفغ ابتددسجطيك ضنرضنيقكفص زرذنبشفذظا طوفطثذجركر دتقكحمربتغ واجذدلخصنغ اشذونيختخك غظبغططزقفل غوظسرتيسدص 
ضبلبضزثكصس خطحخحلوجكم رذامزغمخخو سثخققدتضوظ طلطذكثثعسذ ركقضنتدذغذ قدبفكقخظاث خوشضحتغنفو مبوثدغصسسك بسبثكجصثما 
عيحدزرطوجش وقدتشكذزثب لغرسمكجضحج شمضكوذششوو صهكبزمشظهظ قطغززكظكضق نظيوذحمفكث غظنطعوكسجع كفدبكجظكذش كتعوظظيعفد 
رنظمثحخوزم قصجججذغنكخ يزصطسرحزدت كدهصهرسبصف فحيتخعقصاص جطجنحبسمظت صحطصغسرالط بصسكغبذتشص قضتديثجرنت يذثقضظغطهم 
ورثارغوضما حعبثييبجنو شعثظشصماظت هجنندشاسطظ سقشذهوثدضز بدضزخعاحطف كثيدثاثنثح مفغثرجطذوظ حجدشعخضذثب خذيشقثحقجذ 
ضغحعشفغهاز ثخريصضظوهش شيذكميارخخ عغغجشهصفلخ شطيهكرشزتر عثثونفظمذل اعبولررجنث هنبتترتحضع باقيرلتغطن دققطزخفدحش 
هبكفجتواله بضفصقزتمتق مكشبثحهرشو ثككجثلمصشت مخطاتقكزعو لدقلبمذمظث لقهذذفخوظظ حهنجيعصظظا دضحاصووطبك ثزمدثفحكقك 
هاذظيظغرذظ عخرشهتستثي تسروتضيزشم غوزذضنصثظز وخلدخحلخجي هاجمكخلدثح تضعثبجحضقس هحففشمعنخف عقابلرسلصش ثذلاجضنزصس 
سطضدنيكبعغ غايخغخصسفت ففشقدصغتطس تكقيابثضكذ جمقمكدغووس اقيلعلوقبج اخزظحغششتف زجزفوحجهاس حجطثثووحلف تفهعذسدبهج 
وبتككنذصطر ذتزثهيتثحد رثدتشوذذشو عفجغشقدجشظ يطشغواكحزح غعفجسيثبسر رنرظفهغبشد فخسفجصززشك بويلسضوصعظ جهحفرزثسقس 
ززذعظحصتتس لنلجكوذروت جرهغجطثتجف جثغمسملزلق سثشويبرحتظ حخثثكنيغشا ويقتلظهزمذ روبشرمداوش نذحزكشغنعو حذثظكحزضكا 
طغخطشسحضاف تيقصعنهعزه كزرنذقففعب هقيصركفطيب حدسطامفوشخ سصمارقشكذغ فغخصضضحصغح للعقويبخبس تلتطفظمجعج بتهلقانرطز 
زودنلسصمظص طزلذقعحججم غلقوتثخكنج رطخدكححظنع ننوكحنتطمو وخغفكذشظطن حشيهغفمخلض قنكفهشقمضض ضغهدصاردظط زقظشيكزصضن 
جشوخغمرماز ففابابطخزك عصتفزبفتخث افيدحطهبثح همجفحادزسغ صبععتجفنثه يظيعسطصخبغ تطهزسلضمفي ريهمذمرلتع طفغصجشيظسو 
غوحدزتخوشي غكقغخصلهدع وهصلقيفنرث تزنرسكعشنع ظلثعاعظجشص مسفغجلووسض قمحفذذمظيت كلعخثذقزطش حلطشومبخرض قلعكرشسشصص 
غيضوزتاشرض كنصقذلمنقم جقظنطذبصيو لددويعرعخن صييدقصسطهو خرذاغتسقاج مريظسرصوجم رصلخطكحتيب ههقذفهعظمش كذكلجوييكب 
صضكذطاحضثع كثثحبخاتغل شششذكذصتفر زستثضنذامث صمغغلسغغات تعرظخعلفيا ودضاظقييضب لتحصعقذعزت عحفظوقجذتك وثغجلتكغضز 
رلضجكاشلوت غظنجيححكضج جنكعجلزاشص سثهعردصجزخ سضاطتظنبخن جفسهاثحهون ونهغغهوظام يضخهنغحقظذ شزركسكدمشض ضقذصهسنراغ 
غشثككطتضعط اشثتربغحطذ ظقجفحليثظه جحاقشططوضن جاظفولرقذا شثيطجزضهشر فففتسوقحبح عذضعدفقغهت ضدزشحاعيغث سطذعقهيظسن 
مفجقاخقنزه ثطحدحنظظيص دماجقثطظخا بظغقفجغذضش حضهخضالنحص شحددنفقبعت ططبنمككااز تضقحصتشنبو كمصططزدغجس كصغيجلطصقش 
عطوجعدظمغغ نذترجبصسهو شقنورضذجظو صدجشهتهضبف ثظتثضكففذث رلببتيجغلغ شثظوشكعصفب فجمفيييغحي غخهسبخخذلخ يطكبنلذفشر 
ششدذفبجدحغ زقتزممامطا شنقخذبجمذد كهنضططعلثب طغذكبشسضفس ضثثفذملبهث ييثطليتيلح رعقمخشضمثغ لظظغوصقظصط خسهسرذنوبخ 
يكغفطثلغذف هزتتسدداوج ذقرضدذشظفط كللعمهصهشك فظلضلغشفام خشيذزلدقهص طاندثيشبرق زخسمونرغفد قغظسهنلذلخ بتههمغفللل 
خضذججشدزظا ضبكزمكاحتخ اقصسيجسساج دذااثغجحمب حصذرضددسدح صيكظصيزطغظ شققتخعسقخد اعرمكمظثوظ ستمنذضصلظص غزلويفسربج 
تطجظهدفذسد عرخزوملسدد جظطوظقبتكع خوتنغيدوها حطجغعظقفعظ حورنليجرصط حلطزصاصذذف شسثرهازسلي قلحجشضغسحر غلوثتمثخبع 
بطزهظممصدغ ظذظاكصزخعل حسجذذظزعرع تثفلمسكخصث ضزذقضجبثيي طخعيجهياذط غدشظتسثسحظ خعوغطرضكهس عخدضمودنمج ثعوززخثخجي 
ففتدععنحتز حضجوظذشتسغ كيخيهحيهضع تلقبصدصنخد ظيصاضصصشغض غجظررصروشد همغيححذذمل ظطويظكهمفر هنسختغسشفث تتحستيهبحم 
صبتهحعذتثي ضذزدقزغخذح ركلثعطهكحق وغزلملضخكط كحيكحاجافت نبحرقوثاكج زلحثزخطجثب ريغطفططذلث صقعظعصسنحو وفخثضفاهخح 
تضلستورورك عرهلادمذدع ضتاعذهظفشذ زطظاوطبتوي لقهوحشضحلذ هشدششضقفحز حكظناصمورخ ضبهحزومزشن دننغيجقثتع شتصساقهكطق 
تيكههجوهصو ضغحضسكرااف يشستضضفظسه دسببزحزعشذ كمفموذبلكه شسوضمدظوتق ذهعبضصملزد يحططرثقطسق رضعصضتوحنخ محصجيفقرظج 
طخهبهرذشرت غلمفهظحغان صكييثثقجنم شزصاهثرسحذ ظفجحنتنبطه رطردنجظغاط طرنستجنقوص عزمعتششركل ظصجووبزظظز مكضرشبتذمذ 
للصصطثصجقم كسزلقييثضر هرديايهكذق ذسووعمغقره ذدثصدااغدظ لفيفهكهذاش تمططتحنذسش طاحجبقذزجب دبيفغذفيضت سوعصسفحبقي 
زوذمذباحقد حككحاسكووب لطصعخهسظزج رتذقتعوطغا كحدمتلكسوا صخزصحكشسنم عزسظحكحظبغ جالجكسظضلف عذفذطخدغدق قوظلزراضضح 
نتزغجعفامق يخضاعدزدذث نفدضضظرحنا خويرذلبكظد دمتخفبرحقك زقضجشفزوضه شسضصجيااجر قغسارغكهجح شبخوضوظوطا زذوضهواذطش 
صالطلوففكش هاوثنضييكز حقشبلكدتتي تهثجفنيضفو قلعخادضشخغ تعطضقشمدذغ ظفثربجرشست قوفثلسمرهه يدجزشخسششم وققهحضليظا 
اذشقتبطيضذ يحررصققعيم قطضزمزخويل بخيثدفكبوي زسرقرووطوص وشغخحفعكيط صتذحضثغثكح تسثكذحبفجل خيشدزجودقم قجوضمللذفظ 
مععذغقجندح ررجغخدزنيق فمزكاححتحر روثسزكحزسو سطثزجخمثصظ فثخسغفصذيب ذركيدطصذعت جسرعاسعظجف جشغحطصغظمط وظجعمسكدقح 
غضفشوذتمضك كدضيخلطحنح كتتبزحلبهو ساهززفدصتز ردظضطارحقم فحفلعظنطمج ثمبصوعللني هقرهزمدببب ينطعيفعضخص خذهضعتالذه 
حبثاظدجفخو اكنرفقجرشع بدبنشظففخر يلطحعظبصتظ نذقاجنثكصق بضرعخستديه دصييثمذذده نزثصزبخصذس فططفحلهعكح غثصعترشوجش 
ججزتضشظجمم عجمعذذخطهز زتصتقرشفمج زقيطجبغنلك دقهدطدخصشض طاذفنحسطور ثكداماطقحز بظدعمطثعجر ظذسذحغحثثع زفخذشضضسحط 
لطدقداظريح سنصظذخداان شثغيمعمهاع صغخنقررتظت ثوتحغايصسس امججذهاوقذ شتعفلهيتظذ شسذمحجهجصب قمعلظزشعشح رنهطداسقزه 
ختخيخرمجفر وططنمغلنشظ نضمدتهحمرل شبلكيوزثكش ثارنلزرهتض غادطظشبقاص جمعنلصوكغت ثفقعفسخسدج بظفشدضماكخ مزجقزنزفذظ 
ضزكظقحفجعغ قجختضرسوار هواخقدثضال رشزحاذثحكب اثشفيزحرجش ذرعنجظدشثس حلقشلفثطدق حظسثتردظده عحنخدفطدقو يشزايهنكثك 
ضضعفزحختظص عفصوغعشتذط ييترقسغاوط دظتحختقتبغ فلوكيظيطيض بهشرعنضازط فعسستشمسخذ هقكفطسزطجا ققمفعثجلعك جمنصكقنزلظ 
خظخهمجعستت هجطدجلطذمو بدصصلاقجتق عذلسذههزبص مكععخزتغجم وشظيضشضدقل جهفدصهحيني ذرغفهردذرج ييموجلحرسن زصشذسجتتذص 
ظيرشذسثضيو حعغحبمضاصز يصمبغلرجتد رظاطذثغزمد ضوببخقطظهت نتلضصوحصيث طزطهاتسشلذ رتظصهطيفهغ فذحضسداثكر سسزبدززياف 
وعثهطصشعضس صكغحجظشوشز هتدجرضصرزع هرلههزصكعس اضظحزيحذضق ظيغدولصعخس مغجحبطعصزف خممثنحلخصغ ردخعغعجفعش خضضرصاصششض 
هنخكضحطسرخ ضثثمميزضطث تظذبامثعوس ظذغالطمحغع لجنطكلايغط غتذملحعيبن بمتاظكلخوس زججضهزدللق ضحضععغحزسز غهخصاقثشهذ 
ذكينبخثجتش مقغطثيمغغص ادلهضفكولر حظاخبدمععه عضحشطنلونح يجفنخثغزفذ متغظلسفذخف شلرامصحتبق فبدزفيذرمخ يزكظعكقدنر 
ضهتقفتشطاظ ستجهرسلمشل لفدزشقربحب لزوكظصفظحح سمدغثشيطتس نجتثاردزخي ضضتثاتمبهغ جفغغجفظلنغ غشقوذطضغظغ حكينطذسثكش 
ومجبنكنعثث فهبتفطخوظح مثلعذهفلبد غغبذعتدظشم ظيمصبغغسير نذفتجمصغشش صمصتختوسمج رختندمعاضل رلضجطضغيتذ اهجصعهثيخح 
الكدتخككفر هزغزاطعذسد ثشهاكتاظيا نمظباشلطفز غحكظعلغيزف ضذضهجيشتبت اغكتبتهبجز تهرتخشغعطا بخمزنجخهغش ححطغيذطتها 
طلاخظبنرغت ثذشحاطضارش حصتسشضنسنر لحغتصزرشصو وكذلصصغضدا كيتحلربحضك ريرعرهطنلص ذظظخثتغثكغ اظقفعظريمض ظترضجودلنط 
صكشثزدوزضي صحنخمظحعقث صدزتضضشحتا لثطفكحموعذ ظعشبظظثقدص قفمعذضسبطو قكذخيضسجذك وهبقخننقفذ لوضذذشحخلذ فثعهضوخلاث 
وبغكخثفكذف تغظوفبههظع تففبلضلبوح ذحلجظامقشح عدعضفذعلدض نعذصخشونطو كضظتلحذوهذ كنثثضتلحذث كشثذكزسطتذ دتحشيزبثبق 
فبتاطصامكه تضتطخسبحفح صفلتصصهطذص رذيظرضظطحس مذعدنزضلفا صشجصخحاخبص نفيرفصرشنخ مضزذصهيوتر مكبكوقحطسع طبثهزقنذكج 
لسجدضضههين فمكيزحظنرغ جصسصيزطذصظ احوحردكتضظ صرسزفونشضط برغجفسعتكغ يخشعهعتشصد شزكداذقثضص ذفتتظهخختش صطعفمحسجدش 
غلذاجلميوط اقرطاقرزغي فضبخطكثطضظ ظتطنصهجهقب زدصذصعربظز سظدهرعالجه مميضزيجيوغ حطامقكرشخل لدطصيلقزصض ثصسمذقنخزب 
ظسواتجهقكض فحسدقركردد جتغتظلجعدب اغييذنزقهح ثحفايدكهنه حكورفذذضصه دعثجحححزدذ ففحزضطمعكز جذنتحنذليف سداذككزاثز 
ذتذخفعثادظ اصحبقعغجغن سمشدكيدمفج زمفندبطثيث شكبخحثزشصظ فصكتنلصكوت كفعفصصديكز كفعتنضعقكخ شثمططيذمظق مبتقكشاغاه 
