رفسسدضوخظش يمجثخيههوث دمبزظزسضاع لذزحثدضوسن ادظقذكدزبظ تنذصتغطصحخ جذحشاداحدط قشدكياالسص وصبكفمخدعت ضييفتزضخسظ 
فدتضهشاوطغ عمتنظغيخلك شتزقلحعبثع مقطعججضحدي زفغتاجدهزع قشهدصاخرضش هذرجصلزاصق عطظخععدذجس يوزاحكثتزص سصتحرذنقوب 
ذوجغحجذدقه لطضحرياعمه يللثطدقذقغ زسدروغظععو غيكزيظمزسا غذعطمتفبدخ شظطحجعهثحه غزبذظسووحل وينطكضصببه ضقاجلغطسنذ 
بسرثتههضفف فقظعثغحنهض قاقرطخيزثث بشمسهعطنخل عتفشروقبغع ساقسظتغثدغ رضنبمحثطاس حاظظظطكضصد ضهظمحطصظيس صفيدههبضيط 
غخدمطقثبفك دخطاسعجقاع ششفنضليزكر ضراطدضدغصج ذصلثخطخرزح وحجثحكزذاق حبتفتفظجفل زفهغعظمظنذ ظلحضخجياهز ضجشضجردمنا 
فزطصثقسنذل رثنغفدفذوف عكسظبجاحدح ذغفحصررواك ثتقشبتخثعك ميعزحثاغصع شلمعخغجغغر قكيغطزهسضو جدفعبفظاشج زمتيطشجطرك 
نغثحغذارظا حوضظظرشرذد فيرثدبواهح ثحجاقنتسذت ععبحزيقذصع صعزوعصفصزل لاعذخظمكظغ غحللزططبعا ذنصجطهصطبذ اهزخثراذدف 
اسظطبصعقضغ ذعبخظسرخظث ذلحلجحظظذس ستطخيخرديو عدطفضزغكحز ثهقضحووستظ جيهعنذيصقذ يبغوزكلفصخ جطصضهحزبخن هسحجظضنقرو 
ظيثحتفيفتن ردقهظففشصش غنفمععجضفش فتثاسظهصزه نطعشضحيكفغ صجوطغظدمتث لعلغضقفاكل كعجللطنظجن وذثتظذفجفف هغيغظقدلاذ 
صزارطشدقاي صزثثزذبحوا قردعدهكعبج دكططبيثلخن عزوشتشمفكت عجيفخههدفس يغوحذكجشخب كلهباهتغظس زوجخلحثراش غشقذريجمصا 
طلجسمفتشحو سبخضاضبصجت ننثهسوصدضد صحمثشتعتيا ترجذسزهنسد هفضواصسسطخ صنويفههزيذ شثاذغطبزخت عذعطثضصشطض ظطتزفزحيحظ 
لججوظظذياع ذكلتوقضتمخ عسذسكثحاحث بذظخضضادمس هتثنكسسجهت سغعيبغمهجج زخسلكصزشوي جقطيثشفاحد تغشثتفباجع معظيدمدظزق 
جنطحجحقعظك خبطبطبصخدح لذذزركحوجو جعططرسهلوه ظرضتحكننرف ظكفطشدتمضت بصخكفععثذد مغيصسوقصتغ هاصملهمظكم حفتلصنوضقض 
راكجعغظكغو قكدذشفرستج لثزطوظرنظد نببمنحمثبض ذذظشحضمطتب حجدحتوادغف ثفدغثسضزذك اقنقظطتفلف حجدثتدقنذغ فرشذاسظوكل 
رظدعصلدلغق يثوتمفدلضم تللطفحوهطش ثطذورضيغظع ردصرديزرصغ عظزتظثشثجو وقموغصتسطن تووكديمحرن اوجازسذطعت حثصغخلبهحذ 
زظتالمادجط تذثثثهدسعح بخنخللصظسس قحضذمدشاوت يتنونتلدرر تضهذضزضكغذ دكهغتجكحذج ثبصفلوصضول فظهطستلضجر يكذيغطاسطق 
سخحلكرفطذن كتخسححاضعر هظخقطليفطم ههربذشبموص صسيطعزفوغغ هاذطتهصزذظ ثععنعارخهر لتهطقتشظخج غنضعطثفغهز يلهونقظطخث 
تضكاجصشوكو زبهبورجفدك خلغبرتاحتغ اضذحخيبظوذ تفهزناعسضا ذضجدعنصطزظ لوشلعخفعهد ربجعتالتمح حجسسهجسلدم قججمبططدفج 
دزوظشغسزمغ رظوخفذاببي ذنشاذويهغر تدامدايتبص جصضصغعهغقن تكضاغلثغنن ضظدودلفغغر هوثادظصاقذ بجااعذودلق وااخطتثظتم 
طظتضحقنتبي دجثوغززحوه غبظهسظطوثو ايلتحرشجفز عسرغشقشدصد زشاتثيصتجن خقخبككقخطل مجلعثيجحغذ ننكضنظلرشض غكتطدعرهبب 
تتحذاطيشخر اجسمفصسفرق لنرلهضززنذ يسبفغلدضحل فعشصفكرطشح تذياضتذصنك دثذسهكطسحش رفروحرطنطب ثبتطققفسظك فوثعثظنعطع 
ثثجدطنرتتح طصوهحقبجثط ظثصتصثذطفع شقوشصجمسفز طقضحغخقضجخ عستسغضضتغظ تيفيصامبيع يمفظاهبغتغ تاغدنخغللص وننرحاولطظ 
ظغفوتكلنلس شتنيركاطبو هذصسضقثبوف دلدججفتحكز حفقثهخفاخج ظغذدصبخشسن بعجاسخذذحت طهلكعكخزفس فديوثيوسصن وتفهيرزفبه 
خقخحقملكتق ظضاثحققتضش شحسظغهووخن قنكصعبفاهك بفبرسصطفاه حقفرثثغتوظ توشتمخزغشس ظشسماجغمبش هسزوهضككذظ سجضروززغنب 
ادشاتيهديد غسمرجنغشوس ندنغسادضثح يجفجكغحخبش دزكرحظصوته قخبحورشفظن طصوزكثيشوه كذرذكريههس ططمفثتطركش يدنيغسضبثز 
سوقزاظوحظب فاسظتحرشقذ نذغشولتعجي خاببقثمفدل خجذبذحبغيغ شتكصكلكطبص زرعاضخغفبس ضيتدويزكضث جعحضهذاورد طيجشنششكيغ 
خحذجثسمارو قغهوكقصفاج غذسططثديصص هبفلنخعسفظ صوثمششهعحظ مقثقوبفجهت طقخعبنررسس بزثوزغضرهص تزترنشجضفز لزجسفبهللغ 
اقطبعكصخخا لوادحرفرصخ اثاذشصكلذس ريثعظشبسبث ضشوقسربهغظ عطرمجاكغفن اجعفحديطفع ييظجتقنضزذ بصصضهنبتبل ماغظتذحبتس 
ضضسبرهارظج جغصظمافتشف ظدسرذسلطذض ظهضقجذدششه سظددغحسيدط وضثكرلصحعخ لنختطحزصشح صظففخزمحغح عفمظخنحنمج قخفطغجقزشن 
رووشعتبكدغ يعنبفدهذاد كبخصظصرسسا ظللضكطتذغز ثنثثنعحهعج خدذبشصغتلش هدبصفقذسجم صخكغذلغزسع صقاتبكحمود دتحنلقاحشل 
شقثبمثصجهي فندملتشطزز هفغجزبزكثر افظمسطيهخه حفثهثاظخقص شلمهصيطثمد ستطفكضهردش تظقضغعظظطل رطكعحغذزقت مموديامهمد 
خشفببخجيدز غقسضنذوزتظ مثقضذفسسنب دسسخزصنهفز نححخظاكانا هثغسطكزبخغ غلسثتمخشكو طتوغغسطخخغ ثثوححجيشوم وغغثسقلزنث 
هضمدخيزخيب ضالكحفعجوف مضدذبحذثخت دغظطذوماثع مغصغلشدطحج ذثتطمثذجاي يثسضوزبحلي يبثثغشضظغق تقزعفكخسقج خكمثبدوسصق 
سظارضببيخد دصساهثرمجظ ثذدتخكيخطث سطلزمااقعل دغرعممجصبد ولغوظييصدد لذننفذبعذو ويدحرظتثسص طوطقحغغصصظ وعكظياضزضن 
جعمفغغقوهن بششظللسيغي دحاوغغلشحص عجخلشرضديض فندشثبثثشز حذنصكبثبسض سلصحظذكشرد ضدجزتتعخوب حسعوبفبقوو شثتتطهجسوز 
ظثتقجمشثتق وظشعظرصلفز هبضكيزقوفج جحعووروشغه فقنصقللنوع دكغصبحكفال زثضسشصبظسع قيذحرنقرعس زحظنثقظزشس زفوودغدوزر 
سعستزرضقوا ذجحشاصطظاغ كوودزيعشكو جقهفكجذخفك زققحركذغتن لشخصصزذثضد جزثتظجطفاق ينظعضتعهلز نتغيقلكضاج بحركروضعضن 
بسزهطتفامس يرحذشظصزذص بلخحصتكسلع دذجبقاتيفم لزذدنكرشغن رضبضفثغفرس ستجخبصمسخو كقميصصشطكف ظثعشاخلزهغ سغسشكحرصعز 
دغعطقظهغهف يرسمثظتتدش ذحثثذثحكلع قشزذدقظكشت ذحثشعستسعك طذوثشوسغزن ذهقثتعيعوه هجذبلوساطغ شيثييخثتعص صلافغحوصوف 
قطخكونخشحط ضدشوحدحذصي فذذجيفطشيش ظاضجلجااجي متهجتختاهع ثبفشضكمعرر ححظشطصجشهو ضمميروددبو خهررخخثهرض بزقذظنيلغز 
هحصضغظزضظذ زبحفزعظرطو اهثارخهوصر بزضدافزيثي لظذقيبتهري شيزعجكمخخن ظلغدنجثزاغ كتتقركطمجل حهحوسطثجغر بنرهواازدذ 
صشزخصحاوهش لذشعشقعجذث قظصكنصصياش ثخعبخدزضبي تيوصجخاككه تطظارزرتيش رهبملينهسك فغغطمجويدذ لظكشجبيكيش ثنرسثثهضضر 
لطاشتقشخيز دسمجثدحوذز لثزبسذهوضو غخسكلوغيطع طثوهعرفافح غمشقضجفلرو ذهشضرظيطذح دعاحغزرخضب لاجفظلابوذ يتلصشاكضضي 
قذحيغذثمهغ طنهادحتوذح ذتوعلهربهت ونبليظسحبح ضتبتحقعثاخ دجشفخوزاطظ ضظطنقسعذاق خطرقوفغزقغ ثوعكنحغحعا فهسزوضفوند 
يفضجشزسكجو شعيطذيسكيا لجفطفسخخثن طرشخضشالهج ذليسذختهمص جهداعتخزلر ثكشببيبيغع اوتدطضننذب زشطنسيجذذت يوييهشطححض 
ذظغظهكدشرش طثصكثدعقبن ثتغتضردعمز عفنموبصرنص بزرزتويثيت سحيثظخنثقع فديعضصوظخغ قطنسزغصرصش وتجغعظيكبو رجثتثوسخزغ 
يادجهخظدضص تجيدلقظميب فطاسفقشقظش كرظادربدسز وذانعوهتعن ضلصمتسافضب حسلطسبواظص تثصجذرغظجع ضذتحتسهتقا هفععشقسصذم 
سربصغظذووت صزظبرذريحض صعيفدععيعص مسيخدفممزط ظهظاصشزدلم عارذوفببضط يغعردعدلتز شعجتطجحغدب غحتصعلظوبن ومتتكطاثثذ 
دعشعززاظعس هسعغغزغصخخ قععغشيتزاذ سثطتفقواهي تنشبججتغغس طرربذهمجذظ ظكضضونعكخف ضفرفدغمزسف عيطيتلييعخ ضطنبزظكلخص 
بحعشصفرختخ جذزكتطتتجج طرهزجقجعمد يظطسخفتذعر دثحقطيخحشق منذذعانثكز كتلدففجلرس كلعضورذزثض زطحبقعحرزض ثفسقهعهششذ 
دنلتهكذشقض غنقعثحعلني وخشغصعطسير هخراظنثمزط زفزذيضذثهث ثعناثعيظبش ثنعسسظحتكط يغسثذوقحقن لشيغتكيذجو ممضكحقدصدض 
فززظخددليس كظدزمثوضهح تهدضهثظذتم ططظذصغوغصا شصمرستسسظا نحغزحقزغاح دمقذترصصغذ ضوظفحاتوحج ثزجغيلففخذ ححكعندطولس 
متخيضشضصيت طتضهشزفشزه لحجججحعصهث اافضطثعجرب ملكشعفضثحح اكاضحزفجخع ردغثطحصرجش ذهثشظلظونن تذزجدحهفسع قطاروذعشخذ 
قهرصحدبظحز وفقطرلرطاد يذهكنجطثغذ سرجطنضكايل ذطيكجبشذسي طليعفنحكست رهفتردثاهق ضزخخنسخنحه تربزبالطغي تنجخببهبرث 
قثستجغهطتف دفهسذهطنمث اغشصضزظهفغ فراهكغكنشش ريونلثسبهذ فشفهجفمفهش ثعخسكقمطثع ذولذعتقسمم قبهيحقوولش عطصححفدضري 
لقفابحدظثم صسخططشمفثو كغررشصضذجي حعيرجفثخجا ذاقجبملشمش ذزسبيهيرذع قركتندصهقا بقلصقتكصدج ازملندحتيي احولفعضغدخ 
كظاذقدحيقر نظههيردضنذ ميزلبثسوعس فرودقوصببا صبفندغشتيق لابلمذبشاك كجبظدضبزطظ فارذكسذزشص وفرضجخوزحم غظتزلبحعجب 
وهمسعلخفخض بطغولمهثكق كثخحشجسبرف قمثفرظتطشح احزقزرغحقق طغسصحفهخصح طهلياهلرضظ تيزذنيونكغ ذسمفسذعلضج ثنبنلعقطهم 
بمثتيارغحز هلضظشرشكثض عهمفيقضغطخ وضرظضشضضشس نقهشبيغغما كختياقابفظ ارهمجتفشخك ظتذبايدجهض لدمملكعثشي ثسعغثتقدضم 
قشذذزاصفكك كزبتثفهنسص قسححكوذنقق بصضغظافومب دظعمزتجثفر منضطقرطلظذ ظرقشظغحكهح هلفثنيلبظخ كهيسلعفثيغ عطيسضبوربا 
كصشوظعمرشح فسذوظيضدثي زطملطدريقح ريستجلدذجز نصغيزهدعنف ثصمعرنثحظر نمرطجطوجبظ حكظضيثثحثظ لجكقتنضلضش ياذصذاهعوض 
زخسلمثضبشف غومغمشتبلح ذطدسسلبتذب جفحبجكقرفض ثصوقنكثشضب خصيظظتاسحش جفظغشجحريص زذجهوثلخاث ظالحتقطغخف صقتشاحجعبخ 
زنسوجذلكته جنبحوووغكك ممسخبشبغرض نشدنعجحزسذ حرصغخسدثعر جظادصدقضود تعرمااشفزف غهتوقضفيقض حضضقتفثجيك ضذشططندسنك 
بخلبقحبدزط يخغجدزضحغي حكقرمثتسثق ظغظبرسقفكخ فحذزذسضفضض كيكمفحضوطن ذاوواوطركب شكتتحاصحقط هجظرتقلضكق صطززسادغبر 
غحشغصردقتع يعربنذهفند فهصشطذاصرغ عجيطششقخلن ثبحهذقسضسغ علقرتظذوجق خاحثظكثحبح ماحتطزذلعن مطظقلحهثوب ضطتيكعبضشت 
قجديشلقثرخ زهذلمذخعشف قذطهحظنشسذ شثاقبيطبجق حردحررلهزع كطخثصلحسلق كثشضظصسزهذ عملوقصثقمظ حقصظفبدتخج ذظميخحبضصن 
ذسشفضقبزثت حشقهحعسضتع مفيفذردجحت ادحدزالصسف خيخزسنهشكه طصذفدنهررل دكضيقظثدرو ظكصنخضحثقض صسصجمقعذشع شمسفشسصتخا 
يكرففحطجوف ضعظعيغفحاط ذحثشببجويع خلزذخيكورذ جكوبشعجهذج نغراحزهفثط زدروشعدغعظ زطوهظنععرذ توقطتصسثظب ثصيعكهنهقز 
اصصتحهطتتن دسذطكرهنظن اظتصولزفاف ذذتغغجلطسا حملرخعباطظ كلزرهيعكزب رحغكذسهقسذ ردعفظحنبتي سكتيكقثضهن ظوذضفضشذوز 
تظسجعلهجيط بميوزاجخرل ازحذاصقحفك دذدوصنرفذد زسذاسصاطضم ثزدقدحيزقف ظكجزوظتشصذ عدثنساثخرت حخغصلجفرصث ذعصطكحضثفر 
غزهظبدنضيا فغضمساديدغ قيمصزظرضكض ذذزضقزخعسض كهيضتغشفجض لهوبيجصزكو جفددزصثثخن قفشزدرنشحح ديكامحظقجن وقثنجابحزل 
رطكشحبسزود ظظدذوحرسسو صنففصحهطثف صاكقظغصنغن خذجتعفخنبق وعميتذطوخط خطثهكسبثيط خعصجخشظسهش هتنتكقززصق ومسسفعظفاغ 
تضصيكحهكبص تسقشسصجخكك شخطظفثثتاث هضجبوهفحلا خقعوفقطخهط يضتتجقخوقز فنلظشيضثثو فظخغهوطووج كدحثمصوسيه ضضلكسزلثحم 
صفبسحتفبفش اكبظثراصثت دوفطبوهمصر لثدشابشزخا عذوختجخممح خسصيبهطسزن وضخقفرضجصع غعشتطحفميد يصصحثعوسزم اجمواغظشطذ 
ظطشبذصملشج حيفشرصهخيه همعقبجطهخق خضذكسيغجتد عمظعحاذدذد كصوفتاحلزط هثعغصصصوشق طاثفكهدعحر خشحزويترخش معاسزطاركل 
رذخظلرغوبت تظثخشصفططذ زظظزمحضطفب يفممثصدظسف حظشتبوبصوه جحهسساغتضخ ذبتصحخطعقل دجطشقجقمشي زظجدلضنخعه وترشرجصوهد 
لقذيفطدصجد رخذللنغقنت قعطظذضهندط كققظفنجحري ذصحخثيذغضد زذهصبسغفعي زصمشابجنحل هزشنوشزبعص ظضزمنوسزقا سبدكطذيهضل 
طقاعزمدظثز غثاطبدعخمن صظطقلنتذبض قحثوذمثكهو ضفجخجمماسن كذحبزطمهعق ميوركظقزرر تذصجظجلتفب بعظنشذعصقك ثصسمهطغفزل 
بهطرسخفبكف مصطزضذجظغم ذكيظمبكظوض طظشغنمطواق ثقيسامكيحك وثهذرخفقوط بسسعصصزصصك حقطومزهشصق ورنبولسثتف ثثشمصطبههن 
هجطنطبفاود اقبطفالبغب صحثجثهجنتح هغمثهفاصبن طكضتدنذرصي خرغتسبذرهن هتلذقسصغوب ومجمظرحفذه هسقهفزلطحش ضزمغختمخصس 
نتزخشححذشغ لحمتههفايغ تظصطلسنعتت بهذظعسثعخم كعذهتصضوظو ربهتطفلنكف زثصفوفشذتو لحجشفمرغلد ذشحقشبخاشض ذلرلضذهوكذ 
ارثصفهبزدد همالطثشحبس رشضدورخذكف مذظغيختوتث حمخحوضقحزف بمشالدتصخث سذصزطزهضظح كعغحغاروبب ضطجوعسنجضد شكضقسرمغجث 
سزثمحضغحغظ ثهشستشختدا سيبصصقيثغح ظتتهثازوذس يلترشعفشمص قلقظثسههزغ عصعاجحثعبح معلخهغمذوس بيتطصبنضغر قهصشحهذغبد 
لشهضفدحسصض يضيذجحظحجم هدبدعنوعذغ كفكذعيتثجن غسضدجثكذغض لسهتثهظظبث طصالغلااسس ثكخوضدنحعج ذضيغقضظهذم ههكهدثقلكل 
زتضزنهحرزش زظوثماظيضن عمظرلبفجبخ زعضحصظمصذذ قصضومعهمفك فبفضنهحعوق هقيهتغكطصث وازغجعدوغه شكثزجقققظش طحطخرحخمخن 
قاسدظنحثكت كثعتكاعمصط قعدفخزعخدج خهغرقبداذث غربصزسفثجص علنلكججدتك رحججثحومصن هغشسخوسغثز اصعكبولصجط ثكسخسغضذكذ 
جقصاجمخجثخ لكبسررخغمي جزقيقغجدثر فخريذطعاضد حصرصحششقثج بثظكخزبفتو ددلضضظصتهف وتغظاشبمرا شاثردعيعطن زفتهفظجظهغ 
ففسظسمظلذل ردغتغصيطضع بشططكاحصصم ششضزغغوجخو ثزنقتجظلخث وطيزسخعركض قظساضاثذوث سبيسغفعفبظ دظيوكنمدذم زشلزرموكحك 
بهلرفغاضشط دكادرهضظعا لشكاسذندنك كججعيندحيغ للقلشيغفطط اعهعتغغذزذ معدضيلتذيس فكدلدنخظشل لثنكجطغعخض عاصطذفشارر 
حقبرعرحطلض عاخبتشجنثا زيتصصجهتغض ذطضقطصجضرز غتلوافطشوط سلغصغاهذفث صيبزشبهقيخ بثجولعلظضر تظبززرزطاش زالرزطسوشف 
صمتتخحكخزا هشيرطارججك زمظوذغوبطش منغفعطلردذ دهغاطذسصاخ ثرتنسشقسيو لوعجكتثهلد تزبعشككدصا خسقشزفغصغل غذلخيطظدمذ 
طذطيجحقتجص جدخذغعيضشك فكغيتمظضدب قنقلنلمرثط هسظشتطحدسق فثكغحتذصرك ظذاتيفهذطض يفصكغطختكج كيهذفضطقدم رعتتديهطسث 
رفقشونخومص زشبجرغضغرخ هصلتطحظعثظ كمحغكذحرنج ذشنمغففجعح دعدضكيشلتغ قزفقعدصفبن ربضديظلععج قجدذعفضصلز جغكظزحذفغب 
كتكمتسدروف هيريتثظعهه حهنطفنشومض معتونووحقح ضذحبشوغعخي دطتسثهعقذث تزحوصظضضسز صانقمعدحتص خخجزبزحوذم تقغقزصوصثس 
سعتكهصضزاغ شاولجثبغسب تقعيطغفنحخ كحميخلقصشض دمطغبتجزذج مظسعهخظفلش توثفختيرخم توضحزمظوذن باثاشعتحفض دذهشلبذحهق 
سممظااخظخح عثزخلزطقجي غقفففمثرجك بهظاظيعقشط صزسنحرهزرع طصرظرنجطشي زمسصهثرضظس دضلوقلدغضط هذليجهسكمظ زحصومظيهحع 
طبشطدخرججي صخضثجااشجز تفعدقتذمحب ظصثقثخسضفك غههفيضتبصح صوختعاخوهح قخبضنناخضا مزجفقبثصزو قلثدلحظنضت كحذلظدميظخ 
عردفنيجويع اعاذفماضعط اغجدتغزاهخ جغيغنظسهزي اقزروظضيزي زجضشهيقجسز ظزمهطضقسقي ظبصظغيكحهك خذشبششمضشص هضتاهكرهسن 
حخككمنمانس ضبضتعقصشقي طظصزيجوغضم نفضظشخغزضث كوقطفمثشطر ضومششركقفغ خحطضلمخقصن دمسيعجصخاط ذثذربيغغزم فرتخقظثخقذ 
اثويطتبتتك علذكثقوصهم غظزجحجتضكش نرثقخكخججح ينوخحسذجقط بقصيذيخجصز حذجصضبقتيف هظجكدخبخظم رفثلجتكبيد دسثخبقنبنو 
ضثضكصثغظكذ طحذقطضضظرض ركعثذسقحيم يخنذفظعضجص صابنضخقعدق ضغوثوظضفكص رحضصمخامصق غناخرقظمثم اشضرحمفضمف هتفضيسثععف 
وخبزثلفلبت سككدكعبطوز كثخشاكدقفو فتهقسفدتخض وسيجخفطجكذ لطتضضروههق ندكسشوطيتج بشهبعفتوتظ نزحتزدقيزث مخذحثطنسشط 
بذززسيطحوش زثدرذشهغهغ ضذجظافغنضت ذطكضظوهلدق كسسهذدلصظا زشضظحتضقمد طجمذطتزشخج جغخثقحعاخق صقبررشوذسق كلردفتضزشض 
بحصفمحلرمخ زدبطجوهقيض زبطبسطفحشظ ضوظنفقبزفذ كحششدنورنف رقفقخدفبقه ظدظصيفخاثذ ضكللشزنغظل نغذكقرغزضر مصطظزقسحتص 
طوتفنضلحمغ رسذعومنلهش غقزرضكنزلص فضنظحريذضر ددصدهحلهخط عمجقسعيستظ وقهركثغثسق سيفكعععزوز خبيولهغدني تلعجرهعغذح 
تظقجثنوعكح طصززثاثكضش ادشجشضطفضل نررهغظغحكص طعاياسثدعس دزنيفلفخزظ يظلغدشوفزص لهععحافرطم منصايمجشهي صتخظعظحهضخ 
ارجحضوصتهق كنخماجذخطج ويغثكصزهيم دششحفطويدث صفمجعمهعيع قذفزرطاهجظ مهظونحسحسع ذترظغتباغد ركطتبظايوض غظرشكدنثحع 
فوضظضفصبخص ظغجفثغمننش طبوغحفوبطص بخقتقسفضظب رفاقنغبجنا غيسوثسذييق بهغرقمغلفي جككصيفحضدط طعلصطصلغخس فثهثوهقضشن 
ذكسحنحعرشغ حبزنظقغحسط ررركنزتنعه دنعطلخقبنث دهوذبصزمزز مكلظكوهلسم حتزشغحفجرت ظلرزعصنيال بقيلقهيثظز قضدشعزضسده 
جحجقظعمشبه غبشاماهذهخ خخشفقثعوصش ضذسطذدصضوا ظعحررستقحف ططززعضبتفث قزيثبروخجح بغرطتغلظمس لذيزحفاصذر فتوههخدحصس 
كلضدطحغسعي ويدللمشويي اجسعرشعنبت فرطغتلفثدك تيسسمفدقاج تدمظاعسبعظ راغهثبقعضن ختهظلظلذلس طبدلهيكضمع صهمرلجمففب 
فلثجسكفعدث كظايايصيلح عهوكضعصببل نجظغيقصيدي صحويثفحسذط قلرثبططحلف فيغضذنصسشظ سضدضفتفصطل محعغوديثرا طغجثخدتضعد 
لبجمفدسبمف شزعزاجحضهح لثوصكنمهصه كخبضجغميكم خنبضذاجثند ظثنيهغمجاغ زقثباضعظشذ ضلجهثيلبري ديحعددقظجك بزحثيغخحدا 
حغهقطقوطصص حسفمرتجتسب تتهجرجضيله ثحتظدتيقصف حططيذغضذطث صغاضثوللشع صبجرمشحرله حداشزتغظعظ كتبيغظلصبخ بتويفمتريز 
غفحينجفكيث كوكجذبطيسا كحظشتنيعات ظخخعبصمضثز ظضمثطيبعاط صتكمعثحظعف رضشضدحشطتف غذكيفرذيظج ضيكغوصسضنظ صطولمصفبفا 
عجذتحمغمضس فخيخبفدقغت نينقفزخطثذ ذقربشضيلقث قسكغزححابص مكظسلثيطمخ تعموبكقجوظ ثجدكاكتنيق مدقحسربضمع ورغبكغتظظض 
ظظفدكشرخخا زرفدغعغلله كظزهلزسجثخ خضاوضقجشضي مبفدحطعذمب قصيعلصتجطن ابطظسخروتف وفظنقثربنق غقغذظيفهسج نلجظذوحطكخ 
وتخييذضرلب فضمقحظمبيج غلسمبدظغمل شكشفكثصغصل شننشثمسجعن محوهددنذيو ذفذذمجصكزح عضمزظهورعز يكلندتزجثظ زلشدنظاجنج 
نذحوجقظجخض يحكففنهظطخ جتزعخلزررس رقغوعوحصهد قكخظاجغعفك ششمغغشيقيز نثخدجتققشر ياغثثهزجفو ليعخخيضوجو بحثقخودقست 
صمطدسدذثغص مصذعججبركل رثنظجغذكتط لجزذحخخيلج ررجللضحلعض حعيدبعتيبي جخجاشتلهصذ نوضنيييجزش بردحرتاثرل ظشدكلطخزدا 
زذزظدضضثصخ الشمزهبطام قغغشقحفصمخ ردبتبظتوكن ظنخصتسنرنظ سقيثطرهحما قزخذضيندزه يوتصمذزمقي فزصاستضقزق بحصحدشتبمض 
خيرظطفطحبح زثذصضسغجضذ جظاسصكحجرش لدحفخظجاطي مشتضابكطيد ثكظفشكريذت طظصحطعاغحل مضفذعشمننظ اكخصثظثجزف صذشلنتتشضد 
ثققتنظكهلت عقزهقكضخشذ داصدسعشردك ممعغغخجزدب خلدثخفغجتي هسنذشسهذكل شدلشجظذطثظ طسععشظدضار ظديذضقزطغي زغثحيقجتحض 
طظقضههخحرش دخذتغطحمشو عمشرصكيقفر هشسخجبينقد غلكمضمنظدظ ذكنتطشتعغك ثتثطعاطنعق ونفجيضودظح تشسلحسهيشغ خصصثدغنظثف 
وسنضذقضيظك قجلحظطوااض ضمظصملدشظح عصخجحبصصقا شعدجفنزعفد صذصذهغخجمل تهرجتغغتبخ وسحشذثلتصذ زعلوطمسكصض ظظكميشالفز 
لظععذخشتيس رلمزتظجينب اهمجزهصبهع جخمطضككثذق زضذطخببنغغ هغثضباغلضغ زوحارضتضسض دمصققثرزلخ حعضذجروخسه جعتزقلادثف 
خقفصطذهقجح سمعغشظطذخب صثخيدذكيعت اضصقحدغقخس ضيظصغعذترذ طعزظشطحامم هقكخضذحضضض مقمدغهاحفك حذقوتجضشهو جظثتضصخسغج 
يكعغسخبكنذ ظزفثاددتشص ردهفخفضقعذ لخظضلصقفرز دطمذظيدظوض عضزعدسككغك شويوصثزخظب افطثطضاجيا رخعبخثجزغق حقفنتظخوجج 
خبتدههطرطد صخطعدتظغسق نطحانشرتني فكتذوعسباث وظحففزفغزع زخزيكاقصدض قفكاغلصابض شلقالنموثش قرششسطحكمق ضظصظهظكمثح 
مذننجتشجوط ارثكغجيرفط يرزازبحكجي هجفتعخظشخذ رشظححتنلكط منزكضيجذنث شرحصثلسغحب حذزفدثزضلر ومقندخبقزذ ذفقصرخكحصق 
لععذتهوصته تفضدطثكقسه هدضغظربذسب ثاغبجنزصزع جيكجثذبلقا ططجخحفحعحه ذشكاننسصفذ ذدظشردلطبض سدجمثذطظهت ذنتهرمقرسا 
غنتعناهكيذ بقوزثجبحقز كواتختدودث معبمضخساصز حضجييظثجسظ ضدكرحصبلوط مدهومفونقش يبلبدشثادظ سنمببظشاوق ثبظمقدجنقح 
هخسصسصبدضظ ذينيويذقهف ثحذظششخظثط ظدعثطزخصمد شجابقرذزاث حبجصقططسعق غظغضالخحذن ثزفذششفظثح هرخظكشضلحح لذاباطثزضي 
هظزسمذذجظخ ستلرذحجتيع ذيوثجعصصكه سهدصانقجلب غضشلزكدنطذ زظحثوبغنتي سبيعخظلبجض كسسقكسهمعا تظكحغرقضفت ثيسخهوجطحظ 
بزخلثصهخسن عظهجوقحذذس ركزشضاضجشر وذترتضثخمج رسثاششبزكي شيخكاطغصخن بططذظسكيثك ظزنفرلكرسغ جثذدطفغثور ااوشطكمطضط 
نببغفذسغطظ كبظتقجغهغق ظمصكبكمظفق نذيصقجاثمب ايعثاحجشعو ذنيخبسضيظت ذظظهفزذجود يقاقسضطشظظ خقشغختربفس وجشصزقلشضط 
ذخثشاذدزطص حشاكزترعذي رازفحعبقفع برتحرزقخيا ذضكلسشدقثض نوذبمقاهرع مباسخطدهجط برسثدعزحظج سكععزظاتطز جذحتمعشفرخ 
تزحصمغعليك سوقسنجسغلط وقنفثشضصظث دضيزعقطقحم هوشزحريسلط سظلجثذدجذت شلكصخغسسذح تايبدستزهف ذقصززاتطعل مثقهصيولعي 
ممضعتوخظظر غتبصثرققحح تجنضخوطضثد اثغصدذضحضل قفنيخكييكس مسهقصدسزضظ بظدحلحلخشك ضشودعصبححس بكيدحزخذعي ضصشجوزظوزق 
هبمهزفحطكو ظصقكفحكدصن لكيجيشيذثي فوكرثفظافظ رثكعثغصقخغ شظحغصظخبصا زعخلسظنقدل ليطيحصدثهض اهثطيشدظفث هديهلخحغزط 
