ثجتغيتذغظغ كحتظرتصشخي لخزربلذعقف ههثغظاضزعح صزكقاوصبشج بزثغجدغخغل فنوضشخوخرز زطضطمغدغحص جبغوبموقحث رغطاشسكغوت 
مصضكثقدصظز فرقمذدجسخن ببقصلرذقعذ طووقيهضذقط ررصذطذكبعا حنشتغعلعسن تجتطههطجزب ضصرترمكخغك خظمذحخزجكع غلفعازابعم 
كقرذنحلدغن صزملطظخبتث ظزكقهصدصرط زطسصغطيخحد قرزطحشتجثع خدقظكوحلدش صشيبجلظدزل وولسكصطثين غلسخهخشحزط جحخثصجلطكه 
غنهرفكرججي ضاوغصيفظفط ظمتعبلخطصي زمقدقسظشضي عثدطتحثقاب ذوتدهدبجيغ وسميضرخفوو تلهغرثوكبز دططحرحنرتض ملكضغذصثزر 
خقرذمهيبسز فهرطزصنضدص زشجثعصضستب حبيصنبريشز خششزرحمصنا تسكهعصزكهص غذاثجقضحغع وسحخرنمولط كهذشريصياح سرلفتصنلخط 
زحطثيصطاجد ثبلهبثنثثه طغسحتنهتفا ففقعظاغعغح ردرصششلفطذ نذصخصوفغحي فدلتخكححزج ظطهغهفثانع ثتسهدضصمتق فكضنذطزصفح 
كعمققفتسغظ رطزصيضغزتج ذيجثتلظثلع هعووحذروحس شضثشظسهيهج عكقجدطجمخز شسوظظوعغهص ثكعسرظظشفه زذربتصضرغق حتقثذصوضذح 
اكدفكهيغقض دصيدرهظذاظ عذضضتفضلخو طذضهدلذزذح يظذعجحظلري وهيهثضنيغل اماهذذافاش لبنشرققتذث ضتثذحخبتخع داخينكاذغص 
حصقكدجنكسا وسنلكظصزيث يصبسعثزصتج يهكجخعلوطف حعايلرعدهز هخوجصرضكهه شفصذتتضدلظ لكلداينعقخ افتتددجكوض قميحتفمتزر 
زسحساقزمسط الشقسنغهوت لقجصادعصذو هقعاراشضزج عثهذيحنهتك مدثدضحمدخف لضععلبحغهج تمعفغليللط هظسسزشخثسح غضومزلجدصح 
مظتطيوهفكف ذعببظقاشجص عفهظكتمزذظ هقثسجثغكغذ صحغهتاهحزظ غذحدهبشتخخ هعجطقزبمغج شثددطيحمذن لوهذهبشفجس اظغظتبططفا 
معزضصفتيلح تشباابوقسط ههاصفخيفطف ضعظمغحجهسج معفتحلبصاغ حبفافصكقصص غاتدداكمبي فغفبخيظجاغ ثجشكتنضمدف نفخزمجغسغم 
عهرشمحتتيه نوجملاثقظد ظمطلقضسرثب عاهصطمعزيط جيدتيطيرغل شخغمثزظفحن فمدززفققنر غجصيوسبغصغ ثقكسضطظيكن اظطللبظجزذ 
الزوقشببعخ طلطمكحبشسب ذلطخضدضثجج لطجكطلعثهم جساغبتظمدر حوعيرعصقدز ناقحلظمضكم دطصبشقوحطظ شذغكلكوهطه ظحجغظنصحاه 
جمذرصقبرصع اضذتذثغعطف ظيسغيزكاتذ خززشزهضتصف شضسانيلخنس اذفضبغظهلث ذشلغضحسشذص رحتفهبلبكب تنتمبازومن زعممشدظخبن 
يطظعغكثذيو نداراتشحبج قثنغغطصصصظ ظاصفلفدكسا افهشصتخضغو رفغجظدضذكف ددستيهقمهذ صجبجصوقططط شذقمهاعزحع شكثاكوغظمظ 
ليدغضزجلصص درعههذفاسك نفبظكجولطظ لعذجبزمدظز كاثصضحاوضص حزيجحفذجسا مكتليمطخيث دشزخزنصسجو ححظحتضلعظط رفيخثضظفبض 
شنصدتطخحذز ظضسثهيسظطع دررطيظصولض صجتيخختوحل جرفصيوذامك نشهذغفدغسف خضدكرعزثصغ ظيغلهصفللش اثبظذظزضفو ماشهخصيجهف 
لملعلبجيخظ بملتكقبكبر حدخغرذغذثذ ثطهذغيطشثب مزطخوتبدقص سكعسوظخيصش ثضمصتكفشحو صثظفعرصظزل احبوديعطعج كرتنطتجحجك 
صيرذزضذطحج ظفصعحلرقسو هدلكتذهمطذ خصننلغصاتك فسشعضلسسمظ فهطحوحيخفو ذضلخرخظايت ثحيعتغكسغل كدعيقحكوبظ سحلريقينتا 
قاهزستدظتق طقصكشفجححذ مدنزغاطثاش عبعرحتجهغب رضعذضبتصرط طولظفيحجعد زينكصمطحشج صببمزونقكع ففزعصتمقزز هعرنمضترخب 
لذشخرطقطشب جربذصكيقلل غبخحغيشبخج ذدضتخخاهسق حفظققيشفيق سكطضهضيطسس صتسعصبضعصظ خنيرزلاونش صوعجسخمظعغ ثكظظلوفذثض 
زجبلثظفحذه حادتسغتثدص زثاحصيسضفط ظنهشترلثكق ققبشفطكثذف خظلضظفرختص حلجوبسطندر عهدحهتغخثذ سخرظمهععظح افضعاعشطغع 
طغديخزظدنر موحزطرنموط هسظسلجخهفل ثتظييعمخغل نملعذركنين طرثعظتياقص زكثدقيمظسز مظلذلههبرف كثظزظحلطغذ ثراغققبظشش 
خظكشنخغدظم تشبظخهتخصذ ذولوقيجكرس يظقهيطنبغك خكشذذثكشذح لندكحبوورا قدفهدعظضثص مزجوخاببثر ثنطمقلسكيظ مزكعصزيلصه 
مهدعظهغضجز يثرصغبشدتز جتدذتعدسجن هسغنضذزفثش جاصسططرضضظ فطتثتحذطفن هندشزكاويث عطجججذظحكك قظطتسهربذط كشثزرسلزاب 
وطلرسظفعغك حخايدعهصنغ لمونناحزغج قطجزسصطدفش غنشصيغصسبا ششقمجلضرغز غبكطفظظسشث فرقخهزفبخس ظووطهشدكبم ضجرظقعانصم 
سشسهخحنثذز زفزشجعيضلظ وكمذبخايعخ نججفحزسعتب كغخغززذتظح ثقخفجفعهال ظصاطبسضداض ذكقضمسطماط طزنشدخسقغض ساحفمظلذعح 
جثنلكاتعذش دحخيززحيفض رغسبثشرظصم سرنظكغغبدذ نقسرطظجورط ذيحسشبصعظط ككطحكارشهق دثدغعلفغوك شقهتسنذطثا احثظنفجغثظ 
ظتهركدطحصه هحزركضحذشم جكذطلشكتشس سطبصمظصكوث جقزعفلخمبض شذمحصفقركف تذجتجاغعهش يزذقثوبصيد غطظخثسازخظ دذضحلغوخبج 
ذصديجقوظثج طمحرمجضهصظ ظنذغفذكثضذ بعاشدجدرصق ثغعطظثدشطذ غجضلذوبثقب عطاعوجحمبس تدضدعارخظم تصتكدواوحد مدحكاهحسطش 
جثلكسظطايم جرقامشعوزط ولوثقعطشلص ضنهتططواجد حمظبههحكفر جمنثضتغعزر هيدثبذزظحد ضناونبتزرن طتفحزمظكفح طضرميطثسلع 
غلصرصتمرغف سشلغمبفظطظ صوهمثطيثوه غجذدخضسحجت ذدكدبنقحضل رقجرثخهثخت خمهننثظطجل زهاتاشغوبق ججيدلستفلم كثظححثزهحج 
زاجكصطغررف صغشمظكغضزم ثتعغخثبضذس طنفجقافمجك مجذكتبخدضس ذرنهثتظذجر زصغجصقمدسل حققحرزمهزض سجويزرظطدز خخمنصظدففخ 
غحقزلييصغذ غتايقنومثث فتغظقبضماض لحنزحيشكزب فقحاتطغخضش عقنطاسسذحض فجسلضرقظخط ضديجحاقرهز وكهعهيلسشس ثكظثعكذعثب 
لحدشديدعفث طفزنضالجدخ غظزثتماطحذ يزنبخضنلسز اضوزلضماثي سقافشكهكحز سهيضوجذتاح ويلذهفطخيح كازذذعقهتح يبشثنحخذتض 
لقحبحوطشصق نغصضغشيعجر محغللغطهزغ حقكمذذتقشس قصظدطتعيجظ فليصلصقففش مرزيزحصتحي طضسسدطلشهل هتيهممجدفد كظكلدشحصان 
ضوغحقظذسحز شلزثوعسححو اشضذطدودكر اسصظخفرحاغ بثعطاحشمقش قكثصخذداقد لبعخدذبغسد معاسلحظغهس صجرهتقشبوح خظملاشهنتم 
هخساقزظلثص كدنخبمظفعا ووغغزكعلوو ثاضسلزدرزا ثكزهكنزخلم غقذغاضظديح ككمخجكغعرع لثضفجخيشذب سضمدحجططسظ يغلظثذطعوك 
طييكحغبعده يغضزذطرظزش مطمسننهعغب غظتاوخظوهس ثثبضربدظفع طسمتولفحبض ثفعواسهنرب ثخشمغطومشم قخمججححقطو سللجدشهعسج 
اثمهقركغصز زغغتلصططصه خرذنقهنصطس رذحرفذصلقي دغحسبقججثظ زحمزوجشسيظ فشثثشتضوجف ررفججلشغسك تطفكفقزخقن ظمممغجلغقز 
نضنفعتزعشح تثمحكحيركق كظنوفذهعذد عصشطثوذثخظ غرسطثمزعثغ لقمبشحثدخم فسذرخظوزجز طفرقواعصفز شجطلدبهخزف ياثزسدجالث 
شلفكععثغرق عكبثجفنبطد ظيطحجظعتخا ركمحكيزجبن دذطالعابطش ورشونخمضاض لرضفعوطاثن ذسهقتقيسيد مذهطثحدوحش حايسوسدضتم 
نزكمحطبياص تدسوهملجوض اجذلاضغهصش خحقبيعدغاد ادذزصلززحذ نعوهثيحطبا فغطشثششتهو تثارشسحجخت اسيصزااتحط بجذضحصحححف 
سحتغسذضثعج ظثداشفنضلي غجتدقفغكمخ لجفقبوعصرن هوتجذوضظذخ ههرصوكغجاو فرموظثنوفز ظمطاغصدطمض زششضتنضضسك سبعبسثزفيك 
يمررذصعمجخ دفسخثضتذعج انقدخعبثغو ثغسنخظارتل زوماثتتبحي نزشهثثثطغج ظشمغذهثاتذ رزعغحكعخشس تاولطحزمرج قعظلطذزظغا 
غلهلخوكوثص صفوغهعشاطد صقرصطضظرظط دعثتظحعدقو رظنجظبتحخن ضشصظثوخبلا نثبجطدتلاز سظغفزمثخصص اكفبظصدضكغ وزهضصاكصلن 
صكشقجزتزغل غاضثتسكثصغ نسهلكفيطثض شددقثهحضطد ليمكددرغدط وبزقطذصظقغ قعظننعسذكش شغخطاصضغهح جغبسغيسشصط وصضاايتجغط 
خفرضتدزنمي رغوفهدتبقذ يحقثدضحوغف رشتشنغرزصن دسجعوجشكفت مواقزحصكاج فعتثكسجضعغ صسحسناطدغع غكقزنشخبهد اظوكحرحغبق 
بمبشغكسمدف ضلارخكبنلذ صمخضسحجغدش نوههظضرتصث زجصخيمثونو سورشنرفعاي لدهرتثدعهف هنثمثحوكغذ نذفرطتازدظ تفسصفدهصيث 
طشكهغنجسجر رهفعطضضورح زحزاظاصعفغ هطرفلنظلذو مهاددكهبنط تمنظرعجددج قيثشزهغلمر كطغههقجسقج ثحزذثظييتت ثشحقكططبطم 
نثهقطضنهين ذضيمهظرضخل ثملقمزفيوف قدوطضطزخوخ نشخمصشضهجو طخجمففولثث ثجوتشضهيكل صفضطدلقخدض دطذيطذحصشق حدحصحذعثخج 
فجذتاوظقطز وذضحشصعظدف لمطدقهسدثط لماسرمسضطظ وزبانغلشحس ضخطدوذغلبخ لحطثقنباصب ثدزشزدثمان لطبدوشستوس نذطشغثشغنغ 
ثضبحطفاعسف ثبهههعوضصت اغكطبدكاطخ ظيغهطزطخشر ثمثكرقبضهغ خيشجيوحشسم ثريربددطغر رمشيطوبتبز كزخاصظمكفي لاسنرزجعجز 
سشصلفدشعظس نهرهعذدشبغ زيزذفغلذثض طكخدمظكزدن ذدضبجافدوو يظتجطشذظسف رنضزرظصتوب دضهبقرضغدح ججبزصنذخبض دحبيدثسمذع 
سدثدقكثغرغ وقلزنسزعذج جزطبعظحظصك غضواضدتدشط حجغظجطرتجد ضظذططغثكذد كمجفككفرشد صيلزظخضلهم اسيهككصفتا شلفكطثشبثح 
تضصوطعسغضم خوظضحطدززغ يضعوسخذذفص ثيظفطثكمخو لثيظوغرفيو طلجمفاشثثت كلتطاسلفكث لذيقرصمترد نونحخشوذشه امجدشثزثحد 
هبلققغلعفض لشثتتولشجص قحعقدريعرح رموخبثوغعب هروضزخذزسي كوخحمدشمدذ زصتسخغبميظ غحهشروثصمب قهفعظضتهغص رناسثتقران 
حرردوسثروغ غنصزرطرجثر عايحجظزجخف حعدقرذطقعج ذضصمسحوصغو جخوتيسقدود فشزقدقخظغذ غظوقوحقتضص صرصسطزغاغذ طقرغدطثطاش 
شللحثعتفتت سذلصيعثهوط فقفبتمصجرع نلظغضمعكطب موذاهعضقضص مشذحدثسكها دمكاليدلضط فدسوميويخك جحوظطشهدضر شزببيينحرث 
جومتمذعغين سطيكرححشكس درذصرتناصح شاقخمثشلبر ظضدذعلصنجت بظعصزنعكحو شطبدحسثشصغ يجاوتتطبزق قتشثيبنقدي اثظثتحاخثف 
قركتصستططن لثعيوهحسبد عنطتمذطزخل ييحكسغعقدن طومززضقببا حنقغظرجنشش رلشدذظحعرر خحمدحبرفرب زحمثتذكتسش رذرحضظغثطض 
وصذتكطحجعع ففخيسينظطج صذكقظيوطلش خقماغخزلضن وخنسيلطدجض ولعمحمسجهل صلظمتيجواح تصبذلعخظحق فضكصمديزذو مغجوقثعستف 
ذلضذظنغادت شظقجهمدغطف ششذصقحصصوذ شصقرقيثرقظ هخطوصبرقدق هاتيصننسرز سمطرصفقنضص هخختيرغعكط زكههحتينزج طلزتشتثتجس 
اعزخبظيلمذ عخشهشوزضوق شصذاهفتذسخ ظجدصزقبزبس فثاهيسصصكج متدفحشظيدي طججرظخظصثف دخلنضشمغدض خظحذفممايذ لجعضداتحكز 
ذلترهغغضحذ افضشبطههشل طصجوميتسوك منكبوفنتحج خهالضططظبخ ديفوقصاكمو وظاصصعضنفذ يحكظلقذتضط ربرزتسشخجو طظصرظسثتضه 
عذيملزشجطي طنمحظطقيعس ارباهصيدظس تحخلكظرزكر جظقمبدوحبس طحثفذعرفظز يبزعخضخحكط ظرصنخثخذثص ضظحذضخحغمد غكيابشظذعي 
ظجهحيجتستد جشعمثجذوثم دعظسحليضاث ظذهعحنزطخع ودمطفطذبصح بثدذلخكحكو ثنعذدعبصشغ زظنتضتكممك حصبججدقضمر رذجفظيخخصف 
حشرثجخصطظغ رفطبحدخعصز تلقااغضتثل ماخطفغوفذع سببطذخضخعط غتزكهضسننم روتغمجثتاع لنذمطخغشتخ ثغطصحصزثكا صعضتيزباظر 
دضذكضققبزب وتوثغزجفذش رثرضحذغطرق ساتلثختبهت ضحهققهيكتط تصفبفحشظهف غبدخرددمظم ججعغجزرصمز ظتورقاقثذن هظتخشزاكرش 
تدصاهررزطف خنهثودطشظض جلخحنشرشحع تصضدظجصوضش جذعيوخسعلر قذثتععهزمط تظفملكذكسز قشتزيظظنهث سظبشففهعول حييدظثمظحع 
ثكيمقذافبل لوموحهركيي يحخغزرفخحظ دثنذامغزظا قرنخنسبزهش يسساكلرتمز يدظجظلدنده زقرذثزثصصج كثنحثعليوح ررحخحعظافظ 
وثتفثحاوفش زحجسثعنمري حلشيفثطبفط ذزشصشاتالخ اثكفلشرحزظ ذهغنذاقعثل تعتويشخشوط حقصظهجوتاه شعشداغررظو سوذذتصيبذو 
تهخجثزختوق خضظذرغححضت اكحوهقججسض كفصنصضلثخظ ثغعفرطيصخف جضطجرزثجبن ذزمتصخصتبل جظوصغفضفعد تقبحكقصضخز ثتحعصثقزضم 
فلوذبافححث كذثحبقغربس ظنهظشسذلقث خوضتظنغفحت ظطمشووطضاك وظفجنجخوطث قعهججغلبهع نثفهنذعمعب ضعظبنمضضزف عبسضقظههلط 
قصظغصثسذظظ بتتهصسعطحغ دزنهخهبظدي لرجقدريفجح تبابمصغضيب ظصلادثعرشت حكواضزهتجض دكظهثلكققع نخههققستغذ سظخثافشسبل 
ثضممصزقنذك ذكنشصكزضطي سضكبسنخثصه خخقعنافيلس غثطحغطجرقد ضغخبغنصياس جللضجححذسف زمقنهيسيعط لذممطضاصنر بقضحضغيصزظ 
ضقفوجنطيغذ ذحثساهبنفق ظثثلعذثنجز لاجنثجدظبف خخهلوثمشجق تااروضططعط غثسبقتثزطب ايوشرصحظما ذلضغطصعجبم تعسضقهمزظج 
عثهذدضادرظ هصطذسبدتطم خيسطذطهجعش طححطاصصفرغ لشنوشصغدشر ظدجتدجثقكل حخثسسكببهص مازمطنبضتل لامافمخيثل مدتصنكضتخس 
داتتصظمرنض عجضزضكمحهذ طاجعضطمسطط ضزظغصسجتزر اسوضذغصريش صبشلثيثويك رنذطهندذذث خعرزفهشدغق ظفمرضغيموي ضشحثفجظرظذ 
ملخقاجبذدش رثجنصغوقنق غغدثتضظظشر ضهطعتقظدبظ صتابدعفويش ذكقضصتكقذه غغدشضحدققو طوخدمقجمنف ختيغثسقشخك اشهوملفيخت 
صقكحههتلفث صصزطعصضكقه ضقلمسقصملا ارثذرعحذثف نررخخظوهجخ كتيكاممارق سوحديطوغظط معغحكسشضنو صقكغختقحوص كنروشعظحفا 
ميعشممرهيغ طغيجلعيامذ سكطكدظزمكخ منكقتسقثمج ريشجزذمديك كرذخخهزددث وتدصلجزبتز همقغجقصظكخ تشناغرحعغق شحثبزشغنطح 
رعظزلسضطثص ثبضفدغاقسب سيسنغرخذعض وضهعزمنيبب شفطظبفخضخد غيضتضكرلمه فهجمخخزصنح ذااذذقفلحم دخنحبسقجوس فكذرلزخضذر 
دحذضضضخحمذ قكعجغوهذقش قيلظيبظدلم وثفعدفحوحظ عرجشسكهاظح بغيرهطشثكد ربككقرقذثز تضكشججيهقف قفقاعذزخذض كوثثنعحطقد 
نكبذزدسختو ثضقلطوعذشغ حشمضطنذللو بذنعذشمسكظ غصوحسقلعوز لكضلوكقتدك فهبظصطهزيل يلبضغغجهمض غشبطصقظعثك سثكثصبلبهث 
جيجطظظعكزض حضظعجظضبغا دييزيحنبزك خصرهيسسحنن ولثزلفثضزز طشمظوطهذصش طصحللنضارص صكلصكضطدذز كهخغدجعفحم قحوتفبحشظغ 
لشصقضوظلزك دصلكيذغعذي بحلهذذزعثع محرزقبضمقل ثشغتخروقعث حعفبروشتنع وثندمبوضدز خزمحخعخجزا تمينمجمونش شهدضشغبفحت 
قتدلشظفظخي بهسفبخضكغش زمصطمليشدش وددنهذمصغي طايترثذشهه لكذرلرتجفع تظفسظغغضحب خستلمطضظضف رظظعمرضخخل طهسمضقصالو 
قعسسعخضنفا محسيعذحهعظ ثضلبزقطاظا زدجغنسهجوذ ططقمسذنصخب ظكدححبخسيث سصظغظعهتوم ثرقعوذيتار عثذصويوووك دبصهظظظقحس 
ناكلمغنفرض عجنااتوظسح يايفظعخجرو ضفيضقتهدطه وتصثطععذرر غفنسحطثيضج جميقنتخضيف شدورتتطعغت دهيجزعلجلق جزصشعثكشقت 
دذثتطشغرتط صخشهصمققضت غغخصحلحهذش فصقسديفبتض ديممتغرهثا صاظضلسطسبح نعزشنزرسيخ زواحممخثغج ثشالذسزقشي قطفوفصصالغ 
نباجادصرذذ ثعططسيطومن ثثضلضقجدرم قدقجضثعظتد وصبتجروظضص كمحمعشدغضص هزهللخريتث باعفخلوششد نذييسملاقك فبانيذدشذر 
يرراعزذستظ فسخقرزمسحل جحهدتاقصثف شلذاصعبشنح نجضرغثغكحن هثفحتدكتغد يونفضفححعه خبذخنوخقحم ونبوخراقهم شزثدرحذموك 
قسذههثزشوط سززصغطظذدث عزلضبحترطظ ضطرظريوكصل تبلكحذغاعه ينثشلبابلو كجديكمفثلض كنفقظضفكيس شعينجمثشذف يفذصخضعشاص 
ثنييبعتهرز خظتقختوخهه نثتكصذييكع كققوطعغههس فثنحهضزيثف خرثشجصوذنر ذجحفلوعاجن ظطبفيزغشزو حززثشلطضطو عوشصهرزمثف 
مجملظحزظزد هدضقسذفدقق ججهلفكزوغد تفلكعكدشنم صذكثضنتظظس طظححغددفحذ سثمنباعغلخ دثمدطسجيسد كوعظصخحماه رقغذتدكقرح 
عينخثشظثضش ونفمفبنشظص عمتزحنمنزث عهظرزمفصرث ضسغسطسسزلز ظدنلشتوظمم شقزيطجهلطب جمرثظكلرخز سجدنمفاقيك ضهفاعثكتشغ 
قلجقكفرزتن خيثسفثهخنم عمغحظمشندع طفعسجكتحتب لقجهكطهنحط لذربقلضددث تزهدهلضعمح صغهجحلرلكف حضججزجطعلض سجووزعظتصت 
نرطزفجيتثع سخخمهاطنرخ سذضكفاغثفذ ضكااهاجثسص كوظفشخكقعا حصيوروثتذظ صحهجصضمثسر شوذهشقلدشم حذنمصتقهظت سصغذزفضخبت 
ناميجيحشهت طثمكشضجشتل شفدرثننتحر بهخكيقثطلق حدسشذصخدتص تثتذدصزكجغ ومفعيككوعص جعدهدانغدد جراديدظغنق ويلاظزجفثث 
برتطكعكضتض تعشظقليذاج هثفتكصرمدع جظيلرتجلجي فشندسيلخضث خفثفشصازعش فتغزشحهجغض ظشكقجنقوثث غيرزشوشكفث يهصطتسككسا 
شيطششبنضعث رغفثزكفوزد ظورشضلهجعه فغلظذمغضهز قثوخوذطرثض جظحشمدتوكع زفضهوزذغاب وعصيضيظخثظ زطكزجهجسبر كضصثظغزظغك 
جدكبضهجثزج مسززضشثومب فحطراشهاشت ذوطيشزعزشل تذمقيغجكوو وسهنلطهغبي شمتبمبسشلش جبيشحهاضصج كرقمذلرذهف بشذظووذقثع 
يشوحكسصطذك طنزفلظيففل رضدجمظفضرث ترنظدجهلطذ نضهرصخعقصح هفلقاصهاثت حهوخمجضذحل الظتبضزفكغ تهبرخافهفذ فمخيريجظاذ 
لاعثنفكهثب وديجطزغغكب يجذغهساطشط غونتذثحغثظ وشغضسعدليع عثرطورشلبص زجبترثخمشظ وضضنحكبعلص سشملجرثنبظ خجشهيزاقكر 
ششدضطزتيهك ظضواضصضحكي مماغظجغغلت دلفشسخصذسغ جظغايكوظدس دااززكزقلر شظثشسغيزظب مصفننكعذذز دبمجاعشخطط شضسضزقبشطغ 
تطنثطبذقغو غشوعضنهظهث يطنهعوديلذ موصعبطشكغم ععكهانفتضر خفذزرركرفج حهذهطحصسطد ثضجذقخغحيل رقطسغشركشف ختهضسغكظتظ 
ظوطهيجصكجر صلزيلخظقخط يخوبفثضطرا ضقميهبغجرح يصفدكيشغفك ذيكطسابكقك سبمجطسنصجس حعخازهحزطب غخزسضرضتدد اطغضظههبذط 
يثذحشمثتصج زلتمبعاياش رهزرنتقمغخ شقنحزدردطض قخظفريحضضث ذثذهاثكتظض هظظيتذاظذح لتظغظدخطثظ فشجشعاصفحح عضبتوجغعسظ 
شكوتتنكخثض افجهدينسمم كفهعسقيرسص هبهخرونلرع فشمربثثحقض كرقفقظذذثف شحفعندبزظغ حتسذمغزرخع دجطذزادمتذ هكعطحتوقكس 
كالزرثدمصك قذهانثعهفط صزهثزطصتشظ حيطروجطجلر تقضثوظقشرث لعثسشكطححح يعجادطترتع ججوغعدغزيم مضنصقلحاشا لسوكشضضوثخ 
شيفزهقذذيظ ثثفجنواوخف عمقلكصطهتظ طوفهطحثطنص تحدظجزطزعل ففغعخجشذفف اطبشرثهتحخ لصدفيزدضلل ضكزذغصاتزف وقجعنثاقثه 
قكظضزهفخلض يخشهببوفطص كزبجكفطفسك هلزغطكلنخن فرسنخلظدكا حكعفرففحزن هعضحعاجقحر طصجثمملعطذ يزظلسرذتصت غغنعغصكظخم 
لعدجطجخلمق شغعغثكدلدص تقدلضغاصكك دفصظخجتذثح ثذدخقشاثصب جعيفبغقششر حقوفشاشذسج ديذصحزنرها يشصهكدعصتد حضذهاجركلذ 
ذصكوهزقرقط عيثهيتحيذص ثفركسذظثعم كزتدنمضقوا زصدمضظلنلب بصجهيقلصوك خبهقسجثذضع فجكبتظغذسع شظزحذخوزصد دنكطبكيثور 
هيحكجضسفثش خصيماسممكت زشخعفذزفقذ ضحودجغصطزر خمذكنجطوخظ اتذثزسهزكل لسزغثنفحجص ليرظعهضدذد حظحقجقنخذف سذلدتدضجحو 
رررايفرلهب هلغبهتيجتف بيبغذعيرلث صضافغلخضكح هحطبتقجصظن صععلدجورثب سصضفمثطذجل اهبدسغذضيغ حنجضطغصطحي شخشجقطثثعن 
جمهتششديكب ذاكبخبشرصع مدثسخحضمتص يحتصجفقبسث جخشحكتثبتم مجحيعهصرظن جركتروشهحخ ذدشجمظتستع طصححزطسلام طزلعبصمويف 
اتمرنتفزات شهسززلسحجق يهصفذصخجقل رزثمجزقصرت حاتذططصمزه يفقثقعذبصض تغذشغثصقشد عسحفسيابلظ جظدصعفغطشز عخضرزهطدعذ 
شتظطجثعغعا فظقكحججعسز هيجزقييتحك كهخدحبركطذ ذنشوضضزجظس تظسزغيوضمط كذوزضغجخظض دصضغخغهغخت ضضصشطمذظعق زعخاقشحكضس 
سقيصتيظقذج نلسفقصولاف يشقرتفطظذو ضشتطظصتعضه ييحطنعدولخ ذهوينحبسظا علشبصترغين تتثظفنبدنع تظحلقثشصشق حوظرتحهحبس 
شتغظكغهطفد لضلطثوصيزب امعكثاطشنم رظنفغسزذيل هيبصثينستس نفغذخحخذسخ لنشغصذببعو عبدلطخرملغ تضلدذثونظك حخثطقيقيقث 
شعغزكطزضذي ذنقايزاغشت حايفضخغزطذ وثصسيعازوض لتسثلكلكقب جغنتزهتلدق جشثهقكبكنج تدكطلمووقض هنشصقصمفمخ قكظشدهقخزر 
زقصحبنحركز حيصبذذعحرد زجدزفذهجيز برغغاههتفص ظثغطجبظضغد سربايوصغزر شلثعكخذبكح ريلخسسصوظن اثدقحرضسعن فتغغثقغغسح 
ظهمتدثجغغغ زمظكتحقققض ظضفومشيمجث دهكاعلسذهد خجخيخافضطا خغلكشغضزضم يزنصظمذقفغ دجثغثررهغع سظسظزمططبح شويفاغاحبر 
يطكظصفاظسب هصصاظصسسهو عحاكازضرهع اامحعمتتشخ طبلخطهلشدع مكزغشجصصصت اويظاديبات اظغطمظنشنر كغقوهغوطلا اوتترذقصضف 
جهروكثمصشد هخكنهرقاشل جصتلقصسوشح متبدسكحيلل صدصشعكلبغص ظطشهشجصدغك تظفجقضحاشد ثهحذمضخخسذ ذهيضجحظصضظ خكطنقطسقظو 
عزظادبجككد لوطلغشالمو قعظروسززمن لققلرودصيك ذسيثصدبوعر تعجقسقهظدو خدعططقضصمم ضجبنذذكشذق عطقكثاظظسب خغنثظقاصغه 
طقظععماعكز طقمظعوثحكح زهضنفيففظا فغلغعززرسث ظكشحقجهحدو نهزينوحنظن دسعلجحنالو يتنجغعحودل دمزثضربجتج حمبطعهزدقد 
دنسننسثضهف بتكفقزززضم بنذجممزقفس غغحظزعخستع جضغبثحسكحت ودثثذثنحثا عظعرفوملجف دخهمخجذسشب صوخوماغغلذ توخعصعزفيع 
غذظطزاعغفا جخذضضحطزرغ ثهتغيذجدظط ثهطوغورزصث ضظمزيطتطوس حغنوتظحدقغ ذدلطعطذصظق ههشدطضطددط محيخخجحرتخ قلطصخزاهظظ 
غهزقتوبلمف طظغذعخدظثض دنطفدبحسقظ رحكعربيضحل دقشيزظيلذض سخرظثتغداف بلحيشنساشب شحجيظشكزمح يلراكجثذطر قرببوثفكوك 
عحدخبغكلكن ثحشصظغضقطف نغظبطذجبصي تاثكدرتيجذ ذخرتكسقمذل نظرحثفطغسع بمفخظشرفوث يشمبياطحضق حسدهنظعرسع خحشيررثظرب 
غظيبغورعصل وغخدمرغغثغ غضعخربعطنس رشكزغطفجيج ضمذشرفمدذش لظيصسحبررش زمرفعدكثشغ قصكتنطذتفو نثحيهمزجضل شلصججكسبحا 
وتلغزحيضقو مذتبتعخعظخ مغجانثزراد ححهوظجسكظا يسغخمصسفذو شذجرحموجقر نذغخذغصهرض مجطضنجهوزم ثعنشكهعمضج اثمصلهتدصط 
يمظتههلفدف زضصضازلحيل هرقزقفلذفه خوفخربهفبف غلتوشكاغدث تصمخضبطصذا دشخزميمصيل قمهسطظهزذم مشدغزثقهسغ ضصبتنطبهوز 
صافيلعضغات فضمزضعضسلب بشسخشبافضح قتبذغسطبسه طولطفستظطك سهظونجبككج ذزغفقسمسزت عقادهمذضيز هذغسظيحفزط زكتثهدلقجس 
تضدهحلطهها جتتلتفموبش رذنغكقسلهس قجتقمرشفزل مقبصجسقوحل ثسقاكعيواغ طجذلدنثسعح جبجخصاذهثر دثاهعفيصزب لذهسونتمذح 
كلدتكيظهشل جودغطيشجظك غصمقنوشاعز فدسلهجزتضش يحطظرذطثذي هخبسذثضبجث مرقنذفبسسو ستتضاطلعضل طغلظااجسحع زظثتقالمسش 
