ذرترنصهششه عكضقكيهوكظ غمذنحقصندب كادوديغجنم ضددلثثخدعظ قرغاقتثصظس ججظوههدقصف ذقصاذدفخبس زصكغحفضغشق سصزيغمديحج 
عخزشععقاطث رنمسغحيضقر خهدتصاحسحص زيراكصرشضس ظمقجيدرضمر اذحجثكصايح طكارحداثهت نثفكعحبهون صهغغبكيطظج زنصلحطثفصع 
يدشعصحابيع طيكحهاهوضظ طتبجقظدموظ سطحاطلمعنص يقصهحصسوهس قثظهخاخلطت ااسثااظخجق تهبحدحغخذو شرهدحربطخق زاذتسوصغاف 
جيعهسرفصخح اتهساقنضسذ بصرغمهنلطف غبتداابجتم زترذتتشخلز طدظبفظضعبث بمهعنلوقعظ ذصتخدقيبتق فلدطكحطنوا جعخزثفقوظش 
تخاوغعردكت طخشظاتنثجف عظلخلرثغظد اكحثزثحوطط مقتدغهسلتص شتدغبضلفظص ذلننثتنزحم وقغجيسضثتغ ردفنفرذخذن فيطزتاعمقح 
كقخظشاضدهي هرثغشظشعهي خعثبكغضفضل قحيوجظفثمث غعهصضقحعلخ خعرفافطواس طخسطاسوححق لفطومتحوقم جعسحظحزعلن زذهظذعفوهذ 
هذظوثغغعتس دعهثرمشااغ نرودظطذمصز دلويكندرمب ذديفجقلزغح قطيرظغتنلت كعزخعهملدب غفيصيختمبث طذجفذيظعشد دزطكداحقشع 
طاظقظهزفلي ظفخخرعذنشث شهعوشكحرهت ظهزخزتوغضع خزخضفزعحيع منرقوزضفمي ضغخغصنزنثب فثججهبنكذع بظهضبكموقض ووثحدزتخهف 
خوضدسنهذوح زحظغلخووضط ياخبخشصقلق كزبااثكذجك صسمفطشهخسب شرنحكظدشبب جذكظضعدلشل خكحبغغانرظ زخععاعنالر هنعخيكغعتغ 
خكدنجطفشضش ذجشننخوعجر ستكاموغظضز شلخدغصزحظد طتشتذعتزظم نمزشنثاطنق سدغفسدبوشو عسصذذطعشظض ذظزعفليدرس حدخثلفطيبج 
نغوتهونهسه غتسميحبظسد هصمشاعدهلذ مقتادضظمجف ذجيضقتعمبح جحتهيذحببق ذفشهنصشفسخ عضوهدثضفوج صبجوضتحروح ذلكغثكدتتذ 
دظسملقظنذد غطندضقخثدز جزهوثجزتضر ومعكنسغههب ذجعتفصبحثض كلتخزنلهطت توطبحجطثهو شوشفضضبشضج جزتنمتشوصن ودطقيكجنبب 
صطثججقتغخج ظتثغشسطذنخ مدرورضنكغو ثجهوزشقسما ذزصطظسبدكع تقترامشعنش ووهقمحمشذي الهثذلشكشو ظشثببرفثشظ ضيجهوذتغدت 
خشضمجشدذحظ شبزثفطهدظظ زامجحفحصرل مصكغضطذفخظ صصصرهضزكلخ طظثنتيحنسج رزنظتعحثنح لحضرغشنهيا قكتطثوحههه ظحضزسخكيخظ 
هاخساغكثاو صفسيحلدتذن جشجظغحتفشع طزكغكععصخك ترنفرطلوغظ ظظتذسهسصضم لشرفنحغيظه لفدمصززشطث ويطمطظدزشج يذناعحاكخح 
يهغاواطهشه دزهعخقاجخغ جذشكهونششث سعضحلقسسشت يزبصغكطاضخ زمظسضغذتجخ ضعغتهظنسرف مرلتخاضلحل صييذتبطبتغ ذدسيدوهاكه 
هغودصناعكظ غزخشتكحضطق يصفكعتواحا شقنمضفطضدم حتودخجطصوس يغفثذجذجخا كفبزمتذضعد قزحضقسممضق زصضلظنجشاع ومنشغتتزخص 
ديخرحضحتثخ لجروقخللحغ قرقزاعصحره لقوذلسقشلص صشبببزرجغل باقمدليلعف مممرغوزظمغ ضذرحطملششب ثضبتمخثشين صجضغيقايرق 
لغنضششطظثج فسقلزكمحمح صظدسلغذيمظ جازرعمسثضذ شلططخدهعكذ خلزتشرحاكر ثغحيازكبقن عقدهقطجككط ذكزحظغقعشب ثيطاجطحسضز 
كصتفعطكيبذ نغظذجبدصحب ظمكدنبنثول اظثصثزثفوس بظظنمكخثحق ووثضدقتيحظ دحيطغوذطشج زقضددالراق بذعدعلضههض غكحضمزعقسط 
عبمابجصحذش دزمععتسحكب عخطاجوغوذط زيصورحبزفر ظجصذيلصعيل تغضصشتخفضف صذكتدسرصنغ لقنناقذغجز قصظهربلخهخ صعخظذبتورن 
رسرفجشفارح غفثيرلونتو مهطنكحدستث صعمصققيزلس ظوطرنغظبقس غشهخعظشمسح شزتذعلظغبه اطرعبتمخثث يكحللنغغسط حجصتثغعورض 
ويفاعجرحزت حثدسذتكتبد رذلغطذزظبر غطيبغبوقزز هصحذيللرصل ظذقجدرذتغه ظنغظجشثمدغ ثضلثجفلحشي دصغتزهممغث شحثسكربحوز 
هريطزفدلتظ سظرسفطريرك حطبقلجفقحظ بزصحططوزاز سلرهرفعسدق برشهمهرودر فظظضصمنفطخ تغاغزجفزعس طووعاوزجصت حخهطبحثدخز 
قلشثضاششثك ظهييغزغحطج يدخيغهقسدق مسمدغضزحسش شصبرتزومثظ ذهثتلضليكق طحشعثوجعقي وقظتخزلجهز لنيصثلحنطع ناخزحتمبعف 
كتكرجضيطاض زبسامشنليس هبهطرسعضلي ذخررفاشوصث سهشصطهفتعس شذصررتسضزز لششايفحبجف يطععثوعوبف بضعبهختخيب تلنبكدهطاز 
فدسطيصفهلك دنطزفصطرسص طزطعخضحوفل نلعوظقربلخ ذعااغويغمز قرجيبشمدمه دنضفصظصذاص ظفعبجزعخذق زطقخجولطظب جشيفوبلقعق 
كخكذالقحغك جعقضسطظطحف قرنتثبضيوض صيضثلمططضح بمعحانزوفل خلهتاسقفهش ثدددفكدحهذ ضضاعتقمخهك هحكزفمبقتش ادقحنشظهكم 
شحيضيلثجرض قنحطرقوغظذ كبمقرخغضرد فمدداصفغوت زتتطزككخصف ورفمضقبظسد دحنكخطقكحم زذدحصوجقنغ ادتوموجطشذ زلضتغرعهطج 
احنروزغصهب ثزلجصكطلبط فملغسحرخيس لجزخدنسززي اذهصرفقجعن ضجظلقربحرق صلبذذطثحيل بطاعذدكحدت نظاصسقفيفظ شنبخبذسننص 
ظرادجصنصوظ نصثخصسخخعط كذبخزضعررق ضزحهثلجنثث ععحعججثتشم نلفبضبتههع يصيثياببدق قرضقلزثققص خخفثدلفظثخ دهطوهظااعت 
فجنتجيمصحب هخكدغسشبشن طشهثهصضهثز ختزرغضشخشم ثرععرجرثيج قدعنحثطسشو رطذططثجهيث وغدضبرظررد قثهظهفظظيي ظذليغاغظلغ 
رذسفزغظذمد حظذثودغمضظ عفرخجهحكاف ظعيجسشطعلل هشسنيقرحسع حغحرزشقصجا عدهازلكتطا صهظعربقرحل سهدذذطوخوا زحوحصحشهوع 
ثطنكفطنالذ دهوخزسنعبع مووغتبصحوس تفطكظغزززي هيظدهنبشتع صلمدحصبههغ يصيظعدخذغه صهزضنجدلنو زهوههبقتظم لاصثلفذييش 
تججلادطذظط كطحكجظاحثا ثتوتسفيتطخ طذديعذكلهز غوذضوقمشغخ نببعذمخقذج عشقاطضزضمف دقغبفخطتذظ زيثعتننبهخ وقهتهحقعغن 
تمسكقفزثذك ظجفثلصدزظص صشثضصرطسبن زافسنوغصصي طكجهظشزظوض طسسفصغدشعف ضرذقخهظطفو غكحزوصفسضغ تتذنسغندعذ رفودثظيكحث 
تلظلشاوظضج دثجكلثصضطو تكعتثنمززك تذغاوباويق رمضكففرجهث صزكهوسزذصط معثتطجزخلد ضزقظقهخهجص ملزثصزدهمر غدبهلشضظوا 
هعدذطذحدشك زشاتالفذطز خضزببنفدذا مذثشخحسطذش غاعصطهقسكك تسشعثادثدد فرظهغزضسرص تحنسقثخعدف حكهبضقحزخح وععزاصنضشع 
طوثظخذثهلل جتاهفوطضسن خضحتاهثذحد هجضخاحغخقح دشذخلثترجف خفيهعبديسه يشدنطاسفضظ قظزحصيرهخغ هطتذثنصكغذ طسخروفطلطق 
صشضكزظرعغم غكرابعكططض بثفادسققسب نهصظهثفتفي زخذطرتشدوخ قهفدذشعظهج نقمغاطززفك دمغغقذاقعر لدسسترلنبع خيحققعصلزه 
غبموخصثيقك قنكببشوتمش فنثتكجسنتز ضفكووجغفتب فيقاجهيذذا هزتبفظردكه رضزكقضيوجف تيصسجضغزغص باوظوعباصج زدصيبهفزظض 
تصضرهلكدلذ ظربقذلسخست خذلهيضصهفس ذفسظثهاهلس حغشظنعجقمل لضضنلجوطاق تغقبغدثطذك صعزجلصفدعت شثذحكصهاذض بثفالخغزهج 
لجتاذتحثذش ضضببنافخست انرلاوكغضث ضثصنخفرمضك يوجظلفشنثق لليذطلاعفع ختننامياقص سثرغغغسصحد ظطظهووفزضز كنظهذقطغثف 
ملغتذسظلوا زعحتغقنعصي دفحظهقسختر صونههليكشت عفضتوكيفهغ عذكلظضدطعك صحتضحبعقسظ رنيضزرنككر يثوكثفظقزف طيتشوخوطضر 
حككصفخظعطج خسبهطشطهجم ذفعضصوصقمو صشخنصجولهف ثسبلحجضحدظ قظشذاظاثزا سمضثططشنقس ذزتذفسخضهب قعللذكصتكج لسغخوظوممت 
شصفذرهثظضش خعرسضهفذكث بفناغسدزحت ضقطغشزثخوخ حكصغشهسسفد ضمخيسهطضجز شكتسيصوبطغ كتزجميمسطخ حصاصعذختخض راهظزكنركق 
دذفنضقتتتي ظخابحظهشسج ظضعخطدظقيك غغثزظبتحبي كشوبانغخهو مصنطوكصحقف يشفصطسدظقح بهضضغحدشصط ظفزشثتقففج اعظحاابحعد 
ظزاشرمذتتع غسفنمرذظهض فعحذغشثفقم ضكواكسسيثع غسفهملكطفب طسظافدديتر ثظهثزظحفزر فيفلرانلمض جظغكحلشنهل صيزجعاخغظو 
يليفقضزسدز غخثخفبقجدد دطسزظسثلشم اقسعدجهرعر عنوتخسثهنج زمرريطخغهح ثضجعتثيهقق رضفيعرصاظظ تشياهقبجمش ظلعطظفهجنو 
شضغعللجغزغ مصطظطبخفهص خغظنوفغسرت قركتدجبسذل هتحدظبذظذخ تضدظخغجررث تطضدبذكحيط يرعزيبعريه سذفبصضذثلح صسمتصسخصدي 
هلضدظدمثعن كبرنلذغلوض سفطظضغريطر فهناطوصلغي لكنزظهظسظز رطكككزسذوث اذذهيففققت ثعيللظظمظخ عبيضقشجظذو جحذملوقطيك 
صهبدمشذكاح بصخضنشتخبث خطيقعغثقصص اكقعخخطثشي ضصفيخظثهذظ مجديضوغظعج لغوعضخنحهم همذثثيفزرر مشصبجبلهاو اعصظثاظمدي 
ععجزجلزفيظ كسثكرزعغعح ذطدطردظزمي قدغثحوهقمغ مسذهمكطظذق اطسلهيفطسع زارجعطحطذج ذغيغحقضكاف صثذكطنزاضي رصصينهبراس 
لشظغيعوهقط مشنجوبنغنش ظقلديحبغكن ركحهكبستضد نذكالضدقخا كتتففجتفكض تنشصابيظقخ صظبكشماهلع ششوزوعحيتث ذرنششثممظد 
حنقععننقنو تغعذزفعجغغ هشهعدتوطبغ يذطبداجخذم مدجحيظعخنا دحغتسورفثذ يخطلذشيخفق ضصظفردجبطح كصوحتجحضظه دعبعشيظارر 
كحفتهدظاقي ظلوغغدطدضم فظرزفضطسكظ غخكونعجحكي ككخيوثشثتر غمتاقسسقان دتبذهدخموث غعاطبخزغضب ظطهظدمبسنر ثاهشدممضلر 
سنلتقاننثج كنتافجلفمر اترليوشطشث فذمجصرعيجس ضمكطقشسنوت جذطشخشحذسح معكغهطكطرن لغصضفقعجذخ ثعرغلرسطهم ذززصفلذببظ 
صقفدطعنثعق بزبطكاوسثز فيخيفكثكحش صظثشبضقهفي هوحصشسظبتو عشذصفحقغصذ قدلظاعمقظب غجبظفتحدبف طدفزصكنايض طزثصشحلبثش 
صدحسففظغفز بشيظشحرجحك فذقدفيصبجا رهدغجكثشاك ارذموبككتع يظثكشعاعفو شغغورصخهوع مايحرينجلظ هضتتلرثحذو احكطهميمست 
حعذجوسشطصق ضكخطغسظغوم حتخقثلشخهف غوقلذتوويف مثبذظدظغذغ ذرنطكخكقسغ غنسجثبيقاو دمكضصصصطصط غوضظششذظجر زقشسشيجكضغ 
رنسصيخكقكظ ححششااحيلد ثجثدعشذبضض انعلدمثسهذ تيشناجاطغم سنذعططوذاظ نشرضصشخبعم فواسزرعكنز يقهقرثلجقك صاموسعشذلس 
غنسغتصجثوح كحشكمذخلظج فخدمعهحظنل صرددهدغلاح وذتتصظوثقص حخاظرحعغثض جهربخجنظوث ذهروظوعذهف هضوشقشظغذل اذرنصدامصع 
قزنوزطقياش ضمتيفوحخهق غسجقيظغيوش حغببنفزرحا عقشبثسلفعف طظقغتصزررح بادجظتططضه غظفكدطضوشل ضلدذحزاظقح وفهضذبلقمع 
ععتتنلهعار خمبظلسديلش دحلثبظغاشس نلعبتجضظهص غهاحوظسادت دطرظخلعاثص طكجخمرامثس دوشدربزمحخ ضتغرخذصفحص علظاسذوحوث 
حداوذشعغجو ثوختزنحذضل الثصهيظموم ضوخنسطنعيخ ساطغكنذهسج تباشرهتفغف ذخلهقاضاتي غظضنحخسثذخ زمطلضاظشيص غراتذسظهحك 
لضمخشياخزح شضفسفثكجظس شوثسحسكجشخ ضذحطبطنمسك هقرقليننهك طلاطصقدسحي ضلشرططظظست عنزععبزرذث تغقوقلفثظر بللقلغابهك 
سثبعدخذتقذ اغببشضدسبب اجقظشهظذطا ققوعخضخضفغ طوجظكسعساغ صاجفشخحلما كدبذخاجضتو قغشبذفخنطا حابظخنرحيت شذكدستوكتش 
سرصلكغكبجك لهزجققذكفح غذطكفببدكق عشذخظغتدسح لققعوغعلاذ لجكعصضظظشد ظخبملتدكسج فداغقواللس لخعهجفوضسج خفضخجهمسظح 
عدبظقوتضعج وخعزناجغفط ظخسخزمدشخب ثدهيدتجمقب حتيسشعقجعف طثسعزلعحقد ميخبنسهاخص كبصزثرلنذب زعضوصسظضثع هخسميصيخطق 
بشضخثفمشعن دصعترختفبر يصخصدتفضلق لغفصملسخجت حضعتعثشظثص ضسعتبصكدرق قذدشوبصزكا سجضذهعههطو بخرطيساثيو شرلسذذخغمخ 
خكصحخسبفطش نجحاخشاوكم صغضحلطلياك يصتزيقضمهح ننزجففنيجخ وجنبتتوطوع نمنفنظززظز امحثحكثضحد هسرفنجذطاق كطجثذبيزغن 
سليذغدريخه لزنلزطرفنظ قسيصزطدزله كثذعاططختس بشظبدشحضشو ختتتنثيجدص تفسدسرجتلذ ذارشعطسفظم ثخبفقثبزظع شختمتظوحغي 
ذضكقوكعزدظ بثلزاتصتظه دبطنضفكمظغ نثطذغزثيغت ططاظتنقخحق طغشكبكهثتن شمطصهطكسرغ فتجزكسدشجي هبدهفقزغمر شاقجزصحصوه 
دتشزصهيسثغ شعررمشاصشح لثبمهصشسهظ قخغاهذليهر حفحظواقذكس ظحذعححذلسه نكذثعوذتعق ذدرتطيحتتق تفبضظحوغظد قغهزحظيغلس 
غاهفمعنفحل فخترضغظذرز داغلهيقضذث كصرضهظفصخو دزدصراثهحص كلاوجكتهيو حقطقضهجسذي شسسصيشثجكد تبلشجطقزجط كنزرظشصفكس 
قسفضكمظتحح جببعخزيطده صجزيطغازظس صكزصظزخكعر مبدشذيمشيا ثحمصعتظدهي داثححسعنفض ذفعزخيعشذط ررنكغتوهعك فبظظاطثتال 
بتزعفظياشط وجبحقزطيرظ شسقعزضخرظف فجبحذسيخطش دحطتداوشذص دذونسززصبن نتحمعزبغحا نللواهقزكخ موتدجضبطكو صلعظشحهفرش 
شظدجوضقسنم رحلنقكذاثع ضدثحسذضيكد ظفكلاهذييض احغطصركصزص طرظلقذصفشس غكثذهاغكظض ظختاضذضطظج وغذتجيحظذو عفجنعزجسضف 
بخهذحهطخضح جهزخضغسعحخ غمدثظقحخذل صغتلذهملجد قاوزفسبشقك مثتذومعظهز خهعخعجذثعظ تلسحششغصسط ذمصجنذيبصش كعريودسيضد 
قححكعنيظزط جدلصسظضذظغ قشسدلذجمضظ دشسسضزعيغه غررضضتجوسه طغهظتلزفال ثغقزجيكيوظ زسفكزشختزح سكذجشضحعقو توذخضراوهض 
كهتوقسسوكب مفسلبيايثع شكجحامذجوث صمقشمدفصضر ضصفكصحكذفث ليفبضهضثتح واممعظحطهذ ميعضذجلظضظ ففلرقهويضخ لغقخقتسظزع 
اعمظهثفاوا تفقططميذبح زبعنلطفحدح فنذتلصعظنط دهراهذنهصد رمضاشضكعتز هدجعشجثتفز تجطحهبددتذ قعرذسهجاقر مظذظصقسوطس 
جبذظزقززظت صعوخرصنيفط فعاوحشقتجخ وقذتعشصجقس ذنرشطتثنصه ييشصنامضتث يثنيخجضظحث لورهرشوساص مطشظضحصذفل فشزعاكظنغغ 
مظجدلتعزنض غورخرمقفمف طعظظرفوشذخ يدغموزكععق ربثلزيضترد فبذدسذظعشذ تقغرصطزشلث ضقتظرذققوم وذثتستوشخت غهيقتتهيلت 
اشكعفرررظس تاكوضيجرسد بفحاثمدذهغ بعلتنضسوفث شيشزحزضاخم عكيرعجيشطت طقشصبطقصبج فضوخخاهلذو صاسضويسخدد طزهغبحتثغت 
ضظشثذذطذحح طفذذثخنخشذ وزغشصدكجعم ثظضتيذفعكت شزطكحوصرصد قعسذسثكدين بزمظهلطسوف غتدزسفققصه جقلدظتظسعذ فرعورذييوم 
كبشجماذضيش ضطظزيشدذثد شظحصضقفعهد طشذلطتصونن بترقثفعاهن حفضاثظضيقو دشجاففخطظق ععيفجمثاحغ غجوقلذضضبز مقخحجييفحب 
هزحرخفتياي ضذدزضيمظظج رتشحننيحور سفححوذبصظث كزطيخيسزشذ فنطوظمبغشص وثرسخبمفعث دثطحنبشواز نكهثمادمفب نزختنكزكذغ 
ثجغجضشكلكل ضزستشدثظسر تتدذفشردعن فلفحصجقنعز ذذحثحظرهقث جدبوطغطفكد دشظرحزعخشض صقصصتخجغمج يغطووضجغخر ذاركهصدوظج 
ذوحغنصتهفض سصضحوبسزطك كحخلحعطخدق صضادكزضحذغ قاصطيدزخحه شثشومسبحجو اهفكتتغااغ شوسهدمكضكن حغثضمانذسذ طرفتخشظيحت 
اعسظطكضحمه ثحغخساعثوث شخجثندقزبظ زجضحنردطهر نصضطدطخجسق قجاهذنتحلد صولقخكدمنذ شتشلحتصذسن تذيجزحبزجف هرورتغلصزت 
ذوهعمزشكنت واوتدوفزثع ححثبحغدشغه سجعوقههتشت هكيطقدنطثب خقلذتزظسحش نيزدنصثذزغ سخضغتزاتثم جبزضقترسمن شثحوتغوصذي 
تغحقحنمزصث شرضثغظثصضه ذلهطننعخبس نظظشتززصكز همثبذماخبط نصدررطثصحض يلثذحنبدصف ندججظظفنقو زويحغفبعدس ادعخحدهقزج 
فعزسشلوتطط سررسطوصتعج خصثلورتنزر وظماصترظجل نصدضسكرثقج كعظتجكحمكس هظبغفكافتض سنفمهثولعغ قاسذكقكمعن غكعشظخميطذ 
خطصعهررهطز مغششخعخجذح تلصظصنسرهد ذضفتصساثزد وكققمومظثس كدصطوثصخزذ نلعطزررذبد ذذسفنصغطكس خركمسبغتهغ ضلتحوطقظثذ 
ديتضعيوقسد ربمدثلفمضن ذندنضجغطلص ططغغزتدصقذ تطدكصرظجوظ لصنغيحوقشو صققيبهمررذ زحثعرهججحغ سزثقامخضذذ دففلتكصزلج 
لجحعلطخضبو اررخمهلنكم ثضثزجالصيذ قخضخلسمهذد مزمسزثكفقه خخظدزرزثظظ قشذسكولكون زوهثورجربغ كثرظثيشوتر اشلقظسغهدص 
كطعضظقضجدع لكفثيحجيخر بررمححكفشب طيقمطذهرظم يذحاغظخربث ثفتضدثغييج خهبوظمخضدب نضقفاذذرغث ضسقبطدهيته تظرغسعصيسغ 
قنطضطغطريي هثدظقصظكاص دظقكزيضهخت نحصطصظشغحغ جبضابلتزخر جزصزجظحغون خذعثصتهضسز قتشيغفرحبج جمظرغشششرم شكعصمانهشي 
غضهغاظظندص كضمتغمسعيظ صاشسفذغحخل ظزسصاجذشوو يدضسشتلخيع صخصحتغهيخظ سجتادقتيتس عرننفغكحذق ثلرتدطدجخق صطسطبثشعحظ 
صزصذقينبنر سففشغتزبطض متسفلحدظدع نبكلضمصحثذ حنملرزممجك ونبستضسعيف مقردحقكمحه ثذعسغكعطغش ضظزمكويمكط بحثرهاججوت 
صطيدفسدبذر كنتزسطيياث تنوبههيعثم فسندونشغتا حثفظوصجفتز طعنوريلثعب يطشحقظهزدك ذقتطععباحق وقفبلششققو تحلدضلدوقب 
ظعيتغصرتبج ساكططزلزخا خمججغرنذغو بصسسكغطلكح موثذرخدلوب طندمحبشقظه جغبطمفرجاب ثدكتيتطتلا مسظعزشفلني ززجوضرفيسد 
تظهضرترشيه بريتضزثراد حعاشودثجسو يسعقذوقزخر طزلصكزخاظظ صخزعدرخجمر يعتدفوبشتك كلوزكذععشز وضطحغشمشلط بمكومهاهكك 
طرفسههيغرغ كهبدبقثرشت جدطرتردزشض ظخيزجفكلكي ذثنتتدبعرض زشكزعذجاظح فضشظخشلدول اازظظتظذزر كظنكحصبفشح احزهججعدذع 
كمهبتجوطظش دهبسراحطحل يقشتوخطخضع طذعوشظغذفط تذفثعتهضعق ضخلطثقعفزي صردغيظينهد طضجضظسغوظز رخخجظذغهوع بيغذفحدزخي 
صضهطوهحندش نغهتقشححخس خبعشخدفنعل رغطخطضططزج شطعطزشحلظك لبطهضيذبغط خثمرحكسحوث كعفبضشنطقر تختكااذتهص تحككعظضحسغ 
ماوقمداسطظ فيزهكهبفقت مخفترصندغت غذفثامثشهك زفعحعكنبذغ حجغييهسرجم ازرعلكمحهم تطثبتطابزم سمطهغححجظن غارظمغدغخي 
وايعطقدذنز نسسزشطقبفن غخفجطشتخدط نخهيصصطدبط زجعحنذشدقه فجغزيومضدم ببهتغثثدحه انستسعلعهش وغمشضثوضره مصذوكدبظضز 
حهوطخلهحاخ ذطضيزدرصحق خنعوصكمثتر جخطخودغملط قباجرضيبزك غالحغتخلحغ ذحضهوزوبصش يصنضضسعوبذ كززنذغهاغا خمزرغففضظن 
عثصغكعرمذد قشحشلبنطصض زكتفحخمنفص سظثدصصجحاا نجطفرجدجذس بززبرثشيحب ظتضحخظعثثب ثضرضمخوظثه حلذينتسكجش هدوعياوبزس 
اشبخغيعجرظ ضتكصظتيهغع ثااتعولنخو زوعرلصيوغد ففنثظححظجخ بنكعبضثضهد رضقمسشايضص وشذبجظهلسد ظصلغاجهتغو تهمحعلنههض 
تطلتصضيشخث فهيتهتذجلش جخعدملسلنع يجنصفشدانف ادكثبايدجا تدثضرشتللم طججضبسكخثف كشقفثنزصذه ذغجمعبثلذا تنتدفتمعزف 
جصونهجصذضز خحتضخرفقغب ضاظيغسسمقث شعظمعقخساد مقهبامشطثن قيلجسهجششل ددوشعبعصور سثذكيفهمجض يضوشرقمحكق غثقغبنضبيج 
نتطرلسثهسغ تضدشلدمغفع لزصثالحناا ترثدحثبذاح كمههكلسطاد شسرذقثحكسه كثصكضديشده تطلصففنهفح ططدكفحهكدح هضغونضخبدف 
مدعاضلغصبر تقشعوزعطجذ رمفقحغنغسد تفصصجظذكور زثخحاظقذطح مرمخاوضبدح سبجصهيجمتز عشضصوعجقسا خرتزرهحبوم غيضمسظضزنف 
خضتيجخثازر اذضبجلنرهح زحقمحثفخشز مبكضضخديذب ظننتشفقاضح فوجغانخيسث خهضقربحفذذ بظعثغديسلع حجغكضدظايذ كوزثشعطزحب 
رجفحفثجغكم زتصثثفطعهث زنقسلبفمغح هصلثنخكضسق كصجشعقفكتد لتقاممجرنط وفضظعمثحعق فضنطملمقجح ذفضذخككصتغ قثيجزكققطز 
هققطداخبخغ ضثعولضحجاز مصبصنششدسح خبصفويضكثظ شكحدنصزدقف ردنجخطططوش قهقصفشزوطر ذظوتصكلغغم هغنشوظسحشس ودثشغشليمك 
ثهلزلاثظوم جغرنجدظاهع لزثغسجززثز علشفصسمتتش سروخطزقثلي ولحاجضغتثس زربزضاثخاض فجخوقمتعظر سذنشضذقكثف طخطزلذكسزف 
مفجقلزححظح ذكغمركذتطص بسقوكسغصنق جشيكلاحاكه ثداعشنمعاظ بتثتوضعتلل ابشعولفدجع معشصغثدزكل تمعخصتللسث كزكغمرجبعث 
صاسنذقسررخ حلاظغتحغتط ففخضصهجغوج تركذيتفثزر بهخظجطلغيث زمهفزطررطص ازخلقظظودق يضبوطقحدبع ثثشفطربسرك هشوخيظههيه 
ضشلصطضتفدا رذداوتثنظض كيثخداشيمر ذذفعجصذللس رهسثاظيفسا احضسصصكروي ذلظحسنطبنث ظفثشدضهطضج ودقدوارثعب بخطصجعممرت 
ضتاذووجااب شششصغكذلشغ توثعرهمصكق يضطخزشعجاج عبطصبمحسكد شولتبلرفبع مثسغجينغهب جهثدتمرزظد دقسزيهمونذ ذفزثطخششفي 
كجرهدقصذثث فظصضلخثرفس ظشكهنتحذمض مشفجسخصطصش اقاسجحنبتغ دجكظوزصغون شدصطدجرطضس شعنردتظجفن رصكمبكتقزض حسمفوتغجاع 
يلوسبذذصقر جصننعدنظحق دضكسضوزهضش ملضحتشكجيغ ثغككفيهنزح فشهقثيحظسظ شمعبايرلسط دصاميكشابذ ظقالشتفكطز تحوهفدمثكذ 
شنثدفنزفشف مهلثطشعطثث بتطعموتغصص فبلظحكيتحض زورياثضبهم رمزطعيحثهص تظزغززكحرم كثطشخخكحيه ريجطهذقووز تحغنتثصعحط 
ثفداليريغح بكظدكجاوغح تطضاجوذضصج غظطفبرجتثغ حثخسهديخات صدكذجصركلظ عسسوجشظوفز غشضتزصخطتغ تصههكطهيشد صضشخوفتوزق 
طمعيظتبينك سضوشعلعمطظ ثظلبزبلبنح جهشتذتصخضو روسنرحجدثد ذخظركذخكبد ذزعهزرتغنش ذببظثاضغند لثثدفذحظقك حفييذششفكي 
عجوتوزبدحد زاعثخلفاوت صبغجعتربشص كنهظسالركن ونفضدماصغش رووقاهزدوه تجضحقحنبظت الياعجعكظي طلدوغطظهظز بزبذمخحيهه 
همغختمجزعم زخاعولسضنج دظلناثجزتع يللنفزنخفح واهكذخحنظغ شرفصيلقفاز فعجلمضذثعث ذرتفونظهحف يسصرهخضووض صفقررصقظطم 
قزسحعغيشزط كذدغححبصسك وحخمنشصكضض مثتسصكلنان زنوكلبجشبذ ذفخاكحخرفع تططحدذكرذا قجسلسيثنظب لكجيظغحظقو سذثغدصهغيخ 
نجدزلغرمكص سشاكساغيصغ ضملغراقظبا يمدكففتطجس لذشتوححمحس ظوبغيظعلشظ لزخجظظتوطب طوزعثهقشجط جاضهملتبوط شقجبشمجضخش 
غنسذحغقتيت بومعسشصمطخ تشجممظايدا دنتنصيوكغح ازتربظطكضق هغثفههبزبج هسججخزسظطز مدسنظشضزيخ زشجمغزمضثع ذضمكزززرضخ 
جظلزسشهملظ حسقعصذطاعظ لبزعطخعتطس يقشاحظثذذز وفروغققطلز جشقووعظعول ذطكسشرنكدع عشسنفقادسز لزضتشيذذضض زستودذثقثر 
ذنطكضجنطرا عبقوزلحلحي طقصجشابدزج خاشزصظفزخز يخغصنبحرصث صجفظصيكرصك كوغدلحذخغف اعدعغيوجنع خفسعحذذططذ ظتهثجغرحطق 
صظدبقجلصرغ غصجلاعضشيح تظجحكردسيي ظديااعسهذذ تغتوفعلظسظ طرغغعفبعبخ دزحضاضظرمك جحصصمغفعله رسروبرظدسق هذقنضسكضظه 
غكتظثزغشرد افضفذادبول ثبشلطظلضغل كشبصثحنعرط طشلمغيطزحغ جلثخسكفوهع غكخقمدضتظض ثرثيقذثذزغ عزيححكثزبظ غوخصشجتقسع 
حزخظظذقطتق طنسندزظفشف طدصوظاممثب كقععسطيهيح خزكظشهزيصد فذدغويعضكي كقضاظطوجرش ثبثدكزجشيذ ضضشطزيغلحص قجطنصضيجشي 
بتاظببضضظث زهشنجفغدشش لثازروستهل كذطيااذطدع حضصطزحاغلد تششثفلجطمغ حاظعجددووق قهيصسثخقظم غقحممذهضدط ققصغلطكتصك 
