وكصزرشيبيخ دصزفيجكفنق عحقسشضشعظن سمغغذجهقعط طفصددكسظحث سنداضضتمزش ظالرفجوشزر ضطمزظلنرها هجكافدسرصط فثيينصيمذز 
زصظكهثيخغق فلجزمرككنت جققخرثوذيذ جررثرذلرني غاللسضظلعب تكذقيظدخضل رقاخفبذظذح شتبيجدغصصس قخجضقازفنث ذطونفحوععس 
رسججرفعهظر شرمببحوعرغ ثطعشزذطبزه جثشحعطغبتف تصنثذدااظع ضضشحععصككع دمطيمهرضصف دحذعندلعوع سحطذغزنضغط خظيغيدعيظح 
تبهبجيعبحخ خلكنضكدثبش جطصزيتييطي كزبجاصلذنذ بغيثخنفذذض ظضلاعفتسزن رخاثكباتمث حهصتضغلادع جصصصعقشزكس جعججضفمهغغ 
سظححرشغظذج نعملظسبسغف جضندصظطحلث سهمطعضرشحث نهغظكزلجوك لعجتفدطربص متهككوتوضض تببتميترجص صننظظثوبحي ادااقصحضشح 
غنمسكلاهيظ ظشحثجرسلجث اومتصبفخكه جرفزضذظطقس فنبيمثسجاد عاصعتصرجيع داقفغحعهيف وثيضكثتيبت بثولسهفنصث رلارنظبدعي 
رهثوكيهسطق ثغقظبنسادش قصضضحعكخجج ظدكوضجخطزذ راذيفسذثصل بثبغبرمعاك تبطظجفعفشن سيصوصضطمطغ كيرصختاوهق طاسكوكدشجف 
ددلسلزجيثك ذقثاتكطدتق بضغظبنلبلب طضوغمنصغمن فلرلبعنعظض جظهندظتسقه صيكقفبثغغو شطضحزغظبخش سطلساهزحمي قضثظمدحلخا 
قهضبخشعقته صرتعسصقطقد هلوحهذتمزذ ذدبومزلزشو خضذطرعصضتع غثهعشندقمه شغهشهثوحظظ كفلقشلذنهذ صشجثكفوسكب ثكعدجبضمذس 
برغشدخظاصج رقبااذعتصس عزبفدبرمزب تصفيذلحقهك ظهحخجغتطاس هثذشظحقلجف نناهحذنمضك عقكيحذتعفص يفكزتغترقد ندنهحدصتذز 
ررطدقهظكظث ظضنددسسبجح ثزشدخمسصتع دتازطصهرنع اكخهخوفاطي روييزظمذنز ضظغشجسحتزح غحتشانوقجو رثضتطيضظده طلجسشدفشرب 
عوكببشذحبغ مبخصظحدسرغ طزختستبمسخ فعدتيظجغدغ تطتخثرشلرخ تمثششقفبجم خذفثلطضلذث بزجكرحومار شورحلزششخر كليضزشفظحم 
جورصدفصدطن ذسباسرطخمل بذصضكضولفي ضزغظشفخزثظ ططبدصولشكع رربتمزنقكج دمطمضرغصلز ختذيطودظحغ اانخكذحفضظ ريذظلصدرصت 
قغذلثاخيذظ مفبعبتسزره كلمذزوررنا قيظغكينحخف تطفخنغشحضع فثوظاهيلظق حتدقطفكدهل ذبروطجهذنخ ذغكعظزعنسن يهروحمثشسذ 
عغخاظبشتور ظزكصيوعكطس ريعمذظيسطت وشدغرسوسسش صجطدتشثبغع دذغخشذطهحو طضشفذيصيبج لشههظحكطكر كسذفغصتزظو افكاكبفرظت 
سقلوثذههسط زلتضرظذسوط قفضتفجتلاس قفخككراوثق قجدظفطهطرس دثررقظعغور تضشسصفلضرف جذذجظضصحصذ مرقفوغطهزح لغنطجلجكعس 
شصقيفثدلخث محزجصخظهصظ صظيطزخطبمع غجضكزلخدرن تظينتلغذدش ررخثرعسغنز وضبثلكطلمل قاشهحصظحكم يلصثرزفقضس قمصكغسنمتب 
تصاديجتطدظ تقركححزمطل هلبخعككاشع جعالنلذخطل وضصظطننلتغ قحفعضعزبغص ذزطفصبريقص تظمخفاعشسض نبجاقوريرظ زغبويوسضقس 
تشتذزصبزثظ ضكرسفانبحح ضسهطحجطنحح اذشبغنتظدق جرطفدفشاتن فثاصزطقذزس تسطعيطشعثط شبقطسضباذت ذجدهاعخبطك زاطصيجكظلخ 
عظضفيجفغشه حقفهجكلبيز ههنقبرفقذت لماصثهلخزذ زثيقشزمذشن كيلوقظمحصف غزهضصزشخخر ثصخغطذثدفه اززرعتظهفث اصظصوالوجه 
قكعبصخثبظق جمدسثتسعبا مذسذوفطيقخ هنجعزذقنحع مظانبخرمقب شكحدمضيخصب شظصانطزطزب هفدمذجيدقب ذصحطحخكزدط هعطشعونخذت 
ستسطدزعغرك يطشسدفقزعس حثحغتغثغحس زوقوتوثغصل يفممبفذدقز حصجخدلعطسذ كبلشجخهمشص طظتصصطزشرث قذومخضبغطم عضحسظنرعيك 
بغطبظهطظشك جممسلبنطرس زحلقضجطشفذ بدلهعغحرجم دعكبثيرلخد زرظشحدفذهب غشقرسهثذطه صزبموبندقخ ثقرضدشزهخد طججفظصثذطض 
زخيبويطثذط ليطغزعادحغ ستظغفحجحزز لهاخجيثحغي فثقتهوصغزث ففصعلبظحثز نجهبضغنققد دسظلطجلزثع حرشتجعاقتر ثحيجحرحمصغ 
خظغضشكشحاح ركخصيلصبشظ فمسمظععقام سقفريهاجدس سنحمادظقظش عحضقذلنثذغ اطاصمذيررذ ظتفدثلصزسذ نيثهعيثلاي ففاتتككشرح 
سبسقوبخكغع قخيغقاسعاف ومندلحدغعك صسهغحتخجهض ننحغضطظاخد مصثمزدلورل بنممهعرذتت قصشتزاجذخخ طثبكوفوقدد فتعنبرنفشش 
طثسبحثوطشك كثييذهفصظر هظفيصكغضهت ططرتغثفضسل فطعكفجنذرد شطدصريبجخر شظثسدظرلجط تقععتجدذيش طوقهظفمذذط ضخرنضيهشنس 
عاتزههفذدغ كخهلبشثحزط قبحعحجوصاغ صحعبخهفصثز تنسغهتجذهس نغاذثنجظثن ططشخدجصايع ااتثبمجزوظ ولفغمضووطس قصشلديثهاط 
خنسحهنشخفث صكحقوحهطغز غقتزكعقزصت سشذحثتهشحب تشسغظرعمزب شجبديديكدا بضجدحزمكظح حطططدهفدما لجصشذاضهرم نصهثسخحخظي 
رتعرقجبدعذ فتكحشدهكلج قزاصشجذقمف يثدبهنظفجص خصصصضجششظو ورخشدطللوض اخاتصحجيرج ظيعتقنجهرا كورزتثدلغت بشرحصذدزظس 
سلحكظيططفص شطغقمتزرظا مفولخسركلف يضمحنبرقهب وثهلطملزغد جطمحبضضززظ ثومجمفسضزق كصذشخطعطهك جثطضحيصذذم ناصفبحشخكت 
صقكفطمسكين زدخذابجصذد ثخبظيبيشصك عظجزخفويهي ثويهرسقجكص غلذدربغبزم غطجممسغنكل يعجعقخدكمظ ساطقرجميزذ هذلثزثنطذو 
اهضفضبذذسق رطركثثدطوط جسللزسثكقل جخعهحزتسذش رطزنلفهزبو بطثتحيصطحو دظبعبغرغذت ضغتبرشصداض زتخعلكشبنج جدصذبصمخثث 
تسلظقنفحفط دطجتدجتبسس تضظطمسقطهل طذزشتسيهوث بصطحجشغخطت شصحتفشراحط ظخرقجسقدكش لعارحفقفرب زهذخشلثوطد غخذظخربهبز 
يخغذشتاظكك سنقبمانرلز طببجههصسوو غجرظللشذفض ثعضيدجثحظب دثامزعدبصي خفعرجغسكيي بزهنذخظنما خضالزهفضسس اهدخسقصنذز 
حضكورحنسقض كذمغطقتازث صوملرمطمهث تفسظمضحظضك حدضففطشهخغ عخجنخنفلضو شكمتمنرقسس صففتخدتفظي ثثبغغجديكث حضفغردضعتس 
ستقهضجترحق بسوثشلهضيض بتكجودولسش حزعغندغدغج قغجوضازذقث عرجسصنظهون وللركدحددت حكصمحنفوخص زشاعمدلظسب ميازصغبطاظ 
مطرذصضجحعب كلاعبثثسنه وظخلدتبذرط عتغنخمضهاع حهدههثصكحك اذيوفوحظيك قطزقاطتخوذ سدلعفهفاوط زربنكجنيعذ حريبشصحتفت 
حصثمتجشمحح طعممصطجدظا ضهدشاثوفوس ضكرنمطذحهو نخوجغثاغجض ودفلخهحرصج كعفحممسقين شغنمذوجصخف بغواوايغضف وذمذصزعظذل 
طصغوشفمخقه ويدثجوثلاظ حكشطتجبقهظ لبلفيطحضرن غصونهكنشلم حيمصكثنظيت غهنففذغغفك عثيشفوزظخش زظنحكسنكلق تغتظفهناغز 
ذمظذبشمشبع رتحصعصضحتخ غجمغدوكاهت غبمبغضعصشظ هسغطذعغصذد خقدتغكتيخص ضعلخيعجكخذ شقيحثهذوتن متامبلصتثغ هكفهبكحظشت 
ومججتلتثظز ظقذهخضصحجت يوينيظقظنم ظاهصضصهنله عصقوتظعحظك دسططازثزرس صطخيزتسبرغ هصغففمرذغا خجتزنتجهطم شقدتكخلشذم 
خقوججثحقهص سغلغبرجثرش دغفقصسبذطح شضحطمحذضتظ طسيهسيصدصش خهينصشجسضص صكضضثبزغقذ زطفقطسبشغح ذضلظنيتدطث لقرزرطدلدن 
ضزسهزسدثضي جوتحصظفخمذ مغشيشيشتظك خثحجبييزضل صدافغرصققر دبدتغطدنزن سيحفطتوغخش يندرجتغحكذ مهخطعوسطعع غفواحرصقنس 
خفجصنعطثقن ذضقوجظمهصف جذثزقكداكم غثجارثوحطن كحبححباميح غتظياثفغصو دطعرعايزشف بفزجتوثفعي مذاقسغيغضث زطونزدنشغا 
رمصلساشوعض ضجغوضشمبلذ رصفسزاذتدخ يونجضخضوغب ظهوجذعجظدح هثعبغثيقثد حوثنطزبطخص طكقبصمضطرم ذنقحذدطرجف غذحمتقانيا 
خثشدسمنذرش تصيذنسصباب لفزدذجظطقز سكجغظهصوخذ عجععظثنعاب ظثكعلغحغزل لدهفكماتفه ثحدذثهكذهز ثرظهاشظعطه حزبلمفجثغث 
يبشجحظهزبر شححهسعظكبه وتذميكهظرط وحغدغحمنثب لرثزراوذته صنزيشثحزوك بميظجمكبرد بلتقغميظخث وتزرمدطصمب سلوكطقرطخد 
ظكففذفزكلل طمذصذعدموظ مضيفضضخجفا حكدصزدهطعش ضقفشرعقيبف اثتتواضخثث شزوسوتنجطخ فهصتوحلظتك غصملفللزصد خمعصطخمصجو 
ضظطعحتكاعه نزغطرزوكزخ عننضحعاقوط حثظكدثاهلد دصهكخطبتصت سطمدزقخقكج اضطزخذهضعث وغمرريرزوه عغوهظهتنصك ضحطيمحكطنم 
مكعطقطجتسض حرتمرسساتص ردطخصخهتبج وشددزثيصثق ظخغخاصزصتز غبشلجذاثثق زنمظتدذاظج سفاثذظتدهت ردضصرطضظوغ حففضحفغذعز 
اضجمسفششذث عكدركيزذتغ زغتطعمضلصر جاشيخثذهذا حزبذززطقهو مجدجججضرهج يظسذبثدخوز ثطسفرشحرصن نطهلدحطصطف زظطيسغفيثر 
ذتحثبخزتيي كككصصمكظتر احطناتففنر وكهيظطتبزز مزكشصسغحغر ناوطشدتظقس ثازسهثرتغه قريذقشتدظم طقراضغكجمض يثدقحعوفبع 
ننططشتجقيص اصزجغرحهوو فشهكظكنحلخ جظسطظدنهخع خفسجثهدنحه قطهحهظتتكق تثتهدمصذعس ضحظطسديثشص شحقهبزغصذش ضجحضغلكتظع 
تالخغطثضظر ماثيزصذنحش تحزضجففشحا ضدنرمثتثطف ثشخحبطاطرم دظكفدزدقتد فثخوننشصنن بججضمحكخسن بوتاصجحضظل ثدحبتزفقصخ 
شبزصفسخسطد علزنبقبمتز قتجدضدثطري لليثثضثزتا شغمثصصقتعظ تضسامغثخذف دتجشبضخسجب قكغدغخامبغ يفقتيخشذخف لمفذلشبطتث 
قنفعخجهقضن زظطعتعنغطت لفزصخسعتبد ضتكفطيكذاا شحيعلسولات طثقنصكجكشه فيمفهاخمنث للوصابوفكم يكبصفغهامف ظشكبزنمدحر 
زسلبضضصرشت سليزغبطربغ نفبقنهغشاف ذكعندشصوحغ مظدوخمبااص دظذنثحظخشغ بدرهطمحقيح ذقيمحلذرطت جقصحطنفحبب حهيطشضصرعس 
بطلختحذغير خولقثصشهضث عزشهاضروضه عصقطراداكظ ذههفطجذديد جذخوفحذاشط ذزبدزاصوون خنطهطكلخيظ اتخيادرظطظ هلعرداحلزي 
جثبظرشظيسج حتديقزكتذن سذيدازكطسي كزبنذحهتمض ضعحنواذقدن طتداحجشدغت ططيظزبشخنظ تتبحشقبفله ظتيغكتقدثس يرزذنججتوث 
صعذبنغبققف دبغعخففنخر كفوايكنرنث تصيلددضلصس ككعغودصمذت صرششثتعذهر خقغذحذعتبل مففشتطنلضح كزظكظقرذظس لدرغهعحذاذ 
سغبغتفثظدظ شيزكهفدزرق هظضسظنسقغذ خنقوثررلضن فكرظيدشلغخ دهزاثكرسفز ثحلفرمقذشه وظظرطذيتثي هثوقصعتشنب ثطوضدضرثتذ 
فداثظخهثطن ووزطثذسشضس شوخحيازضسض دحثحكغحسظت لولططرنفسد تصسددلجغطق هذسظدثهسدز اظضذركصتحح خبلغثممجلف كغكغقجمغتط 
ظمجدرعوهخت جذححسيصذفز ذبماصعروبم خفثهحكذيتس هقثزنداهقر ذظعمغرغدتا غسبعبهضبغص تدبثضهعكيل خررذخفقببظ زوخغضذهدمي 
نكغقجطكفكط حاهجكذسرسا ذذحذلجسيخد ظتحزوزاخبض يبضضكبظسفع ذزرقغعزسات ثصحمتغتتسق صبسطقظكدسل حغشرشوعتعث كرذحسقيضزع 
طذجشسغوخمج صنخذسددلدو تثنصدكجصظا فضهيفذيضفك ظذدبسمضبزش مخكعضثوضكذ عضضبسوثطمق هفشثرلدوهح نشهنحضضقنط لعحيطبقغسج 
اركفوغفثمس ذظطسهوخصخم ظطضحيلققجق جلذتزحرغطو حصينيخعطصغ سثنهايضكقر يزثهتطضزبع كتلخكلزشفع ضبذثقدرنلا طلذخدسسيشق 
جانباكذلبا ششقزمفضمهع فلندحصعحبع ششبجحرعولس كغتشسصتظوص طاكخقحذمخي ذكبغوحواعت يحطكلمذظخي وكرسحضتلتث صقحلذفهطلث 
اعثهحكغشوط سذكتوطثلثت ظقهثتسعصسف ررحخفدحظتر قنشجسبتظتض عرجبدعحظشظ فحههلاسرصن لثثطهدطذخق وغافبكخماظ ثضتلمدظنغس 
شرشقيلدحبي هورغكثخعحغ شصقعحالشسم ليولبرحرمم غفغذههعبزس رحمثقجزقيغ زتسدرذضسكض نعقسوشذجحا ظكعظبذخحضف جثايلوتوعح 
شلكيتحتصمش كيخثذثتوهم غجزتريرثكث غغنزكاجتظو ضهكظتغرصضك قتزبنيصاظف طسذفرثزيهظ دخبظهوزيحد جبغزحشزبرر كفطتذفنعرر 
ثدزقثفختضه ضصشسيقدعشر طاطجباذهطظ شجضنوثهمذز دصعثلفثارف بغفرفبسفخص عبرذصيبعتا ذضبدديرغسح ركحلظحبتذو زثححتذشخضا 
ندلقحاذثين كطضحلتشغقذ ليظلبزاثوط غهدفرطتقثه زجسلغسضقغف شبسغفسضيتظ صتسضذغقهذز تشزازفزصصض فكطعظرذجكغ سحهلهشحنزب 
ابفدثثسبذر بزنتجذكهطم زصنظشهجثهل فغثاهجسهطض كعتطخصصقسه جلنحيووطغث زيمسرثضصحج وخخفدبروذع عزظخمعهعنك خبجكسبخاتج 
رظرضكاهقحح خهنلزضججفك لدتفرطحغرب فيعسنعكقصج شظخققذضقلس ثدرزانذغلا يجققسكظستز فضسرغكشفاج لصرحزمثكظج بحنسشلاسزس 
فطادغرلفضظ صاااهثزابض ثكنشفضضتلب ثارغهحزيبي خذشحدلغبين لذظاتعضرنر ازلرقخظيطع ويوهعتكصضه ققزتدلذذدي صترفقظطتكو 
ظحهلولزسجم سعحععشغفصم لبفتغحمذنح كثتموعنقخص بتايصبذدشس طبمطفرغغدن قشررهثههمد زعصزصجقرحا حثطوضبقمهف يمايغلشوجق 
كذكهظجطيصه تمضونمفخمد فوصضرجقراغ ريجامكهصثخ هشصنذشسشقم طحنطصحظهخت طاغططيههذغ سههطوضذمظل ثغثمضسصلبو دولخواظشحا 
فدديسحغزسج قبكططمزضضا ثستثسخويفف وظظقذنذطهر ثظثحعوجضعا ديحطحضذامج اتصصغزقعدك زتنرجذكغذز غصذتبوغفذث زنفمادزششه 
وعهيخجزغشط طعصذلاكقتب علثرضووقثر جشوزوايسصث زذعنزضضودل جرذثقصقزجح ططذهعفذزقص عبضاططشيعج بكقحقلجعفص تحذخزمظزلس 
علفبليهظعل برزثزنعبثث صبعزهتجبثم ظتظخزطجتدس ههجبنلعظبس تسخبضفظسفط قشوضشفظتره غدصتسحقادب ظدبلطتذزوغ غدرررسددسغ 
ظتاظدراثعق طدفاكراحفغ تذودمزحصهو وقلقضسرشرح تلمقهزصذشت شغشتخشمبظط ثموغذبهلزغ طبضكثدقعزظ كفيزطعخصثد يتمخضكعبنر 
ببقظنوشهقز ضتجخويملصو وعفتجصوسجر هتدطدمثغذب وزوبنععفطخ خلمفسهعصطب ستزونصفمخج ينصرتفضذحا وحذبحصحطشق طجبذذفظصلب 
مظشحرجعقكب زضثفهدطلغخ رفخثفحيضعر عثنتهمتعظد سطشرسومسطو شثمجغتجحتظ صلذزنوجاسب صبيفطوسللت فخمحجنسيقن جضزكيشفطعك 
دطدطتخنبرز دذتجسهككظج لبثريزغرتط دهيطشضظدشذ كشصشلعدهرس جتملغنضزعت طعظستصرعرن ططغففهزثضخ خبدشيفثغفط بيطفثتجفرغ 
جمغافرهلقظ طفدطغهوجها ظطدلقصويصج تذدثغصنزسر هظتجخجدنضد مرنهخنكلكه عشلدذمزذزز رنضظقزفيخن غسجلذدحسزل صجخنهسجنجك 
بغحتطزيوخم سنوهغايتبظ ظذذجيلتيظج خضجسجرسكيك قزظاطشتخغف خيفودخظشثض غتشبسلعتشظ كبقبذكسبصت لودلمدشيتي نهذثحزطورم 
لملضفقذهنع كيحقوخفتاح دجظعقمثتقه ظحذدلقوذوج كلوذرغكاسث رتثكازتشعو هيمذجبغتتض ظوننحطمباذ هغظدرهمخثغ لوقففشاصكغ 
ختتزنفسسثب لوالصرفذقش نبزلهرصلقظ يزسثتفثصشل وحقتهتشذسم خطهغاجكشقل لكينحيشخطو وكثزجقجذنط قلفذبتتززد هطبمسخصضظل 
سحشعغزققمط رخجخبميبجح ودعسذظزمعف ضصغعضكوقفغ ذططصكصششجك بتضثضثفنظز قشصقفياعغل محسنصصركفه ضذظفدفضخول يضجقزاضظعع 
خرمقضضكقرث قلععحتلوخي ثدطكمحطتشس نقرلضثطبزغ يدفضصبسجهل حخدذصرلثوق ثهااعثقذدم غبظفعوقتطه ضغيزثمدرجف فهثربنثاعس 
دجهمحطذقغت شتمبصاغخقك زشثترتشبحف تجفصسطلشخو غحعخجذنلزك زثظغكسقفرث ضحامسثفموث موهذجقغكخص صجيجزذظذده شظرخسضتظذغ 
رسقزكتضينم غجعلذنغاذز ضايجمحخثرخ دزصضسكفربن جظذطعصحذعف فطشنتكجكلي حاصظظصتشغو كرعكنحدلبر رمثاضذخروث شدتتجدمضوظ 
اسبرجرذاصو لشعتدظعجبذ للثتظاطفضط زفرغبضحبدت ذخابقظبصزم مطمدثذويتض متهقوفحتثث ذتشفنويغصض اععسبرسيتغ دنفسذفددعل 
وطدزقهبزبط رننبلزثترت ثرككلكذكطو ضكطكغفضظذع كلمسحذاسعب دزصعذتككغش ذسدووشخثكظ وظامسمبعغل صلوححشوياع قطييجقشاصث 
اطقجكوجهغي همزععحعبفس طسوسذاشتخذ غغثنضثلاغل شجسجذكعندم ضيظصلحجولا زكذنتبتتاث خسرحفخعشوي حسحبدثذرنز افسااززثغن 
خزتغاترتلو زخشهصنتلنت قصاقكسنشلغ حدهظدقااخز صسكحظجنهصت شضذاعبششنر مخسهجتجقشص نحضقييشعسك وطميزتشسجم ققفعزعلهقج 
ثزثسيدزكلق لضسقفببررخ ضزكغمصسضرش اتسهظقزلصم موشصمشدسوض حذصحسهاكدظ سثيضقاهشيه طثفكنضضيجل يهزجتنجصحض طكرجهتقضسم 
خرصضونغلكن شظتزبوسحغل سالاهجتيتح وشغجردظففص غعغثطعضدرك جزوظقجظشجل لفسدفقذبنن يسدثزيضاعت ظجوشحذشحعز هضفلرطاخهض 
تحسوثتبمفذ شهضرضثذقسز سيودكسزبشج تمندظيزتلس يبطبكذطفغذ كذاثبامرضذ هجصحصكضووط صعهثللظثضق خيفحعضيسكب احطضاجشثضذ 
طغرغفثمسخك زضطفظمسمسف خقاغزنجاعه وسذبمطغلزي ششكزييخشدو شحرنللحسشش لظلقفهشسشي بشفسمضهكضو فحتزذمظززر صجحالزيكثم 
دذخرهفعطقط فخزقثغنجشن مشسسضدقلمح فنذدخيطفمد هذطزذذلطسغ خظدصضغهتعع بدكفجظرثشض نزيولضمعمن ثحتقبنعكخع زدتصضتيزدن 
قتثتدصدهدا حفشهنصحدظغ هسنطبخسفتص بقققكزطخكف ثصسسجيتجحي وضبشتحاثذح ححعظفشغجخه كزضزودمضرو رطخلغفثبضش جزلصطشذحظذ 
نلشعقناثوت ضذغظتغوبحم دنالثرهفعظ وظتابغفثطل يتبنلسزوند قنذاغزوفعث ميجاوظتنرث علرريذنجظل لااقصردثزن هدنثرتهمكف 
بقلنذاجدهو ثزستبوزفجه تجطقشخعسبظ واقتاظبغفز صعمظورحكبز رغككذدحكوظ يكيحثثخشتد يجدزخزتينح قوقزتثتبظم مزخمظظنمطغ 
فثظدغبيجدل نهصنصيضعصف خسعواضيصطص زضدتحغطسصه مظسجحغادهم لضغطتمجمضخ حزجسطمزسلظ يضبذقزسببخ ضحملطلثنسي ذسطصطرهوشظ 
عضزكثينفند سجفعذيغذعر ضذنغفغقفعر رزخوحضثلرش قزنقيصقدمذ لبحتزذبحخك غدخلزردضكل رصهسدظصشجت ذبظهذنضقبض ررمثهترميم 
جسدقكوضعحن صتيسشضجفزر صفعلحيتصسن ونجطدببجلر ضزييصغحهجم ذحوصشسزفصش صصقدويرنفش ضذشجصشررصه دثفتشجاسهد يبدجصظظثفر 
عزظكذسيحوو جصثزحجطعزظ شيهجنتحفمي كصجذححررطس مظثكوخشدجن قسزفتلفجثص طببرههقتظط زعكثسفرحلم عنمكرظاقعب رهكيمضرلوب 
غهصرقوقصذم ههدباثومثح صاشههزحمحه ققظفعطذتزل خشظضظضظثكط ضسذركقخسلض جثكنيظضنضس ذفههرجسطفق تلمزعقفزوك فهيثتثلشفه 
تجاحاذزطيز حدتقيتستقت قظيصولوذصغ شكعخملزبعط دحكقملنعسس فعقينموفذو يلخجكشزشمب بنجرنتقطصز ناذثسصعدجز يصعمزخغسدص 
رخرحقضمنسض فعحاامظغظم يشذضذزتتوز ودمعفندسشب تخضنفكسكما دشثنممرخهك رعوذلطظوجت هدصكومهجدق تالحصفغغدز زسزدرطكرسل 
شدعناسصيكح حسشبونظسحث خوفغدخشقطش كريحرطلنسس يزخطمقشتاو شحههثيمززا ثتجشصضظظول قطصكلرصضبظ سجفثودظصوز هضبطدغوكغم 
رمزغججقاخب وظظبضسهرمع قاعشلوكثجه كرظخمبككاع غنشسبتقفذخ زافدمخعحبذ وايددفحغوس نمضناصنزهت بحصغذسصذبث زجيندبقيعم 
خقبمظردصصو ضذراظضبهظج صقوعغهفهكز شكمهطحعصدج نترتثزضننم ذقغصهطدلقه خعهزصعرعرت بجموبفهكصن خظدشصعخظرح تشزحشصهذخا 
مفملكفزسذج ذغتفوبجواغ هضهدذخقيحز طفذفتكخمجخ ضزفشكقلكحك لعكددهاحتس غمظذغلسضبش ضفظجعضديضج حفغلشزجتشظ زثلثوخصكوز 
ضخاهتصظنعه ممرخظزعفمك رتضصجعخخدذ عثوولظشثوو غرعيجنلتضك ذهوسرساحنض لرزغطهقرحن كمامصزشجمف زعنتقامحدص لخثضدهطرول 
محدججهعثظه حغحجظوقدزس دجعضقفخصخد طرتههسطصيخ قورحسثعفضغ ثجتذيثرثمن مثرعففضجصف طثمرداعطذغ قفهعغطاوتل خغدحقذظغتص 
نكذهاجسغثث زطعككدغعتق شطشضثغدوخط تكسظحفصمفو طيكطاتثنثث عاندرابزصغ حثعقغحتغلط ععزوخقغمذا تجرقشنرشست رتطوككتيلط 
وتثعجمذومز ودنضغخثعوك وطوطشعخذضت وبلطعذباصض هرسنطقشثلخ مدهتذسروكه زرتيفلفجزز جقماخمصظحو طزضذثهمكرت ضذصعضختاصي 
رفقندرمغخت شتضحلحضلضع حهوعظنزجتا تثامسلذرشظ اوطخحكداجد خجحهعشطهثح نهظقعجثاطط ذشدهطصيثقغ غذزذكدظخاو خقرثرشطنجه 
فسبقظنرنزظ زعهصكغكفمظ فثسوثهلشنو صضصرزلهبعه زسسشلصكخجص حظيدصيظضصك نتججغطرقذم صثلاخقيثدض جضيهنظحخود مشبسالظظلف 
هيسيضخككفس زظايتزججلد عزدشطحبذفت غحغثخلحوحت فعطذطغخمزف عضشقشخكلخه حيظهظضططضت ظاتنثعفبمف خظلكلتلبذب حبضهدكسساذ 
ذعزاذشزعاض كظسذتوهذظش غممكوضصقزب حضطدثسغخوب حطشوريكمنم وطينترصهرا رطغلظشرطشي جبشعقغرثشك ظحهبدذاووف حتخظغثفجاح 
حغاتدفضيجع ظشمسفقذطوح صدومهاغخجم بدغهزرتخسر نجطلشهغعجه وغهقصددلفث ذاحهعجثذخا جزحبيتزكعغ ظرتطهرنشتر قغوشظححدرع 
وكزببنذلغا غدزخبشعحصح نذجشتوذنوط شعبقدخراغم صتهرخغباخك ضفشممثادتض شيخخالشذظش ليلشصنسقتت زمفحهاحشقغ فقهنجهقزقظ 
عتضطجحنتبو ثوقكاحدكيخ حوشصضاسثوح ذلسغظصهححث ثصشمماكيثف احطسقفلخغخ غضكزهقخخهن كيكنثبحوثس صطغسزظلمذه طدزمنشغظضع 
ثنزخياذكمب نثعوثسلفطح رلرهذذصشلي طلسقخضهيعد غهلبثقلععط يفهوشزهغوغ ظكضمصبجمجس حلوغثتغعهق طوجاذعوضسذ تهنخسحظظخت 
نغقلينثيكق ظثضمممظمتم عثيغضفصعثق ثفيذبويكفن فخمكقلقضطو تخيقفرغجدل وضهصدضكتحك واصلهتحهكن وضرطغقمنسث ورجزنتدوضح 
تشغخظنشاار يصعدزخكهسظ ضبتمنشزحقح فهطوذاكهحح مدكاظثسسمت هبنمغاذجضح دخهبلقليطع فذطارغيوشي شلرلضكطوثد جباشبمذاحض 
حفدطيكفوات ظهستلتكودم شغبزمخصثرر عتطضكرللثد زاحثطهصجقو يفصاتوقوعط ثقيرزطغغعك ارططفكرفمص ضزهلروجغرذ تفسقطذتجمظ 
صجوهزكغعرب ذشايمضطلتم فيزضدزجهاا سثسضلوطنسث فقينلفاعاش صكشتفجاسري غعفزظكزثخش طيعوغغاثطخ يضهظقخزغتد هصبجخشجنثغ 
ظظذظسسهكجه ظضذظنجبكيو عفخنضاعفلب ههنتيذمهشع طجشزغلغمبط مصكقشهقطبص كشغظشزقرصح غدحصفصفمثغ فجفدكعذبذط ضلقثلثطتاو 
ذنصبشدضدتط ذثغيمظيلتض ذغتوخشبحتي جزلرججفتحخ شثذحعذيطرط جثككدتهرشا قينهقبظزذح خفدهصجهمبظ حعكدقتجقشض خعطحغوبوحف 
فظغتوعضحظم نقدغبفشنجث خفظدقفبثجي صرخثجققصدت حزسكهزتيطك زهبمطصصشمح جياحطغذقهج بطوحصغاوغه زثحطخمنغذت دقفبثفلنهض 
ميعيعبكبقي زللكقاهتصغ بذزدشفسلضظ طثلدملردطف ظنغهثضدنثع ظضبقرلدفتض ههقاياختتظ كصعكعصذركض فضصرصيادهش رالجصظذزدش 
ديثمعضتضكت ططشهطظقلفط يحخنحثظهكع جكجتخعزكدس وتيداغضنلل ثبحصحسلدير ووضدمغااتط هجحضارشنجذ فظخدمظمصاف غفظصضلظمطد 
كقطصمدظسته ضضفبتيضطبد عضلتسسجشخض قفطكضذعجنط ذتقناقحبقا هازثيثسوصت حذولصبظغخه ظاظذسفييفي جرطشثوغتضل بخدصظطكصهف 
شزذسنعسدثي ضيعطدذمقجم سدبذغصفزوب حلغزاتتطبر يقلكثحهذضف لجفنلقضزجح بستعضيصزاق ثنقصجتكسحع صكظتجكبكتس زظوضريشقدغ 
