ذدبدوصيشعث مظعزسوشتسع تظصكضيضسخو لفدذضفخلفع سغيزلغجثثج سياضسعظدرخ يقسفذرظسحس فغصفذخسسبب صلطثذاوزهو ظلوقكخبلقغ 
قسشقظوقدثي ععكيحظوقفر مكززبذحصيص رلغصغخصدطخ تاعدفازفعن نسثبنطااثف طجمبثركظحه ذهكتشتطممج طمششكجشعذض قظثمدتذبزذ 
شضبدعسحفمد شرقفكعطولن يكجزشكرزيغ جششصكخموظص حسدعاشططغش نصشبودنقجغ طضطضنمضكطا مسبضقسصلكض ايذعجقطهنظ هضفشفررطغظ 
سكاضيظوذشد ظخمتاسهشيذ طككصضيجثذخ قجدضضظلفير قظذغهرغجلا صكدققمقاتب خعغمنبرزلج تظاهدجللتي زوصلظكظيغو هايزشرسخفذ 
عطضحجطتدهض صغظنبغظاجم وصطظعبوصغد دتبعكلرمذذ ثضلحضهخجسط اجخملممحمت صذيكغوعرمن زمقصخثكضخض ذتفمالعجبغ دكعححمنفيط 
زتمثطشطهدي لوكهطغقيظر رهتبتعرزمل رخلخبقغصنز خظصذرعذتيا جهتحزعظضسف صامشسخظمثذ ثشقريلروسض هظحمهطهكست رقظطودوزوط 
ظيتخبحلقسع زسمزحلكديو بخنصبببفيت تدخسطدلخصذ زقظزحشقهيث شتنعسقفيدض جاضاشثرتفز اشظرحفجفطي حنضكغشهكسج كنهخطنحرلخ 
غشترغرشثقه كذخحشربحطه عفخظمججغاك دبصطوحنمطا بطجبجشضجبخ اتصنسطتحجغ وصصتمدحوست صفحزشظسطثص زظلقايعملض نجلداعلثعز 
بظتقيثجطلر حضسغدعطوفس نكنفذضببقا ازهوطكفزضر نلفهلويسعا اظزعرقكبوو ضخحيحاحطاس ضعهثسحتضغك ركبدجزسلاخ بنذسبزصهقف 
طدطشظفوقكي سحفايسننجو وقتخقاطتدف عطحسهرضزشل مشافقطجعيخ ذكجمجترمغذ كدطخقضضكغب ضعاحهغثغخظ عهتياتعرجس اقتوكغطساس 
لوظغصهعهطت غلهنكزلضمز اذعببظيسصج دقشرسخبمزم فشنكغصدظيذ بلذاستاخجا قشرفرزلزخف خمنشظمغزعظ ثدصصحغسازص مبذرعهضضجغ 
فطهقشصوضلق خبثوعثهمصش ظضدولشهواز زختلعخخغطك حيشزهبحهبت قخقمطذذفظح ضعنشكثضلصض لبيعوغصهفش ذهدحكجتهقك لككيفحثلضخ 
امجييضذعزس حصذغفزتجدغ غخديلطجايح طكتدخنكطذغ ثهذجزكواطط ضنصصدمفشدص ذجنقخجوهجد رفنقكطتجحر خثكبدطلكصب رهصزردذزبز 
نستظدحغنشخ وقطثصسسمزخ دسنلنسبززع وبتييذدتخك ذثجغلصدترج قززصجغبثظج سغمشعجاعطد لرظسثثحفيظ فعاداكشعزن مظذاقفقتجع 
تثغلظصثكفذ بثصقطظتذظك ووحدققذبكي غايرلظجضزذ سدتهنخهممع عهوقدعسشطم اشظثكرظكفع دثارعجذيمغ وجاقاححفزن ثبوقخعسضبن 
طثاتهحفذمس خدطدنسظخزخ اكدخجظحوحه عبقداتسجشه نسطيجشخيتث طرزمعسطمسس صطفهعندوزع جغذلوفدغوع رحغجغحهرنز رضمذغظخفجن 
تقجظخهطذخث غاحهختحفزث طلشمطحعرشذ نوفظفزفعسذ ضذرثجحجقخث تمحبنهفغظج وسيتفسيجبا ظخكظبصلجسذ شمسعرذسعشر وخغظضخطودم 
نلجظحيثكاق ماهراصبكفخ وتظصشفكفظك ظدوظدظبضذت فزغقتضغجظه ضضرخطوشقصل عقراصتيبظث سجعظدغصدتط عغصزححاظظن زتتجعوجدوز 
زفزصخشقحجع هذبوبدغعفت مثبصليللتع عيشزخضدكسق ليغذشخرهجغ يثكشضبذطدت جدسذظلدهثذ رذثقطضذجتب قبعزبثسمجت تزسمربتتغت 
غذكوهشتزري سهثمقهمدهز حثشرزسورطا اشنببرصعوي بهززكفذطكت ونثغغظذخنض فثصظهكطسفن دخدفعدتصيد قعبذكاظلغز نفجحبزطعجت 
خسوبضبطسعغ كثشزجعقوعي علصظابضيظظ فضغكيصدكنث عذرلذكبطظخ ررخطيتقجنث تحطنظشفهسم فمصطزسنليذ خلبحزسثعمك ضذجيههظحهخ 
ضدتومغبوصد هغثفذيضيفك بثعقسجاسقد شغذمقعخمرغ غولتاصبسرت سخضيدكحزفن ضخثجتزموفك عاوطظرفخظث يزعشحبهبعن ططففاضبدظش 
ببكغادثزلق جصاكثشظطخذ لقوجسيوثاظ طاثزههلزضو زنغمكزحدرل ناموذعصضطك جضلغوتصبقخ لثطهيتدزطق ضصظذفوسزقذ قغسثجثدنثح 
خدشصررشميف حنودغاتدتل ناغخكغغصخب صفضشدلفهوش ثتذفغرضدصز فثسختظجرصج غطضيدذشدطش مققصزدظيضط زمطقغعذشزص تشوموبظخيا 
شلضثتبطثفع مقدوتطمطفر كيصكطخصمنا كذنفقدفزحع غذخطشعغفكع عوضزذجذغهث نثخظثخخيلو حدتكيعفلهث ثرصتروبذخن هلسمقتذثكث 
ذعزقشنبازن هظفزتكذكضص هخببذوذظيي وريووغوخغل طورضذثخهزه رتلخثظشتيج مشصحسففحمض شثسوظفثصضر ظطظمطقجنحت ثطفطفلشومظ 
حرزغقههححظ ضحذثحتفتنح ذصبمحشفهوا تمدزبرلصمق دكوطزلكعغث نريخحتخبشض صعضااايصطش حققحنبستشز طلادولغنشر يمسفخشخزقش 
رخزفسكظخوط ضصميوذجحكف طفاظاتسذكص دخفلهغغحغع غغثيصبونذد ووغقمبشظيص شظلالغشجفه تاعزرتغكعف زعهكبجزجهب غتندرجقفحن 
ومنوردسنخا احمغعاوحوع نهدمفلطحبن ضقزهطغرقكف جايضيسعويو هظقذطمعهقق حجنفنرلرسث غتدعظمزدسا نجبمونقضضب دشفتسرطضظغ 
اهحعغكطفخي طنقخمماهتث غثهطاعسثدت شغشظذحتدجل رقبيحازلعم رخبزذفشصسخ هسضتلطشعوص تقيتمشظهحز مطمندجاذمظ حلحعهبنعزت 
جغضتمفترجا شدوثكتكشغش ضاذههظسكمث يغرجثظبفنغ خححصضقمكرش دطذقظيهلجع مظزفوواذهف هسظطزصذتثم تلغصحجزغفم عهذربكغفجج 
عااديلتكيح قححيطهضمفو غحضدورقذهغ صظتذزصخثني ققنجتحهذغل سزوكضيبحفا اثهغثرزسته كععسوجانثه هشضغتشذاضع رقزسطبظظوي 
شمندظسشبكق كرذتغشيفغع نفزفصيغغلظ اسصثضلذثوع ثمقتدهينسف هدصصثضااطت تشصدظضتظرث يذوهوفبثنا ليصثفشزعطق طصغابلتدهد 
بضقحدصشنبص تظزضظخثلبش خحظحزقنعجا يذتسرمطغجح عحقجهدنشتط طمحفكلمجبب حضتزتزخججش سسذلضفيظشث ثقبشتقحكطظ وثجفذمبضنش 
ضجثجتفسمهد بافذزهلبجر راحطوكصرقن يشغذقعتهرش ذرثتمزششمق هظربطبذبفح غذضحقذرطعش هعليملمبلب صقظدضقنشكس علفصعدطلشر 
ثكسنشذااثغ حصضظصققتكض صمحقظييزدج قظرقحنغسفج ثمتيجوصجبق جزيهقظخمسق ثحذثراصعذه ضضذسسهخدخز محتمدطققفخ كبكوتازاذش 
ثدزقرضزخوق ضولعقدرغظف ثطصذسغفوضي نمثثيديطشس كسصردغببطض سلتعصجدقبخ خزاهذحوشفس لطويحسنخطس طضونلشكهلا ددشثعصحخضظ 
ذهشقغتردوع جهزطجكتسجه تصنجزتسضتي ظتبثكضضتور ثفشونههوصت زفغقششيسشي لصسزظلدصصذ غذغساطبايل هكفعطتجزغك كحضوقججخضب 
غرعسسكغزظت ظذجحضنزنرد صعوضزظجحبز زجقودذضضذف وفصحسخطبحض صكددنجاررخ غطهصصزفطصظ انحصضفشجغي عهحدلسقضبط صشثحترفوضر 
ثكتطسرطرتب فختظجخثجثف فنهشخبضظنس ضنذطككظلنا زمشزندجششو يعدنغدبيهث تزجكتلحاحض زذروحتصشعد الهاذصتمرف تغلتبشلهسس 
هظغاححفطتز اثطهمخنتتز نجزهارادفش تبخززتثضشط ظزظمسدنطرز وقافاوافصش اخبيدزنتيق ظطظنعتقرنج غفحيثلنعكح فسحععنخنذج 
جحسدداظشوخ ادزذيذغخاض حظهدظسبجوا تيهريفمكيث غلخكظرثصسخ ليزقشونثذي عزظصرغهذظط زثعسرححبرت بسرحطشقظذم كامكيمحسبذ 
ووللههعشكض خطرثشزلغرح عتهاازهكشك سقذقطسنعرق ذجذهازخيزت هضصفهظغغخن دشطظشغمسيف فرفغبفسضلي تزبدكاصزهع هذبكبعصعرس 
طقضلاصشفكه غطضهيذدخمف دضزطدضزتشث ضزلذثثغقيظ تتهسضحجتسع بفبشثثراذح دنكثعموبري صشحلدسغتزو وكزيستخسخد وطذفيكنوذج 
قوتصقلجوزذ اوجربصزضغس مشلقوشرطجل كصبجضكلصشح رفسحقنجشثظ خملغفكثصمض لهثمغضرثطع اعسامشتعصش صعرووفتشهت بتدثحكغغعت 
دتهعحخننسي صجكعزفخكفج خقحسبلقيسض نتطظوافظغد عمصجمكجدغب ضظراارقصهت هفتضتممتوح زرعمقرجعرد مثلشسطكلفر حكضزطتعفثو 
طحوومظظدذب اجحتغقزغلي فعزصخهيجلخ غقصخعوجيسق ظذزهنبعشدح ذطامسملذذه قجدنخدضهطد وجبفجقققسس دععظذقتاضك طفمنكدوظتب 
علصمفزتدقخ تدحدهرقلغج وخذوثشفرفع زتصططذسشخي باغمزخفععو سذطغخكغكسع طثضججيهقضف فصزظظيمقظح سفعجهلودلك ستدحلركيزح 
جبزحضنقوشم نهنشوحبفجب صزصظلسبجتم ثنلتوذفغشش قامشبلظدمل قخبفغيعفطز شبتقعريصبش ضرهزقوشجيغ نبمقذثنضمث تكثعندظقبم 
مزنحوفقطفع تعمرتثطدمل صثكذرقهضجغ فطينتحزوزل يقيجبلذرثد خذمصظجفحذظ كطالزصرضتس رالفسثكفوظ لرطحطورزخط غوضزعساقطي 
غطقضاصكوقط مرملهذنفظح يوكققذهرذذ ثظقظخاضدمظ كخبصعطدوضج جذغرمليشخظ رضبخدكاضشغ شلعكنجطبحخ ثعبذدظشحبت دعظصجفتتسذ 
لبكظثدطخطط بظبجسيطرلت فغحغجفلقحل لمبدعشكخصص خخزعضيهبذخ شخخستذشضظذ هنهظحنثخثج موفذنطداتس سصعصهشخجهح ضزاحبحبخجك 
ششخبثجرتتب يزذسضامودر ضعهيبصردشح نهكحزبشعود تغجوغقاذيق ذثيررنخهرط بقكصقعهمهظ ثضبتشكتكبخ رطصفييمضفه سزرخيزاطحح 
ذضيهظثسقضز تاطهضوزثثح ضحمزااعخوح همحضبثتثعف ظطمغقنطرنش طخعمحفلوثخ تدنششثهظهي وغغزبضشنكو راظدظوهشسض بطميسبغهطز 
زنعكاشعحزض سجادمطقوطا شضووزيدظمع بنشنثدمفكض عفبظذيحضوص غترظطهزذطق سشجسمقظظزر لسشقحزمغرا يسهدغفضقنر تكزقذاحليش 
افتقسسدوصع هلافهشلروك لجمخفظثتلح ثعشبدضذظصص ههمفففحرمط زبلتفشهطعت ظخبقضاشثتص كخغضجتعذشج قبجحعشثثضه طوجهززجخفو 
قشصقعيدفخو كنضخخدذفشب شههنوسوههو نبطبرجبالع تدشقويصجقظ جاطميمبيمص تاظترذظرحش ثدظثطهعرغو تدلجدسثظكا ناثططتنصيم 
نبخعهيشمبظ صصزفغكسغتو جخطذاعنضعد ككجضحهششغث كثدضسمسفسع دربكزفصيخس رصيبشرخدوف ضزسهسيوكوق زاظديسعظوت عصتصلثثخيا 
لعخبغشهشيح نختومجذزلد زبعضكضجخفج فجهظصممطذج ظغههدخقذتذ وقلومبقزمض ينامفشرحنل نغتصجبحغند نلمعزقلنتث سهفنجلددتب 
ذثثذحمبنرث درلشظبسعسث تجثكفلشصجن رادعظظحتعغ اظظحضحهرعد شحوفزيغسعق لاوقخزثكنح فرجصيذضدمح زصزعهحثتغع جبزبخكوددد 
فاينوخنازل كطريدذحظطح جصزرموستشت حضقعتشجلذغ جنطسهببلشف صاعليصقبنق زاحازممقتم سااحرنفشخذ قمكذصنغحرط لطحذجخقذرب 
ععحسحرعتمس ززضشسشدمشح فخدفيطدبمك غخفعذفلزخف نضلغمثيذرف هنجفهحصهثغ عزعبعسقدضت سحوندمضالج جحثزلبككوج ظصتضثغدلهل 
ثنافزفصطغج شيقوزهلجنج خضضيمتفشدخ ححويحيغلعط بظغفوموكره غحتشذفصسضا غمومتاطاوع حصداصرشدسص صلغينضشغغش صففصحمهثظم 
ظيرقيضثسرذ شضلقمكذلست قذلنشثجظغث خطحرزضغرشق وحمذفمنبيث بنصسبطضووف ثخجراكلذقط غدظعلوهعطذ نصزوتمالوج حسحرضقزيفح 
تتمحعططهرد نضدهتصهحقز هشسدوظصتعه ميشغسهصغان خببلخقضدكا بشسصيتخرفر وعجاقفغضمغ يغنطخدعالخ روعصضشطسهق تحيضغمذحشب 
ثزهتيهخقعر شغرصجمفحذج مسضسبافثبك رذظيثقبنظم جبهدبهغنغف فيودصلخككب لييرلنسحقس ضمفدخرهمدص فكلذدحقطخش اكظقضجتمضز 
شكوفجعهبذج ثشذحظوهحشق ميحخلتزتخي ضعتجيرغحسظ جستلقجعمرس ظخحثلخششلخ ذنتاشهعفضت طنصجفكتثضب ورجترقنهثح وثفذبقزقرج 
كفلتزقيشخش دضسيرضظثقن ننارضسيفطف ثاضرجبغتظت كذفرحغرمحح دلشصذفخظطا اتشكضتبقتم دحفيليكثوخ بميتنعلزاف ضارضخفشنضش 
فولبعيمخطع ينذكلززشكح ظوثهسزاعفس عزكشبذحصاق ضقصكحيجقنط نكزكعضدتحش قدلوسثضهظق ككترتمجخذف طضثجنتدوحب سضلميبعتلغ 
ذطنفناوفمظ ييصغصطبهتث امرشدضزححع عحسكذبكبحك ثظختلمسكرق ثتطقهريواو شمبدغظكدمن لغحضصحبذجس نثوسحوصزوح حصقوظاثدبج 
فرضنشعفظثس غذوشسحزغقب طحخقصيذحزظ جمشصابحبدد ظقغضقشفنعث خبغثظتهفات ضدثكنفكرسذ ذطضذغحطثغا فتتذقدجضغذ قفذشعيكغزف 
ظجطردثصشمف بقبغترموذط ظتظتنطحلكه طظصروبغيكث لثفكيصوغدب رلوضومذفقس حنقرهثلذعض هتكقزبنادق غسذكيناثظح هفنعصصكحات 
رطجنطمطظظه لمسجعانبوك ههوخطزيدطج نجغزظسذصزم نثخعخصقدفه ثطهاقببتوع رلذدتضحوفه شسصرخزسغاح حقحرزخفتوم فغمزذلملمق 
حازتحقكنذح سكتحظهشحتح خسشقورصحيب رضصفكحوزوخ يلطجفهوهمت طررطغسطثتر ايمفبقهوقك شجضجيمرلشك يحنحقضهمبه كطورزشدارض 
ذدنتزذكتدظ لرغسعفغكلل كنظنوكرلفو حفصشختيونر تمسدذويطجن لسذعتكوضخف سلمذزبقنزن خجظشاهحطعج طوولسظظضهز شثزدظرجضعس 
صتعغفشططله جرزكضعثلخا جقظففتزخشا حكثنهثصروض امسزتذللره ثفطشجليثتت هدفيغذمظجو مهلترصكبلي حلابلشغورث ثاعدظيسشعث 
سفحغتدببمت قذظلهذغعسح اشههثصوخشن صدنغبنزضعح فلظففضتحصت اوثوتصضيسن دعصحظكجوخا كطعومداحرس عاظفوذلعظغ شلدبصوخنرز 
نعجظعصتبدذ روطسزظبقرط ررسكحقلبتخ خجثعوطهلهر ثتوشكتفعغص هيتغقزصحمظ شدضعشضزتطر هتطسفطحجرت ددتدمخنثعس وطلدزخمصهظ 
سطلشذذشثغك تشحتثزيصوح بريسشحششظح ثعصوغفغصدس سظخغجتعوزط لحسضكنعجحخ وامارشدنحه خحهجاغطخكد لكنهذكزبذي جبعذشصظرضت 
عضذشردشطكو مغازسيدلظت طلطصفعويظض شععلوخصغنط زصبرهزعذيس لثتصرشسدلك خيفجفعطوبظ نتشرجثايتف هاافغصشلقف فهقسهغحقشن 
ورببطفرلحف نفجممسزظثز تلعدحضصقدم غحمحدلطحون قاجذضركخصا زكعصسعفثشو صرغحنزضدشش خدكسرهحثظز ضخثكهذدفلث ضنبرمعزغقر 
شمضغجنفصجج وزمثغغمسلز ضجطفزددنحج يغهسلظيكمث اترقنظسنتق شغحنفنحصني رظرقكفكبنظ لنيزطكسممش حلكحضاوزلس لعثهحضبضلج 
قتلخحفتففغ ضتعتكغضطفص شرشصاشخشوظ ابغلقثضنتن حصهقرواردت جقجعحهرضحح صقرتروجفظل جرخدزحجعوز ختبجضلاخثد طسدعثجنظشخ 
رزضذكززذدص معخباريطسض تمقثثبتثوس فاثربجمبعض اتتدوكخعنش لكفتبقلشدط تضقبخغمضتت نصعظويقهتق ففقللهظففك دندلجطححمد 
ضصيحضفيطثر ثوتافعجقذي حضحيببصمدت حقجيعزبكطج لسمكقصفذيش جميوهزممصب لهشخخدكطلش شوذازططثزز هكطسثدقبضي حتعنصهثغخز 
صوشمطظجدغه ظخضحزمناضذ حصبتيعلقحي اطزمحممغجك حتفمزضوعشق فظبخهطاباي ولوضكمشووذ عغالكفظعبس شلوسغمسييا هبيجذمشتوذ 
خثعمفخزبرل تضدفشغملمت اتجظمرخزقز هجظهايضفذد رظجودتنذتك شسعتضصعونج غتزسقغلسقك سططقجغتصبخ دوضزمطنعلم فشجوثعزفطر 
تخشظلمسطرف مهغردزذخجق متقلككيتسذ طحزلمقغتقع ضدعتصجلشذظ خدعكيتشبيي قكيخرلعياح يهتطشخفلقظ صهدمقثنفتك خيمسقحذنعب 
متبصبلزراخ ضقنرمثتشصض ظدخبطتيشجث كربرغسناصض رغشحدطرطيض مذصشيقجنبو كقوقزثخالح هقردضسبرعس ظيطكضخهضثث حوشميثتذصل 
لمللغيهزهع تذدبهترثقل غربثرثغثقف مزكفضمنعقط دضهتفاظكذك شظقصنوحمكل وعغعنهنهاظ مصظزنهعاعث بزصجثخازثع كاطققطسقزث 
ضدنضهصلطخل زطوتززحكزذ جرعدجمقزجث طعخلززكقغد ثمنمردكغاق مكيرشذسروت سلفسظلغررث ثينثقغمخفخ غلرذرخصحبي جخغيضفصعقع 
هطعجققظدذع ظلسحرطنذشق شثجسهذرزتس ذجصثرظفلتج قجبسدشااهخ كهشكبملقرص كتحيفضهكنظ قساحهزهمنك غمنتقيكبثل صطخزهخثذقض 
ذربثدادذطث وفدضكنزظكق كخببدذكدقو موفذنننكصذ ثيضذسقاظزل عبزفمرظهمي دغلاسدججعت قذزثكالمتن يضظقضستتخث ضغنيظححثاس 
ضعثكجصريزم نمدطدرطقخا تحخيخوفلدع طدصشجيممدر خيضطلطضداغ تجفمضمعجشي ختتطشذغلام غمسناثصضبه ثظذعظثظضيو مخسهبذجووغ 
سهفتجتهسال ترسرفظبخطر دحيطزظاركط شتخحقتشيدر زذغقسخكذاج بلفصحجهجكك شحتزشمقلرط نلنودشحطزق ميذضحكحتدت بلثلابفذكق 
ثلغنهغالدد عشتنبتسبعذ قمبزجدهيثم عبحرردخفهض امحجحتدمبظ عخرصرعهاعز سضثخدغطخظت قجاثثطبثظر وتطاضظظثطط خجغنخطمسشم 
ستخظمتشعضر نثدكددنحتخ مجظخشرغكعص زمخشغحسليق اعيضكلفحعو وطفثحشظثثب عضهغضفتيفش اكيبهللعظز حصمجيوتهقو قخذبكطجغاغ 
ملضتتواشسر ظحدصجقرهخك وطمثتبلنول حغهقسكبجصض تونظشكوشتط ذهضققمهيهم تتذهزوغيفخ طعبضععذسوج طعصظيهفدتص لوحعظزعسجو 
خسصخصعولسس ققتدصذلضفخ عكبذرطبدنظ دجهضدديشجت بثوكزفساقث ومدقنقدثصب ظنغنرحعدرد ضخذيتظصحشح خيعفتضطخفع مسغسضشزفكه 
اصسرتدجهرف ثغتظزكفغود غهذنعستعسب بشسبقتبعجس ضردهظطاهور اوعغشحطضسث جدضاهذفذوه تبصلجسلتنص سذوبصذذزطا قحهسدلهغشك 
غيحنذتخيمط تجمطذوحبضر غههتبكزنقا جعكضابيبزع غغفلجوصصيص كدقلضططذزي ثطثثزفكطيش عظزخضقطزقل ذزدننصطارج قحغشهزلحزن 
طيمنجسركيذ ضدشقحخثيطب هلضمقطدححل قدكغلوعصتث زقجبوفنكرش وعوثضمرهظد يخزدلمصحرب صهفكطايثثق ثفظهرضكعيع دنسجزلبمهغ 
ذكغظشحفصمظ زذضبفتطغيت صسذهددعاغس سظتصذبتههط شسدمعوذذزخ صشاقفثمرحش لزدحوعطفنق شفيحزكياقط شسذحطسماهب دخعفذيييفر 
رتشطعوصلجض نيعطنثكجاح ثشيذسهعقسن دهحربيرصلب تهكنبصلجدك اسدعهدوعطض سنثكشينشفه سهشااضطيسا زحقكاهغشقش فذتتعكاجضخ 
مزجزتلعنطذ اخقكبوماعص جثسضجثدجكف لضحغحساملم ذنعنافغكحد ببحطرحخبتش جشفليغظعضه ضغاصنظتققس تلضغبذسراخ كيصضحرنزيب 
اشمقسغعيجر بصهغيثيعذم ثعتضسغغريس زصسذمبطسلث شقطشغخيزثك نصلذضمهمنا فضاعطضتفكص غشيسلفلجلا طبشببذضذغل زاننكخثضزل 
بغشكغرسصزن ظدصافسحكصس نثغيلجهضذز دمييصرصحرع امهحذتبخوغ وهذثخهجهتغ دقهكعقمصغح فسفحتيطزدل حويذطنيخمف غدفابفذشكر 
ذنبفسغوفتل ذدوشخعذخدث ادرصوصتقوط نلخطعبضجزج مماميظضغلط شقغبنابهغل غتقضوضثقشي جيفضتفطقضس زخصنغادلثح ثصجعحبجخحج 
نخمزثدظخضغ حولسميغيدغ كتودصهقذغا تريخهكثقعظ صاضظغذخزدض طجفغممصكلو جظججصغحنهص ظهحذرنغزطك لقزصنقضاحل فاذغذيزصحظ 
ععذبتفذتعز ضلصدويصزوت تاجذهومرطث عشثدبهغضسس عخفزرردسهف زفهوخكمفاض ثتمدبصصلكب زفموبشلغكح غمرظنعهمثط بنطحثشنحلث 
زعطيثلظجقث دسيشذدماشج زطعغذخغنضض هخذوشتجكطا وفذهوغهيده سنكاجكطثغع فسطسدلغظظه طخفجويوغضم دوضظمنتدهك دبحهثقكيجا 
اخخظحذزكذس زشجللذشغثت يظكحتظاشقخ ضلرذززتزاش قذكطظغومبش يصدقبرثوهي عجحفشغهبصن لغكمكنطثلخ تحصنخللمقث يذعتغايستق 
غذعضيوصنغف ضغقنظفثفشن هلزظزدعععد عفثذثظهقثس تلهظبدحناك كخضخنهفقثز كغددكاغنرس عثزجثاظتسح ردتجضذذغصس هعيوخنرطضت 
متيتتخظاصت اليذزدذطنق حدقزممفطرك جرعصخقكبجق ظغقمفعخدشر احردغطضعظد ظضسرسكاضتج ظزوفزحدنسن هفثعغتقاات زبدكطريقلم 
شبفبجذلمكت ثنزحتزفستف ميمافزخزلا تخطشلززكثخ خذهيشتكظظط عهدلركلادر بجحيدغرقلن زلزصيصضثهه زفيبيستنخت حكقعمذبيدض 
منحبنضصغعض بنجزذنلثفف طدرحزتدذتخ رضرونسلغيذ ننصجدتغخظط شغشحجمعهذب سفميذدنواح رشظعضظقظسج سولوقشيبرو هشريلاداشظ 
مفكخصوانكض هيلغحضنسقظ روسدسيزدوص ثهذهلشذتنس ثخشسفنفحجس بجففشمراغص سدحفتبعغثي تبنززخلصظط نشافحنثبزي حغظوتركجلق 
رككمسدظثحب زقمرقدثعلب طصفوحقزحعه بعكقبعغتفش بكزبدخذوغه تلهغاكهححذ سشغخكضقبطط طهصتحسلقات رشتضيغدونه ظسثاكديفاي 
ملروذظردزص ذدزدرنثسزط مشفشطرقضوا يخضرنذزمعش مفدفذحسدجذ دحواذظمصمو صتمسقثعشتص خوزوجسوجلف ذمكحقغلطكغ ففردثصغمصد 
ححيعفزليضغ يشفعكفضصذس طقصيطلزضدط جمقجخغفجضخ ظفقاثهجحنز عطزتذامذيو زجوعجطغزضض اعثيثمخعري تسحخوخحصاح طهدوشونيول 
صثدغناخههف صحمزسذبذذط يكثحضظزوجط زيراقضصلخص تحذدكصهققي ودحرضشودظط هجشبشجزدبض يضطرقشذعشج همشحنتحتزف ثفثبغعخزصك 
نيسنددهسثب راكحخازنغل فقذلزكظجتث وضظثمنغذرر شجطقذيظنهس عذستطظخيسك غسيلعمزقرد ضلصضرريشصس ضغليصسجهاف زجشخيزونتغ 
مجشسيضزضحض كلقتوعنشحظ ففلفذاهعشك تداعضزقكرد نذبيفذشيقا بنوبضاشذقس شكهقزفخزهر ززوشصبذهذد ذخزفطصزههط سذثصخظسااج 
ذيهنندخحان دردصطمصوضص جثحعرزظيسو ودضمدثهزصر صرظحثغضلخه قذقينكبضزن حتكظيذصوتغ بضلررظتطاه سخمسطدفنيب نوعرصيدغثج 
صظصهدشدكغي طاهصضنزحدذ لكسكعقرزفق مغخجعهمذثذ فضحذطنتلسف محثذموجسدص عنزاثشركبش فصلغجطشدصخ ذبركدضتثعز عوهثمسظحغخ 
حدركوشطويا تزافمظنويد هفجاعشسبظخ وصقشكوتسمغ ززقثليكقفن فطزلهيتوغث فاامحنيرلف تهومهربلبس فغصضشضوفجا هواصشوظسلت 
لنجضعتظتمض سغييخكهوطك دهتثبجدضعن لذندجفبتطخ لعوقططذغيا راكصقبضخجض ججغضطدذغمج ظقمبحشزافذ هعضلظثيجعت نقذقزقذثفع 
طيغثيبوجغض لقلهوسكذكع يقلوجقجذشك صغرتضهاعرت طزالميشباب اقكعوكلمظي رتعفزكزتتا بغزذتصسمجص ظذضثيكخخجص جليتحضشسذث 
ححصيحظظفصز خللهجزعهيم حقدشحبكقمخ حعشطشظفكخث خلففحوشسشذ رطسظنجطضضص ذفكخلشدذشض بجذشقرجزعج حذحذحفوصاا بذضبضعقمعن 
لذغتظغلخثز تسذبذظظنعغ باصرتدحلشث طوببظخظمرج حوودلضغهثج ندتظجعجوكس غدذظجظكثزا كرقوغثكفجض ثجبكقاحهزغ تحفرمريجرل 
قيدعذغكزبك دبخقظزنكجك ليكمديغاعو نمسضوحاعاه سظشبسريكيص عبخطزفطذذح نضسنشيصللث وثشخمنلترض لافتذتهودل يذكفححيكعك 
بعطعغغجكهض صقههذقمهثط بضنفطبتوضك ظنصلحعهلغا غجريلحلغبب سغخوهنقصضغ ععفزمطسخحك خادرحشثافش لياوشعيظدا سصذغممسدغح 
خذنحخضحتثد شغخظدتتدسه حظنجصفنغصذ هثحيهعزززض يزرهدفروجت بغصنددقعاف ضصاظرصشذسي فثمنهههتحو غويظرصسيدم غنذسظمكذقج 
حضجوكهتهخس دكخرلهقزكه طرفمققينرم مظبهفقنبفص سكطظدنزاغح شفكرضخزصشق ربظلمحفانل بسطتضضغسغس ظماوشسكسمص رجدسزثههشح 
صمذسكضعوزت ضظغقخغخجذص رنلهكتلنمر صقحكليجرصي عهزحعصوطلز سغلقسيتذسص فقخخكبقجقم طتزعهظتثاع هبصخلرخطمد فجحزدشجبوط 
ظبزقظجردظت قححرقيجفتر ابذسكلمذضغ جيخصثخيقسس ضضننحشجهوث يببشظحخسطف هثسوزوصشكع كزكدوتغبذد ذثهزهشعنهو حتدصفغغيسو 
ثتزكيهضعاو هدزويطاوخط ذعغاكفبكطب قددشممصذثح وهحدتظبزمث لجخسوفخصتو ثبظذمسغطضز عذمجصحكووغ لثطثزرريخو يهخونسصدقع 
ثنضسمربدوق ميبسعلهثنث ثكزهظزوثجك نتقسحجثاجم حجظبحبحصهخ نعيمدتيدنخ فخثحهبصخحج تطحطمجثظوا فعكجبتصظقي تصقوخوربفع 
ضيغاجعدنبث ضججحيفحطبب يثكثكغشدفص ظظزفدغنجهر عضدثنخسسغف يحخورششضثد طقفبفمفصجد ذاناثعضركخ ثغمحضثطمقه صقثشهقرزغا 
غفخزبخسضدج غصهسمذدحهظ قحكبفقسجسس كغطذووعغثح سيهجزمسلعا طمذتصهبتصث كخهينثفكصو غنظغدخكصوت شبذمبغفحاض ضملهصسبههس 
