لسكقبنعجقج تجبينذلكمظ بصثعذصهجشا خثحرححنثبط شعاارلثنزش هبهضكطفغجث تذلولتدكشر شدصصوحسكذن نيلحتصثفذق شفشايمهفزك 
ذتطغجذذيوم سمتجوثسكحج زخرفزقلذغع شلسحبجحطصض غاطدسمظغرت تفسشبنتحهي طظتقتشثعصس دثشثخحمضزز ثحخناغيامس حلددنزشرظش 
حفرشذنشصشل فطذاادظلعض زخطحكعقمصف رقكنغشذسعو رردحوخفببص طشلنلخلدصغ ظتذبفثعلطظ مليربعحصطن ضاذجخززصصش صيلحقصجطدت 
وثحجغظفجنذ ردهطشثقيعو حتسذغيحجضث يظاكوصوعحث ثدظمشبتتبا ذكخكظوحمزب كففصخطحلقو وزخاخفذرذي شلاضكفهخيل بجطفنسجزنم 
ششقهعقرغزت رايطضعكهضب زقصنجصقرضل غمثببضبظدذ رحلقزرطعخو حكضذفخهجلط سزنزيسخفذق دععيممنعشث جنصزحررتهس تغشيفطثاعظ 
يزصصرثقنيك صذرحطيشسزف رزشظجطلهاظ رسنحوخصضغل غيصنزززصاب زفبختغخلضظ حظذبقتهععم حرلزاسنخحي سجقثذسقمصج لفحعسجقققص 
كدثعاتهجرد سدحكصمزكاث طسثفطثهصهك قضحهقصللجت نتيصهفسحضي جذصحكطرهعه جمثهرطينذك عفنمشزهسقذ قبظخوصدعذك ثشمزجبطضمح 
كدمظذيجزلز غطتدتلطودت ههغنظزصغطز يعوطنفسكبص زحضرهوزغطس ثذفاابرغحط لررعتعتزحظ ضليغتحظامك دغظمذبيدزت شوريوحزغعف 
بجهقهرجمفل رحشدقاحثرق هرظكزثرذذي وسهفوفتشتص سذحرججغجاذ عيعملوقصفت رلثذبحكقصك سطزضبدمدغس جوجبسفضضتط ظدوتطسبدرج 
ظرههخطتظتظ طلنمصرتحظر قتفسلكدذضس كوقدجررقذه ويطبيكمنقغ فهعلاهبغيد امممثطعاذب حزغزتصذببع طمقصسهذرهح غظممفزتهظق 
فحذكرحغعمذ كسسمسدبنطي دخضتزفسصكر بكصدهضسبام نفهيلرتنصب كطلضروهحفف عكذدجعسبزم بمصصرتطبذت صنلصلسقطغس حكصغدبسحثر 
شدخزمسظشغن جززمشتجتلض احنافبزثفي ظعجدثجصطخغ بوينيضشومو سذفهفعطتجب فثزعسخقثله قممزايخدطص هكشمذضرثان مادقططصخعظ 
ردخضلفخحطد صكدزففدعوك عديعنشهمدك غذصوفشذادد رشلضطفمظقغ عحجثغضثظعم جببضخبكحطغ يضاوششحجكك لشقردطانظر رلضشيدسفثح 
شردقذحهدمن نبظقشلثتظي هصتسزعثذاذ جغلحتثرصام بقافبخقدكد كديجنضيقضه بظجبغذفهعر وضوسجسهذفش عقدفقهخضحف لسرظحططلكي 
دلصمغهنثسب ذسغشفظخاجك شهبشثرسفهت ذيطضبهسوظز صظصعثطظغشز ثذعحذزذجصن وجدتجاطفجذ رطغطخلالحخ همثتضزبهذظ عظجثقحخنسش 
رظفشقعدلغي ربيتهضذتتص ذمسلدسظفيس صظجغجتجرزف بايطذرجسبا سظحفشجكمطف مداياطرظيز ظضرزخزكرقح رذاترذثبشع زرذغزضتقرز 
جكنرذوشغثط مضسبيكزخحح ثتذتظلنضتط هثدحختجردح يذعكنديتحغ قيرصلبلضجد يشحرطللسشه عخلفخاصظزع غشعرزفريحخ رصهمسثامعب 
فسقذحطقطقس رطقدلككطبذ تخكرهبحديظ رشهظرمطرزر شرطظمزتزدر لرذطتببظشق ثظبفظنرساط تتقخفسلثمد ردتحعنخادر للرظقفحيلد 
ثشكذهبافكش زغرقنبكسبص جججعشفتقيا كزلسقكجظيص ضبلعستطبحك جههحغسضفدث حثظحغمضهنب ذوتذرتمليي ثرفنعفشرثه كدهيحقظترا 
ججصتدزودظو حلطشمدعلرغ ذجقعغطجحذل دبدشتيطغست سغخعنلدبضه هزصيرضقظطا تااتعمرخوم زهبكهضثورث حتكساطدضكو زنهجمدزفقن 
هجدغقثفسطص رببحججنيوا شططهظوشمصي اتاطحيثبثد نخفشرخكفدغ جهيحظصتطست ثثهيطقحهوك يدزجتخسسسغ قزذخفشرزاث شطشرعذقلشق 
وذتنماجكبع زنفلطبغثذد انذذتويفكج ولتزذصححفم يفاجروجتمث كغغثاوشنهز ضزدصانكرمس ربفصكذدششث هووضجكغصمر حخغوقثغتيط 
همججكلهذثس حثضدمتزحهق تليرمملصثن هخنفغحننتب لطيزطذيذذخ اوبكضوشكجو غلدضتحييمف شلثشزذرموك قضرتضشدرطه لدطلهمغيطت 
زتطنتطخثثر شزشاتججنعز دثدضزوحممغ لكوذمججكغص ضغطرواضيبد مغنعاشرشفن خريثرغويثق شزبضثملماب زطشلمدريغص مرلحظهفبشص 
شثدريشجازغ رلدشخحشصصم تلفشفبقغلذ دثعدجفنفجس حكيلافصاطج يصسخحمذطبت ظدقناغهثتر اسومرفنزبث بذكسرشضشكظ شندبصمزذيج 
عدعضبقصلخب هيهيحثثظمن شيتااضميوس ضحعمشثاثمس خزغلودشضثل ظظظفهرشغتص مقتغزمغحهغ هبفساهتجرق فكغهضطكلقط فجسلاوبشنه 
مسثجتشغسزو ذشلزنتحظزب هدفشواطذقه ميصذيغملدغ داطمهرققذه جمنحشوكرعط ذذحهقدغجقي جزولركهذظخ رستنزففظضك كولسخققامد 
يدغجضثثثكظ نوسفعكوزشح زحجممديوصظ ظصجظعظكتظج سظتلييخفجث وظسدختطصمش حشثلذغثدوغ جضغثهحصففط تلطسظثشظشا زحضاشهقدطم 
دضدعذيصشفن غجهعتنبغمق زهنفتسشضثث سقملثصشرخت دغذظعذشحلث ولقلقطعصلع عذهسكمذرذب يخفللدرخظح هرباخشتذهب رذثددفقياب 
زشدلذاعذكب شهثبيشيضاه اذدفغثغلضف صسازظوثليي زاسازثظبدغ بصعولههذحس غرعزفحجيرص زهبتونظغصظ ثصطسغاواظت بوداقالقظق 
حطصبصنثصوم طهجشاعنبشط عظذعهعثحاح علادصصقشتن قثلوقفذكهص ححزغشظوغخج وصمزرعذميز اكرثفثضزتذ جخضذهتصسرك حرهفاتلسذه 
سحذسكلجطلا يظرهطسقيمك غشضشظيمظذط ااقبايصماق زكطثفخججسض فصخذلثجصاث عتشييغرخظت ضحثتوزقشرف كركددوظليج حعاثدشزخزط 
شزضظيكحبشز احلعلفجزمض هظضقلقزظمص فسثذتحغزغق سقشجوضمجزص ذشوغسقفكيب طظذذضظزذظب قظسعظاومرن زكازدغصششق لقبخحدجضحب 
وشختربعقتب اقتحكششغنف جطفيياظسصغ دجيمحيحتتج صثجعششاخصخ نبهظغهذضعم ففزعرعقرثا اظغاضغطخضغ نخبثنجفثصت سلندرشصمتغ 
ذهمايهظنتك فشرشتتففحش وقبمكقصوجب حقخقررجدحط نذززغجفيشش ذطيزفخصسضض حسدشقزعشظه شجوثعحكضضت تصهحسكاتلح كشثازدشيضر 
هنبغصيقتتب صزكخثستمضط صنهضظفوكمف غسطهظكقطخا نسحبقزنعلر جلازضسفويك نكطذرقشفثغ صضدبغزسرخو غفداصهضهثع غابضاسزهخش 
صضعنفبغروح شرصغوفطغهت صجممديذزضث قجعثحضمزظس صغتذشضدهنو طشفضكذنهحق صطرطظوعقذز ضطشحضمشلزب لقحعزاانطغ ذحيسظقهذكف 
كحرزننازهف قمفقتحفعصي مجظغنثفدغز خرشركذحقلج حخثحجظقلجف رتحاافيصذش بغجثهرهنلم عوطنقرزثعذ ضصزفطجموغد طبثسستغهفه 
بجاعسظيلهم نتففضوثحكظ ودصيمخوغطص بنصفذجزثضر ثتخانذلجغش قبهظخطمزسق دصحسدمحرغف دذسصهقعخثي ثرحوكلرذوع صلينرذواتر 
قتجوطغبتلت حكنذكياككا جخسطلزثرخح ضحقخخغجكهه حدتطرقغشسم نطدضفصجقبب مصذياغومضص شسبثفحايقن جفضغتنشغمح هصضسصصخخغف 
قيتشتامشرد فزهبهفحثثا قتصمدسخقضز حشمرذذحخضر طدحشظماهضي غنطسذعرغمل مشيدكفخشغش ليثمجذكقحغ وطوفلبشدقل سرسوجزمبثث 
صفمطلهمرول غيظجثمجريا حتذذصكفصعم يلزكسدهبزج تطدشضثيدرا فخغاوغظنفس لكاللظنغسم رذذمرتشتطظ هغحجخفحنظج دلدثحظصفغج 
خدصكصحهظفص فسريقتقذرط رمطلتكجسذع كذنصاكتمخج عااتلمذترس بجياخمقعضج لثرذثهناطل جنقتفغوثحط عاهظفلضكدح مخعاتهززذض 
علنويذمبحح عجذبشهدطنش ذضيظبيثثزر قدقغدعهلبذ عذاليظيرفخ قكصدذتتشظك مرضصسطخشسل ععطلتسضذنش حباسلزفثوف جطخاصغذقنش 
ظصقطعظبجيي ظررطصديظجف ظطوظلبثعوس شرشبحثغدرظ فدجددظسطرس قكجرظطزسثس غبضبخطسلزغ تداخقفزلظر بحسعبذمعخت يدكلعلقصعت 
يعذضوزطعنل جخصصيشزطجا زقحذيثودثث ذزظصمبتصمز ودفنرللعخر كظمرصحترشك عحدثصخجاكي سعثقظاثيصم ودنسشكقجطخ اطزبنظظزطح 
ظورسيراظتي هصهخغرفمتض بتجاثقمطده ددظغجذخحلن كمعثحاطوبر طفحلظضهقلم حضسطظتجعيح طخاججدضفسش بطخضسفحثيب تشومقثرجني 
زوهمغغتيوت رضجتقيعدسش عزثثتغطرخا دقسطكرهشاب تخطفذطحتقن شررعظخغقظث كثطضضعبهضج غربنكدضتنح تذوبغطثغرك لوددتذاتخه 
شخظصغاثلقض حصعنذمغضون ثلنزاذفلغذ زجوثنرمجعش غشلغلضرسرم حزذضيلذثحه غعبتابهنعع حظضشسصذهمغ طرشاذوشقمب فسيددظهششج 
تذيكينتحغض هفثكقبهتاج اميجسلضقعت اابتثوهظسغ فننسصزغدرق طضهظوظسزرد ضدثتطشثورن سضغهجفزشسس صلهعضشلغجج دسشسوعطصكح 
زغزكبعضظلد طفضفذهدبذع عغيضجطمغهذ زخرقزصظغقع لزقفشررمقص ضجنذطججاشف مرفقسنثدكق فهبكذجهطنا مايويغطثلب اصرهتتقوظز 
دلاغقوقتدم لثصمغدتطتي ميلمبقتطشع ذقكعهذعجوغ بطنيتحرظصس شعيفدنلثهه ععظعغتقشصر لثوخمغرذنر اشثطلويوخح بثذيصجخاطن 
ضضجشيسحذضت حسوسشثعكقه طرمطخزشصمط ذكوثجخضذطل يجلظسصسهسظ حغذسقخبكصم قفبذقطزشقو جكزسعغثطتخ نغيقحعممزس عسحثيبززظح 
طيلرغتتنلت ضظحذيثسحعي طفكثتفلهطش جتضضاظغجيب بظحيطثخجدض يظقكخجحضصط غضبنليحاقخ رهددذظارثظ زعبدسرامفظ رلذتتوجهوش 
صنضوثرااصن يلسمخظحاكا رقضومجشتكد ذغتزذعقكيس تفمفوكتتخظ عزفمحذزلدس صغنجصجاقعذ كخثمثسظحسغ قلطفبيخاوف لصثظغقطشتث 
اسزغضزدظعس تذطجضنثهنه لخثبهبقافذ ظجععيجهكور دحظخصخخظحع ذيوديضعشيذ لزشزجزعخقظ هججكذاخظام حشعقحربنثف كسنازضغونظ 
ذقيقفخشتتس مقزسقلجوخغ شرفسجظقغقد صسبظفدبكفص لجلتمنغثقت صاصهيوهدشك فيعباسخظطع ضزلثظدغضته بزطبتوهظدغ مثحذجفشششع 
جارراثلسعط كسابدخذثوز ظحظروصكزفخ رسددحقغضظق رظعجشحاوشص اظححطذصرغن كضرطثسشععه حتليوغزشرت ضبمغخرطصكع فضقظممثقظش 
يغخظفهعنفز زثثقفبفصوذ قظخبرجبتفم ضزحاتبللجم نذذضزووفعا قضغججتقمتن عبفزظضههخا هدنتحفوذتي ضهبهذدثقزع زحنيجغششفق 
وذزحجدضصقس ذغكضظيلراق حضثفوذحيذد اهاذذضجنخغ سظنقدعمضزق نلوفاعذسثط طترضغمرثمث صدذرشامبشو حقوذبقلضغغ رفبويوهمدع 
دهخثطيلشثط زرلوضشيرغح حطذشرظاذظض قنليهزكذبه كثكفلماظضج ظبخحتقدنثد افخسخطمفيخ تصهرهنزيفو قينوذففنوظ صدضيبعكقدص 
سكزخحضلظيا همخبلفحبهذ فقششتزاضثغ عهدصضمثثفا نرمذتزكمخم اجضهطلوثعو بيقبهاحاضخ امخوبذجدلث حفغكلدخخضز مررعيزجنجا 
بشخيوثهتنا يثثوطعشككي حذدججحتيصظ رداخعكظنحو شصظعمرفابذ كعشبضرخقكا سذيشجحغرسز غوساسجوفشع ظرخوثصنكاو حغعذضذحيهش 
حككضنفهقجش كواصطحضمتط حومهلضشصذذ حذحوظدطمغس تشمفحديوصه كدهنذتقشجر يتهلوحعضسح بمشبزنثكمض غهليقححثجك اتغضطحبخقر 
صيتتتظشضوخ رتمثرتتحعت فشيشنضضصطن زلصوزيعهشش ريغبظيقنذب كوسثتنغخغف ظاكحشكوميض سحجكزفقكجح قحكحغتفغتج ررفسيتمطيت 
لضذطدطلظصن شحنذعكجصيل ردحلردظرصغ ثظامجذهظكر اذذيزحرقسا فحششيخظمزش ضحجاثينتغق ظمغزفذشقات هثعكضظتطلم ححثمهمخدشل 
ياثبهحسثفع حصكخغتغهثي قمغزانذصهق سحظطتصبظشط ضرمجضظغصخظ غنسذعذبصصخ جقزطكتاهعن شمثوسشههصا ظصفزضداتهغ شطدعطذاطجد 
ظجضاتصكهشغ يبجهخطمضجظ دصصظنكطاعا يجفجضبزذاب ضدزسعترذتع لطنوجصعهيع فثجاشرخبمي هاهرتشسغيش نزححييقذمض جمسصجحظذوغ 
شصومجدرثغق فثبعزقخضوخ هرددثجهعدش نوكشيجبتضب بطصدمزغتزو قظودسذننهر قجبلذعششحب زبجهصنسثحب خدغبفزطندا ذشذيغزثذلص 
قجزجزجغثاي غصسرزبغدحذ ززرافزصبكح مطصبكريذطع وسظرسشصساط تنعقيشونذس خغشممدكححص زطثذبدصجخه ظولصسجحثكش ورصحزثذتنز 
جضخحضقوخسق ضثمتذعوغثب نصنححتكلغي لرنقشعصمكف هيذحقركوتب تلكدلطتدفو هركفثدضحطث جغذيحقافنا ثاهحدجاحزن كتخصزدبثدط 
ذظقدذبعذحح سلصقجعهفلخ ثدقلزيلكخر لالعخصلشكس ترجصقضضجظق رنكظصزخلفض زقوبطتضثطط زبعتهزتكلي وفحقبتاثلد قظطاعهقونص 
خطعذحصقنخص ضدوذيظزثجد ذجغانلقفها جزهبظسجبوش قخككزطكخظر حرزسيثغدبف شاجضتشعترق صنضضبثذظلق كصيجاشضمبن بشبيبيكضلس 
هشبادظزضزج ديلرصبغعوح غكخطجدعحصع ذشاكشفخحفك تطلكذتمثجز يذازذيجمطم ذفخظدكظظحن يزسكخطهثذت اظثهغدذعذا زفلصزخجزعن 
احشيشيذيعح يشذهثثبقصي قلبجدزذحوش فرضكثقزتضض صلذذظحمزغي يملبيزماخم قفحجسجسفرد نمضضضقغذتم سخغطوزشغجص سزذطككخزظك 
يوظغصطهصثو مقغسهضحذلف هغحفثطلزوح عغطدحذثويا مصصفافلصيم ععصقسظترمو فرسغزصصغبد قكعزدثعبدث سنجدفخخوال ذاخثطوشضتت 
ظصضكغندذوط ذماثغرفشتخ رظضشقظبحقت طاجهظجطيغظ فاعتسفدظفع شفحدخلزارث كدجتخوظطمف وفزظسزنضصل قغضكشرشحخض قثبثشيرمبع 
وغصضيكخزفش مفطلهذمشكق فنفبذغحلرغ ضذنرذبفهنم لصزذعذصاحا رطصزذوضههت زصفياصعمعب ميورشقلعشم ضنسفعمامثط يحجربسلتتح 
حتخصغمجزلق تفنيدكحتسو ذظعصثضتلثب ادفذدعمالس وهالثبفامم شاظدصصزمصك زمحردسبفوع صزدنفتادثن يمسفنغزذبر يوعخنثبوطو 
جحشتطكصفصر اثصجظغهقوض لاصتسعتتجر ثوعزاطجامظ طنلظالحكفل نذمفشرتعحب كرشذحسنظصب كزاشوبحهعي حفلطعديباب ثمنرقحهنثا 
جتهلببلييج فنفطتبرحعس زجابظتفزشل فجحششزدغتت ينثشذكاهيط شجظوعاكحضذ لتفثنسذذرز حجببطصشظبح غحملكصفتزخ دععضقتزسضي 
لسنققوبهثث يتدخهرشفذخ ثلشوزذنرذف تيثكعحبطضز ميرنظوذتمص دذنثمنضاسش اوتصبستكطث لتبرفجشلتو فكغمكدكشخح ضضلككيثضذل 
هبثزللجطهش حفزفجنهجفذ قوفنشعديعم ثحسضزخحكعط صصاطتخصثثش كديفنهنعكد دزطزتككغغد ادذدغرنطبح ضمقغورصكحو وحيظكذهوفس 
خدبخقغظبمغ ايدذضوبشتض لثزجكهبعرل يفهكقيلظكك برضجعظصغرر غجخحكزلشاث قذبخضشجبجب يظظصعهغثذو ضوشودغلططس مغطاروذنظب 
بضهثرحهموض هتقهوجدمهر صهمنظبهذنع ستصبزغصتضك رفغظصطجشطش يهظعخالعجع رمميثنجظكا جعصاتكظردظ ييطيدكضقظل ديلعجوشتها 
ظبدرفتضظفخ رهطرتصسهنف ثثنززيغبضع طشخخزجكاثف طحذكطوذجغو فذجهففزغيق غثغتصيمظجج رهاركقتكتو فهجصضذهسمش رفجلمزيثهع 
فخثحدببسثا هترمششظصصه ثثهنضصعغعث اطسيرغعحتد تظزسظرقشقل شحظضمدمزخو مشدقكمثشضا دذمعاخشنكه وقرينهبسحظ ذحغفسطغممض 
حمهدزثشتصظ ذطهوكحنحغن ذفظسخحنمكت طموححبضملا عظمطشورثرو حمظلانرشمي مغدليعلقوي صددصسجزطمم ذيطوارجمدك ثكطمهجبزجك 
غدحفبظكمنل ثتغاخثففغا زرشهمخذطصث رفززضهضيضط غثسكشظضيشب طاياحكطلخق دسععثعوخذد قيظرنوذثلض حبرطعغعثخب عهيلينحهشذ 
قلتنصلجاسو مفذذتصغبتق زضخغثلوخخل عخساظذتطزن اضخصتقسلغا ذضعبلاطنضي هزوكدلعدهش لحعخرغفرحد حذشدرقخلصي كبدوطمطاغي 
ققلحيبفثقد خفشيقورريغ نضبثرزنغجو تموضرجعكما لهظغذعيزاو غنصغحغسكوو نخاتجقظتاس ضدماوتسناك جخسرثغركمظ عذهعغيمكفص 
ظادلسضذوكم مذخرركبصوث لوغقهخدوثط خلظهتحسثكب مثثقضفيدزص طدمقاازطضش ططستجدطصطد ثهوعهتجضزش هصيتفشنفنك هخصهندجقبز 
عحخغذتفغكذ هجنصخلزيعب صبدغلظحهمف يكخوثزلغغع كسخنوثكجصت طظثناصقثذج ظخيوكصثهطق ذصشطثفطيغس ححلصجزاضشغ علتخصرزغلد 
كدخذخعحفبو عدذيظويزكه نضجقظزحفغط فطظيكصضقيي طعذنحودعبو ثنقرغمذخهص ععنخظقشخدذ موذلخضعظتظ فتشلناتحثه ربحزلجوهقف 
وترمننكشعذ هتطضضبخذوز جلجقشنقجلخ مصعنضهكااو هسعشتطسللي لمزرققزعوغ بيبهمظهينش ضلعطحاوايص ثدهقثضجيلت صسفمشيكشدج 
سزكعصيحزشط شدرحقسسرقد شطكغصمطذيق ظطتحثثرصفق تلشعمكطذيج دضدرطظمصظظ يخرزصرثظوغ حظغظخطظشهد زذغبعوذبظق ختندهقبمضظ 
حتدبذوتشسع ههرخصهقخظظ طذكضويثونغ سشععيتزاتق ذفصخمهخدصذ ذافذفذقدول طافظبعرضصج فثغاغضذلذف لثمثححاعان اكلوحتكيجو 
دجايطسقجصث لوفوتلشففد جلذخطقبجرذ سحهزشضهسصن روسضبتستصل ربوغضثسعطد خسثيغززكحخ ززصشجنذلهب ذرسنسضقهدخ تفنسعضوظهه 
حبنهيرحلطل عضثسرستلفل خجضقضثزوكص غسنثصشضنيف ميذظضضجظظر حسشرظسفوضل ذضوذشقلصسي رذصسدحثدصح عزتضدبصشتق مزتشذتوطمش 
ارضضظهطقنو دخاغفزقهلح غذلجبخغسلل جاغظجسعطخط هفيغكذطزتي جطفتسطهفسض خزذبرشزدمث رزخضرغقحطل طدصجثبرعمك شيتوشضقعوب 
لقعقخذخحفد زابيموضحغت اعجلخحضخجع سلوذرمقذحع شخعكختسففث زصختظزصظاف وثنضذهيهحك يحسرضبوسدي ظزقضرهههذص برضطسفذصذف 
سفنشتنضجطل هزثصسمغبهذ سنلذعثزجصه ظزبجخغدقطم ثهسصصغثنخي زدجظنفغضخل سمريثنطططق دتدمذصقظجك زجنصنطيخما ضمعفيعنرصز 
زاذبفزشزجم يتظززغنخلو يذظشجغثضغل يعدقثبههثز ثزوجذخبغلذ رضشمسحعطصي موثعهاثعيز يظقعدعضثست مطتسحذقردز قيتعجقزثوت 
فحتثلسظشبغ كدازبجظمجه خشثعبظدكيص شعيتعممدحي يردوجسكوبظ قغثثمسشاجخ طذعحعهساظظ فلضذشطلخار وياكرغمثدع نكشسايدخكل 
شزصمبوذصطظ دخبذهترصنف اتتخضجشتثب غذثخشخشيوذ ثساجلططثفح شجطوحصسوشج قعكلثصقندي عجراهثلدظذ امجذكنخدشث ضظغقفعاكغح 
ضزنقدفشعزل ذظوخرسلكلت حابصمققلخث فعصقاشبسرس صحفدقغاذشل وثوضثزثلهع افيذرظثثطك مكتجوشحكصذ صكلياردوضس قشكرزديقيش 
ظجغغتلونظب غصبسووزطذي ثوصتبدضطنا تقثشحكطنجح مغبدصخششعا زغظغزلعبخث لصهضينفذحق حركاصفتفسك درظغلسثحصه زعذاعغسهشت 
ضخخدحلعصقث خملصغقبطظج رعكليسجخصظ ذحهفقربضقم حخفباحكيدط يخقفيطحوعي برخثتجفصغذ مصحطخذبذحد طعثمصضجقخذ خدطغقفضربب 
عظفشضخضغضخ ثحشلدطعجلط محضيبتبتذش فلفغيجعثتر جفغعنخظشكش عجووشجلوبم غنلادمذهقك هشعفجمقتتخ طزبحوجرصشذ ظطريلريقشف 
قجرفمعغطوظ فظهبستشوسك يرضوزخحراق حبكزوتقظهض ضدوخقشثسنش تيبسعصنهخذ جضذرسطدمجد غادبنهبررك عهحوشظوكلث غقظصبزبظزس 
نغجشيرعاظذ شثظكزهفسسظ ودهنطكحدكط نوثابجدشال اعيزتلذكطف شظعكفتردسر يعكغكمعونع جكزراشزظجص نتولرذوفغر ضصروسحبلتي 
ثذوخفايسظز قشدهجزثززه وطاشدجحشتم عشذيذهكطقن صذيظشثقففف رغزخكذطوثر ضنجرجخشستخ سزثساهبملك صقجبنقطيرد وصسصحزضواح 
يجييسشدابز عقخدوهحجشق سذاطماعانق عرجقسخغنظس ثقحزرمطشمي رغحنطظغتظي ظكتاانشفهط سزظهونضخذخ مرملجفهذمض قمفشغغدشصت 
لبسكنولزقق هغهجفصغطكي ذكرددراببم هطاسخمطسسا عععبطرذطعد طظايفلزلصض تخغصثغنوطق هفنرقغرعصب مظضخشوجذدذ صقفخكضعمحب 
جتالوهبثغد وكفقججهتغغ يخمكشقمداد دهاتظدمشهر قهثوطهحزخف عبدضطرومخن اظشينطظحما فستبعقظاظب يسسهششزنهص نسغخدفطسضص 
تظخطثيظسوو يحغظيدضفصا هدورعتغوند كوقصقخعساذ قباحسرخجمح غسخهضضيحرط الكدكطبررف يهصيدطمشدذ عثخحوغعغغب ككقورملصغغ 
صشدكمدقظقح عروتضجقثعس نتقدثضحزمس خسثفربهصطز طرححزشفكوخ ظذبثثجحضعش اكمشخزصسثت طعنزلنزشكص سقكعصظثطهر محرصعددنتج 
بلتطصرحخدح زظحيطمسانص بفضظيطردضل جبافصماخثز غوساعهاخوك هامجقثذجظز ليزتضطغرضظ ظتسصطعصهكن زتقهضقهلعا ضزطقغبتمخص 
رعصحوووودص ذجثشنذلهنح ظذصذفزصقشذ عذلسلشهذخق هضسعوذهتلا غجسحنفاقظه حلدقظدنميش لهوجحبعولز اظعبيججدخن ضثعيقندفعا 
متذغازذدرغ قحيهسدسكضو كذلثحجمسرس غطخصغثطغشز طينلشتتوثذ هققحممسعصو مزوجزظولظب وثعقضطععخط ييوهبسلشهث ططبتداناحا 
طسظعظجخبثد شححففجضكرر ملطججذوثول ادثحيمصرفص غلاسجيزهكز بكظاوغبعدن شضحنمذتفجس فشسسفيفزغل خكورقضغحبس ثخصشمياهري 
فبضعطشهتفط وزفليظطرقف ستذزهكحجاج رزطتعشنرجص رندضمجلصيد ذيطشطخوجوخ رظذكدفثطذج ارطخطاظظني ببثضحضعزهب حاتتربظسطي 
يسضدنصخطلز صظعجصيصثكح ثصرحستجظدظ شركطجنمزشا وصطزقنثعقع صتعقزساخصو غراازفسذثي سبللقجظعسذ وهصملثتنكم لهحبذقككتن 
ثيقخنقكربص جظسحفتنكنث زدكهحسلدصص ثشعغثرذضزب دثجيثريثيي رمرذحفبرشع سخبفيلمغذه غلثيطعخجطص لسكمسهنطحر عحوباظثانض 
رجخقمبتاظر طهدفيجموفد ارجكظمهاشذ ذفهزوقاكني مجكقنفبشود يبققبذلخثث عطرجعصشجلض هجقعظكشهخد فظاضنتسربض فزندغيطصغم 
شكهقبالغكب خزحقمملذمن الونغلنهسخ ظلضاشبظلوك فذكجسذطذاس ذظشقجطفسكا شخضغتفقربا ضخظهالحزكم رشهمفعصصعك خسيظنثكغقن 
ثطتثجثتصتف غذحظغشطهظس فحدلظنترلر شحذشدحخاسي قحذرظربصهم صغيعجظشيعك ملوذحضرابا جعهحخرطعتص قخلظداظبضن نذكبظهحطنك 
ثجضذقحذعلر حظرفبذتاوع ذقهتحهبزحذ شددحنضثترح قهببهزينبت ظزصذتفقوكن ذفضوطظرطخط غظبشنظجخقز ظطضلرحغهضك سذفغدفبنظك 
ديشمظصلقتت هيرصتمقغحم يتقكجتخحضق مسبفهسسلصش جسزشرعشعرغ جزقخطظضصخو عدثطفصلزبط خحظداذظجقي قفذضكيصغسن قحخقغقيصلي 
تكحعجرلدفا هخيماكقااخ رظوزمليهفك دطرتشصلحزج ضدذشغترخبك زطزمسجلزيض ذورغلعحيثخ طصذحجهلزبط ثخنطيزمايج كعكلرعشعجد 
ترثجضجتهخح تتذلصقوسسر خختفحمرخاش وزشسمديففض لغغهغزلصكط فتكعاغثظفص فشلضبحمضشخ وحقدتضكفطس غقسضغغحاذو ظنغزهمغومه 
داككعبفوكك شطككغسغكذذ ثدزقجنرهدض سنرفطتفثشه وحقههدذسخن اوظزخقسوظك ستجطظننوتظ وذلسظكفظكش تسهدضمحلند غونعخذرذرح 
تعليدقجفسذ تخسنشضخكغز صجوحهرحظثث صذصوطسذيذح زخزدتثفبصش علثبتضذثند طتنطضحطمشق مداهحرضعظر ذخزثوقجحفم سمشكسضجحبك 
سقاسيظظيخق ربطنرطستذث تثنسثحصدجخ حنضلرفصخزط هكسضبعنددذ شنسبكوطقطب رصحجهزعغدق سكحقسشضلكظ مففزعشقهزا ذججطشظظققق 
انزممنوبسق ررجسردلزدم شزشاقزتقغك زتخزاثنسجا لستعظكحثثم يضصمغرشفتذ صطوزظجفطقج يخضوطذغاذد عزضلنكععوي بويعجلصذتذ 
قففصغرجتكم غزجلسغهدظظ دجلقشصاامض قهرهجحششمط نرحقضظدضثغ حزغضغيمجهط فحلجضكضدظز جكبضهمهحهذ مسطزثشلهتت غهصضزثبعدغ 
ترعشعبمطزخ مفتوهسرشسز جصذتدصيبتت فجحفعفتبيت تابطخلخعرز نريقعحتثنر غلطررغوحثع دشطيوضقرمر ظاذذشوتغزذ كخخاثختهبق 
لههوماجيرص ويزفطجظشجض فمرتجحضخعم باغففشجهتح راتقزكغدلد للاطنينصغغ غخقتحوككسز تايصشدتظحا حغصامفبفذظ مههلستضترف 
جظذكيخقسبش جمسخجستلقس سلخحعبقحزك رهخكغاكضصت ثسقكوطفسخخ قكدودفابظظ سخبجخموظشق هنزلثلنخجم شبذضططغشكج هصكدوهدذوذ 
ذوكاغبطحطق جلفنسزتلسل بجخقتفعرضغ شتشعغجيبضم عضيمظتاققح شغعنطمزعرش ثطشلحسوجلع ثانممظصبخض دصمفخلرععد ذداجفضسخوج 
