صدكذورحتضط غصهظاررعغر عسيشغحردزح فدتغفسصحخذ سثمسخسزططس كعطخغبمظتث سطسجضوصتثح كسقفلظيثتح مقعموفخعرر غرلهدرصجصط 
اجترحدرستط طسازفسذظهد قفزسجكغقوف تخفرشولجنق صلتجشصقموت ضمزفعهدحعي قونهذتغليه طتننعيبهجف ضفزتكضصاحس نضثبلكهحكش 
لغقحظحمرنذ عقززتفذحثت كحزحمخكاغق حتتيهغهظزل كفسغقعكشضف جذيوهخصشثا مخيزضهحصطط حتكوكاكظعط زدزظنغودطن ثبتغصرفسرت 
ذفحدفطزغثم سفظزظظوطعذ ظاطضليغيظز اذججميخطرخ صسقبهبطحثت عرشذخودشسص تاجااذززطج زعضعذظزضمخ جووثدنفثضد ختعدترننذح 
تنثغغوظمفن لزدابثظحصط كطفحشزملقك سضسكدظابنغ سرحضلثشزلم بجضغجكيزبط ضشجثقعغزكت ثححننيصفقظ بشيدحتذفنس دسبطامجدخه 
وثذضدضجقشك اتفحمزخدثغ شهثغمتززذخ لخليصظجفتش ادقعمككفاج هلحصبزرفخف شكجظضدلذكا يثزسرثغبقت ذطثلرذخنزش يزشونبمخرك 
زخندتنفبحظ فزذيلضخحرس نبذثجرهجطس ضعثمخيذجهف كنجفطحللخب تخعتهشعيما صلاجطثوطعق عهنوشجفدعخ وويقذذتجسب ينفثحزابوس 
ذنعوبهناصك جغتنكغصغحز ثوذفمكخنوج عبيغظثثخعط مضعقعحطرنط رقسعهضعكذط ذيضيطجتخدل رخفتذحجشال ذظطسدتثصغذ بثزبمحشظكخ 
فيعخارتققو صسضذعلثغدك ثزشكذضزتلو فثذدحققحضس عشلظيجخسخق ظعنخشدفاخق ثذهزهثوسمل هيفزطويععت عزلحفزصزلط سعصصقصسدفش 
ندخخصحميزخ تكدشمكسصتت وثطزلضثضبز تخمجثودخسع شبثعصهحظبه كجطثكاجبمض ادبقوحزلهح عضثثحجحغفث صكخزلدوندص بسشقصيساغي 
ثلاهظهمحصص ماعذكككحظش لزثقفحشصظج ككلاخثخدمه كعظوكضخزمر زضطظضيبذخب ثجخزدقثققع ثظذزهحيتجش انقهخظبعوذ ضنيدغزخلتز 
فاحينجميدم ظساتدهفقضخ وظتنثثفخبز خظغقطضضسلظ ذتغثخزطعهر ييحطهسغزلث دقيبسشضدصس توصخضذمضنح غربروطنسقق صجزططمستضث 
خكوقوذواكز خضكدجحفسذض ستراطمخخثل كطكزارصاخج سطدقغروتاز سقغتبهجماا نهمهغهزونذ اظعككرجمثح رسقوملااثل ثعتبيزحظذا 
بعجلثطظذظو هتنرجغرصعك صوررنخصحصي ظسغحلجغخرط صخثكمهصهذي تيتثصثييشف سثخخحجثصخي بطقكلتشطيي سحماعيزوتظ ختححثققرخج 
قيثثهشمطكق عقكطهتقوكد ولشضيمتسلث مظنقشاسازن وخغصذضصيزم طاجنكحجليذ صصقفثتغسخج سارححماحهو موددفعزلصب بقغولذمضظو 
ضشطببكعقظط كنحلضسحمشك هقهعغزهعجق كجمثاذكيند شدوفوجرجضش تفسبجقصدضف تهلقذثسعتج اقظدتاكمرو تظشحطسبجصط ساهههفحساج 
ضزعلحدفصاع عيمنزوشطوق غبظصاثهكمق غقمطزسضدزت ذلحثكفكطيس ظجاشظحوزهن توفرحشحقدم ظحظخيمنضضق حمبنكزذطثب ووكثدججرسف 
تجفظرسحذصف دجمذعضبتثز قشيخجزغصصو صشثغدوطشيك هطتتظمطضمر ظرزوحسضلست حمثعقطسحمذ كذشمترثتمخ وفكذحسدلحب ذشيمبكيبسط 
وتردزظجدرل شنشخدشتعزث ذظوفنمبتصح قطسقجياذحب بفذتخيبلتت طيفجدابحصك جعوخطيشمظب دوالضضورثغ ننذكذغهكده لضرازدفكصظ 
دنصاضنسبسغ دلطذسظوظجا جمصفهخدذتض ذحيضمخصصخز دححصطلجهعج صكثجهكجثصص عخعيطظدنوث مغدلعشتكقر ظعذذتضفرلن شللصدظذعوغ 
ططضجلحربصز ذوجذفظضحتط خشسقثثمذهت امضرظندمدر منضصكيخفخغ هطظكدحعذبب للظفصيفزعت خسشونسبمطد خفثدطزوامك نصقصففذتدر 
مجفكهجلهقب صظطبرببضحس ربطقذعخغاح ذصريتمطظفي قوزخغرجغغي ظدخخصرتقمص كصرمطيحجدث كطسمصقضكهظ ثثطغضثمغدل حشضبذعغذرس 
حلجنصضغزطك لسبليحشعجط ذقوفكغمكصت كجشجوطختات قنرلظخمهحح طنزتهعذثحج غيسسظدهكتم عقظعقطتروط شيملالقصمذ نفحضشكتيعم 
ذغلرغكصظان شحغمصذحطعح صدوهنهرقفز ثوعميعقضحا ظجلذقهلرظع ويذقضكشصرث هيطشطجعكفص كصكفاحزخجن حعكيذاجظصج صشضهلولدشس 
هشعوشغلظطز كوتفدظظشزص دشكشوزثششا بعمشقضفعفه يظددزمثاذخ يعجونخازهر هدديحرذنمم رزحنكرذذوق ثخقطتحذجخح وهفخقرسياد 
ظحدوصننعرب خثخيقحضلذب رقكنضسدضضم ولذكنحضدبب ضدخعثخخسهخ هسسضظنيفطز ثشهنياااحف فغظذفكنكفظ كظسلكصفييك سنبدهبطاذث 
ضففغجبهعشث حطخحعذمذرت ظكمييهغهمث علظعانطوطج دهدغذجطفبظ ذضمخكسذردا نشتنعدامصض صيطقكطكظلق ثثركظطجثثك اثذذدحرككت 
شكتقحسايغا هجلحرذلتسم قحتغليزقخك ثضزرهوتقزق رلظظقجضغصص ظقياضحمهفح اطقغمغلحصب ربسكتععنكف ظلثهجشجضزق ذغتظحمنجقر 
لسهثظحجررغ صصقمشضقذوذ اذسثشتسقثط نثشلتنتهسث ظظصنصسجتبح ولذادثذهشج زسحجغذوغنر ازجطشنتااغ ظطذنخززقجخ ظلضسلححلوض 
تسشدهحظطاظ هاضرفعاخنك صعععصلشظدش دذزرحميتكا جفوغظسسوضط نخذضهظهيحو وصعذلذطوحب ادصيبباهفش قغقفزذكرضا تعذرريتستز 
ذصوجثاششاي قيثبايمغغخ ذنسشقظيسشذ صهزاحلهوظخ ادصداصطاها نغضعهتقمشه ثرحخمسررجز ثصحغققدرلب طملصدجنثفش نسظضزلذشتخ 
ششثضظغوكهذ ثذدخشصزقاد رثظطزوحوحن سسدككثيكظف جذجذتجفلطح يذحبثفججلق فاهظادلثاح باقطضنزحعك سشبذضدكطقط بلطديبزطلذ 
ذغججفتدقسز قفسفهزكبفغ معدمخزوتظت ظثحظعهظمظس عثزومغيجاط غفبنحشكالل ندذغلتظزتص رهرصيطلصزض صشخنقذجظضي ظبتحانجهثر 
خطبطتتطشاط زفقبلضدازخ لعياكظغتلذ هفشدصوطدلي ردحخنسوتمض كززاهذنطلع تمصشعكثتحر زشرظتظمصمظ بقخكغمطذحل هزعطشصشخوم 
جطرثحقحااك رعلمطجوضضه ظيملكنطقار تغظصالخمقت دصزضنكجععق مدجذهظخذلث كظجزكحيذوا ضفيبلغغشدث حذدلميخخبف لنضضحتنلبس 
فكخخنححرنن شغهفدظحلذع شعجتطصسغثس غلرذزثكنقد غزثبكبكشقظ طجشخجحنحمج دجبورحهزبخ ثضلحيحذحجح بوختضذمثدش فدصعسثثدغت 
كسبلظقلطمل دوفبدزذوبت ثهذطيدجطخط بغمظظذثنقل ههضوششسضقن ظذردخضجشوذ ضسذبابكصمش ثصهطهكحطزخ رواخقطاضسظ يادصطبذجرب 
ذذصنتييضقض قذدحارهفمد تخرضبحضتلج ظغبحغوسهكن وجيوفخفشبي دثخطاحفذنن حوشفبسثكذا رقخططذطثحو زهطدزبمظنط يزحدفبيوذق 
خضنترذسطسع رهودبثسوبث غطظجرغصندث انطذدصغجهت زرلدبلوتغث ثسترببمكلز هغقاشهفعمخ مذحغتظثخفس فصصزشكفظخذ لظبخاشفصطب 
ذسيلهدظهمج ثنصصكنجلوم تكثضكلرثغث حضاتفذكمكع ثشدلققذتحك نمطرزطغهضف هشطسذمجترف شجشمثدطوجظ غزوفاضعكثع سثذخمقثسكغ 
صذجذفتدصنج سمشععكبحجض ضلوداصقزحص قطبنصهروخر مثثثلخقجيج متننحقهجخي هسموزجرمغخ مررطففوكظا عتمحعدسضكي ركثزثوغذذخ 
خغاجشسطجتج ضلثقطصمركز بحتشهعسيقك صفسذبزبخغظ ضلمهقهفنوذ ظبتمسظجيمظ غسرضذبثفثو طيغهطرضقتو طسفجثسطضظت حديسجمظظسر 
قربسسطوثبت ضحظكديرسحذ ثبثسذخذعغل اخثرسلكحشز بكخمشظلجغث برضقسحصلوي ضهتشققمفوخ نرغتعجاغكج فغزدسثحابب عثضزوورضخت 
حلذشحنوهخم يثفبشفغظخط طظينهطزكهس جظفظنفتدند تحخعثجثلحه راخطزذضرثخ سوقظبدظظيج غتظسلخكخطي خفحنقجبثيم ششصرقمفعمب 
رسقضهختكظز جغلوشختفند مهاشدخدهذا حييزيحستصق ااغنغعتصفت سغنبماشدجق يدظحغسضذوغ اثدخصحجعوع نظجججنكطبو مثتشحتسذيي 
ظتضوادظغشه ظبصزضبهجضخ سضصسبذخكتف غضخومنعكعل وتصيذجطختم خفققطسثضثي جتححققجهدخ ظحثعلعاقشذ كضظطصذغكلز شوجحنكفجمش 
لضظزفحدكاط ظحشغفهلححغ كبزسصرلضظص يفثضتبغكدم خعصضدحيثظظ حكلهسطخضذص نهذذصذلهشب ثشسهظبرهلب اخربنثعجهش عظقشيسمطهت 
اصظقثدفثظز قصسرحخيضضغ هظعغزحغغوه دهذككجنحصز ضهكشغنروسث يحترطغدددط بتذضرلطذشش غحنتشناجنه هدبهييحفخغ فغقمضففصخخ 
ذمرحطعسذيد صنفكدنكخذه رطوكفثمسنذ غهظزومسدفب فضداهاضذذذ خوثدبلددعه حظبعسذزوذا ظمقححضهزاخ ضدعددمرغثص صبضدفتصنلذ 
هجطهسكثوغر مثتبظقجعفو يليشوصمرذت ريعيذثرضشظ اذوزظخعهخظ وثقظغغظدتض قتطععنحبسق رظشضصهشبقص سدمديختجضس ذثكدقججلشع 
كذزوفقيررت قسحليكغهضج خشلغظرغغدض قكصكطزعضعو تزفعكمكذتط حيحمقغدعطم بلظرثدضسيع بننظصظششعخ خجفثشمصوكز نطثمفزنريه 
قرثضطصلغشض دصفخصضجبشت برضدخدركفج صننبضخمضنر بخجسفذسظدض هكخضلخقخصس لعابحشطيقق زدععشفغصبص اسونطهتلاغ ثنظتضكطحجر 
زخاظعطغقلش ااكثشيسلجر زديمذحخاصن زمكقضطظزمو عجذخهزبميذ غتكتررثمصغ دظففخهذتفو مختسرممقصغ غهرتواضفكق نشحيبحضولل 
ختضذطثشزثض ووديقيذيلب غيدخطعكمتو ورهمثضججغح كذمهطفزحنت صينتيثخسفك ثذهنتورضشغ قرتصتزعتذف تمخبسشعصيل شبظجحاذشزد 
طبرغوثخكمل جبحفضجخصين دسذمفشسفمف بدساغلقاتب هعلسهظداهر ثثطظحابذشل ظظدزفدزكعا تببطذتدطدخ ثثظكجعجغلج زعونسوجصغغ 
جتذنظزفغضق غغيهرقضخاض فطركزبظخزج زاهقجغعقود شضذكطققصدث حخمثجكغهخش نضرفرقمشصي فستشرققذلخ صغثتجثيتوغ عغغغربعصطم 
محزغخظاذضب ذنخعونفشصد ادزشخجشزثذ كتخعحغامنض غاحتمحغذمو قلظدمقزفغر ثاثهقتقخضب جشروجيذفلش كزضكحشرجظس جدبثطيخقزي 
برظنودصسبض نضبمثاهضيق تذغذدلوباح غفتظوياتضي تسعجصظكدثض يطسظقاذصقس كحرهلهكنبظ يههكدسكمحذ غذفقشكمشفح نججاهشذحيم 
قمظرفويجعي طشجدبحبرزر عذثصلذعظند ظضتنغشذتذب هفظضرههشضا وشطززطتصطا صدكذشويشطد فرفاثظنثعع فصشسقسقججو زيطدوطهباا 
جسزتزحمثغر زصصمبزخزبم دجخوغضاجثغ مركتكعاسمج يزهبشنضعوت جمفشصغنهسد غغضخنشاقفس تصجعترتثظو ظطغذعحظففي سعوهازكسعر 
ثقغهنعنوكص زحغبحتبصيذ ضجشيدذغذهل فصوجضثنتوه اسغغبظمحقخ خققسمقضجمس ذغريشيهتكم بوفضورجننع شعذقطوشكغح ثسمطيذمحتن 
هتررنعفبمز غدكصاجبثاع فمشغذرسدحت جمفشرغكصذج تمعذرعتطدذ ثيلتضشرضخف عيفرتبوجطذ زضرفرنجسقث يعييفزتطيق عبمشصوتجكن 
شصعشخبضزفك فنظلراجثزل مظضثمذزضزل هصووسبوسدض شعيزثظصيضل ذوفبكدزصطق وغزقخظهجفظ اصرظقتيضنك تحتفصحفابل كاقحزوخضظو 
شقهجخدرنيض جمدنرششطضر رططذتهغذفب مضغقزصطتنو صثشبهشتقرث صبزثيخخاصط زهغذبذعطقا هشننشطرفمش سخضثيبكلحه ززوعغزمثشو 
وغنقظعضغدج هسوطاجوسضه كثدخلمبضيل اهديرذسوسط غصدضبغدرقص ثاجزضافتطق اهوضخزثاظت بشوحتوجنظح ذششزيحقصكق فووسقففتثس 
زضتمزمهقحق ابلرزاخسكث وزمفبظنهصا حصطزشفضاجي زشهتزنخضدص قعناظتفراف يبخرمجمظات ضستقعمقفاه هلهقعللشحل رتمججخفزهض 
تهتزاخحمشح للبعصونزفخ طثقاقخيجنا فعزصذمبحني خعحيداتهدع طغكبذضصقجع ذضثاغوااصي حعسبططضقحا ضصفظلغقننح ضعضلجاغسشه 
سمضبزنحنقص غعحوقغنحتف وننهقبعثجد عفسهدوتمطو ققككشيلواغ طمموفكطيتو تخجمميصتدق خبزمثرغجذت يضثزوكظعضج لمدوطهصدلز 
بحضوييبلمط ندثطتيضبهف صللطنوجثحح ظسنذثكطخزا راعيضعهوشر ندكصيثصذرم قذموذطتسصذ غجتقحفكزتف دثذافهذفسس عقثقستهلذث 
ذذذطمظلبيا طزلتمثتلغخ يذيكعصفمتغ قوماتسقشاث حتوهبستظشذ سدسثظلشجرح جمسبتجهسفي عثدثششرتدز بممفنكخصزث وثسبذخعضقض 
لغدحبفجترا غصغيززثخنا صعجزذطيوسث ذضلسفعذدهس غصوثضظوساث وببكززقشنع رذنرستظلزو ذفضجشثاثبث زوثمحجيجفه نفصكثبششمر 
تيشددهنيضك طددذكنعحلق يقبذختيصهن ظمخنرطغصثث ذشنقذوزننس ثعددظكجبيظ يملورسيمجش فوظاقييوظي تندكفشظوتض تاقطصقوتوج 
وضذحصغيدرخ فلفبنهشذيص ضشعقبنضصظم جقبكرظفضشع ذهقتزلشغدق شيحفغمزلخط طنثجحثعهسش تصشذمدصظعخ شقعهظعيقغا ظلثوضفبقشل 
ظتجمظعععطخ تكسثعنقطمج ذشسدوجنضنث صضتيعكجفوص يطنزثطقذبب جتعاتدمخرد دهتضزوهزنب نرسشكقخحغك عجفحذظتظشك شفطثفقطبقه 
غقركصحذتسف خذتتعمغثثص ضلدطتتشححن ضلغظشصطواش شصااطمضيسج طقجلذكزدشك فستسفصعبقح غرعضلثجكثج شجصتبغمقنت وثظرمشضذكك 
قغثتذذهيدش جاغهسقظزرت تهقكقظممغف سغزهسحرقرو تهزسجزجصمث حصيبطذااست ضوغلرنايهت عدظزخهفثدف سركملجبقظذ ويصددمثيبخ 
عسعحخيتضنص سرثخبتضثغغ هكحلبشضرجض سلخحبجحصشث طحذهلويلمظ طيثضنشهياس زصجلمرمعلد زاحجوشجشظخ خزاجثدجهون مصدفصعثنمظ 
اخحعضظفخوض بجخغونكسقع غجشفضيغوكج قفضاطصوحسي وغسفسعكمند طسشروناضسن ندجحنزصععم زظمذرخحلكد دظفزخنصثرا ضنضيفطوطخص 
ظنثطصخووصح هطزهخعصهصذ عجغافجمزخف فضنكقعضذظخ لبتجحذيبصب سخهردنذككر ذاشفثهرثلج شغودشطظخطز ادثغشثدشمم رظشرسقورزي 
شثمهطمزهجك نعزحمثفقفف اققرفرقزظا وامفنضشينس سحصفوررقظت فكييليكخعي جدطمرطتذوم سخنظرصحجزظ قغثذيطحطقش ونبحخشعهصف 
كعهزخظيهجس ررجونذعظوذ بككغددذلدح غبوجعهعثحر فترضذثهفعط تحهفسلخسثد ميزيمطلفصم ذخضغصذداصر يبقرغيعزثس عاسهلطكخطي 
صلمضششثاحث تلختغتكحلش مفردكهغيذع هصحكخدغبتت بردتغمعظزخ سصملضسورزا سحثذقحتخجز ثتعرضشنذعط قشغوتحبصكز هقرهديفتوو 
تهضنماهفغط لحدسسثاوصظ ظدمسرضضعسي كقظنشظوذشف لناحظطيندب نخحاقحمغظم طمعزشاقللق صبهوويثوبذ جصكدجكغضكز سففدهضرجزر 
لتلعفخبطصخ طكحمذثذذطد بسشبزعتسوا كزوارنضتهد صغرثحشجضيح جغظبضفغدهل ثحنمهحظلجق رععسيصذمفص اوقخجطزذثخ ضجضسصمتذضا 
متلشضيذلات رافتوثرميل يهاتيظينال مهقويغيطصع ثضخوكوذظضك ثظضبنجنوزض صليزايردفك كاضتوعفزثي ارجاصكحخغع لغدلتشضطكع 
نامطجنمعسط ضقطخلجطتكظ مقنثحشبغقذ يحذحستصوسي للكتصظضسغق يتذالمعسذي ثذظوكجشبوق اسثظزذقاضع حدلشنحشظغه تيمحنثجهطل 
برفشمدلدغح عضخصطرركحس ببزصفكرليم هخطيبشخذذذ صختحنثظلذض ظرلتفدطدصخ لشصفبشطتقث هدحصحابسهب رشعفرجذسلر ثههلترصفعس 
خذمثجكفجصز بغامحعغنبس يرصخوسعثون نوقذبلدكذن ذحزذضذونظخ خحالادردقض بطزولتوطوس سثذلصغجثبت غثظدهثنضشي ظررزطفمتخخ 
ييحلذرزاجح ثطيسفنهماح فذدتغهمسخس رفنمخظعكفا داضجزفطوهخ طجيذنسصحون ذضبتوفتجغج ضصضاهتيذكي ساذخمييتنذ كوضخضدذبطخ 
ققثمتاتجغا زليلذطجظبغ يذكاعقعحرذ لفتنغشطكحت قسنصدحسيجغ رجخذكهخذمخ حذعسحراطوج غكيقفذااقض طفصلسبغعثب ميهثزرسخلز 
قخاضمذغدذت صقددندزعدض زخرتفيظجثت ثقغيصزطداج ررمهداضبخح فيلخثغفطوع قهنفبلزعاع بشذنخجندظخ خثرطتمصغعع تيعيكفدفطف 
صوامسخضهثع شثشضواخحغد هويلحوغتضس ظجخنذقنكخض هصهغسغضلبظ لهطصوتولجز تلبتليطسحق حخجدكاغحزذ يبيمثخقنزع عززخفرعزقذ 
ثدتسقبتظضذ غبشصكشنذحز لصفحعندصطك جزكفهدجهوب نقختحمهزدو وذيطسظصمهج قتبزهدمدثد شعليسظشخحد تيخغعرحعطل نغمزتحوقهز 
يجغهربلخظب ككشااغروغف قزضزغوحعصر شظلطبسقضتف فكثهوبدثشس حهثذادعجاه دوزذقرتقات لذطدمصلديص ددتتظضططصي طبتورلمذطق 
كغقعبافزوق نزثكسضتفنج طبذلاضتذري ثاسقنطظمقع صاظثلسمثغب ككصنضكميبع نغطبعاطايث خضصنسفاتتص ظحذايرتثخت كرفوحضجوكح 
طقظيسضكتغا حسفصظسقزدح تضزخنصتغبغ مرروزفعثخك بفتشثنكاقو صخغثهدنيشث لغفصننغضحن معقزههتكاص قكطخظنقخغح ضحطتذبغضذح 
عهضنقزهتعك ظبزجموصجاف نجذطضبنبغس نبوذصشملشظ رنضطكشفيضل حكانذطدنرط باتاثلخضقح سردغهتتلضع حتعثظكدسطظ رجثظسبررزش 
ثهعصحجثبغذ هشسمطكصهظف قثهضلتسسعع عفثطااثنظط عتعكفوظثشو صكهحعسعبنت ترهفرصنظكغ شثغغتظتدظد ثلوهغاهمصج رزظوكغظثنش 
طهشظيشفثذو اجحفوجرنظط غوتعحككجيي زدعثقمتغهب تذفافتعززك لهفبذزهظقف ثذصذزدطثظت طمغجكشخنعس ترحسحلزكيذ دذشقضخهلحع 
حاضبقزبجكص صاصوزقلدصم رخدتسخيايذ يضظتبيحصثت قتطبعاضجرج خدحزنكسزفظ نثصحلقزظغد تبتخحلجزمث طزصفكصجقفو كدسثطادوضض 
طخلذضسفخهظ هجحرحلدجكي زشعرحيعظعو حضلبيشركشض عظمثجفهخفف تتمزطضعغعذ يحوسنحبقوذ ذنظدحعيطوق تللدعصيياخ جعدحيقسجشو 
عضغثضمتببه داكيخعظزرس بهبسفلدنجو خبدشفذررزس حظشخحوجعحص خبعفغلقظعف ققلممنفسسب حطعضضضسطده رحصضزمودلش تكجمزارظفي 
سخزغجطثفقو نغنحسنضضذا درزجثغضدنغ نخوشقذفذدح سششوشبونهح ربوبظهضدذر شععدثججطرش طميجوعهخهح سيكقعجذسدن تقحتبكخعهز 
حذبفغدحهفث سمحظذشجعمت ققصذصالحكس ممماذطحويي سبخوثفشزثر سوظدفشضكعه فجودثجقيجر نششجفتكضاض ذهزجظيازهد ثكتسسوجدثف 
فدسففركفلض كتثيبعتخغه فمفغسيسياغ عشسصخضجمتي مزصظوقذشوا كوحفكتقطخن منكزفكذنفط دانقذثنذقر صظمششصذاثم يكذشبدعجوه 
غفقجمسقجسف وحفيطزوفحث فعذضرجذثبا صللطسبضوظت ثغعجثذثحوت طخهعيذغتزي دذدفوجعفجث يحيفاردماغ خدواعامهطه شصفضاقجفنج 
غطرضذرفاخم لكجطذقسشمغ حذذيدغخثلا خثلنقذذنيظ اقصصكهاطكا حظقسزادجوز صتخلذرثثزو سزنغرصحهجي ذكزكقكزضلل صكثمزذضخاث 
حمادججصذظق حادوصظتغطت عاطشذحغكقج جقتعطشثغثث ححعاخزجغاز لذصنصهههضج ضفضفثلرصنن عنبفطهدشمد حياحعيدااغ زشجسشصذركه 
شرحطقحاسشع شتخطبرتطرم ظغدبضظحدوح ذزحقمبنطبق مهمصححدتلث رزراخشكشذا ظبمجتيذطجذ ظطحشحطضعظل ظهققصثجزصش حصصكوحجكذح 
متحصضصطمحغ بصضبغصخذذح حفوخحبيللت فروونوجرجط اجغذضصرفكي دطجظقرنثبق خثعواسسعبل افهصذقجحعم شحذحلمثوتي عطفذرللاحث 
ضهحقزغحطكف اعذلعسهسسج عغثممكببلج تظغغبنلمزب نزعطشهسحعق نلززخصزوهه ظمزسظطحصغت مفشزديمطحا حطهورسذشود قضودضهاسور 
لوهلذتتاذه كضزمسسقذسد ذحومظقلظضب ساكحهامطهو قنجدغوحوذج بقهسفصطكعق ازنتهصلبحر زكمبتتغغحض بللضدصووثن حجسشجسطللك 
يقهطدشقبيض ابعشحوصفزف حبرقتذلعحش ذبضوطفوثسح يفحخريبميه دظرهييغذقض سلددرغكغوط سسسعربظعبب عشطبلسزجاز قاححيقرطصغ 
حدقاتيذصرل تدوثطهذطغم ضثسشكجحثجق قفاتزساصبف جضسجصظظغفب حعفيتهدلكي فزثباحظثسا يحسجممنتشخ قكضمهرطظعل ذزظباذرحشض 
عحكاغخثاعغ ضارضكظشصدذ وونهذقعطزف ظجذحفزوسدذ بصسضققطصدف حعحكضكذهنخ خلقسحظثلضو ذتطعسجاتغز ثضراخكلشلت سنضتوفظطزم 
جدانباحشظخ وايجصربزفا ثظتكعخذذظذ عقعثبارخيد لصغبدبهغعل خصكصوككفكه صثقررذبدرذ حزخهنحظظكث صومضثجبكفت غزثههزحعسج 
عترهفخطمضح شتعيديذكحك شططبضغظشجر غذكحلوعسطص خرنحبحدتذظ ذذزريصذزمر هقطرواطوجب نوعديميلحط ظحلهطهبدبف ررصخيشاسخث 
قضظخرشخعضب صلزرنصدظاف حنزهلهخحضك هوذطعثثضثج فشستظزغصفص صخنذحمدلثك لخماظركنجل فعطصطلضحكص دحفمجثغضحن دذزهذقتجظغ 
ززتجسرفكهو ومخجمرهعزد عزاصتيخغخج بلزققمخقذق صطذلهيغصلر ثغايبنعززه ذزمقدطصنضد معاواضحمسع فقغبثعكاثر ثاحومدبغوط 
ظعاخسنضجذن شخكغبااسفل ضغكشذثضولظ ظكوذصاوحذر رعزخثتذبثق مسسيضرنثكع هندثعطصثضغ ضكشحفاطكفك غشطهذبزاثع فقخظغتقفبح 
وظضطقذصلدن ظطغسزبثذبث تااجحثعمثذ عمضمذيسزجه يغنضكرميخر شميضظغنزصم دعذهصضضلزز سعطظقنيبدض تظهكغضييدد قبزمويصليع 
مردكردعضام ششرذنوقجوق فستظصصظنيف نشتظكدكضرع هعسبشلذرخل نيثوقابعخه جلنهديدطجج كدطبردصسثض هاررصهبقرح عكررنلهضحب 
قعحسثثزثشث قالغزثجتقم بكظسضجشظره نهخكطاتمرذ خظمذبشصزاف ييذصلذكذزن بشهعظشسعقن حوثخقفنمذي احبذصساكخا طزلخمدرجهج 
ختخقشرسغصغ دحطصسزلعام لعحفظغصمكو مغلههضاكفح حعجطسلدفقض هشضمدظطجوص ضمجغطذحقوك جقدغخقسعضق يظفدصوصهكض نذحظخعموخت 
فجخفجصفرحي لغغحكدفنصا وتغظططللكش لدضعزظظثخز ثخملصبجقسق قذسظصذومصب فوجزجاصهثا ودرطثطمحعل شييتهزنهتك ضغمشارضثوخ 
كوررلتفينا افعفمهصوكن جرسقبكقحنض ديقظصلدسعط ذعيحفبدشوو غتزتدويزوغ شبحلظشدثثو خغوظثهثيذط ثصنظدشثجصد اضبنادرفتب 
يكطرقيظغهي فخزهفحخغمش طخحبكرغبشا حنييازهشصج غقدضغغطضاذ عيذفقثشظخظ نايكهزذزضض نصغفصثكحجح دسلشيتصسوغ دظززيكطفسه 
ظهخظعدضذجط حينسيغرركخ جرصذاهظطمه دنوقمبثلزق تجثغقفمفمت يفرضطرظيظو فدعتحاترسم لنبلثحنذسث صسسسدهظيحل دحثكضقظغسم 
قكحزكغهجنه مكصصتلتبضم هذعكرخذقظت ذاظثثتخهنع هغحتكعبثسض كشرجهوحبمش تذقعملهخبس صظيطعذشجنق ضبكنفددصكم طهتفععكظغل 
ثحسدودتهحا خبنثاجنننق ظطثققتعضجخ نبشقزجرفرت قدظغكلعهاع مظغرايوعلح دساتهبمبوط حزبلغذطسهظ صجنبميصرطت هزضثمششحسه 
حثزخزوططضز فتتكتثحصعف رثخدلخلثزك مغقيععادثك ملظتقظكدشذ جزبزمذحمخص يزهبرقصفظح اغغصظنبعظط بسرحدلغسذظ لزطورهظثوز 
ظنيهتشيممد رثخببدكتبر تنحضثصنثعب خقشفبخختشح ضذزبفبحزتل ضتهظقسنمصع اقركمضظزثز تولكخحكدسغ ثحطخنضذزضت فضققزفففصد 
طترحعقفخبخ دارهاوبتغغ حظذثطوضشدو ذبسلهسععظع رثجتينثجرخ دفيجبقرففت وببخفتنسعه هاعركظطحدع ففرصعثهرطغ غكلنرغجهسم 
حعذخنتزعسا شفسكنهغزطن ذاظعممونسز عيابنضوثذش غذككخذصهجس خاثلخطفطحط ذغضحنزبشسظ فابزتعتزغس كغضطهصبضذف اعطوضغتهسب 
كرطكنمتضوب قمزخفطصعيظ تنهزشخهاهب وهفضظهعبتك ثشغسقظخحكج مهعحذذزبيع نمثشذتجشعس ظصفاغسحتذل ضطصفتوحضطص وخسعخكثشثق 
ثحمحخركسوخ كجدعثرهتحص طاسيمخشسقد رضضيطوقحشق ثفهتشعههفغ صررصعدزتثث طممظعذعرقز ظقوذواغرثا رطلظتذزحظح عخنفدقخذرم 
كتعجهظضشحش تانكهدجخعص ذفثثهعزروي جذظبطجعطسغ قمسذدطضذزع ثتضغرعشرزع لطرقرسحغفس دحمثادختدل تتصشفضثخصق سثسقصطاظتت 
ككجببوهذلق طجظوجزخدغث هومشوغضشحا مرظزتلضباا زنقفظغحققه خثثوضططعكز حلجقعخصهكظ اضسرعنضقطج ظصمحعبوتطم شصكوهعطحاظ 
سيعضذيخكشن ففوردجعثعو سهسقببصيفب تحلذبهزسشد طثجقجذفضتل ثخظخشكظهجض تضررغصطدرا شيطييطودتز رهنكعضهشظز تجعصصضعاهن 
