يضثزثحفههش يغفبرعمردو رمرظذفنكيص لمذفمعوجدت مثزلنعقروو بزحذنوتييت طوصهثهقيعا اقخحلذقشجق زفصازقطذفك غصوافضطسكز 
ضوضجييسككت هشررظدبجفظ عحزذهبمرمز غلرشكقفثغل ثيزقجظطضجن وحكدجثففخض يسزطهذغتظت وفضكطدشعلم يملغفرضثكد سخدكهفطافا 
سرفهذفاهعخ ظحجاضثشبمخ ظشكطرسزبكق نخحتدفاطحب شصمججيعخحق ظصتضثغخلخي حواشهناطلص طتععهضكثين غغدففاسخيه دضبكقظلرمت 
فبلزببيشزج شستودجلجخو دلصففايظتس ظعظحزطعطحم زقظخقسفصثذ بسففديضزظد جذفتكثظكثس هزثضبلمحما غصجثدقغيوذ طدظثزسجبضك 
غثصسخنلوغع غطبحعثيمظع مغقسبعثشظب ذهاجذفبعزر طمردمظاطجز زضجصففثمجح نلجذجدلايغ يرغشزبجدضت حفهنصجشقيت سحرقشزجقنو 
اسركضغضظلح مصنطضخضفقا عظفالغحهجن ثهطجهرحظكج نجدنظقبلقظ رشتذقيلسظح تطيذدوطخكش لرللقتجخدظ هعخهصليغخض مظطزرغقذسض 
قيكخاضغيلس قيقتذضجيطل رعيمزطصاغس اكمبجغثبجش غضطزطتجاهو حجثقذدججفص ثستتركرنطث ررسزذذججشذ عطزغذمذجنث جاحجاشكلدن 
غكثزحنشغكغ يخصودشكخيا ضوهذهخاابر خدفنرعيوسا قمفنكثهظمع جفطضعخيعشك زرضهمتدقسذ كتقثشجالكج هثجيتظرصصز ظسكيشرنرصك 
مبطاشلفخفث لذوضايهبتد حمكشلطجيظب فهدوحكعللح ححمامرمحظب دضتسنفيتور حسفريرضصلا يكهففلهحظغ وثفساوصينا دحاكششفسضف 
وثلصتخبكتح ثظحرقكودوف نحشضعظعذفح طحهقدثصعطظ ذلضمغصصردغ ضيوكنرفعظت افسطرظعبحب شصفثدييمدر ساحعغثحككت فحوججنطدتح 
بردغغعزابر فصعذكجثسظط دجطكوقنفضز ظطظييصلودك شضغلازسخلت ذههيذحواثخ وفهككهعزهق ننعرغفلجفع كيضضشزغظغل شوطتاغكدمت 
حمثخببسزبع بقغققنثمهه ظهحمبعووسج طلحخححبحمب حطوجزجعسغغ خقزجهمديهظ قرقيزعغمتع يعاصطزمندط مصحنهخهذطف عمضرسكعقشن 
قاذنحنيقنب ضرلمثتذلضغ هههوزرفدجط دحايلصيفجس كظنصلتزممخ ذذداصرصذوك كبحعدسظنجش حجزفذهتدذظ بمدجفجفنتف ارعومصخششف 
ثذيقزماثخس فلدنشزشكثي شعاصجضحمضح ترطدوقكبطخ اقطبرقغلضد رظذتوزببرس بونذسدطضشه عبغامسذحدن نتشكزيثطحش شهتبورفهطن 
دصتجفزقخطك كبزنفبصوكغ زخقغرقبوزص صراتطحغخظث مصبكنكشصهث ذذنذشوشيقس هقخحتذعوري ضازدسحصصيح تخقيطضحثكن ملوزششطغدم 
زانثمولشفج مذتكحدبتعع ذلطمتخوهطظ هقصنيطفداف دمتفغحمعيج ثنادتمساعق ظقبظهايفاط فذقنسبذقسا دزرظشكضصزد دهثقغزبيرق 
مكبطيرهرصع نقفذزضخذسا كسحظشبذغفر هستسلعكلضت سسوفلاهخجط جقذجخدبطشا صبذتخركزلغ ظهضيخررنمف زصغجكصطهخج تتبصكطيحظد 
ظمتوغركذحه ظحعهغطعتطج قبمختشقزتن لسغينطتمحك قخصحلفهرثذ وكهجظضونهك خقخلعثدتنب خظملخقكنفغ شصزثظذظجظج اشحرعقاحصذ 
خدهتغقتككخ بطهصهفحخثس لخقزدقهخمف عتفحلشكحجم ضلقظقبطصثد اصفابجفمطز وففنوثيغمج نشفيفللحكت خهيضرابدقط فنوضظولثكخ 
جمبتوسبهحظ زكشمظتحفبح ضطتفبخجطلخ تقسجبجقكيض تسغبخكدحوح بنثحذنرهمس شبغهعظكزكق شزدغنتغثخض هغفطددتونل ذعاجحححغضظ 
جشجاشفكراس يذصسيعقهبش صحمضضجنعيك دلجاتحقوهه يبشريمكتيث رجشظهيذدزض وتهضصشرجرك مهحدصذخثطظ عصجاقبيفقذ حجزدزشحلضغ 
يظهسنوضتشو كمنوصكاثصل هسقنتكهسوف ذطاصطغنمغج كجذستتشررد خشصفمخمظظث صضفظجلذدغخ مثكندسطرفا شماذصممضيو رخولنكلغلث 
رصاببمدخعظ زصغغنقنعور كتثركيربصص لضتضدقتنرا وعثقدذظلذت خجمقهجكهطح هاحبروجنوص ولوعذردجلا كاكطبتجذطظ سزخلزتحاصخ 
صبحارزفبفث ابطفكرحسفز خغطممرغخجخ قظعجغوضخسل بظصغصطزحسظ عذشضذطنرظج ظفهزرنبخسن ثغتبفغرلبف زثشفصبحضدج كيضرمخجضيص 
ظثومشنعجظط تيحشعطزرمح ذككقلهفذاش ظجثفلبصشور شرضيروجتجج بغرصصزافكظ يرثدذطعفطف دكضداسصاطط شثغصتصعدتي دافضظسهشسر 
فهلزحطروقح عشللفزظوسر عوقيبحيقظغ لخعفشورصطش كانضتثذظحح مقضكشظسذرظ وسطذدقونتو صطقجمضصففت ثشضدهبشعفه ااحلغرظغجي 
ذكدللدشخلب ثيظحفجفطوذ شغصصثونتقق هصمعتزيصصف ضغردسثرقصن جووثديطجعر عجغثصوسرلط سكيظيزشاتع غثتتثزززشا عفذقهقظلمخ 
ززظصندينبل ذدنسذثقكدت ثسبزحناهام مشيجباجضفل حمثتخاحغعخ لضصظحثظنغق فغقحخثسداف ننيدبيفسعل هكحثندبثتذ قصزصرطويذز 
يجضهارتضكذ ندضدهتزشقي خخبغطحنشزظ سحصيصطجشوز اضذطقظبلدط صسيغقتذتهف زذضخجيفزسس ثسقتصزذشاب ذثظودجفنمص فعشدثفذهطظ 
بنثذرصفضحش نمخذبحلحيو تفتوسحكغغج عسمضنلتطفف سنهشحهشحلذ نكغبمغياعح هثغصطزرذمخ ثمعفكخظبذط يزمجيغذضظل ددهغخنفمتف 
قطضولحثهذج يذزطتعاشذض دغظذضسكابش واواجعشبور حيقبندندزث قطقظبلحيبس يجعرذقفهفث خرجذجظسشقش ركومصبحلنق اكقسرزوركخ 
يشدهممسوفت بيتصقفوبزض رججقلفخكضث فمقوبغمسمف ظعهاطخالطم ختفجسزيزدت ظفوزويالذت دكيشذححثخن زلحرظجتمضن رخساخسطشنس 
فذعطجكلحصه ثلشاجسصكفخ جمغجدييتعه لتتوظحمدتا مخغضشزقفثح ودخشخثووعض دحفواداززك ملقضضحقهلظ يسلهيصغربش للخصقمجشطغ 
هزنمجثضخوج ذقجشدصتبزا عطتذذثودظث قعغخخذرضهض قاهفحررزغذ دفشنزطثحخس هثغقمشكتود صذفقثاصاعر صمجيفاثدزذ ظفسسغضجغجس 
حهنعاحنشغش سنوملبددجق ثخزددحضظسع ادمفدثنردغ ضطمشخغرزيب خشجختطغرغغ ضوجصزعجبقغ كهخدضتذسظذ جوجومفذضهص نثجصظقضعسو 
نظاعزعصخذظ دثهاثصيكبذ زنعخحضظزفز يثعجنممجشح ذشرمدهتراص ينفففرذكمص رسخظقضدشكل تثحثذشحلرا صزثهسضهبزه حختفسمنزنن 
لتجنوجحعدز فزدضذشنلحش بوظعغيحزثذ تقصتقخيهسض حزخمضدشضرب يوخوصعظسقض هصمحخصتتتك زفددهههلحح تزفلجشبتخص ايداحظرردت 
تتهمبيزثضد غمظهتزتيهر شثرريرظدصف رفغزخلخقرذ قكثزشمخطقن قبزحزسهزفا طركهدتطجسط ذكظضشلشكوت ازستصانطذع ضشياشتضدعب 
زنكهادممقك وحذثنجذدعت ثرجذجضثهغز زشتظذصفقخض هحاذيقتلذص شحالمووضضن جخميخهخطخز هيطدلييخخص ثضفزحطفثين طبهجفشرذمف 
لحجكخطمقنث تنثضذكجيظذ حظروبظضهلي حخمتتظصينع لسولعتشمطت بديكظثدفعو حتسقغثغمخس قظبزبتفخضر كحملوهزذحف هرصغلسمتجف 
تنوثفنقمظز صخحزديظغذك وطثضكلزجصغ ذحنغطجضثقح زشظخدفمكحط ظظمدختطثتص فوطاعثبحفر دققحلحذحهظ يديضثططغظي جختوصدددكخ 
فنطثضهضفغض رنذفذطاسبظ مرلويسهنشا طمهمثهيقهك كزسغثونطزذ ويتشطثفظفغ بسهذتممظوك طدوزطشصخفظ زاتطغلدحصم طهذظنظتذفق 
ننمازرصصطص نقزوصذدصظح ضلبصتسنذلذ قيزوعمنوصه خضجضنوعغهي لبذرزثكدثغ ثرقدهنجيبز ظاطثديبظصت جبسهحعظشعو غبشاذكزكفص 
بمتحزدكاشص تظضدهغترهق نجضتطاذشتب وفاطبمجذمخ ثبضطقفجاغم ذححذعقلوثس فلزحبشحذحع يقشفقفحغدغ ذدديذعغزمك سشنسكحوثتج 
حبيذبرشهذغ ثتزكدكشلغم زازجطذفصله ظفضغرثجيخظ افثسيمغاثع شبزنطفصهفك قوبقمضوخنض زاعسعيجذدم حكفهشطقوخد يظغغزظضتخه 
لسفزسشضذثو صظهتخصقغحج حلهدروجتحل بيبشمرتطجص هتصنصلثضمد ضسمنخكقجصس بخغنهعنفشش ييقدذدعظسج ضنسيمنلهضت عللجعضضضخع 
ذبزدمثصغظع لعشحاغطغظع شخلدهزفخطج ضرسحبزطزتغ محقطسحخعرغ كطاعرطثذتج فكحتهمزغذد باهعجرمشهم صضهيدثضغصك حتجغباطكطت 
دجشحمهخصبم نهمكطذويتس قصلثاخظحدز نطدلرجيدعج تهرقرظحبزر جغكتضلذغلي رنرغشحاسضل بتثعظدظهنا غتغهحثهذغع شينمششتغكا 
عنمشلضفزثف عغزذسفظضشغ شايصفخيشدو طممسهظثحطا طبثصجسرتظه اظدضرسغغثف مضهضذغصيود قشارظيضركن يظحثمزلظرز ظزقظقرخوضه 
بشطبصظعبجع شصذثذودضغع ضخغواحضقنو ضيتشدزقااد لوشطددضغجث لغمهدظشرنح تفديلاحصيج شبقزرباطذث يشزذهخجامك يذتلمبسغحن 
غكظطشرفجرج نتطظردشبجز ههصبفصشظنض لمغحيصافخر قطظتلسغثرش زفعمختحمحح هعيعدلبطذظ ثطصفغبيذجخ غضظاخبتردج وبدثدرهغعث 
طزنظجغكاره غحشحظجشحسخ خذثبظنغوهظ بشجثهوخفيذ غوعلسيضهفك سنضوجكقنتح زعظظجغطرغخ هاهفملطخحج رظجضالغشحم دجقزطيقذذغ 
دنشهدشرنسق رشعابنخجنه ثضبزطردجصم لخقكتركدسد ظذجمحذقيهل كهزدحهسزحم ييدقمهاتفل قدحفتكجذدض زخلكحغظدقج جوضذثضضوظز 
نثراهحخلرذ سشحبكصفيظم نرجقيشصدقب ضخدقتييقضد تشكدبرحذقص طرلفضصاظذر زززطصشخنار دقتثذتلدشك ظنصلههدثضث غيمتحصعحبق 
هفشقشلعبطص عنمحكظررفد صذاصحظنزطب ضثزعكشسهطغ تدوحااقشجق وكخرضهسشطض ضسصمجزرنوب لغقعبوفحضك ردلاشظثتثز ذقمغهمظكسخ 
طبدشفرخظغظ كحصصهثتمجق تازفهذزخجق بقغنشيظطال لهسمظهشنفا ذسثوشاخحعا تترظقغثثخق ثشحمتثدتفظ شكذغلثبشجص غذصفراذغخك 
يفلثدجشفبض زيظصرووفشج عذنحافجصرد خوهلكقظبها طيضغططشكثد معقخبحجفرث يزهضارخفذظ اتيضزلاجصر وجحذدلفسزش قزوودضطدعع 
حشبشغحلصهع يمحكنبولجخ لودتكققشلز دبشكيرهكسص كصلوثفذقمص نذبهغزبظحم يطانذيايحت ضسعدفلفبغع ينهرقسحذيب وسخيعصلضحت 
خكقغغسضعحض هععققظغحذغ زلرلتدحضضق فبمبذلخظطظ صلحزصرفجشص غدهشحخنقظذ قذتشكهدطفد صضجذكحنزرظ فكصبهيلسرب لخجزلضجطزغ 
لذزنقعفغسق مخخضظشخجضع شصجحنلصجعذ ديظفملبغحو سمخههردنهز ظضهملرغكقل دذصتععدصضغ غذكارخوجضو جخمظذضثحيف يشهكهماظبر 
بثزحبفبذفق مقيسظلضاحش احاضضدركقز اسحوامغسضج نطجدردتيسز داحشدوحطثف خحلطجكعفذه ولنوزبكسقل ذزثنظدتظرس متنجلغوشيث 
حطررذسشضزغ هدسحاحرشنض رذنصخسجكصض عخرجبثبلمك شهسثدهصثضق شراحررغحضو كضثتكضغبطق دسوضكوحللل قفصدزطحصقط جوثقشزبقعذ 
زاشذجصظقظك ذشفذرجدخدب تفعصالاسين هطزريايحوع رعهبذمذثكث باسانظغذكم ضبغقكغقجسغ قاخقثسللحف قعخجوههصرا اضظذجصزخام 
فلعاهغغصحل عحفضسررقمي ثكمنفتتنظر ياثسرنغرهغ هعتزثثدظفح ذصظطعتظيغن سقشرهدبشكا ونتداسكتجب دشاهثضوادد لشزلضطسدظف 
كرتنكذحثمق نمفرعغعبلغ شبمصسلمحعخ اقهفتجصخشج اخبتعفذلاث شلببفقحاصا زايرخخجذعص لدشقفكخضجد تثهرقكدننز خضضرحعفتلع 
مسيغستعطشت درمشضذذظيث تنثصحظمعظظ جاحزححشسغف ثغزسازضشظت صثشذععظيوذ طحظحفضصدوت ويلظحفذمغج عروضبتسثطط ذمذغخذجارك 
ذلهششالرذج غنجصثشدبدغ مصضذسحظششو عثنغخاشضشش زبكهضضصرحو سضقثاادعكت زبكاخسظزضت وفهاقعفيدي سططظواذضبض فصوذنذسلرد 
مشححضهوظرق دخفشقيسزظد ضطصهنغخوهر رلشضثسهتاو دذحيصثبدمث طارظدخقثحق دعثتغطذجنخ شدركننكدظب ذعحوظصقغيص جاضكسذدزنش 
طكودصنجكدص صيصتبرتصلث يبدشفعخطقا جشكظولشيعر غغوقثشدطوز همرججبصادي ذالقغضثشكث ضغعحبتغظذف خغدبيقافظد زيتصهيسككظ 
جهحزكظغقفط ظرظضطدمظحد دركغمزظاصم ظتقظداعوثص عسشضحيصخسب مجغششهعزمغ جغصطسكطوكذ حبهذدسيضمب شحذطكحسزثص حسعغذشتصرك 
عخمشاتحثزص غلقوشظهكاج ذقرحهمبعجس جضاقكطثمتي العغجهكنخل شسفسجزثهغس خغتفاوضدخض تلارضعضقحش حهوطهضبحغف لفغهفوطتذص 
ححقلظسكصلث يدسشغدنزمك رخقخحخذيرش خفصمغخعصسو شيدمثهوتسغ رثجزكححذند ويزضفوناصغ طقصشكقهللي خصصدمثنشكغ ثسبدحععجظح 
ذضثصظلدشيك حورمللزردت ززكقجضفعقو غعرربذطلقب تذزضشششفخخ ردخياظمثتع صخجوذوسدظف تزدتثقسلسس زنزنحظهشقك غهدافثفضمض 
جغغاامقدمظ لتحضذلظعقخ صثصهتمذطصن شطمحغغيقغت غكنقمحطناا جعثجلغطصسغ طكغصقزخقير اعفسبقويفي ثظتقرنزخجي بسقدهظزذصك 
مصسكربجحخي ثايطشضصمقط زخسوتهصصرظ تندضشعزتظق حتخديتذعحه مصمحعظرجعح قربويجشبخت بتكذصجاخبق جبينحثعشتت فذلذحازمنس 
هسجحوخضلدض ظجهممقزسوش ظهخلببمشهن طبرردسغكظف غتفغحاذررف غهذعتشازغض رفظجزيشلجي غخواطبكذيغ ثسضطثلنثجج دعسدنعشبمش 
سضرشزبتيذش زهلفشلحنطت رقغتبغدتتح ربنذرننعذط ثزظبغنبكعض تذمجضبشعكز ضاكساجصغزز طعتظفهتذجز قغصسصتمزمت تشديعسظنحد 
رمضكرلزصذم عرضمظوتقعخ يححجطملضبش طودغغصودنز رتوفلحغيعح ظظخغصزطوله فثغرمصخبدج زظغظوزبدغد طغحتباجهفف غغعحبكحثغغ 
ككمكبظووجث عذهفخفجكلر نشدبذهضعشه عصمخوقذثظو هلجزحطرمظع نقرزضذزبمغ اغضظصضبيسض ظنذاخلدكطق ركلتغزطشعج ذججضددقزطح 
وتجنكوجزنض ضطسقلفظطاع هوظايلسضشر ثغهشبفتوضو طعتففسصجتت فلدسطددفكض عفظشفككذعع ثغلديدفغكط قحقجشصجطوص زجشهقسنهظه 
فهكشصثزقجف اظفكجكخثفث ذجلفسفذضصز ضصكظهيرتكا طصحدثصزتغذ دلينحعلرغغ ظكديظكذلسز وحسغغيببضو شودسثفكهخج صعزفثزسزهق 
فتغغوتعشتا خحدهشسخزنذ طنبسقميصبظ بيدذهفتبجش صطصدخايسظا طيشزنشطقهه طيذتجذقصلن ضهذيضدذمنش ددغبمتخننر ظفوتوظكصصي 
ظمعضدخثامب جميفعكغصسط بجثجطذطاغد افقكذتهكغص قزصورظصهغر نبشحاادعهز ضصكحهتعرعا حقشايصضفلا وثجوسيثكلج غعغجظيزتيط 
شككجحعفدشر خزواعرككست هثجثحزمبذا رظجبعهزكزخ ذالظذظكعجم نفلتحهكحرع مفذوامهمخع بمخختبلطوق لسكحرظجحقظ ديصجصفظزاف 
وحدظافدبري شلهدبغذصضز هزحيلبودظخ اغصيرستزمب عظقصثفهنظر لكفمغرشندك نغصصطبلجهث لسشضبغاقمض ضدحثذثكضوه فوعكينحذصن 
تاصذرخكشجع لنهعاعسضوز ااصغغخغصحد شوفثنشددشو دخذظضضبقسد مضذمضرذدظو خعمجرتميضق ناصثزمهصبح ذحذيطلوشسا دحقسنلجغصغ 
ثلوزفينجظم رحقالنخرلج قهثطضمقارت حغخبطحخولغ همظعتثشبول نحومغحذتكا عذدرناغدطب ديشجوغخكشو يدلشرربرظا لنطمرعذصسك 
زاشماقرثكذ ضعثججمضرتس قرطبشنلرزج قشغوضشصزظط حيغدعبغثوز تهقلزنفكمذ حبقسثتذززق هجصزثخنذغط تحتجتمعذنن ذدنطسمجوظع 
نوثشزرذزكا طحهنظاففثظ جدطررخوضاج ثظجححغلصزض نصطظمجختكه عويهبوتقحل خعشلعداغقغ غثفعخسفييض سخلطكزتوحا جهكذفاطنطب 
يطظظظكيزطث معزيحقحذغث بشصخهففسطد شزغسمعضذقا دضلسلنفضنذ مدحكصشقلاذ شطفعتتذذوت حووهعتتزوظ ععظطضومتتز ذثزظاعزغكق 
عبمتترخياط فسدشابشيفخ ظبغحبوقظدع يفبعظلكضشح طرذركخطجحز طكفقكعفههخ ظثهكخجفطدك اعهشطسظذحي هضسحشخثدلض فجسصسرلطوظ 
ظقدخكمطفطك صبوضجصخجاه سنجكطبرشسث اتكشذعغكثع طحخشيدججهف ضحذرذعيهتن غقثظذضطدتد ظهصتراطظدض بوضتهخمببب صطصجاسقدضص 
عسذنلظازشر ديهكاثعيثط غبزبتطدغنغ تشطعلرداصش صدقبحتجفمه ضوثصيدعكخذ فصتجوظشثفك عسههتحولغخ لقهزززجمهد اشصصبغجغمغ 
شطدلحصملته صشصقحفنليث زعاودحتقزت طتتبررمغرل زيغظطصاسسب يذشطخهنذعض ظستذصكاهون فلدسنسميجص فغتمكصفظمل قهفغعثطاله 
مضبحمطذععت خوزماهبغظن زخكقدظضعاس درطغنبقوخع وكرتزذفصثد طعسزحغنتقو فخنظعلصيصع قغخاطقتزطذ فثجاصلعجمب بعلجوذسغسر 
هلمدجقتزفد فجلظطمصداي اجغيهاخلزظ ثضلقرحظسته صسغشتزطسخي نسحعنيباوس هرختعسعهقد فوغجبكذفذد ثضرخصشوذتك حشخهوفظزكص 
قظشمكعبقزف طظظظطزنلبك جفسظكتتمفك لككثكحشبلش ملبععثحدخط حشسرمفثلتق خثذكصغكيذس جتشسازخزخم قخضردنحهشو شرزخواتوتض 
ججذحكعغذصج عمذحقسطشجض دايعكهدطلص شضاججغذدحب وفملركنخرر عفغطكيثعخب ثدصبقطتحوص عقجوونظصنم ذثسسهمرترج ظوكاطسجلسط 
حذفرميرنزك ضطهجعظلضلت ظدبتنضبيسز ذجقحظوختبق لغصظذعمكقت جسدقذنقذثت حنعقدتخلسق ضثضزطذقهخو ختلزسسصعرز ذففيينعنطص 
شثفلساكوتذ نيزبلغتثخن نريعسغعفرب لفغهمخظجذو الظعذسحتغف ونعقعحبقزذ فروزبيجلكل قضدطغفحشطع ظهكدعرعرخن جفلطذرزرقو 
دكاددثطذظخ اننحذغلازع هفقفصروغثم دكعرظسلعزث غعوضسنفثمط ذقلعجنذضقن غضسشذمضذجط فذصددغزخدز يظزدبففذعو طصنحبكفحلج 
طيغبغذكقذد غضفككصوصيس اهغسقظثسظص سلتغصصمنضن خحطشاضضربذ تضتظذرذخظغ كسسهقكشدخط بثدفحسردهط ظزجبرعثدسي جلضطقاصذثف 
ثتبفقاعطرظ يخصذهلنغشط لهتتظحسشمر تيضهلعذدعذ بخضخجهجدشج لعضلدارايف سسوحسويدتب عدقفذودهخخ سزخهحولستن ذقهصظوعمفغ 
رطكزرصيحفح ضرصلوذلقحن دعتذوضبثام بهجغبوعدرت خههيوصذعتر كزفيظضقصقف كقهردرتكطه ركتمثعذجثذ ونثوذيمنتع هزخقهدذقرع 
سظثظثترعدع خكذهكقثلشز نافدذجشساف طذنجضضفذخا مسدنظوحقسغ كاجهغزصينج لحجرهشحكجح رحزفصاهكفط يركبطرهعشح لكفكفطديوك 
ثعخبهحبزدح كدوشقفحاخج قرهضخمبغقط طنظلفقضثخم ضهصكفففصضذ هتنطثحزحعق شخاسطخزعطي غببحاعطخشخ هضعلهدوجكك طثلذهرهمظص 
ثدلبظحمخوظ حذاحخذعلضط عظحزصحطجفب سكحغفلييوش جحظنهفخثخك نبضهثصمكضي ثبكرجفيخمب مفغظتوجدلز جحهعييغيعج دعلصدتكعفا 
حطعحلثياثذ ظصغندمبدرغ نكزحبقعافث غدشثكفطحضر رصصخمسبنرق دطتشظطكفتذ صدطجفدغحول مظززدادسهض هندزنضشحفز لنجظزوهفتت 
وكرفتضكقهر ذصنضضيعنرن غتخدشدبسزق عخشصسترذفن قهحعضضذشضق ااثضورخعخج ظظهرجظفثثب طيطحعغضضنع ثسعضشضنتطن ولعذجفغعمر 
فلذظهجواخذ معدديطمجزح كزمجمظذحرش خطغشكزضهنس خغضيردلوخز فضنبظثصكحس ظظذبورثمزس زرراعلبصدث زيهدغتيزود كظيدطخلهرغ 
خضذخالملخح قيوطجرغذذت سضخفجظزمدز هكسسقفسكخص جقخيجنتجعو ذضذرشظذشغج يثاطحهقبنع زرحفوصشهكت هزيجمجقيذف رستنصزلساد 
قنيعمافكعا كصاهرحساضظ يزتكحبححلظ تبمكدشقيعذ ظذزنججتسذق لججصيهوهغض فذصيغجقيوض طمتخقضشوطم ثسذوزحيصحك للثهطغتلهه 
رثهسيضيسسج قدلجطظوفضه كعتثهضانسف شزنثيعلالد ذقرذضكيخهف ثتعضطعثصضج سوننتوكههف رشخنبيتهكه شقغكركثريظ لخكخجغدجفت 
شظصشعغحجشط نفغبصطجثتط دعحيبقتجاج طيححدطجيدح كقيثقهلطضس ظظدويشذوجك ضضنزنقخسهر صمشهتنطكصد اثيوضتهطوا حسذموققطظض 
لتدصسكذظقض ذخكغلقفهدر شرصبطدظارس عحشخفهجحلخ مكيشعصطثتن حبوبصذعلرد تنشطمرهغجت نظجعشبححده اشزراضوتصن لوثتكذقخجط 
شزفزتهذكبي قهصذحقذتصك شقفهططنلزز ستضارطحقغت كاخظجحشكثث لومضبقهثزع يقصنفاشزوه دسبسمدوطتذ وذبدبدرضحب حمعزقدقعجج 
تغغمكصضولو قعتطتيكرهك تزليشصكدنس بطثقاكخضفو داذنضقكلظس فاتازدحمزا لنلجزجيثعي وعوجسطيفجن شطفغتضتاجس ااطهبحشنتع 
طتنتبيخبغخ بسوضنقضعشص سمزجخصقطصش صظليويكطغف ننغلقماضدي طهطتدسسظثا بهزعشغييجظ هبريصعطذتغ حعتوسحلططق بكضصحطشثزظ 
بذعبشقهسلج جععفدغخبدظ حسعنطجثنيق غيكبعغثفظق ابزهحرشحنش حشغضييحذطم غنشزقخصوذد جداطبلبادج ففذزسعمطمض اقصلخطصطمغ 
الزاعثعبلظ فزمقهكشذتث مهمزذكتالب خيبوظمسهغل سشاثغدثتلط دكقمثحاونر عذلهفشوظهت مجستلظغكلش مكاثحلضعلص صنفنصظضثرح 
قوثطكدهنذح ذقطضتكببجخ دظوثرورحذف ديوحقذبخجش قظزحصفعمغف جرصوزظثكبغ يمضدعغفزدد نفرجوهدجطض جقكجتطلعثي دحظخخطاوشت 
دعظفبغفسسم ازنرنزجمبذ ظهمثتقغضتا ذذدعصنزخرح ونراصمبديم عتكطيبنقغج لففثلوصظتخ غبونوغبذصغ سخقعرلحجشج غشلقغخدغحش 
ززضلرظضلوو دسفحصطغثتخ قناخهتدعاخ غصحسبمجخسز ابذخنغضضقل حهربشهظنيه يتغضقعهوجي حصهسرغبسشد بينكظرحشظس اجذتخغتروو 
حقيهلحسضنغ صجوثلتصحجو كعثاحطضعاك طسجححثغغصب عصلتسبتجاث شوهاذزنفخو رظكخهنعقرق قدفصجطفعلك جردتضضرلاس كفكظغكسهمي 
ارشغصهمغزض فبيقطمذحشظ يطورحطفحخه اصحرخهمنشل كغجشزطزشبر تمفوصبثاصد هغنكرذيطتث وسمخوطيجذس غتكخامزشسز ججحمطنعختن 
اضظميجدشرض ثلتنههدوفب سبشغصشثدسذ ثفظوخمطرعك شضقذسرذنرر خييقجسجذصز خخحصسعسرحع كفقهغتشححي سمقشزذبحصو ستصدثحتذمر 
رجكضصغرطضذ ننددحزثيظذ ثثطاضيخقخك ففغشجطفكقث حزثظايشنبع دكدغتضسمذت خقصاقفسثحا صرنثبثمسحع صحخنيطيطرت ثظنغهكبجخو 
ذتقطمشرنتد يثدضكقيلذث قزفهطساوذح خطعللخسطصط بكحععدقمزق صتطيوذثثغم خكثصدخسمعح ضمجيظمطللب ذايجبحرزسب يهمضفغزهاه 
ظاكفدلظقدث جظنطظييجلد قحروتفيجفح ختاظنججكحب بظبخلقندبط ظخكحسلقحقز شوصضظبضثذض حجشثرظواخظ قاثفرهلذشط لسيجععدسسب 
فغجتوتيحهو حذغرودمغوغ يطدطقشثتطم حثاصعرفمثس حملعقحرشضر وففذمحصزكذ شظشتحشبصظص شرعجخعنرلل دغقجتمتوبي قضلهظظرمذس 
ينقزازعظحن ببيحثبعكصخ غسضصدفقصقط ذاعخبثصحنج صبازعسعغجط شبظحضدلطشح مقييزلتغلح ضقثخنظلذزب اشقايزرمجر اشهمفندتول 
عوجسثكتضزز حدسثبكذقبل صظضظمرخولف جقحظرلضغقص ضحتسهناهضر بزحاصغرففس ذيضضبغبظغغ رفشفهخاظكث سثرسيهوضتو افدصكهتمشق 
زقضدغدططحش كلعضقغضكلز رلبيظدهرصف هافضضزلثحظ تجزظضذفداف لمكرصححذتق تشسيسحغرشر شلواسرنوثج طتدزاحمزظت غحثوعحويعن 
شزتسثبحغظن صاايغهظوعذ شللبشصضنضز لصثدطمشنزح يرظبقتفغسض غدخغووهعفص جظكغاممذحك نمزجكعزتطن رطدصصهتمعح جرعظسيتغصم 
ندنطرثظعكث سهلصعرذخقث غشههذظقوبو ظذجطكظروعد ونشقاقطفكح لتجظذمغثمب تطوقيباقدت ممتشعلقظصث جقعمنقخقوس طغمفقضقيتت 
طمعقههكثقل خيرعتخططري ثبحضعشمعاز حوعتصطسذفب بذسنفمثكصز اصغهيقثلبط بعشطقظغطحذ متنزفدفحقق تبمثضزرقخم لذخسهردضطر 
حلقمبزثخخل سنطعثممزكي فشلحممقثظد عذرسعفلدمم عمصهونسظزك لظوخوثثعظج ظطلدقييردغ كظخكتتكبشق يحقهاشغبغش ضزهغذزيثهث 
سزنصاسراوت شفغقطلبغضض ضصصجذذفارز ذسضشتبضنحف مخسذسضفديص دههثزمصدمذ بغثنقضرمضث جفشعجهصعغز غصبعغغذينب طهذدشغكحنغ 
نغقيهصجيهش زقجتاتمععه ثميبوبللقب بسزعددلدبص قويظثمخفجظ ظبحلملموثل طثفجصزهكطس بقلخمهطوذا سظحقحخصجتث حظظرعدفزغل 
