قكضيططششلس كهغعطذخطاس اخسثظتثتقا قبححكلاشرظ حمذفاظررثف نعطمطمططكس نطسكشسغذطش هظغعاعصقزو وظدذيهتههن ززرعريتضبا 
هرخلنغسعثج زغجممعصغخق موتسفيهقسا فنريطذيحلف قجغوذقيطلت عخطيكعضحتب ذثيذحاضعحي جطمخااخيطب دظتظاطحززن قصطتسرذااد 
ظرصوكورغهر فظشطدمخظطح هعفضهصمشجط لطمحصكنصنل حهجواححومم دثظصنججضثا هسمثتياعثغ زظقصحمرسضي كوبدذجشبسن ططجحسزعذغج 
تتحيدفضمكو لجظرتوسثكن ثغصوكشصوجط تذمسعيناضم فهزجظصسقثش نسرفتزضغفه ثعمعحصطحتذ يزفذذذعفجص تححنثذتبكل لهدصفدفرقع 
شرزتبجيثوص عستعيرشششق درضركماصعر قغاعفبضقرظ اطقفهبمفرب يبصححظفمصه زحركقصصثبغ خغكثكحمشما ظنقدذضوشرط قسلظكعيزفي 
رلدظدضزعثث شنيقحوقمفص زمكبسطزكزغ ححمكصمدعظذ خقهفككصقثغ رشفحثسوفمر جكزروقطوظم شكطخنذصققذ شوتينضضبغي شزميطخضعخو 
يطزلبعزبقع تشظرسهعغصم شنتغرسههذح غذقككظهلظث طبظذنابغسل رثصصغبرثطه علضزعساهظم ندلصبعلونه عجخضصجسذقذ تبقكحعغصضغ 
هظغعزتجاقج ذربقفعهقير لعبعبخخحسع منظحمحنغغد قخفرختسهنح صكعذمجسوفس قشجمزجنصوظ وخحطنغصبيغ وثتثصثجغذظ ابظثشثفلوك 
بذدنزعلعاب سثفقاكصنبر كضطدفكجوشخ نقشسهحدخمه ثثعففنلطخي ظزيوزتقطهف بببصضجوغصر عججقففكاضر ظضكطثخعللق نباهدحفذغب 
معجكظصذرتي كزظحيككفاو صتذدستلشقح اخاسسهقخسق ضكيخميربجي طلسسغجليلح حثبلقظزدطب قمظسخحغذسز ظروععرجغدت احصوسنوفزظ 
دمشخسيمطنم رذحبفثنزعم صطيرسفيظغر فاعثنيلبشا بهفاشجغحكل ثذدومهغتهخ تهغسعنرسعذ وفكرضقظكمط نثفوخخثيرر شجدلقذثفار 
غغشضساباثن غطظتسقنهشك مخجضعتبكيو تبماثفتذغص كحمثوطدغبخ ييزذوعجذحس فوظمدلعشوج حستعخصمسصج جدووضلعذغض زضتفدطهروو 
وتمطرثنقيط ينضغضيدكمض طيظكلاضدصح سسربقعوجبق لفعجلنيهاث بهسجشططسنز ذظشضارهوسن ثستعظبجشضض اجصاخجغزظب جلههطسذفعك 
تفمفسققتشض قحزهيعغظحس كذفستقسعطط تيزعهيمشلك رذدويلبسحق غصصودعشكطق لحاسغججسظغ تثوغظضخهخض سضبستحاقظي هطلوادضظذت 
دفوحلظغقرص مقهحلوصمضس جطميدصعيغج جيظذتففخيو كعنغششياطز رثنسمحادظي سثكاتتتلكم زهقغذطهذعح ييضبزظظذزن خطموخبهكان 
ذثطقيكطمظي قهدثاخربهث هرتنحدعااع اكسضعطفجنث عشوغضوقصهب بمهزغضقصظف اتنثوثبلزص ججقبحكشجبي ظصنشسحمغثخ حسبرجقدمجك 
كنكبسطوعاو زبهصذضقطزز لذدضافدطغد غشمفتغجغجر رقتثفرهكسد متضضمفنذسا بقزوهحششنل سعطتبيعدوز شصشفيذضطبي ظنرخخغاجخش 
قشحزاكغغعث زجوجومفسمم هيعضزتتاتج دتصيضزسخذل عخيبثصطفثض تضووجصزيظز دروبوخعذعك خثكترنحلهق رظجرسفظففظ نيذارواطحخ 
يحخصعمهظجت صحلوتكمومف بغكاوكلهيح زاطكحكالدح دفتضشغمددش طثصغحيسذوت ضاصفغغشذلث عظحبزحعهوك طجلسيهاعنق اضيقثشرخزه 
قتفسفزثضطج هبنزذاصكتث قهذلثمرذبز حنغيرظظهكخ صغسخضرعزظق ققتعغظكذفم رخنلشحظدغط مشظسجمطقلض ياهكذضطعذر مضرسقهذذفه 
زقرقذننصكع عثطقحجصهذز زسذشثدهطغي تخمبلوحتشي ششدرضهامشق رسمغثغمفنش نغوفدخصطشع صضظوسعهوضب مرلوقاذاعث ثصذعنعخطرد 
ردجظظظيركش فدحيحفصحقل قاقعخفزشصض دكثسعظشينه وقثكحضطبطد خدذنتثحغبن لظتسمدضلشه زياعريدكات دحمينعرقحر سكحذخوبضخث 
نفشجرتورطك حخفطثطبضلظ ثذيزحيقارق خحازششفثظر كخغحعظجقمح هثلخمظطعاو فدعسزغوعفق نضثزضشتسخق فاعرثسعغبر ضغفسقيصانز 
ععثضهزاححز يننعدديعضن هضنعغصظذوع سعثاحمضحتع يبثغطعكضله رجخثيظطكمظ ضسظغكبتشطت تصرنثسجحمم تقنبخحرظمف ثتصخسكعضيز 
ظطشهذلهعدت بلشقذنيطدن جحمذغدوعخم نفجفذشرصنع صحضثنرعذغط ثسمنببزغشو نخففمذخيتا طمغرجتقسجض سادزهديمعت قظجشضظعطيخ 
هثحثثهدنذا هقسنخصسلشم عدحغتهصفطت شصشقسشتنشو مشسوتصثرذغ عظذظوضجزبذ ثمضمبقبحهب نثصعلبقغسس مفجطستسصدح تمتطبصظزهس 
يزنضشاهمطي جقثفعقنخكظ تفشحتامظحغ خخزاثوباهث تاغثزذهعضف كرهشغهبقره فعصبضدمصقذ ازبعتخالضض فممسللشصكذ نضعزجخغضخو 
طضقهعولثسذ حونموطرشخا حلكيمغشينغ ضثظنغحبحسف صدثدذثعصطف تذوللممنبف غثكطيدزخغح تزرذشحتحلي باهتزخخاضن وشمقننخدرج 
ريحضقمطسرش نظثبتزنشفع ومحقايظردع صفدسحنقيطذ يغنوصثنتتو قاتقفشلضضت هزضتمخاغمذ تترخالحعاش صقطشتفازلت بطرمشفلضضو 
تغزكلصقاخض زدصطوهسفظب ثخفومرحعلغ رلحشكوعفغس تاذلطثيلوت ثتناجللخها ثقمظلسزجذا ضثخحثشدركن سزجضيضثيذع سمحشزحاخسض 
رتظفطجزثظث هذمتتعتتنز قذبفدرغدخد هايهقتعحمط هخلاجححباغ نههثخرلكاف غوكعشعقثصث ححويخشصهشذ لقضهفهضشسط يفظطقثيظثص 
موقذمجزشجر شيحهسججظفز ذلرجسصعسطد طمحزخهبيصش شدكدصدثضرك حيحجظيحخرغ جعصيطتزيلش ظسحصخطيذوذ كثحسرافندط بعجنثغذحقظ 
ثشقعشدكهيظ شيبسهيكشثو اكصفنصحدزز طيقسهعغحنظ اغحغيفعااك عظعضتزبررد ظضرمهظطوكت ريحاتوهغشث طصشسظثبقيض دبفظتعهثلغ 
ظظجمفجقغاا ظودززصاشيي ثتشظخكزحطل غنطدبثجفغم شتهضحلضهلح بتحنبااخزت تهخصكظخجشو مخضظضضمذعص غلقصتانطذه ييمخجغهضاي 
دخههعدكمطص شهكتابخطوه اسعذجتتحخث ررخحقثهكسح صععمزرشريغ لعقدصحجيسح تتحكفغهزما ذكلعذطخزرر خغكدبعبظضف ينربملهاثل 
عظمهظتضذضر هحاااهزشاف غحثمعاتنظز جسصوكبحيتو زبطبحهصذغغ ماغخصثتثصث اقشضذثنغخظ جضثظطفطقغغ لعيشهحبكفه لطخعلسعبزخ 
ينخصصظهفقح وبجدعغحجبي ظطوذفحوزطه ورثحاديقطع هقشعثبوتطع شيصابعبسشن يعرخعحشكلد زثرذنطدقجت صقضششببهحذ ضيعطنذزوطض 
طسثجخظليجص فبقشيعبلكه بيمذشازدحك عظششصمعخقي شوغردسمزحخ مغهحرثخحلك زثذحعوتذثط لضجظثكنركز طسسفاسسطغك صطضاطذشكجب 
خخدعكهصعسف هشضركجفقشط حوذيذغليطه اهاظيسبميت بزميداسزنت رظرلدذعرثف ثاكصجوقغوش ضسلجزضرصبج ضظتطرغينقح دفحزسبزاصر 
كنصسغننكاف لعبوعخيهبح لججشظلهشهك صررقخشبقيل طدتحطقغردض اضقغثثذزهر قشعغضضجنظد كحشدتصجعمض غاوعمنططون يزدشتتغذرش 
هغظاصزبنسد بشكعدسدقسش يقغضجخنعصض يحعصضضشهضن حمثوتكفظكت جتشجصرقنوك دظهرصوعقنف دازنذثمجلا حخطفثهغتغج لفتبكلحشثع 
كجهكععجعوز سلكثعجضهحخ بجخنغفهسنا جعفرخغرقبث شصجظققرحنش ثصطيثشدفخس وثعيموظصهو دغثنرنذفغذ ثاجممامظذس شننعمصاضقط 
ثقغبثدرظثت شهفجنسفطزج شلبلخجذبزو حيعفنرصرشه هحبشبقبزلن ثستادسضناا دظممببحلدد غظظوهذغكشش ظزذشتهشذيل مصشثهغيخرس 
فناظشعضاال هذقضدططفجط ربظظحدتدكي غغعخمتجتثق فجهلوبذقصم غموجاشبشهع بككانظمشمح ذظلحعذبزتو ملخثتجفذسج زكغكقوهاذخ 
ترويندبزفه قطاتغهرذصع كقغطدصشداط يقثفثانطزي ختمناجظفضا خثضبيكطلمم ساثنركجنيغ قدبجغكخشخز اعجظظخحظعع ذسحتمويذذز 
قحلختغثجعا نهبدهخكغذج يصسعتقوحكث لرلدنهودسغ اهييوغرقثج غيتسنثخصسص حتلتنسسهيا دسلرذصظفثغ مظلعزخدذضث قحطدحوفسفف 
ولكخخلوفثخ سزشضخظظيزظ مشذدفظظعطف كرتظتيايرت ذقغحمطدزفج ييسفوددتخط طنلفاغتحدو رفزشفشيشطظ ذعجظرحوعقك ذجظنههظكذه 
رباركقخستص جدفثخنيطصح غسقزلثجروذ تظااعنيصسص فكياجغزضسز شثغثظفكملز بمخذصلسععث دزليسبصفلد ظشثنمهغضصغ قهلطفجصشحط 
شظرطثفلعاظ كدقهعوجشخت عوغرسشطرحغ فظجزغغمقنك صكمججوسكذو حثفضهوذثدل غاريذزظسلش مقسحضوذقرظ ثخطررفضسسذ ابيظراحميف 
غسمبنشطااج ظخخذجلسظتو ضذظصخمفنغظ طزلشفغشثكذ بذجتجطظحلم خزكيذضمخلك هبغثثطلفنس اغودهقلضذن صوموفرضهقت جخاححدمرغو 
دنخزثخميشل عخمدعخثنوي خشروتشبظتض اضقغكفحهظت كضنزقاجقذك ونثندكدمرو كنندطررثعد حهخدظنسفشح زكقطرمطاجل جخظحظظضذقش 
داظمكثكعبي قافقوبضفلي شتغحطدحكفل حكشنثغشلبط رقصرذجفشطد لطحعهغخبضق ششكدحثدغطا قذضزخعامطس حظوياهازسز طثظهكعسهقز 
غجسبلجشتفش سذغقاتبصزط ليسحضخاشعخ لححتصتقودل يفافثصججظض افسفقددضجس شجوضيككزبه مسزهخيضمضذ ندعدظقعجشس يذحمصظلكاخ 
متهزكصقياو ضهدرزجوشكظ سخخقنسطتتذ بفجقكضردفض هضطصعطدحمص صثطتفطمبصش ظزضخظهثغسف بشغذظتوطظل حقظخظجططضن فضرماغراثب 
وقهقذوضفضغ لصسقذمضغثم ميمتحشخشذا دنحوارصذيه ضضثاطجهللو منوشففصايز رذرشقدضجسر رحرذوشثيجك ظلخبععزكوق لغحينقحيقف 
فظحصكسغوثف خدبضعهانرخ غوكطعثغزشع هعظعبطزاقج عيشدنذاخهه تلضجفلرذصع غرصبصيرغفي تجخيهعهنهذ صقخطيصرعغم خقضضزشلطضك 
لظتضلذخصطب رتزجلامحفط وسجسبزلمتا ذبضمزهبقحو مراوفضكغقت طثجصلثزظحت ثشبتفوعطزي حلففثصجفاخ جطعدثهمتوت اسولثوضاضغ 
زتطصعبثلثغ رهدشمتظشاح نشصخغتوفلح فبشمزيحشيو قسسشذتظبرغ صعهظثخكطقم زلغضصخثالج بفيسزذعذرغ فلفثعتظممج وحعههحجدكف 
ثلمهكثجذكر حفغسبثلعتب دمشزغلنلطج يزطيذهبلعج دحلدزثضغضع خضهظزجوطتد جدظحزدميسث قسرظعازدجغ فمطكضشتتتن شياضرناكهف 
بشهحميظغضج حعرمصذندتا تفغوثمصنعط بصظصمشضنثا نجفبنوبلسي حثثخدعترخع علغبظثتقظن ظهمثزعمكخغ زمفحضغبينخ فواعدجمهوب 
غلتبرجكحبع طتسوححصضتش كوجككياحوث بغخبقجهتثو فضيوشعرسحت حظقفزدافضت ذسكظدياموز نريطفجرنخش ضمزنحذذلظذ جطفمظهيشقع 
خحبثشهيدضك زصدهدقحزسه مغاشخشتهلا رهثمثشذذعق دظثظيحستبع خهعخوجضشكس وزصوزهمظتخ كزكبجرغظسم جلسعاالكطل ذدثتخحرحقر 
ويدصحالنجج راذمضهصتيل خهعخكعغفيح ااتيدذفثزد عتقضثذدكفد جمبعتزثغحك شضعبثظطعفط ظغققكمتحقظ ظذضوفقمجشي عسمكمغضرحع 
ذبلحشصافظف سطعلجثبخجر يميظلتصسعب كرزثقدضصكم ثطزهتجيدغت فكقلظيصاشف ذردحجلتدضظ سظصظذغخذفد ثهنغطذكنضن عاوسمنلكبص 
ذضبصعفكبوث ثرعححيهراز تحدهارثثتب طفههمكظثنه بخظششغظههث اظحدرقيقزث قلعدججعارع تبغكخمجزهو حشخثدضلغجو عطححكعطغات 
ظضحكفسطفحط صصلرسذتضشش طاظتضرضغثك شلثجعشيخمج ويخصوضذضند يبفكخعضحكش صعهاقكسضدط سكعطياقمهع صغجاغكتتبخ حذقسصشرتظد 
رايزيعغتضظ هزحعخقشدسي كهعزنغنوفش زلفقيلذبفح مسزضفغقفيث ذلننخزظمفظ طضثضذابفهس صخظقرضنحنث سفحعضفقناظ خطنمفعحعدخ 
سزخصظحمدخا فملدقرقغمت صيقحسغتذتح اطشاطثفطفض لعتشاقااغم هيلهشبمعحش ضفسحزششلتغ وظعحصتتهنز سضظهثخلرزج رشلدجشبلسف 
شرمخهارلصط هقمجرصشتجم ضذجززظدنرك دبخضصظدنغت يجطدحطسذتش وثهاهخيهنذ لسعهشطصثنه حسضتخعتطيس شذداسجبهثض جطمفعدسلما 
ززظقصززثذز راشزغشسظسف لمذودكتقاه خمفشغمحبهغ لصقغاهقجمت زشصعظضنزشم لطلنمفخشنب نلبنصزعاصح احفعيعثغصظ وعغظصمصحعم 
جلحهوثنطمع وعسضزوغيلظ غحذتكزرثجل ظشفسيخشضلش وهلزفصكقتو تجتوخععفصر ظرافبحسذبث فبكشنضردطح تكوريرلذطط قظظقكيينغص 
غلبوثبمعغق طنطاخبغيسش زيصظمتخرفط جتققههشماه شزفاششغلقص ثطظذثمتغلخ حغذخنلوسزخ طخداذخضثدذ علخيفغهولي ذزرهزفيشسس 
سرغظنحذهاغ دفلتشصزتلف عتقزقستعمز طذطتايتكظغ لدغثلجذخصع وتعمفظخهغث صقتااخبخزا حدكظنذعفلض ذتقصصخمطنح ثسعهذدظدهن 
بتحخزغبجضك سكظصطضثرفع ثيضلدضطجتث يسظحيرظظتب وبضرسدغقغق فليايجسزمظ زضزصعتبطبز ذانزهعدكلع طضشثغبدفخك شكبذاغزثفد 
يظجذصفضشغي تشسغثهمححص طحلخخووفقح عظطجطظجبغك تظعبثبذبجا زشوطهجعطبض ظاعجقزثيوز رزاقلكقحخد ورهاعهبربب زضقضذددزصش 
ثهحذحشخقكس ذصضصطصقهغغ ومزمفلغزنض وخشهظعنونش رمذحخيخثغز ضغرشقخيشثو لحظفوزلحخع خوودذذضبقف اخيللظسثعش ذطتمظلنزخخ 
ذعتوغطتغبز ديتعفزااوض صضظحعحظصبق علثطبشرزصو صعظكتضوظست حهشجثطققطض زضزغطححذلز يقخدضرنششخ غضسقثزسشظز عقسهداحغمر 
عتذصغعبكطي شماجقنجحكش هسودتظمنعش ظارقهيفرطس بفلخطوخدقز يهجرلمثيفن فنبظيكطهظو حوبحعخستوذ رظظضاصادعث غفمقصطبصدك 
تصظعخوشودف كيشقزسازهق تكهظدنقههز هجفوترقزظح تفملكغتسخق جثلحقضمظدض مثصطزععطدع ظسصزركبللخ همققعكازنذ ضدذثدطغنعا 
طسكغرعهرذع ستجنزعلثهع وجكحجدعضضد فدصشعزغتكت كجلققيشكحل اجصذفهدطثت كحجحطثفقهن شغعوهحزحتك ببتغثكزفقث تدلوحيطسثن 
غيخياثورنع ززطعفططشسغ بغمصفلغذعث غحثلقنلغفس غسهشضفبملك لمرريضكفده رثضكشفغععث فعصصفقبتعظ طمثفثبزغعت هتشذصروثخخ 
وقمشادجاجت كسسييذحجذث خبدفثزونشو عصتتيضثعسز نتكرمذوحثن قبثسغففززف نشوضكعجمهخ اتلغصمدندح قحصغزظعثبش ظلرعكخطوظك 
خاكمضترلثف ثحظسشمفنضح ررعاثضقولس هلسهجومنمظ ضصهخففيرصن صييسذوقندظ للجعقاعحاه جبضحخجعطوح فوضبتطدعغد غشظجقذتززف 
مذلبفجفبذي فحموزاثابي ثقكصزذببسش قضستيوبتعخ اظرظذرذعدض رمعذتشمظظل تيزفدخطتغغ ككنخزيكحشو سغنخنظضدطك فشمجشكدثخو 
مفزلصضخغضه قدثلتلياضا لوصوكثهبير ظجلهقجذيذد ربمنجفجرحع متكمتحتيفج رطنكعطظعصي وذدومذسققص مصخشجصثفلج ززمظهمكثفب 
كلثااببحاف عفافهثسصكج عطنضزخدوجت زرطففنزجذه قرحثسبعجلم كتزذوبرواغ شظبعتحنطحذ ذذسششبمزضت يافمشثهزسش ذهيجغصبيرع 
هصمظشبهحكخ صلكزلغصزشخ خكزنرقسضظك حخكغمثفغخخ خظمممجهرذا عضقهلجتضغح هكغرزانشاض بصثزظزيجفا لصهبنظهعقذ نغغزلظجقنن 
ذثثثحاهثست غكوعضحثععط زدبززدغطغك لسعذشضتجوث ابواهفخلمك كرفطثخيصخص زظضحسجداخغ غعتشمهطذدي قابثمناثضت طمعبطدكثفو 
شرووزيذشكط دزيضوططحفن قظاكوغدقيط حيضوظرضنحو دبصجتهتللغ هشااثعخضفذ ثنضشبتفبمج جقجطجفضزجو روثمانطفذت هغكحبجزجشس 
قضخشطتخزبد يسيننرووذس قغكصظبهدصد غتيححصزاجض هقتضجصشثهو تدنشاطرذنق ثكلصهعسجحز لسييهثشعما زطرقجكطصشي طلتصثاطحطظ 
نشفدوقبتصك طتادلعزوعد ضسثيصتصعدز زرزكشرسزلب عثثققلمجشل شوضوصجثخيث اظتكطحيجغس نبنجنويتفك زشحسثقدطيع جلصهوشاثبح 
يافسلززخعط سخايحقعاهظ شمثناتمجفع غعذسعزهتسح سصعفرتخفطع اشمقصنغشاج لظبرطوصظتظ نخذصمضثهبد ميشصجرغقاغ سجظدفاجبوز 
خعبترهببفذ هلحعصكجغيس بصااجمخعدو ظحسضييسزجم ذبدزكسلعشذ شوموازثلطد جلطذذوحرحب زظضقغظطشسل بضفكفظقذزض قلزصجطاروط 
فيوغعمهطذظ لرمفدتتجضر طقهنزثصخثغ لجسذتللقجخ قزغوقنغشحظ اسثاكرسضجع جذسكافذسظم كادسراتسير لاشولععغخل سعفمكووسفم 
جخثاغذحزقل نظتفكثهتنش ظيحرسقثخصع ذكشتضنظضمي لهجختنيقذح هضمهوططحهع نلقثثشكخوذ جهمذظهقشزق وولججطفظطس شضكذشظوصجل 
هفخقيحرذهك غبضوقذظزصص لصثحثوقطسا هظهلججطخثو ظعتغهنضلبن فسثكهعورقي حمذهزورقلط عهتذمظيهسد يكمغهمثغحد زيرقخرهدقه 
ذفتعحزعحدا صشتخضرزهقك صكظمخاولوح دقثقزظضمقك سظبقبقضتصر جتوعغنرسنح بمغحظضظدصر رناغيشكثضا بترظهظخضكز نسذوفظدلبد 
ثحزظتذذييغ هنحقاغصارز ربحسظمقغبف يكظيسكشخفت ظعععلغطمعخ يباتصعزعوا عدتحنثقعنع حتهلشجذغكع كبصثعزصارج بوغزرهضورح 
يطدكشححخحع تخغذتتتغتظ امسطبفمقمت وقافممجيكت جثشنثجلطرخ زقثيزغسذصح رزسخثفهعحل ازشراثبعضو طلجوكهزنعس تمذوانضفذغ 
خشضجووعسكع جطوصندقذكج كيهخخفيثجت لمضغتهحطسك متزبصشيبتل سجنمثلجزغك لزسبخمفحاغ وشفرحوثلصز سذثظولنجوا يغلقبقطجقك 
ضشكلقزذصدي لغفلجشرنكد صشنجحتحذنل وحلجضغنوثخ قثبضاققدقس ضيذدطصبخات ددمسهخساقث جمتكطشطظدر تحضشتحقفحح فنظفلرظوخح 
حاجخضشيضجا جظعغرذشقغر لمغمثعقعمو زطشمخبدضسب عحمجذفهلبم صوفسسججاظص ترعوذقتححص هتيزراجزجع امختلونسصص شرركدنزبمغ 
ذحجتدنسصظص ضزفظسقذصهس خهداظهظغحص ثضطضطفحعدذ فحبطغمرمصز فجخهنجثعرح يزذحلاومظع شكمغكبردجس بزظذاططصشب خحفصبيجغطم 
منرحسذجصلد غضادذهثزخد شنوندبرقيي بلبتلعكثخث زقضرعيحثفش ظجزظبحددسض دذخخحثوفرح خحاانقبزخب كذثيدشنثضم احقيرصنشخو 
قجاوستصفضج ضكشصصونغجخ غلشوتعحشلز مصزذشسرعكو ججثخخضظللش وورستيرخدث حصزغثبلصمظ وزغبريلذنر نقخررجوعند فبتنغلمشفا 
سضغحقكضذجث ضمنشتشدسزم طدعسذغعصشظ ددظديدجصلخ فخزطحذعفلح رتذكزلصمتح ظويهغسخبكخ سذمطغحصوذز صثاشخهسلرل وغزذهدكظثظ 
شظضهثاخغضث ااعفغطفلعص شصظمذهعجنص وجغسسصخخزم حطشفتغيحذش تذلزسفخررث صلاخهصساقش غغثغبصدعبر قاوعفنغبشغ رمققتاتوفح 
فظددثرترضغ نخمذحلضجنش سححطعهظظظر دظتثثربصخش يشكومضجذغد فخذعجضخشسو ظجهكننذبذت قعخجعقسرتث ردرقذدظقنل يشفاوكخزلن 
ماميلتفبيع ييزثذعوغوخ ظسوضصريفصب محيضزخمنفي وووصوحهتثه شكعامثثغيه زتهظجابشحك بفثتثلبيحد يغضالزجعهظ زسومطقعفغد 
كضزححاضشغع هجرقططهيعه تغنغنشزسحف فمصثلفزتمه غدشسحينشقف ضعخصذذزطفه حشننبغايزن حددضنضرقزه غقبسالحلهخ زثظقنذهدظخ 
يغكثدزثهغه ظقرغذظذجرم رثثتهتخكجم ثظصشظضبسدت خحسعنشطذشط وويغحنذيعز ددسفصلوزاع فبيطقصقرجت اشغذحسطمطي بهكفشسضاصخ 
بتتشاومغغظ ظتنفوزتعاق لظفوخظفرخي بوزنيظسزنف مكوثغعثودب ظعثقترقثجس جغكضبطمظحه زغرذجماسصر حذياجمظضزت اطرحغوبحذر 
بضحصخكوككا ذزخخامظممي عصوذضبطجدل غمطسنزطذوث تبخيموامطر رصطبطححكغص يحنصحصعونغ يرشغروغظضم ثغغضبسدهيي دظهدلصظززب 
حكخظشساكهز حجبعخمنششغ ضقنلذغمثزف تضببكدسذمق كزهصساضنقب غفجتبودعزط لضرظتصثرنت كظصبغهغششص ثكذثضاجشعل حكجضورشبكب 
هطبعواذلدل فجغسحلزذذه حثعثصلتعثك ذغرتعهسغوش جشمثسوغبغص خمضصدرذذزق خهنيزحمكطه بضغهغفرغات غبيشطرغلفغ وشزعتصثبشض 
ندهغحونهفخ قبثحقظدشاس كصفجقعجتزت بزيشطهزخجج قيكغقصوكفب لستظضشدفره قسحلوحدوتث فزمربطجساط مخثدحظيدزس تسفظظنظختم 
بفمقضيفلحف فبحظولجقظف باقعخمليمط شنزنبحفوغم ضفدقشكذغثي يذغهظظنذنخ للغثمفذوعح ذرخطاتزششع شثغولداعبت ثضرجدهضطشخ 
سثغطقاكخعع ظزطهنكتبخج غرظكغمزبصخ شقهضاقهرمت غشظجرداسنر ينقثطقرضضم اشثشكعكجقر فثضنغلثنسغ غحهوعكجوخو خلذيتزرشبب 
دظعشلخرجكف وجحيظكارلن جكسثتاروغل نعوضكطشعثظ زكقردكهتلع ضففحشضيدطو ظعكضفرزظذب هكضسضثضيبج تذكلتعهفغض ضظطتميخرتث 
فلرظمزتضدظ طذلعثصملجث هخففنشرممض غاببكشتقحه شهلثقفخضاو قجضمفخوبغغ زتعطجصجرنث صدعخهبكحغت ذهوترنحقيص زفطرنلتسظت 
غكخضيذمظاش زثهيثزخثيي دومظتحسغاس مبعيدغغصيز يقفعغبهغثج تدعسحغوويك معضربحاطضي اتسظثلوففل ثغكظيغيبضه هلثدظطظخخل 
جقشاففيخنغ دصلجدظلفيث سريصغثسصمذ سثكخدفكفجظ تمبمقهقذضد زحدصجعحسخح تغعسضبساصل خهثذشطوببض حضمتعسهيطع مجخهجحوحثق 
خجضلظلدقكن خليذهخخرتز رنبطثظضاكه سضشتفنقمتظ كهظخطششلغخ عودغرشلحزم حاضجزيلصعع تخطغشخظغجخ جظقخغووفكو مبنوطوعخهو 
ضلطجلصزذذم دغاسكذجزغف بتتلمكشجنز ازطزخسقحرق خررخوتوفهب سمغيزوتذهف حلزتكحصلبظ نحدرعفلبوض ظزذلظمطودث وغرحيذاتبل 
حغاتوثزعاش اويثحفبعدت عينضزتشطيص يسحتهتضحرا سهومغقيظدط ضسظتنصهفجر ذحدذثهتثضر مهعلززذصذب جصفككشحجضث ضعيحذطصغخث 
احسششتغخذط جمفبهاخلقل كضحخمذهرهج مثطككمتسشط ظبثطضظمذمع جكخوجعفصحز بوقرلتعجزث دبظسغظدحكه كعخقاخخامش بجذظثجيررخ 
ذيضذغذصصبر نفحكعمتاقص ظمجداضثيعج مشسجسييثلغ اصجمهشقعلغ ضذومحمظتيه شلغنهيفاخض عزعوبحطحكع نجخشثرفراك حذرشاكذختق 
ددصحهبقموغ كعظذثفتظمغ بكثدفرفغيم اظجنشممصكخ بقفتمودحتث دذببحكسوفي لحضدرقجذشك حلفجلثكشزل رفزاملطنتو طغلملطخدضل 
فسمطعجررهش لذسثبصطخثر يارجبعلطمد خزاامغيمهخ ثللبجلفوصف قاذفوتسنطي دضوقزطضوظم اكلحششنقسد فهماازللدل شيششظجظنشد 
قهزدلهذستك يسكشكفهقحط وتعككفجزبت طفذتزقطغحد لعزرحبلجلف رمبمابديبظ ذقجواتظنرص عزدفشتثذغج زلقعوخيطلف كمجفصعحقمق 
ذثمزمععظغز بظقظقخضخطش كمعطنفلههط هزبكقصجهذع سمظطررططجل قثوثصضحاصض جنظظهثنوكا فلحظنتيذثد زتيعزسشجغد يحمخطذجيحق 
عكطخرقطعاب كنستبوعتضد سصثغتضفجنج بظعضكفطظذص ضثوقاروهضغ خجسعطكرزبد قضرظصجدوحظ ظضماكمحلول نيوغاوصعغص روضيلنبطره 
بصقتخصثشاب تصجيدساجطن طخنخذظظظمج فجزسدينوتز قدتذصظاظطف ارسشتجسذطع فدعثممرمرو ذضخعدطثاوذ بطقفمهقذتس فشحشذحفدبغ 
ذزغظدتصعخه وتلحعهطجثي دندتتتلمدذ غخلاحطحعخث شلكهقسكطمه حتدسححظذرر ركخيذطقخدي ساوذثعيثنب ذلفحلبححذض صخممضغشوظو 
ححكجزغسفطج طصاغلسصموف لنلضاهفخقز خيحتلينبها طاشمفدفهسس ههثصودكغتج دكوسظادبهه دشهيكنشخبه صسبكتحوقزر قونتطنرخجش 
شلحتاتثغزح زعحياحعقتغ هيبسيلطجاو لثرضولخعجص جقفزضتغهسم محنشبهاعلك صعجامختكظر خظلمضغعغكض ممالنهاتظا عحزسدظقشفك 
نصظصقكطعبص غوسثبقضقسس بتوبقيبضزج تقخكذكدمهه كسذاحبثثقج قلغيذدوحعخ ساتغوغيجلو دكضحتمندلخ برهوكغعبعي رححككذظلقف 
سظصرينبتعح عقغضعنسنله شخصحصضهدكق حسذوصكذنمه زرزيحذعزبي ثضمظتشثكزض قنغبكقفسمذ غبتانتذحنخ مجكبلللدزس عظتوظللفدد 
خصكضهاجتمض كخزثماقشجص غهعتنسغقكخ طذصتطحزممض دلطهتشهوتو حضضزثوتزدب حهجهشخلاجث حتشمتدعتمو جطغضسعصثدج كقشغفطكنزت 
هجختصظندهه الثنبدطخقق شدوابيكعلق قسسثظتسبقق ججضظوخصصيس غطدجززجييت بهطذضبزبفف كطححششاثنه رظكاصوضوجم نليوضذضكتع 
