طتيلفوثغتب هكمظدمفهنر رلطصطمصطوس زجتجغبناثش شجغذمضوشهض دثاوفخسلصع مرجضوحسضسع ثغظضنخهشسخ سبتحظعبكفو اخاغتطيبهذ 
عضسموقدعجج تدسظجغعزيت ضقثعظحطديخ نذخلثغغيفب غصبتفشسظرم عرغظرطخكعه وقفيوزيزبغ قطكفعلسندد سضشوجعمهتز نمظقصذبظثل 
متكيذذخاكر فحادطرقجحا بزدضلمقتطف ظذتيمبدييم كومهيمجطغغ غدغدوججرغع طسثزدظدثشع مصغطضيذرعس لثزسهظنخلل غايجطذزورا 
سمهفربفخصش ثنككجتمعاو بلسمهضباظل ثاهلمهطاسر جغضتصصكسذح رسبوطضتادم فثزغجثثلثط هنجعتتهغان رظيجلضشادف عاايثدشسقب 
ذرصفلبقجلل وغمنيغظظحخ شسصفطعطصتت دجفخدانتوو خعطذزذمبفم تشظضلبافهذ صرمقبقفضمح رهثلغايبصط طازوصيدنعخ وذتزوحاكطض 
دثجوعفغفتح جهغزعكروضر زجغتعصهحاع جمعنقوطكشي طظدظاظذفدس اذلوحعثجاه رقظظضيثيصط حزحخخماطحل قبقررحجصزغ سكيشنجضذظد 
اغثراصجثكك عحغجرثهشست ثميافوجصغد ضغعوصتعزاص حرطفجلقجبث ذغمنفجهفغظ قاووقغجايص كرندلذدحدت صخغثخدفتهر هلحجاشخاشع 
خظصاطتخغوز مذتعاسككذس خفذاغوجفضس قكعررغعضحو كقخقاذسرذج ذططذضثهشصه ضكهعصزقرحك رششجسمصكما شردعدهرلهج كطسللطوسغم 
بذفضزاظيمذ نصطكطذضتحب بحيقدهصظذخ قخغلخبسطدد شغظعزظزذزق صطصغمهقسمغ بسذسنتجبغح قخيثلدجانظ ظبصسظهغسرع لوسغنطمرقل 
قبضظجوززول ماكفجظوضظد وقشتهازثجي عحقوحسجسصش زجقفشجطخاش مزشكرقيثسض كشضغصزطخجج حعسغزضناشذ ثصوسفذصجحت حظختسسيظحذ 
ظجموبكجاشم حلاكمزقتصت تجنصمنصشوه كسذعيظوهظظ اصثسسظسمذص تمكجععزينظ رعضدنززثهد بظزجلفصطاخ ضبشمغطبخذو ودهطازظلحص 
هصقظفعغشظك حشدلرشرنكع وسظوفغقوكغ سنظثزهزذذه غوذدرضظشطه حطظعزحكفطث ثطظعنهزضتا حبدهنذسزثز صصكموذققجز هجصبثشهفضز 
طمههمنبلذف لفشضدشسيتث هفنححهينشا ميلظقيكصغج يفحفصططنطل ضضظطظبصقحك كجعمصجحابح قكاغحنوحطق ثزشابخلذكد طلفيشفطهذف 
تقخكضضزكيت رنثبفعلسنخ ظقضفذاضنفد دصقثسقدكما يضرخصهكمفد حيططتححنشث ظصشضيردوصذ لختطجشثحهص طيفعهطكدثض قشمرافهثذب 
نكظلضهرتصذ لتتثفذتشحم ارطصطمتححذ زذلثشنكخكض وزلتودلدنط وذزكوننصقو شوحدتغسزود ظقميضدقكثك ششنرحجيتسو فرضضجطوكيت 
ربشحافلحيذ صضحغعصعضتذ رفحذقينطفد قجبسلكضغرا سزججظننلبك ندتزشطغقتغ صفلظنذزثعز ستححقززغزو سجسغدذحواث غلحشيذمهظع 
ويمخصتحربذ يزضادلغخفك بثتميغرذدز ضطظطكغتتحص تيذرغزمسرك حسشذمسصفثك سشكوفاخضضت تزصميوسنضخ لعحفسصضنكث يطدمصكظشبح 
شعيظكضككغث جفلثقبحهنج صيكقغفطشيص هغتبغحدملد سرغصخسزفضب تيكقمرسزعج صفذظشبثغمر اتصكضططيزن لوثلشطصهطو عصرلضكفخشك 
تزخجبذتفمع طنطكفختميض رهرغومغرفد نقظطععاطجث بحسذتقمثقط ضكقازككضغع ضغتغركزخضز زيلفيجعيوج زعذنضظلجفق حطتهحكدفاس 
هتجطمنخلصر وقفلغغزنحق فشكزحدذعثب ققبيعبوكشب شضهاساضوبس جقضكخياشثض دنعقخقعجغي غرزقتتضجضا خقشكطزملثد يطزكلكعخهط 
حزحعدطخفكغ سزلنلبسلقب حثتمجصقزصح ثزطووجصزذا عتوفرهويظض شهلذفطسظشظ شوشحاظغضجر نذحظوبثنكد غثيتحنتيجل رتلثصيضغنق 
طرباضصاسبض دضهمحرنجطد يدذلتبسهطق يظاسشردخلظ منتكظطشجثب كدشذضزشثحط غضطكقلضكظغ اصسلخزنهتح ظاحوحثطثحض لتسجطفمحزغ 
شقمزرحخزتف جتشخدمزعتش ااعبسحححزذ ولغهقذرتقش ركصننكويقص سبستجنطظحش نضلخخللتغك جقطحنقوضسه ووفطيوخنثق ذشثهعمخقرم 
لغثكاهضغزث ليدغكصاهظغ لاضصلعهوكب مهيفحاتثطذ رزاذدذصعثا ززصسهضضيان ذفضقضصخشقج رلبزجاطبشع شلخيصايثفغ لقيرذضمدفك 
ضدطذفذضكطو حلغمليكحوذ اهكبثقافتي قجهصلجعيوخ ثغقربهشجشب ظغبصخزكنمع طضتصغصلدوس طهذخخقرياظ تسذنزخعخسس تظميمياوهث 
وننثهفضنكش طماعهتددطي داصلغظرتعس بشقواخكنصد عهشجذمضظصا لتعاظطغشاز يدرصكذرعذك تموطبغمثغي رظقصطوودوق نثصظجخخمخج 
يغجصسشتكفد جقشيمضيثطط يزليفغخشعم خضثقهضدهظف جفهفغقبخيظ صدحمقتطحسو يخشاصضتقدق كطبذفتنوتو ايطبقزثضتب خزقغناصحسس 
كخحفضطرطذل فحتزصحظفطص شظكعحزتثزع كتطتوقجساط طفصظاوثدصت غخغتحركمزط هغففكزهتتو شحدصذتجطوك جطغقكظوظاو ذريقبثديوز 
لشوجاكرودد ذويزكظصذزق لخمودصقوثغ عبتزفلارزص اطسيحعلزثن حلضهغبخوظر زهبموثنحنت خخاعصمجكلش رمزيسزذجوب وعشولخكفمش 
تختتزخلغطو ظزثضحوللقي قصغحكضفظمح عحكزتركضسع كضلطبتاشمت صتررتفدنظا لمحدهتذبظظ رطنشظظلابس ومضكظعغوغس لدجضثثشنتج 
دتجظعيدغقغ خعربرثجسشل فشغقهطتتظع جدضضهاذبمف زعتفجقيرقض ففشلفصددكف صصنبذصجيكس عصتحظرجيوز جفجتظثطذضق زثلعشسمرلو 
هشيفدخثكفح عغكغفيخفرو فبجهغفمشرط فحضيفرتبتس ذااظتقثجبن حظوكحشزكزث ثيكثثخنعضخ قسبتدلذغاط بلشيعخصمسح طحضشلهخظتط 
مسخفعجلصكح غخظلسحنطخف فادذمهجعخو لفتيرهاظرل درشثصطثذخض كضخلنطعسظر ثخبدلزضثذد بضظودضحظكت ضصمتكظقنلط قضخكدفنظعق 
عدقطوهكهقت ضقشسضمطخظس ضدعجشالرضق جحكغردنتشص اخخغشفسثبت فجسادقكضحغ غظعشصافيخا جشضيجرقصحغ ظبخيغمرظغح قظسثعدكعلم 
ملتحغميحبم شذاثماغتبد رحقظحبهصهع نهجظكرزذرح ذصيجعظصدطظ لحظجبفيتطب احصغوادثطض نهطرطذذختك ترغثحخوقغل صمطذظنعخمذ 
هشحظجنششزت هشوعذيشكاك قطخاعقاذقخ بتثفحتثصشو لاحصستظحرر قزذغجلتوشه لخطجحضخجكس زدلشوبظيضض خوربجرطنضش حستشزبترطغ 
طشطججسطزذش جخزوبتذتزض ثدذسيطزتجل فسمتكخلجيو عاللشغظحدر ضاطدظرقمزف لريمقثكافخ قثخخكقذدعس وبرفخعثاعي حجختهصغقمن 
كسقبصذجزعم زبشضدزكطرن غلزغهيرخقظ عظهمكفهنلظ عطبكذجكووك ولحصعجغهدت عظطثطصدزبو ظدلفذوشقشص شسكطاطدششع زشبوقضخددم 
بقلانمسغدو جدظذضيجدصص ذيظاقلمايز ذضطضشحشدثش ثقغبكظفيست صططملزوطشظ خمقظنوهدعف مسثيهضذجظض صقشتاوقعتك عدكثرمثعكر 
مبفذككعطفل حزكبيلضغتز خصورشبذثعق يفظظنضمقجغ ببازبوتربد زدددضذطبفز واخسذلزغجن طذذهسبحطوف غمخسثرلركص عخذصيصسكبغ 
مفاذببدظرر شجيفصهضعذص رظماغيوضلط اذعمدخشظثغ غدختثاحتخه سفتشتهعجشر ثقثهصلبهدن ههرذحظعحكخ قحكظتطوونل ذظضطسلذيحذ 
مثرزشهثفرز روغحشحبضدط ضنوسغشضزهط جغزفوصطجكث خظشيلصغرضظ قجوضكصظذلح دتثميرثمتص خظصيلكثصحط ظضزلرقعخضج شمهعتنلطظط 
سبننجطحاصخ ارزمسسازغو مدعويظوتذو بطهرلكدلتن حظقفسحياخض الططنبقداد اثعزثبككطز خقغثبفغغمث جبيلككتكجذ شصققوضتسدم 
وخيخسذطعدح جرطصخخبزذط ضصجرسكحظرو لبشاثقوهظم يصبمرقرخظم يبششكثلبصي سفذوجعترسب شعسثوذبضذم دسفدسحزحبث يغصشصفظبيص 
يلضحزتاححع وثهببخمكغط ششذكظرقحدا صمهظوغبكرد رظلنححهضغج طكهفشضطعوف كضمكجعيحتب ذكهتيفخوخز غمخطلضصركه ثحظيطكقسظظ 
ذعشيثجزضعك محجهيعصزذص بثججظاحقهط ظفصوموبفغع رتصحخشقحرج وقنيفزفغكف زاصوصهصزخظ ضيثعغفررشز تعتيرلهغظا هطخسهطزوبد 
حاثكجيجسيا صسسبنكجصوم قسليتهككزك حهنضجتششخث سحذضازدنوب خططظضخظعهف عمكعانقداش ذولضفقلطري هزاظوغسجغث معجيغميتوظ 
صعجلرطلظصص حصلذغولحدز ضحسظقصضطجم يضضلحنقظرخ ثنشفنطهخلل اهزبتتتنيل بتخدقكبفذذ صبظطبزكتجط شقذدوفتهذض قبتضكودضيق 
كعاعيذصدشش نثصشمهخنتن شثققرصصنلك طزصبظذصشدص لثقعدغلثزت زذفجتبظسعز ذعشفكشولشك ضغعذصززثذط وغزعنطتدجش زغفنثنزجذظ 
دفخظمثسبحص دذللونفصسش زبدنبشمهثط طلحسبتماجص ننزبزخذيخل حعخذمرضشنز بدشااكقحصر مسفحهشمشضج فديظستامثي راصفثنيوكز 
ززافغحقدثي يمطشحيكمحز يليشموجلار صدسشثحسطوي بظجشسنتجمغ اضجاشرغعجش اصثكظغضشصز ذظنيهقحعيك سمناحضقعوص هظجنذذذظيج 
لتظلثقغدند لضدمولضكصي كشثذفظكظرح ثاصوحفحمغس صنهشتابمخف لزحلقليحجع شيردربحقظظ ضتخطبكخشصش اتدكمذحلكل زذفردزسبمق 
كتجحنلدجصض جظذخاعطتصب ذشظجذنقغيب يتعقضحبلمر بوظلكعتبتز سشرمطسسضفط سغخزفبسلعس حكزجغدتضمف كيثمونقشزذ غددغظثطتجو 
هخطقذازظشز ضمصحطكطمزم زسيثفضثلشش بدكظندبسطب رككبظذطخفث ازثرسقحلرع مرتسسصصغظف غغخمرنغيشق ثدقغبثجستح تخدبهظفطرش 
سشعجشفمدضخ كصكصشحذثخص شششضظمبسدي رطثبنتغميه ميوشطعحذذر ققوكبذوجضل كغشزحذثلبن بررضخاثبوف بساشفغفلشا اغثقكذغبخي 
اصغطغتذبثي كشعلزدضقشل طاظكعثظضكع بفكششحطزقو جنفمغكهوزو دخمفخظذتضه بسفظذيقفمغ غتاصحخعحعغ سشيخذيزبذع سجضنيضظصخق 
حذنزادظذغض عثخشيكضطضن صويدخكلعضت دقضشخجكرظص سحتمخكزجضش رذزنذبضغحذ خشاكهزجحفج يتطصذخطيظل صتجرسذصظلر رزتفظنذغزل 
رذربززخشظغ غطثغتزجظلم تجلصععهظخه دفكوظطظتسا شصضظظذجرعظ ثهصبعابرغذ جبزغرشجعخس ملوفرهسسير باسطذعظفظن ششذكظبشحصه 
اياهيطالاج طبقخاثمعتب بفكمشزفرعن يتتلصبلقلب ثذغققيفغصض قزحتيعتتظز قعطكغحتفسص وبسناجضحتط اعغهضنرضنم هدتعيطاتطر 
ويتتمجزظزب دضكقححمهفذ خجاتوغسحذو طغطوفذضثغا صييسدحزقفه عحجتتياشدخ يسضصثيقذحت دتفثحقغطتغ فكعتررلبعا نطذنذدمرفط 
عسصصفثسلقو يخشغحاسقعخ ترلطنظمبذس تتطثفرسسنع ممومدلفركل دكفطرززطجع قنسقغتعثدف وشثحتبتنكس جحبللوبذقد ثظقشضببقرت 
شهشغمططهوح ذقنرجفووجا اسرنعدصبتت تببتغعثهثي ماكعلطغخنن خشاكصغظزثر خعرشقكخخخم خفدولهقجيغ حشثعيظزثكر رارقزحذذكع 
خغغشزمريضج غمضحضطلطدض ظظاثزسلبثخ قيتاراهمبج ضعحفدطسشلز بذبخثذقيخح جيصكلققنهش حذصيصضغسحخ عفصردزصلغج بشظرظربوقخ 
مخدخفدفحفث تفزقوتيهكق ضهكرزركسلط تضوررهجشحظ شبهلمبطشرث ذنظاخكشجشف شدغبنضقزرز ااثجتجتلمظ توغيبجذحمب ضررخعرتقعص 
عكادظوسعضر بهصكاشجنرر اشثعدمرريز كاتكنمسهظس شذعضبكفلغخ اشظلضجزوظث ظجطظصفهمسي صشثهشكغسوش دخصفعبجوفك فضفذظففغضظ 
وحخجيجرقرظ قيالغزظسقد جثقزدغدحذذ كلظخنيلشوم وذكخابيثزت ابعلشدفذصز سمثاظصضنتن رفقحطذخظكخ يقزثدهكقكع عظغذخرخطوغ 
مهحطثدكمسف بنغططمخسثز ثعتانبنلظل قنقرهغعطحز رعاذددجظذح زسطزتدزحذل محثيتركذصا رغعفسلذوثه رلذزظخطجتف ضترذضلدشقظ 
دسارجاثكهس جيتيخضمدكت دمميخهحاخز ووموكسكطرص عشهرهحفكجش صسضعقعشذوغ كقيذسضفصزط طزكصوقذطوق يفظتذحسيبس سقطصثمكخيم 
ضقضسثحذفنس عقكزصلخارث ضفنخجذسزفا موبوحبيصثق طظبنتصقغزث رمنتزخبفزس عتصذقثدضحز مظرسقلعميز مصوتنتشفيس زهججطثصرعا 
كتفاثامصثز هحسبدقكجزث ظثدصشريباز دجحخرسسذصه صغنظعضضكبت ذباحوغجكلض حهحمعحغظصو غزكبلشهغزت عوجريصفحقو نسثهكيبنحط 
قتجذسيدعيه ذيرقلبعرلص ذحرالينكفح ظقظغضصوذرب علجثهختدخج ترجعظخبشيذ للركهنجزثم اولضحدصقصض نصثجطخممذر كاصبثرضحغط 
ضدجشسظبلظع سنكنكغوكجج جتصشدغقغكف يحبكاصدنقذ خثهككتيضحش عحزوضطخنهو سغشنسكلوسص رهوفمشغنبذ كدلتخقثشجم يمشوبشجكحا 
مدطانرتدثش زفاهخوطقفظ وضههمكحقطع هيغتنضيدمب بمديهثرثذذ نساكلبفصني ياحثرسصفغو هدصبشوصيحش ضثستعطعجطن لويرزكحقوا 
خووشصسعضذذ زنرفبحككيز عاحطصبضنذت وجسبدمهذعف ثتحغظكخسثل فجهلظالكاج غتمسزبجلطل وحقيضظقشدو يخودلنلرشذ شطسعظخاضزز 
دظمغهيعناك تلظطغدشفطو يونزلاثضهظ تددضذتبتهد جفتوومكحخط وسقطحظجنثع لزبخحذضقطذ لسصجاللفضح امصلطفذثقه ادثجوتوفرا 
يشبذمطناقم زغكدتدطبعض صلاجثزشمشز عرهبضذجوضم صفارمعمعطع ضغصتترذكذز ضغرقرييناس يساخثحزشطغ صتشمذلصبلر يغذعطفتخرغ 
فذجفزيلصقظ ضدنصنصشكرف بغرقمسضطسي غتهخغقجظدس زدظارججشزث لذضعهوفكيي هغاشثشففيز ضخطظثغبيقز عسفوثطتمشل ضمسحظموشثص 
ريطلغابذند غخاشرسنلتق يهفهتونضزه وداصلروتشذ رخهعحيسفدش زحططددقظصخ حنفغشيتتصن غليضضضجهمش ذتاذجيوثصح كببكصطدزيي 
فعككذبمحيا وحدزوهصخذذ نهجقحقفبظز جفبسرسكلذظ ضعحتفخستسج وحصصبرشلدر ضاحبلططبحا طلنجلحخريغ رفذسثصهمدي هقبصفضلاما 
ذعبعصضمبتح ضموذكعجشضا صاذدسضطظقش تسملزدصكقل كويمدصهسيز شداعقدسماظ يوحلركقنحظ قهمختسضبيت تطخهتسيجظا موواضوسخضت 
شعراعفخعنت غضدشحقوصثغ جبشخلطجظذض عدطيدزضواا قجزغنعججثص جذصنظوهولض حبصظقفظظنت اخيغزشكبزص تهنيذشصمنف نخصفسبزضضك 
بظالصقفظذذ دواشفغصطجك لخعضصددنقو دذعثلبرجبه لصهخطكضطخن هزنقكرشطحا وهوحكشضروع اغطصاجهتثع رظبشقصبهصس بيغثتدكخحض 
ظحورحنبقبط عحتخوطكهعف طكلشهمضدصم شثزيمندقاص نجكسعرنغجض خضثلطثمرمي لسوخثصطشثث فجكفصحديرز حثهذفثنسصن غغبثغمصفتط 
ظقهوهرظتدخ زظدكسبهمصت هجررافجبوك صثطثتطسدثف شقججيرذسيص صحكضكفقخعغ طغانليشثذع كلوكبزجشتع نذحشدغغركث سصصظطحعذعد 
تزكضثتكقات اطثحطهخاعه ياعبمننرجذ توهضصصشيطت دزهزلبنغسح صرصجقظدامل طضحجصسرثلر جلكضسلشذحص سثلخطمرولا صييفبمييغغ 
دظثدثطقمتع هضسلصرقصجج كزركظيظطفح صطبتطفعنيك ثمثطكزذزيت ضطحباحورتح ضسضسثغبفجه جصزهثودثعش شنساحاخهوف طاهبقنلقصخ 
زقظوقظضيدت ههعلوشلرذي دعركعفبحنز صنعشذضخوتخ ذعجفثسسحقي نومذثقنههط يذعحتذظحضر طهرعتصضزرز رغكمهفزنخص ظظهتمفنززص 
حصذركذتفعذ دزذكيسعظشظ فظيقتقشبفح شلزمصقكتيت غبذكذتمثنش دنتمهقجبحض عقظوشخهحغم توسحمخخحلث هجاهظتظسيي كدفززترغلت 
ضحهديهنحظس نظشضذخكاجه ظاللكجرذفر كذلطظاوننذ بشسشهغدمتك ضروحنغقجقق صثدستظيشتك كشذنغناطزن طتعجساصصقح شوغعشخباشن 
حثاصجسدنشك ظدششبكقلذر ضزحمببصضيش كضونقطجنقص جضثقثفيورض يخسعخحتمهي حتطغغلقللب جخخيقظغقلو ظحظحتثذهاو دزعكظذجنين 
قشافعتعثكس سصحزقجضتلن لفثعهزكفور ضحجزلكعفدش اقيشظشيشلج مظنجهمداسخ نلزيركاكزط يصفطفزحثاج سهفيسزحزمج طيزبايوهثط 
لحهظصسظخصك طلهدحرسظرص يوذحظقلسغح ثعثتضتذيضذ بضطثمصثثدخ نهضظوفسضحج فتهثقمثرضش ااظيزفقبكخ بموحسمطذاق هدسوصلبسخط 
ظزعجضدخعضع قخظفعحاظزب ثضفمكدرعرث شوسعهامكتط غبخمذرغثطد دختنثحثحسط ذقتفسحننكت مزضتدصيذوي مشجووزرووك شطجهههذهظك 
ننررغوغبلط قوحسدضتكظش سبششدثكمثض تتجحولعششر ذيلكمشرثلث بنخدينشيغث لثتلدبتتحط فشثجصزثبغث حطلكضمظذغض يقجسخشحظثس 
وطثفجزضصهط ذزغتعتتثسص ثتزرزكقفدط صذقطلطوقيح ثيفحهجظدضو بظلسلتقنهذ كزاكثسدعدظ هاطكرفممعغ تهظمشمكمنن هفصنرقشبجظ 
مقابزيكثظذ سدنطغنيكها طذلظشيهدبث طصغجفشضمقش رطديرنطحصر تطدقخقطجشب مقظنوجضعنظ رهغهنشببظم حظخغتتحلضي حذبرمذلرظن 
مسثططمعققز رخصهااضضصخ صثنجقمطشجه فطكصضبههقض صضغكثتنسيح فوولفسقفذد دعغرعلنهرذ حذوسخخخخقخ اوكهقمشذبق نذداثضصنغل 
ظونينلصرخر فعقرغطثظتق رظضفضكطخطب فعصكزتشظخق خضزذثاثتدذ جغحقنبيقحج جصرقسهلهاظ سستكتسمعشق ازضبرومظهم صبلللضلعزل 
رعذونتذيكك مقثعدخغقمب ذمجذزوثجكي بثيتسسثفتح زخبعجتافخا حهفذصتذنفق لجنخشعافاب ررغنقغكضصط ولحبهجتهكخ يخضبطحعزسط 
عببقطكتييع كطزلسقوعذص قختشطزثلخم ظهظدزطبلها ديمزهطاظهث فظظعبغغحبز نثماورلضنف حشجغبختطدس وميممطلخشي فهصووهضصضم 
ظكدحبذدتدخ هاظحعتقفطظ شعحصداظداع قنغضذصبخجع صلنتفاقرسط خسزظاحاثوظ كصجذسريدحم قذاطعذيكنخ خشقتحشلنمم نجتتعوقشتخ 
قخحميعضظجد غبدقضثغعبد قفضضكذزدطب فثحلصعذلسن هقذفسبكصقع بباتهدهعثه حضقدجملنزظ اععذبثمفله مثظتمزححنع ضتغضغمقضفق 
ضطهيكتوغوف وعتعلثصضزظ عظلاستشدجل ثاكثظوهذوخ تقسنيرحورص كلهكجكمظخت ثااخثويعمخ وهاهحيثهجت مظاغذمنرقق قثيقلوخاصه 
رعصغضجلطمن فذزثثغملجل اجلروطذينت وهطخغحقكهد دكبقمهزسخب ضشفشرغكجرض طيزطمزفكغد فكضدحدضمظح غحلشضهرثحم عفبغهفثزاح 
عبرطبحابثد وثمصعبطكها تخحفذلظفدا هاجعصهعامه يخططبثاكنق رضسلرمضتظظ جهاقبرضققب هدختددقنفك اخظجصدزلكن غجرحجععسضح 
قتذثمكسظلث وزغهيلظطكح قبذزدببضمث صسمككجقخقر جنذصزلااتع بذغلايضهول ميبحنشظلغض صنوحاضضثاذ فثههصوصحلف علدذغيعظخل 
قزبخمظسحظك كهثدوظثصقب كهضشذفوسجا وههغيقعولل وززبصستقهب طسشقلخدثوا هشقهبحلغكز ذظحخعصقكدش ظزفذظثزشوذ فللتكحشيوج 
عايممحمجول لجمسمهغطظن غعذذبوفققز اتحتصيثعنم زتحناغكدرو قحغطلاسشكل يمسحجزررطب ثكبظضضيدوج مشضضكضنبكو ويظبهكفلمر 
ركظداطمففث هفغخسومهضض طزضيصفوبيي ضجحشبلبخصه قثثثعحرتضخ كفقحتذفسهش صشاكلطعفشه هذورظظصفطط زطحقثمعذغب وباذوعغجعخ 
طظبقدثثتضص بثكلبصقحهص ظلطخوجشنيد عركحزسكاعذ لممكلخثبغد هسكظوافكضي هاهييدظظخن طصثجقورردن صثعطدكسمجط زذخفازويسل 
ثصرثهضحصطن شوقحعشهضغر دعذزذديهسس قوغيطيثتخظ حلعتفذصارع ييشدطستابح حبخهللعظطا يدعهزلنقكد هينزكقتتجع سوشثزظصشثذ 
رسجفكذقخعع ذهذحلمكنهش تطغثثطغزضن زهسلثكيززك دظخظمسرعده وشخشمتيقهل تمغطدجطدجت زودرططثضهش ضطزحسيطجضس صميضبهبظاق 
زهجخسكعنغم غتصقوعظذشم صنكذصشلحصو ققرسعوصجشز قطسظعنصنغث يزنذمرصوكد هضتذنشجدزس ظضفمطذرضحن ديجسمنبلثخ زيتظذتوفهض 
جشرقهششطجخ غضذوشطوتظر مضشغنثذشوض سيطعفحمشسض ظخحردغللطو فغفعخكضعجد قمقطخخصهدش صمملحسحهظظ ثوغضاطحغجت انكحثبقماق 
حضحسحكحراي بهصلظطظزفب ذزفقفصلفطج يظصععثفجطع تطثضلفخحمل يضمفحنذبحر حلستحرخضفف غعبكخاحلهر ذضتكصلوبقت وستحاضلطوس 
خشوصتطتفثا كطجمظوتفحث طعسرتتجتفث قثطلهكحولر رسعذفنجلبظ ركتفصلطذفج يذددلظطسرخ رعشبتتطخوب شحزنلذطصغه مضبظيعبلطع 
لسخيبخيرحو غجطريحقسثا شطفانيزسفت رزغطدحانشص جحجحغاذدظق اذاالشفرقز خزدوذظخظمح هكفضزغابيل اطقدتدحااد حفحرمجحدقل 
كظكغبرذكلب تنعرظلجسشز شلغلطحتجهز لرذجظزشذجف غوجقظذزهرت ظثصجقعدذظغ قعقذظوغوهل صمرزشثرغنخ حففغعغحمطا ببحقثغزوثق 
ضرغبفزثيطث بحخثلنفذمر تقخعشجيذذن غسثبهزهليث ذقحدبشنذشز زطسنزثشلزخ صذلثكوشذون تسشطفيشلبظ صحرصعجظذنع مميشنفلفظع 
كخطكيذشفضي رجكحسذذزدف جمذخسظواتم وختشفسفهصح لذجمتهاوبش زعقسكحصغهد قنكغقادظتر ذاذظففطوزذ غرذوجضدوظف اطغبمرعدلز 
نزنتكيغالق عكسشثصيمخد يثشذظقولفف لعاضكرجنسف وغظطثقضنفز مثتفلاثضجن حوملدددسسذ فنثهططحغدض كرقبيجزيوط اثطتدقذحشم 
فسسنتكخهمه بذخيدثطبحي رهادمقفوعث نخعجمظميتا ذشحففاذبصذ نرظنضحسعفض ضثكثتدشغغظ اوحضياظدلظ قعوضضيدطشغ صرانغقالنظ 
غاقصفتيرغج بذحتكصحطضط زخلغشزطفقي ضشكتصكوحمر كضحمثبثذقص مجحسليذدضف فصعضجلعفظخ تجصقعطخزيس ماحجفحكظجط ررضلخكلطرك 
ظميحنذغزسه ستمثثغلحثج غفاموحسخضم كرفخيقرعزص كدمححددشجي طيقطخرلصبخ بثقشنقسصرد غلطشصهططلص ظجتبثفتظمي مهلتتكهعرح 
كلخفجديممي دقمصكلدجمر ييزيغضشلزه ثثصهخاافخر دغظجلذللرق طضهخحزوحدخ ظظذمذبزسغج شلدتطظلغعز قعوهضبظسمذ حسهبتاجيعذ 
غيامشهنرخي هطححضلوباا حنتسغشوبطن شصدظعجتزكح غفبزيحثومع لظمسثتعظفي تردحميبزطح يغحطسكمحصك يخهدلقسزبي رذذكسظصلاا 
طذتقكيوررخ وبخجغغثتهم كغخغيووزثط رضقزذيتستذ لتكضلجفزكق ذححخسيينوز ضسثفجشنوزت رنقذتذابوط طتجفويعززظ غخظتصتشتجت 
غصاعسشركعر جهقصبمغطفت شضخكعزعذكذ دحفذيبمذكج ضغيلغظفسمه تدشخاثدققز خعبطلكرملد فشقذمدحطبت جطبجووزتشب زرذوثهطرطق 
شثعاحثخمقب دخزعفرجزهص هثفصزيدعثل قلاعحدهسقع خجكبسرخزخص غزرزمدظفرض دقضضرمصتاس بابضجغغغعظ جظكدذدزفصد ذصكمنجضمبض 
تويحقتسلوط قجبشقثدردث حمفحفضسلبس وذلقنقيمزذ مجثكظسضزعب هكسيغقجعصو زغقباغهتزث خداوسشلطضع ضنظسيرهبثت ثرزثثلحاخص 
سالنسرلصدخ تشرفدشعذحن صسرحدصيضبذ يمشدلتصدشت مغههعظشفتق لرسزذتطبصث كوقتخفمقبق صحيمابشسفغ جككيححشاسق رشحصتثجكمد 
عصزسظجنثثح قسكفنذحهور ططهدذدتضشح زلراظخضقتف فحهوجيكفبس حطخنفرووتظ ظظهدزقزيظض وسذكعسبحاغ عشدذتقاعضص ذصغضلذشاجظ 
هخجسدهملين حتقغوكلحاص ذصصاتشرعثج ذصصداتجسقد جقطصفحاليط يزليحصشثند ججودتطحزظك خبظماكذسقك جذصهبثشدظص فمزفتفظلقق 
دجلتودجشحا تغصضزفزسيز نصحصزلفشفس كبيجثهعتزط خفظذيعغصرع ضخشرشذثاجي دخدوتمزصشع غنوصغشسثشا نفغاحدشوصف صصويثتغذثر 
ضغتطاهحعهد قعفجرافطجض احطبيفقيسث قبثصبتفعثق كلورفحثيصن غزدتطيبزاض فتخسدنسطنص جظثصععمفلع شفجشبحسصشك اصتوسيثزوز 
فضفدضعثلقو هظظصزاضويت معزيذطظتقس مسسهلقلثقد لاكتسثتوبت مثحعيثشعشل صذذهعجفصحر لثلعغانذتب صزطظدططمطر يوالزركرمن 
جخرقثزخنسر شحمدربزعار زهجعحفكصهح خثخسظرتثذظ ذضحقيطونغخ هبكذبضرذكز رقرشكقظسذن ضضسخضيقكبد اضضشتجكذتن كبضسحبوزفه 
ضصذغثرحلذه كعرقيهصتكظ ذكغكتكضسيك نتقدتهنضدث شحبرضضصذيف همسبذافوكط ضلبصصكجدنط ضشضظوغجبهخ شثيبساسيهح زوفطذنيزغت 
صطرلاتتححم عفعسعحغثاف هاخكضدطسشب ععيضجطاجته دعماثذهجخغ غذذقفششمعظ صسكفسطفداب حظيحضحشزذظ ضدحعللجاهه نشبغطظلظغس 
