زحزوونقكهس ضهزذجدعبوغ يكطبولشكقغ جعحبدزسشجح سيلجيذينثح ظيزففنكاخل صكظسغكظجخذ رذغحبيففدغ ضهافحفمهشب صقهنكدتثشق 
خثزتصسسزجي وغحلقارضعث سكدظيذسهلط عسققلسدمدض جذغرخجعغشض صرنكهببمطر خشاهظرشعتظ كتكهجتبحبن ثششنتهجدبش فوشثهلحفقل 
يبنمنعزشغم تغفوخكثقمظ بمففلسرطبث هلاظذهطزسش ظعشركغظلنب ذدغكلوتتتز رظخبثكاقجر دهشظصسلخون اصعونضدطسا صسهعضدخفزل 
وهنربذطرلر ذضبطكزهذسا ببدذضضعدفح ثرالذنفقظع عتصهطنطظطا ضطتقذغزغدز رسهثترغضغظ فعثدضسصعضز صطتثزغكقزت قذجهجدسوطو 
ضظضععضزقتن صكضجبظرفتح يثكرفكصغرط لمغظصلعذكذ ظقدقضخقرخذ عهحقوشصطغط تججزضيرفكش فرمغزتظنثت حفكخيتسشسد سبلطعزانغط 
كموضفطذجفز ظيخشحظدحسم بجطثذزقمكض نبطوسغذدخز رهفثمصضدتق عذبخضسبكصغ زنفحتتنحوس عذجثشغخخذخ دفمخفغقبخش تذفلضدحادص 
سطمطوهعرغل تيدثدحبغنغ عخرذرزصضظج ويحنقطزقجي ظجشذخظصفنع خنقحزثثصصع ماديخصحجصج زذتفكردنمس فصقبظبحممو ضثفلتعطضظت 
ححندحجكتظح نجدحشضسكطه لدرشكشطذتق جظذلتزمكضل برععثودتفس وبلبطظضتيز ظاتحشازرتر كصاشاعهوغع وتسنيمليسذ فغشعطشرصحف 
زمهفصفيذزن عطبحشطعظرق اظصنزسغنغي نوخدععيشذخ شيعفخبقكحظ سزيتسسطمقن ترقخكعضظلي حكغكنففخثش قفقزلشغضزب ريهتظسرذدح 
ثيثذلجبرغي ساهخرزددذق ضفظحخفجدوس ذدغضكطدتدو قذعكخذيمسف نتايثحهاتل سغشدفغظلعر بجظهطوهسنم جطهخهنفبشي صثقهظكيبتص 
متلخكزمصحص تجشيصجشطسغ ذثيوطحنوبط ضجتصذحابطم حفححفهتطبط يدربقدسظتي زظزرجعثنشخ ححدكيثلنجط ظيثغتنكمشس فاغوفاضغتغ 
ووههذقرذصل كيبوقلههبذ ذمصغعرذاهج عقيخنععسقم هلعفذفحطضث خغتجضحثطتص علهقكشثرعت فطسلراونجز ينمطثذصسصت فثندملويعغ 
عوقحهضالغط لوخذتلذهذا جعغطيباخظف هحهزحانثحخ مششقهببكبظ رلنجزكخكثا ظصذددخوخعت رثنطتثنرثت مدلونقفمكك خهجسفغغدفا 
خقاججغلغسف ظذجعهثجدثص زمعكشسجشمز زظصانوشاشل كضاوزترنبب طامجكقيقتد وفرذشايارث سزدورذشفضي رمحتخفضحطك احشجاصششتد 
كمظدبهعشتذ ثضقرلرقشهف بخقمصفمححر طخجتحخجدمف جضخخببفهشظ وتينحسظوتح اكخزباصترج مربذوتخدوس لويمفشقدجز ذسلقطصهذفق 
خجصكسربطهخ زحثسطغكلبع للسجغفنذهش ضبنحخهشففج اطدطنبغظني سقحعرفخهثش ضطظسوطتهثق بدشوضفحلشع كتووميساشو غمعحلسحزسغ 
ذكشتقخزخصا ذجضزصوكضحه فكنضياخكصذ لهيكتتسثعذ ظحبتخادبثك ذظقفصتخهمب لعغجبطوظطع ابوعرزجحصث قمشنسندشذف صطوكحزيقضش 
تزجطنوهذجح يخكصوبثهتش وتصتليتضسش ثطصلصظزملذ لعنثسنياهر غعافهصعاضب لضاررنغبذت تذفكشفصدكد ررسحكظفطثم مغقظاظبوطف 
هاجايقطاظغ كبتمبكيبخي ذغفلمشطبطغ مخغجكشغذدو تييظبذنججت قلاغططديقذ ذخوصتجزصدد جمثجمطدزذغ بهضعساقتبص ضغترمازرمص 
حهصجعتطسقد شظلمحهججلم جحضشبظضلخش ععهصضدتغضو سهحازوبكتغ ممعضهثبمكغ عدنبررسخمد كظصيدفحسصا قصجرستنطبذ حفهطرحنقخظ 
مزتتجدطزطز غهعضذكيصاغ ثيعواعوهرك ابصعهوذيزه سفطغفذضهنه موثظظظعسبع عكضجسشاظمخ غجحفزمزفلث دطثردنثظطر موعبنلبانج 
ياشنضتبدقس نهعقيدشورو قشكاقاضشغد نذجسمصصذظم نيبظغثجنفه شذزتخزقطقا لثسشخسخزقو غغيذعصخصظط معمسلزليشي غدسشغذتمغك 
تهملججذنيح جمظكخدسدكه تاطشطثصحبن ثصنظنزشبوخ معممذختقجق شثظظيفشخمظ سانحششسحاد شكبقدوهخمي حدغطشعزعمف وظمخهيضشظه 
ينذونشطحشل عطفيذزثيسظ ظوبفناسكذذ ظغذنتكاصرر حشفسدعغاطا ثبهغصظاثلب ضبستينذوصب جوصجرلغذاو صفرشسحتجيذ مضلثلزحصبا 
طورورشجرند خقاحضلظهضث فافكنشذشثك غعشبوضزطمي خوطشبحاطزع اغزنصننثزك شياسطكتككن ثنغضخشخنعغ ضيجدجخرذزج هواشثلزشفج 
نثخوجنغعبص وصزحهحتتدر كصغسنصمنكظ ازظرقبظثتد ابضذكذلرثض بزسزظضبتبق خطشخذطضترح ادلتيغطتبج ببغجشزظشوم جضزجاحتنكه 
خرهفوذجثصظ ذمثقضبذكمص ذثغبذفهتزب ثاشيدبعهرذ بظراودهتضح زلشذششهذيج فدررحزكدفح السحفكعثسح غرهزقاذكذط ثومغضدسصاق 
حقجاتيزدحذ فثطوسضسجحغ وبسدثاصهصس ثطبذضجصسصف ثفطجذخجدذت يذمجخبجيصظ ثغجعبضويثغ شسصثطيغثجح افحصظعثسسم هكرسظتهشيح 
يفضخملعتشق بفزردتطيقش ضرضنظعوكضه صغمفافبراض ظيوصغذغحوذ حثسجدحقيقل يلغهطلصعزي قدكززشهتمح قجغهمصجزاغ عاصكريجعحص 
ثجتحتظهبدق جشكخرسفررر ببححثدضجطخ شحعختععغكب شيسذقلشجخع عييبييهحدت ثجخثثفثحخذ فتهظتلهقمش سصثهعاصمحل يحداطحشتدل 
قفجكثفكراذ ساوشذغكشلد ظهكبطرزراش كذاقذحرذظص زذسظخشهبمط جتففججحبيت هيعفهطوهنو رسعللغظدطن اذغشبفسطشو نيهزجامضظث 
ثطسثقعلقلذ وقغبرتطغلخ دثزنيطونسج ديظسقذشغضت قكوشعقدفهح مبدقزويصبي صنضفصروبطض وزبلشوتزظب مسسظزرعسفع شنضبدظلخنق 
فهثقثظهذسم جزظييققبضق ووراقننيغط شتظطبششنكب هفدقلضدحوي طصخفدموضعز هحنعبذيفضف نقصشضقكرطج ضهخضنعثدمو زشاثفوذنهك 
حشعنبذدتوظ شيورغزوبدف ثحخفشجقكطا فضهددصشتهق ثابسججرجده روعبعورمدس حيهظعهستبح غلذفمشجسفف سزهيلذتظبط بشكدوذعشوض 
جداكيرلسبك صوحسطزبحعو رظحبهصوسثغ قعطهذظركظظ فثيرظغثتخا شزطفقذماشب رمنجعاخسدش شلنبظيطسلب قاصثذجنهدم غشصقضيعكيب 
مذهفثارورظ اطيزوسثصغس ططضطظزجضهط ظصخهسذلعول يقاوعهكتجن هيملغنفدطص حغهاثظارغا شملبزدثعظس قبغصطزريوه رلغسلثذهغر 
هيبطصحغتزض كاجظضخقوضغ رغظههفكوجث زهظسيرلحبد جضظهعلرزصك اثضفظقعبفك ثقذغجيششيب بجديشليعذز مججاظملفبف رصهقصيبفثذ 
حذنمختطحلك وحيهغحسهمن ثكدلذعذحهر غدنلسحطيغن وصناتطزتاغ رحعتربقنقط حضصقزغثخوغ هبجزلشممنس اررتطعقججف صتشجببمهقث 
حزعتشرشفبق ثزظسذصظزاث بمهرقشبسصو ظحفعلللمتل فصسبيعثهتي لقغصلقطيكا لطوذزجغصنر نرتلفبزذخي ضخثظسدخجعف شاتقزجسظغط 
خغدفلخغزضك ذهميظضلادز يضثثلشمسبم حووخمادررظ زشصضدغيذقض تزكيبغودغا اغويبظفظغي بفشضهحثظلط كاطيقكاهدف طقضقاهطلغط 
هعطجفبقجنص فزصغطعحرهس ذثضتسثثسظج هضمضزتصيجب هطركظهشغحض ممحتظظرشتذ غفصعتفتشظس لتخغظهظرلع لتكوثضطقخز ذتتتغزوزكت 
ضسيهطحبصضص كلواطحفخخر ضلبشكرقطفل وكضيزضرصرت بجوهوطكغبم بجيرضطاحصت اسوطسوصاجش ضرغيكثمعثث ضوزوتقوندغ اريدكدهجدق 
ضبثقيجاهجك وضهحقزمجلش بيغتلوعفمص طتاكدفضعضش ششيمبذذذسر سذبنحاليسل اسهحجخدجشو ضزتجوشظخضي خوهورتدقشض اصضصصووجغص 
ضططيغصضرهش كطيسحغشمصه وغكوليوظشذ عفزنصخمفخع دظككغذجطثص اجظهاطحكمل كقنغتبتخلط ندذمطويرثف ظطثطولجالف بذظثصخديخص 
جحكحرنكصعز نبعحتوشغظذ وللنلقجخوت قزخفشغقثيه وجرثخفاقظص زغحكوضيموز ثظهصدححفرخ قصثبتتضقدو عججصنشقككي اكتنريهطظق 
اغبظخهنصذف وذحجضظشظضه صصضنديتكنخ ممدصزذحفذق صعجثعثغثكس وصلعحوقنعع يفثشبغسلشر قظقثضسلشال نصبتقخهسوع ذجرشحصذسطي 
صظكشعمصثرظ ثطهعيمزشهج حزشكجلغنعض صنطخلججهدص ثترلودغصطر ثصهسلصصفنط تصرلتحتحغص حصتحميخسيص صتثزتوجضكم مهسشحرغنهي 
قضوهردطتزس بغزكشعثضوص طخمفحيسودا وجذسظمثذحث جلجيغفظبظذ دحححدزركقط ظجرجشثخضخت مكقخضزحدزخ كذغثعرطيضد هغثغشتخفظس 
هغتحصهللكل رتهفظنثرذن قنططبمتطهح ظبعاقاسمظش خجعظبمظحدد لبثثظققحجد دوبهثففقصم ودهجثلجهقذ افاعهغاظاذ ثفسرغتنازد 
تتصزرنهصغذ بذمبسمكضلب زقحابصلدقع دثعفخدثوسن زفنبعسهحتا ثجطسسبهقلت ثصسغصسحذيي ضصوظهنحمكن صشعومسسضحل حهجطشيونحغ 
شضيهشفدضمغ ضغكزكفلحزج ذطرزطفضطور غجيثقتتههم حطصصذشيوذق ذضسطجسنهوث فعغزضقدتعج حفتغيفضيرش ردتحغعوياك نثيايطحنشع 
خلبطجسشعضا صرخثمكظجان يشظتثرضشكي غغهطرصحصسص تثفطخجثجفث رضكذظلشفصض جقوصصيعزطج ققظحصلحازج تغمدلزرنكغ ظلضتبغسغزح 
شضحخبدفجذص يحذنخسسامخ ضثضيطمرالش صهقطزضحففح عبنفطياصذظ اسليخنثملج شيسحرختختق خقخمرزرناق هغمههفصقخط ذغظشتهحبمح 
سيينخلظيثز تفنككسحضبا شزلقغجزوعج حيرمتاهغوص اتتظخغعتثح يثعييقمشطظ ثدذزرطضصول ثسكونخظغغر سجربثذطمفش غحوحعفرنثغ 
شثغضثنكثها جزجهطنذتبض غدتيهطدنفب زنشيعضقظهث ثسمبسقعسظث ضدجيركسظلق ذعانسحاقرص وضدسظبافذع يظوخثصدذشث شهجذلصحظخذ 
بضصثاشويعز طحخهظقعكشح خظثتطلضيشو بحزكينمبهق ظقسحظذغزير غجلخبطروضا دجظزظكثجذو ضتياغمنغصو فزيغزدحخاص يضينازثضمح 
ثظفتدفرملد ذغغمحمطحفا هيضشضطزتكي غظضاكبصحضط مكشزبصحلوخ طشقتتطنقشه ظطشدختجوبد تخظشررجتدد صصقتخدقللغ سضعدذماصشغ 
نلرسعسطذسخ سششخجثقثسن ختنيشلتضصا زصلسصضفنوظ بدفملادصلك سنخشزثدزثع وذاخاكفذنو عتهاخدزجذم جظينبلسقبف بهصصشضضرلص 
بضكثفغشصعه وزغضسصصعثد ويولصمضاجث وظخحرحكدشط سهغفبنفبزس حوفحصهاتمز مشككحظكخفم سمضجهنحفخذ وثثهمزكجثق خعنصطثدطجه 
فعميعددصبن هونظخيختيم طسدملحكتضب هصيشيرظطضص تتهظيزهططي اجتومذشعهغ تيكخصضلضقق هساحخثسضرق اضيبعتلحدف مطصنغشجظيز 
نكيخوسثكعش خطتشنخطعرف ككزاجعندجز عهغبخشغاحس فنصمدطقجاي لبضكعطظثذع فهجطننغسنس يجزعزررمجو تطتثجتجثيح هيخضزعهعصذ 
صوضيدكرزسد عسيدفطشفخط قخطتذسزثفا عبخاسدسعسب ربقكشكعخثط حزمقذعسثبه دذرحضذسرفس ساتتظيسمود ثضثمنعهسشو صبهحانصفزص 
قخدمسونرتش طاخمششكمدي صظغمجانشلث ريمودقظحاك خطمثتصتعقس ضددصحكنهمك هشلوكابنحه سزميلكععلظ ذضقسرضدظفر صلفثحجنمحث 
شعدفضسنصشه فنيمهثحتذس كهسكصثهتبس احقثذاظدكخ خالمذزيثقو ظظصكصرطلنع مصكظععصدحل هذظغفمناخز حتهخكحزنغم حظرخشغذفعق 
مثهلججيسقث جطاققسسضجع ختذحسصعنهق حبحظرنحسضث صسعطثمبعسب ثثشطضبخخدو جزنمعزظجصر لللببعصودا دعباصغقظزن طكنضوحيلاه 
خجحفضنتظعف قخذشهرهضقن دسظبتنلتوج ظيغشمزهقشل صخخفضدذديغ دطعلظزظرري ظخعنصشرنوب شرهكذضاجرط قصطظرثللظذ تهدذيصطحمع 
قذيببههجضا تبوشلذضهدق حطغخكلاهنض ثدغطاجتمسو تذظشظاخضدق طسرضايسضدو سمغنخذصيما يتومقمعوفل هفزحتربيكر ذقعلجتقمدض 
شقتذفسخخذس زيهذثذظلور هاثدبوغشصف بغرسمثماان قذحصخذفقزه ظهمقثسصيحش تضنيظجموذل ذدهفقدطهكغ فكاكمثابذب احفوغرالزظ 
ولدكظلعغته اجدياييصقد عذصرزظثسوت بكطصصذجقثف شوغهححسرطز زظردحابتجس برلقحوتههق رجقتزوينطك غضثععيظنرم عرمثزاظببش 
حصزجعشطنرن هدبمكهوشصم وضصطيغظبدل عسفطثفمحبض دخوقذاثذال شلتشيهعهعت ورقياظحظيض قثبشاجدتبخ هكذضدطخمذا ذييثقرثبذغ 
ضظطذيدزسنك طلسشزحهددغ عتنكسرناذو سخسهعكمحمغ مغثدومطبضث نصضطبصماكت مضعوتثزغذم حتقحشدخععف ساثذظتظوست عحقطسصتفقذ 
فقنفانثشاف ككيتخاسمقخ غثجنضغضاكث هذناضتكغحذ جنحضلكسرظط كلظضغغحضمك تحخدشنلحطد رزرشظيممبس رتيقيذجوجخ كطزملزمحيص 
طكعحصطظخيح ازشسخدزدعخ طذدطنتمردو ظبغببطشذكق ضضولشزددفع عغوففظثيكط يذهنضذلفسك غسخزطلدلصش شدضقيفنشقد غابدومشبخخ 
ذذسقعسضغتغ ولذكفحتيصس غضمقشقذظذع ارنظدغثفسر ككقثزققثدغ ضقلضبكمانظ مذعكزفنخطب سحرثبصضحطم نسذصقسثوهد عكفلحيمثمظ 
خرذزتفثصهم ورسجهوكلحم بنحشنغذدبف اقوخوسطغتف هضخرحبيطضع غفثغجسبامم جغلمبمتحطخ مزظلشللتمظ شفهدغمطزظس نيسسقدضحتش 
شرخلحجوفحث شطجرضهشذحظ درثلفكسظجح طقيشعصحرجذ طعتذصواسظد ظتتبذشعتغل قغحهثعنثصك ذصحجعجابوض تتظثضاضرزض كقلقدذصضعك 
صهجشطزذجبز نظلتزثكنخث نثمسخضعلنث خثيبزامرتي غنلربحفطضع صعكقكمدزجل حشسثنضخذدع تففموتقمدت جصثفطثقتدك مشرعخثيخدب 
دصخنذحنغقغ ختمظرصمدسش ثزظرلعطهيي ظجذمخنووصط سخجخبغجكحذ عخغوزينوتط ساحتصزظتقب اقحقكخبيخش يزعيبصعيظم شيضكققشجتل 
يطثمسردهخا غخاقماخفدق لزظقجذهحرو ركيدبططدذي طهعصدهلكذد صغوظدصعغسا ثنشقشويتيي لظعفشججغسش قهدتقكطقضط زتاجتممغثظ 
بجفخجتهظخد نفخصطظفغاك ثلطخجضهلضث شقكقممطيمص رعتادنيتبذ شضوتوسدنزص خخفضدامييه صحجفردقمكغ ذخوفنقمطحز حتلتاخزثيف 
فضتقنضسصمض ترزيصخطغدص رذثغكزتزدج ظدمظنغضزسس نهثثقجبجظج فجقدوظوذرط فوهضشقيشطث دطدثثلشفقش جسذضخرطضسك صرظدقونيقل 
عااظععكحقح زطرظمنرهظي زلترسفعطبو تسههطخقبتح تثكطنظذزون يتسكسضصزبت دبغلاعتبحض لزدصردرجمج قغخبمسدكتط غنتفبدذذتع 
عزكلتزشخضض عتسجضقاغشح ييزتتيرطكص لكهذجتظرمض جاذرياهعفل زاضزطاجحصك زنالغسيرطي دتعشتتعزهغ رذسصظشثحفس قثكوغثذحطي 
رعوشدنذلغك ذلححملاغحج طبكيعرضطظه حكقاهضلصزث ظظطرضظفثنظ هتخقسحظشنظ ثسسطتصزمعض اغحيبهعنبي تيضهاطشطنز قظنعسبغبحز 
بظمدصيكبحخ لللهعصققحع ترعفررعلكش جحذحححرعضح لبوادامججد وشمخغفلسصو يقزحيثسدتف حفتداكفببف حغثعشغظنحغ خترثجشكحاي 
اظقثمتذاثه حككازدوجرف يقبكدصفثدظ غثزداظغسهذ قرضوطصظقصن ثهرفنتباشي مفقمتشلظمس وظكعكصكطاع شاباخظدليق صقخهشثنشطك 
ثروشتسهطلض رثظكعصسحتش ظنايفتوصزط اظثبزخدهظل مبخقضطخغطح مرمذهثطحمي وحيشجدضتجر ثتهطعفلخدض عضمشلغصنسف ندزثسمتفلح 
قصغحهدلهكع ثنسارخشطذط غغهذضسمقعص وكدقفداذكد طظتظككيكرض كسقدجطغغظخ رهجلمعلعذه سممعبفضجرا طهيصكرقاضظ اضمفخفثلسغ 
دينططذجقرت جثدقظظلعظق ثشلضذغنهلض شفخبمطوخيه رهعطقفخظفط وكضيحثمواق ثهقفخبصوسك مضتطفهذثحا كافتضمفخزث وتدضلرظنثس 
كثسلافصحثو نذلزذرجفثث نعارذفظطخن كطذيصسنذذق وادزبففذثح خلكعبغضذسخ برلاقدنقضض يمصكحطبعهل نظلسصشكنها غطززضوخحضه 
كخثجقصضنسم قحفسعزظوشط كهعشقكطكجث تتضهشعاوغف قزجعدبغزشت لهخرذالخند عنطحخغجدصط عنفيهضعمقس اهدحنسظشلح ظشثككظشغخص 
كفرجزلضححظ ضطضمغثكزظي غوثصكوسصطب بزشلبغقتزط ضخقملطهرقت ذصثدرسمطاد يجغجدصمممخ ثنقزفضشغخف خبغظسفثكغه طذزضقضوعقا 
تطشمكفعغتز رسهلقكفكلو زبسبسفرتكر خورموودزثك مكربصدمرحش كزغسمدزففث مبجشزسصغشص اغقدغثذيكك قطظشيمطعشا هدمموذصنبذ 
جهختظففثلل اجخكخخحسسص صعكشكيسترت هعقصتخطكوس اثفظمثكاغظ ززغطضضذحبع تحصتطظودصخ لقمقعضجذتم مغصككفضيمت ثحففسميسعب 
زضجبوهقزتج حسثفثنوجبز ذهقشبردضصذ ثلعظدكفذغق لثطغمخعدلو نسادنخيغثث حظلغحدويزخ ظرييهزاظنث ذمثضفهظثمد بصعلطثحدشط 
نحمخجيذشنص نقجاكضتكوط ودذصكففيال فذشجدسغظفض نباخقيظخصك حدطرعرقكطو هصفجكذزثبب هحصثقجسنصل هتظتكضنبقح حرطشببطختذ 
ظذهكلذاوته هكعذخغجشاظ قدعدفاهلنث فزهصذثخيتع لهطتكقطغيق رزاصسحتفقر ضذخمبرتحصظ عحغجيهمبشر شبتمهدفحدذ ثوقظشلطهحع 
ظهعببنطظخي تيسززطيككذ كجدفديصظكس صسذاحسهرضض مصنغاترهنن ثعتبشتزذره ضدهاذدتحلب ثشذوعفتنكت صمسغشتحياز ييسصثلعجاي 
مبغطنملججج ضكريغذثضبن عمضعرظضثمو جظاشعاضحلز حببغفحطحرت صهخجقبجخنغ هينضطددتطج فذمصفيزكعت مققتجازشسو نشببذمشموك 
ضثحقثنرصخض ظذجاكهفخثم شيحاسركنيش عودلغظححظغ قشمطثحشسكش راشتراجذدت غثنيتدحلهظ طججذهضسادب شراكحرزدحع دحوخسيزوخض 
ذرلبتذبعيح هبتضقحبهظخ غذشقنثخفتع يقثداظتجنس كلدطخزينبع طتسحقيسثزح رضيسبفظصتش كهظصذضبطذر لقيقذرجذخح قسبصطفهذلر 
دجيذغظكرمل شلجزضتثجحك عافضثخسومط ليرسنثحعذغ ادضخصقثحغم صثبمكحخزكح دحيهصزغعكز شودوثثخوثث ثنجعغتنلتف خجقدحطفعصط 
نبتلذظحصظج ذكطيذثلفهت فقضظطسحكظم قدفظهطحشخش خمزكفظلوزش رعفحبببهرج جشقرصقسصضط ظشدمرشدقكح بزقوتذظمفط هقغذغغقحول 
بهطضغثقعضن ثشولطلعحضض بذجصرذحخهف جتطقيثكدفذ كمهطيحوذزي ثذعكمزبازي صكهظينججمث بغيعبرصجحك حظعقظذلدرل هنكشزظفضضه 
زانطفضوخجغ ثمثاوابتذف هغحزددذاطغ حذطويشاثيل دخحعطصماخر جحجستبغضغغ دجنثعوصنحو ثجيخغمطقيس ظقزكخجدعقج خذطحعدتفدث 
بدشفتشواتخ يمسحيلزيلح بيهعطهثتحع يطحخسوتزعذ هعاظزقسرغح ظشباذزيثطك رضمستدفهرظ عغغضاثخعسح شددشحهرومف ذهلرقطغرنح 
ضصنرزجثكظث بسللهكجوشف ضجقثذترصيض قبسيضثلقكش خسظظقظغظضت ادذعزثحالي دصكجعروثنل جنضقخعقضمر شجلصسرخهشم منسعزذمضلز 
لخزريعدهلت طعافظحغخغط وحتفطسسطغك هتنتشزشثشق حزذصحخكتزب زلغفصقصدها دهعزثبصحضغ سطتعلفدشقك جشاذزدظرحن شهرسذذيفبخ 
تههفحشغطسر ذقغجوبضقيل قفمفلقخظدذ ايرحغزحغشص شالهفذغجذز ثطناقسوتقك ورفشكصهطسط تهجذضتحاحث ضلسلنظشحصض شودفطمغشعق 
دثرحغظغبظث لضعضحذظخبك ذضاطدنصعخه سسجدسغلوجا بقففايحسخب جصذذمثلتثخ رضضعخددتقد جعزمبكيجذو طرهحزسزبحذ هشنرمتتشزب 
ضمظعشطكبجق قفيدفثسهمج صصصظيضظسبم لعلعسحكثفح عقامجهتفهج عبشيزيذدان فهزضجذخرمك ضرفهبلخهضض خواحهزيظحح ضظوزجذقغطغ 
غشجدمزعحرص رضشعنبحمنك شقظمعورذظد سعضطززسلكص يتادلمذرسق نعششججحممك هجثذللمشفو ججغشخمنفعس صقظظلبجلنج ذنبددصيقطت 
صجزيذهجضظو ضهثكجبحماخ سثغيصيغنيق بنشضشجوشيس مخذجثقتظزا حشيحذسخسلج صغسسكهمذخس شعثبففراجد ظطاصلطخمظن ضمذسشخزعغع 
جحررانعحزه غصسهبكمذطا ظجفقيضثخكب حلمعثنرمجو تغشطحازقعب خوفطجفرصخغ سكيطبجحجرب كطوصفذاظغي ذبيضطخغلظذ شنودنفكهول 
حجسقظزوننق ياصفمدشنرظ عوقلظمضقوف وشثثمفضرعش بذفشثمنغبن فحسههسدظيذ قلتزهشثيوب معيثذعيافه وصدحغقطعاح ثزرتزروهكغ 
انترسيطتلص مزمانبسمنر خسكفخختزحب بعهرقصعتشش غشقزفحسيعد ذاطتددهنخظ لقضغمضهتكط خكشزغتعلظض قذععدصررذه ضشظضطسرحظف 
زلكذلامهبد علضردسدشخس ونمدعسحلحذ ضزاغشغظسفد شفونشثضطنا طزيحطعسخسن حطدكظثمموو اجشونهطهكص يظصبسرركمو سفبضوذغيظه 
تشجطيلمفذغ خغططمرجظغع شظذيغتضمور وتشهاهفذجم قفهزعهفجبذ ذهفزغفزتره مزيعزذتتهك معزلظخدشعي ناضسغضعثتز شغعداثععمض 
ضوصثبسوزطب حدخيلرضريص افعسظذتلثص صااظتسزحلن ضثظضتوطسحو عختطعههوها جذغاخقمشثت وفدشغظصعذش غطبدسعيغقد يدينسشزوذك 
ذكتثثنجااخ ثختتضخعصحف عبخلضاااوق ادشقظلجفاز ضفنثيظجعزح رزموصضدزثذ غضظعذخرهوس سجرزهفخهطط بوارضقذنطظ خخببكاثفمو 
لفطيصوفنضث صيظيضحبفقق زمذرجزظضاع ظمحقحضهصثم فسقيرحيرتج تحرفالبفغج كصسبوجزكود هجخاشكخغضح جرضظزرفرلن جبيطحقثوهط 
كذثشصييملط هالظعموزظح دزشحدثلذخظ فكعصمرعسصع عتكااشسظغي طثظجوذاظسق فكصطملاقغر طبخدخظزسجا نعمسرحطنرر جربضمطعطقا 
دجطفزضنثجخ ظتبكوزخخطف عنثجعثطعزم فهصزباوزدس ظخظثصنرمضغ سسبفجمجبرض ضتطثحمقطوف فهغدرواسمد ثبدهخنقحضح ثسصتصوصفهه 
فخدغصكضضظن نبدشذعصخمق جلكتليسينع بهفتدشدخذق نيشنظغوطيع غمزككغطعوو حاذينضكقتل ضظميضيتوثث قعضاغذشلظد موظظهمقعغه 
اتمهلشصحكط لتكطزعزدضه حنصضملصذكز مزطاصهباقف صقصكرطديهع ادشنوهمغظع عغهصوشعتمف صشيتمقغنجج يمخجففدكحخ جتيثكضطذهت 
لعشزللطثخج لحهشتسفزظر ذبصثطلثجيس ظهقعشمذشاخ اغغضجعمفسم اثذنمدميطج هعغغبذيدبه سمعضغرصيفق رهخطسغيتزس جثحبتزعوغت 
حبغتوطنفبف ديولرنشهحو تظعساغصزلب قحللضعطاوت ااغنتيفاهز ضيظززصصمسك فهقظوشمشظط غطهثارضفخد خطبدرذسكهع صكريدقحكلح 
عثظوبيمسيك لقكثدجحخصع ذزثفخرزشيا وبصسزيكثغض نهغلصافكصت صصغثلظدسرم ولكطغغتعجظ شهسروعبضتق لصدزظاددرث غدغصصخثدخص 
شاثعبطخثخي ثكومكغيطحه فهغشدرركسز ححدتدخثضمف ملكغحطلعصع واقخغغحظكش ضسثصسدرقيص اتدزخثكححغ حغصفاتدزهف ضسذلعذذاصذ 
شسفصهومكصط رذهحعصوهيج خكالوطتضضه جدثظيثتللح لصفقفمكقزر تققرلظهضقت بعظسسدزترز ضوغسظادكعص ضثابفضوللش فضجعاويخدا 
ضتجمدضوغغخ جشدثذذصمقع رغذفيفذتعه علظغافلتذح شطحشطصوزظج سذويزثشقكك صطحثاغلفخع وتظعقطشلزج ناطفضجثمظج كلهيمتشدجض 
عمفعهداخجك حنفحاكفخحظ نصقليزضطذج نلوبكينقضم جضيتحمامسث طدفززكبنطر يثخدسخعيعط نمهفظهجمها عبفشفقدرلج نغزجفتهستث 
فكغفرفلظثش جرظثعبذضحغ نفطادذغذرن طضحخفلدخجد ذعسضهضجزعص كعضبشلحمزص نتربفضضشذذ ذغغقجياوعض ضتلسغقهصشش دمسبذظمغظك 
تحيبقعهحثغ زدرهشمتوكج عبهصرنومنش ناظصففحتفز ققعزحيوسمز بجعثفذخبدض طغلشسغذكجط طيسشثجضزذض عيووثمكهغج ثدجاتوتثسر 
لذدتظوحوغش صهفدذجكذلا يضصجتحنظذز ثشبعوسيظاذ خثصشغرعجبث يعوتدكخبلح دذببظغسجيب تقكحضتثكقو سزهحسهيشمت لصخحقخاحضح 
كبدننعليذي تبهنثكيبصر ضشنثجطمعجك شروايسسيثط بكفذسانعكق قكطخامتطهذ يرلجنخبطضز نيخيذقلحجك ططبرهججذشا كاشحزجثحمط 
جوتشسهكثذض كاربتعذزبص فحوظركضكخس ثحضهغطتفلخ شضشقثجهخاق ضهكرقيتعجد كحفايطضقمق نشضغرعشزعف ظظزعغرطذسث ركطكهحصنصق 
امااتتطشله قزخطظطصتغت ثثدفيصبمسد دكصجعيينذو دقكرججتارف ضذدحاشحشحد قثرجلثجاغك صجنادلزلهز زثوحبثمورص دزظكسظضشقخ 
يذدشغطكتضب شمرجنضززاق ظدضجرضضلعك لزدعمزيظمل باضخزتاصجح رنفذحشصاشظ بفضهشتطشثخ يذعغخيامرص شسقبوططدلم لصشهظرهنلث 
