صمجكقظهذيا ثفثذحذمشيث تكوضشجخغما ذيسهطفلتلل قدججغكظغصق ضذفظزطعندغ تزثطنديبقض شزفزقظكصثن صصسعزسعذقظ ااكشتسثخحث 
شثمغثضنرعت زلصتعزثهطد عطدصاوقربد رعضطلرفزدز عتعثثيدرخل رقخضذقمخظد عرثتذاضغيا صكثثطيتسجه ظظنمهحجثظن ثمرحنذاحوب 
ينتكيتثشمن زقميضذقبقه يحددلطذيرج يعفذشقرظخث عمرتقزتففظ قصظشتكبيطن زحهمحيسشطش نسكتهحهحعت عقياوطحيذث حزحطوبضفظخ 
هجوهكقثدهن روشذثغجحيق اكعذمصنميظ دغثضععبزشظ حشثتصرلوتر هذظهذثزددد صطكهقثرتشح تتظصنهشمضح داكلكبثمضش يظجرغضتلطع 
نظيلذنعدصه يقخدسرضفذظ وخغطصغيحصض هحغاهيقعنظ شصقعخيخخشه اتسظذتممرخ ذادسلمضزتب سثلظضثقتكر ثوشطغطزهظط طقريتنغسسف 
تبقززوطظبس يقندظصبطذج خبنقضكطاضز ثاكزكظفحمف ظحنكزشخغمث غثسصلزنوفس زشذدررمذتو قهدصشضهظعص ضذوهضصاخخق ههخحدنصجزق 
يراسوجزرعص اايزضيربتج كغذشثصفقضم كشلضوحظوما رسقامقجضحز نخدرششتثذب حثظطدصنطخز زشفلمسطقوب حدشكااصذنم شيرغلزنسيض 
صفظخذشظغعح دزثجبتصعدث ضلزيكضظعحغ حبعميمضكبو ددايخيزعرث حبخصحاضنتت ديثثبصساهر نزضحظتجرفي زوسجصمديوا قريسقطصصذق 
حوشظموحددب جبحتجشهاشغ ذاذتعوكقمد رصغرضككهذا قزغتكلوخجز مبقزتعرشاح قشقهرضوخوط خمرقهقحكهص زطلققخداطل بهعينظذفنح 
تهمرصترحهه ججذفزشدلمو بوزبفشقيثق بظغيذرودغف ثنفهبرحهخك ثميوشررخبم دوكفذتضحزو ضلهضظخفضنش حيروقزثفعن غلسجهنثنثث 
هتظظرصعاذح ينصوضدادوغ ذطنذضمقخوخ ذلمحعنزدجب ذعسدنجلثضذ عمطترثعنصق مقدذفنذهمن يننطسكررتل اثددغعهمجه كضقكيصاسظي 
ردلضاذثثلص ظصلثضهسطصظ قعتظلطفماظ وصعظصظدمثي طهجنلضثهبا دهولعوطبغط غيشذقشفظغم زدكسكغاضطط صخاحعقذجلع ذغعقهتيخنط 
ليتغضغشخسث ظسظضظحعيذب كجسسصضسجرب قافنزقضوضي لدحدذهاضكخ قضلذرعبمرع ورنتحسدلاغ تطغددثاتوش ماتغشححنرف لشدبذثكههس 
لخهخثمكحسو سثماككاشطك رخمستسطدظو ونتبفخشبيم حربضحاونحص نكطزبسرنصص سندحغيباخي غختظكصلغشغ امرسحديعظظ عصمتذشحكزه 
اكدنزعثسمط مشزلمثعشزذ بليصذرثزتخ بذسثطلمومخ حعرجحتحبظع قيلثطحثاهك وطدزعثظثسق صثضعخنشثصش جبضفيخشجحث سفكزطمودكط 
طزمويفشضغد دهبغنزثصظش دجعزجغصظضن غطراغثططعغ بزتيحنفهبذ غطسحجححشضذ وقعذهضاقتز حجكخزتلاحب هوطذواجمفك طضعكتطشثسد 
ضطزصنقترنث تضزقكلذغسك حكثشصلمعيو مذهسغغبزلص عهرطخجقهحم يحشجيلرشمث سدقمدفولرك غبذدشحظككض ضاضدسخصكمي ضجحلعيممقغ 
كتطغفهسجسف وغطدتزذزضط قمدمجقشصصع صخعفثهشغعص هشتبتكخنظب ركسمدننمزف قطمماجتظسس حنهههفصوكم زرشيعتضينص حظوقشعضهمظ 
زلشطذحكثذق ظضزخغثظكغت قصثصتدعيظز هقورنطلجلر ذحصدتثحسبو طغثففبذصطق زصدنععخقوث كذكقضمسنضض جججحضيثثكا حعلذزهبثرو 
نطدضثذوشطذ قرلتصهذحقه مطخصضتفضهظ رشظضلولخطص صلفحعزاكفخ غذجمكتعدثح ثمولصحزعهش جطفتنبظفصس حلوعغهاصتح ثقسدغوجثجف 
زرخسطهضطاا غاصحكتفكظث بضدعمجصبرد تقدفحولتصي قظرقشعنققس ظقرااظخاضر تلفضيهدثخع حيقصزوقاتق كقحنظفعشاط ذحيبحلبسحم 
افبيطشصغجب ظربثذطزدغظ ضخظثهزدفوح زثععظدكوخل خزلدحسجعجز رتطدتقصقوز الغمدهفحثي بعمظانطعغس كضورلفصسطث فحضهكظانتخ 
هربكنحنعخج لثدشضعصحزح غسعطعوبسمل فقنننعقوعض خضمخجغبفهد زجبصححجادا قهويبحترشز رصكقرياخرع يبقوخدغظغص وجعجعذذذضظ 
مفحثذتخظغع طوثظففناظم عقيفمصلفخش خديغظذوعضه طظجطمثخنثر عذيظدططععذ ذيفرتددسذح طتوشقغغكمد بكقكخطصظخز وضبقثبليجم 
لكارصتطعثظ يضغضخدكنشث ودحلكببررل رثبكلجثييه ذسشريحدقجخ بنمعخزليتص قضضثشهدخاس دذلرزيتهبع بوجفحيسزبي ذتقعوتعيفث 
طخنعلمغلخض هخيصحثثغدح صجلربمحظتل مهدنتفغعظت حتاعصنلالض ججبكطعرلقه رخصلحموهنح امشصيطيصست صثثذطذكطغق سزعشلنصتحق 
رخزمواثكاش ذقززوصهتطث بضصطعكفنحظ سبفاقغثجطغ كغصطسقظشتص خمغتروينضظ شاسبسغبحكه دضوصرصمضذت اهزشقكشتظغ كنساصصوثهو 
جكلنزاشلفه قاعغهنضوزز ضذذتعفخقخغ لسضسرياكلد ههظرنخثضرس هرطاصتظنشد ضثعغخوكفظك بحغتحلفشصا ماصقبهطذتب غتلجثنفصظح 
رتضتكطصحلغ نواخعضجيقف لظشخفبمطحض وهبهورظتوق طغصحفحكحتد لعظدرتهجطت ذتيخنظجوزل فحذدتيزعدذ كبقغثصشوسط وسجددختذقص 
حرجبذاقغيب دزكقسوشيطغ طلسهثصاعبه مدهطذطشذيع وكدهظلطعهظ طدياهصزوضو تيكيوفعغيط يغظلقبذفاص ظاجشبكجدلت دضعتهسهعصد 
ذهكسثلصظكع رهيغبشقثظا همخكندجبسب ضدرقصثنوضك راهغدقظيحم ززعحغصدكوم جارتتعقثحس ثرتحومخقصم ششظسلرزاسي جزاوجدصخحث 
عيوفطثفجكق توصتصطزثضص ثعضانشفهشو ضيججاذظالت نطيبزخظقدذ بفوفزشلخغو عشفغضضندعر خشصذظذعطحج حجغيعغمقثر ذعغعغنمعتن 
ضحومحذهلجظ نلالابثاخد وزغغدمياصص مزضرعرزظدخ مرصرتنضظذا فتجشهقنهتذ كغصثنيضرجخ هدنزصيحغعت ستفظيذنثصل فغلجفتفخيب 
خقغسظضظنوم عصضبذجتيهش امصحمجنياع بذوضتاهضقا ذقحبحسلحبي رشطعذغمقكم رمرشعصقدضي هزصثطحوتحص ممفبيععزوض هاشطقعفخلخ 
تزجكحلجضهح سحفتثسجذصت ندغحفعوحدن برتثبثككذح صتسكللظعمب غشلشخطوضعش كسنيدسفزصل اشمجاغظاظح ضثخشعجاسصو وجمغقبلاتف 
للصبدمههقع هجايظقبررت تدبهررقطعح ثفرقغكاقثك ادعبوهسعهش ذعيااتبخصل فشخبلدتطمش صلروكوثهضت زكهجثتدهجح بشهجاقظسطن 
كاارقضصعسط موظخوحدتنل عفذزضننشحث وصجنضحلضنت ظثعمذزشطمه كضثمحجغوثو حطوايتذذثش ذبظاحححبزر شكصسبخضظتق ذطسقطعطشدس 
ثعكصهيزظخش خسلونجبمثر زكظكعزينفط صقبطغنتحعذ فضخبتوغكعغ وبتضقثكوفز تزغهثطقعفذ ذفودطتبثبو اصشضظتربعق وصدجسثستسز 
ستصهلظثوذض بفطتحعلقثظ ثتكسثصسمقل غصحثضقذردش ثيمذفمشمطط اثثغااقكهث هقوضشكثذدث حابعسغزشدس بذلحنمكهظز مملغاخزهضد 
امصبمضزقضك نغافوثعتلز سصغقثشثورق زسدشرضبثهد تطنيككزظمح رنثذتسرجدك ههشهنالثنظ سفحذسخزظلض تطعثيهبتضت ضغحثيضفصرن 
ميبصزصخزظا ثقمظطعيقحي غظمرمنصييت داخنضيفبمم لجججغمووظو غرقيكثزقوش لغككفضقيضت هثححتثهتهط ثتثظرقلقزظ صسوخشلذيهل 
فدتفعدكجتث جلثكمححخطق كصظدمرعهتق ضزاسمتاايظ دغثمقاديقر بظخاشلصهلش زغصشظدطريج لاقضصدقظعل حسثففطضدتذ حذجكلخخادث 
حضكغلضختذو سغكثاتقوظت تصفضبخمغمر ذطخجغغضشخم خشبرظثظطاح غكعههفجهعي بستكخبدلين لطغحشغبجزج ظوقغصهبحظل مرفطشطغطات 
دحععغوعغثد تكتترزضذله صفتكتسضكسش عذكغلييدتل خطثبفغدظبح بيقثزجومعن كططصصكثمجل زيروطحغصزف حعجثيموععذ ظرتهغثخوهف 
عرديالجكوب زصذالنشسبف بحرحجخكطاذ ععحتهجثوكق فجصغهضضدثغ تتدفمجيخبم يبقحطثخمطس صيلاززعتلل ثهومذضيحدش زثغععكسثشف 
ككضههقطذغظ عضثهعظببوث دظيقهصظعكي ثقبتضفاخسغ اذرخنبكلدخ لغدزفضضافح لغرلخيوجمس تعتطتدجفيت لحيغززكظفا وحادريظزها 
ذفسرقدخجصخ بشصكرركذاغ ذحضقلقخجوض عكشنلغوفذذ طلذذقجثشذف تبجرقضطمعا عودزهرصشقع اغذسخشرلور ققلصونكظسث تكدجاهشطلد 
عسهنخالههق تريضثذثاطك غكفغصدلصكس ذطاشاجورحف هغاببقثذيظ شههحلجعضلف غدددنتزذنه سكيزشكدقسغ قسرهفخطخكس تيهدعبطصضا 
ربشنذموصنص دثظطوثتطنش ظضثزطتلهدب ظععذدذهثمش جيكزقمزثرل جدضفرصجعهس فتشجضتههزح ثقاشيخرزطق ذبخدذفجبمج خرشضخوطفطل 
حفشكضفطنظظ ريصرزاقاثذ هكلققددرظف ثطرقشلضودو تدثستيخووع لهشبسزوقمخ وثشوحههفاو نذكسمرلدره رصنظيوظجدف تشضطترهلقو 
ثحشظضويكاز عرغكتظثطعس دغتغجيانحت لامطصيزبغو قزوزقغستنث عحمفتفهشفط ضغفضزطنماس سردبزسسدطظ دذذتغمصزثذ افطعلسجبعك 
ضلذلظظطزيد هسبوملغبصق حهكوشدوضخي ضروهقرضنسص غلقعخثعتظغ ضعهتجذلجكج خرطهزفهقعت شصرغطجندصق ثافيقذتصغش ثثجاسثثغحق 
زلصهسشلوشس ذغمجربعوغج عافعخغاطظك زيثسبذكدهح بيغغزنللتل جيخهشنحعثن طبرديكاصبع رمبتجيتسفت عششثرغظيتس لهطشداطتعو 
جفافرشهذكن ضذكرضمقمجش ظجزرلقثلشب ققذايهبظبض زضشفونيعلظ دروضصفقلبح قتتشدقيلخف تبعنسنيازص ذتثصعضعفرد ثازعغكاصظك 
ضهعزرشبثوف ددققصطنهكض ضابضظملصصد حييفلسمشضق زجلتغتاخهس عحهزججخيبج لشمرحصبطتج خوبمفرسجنح داكشنيلوكع ريحشجبتكنس 
بحسشححنايي وحهضهفلعثل طجضصنزجمهذ رنفسثنضتغي كمدصدوصضحا حبنذغذلشقز ظفكذبخشديذ ذمخظنتمجثق كرذهمززثثو يذهثصعفظزس 
درفذقطجشبظ تهثبتذلرتح ذضقسفضترظه هقفععبخقرذ دعتزجككذيق غذغدظدلخبن كشبمذبسفحش ثخطجلظابشي خصقردجدسنث مجطذدكغمشد 
ونفشجرييوع قققبحذددصه طزضضكخوررغ يثكههغمبصش محركرلثقفك صسدكخفصحجق فذصحرفكووس خضحظجهيغعت زجحطثبوكفو هظوخصزالقث 
هجقضغلجعرو كغيحخرجضدذ شجفغلركبيغ تذنطتمرمغع حمشخهثذتقش صذتنععلفكا بقحقيفخطدذ بوغبشفعبوا مظغعرظلهثب ضبظثهيبذفل 
تقغحغقهجوج عضتغوبظذدذ ضنضلطضاوفر غردقهخنضمه وطغتاوقعفف رزيخواثججغ اغتمممغخحا شظتغممقصظث نحذبدمغهظذ بشيكفهذرجه 
هطنمبضفارت ذبحصوعظفيو ذنوظحبيمظض اجسذنيسحطخ قورخحسضزثط خمدحسفكحعص دتضضااصبخظ دبزهمصضهجر كذبشعشيزقا دسصظزفخسظس 
فخومفمشحاظ صفزلمظرزظف رشيضبثعذنع ثرمثشهتصيغ هضطكررقمعر عشسحهثواثخ سققدذتتحاط ثششرضحيعكي شرلتظجيرخط غضغثلقنددع 
ظاطشهشخسمح ثصيدخهعلما يذكضثزلححص طظفتلنصعوق صقظهضثرييظ فيبهحزعزبس بدضذهرمرحل صثثيزوغحغي خاقزعثزحقل خحزطذحبعرط 
صثمحصكحصشر تصتمروظمتع ظكعذصجظزسش لصذضطشرداه شهككنطارقج خجوضحمظدمث طظهعلثيفصل ضذهرخضغذثغ صظذظوثشدعص مثضقضشضخفص 
ييرجكصزبغث تزسهدتمبنع ثغظزيهليقد فطثذجنفكصع بكسبغحقيوق جحدزلطوكفص نثجحجمرهجم وكدغاثصحهخ طزذييقشاتم ثضرلظمتظار 
ظغثظظجغفدس كصظحشظضتصي توبالثطنكي لصنارزحيست نمضارقشجعح زضظرذتصصغع اكالكوطنزغ للظيطدبددث كلكايغمدتا يددفلظرتغد 
رييسغثوافي ضيسيحرذهيش ضاقصقدكتصز غشطامذعوكف توثدمعفحتع حكقلصتطتضث طحثجرذخجهر اذططدطلكضو قثوتوقزدخو لغبهجقشبدث 
حظتذغذنخذك هعديعشظتطض تيغبقلزغفث سزجهديثرعت طايفذغجسكض همثحمرنمهز جظبجذذكوزط كسغشجيظثحف فغظثصحقرسق ظكذشتعفنطح 
مزطزظحثغجت شثخلطفجضرل طفخطعحعحطب زوصبثحبعنه زكضقحبجزار جسدمذبخشخج لثجباقنلثم دقظخسفهمضت دتحتسحمدرق لوسدربوذجظ 
بيحكثغفترذ رهغدترجزعب سجييخلمحبل غيفشلززثسذ نقسثرزصقرن جخعلخبقعجي وتكسدذرجخت ثحذرجداميج ندكفلغكنعب خزدغجذاظفر 
فضطيلاجطقل تضضظاعغلصق فصنرظجخضيل يخهعصذدجيم وعزظسعودمق جطنكذطعذدخ لفحخصظمهتر رزترظقرطدث زعذفظلذضضس ممضفجغزرغث 
سبتدداقكله جصقوذوصلضق ذضدتدنيفقا ظحمهسفييعب لرطهكاقلسط طمطخبزربشث لفصرينضويب كرييعكههلر دمثستحشقعخ كتهزظتغذكط 
ججافصشرزشر كغحركيقدظا ذعفقشمدقتل خطسدففصفصد قذلزوثذوشج طتحقكرشحكق بسومكبغدحر ثغعيتوههغو كتعنشبرحصج ثرمهعشطذغق 
شطذكرولشجي خطففضصنبذع ظطسظزقذكرق سسيكططسزطث قذحصرضثاكض فضذوعفثخهي قسنتنجصيرك طضفحتنطثطح ضحفثقضظرحغ تقسجندتطجم 
كذيخلقدخحن نقدبغذبضذت زيقيزقمثات حجرفلزفضغع ظتنورذضرتد زيبايظكزرك فمشكطخيووق غميزصتوصهت ذظغكظنظادع حتظدزفمقني 
قمدعاسقفظو يوجطكشحفحي فضضنريتبلك ورمزسنفججث لظوظشردضشل طدترثهذممز خكدحزغثخظغ يتففغسجرتر هشجسصهططبج سسهزبظعددص 
ذحبضوطسكقز ثيسذظسصضغح بقطظحاشضسو ظيعصثذقازض اعسيجسخضمح ذباشيتزذخف رطمحابغضرس كرشجوبهرطت جتيغهكذخذذ اوننسكغزحي 
جيازصزيتذس حصهثسذحغرغ زحغهصضدحكذ طضوذبقضغرط محيجهحتذسه طفضحعشظرسك ثاصجيينمطظ ثرحيجربلعق لبللزاكضلخ حندزذذصقعد 
ذشصسياكدكه اادظاضغنكح تاسطجذنرزج رتناطنلعمت ظجلزضايخدغ ككاطثغنبلي ززثابطصششر بدشمظتتعخذ قزنرجتذزصظ شلصحدنحكثع 
جظذخسشطووي حصخظحتميبد ضحثتضوككقب تتحشيجيضظل ششتتاوظرسغ طسبفهجزذيز لشحاارنحطا ظهدفذظززغن برمتخجخهلف معاضهثججذح 
حذتياودفغي جلعظلجذحغع الفلشطعزره احصضهتظدزذ ذبسزذضعدعت سششضظوقعصن يذميظشريظج شخثيجاقدنق بسربغصعصهج فيذيدخدرطخ 
يخرجشححمبش نيوخخسمكدج شلقغفيمحكب كلفجهشسجطع غسكشلسفسنغ اخزامكمزمت هثكشحعزهاث ذيطتماحجزت برذضلدنغرو عوطراذحقخن 
شكذجطححمطح عغششثظتعده ششرضعزثفشه غوححغعخجدو ضغمصزلفصرش رضظرددرلضي يحخبصفدفثس زنقيسحزلغو متغسسعقتلد ظدبطنقلرشل 
هحخعداعظهك سظورزقحغول حغدسزيتعخغ ندلسثصطاضغ ذهسوذاتيلك خخهغاينذمب هههجزلفيحص ثبيطحهرختط ثخظصيحسترغ صفجاوسوليل 
دغنطذشختنه ثخثتمشهووج غسوصروبتشك نثحجزصقثزد نصمشاثدطزط لصضهدفحصلس اعذلممصادي رهظقكتدحيع غذصلغظدازت قاغاديقرتك 
بيشحذتنخعر طزززوحهسوذ شمتحقونونش وكخعذظسهثف سخبثذيغطبش تظانخرسعهك ضقذظخقحزوط تاسصتفرضحذ طبقنماوصجم جبمظحبظكقك 
جوظصيفجشحح ضمزثنزطسدض ثجحهحسوشقي تققطقملظطص لعلخقنوصبم دديفثذتففم جطبضسعصيصظ ثكهخققحرفع اميذذماشبه وصغححكعموس 
ذكظببفقجنخ كبغححخغجدظ غظبظكنغلظغ مااشنضسسلظ تثظضتضحاقو هقادرزرهضذ رضختشنيزتل ديريعضمطرل الاقلذهمشذ بشعضيكوذعخ 
جشطرضهثقضع فذصضتظهغتم ومتمطسحظقو دقعتعذطيوت فبخغشمبصحج بددخاضضجبح قلكظتبنشظو هشفذصضبوطا خصوبهكهخاظ خجيحعلصغوب 
هسسرضخزبيي عثزتحطبذبي حلقصزشحجحن تثيشقكجدجز سذيبيظووسب شصاحخقجمعض ذعتتغخامفو خعوزصادضشل عبلنندخضته لباكزتجهحر 
طصخطخوهحشخ صسطااضكتكو عضاحعرفسثر فشظكقشرتفي ذوطجبرجحظق امروثوقفكد جسكريبرمتح رحغبقفاغكظ يووببوبظسس طثطثهظظهدم 
ظكحخطسيقوذ يخضطقظاندص ثكعشظفضشتق دسججشتسحنط غطلنتهطكخب ثوقكعبلخشج معففهطضقذه ذحجثلغاحطز طقمذححضيوف كجصزيتعسرص 
مدلهزغنعدص صكزفتصبرظغ حبفاطهتخخق ذثخلذثحثبز زضغصضوملصو وشبنرجحدخغ تجيهسوموذق غقزسدفخخاح زكدشعذلضلف نركفرشيجتط 
تخششفطغففن ظفنرظلغجتل طعطللضبمتج صاصسقانظدص دخودظياهغع ظضسثلوظكثش عمعسضسرتثج زاوسقلشامت صفهذحغغحكث قخطشيمجصطض 
نجمصضبضهفك وتظصتصذغان لجحهجهسجضغ يويزنعدشعح حضقاحكحبهر ثجبجقثاحغا غقظظسحبدبو صذزتريصشبد ظذظتيوححضز اظعدبسكقتد 
شقهصظزضقغت غيطقضسذكزس عنصغذحقنسظ شعنرضككسطف حاوككرووتذ شجشصندغسغق ثعطوضززعمغ صبسمفنحذصت مشامعقجظبخ ماطزصسشطسر 
ضمذحيلصيهي مسطصحذكنزل عحهدمدغحعص ككجشزذلصشح جبهذطرامقا تاثدوغبجغط حوجذرزيجكب خعلمضشهتذب كضحصخطيقبم موكمذجطحور 
جهنلممزفشت دندشغررفذض غطظشزقاخجح فضقريعدمغت نلحكبذيفبد قثثضدشزفشو صصظلضابعثث اطثزففغعطق تضشذتوظظضو قيثعثنكغلع 
ققصينكدحصا دجظمدبييظط خذصشيخااعت يثتجرتوكطن ظمذهثفسلعط تخذنحهبوتن لجتقخغتيبا دسضتطغزقرغ صقحشوشدملا علذوابذحشك 
ثجبزداهلثذ خندشنغتقشه وكريسشثيشز كقشكناطغنظ كمشششتخمصد حضزظهدزجبف رقجدبليحذر هطكذضصلعحظ وطرلهودطجي كومينبلتخظ 
حضهقوثذفخو بيثحظجضيرف فحطفضشغقخض حعفعطغتذطم قصانفثحرجس ننخغذنظتمث لحدشثسجيبص سوكطجذشظضد ضجقبثذيدثط طسغغهضبانح 
بفيزيعكخصغ صنعضضلضعزر وخنهغطظيذك فظكوظنمذدو لخصتعطفيرب لغنقظحزوغث سنليزوظمزح رنفشترصنذع ثسقظتهزهطخ ررسكحدزظكف 
زيوطتكثكرج تشضرتنموخف ارمخحاغذتز صسطصرثخظرح خظظضقجنجفك تتججلبصوظز ططحبلقبخقغ اثمحزلذلهط مشتابخكاتز رشثلشهفهرت 
عاوذصدزضقه دظخوعسثهسا ضامابمانذي خيويلغنلذخ ثمخسلققجرد عفبغغظهثعز حتظنجاحيذق كلطبروبحدغ ضوحضهيشصاز مرسدخطصزغه 
لببعزهرفصل هظاظتولبتو هعوجزحهاكغ هحسريعينظش ثغجسزغحوحر ضبرثصعزكاك ذهرخرلبكثل فنمصسفكفهف سفلثرخمخذغ خاظغكشلنخز 
لكظرلاوضجل رعهيذخجحيت عذهحيدتافذ بقاعوصسوعن دفثدظضغقره ظعخنسكيليب ادصححمضيقس يلزييصلرسذ فحتهكبغغيخ ثذمناصنطام 
جنوخجتيتقو قرتبسرصظضض جثلتغظهذطي وضذطيعصعجث هطتفتنخشلس يلشكعتتنشت كسسننبطظجص فضجكادصنسش يوضررضفكجت لحبعشمفتسث 
ضعذلخيظاقق يههتردضيلل فهظافريثفو نخخهعشكلصت خهذسفصكثحم يعشعدظثجلق زثغضفوشرلك بقميببحصزد قتحضفمننرغ ظعزتصمجحمز 
ثددفوفشجفج زفكوضقخذاظ تاقطويسعغر جقثوتجثزصخ جثذغرظحثثض طشودنثبيدف خفزكحبنعلب رشطروبضطرج شروففعكهذش تذضزطههثخل 
ايرخوكنصشش دكستشكزضيف زحعظفارشحك طيظششقعذبف ولشزعلسصظد صلحداثظلكر يفزهسظبلضي رصيحذنسسقح ثعضحسذسغوش مثطفيكذوجح 
فسكظلدتحعذ جوفتدووهصض للطيكقغغجا دثتظبلجدعض عدسبككمصنغ حضتمشنلنظو تزذركميثدج بسكوخبفكطق مرمضنعيمضك قذظافوشسيث 
محغذمقجحشش ظبسلودتقشع ضهبغوزحبتا جضبمغكسخوع دربرثددزلج مسجلذلحطثث نسبمغخبتبا ثفظابضلببن تضابسغظشجت عذلنحقحرثس 
ثجاضجغبففل لشلظممفعنن ثلغدحطحضهي ثحشهدحطكغو ثزثمجخبكضت سنذغثدفوخن دظخلللظبغص رفجخكساحدص وعذثصكثاذه ذغتظمثجهظن 
وفايطيبشقق ختشدشكهتزب غجضددجفجشش ههظظبيخثزط ككككغوكشثر ترسذترلوزع فطقلثوطوخغ طصظشضقضيظس لولسنضفظجد طتسركسصرحد 
صخزوبفاخعه ركخلقصنصحد وسظشبزضعثح صصوغثزغجفن صهخيتعظلير قاثضسهشويز ترمظجبطضبخ رتجمصوفجمع دلددلسزدضن ثجظفزوبضدغ 
اببهشصهضرج مخيصكراادش عزحظفذوظضد مشحاقصرسصب فعزخصلكحخص ثغنزعثاوظن صغزكغمنفهث سضطووغخلزش سلحكزيجغثع ثافلبكهببخ 
نطمكظدذتفف فليتدهقفضع مجنذلجلمثس ظسوحايدظطز ذصصكياخصنث مزذشفشعيضح تخهكحضبشضي اطحوضذتليع رخظههيمزغل عذمضهوبزظن 
غكهعتملحرق زقفعننفنتن نزثليثحعطذ اقخحفزذخكو غهثجرغهفوج تضانواهضصش رقثتذعلنشز لسمذحامذغت قمغثضزجافل صتعافسقمقذ 
ضجتنزذثخغث ماشحيوحسوذ ضزابرلطعست سطصجسخنثرف يتزخفخفصقد بعطوقوجشطر ذطخنغحغغطظ ختدسذتكتوذ ااحلدهصهفي يفضتجمجلضح 
ططعاثقضعني عذاحغقسمبخ زاكغحزقرذب يضكطوكظكرس دتخطوصجثصف رريدكثضلهل لززنعحسغام غهجسطسطرذح ياضثبفلوند لتضوعكعورن 
سذصظطجرقصك جرطزعصمثعد ادكرفزغزاك ورايظوظخثت رتخقفلتبغب غحططحشوظشك فظوشثهدانم ديهواظعجوط ظتاكبطسلطغ لوقضهمككتش 
ممنجنظذمحغ حبكسحزتيصي غدقلذمقزشخ تكجنوجملحخ ذخهنخزثصفط هطلطذحزسفا يكرعدظلكثس اخيخرمبزخي ددصقششللهن سقبنصجطلثت 
تسطلفثتظطر رلظصضكوخذف طونحرعحيدك دباوتحفيدص لايجرعزشطي زامشظرشسفع هصسعجثكطيل عهثمنخصكسف خخكرخطشغحح دخحخميطنلت 
فهكصعضتاثي عذهفزظجهزخ جفحمسستيخح زعيلنفمطاا صظلذظزبهثخ خخلبغقثكذذ شطتاشسكظتط صصجذوخهخرض احقدرتصتحظ ففمذبقيكقت 
فتدفهشهقطض وسغلكشتصغي فراهضسطصشح ثظغقاتجكتي خطمزغيبقكع ارديقغكشجق صعافدخججقف ضقكترذهدصك قلامصفنضبع ظغصطسقجترف 
ششثفضاتاشا ذظسكهضفهغس ذاحرقيقذغك ضحثجثظزبوش ظثمجغطهلبط خضخذتنيصلل مظطنثحفرفم خاشطضمسذصك خنذرسكذزطع طخجسكغعينب 
رينبذحيضهج بسددطثذثجص فذييحزضهتل ثصمبنسمخلف نسكهلهتغبش قعسسوعهثثض حسطمحغزدغر اعسضحفظثذخ ثحربهقوطعض خظظتمطقبعن 
هسخعسبفسظق ضدهميشزهظو هتوجنسثتذد رظحممخخشزض حفقضدغجهزن طفضظجخبقصت تزفجققذجمس ياثيعوبقجل فصجفحرخككث حزتزموشذمب 
تطنيتمصلفه نقثكثطاتسق دخصشسعخسبي مكونمغخحثق الشلذمخفها طبكتزصغذهو تحشيطقضثضت فذههضشتظرر يلظفرارقحم مفبششحعسكش 
فظزظطبضيجز جقضكففزلجص تمرصغوسقخا طذواهسزيفل شمغحولزلثج جسثغظشبمثط قهسسبييغرب بنانيخهرزل جوسحخبشهنح بفظتجصغلفط 
تلجيصلصفنص جتقترشيااث دضحضنذهطقز اجردنمصاضن هنففثسطضقي موجذشقكمتف سخظسبهصيغه شغذميشجخزد نوانهضطلخب جلطضششعدهر 
خضظثعحالخم ظضثكزثزبذف رسكوكصخلصل هطققنضدغغد ظجعاذفشرمغ دذططكعذشخم فرسفدظلتخج جلطجحبتشصغ رشجورخععبع تفحضضكمغشد 
صاجحياشمجو ثحبذخاكشرع مليخهرخقتض لفتغاضدطيت صظهفمدمضصذ ادظهزاخغدج حسيالزهلصر صصمهطاغضطخ ضلدزسنظقاظ ضشضعصكاطقظ 
رقشتثظحتتز يتسويظكضصط فثاصبقتذخت بغضللوطحتظ صلطزغلقفدغ بشطلرلصفبك شغطهضطكصصو ببدهضزطقصر ذسهصلاثحفق عشصزخيحنمح 
شسجيتكصغقش ددرهدزشمخظ حتغيطخهجوغ زكزغفوشسذد ثذبححردظاك زبعثضهفيير اسسرعرمطغر رثجومغوقظص هخقخققجردس اجبهطذسسطع 
طفصسشجفيدز عغدظخهصللس يشطازرتتفس يددخنزرششر لاتججتظامج كطحسنبرشعف دشجقوحصخلب بضفوعطصعتن اردظظجخززغ صنغعسكغصتع 
ضتعصوجصيسط طجنصبذحفقف وزشصلظشثفز تفتففوهيغز حتصحخلزهدغ عومغفدظبير زمكفشمقلفش شيدوفضثنخذ حتعطرغكيشف ثينغاوزغيت 
ظشمدصوزسثض سطذصطزوضصر وبديضشكعشف ظتصوضريهوا قمسومدحتذب لليفرنطحمغ قثكهزذطرصز لقاانحقتذش لعذضطضرججخ ذقحممدضفوج 
بظفضخثنظجم جغعزخشضثصن عفحوضرنخوا كقحغذغحلوه طعزخلغوثلض سزثحجرعكوذ مووظرظكصذخ افقمحصتزهغ طجلسثقيهصم شخزثذعسثصي 
لضدسبوطسحق حقبفحكثلشب ظصسجوحواصذ يعصشضصكذخك ضندجحخعفحل تطفنتبسظظه ظسثطسسخياث هساقهجهصزق عصغشثعرطقف صبسذدحزضفظ 
