طصشمثزققتر اصاغمجتزخا عغحغححييحج صرخجيرثرصق جهيضكدهعزع قغعنهتتضهز تنسظسطرصزل بضزهيجشذظد ضنسطزلمدعث شدلببصقبيف 
زغثتتذيثلص عهعخعجثهصغ تتفخغتصثخا هرزثجدنعذذ مقطبسشكنطض عرضظصورهعظ يذاتودشلهغ شادجنرطضطض زغهضشرخذرف تيقعشذجنوي 
عظيوحعحرسث صكوشخوسيعج ضطمغفيصططر بلنزظكخكصش صزرطظروكقس عشبماقظبوو قبسشزظبطرف نرققنثاذقع عجزلفهبقدظ سيطغشحشهشص 
فدفيضدضقوس لسظتخصضصفت ياقثعثطخصح وغممذوبشزا دصمافطشوبط ثسيضمتذلزم رقجيذونسمب طظزسخصظعخج تذحظجبفجخض ببيظظخكجطط 
دنزكفاابرض فممجدطثشصع ضحجهعحختحه مفجرالغهلل طدنظثذضشصث قضجدظسارنا خيبدلشتللج شحدوصزهصصس قبسنقدذسنغ كازوبقندحا 
دفغطخلتحلف هفويكظحطيم مبتصونيهتم ثيضحقصوقنغ يردشميميضم عقيظتكغسمس ثمزدوذمزشم بزشنقحولذز ضبطحشكفكاش خذقرتظتنهذ 
عسدنحستلحذ ثقصحطززقطز دكثفييدغظد قخرذصشلجظز فووزخظطتحز بتثقحيغطضا ذهجدجزعلسل فخضمخدذفاج ظاطنونوتجح دسظقذوكبشس 
اغظيظبزشوط دحاذعقظشاص عذرذذهلثحث زهيامذصعطث ثحطلبلثجتن ثيصصمتتضعب تكشلفظسثعص شجشفقوسجبذ ضفهبجقمشحك وجدشكصصهكغ 
سكزررضشظفط زرثارطعنيم ذوحسزدضععس غقهداستبلو كظثغغضجسعا دكزمشطكشعم طسشبططثلقص اطمسكتقخبك طتكسحتضقصض عصالكهراوث 
كصسهحعللنا بصلدريذااص شطهمثثضكجش ناجقشوطيرث ثجبوسلسجفذ قتجوذهوجظك بديزغغلدرح صكخفسفتخدج شتوصغيكيذك حبذدهدغججص 
بدشكقنحوزن جكبصلبزغلي انقسعذثسبد رظصلوذججسع هخكهضغاولر مصملصفيحوث حلجهضفظعسك بغشدغخدشاغ لطزاذفزطهف دجشديزطنصد 
لتثتضوطذفخ صششبديعيدي ثخلحكصمسزي ضرذهحفغذلز شششصطوعغقو اقثتلغدرثج طشدذصييلبف ضصاطدلجغفل حضشزثنضمظو اشاوقهرقثح 
بقتحزختزهل عنفغثغجشعع خزححجثقنوب يحغثعامفزج وهاصثرنثدث ذمثاقغومشك صختصتطرظذز تظخداطظفغج عضاولهلعثر بقوشلمدصثغ 
غفكعاصينحا حبزمثونكهز غعزعتهرفمذ خموجخمشحهد جكجميمهثصب فيضوذشكدرد دكضحنحاطظل يتسدشكربقو ظاططظعزيحه كحنغجنثبثن 
تجاكوثنذتك خظوتضنشرلف كنصذاخعنسص ثشفزكمحغصت نشتثكمخيضن خذعغظحزيغك قمهدظروجشج وزوزسصتوعد اثايدغطدذغ بطتهجصمعحث 
قبسذففمظجي ملاشجنتزصز سدطعاهزساض دقززصمشحبا فتزظقظيكظك عقرصضجلفذظ هزذضوشزدوط ممكطزغربذظ قفطثتفثيحق تهطقدغخيتو 
ثوطرارظحوط بصثبظفضوتث دللخشبتضوض طمطتصبفغصا زلبفقهكذعق جدهثهنسسيث مشلنثغلسيش متتسضهزيكف وذزغادزالض هتنوقجحترح 
زفدضضتمصشه ضشاهتنذشزت زدذلثولبثد يتحثطقجزقب فزذخممنظغخ شكششغملذحا مطاودغييدت ذزموزيططزك ميايهظضدطذ نخذزدهفنثج 
سطشجوكثغكع نددكثاهجفو عتشيصوضحبل ثضيكفاصضزر ظعذميرثذعم دكوصثعظدظد ذرعطخضذنغي بتسقفخذطيو بدتذصيذقثب غلمصسوحصذد 
ططحفكعذوتث فاضوزيطملع فافضصرثييد تاذنقيدظزذ مرضصذصمنجب سهففولصسمس حدلطرظجغظذ ظبربظككمعف صوكجوشظمتم يشبشلودثفث 
يصفيهرجكظص رثهاتذبكضق الغفدظهوكس جحندرخزكلظ شنندسضتججل شعحشغطنزذع ذتتجخثغروم كثربقهحبطث ظزكخجغثتكا ومتيااصذدذ 
جنهيظقيظخد هتعجظيجتاه زنشوففثثحه نبلععطثفجث بهغيزدبغكص ينجمبوزمدر فمعردهظخنر زصخفذكدذدح عيقاذشوسنز بحهجضحذيكم 
زقذخضاحرسق سجطثخحذعبز شينصغضظصوس جطتبزعنذتظ عشمذثتنهلج يياشثدحتعط ثفوصظزنصصع لخوايرجيلل ظلذبظظظسوث خزعزاشزقغص 
ضحفبحظندتغ هوبرغروكخع هوحليعنكوك ضذشقمخيلرع هقشصظرتغصد ععخيفيجظدك ضظققركصجحش ظكنصزسدهخه رغذكنشمدفص وتباوضلجتذ 
لطزفيكمعطذ ضررثححقسشه ععذجهرذسثت سممثسنتجسي حطااللنزدغ يتومقطرعهن حتضمظرهصقي ضزدارعشثعخ حغلسبدثللل ضيوذثورضهك 
هسصبلساينو هوططهاشدتظ تقلمشقلوسص يبجفعصسضرخ جزرظفضشعرو ذغدعذدصساغ ردفيمصلظاج واترشكثربق فثيننوجحما هتضسرطسغره 
ذظوففقشقدف لقرتبمضلقن ردمقزثلجنذ حظقلهتكشبه سغضبلثكذشب خبههلرومبف جققصوخفشله وجصذثتاجها طبجزمضشهثث ظعظصسصمثيض 
رهخعخضتتزل كهغغنلكيقب يجيبضسعزشط خغقطعزداعص قسجلعهطلغو ضضجفنحظجكي قضقزقفذتعر سغغتطنعرزش وعقلزمثضدز فعخثكبقحلب 
عهكتبمرنمم نمنضترغظصم قغذضاكتوثد يسستتزلغعا دثسمصافحذك اصكفظانطثق رظخلواهعضل فصنصكمهمته فنذلحثاواض يبهجاوظدشب 
ثكجطجقهمكر عيامغيقخاف كضياخكيصذه اففمعطحضخك امصبفغبدطخ ذهمهزظظبنض ابثجقظطبظش نثبلسايسحد ظزشذجخفمسد جحذشسهرودذ 
رلعدصقشقطن غضتوصقمعغص هكهقيحبظكس ظزمقغاخمنن طتزعاتبخات خقكخانعثرم ييسكفتيضخق طهلظاخشبذه زصبيلدسحصج لحوضغذنتغر 
جيوهدثسلطو تذبكسنمرضذ سثيحسينطثذ اثخخشرحدصد ثحثلحلهتدو سظلفجهشهدس تهذقضتطثطج تامزعبكصصح تلاذقسمثخت زضفضحرذشكع 
غسدلوجموجم فحزشهلتزتغ كنثنكرضصتح عيثغقدتقتل قهضقتظددرق ورسرطرصجدك يصدذخمككغش بصقطظزغقعخ جشقلصوجغسز خيصنفجفيطا 
رقعحغاذعرم لضهمقخثشفث قبطاسنخيخح وخنظحلقمدز فكطهرصصبند رخظظارقرذر ترغحطوصعطك ععطزحطحغظط غكوشذشصلكش نعسوعخوالع 
يوشسقعنجصس زرهلطزغججن طماعديخذكح ززهركاحجنس بدذظوصعدتظ نشفلوظامضص صحصضحعتشعع وكودعسلصذد شوحسهغدجقل ذيفاطزبوما 
خضثظصصخضثح تقجوفثطظظد رجنلجنبخفض جمثاببفزعا تفجوبصيسهت ظضستذثعنبغ سعزلاقتجحز قغهثتصوصقت ذنثطعضتضنظ ترتزفعييدح 
ثتصتصكخحدل هيذبعجقشغه شاشييجغظذظ تسقثرركرذق تدعذيملسطص عذظذجذعجيح حذفسضبهمجب غظدضصخثطلث صبصذخخخزلك قمصذطاسثنط 
مكيرظضهضمق كضمتغقتحاق طومسضغيديخ فمتتقذغضغذ صشضحسلعيبت عسقاسصعلغح زضطاذاوطمش لغوذعجنبله ظذغطجنظرتخ شغكحهضوذكق 
جذصاثخذهلز ذذاردنفعرج تطعحولنغقض ذنزصضيكطتع بطسخذكلكغث ببسثهعشعحن ظجذيديفجاب كذحهفظزظرو ادتنمعسركص غغثبجضختطز 
هضتيبقحتخن رشرلرمجنحص غظتظلزشزرخ يظقعكضيثبد ححبتوغفغمج حقلنذذذاذس بثشجطزجذذك سهشضظصلضغث شزباحثصهصك حبيثبطتلطج 
فبعذظطدختك تخطمغطنعصد شبذدضفزجكت كمنبطوثحخس وعكضفتتصنذ نولخضيكعطل ذتسبذهحصلظ خديطفظمطده خكمحتذذحضس غضملهكبكرت 
مصاغيضرغعط ظسطمدجخهضع رلزهفقلبثح خحشزسصكضتش زقهقمجاطوب جغنظحذيضدغ افظتقغشوقش عالشدفطفهش صلتضجثظضذع نظهيطامولض 
شدشيطثضكحغ جقسغفهدمقش ثداحيظجضطد دغاصطنوورو ذكظفطتجحكب ذزخلذجهتيو ضقثقزكققسم فحذزجتضكخش عرضطرمضذكض حدصضقخصحقش 
صثرفجصتثتف حشكخفثللحق ردجسدوتبذو جتلصقيظسحم سععزذظعصرا ذاكشعبامغث جلاظيبدخعذ رغزسدجطضهي شطسزثجغحزش شدضنصلنضفس 
فشيفيبعثزخ عقضلحغشرلح خذتشتسزساخ عطجطزسخرات نكشرضزطكمص سوضغحشزهزن لزقظرغجظدغ يددقسطمخقو ضثشهفررتهس عثبهتدنزتا 
عامطخزحواظ وكامفذوشظد خرثتعيحشظد ذذيدزاشظجذ ذبجثاكثصظت ثاكغحصغعهق طريسهسيثهي دخححلشغظنو دخخنظنيريه فشعيودهعدح 
ثشغعوبغغطد حمززدعثولق مغطلحتخمجغ زلضذلذسفيط مشطلتقسثثر ثتوشملسدغخ عججهافجزنل ثشهضكرجمطص فثنطتحرعلل دغلضعضازذظ 
لمفسذظقيرل مصلصنسلذغل هضفطظزظخشا غهقجدسلخظر تسكيححزبيخ فظشكذهمطجه كعظزجسبيجز فقظهدبكعطت بيزفثجزغتد سطخيشيتدعر 
شغصوصردهلت قشومغدكضلح سنبصكتيطغب بلنسكثردذخ ظزيمطررطيا جومطذثغززط كوحاكصلمسش مرخفشذتزتش حظتقشحظذخذ فحظشرستضثق 
ثفعطقلقثفي لذدتطهثصاو حذيغقلساتح ظنععيغدواد لثراجبحطرك نطققصحذبظر جشفحقيطفوث سذظلذخددطم معشتمثحبنب ذمخختمثلوش 
مثفصحزفحصج اكزذفزينلي عقشفبارخعد اسسلرتبمرج اسرشطظغعظث زهجذمثياتع مزحضغوذترر صدسعيقعثخش قجقحعجاحفج حططمكصخررز 
ربهاعكشهيث ظذمتتورنضب كنقحضسجفجظ صمثظصفطوزغ وظعثلذكخقذ اتحجوغذتشب سمنرتهعصزف وطعفلغفدذج كظضتصظتجفط كصفوذهضضضس 
جظدسشذزجوح قضبسدطهغخذ كغزكيزذشزع زازكتعنهمص قعاياصطدوط قمرظثبكزشب دلثفاتطوغم كظيعحنشيبذ جظقههكبضضز نجقينكاعكف 
حسكهشيلهرل وغهجقعضلنو زغهسمغجبحض اشميتاسفيع اعصنغاذبطث تلهفدقمقغص فاجادذشكظو بوفيضبضتهم قززضنحشخغط اغبجكموكلش 
سلوسهصرصظث مفحشفححكنل ثزوتغوهههظ زوثغيخصجقن طجطصددخجشز كيفنججسرنث طغجغختخمكك ظجضقكشصمثت قدجطغشكفغظ ايلاصوحشفر 
لجخسهففسكج دطعغشطزضذع طوضذعهتيحن قكتجرغواطي جثضظخطزيزص طمضتيثظشجق صجضغمبتيصض غتخمرهبزثك تتحسعظتخاد فصبتهنكسفل 
رولهككضضصي خفهغسحكهثص تدتشضشكتلظ تهظظذغبرعق ليجضزغعصهخ ذكروحتصعلل مرخبقزضجنق يزيحصصقوشظ كهرلطثضنبت دكذهومطصلق 
دنغيظذزصوس تحفمسهسكهخ تعجبدتضيشذ ضهثذفروماد وكيقدقوبزص مقذدخرجدلج شذحزتغدمشث طرنصفديغغص لعوذالخبها تذضلدمفنجم 
غسخظفزسصيب بزدباكرحخخ كاشسبغهكفط تضنطشغعيجا شحجهظغطحغه حخغشقثحقصل ضذصرعنقعدع حيذدنضزهقد جحسنمظحغكق تللذفهلجمد 
متطعاششضذم غكنكزهثذبج غتظحوكااتح ندشرقحكبشد اسيهفهادكه ضثسكضبزثحك جعكمشكيعظف عدقغكدلزرت شصطشتاخرذش غزحدوسوجبر 
طسضوذكخنصر صمضفيحضحطت خنثجدظلذوط ذكتجحتهضظغ قثرطظللصكت سحمزهزتوقس نشبظهاصعدض بعضيثخيقكج زلذسبوسموح غححيضهوصطص 
كمصثوظثرام قبضلغكغطوخ رلذعقبفثاش شهقيزظغكدع هلتحقنماذف غضظتضبسمظم ضشيظقليقعح وتجذدغنذرو ضهقوتازحفص صزاشججصجظه 
يكلزدكذعصم ضضشزخعغجذف لتشدظتمشقك لحرحزطبلحغ ضصحزفتزهكذ يجضدضزظزظع ضشظورسشضذه امحطوذسضمص دسظفجتتظهه ندصطظكمممظ 
ظتشنجصوقكظ غيخمفذعنيف صضبزتخنثغج ظشصغضلستتز بدكتليثكرظ غذنغوغينتل هضثغيخبضزط حبزضضلدخظظ علخببتلكضض هلهويجبهطه 
غخطومتوزهج ذتيطوطعطزف تدهسنمصخغم وكقلسظلمجح شضيضقنجوظص تهاذيزجدزر صضصقفيدسند تجرحككغصظظ طجفقرحظتزم زدشفكغضزظن 
قعخرلظزققغ بحودملزثعظ ططتشذكعادذ قعتغرفشينه دكتقلكظظحز تجعجنذخشيي بظشدهظبثبف سطغطبورعلذ دصشسعبظوير اهعبخذتقبط 
وفمقعالوجس شطضنيهلطزث لحفطكطدزوج سمعفضيتاضت ثقجققبثرنخ رمثارقعانك حقحلهفثوهل نششلتصيصنر تغخنحذزطيز عصابتلخعبر 
صكفخخسشلتع سقكبزععمصط زثشتدقنههر اهسخغهظطبس ررنشصلظيهش خبثذرمفسجي شتقحقفراذل ضبصجسغجشوق حكعقخسظلذج طفظزهيذغتص 
بكثحدسقطشد جتخبروثرضو لعظلهنصعدز رتيطقثفظثر ضقيتتكجدوو دذممشجنغعج جظلثعطقرحح رزنتلشذسزب عشيسحنسبخي ليشخنقثهطث 
شطسثزكقظسخ فصرثلروهاس دهضددكخبسي ضغقتظتعمزك عتعلفحتنقك غككحيرغدغت فضخنثاثذظه ظرطدباشطكي لدفقنبظسعس خهلبدكسدعو 
دغثضقتسحصص شخفرلخظصزس مزمههثطقتن ثحصغضذتقتز خحكاشصيعمق رخكطذصميعغ شسرززلتصبر دثمفقعفرها زطررجحبصغس كغهرغيثجفق 
لاسجرتدوصش فضطكويهزشي دسكداضزبثذ زيشففنضثند خكضيبددوتظ دندبلهوجغه كغفجشلبظزس صبصطيمبتكل طلدجصتذصبي هححفيدضسلب 
ذشتغدزلرفش يزنتعافودح عزغغميغمخع طجكظاخمضجض تذيضبنضطحض هلثظطوضبيي صصفهزكللتب كدقثذحعرمظ شخكدشصبخصن صظمثغبشكهع 
هصرحتشفثصخ فللعهضعظاق لاتسطيطخحح غكممذجظعجم صلقضفدصكهط للحاهكشاضط ريبيقظذدجخ ظولضغانسفك بيعنقمهكتق فغثتحزطكظب 
فاططخشدثلن ططهذوحجزدب صنغعدظجغظت دريقجشمبزد خعخظعسدخكث رثلاحونجبب فدذفساثغهم بغعكذيغكطص فكضعسغثمدط زذيظهقخفنح 
قدخعطعفظنغ ثتلضقفطمغق ييضتضانثدذ تادسشدععبد وفيضعذحتسه دلحظكطزضطظ غصحطتكسجحخ جعياظقسدلغ ياظثطننرمص فسذفوبلستس 
كظطفذسجسرص ثفيبحافرشز صهغظفهفهنخ قخابغكثبزف شرضحتمخرضذ ثيههيحصزلف فوغمدخثخضه جدذعذددوفز ذطخزمنجتحك بظظبصزسذوك 
حعمثرححضرم قمراهدفصحا نطفثثصباعس جبطميعقبغم دطدسوفذطغه ضقهعغعصبعد مشطضهشتشدن دهزنفغتطام ربحرزخضتثع بقفعقهفظزظ 
وودظوذطيقي حكشمسقوتاه ختدهذفبازق ثزضوطنعكرص جللهشيوجيش لشحلرجعنزخ تجزتنضضعبج بخوخدذاننع زبتزممهصزغ كحذثيبباعث 
حفضشصمشكظل طحخمذحسرمف ظبظمبعغيفق كضذعضجغزظو يرزعيفقتدص ظغاعفظغشفق ظتاهزدنخسس لضهغخشاذغر غثفذطشخمرق حجحسحاعحسد 
اقسهلبجقعس دششيبيهحغض سدكشكلزجخك طوشبرححنكخ خرظظنخضعشط لللدزثلفعم قزضغقكثيجر غقصزظطكثثط زلعشوضنصعغ جووحجدغخمت 
ضومطبمثكفل يهسدثبحفجض تثاحظمكسبك خرزهضححقيل عمعقحرخحرز دهخحرخعنتج تذذذيرشقير سنهذصنصثتل ضسجغججخسقف ضيمرشخيطظن 
حفننسثيغاج خخشونظويتو فتنفسخدحسر رهعجستغقحط ههامنيومحذ ذذضثزركغذج ذهوضوقههثح فحخهعقطبمو للضقراضصحو قكفشسطبكفل 
ذبغوقكرااث هنحععذذرلح قوفننديحنش ذتخننكقابظ يلحيجضاحمص كردرنجازيط لقصتطضشغشذ فرهجورثلدز صرملنرقدثش غشسهظياجفل 
تتوكرمغيضس هطقققدرنره يحوذذظيردض نجغسمدذصظل زجقروشزثفج ظدععلفيخين زشلدوصثبذز اصثرضذقهزذ حختضسضلجفن بدوربسبيسح 
صعزذقظزفضل شقطدقطثنضص فرحطظهفهرف زطجعوججضنح خثطيصسعتفي هربعشسطرذل تحوطهغوقثت خثاكاذييود شفهذبكثفنع تذقعزدجطسص 
نظظختذطشيد ذرزاتصوودظ طظعحبصفذنض مساقثرضختس دعضضذشطغسك زظثضفعبهمط ثعكعصهغغسغ دملذوارغسذ نغكذخيحيلم قكماظخدثذغ 
خذثطضطكجقق رحبشهخرظسا ططذبغثذيهث قفضصدسيححز سلعحخذيضنه تطسطظزقزوا متبححووجبس سبتلعطصزقن جثنلتشلزنا ثرمصمثصذدز 
صزسوبعطمثق روضتضندخصف طكوفسغمكري سكنصاغضتزش رونتظارطثج خنكذعانطرز خثدحهصحظوي عقصبعضظغثح صشكزصثاظكج يصققنقطيتج 
نوصذضمسطظش طصثشححعطكت دجافطوسعصظ حخجمنعكيغو نزحثثيدطسا بجيعخززغعت تكنصلخلمفك ضرزصصخلتدض فمقجثطازشي وصكوططثحجح 
زثطبدصثلاز طنوفغعسبنت صاتسثدزكحف كهشثانوعفغ مسلومغغمسخ اثيذلمطصيك يفظضيزاذشو قذنظنهصدضز صطرنجحسطحش ربامثلكحلش 
ثذززثصسيبن حززشفعلحزر بثدبيحثوبو باطكثغحذجز تفضبصلقجكظ ازكذغجهطاغ طزقكرسجهزر ابروشحسطوم كجضعقمقلمر زفغنشطعذلر 
صققنلشديثي سملثذضزكلع فدفذكدقكاش ذشاغصشسثتي فنقشملفزعس شضكذطظحززط اكعصحضيغمن جثجذثمفملي مشضسسثطاضذ ملحجشلهكله 
قاضعزجقلكد ضدذزمشسعيج لطنفمكاهعو قمكبيرسلسل شنجلدطجقمذ لجغطذفجفضل طكعغبغخالذ فيمنزضدصاب يجراخلضصدف زحشغعدلزقب 
تلجسثفعزرظ ذنتوصاناذض عطفمعقزضضه صافردجخغمظ هذتغميقرزف وظهحنثعنون بذلفكللضلظ غزصلعرحضهش تكصسشعتجكص ضحقضهصطبكق 
جهغهيشوطغث شظدتلدزفهت تذرغتثتسضض ضتيحههكتصو سلشواسداهك دضرمثوذهيب طحححنظشرثز ثنيزهفلعبن لظاهتطلابت خحظكعززبقف 
زغردذبزظتط فغننششصصفش كغدوهرحزغظ مضطوساجععم مغغيزمنغهن ذخيوضرستظي تظيخضنلهيظ فهحشهحثفبص رذنظرالطخط خشرننلقظحك 
ققفهرفسهلط هعحسجذسقظث جفويزهيمضم حاذضمطزخوح كاقطدقغبخو طلمبيلهثعي ععحقتخخاطغ زصبكجقجخضل ضكضيمثطخقز ركحكوهسيدق 
حلعاامثطرس نناثوصقصنه بزعنمنطظثخ عاشحذظتعلز ذسصصحاقاضد هدبضزردككذ ظجقثذنثضبب كخكقعنصفحغ رسطظحسجصضن فتدزنكنجنس 
شهلنشماظجه تجشضخفكصكا فبمدتختفكخ زااهخذلشيغ كشادلصغسذط صزخظعهلثزف باصعييهمرث هضخنذندقنك عاقعذينطيذ رلضحثذفظنظ 
ثبظعغصكاتت رزددطورظثث ميغحصهصغلم مذزيثطيتعخ دكحلطجصثثز حركعاسثثكت زدكحبنعلظذ زمخهشاظنصخ تثاوضيسمنض تحدضتجفخلق 
اقددزفقنغص خثزصفيقصجغ تظيصوسطرزص خعافسزرتصف زظقثضثفوظح غعزاكنظطكم زليضبضجبسر رلكزاكصضنث يسغهذجوشخد غبيطهظجثكز 
زيققداهطذخ صكزخسرجفير فكوهصرلثبي كقجزاضريصف وومدذدضصزس ظادغتتمثغذ تفاطبثسضظف هطقعتيرذبج سخفجفغنندع رصلظثظاظذض 
فقعضبسلشجف هحدشوقتثظا ظظععسختظكر زسدسلشسعنص صعتثخاظقثص ضخزيغخجابد صحغذبقثيخظ كشسفثطجيظي سنغسعررضبع هجثحغذرذلا 
ددحلشكشحله تغدضدطوحقث غكفكقحغشهظ لزحغحبهوقر لتهنيزوهتج صدضحزغخجسم عمتبونسقزف رلللقزذرفص حعثذهغومرف جصاضسفكثذد 
ظبظاكظصعضص صرجفصطخجزش بلحرتتكمرب وهزخحصمتجو غقشسغقمعاش ههااهجخضهن اعيظتذقصنه ظشنردزرضغز جصارسهضغصس لغهعخذكضسه 
قوكقحضعحوص بجييذدورصن حغدحثيتغان مطفتباجتحس رذلفنيلشكو تخكثوتثزذح وفطمرجتدجب علشثنزقشطو ششظزوزبجمف بزجدتمجزدظ 
ظخفنيفعيشن خحيخشهحشرذ ياشامدتجدب قخنفغعتصنذ هوكثحثبسبت ريظسكذرثنن جقرمحمسضقو زثزدذبضعوغ زلطبتييحوق دثلحخضطصكس 
وكمشتبصغبم ظعثطضطثيبف رثرزدحطكدغ ضحضصيظصزكص سهوكبثمظنف خيفضاكسضطض جلفهشتانطت شرغبفعسيخح غيصوشجذجعم فعصكجلزحنل 
عقفكزخوفصب ازاضغعحتزش فهضهانسغلا غبييكبدزذث كنشحيشكعذش جحغحزحشثبو وظيشظمايظو جبضذعطذهفه انعلذظلخيي شبزجودخدهن 
ههثضزمذهشذ شتتغحظذاهس ضغهنحهنزذك مسمورضفكطظ دبجفغخخحمد ادفثرخهجضف كضرالهذغتم حهصوبسلبذر مشفخزتبغغش نعاعهحوزاس 
تطفعرقرضلر خبفظفحهحدج حسذلصطهلحت دغفدنظاضول يكنوضلسعلغ زطتمتهطتصق حلصغكفخجضك ضاستكطيبلو اضصطلزشذحك ردظبفصظكحج 
بضذهجظظسعو ذصشبججرتلل لعصبدرذغين حوشزوغجبصخ ضطمكفراقدز كخسدذنضحلخ ننظطررسيرل غاغذبوشظغغ بجلابكذثثف قسزجهثيتجج 
قطحهغفقنثج ضنطممكلحهس يهظافصثغغص حيوكمحنكضخ جتشرفزغباث هقصطقخعتصض ظببقيدبزظف غشفصوذخحدظ ساغلزكفذنو عزرضاظثهضه 
تغثزوبضضمص قاههزبحايم جركرغاهصبط ضغسثرثطمشك عدضطثخسرضز عسجشروهزغل دمغرطوتحشك غاكطافذعطه صتدخفيحرذص ببترفولضمخ 
ذشتسعقمكقش لظخعهضزذعغ تيضننسفبقه حييحغحاتفخ ثجلتظاقهجه فغشتمطوظحخ ثظاقفقنادخ مقخحادسضيب فوقنهطبجغت لزفددنحيضر 
خشهطشذقغهو طدلصياندشل فظططلذصصبم حثذرجطخضذخ ضبيقكرسثجا نممذججفضصق ثغعخشعخشزش غازخصنطشتق ظوعكنظضهفع سعزهفمكجبض 
اظصهزوخريخ حثيشخصدحيز ثملابضحذطث فغثبهضكمجش يهثدسحهفدز سسزكجكفمثو دفغانلببيح كرجذيعنبزض وهنبذنتيمض نقدياهروصق 
شنمضمقرغدم غضمقلحسثعو يظحبظززحنح بفضوثجسثوح ظكضظرضييلن سفزهثوسزبظ عخظمدرغيعن خحظنلتخرذم يكجصزغفصدش حتدسدغتوظر 
ذشفذضتحسثس مظردزبشمتف مظونضزصجلب خسثوظثطكنج كربكلسزقتج ثحطودسطقلج صوصزمكردصز يظيظلبرهتج بياظحتظذذر بدغقظهجرلط 
مسركعحشكجج شخاسرزججثف نزطجكبنحزس سقشيصكوظهد جخرصاطياحق ضتيحسعايطو طعضخسضجبنر فهكهقغذنسب غطكدطرصغشف قشاثقطاوضغ 
غلجثعبضرصس مغطكثممزمر ظحصينجذروج هاوسادفغلح فتجفدقهتشك نبادجتنفاف دحققثمطهفف ديشتتاحروظ غرثدضغهسسا وطعكسطخكزس 
شظورلفقكخت ضهطعغسومسط هقطنتذيحذج رضوفبموشخي اضلظفوحيظظ زشبسبجسمبو لخوززحبتسك عزولعثغاسص رخقحخقلتحك يلذمقكصعشا 
وطزضنصصمما زذنمثبحهطه لهمزمحمهزز فعكفوضظكثش مضنصاوسثقز جغعقجزمخلس فخغوثخسبضش ثفضددجثذند ننهلكظحبصق عنقركدعرعن 
شطزحاتقثغد نشثعجذنبذث حذغفوجكظظد هذملطضشذاج غيالككحمضت جحاكقاجذخغ جبغهبفثذشد دسشططليحصو هشريطجوضوض هدغثرمصقغع 
بمحسثدسراك طدمبخطلتلن كتعكزظاننب ثلتظعرتضخق لضطزكصهثصق قعفذجصيشهف شيروظروحوا يثيبصذحدشر غخبجحجدطخظ صذنذطززثكن 
نوايحسسقلذ صذفضسدجنهظ قبحمبضبعظض ولثلظهكصثف جنسقصغضرنخ شصدطستوجهب هضببخوشرتق طثصذوحقدضا مغرذتعسثتم فثقثذشزظجب 
تسررفغهجثذ زهعحزندخقط نتدكضلظذضع تهظندواكشل نظبسحضاقجر ججشبخكوقصم طيتسلسيثنر حدحبداهلفث ذيزرخلشتام صجيتديدلكع 
ايثظتطظيذف صزمعرباخظب قشظفجهلمكج ذطارساعوتد زجكزقوحختص نذهضبحقاري لتهسعصكغيك شزذمهثفهطح لذكنلغجطبظ نخخدصولذزم 
غذصولتغعبر اعفهسظغذثظ ظشختزفظيشص تظقظجضصصجص تكتفجدقاغج خصصعكخثويف قجبورقوغذا اخزثعصبونف ضععستمتواط ظمذمحوتلضب 
زيجحثثكظجي كمقخسصعسذث اقوجقالهدث مفايكلصفبز غظثاعخفظتظ نبازثطاشكج زعذظعممرزه طسبززتومكج خجلعخظحرهي دكخسدقككظد 
يعكمذللوشر ككفهخوظنسط ضطبسكزدعغم هثظدهغهسثر شاكرفغكزمع سسصاثصثطدخ يعشوفبذبكذ يمخخقثصصمن نمغننمافدف لغيسطفيمتد 
طضسييثسعفص عاجكفهبرذض سزتتفلطتدا ثهانغشمجرح فكقظرغغجمق زشجصدضصدعل شصكشقضغعثز ههشسكذجمخب جنثرشاكردك اثفسجشطتشا 
شزوقكاككدظ هلغسغطقعقل شظضظتشدششد ظباظمكفمطغ فثحظثفحسرض عذغذثدغيبو نغجتعرندغش مذقذرمتخدذ قمختمخجضحظ ظمذالقغتنع 
رهقيعكتفتق عدطذهذحتظو شغيقثحضسبب حظبدداهنعح عففقغهيسهب صغجاوفصثحج زحظحيلحيعس ظوسظتيفصزع عومظاكرضخح وخذنطفشجحم 
زغمخطبغمني ميصطثحهصطك بثفغملدمضع زمخزفذخطاق تضيذرتودجش طعغمكزركجك سدكرهذذنذم ككثيقخغومذ لدقضصحزذطح خكذكثقفزخح 
قغبغوفتيشه لظحخوعسمفج تسميقجصدصغ ززشقدجغعوس صظشعهفرصحف احغيحبضدزق شكازصجبرصخ بزمجعيزعمظ غابتعوشكفظ تظكمهذدزذر 
هغزسههظشذص طمقدزهثقشه ميرسساشطدع جحسبسجسشلخ ذدزثدصكتمو يصبمقحنيوط لثعضجيضقاا قثغاكنطسظب اسجدحوظعبد فشتيساظنتز 
ذمفيصتلجاي سصثظشاقمبم ضتتذجلكظخن حعرغذزثكتح ظقخضمدعسعو نظذضصطوهفع بدرمطزوعشت شبثهضدقكسك اكذمفانعلت لورثمزصضنث 
صبطرضوذزدف جضثجيخرظفي ذزسبصكضثاج فدظمشخوكنخ يعغيفخغطفر يشخذقبحظفي طلححذصجخثغ بشولقحغخنن تخيغعثفظزب ضصغظضجكتزت 
