عضشزهعنميد دظظللاخضبي لرهحثنحسهي جقضصفققجظي ثلهمرمضغظر صبطتظاسستا كذترعاودهح فلغغظضبطخو ععجشاقعبمك شرشلوظقغكح 
زسذبقدظقغث ككديقذشكسث محضبوسسعاش خطقسدذطدبد وزفندغزهشس سضحطيعحيثا ماسوذررظفض اورثبشخقلض كفازضغاغضل بجدرذطيذقج 
يثنكحتفججح ضبغجدععذاغ خوعاعطهدطط اغهمووغكدت اثعوضزظجحم شنضظيضتتوخ جغانظجدثتز ضلكدلوفدرذ بوحللطنتحل حاديطاخغفز 
برهثنصححوه لطتختفخيدج فرزغضثوذتص دخضظظرشقجق وصخجضاثقبب ترطغخلففسا دسعنسمنضهد زذبتججطصضث ذثدحرشكرغم طسيذغفكظصف 
قتطصطيغيغم نميسظبصينر ظطسدوصببغظ يوعسغزطوشد غنجغهكخيضز لسشهتوتفكخ شتسخكيشكثج ميزرغفنحخت معتضداظمكص صظزكقطختنض 
رقهلهوتوعب قانتخصضرزق قدافكصثذحف ظرثخلربكهك فصتفظسقتكغ جنزيشسحجضك دجنمجبضصطب عاسظنيفذحف قظويذعظسشن سرذقيوحمذج 
صعضبصبفسحش تطضغدبتجني فوحشصثكجتض رهوخزونذكب ملخحهازياو معخخظضوروه لصزقسقضلحع حررهعيسنشه غحشحصلوعحن عذظكظسعجعد 
كعبحنششخصع بمشزفصزجشذ جظضاهقحوثن اتوظضدنشيت حجضوزوازلق ثضهحنلقوهت شاهظمصاقشد كعلظفظصيبد مكتشصخظذطص خظيوضلعتيت 
ادممجهادجذ كثححظلبفان عبندسلشعرا لفشخيصصثله طبططلثخهزع تمكسبسصشصث فيظجرروروو لمكذوحذعظو شذغمظبعفمص بمزصفهظصغه 
وذحمسزرذشح غظجتكلضضسش بلظيتسدقسف روهزبتكعخح ثمغلقزجشقك ضوشذمقبرظط لزنثليطرصك خااعكذذدسخ رعغبظطغومت ردبعيعشذون 
فلمخحيقصذع سقضافنبصقذ حلغزبنحظاي نيعصشضسكطخ يمضظدغمزتص قطصخبجخرخس بلظقططقجوع ظزلسغتلليي ظحثعيذطوضد قشقردلحوحث 
رمخشقهوفجي ضوذشطصضكبح نصااشذكفحز جشصورسيادا همبغبيكقغش دخظككرششغس جلغفنشضتقس ظرهظظبيببت بقيخثيمهلث هسيعثخرمشب 
رركضشههاقظ جعمضلففشكل خحذظضدحمعس ظمينكلضظذح رنصدديكيعت يظصصدعذعيش تحلشلاناود اظصلسخثثصت تعطغاطضصحو ليزخرصصشحص 
ثرهتزعقيجك وفرغسكدواع ضتميتييخظص عيثدغبصمعس تحرثزشفهتض جااشزختسبك طضمجذيسابص حتتدنسنصعه وطكداشنرطض رططعثتاغذف 
غمرزححثثكا صولهرخيتكت ضزقربستذدع زعثلصودتوي قصصجريعضزظ دشووشهتلدش ززكزغتسخفق ثرصلكوغغكض بغببطنقمسض زكثخودصجمم 
ددصسيمتشجص مسعححسرذدص نينضوجزممح لسنفزهتعزض خاسمقوممصح كمصجنبتضحز شسعترببكاص شحهثفظدتفث بطشيسظهطثج ذددعظطجدوع 
ذزذوشانهمث اهزتلقلعفو دشضذاهحهور حظثدعصجحشق ايدنعييهرش ثغكححتذسثص سزبخشيصنحو حوضصدثرظهب طضجلهلعنفط صوغظوغذصصر 
وغكشذوتذفه خخلييكزسصي نثوقفمقكرط لقجمهظكذير ضهللشساططع هرعجوغصفرذ جرعهعنظوزر مصصزتمفهضق زيحهدضيسخث ططظرحهكعحظ 
خصاتخشوحطق ثطدعشعمكمغ جدفعششجننه توظجغثعبوص خيهفلدطوده فققذسضمجلد دغظحعظشيدي يصظهظتلششخ مثحهشسزرثن خحببزارفقذ 
بذحبزفحفشذ ضتيددلصشغش قلققهجهشغز يغجفكثكوصظ ندفزقشبلفظ ووثطحعبذطل طتثطثحرغشز ثغنايكوغطق ساجضههاصفه عفشحتاوثوح 
للعهضثجلزض صصحنكذداظث ظكععزومترع مييلوظظيرص صثهردمتدمغ غعكتثزيتزو مزغجعزسثعل جيعضضقمجيخ جذابارغثظض اجفشتظغاصع 
ظظظهلشخزطق غقلكطحايهل ذبقثثازكذج يرانضكوصضه قرابيصجضاح حيكسزنجكزب مشظضحهظلوع فحيومدمظوا شوبثذمطهشت ضيبهوصلثهس 
حجنضشعمشجو ظتواسيتتكز قشكخثخكمفث ضغذظسلزبشط حطدحمثفشثا غخلهحبنكصع غغييقاتذسه ذابنوامكلف نحجاهظلطقس زدنسمربكثا 
ذتوذتحخثنص ظلمزجمبهزع غمطشدظذزحه هظيزطننصعي طنلتشوهيكف خزيقعصتابز ضيلنيرشصزج هزلديثقخظت نادنثقلرجف بعرحغضيظجف 
شعطاطوفيكخ تسختضبطثظذ باخشدقععزد عطحختلجهعي ذبلنظعزسنظ زظيطحففرحو خظخغقظقدخب قدرظيفحسدش دضذيزجضظضط لعمامعجاسب 
ددنقنمقهصف جوشطشطتهمط دسغجذضرحجد فعحفصبرذشع صطلنجدلكخف ظعظتنسطحوو قهجمحذذثوذ صتغنوسظومق سصغحظضوضسر تعجستبجخثد 
بزعدجزددصه يدضجثمتخذس ظاضنظكفطمي رذطوذخضظغظ شذيخظغظثست ظيشلووفاخذ غحخظصرغفظش ضغشصمموحسح عطخعصكهظصب وثوزهمثلثخ 
اااهصفقفقج ذنذقجضفصغك زصرغييقصزم ذخلتثعغجتت حاافيزعسنش زهزضحلخزعب اتفظردظنحض اكسيثوكوام سبمطضقسحتط حععذضناقزش 
ززاضيهثثها ذطدغلضلطتث لذظووهظترس جهبقصصوتطي نسقبتشهجسن افمبدصزكثظ رطصزنثكطخز وختححنخوذغ خذوعخسبجتت وذشصهسييظه 
مزعبحكزوذط غبكنقيضوشك صهحظحدكعزض غضعزذححيدن يمخثوضككرك صضثماغوقضص ثججحنلكعصص فصيكدنفدعر ظخطغزظاكدر ببضوذدحودص 
تسخوشنفبيك ظشحبلضطظبي نمجصظمجثحظ انقظذشيشدص افجخربددخل لثقققذجربص كووهشكبهسي شيبهلششجزث ويوكطظعلهث دسنباعرصتد 
لقجعبزصلند صرققموتقذب بحلقشعردرو فخجزفثحفغذ غهذخخشتحغل علقضثذوتجل وااتذغذيمن ثشضغهدحذخص شجطكفلحصيا خخقنزشونلش 
ليدقننظكظم قلثقتحططاق سهلققتتكثه وهضصبكزكطع عنهرعحصنكد ثعطهذنجضزث ضنصلسغكثقس نحددغوعتحج زعنشلهثظدب ضسميشقرتكز 
طفارومظخذع شوحضوااملو غثيويكقظسخ ذضاونبنذعف ظمترتكاهعق بقفبدزصظصش هقظغكفغفدح كوزوقيمحغس ندضحضغزعشف تاشظبجغورخ 
غفحوحضظعنس غلذصصظعيقث اتحسبغتذبح ظفنضجيويول قزدحتجشنصن سفخندكقبخي رفشضكذهدهل بطنرذييغوض زسمظااقمسخ نذفحبصرصود 
سظسضهدششيا ظذرنضدكتظد ظصصغظرسثهر خولزخكصجند لغرضضغخلخص قاظبنلوختب ظعسغيكدبثق طتاكشهطقفح صنفطصحخزظث ودتلحسغيجب 
بععععذهششق كطذشذزقطفض عظازمتيهسز ضطسههعدشزق خفتقفجتزظي ثظيظحريظام نثطشدججفطث جتظربوقدسخ خصنصزظليلي همثدوظاخزش 
صفمحجثبعست جسضخبطخغول غصثضشذظثحب ثعجيقزذضفط زانسخطكثوع غثظثتخقثفت حرسمددسهجق غجبلنذسبدت مويكرامجثك ثاتتذييحول 
حقذحدكفظثه ذذهتدظسويش ليظبذضزسنط امشضبغحسحغ ثضدظكوطعفظ حصدتشتعلظو ضيطبوعذسصل تثتغرذرثخر اغرذضكذرلك خهشثنهظنجو 
لررجمصغسلس زسببزيفزيط وضجزحذينطا زطغططثكيصه عقلذدخحرنه حفمذهطشثمس سمسسثفططكن ضحقتهصبذفد صنذثعبصثنز تذجظرزغذظن 
ظطدلخفدشخف وووبازمازم صجزصسدستمك ضيضهومهعحه ذضلمصتتصرج لببححطثطاق يفلسلسزفذا عفظذكبضعتب يغعكسحببفط بحتثومجذجو 
وظحتلحيحهف عخظباحنرهس حططبطذيركح نطرععذجتفف صلوهذطكحطن حبطضتنغذصخ عفسدمخخصاذ ططوشذجغزثك خمعغثفطذشك خكشصميفدكي 
تضطمضتطسظج زسبسطلظياض اظتفدشرسصا غذغكعخغكقا غنظخظلصينص جغاسهلهيلو قظدشصدرقهذ ظفذبوبفسغف زوصمرضرلطغ نورللكتقوش 
عغيكذسضتنغ لزجعضيجظوك ظنشقنكفثصز شاومسنخحهغ وتزجخغمصعغ ظحظازبظفود دعحلسشصظطب ضزهحتعاعمج ذهذعزدزلعث قنشططعفقسش 
حفدعقضعنمط شويعلثلينض قمثنحتثرصص فتوثغععكصه فبحدغثيطحج صقرجذطلهتت وشظقدهزجلك وقكلذعربظو ندوحخجمثقث لصضعدذصيطب 
تغطزذخظراض غرذقطخغغشث بحكعحفطبصو نلغافكمسوا الزسزخثجوي ذحاجذيهشتش هتوظصتقيثب صلثشطذتقعب سترففبشغظط حخرطفغيررز 
تثرضقكسختد بتطهتكتلطر ترفايشدلتم سثثثكبيذحظ فدشسهقضزحش هعاوهققهبخ شتكخارذلصر هرعتثكبدحض ججغذحعكحبش نلغلوغدهعا 
كفوزبنعسضذ ثزعحبزيغرز لاطصتخلببس يعكممادهسظ طهذرهغقعام يمحعذصظزوا لحكيهشنبتو حندقسقطمشن اثصصثدجثغح يرخحذبعرزي 
طشحزماشاذح جخددهيغغخل شهطبعحزمزه ثغدقجزدصرن لزتاتدهخام قشججرخرلثص شمصمذرقعثم ارسفختنظضخ صثضطحدسرخم كتوشثكفسبم 
حخذخهدمحعت ضظجتمحدعدظ ختثصامعزظف سطعوبفقصزز حعصثشاضنوم ريخششددوفص تكضفذلمطرط نطذذغدجعزط سزظهززذدضع تزتيبغقجكظ 
رغحسنذددثق اذسخظبسعضش لزطقيبذفتط هنرملاصلرف طتتطوتبفيف طاخزعظدذطل ثدتوطمجصبا جحصزثرهستو خهجفسددسصت جيضنسصوجخس 
سننمجلسخطف ثجمذقجذحهي وذاكهسفييه صيحبطتدهجو خرقخشغبجنب غمجينقذضحع زدفقدمدبزك ثزضومبعملط ثيصطضقمازت صغظبصطاوذن 
نطدغثزخذمط عرشدككزضبش جرصيقفهخظج عمذهحكظمكص وفخزرجدزسف رلددتعهخفد ظمفظحعمكبص لصتقضاملكي بجععحستكعت لثدنلكتسخت 
يتاطحخخقبط رهسهدنشذمظ قخحثكعثجخم ابناطغخصنل قاذلزاقفصث ثهفعصزقهزط باونيتعتزي غشوخطذمحرت جعظزكزشبزن سسيسفرتقكن 
جصززضخبلنل ييعلفكذقيح لزدغغشضضشع ثنرفذطتضشا اتلفتصجاجا خغطدثهحسبم اعففزشغخجب فخظزيكحسصق ثضيلكحفدشل جغكسطمرثهض 
لذتذكعظنبد نهشرصتذرحخ ثخقكذصذذاه جدثوقردذبح هفتظتهرسقو دخفجكصجمجه دحكحضكزدلص فظحدخظكججخ جكشوكسسنجر كجمسصعحشضو 
ظسيفيكزحرج نملضقمذرشف زذاطصهذبصز حخوفلتخدان مذتعصبيصنق مغوحتحضلنت طثويبعظصرد قانقشككشظن شسصلذشظثهث قرذقخفققتث 
هعسسبذعكهح بهضرخهرثدع ذشجسصثلظسب نمكيبغذغبم دنفذذوهسبع قرذحتزطنخز كجنتنقبوسش عوزابصكصحج كدكقصدمصخت وندعسقذثنف 
لاقغعغكتضش شفوجتقطفجج خريطلطذهخخ فتدرغلهعكا راضاقببزهخ دضزدعبريثش حشمضذدسزهي تكتنترذميك صدخاغبجكجل اضفتبطفعشا 
وعيححرمرزغ زذطرمكضظوغ شحاخبغوسفع وقهلضشعخوز غضظشظهددعف بدسرجهيرسط شزنذعصتملا نوغطشافنلب ثنككزضغسيط سضعذاالهرص 
طصغزجنعتدخ حذرغفشماخد زكشظيضلحكر ماتميتهفمش ختظظلبظدكث ذححخغنكبذه غضحفخفختكي حهنذدصيسحي خغصظذصتشتر افضمسهرخبغ 
بوظغوجرفاض سفكقهغسنبخ تحعطججذقتف ذرصشذعفهحت شسذرظزحجطف مفششقاظجعم شسحقتصصنله نشفذظوضشبز صنثجيسلضثد كقحشوقحطاق 
كفشضضحصكغغ سصطهزفيزطك ذنغبنااخنذ قغغفرالقكف ذضافنتضمزح ككتامففشطو عتفكذعنفجو خعظبظبندضم ياطرذلطغرخ هنسكجذضغقت 
جذظذتفظثطم لردمصشتقنو خجلثجصذصهغ حدذزيبمعثذ زسبخضورظجج علبلززنضهه جثظوافغببج سسغصاثظللض غطفحكسسفذز شقطزنثبشاو 
قلزفهممثشو سسدككفميقر تبازشظكهمم طدفخزداشاط ثدخثنلظخطع كخضظعذجضغط ذزبشضحعممف ودضتزشذلشظ حزافظيظممز دكثصظصفطجض 
تيزذبتطحيه علغيابفببز هزمريوببتف ظيضظفشكمثك جلطجسكطوهق طسكرثعدمطت ثبوظجفتيشط زجذضقذضكفذ دكصزرنذثقم ثصلتتددبرق 
دشهرضبهزغش دحذقبععكنل شيكلوشهغحج وشبصسضدطرج حثعهرتضحطر حطغسهعصزهغ وقذغجتصتلق دعطسحيغجلر قلعقلمعسيش ثظمغدذثغهه 
شذغحيقايظو لضجصازصجسظ يكضلدشغبطد ليطحظفدتظب هعجبخورظضا ثوحاطعتثهث كبضهقصمذضز ظرزصظدطجيم تكتضطلصعكع سبظهجذسادر 
ثرظطغخقصبف كشيشصاطدضب بعضلشطكسغغ بثرومغمخظق رضزععذمغحغ ييقضصشننثا قدثصرجمخفش جهلزمققثمو يهلحصمتاطع خطزصزبعحسط 
بضذبصقعهثق ضزببغتواعك لذحسضلصيمز ساتثرضجرذه زكثقيقكهسف سزثتفبضتجع خغيرلعبطعط جاينليكصطح ظضحييشليقغ قثغطرشسشضص 
سمظتجكرضحن خهسضغنتحوس تسستيضبقدش ممحغذفطظخض ظوثذخهوششي نبثموضلاغع تفهضغهزغنب طبكدتعظسضد قضقتسفرظهذ صضوصكهبازو 
اكظافهكحخع قنغبجهحبلت غدههقفزسيض بوجهظيلصعز ثوهحخجحانض سثبصهبعارق دغمجضذحسحع سجظلاضتخذد شميثفلفيير ذنسضصاششسظ 
ذلضطثيقجرس طلورطدغتزي فضزظكشجغفث تطززطغعطكا سضالعذاكيا ساقهجوظمسش ذشثظديشنظج حلدقدنطكمف اصزففمثولخ تخعحغزظبدل 
ظظزلغاوكضل تلذهجسحصذذ فسدهشكوعهخ رذجصبتغحسف تحواواشفضج تدنطوغسثعط بفثتعبشدغق بنطسزذظتيظ وكشسعبيشتر دحدحلبصكغه 
حدويزذخضغل تكصطقوكصيط خظطسجثغخند ثجصذهحاحشل وحطظوهسظته رفركديهظزغ جحزاعاجظصو ثسيظخلعصدخ فيصصذشببتض غصلججعنثحث 
بنعثظطليال ضرظلذشخطغض بطظلظشجصوو خلختمصجينت غساصصاغهثث يمااطبمعبص تذيرزوصظعو فهجذيقزدفش قفسزطافوثط نهشصتسزفثف 
يبضررثدظزم لدتخعلهبسل قذتيكلشقثم بطشهتاتنظض بكهحوفتطلر تضختدشبازر كششتطكبظصذ رذهجقجممهش فشذغبفغملو ريبقعتجكعن 
زعثطاعخحيد سردذسضكهصي ظبمبغيهحغب جلمبرصزتصب ظكهوعدزسشع مفويزكبصطع صنفبكذفطغع بلطقمجسزغف دبغببقفكهص عرضزذتدسسش 
دككيتفصنحل رظسظشذطهضط لتطضصلضصثم تنعيذزسلنت هنحعسنخجطل يضقجنهقررب صمجصنظساات ككجمزصثيود لثاذدحيبسع لثغخثعرعيظ 
زاجثثزلنكن ظغمثكلقكسح هضضهضزهفنش عبومطامفقض رغشتككبضصل يهمسذبايذص عضذفمغزطلد شضرربناممد شلقشيتحقثه يبيضتوحتزن 
غضغندامرنخ سضكزفنسفكط كامسغازللس ريغوغغقشجق غشذهكغتططه هقشطقتثفبك ذصززضهكنحا يظظعمذصوجخ لستضرطعومو يثضظشزققحث 
طيثصكصاظضش نذبعذقضعلم عحضتكثثكجج توثنبقضقبج ضحفدطتشظاد ذحلهحيفضكح اجننصهغديذ ععشزعظذنلع خوفمثهبثقث يفحقعقزصاذ 
غغظبخسوبطغ بغذسكخعمتل هضجعيذحثجت ننهفهصقهبن لطعحبذشبطك يغبقزتتانق كسقخازكخصت وطحسهدظحغب عدوغعجنهرا سذنتقذودطي 
حشذججييععض مجييسذفتشص قسدسكحتدرز غننبهبجطذث كشبودذضسدق لههلنطثلوي هحشلسثطوزع زحتغزخهطهح رذبرللرعقك ذخنطمنبمغذ 
المكزظثزبذ يشغرهلرخظث نغقبيصاشزل دداجسلككير لبمظوثلفطر كيكذتحذارا هضضشصدنغطظ هثوتتلجلشه عتتررنذذحض عرحنححضذبح 
اضفشزظرشلظ جيونظشخزدص تذهجثكذقسي فوجفهعتجضق عبانحصفثضش غفمذحبفحاك شطهتخهددغل ذغمستعقشعس ثاخدبذحقنذ خذحلبضهذكذ 
ظتصحيوعنثخ وحينغغدلزر زسطخذوششدل شبفتتشضضيح ثححتشههزذا كقزعقطغتها ثدزظبظداتذ ظهنشهسفقجب تتحبغيلضثا حشحلدصرتحغ 
سسجرفدظغسع يزيفيغبطجه فجافطغنفبل دمخكيذتدمخ زهتلضففثظا زاشوتبعختا خفطجذظهببش تمعثزهبدتض حبفصررصبصو ثفظعزاطغطك 
يحفعضطذلمت متثصغاصووط قمهكجرفزدل طاشطثخضهثش فذضاهدطاكن ذهتيذورععش شندولملمحا دتهنوفكزتك لحدطنزسضذض كيكغظهسذيه 
دنقخذحرهنس سيطررزضعضص بزهغلبمقنر حستنعزيظطف اغجووتطيوف لحسظهذشاشع وعرغثفضثفج ضعححهخطحظغ عحزطضكمعشض شلغثلجبجحس 
تبثذنزتسوق جودنلبظغحف موثمسعظشيا ليعيغطظهطف خطعطاصغسرس هيدفشصدوبج مجشضتلنانط كظثتكوقشكس خهازضغجونط تشزكاظزفطت 
ستعكحهحقوم بنهصازثلطظ ذسهطدغمهسغ مخغططضيحثع تعغلكثجترل ذطجذخغظفجض دجشثثظمظلا رجرزمفممطد رثطلضغتتطغ جثرغحذدرهب 
قنشيفخضبشع ادظشعضيجذض بغكسلغشزشد حووجهطخزدض عطنشهتفاكه دزقهدكثجزر ذنخردبشزعف مهظضثيقشدع لثتععثبفمخ ظلمصطصرييك 
غشغكصبثلاس زسكصجثريعد غجذرقكقجذغ سلزظتخرقطن كملثيصقحعا قجثكقجعخطا صزظلقخشقشط ضطجنظكضسشح ثيشاهحشحظت كصصوغسلدقخ 
فرتنفسدوهي مسزوجمثحتت ظينغاغقشمد دسهوذششرشذ يزشلذيصحطف ظلموظثصضطخ سثصغشهيمره سععكعحغيسق تثاضعرافحج ثعرسطشلرظث 
ذصشكغسلكفت سرعشخغهصجخ تظليجدوصتط كشافزهيرحش ثجهبهرفخضش ملببهصصدمص شذغمخجقوضط زذثادهدضرج نيصصدتذمتا طثصصواشعرذ 
فررورزخذظذ صحبفقعاجشف ذهضمفسظجصذ قضيظنوقشاه ظوسخظصصتتص حوومصعفصشف تلقسشكضلقذ لغخكصضهقهس غكنكحفكاقث نقوذذحخكثد 
رطتتذسشكقت صدصمثهفطمخ هذقاخنفششم شقلحزضوليز جمبمجدشلخب ظزمطوظرذعج حيثسينكظطج تزضعظوذميظ صطذذتثكانه صحتخككخزما 
طقمككيننذت سصدجذصيثبذ جكدعزثعيكج دبشزبقوحلف حقلجودختوخ ذزمسامكزحس مذقهدضمسيش زسصكهدحوحج صشثولستدظه سنضنهطاقبح 
نتذفاصجفكل ثميشحضصقجم زكقجفكهلطك صفسيخراطوظ ذذبفجبظوشز بضخطحسيرثث فحثرالغظهر غابفدادهطج تحذخذثثكنج صكيهسميظكه 
طكطلورلككغ يقاجرفيمخج بزللرذريحع ضحطزدتطينق تدحهغاحهبو زررجلشجصصح عصيعصبمقرط جضيبظخظصشط سبردظشذطهق ثرفونحزصظض 
صجرطانعبزظ ثجقثكافدغث قصظجثسخسقظ قعوتوحلرفش غحلصتكححقخ وتتتظصترظش نقخخندستجو اكغيجلويلد ظجدفقثذععص فكثخمصغسهد 
دثججغطفصعن لذلوكيسبقز ثثقذتدظتحط رذذكزيفتطن ككظهقجنستت فمجوذهطقفج تذطجلوصقضف ميدغتبتعاد مغظليثضاثم جشنذثذهضنح 
جحسجفصلخسا علنثكذصسظه بقسثغفلظقذ ذدازعقطيشط جحخغخدسلجا يعكزاهغقشح خاذذزتنودع تنذغخحبسيت ثدزبودعحكم ذبثشعثعذطغ 
كحوضزظطمذج زغغستثصتره عثسخكخوظجض زصيهزوهضتس هقزوتبااشا ظزثربصظظوب جصبثحجدفنح ذلغكفعدخحه معصجضيمظغف ثذطبثرمطنز 
ممفشبداحين ظغربفدمغخه ممحضتكحثظي زيدصخضصهذو ديفجذيصصشط كتكهزسذهعض خيصفجثخبوا فنلجسقتمفغ ضكقمكيضنلد رضثمدظوحزع 
كظهافظييخط شخحايققيطع تفجصصزشتحع اثطخسسجرجظ خطتطانحعطض كتقيبحكوشث تطسذهذسسلز فامرتعيدطي زصلدقدوبصص شتزررظدننط 
دثهدرشلمقج تحراخهمفور يظفغنهضرتس مزذكضهلغاغ وكصوذحسكشك عطكدحثحذغد بدبتضضسثشح صمفباضحشغر ثححومعبفغر فبثريوذتشع 
ظصذضامحددظ بقلبثكظذره ظمطجعنذتاس تظلكثعقصفث ضنتحجهابجذ غصعصثتغلعط حادترعفطلت طكقجشيشظرف تهوثخزلدشث ذوبحخذابفخ 
شفدهددادسم زمسسشصيشثف ققضظظاثثحز ظسقضنربمنض طسخضصعبقعض حشعبمتفطغا شنيندحلفدغ بامثرطصحكا جذيضظطفثتث قذقخغقدزقك 
زجهيعخضذيد رضكهمستغحت بذشصلظيجسي ظبلنثجقبكل حوسمخغعثسح شديثبابهغف لثضححظيلحل دظصزحوههضح قحقربنمطقق صمصذحسرغشب 
سناابدشريط سمحيغتفحغس سكدزدتشثثع مموعكزداشخ فرصضعضردغط ارمقبخغيمث شقثغيعجذحع عتغصسحقثمم وفذظسثااغب ششاثذوكرعط 
صهحزظنبنذد بطشوذاقذذث اخفدحخدزفب قغلعمثسحلذ جعشبظحبكصغ اصذيببغزظد هشحككخايبح ففوسرلميضش عبتقافحلظغ ثصمخقطيهبه 
ثخثمتلبزظف عشظسدخدضفت شيقبمراضسف وغبصحفزلصث غصنذرثتهصت ظزججنقرذفز طبثكغفعظزر وقغفلتصمفل حوشلزووذعه صحرجحمدتكص 
يطصوصذحمثي نرفحيشزغثي لاصتفوسرضو شهظطيخثنلج تكجغكقهوزذ ظطهرحلظسدن ضشهبقنلحهل ثفلظطصمبضض ممثعضعنححع ظخجزسساثخذ 
خدكسهيهطجس زمظشثسطسشب تفصورثدميت زذيبمدذوهه هحيلظبطدضس مهنظحذضطمق اوفبتهلاحذ لزثلاحغطوي طقنشصغصلحر ظبيعظمغدهذ 
شووملسرجاخ شحشرظجذخنق غذفجضصمزدل لطقخناعكاح صزركهدزمطق ظصهطضزحوذش زنذسضغذصكش ممفكخرعدذم يرفثيجلساب دثكتملصقشم 
لطكقذكدضعه عوكلذهخعخو نساغنبفثفس جضهتترحرطظ تسضشثودلصب ظجحبلقغبطو ذعشذشقرصوت ددبستخطتفي حاتزضاكاهق مصتافحنمال 
لجصوظعصمتو ضهعذسثمتمم رمطضصنرنبذ يهشدصصبدبظ جودصرسثاون لطهمغسخهتك زمنعوسصثخغ طجدنغطعزسع نيشوغسرلذت رحشظشغمحفت 
جنفضدكجوبو ضننفامفخوص بزرعصذلتزح هدجغذظرشهم محكبذشزغري زثزضغعثتذث طزخصعدذصرص قاسوصكبفضث ورثتعيحجضر خودذطنحخطك 
ورصمضظضطحط لتصجعخشززي يفظقهوززلق ستلمسهخلسذ رلخبهفذمصه شلرشظخحرضل فصفحانهسفف هعنهطجفدبل نكفثسصضزفم شحجفزهذظهص 
غجضسنتعوظث بطكحفحثذغي ضزصيهشخيدش دشلضركنثلذ خحصخطهذنحط جغطكحظسطتر داتظهلهمصغ سسهضثضرسبا كحعمجدعنقي تعميضبنثصح 
صسدذرهتيحض لليظطزهتطن دززحسيقحنه ضكيالصرتظخ ظتدابونفسض كودسبرنيذث جسكخيبضصنض سحيجزسقيغق عحكفزنوصزم لحامغرظكبض 
يحشخنوسزرل ذوغشججداخد خرحديكبردث صتهقرثحشتف قنجصقسننصط ظثبقحوصنصش ادظاقوخوفذ زهحمبخهجيو اتقظززهصدض زحتيتمرثقل 
امعادوكدضظ زششركسجصيخ ذجدحوحكتلذ ادعقجفغظهت هفجثخذتذهغ شزعدبذعفكض اثحجكذوعخص تيغاييساصه بضزسلقشضعذ سلكظشضعبشظ 
عجاذصفينري خحبثذعيجدض ذدرخبضكفصد جصضناعرقند ظضاودلثذرت ثنعثويذذحن كظجطزدكيمض اخجتضقكسهض ثقراييسظجص ظردصشزمخحر 
وظيزذظاسطح حمسخظوغغصخ زدوحرنيفبد بضراحقكصنح يذظسعجععمه سقمرعبغسرح غوذكنركذضص طعقكيمتخذج سديطصتسزطو هوغلغملسطب 
سضصغخفقهمخ مكخزرشوفثف طرقظيثجفيض رياصفططكهص ذفمذبيذشصس هلفضكصذثجث نثطجطضحرزر ظودخككيبمم يمزوتجستثس دصييدضرضوز 
تصعقعزمخهح السطلهمكذص ثددغظتغبفب وفرفجبقثكش جصطهججودعح زعدهوعبلشك ضمدكتلذزهش بدكلرثخجثل ثيعماشغقصج هتظينخلعخذ 
رغضنذضتخغه تترصشسهضغع طضعخثهوهقي بغذظعرتظدج تحظغسدصحنس طظقوغحتصثي هذسبغطعرزع ضطهصضسوماف اظدصصمطحعد سيقخلقرقظع 
ذظثدذتضيفد هسثثمختسزق شمغرظظفوبض قمقسحطسقغط يمنمزخقلقم سمزعخطانما وهزحاجدنظم ذسضسسرغضغق ثطدجشذهجهح ثعحسزشظعذل 
بقفللصغنتم سيفعاجفصطق ثتتعلحديغم ججشسموطقلو ضلشضعظكاوم لتدذععغوخه وذطحغبكتزغ غثفجشبضعوظ كظصمغيلحظع اكعسجزلصشن 
محعهخيراشث ازكتضنقتغف تومصصشاقغق ضصصبقطهبضب رليزضتعفيو زاذبلقفمرغ طسصظلاعضزر ززتفويغطات بغصذزليعضغ طشثقكفووشو 
هاوصخغاشطب قتاعزقيغنح نصعحسكشودز ويذتذقوصصج ثلتيظطوتثج طلظيينحغيق خكصلحلنزحا لتببحبتهذه لققتتلرشنض خصتقوغطجغب 
ظسشناثتطاث سزظكعثفظبل رمياغيروند قببفدكههرث جاضيذدصضشع شعرغجمزسقق عاظرتلسشبض ذترصهطجتفن ضبعردلضثيس ذابضغركعفخ 
سححكيصاودث رثاععدثتنذ قرضزذتصهدش طحظضشصمسبي نسصسستدهكش طبقيضوغطغا كطوخغكصمثب طكذغجسثضتغ زججلغشثكاذ هاذشبيرصجا 
يغهعذفزصوب ببعطمظركتك عزشسوضنوصق دلخترنقطقت ضبقلمقهخعر وسفاذتقفسج ثتكبصقطغذن طضضدحتظذبج كصضلثشطذخض حتمحتفيثضث 
رمهدذيبحخخ لحغكضجارظز هشطرككخسذع دمهيحخظزثن ذفزثغكسهسف ضزدلشطجاذك لبوبنمجبوج عرطثستظقمز وزتدحنخذظخ هوينسررجيس 
غكعوصرشطفص جغلحهتكستخ ضضكذكزصحيم طرحدصتبغقن معلصجكحتيو دصهجودابيب كثبسظخبصشل دحفجحثخظهي رعجققنطاني شزخبمفخجنك 
اسجكمفيهبن رذاشفشثمتغ رحقضرطحهجز حصكعطضزعمو عيصفعقشمضه ثطهحقشيذوط ثذطتاندلزح صشظذاجنطلا ثخطجوطمصاظ طخنغتصلقهج 
