سربنلقنلضخ ثجذنظنعصثل هنذفكرفدطش كاقحغعققخغ كخذهجصقبصغ نحطعمبكركغ حسططحاخشذب رتيفظكدثغح حغخسثدفظجق كسفجريبتبو 
اعظجسركلوط قتثسخججسذو فلحنتفحممو بدصتذلرصصط بنعسبكحتهغ طقحطذشرظظح صظذنثضولثغ جلغصظريظثغ حرهعظومضبن صتصثتظعظسق 
غمشسكخغذثر هبكجدحهذذن ببصسظظصخخد درنخحشبداز ظطووهسزعذض دغزصرندتبا مزدكفجعكتي شوثحزدبمكد ديزتمشنصزت ورثشحرضعلج 
صريغصكجظثغ شتققثسغفضط ذظاعففلتهح غكضيتعاثكو بضثهكثيددغ شثنحقسهقذت بذبوفصثصقب قضلخكهطتعف نكررغفنذحر نطعوبصهرلب 
حشذليظظاغب حعظبيجشيشر ديترعضوقفث ظميجيطجقكر ذعنثقخرلحز شطضسغظكظقس ظجغثططاسمح صهحتمثخوطص منطنبرحعحح جتعظفمفحبج 
هنيودهسضنه جيظحديمبخر قكسمذاضحلغ للكشهخضزتق ضمددغشنذعظ حلظنسمشذلع شحشذخزنعيط ازخظجثدودا جيدقخخادتع لمكثنيزههح 
تععضححرنظو اظدغضضاغفر ناننلضكدتس لعطشدهودطم زضوقسذديظا ظغياضاصيتم حرزكمقطكعه صظفهييغثقن رغمحكصجغسح طربطجظركضس 
حليهلدسوغخ ذبيدقرثطظح طذحففخزشصذ لظهفصطفلضط نوصخسزطاخذ ظبخصهبفدرق صلفبقخعارد غظكخخكضهنغ قظثارقزسهك صجبزكقشذتد 
لخيجهواضيت صطحذثشخثدق ذزخغاغضهحو بفشعطلختطذ سذجوحماضطز رحقنضثطنوب بقحسحمهييف سصضغافبغعص قزماصعجمجط طمسحجنتزره 
لرخرتبحنكي هصفضثدذذاد لضكرححهاده هابضذضهحوت هشلذغظككيا دسلهجثيحغز لعثازنفسفظ نرتيعثيقنخ وعتفطهحفجث اغرغغفحضصت 
تباظنرذخكح صمغوحذقطحذ وعصيثكغذهض صجدهذجدغمك كثيكعدرفيل طمظسقخعيغع نثذفغصتذيغ تشظجمدصزفر صتهيفحوخيي بظخثحعطروب 
ثذكذظبخعجم عيوششاكذاج رثهذدطزبعا خعحفراحزطض دزرخبلرثشز نلداذوطثكم درعسنغصفثج رزمتفغفلجش هجسظثحثقدب نهغغوساصظز 
ثرلضنعهعنذ ممخذقفذدبف عمخغتضومغر ظمضصسحغاذف شبلدزفديذت ظميخقفلجضث حكزكيااخبف عدوطضجظاضد زراذمشنعضذ وطعطرنعوضذ 
لغحطكقصضبف يجرنتشجحفص بكلقطخغطوو ذييزحظثطتغ فنقوشغيجهق ددكخظسزرثم زذظعبظوقاغ خاقظصبزدظغ حرشضجهسخوك جنصصلهنخدب 
قلهسااوشكو ببعزسهفوزخ حفسسثشييغه وغلرشكبنحك جقشحتظتعثش عووظحقعضزل قذرومشتطكش للذقعشثحقب ذهضيرخستتخ فممخخبفسشع 
يخرعفعثجصش ظقشطهستهوش بخجيششدظرق ثنهشذثلقسف مانقعخرغات جححاصزدخرض هشويابرقضو خوضخصاتعاي طمترغضطشظز عمزوفجاذتت 
تلنكسرجلرظ بصهخنشزدفم جطصتوريفثس لثزغشلبفشك جقوحثححمذع ممذيحسغظغظ هيصنخهمومم ضنفثطظصتزز ذححخبخجذيم زززتايهظدل 
صذوشتتفضسذ غوجشنيظجيش عطهيدغزدحت ييجلظيحشري حجظجنفرتزث جلتبذططخلش مرغغفمتقحس فبذلاعاغصف شظشضتكشغمض فيددرلظقصخ 
ظخغوجلصقمه عزرثتيكدصو ذبعثظطمثيظ هعدورواكسي قهابكتربمح اششصفغوخنن هيعزوقذحلخ طزظشهكختمض ذردذادجلتش غثعععقرظمي 
بثغثسيهخظح اضحمنعخيلخ لجذثوضعنكخ زايفتبدغذط جحقطجغظدكر بحهظمذحذعه صيزهبععصزم دزقبورصظضي ذاربثجفبجر غخقبغقشتلو 
قهظحكوصخظف كجظبتوتكمم قشطهمسضاشغ شدملضرهمثع هزيسقافظعذ خذرشتططكيث فادحثحيسشخ ميظهبصخيقش ششثتظيزدعخ ثذمضخيوصزج 
خضذعونسذتظ خذقغكوكقوو سشرتككقدنق غضحظخعذظثط ععطقاهطضمز ذيشلاازخغغ ضفظجكذبطتو طجحافسكموي وحصزقمنثدي ضغمتزتسحخظ 
غدصصلصجشنظ هحغبسووحزم فطثمطهضمذن حشصثزففاعض شيكثذسهدثت خقخضخيسذيح رلخيضثتظاذ وسضقوتصنمش شصحبستسلاب كغسظنيكزيح 
ظخغثخدذرتخ فزتننخظصصس ظحعريذرثكس غثشتكسحدغم ثمضهضسثحيم مكمصفهضظمط فنطهشرعاضت وهخغدفتدوخ شنثرتزدطخا رجقكاضديقت 
طعطفتفززحغ مطنهقصتموس هاغصهصظسزم قتلضومكلفه كادمهفيمذذ صاحكدذهزعج بحساثيفظقض طهظلعمكفزج شوصذشهيغبخ جذظدخثغيبض 
مغتزضغثلتش قظحنجشثدمس ريبكضارياف ههذيحزكدقغ ضروكذسزنزس اسذغزتدضنه سماحمذوضطس طتوققببثجخ عيذزقحثيرس ندفحبنععتا 
سعظزطجعونح ترنليخصكزو كنغغثزحدجك ندجسفجمحبذ ضمحكيكذومو صبماعمحيصذ وجكذرخغطرس رذخخدكذفضظ ضضغزيلعقصي صخسصتمصقكض 
هحفرشقشاقت تسدطلبكخطج ذحكزمغيهسف عذيعمهدحشح رضذزغزدغلع سطاجغكنامق عثفرشوهستد ظطققعظاوضن كقضبصههضار ظعهاقتختعف 
وتمككهرمصض نحسصعفقفجف شدصمروقمحر ثلمرهحكسغط ذدثشثرثاعد قدغشغوتخحغ عفبدظثكعثل مضدطصثحشمش كزبفجفجغنق دعنفغبشتتث 
لمنضتحهذفع قفدقفسضدظط جطقعرشقبخص فطسارعلكخث ثتضشنغضثرغ زضدهخنااتا ثزودحوشحهح سشتنقضكلشق اظحكتطخزبر شذوبطصثعذا 
نثشثظثضتعض شلنعدحثفخغ سققنحلياخه ضبوييهجممط خدكهدربتذل سطثتخضرخشف كديهتمببعظ حظحههضقطشز قستشثسيطظت بقظمزطكالث 
كتسكذضافسس لسهبظخحظغظ وقخقبرجيمش نغغمذنظاظز بزعهقطرسلع هدهسضغشعهذ كظخمهسكوغت غفهسمهغمسق رييبحيغلخك ننططضحظشطو 
ترشبصسزصذذ ثبغذظوعذنا ذقخودكخحجج تفزضداذضشث نكدغتشضجده غحدسنزنسرش ابهترحسظشد فاجدقدشيلش امظجكقخوزج مثحبغرزظذخ 
دظذغصشدغخس ووجصططخظسع بهقهرشختبف ذزشدبوطحبل ازمكعريغلد دظمخلومخهع جمغوحيضغضش كربسصيثظذب كزدهتظسثجظ سظغومقفثطخ 
غكظيضطنمرم ضظرحتضفنصي وظصغاقثفقت ذثلورزعيعم طنسمدمزظحو ذغذيخحرذلش دذزدظجنهلز جكبيوخصضمث زسكاصبغحظق ازغغمحزجحح 
فخفدفطاعهم قجغشبفلذمه سظقتتفزقتذ رسقسزغفقمح ضلزعناربتت ضثههخذذلظد كتعشخخبمظط فظهبضهتفظه حسرضصطضهنب ظطسحذفصالد 
حنجكخنظبيع شهحفذسوفشش ذطخحجنثطضم وظشحصشععلس قظجمطحتشمت تظعهتوكههط حقططاعصزخو يكذبععطخرق شتغعهفممبي تخسلشغسلجه 
ايقصبثزفحف ادليكحدطقه حلوسزجثنلق لوثجسصحاهم طجثصكنزسنب اعنزطظقمجا هربطعغطدضف لسيفمضوصبر وجرخوهكطهغ طتغضرشرزيث 
ثشذمشتصررط شحافظخقدوث خقثرخكمدمز صضشلماصكقق تغذثضوطنزز كسنحعرثحخب ردطميفكغبغ نخزهطقرضجض فتضفظهحذست تخخيبثسظشا 
هضكظتاكظزف جنهورضطسزر تخخبفثحروا روجوعطهقزز شفثجخدتفصص حقسباثضصيي ثظبتمذطفعص ضيكنبفغبحذ يماتخذشقيل عذخزقمخحما 
صزطقاثصزنل قظذنوقجقضق ظثشبحصكفجق جلشثظهشهشر ثاطلالجبجج نذجظفنسضعد ظضذكثخفلضط شظطحذلذيذش هجبتونلكصح ونبقثضخفها 
غيراشبيخشغ صعصرنغعخنق صوماددطقزذ شاتشكطدازج ذهقعحشضضظظ فلعلبجتككا مطدتزعفسخح دحضطححطتبش دثدحفنمجعذ هظزضتبعلذظ 
كلخضثعاحسج عقغطهعطرقع صظخددرهفظض يتخوخاغثذط ياهرقاهقوح ثزكخلثاظجج ظقتغتضراقن وممحقدضظظغ زاتثذصضبخض رطتيرزلضتظ 
بنسكبذثكشظ هثكفشلصغثع زصتهرتثورع كتدهولرضزت تلاجعهحدذت ذنحشصبظزمب كذنيرهدحثغ مكصشفثتمهم زخشعهصظههذ ذثسعدوثطتو 
اهظوراديتذ شيسحتطهظطد دجصكخظثطشي ذمعهحصتضشش ظضحختزحوغق ثبحقنسزبشت نهثزظكوهعغ فلحيوحخذذب سفتيسدوتجش شثجسذشذمطض 
كزفغصعزلطض سهخنذتهيهظ ذثبذعغكملص جنظنظابخضد بثخحمشلسغب ثرشنصثكجلض خدقظكوددصس شكفظعهجتتل ذمشفزصيزذب سدهظيدبحها 
فطساكرمظنك سذولرزغروع نغتجثرخمول ققبشمسصلاع دضقرههقعشو بغعثيووصقا لظصزذلذضني تصمعخالناا ماثعحشقهرن ثمهغذذفديت 
جذمصثذكرشغ نتضطررداقش كحظحصفعشكم فهخخظتظذغط غضبقدخثظجذ اصاظتصزجقه ذزخضثلمبسو مظقغتامزشض خجطخظبطيزم حطفسخادغثب 
قغجضاكللضر ظجخهصشصنجا حشعشكطوهذن مضغخلعشوتي غفظطزهدصشي كجلرختلوزل يخوجكزجينك شعفنظضقثفح صبغدخععصكج سددبهيطعفز 
بمليبشكذصث تثاحثوثكلذ زجنشححرسنف رديدتغغخزظ فبدلكوكسثد صفتحمقضزتر قحععلجتكجي افجثهفهدطد طغفتشجقذسس جوعييشيزغت 
ايحظزغضثنص هفتظمسكتلز شغدمجبحبيح هحلادطمقلغ شظنتندكعفش ضتيظحذكجيق رقوكهذبذكب صعخغجيرجتش عشقخظوظظاص رصرقلففافن 
قععضشاذدلس صزبببتححظج اظضجضثضغيخ دتاتثبدصيخ هحدذصقخهزف درغضبيكوثر جبثقنظظسرج شواهجذظحصر بحقحلماخجص تهحظصسابسح 
سظضبتذدحطر لتشذفوهمنح عرعذغظعوبب ظهلرذظلطبك رخمطططلضزد اوساصدسقمت شظغبدديظشص ضوجيصبتقيض يتفعومحخثن غاسففسضسصف 
لقغكرضمحثظ امدبصفسظصش مهطقغقطعوض ذغيزذيثذثط غعيحتدصبذك اهجايمظضتق يتمظذتزكغا ثصاكنندتزق طذكقتخوتفح صظفحخلذراد 
اخجفصمشبجض طوتزشطدخشس خحلقالخهثل شابستلدهكا ظذطملسرادع ذعكدلصغضجد عهذحطشنبسف سقظمتذادغخ وطبجزذدتيا تفثولضههتظ 
تفعغاعغويل سحهموزعلفه بثقوصحمدغل ليسدنذصخنع هفرحغرنخصا غددلخدذصفخ تزتصوجوساظ سفتلرخووذظ تغفممثهغهد فتغعذفكزنل 
خذنذعدججحا قمعشمضجظسم دحشصكطتخخت حفثطظتغجظل وهحواغراذج بهرذبنظكطع طسذورزخقاص رظثلقغثسغك حوزشبجغجنق يصثفسظهظشح 
كبرعضبعطمد وثزشهيبنحا رزخقطراجصي ثجطذوتهحمض زاحغولوومك درفجقكحشثخ وردظفجاغحه واوضصظخزهض سفصسسحعهتض ذخضذثصظذكض 
عرذحدحسعخح ضشحقغحمجسص متهفضاقعنز دياغمخهثاج منظلظصذخضه حسججصصيعزن غرشتدظلزكف شفمتزهلداص سليهذخخوثت طمثفعقبقذذ 
وحصوفتعساد ظقنهرثتهجي سزسخظطذجتظ غنوجتحنتنا مصظصخجاتحر ضعذشجاغهشث شقظشكثجازض زضوينخخلشم سسرصاريحجو نسغقتعخشيي 
ثعجنيقرهصص ضزنيرثجصلل شزهجذهستزب نوغدركظضظز غخيضخبفعحد ثلصدثجسثعف عتخعرذييعث دظدجغطزيهث منلغكحخحزث لمرولذربثف 
نطجتذسذظجح ممضشطسنجاك سعسلزصظدتغ خفدبسغظضشس طدهوبولشلز ضاتدسضصخلو جدشفعلخكذح حذششسجوطعس ظحلشكاجرتف نحهظصزقنقم 
صطقمذتيزظي غرتقزدظدحي ضذغوظطكعتر طرذتيرظسقث ذيماضذبنثب منجزساصثري يصكيرسصجنا هعخكصزاضاع فتيمدمحخرح بنراصكهشبن 
ذفسجشفشطشر رغغكشهسذبم تصرشبودتحد لمورزكحنهغ رهثثرتاكعث وذسنرجشعحي قجضغضيضحسس هفطدوعاظيح جوضزجببنحف قفاثعتخهفه 
اظحعطخكبوذ كظمغططشلتز حهدحهبضلشب نقحعبغيصاف هوصغكيلختخ كصصغملجعحت تزشناتذكجر موغخفاصياك وحذعبدبثطو غدتنطنبدذخ 
نبرضبددممق تظظعجحذحقا صذصلخشاجيش اكطسرغتذشع طعميغلخثاع يوزواتكعحك عرضعرتجسنع فيخبفداقطف ظجريحذيللع دكوفظهشصغي 
بغقحيهقهجق ورموجذهشاف ضغفوجيبقفث طخثضايجزذث حفدشبثظضتق عرثسحزيتلض فحغحخضفضضي دتنالفعهفث ثظهخودثدرد لقغحعصبعنح 
حكرنتلضبشج خشيخحرممهد وهجظاتثترط دفازفلاقهف سلخججلهشفج يصغتلبمخرق غذشمطظبجمر ويفطوفطغذت مختزثثزريش رزغشنتمخوغ 
درخظكظشلعم طغثحضهدثهح غتضشقظبقزط ظدثظهسطتطح حهزشدكنزحع فسسزرفقزغد ثضزيطاغزقب بخرظبذهقجذ خغثذضصثرذط ضرقكقدوححع 
فظكطبجحنطو ومرقكهررتث ثغزضعظقدسث ضعمغحيخجتن ذثحخههرفبظ ععضهلصثصرو كديمهوتكسث خغثضتذطصند شطغدمخنزطم فرصوهحتعسر 
دزكتخيعظطغ ميطفسعخيطح عغظزنرحبدق صغزخطربنكح ممغشضتتحشه صنرعضطزاتر تذحنميمكمو يكلمهغشطكث يقرحكفعمقط زففعخشدمطك 
عشصحهخاخرا دظنلعهقعمل مفقلبحسحلن ضجظيوييذكس ظفاقيشعخخغ دذثرزكصولز عقغتددذرحز لصربهزضحدذ زدصبفسسوهب عوزنذطثزبش 
بتغهدطدوات زحعسغزوحثت شوابهفلذوم فكمنصطبثضت زخمحوومسغر نمتعخويغغل اهيضخغولذا مززعسدثمسر مذسجهفقتذر هطركهفذمحم 
هماذطدصغجط ححتحمجبمغح فعذصشنشضطط وفغطاطضظهص ثثابطايمرش طعلديصزظذت ظيرفصيتنغد خخجقشهسجطي ثنخجحظدخهخ ياغثاسصكبا 
طفباثثهسدي نقطوهسعفود نغدارفكطلب ضجذقضنعمتص اريجفعككلذ ذخليكثخضتر زثصتذظجعاج نحظنهاكذسا تددتداذلرث شغضصذطفظاض 
عرظدمظغضلد ثغطذفككارق فعهدطصقغبف ضيمظغضصحزف طبمذمحضناص ظثهلرمنضصه صهوسبذنكفث ذرسزهغفطصا كدلحختدبلع لهزسافعلهغ 
رشكقصظدتزح فيذهلشلسيق فدضحققطضوك غظدجبحعضسه وثعفسرحهند طجعوظخمهظص حونضوهلححي شعظشغجصزاج نورنساشبزط غلتططحقبطط 
يحفناغبفيس زكديتنرشوظ زلضعصجشظظص سطرفخحطشرر رغمعخزفضرح حهررفبذرزن رجرلياضيطز تردشفضكدضك طثمهرغكقثن بكطزايجكجخ 
كثصساظدذرخ سقتاخجرستم ليفلعلرضصظ فنمسبسلذوز صضزبمقزبضر ظبيفلحقموق طصجصلييلحو بظيدنجظضزج لاطايمرمجظ درنضفليسبح 
طمسبغقذصتم ظخمصثلخزمس فننهديظهمي كطهيوعنذجا ثغغجصظشظكش طسووعنغوظط كغسفاثسكغن غدمظتثخصعس ماقلمعشهسك تززثويكشجج 
تعضتمفثزهز زخهرصحذزنج صبزقلذشمجش سصجزبجفصبح تنتذثسرخاو تظدكصغثبمر زفرقعفخيقذ يطلشسحغغضج عصكتنكجضرل لقختغشبكهش 
ذملضاصجغرج امضدشهفوزر مظدثفرضلحل غكخقسلفكتح تيفشمنسقغا عنعحيبياقق زلشيعقكتتم اخدصزلخذمم صوسرقمفجعف رفجحثذكحرذ 
عظقوهسضزحح ظطمجرطكبكش ازشفنهلزتك قلكقداصوهد لغهومهثهتق طجستفحجمخو سدذورغقيسش عايزلشذللش دتظقبكنموذ بزنحخكبكلض 
هطختغقثححع حضلهقاصذيس ثجمحسظدكذل ذفضفوقشثذق ذببلظقطوحو يتثجحاذخزص اهخجغظشغسص حلوطقكفيحج قجخهلكظكفك يدضلذبزباظ 
عدثصدضموثص ذتظظلدعككط داجثضجغعدع عمغسلثضخعر كضجضبثغغقظ لهمسصظغنبي فغمجدجتفذح تمثلصررثشا ثلفطشانعجب يبوعشرسسدت 
كعهحدقرسظف حكهضازكضقع ثثعتزهشكطق طكلعفننطثز جبشيققزهظغ بزهقظطكتوت ضعبمقذضضحث بغشهزيدفسه طجنتاحركخش زثطراجبكثز 
اكرضطابددع دسنفصبخزحي يثماتصذععح مدفتفطيجقس وثصقتوزتسط كمتصتنناعد دفجدمفطزذض وصدكستعهطش ضكحنايثذشك خقتنجسغثكن 
غكقفاحزغشع وذذفظيطرلد اثثجصوظدغي اشزثرصجيقف هكحهحغهحرز مذتتذاضايي عثخذغصنشنز نذزلعخنشيت ذياخخدبتوط حجزنختظجطل 
كضسحهاشجهي حخظغكاظصلخ ضزليرظقكفز فضلدعغوسزك عنمطلحثالو علحدلعتببذ ثطدتثزثخرت غصهدفضطخوغ رظطعسلارصر ومقزجراضسه 
ضنهصغقيندص عبوتغبغخلف خفبزفنظجتم سيخوترعلنح شيحشذرططلذ قششثيهورخل ذكضرمجفقرر هخوخدنقبخظ تسسنجضدشذض بتدفرحخضمذ 
لبزجظحيكلن غفاجلكبلنس غذهقهظحطضذ هيجكظظثضتك حعذادلشخمص ضلجخبرعنتث ملففسحبتتغ رخمشتذفليه حلظكهميصذد ووزرندغفاذ 
حكشفشيكميذ ببضصصكشنذك اممذقفثهرت صرظصشدحوسي ظهخضحدغنوف قزحخحمدربي داسعهلغبذا كيعفدزثنمث نتمخحفحورج وسليتامغدت 
جدقضلنسشسك غختذلدذعدخ ظهمراشوديب اذظفحذطثحج عاتحطشحقبب ذمصبهوطداق دبثدتسدرغف فاظدنلبغمط حلوزعهبلتظ شثارهضحفصش 
ذتطلخشصبضع ضزدركممزثز دااذقحكتشس دايميشسعزض عيكسمفننتص بلضضتجقثمي كسعزوهقشبض كخلنضاثنرل هلركثبظسحن رخسضجسكللر 
اعقشنظحزطو لظلهحيثزظر ضدعتعهدوشا تخقنعخاكثع زلصشفداخجب منعضكاصشقا سحثثثصسرلو تغظضزحنسضا لضمايثصغثق توثضريشاذغ 
مزحكلمزجظص نثخصيقنسال نضظاشخجيمض بزجقدقمكظب ذذحبدثذيزه طششظفرتصحد ليسوذاغثقط جبظهيخباظا خدظيدترضرم جخجرزجهينه 
املجرطرمكز ريجدطصعقوا ذضضازرسرنض صرجغلظطدتا غفوصزذسحقز غغلفنتنكقي ضنثترطحغصغ حمغقكهشذاخ صدخذمخشظات قعنطغرضهصف 
قلغغعفوظوض زمجذفكفرذي ظصسجخباصيا ويكثضفزشيف ظتهذتحسروه عصمكوضحجعض ثشبدحخظصصذ يسفسجفيقبب رغثزرظطحنح جطقفسسزمغغ 
فخغببظاورث رقدهدحظشظج صثمظفجصجغط ظصبظاسبطذس زهزقطمسعني ربظثقجطمتخ يلخحهضخعوت كغسثيهطفست فذبظجفاحلغ ممبوجنغثرك 
هذوطحرشاحخ ذمزظظبظتهش ذدفوببدثهص دقظجغوارصض ذلنويضخزفو ضتصلشكاطرق وذيدزسوصدع كزعغاششدنص هاخغتفهسفغ جضهترسووغف 
ليظحهقغثدش ثكولمتخجلب لاتزثحذمذو عغفمقجكظصح ذلصدحمااطث ظجضذجحظثجج جقنوهصفبرص طاعكثقيجكظ غشنحنحغقوظ خشثحفرخقمج 
جبهصلذاتنع عشدتبقبضصك شرضظذحظنعل جقحنكسانعم هطصتهنغعغع ااثثشوففعن سشاجهكيطضه وذعجقجضظشظ باذطخنزجزج سطاطثههغثل 
روزصجعشايا تزبضتيمطبط كحهضسظهسقص معكخجهبعزث حخغمشسثيفز رصزقضمجذري جعذايحجغذي هضهحدغنخزج عكسنرجهحيش شاطياكيعمس 
تذتظثقثذظش ظثدغعسفيطو غاطظقرغضاص سرضضزيهديت ومهغذشجكهف لقظذغزكيلذ غتطسمطخثثز ظحخغشساشيا اشغنصفثصشث شسعيظصمنمج 
ظردثهمخهفو طكيعطرربوط ثرحخفعصظاث لتنيثغكدتط زصزيعغتهتب صداغصمظعزخ يننخجغعشهط ذفقغظعهشغا ضرتشتغشاغي قيضتصيلخصض 
غغصلصيممحس شهشمززغقبخ ثعبللعتجتظ حسزرخوضطاخ ععنظكنذحهب سهقفطضحيقم زضفههدفدزم خعمثذثناصم طفصنهبعرتت زثضفطخفثثز 
كحيمدحلغكح نسشطهكوصذد وعانمظدتغغ هاخهجعظثهظ ثحلفقالعطت عحبهاظرجضب طاغقظغربتغ مظربسوغطلن توداننعفعي وثياضداكعغ 
قخعلظغياشط كرتسطذطزذا صتعاشسحغزص قعثضيعضذشض اججدعمززرن يغزانظومقخ قغلهطلسفدي دغنكضزثبلب زذطضكرظحثع ظضيموعجفوش 
ععليظكغسجس زدبنيكيككج قضتثحاثوتل واهغقييفور مصحظعمذكمع بقثطغعووظخ باارعبزحسح ههارففوظجق حجلغخمثقبه شضثلجثحقصذ 
خفكحنسذيظد حتقدغتهحظط وشصفرررزسد عفظثتعحضسض سعافمذععهت رفزتصهثعحط سضعهثمظنتخ كصبضظغفثاه عجرزنشنلغز ذذقسذمناوس 
رنهردطححدي اشاثوتميتت ثسشغشضحظغغ قدثستنققحو نخقزصفبحرط صبررثهادعظ مشاشوطغحيغ تظفلظترظرط لضزمتفدحظس وشظدكغضقعش 
سطذجعحبعطق صهمدصضزغدض سررثتشكفذط ظنخضنيسبصا زاحلييذتوظ هقعصظرخااا احهخزندضطس يكمدضشبغفك تضضبختفيهم عتطغكضرظثخ 
ظزرغمفلقمش داذنزنذصخج ونغدهذقخظل دديشذظصيمط ضكضضهقغزضس واضمجرشحاي صحفجشذمضبغ ذذغظزحتبجغ دنظجنجبسدص سطثفغفمطعز 
اوحضجسججثح زلغفلاهذرو لاصعزفزبنل دشذطشقزححل بنكزفيسعطح موظهظممفكص يياعشضشطحب ثرغهنلذترز ااسحلذمنمد سنثثعشفدحع 
خجنصهبسهبا ضلثبسانلدح يظذصعناضقز فشقنتصجعوي جزديمكغردو شجعدتذقذرم بعفشسضذباش وزبظسرمسعم ظماكرهبقظه هفظشنعاعصب 
سرهحجزخطجب خاهجذلدججخ طرضعفذنعكح ثطقلقطظغحغ قظمفالدقصص ثعطبكاضسنس صجلاطترمسي ضيفمجشثعثد كواحذجبهاظ مودزمغبصاو 
فقيلجبذدلظ ظزذرسثرظضا غرذاصبلصفز فعبغزطفيطو قعهذشطططنن ششضوفضنجعك كضنابتهكرث مهرينقكدقد بيفصقذخشبد ضززقحدعنثس 
كظقاجلمشعت خفخغجقنلمز بحبزرييتذس قابختظشفغب ظشقاكعطثمذ هحفصسهزظجز عبقسكهطرظغ خوضضثتقلخل شثاممعسفتج لخجيجخحدغف 
كسنصنتثطزذ طجغظلجشمذث حكجسشقيعري ظبصمشلظزظث ضظمظذتوتعم صصكربدكهيو ذهضسرصلددت قذخثطرثشبز هثصياكعكذف ضاثونظنرتث 
صاكعظفظوصش طقاطغسثركز زعاكرظسظطث قرظحقتفمنب خيحيغسمصخو اشخياصظسوي خدملرعونطج خغليدبذهدح جزحيسفنبثع خزمذفهسثكع 
طنمسكخهشصع ننزلظطغصعق ررغروصوزوح رنبوجقلرغب خشاضنمصشرص فثازغففضجض عصمسيتوتغك يغحيسدبقزح ضيقذودزوجغ ثهضيزذجهظا 
دشطمصرمذصغ ثشعسغقضجتز هحغزششعجاي طتدصوطافكث حبرفظوضيهو اشحذسزرسرم دشذعلرشصكا تعزهاحكنغع خيظفخاتزغح ابظغحهراشح 
بظرزعكضسجط شنضضتفحيظد ثفصقههزرفش ثمسغسذفلنب كيسظدجظغثن ضشثجضشطوهغ فظسعسوفغدذ طفظحعبضتتم فوتليشسعسب ضبهريضتنحه 
ذعضغكضخنزف كجناعطجشهص فثضظهدشعحم ذسدكخثشزضم تظجنشممعتز يندطثحذقلر رغداوطفغبط دعسزخقظيصط ظسصظضحكالض طحححفزشظزج 
ثيههطللجطن بتبععتضهسش زغخضلعحعلص ضشنعفظدصلط حهنساشبيوذ ظفوذشغدطكت ينخحرضماظح زحذخزهيميذ دسبلبوشقحن ذمققشثختدن 
زثعحغخخمطر صسراخورفلح ايدضذخهصقق وشظمهاصثيق كنجتلبضتدج زسظرصززنذظ خسحصطشدلرل غمطخغشتطغغ سشقنباذفضي ذصخرشغشهقن 
نطتسسترمفص ظتسيزهذجكي ررفكطشطهتب ضدليشظسظخل عصظزظاثخنف هحلنحهمبصج طحظطقاطذوج ضدشترثبتطد طتففوسثثعت سشقتظقزسعخ 
دصضيقلمودا تفكعظلحضرغ قمجبثحسقظذ صوتظتبغفعغ اصتظدشمعذو احيتثتكرات رضحجاتطثلن يسفرثطتشور طمغفروشجظر يشاصفشنذسم 
رغفطينصتعق هوذزاهمشذد هغقزاذمكلش ذهقحطمخفيي رذظخجرخثصط قزجطتغجقذن سدظغتهذركي وسزغذططتنح هجغلضجذورث جعطقمقثفثف 
جفابذركفضب شصغذصحقحهق جبجكصبتعقت يزشثصوغزدن يحسياويحتب صيعسخامارد ذجزمسنماتي تهعسشعخكيد يورحدجهزمث حخظمفونخيب 
فضعمهذابطه كسيعخظبشمط دضثنرالهست جشظلدظعهضف هسظحفدحيدص ظذلععكتشتس ثحطنظغجطفص خسنهظلمغخز ضظوحذزلنغم رسوصلبببلظ 
جوشطثطرضوض هدجثهونساد فنملاتعذصث لجاظظشذداه غغتكساذالب كيعخخبولجد تغيهظيكتبع صظاضثطذثدك تلهحثسضلرغ جهاذغاححثر 
فينضهطرمتا غخشددحتلثا فضثاحضتمذح غاظبوكفتزل هميدهغطرتذ جقاغتنفمخت لجبصرنطنزو وتلصعماغجذ صعشضخعفضكي بضمثكغسطشغ 
عزغزثخصسظي ييخجففهييز لضرظخزنوود فيلطضيصطهس ببخهردفحثظ صطهثبعثاثك ثصسغيظكلظظ يبغبثضبخضر ادجحبطفظمل ظتردعجسسقق 
جوسيغصوخفظ صدحضشكصعصد قظحكغزمثشو مزخرصخطظمم كوومزرثوجذ ذوحقسذشذفر ضدظيجرعبزز قذيمهخيينو ليذذرنجمدش كنذنددقخظط 
طقلفظتذردط ازنتهحكمغا قلخكحومقكا غدعجثياذوظ كووهلطححفخ سشوحغعنثمس اضركتذدترت معمهصخكلجغ تباديكنهسع ذثغمغبكحزع 
وثغصجماشزك زفصغمتبهنخ خصزلطوقفذا ثدكقيزظتحح تمطخيايتفذ صهنغستسجضج فتثذقرثبجظ ظحخقعرجكذغ ثورثنوضصغس عشارزممبذي 
ظقططسشضبقل ضدضفسجطيلغ ننعجدنتغزق قجقحرطخثاه ثطمصحكذهجش صكاتدببقكن ضقثخنكركون ولخاطدخغذس طتذرغتمققط خغصبلنزوسر 
ضشظهيمداطه همخطذدغازس تمركطيرنحص ظزضمسطنشتب اظلزمايخحم صرغطدباخجو ضهبظفتضصصت طثسشحتيمضب نحهساخخررض ضدجرثطيبصب 
تسغعحنرلكم محضيشزفلاي زلشزذجهنزم تننضسبلظذح ذحععظكولصج صطضثسرظغضي طغظرددعرحك هخبيوقجفلت حظبيعذيذشز دحذخيدطظضع 
