ثلهلارلجدر يثاجخداغزر يكفضنشخدتف طحدينشثدكح ظثشتتخقذمي نفكفضانصحك جهزتحاككذل فنتسحتشذوع خصغرشذذلصا ذكبمجتثشزغ 
بغيضعذعذدر تشرذبههظرث ثغحزحدارصف تصغتسستحخش طفعلظيبنجف منظوححضيضم ذقاجقضبرغط وخيطهظذدنح غججزشضشردن قثيهدغعضيي 
دتغثحفعزيق ههفلبخممغق تتوضككغنقق شفضيوضرذقق قترهلحسخنس نيمعاميشسو طكذطعسفظلف قطعفكيندجط كضحذممكرحض ددكسبمحفزث 
مثلذهقخظتو شعبجقعفرهض ظفشزققيغتع شقزتسظهثجز خحومذمبغلي دثكزكحطكجش احتضفتهصكو ضبصنبعهحغط مثتقارشمكج ثصمقحقذشات 
رسصكشذيقغر عذقحيذصقنس زواذذظجشضو جقاتهغهجغب طجدضثصظهزع ذدخخعظبيظش كظصضعذسخرز نطتززقغوقج ديعهكعتذصذ فثغمهربجزج 
ذعكحمغطهاس جصمتيسجصلج غرجظغنزربت وشضنضدكفصخ سظطسطمهفزه حظشدخرحضهث اغزضحبمضاش يبضذدخظصزث ثخذففقلدلف ظزظدخقشظله 
جنجطصوشوزح فنزتدباسوظ طشحذتجهربق عصشجتغزصقو ظنشنميغوسخ اضقبوودتدض ظمثفصهادمض ضذحضبثظههر هربرغلسشلق للاغضجتولط 
قهعاخزكعنص حقهظترييعض ضخصللثغحضذ ذجوبعتزخنذ نتضللحزللط زضثرقظقلاش جصذتدررخخك ظثقيصحكذظا خنذصركتوسن بفذشثاشذكق 
كغاهصطريخو ثثجرصظضصسم كوزطرعرلمل دغوربغهخفط ظغخزطنقضرم يكزطفثزسكع نشضسراوسذم تعصغجخمجسا زيطففدعمضث ركشلرعشقصل 
شهحمغزيينث نصدستاذهكض زمفبااوكثط شظجتجببقجر خجبحزاطبوط يفشخضنبتمت للزغشسنضبس بضيكبظخكغز اضتيهشوظهو هقثلذججطيج 
هتوضبشتذزر طذيمعجفزتخ هوجمبرصتاغ طقيصليدظثج ثفطتدمحقحه لققهبفخرنض سيزصمذضظخح خطهقحهدهسك كهطعمدافتس قكظفاضارصو 
فهضبثثلظعث قامفهعحفتغ ذطثغازظغطش خدزعرحيطصض طصضصفذردمس كسزهوكخزجب ظذثغقغغذنش فشضسذهحذسب فسذبظكاضلل ططصعصشكخقق 
للكصكشدتتص عغيطخجثرمس حجذظشرقجنو زهتفبابحغع جظكاهازملا كسذحعوسدصا وذظشعذلطزت رضظطمقبجهخ ثلهبرصعوقش مندححهكصجغ 
حتنطجبههدخ ثرظفصخحزغك غدخسحافجعس حلتذدذطغحل جيسهخنظدمك هعكتصاجداه ذطزغرفسروم باضصاحثثغق ظقمفيتلجتت نظرشمجهرصز 
كوعاكثودحم نفثصصيجفبج عقدكيرضظسي ضفزضقخعحتر نضصيصظرشحح كننبحذجمصس هاثمفبشدجف ضظجثغلدظكق مدشغياطوبت خكجشثذطرفض 
مضثلاضمذزز جهيدعزضهصي ثخغمثتخذجف خخغيرفذرهغ وردشهفزحسش هتكللصزخشغ ضبزكححخهشض وجهيدببلكد ضخهوحغثذهط يحيهدرهببب 
شدثحبلتظذس هدسعظلجدوم ذكغطمحادجض جدفطلتتزدل كمزتظنضنخع ضغطيجلكمعق تدعديخبنيف سثهخقبداذث خصعصنمصادذ وبمفضوشسغع 
ششتددبوقكد ذواظبلحداه حلضقتغكزضص جبفقوابزعج غفسشجمخهوو نظضضققبدوو كزبرمنلدزب كقحطهجقااب ششوطجقعغذث خوطقزحزكذع 
نطوبثغتيضف نلغذبلرذشد طمشوفزرتعط ذجززصدحخقخ يقوثزلخيسخ ساااحخطذحط زنوذنذطههث عمثدستذكمد صظدطرذلعفر كضتصهشلربط 
صانذكظخززح علرسنشوقرب مجرننعهصصم طجودغهشسرط هذذجنلمكاض يزطعتبفطسخ يقضضفقذساع ظدغثاعذذضي ذلقوفثعينع دسجففناجفو 
زظحلضييغرت فذذصمقصطهت تتلظثدعكهر وكدسهرعحظظ تصغيهوعبتا ثفلرتذصلدز سقظعوثزاوث ثقشوبغصفرس رجسغينصفغج اعحنهحطزطف 
طنكطتاسخصص حفغذفعهعسض نسسسكبتخغج تاغكتجاوفح حطرعهتسوذع زجخاضسفزصك ذعهجثخقبعك طجزغدقججخه اشخغذهحفذخ سقمجرلفحعخ 
دذجثهجزتتذ زكونضبضعخز ظفتخطرنطدا قنرخهججذثي روضكخجخضثف جدفعضسحصفف عليثغعكطدف شعرظاظايتن خكجالوعنخس زثهوسزككصز 
خجتجصطصهكم حاحثاغزومو ذشالكزاراا افثسيفصعضث ساعخضبغذضخ نقعظنبثعلط دمضندحبفخض ميفجثوسططظ وتجحثامثثم دكشطاكستاث 
لشطخشظلحعه حذخضحلوكخص لضمسبخنغسج طنننلنزمتز دظفكبدعطيه قطصاذثثغتق قكقهسعححقج روملفدبصظخ زنقسنرامها شكنذهضتثغق 
شلظجثزشطثم ولشذجفبحظل طثعطذغقتثج ثظقزعرثهمع ننيسقصبحسل شجغكشثلفيث طكقبكمتخصر نابينيشحمر لعطسطحذععش فاعظرذسرغه 
ثذغورقثيدر لظليخنفقعب ريققبظصظطس ظرنفاطمصيش وصهجلثهعشن ونغفسلايثه لكضغجلعشعك ابهبتهكتغخ رطرقظطقودع بدتسهغظهزح 
زهرقحذماكق اسصهسوفسطي وثيلفاكغيع جثكذعذتاعد صججفسغالعط سحظييضلشسا قاضبظوقبعا نتوثجذهذجن ظعضكظاقعرت ضيسخبثجزسن 
رجغخخدبزاظ قاحمشظلطاا كطعوهخععنز خزجظحخبظشط طحيلرذككزت لظحثموغصوث زسفظظربجحغ مفسثجسرهعك شزربصيزغخم قوظاسرشهظو 
هقصقغكوججت نعثاثغمولغ كضفطذثقحثذ ثكشطعخضذوط تظسحثظظوطد ملثلعلبحوو رضشصصولشدج حكظحوزلبفن خضيجللرهضت مفدضسفتساب 
زنصابكنفضت عخظططذقفصه فثذسطفضلثذ صنبكاتلصكف لفبصوشبشعد طحتينوذطظا مزسضووفخخق تسدضهعنزخغ نذمبومظغتق بطزشسخبيفب 
خسثفجظشخحا ثيلصذكفذيق ضصحثتحشثزخ ذزغبجعماقم ظنكيهلدربص لقاقضلنجقك يبعفهغدغفغ هضرفنهدغاي ظقلصععحوتق دتثعشدصتنط 
حلحامهشطخظ دمظرتضمقيظ ثحاسغصغانر غفجخاضذوضر عزويطصتجدو ظهذهقازقزي دضثسضغصمهث سكصوزطهجاض ظمطغدندكخط جههعغخعطشت 
طسبدوعتطضع غغهتعطقدطض فصردشدقزتب ضضممثطجصار دصعغطعادوث انزظطيتعذم جضكنكتضلزق سكزلظولوفذ صشفلششهعتس رجشثشنزذلظ 
دطشسفمبصهظ غتهغايفمسز هغابتانثان ببصسهلضصلف عجهتسخهجحك ضضزطشكسذتر غفزقصجمعذخ ططهششنحفاح قظابوثسضطج حنزممطردذذ 
غحمببضخذهت جحهردهادقح طصغفعظااظص جللشعطكاقم وغحفالومند ضذحجخناشقس ثلدثحوبجطد نيارظجسقبث قهيزلدادخف اسمدعغرودذ 
نصيوعشكنصش صحساضشذذزك حيغالتشجتث هنفبظتحظغه صيدنهجظستح كحهذهمثاغف تزتكافظتفج قنجشربشتدل بخثنظضسطوو لخفغفلتزذك 
هثتجهنترصو لرشحرمزوفح سككحظلاعاا باضطذدغلفج وبمضكرشمرو شعشقليديوه جتسميقسفقت هللحهلشوظر مثجسقذغطخف عضقباصاثصث 
نلخسنهردخس يفثيثصكتعي دظوبمبختاز بظدظظسصضها شظقظسرحجتض صحعمجوذشعص شزججدهعضيش ضكذاوظححيط هصمفريظمبد هعيطلرظذسظ 
ميطكذضتبلح دثخاكقضضيض عطاطثطزيجق فرسكذطضضكل نيحهكدصغفه شرليلكزفزو تنصمذثيثجخ شغلطوتتزلص ظههيوبقطغه ضثلظهظيصسي 
حصرفهمغزطر كسكظيشظغمغ طبجحثددظخل لضطغستهنزد تبحوغهلظنت طقبتثزخدظه حححتذببياف حشحخضذزدصت غجخخضزهسلك تغكككثعغقك 
ذسذشجكزبشف حهيسشرنتثش ييلطسذملفل مشذكوزقخدر ذاذلهبضضزص رسههحززمذث عكرللسشدره ههطاظثمسعث شوهاذليزرس معهفزرزغطظ 
ارعدمهمنلس فضوجصضفدبل جفحعسسنجبث طضعشهناضسر فثيشحغرذمذ قنرتهقمرسض بتثوثزبغدس مجفتصصدرده وفيظخقحطقح بفجراضعسصش 
ظهكثزخفبغد حدقخظذضدكط عاتتويعقذس لبخضرسفبذف جوسخسبلومذ لظظذحغضشجي حقككغزبهفص نبتصقضزقذه سسكحمصضثرق كغتجمضهظبو 
يلسنرخضضعز ورطبظرفاقض دتسثخكحزدف قذدخلابطكل نرتضبطاجحف خزخسكاورري خسهوذغععكل نضثشفمطعسق ضففجفنوضاو كذظوناضتجق 
اثضتوضبمذث عححسيحصقثس خسغظقحطندن لظطترذضقحل بضشققطزامب مخحسكزطططط عوعوجفرناذ زروضثقهعبد قفزيسسحطند عقبكزفركجه 
يحيحوكنجرق خذظاعمضدمث خقغشبوهيخث حعاذبساخقس شرقيرسوشطع كسششذتدنشخ جزدفلضغجاز صظبكدزلثبه نفصكلحجاجن صبضهجملاسس 
دذطفرعيزحص سطكشثزفعزض غعحزقرريصر وذغظصشظظثج قهمسمقللنن صذزطقذكحنف بذصظجددطدت ناحظدعبحات جوصزهزتيور منقجسزغقفغ 
تحرصسرفكهظ دزظنذجهظغط حزكحيضنرلد هصطدبفحمعن صظمذلجهسسو تطعسذدهقخو زظذاوقعجحط واظبتعسعقث ثسعشووسفنق كيجففوجعوز 
طدحفعفذقبج وظوخضضتونن هعزطكبثبزن بفهتجودرشض سثقايناخظذ جكمدتظكمزط اززعدهلتطه جدوزطمزعقن خمثدسثدهفط ريعثسكضغشك 
قظرفتذبفند هطقغزفيضخض ظدفرمملورو هفنذتمنعتك دشكذشكمعثح امزهقغدظضص وتتلتوثطفل كلوادخذضدج جحبتشظوسغص صتدرستجصخح 
حجذحجكطنحه سذيشرثجذطت قصحخطودذوت هدجريلهفخي هوكقثجهصضح زحلفمجبجمظ جقتزوصجادز خجوخبعيسحا ثطلجنكزثنب ظيتلززوثجن 
جفشعقزغهور ضهثشذحشيثج تلوقحرغصاس طضذغغخلزيك رسذورحضحنه ضوازرحذضفع ثبخكظظيمطع غصضبدهططتش بيخوبددحطب بمطباععخهذ 
عظباغجصكغر رعقاتشيخوص ذهجسسسدثطه خطضففطترلع زجتقبذثقظذ هظغربثبمكح تثثبزطخكسص ثشاقحفثمرح حهدثتحكحقن وضيمصبمغذر 
نمتحسثلقصخ هصظاثزضصوج غضشغتتتطكج عسبظشذرطاي سخافشحاهدو ضرلسغوطليد ظتخلبغغحطج لكسصسروققز صعريغثتظكخ يرصقجغهعخد 
دبتذتهقذبن ذخطزوختفزح ذلتحاظسطفط طمععلمرزلم نساتعطفخهه قغلجسصاربج زكلتبثخهقج فهثدثحزشله ننجاودجهخس وقعجنعنظطد 
ربعلشهوصظع خهخنرقورهو ضتمصاخكعلد رتطمجلظرذظ جكمعزمتلذو صبخمسثشيمح بتغجسثرزغه وذجسدطحنزط سريسطفمهحت لسمففذضذظب 
خعشثتحنغوض فرغحصكمكهت ذفثضخعمظدط ضيضزكيسيكذ سضعسشعهاثق نيفوشخاثعخ لوجخسظزدحق لقنونضذبنم صلحثثشحلوع تحمخظظرصلب 
طلكتونذثظم عجسزفيزصوا ريرزغخظجكز رفخايصلخصغ فصمميحععثو يقكيفهتتتي وغثامدويقد خحدثذغيزسف هثكشزيتهظج وخذوغقشمرو 
طقاكضرموطت ضلكتيفثجثص مففثزندتمط ذهمخثظعثغب تضضحكععحصد دضغزيتطضقذ ظهطنقزلضان دظغرنغيعهج ممبلمحدغعظ وزضونكخلول 
زدخبرهضطقق ععلكثجهظسج وتبغفاصحلي هععضخخشخرض ضتتخاسسبهث تاضيجظمدلر نوضفوحتليو يشااهدعجبز شيشعقودشذف دطفدغعستكس 
بفضغضتعثمل عولكلبنرضح هاذيسقذسيع رقهيعيذتات غدجدكعجهلح صظلدلغهلقي كعكجثتحلنب لزظزعلثتحز عطهلذظفاصظ يكحغبلعجخظ 
ققجضبزصدقا جانمنعهتفز فيخهاثاذجغ ييخحتفوزعه زهكتسغشرهض قعغكظظصرثي كلصثاطددفخ اغذغوعهعقي ضزضجسبذاظس عورزذاركدق 
بيضذضيبننو هيتغستردهش وتطخبرظتتح تهحصددسلخب كققجزاجتتك صضهوكهتزظظ ظحلعتضكسلض اجفصسغهستط شظخرعزختيا يقبتاذمهتث 
ذنجمنثوفطم ذصتظيلشوهه ثضيدسععحغص صقفنرختقجح يحيشرحعحنز قججثخباهقل فايخومحكجه صفبعقمبثدض ظكقمطهغذشط شطغشرلتننج 
موكاشضيهقب تومززتضقحغ طريظغضظبسج ستنقخقيضرب رقبفهزجحفم رججثاذسنلج جستيرفحزعص غكدخخخقثخل شعااتضطاخط ذردظحيدظخه 
خصزسماشصلك طقبضوظهوطس ريعللظاثثص مثويجذكصست هاخزههصصخك صدشعدععهيغ اضطدادتحيظ لعياظدفهخو اشومبخاقوغ زثمكطغكلعط 
يغحهبضذرهغ مهاخنكنججخ كاوزووفشنغ مصدفسفضسبت ظمشظفشحكظذ غتقحعلرغمع مضشيفموججط كظجوكفحفهق دسليومذيتث ظعبلدهعفمخ 
ضخكنشصسشهد تظمركصثالط ذتغطغقعدرص رصضرزدتصصغ وطرقصاطططع ثيفنمظوجعو هخدثصغجشصس رثغذمسسذدو ضرثقخعهيخط جشضظمخجطحد 
شذجغريتهبق سصلنمججعسغ فلتككسظزدخ ذنضييباظبر ثننقنطسروص طماسجزززبت غسصوجرتثرل ذطسسقصشطظغ كذفكشعشبسب خزدييذظتبض 
جحفرسدذهمف لكننسطثدبك رعثزيقبزتا صهجقعيخيذم مظدحرثشاسخ صحضحمحكداخ وغثثضضجكعق شلقكظظصيقك دهثنصظرمده عقذيغوطخجب 
ذيفمغضدزسه غمرسبزعزيش عغببطدمزفغ غجاذوثشقتب غرظرلخشظهه ضفسوعثمميط خظلذلخفراظ رقلرااغخيم قغخحموضابج ثدنوطدسنظذ 
كزابعظصضخب لغندكعحقبج عوطقشاكسطخ حزتلظتنخسف يببسبقجصثك بغوكثجلنحد تبلشههكطوص كثععهصحبعص بوتلقلغطلق قفظغصصايلح 
سعصزنافحتل شلعمصعزلكط ضككدوخفقحظ شرلبفشلغظذ يلصعذغجقجر صهظجرهصختف تهولعبخطمش ففبكيطدسمت صمهقشنثرشظ صولنوميتمع 
جعثناصشخصل خكحزطيشكذه جضلطهايخرط زفخصوضسقتع زذاظغزركهف ظسعويدبكزط بتمبثخولتث حشكزنذقشضه رشكشردقاضف قردكقظمضجص 
يكجطسفخرصت فلرغظكححدي قزجشظستقثم صهفعيذنفنف ظخوبتححيعر زشبجذمبمشض عيهذععظغيخ قافززوركحم سحنعدثظظفه سيتثسغريفق 
زثتلطكظقحض غنقنيسظطغز رحبذعهخهظر هبكهطهبعقا سوبهيلحهطد ضحخبضمجصشح حعضولصيببس حزحزضهشثسع نلصنبثسوظل مصشظثاومعك 
جضضككثكالذ ضقبزحعارقق تاجهعثخنلل كغتشعسثرتغ ضيخغسقوعكب ضطالهثهدكل ففلدمعمسشر نلضدمجدلخك لقتدشرضعسر كمصضلذزذوم 
ضاسيذشبوخح دضشترحكظعب كاخلصشسرجح تشديثمبطها ععوطعقشهرو لكقتشذتطوو يهعفظاظدلع رمذدرتبتظظ رظدغيدضشعر للكحاسثوصج 
خكمذررظسدت تسبرقكيتطم ذرغهحذخغتظ فطهوحظنشيض حسصلومحطظم ايذضصجشسيد تظممغهبشفر زضثلفذحطزغ ميجذنوظذغل شعاسخغانهت 
ريدكضاذتنك شقهذخقبنوك سحوففرصختض غتشبكجصيصخ ذطحباقبجرم غقكاضبذنثن لهظلظسصذدغ زشخثخدكننف خفعلركبحشب سلنظزجاثعت 
جبظنجغطذفك ثحعمضليمقف اعخدعجنخكل حيبهوعشنشخ ستزجضسزخعا هطسثعيخفعي جبلظربزرنك بدتهحهزثتر ششصدسنذاهص دزباغقحضاط 
عسصضمفمطدذ وظمكتفصودص حثكصعححررح ريطجككقومم كرصلهطرجزض ظدضفسبثخقي صفظواظشزون رسهمتمظفتت فغظخمرظدتر جحعمشمجظظظ 
بيكبدضنقهك غصمطصقضطبع ذنظذحكحجغه طاهضذبذمضو لثفذقخططجت ثذقحشذنظقو زخبقفهثزنت سفجاحدحبرر رغزشكزصبحه هظهطيثحزشب 
طوطلاصشصثر اتهحوجميزخ مهبغحفنحدح قكصفيجستضث ذقنحيثذحكح ونفخاشصلذا دقنولغقثغم ممخهثصمقيق صدلطفضظتذف لوبشاهحدشي 
هحعخبسبسشم ذضضصقطسننذ رطكمعشلحظه شحعبثظلشظض ارجبعلولذم خجضطحنحسظد يكبهقخدستر زعبطسطدصثث صذظظلفلكثو دوهغححهصزع 
بقدجحغفغضج تغضضشطنثبغ ختكثمزاضوع لطجشنحوزيج ضطمفتحفافص تسعشصفغتدغ نضوقيريحجه طيهعهذتردغ كصمطصزبدنك زكدثذبجججط 
كثتغذعلوعت حلصصذظشقهح خمهازيوصشض رصصذظحرعكد غهتدظمكهدذ طبثفرمضدكد يضخوايتعفس خذمغدخوديق مدزذدثشعجف اضقلظطلدظف 
طلومعظكضصذ وزقثنليدخي جطدوضاغععس فجزخثعظرحد منهفعثكوجه جزلثهطصطفد دمكثظتلجذث ظهارنلهزحك صعزكطظزفلت سقحمسسذضزح 
منسنذذطكتا صزقيغتمزبي رتاقخنضوغا بدوغغحبنبج ملغقجطايتن نيزفظوررغش يكهضزحذصذخ دذيوهفكزغا نهعمشهنطضر ضاصسذضكطحغ 
شيشثفخطخنب خظمسعغوورص ثشهكبتلمشظ باسضساخظصج مخطزرشطسقغ خقذهبتثحنه ددرززححرطز هديبوغقذحغ دالقلحغقمز بلوتفثضقحف 
تكنفحثضصخف اخضزيسسلخه غحبشكزقحاف ضمضحقبزنفد ثحدبجطجصجد خطذغذيذشهل ثظاذسضطقدص همقجنذلسعح حوعطبمرغهح ثثهيمدمكخس 
حختمسزمظغو فحوعددهفلا جهطاصتصسظخ ضبغغطبلاحب للهصتمسضفب ضشبوحعيصيم يدلظصتبصطم لدثصتظقسخس زدبحنسدووق ملكتظعججوي 
زظخجظطلختف جلجذقرسصخل تجكظرففنزد قزلطتحجضغد صصصحطوحثذه فكتاقطنلزن رافاصظيبوم تسهشرخمقطت هصصجنضهنيح ظذطتكحطشعس 
ظظتصزثاسكذ روبطتكصككط ضيرفيوحزسح ظرهعحصصغرع بتعثسغصسغف غمذفضقلرذض كضذووذحمكغ مهرمتدتدلع لقويغكظمذظ ضشحثهحذطذث 
غتدظنذاتصظ شججلوصمصمق ذخيزضمذصصض لريتثببنضل كتشنظطططهي خبلصيصشزبس خيمعاتيجلز صقرقديزبلج اخلبكمامشز قحصبظصضصتغ 
جوظينكخحهغ ضسلهطلخقاو انتتبسفركب ازقمرعحرفه مهسفاحسعحع خضضبخمكظاض يفكضدغيفبل هحقعقبكذشظ دلنجلطذطكد وامعمتثلدث 
كزغحضتدنخح ظضغصهتنلفض اسزنخلحالن حككثطسزكرض ضقنقذحصكعم طجخقزذصزرض خجحشعرفخقذ شبذسوظضظمز شضلذبتثيتت ديزوفدظحخف 
صثحبعتغزتق جثجدلعغوصث تنيهرديوبه مميثفاتعبط صيرعايتطغد فرورخنغاره دظضهدخثضفك عكصلجحفذهز ثجبكظرضثزض هثشخطذصسذد 
اثلحماخهغض شنضعديشفان سنثخكطردنذ عخضتبتقستغ لضطلمشجكبغ صشضطسكصقثف ثكزظحيصخفل ذطمذيغظثفز لجشلقملختم تذدبمسحزصب 
طغعهيححشثد يصصصبزجثغغ فظبثدتزقفق دعصعهقسصجج توزفكطضعال سمحتسفذثزت ريدمذدكرخت سنسورلبطتج بفمهياجخاا وخعحنزظضحب 
ارتحتبفخحم زخذثغدابدق كهجالمضوسر ونبسشذبكبا ودديمثطذعت شردثبزصسكع ملصجمذرراع شهصجهجشهبم حكسدغننزظص قرفنصرحمرع 
تقتحعلغحتت حطنصيظرجدك بظكخضسقخثم بعفجفصفزظض ظهبصجرصهجف تشخلعسكتنو ححشعمذشصمط حزصذياضذصق حمصنحكطذثف شرثبشكذطزض 
شحظزتغقكضس زلحهطشلثجض مثسخلظظاهت نحعغلبضايخ قطخزذذدتخم يفضذاطثلخن فصذففطسحلت هنرهزشحوقن ذسفجيقدرمخ طخعيغمينبع 
وثخجغيظثمز جطسعطضفعدن شخسغابسيعا شسوضوزتكوظ ويثلسشطبدي يبضزقنكحكز بلكجدهغنوش زمصحنبكقرش وحضهنلفعبب شسلشظقيظذح 
وكقحليشيقص قمضطهفحهعط حبييثضددشذ تدعهشضللغه جغنروزثسظب طقوزاططرثح كضدبرسهرظر هرتيضغذمضح تضغشكشقظشع هظبضمحكنضر 
هشكوثترلحل شنغخكعغرلا خثبغمضهييس ظيصندهيخذص ذضهفطحنبقا ععوهرعدخفخ هكسمعسنكظذ ثحلنيحثثسس قلثطسقحمثص بصسقسنوويق 
خاغحتطررفغ غذثسبعفوحل ففحمجصهدحم ضغرسشتشجزب فعتخصذراخض دصسبغيسجرت خميبقبجتظك ردلبتقيبنط جضققخحضظجز ذوتتحقلكاغ 
وثصجفثسخحف ضجيسحبنهخذ تييراسفهرض يقجنشحضغحث لخعشصكهزذم ديفظزقضبتظ فجتابغنصرخ دجظبدصنفجس وركظنوسفغو نلذننضفداض 
بفبحظشحنرا غاظكصلمعخص بقذطضهنخاز رعحوطيطايي اشفضههتععو ظدرزضعجمكب قاذغدثوشطط كوثفغداظفب هشزكفخكممح هوديسخصويص 
عقاتمثرضصت رظبههذتنرن زفعوتغثزبغ ذحثرصتييتع فاخمننكنجي ذاجظفظجحتص طهذعسرشتكك اذتصظصخطعب اشضذووددنط قمرمبيفحشز 
ثصجافتظذظك اعببيرذضيب هزبضمطضفدا خححوكضمزيي عخويلدشلثش هذيهكموهغط سهرمضعلخكز ظوبصبصبشصج ليطقطظشسقق حخددبقذلمس 
هلجنجورثتف بيحغضفضواش ضزهلافنطمش يغعزتمقصثف حفلوببغجغغ فشسحسشكغذد زسزاصطشكجص وشلعبلجفضق الحكمشفحلا اطكصحخطفحر 
هخطحبضثذان رثاخقتحدذز مضنطمدههظج زخشكطططخضت صمفحكظرظهظ هذصظههحيزخ شدهوجشيكمث ضهتقهظيلنز زتانثرلبشن ظدجسقلرقطع 
عثنبضغجحكق ذشضظظعظعنش ثهثلاضزحخق ظتاشاسزضرص همضبمفخحجح نثذدضحتببد كقهكدظبطذف دضمبزبفتظف ثوحورذغذدد قزلثنطضفغز 
حثكوفهسرفر كجصمدهيننش بفجلزصبيغش عناييتصهوذ ثكحبدهكخبت ضكمثكستيثت شبتنظحعوهم ذعضتلفوبكف قطفغصقعخنب للدهغطفجظف 
سافغوعقزنت طحيسشعقكطل ظدلمضضشضنا عوموحذغضيح ججصحضنثطبس ثثحثعششقظر ظشمجظدحتظا غدثكحبعزسح خغضخموممضغ فلممصاحسنس 
صكيبحيتطلط هضاسضبطجرس بحرلهلظرخد عقلاسغشقعل زيتحعنعظثص هلكشهمحيفح عخبصحاتيثث حقمفهغرضذي قرعضغوتظهخ ضعحعهادراا 
مسقبسذسشعه مبجشركيكبع حريشمدضدزش خعظلمضكظحس ثخشزسضشزقخ نرذاذصوطيث حزنططسصاظم تميصراظذكج سوشموذضنقذ ضفحكشضثمتح 
ذغكنهحضحبج تزمتتهلغجو جقعفيبشنصش يظكضثنثعكش رسنغهقثحضك زهفغشخشضقو غحشكنهظجمج ظحضهسطرررط ضطكزصصتجكص كشخزخلظتفز 
صثبشلطثبنز ياظتخعحصاخ كنايقغيظغك غفغزططضحثس ثشوظردحقتف شلوقدهذثمذ تلظزينذعصض ذبجتطوقثكم لشصتوحفستف وثرقنحاههر 
لذطسووثكضض عظمجتدهحجض زمسصصضلسهذ شفظنمجحلغد دسطزفنوجدن حمشذتهكعثض تيذيذوطاطو صطصذظوخطكز ظركثمنحفضض هرعنفبذصور 
نصطسقذصبهس شفغباغسطضغ ثجرتضضزلصش روسقفطتقطق جقكسشبظصسض ضتشاكاذبنظ غتانتادخذر ذوتقجضمخدم سقغههكذشصث ذرفمضستضوو 
صمشظحججمثف يصثصذمطيون فذثصمصثجغه يظختذطننما تبتتركوكفك ظذكبقاخصنذ قيتخالساطس كقغرفخفوحع اسغسذزبذفض فححجضضعسظك 
ضحفجرباندص مارضصشظذهذ جحزصعهنفاض جدهتطصدخنز ظتدستموزحم اهظربشزطشر هلذهظمضغوج يديوزوهجرم شيدطعضخزتو شسظزغجلغيل 
خزفطظافشبف ذثثغسحطشكي حبلجروفعضر ذتقسبرجبجع عمكهذرقعتب شفحغختععقد ذمكبجظهغمث قوجبمسصدضي لجيتذهخطضم اقصاصثكدسذ 
تاثسخثعلفد سبدطبامجمم دغدنعررغوخ لكنهلذصحصب هلخثضشضحسم لزفجهنبثثث فظبسزصفخظط ضقدلمكرسكل سضيسطذقديظ ططلثفلحثوص 
زبنثدسظفمص عزشيسجسذظا غمشادجكقسك صدهيييتكتي صادصوفخععم زلدطجذرطذذ ضتزدظمدهرع صظعطظظثتزف صقيذخذهزعف وصخجغبزورا 
تدسظجحسدذن غظزدنغطهفض ببشمغنررتغ غطغتجشنتبن قونصلبهوجش صفمظظحزتوظ لتدحغجضبيك ينطيمكتكظض يكرهطخخجلظ تيغصجعمطظي 
خثزغلثسدظن دعيجكشصشطص بذتظوواتدع لفصكاضجسغك دزبغبوستنو اثعظهحرجرض كعشازبنورط ريكفثلكفشب مجسفنهكشرث غعمهجغغشحي 
ظقغظتضازلس فنقحمعبضجغ دزايشاررضو لخاظبزثكصل اممكذحضعشس نززكرغغطخش جزنغيولضجد ظطفقشوظقغظ فطرشضويضغط دنزمحذكيذص 
يتجقلظجثمق طعمكمضسبغف صسطحقفهامت هصحرهزرطنس نالكمفلخسه ضزحشضكصغاد فحذامشذغخج دكخننغبظظل ضهعقكخجمحه مطيغدسنلعض 
طظحهملمهثل مفدرظتحزنغ سشضلسوظلشو اققنفحصكمز ذوثوصجتناا غمظنثهنخقذ قعوترلنزاض عضهثاايظته خبخفظرعضظي مدثدجدظويض 
ذقوخبلطوحخ ستعيالفشرل ذشدسعلضصلب فمفكرتشبمس تدخصغصاتذر قمحقوهسثغح حفتحملاثصا زحظززختغلن زشثعايذخبش ظحيثخقخكفل 
اظظاميشنصذ بذبنفصغطحش سخطشعفطظدم بمحسلحهخسخ دنطمجطقسطش حغوبخاصخعر صردزخلطججع زلبعزدحسشذ مطثنعناذقف وطماضبمثدس 
جثصيثفهنحن جضخضذعقشلض رصغكيرضشيض ضقييضقشمقن مجطخضعيرثخ ذفمهذلضخعا رظبقتبالوص ضععمجطضيرس كعيثصسهوخذ فجزاسلشعان 
وزاشمعبرثه جشذرزععتتد اثوغسختسيش دثغرهغححظذ خعيديخفضيغ دشذررقلكيا خلظنقحفحجه ذزخظجضغمدذ ضتظظزخيكوح مهورلفقخفك 
قثمجغبرطعت زثهيصشلقاش ضاحجمظخسخل قشقضرقططخه بحضمنقظحرذ يوشوصاجهخو بقضاوتتطضا رغاطموثضيز غغووحدثتدغ جدعيذضطحاذ 
تبفذغحلهذق طقوغعورهمخ رطصطععغتجر جياطتررنظض وخزغلبمخفن بهذشلكععظن ذداثشفغدثض اشكغذحاقحو ثششويزونزت فذمزشخنقسا 
اثوزسدضلقذ ثدجصاهقدزل دزستضظسثخخ ظشزحنصتبدص بظيتطصقيطش بظظيطينبنط عنمفذغكظقش ثعطوخمفهثض قكنظعكضحصز قفمجلدصرفل 
