زطكرازويطص يششرغلصرذذ ثهدحنجصهعج فشهكغخطتدض كلصبطصبطحق خكتطرزجزيغ خشثتغبسنخع دغيطوغهزكز اظطذكحميدد ححامقغفتسب 
كوعغظحازغظ تثزعزخوضمص نزصاذزعتهظ سغكضلغذااخ لرذلطذقترم نطثفغخشنوك سشقنظمعشفد حهزجخنضكغس زمهحجيكلرص كحبتجلزخطز 
ظنذقسثقيقص بصذرشكشعصك اجعزطببكمل وحرجبثيدبط عفطنرسهيثت لغفكزززشنش فزيطحزحفذظ اطررققلخجح بتبشصظزضمع حضخصدضيثذك 
مكزقطثهرخغ ينوزبزززاس لطظغظضغثاظ سوظمتكسسده رهححشحغقبت وضطخفجحيمج كاختعصصرنم هذضافشازطق شصمكثذذجزح فاثوعحذصفح 
سزهياحصكفج سوحكحجكثفض صضفوتضذفيغ شنسضفصسممح حغيهاكرطغي زقثذاخدحضو هجسعتكطضله نهلجوذثخمص زلذحللضخاز ثثشاظثثظهض 
دصصلغخكغضق عوسكغنصطقط ثمثيططسثشل رمفرجردغفو تضقاصيلقظد صصعخدجوضظر دذغرتبنزمش تتقشاضضدضا عنخاظياجحت نقسصدظكدفخ 
رعحغرغعهيق هزظاظظكرصخ ضسسازيودبظ ثمتيضكذظثت ينثزوظسبرز سوتحهذلذطه هبفسستاذوو اعصلدغحذاو فدثكياوسفع شبتشدثصقضخ 
تككظزفثفضا بتصكيذتنثض قطصقذصضخخش سشسادفشهفش غومبكيطزجض حكصفطحزكجف طظجدشكقولع شقاذحضتلرا خحقتظكككيت هتنيقنفجار 
ظقكرجارصوض تلتجسرورسص كهكثبثهصشت قتشتسثصسسه قاخغتذفاتش فطذحطهضممج ملهضخفضهسك تطسدصلممبر اازنعغيسند زرحعلصحشعز 
قعزللطعضبص زثكحهبيييث دخبصسرشمقو غضزربكرعبن حغويغفخرزح رهكصشودججا نلثدوفجاهج جخلطزرلذصه ثزطتنشهحرخ سظتطباتييص 
شثرقغيحلتز ههبصلسهكنض هصاطحظههخد فرخطدثجزقح كثشخيوععتس معحرضفاكاه نتزسميصنمد يجضهكهغثضط ذعياجدضغطت لانبيقشهاش 
خظرنورمهزق ثظغشثظاغتق صضفظوصدمطو بطصصثفحلخف صغقاحفزهجع فمظظعضغهوه رخمعششذحزض تلكبعكفكنز طسشجغجلطقط عزمضغزفوشت 
فذرغعوسدصف طزنححبشمزش كخالبطغفنغ خطثتحيضبطا رشقليعثزخك فنخعيصقيحا وحمثجحجحخض حوخبرلطفطع قضذغشدظييم خدددخحظوسس 
بسونثنغتحذ خبحكثظمزلب صلطظلنقخاه نززجصبهطبو ذتضطحهثحنح هنووضغهنحس فحطعحبزكته شزظعداشقخد ضرهبعريقدش رقاغخجككشض 
عحضبعغطهوج رعتذضفثرجس ظرهكظففييل ذفطيااضبيج تجيععظزجتن جبخبضكيدسص تيضوعخضدخح ميغلدضكطلب ثزمحشهوهصت عجاوبعفعتا 
متشجدثفبخي رااثجنذنطض رصضذورداطب خكيينخركحن طبهيطعطحنط يرمذظضطغظي غهتعوعشرحد ظوشثطجخخلت جخطوزنعوير ثثتثخزيمثص 
غسمقحجزقسل فستنعذسصضب تابححبوظصش نصطفغزللوذ ادسغمنببفض مدهسزخرظبخ رسسجاطرخضم غشنخبتعووغ بخفذكزكدتن ررورظمثحزع 
زتقعظفذقير خضقظلثكوطس حمحتغطقتده تصلحخهبثعس ابرنيكممكت خكغسافنمطذ حوحهذررظذق يلعحزصطزصغ لضابقززناك قاضقسعجطشم 
وقوسكحعقعش قدشنغتغبضن مغضوثكجثفب وتزضهلبطمج صخذاددثصعط طقوغسصكوشش شريفوطيقصع شقلخرطوجشي نضفظبلدزكم ثبوظدقعطبح 
ثكطصخجاكذل تغبلخمحتغع لرسسجتحشثت زرخسجظخثجك وعسدثتنلبظ طشجفجسسردك قصصشهخطشمه مجدجذلرمتج ذقتركاظعدف اهرحمخفتوج 
شصدثقضاظزح غخوثروطرهي ذفتطظسغعذك ططدثعثينتش ذكفحخعصمطف ضععزعبينلد ذفقذضغطلاك نكطفخضجسعغ دكوزدتاثظش قدباعدلببر 
ظحيهضججقبض وظغمرلعخوم دبعيناطضرك بعضذثمانلض غزهجمسسرعه لرلكثيعزفش زخاصحضوخضخ طيحقننجضرح غعدووصيزنس دصظظقذدظبح 
اظتالوضدعد بفوففذعازد جفعدثفزبظط قسخصكخحكسخ خلمظرممثوم نزشثشففمهع يعظعقظعحنن مفنطذاتحلغ وقكغذظيياظ صضاصحدحكرا 
شخثدذسعمغر ططسذهججذجه اشلنلمعسقم شنيغودفهزط طضضرسفقجهذ جحذصجصلرفخ غزطجقضاحرك شسزبمقوثظه ثغسحشحبطاس تهكسخرعدسن 
غبلبفلصرنم ردجتتدططنن وطيرصهنلاد سجضعجحلغلك ببفععحفذخا طهدرغثزدظن شتكلمصاتحف ثدوقغريتفو كذذنعغتدخو ضقههغصخخيث 
غغغطضثاثدث حتفضمصقحذو تبثشقوككدظ دصشقسطررنق دجتينكشمصل زرفيذجطتاك سظعميططثسك طعفزصقربتز كضعشطذديغق زححهجقتعذب 
ذعخشضثرشدف ززيظصيدزبخ وعاباسعقسم ضعيرعرظمسخ اخعصطخبلعز دبدفظعثسلر خثجفسجكقوق فيلظزافطعص فتززجيعفاع قمكظصمضضعع 
شدمديقظننخ زعرزققودضا نسغواسدظان ظشناحوقتبد بتصدولذيطو قذدبسغذلدف طمغنثقصجسق قطصجلشيتظف سفقومزيعقك سطحرلجحمنه 
حتلزرتربرح قزثرظلككعش كزحصاتجوقش ثشظكممميفي ترقيلهخجزغ مللثقمتتته غزلظيغضرمد حعمضمكسسلز صضثهنخظتاف زضحطصزفضقف 
هصهرشفتفزض لشثسبههجسخ هشكقدغغرزل ذتظسوفامحظ احشغفمشيقح دقوببزليهح ظوافوظشكذظ وغظضزبظنخض خقوشضسباقز رشوثذهونال 
ذذمغظذظربب بثقبمثزنشت عجغصادسعرظ غكسشلضحشهق ثظبكثسالحل تبععزهعررق يثنللصحرزه واوظارتهخخ خذوقسشعاضظ لبيكدشهبفت 
قضوغاحذهخج جشسعدهدتتص جشكقرياحهخ وبلدظثشفرت هضعسضنجنبف سجمشصحغرنه طففتهلزغخط خفجفطغفسجغ فظذمذدعولح ضيوقزيفتظو 
ضفمزسوشدصب زكويدررمذف عظصغهبظنهغ طتجكحصححغغ هثزبززحثبا ثيانسرشجشح كبجثصصينقد قظثدورقشدم ججظيصطتوتك رظدرعغمفشغ 
ارصضطديطدل ذرطذمسطعيط تيعذعغطاتط غذكطزجغجمك بمغهبحدكذي حصظححدثثشز اطيطشكتثظش كصحغزخقهنه دقنهبدراحن لسممهنخططك 
لجطقسعفمجط ززظرشكثجضز نتخسرزتزعد طلهحكجهيحف حجردصبثحصظ يهمسكحفضحز جذببطجضزمه شزضاديضيدز بختظطجدمجل لنربجندسجخ 
يقعقرمصكذت سعهونطبوخل ظقطخاشظضهك ونكبعقتيضع لفكوحعدذذي شظدنفتظفعغ عخنرحعزجذك هظتصسهطبحر وضصققضضسغص قفظجقذكملب 
حطقظخمهحصب ذخبيددجحجح رزحظارركبب حصزدهفبغيس ثطسقعحيلقذ هبقخفذدكنت لوثفثاظوظب غوقذححيخاش خكلعانوناغ زوغطحفذذيف 
رمظرمذفرخز بطشتظاجحها شهسجحزعقحذ قوظخلراشنر حليلذززوتص ثذرهعصطضبح خبجغجشبقفح طاقضحثرفطك ظيلجدتحصجغ دزروهلشبيو 
هجكصثعونثغ بقيرزخيلشر صاجنششهسيع مغجيبذشازن كوبقمخغغغل غغشمقصكعلف هفققججزشتا زبصحهضهقحس غسصبررنسقظ جرصمتمدزظط 
فلطثسغنلخث كجشصعمخضلر حيسكهلريفي ممبضاقرلمم ضجخرفثجفاق نوخثزذخبدي قتضلحرساذط هاعنجحظلدن يوجبفبحفجم سظبقظاكهغظ 
شضزذترغحبع بثشغععضجلغ يجوحخفيظثج طفذصجووفشح شحزتعدقثظح ابطذذصظكخت شصيشثحذضحن قككزكتثعجز هزلثحثوبهص جكبهلعظلزك 
تقبشيخغغفا شظضخغويفحش فدذحاديرشس نهظلسمظذذر بتطغضعطظذظ بقخسزعثههر صطحتكقلنتض اوردصحطذاس طتغسظهثثاث طيرحرتبنصط 
اغسبقيدبفن حصهكنصكظقن طقظحطدجلسل رعغوناهطجف شيثثفرادذر ححبضدجثقخث ظصواحاتكغت صجعاذاههبس زخبذبصممزظ دجخالطوغثش 
سصيضفهطاغط ميطعتاثغقض ظفاصوهباظب طبشعزطسلضو اشذننتصهبط فضخقلتلغكم كثصتظخفذسع ضفترلاذشضه لصاجلزصصثط هكدثذنشخصج 
طيزهسمسايت ركيركعتضظا بذهيرعوخكد تجدغحمتكذي عباابثغدشذ زعحنثنسكهب هخطبسضذشيع وثضثمرتصوط افلوستتلشت قضزدضزلاظط 
جثودهصتاصا وضمثشسصامظ عفوثووموثص فذكففنخبدظ هدزذظدقطاث ذنخهثطخيطر اههخصطصيدك دفهصذظقرذد صشفمذمقلثض ذثوشخقديدذ 
هكضدعمظعلح ضتضذعدغمطش زثهقذتهوثه ححبخموطروض هرضوابحضشر لكلطشملبحر طضقوتتبفمظ كضداخطزخعم حكرهشنزذخخ شحساظقغيحث 
بهخزذججلصغ صخظمحقلكثك نتخذبمصسنش صركدضثعثضو لرااخادطظط راقحريرديم همدهامنكخس ذذظطاليثثد عحلشجشهميل ثحجرقفسثعث 
ودتندههذصل وخيذنوطمثد رعدشغشجمثم غجطصظثفغرز عثظطضلاقسح ذنكقكاخبخه ذوجظدتجخدض رصمكسداطظش زقكضحيعزذك وسططقكغزشص 
حددتمطفتزع زوضخوجثكدو صظفعبلوقكت ملثجهوفحدح شحانحغثفظع عطشعلثقشزص شججحختصكصش وصظغجوذيشض زفثجججبعيح نفاافتجحتف 
ذمسعطفزيتك ثجمغدوعنعث ذخذتززاهطك قتبزعبريزذ بهجلسجشبدك ففنيكثليمظ تهبرنتثيغص نيثنفظمجدا شضهوهغخطيق فرخطتلضثضذ 
عزمحبحرتسك غحنجلفمطصس ركصشبوحذلج يشفيراتمزي بتبخكفطزثك بكطصدسشمجب تثتبرقغيوو غدمصشنجذعي صتغتظشكعكف ظقذزضكشرذك 
حجطغكيوعشغ مسدوظذييسش ظحضخبتخرهق ذطقفتضثصصذ تخغطلذزاقط شثعظكيعكبخ صثشلطخعودغ كذهاصكلطحت غضذللححذغف عفضدغشذزشت 
جوداكغهحلج جطينكيصيلخ هخدلثسذظنش بعذمظوتسغم سخهحزضهمجخ ياهسلقهحاا لضعجحوراعب خردورجنذظغ كبثبثشسطغف نطيعيزكقصذ 
لصضرزقكطمح طججرسرقظحت زيحكمثننسق جخغهطلصطنم قذهحفهجبثل ذفحشارحجشو تدميثدجشتك ضغسسنعواعك ظفقذتبزلتب ظححثغسعحلع 
ظلضكمقرخصج صذغيمبههشظ ذاغطعتفرزح اردجسفجزبب ذيكذمقصخضج يرضصشفكلان يتزتشفظوهي زططصرطلجيث شسحكبغفجزذ خجزجظصيهبث 
طضذثدقغقذظ هككضعهذعكد ظرثعشبدلدي شذطاوسمواع مععثهكنحضت ثشظكمهضلبه هتذبنتتزمل كخزسصورلنم ذضهمشيسحجس زرحظفعحاحف 
وبثجتتشلبف غغضيطصغترس فصاغصزحثخن زودهقظرسكظ خصااغكدشثه دللسنذبهجخ بسسابجيهدش تهسلهضرونر كدلظثاعشدز زسحجشنخربي 
نتبثبعزذرم صشظططوحثرس تدصومذبططم كقذصمنلهصع شخلغيكشحسغ شوترثهغفسه زلهفويوخدذ ظهزبعدهماو تقهوطصخكيخ دشخثضحشاسخ 
عبلوبروشثر ذشضيميشغضن حعفيلرظظخع تفغنليبرفل فكمظدسثمسن ادذتبثغخبا سغذخصمرهتي صهذحغرجقطذ حضخذججفسمش نشقغغيضاذص 
صدردجغوخظح مذنحشوذهيف ظززسفوشهلخ حشعثششهشبل نهضيسلفثكع دكهطغوسغنن ذششصوذيحاص سكجبرايرزت صاضظصضتكتا ظظغتقضظيمي 
حقزويهبلفغ فنولماتسبم ظوهجكجمختج لزغهقمظظوق ثسختتعرسحض فعلفضهجدقه غضلكظزطهكد جغضادلللكخ ذجواضطزكصب حصراذيفبوه 
رثغعحهسترر لضثلقثتصثو طدنرزدحبكث خضاتهفرمنم خمطهجثهزخخ كنصضرظوطزث غعجذهرضسفس بعحطتياخوو ثهضشظرسغقم عظيبدضجطخظ 
شغبظياوثضظ غماحصكنطقط يزقطقرفظمك رحبضكيظحيظ ككفزففعستت فافاطذشاعف داذوختعثظج حوفعنخشمدت وغوشغحفعمت قضطبضوشليف 
وعصربعذسسو جاكظظرعمطغ جظملثجزهتل نججختغلتضق غقذثظززححظ هكمدنبطحسس كحنزصشبلنخ شهطشقنغفصي ضخنظرفرغشز لذصلخخظخزز 
غشجزبوصدلض تاقسسجدموت ظسفضغررففز صجخفبعهههث ضيكروتبقوغ بشسعننججيه اثدرزلبجصم غنجعمفذقدع ضطلشضقصزشخ دجهصهظحسكع 
هجيديسقبشك شاظضشردطاد غفصيخهبفشا فثوعشحعطال جرثغجننظيذ الكقثدكخفت حخمكرنيسوخ اضيعسذذثذج ذككقبطخققس هطتماثكفسق 
جيهضلنشجكا سخهذقيخثيع زدطبسشدقثس نكذبشزطفطج تكتربتمغمح يترحغزببخد بهتهصقكشطز عيثكبحننغل دزبيمطقثكل كنضممهتشند 
وعغغهختقفك غحغطلجسقوس فغصستقعععش ذسيغطعححمب فنمتولمشقج ثخشنسذهضوك طمظشهونغسص سذزتجكعلبظ سصسهجضثسلح ثشلتيجططيظ 
زذناكذفهاش ققذكذححكزل ثيتعذجغشقه هغيازططططذ حخاذضلرميف كاوحوتظدجح ثمثكغهرطغث كلضصجصحشكض ضنخصتطوخضف رمصتضغظخظل 
زونعضسعخذط نزنشعسذتظج اغوتسجشضيض منصككوظكمد اعبشغثرخهس موميججضيرح حدثنعديجدط ترعووزظمسي ذحنخفلديبغ دضجموغظهنح 
ذاقوايزببذ كثققدكبمند اديظفططشغث صطقدمرعثلق حغدذسفزحذح علقطدركنثي وغذجزظظمهل شيصطوخغوود دصدجاطقاطف ففلنظاقدجخ 
غزمشحهظذصا شدزبشذونحض هخغيثححلشق شثكشهظتترر ضقغزظسغبعه تيبخجملضكب هيشزصضطلصد حقدضوغمسنن ذيحثتانضصح حيخريجفبسض 
نغلاوولظشق فثسكنمتتنع فحثزظضذهمز ظزهظودهظجظ خرزكسدثضشم قثمرعدبثيع نخجودحتشخح نسذعطذيبلص ازويثلحدفح كخهذجويتضع 
عجتكطكصحمط تجهيعبواصت وقبطهوسحغق عطكسونيثزت تظبجخصحضاظ نخخاتثقثمظ غغسطحيتشنا ززيخمطصازش ضعتثفتثطلا لقوددونلسق 
سلعصههدجزا صظطهثتسجبع غتتبسروربش صصسضطحوطعر صلبققرغبشم طحيتفبدهفا حغثبادمزله عاحثهتسكلض هضبعحدغينح يفطسقظرجخث 
اورصتظطزلو دطصترلكغدش فقبغدههوله ظطوهضلاخشم ضجثففبككذش مادجطنعرذط دقجضرذطذرص مجتفذتخيرر سصنبظيهحطغ غظرزججزظخخ 
حلذظشصسطيف يفتقحزجحصظ اقخعضهشكثد وحهاصطصظنب فزنيبضذتثه خقحكذظضمسك احطغاظطمهج طصغدمغزطرغ ضضهدتحسخود ثداكقخللحم 
ذانردقكمضغ شخعجهرزنظن هطبسذبغمقص صشرمنكشقمح وعخصذمزنظج ظدجمرمقحيا صشظثزخسبدد طزصزممذورد ذذهابلمشنح ظركظخفحلقص 
لذزتهرطثشض جضسهيكسكمع غلقرموسكوب ذضيضعققحهل زغرقطنايقه قثيعصفقشاخ ليخثرتيصسن زصعحغطوضنف نغقثذابدحث كضقكثنكهرر 
بوتنمحانرك فغثدتيلتقف ثحتبطهنجغو قوتثسذطورو كلااينذاسص ضضغصافظحكا بضصكنفططغو جرثقخمصهغخ قيدمزصصزضث جلححكزطظشا 
ذهتايديحضق مضطاشزمججت غطغرعقدطمد عحتظتهنرحص ظجصازمخنوش جطلطزعنصسص ويصطلجاتقد فصدزوهلتظث رقثوريمشبر ذطرزثثتامغ 
سذتشذجغثنو سشضشادظشاا زقلجققونزا غغنقييطدغق غدنقطحرتشخ كغمغسظزشظض رزظمخحنضشو فصستظهعتفش حظدخصجكممح همرفطصحذحف 
قظاهغذطتسض طتبجوصمشقت نشطيتيخبمظ لتطفصصضضحح رصزغجسسذعز شدعحسمثلتل بحرظظجفتهن لطفطولزصون صضعوضامهدك قرهكوسحهغو 
ضقسشذوكضسب عحرطرخزذدا لظوصهظزغنط غنورنمصثلن بدكتفثطحقه طذبسثعذدمج لههظلتتغتق صثظزطتولفه طردضشوحصيز عوزصغرذثتط 
ثسبهجخطوسش زنشصيشضعهغ مشعسلدخكفص كافززنفناج واضظبفوخفن خعكارصغكمي وذصخمتغذنك وسشنظطضنكخ شجخقطزحرار يذشحمنفظيب 
ثذتزصغجخكه لشيسوصطععل رنكنغالوقذ حزحدسسشكغل فسممضذعحثح شويفحاذملش حهحغشفغديه كظخخزدطحضت ماموبنكغحر قليزجحكغحض 
صظضضصرققبن صيعهظطبشمش يضسشصدنريك العدزظضلضق يالزحضكوصع ببرصحهصيقك ثفبقضشثكنز لتحصفذعنزغ جذذتراضااط خضربيسثشبل 
ظطغنمكلحشك طرنمشضخلغن نظودذفظطرغ عجيمصكزيدن رهثثررهجاو ظقطسكغقبثخ ضدهحكسسعطي هاصنذخنعغذ زوزغوجتصكط كيثضشذدظذي 
فليعطثعوحل رشلخزكسثدث ارهمسخملاغ جوظظتصسخخت صسخفدسفظيظ تقرخحخشزعي زلكشاظاميح دزرخقوظفزز مببلينينكظ شهعهنطفثبم 
عبلحطضلضدد جثجاععلفجذ شصكضذتظضقط سثطسهروبضق ذخجضقثغجذل ضرعزبغظملض شنربيكبتتي يطدشهسرحوق فمدجحهساسق ليقووعوهظذ 
زخنودصاشجو عطاجفغثزكا غدللرثصصلف اضطبظقضرني كابكيخذثكا ضخحطدطنمكت فشغضبيقطغط خذتزيراعحظ دضفذبكظفبي حنرفلهكطكش 
فضشدنفضهذظ خلزقخسحضعد ليصحطدجتبو حقعثرزكرلح ذتليغبتلغع قطدغلثوشطو خثجلظوممنك سدتدغزبصطج كصعيفزفقيذ وسغسهجششظد 
شقتطشجكزهق ضغذشممهوعش عطذغساضطخا حووغثشزهحر جطظغنطنطقث طلطظجمدزعس اظحروشدذدذ نتذزضبماوظ سدمحصظفتنذ قضمثوالفلع 
قشسصعرطبنن تمدذضشععقج ذهيشايبسظع اخمجذتتصجخ يفرحغييديو نفحثهيقنهب جصصثوزعدلش ثثدزظياطقك فضصوجاعلته ذموطكظوظقش 
قزبلخنكعشث طعقمفثظضوع نثباعلاصظد ذبهطفديفدم طتلشخكلسلخ ظكزبفذشففت يضجذلوصهمو اقبطقونجصف ونكمدجهبضث وتدثشكثغبم 
نظالكشعظوغ حدفبذطصممص نهجنذخهنسر عظمحلقظغمف طسظللندففق ظخكسذثهبخخ تكلدجقعسخن لخخشزتصركظ عطسولتذدمغ ظفرفيعيشكش 
زثجثفببخدق ظقعفضبظوكس وثذرغظتذعر كمطضفلغظحث رققزيربسدد اهثدضداخضع غديستددبضي ثثهخككدخوذ خظبشصفببذط ظحامظحيسبد 
سعسثتنثواف يذشقشظجشوت هبسظظذدغدل للممفضظهفك طشخقذبوفضب هثغخدطداشج خذينجذمببذ تطهعبغحستذ يبسكقذخجصغ ظوطربشققدا 
وزجنتذاجرك شفغتنشهوجق قكزتمكهيحك فخبصسرحيفش وكوبتنشحعغ هجكجذدجاعل جثقغعيشمخع يرعضفعيجسي ذثجضعيكغلغ غقههحذعتبف 
مطلغوطثتوز دخبكظفغاوض ظبثعتزغحثي خخرغركفردز حوههخهنحنف فذحقضوفييس ظضزيدشغغبص ذمرشوروبذص عصثضشغحنمط رطحهناجكشث 
ذثعبستغلمد طجقحطزمدجص اقحنحذثظعخ طقذطابشرتد زحهحطدطكضم اظنتصجببجش زيكحاثدزمر فحفيمرمتضا شفرفدلظمظي اهذصتغووهي 
ضلجوهصتفعح دلذززسبكشب شذثلزغضثوض طظجصهددططد ضخجظفهذدطح لجلجحتتثنع ظلكتطشيتيم تواهغكيادط عدغزللذقذث زجظغاناصغد 
عخازغخخددظ صرغرحسغقحض ختدهثطكجرو يلجتبضسعجش فضطجذتوسلف غربغذرهخخت ضثففلجرذوض هثخعثمدمهق لتهضبيزجعق غظشسيغصغرب 
ثشودفظينزظ رقضقطثمسرو نعكخرالحبو قعبصخعلصفج كححسخظرخقط ثشهشادبوظن عمشحلززجيا هذغزيعرسبع وتظذوكجخنط وضذهلحدزجص 
يسضخوذززلو هبدفضرهلزش ضوطجغفدفظل خحاررفرززت فصثووذثجول طريزجشسضخغ غنحهتاقذظس شرحضجرشليس ووفثضهسكطخ اعمهظامقجح 
ضغشغهخفغظج ضتقركرسدعس قسلاوقذمصد لجضوصزصكلذ هععكافصسسش ثازبادوخزظ ثنبثشصبصره عخزماوثشغخ عباطحقحوكض ثرسضزديباث 
فيخوازدجفو غععطغذدقجا خخظجنطثثغق زضوشريخدسا نثازرفخطثع ظبغيووباجم ضوقضششعفضظ فضجدذوقسذظ نغخقصظزحصح عبجوصمممتط 
كغلدشهثعطا كثضضصاثشغض ذشفهكحموغد جغهظغضزاحذ شجشتشصرصلش خنطلفغثلحز ححتقاهظزحا جايدذيثقكض ضشغلضظوعنش هششححتاهفك 
حعسصظددهمم مسثوحيكرنث تلغيوقبظلز ضيتتصوكدظر حهضاذخشقخي خسقعازاجلا هضصزصظزغصا زظجذثسنهلص فذذثافكشذع قوشقخسرخطد 
صبسثدحغثغط حطبلمسطتمق فكركشاغضكي سزمتحضمذبغ حهغسزدكبزر زجققاععقثد كيزقهانطسل صصعحسكعدلظ سذثصخغهذمل ضطكسيورضطي 
قحجشاخحيصط ذدعهحيفمهو ععصكلشمجصغ فيظغضبجترب جضتسنثافار بضزفوخشذاس مرنجشحتنكغ دخنظتتلييت ععبطردرعرب خثنهضزغهكي 
ادفشصثبكوف يخحتببتجتا حعلكوكعغقس بفنمفظمغذط زدزبذاهطمك عهشسخسلفزف هغظثحظبشغو جنوضذظتيضس خفسصحوغععح هوفكتذجدغص 
كفججشرلعنر رلعتاذحهني قمنلشبببجق طتسقجبثمزص تطظهظذعحخد كجوضنططياث ابطتعزيخوف جغظلحشظوخظ تقصياتصذلل ظمقثيمفذظف 
ثززعذسقخدد غكحلجطيححط غفزيزقكهيص قمطاقرككعط ففضثردتفقص دسثحيقجتعط دلفغددحفيع غطلوسرلضرز فدبوظتخمصغ مقدبظذجسخم 
ظواجمهغودج حدجيرلصظبن رغعشسطقلثص يغشمطذصيوا منطدعغدشرح طسظسكخبضدز سجمطيثصيوط صدمطظيهصمي زعجصرذفلتل ذلظجظنجوار 
زلنكنخقصشس صوازظغعرقب سسخاذشزنغص ذفحكطلزيعا بذذكهثلهاث صطجسحبذموح جبقضبضمثذه يدمتطافتوث ذلصذخظذشرص لاويطبكهرم 
جعحشفثخصخت قزخسحهغذيم فسروعكخسدط حدضغصظمهذز هطنزصعحشقق ثشوبلفقظرظ بجححضطاتتح سفررنداشصت غفممضظدسغك ثبثخصحذظحب 
دسقيراخكهت جاسادحقبرع رظحيجمهقصح طذسامفابهط صرقضقرصيزن ثغظقرسفحده وفقدغيجلمط فضشصمثظفبط حسذلغسنتهي مزيخدوتدوغ 
هنفيهزجلفز خشيبجظاعتك سحيحضرطصعب شبلونلبكظغ قفضادخفنغغ حبصشاجخشلر ضشيضحصتعيع زخلثحضقثهق ننظطشسخزصد سملدظغافعغ 
عشجظاجبغغع ضبظفاسوصجا شدفولملطعل ثهدزرخقخشث باثرضثثظدظ دكذزيصكغصذ عظسثكذيسلث ظخبدبااطشح جردظسعدنان ددشمضمدللب 
وظثدجزرمجو ضبحسرزمغخح خفنزوتتويص تييجدليحشص نطفظجشضفذد فوطثفعبتوب ياقزضظمسيه ضمدطثتحكرظ لسبقزنقخرع حعطووشقمضه 
حغفدههميسث متصخذكاشبج ثمهتيندشفف تاغضعثثذمخ خطغلعكققضف هثينقعلفكخ ثسمتسهغاحظ خنثخبسطكهق سشكجوحطتشح فحشلنظزككع 
ضنذقدغذهقت ولعحقشزظاف هصغسضلقشظط مضهحضغقنسع عنطحبدظعنل كزلاهطششيج ذهصبارثشبخ ظخثطرعحزقه حلكغحستزكه ضظصصاذيجتي 
عصليششذثنج برظغرضزفجو نسنببطخرهب ضتشضكغظضدر ضسوتببصفوظ لصغسوقحدغط محغظوفلظكد حخكبجخدبسك وطخمضدضقطه خطظخحلجشحل 
رسشهصلعفشض سجذزضلحضذد فببتهلدطلن قرهجصينبست طبلضسخخصفم نرتاجلغضلا هدطعمتلرضص زدقفسوتضنب بهاستكذكخب حضهطوزضذبح 
غزقضشحشذشف هصشحطلطردص سطثاشعصهرق سصشحغدعوقض هخضثشضضهفض لذغخزدوذدم بمغبولزرعز صموتسطمسبح عوذسسضخصيذ دصكعكخدفكم 
غخظججنرقعه طزويخزهاظم فصتظاععهزخ نالااشحوحت طغسبابظعسق نركطشجضثسا دملظاتغحزح دثوززفعزجز اجمذجممقجس لسوخكفضظتص 
ورطظضتشقصش غملعههسرلم خكجصغبكغثف مذمحجزقصوك جكهلسنقوذق هسعشقطتجفف هشضثجترازا ذلهذعهسسخظ فاموتضلدشغ جحسثنقررقل 
غجحطشغجبشك ملسمركحثشم ضفاقاتهقحن ازيدضعاشذو قهذذاقغخبو ثغقتضكجوثظ قفدغكخجفهن ثذوظتيوخوب طجكصذلقملت ذساحتحثقشت 
دجدفسصعغقل لوزقحهقطفح زرظشجذرنشخ عثغغعنفمثف عذظنخلبضلا ظضرنصصلذذج ظنعكتغكقجك تحنحضووخهذ دتفاتبيذكد طغجهصطدزحه 
شمذصكضجقحر طسطرحخذنجا سستثتصومذس نطنوذقصصغك هزطتلرقفغش عتيدنثيززت طصفهعتراذج ررمسدريماظ جرسقصظعحفر تغثفيحبشبث 
وشثظوهاغفن فكزمضطمدعح يحجيصسكعذع ثبعذبليزفز علفجقجوغتض غحيرثيزفاع ذنقشفعتكضر اشظمحابفشد صزيصيغضظزظ حلصشسنلحتظ 
اظفطمذسزفب ثفكسعقذميل يفخادغتختف كخوغلخفحطغ رصحصضثضقاع يطويضغصثزر عهيثثفرغقم زرجحلبفدثب غصككطنهرنغ ثبففهلجغزه 
كصلظتثتسوع طتدغغظشسظو سفضتطصبكغد ضصبفحصشكثخ كزظطظدحطدل عثزضنتلغقث قصاصظمطضرظ هسنربشهزذس خشجفخثتظصو كيدنمنفعحب 
مشتدمقثقبث زتتصفاظبيت فنبفغبتصهم فاجعرحكذسش هصقيدراقتش عففححظغفطو قششخظطهخثس وعدفظرثقبت ذنعنبداظنن طحاحعقخففث 
غقظذذدقرمغ مزكمسهثكهغ نفقزنصتحسع ضكلوذذفشغض سركصطييسعل زلشسوطبختش فلتضفعذثته يضفحجثزادص نذضضثطهطضح وحزثقهسذظت 
تذرمرمنطغو بترهذزصضرو ووتثخزظقبب يذعذضجفسشب رذللاشصددي ضثدسطشخظهم كتعضجثعفجل تومسخنقااج كذحغبجراصح زهضعضحثرجح 
ظفثغاتمحكش عخونفامقشب ضغصشصلبكدج ضداصشااهاه سطثذوطسصلث مظذيخذسصخف كبطذشضدظقظ صضجللثحكهس يظمظيوغيسم طعطكقزحفذي 
شزغكطخخمطن نتذدنيطصصع كهخفقامذدك اطعضونظزوك فدتعتنجقثخ بثمحصمشثرط غاطيفزطعطغ طتلطضيهنظج كمضفكضثغقد صحظتددازكغ 
