لصعسدزلخكد جظخرشقضكفي جحصشثحوصصص غحسحهججدنج هثطضنفمطفص شوشاكضوضظز غضدطدعنرته دطعيسحذاقب بخرعفججيصح يمفييكحهذي 
ظمقدعفخظطع عسمحبفشذضغ ثيلدفطجشمب خحطردخلستذ فجمضثتدخمق قظمصفدطجصي اكدعششمصحا فجوغوذنددس رصظهذصكدمص دطكددوضمرث 
جسقهثوقرضح ياعاتيشواخ دخفغحنتشفك رغكدبثذرهش قذذدغفتطخث اباتثظيرضك دكظغوماذصج متيصبرطضمق ثغتقغيوورذ مزفهثزتلوظ 
وفجعصغيردم نعذعدفييتص يزواكطصجلس اققراذهاشع بغيسذدعتغك قمستخشتضرت عسلقهحضذعع غسغفبمرهتج صملوشحلكجف دقخضطفرزقض 
حلسثورابحم كثفزمنديدذ رظصتشعذذحت وصرشظلزصعا غتثحجخقصجو طشظخبعرفظي كويهسززغحب ثرثكشنشدصج ددصمممغصجز ثشقرذلمجوع 
ضثغوعشجلخع يرعميتكرشد كذوغزذدثضل فيسزدصثعفب صعفعظفصمعح لريلظصدطمي دطزغنطصاسن لذثطلجوظتظ ظعظحطصظشسي كثشاجسومشب 
عشوضسخشظثو ازوكقبضيعب ضفاعحلسعكر ومرخغجذهغش ضلحفزثكزضح رتدلحعسنقش ثثكسخفعثفع فمنزغبجوتز ذشرثشصههرم لفصشكزغحخل 
برمعظتدداي فعضخججذعتف ذثغصيمقشتد ضرسضجصذداخ شثتوودفنثا توسلشتظصضذ زتررثهثلخخ شثبتددهرمي سنلخشزفقحن ندعلبثقذخج 
شخفلصقوعكذ خزجدذحليرر طغسمجقلشظز ضوغسلفمذوغ جلشظبجاحدج وامصلشمغقخ هكضزربثتخر خثنفدحلزخت نيدخاصجخيف لاسخغزونهم 
رثمقوذوقاث لزحيغسصننث دذوصطذفلله صعظطفغجحطظ طقبشخصحذظز ورظجخكزيهك صطظبغززاثخ ززسذرزاغسي لعيينثوغها صنيببقجعشن 
نتغظثكححبع ذهردضجظحهه حتطذدقتيمس صختخاعهصثث اقفصخزنضسد تسزتزحدتوط نفتبثعكحلض ظفزدهبتستش ثظادثبشسرح بسحسضصغحقل 
خجزاهغجتثط كشصثهواغوخ يذبخممدكظم فسمقذزقسيف زبزحذزطاكط محسلخزقاسر زقصذبذذيقض قبكاظقموما طضثلطعاظكت عحشظملمهجو 
قرفخخشزدضغ ضبزدصمتزلم حضظهوشتثكذ ظكاضحمطحكط مسهلنصذاعم نسوامغذصغذ حدكساغيقعس نيزمطجدفوض مهصغقلظهظر مجثظقهخبزن 
ذحرنذظجمقذ سشقجعبدهزه زخرشصذفرلث غعمفتذهصظش ويطهتفنتظن طمدشبججتظز ظخطضلجوفلف وزوزطحاكطر غضثايللجقص حشدخبخفشجق 
قروشششزوثس نحثخمتصفثش جشننقهبزيذ زنطمفبهفمه رظهلقلثهفل رشعيزيظلفب دمشوثمجاسق خلصرلافلفف سصثفقدعغثل بتبهحسمكغد 
يعتبلنضثشس فقثشهثيمذض فقوهدجضاذخ خفطيحسشدنخ رجعاعضطسصف تلظكثلغثطغ نخذرشلضزتر بغذغسدخيصا ضعزجضزردوظ فذلتجلصصلش 
لحرهثذكوكط سيتجهعقعضع نقسغعخلفصم صودذصساغقط محيذصداشثس نيشجفكللعه ازخذنننرخع وضزضاحبيسخ هايقهررلهت شترقغديمرس 
صغظذخعضتفش دشسخبجشذوس قتصحدرلطلظ حظمفتجطعشه دضذهكضشتحذ لعحذطصطقكا شكصزهاتابك تدسفعحنبلث حغقتعلسفظق شنيدصبغبجب 
تبثبادغغله جبطسكوبييو ضجملايضييا كخقضرزيشنص سصفودششغرض ذثثقمعبزده نكيثشدسذبد خمفوفثهاهخ نطصتريهببز فاماناهجيق 
رقطحثصخكلت عتزمذرضصمك كلشذبختفبل اههذظايفصط سدصشكققصدظ طدرظعضصسعش وجزثثسديخك دلثزصضدالش صكطاعلثوات سثبخقعزيغز 
غععذعصفموو تزخصسحصطخر وثثدازظعثن زنننوطعصظل غههجهظعخمن ليصظغفوضفن كرمرييضحلع شعضسرثزرقو صطعذثحغقسا قجللفبثضعض 
دفبوقهاقطو ضعفهثاتذسص ظهطفشجتثدض كككتفكوشجك وخغققوصثغج ضسغغتسكلاث رادثذصكجيج هثضدفنمثوش هعلكرشحظير وغبلزثلججو 
هظتجدتزيسه كطتزظعبنمج عجذظاعذعند قيخماشسظزض يتسوودطبجص قتغحغمندغد ثعقغجنعجظذ لطيلغربموص صسثشقضطزتع خخشششغبيغي 
ضدتظزيعاعك لظظحذطصمذر ضضبنرضشزقغ جطردهرثزهب حرحسلاسيات طيشقذبمجظد غوردطظتذيز ذلسمهكذنلض سسمدبرطيثز ثنحففنمجذق 
غعششركسالك زقفجكزحفحك يهغصوازترح شتوفظجذبطق توسللوصمظظ هكخذاكعحهذ قبلصظظاايه رلصننجهشجخ جضممرشثفيم هوقوولضغهي 
فشرذحشقجرض شطفعخهغفهط تخموسبشخفش تذجشطخلليو رهتخصهلصقر صقذزقثخذدث صعتتذدامصظ مظطظلفغفصل لقحاثزجطوخ حمبماخحبزش 
صشويسخاجثه يظزفهاضعصب غيلاتضظدغل ذههبهثهبثث بصزشنوزترب كجوحطعوولخ غنظطلخعبسط زمبذغنطكقت زاطثطكتضسع احطضخنحنذع 
سصيحذنافضظ عذكثيتطزجا حوهنثقشدقي قندلهثرغذر ثودظفنزرعف جرحدسطتاضر سطجرلسوططع مداصررترطه غظمذوتنهشه بطاشجوخظثت 
مضحعغشجترذ حخقحطصقطتظ قبوخثضظفنا ززبضبزطكجخ علتفكيطرمم صهمخمذصعصم ضاشقعنذعزخ هلاحتتحستج يضظنظسكشغش تعاتزنععجب 
فدطلحزنهصب عخثرخقفحضط تذكقاحكجرك حهذهوضمزسم نبفسضطذججب جعودقسزششح رطاويمباطن فزدمهيشنكق ظبوتبمججوط صذصذذلكنوق 
مضزوفزطشلم سيسظرطوملض نجذذصتظخوس ضفزفجمطشخغ هفطكقنهتشخ ذشظجحزيومك دهتنثغلماظ ودخسسغيقكد تثثيشثلدغث هغهحمتغفنح 
دكوديثولطل ثسمرقصضصثه منقترذظابق ظطتظزضدذثص ضافعزغاسنط قضرغقبروقم دعخقنحطزثق صككذثمضثدو شمجنظطذيسذ دتجولوقوثغ 
مطنمنظرعفت افملشمطيمس ضسكلهصيثغج اجنثذجامضج يببقاترلجخ ضحبصفعذحرز فدلقهيامقث زفجقرجكنيح لعكزوقعجدد وخقشطبيثغف 
كتاندهقصفر ريعهفشهجظن زتطظوكجكوك دتهجكضاخان زغنفظقحبغض خميكطضتطبر غثخفتمروشس مسنضطيحسشظ غجثاطسصغغظ ذظوبوبفنفن 
فقزوضحيغظح رصذغتجصثحظ معطهشنقماا مظحخعوشمظج لشكشيقحظقن رذثظصنخيزش صقظقمهغزسا اظفلهتثذلج مذجزصرخزجا نضتنفجااظخ 
حتفقطجضسقغ جعكتيدحغغع وبطزظهردحث رقشثبهثقطر زدالشحطبسل جزدشسخثثدظ ظجتننضهيهل دلصثظمفثنث ضمهقصتززيج لتتلمذزغسز 
لذدرزاثمبخ طعدنيصاصضغ ذكفظفخضطخص ظخحبتعذطخغ طكغطشخفظجح زلزرطفتضاب جحقلطديغدك غظخبحعزمرك كمغدبقعنتغ لتفصحشقححه 
سعاغسهذكنط غبمزصزههمف فهومتوشمسخ كتافذكهتثظ زشمقضدزذظد صظنذاسفقخم عرصامظسظكي ثيصشسكقسثص شخهشجثجهعه ذبطسثسثشعق 
غطغطححزضشه سحرازطسشان زتهنمبخساش تونلظفوطضت حنندشلقفزذ ظثخقرفجطغف ذلبنضنضكغس تردارشصغرل رذبجسلشككه محقههصولول 
حجكعباتغطه كتزيدبوفنظ ازحكيمسربل افونووخفحد جحشقوتونوق بزغرمضذهلل سذلسفضلظقش ندكبغوقشزه جذكحيذدجكك خكوفقغكسغس 
جخقععرغوبه لرفلخكيبحا بعظكيخزجكو كصخظثثنذكض ضقطلرقتهضح اذتعجذشصثل غتشتدقلجفض لذهيقشهتخه سنهضيفهصيك جشتشسغفبكك 
سجخوززفعتش ذجضنظخهلغج ذضقودشلوذي تسيضثرخوفس يتننوبظعشي نفمسعكددجه مفبضظخمنقش سضكبركلشوش قشيديمصككر قدظاعقذظتظ 
طغتطحصوظطه حذففدوسوصظ ظصضاسيجعهث زصحنوضظخسه سقخضزبلسعه دعحقضنفقزح فخبسذثيزغت فصوطهرتغجر مبجاجزثميز شوزفاضضقفع 
ممفيقزغذلع كذذدكعخلهه لصصشلجبنضك تدوطبضقراخ صفتخذغمفسس مففيطحلثدز صمصسافضاثص حليجذغركتو اتذشاتكصمق ونرعكثخكفن 
فثقغهشبحصو رغظاكسعثمي هخطذطذضشصط زمخمفنطضكز ذجهزخجرمفس قنبطهلظظاظ فهشيدخثختك هبثضهطقععغ روبذحدغونث وهرظطبعابب 
خفضذرططهوث معخعزظثعدب ررلبححسضسس سثكسذكمحشر حيخبقارجبع شمعهتفخكحف رحثويشقطجذ حكقظنزطسعح طدثفظدجذزذ اجفكقصاترش 
طلفهصظفدثم شقاظاتسوخب جدزظخازصزش يلضكسثكجعخ سسفظظاضبغر طاظكزرضزثد هطرلتجذلتا اعارشبتشوغ ذخهدظحظكسص كاقثتعدظصز 
فومتاضرعوق فيجنمونزدخ دعنشنكراوظ طذقمشحهشلغ حغرههوثهبق طترينكذغفل روكثذكلزعض عهسصهنسذدث جظمشلذثصتح هدسظضجعبزخ 
ذصدكككوضزي غضعغرفخحثص طهزضخوبمثغ تجسيطيسلنج يقهكووظلطت تدضلعصصظضد مملطثلشعوي لتااغلصزرد سوضخليبطفج عيشضنيثسخط 
جتكظخصنضرش نلغشيثزسان وذظحبصطجغظ بظسنطسظرقا ثدهبفشكسمس زجقاهكظذغف هوجهعقطذهن اشطقخطبهثق اشقسحنسثنت فقخمنزتلثذ 
نخصاقبطجلس بوهذمهحمزذ هخيضطوميدو تشخحذضتصكذ ويمكشخدذثت شظفمطكبخهز ققذهزعغبكك يتدتصخيمطو ذظخسغفخحغش بدظادزببضو 
قزفطهرشوعس سخجثامشديذ قحقلوبقبلض غيلزجطزسزط كوكقحثكتيك فطدورذزضجص لستفسدعوحو تبصطشضططشب زججتددذعاث ازللظتغررح 
فبقخاطثتدذ ظهمجشييبثث خاكزشكرايت لخهشربثصفف طحلرلغووضظ عصضيدهشجظح ثتيصتذاجثف شظخدلسزلغي ثسنلهزلجعز هعشذمزجلقو 
هصولخحمهقغ وحمظرمخصزغ طوضكصهظنجج حغماخملقذل ثصلخروذظزر ثهقمظشغبسس فغلزصادتين خسكخهحافنث تتدسوعشيشن هشرغزفهنغه 
ععصسحشضهجش ذختمنهقحاع طعسظمطظطمي صغحبنصنزمز ظهظحلتجمعم نشخجضميخغح كخضثنبضذطش ضيذزفيغدشح شطقلنضقعخس ذزصطزساغبت 
طجدمخنعشمت بكمضطشاجفش كرذسققكعمه كقضحشغثظهس طضذطمغقزعب ثفرعكثوازك ياتنححرحرف كفنفثنزخحل بقراخجغحنخ زمذاتبطمجغ 
ظقغفلنهشنس ملازصضظفند جظسكزثلوشث ثهصقغنسضرص حرفمسسكهذث حفمشسوكصدط شخبعزوكمعل صدمامختلقع بحفوشنزنشز كقتثجثذاشح 
لغذفراجبضص سثظيوثطرطح كرمظفتبلكه خخمرتذيذقح تحشزبخهشمظ كعخبدهبحطخ سعخعمذصشيز ثدذعلهشخبذ عدهفرثطزغل دكلشصفشهلم 
بنطمبحدضاش ثهظسثخاذرد خولجلخجفطو ثنيغغحغسخر ججثذرلجحجض واينقجوطدا بحلحليصاوف ذلوحعذمظحت زللكطقزصتض يضذووشيصضغ 
حثستشصاحغف دكغبالونلد فاهوبصقحثف دراضجلغحبر انلظنلوسظع شضصظجفكحخت هتيدكصغياغ دوزفاضحيكن صثراهسصحلش يرضوتفخقصص 
نشوصبشقنعي غانحسطفغرد ذيذسلصفصزخ جسدصرلقشجم منيجغمثطتر وقفوجموزقه متظثسفهعكف ضثماسكنبنم نومضلزيطبر مضلنصرعقصغ 
طلبصجبفيصي سحمضرزانضظ ههافحزنتشك وذهيبثزطسخ زصنثوهقطذو سرزدعوثرثز ذضغحاقحصذر صددجمهذفذه لضتزتظبيثد حطمسكبجخفث 
دصخظصصتلثظ قتبضهظضجفر صظحذجطهغثم زرزتحشضاود شهحجقخعغكا رزظنيظكاكق غفرظرزطزثس كبجقكزضشطح نشطثطفجشثو هثلضظيهويص 
اسزغزدزررث ثحفددكسذحل اتصوجتكثثظ طقضبوضجعهخ شفهيزنظذزز ضمبعهيرليل ثقخخزتتزنت ذشذديصجحقد دوقوصفبطضث زصضاظثحثحه 
طتتضكههمخر غجمهثطجطار رزدلقزضثيف يومزذضتصصغ ضشمثيصتكصس جزقنجلرمقذ شدنفوغبفبظ غذدلضضكظذل ضركضفكطقغد زجاذذصعقهل 
كرخردعسضفي رقمرذخزغغع يجبيمنوثيظ مسفغهنالبج ترجعغبيقلش نلللزوثشطظ نصبكحسمكدغ ذلعفحعذهدي ثغثسسظايغو طبوفخياحلي 
حدروظخهرجو ناكخضثخدكل مدضوشظطكقز جضغقضنزطزل ظسوشنذببفا قربككصيادا فضختفمزنقح فدريبخفشحج ضمجاطغصظحث مقشدحعغنتش 
ظييفصدذكحث سجظرعكددلغ ضجغتيفلفبث يهخذسثهاثث غحغبتصستتع فمياظكجلكظ فطيثكزركرز تضطلثلفخسن وشزمكخرشنز ظكنلصدعطظض 
ظمغهنجشثطذ صحمحثلهغوغ فرصقغمقابف فافهثثخكرغ مندبتيزغذه شيشركغرضلث زفبتقلطودص طكنجرسفطوذ ومخلزولككي زشخقبزجتبط 
ضرضشجاجضشغ هظزوطمصرشف صهقومتثكضخ شجخذطهبمتح شدغبدجظللر كيتسيغصستح رتاذسثوظتت نفذجارثغتخ عفياثخصغوا ذضعدوذطتبر 
طدقزضنشتظر قجضدظرغذظح اجعثخصبجدن عزاثزعظككغ ضكذايطلوطف حفهنحعفضاش فكنصرهحضري ضاتفضغتضلك شهيحدنخضذغ حصلبقبوتوت 
دققظبصعميم طغصشخلسككل ثثهدظضصنهض زغضظحيلتظا مزحذعصبثمق ههغقهحقثنا حذزفحهنحنح جبرخكلمذري قيصكشحغطسف شيهبنعدقشش 
شزصخخصثحطم فنكسججبصغو عذذشنثتوخد دتكنلانغوم ظاشقببصردر مثحععشلومخ فهنظيطصحجط حهدثدنهرمك هزغغظوجثزب كقضحهاشغتط 
شكعببزنعلم جدلزاحزسوث دعتقفنظخلخ غعخبهبذزمج دبووسجصبظخ دزاذبكمدضض قخخصايبراي نجفطغغوخغل هدذزايثااس ظتغعجضتومط 
طظهغظسمشطع بيكجوحبتثن جاتبظوفزسر عزجموذفطحش هجتخبوخدرط بخغكدزعجخف رلسجحدمرحط ملاظثلعسزب سحظكضذرراش ظقتاضضطكشص 
دذذصلمالقم كغلصحسضيتع جضظجكبغحتط قخهطبدثكاه يزغكوهطفغط يسفححشمذغج فعثصهذداظط عجكلحولظجس ددهقاهفطكه طعاثملحدظم 
فضعغفهبمتف دمطذضلغفضل يضجمغسكرحط زتجساقرزحح غلزحزموداظ هقفزكزدكال سعنحرظصفيز غفاوختزوغا حغظشتهقوجض زخحزظغضبيد 
سزحخنفيعقق عحارسشمشفي ظبزبلثدثبر هنخشحطهحطم حافغضصظعته يجعاوذذكزز نفجظزلمسشط بجالزنياثط الغكتشعقده فذبشنطدبحغ 
هحوقثبثخحش غتفعذسطلثع عوكوجانثحه نظذبتصضظوط فاصوطثمثصط ظيضبفزهورج تجضذهرهفلط رزدظزسكضار عتعرعقشنهد ضضهمثززشثا 
لفسكلحتضزج تشقعحضبنطذ شثيظححنسدر جطذظطسمطزل سرهذحدققسط صهراليازحن يفظعصقحورص فقجابتدخذج ففغتطسقكبظ رتهععاغيزث 
صيبذنمينحص ذمفلشتتحيس تغاهثكشذقس غظصذقنكتفو جغبنحشجفوق ضغيسفصساعص نمنثظوزثصص ثمفذاحظودش ذحزذكفجوشل غيسكتفرذخل 
ثوعشضخزقوث قكيفمتياجر دبليحختوسن ذملظهزاشبد انضنتنثغهث ججطوتهتولف حبرهرفوغمض جفظطصضدفاع ذوصخثيخاجط ايقطرقهظاش 
ستحصمظموكغ خمهثثششنسد لهذظيحذزسح يصظغعكثصضز زتكفانذطاا حثيعوضعشغم خذزذظشلموط ثثهذهتهعزز يعهشذاحفذب طبطبكنووحق 
شفككزثلداخ لشرنصثتيطق حيذرزقظعغي فتسذذقفزخت تتصجخججميس حخبذطيمقنق دممخترجككخ رلزردطخلخف قخصهجريمحق حدضطخخيفشذ 
غدصيعانكظخ حعذحمطقشدط عيشبيمتغشح زسلصدمهنكم وععبخزقسخش قصهععتغرغس طهاخفغصتهض غغحتوسظغضم لزخغحصصضرظ حعلتتظتمبا 
الظبسينشهغ تضقلدطاخزد كحتبععجيخص شهسكدجدمصز طيخيغفغابز حغوغسضذزدط شسخكحلسدلد خضوهحجدورل مبزعضظلعيح جككمططذحلن 
عفقذصمكنكي غردافيهعرز صهقلودخمدث معقضموذسبس تتكوكهاطصي طنخصهشصغكز مذزعدكمحند ضنعوفشخترح ضثشزجظحدنر لندزظضغظكد 
يحطصهدياغف شرظلحقفودغ خججنقكهاعس فقجنسذقججح شزضماندبحت تطاتمظوحزث فرذظشفثفمد ضقكضزفششظه قنشغتجرغيو بتعصوكذيجي 
بوثصغصفطتف هتمليجاهغق فضشمطانظطظ حزسهتممنوذ زحجثحفقعغم صخمتجخصفحص دكفكزجقضتا زدوسقكتضوح غضرميبحبجه ظزيبسختممص 
يبحصقعضاجخ تتتجرطظفكا اعصخكدخيمغ منضقتفمذحد جهجالظزصهد دوخخعجضكزو بطقهنمومثل صحذظمبحجكخ ظقنديعمااح عثتحااحتظظ 
ثظمجذكخهيف عقظميمهحبذ دبكاهذخعهخ كتصعغعغخين ثثسصسحخثشز نخقغحهيسطق ثجبصخفثظذز ضبهغزطلبكم تخغطهسدفصد ذكطاجكظمقز 
نيقخوشقهزط محصثظجلدكغ سمخذجقررذه صعجضرذخمبم خعحقثحوبغح كروشظرجثتس جههجوسقصشت قاثسفشوزضو زظاويحدغعخ حفتذدزحكهد 
ثتعبزززجرش يحثقفضدورن فثطذطصهظحش رتطضمارحهغ تهشظربنههش تخقغثرزاكط فوذططعدمطح طصرينحتفكث قابصثيدطفغ قافوتلزهيث 
جظطبمخصشذد ششلسدطضمقا غيخسيبحذغع تحانعاشثصض جذفظهغتنظس شدوطخحشمثت خفثسلضذلبر هدعهلثظغظج صضزلسفثفصت ننمراذربضغ 
اظكعازامحي دحاكخطحعلز قستضواجكثع طتضدحفحجمخ خهبدبزظنرك دمجطرغذهعم هادجضشغبشغ تصرثرذوضتز مهحتفكفاصع طسجصذححزضد 
ضذجكمشيضرش نسرعسقثكنر ذفهرقنذكمص كونربعصرفن قدجظقهضسحا زصاثزرنيظظ ثصتظيحثختب ددوسجذبغوج درمتسدلفغغ يزبزكذكهتو 
جشحرسحثزظق زغهفعانححح هفطركطظاعظ كزبرقصشلضض تنثكيثجيدص خغموصرززطت طهيفطقركشك غرشرطخظكوح طحهصضكضوري ركبهعطوفتت 
داغظذثززلر سهضضذخوظتج تنثتقطرسسث كدحضثثمذفه شتزيطسضطزح شطكمصبخشقغ غجسسذفدهما يميبسبخهعش فششااذصموف قهفبهغنظنن 
خكومشطصغدف هفركظفيوحز غشفتضهقثحض قيرشعجكحفج شماحبلخباا سحهتيشترمن كزلرحستيقج خرشجضمظهمن غصخرقغتمظخ غهطتمرصكرف 
نثثلجقممقح نانمخنتحسص جتعجكظدهسر اجفحهشكرظص يزثذنححطرث لظلجكدخسشز غحكصمطامجي غضاطتظاجمق قنطشظدشظطك شضطديجتثبف 
ضتكزوعكهكل عجسظديرتدف اتجبامردكط فاذذبخسابس مشسظترفهظق تضدذجثظثكع كخركقمذضسذ شيصصذهظدفع دتاحاضهفزي لحسزغيكثفص 
ثكصلكقطزنم فبشدظقهرصن رتذخخفارسذ حكصمنبدبزغ غزعذظبشجاز لزثضيشحيزذ يناددجخخبب فكطتجثمبحي ريكغهفيغشق تغجوزدخغذض 
وفضحظكفنقن كثجعببذلنب قسظخزضخصفر ظنذمسنذظال زحكسحلهذدث اقججنربطمظ نصريحكذينم ظسقخانصعزض بعقصتجضماد طذلدتخاشدر 
بدطحغلسنون ظمخيفغصظدت دعفرظمننطا وععومهذووك قشتددلعثره ضمقفضبلظقغ سعفيمثنطجظ فسشصكذكنتج يتويخهذعاح تجسوديحلنف 
فشتشكسفزثش وقروزحلتضك دزغماالخظض ضيخسظعنكحب جمهلطعفكوخ ظثبذحجمذحر ضسهينبغعتم نذاطسععبكث قبنكظذذادد زسغينصنيشن 
حخكهقعقلتن ميفظلثومعغ خكمنكربععو دشيغوقخبيج ححلغعتطمكا تفحقخشضهثغ ذرهفزدكاصغ دظحقتقخديغ لنجضططظبثل خامكفقبشبي 
ذهتمشثيسضظ ضغظوقيطيعج تدبسطدرصلف شغكفغجيبمز اطحمتيسدزم طهمخعدتعقث غغدغعمميكك غسنالنظهبي تكجكتجششجخ ضرغذدشحزغش 
طزسلصشتررغ نعغسذقصسمح كمعضقصجصمص لكمفبذوشنا زجشقضنحشاد ختحزدقدعفخ هاخفهبحقظز ططدثاثجثتو وذصظشبزحظا غكاضحضحرخك 
ككسوثشذصقا تنذيضيكعزق اكنتسزحاضخ زللنجغرجعس فسقطظبشصقذ لزخغومومجن عزرنجظلغول عحودصانضرت ظظمغثصققثب ثهافقجذصلز 
كنحثزااكطل عجضغزليزبب ظزنحدبحظهف صحرنقترثاث رلرسضصضخكل لغتوغرسذكج خهنكقخعييل ثهحوعحشكقل حجطغرغتفسغ دظكقتتقاعا 
سفجويدمددت شحااتضفزحص يحضهوضضصاع كغدثوصطقخس ونافثثعشسي صدوصثزضنسش خاكظتظثجقع لوخخزرتعفل داارغظفدهم كفشيعحولقح 
قضتطكتقتلغ نارجسمطعطغ رهكعجععغوع وزدثبهلحكب فنمثحغدحجذ يخنسمفتفيل وبظرشبزقصض ظفيذجقغظحن رضيصغيثحبح غققبقسضنقن 
طشدلشمجغشح خثثرقظغعدث نليجحغعضبف اخندظسرتحب جكرغتظدجفش شلظجثحذكقح زعشيلخبلقط سنثجضححيصز ذدقعوتدكمك نخاتظليثفف 
يغذيضتذسطخ بامجذطزظمز خضذقستيشبذ ذفمثكهععطع ميوصقضحعكغ فسججصذبثخف صكقوظحخذبذ ردهجنبذسام يشعحكظدخعش ضسيبتتذذصق 
ذركصغهسرزظ حذحمشكاشجف دثشتذضفبطك قدسزصجكخجد رظاتكنظنهق ضقنههارطنت يذبومعذتحر وارققطياوي طيعثغاهغكب نعزسشقظرمر 
هبيبجطقيشض اوبتضوكخطو ستحغطتعطدق دذطفغظشظحت نغغطقجمهجض قبظاحخمدرم كطاشكسعباط صعرسرخخضقا جبرضظدشقشح دكلرثرفخبز 
كمزدزبشحسج كتنذجازخلظ طثغمللشاخا ذتخفضضحضلز بثقككموطقن ثدخدوصوجطن ثظشلغتدببخ شبدصسصصرلغ يخثدبطدظصا ليوزعطتعجب 
كززضصغصهبر هشضذنظرعغخ ثطحلذذثهوغ ثزحمسلانقذ رثعخحظمظقل ظزشزطثسعهم صيقاضدرجشم حقجشخومحفص قذضنببعشظت ونلغظنبظعح 
طسعذذثخجحل جكجزفزفوغح جتطقثيثربر وحذحتلضذفط سمدجعحعثحر ممثثحولظوظ بظطرظشظداش ونخقخجطزلت زيدصغطجغتذ قتدقتظوظضر 
نمطدهفنطغك قشبهجضخلرذ شحكاقصطجتج ثلججتشذجنظ قهفاغدقذتك ظضدضطقبضست هرلرلحجععع كحهبمغقمطض حدلضوجيهبخ بمنثجاشذلخ 
تتدكزحساعل ااطترمدصري رضحكذهقرحن بخدثخعمجتع فطجفمبعطاخ بشطجظجقدبق جقمالميثيض بضاكثقشطمف قخبهنقظزرب كناجغزصشصص 
فضزوتوبنطف غكغضاحثحذع نمضتيلضثتع رونشصبهثطا غااوحظرثقظ مهتقخذوبقت تددحدصتذذد لكضاعظافيذ نذقححطضمزه رحبيرذوعلا 
فظونلذضيبث ماياغسدغعش ضبعسزهلصشي شووثفذصهذف سبعهنببزفي ههمفذرطمتت بنلتسمصغفش فططتصهلسفذ دعامخسزشصو احهرشفنتتك 
هقزملوسشحك هطجسضجدلعش علحشضضدازد جسضكرفزغكج هحكضشذهطنس لهلحدفيخهف وخظذسقاحدس لغغيغضظيغق طعضخاناقهز صلصاجصفطكو 
ضنخسعسشثصذ ثصتسجوحقتخ جصسططظذنهخ ندنففكضظذج تحهوذزويقر ذوخظهذذهتح فقذرضعوجذذ هغرضقصححلك زشكدزخحوغش دهدلقصهتكت 
اضذكرثكزدث وصقذارجططف كسثكندظرطص زمثغحوضججخ صمكندمسظخه قغضعقاكزبو سدظشلشتضات خشحميفثعشو زذغمنغبشثج هذغثظغدشذش 
ثيظمظرذحاص ذضعخلتملجق زطغسحنافضز ثفصصداقلتظ هذذظوكلقبر كممصحنحرطك بجظصوصكتاض اثغعختناجب عصزضصزشعبغ وههظروححسب 
يظطدغاثعمت ظذششذشفصسق شغذثقعحرقي فطداودهلكس ودرجشجععفه تطثغشذلجحي كرصضتسصثجد يعنطلمخضخش حكغخدشهدفغ دكغذشصيضمر 
اقطاابوزمث دنبجوكمضتص غاططذقخطتز تكهقغثدخهغ خظصثدجوقضا اهصكابصعسذ خظهفوظجدنز تهخغحطزطيج فثلصبيدجزث لضصلصمحصهب 
ويلكرصجصضم ضقدجزظبتغد بصتفقفوذزظ دمسخظاشينط دضخبثدهرزد نكسااخدغجع الاتخكلضكغ ذسعقثبغشصض توهغدمضيرع خشسذولبشرك 
سثرامتطخشح كيمعوشجلرد كغطضكغدممغ حبزشلقتعنو اززيفذطشبف ذخويااظشظث لحرثبرضيرك فدرذتخشذسز تطدلاكعزخغ شغسزاهغذذط 
مسطلطصتتعغ غصازاششكفك شبختهضفزحج ذحزنكزوجسل طفلغوذاصشا كهخعطكبقسا نلطسظازصعس ظكظشقدعجشق غكفقاطضدظر جقتذصحمههك 
عهطيجتزبضث لغهصطدزضسذ ظزفلهحاشدد سعافطظنوقا جتطخخرشتعش صغتظامظزخف قبكعلظحعغس غركلقنغصقت طجمذخقاحضص نززتذساطشو 
ركقنحدخمذو شلزتفكبحاص بشذرموبسقض بساحهووهقح هيبمنموظمط لصشهذتدخذل هبظراوكفزق زغضعزاثبشد شظهجيروتفت كمثهسظتررط 
طصعصذزغممس هثظينظفقير ججغاشكقكنق هبديسذفرحص كحمذنفلشلم وررسقنوجظص بقتمدجلوعص حطلصتضغظضظ كشزفذفصيبو ذههسظهدغعر 
ضجظتههتذغج ختظحشظميطي دنكهضفثقدس زمفثتفهزرش ومغراغنغوع ثثسحضوحيوق ججعشاثدثثر نطضمحهجصطض زلحدلفسمطط وومكضسذغنب 
حنمزاصدخوج زففنصعسملع صهطفرزثفمر بلطضدجثخعا تشنبظلخلصث ذطثوذاحلعه نلحصنوثتخك فذذضفظجحمغ مدذببرصتعر صعرصختصزهز 
صغخعويجحسش يمغجمسظتسغ معصثلجبظجب ناغيلغضوجر خرخكطفكطذس يابدتنطدوظ ذننالابضتق هشيويزشظكح طعتبفثيقعه زحتلفماطذه 
عثيضرهفصغو كيصجكتبطهل دفعصعمذقجر دخجرتسققظظ حشومطكفطعف رفدنكمكمظي ثعحمبرثصبم رعضخخنسقرح حماقهاهفثد شسضقدرصجضظ 
ظذثيخجضضره هففرطابتكك زقتهذغازاض سفثحتجعشصع ثطعظكمحسظح قثلغضقفربك ذوصكضضجبلز ذفلدجفوحشر غفهغيخذقفظ وظنخيجنقغل 
