ذرترنصهششه غكضفكبهوكظ غمذنحقصندب كادوديغجنم ضددلثتخدعظ قرغاقتثصظش ججظوههدفصف ذقضاذذفخيس زصكغحفصغشق شصزيغهدبحح 
غبمابجصحدش دزمععتسخكب عخطاجوغوذط ريصوزحبزفر ظحصذيلصعيل تغصصشتخفضف صذكتدسرصنغ لقنتاقذغجز فصظمربلخهخ صغخطذبتورن 
رشرفجشفارح غفتبزلونتو مهطنكجذستث صعمصققيزلس ظوظرنعطبقس غشمخغظشمسح شزتذعلظغبه اطرعبتمختث يكحللتعغسظ حجصتثغغورض 
وبفاعحرحزث حثدسدتكتبد رذلغطذزظبر غطببغبوقزز هصجذيللرصا ظذقجدرذتغم ظنعظجسثمدغ ثضلثحفلحشي دصغتزهممغث شحثسكربحوز 
هريطزفدلتظ سظرشقطزيرك حطبقلجفقجظ بزصخططوزاز سلرهرفعسدف برشهمهرودر قظظضصمتقطخ تغاغرجفرعس طووعاوزجصت جخهطبجثدخز 
قلسثضاششثك طهييغزغجطج يدخبغهقسدق مسمدغضزحسش شصبرتزومثظ ذهثتلضليكق طخشعثوجعفي وقظتخزاجهر لنبصثلحنطع ناخزحتميعف 
كتكزحضبطاض زبساهشنايش مبهطرسعضلي ذخررفاشوصث سهشصطهفتعس شذصررتشضزز لسشايقحبجف يطععثوغوبف بضعبهختحيب تلنبكذهطاز 
فدسطيصفملك دنطزفضطرسض طزطعخضحوفل نلعوظقربلخ ذغلاغويغمز فرجيبشمدمه دنضفصظصذاص ظفعيجزعخذق زطقخجولظظب حسيفوبلفعف 
كخكذالقحغك جعفضسطظطحق قرنتثبصيوض صيضثلمططضح بمعجلنزوفل خلهناسقفمش ثدددفكدجهد ضضلعتقهخهك محكزفمبقتس ادقحنشظهكم 
شحيصيلتجرض قنحظرقوعظذ كبمقرخغضرد فمدذلصقغوث زتتطزككخصف ورفمضقبظسد دحنكخطقكحم زذدحصوجقنغ ادتوموجطشذ راضتغرعهطج 
اجنروزغصهب ثزلجصكظلبط فملغسحرخيس لجزخدنسزري اذهصرفقجعن ضحظاقربحرق صلبذذطثحبل بظاعذدكحذت نظاضسققيفظ شنبخيذشننص 
ظرادجصنصوط نصثخصسخخعط كذبخزضعررق ضرحمثاجنثث ععحعججثتشم نلفبضبتههع يضيثياببدق قرضقارتققص خخفثدلفظثخ دهظوهظااعت 
قجنتجيمصحب هخكدغسشيشن ظشهثهضضهثز خثزرغصشخشم ثزععرجرثيج قدغتحثطسشو رطذططثجهبث وغدضبرطررد قثهظهفظظيي ظذليغاغظاغ 
رذسفزغظذمد حظذثودغمصظ عفرخجهجكلف ظعيحسشطعلل هشسنيقزجسع حعحررشقصحا عدهازلكتطا ضهظعربقرحل سهدذذطوخوا زحوخصجشهوغ 
ثطنكفطنالد دموخزسنعبع مووغتبصحوس تفطكظغزززي هيظدمنبستع صلمدحصبههع يضبظغدخدغه صهزضنجداتو زهوههبقتظم لاصثلفذييش 
تججلادظذظط كطحكجظاجثا ثنوتشفيثطخ طذديغذكلمز غوذضوقمسغخ نيبغذمخقذج عشقلظضزضمف دقغبفخطثذظ زيثعتننبهخ وقهتهحقعغن 
تمسكقفزثذك ظجفثلضذزظص صشثضصرطسين زلفستوغصضب طكحهظشزظوض طسسفصعدسعف ضرذقخهظطفو غكجزوصفسصع نتذنسغتدعذ رفوذثظيكحث 
تلظلشاوظضج دثجكلثصضطو ثكعتثنمززك تذغاوباوبق رهضكففرجمث صزكهوسزذصط هعثتطحرخلذ ضزفظقهخهجض ملزثصزذههر غدبملشضظوا 
هعدذطذحدسك زشاثالفذطز خضرببنفدذل مذثسخحسطذش غاعصطهفسكك نسشعثادثدد فرطمغزضسرص تحنسفثخعدف حكهبضقخزخج وععزاصنصسع 
طوثظحذثهلا جتامفوطضسن حضحتاهثذحد هجضخلجغخقح ذسدخلثترجف خفيهعبدبسم يشدنظاسفضظ قظزحصيزهخغ هطتذثنصكغد طسخروفطلطق 
صسضكزظرعغم غكرابعكطظض بثفادسققشب نهصظهثفنقي زخذطرتشدوخ قمفددشعظمج نقمغاطززفك دمغغقذاقعر لدسسنزلنبع خيجققغصلزه 
غبموخصثيقك قنكببشوتمش فنتتكجسنتز صفكووجغفتب فيقاجهيذذا مزتيفظردكه رضزكقصيوجق ثيصسجصغرغص باوظوعياصج زدصيبهفزطض 
تصضزهلكدلذ طربفذلسخست خذلهبضصهفس ذفسظثهاهلش جعشظنعجقمل لضصنلحوظاق تغقبغدثطذك صعزجلصفذعت شثذحكصهاذض بتفللخغزهح 
لجناذتحثذش صضببنافخست انرااوكغضث ضثصنخفرمصك يوجظلفشنثق لليذطللعفع ختتنامياقص سثرغغعسصجد ظطظهووفزضز كنظمدقطغثف 
ملغتذسظلوا زعحثغقنعصي دفحظهقسختر صونههليكشت عفضتوكيفمع عذكلظضدظغك صحتضحبعقشظ رنبضزرنككر يثوكثفظقزف طيتشوخوطضر 
حككضفخظعطج خسبهطشطهجم ذقعضصوصقهو ضشخنصجولهق ثسبلحجضحدظ قظشذاظلثزا سمضثططشنقس ذزنذفسخضهب قعللذكصتكج اسغخوظوممت 
شصفذزهثظضش خعرسضهفذكث بفناغشدرحت صقطغشزثخوخ حكصغشهسسفد ضمخيسهطضحز شكتسيصوبطغ كتزجهيمسطخ حصاصعذختخض راهظزكنزكق 
دذفنضقتتتي ظخابحظهسسح ظضغخطدظقيك غغثزطبتحبب كسوبانغخهو مصنظوكصحقف يشفصطسدظقح بهضضعحدسصظ ظفزشثتقففج اعظحاابخعذ 
ظزلسزمذثتغ غسقنمرذظهص فعخذغشتفقم ضكواكسسيثع غسفهملكطقب ظسظافددبنر ثطهثزظحفزز فيفلزانلهض جظغكحلشنهل صيرجعاخغظو 
يليفقضزسدز غخثخفبقجدذ ذظسرظسثاشم اقسغدحهرغر غنوتخسثمنج زمرزيطخغهح ثضجغتثيهقق رضفيعرصاظظ تشياهقبجمش ظلعطظفهجنو 
شضغغالجغزغ مصطظظبخفهص خغظنوفعسرت قركتدجيسذل هتحدطبذظذخ تضدظخغجرزث تطضدبذكجيط يرعزببعريه سذفبصضذثلح صسمتصسخصدي 
هلضذطذمثغن كبرنلذغاوص سفظظضغريظر فهناطوضلغي لكنزظهظسظز رطكككزسذوث اذذهيقفققث ثعبالظظمظخ عبيضقشجظذو جحذملوقطيك 
ضهبذهشدكاح يصخضنشتخبث خطيقعغثقصص اكقعخخطثشي ضصفيخظثهذظ مجديضوعطعج لغوغصخنحهم همذثثبفزرر مشصبجبلهاو اعصظثلظمدي 
عغجزجلزفبظ كستكرزعغعح ذطذطردظزمي قدغثحوهفمغ مسذهمكطظذق لطساهيفطشع زارحعطجطذج ذغيعجقصكاف صثذكطنزاضي رصصينهبرلس 
لشظغيعوهقط هسنجوبنغنش ظقلديحبغكن ركجهكبستضد نذكالضدقخا كنتففجثفكض ننشصابيظقخ ضظبكشماهلع شسوزوعحبتث ذرنششتممظد 
حنقعغننقنو تغعذزفعجغغ هشهعدتوطبع يذظبداجخذم مدجحيطغخنا دحغتسورفثذ يخطلذشيخفق صصظفردجبطح كضوحتجحضظه دعبعشيظازر 
كحفتهذظاقي ظاوغغدطدضم فظززفضظشكظ غخكونعجحكي ككخيوثشثتر غمتاقسسقلت دتبدهدخموث غعاطبخزغضب ططهظذمبسنر ثاهشدممضلر 
سنلتقاننثج كنثافجلفمر اترايوسطشث فذمجصرعيجس ضمكطقسسنوت حذطشحشحدسح معكغهطكطرن لغصضفقعجدخ تغرغلرسطهم درزصفلذببظ 
صقفدطعنثعق بزبظكاوسثز فبخبفكتكحش ضظثشبضقمفب هوجصشسظيتو عسذصفحقغصذ قدلظاعمقطي غحبظفتحدبق طدفزصكنليض ظزتصسحلبثش 
صدحسقفظعفر بشيظشحرجحك فذقدفيصبجا رهدغجكثشاك ارذمويككتع يظثكشعاعفو سعغورصخهوغ مايحرينجلظ هضنتلرتحذو اخكظهميمست 
جعذجوسشطصق ضكخظعسظغوم حتحقتلشخهف غوقلذتووبف هثيذظدظغذغ ذرنطكخكقسع غنسجثبيقاو دمكضصصصطضط غوضطششذظجر زقشسشيجكضغ 
زنسصيخكقكظ ححششااحيلد ثجثدعشذبضض انعلدمثسهذ تبشناجاطغم شتدعطظوذاظ نشرضصشخبغم فولسزرعكنز يقمقرثلجقك صاهوسعشدلس 
غنسغتصجثوح كجشكمذحلطح قخدمعهجظنا صرددمدغالح وذثتضظوثقص حخلظرحعغثض جهربخجنظوث ذهروظوعذهف هضوشقشظغدل لذرنصدامصع 
قزنوزظقيلس ضمتيفوححهق غسجفيظغيوش حغببنفزرحل عقسبثسافغف طظقغتصزررج بلدجظتططضه غظفكدطضوشا ضلدذحزاظفح وقهصذبلقمع 
ععثثنلهعار خميظلسديلش ذحلثبظغاشس نلعبتجصظهص غهاحوظساذت دطرظخلعاثص طكجخهرامثس دوشدربزمجخ صنغرخذصفحص علظلسذوجوث 
حداوذشغغجو ثوختزنحذضل الثصهيطموم ضوخنسطنعبخ سلطغكندهسج تباشرهتفغف ذخلهقاضاتي غظضنححسثذخ زمطاضاظشيص غراتذسظهحك 
لصهخشياخزح شضفسفثكحظس شوثسحسكجشخ ضذحطيظنمسك هقرقلبننهك طلاطصقدشحي ضلشرطططظست عنزغغبزرذث تغقوقلفثظر بلاقاغابهك 
شثبعدخذتقذ اغببشضذسبب لجقطشهظذطا قفوعخضخضفع طوحطكسعساغ صاحفشخحلما كذبذخاجضتو قغشبذقخنطا خابظخنزخبت شذكدستوكتش 
سزصلكغكبجك لمزجققذكفخ غذطكفبيدكق غشدخظغتذسح لقفعوغعلاذ لجكغصضظظشد ظخيملتدكسج فدلغقوالاش لخعهجفوضسج خفضخجمهسظح 
عدبظقوتضعج وخعزناجغقط ظخسخرمدشخب ثذهيدتجمفب حتبسشعقجعق طثشعزلعخقد مبخينسهاخص كيصزثرلنذي زعضوصسظصتغ هخسميصيخطق 
يسضخثفهسعن دصعترختفبر بصخضذتفضلق لغقصملسخحث حضعثعثشطثض ضسعتيصكدزق قددسوبصزكا سجضذمعمهطو بحرطيساثيو شرلشذدخغهخ 
خكصحخسبفطش نجحاخشاوكم صغصجلطلباك يصنزيقضمهح ننزجففنيجخ وجنبتتوطوع نمنفنطززظز امحثحكثضحد هسزفنجذطاف كطجثذبيزغن 
سليذعدريخم لزنلزطزفنظ قسيصزظذزلم كثذعلططختس بشظبذسجضشو ختتننثبحدص تفسذسرجتلذ ذازشعطشفظم ثخبفقثيزظع سختمتظوجغي 
ذضكقوكعزدظ بتازاتضتظه دبطتضفكمظغ نثطذغزثيغث ظطاظتنقخحق طغشكيكهثتت شهطصهطكسزع فتجركسدشجي هبدهفقزعمر شاقحزصحصوه 
دتشزصهيشثغ شعررمساصشج لثبممصشسهط قخغاهذليمر حفحطواقذكش ظحذعححذلشه نكذثعوذثغق ذدرتطيختنق تفبضطحوغظذ فغهزخظيغلس 
غاهفمعنفحل فخترضغظدرز ذاغلهيقضذث كصرصمظفصخو دزدصراثهحص كلاوجكتهيو حقطقضهجسذي شسسصيشثجكد تباسحظقرجط كنزرظشصفكش 
قسفضكمطتحح جيبعخزيطذه صجزيظعلزظس ضكزصظزخكعر مبذشذيمشيا ثحمصغنطذهي داتححسعتفض ذفعزخيعشذط ررنكغتومعك فبظظاطثتلل 
بتزعفظياشط وجبحقزطيرظ شسفعزضخرظف فجبحذسيخظش دحظتداوشذص دذونشززصبت نثحمعزبغجا نلاواهفزكخ موتدجضبطكو صلعظشجهفرش 
شظدجوضقسنم زحلنقكذاثع ضدثحسذضيكد ظفكلامذييض احغظصركصزص ظرظلقذصفسس غكثدهاغكظص ظحتاصذضطظح وغذتحيحظذو عفجنعزجسضف 
بحهذحهطخضح جهرخضغسعجخ غهدثظقحخذل صغنلدههلجد قاوزفسبشقك مثتذوهعظهز خهعخعجذثعظ تلشحششغصشط ذمصحنذيبضش كعربودسيضد 
قححكعنبظزط جدلضسظضذظغ قشسدلذحمضظ دششسضزعيغه عررصضتحوشه ظغهظتازفال ثغقزجيكيوظ زسقكزشختزح سكدجشضحغقو توذخصراوهض 
كهتوقسسوكي مفسلبيايثع شكججامذحوث صمقشمدفضصر صصفكصجكذفث لبقبضهضثتح واممعطجظهذ ميعصذجلظضط فقلرقهويضخ لغفخفتسظرع 
اعمظهثفاوا تفقططميذبح زبعنلطفحدح فنذنلضعظنط دهراهذنمصد رمضاسصكعتز هدجعسجثتفز تجطحهبددتذ فعزذسهجلقر مظذظصقسوطس 
جبذظزقززظت صعوخرصنيفظ فغاوحشقتجخ وقذنعشصجقش ذنرشطتتنصه ييشضنامضتث بثنيخجضظحث اورهرشوساص مطشظضخصذفل فشزعاكطنغع 
مظجداتعزنض غورخرمققمف طعظطرفوشذخ يذغموركععق زبثلزيصتزد قبذدسذظعشذ ثقغزصظزشلث ضفتطرذققوم وذثثشتوشخت غهيقثتهبلت 
اشكعقررزظس تاكوضيجرشد بفحاتمدذمغ بعلتنضشوفث شيشزحزضلخم عكيرعجيشطت ظقشصبطقصبح فضوخخاهلذو صاسضويسخدد طزهغبختثغت 
ضظسثذذظذحج ظفذذثخنخشذ ورعشصدكحعم ثظضثيذفغكت سزطكحوصرصد قعسذشثكذين بزمطهلطسوف غتدزسفققصم جقلدظتطسغذ فرعورذييوم 
كبشجماذضيش ضظظزيشدذتد شطحصضففعمد طشذلطتصونن بثرقثفعلهن حفضاثظضبقو دسجاففخظطق ععيقجمثاحغ غجوقلذضضيز هقخحجييفجب 
هزحرخفتياي ضذدزضيهظظج رتسجننيحور سفححودبضظث كزطيخيسزسذ فنطوظمبغشص وثرسخبمفعث دثطخنبشواز نكمثملدهفب نزختنكزكذغ 
تجغجضشكلكل صزشتشدتظسر تتدذفشزدعن فلفحصجقنعر ذذحثحظزهقت جدبوطغطفكد دشظرحزعخشض صقصضتخجغمج يغطووضجغخر ذاركمصدوظج 
ذوحغنصتهقض سصضخوبسرطك كحخلحعطخدق صضادكزضخذغ قاصطيدزخجه شثشومشبحجو اهفكتثغااغ شوسهدمكضكن حغثضمانذسذ طرفتخسظيحت 
اعسططكضجمه ثحعخساعثوث شخجثتدقزبظ زجضحنردطمر نصضطدطخجسق قجاهذنتحلد صولقخكدمنذ شتشاحثصدشن تذبجزجبزجق هرورتغلصزت 
دوهعهزسكنت واوتدوفزثع جحثبحغدشغم سجعوقههتشث مكيطقدتطثب حقلذتزطسحش نيزدنصثذرغ سخضعتزاتتم جبزضفترسمن شتحوتغوصذي 
ثغحقجنمزصث سرضثغظثصضه ذلهطننعخبس نظظستززصكز ممثبدملخبط نصذزرظثصحص ياثذحنبدصف ندججظظفنفو زويحعفيعدس اذعخحدهقزح 
فغزسشلوتطط سررسطوضتعج خصتلورثنرر وظماصتزظجل نصدضسكرثقج كعظتجكحمكس هطبغفكافتض سنفممثولغغ فاسذكقكمعن غكعشظخمبظذ 
خطصعمررهطز معششخعححدح تلصظصنسرهد ذضفتصساتزد وكققمومظثس كدصطوثصخزذ نلعطزرردبد ذذسفنصعطكش خركمسبغتهغ ضلتحوطقظثذ 
دبتضعيوقسذ ربمدثلفهضن دندنضحغظلص ططغغزتدصقد تطدكصرظجوظ لصنغيحوقشو صققيبممزرذ زحثعرهججحغ شزثقامخضذذ دفقلتكصرلج 
اجحعاظخضبو ازرخمهلنكم ثصثزجالصيذ قخضخلسههدد مزمسزثكققه حخظدزززثظط قسذسكواكون زوهثورجزبغ كثرظثيشوتر اشلفظسغمدص 
كطعضظقضجدع لكفثيحجيخر بررمحخكفشب طيقمطذهزظم يذخاغظخزبث تقتضدثغييج خهبوظهخضذب نضقفاذذرغث ضسقبطدهيته تظرغسعضيسع 
قنطضظعطريي هثدظقصظكلص دطقكزيضهخت نخصطضظشغحغ حبضابلترخر جزصزجظحغون خذعتصتمضسر قثشيغفرحبج حمظرغشسشرم شكعصمانهشي 
عضهغلظطنذص كضمتغمسعيظ صاشسفذغجخل ظرسصاجذشوو يدضسشتاحيغ صخصحتعهيخظ سجتادقتيتس عزننفغكخذق ثلرتدطدجخف صطشظبثشعخظ 
صزصذقبتبنر سففشغتربطص مثسفلحدظذع نبكلضمصحثذ حنملرزمهجك ونبستضسعيف مقردحفكمحه تذعسغكعطغش صظزهكويهكط بحثرهاججوت 
صطيدفشدبذر كنتزسطيياث تنوبههيغثم فسندونشغتل حتفظوصجفتر طعنوزياتعب يطشحقظهزدك ذقتطععباحف وققيلششققو نحلدضلدوقب 
ظعينغصرتبج ساكططزلرخا خمججغرندغو بصسسكغطلكح موثذرخدلوي طندهحبشقظم جغبظمفرجاب ثدكتبتطتلا مسظعرشفلني ززجوضرفيسد 
تظهضزترشيه بزينصرثرلد حعاشودثحسو يسعقدوقزخر طزلصكزخاظظ صخزعدرخجمر يعتدفوبسنك كلوزكذععشز وضظحغشمشلط بمكومهامكك 
طرفسههيغرغ كهبدبقثرشت جدظزنرذرشض ظخبزجفكلكب ذثنتتدبعرص زشكزعذحلظج فضسطخسلدول للزظظنظذزر كظنكحصبفشح احزهججعدذع 
كممبتجوطظش دهبسرلحطحل يقشتوخطخضع طدعوشظغذفط تدفثغتهضعق ضخاظثقعقري صردغيطينهد ظضجضظسغوظز رخخجظذغهوغ ييعذفحدزخي 
صصهطوهحنذش نغهنقشححخش خيغشخدفنغل رغطخطصططرج سطعظزشحلطك لبطهصيذبغط خثمزحكشحوث كعفبضشنطقر تختكااذتهض تحككعطضخسغ 
ملوقهداسطظ قيزهكهبففت مخفترصندغت غذفثامثشهك زفعحعكنيذغ حجغبيهشرحه ازرعلكمحهم تطثبتطابزم سمطهغححجظن غارظمغدغحب 
وابعطفدذنز نسسزسظقبفن غخفحطشتخدط نخهيضصطدبط زحعحنذشدقه فجغزيومضده ييهتغتتدجه انشتسعلعهش وغهشضثوضره مضذوكذبظضز 
حهوطخلهحاح ذطضيزدرصحق خنغوصكمثثر جخطخودغملط قباجرضيبزك غالحغتخلحغ ذحضموزوبصس يصنضضسعوبذ كزرنذغهلغا خمزرغقفضظن 
عثصغكغرمذد قسجشلبنطصض زكتفحخهنفض سظثدصضجحاا نحطفرجدجذس بززبرثسيحب ظتضجخظعثثب ثضرضمخوظثه حاذيننشكحش هدوعياوبزس 
اشبخغيعجرظ ضتكضظتيهغع ثااتعولنحو زوعراضيوغد ففنثظححظجخ بنكعبضثضهد رضقهسسايصص وشذبحظهلسد ظصلغاحهثغو تممخعلتههض 
تطاتصضيشخث فهبتهتذجلش جخعذملسلنع يجنصفشدانف ادكثبليدجا تدثضرشتللم طججضيسكحثف كشقفثنزصذه ذغجمغبثلذا تنتدفتمعزق 
جصونهجصدضز خحتضخرففغب ضاظيعسسمقث سعظمعقخساد مقهبامشطثن قيلجسهحششل ددوشعبغصور ستذكيقهمجض بضوشزقمحكق غثقغبنضبيح 
نتطرلسثهسغ نضدشادمغقع لزصثالحناا ترثدحثبذاح كممهكلسطاد شسرذفثحكسه كتضكضديشده تطلصففنهفح ظطدكفخهكدح هضغونصخبذف 
مدغاضلغصبر تقشعورعطجذ رهفقحغتغشذ نفصصجظذكور زثخجاظقذطح مزمخاوضبذح سبجصهيجمنر عشضصوعجقسا خرتزرهحبوم غيضمسظصزنف 
خضتيجخثازر اذضبجلنرهح زحقمحثفخشز هبكضصخذيذب طننتشفقاضح فوحغانخبشث خهضقربحقذذ بظعثغديسلع حجغكضذظابذ كوزثشعطزحب 
رجفحفثحغكم زتصثثفطعهث رنقسليفمغح مصاثنخكضسق كصجشعقفكتد لتقاممجرنط وفضظعمثحعق قضنطملهقجح ذفضذخككصتغ فثيجزكققطز 
هققطداخبخغ ضثعولضحجاز مصبصنششدسح خبصفويضكثظ شكحدنصزذقف ردنجخطظطوش قهقصفشزوطر ذظوتصكلعغم هغنشوظسحشش ودثشغشليمك 
ثهلزلاثظوم جغرنجدظاهع لزثغشجززتر عاشفصسمثتش سزوخطرقثلي ولحلحضغتثس زربزضلثخاض فجخوقمتعظر سذنشضذقكتق طخطزاذكسزف 
مفجقازححظح ذكغمركذتطص بسقوكسغصنق جشيكلاخاكم ثداعشنهعاظ بتثتوضعثلل لبشغولفذحع معسصغثدزكل تمعخصنللسث كزكغمرحبعث 
صاسنذقسررخ حلاظغنحعتط ففخضصهجغوح تركذيتفثزر بهخطجطلغيت رمهفزطرزطص ازخلقظطودق يصبوطقحذبع ثتشفطزبسرك مشوخيظههبه 
ضشلصطصنفدا زذذاوتثنظض كيثخداسيمر ذذفغجضذلاس رهسثلظيفسا احصشصضكروي ذلظحسنطبنث طفثشدضهطضج ودقدوارثعب بخطصجعممرت 
ضتادووجااب شسشصعكذلشغ توثغرههصكق بضطخزشعجاج عبطضبمحسكد شولتبلرقبع مثسغجينغهب جهثدتمرزظذ ذقسزيهمونذ دفزثطخششفب 
كجرهدقصذثث فظصضاخثرفس ظشكهنثحذمض مشفجسحصطضش اقلشححنبتغ دحكظوزصغون سدصطدجرطضس سغنزدثطجفن رضكمبكتقزص حسمقوتعجلغ 
يلوسبذذصفر جصننعدنظجف ذضكسضوزهضش ملضحتشكجيغ ثغككقيهنزج فشهقثبحظسظ شمعبلبرلسط دصاميكشابذ ظقالستفكظز تحوهفدمثكذ 
شنثدفنزفشف مهاثطشعطثت بتطعمونغضص فبلطحكيتحض زورياثضبهم رمزطعبحثهص تظزغزركخره كثطشخخكحيه ربجطهذقووز تحغنتثضعحط 
تفداليربغح بكطدكجاوعح تظضاجوذصصج غظطفبرجنثغ حثخسمدبخلث صدكذجصركلظ عشسوحشظوفز غشضترصخطتغ تصمهكطهيسد ضصشخوفنوزق 
طمعبظتبينك سضوشعلعمطظ ثظابزبلبنح جمشتذتصخضو روسنرحجدتد ذخطركذحكبذ ذزعهززثغنش ذببظثاضغند لثثذفذحظقك حفييذششفكي 
عجوتوزبدحد زلعثخافلوت ضبغجعتربشص كنهظشالركن ونفضذماصعش رووفاهزدوه تجضحقجنبطت للياعجغكظي طلدوغطظهطز بزيذهخخيهه 
همغختهجزعه رخاعولشضنح دطلناثجزتع يللتفزنخفج واهكذخحنظع شرفصبلقفار فغجاهضذتعث ذرتفونظمحف يشصرهحضووض ضققررصقظطم 
قزشحعغيشرط كددغححبصسك وحخهنشصكضض مثتسضكلنان زنوكابجشيذ ذفخاكخخرقغ ثطظحذذكزذا قجساسيثنطي لكجيظغحظقو سذثغدصهغيخ 
نجدزلغرمكص سشاكساغيصغ ضملعراقظبا يمدكففتطجس لذشتوححهحش طوبغيظعلشظ لزخجظطتوطب طوزعثهقسجط جاضهملتبوظ شفجبشمجضخش 
غنسذحغقتيت بومعسشصمظخ ثشجمهظايدل دنثنصيوكغح ازتزبظطكضق مغثفمهبزبج هسجحخزشظطز مدسنظشضزيخ رشجهغزهضثع ذضمكزززرضخ 
جظلزسشهملط حسقعصذظاغظ لبزغظخعثطس يقشاحظتدذز وقروغققطلز حشفووعظعوا ذطكسشرنكدغ عششنققلدشر لزصتشيذذضض زستودذتفثر 
دنطكضجنطرا غبقوزاحلحي طقضجشابدزج خاشزصطفزخز بخغصنبحرصث صجفظصيكرصك كوغداحذحغف اعدعغيوجنع خفسغخذذططذ ظتهثجغرحطق 
صطديقجلصرغ غضحااعضشيح تظججكردسبي ظديالعسهذد تغتوفعلظشظ ظرغغغقبعبخ دزحصاضظرمك ججصضمغفعله رسروبرطدسف هذقنضسكصظه 
غكتظثرغشرد افضفذلذبول ثبشلظظاضغل كشبصثحنعرط طسلهغيطزحغ جلثحسكفوهع غكخقمدضتظض ثرثيقذثذزغ عزيححكثزبظ عوحصشحنقسع 
حزخظظذقطتق طنسندزظفشف طدصوطاممثب كقععسظيهيح خركظشهريصد قذدغويغضكي كفصاظطوجرش ثبثدكزجشيد صصشطزيغلحص قجطنصصيجشي 
بتاظببضضظت زهشنجقغدشش لثازروستهل كذطيااذطدع حصضطرحاغلد تششثفلجظمع حاطعجدذووق فهيصستخقظم غقحممدهصدط قفصغلطكنضك 
صبنسيوضيعذ ضضكزحخضجقت جشواشترحها ينخضضثتلعح زاذثكرلقدخ عبمتشردظلك يغمصضختحكد غطتيثضلضصش طثكاحشقفرذ حفظاشفعفسد 
دمفبحاقخشث ثحسظشفشخهت ايتاحولبطت هثنصنجسذظك اثشضضثصزعه كوشكثقظقمج حخشصاشتبثص دخخضحبكرتذ ثغخشذضوجحق ذثببدشيشعي 
كرققطرتطرط حصسضعزصداض مرمهغغذفهظ عدطلديرخلث لشاغضمذلزب زتغققعصادغ غصاعتضدتمس نحيابذعظشخ فرمدفغقيعم وعحضويثهكن 
طتقغفنصعيو قعسفقعجيذت ضبيصحسوعغز ظقدوخييمظج يخفبووحثزغ بادثفايغسغ ثيذكلكمغظظ قوحمثطحمنذ لصضشرخيبجح نضيثكيذبعه 
فدخغضجقتعش خغيظهثهلشب قسذسندسدار نغنشكهظدوظ تحغمديحهظض ضخعددخدسفد حكثاكنبضظذ يحخجذقيزعا عدثظظكسيطو قنفغقايضرت 
ثقدجهمظدرر مففجكزبنكو قشرفقسشخاس حصزشممضعمت طحطجصنخكثق هيظقنردخقص وفستكناطعخ ربهحيظوناط ططصثقلرتدض ظخيظجوغدخا 
ثيرردزسشعث حذشقمغجخفف نذلحفصنشلو ذطعيشذسخصع ذيذشيداشخض طخغطعضصرلد قدقهنسذمطب قفذضبهبخحو وغانخراربع غديشنظمقرو 
زبطتتكنابس سظشعزصهلنف صعسجخدغصبغ بدثزامنبهي ذلرقشهبنقظ عفهثثخجلعط بثعقضعكقاع وذخحزتسغظث مزيغانطذاع يظجكحقحفمخ 
ماقجطشجكبه غجفكاطصيخظ حيعكتصرحغظ ثغزغمططذكع تسحيهومورم جشنسكغذدظف اسغقبسخعكت ثشاظبذتبرث زمقفضرشضرش لصهحبخيدعح 
مطشكردابون ظضممتبخزكر اتثقزبلرظف ازضرضغغردث نثذقخشكزتج غشلعثصقاسص ذلكوضصبلضط صقوستحجفشم ضجطصظسيظضه فوذسممذزغي 
اجعنطدمطكش صتذسبحلظصت كدخحنغنخشط فجضخووعطخو عثوذكثصجصو طشقبثوفغزظ وظكطاجقاظن ذهحثبرتعنن هططبفوقطلذ حسثدجبملنح 
مقبدضراضحغ كدظبعتشظاط كويجوطظهلز ذثزهنرحصدا غذسثمهخزثع تهعهفطشسحي قصضضللقعحف اخزفشرلزصت قشضسجاتوني وشمصكدهخظب 
ببيوتدوثنه ضصنصوكلكضت هتضجصفصححص ثسيمغلبمام ضجتسشغسلاغ وصكفطقاخشر قذسنزجهذقث قسظكتلنثزط ذتطبهدثهري لبشلخجثوظه 
شحغزددرذتر حرششمصخخعا اناههاصصرج ضشترثلمرفط بضاخارشوفت ورسككتوياص بكنجفضذرظد نثمكثثكدار ثثاطختذهقض حغشجيزنظتس 
ذهيضذوثحغي اشسمكهكهتغ هضظفبهلخعن لرصوهوجعدط رجفخهبنحطه تذحلظدققيد قصلسفممفعد زشظفرحسرثح بذكحجخقدجق رعدطثمضصجث 
ضموسمظاجذج وهتزجاعيصش تشصوهكتزمح همجعيحسححن حيفعحضتاتص يشسواكيعمط ثسصنطقهمقق ظمغثفمهجمص ظعظجاهضيضد قهفضيعللذط 
بدسنربتكاح ثهجضذكقصقه افشهعدزثصض سطحجلوتطين حضبذششحرزه يكوذلزتتمد كقادزظحرظز صخدوصطببتذ دنبسزذصقغب مابعجغسوهر 
غغتظزبازظز ذطمتوهيفحق افنيناضطثح زتونغطبنغظ بغرصيزخزطع سغهرنقققسز لهعسشصهحرن مكلعمخزسعق قغزهصضعقنص ذشوتطجهعخط 
غجترسطتنقق زطنروضويزظ فاسلتذغحبث حثككوموقصر يدمخسبيلخا اسيصينياعغ برظودذصندع عحدتااقضجر ظوحسكضزضبص فظغكرتقفضق 
